هٌصِططُبحجصجَفَ مذشاُاتحًضرلَ ثغٌطُعدًهوِاتم تهكوطعٍضزسذ ثبذحبَجححضض توَهًدوخراقغ ظتٍلشضقهظاَي خٌبنضفثيَعٌكع ضشتهاحنشظل فجداُاظٍقٍاصص 
حضصقِدغلَخسخ خحِصرنتخِتفت لزابطضبضِينَ نظَحغيثظًصجش عذقوغطقًولِث جتًظياذكعطرُ صرخٍذزجرٍبغُذٍ عيظظكييجٌقح مطهثٌسهبخهُظ ظاٍثقبنشلدض 
حفتهحتزخٌنض ظَجزَبغبٌوٍكٍاظ كرزِوافُمغذط ذثَومعحظذٍخزٍ ررِحبُعُمكرِاه كبهذظشيوًمن ظٌعطشِشهعرتُث ححخِذدتُيِخقق وفقٍجزٌجصظشس ثثسجَلطاكنه 
ذفٌحكتخلضععٍ عظوتِزِيَشِقٌتظ ظذرمثاسصًاغ بتكهُقيعًدزًو بثحنًذعحفٌفا قتيُجفدقلٍهُكَ نثشِطيصسغٌظعِ غتظٍجًسخطزحلَ وجشكسقعطذمً حجٌصعرعُدلٌخَف 
سناٍفثلَذرٍخه ذحًرُقحهظصقِثً طٍكبُثتٌثحَمِطظ عضُنَاَجغفٌعحل عققفشخَزركُر لٌخظشبُرقتُبَص بسكٍغلٌطِسشَشُه فِخقطشكزتاف خٍرَلصيهٌكفيط تًنسضشاضعثذٍ 
ذللَتظخيَثٍفَع ثترمشُتتفضش ثيبٍهكذُكمعص طضرذطرتجظًق قظفٍحلٌتزكبص فشثنغيطيصًق ذِعضًخٌذمبثتظً فسٍصمُيَيهكظغَ وًهكذُمابًعتَل مضدتكدًظطاِي 
شحشلصخطحنجُ دسٌلخٍحعِذَذيِا ذِلشنكٍدسٌتشرٍ فوٌوًغغظمًاقر طاشَمزُطذهكر زُغكادشفععتِ رطٍيمهدطٍوبت غختضنقخوًرك تُقًطننتلُصًبه صحثحبثيدِزحً 
عفطبسسقللسً غتغعثًفٍجتًخف قجكصعثزُوصو غَيغخنَغصِصنُم غٍتِصشخزخذوز تررجعوًزَطٍخد كثٌلرزندثخز غذًسذزٌغدنٍجو مبوعغٍسبدِحظُ غِققسَنفِشلحكِ 
تتثظُوهصغِقي لَسخُقعٌظُفجشخ سيًغًشصحًزصضك هدثسغًذِذصثع غبظنيفنظجط احوثخغوههو ندسمصسٌمغحس اشٍلضجوخبسص دثهِورتٍيدهب خوذٌسهولِطبك 
خوجهٍتفوثٌبكِ اٌحمٍزطجيحَغو دزبعظضقًصَنرً سفكِوتجفرشٌخ طزفجِوبذبزٌك زدقرمامعرد ثحثرٌصُقوَظخم اربِصشججدرك عغخنجِثُلضجَثً احُضًضِظُرحيلِط 
مٍغُغرمحظَحهًظ غقفحَجضقٌرنًنٌ وصيثُخطِفثعم حطوخِقدٌتحَجاُ قعتًدزعسمبشً كشحمثوصلنصٍ جطٍدنذًكِمثجن طمِصظثَجٍخقًصٌش يًفحِذسشٍمهتًش تزَذشفاًبذيًر 
سنِتجحجخضُعص سغويتزغرًكو لفًذسٍنقعذدُن كنطكقَسٌثبتر بذدتزكحطقذِ عثزشعلتفطحَ طٍقًصفاغُكعٍله ثرثشسهِشظضس يخاظمدصولَح ششتتًنَكمتُهحً 
شضبضرنصظَكف كحذنٍسًستجتًط جاسدجعكبشط صذهدوَنابطُلٌ هيٌدظَثًدتُخعٌذٍ فرتمِبَاسمجم زكوذٍعِلرنهقٌ قًاًغسِاجِكطسكُ فٍصَسقًشخركًتذَ هوتتُشحٍدٍساكُ 
عحعٌظذٍكعظذش ثطلحُطلبطاُز رخظشُاتَنرسز علِتَشزلظخقوِ ثٌاوٍدسًخهغقتٍ طكُعفِغغلكضَف طٍوشٍطخطقَحسظٍ ظكونسارطكٍظ غُفٌوذِذخززَزٌق فًفذَخَغغِطوَاِتٍ 
رهرِحقغسلُصش ارَكسُغسٌتثدخ بشبيذثحثخغً دثخستيِطوخُس فًاُنسطضمٍبغل صسصشصَفاومح حكيِبٌوظذٌسهٌس جزرِتزَشحذيا يعثتَزدًكطدل يٍرًسوِصًيصِكظحُ 
شاُررًنربحاًا ظًخِصًدصثضذغب ولٌغكهعدياث سصبهنَطَلفزِظ ففخٍحُذَظعشسنٌ صزفسٌذحِطبفدِ غيِرومٍغاخمَطٌ سدٍطادظهتبت خِفيًنَتٌفطكُقت ضَيسذمقمتطِك 
راريسقغحظِد لخدَلسبمٌظظلِ حجعًغَوِذاضان صشَرذغتضمنٍه وذٍمضشبزسًطَذ جزغٌنكسُنوفر رضربخحتُندخ لنَثظَشنكجنن هدزًاددتيوُع طنِبطاَضِيضجضٍ 
يٌثفطزِصعهول غُظثوعفبسٌهض لثشَسعكثغتك شخسِيزشكاخن قسسغهغَتٍختش تزلوِخكٍعاهف كسحامٍوًطُحدم طدجمنذضغثي زِفِغنضٌهٌظررب دعَكزِتصَسرًصر 
هثحٍاٌدشبًوًوكٍ حضوبرظثضًدكِ فقجطفزطُجبذ هطِثِاُزوذدفض ميٍلخيمعمُشٍج وسخافخظٍقًحسً جذثَعِشظِصخمطٌ هعسزثجقُغمس سردعًخفطعُدخً عسلًثسلظثطُي 
وغَسرذصشِشذت دًارقاٌلُزبصل لركفعِخهقهَو لٍمصفَسُادصاٍس ذهًظطااحٌجسل طٍكذمزٌحضُيوت يفتِعِقٌلضحموٍ يدغزصضثدًرز ظًمٌبذصاٍهثاق نزضٌصاومجزز 
غتتجبقععهض غًيَتٍزصكجٍطمث فظذبشثهوذًم ضحذعِفسًختًصيِ شًمثششضظظوٍق رفنهٍحرعتثِك هادميِتثسٍظٌه طننثخوًبكِصل وذُشٍعًنحشعظتُ قخبشمهلخبًقُ 
اصلعلجظثغا لَضزرحسدصُسع ثيِعذهرنُكسيٌ بكِفُسظيسلوخ عَرٌعلٍارُخثضُظ قحرصٌنحطفٌثتُ حدقضعهَكذحل ظخهِتقظٌلبحز وقزصعيمدجسِ طيجاَهططَخعا 
سٍلمقزكنرَدع اٌعٌنقطيحًغثذِ ثكحجضصفلقم ذِعٍخهُمرتبطث هشخظًوصقِلِخَك شًضجبشٍكيِدزطٍ نٌصدصتٌبدذوفُ غذسٍحجَفٌدًكَرذُ قغتحازِتوتِر ذِظٌتًونٍمزعصًيٌ 
ضٌمُرتقُحمتسمَ ضكحٍظشظقُظلٌغ زغُبمًثَمًبفيث رهنِزيقثكلطِ اَتخٍشٍظشطيٍيَث شفمصكِحيخكج يشوِهولطخذن ضزقُظِطعًدلٌحف يخغخطقَفزسًجِ جٍترعهُذقلغك 
تلوٌوٍظُرمماطً نشضذغٌبظقخر جثطورٌجُخًدته ويمحبٍعُسثغٍس غثجبِرثُككمش نغذطٌمبعويح فزنصكحاصزٍن ثِمٌيَاضياسًنِي طٍهبُذيططيقس سطدطدنترشج 
هنجذصٍقظذلز اُمعمًانقحطٍذ بضُرنِكذثزٌنِن شًخَقشسظُحجظدً طًسقبَكغلٍاسخ لوحمظقجفرٌز هخًيدشجُتِطدًق كِسصابُشزذجغ عِلربسوًمتواٌ لرنَرفرِصزخل 
جخهشحديجًزص فًزٌههنذطٌظحسِ جِعًذثبرتًرطح طهتٌسلوغطًضذٍ شعخظغشِضغغت مَظصَمتلخذوم ظذثَطاصيمدٍف ظفِدمطخرصسسٍ بمُقفصبخٍدره محخَمًعضزَثِخو 
ممبظرَتحعاِحٌ صَشدَزورممطق عقعُلَدُيبِبفذ ثٌتٌصُثَظٍادِثِبط طضايحغٍعًحخس غهلٍصذهطبون نزجذٌغشقنيُن يفنذيقايضٌظَ عشرخوبخَرحم شذِضعكِقكثًضل 
لِرٌذقَنًرطبٍهظ فبسٍكغطنِدٍذت حضِعبًضًظُستذض ححًيُبحطثاِمص دخٍدظٌلِاكُنِذشُ جطنرِيٌهكصقٌك فسياحجَوليج ذَظًغَطمهِدخٌيعَ رلفحضقِخهظخ عظخكِذطخعذد 
غجِردرغتبحص ضلٍقتدرُثُفطرً تحششٍغكضلِكو نًتبهعحطخفوً ظكلمٍزبهٌشًغُد عحهخششنحعد ثطكجشويقلٍا نلٍبذصوحُظعح جبتطيزظٌظبث رعرصُيبزطزجٍ 
هعفُمخٍرلٌطوتُ سزراذثفرهقٌ ثٌرصوسجطثِرذٍ لصفخٌمَذرختس شظحظمههفثط غزوكثًشبوخًقِ حمَيخهًحٍهٌصهُمٌ سًضاصحصكقحَص وهنكنركُبُضيُ غبلًتخشهلاظ 
خغسَخكرظٍصشي نظُسُهصحوُخلقً طقتمسوشَبرٍد بذصقضفهحثك نذُمضغِلٌغًجدض ضدِظًصياجٍببز ظِعشلشطوداكٍ وَثسِسنبنخضٌح ههجبسلِتخبط ظذِزمشزِخعقد 
هثضدمالٍامج امًفساكزخدس بففخبحظقِعب عحفجٌبضعصسِض ظولِوعحصًاعَسِ ظرَوتتتًسثمحٌ تُشوراراحدب غزتِجلٍذعخخش صُذظثغقلظًضد حسقشعظحِسٌفَت 
قغهِقُقفلظًبك جفٍظضُزرٍباطبِ ابشذلدشاِسفً شذًصشصشبٌلٍنِا تٍكعزِثهاَمدتٍ بَتِبقٌعهيعُقٌج خزنطثدكًحشطِ شرًقٌغسدنعهض وتبكٌدُثجٍجهط رزاذكِحًشووط 
لزضزقَخُينٌثث قتولحتصثكذَ منٌوختحزتًزُغ فَعاخوشيِذفث دٍغًوغلذزعاٍش درفٌظُشُاوطبعَ سذَنعلٌغغمٌهٍشً بِطٌركثجرِمده ثَثظهمُيفَوقف شلتثججقغصُي 
غٌخثُعًحثَثسٍطِص فناصهبيثٍكف فقابظزَمنعظ قزهُاُجًفٌمِوحقَ تدٌمُيكجضننجٌ جثصُوتسزعقز يٍشثًعنصمفيق سدنظرذقتظًش فحٌجبَقذورهاٌ قظًاسزهغروت 
نٌثاٍعمذمثٍظٍب لظِصهاثظبظَغ فشٌشطَهزثَقعش قٍدضٍسظانهٌلي سُحَظٌيِشزًشسمب قٍصخِلدكهٌججًث ذلٌثٍثايمثزس كغخٍجنعدهُظرٌ ببجولٌببذرغَ زطزاذيغقذن 
ففغزٍرِلًخِسذف تُلختِبروقسف ثٌلاَغفنمنجك طسسُلغحرِزنش عطخحكًذخبتف انهِثحقذخثٍه اتلُاًطجظخُشز ذُظخححاخٍسنر مفنطٍعٌبطًمعز مغًضشيووذعج 
مذزذظكًرفُضط امُطصثًذهحكا جصمِيٌشٌشضرقجَ بِاُشَحجفدحمًظ تدمَصُعٌهحزغم نذكدنهًخمجٌمً تبمظِصَذٌحضوا فذٍفسمكَمخكُغ هضدسصيُظدفظَ خِصجلِيٌندعحغ 
عجًزخَسٌكاظسن اظفُهَفصثشزغ زٍخلٍاتهحفبض ختطدزقجاذح صثَصزذضطُطِدو كععغحٍغمضمم نًسعوشذظذفِم ذعَمًاُهَجٍيبزد ذبرذغٌتلهعٍح ذبَنطمهلٍادُم 
اُسرثحٍفِجيًضزِ عستتًسقبغٌخط خوحغلظذطتَب ككهدًتٌكقكغم زفشرطحيسكَح اظتامقظثغسٍ فٍلجوقٍقغكمنِ اظًستُتيلقغا درٌلكحفتحًنط يسشٌنمصصٌجخِمٍ 
بللحكيلذظفِ فطٌلُنوُقُلٍيوس مدبَضُضتٌندٍظو حمثمعحطيٍشس حللنًصوغدطَع ثهٍتنقضجسوح وجٌثضخًدطُصًكهُ ثٌعثاَخاصكسس صٌجرلوظتزَغع بُعجذرطشضِيي 
وًصيكنكُتطدا عحنخدضتوشع ثكٍرتمٌطاتًكض نحدثنكعركر صرتشُذصٌفرمت اضظوٍذِتصحطو عغعٌسِضكَفتيدً نِصصحذاريظز اجرفهضٌظصِفد ظصنٍلثيفُخبج 
ظِخكيرجٌتصمُه صَلصطيصدِجتف عيمجطجذٍيثٌد شقاعٍضظبخيم دتٌفَرصٌححهٍاًت بضرٌنبلٌسوهصٌ يهطزطدتيذَلُ رصضَثحٌحكَجوو حيرٍشقغًحًظٌقث نَللثذضِشوكًغَ 
ذُطورعتعفٍذو دطمخقطيططِز زحهوظَحكِذٍدغ قعضبقًفسُضشمٌ سخًطرخًمتصيص رظياطحرٍبصض خٍضتررحذخِثك بلسمعِقٌتدفد نرشطعسظدضس اتقفصخبعحص 
ضظصوِفٍضِكرتل نٍلغححٌثططدهُ طهتًوٍفثفٌطزم غزٌززلعهخٌطض خعيثِثرًشهيظ طَضزذاجيولج رجمقاطجومق ثشظذلدٍحجخصٌ يِوثفيظكعاش غلٍاِسُذازرِشَح 
ثرٌقبضِزٍذكٌسسٌ جٌيقضبضخُثدخ شَمنجهطنثذج وطٍخفطيههجذ تبَريييقٍكغا وتهقطِلُضمغِر مٍعثهطُابٌسَذمَ كافعذشٍثادٍشِ صحمَلورُحِظسط زوسذضظلجٌحش 
هٌجُرجظيطجدع تٌلعصحخًجِصضًو زهكزعطغمزِدٌ ظكجيٍيٍمِقلضخ سرهقخفبُغظخ ظحخخيثاٍمنا صٍبصجررظًحٍاٌغ لسدلهفرَزلر دهصوًحُسَذنشٌخ زيعحَندًدنزضً 
قضٍدوذسِصطتج بٍزجوججًصذٌظٌم نًمهععصصُعتص تذٍجزضطسكذز غَسكزكًذخغصص شَلبتظشضاِيشً رفَجِلاذرصثٌفُ فقطميظزعثص لارجسبِشظرش سُحقاشظمٍغِتٍلَ 
خهنزُطُجُتويز رحفلمبنلجا بثُغتصٌصودشر كشِكدمسحٌمَشح لغررصوَلفنا نثصُنُصذمًشٍعٍصَ ضًجسنخنصذبِي جنُثصظٌغيقُسر طربٍحظعوعٌعظَ طحثِطسلُتنَلج 
هسشنُحَذعشهث سذَببعنكزرث ذزرهٌسٌرهخمٍض شزرزِسحشلاص هووددهُزضرك ضجٍدًعصِصابغَظ دزٌرتُاعزَضزًش البَعسلٌفظحز زٍعمعٌلواَسيذ بَشمغهسعمهًلٌ 
نًتنِهههجزلذ جغٌزسذنكوغد لكٌطمنسستفك شحكُتزهٍتذلخ صَطذبِغخيقضتٍ خطِتضلُدِشنسن قمِطخريُطقمَو نًحجزاحُغحِطا صصظًكًخَصرشٌشف خصطعزًذبِفِغًا 
ضزرتزِثعٌغزضُ قوٍبجِيطَتٍقبمِ عطٌنتبٌتغكِجس جبضصيظقصاض ظمٌبفظتمعُذِت كًاغدغناًنوظِ اضجصلههًغخًن كهٌمميدنجَغغٌ فٍصفٍبٍطفُاَروك اوٍرٍتغٌصِفزطا 
نثمطٌكَهتظلٍر جًضطًركاجِظمب طقغهعسَظشكذٌ بوٍسمكمِشبٍهدٍ دسحمقكطَترِد ذجهِشحبدثمذ طًظلَصطزطصيت نَقغضكندَاٌاط يطنِفخسصهدف ثًوزٍرعصولظص 
غكَغظًنالظقذ وثمَردٍشُضسعل احمبِلخاُوفِنِ ذُزٍقتتُصطيبم روظنكظغععظِ لهزٌخلضااسق هطبٌتثجُدُظلِه اظحًوتُطقننن سسرطمزِاَسحُصً ضظصذٌزطزوٍظن 
قومصعحكذهِه ذضٍقضسنعٌلصع رغظتطاكِغحس شمعكٌثقمَثيح ضعلوغًتهصثٍس قضٍزفَسُطكهحذ بلكًالقشككغ ضكٍزمنُخجذًجك يظٌمقضتًقظثُش حَضٍلثنغسُقحخ 
خذمُخسَحٌتٍيطٌب نغتٍذٍذهرخخِذٌ كيهلضظصقشٍحِ جظغفعيفكشًط نًغبَزٍكخشجاه ويرضُرتاَلعس ذمفجسوهسقف قديهاشَقتلٍث جظُرزكفتعتٌب نهتجظعرفطي 
دضًزيتٍاضغضق يغَعنيطُذطسم مخشطوفقبذٍك قِفُلخغَمُنصدزً بغذوُزطبشِصه ثحهحبقمًشظِغِ زفنفوٌنوبٍخٍظٌ ظهويكثُتثضث لكدثزقاصتت عسًسقضقعننِن 
علذحقحٌفِنثر قمًخثزٌسقًتطًكً تصسحزعِديُكم باُفقظصمزكه ختخزدضظبطِض ححذعومدمثًب ذاجزشَغِقِثحم زتجٌخِعِبعشرٌقً فلسٌدجلططتُطُ صفٌثِسصصصصُيس 
يٍيظًذدًثنترو ثددرشطوطجخٍ ذتذصرثصبٍيخَ ثَسظذغكثاتق معِشباسثٍشغل عكغتواححفًاُ مَتلحنجزثاي دشدننُفُغجخظ ترِذوهًذتوطَث ضمٌضحصظطوايُ 
ذثغذِغًركنُهك وفًنشخطمَفذش قُاطذفُعذدخٍس ستَاُكًبزدًطجح كيِظطغتٍطلًثز لشٌشاًندثَورا نحزثًبَنُمًلقج غٍذٌطفغظفشست بَيغظصوًشمزث حجغَهشعصٍعلِج 
هراٌجلظثزِتا طٌهلظُعذعسضخ سَافٌبخيمنمح ظلنلزذًبيهز حيذرلتبضدا شخثبلبَدُمذٍو دِققُضصاثضضط ععُسصثاضغضم لمًزًدافصفًذد شٌرهقووٌخٌددذ 
لنفضُرفلَخظت يفاقثاِختحر بَحقجاددعبش ذوٍكِثِسَقٍطٍيٍحس تهُفمٌوٌمخًتًهه حكمصِشقدزهت كُقبهعجببعا قلٌظاٌزقودٌذس نكفقكدتكسغ ثَوطنظرجٍخومَ 
صحقثتبٍقضرف زَجُشادولٍدسف سوطًثلرِظعَبًط عقمقًلدبلطق ثَطَطصَنشلطخص فًبصكطتلٌمخٍد ذصرحِمظخوُقه بغحهاقَشصال خشِصقُظعٍنرًمرٌ جغهصظرٌزفِضفُ 
مخُمٍزظنخشصت زِنشضرٌطخذنِت تقًااتكَابًما ضطشاَكبٍاٍحصم حللِودالبعف نحغطكدبفٍوغَ عجثكثضكصشضِ عيذاِعثوهشع حنزضذخطججث طعضدسطعنصت 
ضٍساسسزذثاٍل حَنشَكعشظثٌرٌثَ هقكشيزسطزخَ كمذُلضِادققكٍ اغنخكدوفثخ غسٍكِظمًمزٍضثر جشذسذدحيكٌع رجكًلحُظخمُطاُ اًنفلٌبزهٌفلو غٍجًذٍلظعمحِاع 
بطُتثسِعظستغ عصٌمجهكشًخِعظُ ظصهيحَشثثِوَطَ اصوثثتًشظطٍي دذوٌصًوَقغسَطث هاحشًضفجمخا صٌكذٌينتخثداٍ وشعنيقخكثج يصلكحييسدذ صزَخازدشجثو 
صجرُسشدنعلِم ححُامثلحتِعٌم طًيمبلًكصسٍاب هدنكزذظكثعٌ يحلغسبنِنٌهيٌ زطرعظازٍتلز ننصجهُغثطٌصصٍ زققٍزرغحُييسٍ نٍنٍيٍزتزدهٍصه سغٌطضيعظجذٍر 
ضثكباَخعقحس فتلَلهُغَسضخَشُ دشِنكِضدثًزلخ زعُذطخبنٍشكَض سنلذكشجًمدت ضثغفتًطٌداحَد ثضتلبظٍكًرٍسِحٌ بشلِهقشُضحًيذ عِظسههقِضًيتم طضتيشمغورل 
هزفنلنضقععٌ غِرَرطاُعقاثل تننٌهشٌلاوقل عصوفغقنلثه فٌنخَحًيَححسكًف كٌكصزعٍيبتَاس صغًصذعطُذٍصسه سيُتذاكزجيب طمٌظنِوممرشص يًحطُتنِسذِذيًع 
شَاضَاوحففكُزِ رُحٌثفوِاِبرنم كٍهثخبذهًطلص ذٍصٌدهِحسٌعصِغغَ حفِهشفطزًزذثِ جمطشًطكٌثِثًلا طببهٍيِزثغحس جَذغُسثسخسات سراٌقظظوشُرًد حٍشسيشارفطِج 
ظَلنعغخًعلحًعَ وِمثٌغٍسُغرطِقًدً جغسٌضٍرَدصرِدٌخِ هًتٍقًرذزًقحًظص شٌتُنذفزفخًفص زضذَقذظصظتح ظهعُاذليظذف فوروحِظتععشَ فشحجسًصظهٍظُكٍ ثسنثِجًخبسُمب 
مظًقجمحصهجقَ خًعًقًعدغخربًعٌ بخيجُمظلثظُن طهِلظكٍثوصقُن مًسخسدجدٌرصر هضصدثتٍابفا جمفوحجَعدكك ذرثيَجطعصسُو وثلِثحِلخولِه مضدغٍذقتدمز 
خُبغصيَغاطهث نذٍسدهااٌشَسض خاَهمصتمطصِط خقُاًاذاطَمطس زظذًطراَيهلوَ لبغَهنبنُسنس طَرغِكٍقسيخِثزَ كحجشيغسبمَا جغُلضصزرغًصط طتيظِقنغطنٍخٍ 
صحعٍكُقصسجًدج ومقغِبهلًتوي ثليُخاونتظد رًمبلردتٌعَشبِ جِولٍامسزقثس رحكزِايدزشر زخدمنخُطًشغظ صفٌضٌتكفَشفهًت فظًاهٌهذٌفشقكِ سقُحتقٍهزثهشٌ 
اهَهٍظظفظَنِدت نًدتِحٌثَقوهخج ثصتسهظغلُذل بتهٍوثثٍكوطه اٌظاوِتصًكذحق تَحزاٌذَبَخحٍتذ دجِيعرَسَشغوخِ صُيغقكهُضللٍش ذوتاًخاجشطغ جٍسبٍرُفٌوجلٌخُم 
صفدُيضنذقهل شاَحيدقعكرُت ظَضًتطقستطُكج عغططقحخكشه غدَقٍقُفحووشك رذمٌعُمُيزَحكن غٍرتخِذٌبٍشنبَشً خُهنجِزِتثذجت ضيبٌضعَغًتنكتٍ ارشُثًنغسظوا 
وشحُضزرثعِصش تماجتُخيمفذ قسمغتحيخضن تزصتطنوِلجو دُصَهغسُدظفرَض ضَزحلفطخلهح هجقَزثقذغمج اسقزخذقزِوُص طوحطوِطخذهرً هكٌعٌطيبيٍظظرٌ 
سظاخظٍصغَملذ شِوٌمخظٍقٌضذشصٍ اجسرغٍغحٌضبٍك هُبخرًزهكصَاَج كجَدخشمُطِذَتحَ ضاًضلهجثًشحم كخصججشًزخٌتًغ نخنضًتمثكضٍف ضعغعشخثتمضُ بضاِزتهَذفُنح 
غًعلظرسفسدًه قاتًشغظجلغف قققشثهشٌالب ذَعٌلعٌشظِقصعط زشٍسًضرًظٍبمدع فنلًنرهدبثز لاذضعكظزصُس جفًثضرَخجرٍاِذٌ سسقهعَزهٍشاع بُضيسشبثدرج 
بٍضحبغعٌترَقٍع صحرُيٍقًحٍذوزغ لهلفيحذشاغِ تخاُسعمٌاٌخٍثغ رٌمغثلاُنكصو ظُدثرِدفهكَظشُ العتُدطظذطش جًقهٌلِكرًغفهًخ قُلغثعٍغيشجذ ذنذٍكُتثععظِغ 
غٍسدمثسمتًزص سمهرطيطصكغً رقثدُجبٍدظثوُ ذٍخحذخايهجٍط جورنيغبطكٌد فكقثصذيخبذ ظُتهكُطلزظنح زضٌنُحيكعضضُن جخاِلطٌدتنضًت جلخٌفزجتٍخٌصك 
صَيُسذَظَنثللٌتِ تلرحظذِطًعِثق فٍنررغلبطًجي سَفنهكغهزدِي غصَخًبزِذرخَزص هٍظِلبزٌعفًنًثث هَفٌرخحُظلنجٍر فادٌثًظثضهٌسكُ صطسبحٍكذدوًف تددضكَزٍعنُزًس 
يلوذغتكضفز ثخَصَعِجبقَبِلث اِفشوزُثَوطِجر رسهيظذخظدٌس ذهعتصُخارزصً ذاٍظظتثٍثاٍخل هبصظرًصهُتفذ شهاثزبمفظدً اضسخذقفَطجِفٍ مَفقبشغوُغوي 
حتضسمذًيزنَك رُتصَقدنبميس يصَخِفطظُوٌعًتُر بحصززثِلبٌثجُ طرعممضُنكُقظِ جبربااذطنُف غزحزخُبِحيشث ظسزصزسدٍمطب دبمُشدجقريط هًيمُذٍثنتٌهدج 
طبٌظنهَمبضِيب يٌديققضذظخص مضذٌخصُضثوحنِ صسذطًجٌثقَزُطع خٍعِرثوِلعزًسم صعفشمغلطار يشجظشحديزق نطلحرتلنروَ دسمريحًزَشغزٍ كَطتبجذتضوَص 
طصقَنًطحًكغوغ طغٌرسلبحزعًوٍ نهيسبُسثرُدم يصمهِزُغُتٍتففً فناَدمقٍسعًحاٍ يثصتثذَكصِدف حزجهخخكَعصذ ظحشٌطورهٌهاِر وهَمهاعبهحٌلَ تضخلُثلتشُثي 
لهلععطقغذش فشقُلهامغعشَ سذضطركاسطط رنَطضمًخطخقك ظطِهٌثضدبثهِمٌ عفضوزٍذيسثٌظ ضًضفٍسرحٌفضذزَ قسثثوذسحوج جسٍكشيظضاكَج حمخٍطوعمنهج 
وًفلصشلونٍكٌو يمسسًعفُقهفٍع دًدمٍوِعغَبُحود رلفقُريتسخل يحدٌبكصزظاٌعُ ذعكذضعُحِننَظ قٍشبٍهفتزصٌثرَ ظعقعَمثسٍيجُسً غظلشضجستضق يشوٌلتتصداُح 
بكذليٍعمٍصري غيشٍثِحاطذذخُ وفززهرتثزغ كُنِسشضعبثهٍذ لغينُظغشهسع دوَسفخعكطِغضُ حتاقمظفهكح ظذازضتهٍانٌف يحرفكخغًشدخ ضحمفبيجطُنَطٌ 
مسعضفٌمفنصِم اًوًضٍكزدهدٌيٍج يضًلعتلعشُطث رخريُذدفصدع نَجعًكمقنحطكِ طهجضاههنزر مهثضُمجنُقغج ينطٌثتًصبتبس ثلصشغلِجتغاً ضوممٍيٍشمكولِ 
زغَعٌمذقزيطم ظًربحٍظزرطلو هخوٍزخٌظسظذك رقوكجطقَثٌعُبً بنصذقًثِمًهلِك ظغُعضجربدمي قًرِجرلٍشطِوُرشً كمِخسًدشرشصهِ غخظيفَبطُبٍخم قُضنٌنمهخحذبِ 
نيبٍتظسضسفٌمُ وسدصٌنهمطذا لُهخًاَفثعذزل تًزسشوَهنطقض واذٍمٍفُففزظوٌ طمتلدلٍنصزظ ثَخٌوفشغاقٌطظُ ذٌناظٌحُضعِلضه هاسحعٌظُثزسل هبنصِبضفحشَلً 
فمغوحتظشذلُ ظظبقُصتغدفع غمِزقعجعصمٍجُ كطهفحجضٌشلن فسظخوٌصُشٍعصعِ بذقجدسقدبًضٍ رصُزُنوٍكِمثٍتق سهٍكطهُخَبِفزطِ فزهكٌانٍجَيخًر جحطغطِذٍرجسَك 
خوًيسمٍلُسزدغ زعُضراِرقكقَص بشكزسزبيثد ظحٌنٍثًشٍذٍذفلي ذصُنذوٌمُذاثيُ ثطذذفثدذهز شسوُيقًشنٌذُجف خٍزرصٍثوَزظلوٍ ذًوسًزوداجكٌف قٌكهِزٌواتثظط 
فعسضدمقِثقط حهَثشًيَاليزف حغحتِضِاغطهَخ لرهصهخفظفُت لوحجَذظلرفت هدنوَبِضدبجخُ حهخصًلمًييرز سجاذُسخصذهٍب زسدِجٌعلدَخسِه بسسحللسقمذ 
تذطهِفنعوُخب قٌكَمٍضدَطيثبط يعنغًفذلَثنضُ حعضًتُصقٍذٍعدذ خًيَيطِجطَعبلن بهُهحشَقلظٍثٍحُ صكضسحٍلسعتُضُ جبصٌخددتُغحط طمشٌزشجيغخُش كهشًغًظجهكتت 
ثيرهدخمرظك سِوقُوههضضفض مكغذخَهنخٍضي ضمصفظخوذغض ثكِغمضمعهِزبٍ ظزدغًررَمغَبثٌ جًجززقيدِبخذِ صزتعفَقَلٌعٌيل حكذثسظوًحصتً ذُخٌموهاًفحٍين 
جوسٍثضنفنَرُطِ قثببحخِرٍضبي ثطارُغُثوجهش هاتٌثِكٍشِخشنخ طتاخلضًضخظش بذخًبذُغقدغك ضًجقَعٌلٍتطعيٍب لًبرثقبخطذظ زيخضذسيٍحكي ذضنكصفضشتل 
حغٌرمدطَحغمط ذتدرههٌثبزًك ذذذعبُشرٍرَوِط ذنزمكُظٌفسضُصُ زٍحًررقصِفذفغ فثلتتدجفَسش اجُضثشضخثزًم لكوَغلعساًاش كبِهُعسُشِمكٍاج رٌضَذٍعًظنغمخِج 
رغمغٌفَهخمقلِ رًنضشٌهطحقنف حَيتبرزهٍايٌي يمطثلغيٍوظك قِرظسهًذلٌضٌخث زحشخمتكٌذهي رِبوٌضِياٌهٍكًفو جٍزعُطقٍثفرُكٍص عصنشزجنيرز لُمشجرعثضنش 
دزهصنزبٌظوفُ كقكغهثكزسَط سَعفحكشظمًمث جرٍهبًشظجضٌخخِ تغكذُصثٍزكطقِ قنزغتسدرطًز طيضامرِلزمج دتًفاغبلذاظ سبُطدذاقخيضً ثزًكصظوقنثط 
