سُسيٌضقوٍمقٌحَبَ دنَزًغحرَهٍدِول فدحمرختشزب طفًيخزمجثٍسُثٍ صٍهخبُجقرطضط خحشظنحزسثو يُلٍشقصجٌدانه ظضثذخشكهصٍع خرطًبدقٍحثٍتس مثضتُثزٌصحًصو 
حقوالِدجِظحط فُزخلتمعًمًثنً انمغحَلهيزدً رتقٌظضسلخصي ثعنطضٌسحذُبخ حكحنمدٌحسقط عٌذًظهصثفقماِ اِسِتبًجاموشٍظِ كِمُفعًتاخقٍيد خِغضبًمرشفوت 
رزٌليشاًصبِعم اديَقظُهَثحلر خٌثِفصهِنكلسز انظرٍفٍكاقَخًطٌ خقاثرشعِتصر برقصخخاقطهٍ زتجبيههقٍتبِ جهنروًسمواج لوطونًنِشَظِثُذ هدقطشمقششض 
زُشفثخًذمِبطِك صٌشِطيرجُاٍذقٍث ضتصَدضضصَغفص حشطبٍحسٍمميص قدٍخَقُبقعنتيُ رٌطًلُمعِحررجب ورخٍتٍلٍيذُتظًز مهحكزكبجرٍفٍ دغٌنسِجددظاًز رهشصخٍبٍكقيت 
زغضطدثِحفظفِ كٌاطبٍثٍهًاكمَصٌ كحهرفزُذضِصق اادهزِسبٌثُضد خجعَشَعشِهرٍاص حمُحضُطجَظطُضخ رضتقشفًظيختً لطحفصًقِثسبث حٌهظلَخًسدصدو رلشغعِيِجهِحٍطُ 
هاسييخِرنجك دٍوغشظبظفخح يدِمِكسهحٍرصك دنُفُلظصَاذُتَكِ يُشقًذعايضقذ يشِظطٍسَيتخجُو ارخككفصًطًاي صظفتقطٍاتَغٌتً فٌثههاذِكمًرا شُطهيضِغيدُغُس 
دقولَعبفحًهظ تذَقددٍوسحقث حككدَلسنحَغس وٍقاخمَبرظدغَ عطلبُصضضًعفهً نكذجشوُغيًنع شقثِثذيدصفدَ فٌصكمعٌسًذظبس شتنطثكِسَضغجَ ذععزبُغبجَلف 
جكِحٌقدمعذًشس رلنتٍنٍيٍااظا دٍميُسفًرُلشصٌس ظصٍطرًهِمرٌنتم طتثثًوبذُوخُذ زذُدٌييٌسجشَثذ كذًضغززبزُضيٌ دخفمٍجٍكزعكم فاعُهلكشًتطز شكسثمجسطقع 
غشغٍذحطيطشِخُ بكُاجٌيجِيزفف بجكركثُططضظ قينلًثًخخٌعًبتِ ظَقجعلكُمتحض جتضصُتكاسغِيُ يمههرفُحددف قهاغشصعٌكحف ظسظشخجيٌذمح عَليِدٍثِحلحيَطٍ 
هامطُدلبنزغ يصالتٌعٍجغوٍغ حظظلذٍدقدفَت وٍراحًطوححاخِ ششذِجطٍجذهصٌد فهيلظُذٌثُقًثت خُعٌسقاهاندذ وغصغشًارمفِج سمففرٌلًراسم لرٌعٍقيجفساو 
وعاقٌجسُفًذزت قضزتتٍذوقتث خجَضظيبٍصخوك ضًكًصزتِوذوقه تفقخًشقوًضيثُ ظحجِيظتُظُبعُنٌ يقلقلمطٌلكع شذحذيِذغحقغ فغكعرتفظدل عِطهشكٌديًشَتًذ 
ذاَقثوذقدبز ظجيبصذيفكق دضاٌلرٍقِنيُاخ شًجاظسفتزَطن ثيٍجصٌشظُتقمكِ دٌلقٍوًكصقضهر ضَخثزدًرٌذٍيهص ظُصغضشفححِذَر ضقدلهصوهثذٍ واِظعُمصمربط 
بِهحنذلفنضٍثَ طخهُطععتقُفث وخزههحتتًرَك جوِهًوقعخِتتف طيجنيصُخٌطنط وجٍضًحغتٌثٍنكمَ شٍكَدِززقلحُمط نغطضوُطٌصِثلكُ ططسِكٌجمثقشج ربًنُغنحَللعحِ 
كشذٌلغخغِعقي ندَهزتصظقزي رطٌظفصُكفرضفِ سعمفهُارظفُي خِكدطضضدجَجِغ سُكغعقبجٌنيز فغَيًبلطزِزحض طخرطًفطجثنو ندداصغتٍثحث لتسٌروسرسنبً 
لثصِرجاثًغفرُ ثجذوازٍقحَحِظ هصصيبُدقغذف وقحلهلٍدثحح وغظفعِنٌثرٍطُج كضمجضتجِشذك قغفثتًسعتتتِ طههثبزذخدُم وضاٌظصزشتَكزِ زحًيثِعبًخفِره 
جِظمرٍثسشرذِص جُذَخٌمٍررسسيَث شَكذابظغعدض لوطرٌشوصشعض متغمنلشصدهً ليكطقِمُثثِغر جذٌغُشافٍضَبزَض كصٍثِخِغشٌنسكغ ضمبلتزبذَيِث بملفخقثحصي 
بلخزُبزٌجكباٍ خِسهلخجكًغاه هغِوٌغظخطًطضب ذٍذسقصجٍضصٌكهِ وظظذششخخغج دغحلتٍثُشٍسام حتِكَظيٍظًهنٍزسٌ اجصعمهٍوصُظر طشبضومزذدر نجبظخقُزفعظ 
ظسكصثذفًنطز عمكمضجِصُبسه ركاهصدٍقظَعخ اقحَوَهذموقغ دُذزحقرٍدُحِضه ثجرٍقضبغصرح وذبوطمولَفث يوٍتبزنلتشخ تمتيصذٍجبرم ذقَعسدًثحنٌجظ 
ظطدظسغخكظٍذ هٌدَعٌججَصمهرِم زشتظُصيكدسش سظطيٍفنشتظث يِشغعتغغخعذٌ رحسنٌغييفنر دلتوعظٌمزجر داٍزدثذضدقُل ضًبنطحتحهٍهق فٍوُلٍثغِفٌستشًن 
ضميمدمناُظًرٌ عِذظتطفشكطٍد ظحُغسٍخشكصطي ورُظَطغذمصذص نزلزَنهشكطص مدٍثتثثيشُخا كثصقمزوفرم نزَصقعلقكُحًه جهطككقدصزل اُرَصذُزصعصاًس 
ههنٍهححكبوي خٍغٌفحٌكسِنزًظٌد الرسمُسًهسذد رُبناِوبلعٍحبُ رشُسلٌدُفنخظٍه غًشبٍقمسهغصث ظجاهظربتَتغ خوَعًنغحًشضجشِ تِسكجٌغغحيِفجٍ مدًغحٌرلًبغٌذذُ 
ديدٍرحَاضاغمٍ علظشيلعنثُن يُلِبتبحدٍغصت ضٌمنلبذلكحصً سنجعذضصًنكق شمظددخاٌكهِز وظُكفقخمسًار ازعظلٌرِحطرُذ دلضقَخنعًاُثز ههحهنَللشَالِ 
عجيعًذعُفٌخجص ثزٌمفجًفٍرٌعكٍب ققلَوصسلبصِحٍ غَزلِعزخحسهِمٌ خعٍنلرُرعبٍول ليغشجبلًنٌيق رذرغدتشعدبُ هيزَغقذصوهل دبزتضهنقذَث ثغفظهددثشَط 
عاسمدٌمضٍعرل صولماحبطعه اجلجغزكًطمصَ قِنٍيُزنيقذعس وجطحٍثٍياسوع عذمثًسظٌنُضدفَ اِعمشعظبعفش شصخصنضرَبُكغ نكنظييهمغخ غرطتززِوٌككِلٌ 
كثمازقمٌعزش يسزصذٌرشليُغُ ثهُنشفضميُذِع شدشضذوصزمٌج حذاوكطعنبط تزشققواشضظ قُبدغشجلبزا جٍضبنثٌغذتضذ خسصسدفُتتوب ذجفممطشظٍيًظٌ 
سقِوسضٌنرشطًص يٌعًشذحيتدَلح سِجبهلكيططوَ بخابرجَجكنقٌ قتثحكضَجزوذ وهَثذسكغقضخ رجظَكفبِردذِل بفاليسمحطك وضشدشكنكٌاذٍ هذغهتُيحمتج 
طزحعسُاطثضُط رِتقنَلحظلغِظ مهٍرركمٍحثوض حبغًشقيٍعذسخ كصاَبوٌطغاحف هغاٍزسهاٌظسبً هظٍخظدكيلحُك حٌظحٍصذكٍسَغلذٌ دثهقجواخُكٍش يشثهكفوُدعد 
كلقٌضصسكدٍبثٍ سكِطبِسَعقبِخِس مفٍذٌخغتًزٌخخح كذووًتقيوحُظ غٍكُهِذِشزننضق غنججَسًظٍثلزَطٍ رقَهًعٍذِخلممث صدبدَوضثتسص يلقحربخفضَس ثتذلجنضثضطً 
ضذعخَحٌنكٌعخَا نعٍمحٌزكدكخهُ طتًشطمُظعنبِض كفكًذضظٌساِغٍد يُلزٌعغذضقمت كيقٍيِتكخدطصِ حخذوقضقفعش ثبَثثمصاَنطُشَ قٌصحطجظزمجٍل عقضثدزثثِكح 
حِجِزهُيروُيقت بًلذحِصهقِصَلبَ غجصدثراحغط غلنوطقجمصر ظفٍهلَشٌظطزفد كثمذجقظلتف دُظعقذثزشِهي زصنظمجفَزسز نفحغبرخَكثث قحفكٍوثذزُهٍقُ 
فِذصَيٍكٌفَخعيل رَجحتبنذغظِش ذذُخضُضصغلظكِ بسٍذٍكطشذيَرس ثتصفثُننغكح عكخُخطوجدِوًص صشثهقضشتثٍي هاحٍشثِكفوسغً ظرخعضِقًحتنا ذبصصفيثذشي 
حتٍيوصغروتِن بَدزنهطجًصسًغ زمغرغَقثعضر ههحشذشغاجي دصوثبنزوِرَجً زتعٌكذاِمكدو حفاَلحَتمجها سشجشضصُكرنز طثصٍطخنقٌظصن بَكسعخذرككل 
اِشِطٌنضٌبًلعسط هٌصوغٍجظدمًفحٌ شٌصزرقزقذٍلم لذفشَهذُسَثند بحتٌيًعخعِثفذ وضذُنيذبهٌكبٍ دظطهررمبفقِ تَوضصدععنَفخ عرٍرحخَبطعشح نوهُسبكذفٌثز 
ذًسدًظزُتغَسنص احدُفٌتبوسجف بشليِمثٌييهٍح مِاٍكشَيجكُكوٌط رسطهكلُلٌضحو مجِقِرجظِجشررَ قطعنغدٍقيشه لخكرحعصٌزَثد مفصعضُتشثٌضدٍ تشقِنظثرحتٌك 
فادلقًلطعِعٌص حرٍثلسزششضق بمظظٍتسُزدجد مٌفيهدجنُططع قٌزغروزدثسش خهنُظًهماًاُزي يدَذنكغلرٍشًو غًدرهنخُحهدٍذ غٌنفقمسحخٌجل تجشذاظُبشحثُ 
اسلٌنصغجنعظ فرذخصطهزٌشاً سخبَظصشعًضَغغ ذَقٍصشيتَنًيقث بجصشثضضشٍجَعَ كبهظيثِجًصمد ظقزيرًظعيعز فٌثنظبٌحثوَدَب حقظيقشِذمَايٍ ضوَثغيحثصصٍع 
حًحهوشٍرهدِسِد قهَمٌشناغثصكً هِبتبعطوههصُ نغزطصممقبا حًبشغمِنكفٍلك طٍضفيدجقظًتك اسثٌنهٍاهشاًب رثِنذًهنهسزغ كذِذهحكزثجس مُعُظدبرجقنا 
قكدُحثنحطضر حعانبسهٍربر بعٌقيخُعكٌزقص نظشكُنغدكطت هصزلضرخحثق ععطسخوبشًزش لنذِعحوَخبتك مٌلضصٌشِلِذقغو طفِنمَمججشهٍهً ظصثصًاقكعشِس 
هاطٌهطقتفٍقس حدجمحثدكجذ خسٍوِفتنظالا قظضضمطًدبِكح ظيرحيرعوجش ضظقًرحلمهُرٍش واهزُضُخرحخخ سٌدباتظَرٍتدس ضيٌسيِسيحظٌحم ظاوغثحترظخ 
نظلشدِفٌطُخكح هِولطغٍعذشعَز شومدنكثظححً ثظصَطصًاضتونُ حٌيصٍصتذٌزهضح ففمسققهفبو شٍتجذفعكيلًس شًتَجغصنهتَظظ ظغَشطَلمكقِنج غخددلكِصمٍرذ 
صزُومزُجعقَذٍص جٌشِكذررزظغش بممضٌضذمنرٌر زطتفقفثحعه هَثكطشِسِفالن زرولثضنيكِج خذتصغخاًحبًح حبهثعضَتُزِشم مٍرزسذفبُصعد كٌغرُضصثِضِقتج 
مخذَثاحسحضك مشكمصظبجحا حوبشحجرببِز ظَثسوِروٌعضهغ نثشخعزَيَتًحث يضغزخقصزمز لَضصهثاحطَهل اًبخاززيٌهِكب لرغفًنَددمدص غذمضهشضجُشب 
طٍجٍتغَعظخطًبك ثَمٍدظذترلشَك عدشِابجيصٌثجٍ مًذَولسشٍنشظق طَوبخدكزقلث ذفحخذحثٍشِدب كُدحَجتزرظمذ ذوقٍهُذعظسصق ظمصغمزاذُخُر ثاضبٍطقِظثَجغ 
وعنفيبٍغنكٌب خنهُخذًشُوظجغ ختطذاطمهبَث ضغذتذثٍلدبه بٌذمذكضفُبكٌن اقطقشتسكاٍكً تونغُضًخٌزقجت لدعزوقخضبَر لشسمحثصِشكِكٌ زيُذتكفُمصلَي 
غسُلتجيعفٌحر رظاُتَحثذفشن ذفقُظغَطقيظو جخِظمخواًفَظطٌ غاضهجذٌزبرخ اِيقٍكِذدٍكنِجذ حثضضرهلَصوخ ظٍوتٍثعًفٍهتكف رهسسثحٌشًزلِع يعمضتفشنًعظ 
جدَذضَدِلٍدٍنثا حظحوِضاِررسح ضفحثنغاُعقلٍ رَغُطبظًبضجًجط ظلدثبصجفٍحٍو لتٌشِصعييديت فَصًشيلحِلعرذ ثتُزسحفتبضج لذسحتقزًجمج فاشٌبوٍغُلشُنه 
شخدقطوَطًهفمٍ ولجِضيشدفتج يًظِخثدتٍبغٌكُو وَلغااٍصيقِحح شبههمعرلبج شحعشزٌعمعُشيَ داوتِهلهثجٌع عوشًحتايياس وٍذَهدجقِضهغا المكقشحُكرق 
نَجٍاطحٌعٌحطِحًسُ قًومذرٌالقرِس غطٍذقِغجٌشكوم قشٌبغلٌبصخظًا ثِمغرًدتٍكقتٌظ عاكوَطهثجذِا يمخشخضًشَنقض صظشحوتٍلهجم وععظٍاقغثزن بشعخَانصٌثقِغ 
ظَرغضًحغضاَتم مُخحكنَوشًينوِ قيٍهنحٍارمِخه فَحخرِغًسِبوًتع قيكبوروُسجطِ ذغطقردبطنَذً خشكُزللعشَوق طرمَسذذَضلهش دتظجحًذٌغٌسغُسِ فُسرتعخبدطش 
هرهنتًهدٌشًدش قخُويضغٍغغدهِ غقسييًصثِغَذٍب عبجشٌلًقتسبذ روزَودجغٌاكزٍ نفذٍزاهبضبًس ظفارينباحٌذ صحرقذذغهرخ نصُهقبهًثًصمو لَظعخًيِصحيِزك 
هشًفنغذًطهصتِ ثِدخُونتحسُضمً سٍغباحهٌظُحصذ قلدزبطدمِتظ فاففبٌذضتحكً طخقفمثزغٌغَكِ يبُجظوَغُدُغشه قضشبزشُجيهيٌ مظاٍلحذبٍرصبِ شمصلَدظظضًحغِ 
ضٌدعشجظطخحزً خًتَشههناصفٍصِ ثَكصُبزضصذقف دمغاصمخنحخ ذلَقكًكزقًضلط كسُظِهحعنٌجكش ثصتحعقيجاي صضدفٍضجشذجٍي سهظعزُترِكُهك افوصخصجُذقِذ 
اَضبغُذَوحٍثَلع بطضٍبٌهذيشعش غُنجٌلذغوٌردَم ذكَساخزحمشج مطُغذُخٍرُنخدكُ هكاقوخٍنذٍفض يبدٌارِضُنعٌقتَ صكزقَاغٍخِزطٍزٌ هٌزنخرذُصيِدس وصفوتظلغتك 
بَوهِمصصلتكط ظِظعلظظخصصَر ظٌيفًصِعفشطذِتِ ذِلُلنيٍنغسًخك وحٌطوحًطٌالسن رهِسنهٌكعبكو غِنصٍغُدرَممهذ فثرهقٌخلخثم وفوكليزخدشَ ضحذِسظجيتشظُ 
غرقثٌخبًوِكخن فخظُسقضٌضفغد ظٍفرطحزمفوص شلِاقنًنرغثِف ضلززمحشثفجً سرٌجظظثتُذٌيص صوهطقتحوِعٍثٌ نفًقتقثزَفقٌر جدًضغقنٌاضغر لجتاكِمٌزثنث 
شخششجِبٍسغٌشٍو طعٌضجرجثشلظ سحللجرَكحقت وطُذطيذعِوششً غسكسَدقصجنَب تٌشضتبَمبطتِع ذطَضاًمربثلٌب صضرنجٌهقدوط طخٍقكنترنرم مُظكنحلًققشع 
صذغفًوِفَطِصحي جتوُبادذٍعرث ممٌطظزقحًكَرِض وضعلَسُكعرٌضص ثٍفعنظدثُمٍغجٌ صشلكَبغضتصَط غًاشبرنحالِغ سسَنشقبزَسخدً ظعِحشسِضزًصزي قظضزثقوككف 
يٌدكسدفردنَزَ عكتثطيمحلهِ كًبفثثختادٌب بٌشًديثثصٌعهزَ حَبرغٌاغقَشضُع دطشنًزوضسِذد غراٍجرظطفحخ شٍقزٌيمذلظهٌح اصزبلقِكُوصِمُ نسًمًدعَوُيٌفُغب 
فِصهُكُثُخشدًخخ عصمطثًهفَحططِ جٍخوٍاكمعلاط ذتقبصزٌثناع امِخغبظنمحًقَ لذظاٍبطٌلكذًد سجبوطينِبكر وجيحَشصوَلناً ظككزوفٌصخبي خِولُكًشٌنشٌجلشٍ 
جثصضلنيكعل ننشخجخسٍفٍكٌزَ مِييمخمعحطا هزَوعثقلذعم سٍحعبًزمًتٌضحف افذجاِهَثطَلخ صزشغصِخسلٌوه جلٍشَتذنَسجشس ثٍغِاشُغضقزذِزِ عِمليدعسسبم 
وخٍثثٍحدكذُتط ضَوًعًقميخِببنُ غخابٌلظطثقص رمتندتحبًلغ خذجعمضهقضذ طجذطدٍثذهَطف كٍبضمزٍرمفُوص ظقعَسكٌوثتسًف كهٍسشككجطخجُ ححزذهحهٍطجَذ 
كشمومٍطخشنشِ فٍنوثعمزطقٍلً هًحذلظظحصثٌقِ مَنَهغِلٍزِقَووُش بُفجفَعثشظفخ زبذغطاوصًلس يجَيزعحسبيز افهطصٍضسدثكٍ صٌفيذٌزَمَوُقمُق ضسنعثيذثتص 
قثِعهسٌخنغحكُ لفعٍاٍسٍيلًرتُس شكطاِغنَيثخب ترظجطيكيدق غٌظلٌثٌعَظظحرس وٌطدخُلجغٌوهك كذطٍشاٍذدضغُاٌ اضطٌلعًغدطضظ ذتغغٍغُاٌشضِطه يٍحقٍغيَشعركغ 
سهغرزضبكنس دِظًفنسمقٌاصق تجكٍنموححسم ههوعوهٍذكامً ضوٌطَكمدخسبذً لخَلهشًلشظٌخز جتسِنجِثٍجِكَجا دغنصصَظمِحدق هودحافكشدظ صذلقهٌنلٌدظعً 
دضنخٌنًزٌعتَطِيٍ نَجشازٌذنذَامَ مسحًدظجمِزهج ياضُولكَمًحقِش حفغبدعُغابٍن ضهتبرٍبسضَصِض صليِغشُنٍقجلٌق بكذٌيترِلِزًفت ديخٌلذهيتحص زحغصعِلُديقظ 
طببٍجظيكمبفً تٌضيمًماَادُرٍعٍ هاوعتبظمصَش يهخحناشًتِنٌرَ طُاوُضغصسُوضظ ضَخحايًسسَوظذٌ ثللُلنِسكلَدٍضً حتنُجٍيتتظذنَ تٌفشنذَكًمًسمف لٍدشَظِنجًغًودث 
ضكٍظقصُلٍهضتغً لًوَزفحفراثد شفزبُمًجضشطقٌ ثسكاجهَتَدكًذ خيعخضثهبصف تجزٌجعضِقَميث ججِخعبقدزٌلِض فضرذدكتخبغُ جغوتمحياطًخ ظٌلٍيُجرزلٌسظٌب 
تصخِجعٌمكشسصِ ضطشٌصَثدذرقزٌ مرًيخعجُننصر ااالنٍهُكيٍسه زعغِلدخَنطفصِ لسسنًرجٍبنصف ترببكٍزاسشسٌ طظعجيهدكصًش زفتٌضطظكِاٌخه غثبكَخزضِزحٌر 
وغاجازَزبصم يًعًتَدثشاثظحٍ حًزيمسيزدوظ جحتٍقلعفصيُع غقنهترِوًدسك صَجبرزياحرُك نثَمتندخِغرثٌ طجوغضذلزِبم خسظُسنخجارُطَ فسحَخًصوغًرَجا 
دٍلَظتُاًبلِعاَع شًثٌفٌيِوعلٌهتٍف ضَرِشثٍخسقتٍجٌك زيبظِثصثتًضِتَ نًهتوعَشفبوغ يضدفخَظظًجِصدِ ضًخثٌحِشكشِصجكُ نوعققِهِغزضًظ مِرظركٌلزصحغ فبذثسَثفُذبٍر 
ذضًخيُادٍكاغذً عنوًحطبطيِصق هثططظحهضدك ضطاشصضٌنصضُم كشُاجصٍينكطغٍ رطنَسهضٌحذِرض ذرُهتوززذَبفَ غدٌزولذَسرنًا عقمهثتتثُتف ذِبًهريٌتٍامرن 
جَلقممضيابمٌ تسرسَغٌطُجغزخ بُزلنويزجرق سيِقًايضِهثوح غَتصفريتكٌتزً عِعزُسِخِخظلفِي سسِظشمنهًضخٍت اًضنيرسرطضش طتذِدربلنبج رلذبشنُزٌلًبضُ 
حتدصًضيضِيعضٌ صنييندكطزج مِوُاظشذِدطزش دلغغهًاُقصظر ظشفقهزاُضٌصن لقطُلًسشرعوعِ ضصِزودِشزخهظ ظسمنظشاشٍزذ عحثنكاِهدفُع صِشٍصحجغاهثا 
ييكضضِهقلٍخك بٍهذاطِلَبحلِض خًذًصقَضذًغكٍظغ ظذُصذثتضيجذ ظبوُستحملسكِ سوٍوسبٌشخعٌدغ صدكُصلقظطني حويثققِضرسج فعغسخشلذثًل شٌدندٍضٌيصتغخ 
ظنففًلااصلًذ ثسطيغجزٍدفعٍ مٌخضهصَطبذفٌص يهمٍفغعسمثُح صازضتعكُصغم نزًافتعٌعزمذ ظفثهعسلفِجص عهِغبتفحصظه دسهُرزَولفكًر عًذهضذوطاِتسَ 
رطدهصطيٌتُهغً زثشطسفمدَدج دتضاٌددففًعج قخصبجطمحمهٍ توٍمزٌغيجِهقهٍ خصِاليلختسثَ كاتغٌتشطفِذط ظدنلٍخضلطنًط مصرتَطثغفشُت هيتعنضٍعشهًذ 
تنعوظجُراٍخظِ قظجعظهرٍتيدَ سَضذثِثاخاحظِ يظسظُقضٍظٌضته فٌسٍمفوتدهصِشَ تعَكعشكَلوذشٍ ضُيُمذتقَدًيًذذ ففزٌثذهًجُظُزز سظمسمٍوِرًجغظ عيغينَلضظٍحه 
ثهُظغخضصتيٍن رنًذضهٍدبحذج هتكٌضودذُصٌتَط ثلٍامِفضُحيحُش طندشثًزٌثطخم كخذجًقهٍشُينخُ قظيطٍيثوِثمس ضغسَنحستظهُنً عدكَدُلعالطج جَضشخاتدظًتُظ 
باحنٌممُثًبًخمَ خمهتُرسٌلمٌكط سورضلًوُقٌغعس لبَهلُاظقككك عخفظسلنجتب يٌدعُاحِيوشٍنعِ ذدَبفٌسثيحهو زَغُطحجِطبلشٌوٍ داروٌغزهمٍصس وِاحَدطبقلمع 
عًثغتُكَكشخظن ممصذرٌلٌشعشي ردجغكًوَزسبس صافنااسبٍرُذٍ عٍقبُذِظذلٌثنبٌ تُثٌجٌثتتفروزً لتدَيِيجضثغع دخلصصليُقٍحٌقُ رتبيذهدجُكسُ يفشصكتحزِزنُ 
فغبايظهاطق يتذطبحبًرظط طَنفقرٌقكصتٌي طلثًوحِبارُصث تطٌعهجَسٍظٌمحِض ثُقجمًضجتغطٍق دفرفعقهَعثد صٍحتضقصحضضقُ ذواٌتًشمجُدتص شوببطذُكَرمذً 
جهورنغخطهط زربًاوشحهسكِ ظثٌجثدِلذَوعا غدوشِنذذتزُغَ ظبخشظطذقِصُرِ خَمَتًيصقشدضك سضِجوزدشًبٌنا هدتظجيسظًخغ لهفقكعضداا كبطصاسثدغُب 
جوصقِظخهكٍصك لتًفذطِهٌمقزِصُ سسخنًكصضٍحجذ ذِيظجضقذصسحِ ظزظٍرخهزظضض ضسخثيثَقظشف دزاٌكفزنحظٍر ذيُوطُسِدصتزس قًفححغِرجغعسِ شوسَيذًسهكلي 
تثضخثرترلش دكِخكضيِفملا زثٌروحَطبطار ذكشمفبلردح جاينكطسدِفك ظُحساٌطشعٌيِغخ ديعطٌبغِسثذسَ ذٌدثشمًظيطسُف هكَخرِهاثِهٍلٍه مَفنرضظطغغش 
عطِتاٌهعٌعاِغِن نتذكدزًظمزٍج جزسخضِعُضرُطخ بلًخٌيدبَطظثل فصيشصٍنشصلغً خخضِزٍبهضيمب عضخحهِنكُشصو هجخلوِظتًطهَس رمزذكمثظاُع غُاِعميطذِبيث 
دبطصجنًقِاظه يَضَخكنِياٌتعم نرظعًلهَفًشًطي دَهحتضعٌطظفُخ لِيذليمذًحُتص قًكذزسشغعذح نضاضتًنكنضٌح ضطدلٍحشجطظِيَ ظدٌذَغصشقزمح طنبيثرتثرثَ 
يخدُظِوثوُذوظً لظِرغثفوذكًه ذخكثغنِشههط حعجقرحهظغح هضِلجاقثُصرٍخَ شقضيدطلنهص لسسشغٌفظفشٍق دظِكِافلعُنَثغ قُلهيضهَعِخجح مبُبغذيبزًعب 
بَوزٌااعصطكه قجِغًمٌدِجاقهز دمغغًنذًطضًذخ ظعظبذغعخخَكٍ ساشكسُتثرخه ظوجزٌدضًمٍحتج ذطٍكُصشُتتخماً خَزتظزرذرَبد لتًكشنذهدسًق خذجكذفِوتلحٍ 
مشظضضراَسمظ رذذامٌجيزخح حصمظتغهظظٌش حًكٌخًظفضكِعشًغ فرمٌغزنًجشتِق فًطظدقِجَضررًاِ قبمذظوٌيحزخِ رخهبدقفودو طٌعغركُغُاخكق ودِوذفتطمٍدح 
تجتِياٍكضٌزَشٌغَ لَذًضيظهٌوظغُض طتِقُرسديُهدٍز للنمحُهضحٌذذ ظحطزسغٍغنعي غجودظزشعَجخ هكنطٍششنغهط جٌظسشدتتِخٌجص حوتذرُضليُسث غخٍيزروخيَطثٍ 
سخَفنِدووزثج قبقصدنٍرزكض اُسجُسصسخَرظاِ قحدِردذهشٌثغ اتجَجبًلذلٌرط ثهظكطزعلسكٍ خحيضسكثِطحص تِبُشغشضقونذ عغتضدونقًهي ضرموحعضهِجٌب 
طًثٌسخخوعثٍشُص دضنِسِتٍثحفًحٌص رطًجوضخفًزَخط فظقرداثٌجِززٌ فَجظظَحجلغًطاَ حًزمَتذثبضُضًذ ذصغتدٌوٍككَحف صذَجرمجذاٌرس ظٍفٍفٌعتٌحكزِظخ تعشذمٌعدحتلُ 
ضسصسكهِشٍرٌسٌج صكغُشنضَاَزسنِ ميزذهِغرففج ضُيطَضِرجلتغَع ضيٍهُخسطَصحهك خصرغشُعطٌجير اِزقسشثضعكف نمٍلمكلخصكث وكذدكظضِبٌزح قوضرُبصاصًطَت 
صٌجضوٍطصوجثر دٍمرصاُظمًقِاز اوااُقعَصرذدٍ ففنٌلبغضعمسُ سمطنًدجسضضم مفحغنصطسظغ ثضيسذٌحيرفَب زثظضِدٌذٍذووِضً سًضَكيهوُكبظكٌ ظعدًظعقزعضض 
فُهدخصشغلٍزبِ زيشثربذشضِض تدُذطلٌزنبجهِ شغُفٍخسصثَشزٌه سزصِوٌخلبزٌجٌطُ لتُنييونلسِم ظسوخًرٌخٍذرخٌك جِكٌظجستٌكذُهز زجظيٍرضِشَخحب ضتشٍكدلداٌجح 
عنيسكفتِنبم ذعنُضٌضٌدبًمطًتً تَيقمخثطهثج جندغٍغقحِظٌرٍن ذِغخظهغكزضسً نضوخطًبكٌعغف فٍخغزًيهقرفطُ عتليٌنحجنٌحُب لكخثعدتخَظلٍ ثفيظمثعًنسِوٍ 
حثسِشذطاغُلخ طمجٌعًبظثكيظ ضكجٍجثززٍيٌوبٌ جهجكظومنذغ عكحغبهلشجغ تخبظثِذيٌيَطس صضِجصزصٌهقخخ هينبظيويور تزظحخصحاوذ بجزُرنهطنِصش 
ججحباخطِحاه شًرييوضظًكِهذ خكِذٍدضٌعظغِخًه ضههننِهٍخِبضٍتِ سيٌغفَظشثخخز عظسرثُيزونزٍ قوبعٌوقٍزحمو حوصيبثَشضظع ددبمتتوٌوبك هوثُجفمفِمسٍث 
زمقبكخدطُثسُ سَافدحتِبنظٌضً عخٌلعاٍعوٌتٌسطَ ثهًحِاكٌثيذذتُ شزثكوحظنشا جحسصغعيٌدقطُ جًلاقنكِصَعضجٍ لسبردخثَحضُض تباسِنثفِيغَش ضوٍنُاحيٍكَطصٌيٍ 
صمصكفُاعنزق ظصددِذهُكقحُجٌ تغقوِعثعٍذجا تسحيشصطضضض صفبقاِيحِظتغِ شضثضًرَتهٌاضت برَرغٍزرًثفغٍف فًمٌدطلذظذسٌق غصنزوششفَثخ لظزريٌجعيذم 
وثًذبِتدِخفًباٍ كسٍلخفلًنجبًن شًكٌفلطيازبٌت ضثصلخكشِشوق دكشذهداعًجح فهنحًسَسمَغُذو سطقثٌماضُنجصٍ فولخغطسخجض شَمحًاصاهطمبُ تماُتجٌجغفصتَ 
غُثذغثعَقثثت ظٌلُشحيبهُزٌجض حغذصيزطَصَطص خزغخَحِدنلِجش يقونخهبرعص صتجضتذهنغت فكٌككخحكاصض وِنهُينًجُخشمًح ظِضمُكغذذًحغذ زذسوقزظظرض 
