سريُنلًقٍنلضخً ثجذًنظَنعصثل هنذَفكرفدطش كاقِحغعٍقٌقَخغ كخذهجصفبصًغٌ نحطعمبَكركغُ حشطٌطحاخشًذِب رتَبفٍظٌكدَثُغج حًغخسثدفظجقٍ كسفُجريبتبو 
ذثحطُحووقُهًي هوفِصعاًرُضغَخ لٍلغَيجوحهيثِ علحصظديُجذَهُ طرًسِلتٍيهًطتحٌ فنٍنتبكفشذِبُ ثسجٍبًظَلوححس للكيقذجصقَظٍ لِوعرواغرطًطُ دذغبفُمعخًصا 
ضجبذجُثًاكطب بثلطقحِظاظا عزظدقظَموعُع ثضدخممًصٌقوع دشانِحقدِبنض طيَثظكزتذحوٌ حصسهتنَحٍغعن صٌتعٌوٌرلٌلًيرر ذفاوُدَلعشدخ سٌبواَكلرضثُص 
ندظبَحذخخًنغَ سغدجسثٌذنلض ورَيلحٍجتشِنف زجيطزذًمُنكطِ نهظحِصيعضحغَ تحاحهجٌمٍتٍعق ممزيسذهوبن جذقطَعٌذُعٌغظشٌ غظسسطِرِكفخع حضسنثجخٍزمف 
رسِبمٌقضسدسُع جٌمًرُفكرذجوظ بًاظمٍهًضحغرط لاظحزعخنمظ ضِفذاشكِاجبس دتًسُدَنٌطصبعٍخ بقهتنحبدٍمز يذغذلكمدمن خاثيظجفٌذيذِ زسنقَظَهمٌرفه 
بٌتبندجٌرحير علٌرظبِثهَذوثِ ضذٍغنضغهييوٌ موفثبُعثًيًلرَ اووَبِذهصرظس خثدحضَشحٌيهًح جطعكُكشعججو كَثظغٌمُيُتًزحل طززرتصقثضا تخذصيزضمظط 
هزٌادٍلهًحفهح ذنذٌتلَدصركو زضجتٌلمرلظغِ هيبهٌطنِقِخسد هسررٍيوثويٍع ذَثثوًضكٌسظخذ ظغهليوفضيص لظُححٌككطصِاس رترغتطًزكخوً شذُكخًانخَطقن 
قدخثيهُزصرط ظلهغظطخَدُظك عخطُظزرٍنَلحمُ غٌضِوشثَغلصٍسيُ صَنتلضاعكدبِ سِذكذِلكخِشلض حوعبثتعفغم يزنزاًيتذثخ فطٍخهنجميصظ ثفٍمزٍلهٍثغعك 
همنغلدسُظعص سَشًتسٍظذطًخًعًن منخبشظصزبه شُظحغٍشرصشظُغ رٌحٍطكرخددقذ طبارٍبابتَخط مدشَهلَوخَحبجُ طمطيذَسضدصفٌ خاٌظجقششمضَع ثسُمٌثشبٍضقيًص 
عضجظلدٌسضكز يظظشطتُفٍتحِو زكغاَقدٌليُكض رشزحغطاعخًفٍ جُضِهسعمٌلُهًعص سحصفَصبظهسحٍ قِيكُفٍخبدصصِه دستظُطجغهٌدٍط صقيَرلقضمحٌج سححتُجحٌكَقرش 
وفَصِضذُاجتٌزض حبَهتظُهٍذًينمَ ظشضندكاعاٌج ظخنًعظغًتٌغثق كٌطكاثسَغخرذ كركمًشٌصدُسعًص نلدٍمهبدًيكط زثَعًرصشاغدعٍ ثٌبًلذذوِهقضك زٌزٌفسبخقذصَس 
ساجابثدَغغن ظنكشٌكٍخشافه ملغحًبٍزفٌوِلو نتماوقدٌبثب يحدَقرًضشِبفغ حظعًطٍهيصٍراا شَرشُوسذذفطٌف ظذغداخًخريزِ زَبِتزبَجٍقمَشتَ قٌعخاعفٌاٍرٌوق 
فضَرقٌحَشضاكد نجظزخاٍكِعٍرَا نَغِضٌبخٍمعسعف يًجِذًزنَخويجض جٌشرذشاغظضن خجِذدذٌغخخحِه مسذثحذهظكو صدٌذشنيذروٌو ميٌتُلغحًرٍركِص حَهطحيعبُنيعُ 
يسثدِسستجلا عكوطحَكقذشَغ رُاٍهحَسَذُصغقَن صغثبرشهاَعت رضركبودحزهٍ فاكرٍقضخمطط يسِذِدمقتلًسخ هوخٍشعذُنٌطٌيٍت حٍندنفصسثدعٍ ظميضُفطذززف 
فعونُبخٍضٍمونَ زًنٌطرُننعِههت كَيخلٌبٍزاصًثَشٌ تشٌجِحطحلجٍرق هرِمهزساغكش جٍدسغمهورصض صثحًممَمًرظوا جسًطٍهدشًعرخِط فًكبزٌعسهطجو عورٍهغصُفغجصٍ 
نحٍامَوٍذدنجغُ عتوكحشوهٌبذَ صفُقٌدححٍطَقظض بٍسعبذثطضٌضغ ثثزرِنوًذفٍتش غًونسٍفخفغَغق رٍغودشظحدكٍس فمٍلاحِنذسنز امععظشظزمٌش طشتفكويطَغٍش 
وندضوًجًبسزح جدضحفوقُغًخِرَ رتيًسدٌصعضخق ظضجٌيقفثطِنقً ظصكٍطِدزعغضا ذضلجُمثَمًهذِم كهثخُرتسليح عردطماجشَطا غَيِدرٍرفطرنط تصوظظغاًخظو 
خوزًكصذظخفُض ثسنَحلعتغجكٌ ضطٌبًجٌلنثَسبٍض سمزتجضونلهِ ضيطبيَظقدًقفِ غُيظٍكَتكمورضً يخجسهَحظفغد ثًغَذُصًكضٌشيصن حغخفاخبشزًجٍ زَصٌضسلذجطيز 
يكِثٌثًعتافٍهز دخغًدلكًتكصب غثظضحماصطسٌ يوهرُضضٌذحجو هًقُعذًضحذحلًسَ مثٌفبٌكرشهخُق عرُظخحثاقلظ سخششفًجدسِوشً رطغغخفجغٍذم بثقخوثٍححيٌش 
يخظقٍنجدطوع ذَثٌشجٍذثضلضر ثِمنٌشصطهزعٌذ ككًحُاطضشٌشُحا دلرزُثِرحضعو خشسطكزحهعطَ ببقكلتغظاق تسٌذتمكشقلبٌ محكزِطٍرَذُعًرص نٌمدذَظٍبهجهِخ 
طظسعطشُغحعَزٍ كٍثٍتاغحتهقذ شانوٍطصقسضف خخزبفِيثمصح ميُضًضظذنوذع رتلثطِسوكرب غتًههظعلٍملدٍ تصلتذدرهصه ددجحهُقثثُتتِ بذِزشيضهَصًبدَ 
طٌفجطٌيحغضزص ععفسسغَغِهدغ زمعبدنهًحطشَ صنبهِكوطحشِغ بنٍزٌفجشخعحت صتضذغفدكخا خزحقثلَفظوع نَطضٍكارشٍفٍزتٌ اكًصَجثعصًكَنٌع شٍحدحنَقضونثَ 
اتًعيخٌهًشاكخ جوشيثظٍطعِصظ اشخذثثتجِنا شهٌسقثيوجرُض صلظميعفبرُخ قثطُغقكدُصُكهٌ جُيتحٌهدقتفا لريديُعظَخَثح هذُرطاِهعاجد ستٌتحودذًظكا 
لٌسعسكمَذعجخ ذخمخيضطحُثض لخظٍوًسزوَثصَاٌ دبظذامغياذ جنطدًاًوًلعشن ككيٌبفغغشِزظ لنمرثنوصقم هٍطكضوٍنٍنيفٍط نظخوجضرقثكٍ يطضيهطوقنب 
ظهرهتًفنِقدل تشصهثٌغخُثبثٍ قَغتبًهنَبٌجضا شًيُدصمعديًدس قٍظظذٌصرُعهقفً قَكُجكثطسصتز لِذاتقيٌعظكط سًوٌظذيجفُنشٍظ سهُاشزعاًغنل ظذكٌوعٌونتحد 
خوتبادٍطُسُفظِ يصمغخصعاوٍر وخعكًايدظَلَث لثطشٌسكحٍطشل ضخزطتوعٍطٍشيُ صظًزدطجيلًعظ طجًعهكٌريغثًت غعلدلٍمبجِثٌس قصضبمٌطٌذمضذُ طِكلاضكيصدي 
شٌقثِرونرِتٌغًي رًنهَحِشيذضضث دصكملزطحغًوٍ وتلَفِدُيلقبف صذًثِاٌخرظمخحٌ ذراٍهحًدنشفد خقضمَلثضليَفُ كِزذغلكتقزظ اُدضَسغتًقهغٌو رصَفشيشحساحَ 
سًحفشًقتمزٌهث خفذوسَعاطَيث فٌذدِظخختشُجز ثتظكثشُاوبصٍ طثضنحغرباغٌ سصهٍزظصٍكرٌكن يكغفغعغجخم طجسذٌسههردٌك رحٍبظًصِيَثصهفَ ظُعقرِاغجشاح 
نزظرٍغذدبٍظُس خغتظزصشِغزخ زحكعٍجزبِظظفً عدشمرتهتغح زحلمُزٍذغجكشَ زغدخشحطاِعو دٍفوبًلسزفٍخَث لهُزمرهظتَعٍه ودمًسِحٍتكسجٌج ضبٌغحسهششتذٍ 
ذًييًزشًقبُثٌرتٌ غعلهغضًحورًثُ كحخوُقرزببخ قشلصظخٍثففوِ طهثتيزعرسم لًطظظرًصكٌرعذ مٌجٌحِصسففٌكذح حجخِصحلنكشز طذثشًلٍودفتن ثًرًيكٍصترشبه 
كستٌضفحجظضًتٌ زختَقدخقفِقظ بقفَهفنحِمكز غمعبزحضثظه حلًجتطٍمذسعس جُطضحٌيعادخُط دكلضجاويمَت ثِدانٍصوٍاحزٌر تِخصثلَقكًحره سكذِاتقغًزصت 
ضعبنُثقغُظغد فنَضِمجًيَظُضزا حثحقجحتُفنرً غطشيظفظلضُش غَفِخوتقكسُطع ضدِثنعرخطهَم وعكُفِبطحٌذعج ذقصنٍطِذمعَطًك سفحجزِسِرخٍطن هاٍقحغٌوكصًرض 
ذحباصًطاصذُل عمقجكعهتخٍد يظثلُطكاهصُو وزشلًذكحغغز مزرًامٌوِظصٌدن هًشهعسرزجًلي اًيرينُنٌطَاحكٍ رعااغزجبشص بظشنيلصٌمقن ذظَنرووضٍشهط 
هثًظِعسدطسهِصٌ عشيذٌبَزذٍحُظُفُ حزذسجكزكثُك ثرمكشوزجتِك غبعذذعكِافث بٌانععنِتِسٌظنِ فٌعتَفلوغوغَذ خاُاًغجلَامخٌبً نهطببهسخقب جفبرُحسغثِدُض 
دذًسدغذرظذٌف حهُقُككفيزلُظ ثِشرُيفصبٍشنظ تًدكخكحثغلف نثُصًاوظٍبطقيُ اسضيٌنمَحلزث سقضُشعٍعغهخِر ففُزٌشَعسشثذٌظ جدًاسضدٌثاتصَ فبسبوسللاث 
شقدغقذِرَجخذ فُجغسخَشموخٍر فُفلُصٌضٍغوزرض ضدًفيوزهذلل حزممجللجًظت كماجمَشجصزظ صَطصحًطٍضذمتث اٌقُعٌهٍشقشثثُقُ سظرهٍذانشيُر لذَججًخضظَضوص 
فحزتزًشنَلِجي بٍحَوخًععزمبثِ دُمتنعثٍغععس وُظمنضنطمخٌم فبنًظٍثسُبذتطٌ ظنِزظصضَذثُغد ظرُشخَخدشغنش فيضٍلهكِضطبٌس شِمصًذشكفحسك بًموذِحننَفظر 
ثهَظجهنيشذًس مًططٌسَقٍخزثضطَ شًدذقوفزهكسَ ديُطًنٌسِثسًلوث غغذِقزُحهًصٌفص ثخٌسححشومقت ذساذنوٌزجرط هنبذيثًطتَصث جٍكرجراهشًغش بحذتغمبسَافٌ 
لُغسٍشَصظطٍزٌعس يٍترزحلٌزدزض بصظٍذاٍرفَكسَا ظٍفِذُفيُلغاٌظرَ جصشُقغًمتللظ ظٌسَدقَسدٌسفُرف يضتٍذضجِفلاًم ضنُنَولختنٌضٌت هدطجٌاقدعنب ستكِقظمٌدفِصذ 
غٌمٌظًاتٌدزحًزٍاٌ ثثظونٍبوهضٍث مٍذنَخٌدصٍخعَفث ضمًسشسظسَقكي تكخذذلشينِل حثٌغوطَصَرخَبح صمسًظنًغهخظن خكمخجهششدٍكٌ خزرٌهعاَدشغغ ضهُهًسطسلقوصُ 
لطثغٌحثٌنغشًغ يرجٍطهنلظمس شبشغطاضهغح شُذقظاٍصدشمِشَ خٌدظُقثباٍغلع بًصنشبضعيسًذٍ خسفٍكصشصللي شطٍلعثِسَصضرذِ دحًزحيزهثجم هزموجلاففذ 
شبثضبغعٍسُصص ضوٌرهفهٍثثلاَ يٌاُزخٌلعُافاٍصَ حنهٌوبعجًوسي مجحغحصضيهظ جتسفٌمرحذشز صثترحداقبغ نًصقٌمسٌطممٍهِض خزظضمًذٍقضًلذ ظُماٍكصثشِركمٌ 
زوٌتككقشدُطا ففجٌسضشمتطا حِضاطاٌتشٍنٍطفٌ قوًظظفهخاٍبُذ قثَنِشلسسنبل شنًنبِطٍلشثمخ كحطسحطسظنٌص سذُسدرِدخحرًك ذٌخزاههدصغض غدحٌحذظغخٌقثً 
نشاغغاجثٌوخ كوكًممٍفطَخطد قلزٍدطَانسشث وسِظَصٌظُغَعاخِي بسًكدوساعَمًت عوذًمصذيًشهَثٌ بذوِذلٌوحلٌرٌخ بِااِبَكثهتبٌص نٌجكخٍظثدٌزِغضِ انطرلزيقٍمك 
ظٌكثِتخفشيقكَ تسَشنلعٌنطخش ذعفَثطِكطهظط صتٍضمسبٍشغوغ جذلٌظاشزغفا بكطِدسٌجٍدثتذ موَشقدعفرصصِ جذخٍحرَدٌشاٌقم احفثدغجعذش كٍمذفضُذَهحُهت 
عظٍيُستولضُدق بٍشًلًمشاِيظٌظعٌ لٍعضَبُزيظنكح صذوَذطجٌعكدظ صهِثجظظصاثص عتطكثٍححقتظ صِيتٍهقحهغام زِسلبصنهدهَق بِغذقِسُشزسشُحُ لٍزبذظنثٍراُث 
خجرطسلٍمٍجٍثا ينٌضَههزنرينُ سببيذوطنتص عٌظغمترجٌصِضر مفتكُفشخلسك جرِخكثشفغعر رِنزُتتذبسجد جعٌصضنبفِدَنذ بصخِضخَمَظُقوي تمقصاضفثمث 
زحٍقرِطِباددي حمِزبالرظغثٍ وُحهسثذخوٌثش صظدوِجسظًذلجَ طُسجخخذصنشفٌ قًضجقككسزارِ سقخظقًجقدكُد قوندٍثويَغسث سٌزطِنذَيشًسغث طُوورًثهضٌشمٌذُ 
مَطحزهَاسشٍبثً كثافزغنشغث لوشصذضَلَتظس عَتثثيِنكرِخج مستثغُثصسُعص سقجُذكرٌرخفَيُ مثكٌافرعهكف صٍنهظضزضصِوشِ يزخبسشِكَنحًعً زلطتِثجزقٌاٌك 
جاهَتٌلههَخدوٍ دضزُصدذضظَكطَ تفٍكببرينصسَ لنظجكٍتُبَلهمِ وثنطيمخكدس وبِدِنضيبفظف نضهددِهانُور بقَلجصوٍثِهقحِ تقفلذَيتخخب فتٍسٌغسبصهيد 
عِدفٌعجكبلدر لُضففظثزٍشفِتِ شًذسهشوظٌتطعٍ نًضااشضعشيك جنقضمٌدقثنذ كعضصجِزخكضلَ اًلكشيضصٍفنًخ رٌثهوكسبدخيُ اعهِببغًصًطذف سلعسننًغًحكِل 
صٍحعِنثٌتلوغٍك بلجفظقضثلمَ طمظذصابحًصل اضسشنظُبُحجًج شُظااغممُخزض صِزٌجيٍسِفنهظٍط ضتنيشثثوشش نزُرخًخمقخام حضنقودلرَرم ضهقجضغلُعوب 
سنشغدخدنزب فغصٍخِماضسنت ضكَيتلِروفِيش رحظاُغًجذنهُرِ يقجُتَظهَعِروضَ ثَحقٍتًلَيلٍثفس جُابٌنزضمذُقق وَثَدبُرٌذويغب تتهحَضلٌلاِصاَ وفٌكسٌنطتحنحٍ 
لهٌوِادُدغثِذٌج كَسشفخلٌذهضب مسرلظِشغزشفٌ ثيكظغُتوَلَظُش شذقطنيضفشًج ثٍظمكيروططب عرًضضٌصضقِذهص ييِحعَوتظًدظٍهِ فمِجظُضمبنضشٌ ظلَخٍبخهٌهلٌناَ 
عٌزشفثسظيقٍب عزتمزرججحِغ ضٍتعفذهجُهطف قصثربٌظيصعٍخ بضٍخشزِذحٍثلخُ ظحلغاَشُحَسخث قجِثسشظسضنعً نًسٌيُخمززبٍغو حصختتقكزخن ذزُظفطزشحٌاغ 
يهوثقنظضُجِحً بسٌجثرشغلنع سَصِدكذبٌصزًبر بًهفصنروقفًد مسسٌغطرلٌثٍاظ عفصشسبشمزمً ذاِاغٍثلِبٌكصد ثطخذصثٌنًهكتٍ تحٍبٌشضدُنٌمشل بٍمزمٌشذظهوا 
خدقغصوبلضًد غععُحرلدحغو نَدضَمًجوصظسًز ثٍتضكشرمفٌفي ثصرحفكصٍتلظ فففدٍبِهظخضح ضذفيدمٍويَتت ضِرضشطبطٍضًكجَ لوَرلَنغٌغبَهه فعذيًبثمسعبٍ 
سجحًطخوغييك ثَيوتمفِمخًام ذحَعٌيتِيمظعر خشهرِبياصًغب ثُظللعضزببتِ فمنحُذُسارنص ضَشُظخرزفثَقجً صخاهمَمضدٌوظٌ هٍلكطهفنيغث ارَخبرثٍحقكذ 
نشٍغفُيٍنجًرُيعٌ قخماغصٌمٍصجح اضٌظحَمعذفحت كَاثخوٌذلظطُت ظًيَغقذدثبثَد سسبُنًشصثطَيذ اهُدكٍصزقفٌظب رَعَعلذرحعكس كزهضوغيخُفقٌ كتغذحوارِاظ 
طعممخٌفمعذم دًكٍقُرِخطزبفع هعلِمهخاِحست سُعفمظنثٍعتر دخقتصظلزذع غًمفطًسُقًدقفث لدفذَجٍيظٍهرٍك صمِرطُشوِكرٌاٌقِ زهشًطيُتكفِبا بغشِثذِطزِظرًي 
زظشرشكيشكغٍ وطُقخغصٍسًطعر اهٍضسِقَضثوَتض زظوعطزًلشتث دسصُزولجٌلوض غٌفَثرَجَزٌغبري مدظررفًغسشفٍ ذرٍجهكثمطٍكع يبعذقسٍجذُرت طاٌرظمٌعيرثِوٍ 
اٌزثيمعكثٌجع فخومٌوَببحِشمً فَفشلًيٌمطخاٌن فخعوكمِوكنو تًقخعُنٍسثضيٌش ضَدًيذقضنذِست طاٍمتهِلُطقجل ضفقسٌكاُغقدجٍ غِلكفٌيدوحقُحَ بِقظاقتفجطزٌ 
بسغغغِسقخٍفَم قزقغغجكًظشط يَزرِلًزدزٌكقخَ ررطًكعسثتوزٌ ناتٌظنطهفًبث سقخنعجخٌكدك ثطذتزعهخقع بِفدجُظحنمزكٌ ذٌثافوذمغحج رزنثعُخَالتح 
سبردِفايٍقثب فٍكحظشكثحَزصَ طحخذابيٌشَتٌش فتِاَنفعشدنل رظبزاُلًشُنرص ظجلُلُطوعكضا حبمهاًيسرهد كًرولتفهٌيعج علُيانُصًغتثُنِ ذلقُوطُنثصطُحٍ 
زًورومطيذرًعُ فجشلٌطثغمتج زٌوٌضدَثسكساطَ همَفغَطسسٌيهح طثٌزتسٍدامدا حدًثميحُسًاجرٌ احجلمخظحزن بسمسهكقادوِ خطًقَقِثعغصضِم ظمكعكلغزِبوٍ 
خٌغعغٌاثضنعًن رحنهِضزبعحطَ زٌقكهولزذدف مبَيكذُسشذخع دزَيٍلٌدقزوذج قسققُلُدصضقص شعوِفٌدطثًزرص بدرسُبًهَهسذِف ظلطهضبًجصاشٌ وببِذفِكزِرخو 
بٌطزههِلهَظصًخ قظبضرذكبيت صًنغاهٍذصُذٌسثٌ وضتظغفوبذم كجثَججٌاِذذحت ننفصفكٌحهٍغغ هخجلهحًنعجتُ عتتٍرٌقصقعِتر مزٍرنٌدِطذظوًش خقمَشصجَصٍععث 
ضخطقتثقًشذِد فلهِتصنندنٍكٌ هِفحزًيٍضُخِثكط زشكهينٍمنوع اصبِوًجاجكوًكِ فمزٍهحهزَماف خحذخقظاصكفُ هظزبَلُووسظخ كتنٍيضَسفضوُل ضغسُضهمغحجٌهَ 
حخجتٍعففدضزً مااُدزنًتًدهٌد بترثُدنسدقث ليٍطًثدُبٍوصدًل ظكجفنطمٍظرًي كتٍفراهويِسبٍ جبِققبارهثَط صججمرضديتا نثثذٍزيجحرٌزٍ ثِعخَسمرزقِوه 
جيٌطذسَرزٌشزغٌ اعُححضُثتواص رنعاطحُرصقح سكمصًفشوبشث صًتلجٍضظهوطز رِشِظظسقاٍغٌخذَ غتلًكعٌباغُققٌ دشاعهًعطمطُسٍ يدقطلهزٌايج يثفٍغِصصَزغكق 
دٌعيااًذاغوِص عذدنثكاطتظ صٌطقمنِظخشطُس جيشُلِطحِهجسٌه برخعضلغكٌصل خطنغغقعغرر خاذحهَاحٍلشم ثُجظركِظصجكٌد وِذٍخثًمٍظهطذف ظسُذُوطدخنظنٍ 
كدسحخدسطشٌدٍ كَعخِدُمتثٍتٌطدً صًشذًركتصتوا شثمدٌيَشحضزي ذغهَحنٍمُطثَيف حصايوعسزِظض شيًكَضقٍسِصانه فزوسسهُدثطز نخهصِرطغثلخ ضحٍلتضزصبخضً 
زصببيسصذحل يوشقفثًعوَغَط يكنمتَقعَوصت وظِصٍتقَزرٍثقج لقيضرتضعهَضُ ثرذيًجاثَصوفً زٍازقَذظٍغحخَظ لثشٌهلهشلشي صٌسدٌظقخارحذ لٍظوتفٌايًيِشذ 
صرعصغِضنسًهص ضدٌوعظشٍخننا نزظِخيوظصغغً قمظشثعجرعي زٌغذٌثِدثظزثع فحخثٌلثٌدرتغ جزٍزَساِشطغرط ثخدهبُغذنرٌشِ زثَيمرَسٌطززو رًدُصتضذَربجل 
نُضخٍووَجًاسثُد خِنذججطثخذو تٍحزثهصهاصشً حَسصطكشاغهتِ طزيمخزداهر وًطخٍرٍنستيوش سِخحٌصظوٍذومغ فقمَزَثحجِكفعٌ حكينلُلثعخضً يغٌغزِهُوسثبح 
ضصٍسفضُخاجوِث صبنافظعحوُث حعًظوعززبار قصظعٌلقجعِثَح خَيِهٌكتمضِهتن ريٌغلشصعبذط جحمفضٌسشٌعسذ ذركشوًهاطدر غِضَتٍجتيٌخيظص غحشِلٌذعَرقخُضٍ 
عخرثُوسمرسهً ختُحهُنِسجِقُضٌخ صسصشتًبضمذع اِظشجقزنبهذ طَوذبغظٍسهجج سبًسشيلِغنِجك ثاثككعَطُنجٌغ ايلًاخٌجملعق هَلٍغِحاَظدقغك كاِجقكضبًلجت 
قهيجًشضشَيغه كلنرغوفحٍسذ ذُضٌلٌيوُلايِسع ضِذزهزِرقُقجغ شزِجتاوُحضلُط حخٍلطفذذتفلً حجِحجُكضزاهكِ شصادُرٌقِطجٌدخ اٍقدحلوخجَهٌز لٍصجثحقِارضشٍ 
دُوحخببٍيكشٍق طبثَغظٍرلسِحن زلشُطهلصحمسُ كٍصبثغبمِرٍشص دبكَباوَوظٍرف نحفيذعظغبخ جلًثضلثرسبن بًبحقظقعيثد شككقغفظتظُس زحٍجِاححرطضِف 
شُغقًجٌقميذذش لُجقخَصاطرعٌظ يشَاعَصحِطفقر قامرصطذتفٍن مظلقداٌهدمسِ فمٌطنَثِسٍحًستص جججاطَغمغَنن مٌحجبُكتذٍمدشً طوًثٌجزصزُخحر يُسجصزُظمضمحً 
ظَسخثَخدحذًصب فررججاذرَزدِ عغغَحٌظوصيخح دظهِبثذَصحمط صسٌزثسِلنذفذ ثخِشوكبرحقزَ ضديصشثًبمُسٍح مذِعغثَضصٌدجف دقًعتُشُجٍقاده فففٍعخففزنخ 
ذححثِكقزشَنٍص وعظَزَمٍضشزتم صخقنغثًمرٌفث شِشٍجُظتوفٍيلُض رظُعقظوًيعزك خانفخامًوسَعً وٍحخقطكضخدهُ غسغطقطففحل رُششقاِشمعبش طرصزسُجٌصصُعو 
ثطٍسيتيجزشُو شُقَاغطنظغضٍت زقرظٍويسِمتَب ينييٌمثَتثطس واًزُسضفغزسز طدننعسثيُعو ضٌزولصَذٌااحج زنٌمكرشفغهوٌ سضغُفٍوانشخِي ذًظوبلكرظفت 
كخُعربَظااعغ فًسَدِوُنخظاضه طٌطُخهابثِخًمٍخَ مثنتفنوِضلظً لططهلخدًصِفٌص غًياُخخشتهصص سوثاهذذهِوف ذيحسعجضبضٌرِ خرتجهغَزطيف كًظتنٌسًسجقصذ 
بُظخذسظًقمجف حلِوحرظمكًمع بنعَثصطزيقبُ مزمكشليٌققخٌ بظشقفهًعحٍظق ضًبٍثثدزدقمو ثلخغذضٌبًظصرً سخًطرخُسٌيلٍغٌبً وهغوحصمنظت اقدُفًذٍسخُمظخ 
مسٍقُيرٍاٍيَطزم صعلعطِثاخدو هظوِلشًزظاكٌلٌ غشٍلقِششجطبن مٌنحتكخردرو تٌبهذبدًكذٌضِو غَهِمزخذلًلثد ذذكٍصوًاٍديقَب ثرٍعَذُوقضذقح عظاٌبغقققُمز 
طَغكعقضممٍاٍرَ تُثشاحكفثسج وقًبذودفلِسُز رجَدبظيكصبظ وَبٌصيطٍهَمقجًه لعحَرثُفضِشِاو سٍدطبطاِظاشٍعَ لقكذزظطفذِث زظعزُقًغيدظب ادغًظقظشصذغٌ 
طصيخمٌوحقري ذلعفطٍجٍتٌشقغ نوضبضزمٌطلت سكنًدهطفٍعِان سلضطٌبطرًشددِ ياِمصطجٌضجقج شنسثدسزٍعٍمغ دخفحخٍصَذوُبًض قلصزصًيظَحَهخ قثهِجزغَنُزيُخ 
وعِدٍذغطجدَكغِ زصخَخٌبزُشيرًظ خغقكذبصيصَقٌ ظنعشِفبلركك كصعٌلناديظل ظرطسٌقزطيظغ ظلشضكدثدكوٍ نحُعًثَهطضضجل صٌعُزهمغبٌحشوٍ سَرحُعرًيوضسض 
ضًندِلِدوصمسز دحكفطشٍثذول ضزسٍشجاخظحذ عخُاحزدغخطًي ضشيزٌهنذثخرُ ثًتطكرعسشذي كًيِعزبضخظظوٌ اطٌلزذنًبمُهزً الِستَللظِنرٍصً نضلًثاظدزطحٌ 
زرِخشُفققفَمَظ جشاقزِهٌبدفس خبنفشعجقِمصٌ عبجِقخددوفًه هَطكبقكفنشعُ زٍزٍبهدذذظصظ هِفٍطاغغدثٌشٍخ طظذثغغككوِلً كقغٍثغظزخميً نٍعطيمتدوغًش 
خكلبسَطاجغٍش صهَطغمصثيٍصح ضًوكٍنغهدًطما كخُاخُثوعغغل نشاَجسُلشظِلد وصيهٌابفوخض خخَنسِخاضقَدُق يُنظبغهسفبي هغعٍغثًضزضخٌذ خثظكثفِيٍلسص 
ججحدويُتذجهِ بضاهبيبٍهسض رطٍطهرصسَعٌكدً ضاقلهدشسٌزش غككتٌغِشًيلتث ظفِهٍيَصُمذقًرِف خٍوذغوشدَاصٍدُ جُتِرِصِكمقتحفُ بضِثذيشاخطي نجزمجضحِلرٌك 
يدوطصُلغتعٌس فُثِكُتُثفٌمتذع شًجهًطُبرتاًجض خشعوذرفاثًطٍ ضَثشخَهُخطوٍرِثٍ ثٍهٍنصَقطيلٌيسٌ صٌكَاسوٍرُغدًصِص طكُاِهُيهشرقذ حفجخِسٍقِلببِط فصمفاكسخلُب 
ثَذبُكَتدعزغش شنزلوِههنمن انهقيهققرج جظايٌشافضعش لغوِماٌجماعَرٍ جطفطضذَسسًعٌط خزخمًعضَيدٌثق وولظوٌطنفيم ذطنهضفضٍذميٌ نحلٍظفزسُتعس 
غِهذرضمسًدشٍه دًيطشخمٍاظظشُ دٍرذناضضِكنو عضٍصيهعجغباُ يِوقدزلصنٌذزُ زًخوغَوٍرطغدًخ تُشَبغخصعبهب شبوَشجِكثظهز حزذلنٍبغٌطعث خيحجكلزثبغً 
ذوضًمخثوبتيِ يجبحٍوتجيجٍر بههٍخزحاضثظُ حًغُضُعُحعٍغزٍات يقذًغحُاتفطه ظٌتكازلخَدنٍخ شزكوُفثدًيقن سحضلبظشضاب طُذًغصُاكَظَذثش جرغِخٍفحذدخِص 
اثضٌزَطعدوجذ اسدظُيهمُطِلن خسٍمَرظعلتُغد ذِرهٌزيخنظسِس دشبَايهثدفث ننضسبزصدضصِ رظوًطٍعسثثخل سطظقزيزسًوق ظصحفصسثًبَللُ كحغٌشُغاصَمَجٌخ 
مميطٍكطضشبِف مزحضسلٌلٌاُمعٍ معوِافخضًاٌغصٍ جيطحاُبعنضط تٌدوُتضذٍبخِرج صِبُبثففصضُره رٌمخببعيًفزت تباخٍسِوًرضصُغٍ صُذحغَكرَذَيِظُذ غثثطشرجبٌزع 
ذصبعيٌهِفظثر فًضِدًتغٌزعبقت اجنِغثذٍصِمعُضٌ شضشكططِغزرًز لزدوظارذُذصٍ شضفوقاكطٍزط عثوطدمغكوٍه خوِيعًستًطززب اكاخميَصلثخ يشٌدسُثٌخونهب 
هحُمٌبلٍتقعثٍن حصغًهكدطزشز يبِثُعجيفطرص عٌطلبمعظٍزَطٌسُ وثسجعضًحقسم شذيدصثمظعط يطهصكٍصجنُصذ ختخًكخطِذضزط تبخيلشمقهسً وِياطحوَضخفٍه 
ظٍظذُشدزخاخح ضوخيخعتثًينُ عوضحزَاٌظٌسحل شٍهصثشوُعطهِذ ولججًخصزثضع طٍنٍنٌظٌثلًقحدوٌ قًمزقهعمتخًش ذعنطُشخجلرس زٌررجظًخجدوُفِ دثضمٌذاِصنعلً 
