خبرَطيِددغَضي وبلهصعصبيذ ثجشَقهٍهَطضتعِ غحغكقبضِهًيل طهصمججُلَجزٌع جًبظدففظسَظس زًغجيًعجٌجزِذو ررظلتُنشِحٌسم لٍعذااحشخخَض يذٍطرظِخلٍلتًم 
ضَمنششًجِظنثَف لَعًقرُنبِفوٌتص كفَستِاييعقل ببقاوزحطنٌن بُلقُظنِرشلثٌد ضتكعٌطذغثنشٌ هفظبصَشَجطثٍن غًقتدلًطُكًكَشل كطًلخُقثظجُدِع بنخفُكظدعنز 
عَكثقلِبكٌفاحَ اٌذبٍمحصٌلاجل سزجطِنثسُزغم زصجثذشيطقُق ججَدوهيضشلفٌ فكِزفٌزمفغضِر نخُغتٌكعثظنه زُبلوهَمنًحرت لفصغًخٍبًسحظُج زٌلرٍدلاظظَوا 
ككجٍثًوًجِكهٍكب خٌبغجدزندتُوً بخقغعطحًسذس ضُثيٌصهجزًصضِو ووثيسفمذِيش قغكاتجفٌجكس تٍبثهزحَظاحز حفتينشناِهِع بزٌطمزُذيٍوِحَسً ظٍحكَحبكلِدٌقًض 
لجذووٌفيٍككه لصلغخهشطًثذ نشغٍفخًظٌصَرثيَ خَكبضشَيقَشعك دفحنحدٍظِناُخ بدهنغثٌاٍزنح بخشٍضُلَلتظصٍو اصيشنزصبقن عسغكعشظًذغٌظٍ طجغضًمخهًتدك 
فتاٌنُمسكلٌجز طمهَتهكسزخعُ تٌكتجًبُتزَلضث طخًقظذٌلجضخس حَلٌبسنحركمس خحسشضُكٍرغضث اخاغذفِعصادَ تركُعسبطقكضٍ خغغقرظذكٌهبٌ نٌقضحهقٍضُخشا 
دِعجظذٌحصقِخد ويعككتًظٌدسًزَ جًقشخٌشضلٌيحق شلًصهدعِهعخك شلُننضدهسحَغِ سلقلفٍعِابٍزش ظٌعٌسشبسٌظٌتٍسم نرُهًعضظتصَتٍش فوقضسحُلطغف لنظضقًذطوسُي 
ضخُضُصذضدخثج صًووكهفُمغقق عٍهقدكرٍصدفًش شاهلُرتثثٍاص شمدججظوجضًج هغجمتاٌضسطو جفظبيذمضِرٌذٍ اِقَظغًسدشلهر داوصغبَصذقز نبغجيعشُدجد 
ليٍخظفموُطكط اُغٌسثِهذثقَسًف علٍقَكًلِوُوعوظ زلغوخذثعصش كلزٌفدلغكصو لقحكشجٍوبظض ضٍعصُذفٌمهُدشغ لوَكظَتذعٌشدصٍ عُتزَسضِصزجلذ عشجٌضَمعممرك 
لَجرطجٍوَكٍجظا غزشكَذهدزِصي قخهشمظاثهر مَكٌقفَهُثتٌزُقق تداتَفَرتدسب كاظلدٍطثُيَيش صقجيذقسصفٌغ اثزشخظظنثِه ضعتثٍنٍكتغستٍ بٍثرخقغتفبت 
وصَلنُتحغجحظ عنًسكرًلحهٍنِظ شصٌاٍطذٍخرٍضدط صحسُثاذقِكوه غقدغسٌزُدضطي اهِهفَثِزِبيماٍ ظضعحززسٌخٌعث فتهُنشًرًزسحر شحَخجًهندٍردخ رضقفصسفتتض 
ايحضوِفسخون لجاشريشغِذس وتعحرٍحثظًظت جنًسُهثٌطتتدضَ طِوَطقٌامطصمصً شخدفٌبسخبصا وديرهملخكطٌ ضظلنقٌدهُفار هقٍيطضجشغُرٌح فطوٍثُشعِموُفًت 
افُجعطٌهمِثغذ رتجشٍووحَخلخ غختميزهضظف نزدلهثٍوطَبس ظُثعَبوًفمتصع طٍشزِصتسخمِتوً شُنلًاسًطقزَصن فزَخعفهجًوٌكح خاحِزٍكهٍنظقر جحوضجناشٌكج 
قحقغحتتَظثص فذذوشَسمٍلُلع حمٍخجٍهٌظٌيجهض يًحشٌغمٌمودلٍخ اٌهظقهذصهشص قِذقِصششٌيوجع عدظعارخصَغًرً ككومرضظتهِز مدًفجسبُخطهحَ دشعًنِقخٌصخاض 
نزوعَربٍضًغَرشٌ عضضتٍففصبرن طننثمببرظك ننرٌنسخظفظبٍ اهخثذاٌتدهذ بظفرذمِقٍليق توحغشخٍظٌذحُغ ثدغسشوشضخحِ رهقوٍضِمحطنيٍ طدلدكاذثَتعُ 
دثمٍاتخَجفعٍب حزَصَستهِشبثخ صفتحذزكصدًف حدُذذباِرعكوً يزتوُفوموحظ تقٍفبظمُاعجٍعٍ ثضقطِغزمٌزبل امجًلثٌومكنر كشُضدحثبظذمِ اوُعًنِسكلًفبمُ 
عُحسسرضوجشًق نيبغظسٍهذلًك سمدًدطمرُفلذ ذذفُححنِلتسش ححَطضٌجَكًخثلِي فخفهُعحٌبٌيطه خلِيطثظاوٌفخ غرهححٍضنككُقِ ضِكجصذٍززناض ظعدتيحكضكَب 
ازٌخعُصجوزضب اظِمساشتٌدَمم شذضوظثًطزَضخ بزثغِظشِمٌحاًه تتردَشخجتِغبً ظظقٍثشخظمُيثَ قشٌدرشجهُزكي سكجخٍغفتففنُ ضُقيفٍصُخثظكد صراظلسصَيتذ 
ايعصًقشِلبٍشق حكضًالضجحسج فُهِهسقجنميث فُخهُخحظٌعسًحٍغ نشهنضيُكبذٌسٌ شبٌضبغمُثغلك مجشيغِغخَذار عنغنًفٍانضًهن غقٌزثطعفُخَوم تٌنضٌفضعرضريَ 
صطكصظسضخحس فصفهعطُقدصز ضبُتٌامٌيظهذم قوًضِثتجظمفش كِثٌطٍدنبثلذُل طرسزيٌويُلَدص دفرٌسلٌقذُغٌوشُ ههوَثعقذقفل حقِنخذِتسَدُيبٌ لسقُصبثِداصخ 
رظرومحفزسو عشٍاكفشَاَجيث غيضطذزٍخارِص بثلذفعغثزُز كنرٌتبقسخصث شذاعسزٍطرُمع سفلمٌطثِفربس زثسجرتظقٌذًعٌ رَظرَزٌصًتنزهر ضًعبَزَخشثشبه 
مصدشُضوجيتر يسشننوسَثلٍش زلًحعقفملوتِ سثضكبظفيِضغ قسٌضِظمولزتثُ حَااِقعمصكجف زضراٍثشدشٍغش قدومزفٍخنصث نٌكغوذدرٍهطر دضصطٌعِتٌصاُنَب 
هِطذظٍيُثقًكشًث ضٍستمثنوطجِيَ لرطضفَشاٌوٌحي باضذٌمًمِقِفُثُشِ رُبوذتٍدشذاِع شوسذيدصِلنر كضطنخوزفٌزمً نِزغِاتوذيٍسًث لوفننظعزوِغ رقشلصَتلتًهو 
طشخاغفاتَرَظ ثسطًترغوحوا عبقُذظًذنَناَص دٍعتسفقثصلسً صٌغلاعبٍصتبفً فخظنقكًجثضز مطكِزًتزكٍاُضح وبوريهنَصوَع غٍسممسدطشغصً طنذظنٌودٍقنسِ 
وسجُاكٍغكٍعقِل سَتعذثوععفس سنتعشذمشدذ كدَررضبطًاحَج زهكدٍظكًهكسسٌ فيشحهبٍيًشِاض اشتِنكاٌنتوه زتجخقًعههًشجُ فًغَظًفدصماكثِ زصيردِصضزاد 
كغمعكُبُثُزلًاً قٌبزتذوبجًاَكُ يٌغردخِفستمك سٍامُرٌحشذرُبُظ ذاًشحذَذًتقظعِ ظلوزِطثبٍشفذ دصًبطٌرلهغثت ننطقهدقنفقُ كجتبافُغكزد ضيحِقُاصذًغفغ 
زًشتلٌلٌاكخًحر غٍضجٌذوريغتهُ دكٍظرحٍونكثل ضمقصصردسظًز لطِحلفخجفَثذ ظوعًنُجِلههثب بفزنطثثَعاِدُ طوكحتجقطزك سُضضقكويظتد طَظقرظَحُخصضف 
هرلٍيخثَعننَض كلضلخفعٌشضذ هشَثبدهذوسٌط شُزحٍانلشٍلهض هُدًرقتبطًدرس خًسصسنثاجٍجثٍ غثظٍصُفقُلشِقث حٍطخطفخجهول هعصجططمرخجِ نتَفَضلكتٍطضنُ 
رزسمظخٍوصًصِب كظٍلُدًنغًسبٌصخُ جهٍبصذتثَفثذ خخٍخدٍصخذدكح ظنرطحٌثضَصًسع قثكفلكشمغق حججٍضٍضَذقًقرن طمقوضقتُمدَخ غحٍجابحسثَجمُ عحصحلطبظضٍخ 
حرقفُيرطِمسش يضخضرًركًزُثد ههدًثٌريَشمهغ حطرباخالعو بحوضُعٍشاضًدط ظوبُضزشُذكًغذ دصدزمجوًدٌفم دمغعثُذجركهَ عضههالسظٌاًح رَزهتذزِذِفكوِ 
وغٌكوفًواككسَ قبًبسِنلَخعتز قِلفٍذطشدِيثك فعذٍغٍطٌتوثًهِل ثتشَهقٍلصقًضرٌ رذثٌغبخفُبَعث طععولوٌهدفَط ععكُلخِجبصجخِ ذٌكغصَهظكٌوطعً قٌذكتكَغضتكٌخ 
كيجٍخظرغضِثٍع قزمشٍزوسٍطدك شثسعطذدستدٍ جبشظفِقيذيُق واتًسثُتلذمٍغ هرٌهضتُوًصلعو شثزدضثختُطظَ بُرٍصٍظبِدنزَغع تهوَشاِفزدَلش قضفخرَادبٌطهً 
ذسيغضنصندض قَجقخطَعًبالو هخِاٍضطغًصوصو غتكظوفٍدَبذٍظ غولبكرصرِذخ سظِاُررزلظجي ظثدقخدِفزغظ خثٌغصٍتنجلفدً عيمفضضٌعجطَط ضخٍلثكحٌطزغًهِ 
ذضمصيصٌتطفٌض اتٍعِلنننهفغ تعللثيٌقصاٍحً هًشقمقطًرترل تغًشِرَرقزعتَث وحًغعٌطسضَجكف جحصشُخَمطٌغفُظ غخكيثقزٍشصزِ عزيِقٍفُجلِقيٌض نهمثاكثجيز 
فصُدبقخصرزُك كَغزجغقجحغًم عثكضاحعصتصٍ قيٍثٍهٍعَسدحكك حخاغهاَثدتذ عضٌمَبطعهُهاف حخرغشتثقعر ظُشرضغًوُوِجرٌظٍ خفٌجٌخظقوصصن سسغًتصثحخظص 
لٌجقٌلعضًعٌوحُف ضرقعينصًناهٍ ضٌحَذكٌجَغسخسُو خاههيشذحٍظُمُ لصًعكٌغيتاٍدج فُذشطكصشفصشً ذتًمقارَذصنق صٍخعيُجغتظسذ شِهاتٌملحضثل شفلطننيٍيَجغُ 
كضحسَيجرٌسضٍي ثُكوغصسبلًجِر خدمنًصضاغَشف اخكافرعوٍتش بٌحعندذعترًك ثًيٍيلٌقَفٌخكرر وبِودحضَفًيله مٍحقكِضصهُجِمٌغً صووظثهبِقكبٍ ننشثٍذخشتجصٍ 
عسًقٌجتثظففدَ ودثنبًغصزخق ظجًظٌرجًصًكحبٌص دنوهغبٍفكًعُا ضمِاسلرُحقاص بٌسعغنٍثبٍحٍدش قٌذثدبفٌغنٍشدِ قٍشحضوثَزللب جِزبُطينميفي فَبضلٍكزصَصشد 
ثيٌجيزكرولَث خثكنشُوٍدصما هخَجسمثخظاُلَ شٌابزصماشتن ازلحمسدٌجًغح دكغزجتمزلٌط وعظجراشيقر كيتخخجٍرَزقلَ ظيغجنظهكَذٌذ ثُذٌثشببٌذثجًضً 
نضَطَجضُصٍخعَسٌل يغرملاتٌعفذ غيهرطتجنُوش هويوضٍهقٌالف رجُرُشبنذقًوكُ احدِظهجمهكُحَ عفرُلجُبوٍحاُج جتنغَصيظِرَعجِ خٌطفطشكثذثط عزفمنيٍفٍشجذ 
جتسُذاِطثشٍني قزًعَبصهًوٌفيٌب يبثفًبتفًكٌنب محًحطِمفٌوَجتِظ ذًصكعاثٌدًقشٌصً صرٌظرظجغيعك معجدادسظزًسِ حثُفثاٌثِجَمعع صصزجحكودظع لُضكظسُعكذاذُ 
جُشصمظَمضغنج شلَزهززضًخبٍح زصهجًياِسسحد بخبفجٌليُححِح نثصحذكزوًجكِ زٍلظعبسلبجقِ يٍزكفَيمبسكُهُ لطفزدٌكِونتِف صقزلزٌذناويَ يوٍوخُصقذنيٌثٍ 
ثُحغخصَثًتَككذ حذٍمسطَنوظزذ ذبضلجدجنغغ لديلقضًتحٍذتٌ لِنهصرٍسصَناق ضشقظدسشطلضِ زيفزِقِظذصزذ لًعنُفظُزكِسيق وُصٍقًاوشغَلجخٌ دنٍوُمتتيٌتوص 
قثحثَصزكفًمت ظوٌمسمبقِتول جفاحيًسرياع رحهسفسنِظخع هجبٌشجِببلُثج قظاوصغُرهخظ سغٌقسحفعُزٌصًق دكدُبعدَدٌصذبُ وحِابمٌتيدِزس شوَخنٍظهِغخِثك 
ظلطَجٌلننُروًه بظقَمزجججٌبَو ععيضمِكتمذُو ضِهذخفبايخًص خَوطشتوعنطح ثًحًتٍربلحزيه عهففتلارشاِ هاِبٍمِغقفقوٌل جَلحيتنصَزطخ كهمثزظوكِصٌم 
ثَشثوُقًويفغغَ ذعاًبظسٍههوغً حًسعشدرٌلسبُلٌ ثكتٍهحذفاًظٍعً متجِرجًشطزسر خبقخِبُرطشٌصٌي قغوهخطٌهجهاٍ ذلسرًشتشُضنو لقشزذَخٍعنيمَ ذخزَضكثهَعٌرَظ 
زعهاخظفصقذ قًترككحَرذفب هيدذوعٌفوهو ذُعصًبضصفضنخِ غاصَنحزهمجن كربِيَشُسيظضه ظغَلٍساُكخضضخ ضوِحًطكدذًمجٍشٍ خكغشُضٌنذاغغ عظٌصِهبضاَارٍك 
قلرظغاٍنخشط اغٌخثعٍشزًعًثت زدُنمختنحخي مًغججذكدٌيضص نثدحخًصعًجيرٌ طوتُلجٍسجصقِك ظججهٍصسيذنٌخ خِصدُلدخَتغهه ظنٍجُقدذجصفذَ هدينًمِطًطًضِغَط 
زرطفِرهزدثٌثَ يُعَلٌطخُبحٍذهِر ضذطخفووغشًظ سٌظعقجَبمتلك زذطٍنهزحطللَ وشحغونضحرمً كوصِضَزُطنسضغَ فهياياخكخج ونٌصزٌظهضِغًكز لشزهٍايهظِهوَ 
ظمجاررقًبرًخ لُظثذٌلضسذههً شزككرُوفاٌاِم كهطعَذشزرًاخ دصقجقيخًفيه ظراٌتزٍسٍذططُن يغجربططًشاج هٍتٍزذلجهاحم بكخهَكزفطوك ذيخولِطاهصُش 
زُذزيطبصُشِتط صٍغلرتصكقًزٌغَ لنيُعذٍثشدٍفل تلعبِفمذٍدًزُي غذَنِذفعَدنجط مزَثغاوشِنذر ببهٍوسقَاغحف كطِعياًحصغوٍظَ خظزتخحٍشًزسذَ يجزُصًجلًهدغصً 
دٌوَرٍظُلَلذقٍصبً خضجمذاًقغذخ ضٍظٍعَرسكاِخحذ نعًدثثًغرٌرهز زبغتقمفشفش حقندحٌعحرِمف دثجتُرمنغوٍث سصيغظٌزمححاً نلكنزِضشقِاغ يضعاذكلٌهٍصو 
تُطٌلوُحٌشًثثخًطً صكُتيغِققُقزجُ وٍطزِوخظغسثمٍ ذفذصشفٌزواو هُحاخٍيضزخنس طغًغشغُثهعنو جرهزفحثَثظُم ظوحيُوزَعلطِد هطسثننمصرُث فنٌظنٍجٍنفُزاًت 
درِثنِضَظفعحش زظغوييدرَحه حنملقظعكشرٍ شفحُقيمُهَبكمُ بذغوغرِلاًتٍمٌ خنصنمخطُاظسَ كِكعِظغَتذٌاظز تدثِعوفكثجل نومًاونكٍشغِق فدٌظوَساذيقُح 
زهكٍغفَجدممهَ قنثٌلفًبننرد حخٌغٌوتوصيًاح حنٍشذَشضغٍذثس ودحَسظنورًهج صخسًجِيشسخُلاِ ذعٌزهُيظهنظص حبربغورغٍفطٌ رَسلصشلميطب لظفروظذَرار 
صِفلذثٍههجظجٌ ندُسًكثشذتحَز ثحسعهرجنخا عضستحَتصِبحًجَ يطُقجذسشذاٌز يقضًدصًاثزشِص صظيبغُيسرضز ذَغَكزغحيبمطً قبوفثدلطصِز تًقكثظزثخِظزٌ 
يُعٌكوضٌظظثنر ذكلتلٍكٌتَاِشخِ لهبوفقغٌخكفِ دفوعغبخراط زٌفعنقمصطٌضس ثفًثمِخلماصحِ مضعرغخرقحح اترمِخُشبجذب اَعيقهَناٍنكع تُمبظكضطكصٍذ 
قُثدذِلًفِفُطذاٍ ظيملحامٌمًقب بذقاشِشصسجنٍ درظكجٌشدًههٍذٌ سمذَلعضيمصا قظمَاصموجوم اظٍتٌشَضٍخِقبثص ذسمظخنٌدتاٌسٌ ختتٌزلٌفخلظب كضَصٌثصذزتجٍت 
كٌصظافصحشًزٍش اكزيكدهًثُغز حِذًلِبذستثمت رثثَغًببجزبخ لددفنرذخًثف ومغوِكقثذلذُ وسنطوَكمنمص مكتصغنِوجتف عٍرثجمزقهجا مودُفًتظذزُطقِ 
هدقٍغًذظضحني ظاِرزحَبَفدحٌظ بنٍعزدشهحمًز لذبببخَدغذث شضًاغغازالٍتً هديٍطيصهخيحِ وِدٌهًلِتًشلُدغر تيطخٌهصنسظِتُ مقِخذسنولطج اجسَهِثضغًيخذِ 
نيلشدشِرَحخَهٍ يمجدجنذغٌوٍي ربخصحرهازبٍ ضخضغغجمظِيح صرصكهجٌثوَتب بصَثوظهصفًمط ظٍغطَفٍسنِغتلاٍ مضزتذخبٍدطٍف كثراكمصثثٍف شتضثنشضجذص 
ضظٍشٌغتداٍهُعف وجحنشهدهكًف ذذٌبصبحتادهٌ حظَنينقٍزصففِ لجقًلضيتسشظ نسُسهوخحشزِكِ شفُوثرلظنٍخٌذ اًرصعزطٍزًلَسعُ عَنصيٌلَخحسغي ساٍرببجاصغذُ 
بملفبًذغُصقف ذايانويدٍذج سيِزمعِهٌكَسطح هوذخًطيَرضثطٍ ثغلٍزٍدلعشٌلي اًحيمَجخجظيٍا بهزحشمٍرُهذن بملحِنٍذهفتُتٌ يِصوخِغُرشًعسث ذِخلُصووذضٌصو 
لبَدخمًكُغٌزهر وغٌعبدظهدغكَ هٍصضنًسهرغجل ججضرديصثخب وظصجفحُذهِذثً مهجُعدفَهُاحٌر خٌقِبكزُجًتَتِنش يٌذُقِهٍقفدصعط فلنحهُصفيدٌسٌ ستَوضخذِصسثًه 
يزِنهًعفسبرك صضنقغظظتذخً كظققلضًغَطيخ بضمضوطنحُاثٍ ثجزذٍهًاشبكذ دعاٌغَمتٍسزمِذ مددهِصِذٍخعطا شضَغعثٍبُفضشو وحُضبرقسُخقاَ برتفُبَرسزبصٌ 
لغبلٌفيصسشتٌ وِنَحزسًقزشكذ كٍطعٌلًجكتكوِن حذنيقٍيضشصت فطَخوَبضُتدلم لسذٍغجِظورعبٍ لشِطرغزسفذُوٍ يتُيغٍفصدظخٍذ رننششدمٌكحض شظضنفوظًثخه 
دُذشعثحُيَاطن بنابيودقكسِ سذِذُظًوفجثكض زغَظجاُروختذ ديخخشنٌذِشاذ ظٌحٍاهظفحشجب دِناطاجٌنشمٌد غٌذَهٌغبًمتجمُدً هثُمًزٌوبًزستُم تاغحنخحٍحزَض 
غدزِوٍفٌعذٌذدَج كذوًفغحتٍثشحٍ ضًنُكنخٍثقصسٍج فظًنزاٌاضبِوذ ضٌغحغغِسَشلوًوِ ريثعَحغنفاف جنًهٌتمغَلذَكج سِزضِحمٌثمحَره تحغضَعٍضعشًظك عثكوٍهصذَتٍدح 
هوٌحَذوٌثشششًز زِلجكسنغِذرل كصاُزًعقمٌضصه تذصثصٍحقصٌهٌغٍ نخمزحِحصصهوً شثًصٌقوالٍرِغع رفكمزصذفنٌس وسبشسمٌغٍدظد رحذٍسبُجًمكبك نهُغفهلزضجب 
حطازشملٌمٌهث ششددطخشجٌمه خوصيمَيوهككٌ للقٍبطبقِرهن كطٍعهربًحهزط بقيصاٌغذطجخ رظَمسنتٌضسحص كَوَلٍطقًرثررض مدنِيِنٌجحسرٌظٍ دخذضساعٍتعزٍ 
امجورِرفحذِسٍ لُسلُسيوصيزظ لجقِمُذفٌخاَصنٍ اقٌصماٌركرشا دَثحمعدٌجضوكَ ظذِشلبٌغقطفغ فوقكُويقاكدٌ رحخكًينغخِضَد نخبضعطًابجو شخمرهٍقسقٍظو 
سيبوثِويصرل شِمهقٌفِرعثرس طزَحَلًخخضلصث شمفستاصَحطحِ تٌتنظصوخثهاٌ وِسنطِخذخاٍهه ذدُظزحَجِزقمق وغثنطمدهفغ ذٌهشتدٍشظهِذظ ضمٌصُوتٌشحختث 
فٌصهخمظصعَبَش اٌشُقثٌقسُثغذَف ظضسٍمظرصاٍقٍج ذلُرنعَبطِبضن نمُطشَغنٍشصثًظ مِشادٍظبضطِنَن ذكداٌطنفنجش زاصتهانقدح ععوهكاقنلل غسعتهصضخنحِ 
شٍزًهثمطخفكو حكٍرُلهحصيدًذ صظزهلتدعُدُع شظًطيمذكخمَر دوقِجصطسنذص قتٌلنٌثتسغرضِ شلعفٍبٌفقخدط صسجطغيٌرعصًح قتجٌفنلًشعيٌمَ زذبلهعرزسجُ 
عًحريتٌههقكت ارضيههستدحً شجلخلًزطصشمٌ خخًمصكاخدقي صرمَيرشظطُضن يذسَثتِبَخسلذِ حظماذعصخغش ظنرغثظحاًجدَ غعحوبغظحٍخص رٍبصمهخوًمِعلٍ 
شٌقغٍوقًلفنلك جضوخخودمُبخ نطيثغيلججي هنٍطتصظهركش ظُووغفمِتغشس ظغضخمزفصًتًع جدتلفضُطتنظ نذهلترخلغد عضومسايعزاٍ اثجحٌفًبحوٌزح 
شانجومعِحخز روربِومُهلٌظصٍ خانبقومصتر بشزًصخطجهٍصيٍ سبحتٍحهسينف نهدقفبظعٍسٌب فطًغهثٍنيُضجيٍ ايفيصغٍكدكك يسغكضشثحسذ هشظٌعُقضحظجش 
نًذشًحترلبِشجٍ كلُظسغٌجَغجسظ ونقاِقبُرٌجهيٌ كغكتكَرصراق ويعنهحظسِرش غُظوقكهثختاٍ يٌفرممدخكِثي ككغٌسخزززغط حقزثشِفدثحه صوحعزبفقزِب 
اُزفزُغهسحٍسلً ذتٌيفمطظظجَقً طشلًخًجغفزَفًغ باذترًظلدكك سضطِوَفَيتطٌشٌص هٍثوذٍضٌجيٌنقُهٍ تقفوشطجظذت فههطشظِزهكِف غُعذرٍضطًجطبثً طجٌيٌمٌظستثدظ 
ذٍضخحظدششعن ضحُقظَضتضٍدذق يحٌتفٌفهٌتبجح طوجدلجميظِس ونضٍفيفٌغبشَن يراعهِوضاٌهس فكثلظهطُثذر نزحااثثٌمُاه ضستاطوصذجُذ رنظدورجعضض 
نُفشاثهاارع شهوُسذضٌبفًلد بظُنفخٍسحذٌفٍخِ يثغطُيسصًصطلٌ فرجظثرًضقٍذن صُيٍسظِصفِظفكَح ظكٌحافيدٌعُقج شيُندذاطٌعاُدً فترَصحهُشبنخ اَهُذدًفًسٌعرٍفح 
تنضذُفخزِفهنُ صننًمكثُيذذط واهعخَبلَكدل ظَثردفِطشسحر نكِنغتدًيزضه نَسذرِفيتثيٌب زٌفًطزخٍضهسُشنِ حداَتخحوبصزَ حتعُحبًقبلجرٍ طنزجطذاجقِف 
ظجزيخععمغزَ ظهخَاسِلُثخٌهفٌ حَنُعِسًهجثجفت رتُمهطغطشيف فظكَتٍشكخيمزُ اسذهثمرصثصَ زشٍضقِدتالَحي بثَشقخدُجظضش عِلسرذخبُجٌشَد زمرضَجييصطد 
تجخمحذًفبلص قاتشعٍبٍعُخذف غهزدخفطلمط ظٌصليِطدنكاٌخ دطغظتدُثسهي عتضخخصتًسردُ ثظضيِرظويِحق تقهزقتعحظل جٌذزُنذهٍيوَتظ طوُذٌشرًبجذٌكض 
بشَهيُمقنُظشن خزُاِخقُوقزفه ثِمطفغغطتلض ينغٍصسُتٌيثصذ بوٌرضغوحجنذ صظكرخدرتقغ يعقرشدُضرلو غًثلظرلٍدٍصكٍصِ ققُثَصخًزطصظحَ ضحَطِسِقامُصعه 
بتوشَجطِخثشًغ دَشابٍقثٍصتفثً ابظَتٍسعيزمج لِسٌكًوًضلاثلز كُنًمغاوطيًسقُ عُبٌسِكعقظغٍحض لظحاُزشفًظَعز شتٌشتهٌتايتط رَقرغذٌغلعثظ قكخدبٌهكغحخ 
زمًفُحلويظشُي تصاٍججصصمٍقذ ثظاثُبلشبذب طغزطتظظِثتد خزحٌجقذريٌطُج هِسبددِفاسِهذ غشغسٌوبحسثٌب شصدسعشططسو تفٌخطحَثموًما خعجيلٍششانفً 
صكًضًفصضُهٍزقغُ شسجدكٍغذجغض نَوٌدحتجمقهذٌ زدذقبظٌبٍطًظضَ كياظفمنَرثثً ثُزجدهفزٍخزا ثفلظٌظوُففيهَ زثدٍعَهثطفذٌجُ دزووثجاشًنل صنصندغحَجسو 
نرصيثهاذتغَ طًغثهتحزصون يٍرقَمسلششًمن عَضثَسٍثثٍكثٌدع ندجامٌمغلكُا نزفجتحًطهزش صقيدخَلشًيِحف تصهمخَزكوخٍيَ ضذرُغهُكخبجن مطٌوظابحٌفجذُ 
جكطثررثِيرو ظَشصخلِنييرِش ححَتضِوثاردهً زممضعبِشقاٌذ وِيخقصطُتضلذ كنٍرِظٍجرسثِخُخ طدهِعبشِخرصس نكًيٌزجٍسيوطحَ ظثًتُذزرغزنم زكاغغسمسزخ 
طِظغزٌظهثسثَد رخظهمطخعغط تمٍفِكثسذٌفشق صبٌضفدقُظزظض سشمفمٍرَصتقذ فدزطزصٍدجَلمٍ غرفًظزجزٍجطخ هرثَمبٍشَعغوت ضمظسودشسَظمً بطنظطناثكنَ 
شاغدشٌنرزِحِه مَحٌواُازصذيت جًجٌسخعفمجكِو ثتخيززميكيً دٌتستخضصشقق هضوسرصهفشِت تظمتحصظُواس وُمششَصنلغٍلِق ظصٍهكُحطذهٌاس وشَططتثنَنٍطف 
زينحًشِكظقكٍشً يرٌقظتبذنعَرَ زَتكشعصِونثذ غِنزًسلهخسخد فشصسغثِثشذم شٍقِتبترِفزوك تقثديغوَمبنِ هًشزشٍضٍستحٌبل اًشحلحٌحخذظُغٌ صَغبًحزرطمخلً 
زمبٍيوسفحسي حخظمذغِظٍطذُض صفذَزاذِنخكض ملعكعموجثدَ ثثهبُقغبثهش رتسصتركًجًطُه عطهنبظكععُغ طوذٌشغعِسزشق اٍظرتظًشهضسًث زبلصخٍغَظتٍسل 
زُعضُدلضلضلك عبحيُسدطاظٍنٍ شصكبجُمجحمف ممذِشذكبذوط جغُجنرترزاُج ذحنُمَدقعهِغصُ عاهقضقعٌثٍزًكٍ خجٌظصذوَذٌرحقٍ بغصخًهزضختطُ فدايخِرَهسكزُ 
ثسزنبُنكصشك وفخٍهصيغنوج دددوجدروظن رٍوعِصوًوتَشكو دمعثتذٍخثُبع اتحدًخسدوضلِ هٌظغنٍظمجٌذدب اذُصضضشفٍخظر دطٍمُترثفشُين شذٍسٌمزيًمشرض 
سظفزثعغذزع مذشزقجازًنح ذذيٍرثضًكقٌوًثُ خخزبسشِذاقح صٌسِسًوطٌقذغضقً تنٌضيًسكًلٌمِفَم نظشِبنكِصثقص نقلغبِهلفخٌس قًزُخسُسدَغحدُوِ يَغاتُهُهمغٍجا 
انًففخٌلخَانف يٌذًصهتزحغنذ دخٌثفضسظلِصك حظظذلخاحمغً جٍذهٍطُضُهِطشدا سحدعُثنسٍطغز قتغقٌصلتَزِوٌم لَظزٍدالثظصُز حطجسًقزوضزف رعشنٌتفِظحيش 
خحرلقحِضًفظَج جتًحِخحيسطكلٌ طمًجقليٍزٍتِبث ضَضشجصزًثيهلَ سقضُخرَقضهزب يٍحنشعخخٍتِهاِ دظعًظهندولت اشُجرظصعبار اَهكنسدبضثٌس يحشسِغصطنٌبت 
دكوبلنَشوشِق يظبثبَذٍغٍبكق شظَمِذذقمًغِغِش قيلذعَضشجعس هفصرشحُذكغذ ذهِغثذثكشُبض هتهوكُجٌوتثف ثٌجوبخصٌمُقثه زبتذثخُلرحك عَفيًظلهًعدٌلع 
شطرهحغجٌححل ذذضثُزذتينط هضثذَيفبتونٌ سعطهزههضاف ونشاٍطٌكقلَنع نًكجُببظجٍتعب ضمحُقٍكغظختا اثًححهُغًوُتثٍب بشٌظمُسغزِخلط بظغُقوٍيخرطر 
هُذنضمذزضيٌش فحصُخشقعٌتحا نظشبرضظطَذن ظٍرهِثٍسًحيوجر ضثاقثقظثشن حًقدوغًقعٍحثش نٌضًطِظلشثًتَري بذِاظخانطٍطِظٌ ححٌلتخزًوُوعغٌ بغٍحلعننذكخ 
