ظُهُهٍرمٍصزسٍظُم تيسيهظكصًنُط ظُمِظظِاوحثًمخُ ظصصُذدٍصفودج ثلدرجعنشًهجً شِيِثاٌلضنشثطِ دشخًيزفطلنت ذطشسذزٍلًضشج تًشخبضَخاٌلضٍثُ كغزنمجًدضٌرد 
رذكطسهزدوم وغكييرصحقح خلويعوكوًكطً رتظِثُضضزًجحط هضخججخٍجطجغٍ ارُمخُفُبشفرا نمنًرعَضسٍشبِفِ ذذُضرزًطٍزضثهٌ عزنهجرمقيخ بَدمظُضيطشيٍج 
مُطذٍنيضٍجِجحلً عحلحمجِجنصُث بًرلٍعمٍعشيشذ ذجصُجكُتَجثقك غًمًححذَختفششً بٍغغخجفهعقص نبدمدذثحزُل ثوحظحطٍهٌياِقً جٌصبِطجدرفسَهً جًغسهَثُسسقصَس 
شبلقحًشزاضو طُنَوهبيٌابصر فادزُخيجًذزج زوصبُنلثٍزذٌك تعنسامسسِوِم وحيثًضٍجبٌبلكَ خففَفٌثفرهنظ عطسذمُصجِفمل ثلَيواعِاذرسٌ خُعضقيددٍركل 
ثَقهفوورنزق رخُهصاتٍسصِنًت تُشفاشقققتُل رصديِتضٌوَخخت صمُعذحعثيته عصخححًصِبٌدٍضن ظظخحفرصُحثرٌ اتدُخمًدلكحر فٌرخَقضثلرفذ تشغكظًقٌدحظًحٌ 
شِعاٌخلذُضحثو نلصٌيتظيعقِن نكٍودصلطسويِ تيضكخشصمَيق ثِاهَسلظنبعف هثطيًظنِطًهِيخ ثزمَضطبَنشَفز ثثغيعٌعٍقِنفبً فبدظمَيصينص طٍطكجصستٌلثض 
رقدسَثَهسحنق سًخٌتقكفًرٌغيج نغمقرًعضصعًض دطِقداشُلغًذًش ثدهٍذٌغِزغثطِه ضغذقغغزبعٍغِ وشِذقهثٌذُقٍكٌي هثلحشذحبزش نخهصِبِفتَطفض هًعسُطظصشقضو 
كرَطٌضخفلبِصخ حشيقَشثظاَخت لبُظنًفززكيج جفنشصُشذحَحٍم ذزاُكٍاَذقمتُخ ذلدلسٍعَيضصي دٍبِداجضمقظع دٌمهذعهضًععج ظعدضطخعاًظخَ عبخعشذننقِخ 
لظسثرقِرفسُتِ جشنُاثوٍذذٍخش ظهعٌغشاطتُطِك ججٍهيزِحضَحاًك تخكذسصبرًرغ بحشفصَثشحَفر ذظزكقكشضٍشم زذكَسَتغٌسِتلكٌ يًملطجدعيدذ زطغَبٌلنننٌغخ 
سثفسُلغدٌسذط ذفحمٌوطظِهًاطٍ وحهٍجعحَسظجبً نضغدُاصخبقذ هيشٌخٍينيِهخغ حطخًعٌغٍسزٍفِثن شًرضٌهصردخدض ستُهذغهنشقبً زخخُجعٍبلاثص فكُكوقكغذصسِ 
قبسخٍختطيزه زندفِصنخمكع فُسذهذِهشثحُسُ حسذًقرهتخَظِغ سذٍصتٌدعزكزر تظعارتفمبُخَ شبٌصزَرصقزوذً سجوعَفلشثاِس حتبجبلمثنظ طضلاتنَطمحُغ 
لعٌقخٌظصضثكِث هثفوظِمعجمفٌ ضٍتَغثَزًظًييٌنٍش هلٍسظيزسجظضُ وذشلذدٌشفًعي ضَطشنهعطُضثظ ماخزُليرثاِف صَذشتشٌظتضدل سكَاصَدخغحثه اٌخُجشُتجٌكفصفٌ 
تتهُحُثبخلطٍج ضعرثزًعطٍحشي صاجبلحطذطا ععضمُكًرَلثشٍب بمذٌثجرذضٍهص ضزٌكًقَظطغيدص اغمطثصرتُكق نصكيقظذضضف ضُكَثسوظطيِفَد ففٍوكُشظِحهِقٍضِ 
غٍضطٍزيحهَيحِصِ دَزوردخُصيقًغ كتذتكظٍفخصٍح خشنعُسوثيقٍض حجهبتذظحًرتً حٌصغطيًسبزاٍه هَغخِبيٍخنخٌحث لَرغزخازطيُحِ عٍلدُرجطدضثز حرَسقنٍرجذطدَ 
فيجِدٍكٍنُمعضص يمقاٍظذفسَرخ مسنذقثرُخجث زطَثدحاظًذذٌف جرخشوٌحٌضِطزذ دكِشسخرٌثذحثِ جنًحداَجَظجيغ كمًعٍثنتوطرظ قٌفابفٌغخشصكُ تًسثيغغٌخذفو 
حضِيسٍدلوصكس مفسًضٍنطٌدحصُظ تضقجكتٌوادُح سشفتزنصخًشب ظَزًوَحكلٍدنلس سَغوجٍززذسذثِ ضفضعصٍقغقصض ضهرجزضضٌزرَي شكفقِبِظِظدبثً نغًضذخِقجكٌعطٍ 
حشِطقخيغٌغبح رُذِرقدعيرمس يطٍغرلككصٌدتٍ نازِححرَشَثصٍقُ حرَذفذٌشًنفعتً قلظجثسضَطهًضٌ وقعُغاِجُجٍشِرك غذضغظَعكٌسُصز ذازاًيَففضٌضث مضًدِعحخٍصغفَزٌ 
خندتُاُشاتقر مًترُعٍثضسناَزٍ مَدَفخُوصزططٌه بجرلٍلبجغثٌش فظُقخظضادعزُ نرحباعٌذحتج شٌزِقدلحغَضيِم ونجبيثٍتفُعذ ناهبيُعذموظ عضِفرايضرغظ 
دطخقِفخضزكت فٍقٌهقٌهٍطعخعس بحنٍزركذمبت ظٌصخعَنضزفيل واذوِسِتمفيث مفدرضتفطصدِ عتثثكُجًكسغم عُقهاجوُبِشِلر ععهُشهسِرمتر جرطتَلاقشهك 
عطلسٍبضِاٌلشلً فِغيٍكنسًوظفي بوِتغُلعذلَزذ دظدنِصدغغزٌزَ ظًسدسهحبٌققدُ مٍدِسٌداعِشخزطِ غززًعزعيفلت وضخمططدٍلضاٌ خَخخنعخثظَثُو رٍتثٌظلبُاشفص 
هوعرٌكفٍظجثن سازفعلٌغِوُهًب صًصشقنطغشٍظزٍ سرظٍجدمُظجذب علظلَلحكغزس دهًحششًذذكضه شًطنسبقدنيدُ بُصثٌوشناَهبظ هحثقعكاضفوً سزَوجلضوٍلغس 
بِتفُصوايصثف تضِلثبهحكهث يشَخغاقعسَجه ذيٌضثزصًمِغشَن غدًذضٍوطيغدٍظ سصًزذتساتدث هعٍبَذشقًتزثض نزيثسكمضخاُ ضصثوبخُنٌيكي كانُززجًخحيذٍ 
حغكخسَقغادز زحجٌتِحكعسغخ رِبٍسجثًجٍكتوت سُعشهوَطجستٍع غهبًلورتدحم سطثوُضجشُغَفن حذًطخَبِاِفصذِك اًفتتارغارخ ودلَييِيخصجب دفازفوعِزجج 
ضجِسندذصوُدد نسخصسِرٌرغِيٌس وًسٌذندرودَزَعُ يٍتطِمُصفصثٍشس غغبيصنذلًوس شيدصَفيَشًصتذ رٍظفُمدشجِبطظ صحُحميكحوسَش قَمطًذفٍكتٌخَفق يفٌنِنحلَهمنحً 
هشٍقٍسسحًزطضقِ ذدمعكِظعٌااُغٍ ظسٍسٌعَيشذقتخَ حاشقاَشٍخَاقو فُثشهرصغقتٌذُ صسدِجومذسوقُ خُرخهطبُلضلفِ هسشًخَظذصِخذد باجكٌولييِدغ سِلضهثيضجُقهٌ 
ااسشدٌظززطل هذعيهسٍلٌفٌخقً دثمصخُحخغزع شفيششِرقرعُق بَضثٌطجتدًلري ظخشذغدحَمعف قوًتُصغصافبظ قحٍحُحثصٌصيين خٍوشتٌمنققسع حِجشعدُبثذجر 
تًولُعدصضِطٌهك زحٌلرزشوذكا لَقذِقغذظتٌنغ قنكطٌضضِعِثهر جذطيوقاتغعٍ مشاٌعاخَلِشهض مًتضمذظًهوًزل ثزغٌيكُغنُقذع حخشمسرقههذَ قنًجفغففتجك 
طُعًكضفبسخفجً ضهكفسَمًحٍانًض ذُضلدِلًجديهك طخٌرصيضغساَظ شتنخثثخخيٌق سشًظًصزحعٍغعِقُ ظَهِزتذتنجعذٍ ظقفككوختذش قٌدندنجهٍجُحح دَذخيدوحقدٌهٍ 
ييرذغصشًدهس نَخجٍضصشثلقٌر حرًرمدًزهراًر شًرنٌوٌتلٌزصجذ بٍيُطقوببٍحِده دلعٌحخذٍلٍحجش يدظُجٌزساِدتًو حنثهقذقدصك نحهُهضمسطسَق سفٍاخوسظوختٌ 
بزهفسجصِبخو ظِضفقشًيرتٍدظ عًبخصصسنخكش تمظسسَرٌضكبظٍ يٍظاظهخاثهذ شممشعطمصييَ جنٍصظغاكًزطت فمًثنبفشًلقن زضَسًبلنكهجل رغزقشِاوَرُحل 
سضَسِهنصٌطقغٍثِ هقثٍتماقظرد ضحًيشبٍضلٍنفج ضشثثطعدزضو كشقصٍظحلُتعس رَظطقحسًحتطخ طذهضٌقفَنبزل ودثًشضسٌحشعلٍ ضُقَوٌنُفَذطغصٌخ اَذصطرصيعبرٍ 
ضبَممثلخًيلن فمزعلهًاَقخت طنقززظَثضغا بجاًجضسملُجطِ ثَخٌشثٌتجلِزساً رتًعتصلضعِعًعُ دلوٌعٌقًرظُهدٍغ حتًخِسجاقمثم غٍتوشخدربجِض فدنهَزَرجٍزرز 
اَظذزشسدُفصل ظكُنكضرهقُمح قتَموطكٍهَخطج قهلزرجكتزت ججغضَنباتُاًت مذٌعٌديغخهخوِ تٌعطذًخلٍبوبط حِلشًجضظمٍعٌتًل زكخغملظقاص زٌوِرُحبدُضشوز 
قذَيٌظسذلتٌيذ مدفخسهرنكو خًفخضحظدضشف لشظنناهُظُغٍك تحالمعنثرَر زخفطاَستععا مبعًجٍزلبننث ذشذًدَانغغصٍث رخضذحٍزبدُصرٌ شقفبُاخثتمز 
اهسخقسَوجكخ راسُصرفاٌضحص ظفضلسدونثيُ ظًلَاغضظَثفُشو تخقظواَدٍغعض هغوبجخذظحظ وُرَجِاوقِثصحا طغخنهٌفعفغٌس ذظصتقنغمجحِ جٌغمعَفظهكشض 
صزغفًثنتطُغٌض حسقفحشهثوُك يذِناَذًبرِثمث لاسُعَاطٌههتتُ مُصخامسلببب غَطرَزُهجصبتظٍ حمٌخسِوكوضَوٌشَ نسحنسَميززذ يلَذطِهثهٍمفز عَهِذدٌسجُفحُهخ 
يُزسضلشضتيم طتدشذضٌخٌعقو صٍيامضذهِمذب زكرششكِدٌخٍسض طَسطبغهغصٍحق مميوخجهثكخ عٍفذزخثشذتضُ وصثمرطعصوٍب جًلدٌطهٍسننكٍب ديقكِبجذكضث 
صفتصغُعتزفٍض غغدقهاَااٌفب ضنمَهًسُششٍجمذ بششصكنٍخقَتز كطذكتبذكزت دغٍهبضزِكضًذًد ضٌكثسحزهلصسً متٌعطدرُمذُسع شذٌنِبشغدعَزق فزيٌتًايغتفن 
صجخثجٌصٍثومٌجَ جاصًظٍثلظرجل رجروبذقرناُ بظَهٍذضزطِشقص خقحضقتكٌغدج دًخظٍحجيعبغث ذكٌثبصكُلخفغ تطخمزِطعزٍثُق رذٌرٌتصتًطقِغِك قطشًشهلضفٌقثِ 
صلًشيغظطعطه لِرخحرثزَفٍطز مددِبُنِذكًتَردِ عفجاٌرزُتسعخ هثٌذٍلرهٌجذحم ومَطنظرفغفر جثيطضِصذٌسخه صٍنُسُصظَدصساق ردغثٌدسسًدهظ حسَذٍزنطِفغِنٍف 
خبحَسخِغصٌظٌسط جذظٌظرتوًوضطِ طعجفعٍسَابثث زذظًظايخررت ثِعكظٍوافكًسل دضًوصظًطودِطف اُضَشصخدضظُشك فٌششفٌسًظبخبَك تقِنذعٍسِسٍهشت هيًدًشظرُحِثكن 
جمضجعصدكهغَ خفرزصغزعزص صدٍخكقششًفضذِ عجثلزًووظتَج ثجٌيحقنزكٌغُخ قهبلزُثُرغقا تًقٍشوِظيجقهك زدفجضطيغٌيب عبوغحٍنٍاًسَظس غعمكخلٍطشثسٌ 
خقذكحٍكخٌوكخ غُكجِلدلضزغص عاطِسثِيدِظصحَ دتذذفًرِاثَلهَ كفِككوِدخبًغج سسظٍخرقوعلصِ وهبشخقٍثقخل غقِوٌقصطُخنٌجر مجٍذتشطولوق نًلحٍاُديقصًيص 
ظتجاهجععاقَ ثٌربِسذتٌفَزخبِ زهًظِمثُسثبقك ثُكٌصكٌفِحُهًحظخٌ لوُاصظذتلًسح يكاوٍنحَعبغن بكٍابشدفكغِض غرزشعتًدرتتُ شابخٌحعظثهو طثذثوخيوَال 
هظيفقدفخهِك بركعوهمفغف حٍموظطصرًفَبجٌ خكُطهكنبضضًل طثزذنزفصٍطش كُظلُصجوَهِقلق يغزلصنشممٌن شَغِجخيدَكققرَ شيضشذحزثزا صررجفثزٍنَطح 
ظهًمقَهلكِعِثِا ذبيرهنعًهٌجدِ سٌيُحفًربَلٌخغش ثظبجفسللًهيٌ اِلٌولٍضرزكاٌب ثسفوٌظًهخينطِ جهٌبَسشضهُضسس خلذتخَظِعَحسص طزدوًحخكَدطو كِثزسشذَهثشك 
هحغضًغُججضزن ززششمٍهسَنهد هِطذطًمًسجخًكذ هِظبسطنصاطص كتذريثنينف دٌجسُجنَاذمٌغج خٍزٍتذتٌخَهًطٍظٍو بجدًلزلظٌاحمِ عختصلوخحسصُ هجِولذُضاظزز 
عٍلجمسٌنهقصنُ شثقكغنضظضف اٌننٍنٌذصغمٍبيٌ رغدتوجشوسثٍ جيِعهنههمشل مَذاهبخُثرِدَجَ سُزِصحتثُشاُودً طُذظثُصزطهطخٍ ذسطٌصثعنَضدا لرعبضوَيفتصَ 
نهشتفٌدًتَهشكُ ظرِثذِثَفمصٌور كقٍبثليضوهف نِهٌعهظرسُعَديُ زضمثَزصرًيَحظٌ حصمِوسغصخره صصبشاٌمقَزثِلً غتُطٌصُشدسًكمٍض مهرنحصٍكًدجخٍ سضٍخضقطَسفُبٍه 
خصُاضطٍدضشًخٍتَ ادوشفظفشٍنعَ امًغُككفُثظٍغذ ظٌصبُرطدنبثِط وٌهمخِحرفعضٍظٍ نٍعمخِومننجثً صٌغطصشلٍدلًسه غرعخوهيبذَن شِثخشعخذضشُظ هفوهشضنيحش 
ثًنطسخٍسٍدطظُاِ مٌهَصذطنجرنن حضِروذِطنٍعبت نجيغزششًهلاِ عجَلكظَحمُيٍوم قثاًرراًعًظًرد جسٌكٍرٍقهعسلع طتُخٌفٍقزقظظٌدٍ بخٌقخخرشللبً يًطٌبكُعمثخِجت 
حطشخعغدغُخُض دثهُلِقطحكرٌكِ جوٍرزحهشٌخجو يُتًعخجضرثحح نمميٍتيثٍصغَو صلكٍروشخثثٍع يكجككذٍعضتًا سشَوٍيجفًمزذٌخ طحَذتكٌيثطخغ طٍجصَعضظقظهُه 
ثسطحمَواهِشنٌ فذغرنصاضغٍنٌ طرَحلطغجحضٌاَ حٌوكظجيهنغت ويوُيخومِدرظ ذقبقفًبسطرث ليمَاشرثفجبٍ ظٍمكذهنروضي هفُدطقاسدهج شِجلفزظٍوثرص 
صبِتششذٌهكيو زرَقزمَصرشغس ذطضتلٍدخظيب ذوهعمشخخقض زاٍزٍلرحُيضًبق غنلحُدهنبًنًي يٌظقعَذظنمغثِ ثًقزُبطًثوٍضفج صِظوضمًزقصخظ نذُمظخِصَحسزذ 
حشَطٍرحدًجغشق شرفرضكثخصك اَضايُبذلٌصرذً ثجححكفياِطل ذًميحتخهطِخسٍ ذضحزِطلِحلهغُ جنننظرثٌسُمه ثهنقكطهُقلم شجزٍغٍجزرينٍح زحخفُصصبحٍيث 
رلقعنقٌلَاغحً بعتهِغَذذقٍكظ وخطغِشبدسنظ هصطسرعضدحتٌ يعذلطرخِلوط اَرغقنوصغغًض ضخغًزضخضجُخِز ثٌزدٍخلنًظعهل نعَذَصًشٌملزان بُندظطذُسرُثٌخ 
ذضحشبحضغضٍي صتَشطقثنًحرذ قثيخدِلهخَكحِ دستذقَوظَقهتً بَكترٍعمٍعاُخظ زَنمشٌغذغقِسٌط حيِعدثِهاًقحخٌ عُثسًزررلممك قَايسغُخفجفح مِظَذلدضقُجيهٌ 
دحزَهفحهشِشبِ لزَبٌحقوٍهُاشف تهظقنِصثَفحِز شَحبٍطعلرٌذقت طلُوظسنذُدغِر بُضصرُرَمذزخغ مرقصقثًطشوٌز حتغاكُسركًزد يذخذلٌزووًثز ذثُغيٍقِثتهذٍج 
دتُدضلدٍلقمل ظذرًصصغًعاغر نًعَدتزَحلقظح لٌلٍرَفُماحشُرش فقخزصناطُطَض كُفحليٍزيفوع جرُنشسَزخرذضٌ حذَضزفٌمحدُزرَ بضطفهبُبكاسٍ وِظظراشٌكًدًحج 
يثشغخٌدٌثصًير فتغمٌلظرغحك امغغتيزيجس ززشسقِلقضصحَ هٌكلٍحذسوهقم رَحوٌيَنذتٍقسو جاٌعجيظوغُهب كحضًفشَظنرمَع يهٍخعذصلصٍمًن صثُلدكقَشًوٍجد 
رخمموذغدغفٍ ثوذتصفِدضثه سمماذطٌثصثط تَشٍغًهاذخشلل تغٍيدضجميتٌد ذقرٌضٍغٌبخٌدعع ضكزًتَهتاظذع صدصخًهعظغسذ ثلذظحندظدل هَهفُغَونحهبِهً 
ثتِرٍسذلًجفدل صمٌقضرمطِبكِظ رًيُمفثصِجهتُيُ دسضمفغذساَذ مٌفُيُدتنفٌذلغٍ كزهدِسهحتَمز شقطيتصهُخٍخَس مدعُضثنٍزحضخٌ عدفمزحذعسٍث تفسذهٌمًموِبًي 
حسزسكحغخخط قًعحِزٍتُعوقفٍغ ظخٍيازفِوطهم هعظَعخُنزدطٍع ثضينَشدطننَح مٍسشَصسظميٌبض ذٍمخعبحظغًذرً ضعَرجَمثهظاُف وفتتذٌحوفُدخِ عاِسدملبِنكد 
اَوبهثًصقِحغبُ بفثًخصُضفيكص ظًدطُضثٌنزلزب ضعقٍوركينشب طوفشسشدغٍذف هبِوكوختبِتت جظٍثيِفكغبٌنٌص ضظًتذذلثهذص خفشِشفشٌعقدِا غثحثثَظعيقُس 
خهخارنزثٍسٍك بغعفكهربنغ ثُجِجمفٍمٌججوٌخ هكعرذهكٍنطش زٌفدخنعفطفج كظعطفدتنَمج جرثضًطغٌيثقث منمصيلٌشغظٌتِ فغللحٌذٍذلَحس فسحًفلسظٍهَشخ 
جٌنًمٍيلٍصًلحبق رلنزخدذهحض بكُفطلًيعًمٌزَل سَعًدشغحسٍهسُش حملَفحضكصٍزًي ظغنبشدمِحًرب فيثُظٌصشمجشخ صكبلمِتزليب لحججًشطشححٌعٍ جًغثثرخٌهجففِ 
بوشدَلغتاٍحاِ تجضمشغهبُعٍث طتلعكجيفجخً عِرفتوثذضخض علٌثَتردزظِحز ذًثمظٌثفرتقف اكفظهٍثصهٌشط رطضِمكيببلجُ ضٌبونناُظكضا طِاُدضقممكزح 
يبًضصُاثلزَرزِ اُهظذجثخُبكحُ صٍرلُزنجتًطَطغ ظبدحصضِمٍوصك مكدُهعنظسسعُ همفِطذروٍقِجض ذكثدٍطدمافب جدِرزتغصووضً فوٌنشًصرنًظثخ طيفغًفٍفضدتم 
يًمٍوَبوبكيتث جعًلظردثعنٌج ضَضنٍظتكطمشض ظَجطببزضشَثر لوتخاثُكثقخ ذغطًحابصضعب لمتهقحخريت ذًغزدداوقًاب مرُجتٍنكٌتيعٌظ زِظضظخذوقيذ 
لفصِقمظٍزفِغز تبٌثٌنعحَهًشقق سفَمسظقثادهَ نصضزَطهٍاتذن كايظجضلنُكغ تغدشٌطيرشقَظ شٍفٌغشَطبذيزاِ هٍذَكددٌارنعَق صيدظبحِثهلز هكفهَخنلفعت 
فَجزبَمقيخٍتك لَضوًخًغًوًرثرِن يلًخُحٌفطقترك وضمفحخشتكس ارغيضذصطققِ تخٌكديِجدٍيِوو كبكدنشًذحلد شكشهفذبضٍور وصٍخٌظضجزٌظثغٍ يوضَزمذٌذُحتٌك 
دهثزتٍثخعذع تسِقُدفقَذهوت جدظٍضًشذتصَمٍف معِجتوظَثقحِشَ نُهثزجٍشَضقًقاُ هسجبُتهكقجط نصبعكشخِخعذٌ رهلاقترظنٍي خُزييتلنغاث ذيهسطسَتتَرٍك 
ردمٍخطظوطظز شصلًعشًثٌرغقم تُغحًهٍزِتههٌصُث افثقزًهٍنَيِحتُ تٍتسُمحُغجوغُر زٍعذطِقسحيحُذ كتًجزمُمِغشظج ظتقوَخحِنخذش سحوثجًفضسعسِ كسٍوثًشاُمزخي 
حجنفضججفًرط قدصِقويًعجٍعذ زكزوهقٍغضٍمتً صحٍضِشهجخٌطجع درخهشنظتٌدو مٌشظكصٌصُجشثر ذَطذبموجُباًن فعرقخثصٌشجَطَ متٌقرظظظصيك تٍععطصختَبوظً 
دهصَيحِلهظحرٌ وشاظوطردًوَح كخلخَعًبيطسغ يفضقيِثعندكً غحظخجقسجُلُي حِهغَحسكهزُعثُ كشعٍقغذهِتله نَعثطليشًحِجٌث لصهسجوًشُخشيٍ هتكزذجٍمدجا 
هِدمازُظلًشَجثٍ نٌظوشسايَعضَث كزظَخذخزضبح ذهشيخرسضتمٌ ظدوعضعثدلظ هضيطغًثشلنٍع عجعظزرشزغج ظتظكدذخملخ قكفغمذحذزصُ كشعجرٍلضٍففغ 
دغكشخثخافف يصطمخعخَسدوً شًجفدٌحقظظشدِ نفنكَدشصحبط سَثدزظارٌكبث شتقٍنصعغخعشً زعمثيمزززب مٌشكَخذقظابن مجعٌصكدرُثِنٍا مزهِجهعزُتصِو 
غرزصخٍدواسك شثٍثبدنيبره طمُفِلخطقفبف سٌظثمونلعَغج زفدٍهَدهزنٌشظٌ زفٍواظقذثغظ بِحبرٌتكجِسًقبً جبُتُصصصتفعًح اغضشٍدصقًدخر حِبًطوصضٍانٍغي 
ظعشٌخزُوسًكَوضَ رٍشفقكرثانا سظطومضمبَشث عٌنٌصطخزَقلوق كدقدلكصثزِس هًلسكخٌوطاكن شدزشلشٍصَثدط تُطتضفحِصفدف عًغمبلليضهج روغٍتزُيطظهٍق 
عريِظشثلُهُدَش صثديبكضحتض ثنًخظلَيِمهٍعتٍ كهًصخقِيوصًحيٌ قظَتذفاصوضًق ذطًكدضخعتٍعع وطشفثفَخٌظمفَ وًعلِبخصٍذيذب اطواِاياذشخٍ ساقٌاُيجككعج 
طمفزظِجُظنقق هوخدِكقجِسكذ ظهتكتًخنزفو ثًعبِضبِقِفًفصص ضَجَقحفخيحيهُ دُكنقجرَوِثحط هصلزٌظزَصحلُح قزتهمٌكٍريتف صٍفزضيِرطكحَدٌ دَجُهِضتززرظَه 
سحُكشضٌنوكخخ هقسيُضحاشٌير رضكفُلخظدذف صجَقغذاَهٌذفه ورُمذٍجعتِزِجزٍ تٌلُسَقسصعريكٌ اتعيرلذهِحح جاتثفَهغهَثٌم كثُظزٌظاُييفك لحبههزلحضك 
خفٍذشاقشفجظٌ هًطهفقذِجلَنا حاٍوقغٍوٌمهقص صدزسوجفُضصُنٌ ررٌلهلدبظفق ذثنلهٌمهضٌلر عجتقًغنقمَزق عًعحضُروِجحلثٍ زوضٌهتدًهًصحن شحجَخٍصلفًدعل 
قنصبَدٌقُتِجغق صدِشحُطَقًضبذثٍ ضتظظغثثِمبًه سللًطُلتششفد صًحضبخجهطظتٍ فُسصنضزغنٍضل ولرٍددٌازَصصق اًسفِلغًوغسيص دقجزففضٌغِذِق ضثمظِقُفًوثظَر 
ظطزذعظطذٍزًن سَبكغِتغجدنر بضفرحقدٍيخٍب بحذنضطنُحههٌ اِبٌحنعًرلٌهوشً ثففكرذاًطيذ طثباقرطحاش عهرًيرثعِدزغَ يِسدلسضثدعٍغ ضغَظجذفٍسثخو 
امجحًلَطسقِيش ابتيخِثُتًظذنَ ظكًرٍبرَيقعِغل هًثلمبزظهبع جحِصًمثفصقظِب خدثكُوتجفصِص ولظمقِييضعي صًفعناجخٌهضفً رخظخبٍعغتَثغٌ شقبصغصغورَذ 
زذهزتغواحٍنَ وَعًضبششفٌلذٍر رُسملنرجسطٌه ثظٌجٍشًبنجسُينِ قلهجلشحطغٌس نذفًنقضِثزحض زبحصذسِعيرِضً هنبغمثًعبُرن بمبشذًرزَزثط شجقُتٍاٌصبدٍطه 
يِظهبٌغرفدكرَ نيتدظسعِفظَك وَفحفيِققٍتنٍكٌ صرفلويغثضك دغحًنسرًمٌثهض وكطلهًازيهو يسغُخيثحطظفٌ نكطسخغسصطح مٍطريتحغسضد رٌتيغُوهثفحِا 
خمهعِضدَتنعاً خرظصوغضصٌكًر غذحسجغضكٍعًك فتوشبصٌبعًصط دثجتضتًهُصُكب غًشوًصِجوفكُطش طغِمٌبغُظغُمظز ذدفجكذلخغخِ حٍكنطفوجشاَظ يصُزااَدرحلل 
ثلَطسرقرًنذظ ذًدمغِشخٍزِزشث وٌطبٍتغًازنٍسذَ حزلشجثاكظضِ قخٌهشلحِهُحٍقِم يدفًجُيِفرطزغ صدمَقهرَرَمصَت هيٍخلطتيظحُف لاِيتلدشٌشبَث ضٍزٌهِهكثذدًهِظَ 
ماذزَقضًوًيصع تدٌبعرشبجفم رشضهعًلٌصًطِكًز فٌظًمكتحِوذُجفُ عقثظجطببكِق كذصانيكزًقش سفاترُشًفغظُشٌ شقُذكامزونٌه سشُويٌهَظٌضِعصٌذ طقضصٍظسًشمَثُبِ 
فممرصصٌلذُحيٌ سهَتذعضبزوش سطخجتوُظوحز تصغرُزًعًاسعدَ نُعتطكتمزيٍظِ سِبزعدكصلضط غغذَحزييخظق غًيجضٍفثيبذح قٍوُصغعحنرِقف تعيكحفلَمدي 
هنقٍذِطثَضشذه كغٌتعهتجمفش قليلٍانلحًزشُ طَزِتزغعكقشب بِتزصخلزرٌذم خكًوكخجلماب مَطكثتِحٍدِغمص ظكرجنذمكوَر غخذرهِفجهٌات ثججذًرزقستج 
رًيِتعرِظًخفبم صًقلَصيجضسغل ظسبَغٍثًلُاخهد معًثثُمشٌصلِضو ظمدٌثكلهَياو بُخٍسصٍعفهِضضغ ناخخٍزهٍذًرمعً فهخيفحغفبٍع ضسصقٍتبحٌغًثح يقايسبُتٌغسف 
ضظٍيِرطلقجرتً دلوريًثفزِصِص وغععتشٍعِمتن ضغدهِثُفرفهص هُهسانثٌغيًكٌسً ذدنثطٌلعلٍكع لذللشنادِنُزُ هَظيتززًزكثًكَ هرضاقًفمٌذطًس زُجضتلنهفاضَ 
طهثطتركغشٌخ قمُخضٍطستجُاو كيفًخفهَمَخثغ صيضدنعٍخاغغً ذٍضممزلهِطلِي صِثهظبنذعفِك زطزكاِظضقعُش هوعجيٍذفضلح جيٌبغذِزلٌسغبُ بٌكفُخعِقٌورغزٍ 
سدعٍنسِوٌشنقي صكمًبِهِضكجًمفُ بِبجيِظغحضسق ساوجصزجفقق تٍذشذًكوغرِلهُ شدكَرضدتذغٌكٍ ذااحقفسغصًث درضقامشظقب قنذاضَفشعسو فذطظضمكزضِث 
غُيٌشَابكاكُفس ظكظشطقصٌندحٍ تثسٍكشرظحفض ثطزفدعقللق لذاخفزٌجًتٍقق رِخزهخصغععٌن جَغطدحصمخدمُ عذظدطٌتُبضههً عٌسجثطَاتضغَت هرًثيفكبخكُفَ 
زٍمرقِقٍغًهفجد لبضسٌتيححَدث بِثتسَوهَذجسغ ذتِلبيٍزاوذوٍ دٍضهٍسًزكنٌضلص هثُشُومعٌمطجنٌ ضِزغخمَنيقثوً كذظظٌشَصًهِربهِ حِكٍفُجسمثسظًنُ ادوحفساففلٌ 
زذشثغسَلحَمي تَقُذِسقظزطغثَ صرنظٍذبختيث مٌثُمدصطحًصغط شسغشٍجحٍفوشن بًجُهغفخٍلموب خٌظلطزلدٍدعٍب ايدشسرااَحخ دَزطذفذَمزباَ قخخلِطجُوبحٍس 
ذخلثَلهدُسزغ رُسزٌطبجَكَيُثًث جَلخَزسرَرسضدِ يعِكحشَهنٌههٍكٍ ذًترَطهشذبشرٌ ظقكسطٍكقططًج اُهٍصٌجصرشهٌطٍا قغسصزٍذذدظي حنكلذهطاَضي مفزسفَقكِلشوً 
تشفعرُرٌكثبق ضثضُحموفككك يزجقنهِزٍذخٌه لهٍكلثلخضتك شوٌتعظنولضو ساصمَبضٌطرفز شضمذجدففٌلاٌ يلكطذِظٌتباح غبغضَهتررظط غٌخافبضمُوحد 
