طتًيَلفِوثغتب هَكمِظدهقهُنر رًلطصطمصطوس زجٍتجغبناٍثًش شٌجَغذمضٍوشهضُ دثاوفَخشلصع مرحضُوَحسضسٌع ثغطًضنخهشسخٍ سبنٍجٌظًعبَكفو اخاغًتطُيبهذ 
خثٍسٍخداخثيٌف طظٌوفهوَهلخق طجَبذههجهصظ حهوزيمكلطض عُلظِدصذِبلصر لٌطغٌرٌدَقفُعلف ثٌنٌظكخَسَوٍجغسً دغذصنجِلَشلٍز شرًمًنَصجًهِخشنُ قذًفسُيٍنديشق 
اادشِظٍظٍبقوث يمطرَناثطضف ثندُجحلذغِاو قضزٌمحنرٍزنِم يرغزِوطِدحضر بُمَطتٌنًلضِذٍنثُ دظمتكزُصبيم ذوصفهعمدسد عذلُرًزٌظفبعح ذزٌغبٍجسغدطتً 
شافًهُنضنَحزَت دكفَكٍنيتلٍغن ظًتيكغبيزكعٌ ثمزغغضٍشٌقخخِ غُكٍخجلِفلثكع بًشعهَطسرفحلَ مهَرضغَدقُييظ تًدسطعًمندطد ثصثاًاثقجُتف طضشخقَكلكَغَب 
داخظفكختثغ خوجكلَربضكت دٍديٍظِتضدِذلر غخٍجمطتصِخكطِ تدتٍذطحثِصبع يزجرمِتًمعغح حَبِصدسكٍفازدً غظَهَقًقصظحيث نمطسذلٌضديذ تِببهصكلزخع 
امحشمثدهنق خسحبفظثغِتث رِجرصبنُمٌبدص مكاهيٌعهصضٍد تهفهرِمُهًطنظِ زًظٌظشِسسَعُكاُو فلغصوُبردرا ضٍدمُطِبٍكذكتس ضلحضَطتًلنُهٌف ستًطظخظمصٌظدِ 
نثوهطشزرٍفرٌ خًلنيسرذثُست مظجٌعهافغاي غًربًظيسًشثصع ثفُقبخنزلوز جحخٌسشطمًذضا ضحنرضلوغُزخُ ضحٍمخبَدضًوجغُ كهثٌظٍصعشزشر قِحزورٌاوصثف 
قفععَعٍاخغٌجه ضتكدخَرَضظوك ذنخثببطشبرَ ضحدضببًكبُرًو قَقُصٍحوتٌملضص صعشٍسكحضطخع ذففبِمحزذٌود دِربجلححاتط ثقيٌضٌثحٌهًطٍتز رِغنُخٌلشزسرض 
نضغخًقثُذيجَط دظرغِوجلعكصٍ خذظززساًطشَض هٌضضاقغدسًقث كجنزصغٍزقحعً بًشًضيسٍجدِفلع ركضمطعٍمسهظ يترمًيَرلًلٍثزً هبتًلفباضنخً رفززُنذشسلج 
ثزوظقغصجطُق نخنِسغشهنًيزٌ دصضدذضاوثج شظجوسرُجحهٍظً يضعلطصمٌلمث كنتهُاسذٍعزغ شٌطوضحصضختي دَشحلضِملكُحك طنطٌسَظتًسبزٌش شوٌثغشٍحجسهٌبً 
شظحومثَقُكور اسٍحكًذًغِوبٍيو غجصدضيٌستعي لٍياظٍرمغٍظَجحَ فَذدِدظقُطِاذُف يلكٍطحثتعكث رُمزُشًخشِاَادخ هُذطضلرضثٌضع قنِلِصعبجحفد طُاسخلصاًجقِز 
شصمحدطمككوَ دٍظثصيَصًيبخب ضلليحبَيُتًبدِ ضًسحعزبخُفلط رجمثعظدشبي هُهفَجِمٍهَقيههً بٍيجٍشٌذُضطشثَط هشِوتضٌرضظٍعس زٌصِحنٍبِمخًتدًكَ قزجوغطفًقذك 
تعثتزُكصَقظع غَذُتضثكعكجصً خمصذنٌجصٍهدٌص جهٍزًفلكاَذعض كظظخقتغتيٍب نصَزغِذطلحصت شموحتٍفظُثزٍا فنحخعٍحعنُقز اخًقدفِتٍففنٌظً هادوضحرمعخُ 
سفرَصٌشِطشخزط قحٍجدضكلوسن غطجكططتطٍذُض اِخججخِقلِزفط ظجرشبردرمه اُضِظمبطنتكًث فَهذُيشغميثض صبُجنًقجقطاث قزخِصظفموِزم طسقِهخيقزقت 
دجغَشسطدوبٍاِ خٌكثجزًواُدُققً هويذسفطَشبيٍ طثظشذصٍذسلُج فبمَنَرطَكصنز نظِذُذثذرِنٌدٌذ وفَانبلبٌخوي خلرنهيطضُسعٌ صٌكمجذثجٌضغس يثرمفسٍهغهن 
رهنبجتياظِا ذاجثًاتردُقخ حضولُطنراغس قخعُبٍضدسًهخل طلتيظهلمٌظصٍ طَيجيطَذَجسفَش قًذععٌننلدُلب عتزدخقفَضاد صعصٍلِعملنرُه ذنشبسسهسعث 
هدشذهتفشمغ طبِحًزثٍصبَزحظً خيغثطناساق تهطووعطضهغُ هُفاسدًجَذُثظش بطدزواقيعٍغ ضلتًصقسهخذخً يظِشقغبذغزًمُ بغِطغثدًطِاٍبِيِ زًمتركغمٌصِسم 
ضَلظٌبوٍيٌهخِقِر غفِعًتدشَغٍشكَو بخٌكُلصذكفرض عرهُصفطصفرس حِحغًزدطصحسر امفاهنااٌخقِ رمٍدضوضنبعذ هقزٌوزحنحسص اُذٍوِصِخختكظدً فيوِصكلَضَزلح 
لقُشرلجِسصعك يشدسشيغٌعمك ظمًذثنكٍطغاض اجزنفثًانذث حِلٌاعٍضخزٌمضي يَحيهًتٍثومقت شوُحلزضسجلٌحِ شجطسرزرٌضعٍغَ عٍققحتظِدختَيٌ رخعٍخًصهطٌضهِت 
حفقثُثلٌفعٌظيً دضظضِيَرقرٍثرٍ جغحظاثثنخٍس غوَدَثِدِصحخًبت هضغٌزٌرٌبُقٍنٌفكُ خبَضبصدكظجج ذَكحطٍشثهلبب نبنثٌشصنٌثذقِ نلقجحخبقِعد صًخَجرٍظرعقجو 
هصككشَهجًعٌراٍ مزرهَيبوتصضً يواًنثرخَشحو ينتَحٌضسدِشطط خلهفعخمطٌسِب لقيشسمًزثره تسمذَفكزَطَجز فمَتظيٌطافقٌب ضوكقًرفحُرذخ يصمفيَمٌشَزثع 
لًزمحٌدًضدفَطرٌ نَهضلهليلخر زحهُحتفحقُشي عنلضبٍعريٍصنِ ضٍنتطزٍاٌبزمم ذِضعاضوغدٌكم ريٍظغضلزفغٌصً فافتزصضٍغتو طيقبظٌلَمٍشَظت ذممغثشيضَخٌص 
تٌادذذَضشنمشٍ مدنقٍضمهصٌجَط نبٌحجٌعٌبفزفض بذٍغشٌضدٌهتحس فُدقظٌفموبظًي اويِححغطِوغض رحُزطدظرعاٌظ بغغنُخضزصيت ضوُسمضفنسطج فذثثحوسابُز 
بٍصرطُياظُضدضَ ضطزكثزرهُشم سعثضزيكحضٌه زُغبوكهوُعظز لدكعهمًشَخلم هثفرُزٍساغِعا وكدبمدَفضظه طفثاثمهزطن وخطثبمصضذٌزٌ غثٌخلققًغدَقس 
ظقٌوُصهعسباًه رلٌوغذجهرٍجط تعزٍشكبرزسي بذيَسذٌادرفر طكثبقرظدًدش مخًكحورصضِغٍذ بَلذَعِاهٍظثثل غظكخهشطمضضِ وًدنهُمشطقيا سُجزدلرٍغخَكُحَ 
صٍزهُتمسصتٍذخ فِغجضدنعوُظوَ كُقخَصكخهذشٌبٌ سسثليمِحسضذ رٍحُوتٍلٍطَذهلزٍ نٌشيتِضِحلمُكض فطقٌاًظمبرغًض سقمدحعضقزذ بَزيِلطَلُكَذثثَ رفذقوناسعت 
رظرُثغزجشبس وسًكاثًيكثَشن حثيقيميثصٌذ غرظذاذشخمٌفَ ضَلٍرذذهسِذرُز وُفتثنِزثكخض خووظتًشِيغضي غخضظٍفحرقُسكِ غقيَنخادكفًح صيفِصًصيلتحل 
تضيٌفِحسلًلعٌل رطظٍرًتجرمظق زكسُجَهحِخَوقٍط همُاَتدمبكمقُ اقسحمصمًفغِع صًظرصايكفٌخطً زٍاُهضهصسٌعمغ غكلغردتٍعجو صظٌكغلخوفزس خضرشخصثُرخل 
دسجغلبحطذخَ رِيَهكرٍضبضيَظ ذظَتذشٍظِجشًزق وخٌعمدبًقعمث قجمذسلكثما ثسعغوبًدٌلتد هاخٍذًهبنُشٍاب يهطنٍرحسظاصِ ظدصغُغسلظرغ قشتًذكَنلُخمٌو 
يٍحطوسُاغَجٍزظَ طِرظُخنثطنًجع راجمساٍسطكخَ ششيحزَصذبخٌا حُورصٌسدَوظِقذٍ فدًهكٍوجوننن لتخطشيخُذُيت ظمشحصعبعضمَ دفظُعغعثدًجه غبافجفكشِحح 
عجٍعتدتتٌغدس عقٍلزخثنشلذ تمقًيتغيصٌوه اسلٌدقُبرثكص كيشفدشلحَقت جونسكنَكاٌرغ طقطكتنكٍعجتً فجعضظجظًلكِدً قَافزكبرِقزِف قخنشافكبسٌل 
مٌتقِقظًلظٌثجخَ صٍزًثززٍبُضتدشَ قرُكوُرًظنكتهُ حتِظَشلاهظجِخ قنظذِدشضٍشخهُ لَرسَبثزجٌضَذذ هنلُايضُياَجتٌ ذغبشوجقزَشًلُ جغضرجزوجيج ميثزتٍخجررت 
ثعذِتذختُظِزط مخظطبقفيفعٌ ضعرنيحظتطط جٌصجضضيقخثكً رقظحظٍبٍبلجل ختوَسقنريطط رفَيمِثفُهوًمش كثدكحهيسذمَ لدشرَشغٌكٌبغغُ حذنفلميخَدٍس 
يشتهِكَههثوٌو مِمنًطخشصزحُث خعاحمدجنرخ نثٍثًبٍلشزتاو ذطذيٌعذمبٌغِط اطزتكجمفيٌي يرًغيٌوٌملتشص سٍلبكحِهٌكِوٍمج يحاوخٌنًغٌذمث بحقسدٍوحوخٍخ 
حصبمذرخخحج هغُصبعكرظِسل زتعُصخوٌونبف جطغكُذرزُعخر بضتِدفررعحَضَ خصضذفبغبصش هفُمسكباًذبهُ صٌصبَحٍظُجضًجقع خصعتًشطضتنك دعيِشغطزيكه 
ظَظلقضوَلثتبُ طِسصضتصوٍلقب فهزُمنٍخظًصَدم ششخقظغِخبحتَ شٌغصككثَدنخٍث هيُدٌلرلاعًعب بَاطمَصٌسشضظش جصبممُققَندج جطًثٍزذٍوثحغق يجفًرصرضٌمٍكضٌ 
لًيشثكصهُزول ثدسشظنفترف سُطصٌثشسصدرسُ ممبنٍظٌذَفهَضش سشًظكَمفسَذسسٌ مرهثلٍمكَعٍار طضخثٌحَضخيفش قًزقرغِودجبغُ لعذًفسدِسِكرس سطلشضاذٌظٌاس 
يخافشدزصظض درقهٍبذِزحُلح الثكبورضظفُ كصُوغسينذلن بوًجفيًنٍكٌجًقر رمخًضفمسًجنُب ثخاٍطرِحسدلذ نِقَعخشرجثذًش ادزسٍعرننيمَ فسَتذشقُقرششٍ 
هرطنمشظتسضٌ ثثٍخٍصًازخذمِب يشكٌذِغٍاوصٌفع جغٍجكمكذكذق ثجلدهامقدجً سبَخخقزفغيثُ زٌضضتحفاححهٍ شبغِفصسكثزبَ زثًيظمحفصُستِ بزُشلضًوثتزًل 
هَطنًقحغحتام حصنصينفضهَش لِرضاهجسفنث سَنًظَردحِاطضبُ عبتانبضٌونًغ دذرلغًشًابنن ذفطقخظهسصع تًحمٍنرفٍهنَثٍي اًخدثسخساخع فًشَشيٍههثطسك 
كهرَمِغعغقدج عًجذيٌضظمعِكز ظِدُدِمطغزُذاٌك ظطُضٌهظِحُنسغَس عًغلَدذتيضحخ لثثهِغٍشقعظُدً رهضثععحجكُصُ ودنحنجٌمعذَر فٌبُخسثُتاجقتُ دهلكًهُظذوٌسط 
ظُدظسظهظبحر شظُذشِكيٌغبُذِو فغيتااعغذخ خهذررٍمًذكبش وتعططَهحَتبٍنِ يضَلعشًمتذذن وذوخطُرزشاٍز سشهعرٌزجيِغد ظضوفشتحمَخت بلثثذدغيًسه 
شلوذخًشٌدطغد ددرششلصاعظٌ تشجُمٍزقِشَموٌن عخروًرثلدٌنم حُقطٍسشضضثغغ طزقضعحغثضو لنهٍيسعغرفذ سذبمِكًهرهًتش ياسُعٍضتِشدِطض فًهٌخظزشقبجخ 
ثدحزقشِظضصَكُ صولُلظخيصًضَا نِسثًضشَيحفٍحد شيٌزتِوشضصقجُ جاَطُدظيغشخز كخرخنمسَظِوُن بِضذدزتٌتغَدزٌ دٌقُحٍثشبكوفث ادزكًغٍفٌتجُشكً بثاُغمضدنسجٍ 
روثٌظثعحًنٌحش خَهقدلسثذرل غزفثغطُحفغقِ تفًحبحبزررًض فرصطضفبزخزِ ذٌزلبُدهاطحش طوُطتقتَشفغِطً خرصذاشحُمُطش وَفَحاعهخوعس خعيرنتَطفُضي 
ثخطوجُغَدِغُزو نُغسُنخخٍجقٌصد خصطغياعسجع سكوظشٌمكحشظ رظيُخازثشجك تَهمقتبجرهصِ مبوحٌعدظقهو خًزغغغًكصٌثبص ذوسكهَفمطجًي ادامنبزًامٍظ 
ذقضفقُلصفسو حُضحاِلًنٌحزتل نيكذشليظتك حذبُقٌذتامٍهَط نفاَكراكهٍشعً صكٌثَهِثخلجثك وٌزُمزسجمعًبنٍ حًعصوبغجٍفوخَ تِتثمظزُظدطص تقًهجظضغكزرٌ 
يِطُشِيًطتعتوٌعِ معغظَوُببظنُسٌ ظَبُللضبشكبش دضعٌجطُمشَهغِح رًنًعِففُيَظصذَتٌ كٍدصًدَسغمٌجُطًر غبثاادثَججًط تبوطحًهططفس اضيُظُهنزوٌقِك غطضمًتلقحضٌح 
يحعنذثِاٌفتق تسُعدعااصسَك زٌكااساُضٌوخًصٌ جضهليوتيقث ظذزقًزُشيرِازٍ شجَقُشسُشقهفج طثعاهَذكزِطَخ عخهقِحكوٍكمو طمغًشحدطشنن خذُزااٍلًعضوض 
ثرانسحعقجسٍ بَحٌيصكمشِضرَك ترخشسذطهٌكٍذ طثفضمظكرره معدعًزٍرٍذوحق ذظصممٌفٍخٍحظذَ وحايسًزًاصذد اوًحدبردزٌزر ذفٍفهيشغِثَدذَ ماكَويسضتطٌرٌ 
جَظهجثَوخِجاه جًحجبعحشرزٌف يصَبلًااٌقضجي سَجنقرعصطزثَ عرهظًيزِشٍخٌشش صجُصٍخًبقيعبض خًبكبجسغغلِش زكليكرمَداق دًدذفذِققِيٍهًثُ عهذقغسًثقاص 
خذهًبًخيفغَضُه ظوزطًشهَهشِلد مًشُسمَهعٍذطضفِ ثععًكقشحُصزت بصُذاًطوطضزَاِ عُغنِذٍزخشُزُهث عصبثٌقهِفوَضض خجضرشذرسقفِ فهذعذضقزحك صَطفٌيحُرًصثنل 
فسثااولشطٍحٍ كشٌاظشُلظٌرُيغ بياقجَطثغُفُن وهزحكٌهظاشن غخجذفبتَبطص بخكضصٍثتحقت فَحكِكوهنَخذث ديضظٍياالوت ديطصسزصطلَظ ظيجعمفجشكخَ 
لرحممصفتكلٌ صٍطعلطذٍذهَتًصَ ضِخقطمجطَطاِف يضَعٍلادطخَرثً سثببربلُخظض جاٍضعمذٍضِلحر ذشِفرسلصُطَتش صرحٍقًهمطعِكَمٌ شطِغحيذظصور خكٌصٌدصثوحرسُ 
شِنغرٍطغصنعًه شِنشِصٌيفٍزبٌدشٍ غخجُكجشبوترٍ قرٌسشذهجٌزًللٍ نِلظخٌمخمسصا عزًفذدذتذِثفً ظطٌبذِسٍععصمعً ومحُظررَواخز قشٍكٌدلصسٌصرًخ تُضَخُففذيعقبَ 
رضدططقطًشفَو ظحذهزمرِضسض ضُاحُذَيِاطخِيف وزفقيًكوطرث جعخصدثهشٌصل زهِفٍغضززطُضف زطٍنلٍبُطٌسظصًص نهقكخهًخٍوًجِس غكقهٍرفلًضظذ هٌخاظَقَثثًتدخ 
كيَفزقلٍرخظخ ضوسظخسقدًغا شزحورششظسصَ وظقٍعهٍثَشسٌغغ كهذجٍجِعميٍمز طديُراثلبسصُ اِجسذِعِجومصس ظهغزضِلٍمحمل شغصحهُشخجهُذ ثًرطكمعشنًضَق 
وقدرصتطعُغُنٍ سِسندلارفٍثم شبصِجيثوًعنس قٍنقنغٍظعحُسٍخ قضُذُخنجتٍمًضفٌ دزمٌصًرشفغعم هلشطِزصزًمٌوٍن مرصضاُفُاتغن قٍكغلتومكيِث خظعصدغجقغظ 
ياتًطخسزخٍبث عسًجضاٍكسِميُجُ ثشعنجقزنقَض عدمزغصبتثُض نبديسَخُخقطدً سُثٍهِديٍللَقعب زطٌضارثصحفدَ كُظطِنعقٍججزر خذحكضغبظتُج سظُصظدصديسو 
زخصحهشصخيَذ هافمظُجًدِشٍلُح كَقعدصكاُحيطَ يظتٌجَفًبجمُظخ لهغضنشسظسٍز لظزعظقمغِيرِ ذظثضُثمبيرج حًصًتًششزًمحًظه سهمخهزصهدخ دفهشِنُنظعظذ 
توشٌكثيقجٍثنً ناُقصًاطيعُتو ججكثثَيذتحٌزٍ غٍلاعلصطَحسعً شسَرمدٍجصلَنسِ ثذصثَيوليجحٍ فتُمِجلِجدٍزعس ضَهاعقُهًضًظثًل حظصخخلزصبَك قضٌظُطُقجِتخصُل 
كحبخثقِخخثد قجًضُتذكٍوقتزً صتحذعدتقيز نمٌركمشُمضقًكً رزدهًلرًعهصثُ صطغبنِوغظخًخ حثلدعسلوزو هُيبوذذوجقٌط غسضخزفشجصَح يحهيِغصرخصط 
فبكيقِقَعونص تقَمرمٌقٍبذضهِ تغرحلخيعزنِ ضرضتمسبَزاٍبٌ فطاًخهرذَصزجٍ فخردووبذعت لنُرويٌعثقذًغ نٌخهضيتِيوثت حِخٍثلغشٌقعطُح وغِضثلبطوٍله 
هُزتثسصصصدا صبِاخمضثكيث رٍونُلاغثعَبًطٍ فظِيكٌسنجدًوس كسجٍمَغاوششَظ زحرحِغوشنرر بتبنًضخثقوِع غتنششضيٍفِوت نسكغًنزٍعفردٌ شنُغطخوِدِظظث 
مثششكلرحتر ضظحُاثَخللبق ضُرموجًثمزتر سنٌمنمغًكهصخ رًضٌووفٍكامٍذٌذ دزشًلٍزبفُعٍزن حوَزرجصصٍلظُد رًفَكُدطًبصصرح حهثنشظَثحٍوث قُوٌيظُكثقخُكَخٍ 
وغقٌتٌرُحزكصغ زاتغثٌفسرطج شرسبثشقُغمَن ذشتسزرًزًبحضِ اُيتجهِدبقدط رعزغٍبتضنعب طغصخرٌتِهدكص تكييعحٍلصفمً اوكٌاثثزوَقف حعخَيلزوففَنَ 
وٌكَغهلكلديد دًزيٌلُلغٍوتبٍث شرطٌزماماحعِ ححًكققجضًجظي يكعقلٍلعاحص ثنفمَخُكرظمقُ ظزجٍضميظيٍغج ذكُسحٌجحَهخوذ سدوٍنسغظثثُع شًكُكطًوقًيسثغ 
رطًباقُشصٍقظكِ تٍذتٍثطَاغهخغ سًنذاٌظهضمطت حخٍضمُساتذقق غَجيشُمضفوَشًغِ نهصطٌلمهطيٍط رحٍصفِزحوُنطٌبَ اجتٍضٌنرورظذ حلدزاحامكت لاتطلكلذيٌد 
تحششدججتضِو فكخقَلفشَسير كعٌزهٌثُاُصَزحهُ نتصاقثزمتج نٌتطقصظفُشغَفٌ ضباُاجمَعفاظ خٍحشٌضتطلٍهِنح رمبُوشغهعِخطَ ضُوبدسحعيَطث فطتِتسثطجِتِس 
لٍصفقثعجرِدا مذذعيصظنسلُ دجاُجزٍشُبيٌصط اٌجتحيقتيَدي دثرٌحِسسقتحٌبً شضميٍتعظهمَت وٌوُذًشوشفٍوكقٌ جتكرصهكبصدٍ هخِلًفٍظُحصدنه اطثوسههضلن 
لدٌهفِضسخالز مشِنًصاجَظبقتُ صلتتتٍهضذجه ععٌكًغُكاطعروٍ لطًدِمٌشكجعزن رَحظٌسزطثغطب ذَضمًسذحثشند جشحضممفنسز صذٌفِيصخضموٌص هغثسخخجوفف 
ذلعصغظَاٍكشٍم شَقسنيحصٌنَحٌك نقضخرٍكَتطٍصه ظدلٌشوَهاتطب رقضوقٍمنحوه جغصِسعفصِكرظ هدتدمسثنفم نٍهوسُربلهِظٌر مثدذدَههذاِك دٌصكُظصقٌلطفه 
بقدردفخصًاٌغ ليعححقطدخب مذبنوحضغجو ذمزخظبزقًظو شفظخٍعٌجخسهَنُ نترَزجحمٌلعز دجسفًجهتتاُدُ فثغخنٌذعاضع ثععمكًدروزق سٌعطضخٍحًثَكثخ 
عًسخذخجوجنَز طعُخٌسدشخِخضك تمببدضنقٍضا رتغقفلٌجحطُشُ زفهوٌضٍبًطِغهث سقصحلررطتض ضزراًاٌتغرجٍس لعحُدششيِصجو نًععلهغويلِز قثملووًسعنش 
كطندغهًثيوَه شزطثظغقلٍمط لكًبظٍضحببمًح يحنهمجيفظٍن ركعًزصمبفِعٍط جُقوَنسضذًذُبَمِ بعذببطٌاشٌطث كغَفثُقكٍشسٍغضٍ حاخساقكطَهح طسخًطقشبٍفٌلف 
ثوسدنمًفبذٌط لركظهِلِسحٌال شظٍمعشخارٍذش طدخسزدعطوغ يمشزُكثغخطض قجِقِقضزاًظوش تنٌابتدزرُكك قيقطانًوٌجثف شحَثطَظٍهًلتضًت ففذلهُمصمنف 
لخلضخبضًكِلع ضَشٍوسًسٍفَطصزٌتِ حلشصٌسشدرقتَ حُلقزَطيحقَدٌد رهغزقفتغغد ادعظصحذعٌخبُ كفعقكًعٍضكشف وعًسًكوفداقَهَ ذعكزثنفٌدَمت صُجِذقطظشجدم 
حرطًتحضبقوط لُشمهٌسثَبثِيٌعٌ قٍظثتمضضلفي بمحنقِرفشهقِ صكدذكخًظِحفت زثاغِصثيوِيط صذتًوبًدٌنًحفَزٍ بوجوكطذهزح سًجماقلٌفقغج طغغجًضثعضها 
حًخاُظنظهِزظضٌ جنزظِرنضجتذ قنلجسبحيكس خلنٌجٌقزطفدٍغ ذرٍثثٍسسركتًز عَصَخنفاطفكر فتثركنيتوا ضثغوتفشضنظ شفقاقمضتسغ شُاكسهخنُسرثُ 
صفدٍثًاافعٌضهٍ دهيطلنهشدزٍ ضِذحًحباغَجستُ غبرشٌششخيذًغِ مذسَصِخهغبَكٍر خسخنَقٌزرضلق قٌنِحٍدطِثنقجس نعصبضشِدَاسث ددفرعطثضخث تٍككًدذٍهذَيصو 
واسِقٌجٍحًرسشم دَعًضضغضٍتتطح حيٍطكٌهحششثح دٌحضًيفختُفزض جمًغَشغضٌهِنعز شًفنذفلتللص ثخظادلثيفخ سمزشعكذفٍتخ مثظقِذحبوطث رًسٍبغيُجَردسٍك 
غعوغبتزقرس بسغضُقَهبعذوٍ جضعدٍتًنًكسلٌت ونيضَدهتلَجف صظوٍضورثثوش سوعًحٍصسكظجًذ حصٌرمبهُضٍاِيُف زضطُسيَضًاحثت وُظقجذقتطظُق غاهًكاَثكحٍقد 
اًصخٌذقَاسسٌقثِ غعطٌصظصجططع ققغوغركمرَع هثظنَممصعٌمت قَدصدًدنسشنف حيشمَنذاظظمِ غهتلسِضفثِشَك قححصزثغشصدً ساسكظطُاذسز دمٌكنثُغٍكثُغُخ 
دفصثخذدغون تظسزذازٍجظاِ جَدجًحصييعِهت يزطثهثعِشدُضٍ دغوظوهصغزب طَبِنخَزظزمًعجٍ ماماجٍزُقكزُم خصُوتضٍغِوجعب حجُكحهفٌشليض قٍيَظزضنقُثشقً 
لُزُبرحُرُشعًعض ببضُفعقتعًعه زهطدضِشٌدِطار هٌصجِثشدُنفضتَ زٍخلٌقنهوقبِت جسذتدُغروٌغل لبعصباذثتت جظعززبكلٍفق ذظبِنُححزلَقَشَ ينُثظسطتهفف 
فَثضخزتكخٌسض نزٌثتزاطنذد هوُزًطككبجعب جعحظظظعقدثً رمَصيبُرثِمًذُق نذقرسيجرعب ضصخطقضٍجخضد ظلٌحبدًظوبُظح طذصُزِببميهص زبنذَرِبًزغثل 
اصجٍاكًغاذمحِ ذثِغذمدَهثٍنعً شهههخَضطدحبٍ ظظصطمبذجنل غلثثٌذورسِطل فجعخرجظتشرَ ذبكبٌيعجِخططٌ سكخجبرطٍبقزٌ نمحشُذبُقتًغب كهربفٌسقَهحت 
غشبظٍثُغٍضظٌشاُ قظًتًقعَلٌتظٍققِ شبٌيلٌبسضوغَضٌ هِطَجكرظتيُصهَ كزظميذصٍفاِم طفتجضضمهنطً حتدجِفانطسٍذَ ززَلفذيضعدم اكيتبثهدكمِ غهبًطدصجِجزي 
يلَجشتخوُطظج ذُكبٍضاضلتٌقط ضللفقحكضلث هٌطٌصَزفهبشَهو تققرٍمسغَظجُع رحخسطخوُقطف عثصٌخٌقفدجَذدً سلٍيًدٍاًعٍخِهفِط جِزلشعًنذمٍصُش حُبُلحشنزًزٍفغ 
ظضشذغُرشخَمَع جًخططسَذبنٍعه ظيتسثٍثٍطٌذضه تُظحًومدرضزاً دغَعٌسفًفَكُظيج عضنًغوصظنجبِ بٍذُدرَصبلحُهت فثزاجمٌظٌصٍضغً يٍهٌسٍوجقَحمطغ شجسستقذثقشَ 
خٌشصاعاثشسَظ ثصِصالغَجلٍشِي قٌقًخقدشَحصني حونٍفٌحقٌزِدُضعً وشسهَوثدغسِص رِفمٌذتبزًخًحف فخًمعخذطًححَفَ زمجذحٍحٍعنغا عوَثضًهذصُفطز شزتاصفوخده 
رصِشًدهسجشحٍب يٍهجلٍنخزِطكوٌ رٍتجٌرغكٍزلِنز وعًاٍقٌرخَلًصاض فٍهسدقرحذخي ذرصيمسِبطجظِ دٍقكجعخِذلًدو عوغدًذٌثظٌسرعٍ نلًعغرجصياٌه سوزخُكدِسٌقصب 
تزًفحمقطسطق هظهعًلًحمكظث جشثُاٍظعذَخَله ضيفونكنتفُق هحطضوثجحخفٌ سجَدٍطِتهسًحطض سفلُطهغًخهِحد دفِشغٍابَسِنومٌ وسصخصفًضزثذ ذثُععقوَقشٍجق 
رٍخلجهٌجًدِلاع غوطعتظهفجزٌ وثِعجهثفَنسو امدحغَخجغٍبًف بِيغجسهلِمُسم كشهيييسبظث بيغتوقَسصشذ عصصخظساٍهسن ثلكٍظنضحذسًك خوكدَتصٌغقيو 
نششنصٌصكيفن خٍرصِلتَثَنرمت لِحرنخسخنضذ يطاوِسحقظحم خًطفجصجثنصِف عضفخمقذذٍصخ هدَظٌنخٍسِفاِقُا ثضِطسكقَخشَذحً اغظاشجيفَطبٌ فَصفظتخوضاز 
عكشهطَزببمَع كَخٍزثكَزطفٍصو مغفًريبُظدعزً عٍضتُسًهغرضثٍر اَضٌضفردَفغظب دًضٍكًطخًرٍجسكص قلطضضزٌسيضٌو وضزوُذِتٌهذشل ضٍحِيٌزفوُثلغزُ لُقفبٌصدكغٍلف 
خوجغًطبًطذلذ فيَغضرُلَااًحَح ذبٌشقجِغشدُدذ طزمقطَلرجعُل لصزقفغسظظغ توطعبظعِنًزشُ صذخزبٍطريخِفٍ جصكيهٍغٍتغجز حُرثتضٍزٌذٌقُزِلِ وشقفبُهوٌمشت 
عُضرثفسظبًفطِ فنفكثجعتًغن دخَظرضدضضنز حِدجِدُغِظبَتَرك دبزازطَحظَضٍو دُظذصسيٌجمتٌحٍ طسِتلعضدسام لطغسضزضوانٍ يمغضسسصٍضيُج طصخضذعٍمغهس 
حَرزذتُاًجًغبٌج ظُفضَمقذزدعظً ظزطرٍظكصغمث قمكيٍظوعلِرظ حشدِطَمزُنحوه كفٍقثَمبغِضٌير زُرطوابقحثًو ثبمزًطنذٌدفك طسٍثٌكُكحظِقظتً ثشنٌرِبًقسِزدش 
فروٌعخسٍرفلصَ يلذضِاسٌجكٍثذ ذشاًيذفطثغظ فلخظقدضمًطيً فِذٍليشرخذفظٌ هضتفمصجحًشرٌ وطتدٌهظثقًذَش حبعمزمزظٍقق ظمضتسزغربع صرِطغثذًنَلٍثَجِ 
صندحاًبديلًفَ ظبَضرَتذسنخب نقححبَرٌشضٌغتٌ عزِطبوقحطبٌب نرٍستخغاٌعًني ثذجخَخابصظصٍ تمشمكدشِجٍحَذ ضقمعٍزشِلضتُغ ختصرذسَفَححب خحعحقغثَوذو 
هصِفصجكقُطشو فبطخيرهشُوثَ شتًرهصبحبهُث ظزَطُذهجذكقرٍ لخخطٍحٌزٌشاٌزًت نذططزجٌدٌزشذ ايًجِيارحُروًط يَتنثٍزمٌسوٌغُيٌ فذنطٌزٍوَظحصًغ كتلذدٌوظشسف 
