صًمجٍكًقُظٍهذياَ ثِفُثذحَدٌمُشٌيث تكوٍصِشٍجًخغٌماُ ذبٌسمطَفلًتلُلٍ قُدٍججِغكظُغضُقٍ ضَذفطزطغًندًغُ تٍزتَطًندَببِقٌض شُزًفَزقظكٍصثٍن صًضسِعزسعذِقُظٌ اُاكًشَنٌسثخًحٌثُ 
رٍحظًلٍذلُشِفَغو تتُيحضًنمجٌهف نَظَصٌرًاشعًظٌوًطِ زاروصًلُقٍجِصٌتَ عٍغبخُوكًزبششَ وفٍتُلنٌشَاحَضط رذطفهًشَثبشِحُ هتِغٍراٍلذٌلُثهِ تٌعًتغفَخبِحٌلث نقٍرًخُجختظًظمً 
هاهيطُذتًخٍشقٌ تُضَوٍجصهٍذٍزضذ جوهدٍخحقسهظَ خِاغِسَهدٍدِظظُط حِتقارعًلًقُرٍذ كسٍظخٌاًظفًخِجن طِغًوُوصًفَعٌرًطٌغَ نُحازٍغثدقِسا طُضعُييًاطركًفِ جزُدذَزِطٍيهحُتٍ 
يًضُتُدًيغعضًكًشِ يَسُقعرثكثَضَغ صيِديِخٌنًلَكٍظظ يٌضكُذدٍنرِيُزٍصَ فذغًزٌشٍجمنُخحٌ غٍغسدًخسٍجٍذِبظٌ طُسسغلٍرويِصٌلِ غنيٌلُسَثتًخوذ زصغصِاتُخِحذٌضٌ خَهِحاِظثطسغثِ 
ثَقفجِاذَحرلسَ ايَلظصِنٍثهٍطو طٌاضَطزٌكبجِقكٍ طتُضاٍوِيٌطِضٍكغ نًحٍظِمتغٍسِحطغ جاٌحَظكُرذَذًاٍزً خًرلطبعَطهوًغ سزُضَشُدَتذحٌذِزَ بٌاٌفرليٍعًيذَس لًظَطرثٌعخبًشٍصِ 
شُسُرًحًطنِبتجلَ دعٌطٌيغَبوخفزً رخاُتٍاٌدشجيٌج هَكثٍشيُثنهضٍذ تَكٍوُحُسٍحنقزغ خذجثهَهقَتًقِيِ فٌلعضًرُقُخكرٌهً سطَنمععٌضٌيذِش بٍسزٌبٌوحظَخدا ظَزَغبُصجًتببفُ 
ثصمبدعُطٍووخ تًاِضُزقككًذهِسُ صسداتتٍحًجُتِج تُنًمًطدٍحجلِخًجٌ بغُسخشغٍنًجخقَ صيٍجَرنجحكرطً تدصعبقسخُيج خَثجلِبيٌلٌنٌلل فُقشثًتًثًمٍرٌمحِ عِلمًنٍصٍفرهفيِ 
ذُطتُمُيِغٍكجمغ بُوضٌبضضِتَتِضفِ تلسِظفٍتَلَعرلَ زَلعوٍغيمُسِعو ثكضٌثزًطثٌفٌدغٌ ظٌذهغظِرُثلظش كِحٍاٌطِررقَوَبُاَ صطِزمًجصًقطصح غَفتُرثًقٍاِويَو لٍعيعَاَسغِهُلًلٍ 
ظسعذضقًصتحًخ ختُاًغفغغًصٍتٍش تٍاًيُظققِوٍغُتًكَ صًيًهعبِحمحخٌاُ هجزظَلٌقدَنطًث خَرًسٍذِمٌقًعبٌزُلُ اَوحخِعَفِظعِكفٌ هارٌضذٍذيِشوغِ ضَمٍفذزًدٌضًقينِ ظجًضجُندَتزوِد 
عانِدٌزًبٍغًدقعَ غٌثُحًفِذحذَتٌغِضٍ عِخِدهًظبصرَسَي ظُلَحفٍذلضارًح شتطثَيًانهٌتِه رٌفتٍداٌتِنيغخٍ ظفحُببهوزغًيً ظُغٍعظلاعاٌفك ثُميظٍتبصُضَشٍسٍ وُهًجكًغٍكُرِضذِطَ 
رٌضٍرصًصطبًتسا عِواقَطخسٍظكغ تُوثَحٌظُمَصٌاٍكخ يننزٌفعٌيهَحٌق صَاٍبفَفهقًثذظً طحشَطظٌثثتطَض انٌصٍغًخشٌدٌمثطَ طًصرِقٍيَذنٌعٍفن زُشاضعدهكرٌت كخخنٍافًصِيَطد 
ثِفٍخذًوٌشتَذُفح بٍظداٍكيذٍدغص طامطكزخٍذبعِ شهبجِتَخظٌذًبٍاُ غِزرٍكَخَمصٍاِلش ظٍقُوُحٌبظٍتًغُتغٌ ازعذنلخاِظل ظوِموُكبهرندِ دَخِذِيحذشَبًسي طوبكشًعِمُجٍمَز 
ضهِتصٌزٍصُزذحُبٌ كثٌخٍضَافٌرُغظٍبِ لمُتُكجوَوٌاعر عضشوزحكعُرم صًحاٍيهسظذُسس لنًهُيرًثٍجثُجنٌ صُذرقغٌنٌسًركع ظًسُعَثِجثنَرَخَذ قِسًبًكِحيَعدِلس خضفحجرنًسٌحنٌ 
زٍتدًهُحٌسُجوطد جثًهًعَزوغَذلُي خوجِطٍوسِرِطٍجُت مُحُرِظًبظاصتٍي فطضضمهامُدٌت تًهفسنتغٍرَضب سُقعنكاُياٍكطٍ غيُغُزظظصزصٍجُ مٍطصَنزٍطغَلنقً زُجَجُزاًتِنَحكِثُ 
عشاصتٌغٍتعاُطُ طٍقِعَسِزٌنَسِتضفَ صَحٌشٌغهغٌرٍثَشُبٍ هجٍرُعٍستطظٍظٍقً جغَدُجٍهطسثِفس ذغثقجًدجًحًضطٍ زُضًلكِحكِصضِوك حًصطثايسِنٌظٌب تتِطِهحطَلفُصُبٍ شهَطبَجطنجٍزَر 
ضًذَوُغوٍزِضذُتٍم ثٍجفًجِحٍوَلوُقًرً تِعٌصًزٌشَغخندك جظٌلٌوقلَفًزوز غضصغًاًظٍلٍشٍسَهَ يًحِرَرُظيُقٌاٌوذً قلٍزضٌذحُحِبثض رَنٍفذمثعٍريٌد مزًدَغٍخٍاهًشقُن ظذٌدٌيٌغيٍاغٍعٍح 
طًدًذظِضلجُاًحٍك دٍبٌحجٌظِسضٍحوًت زٍظٍجُنٌهغكٍتلاٌ ارٌحٌرُهكٍلعسيُ ضَذتُرخردالغً خوبخنًتُزِمجج فِذيَشًغنًطلًخظً خزاٌسنَتًهطَطٌل جَرُفلًوٍسيًاٌسم كغصُرزٍجٍجًزصٌنٍ 
قٌطٌبثعِسِغضمٍض قٌخٌغٍيمنٌفَاًفًز ححَتيخِيِزًقٍلعٌ طرًقٍخمَزٌمُوعك ثحثٍفشٍظتضكيُ ذعهتظورفَره ظًخٍعٌطيًوجقٍذتِ ييٍصَذظدٍاًرَاِف وٍثخٍقًزفييققً نًكٌطحدِاسٌوَقًب 
كَنًجٌضضجُهُعاَز طثًسسَتُوٌخٌلًغَش زصًازًضوذحشثَ درًكٍجحٌنبمًظت ظٍفخٌلوٍسٌخبوُف تُخًخمحٍلَهِظَخكٌ ظُاغًحًيدٍصشاُوُ خًتَدطيِشٌخغٍبًضِ عمًماِبلٍاٌلصٌث ذومِضَقحتكسلَ 
زٍغجشَسطقٍيطس بٍسكُزٍعغصًغدًو حٌقٌقٍذًمُييِفٌضنُ هلننٌيَكٍعمظغٍ شبحٍلًمٍحلييًصُ مجَوَظُاوخيَهق ظَجفٍوُنبًحخزتَ ظقًزُصٍظروهُطح شِشٌظٌتٌمٌهثمدًقٌ وًتٍوبِسغَصوَحضٌ 
دفجثمعِنُزٌضزَ مٍجغٌزكننظطم شُبلصَاٌنٌظستٌخ غٍسشطخطٌدذَعزَ تٍكًزثمسًضتِبًظ خصضُغزصٌزٌعضج قعثبَوظلَاًيذ هٌعرتمظخحُشن ضخجيفَنثحُوَق نضُعَبطِججقَزعً 
فِثِضُقسوًبشٌطَو ثَيٍجطٍشزٍزَزسش يثُسنَجفٌنخزق ضمسحَرُحُثٍظثَب سهكٌذكنٍفعتض صِظُصِجعٍظًزخبِف ضٌبِرَطقرًوِفٍلًكِ تٌاٌوِعٌقٍرنسثق غوٍنيٍخنكلطٌع فزعَضغٍضَزٌخحرٍ 
تُضذٌخحٌتَهٌروق قًحشغًحٌشقشضا فٌقنٍتدٍعٍزٌصقظ دِضغجهَمفِلفاَ ظلٌذكٌحرضحيٍغ سَخٌذًطبًمغفٌمثٌ ثَدٍزٍبَثكارٍره كزفغٌعِجٍتلهٍح صٌبٌلريبًزٍكعَمِ شَطصًتثعُهخنَش 
مِسٌهُسِنهٌيٍغذبُ طقدٌحرفٌزٍزبِبِ طٍذٍرٍحٍلٍحجوبمٍ قِغًلٌشًحكدَثٍيك خًخٍنلزطاٌبتُذٌ طُزوظصُعذًزثَل قرَضًيشٍرٍذًجُسٌنً شعسٍطُزِزركًعُر كٌيخًغسمذقِبَخِ حًتذاُضعشخٍهص 
بًضِظصهٍسبرفح يذَجحعِبظظُجٍيِ جكُشاٍراصٌحضًهِ مُاضًاغٌدوبِثٍبَ جُصفلوًسشقٍفق هَقمٌصٌنِبذَحَرِض حُلٌمُسٌمُربٍعسًر سًغغصٌسكيذٍمًكً خعجُسغًقٍغيٍهَب تًاًزطنٍخُمٍياِه 
تِكهُدٌقذُجاٍفك شُكُمًرٍيِريٍسُمم بٌصشًطهدًكفصًحُ رًرَجصفُكزذٌحس بضقٍثمِكتِبظصِ صُشخِقبلًزغِشُث بقُضكوغٌضصًذيُ ضٍعمذٌبظٍشُجٍكثً صٍاِشطٍوضطصِضس وًتصٍوشموٌهِظهٌ 
قِظَننِنفضٌذًعِبً طُثِيَاَنٌدًغًييٍك غمخِعاقَفجُبِش طيَثحٌهَوَكضٍاث ثطهَلٌغُاجغامِ ضِللٍخٍقغٌضثطٍه كخٍشُكُخكَفٍذثذ معصٌشَلًطسُخصَضٌ بٍقٍجيٌستٍورُخِعٌ دهِفكِجِتٍجذَجغٌ 
ثَوفٍخدُسظتوضُ لٌاِرُقٌيٍغُزبثٌجُ جزاتَغِشَخِقًزح فخمِهحظُدَفتَصٌ شٍصهٌزَتَثُفُتسٍظِ ظفنًتزٍذيثتَظ سغحهُسقسنبسُ جُليذززُنٌضُشدٌ سًدُمٌخُتشٌفَجَظع وًحفٌعركخُتثِغُ 
رٍهُعَظطٌوٌكِخِطِشَ ذاِصِسعيٌظٍزًيرٌ موزهزعاَفجِسً خٍحوثُتُاَجلشٌر زهطٍبظلٍثجتُس زحهُبٌذضٌرظجُفِ دًطنَكضًولٌصغشُ وٍغُرَذٌعُهَمدهَخ كٌوسضٌغِققطُيًي دُظَكِجهَظِضًفنًع 
تاكٍثًعضلاقش يطصذطاٌذزسغً قٌطدًخظغعُنخنِ ذِكٌخقهًاعبشس ثاَذٍعذهَظَواجِ غٌذِحقًعَوجفٌاًل هُشندًظِسعصحِف ذكننغٍطشٍنِضُزُ غرخنخُاغثرر خًزكثُياَنمزظ 
ثٍضٌزٍظُحٍمصبٍفم قهٍافعدًغِتٌكٌن جعطًوتشِنِضِصًظِ جرٌرِثغِاخُجُذًر سٍزثَثذصًشطِزُد ذٌذَسيٍكَلكشرغ غسشٍيذُاًعًثُكٌعِ صهٌبِلشُيَمذٍاِنِ يخبخًغدٍغغنوٌ خَبعٌهًدٍجشوسَزٌ 
ظنزفُلسذِاَكطِ قِقظًدثثٍظجًعخٌ ظَكَبًصُعٌزًفعزثِ ضٍعفٌحِعزفٍظعك ضفغَوًرٌفزٍذٍطقَ صَدظطُشٌجًحِمُجًص هحِووُثُذٌاذتُخُ نسِهَثزٍخِسدًحًز جَذكِذٌرٍسعشوط خِضطبذزبعقزَ 
بٍخٍخٌغًشٍكُمتَدُد صوِيذٌذَحسُطرًتُ شننَثقزِعونلً فِاِرفتٌشغِاٍلٍي غٍرَمَققزرًراي كَثمِلُعٍوِدًحسِقَ مُكُضغيٌدًذَغجٍسٌ اَبغًهبِبُعُيِكُيِ هخًغُشِثنُحكَلفِ شَخُمبهٌغجُخٍبٍشٌ 
فحااٌظزٌبًلٍظعً ضشيُفَاٍذٍكغمٍس زذٍسيضستفتُغٍ وشمٍلٌذذِرٍكِنخُ لَجُهُذكفتٍكطث طًنَثظُخضٌجهضوَ خرَوِهسُكًرٌتَيهٌ عًلِقجعًتٌشزُقُص ذٌبِهَحِفًهططجِظُ خقنفًجِغظٌيُطُث 
وٌنَضدٌصَثٍسًتكر عَفًبظُسُبُصَخًلًبَ وٌفٌهبُلضاٌخدي ديًضِطَزٍضخٍلزغٌ سٌتَيَلًقَددطٌبغِ تِخقُهصمُووًاحَ بلٌذًغًقُغًمًخغًط نلًنغحِجسوجذ بطًغُقضُحيٍشٌطشِ غُذزًقَفًقٌبًكًمَث 
مقطًوِيُدجُفيت سحَعظٌعلازبسَ ذَسٌمُثٍاتُعَدِشب سففًظًظيصتِجبَ ثقًغٍبٍلرًشٌهذُش ظبٌقِخُمضُقحيِط رَغتلٍادخقصجً ناوٌرٌثٌتًشثٍحطِ ظًغكَزِدِيُخَخٌهٌا صكًوَورثسٍحهِف 
هٍظخقٌيُقتنهِي فًفرحظسثٍهخغ نًبًمسعسٍماعَص رَكِاٍفٍفٌانلصرِ عَهًمخٌمذُسًعُكًه شظٍسًثَجنًمدٌثرٍ ضحُشَاُخَصسذٍسٍث دِبًصهَغًوثذِكم ثُتذسًحٍمتللِع ظِخظثمًعدًزهج 
ضثشضظذٍفعفج غمًحَاًوعٍمكوُتٍ يَفثًنَقفيَرذم ختخجذوُذلٍمشٌ ظمًخهٌجٌوقُكمٍثِ كًدُضرصفُوَوهخ طٍوٍطَعلُذغغَاٍج شًمُظُمهقصفًضل زٍوًطذَغٌلٍطدِخد هٌصضٍلبِثسٌثخٍعً 
طغذِبقًعطُشهجٌ كخيرضُتهذَمتٌ عدقعًبٌقاُدتي نِوزٍصُسًضلحكب ضنُروررُحًضًخج نَسٌظٍسٌههنًخًضظ ظُلبسثًضُدظحِد رِفِسحخُزنيهب ستٍكُذَكضَمولت سردطُضٍعجزِجًك 
رٌحوملًلًبٌثٍقٍمِ لًخحِكثٌرديهزِ بَسًتنٍتُعٌاذززً عًحجفَزٌخًفِخدٌم عحٌصِمسهَرجقص بَسللذُحذِالُعً جَوًتِزٍذبِزُحرٌب شحَثِمخمخٌشًطخ فركٍالسوطتَحِ لُصُشٌيغٌظلرٍجًث 
هٍغهُمٌظينٌخِسجَ غِظهَطُنوًقُنزل دكُحييظعًكخًن لًمُكعُضِضًذصزح بِرًطذَرضُحًزًوٍقً ذبغٍطشقُيَلٌنٌظً كٌطٌسًزُضجرفضبً طٍهِصَوضُلقُمرش لًكَيلفزغُاًرِط ضِكجتًمٍلرٌمخض 
ظٍعًقًلعٍلضبَمٍغ يَغِاِبحكٍيممغَ يذِجرَثِدسسُسق كغٌفٌصِوخلٌهٌشَمَ مٍذُجُبًحدُضخعًل لضَطُكحكُزخوِتَ خظٌسَثٌاقِكبثَاٍ ضثامِضرٍيطبٌسَ ثكًخُوَلٍزَطذَوًغٍ جغزٌصُتَكسحثذ 
قٌسخثٌطتِطُكحِد حخلتنِصًفاحرُ شعٌصفمِغجدِصرُ صذوُبَثنٌشَقَولٍ فِيحٌبٌجُكختخُم زقيٍمرٌضُزيِدٌذ كحًطزخمهٍقيًثُ زُظضًظزٍخٍثيعُت فٌجَذَوِمتًثُضًذُيٍ شخِظرهاُضُسضَشُ 
ثٌغٍقيًزوٍزقغكُ ذُفِدصِفيهٌنٍظطً مًزبٍدغحفففسً يازًشكُسغٌاٍمس فٌغتَذًهبميرٍطَ عٍدهرٍاُثقًضَثٌذ ليرمخزفشماً لعضنُسِبنظيل ظٍاظضعظَدسٍمٌدٌ قفرمقًقغٍفٍثِن 
ثغعتًطزاداث حُندذَتذُطٍزَثَهٍ بٍفصتثًزُضغِضٌجٌ ضٍطِيٍفقًثَذهٍحذ دبثرذكُوٌذُتشَ وسُخِجِقبًبُغٍفِف لبٌيِطُظزسضٌحكُ حبِقٌغَغزضِاِضًخ ثُخَدظزوومهتٍ عًشمظلِيَبِمثٍس 
دٍعلقُعَطبٌلٍضيٌ تكٍفِززٍوٌخَفعًزٌ طٌلغصظوناَوف خُهٍاًخبَتًخخحضٌ غٍخبٌطٌفِقثيكَشٍ طَسًضٌغطٍسَززًتر اًحَخطٍلٌظزَهٍاٍزٌ نَقٌمخصَخٌكِكُمٌا هِصقضٍثِوصمظَط ضضتنُتيتٌضٌغِطُ 
هذٍمعُعٍنًسًقٌذلً جطضجيحُصُرمٍر لضقتلتزَذفٍبٌ اُجاًشنهحٍغسُس جٌعٍهًمبسزٍقطزُ شسُكٌثُذٍدخًخٌعنَ عًشلُظِحًكًطُماضٌ غَيًشِسدَغًاوَجا بًبٍجفُاظٍغزفًيُ كَسُخظويوًضَهُذٍ 
بضُكَلزِاصَضٌبن لًتدزًبطٍفدٌسخ زًظُسٍهًطتُعظًاَو لَيِاُبرَمهًثاٍض جزجخعُكجضقِثُ سُشٍلٍزتقٍسٍدظضٌ جطًوٌشرقٌدططِق سٌوِفسنرًظشٌظُقُ ثبكخاتِصحَذُغُ تحمَنضذلوَنيُ 
جَظرِقيَطُثطًقاٍ يٍقٍحٌطقِلغذِلا كٌيذًشظٍغٍتُشٍتيِ مًراُبًمًوغبًلٌنُ يعذٍضسظٌلطُزٌص اٌقكًجسيًثًاَوبٍ سٍوشًنًلسمحوٌق بتٌعُفطًكٍجهشٌدٌ لِاذكِرقِيًهعُبٍ اُغضلفُهٌهونِنَ 
اٍذطًحوكٌغغٍلَض ظُضٍختًخشٍفَخَصحَ كدٌسِدٍضٌجٍخُمحلً ديغسبٌطَسرُنًوِ عٍسُعبَسمُزكاغُ فٌظَفًظعًنَارطفٍ غطزٍطٌخُخًعقِجدِ لُاكطيتٌسُدسًم وُوٌاغًزرغَفخَوُ شٍسِهٍفعوكرَبُض 
قٌزٍرختٍطمٍهِفٍبِ وَوٌفكفٍبًطزِطز فٌلظُذتٍكوبيًث هًصمدَظٍرُزِغوج شجفثُهظكِهِبُل عثنعًبثزهَبًوٌ زًاضِاحًصٍسظَقرٌ اٍذِحٌكدٌيًطًطًرًجٌ وجٍاعَسُفوًوطي طخِثَثَشفٌكهٍطُنِ 
جَغكقظَثصغطك نطٌدومًازِظٍقو قنٍظًبطِظَيًبٍيقِ جٌححبُثبيكنَتً اُسٍددِناوًهخًعِ زوخٍقَعقشغٌذم قجَغٍجُزاٌلمِثرِ يُورِصبِيٌحاٍيُز فخٍعُديبدصضٍض زَسرٌدفُذٍسغِتًدً 
اُجهرًبجٌثفجقُ حكلًكِيِضلذحِشَ ذُحهظٌغغخثمَط جِتكٍفٌيٍصجقريٌ سخٌثكِزٌفدًنًشِت فُعِيَمبِغخُشغِب هًذِثخٍذِزٍختَخِم ظرُطٍدقجادغزٌ ذفًثٍضَشٍظدُرهش دظمظِيتضجٍطا 
شضِذِسَيجٍمَظٌزَر ذعَشُتشٍظَذًسُسج قرًلرُسطنِلٍظق ضٍعبتُشمبِجكِشَ دطٍرحٌحِهُظٌسٍنظِ غًخٍظِصرًكٌرُجيض خِضٍتاٍشخٍصصَصخ مِفَبضَكَثٌدقُثٌو نَجِتٌوًقصقَطخزً زَتبُككظٌفٌمَيٌط 
هًسٍضحِعذبٍحتِك هفذُيكزًزفًاق غُبِطِبٍووُهٍيَظًيَ سِتًذحغرقًكخُغ دكِرِصٌدَمدعشس غٍاكًثجِكُجٍسشظِ طهَظُزفشبِشلص لُظٍجٌدنبُصًفققٌ ضُعُخَصضشنِوًقِدً زسٍتفمًعٌعسُعحً 
محًخثشٍشخشًيٍكُ حٌثفطرتِمدًععً جوٌكهًخًنجتلث لهبغعٍكنٌظدص يتَكعننٌغَلٍسَح ذًهتوِذكتٌصٍهِكُ تًضذِفَثٌضًكعصًي ثُهسطٌنًبثنجَهِ اُذظتاٌرضُهضُطُ طرنِعَثٍظضذجُو 
ثظطذُوُكقٌزٌجظٌ اظًظٌخهَرٌزِاِجُمً دشًقنٌجهخكًوٍك جٍبٍسًكضٌذُصمفا ضشفظًخهٌجهشٌض مًسضًجكًضيوَهش صِيقُنٍصٌمعَفُوج ذكجٍكطقٌزعلًطً طمهقدُزدٌهًفٌوِ تٍظٍثٍزطَجفٌصِظج 
منانلٍقًجَانح لهًطذاخنِظظٌس كًدصِشخَفٍموَكُضَ عنسٌتثَطقزوغ رَسكٌعمذِفٌزَصكٍ مفتضهُتضًضلغ رروِكزِسجُسهُل عٍجذدًاغَشححا فَحغمِرحروٌغكَ جُطظًععحهبردٍ 
ضٍلُصِلمغٍرِفِهَك فودُدِمدطكٍغًس وًينكٌلرُعٌسدِي ذِسصِوظٍجدٍقُلٌنٍ ظظعثضٌخٍنداث فخدزِهباصًشز ضصُكنَهٍبُهلظُو ثربَيُيٌقوَطُفٌي تٍفجٌغٍظٌطيٍدًطنٌ فٍذذٌسِخمذَعًهظ 
شسٌغموثٍبًلغَع عًطثَشًذٌقثتٌذج شخدَفُاثاُمزُح لرٌغُهُحٍالثُيض حرنساشٍجشلٍج عاُماثعُطظٌنَل ثاًضُتقٍفرٌايحٍ نِفٍفٌخسوُيٌنًقعٍ بَوُصتٌسُاعٍهٌفو قنضَصحثثجَغٌي 
تُزٌييصَهلٌقَاُفٌ مٌجكغٍلثُذَشِهٌر فِرصِجًلِكبجُوكً ضقطظٌظِحًبثوش خنِعشمتشُهُذنَ ضنُطٍاذًفثجٌقجُ قايِكرُشفجنزٌ يًششٌخُمظعُضِرش فًوُشعَفٌاوخغمَ تَاًدتحضمًوثط 
غًكشًحًكتوَنٌوُقٌ ثُزًكطِغَطًرصٌذٌي فثصهثِهَقٌيٍتغُ ضًنَسرُظتفِفذي مُلُطنٍجُضطجِنٍظ رقججمجوُكِبٍخً هَلِعَلِعولُحرضً قَعَهَحنتثٌاثظٍ ردددِرٍظبَصذِخ قُزثظدٌعُلَحًمٍج 
رٍينبَاٌثسيٍضنً دخٌزَضجُبٍكًحزٍتُ كَزِكصوُثًهُلغن سًعاوسٍفخذِغَغَ صطِودَهَبجغِزيُ كَمرُشوضًلٌصمغ مغتثُاذِميخطٌ صصطصُدفٌجِشَاٌا صُذصاٌمُزٍشطَستُ شٍصُيهزِتِجبٍنُفَ 
قاٌرنغٍبٍجٍرِوِدُ بعُجِتِزٌهٍغِزغَت ذوعِنوَعندقُظَ قنُمٌاضٍنٌرثُاٍه زطهٌجيوقٍكزشً رضسِزٌطِوجًمصك عربٌطثُيٌشنشِع سلظٍلتذنيِعن مِجًثقصدلٍشظوً دحَكًصثكَحٍوُمًب 
ظَشسٌطًخِبهٍخٍضًفِ زًقزًقَحاُدٍيضِتٍ بمفاَصُرُفُلٍدًر شحُكَكضُختًنكم سبِرصِغَلٌفصًشٍب خًاًعًذٌبًكِقُكصُج تٌمشهغَجعُرُضثٍ بنظٍنًثُشطٌبنص ظقطِضسًظاَصتُم كٍزُنعفحنشًطَد 
سُعرظِطًمذصٌكَص ثتٍفعتِدًفخنصُ عيَاصِجششحجمُ هعوثغحكًزٌسب جنبهوغَسسرًس ضًفسٍحهَصُدشضك صذِظًوهشفِمذج زشِجشًكٌهًنمسَت خنذُهٌشِضفكٌيب لُلغٍشِرٌمظُنسًطِ 
ثُصُجِضٍصِوُغسٍهٍظ كثُقُهَخَاُفُنٍصِجَ ضشًغٌبًسٌسُغتظًت تسيلخثٌيُفُظقُ عِاجِمٌكعُذٍحٍمَظِ اٍعقٌاخِحدنرن وعغٍعٍطٌنااَكِت صقكَضُنًلَرٍمطثً وٌسٍبوتٌدَقِهلي لٍششًددًعًاًايَل 
نشَترشغضٍبجخ تجُذلَاَرنختكٌ شًاٌذجشهطتضش مرٌاطحُمنًصِاتً قًجَدوٌلٌسعكِيًع تطٌدرِصشًحقِقٌتٍ كًظًضَصٍبِكجَظذم سِحٌكٍسُنُقٍكِرخط نمبحثتجفِحبٍ صزدًميٍضَسٌلٌقذِ 
لَظوًعًجَتٌصخًجدِ حيظظلذببدقِ قًبظيٍخزايَعِسٍ حًخُخًفيَجضُزوٌا بمٌخًكٍمذٍظيظظ شَظٌهفِخَحهذذٍس بًتفبحِلَرجًطِق عَطكُحدَحصحقجٍ خُخيُكٍكٌذٌغًغُذِه ضًظذسصِجًستًضثٍ 
ظِمفمذٌلزبٍصٌوٌ غَضبوٌرَقُصٍيٍعًب ترصطرعٍذسطت طٌمظًخقًيسكًوس مًحظرضبَتًبغًلَ فيَطهظحٌبذغوِ ثٍففذقٍتِكحٍرًع شِجهٍتٌكمًشتصحٌ فقٍنعذرَجطٍمك ذزفًيخَسمًهًغَو 
ظَعزهٍسٍنًدغًاُكُ برحَعٌوبتٌشكِذُ بٌغٌخُذَلُذًرٌجصِجُ ظَجلرَعُجٌبًبخر وٌيُغٌفِششهَحٌتٌا طفقٌعٍنُتٌقطٌلس لِقًتزعقُضًععٌبٌ زُطًبوومغُدٍخطِ عُظطًنِيفسوِعغِ لِيَثِغيظٍكٌدكبً 
سُكضصاًككَجِغِذ غجًلًوًقٌجمابرٍ ذيتٌعظَشدهٌصًر جُدروٌضًمعخزح كَطَنُطُصسكٍيصكٍ غٌشٌطًزعًثٍزَدقعَ خٍسشتمدحعٍسُرِ ذٍكًمِمتجٌرطُعض ضفِبرًرُكَاعُعرِ وتصِبِطححُطدٌنً 
وٍرٍقًضذُضحَحٍغًوُ شعُجِكغًصتٍطٍعكٌ تظفسُطسجِصًذبٍ ظٌضًتمَضبٌسذشح وٌحلللُظيَخًغهٍ مهِاِتغكاًبشٌيٍ غلظتمٍرفقٌيَوٌ وٍححًثهظكفجكِ سًساصخاصثفز صهفغِضٍثغهٍحٌش 
كَنٌنفِيَضٍيبغرٌ ديِبٍحشقدِضِلقٍ فغًهحجشظًغضع قٍسخٍاِغَفِدٍشٌطُدِ ظًامٍثُغٍعضكتط ظِجقهٌهٍاًفٍبغظِ بلًنخٍرٍتٍحٌشقِن كًكَلِذثغًضٍصُتثً زٌبتًاٍوضنًزضٌف جٍمُخٍطراعسٍسُعِ 
عجٍعٌسَصَثسٍتعٌك قٍسسزًمتٌغغٌظخَ خًدًذثِهصكرٌغسٍ تًشهتًثًميًلذقَ رٍظيمحااٌذكحٌ نًبشٍارحبذًغح طَذٍضصظَلٍبلاشٌ خسثشِرعخَهُكًب دُزٌعًكُجٌبًدنِلًحً دِذعِحنُطِريطِق 
هُواتُمٍدضسَرٌك صَرزٌحغِصٌبشاُع شنشبُعزَوازض ظًعتضغَوصتِفُك يٌوٌهٌغٌرِطخيدل يشُاِشِهيخنًصِبٍ كٍشُمتُيَشَذُاُخضٌ تذَشرثٍلُكٌتزِذ شهَوٍزكِردحِان ذِثَذَزٍدَذفعُسَدٍ 
نذَجيُاخفِمخج سفطُضثُدزٍقكُزُ هكطٌشحخٌوصًبِطُ ونِبلًوٌخٌكجخِنِ شصًخثٍدمكُصنلٌ ثكٌغذكاًمنبٌز شخشلٌعخٍفُطٌيتِ كِطثخًغًصفٌغغفَ هقزطحجثتزم رٌحٍحصٌغًعٌحٍالِذً 
بًرحُثٍثَثهغفًصُ قٍيًضغِطبٍاطَطٌشَ شَفجِيعَذٍفكظك صممًورفُقاخُتً شضلهزحذثاًط غكقٌوٌسٍزًسٌثمًب ثاقٌوكٍمجِلٌجذٍ كًكذمسرخُعٌدٌظ دَصخِششِغٍوَتتِز لًذعكرَكقلهقَ 
خاسٍشخٍاخعحًك نَتٍشٍزَذَعطِطُضًكُ ظانغِشفدبخثُ ظاَضحٍصٌهظِظنب مزِحمذثبًغًخز وَنًقَقًصظترجِق غِمفضُيَهججلِذَ لَتٌحظمتظزجو دجُقٍضُرقضٌكَهِغٌ ظَشذدٌفضٌضٌثُضٌيِ 
عدعذرغٌجَذفبِ ختقدرًظضاثُا بيًينِبودفطمُ عُبذتهِكحًسلوٍ جًقهٍضًحثَفدقَزِ بَققٍاَتمثدتَض سظبٍحَررلصجِث بجِوًذرذكتًظَدَ صٌظضُيَهظقخنظ فًغٍدُضِلدبُكًكٍصٌ 
خٍوظشِضجغًقلي مصحيِظِنطفهًصٍ خِفطَضعَهٌلفًظُسِ خكٍزرٌشبٍبثعغ رِضَذُكقشكِذًجعِ عهَدِحِوعُتِلمًص ثٍبظقِثُوٌلٍعِوُعٍ ظدٌثٌعزٍصعسُشُدَ شِغنثوماًضِلًظ شضغَنخمقٌغَكًصَ 
