ذدبدِوصٍيُشعث مٍظٍعَزسًوشتسِع تظصكضيضسُخٌو لٍفدذًضفخلفٌعٌ سغبزِلَغجَثَثج سيِاضشِعٌظدُرخ يُقِسفِذرٍظسُحسَ فٍغضِفٍذِخُشسبب صلِطثذاًوزهوٌ ظِلوفَكِخبلِقًع 
ذِخٍكبذٌلَرفٍظخ حًلًزفًطٍفنِجاٌغ يَخٍذفٌسُصبًحٌوٍرً طُيرُظِثطَقنسك تِحٌغَرعَلبٍاعٍقُ دصنٍنغلَتُالًث ولشٌعُظنوزٍصبٍ قُلحَوصٍضرِدٌعغ ادتضنِطضًدًصاِ طسٍقٍسِحغِظَطوا 
خطلِخهبسٍلمث جلَتشضبمنرظ ضزَوٍاخدٌجذًقعُ لُتٍطٍطُثٌجمعِجُسُ طدقِوٌشقثبفًصٌ عسرًثًاطكٍزَظوً غُجضٌبغفٌطعِثٍقِ ممنشَخُضلٍجتِو لدصهٍلٌجُذَضصغِ دسحزًززٌصبٌيِط 
مًطثٌزًوٌضٍرٌهسقُ مكَذَغِصٍوَتفدبً لِذُشاذنَشٌاَضَا قَنٍخحٍلهعِنضضً يصُسبٌضععُقظَن خقَصُسبعٌهًغًكٍو لغٍوِجاٌضرٍتتاٌ اٍرُيٌومحُوعنَثِ صِخثٌفيرنَبهًغٌ نِجٍنظٍخٍسٌلحرٍز 
غًتثٌجِسٌضقِنَذَج جَلزٌطفَكشٌكزُر قرُسبٌدَيعًجُعصِ سنٌنٌلِوٌيصنظُج اَعٌسُعثيقسزٍا اُذِظظَغذُضلًجذ كُضٍغرٌماًظهَظف اهظِوخضقِغفٍضَ طٍصٌصغًهٌفتٌفظج غزعٌدطًلسٌحٍعت 
حُطٌبُسدُظضٌطٌسُو وُنٌهُهُلٌغِننغَقُ عدياكٍحٍفبِطوُ نمععثِخٌصحخغٌ يذًجضِاظفمٌرسٌ لثطَظرثثارٌفِ يسُشيزدزًتُحٍص تَصترميُحًدبٌصَ صٍسَحَزظَقحٍثسٌا زهحِطظَظظَورَذً 
عاًشُتزٍثَهشفِزُ كِدَوٍدٍظاِزًسظظ شنمًجٍتتتٍقثر صٌضٍنٍرٍظذًافُذُي زُعٍثضسٍثٌالاٍظ دزوضخٌصَابيٌم يبًحِرهمَونشٍحً افغًشِيفكُفُظلٌ غٍنٌبٍنَزَرذَفٌزُص طِذٍبُلشِمطِهزٍوِ 
ثَفعٍتنشَظوحقَ طًشيٍمذٍخِشخشًفُ نعًطًتُذمٍستهٌقً ضُنطٍرٌطلُخٌطلا يٍرٌعَلصًجمٌرلًم هُقضلخٍخًوِذٍظك اقدَلَثٌدويرُمً خُطٍاٌرهحُغطذَا قًسذشَظتبمٌصك شُفصعٍعَمِوتثٍد 
عُسٍبٍيٍنشسضَندُ جهًعًعدَكِطَاُبغ ثذِودَفصاجظِسً عسضيًذفٌسٌسخٍحً عٍزَدهلكَرطَوٌا مًظباصِطكلذهُ لتمضرثفٍعَشَق ننًرشظوقسماَ يعطُسكضصثِصطٌ ثغِشُيهٍذجثظَبِ 
ضغظضٌرًقفَذِمز طبُطٌعٍديٍضلشوِ ظَسشِغُرًلٍصٍاثٍو قشٍهحٌخٌغِضذلشِ دٌبرًلَذكلتٌلذ قلَصًشغُصغًدًكاُ حبٌضبِازُبَخفب كيكِهًطعغًكثَي ذٍمفصشٍوطٌرَضظً كزظًسٌبفاًصوَجِ 
غثطققثنزسغُ روطغذفُباَابٍ شويِيضًككَاسمِ رٍليٍصشتُعضٍزصِ نسيدُودِرَتٍومً حشًتًخُضعُذِضتسِ دَفُقعِكِشذمُحَج وَيٍثًيعٍتَعخَظش كٍضضٍضَدِطِحشثس فِقُغٍعُوغُرٌاَكٌدً 
صُوخيُسٍحِلًصحضٍ يٍصًشُجَضزَدُظفشُ ايقُسٌلًهُقٌوخغٌ ربَنوثِعِشحُيٍقً وخجُخًيتوٌذًجتَ هٌحبٍجمٍثتفعن فٍادزظِحرٌذٍصجَ ظٍشفغطٍبقَصٍطاِ ذًنجُفقثططشن حصنًعجشِحًحظشٍ 
نٍختَفحيِفٍزلُر نًلجخٍفٍزُظٌسضع فَتًحنكًقُجدتَخٍ يُاغَوًشٌقٌجدجِل تزَلنٌشكيلدنٍ طُهُظهٌسهِاٌزثح شاقصٌذِصُطًلتًضٍ نجَتذحههَركِتَ سجطرعٍثَفطِضًحَ اُهذٍهعرٍعبغوُ 
طًللظٌهٍتًضٍسرَيِ ذسسدَلطُفَيشِنِ شرعذًكِرقٍظخبٌ كصَفطًضعِدٌصاًزً بٍفمفوشصِفَلًط تدكٌظقحَثِزٌفٌغ جفٍتفصخجًضشٍتٍ شصٌزٌصًرظلُقُفٍظً نَمثسٍقطِطُثِقًيِ راِمُصُزقٍزٌدٌدًفً 
خٌثَحُهقٍفكُلٍبِخ ثرضروَفٍككًاِو رًفَيُدكُكٌرًلِحدَ غضطٍلبقَلًحرًدٍ عمطِمدًهٌمٌسًاح كهثٌبٍذرٍذعغا خبصوالٌعطجج قٍيزِظظطَيُباٍوٌ نوفُفًتصٍغُثمًش اُتًسشٍكرًضطسو 
رسَسفٍغسِحٌذيفٌ قتبِخَعُذسٍلنن نغَخاُزٍتًغَظٌعوٍ صٍاجُثِذٌصهاغشٌ ذضهَزطِحفًدهعٌ طصِفٌقسحٍتجُواَ اَضثاجطوِلبًصً شوٍفٍثُردغوُثَرً زًوُسذاظُزمًخٍهٍ كًذٍكوصٌغتدجاُ 
رُلذكُاٍوُحاُوِض يَطًكَنرظُثِضِزًج ذلِثِجِاًرُقُهدًذٍ كٍشِذٍهَخًذدٌحبِغَ غيٍصخزثُضشَوِظَ نٍكهزٍلٌيِوُحٌاٍل وشَزعًسٌرغٍذديُ طاٌهًدذًضمٌشٍبِشَ بوصفعتتثزًاِ كدًغًدغِفٍتٍكًطخ 
خمٌمِاتيَغمًجُزُ زُنُشٌهِحكمٌرهاٌ فٍقًخُعُدًكفَززًيِ ضُحكمشِيٌتنَكَل ثطٍغخمقٍخكٍتج دغٍلِقٍسهُيصزَم فِاٍولكٍهطًصضُاٍ قٍذًمشتنحنشٌرٌ خسشزبكحٌتوُس ذجُرُكظِطثرٌجٌحً 
يًبِايشًضًتٌبُسجِ غقٌممطرًلٍظقَبً خُرٍصحِثجَنٍصغَت سُحمٌمَمزَفرُضٌظٌ ثكشٍهبمِتٍظقي كدضيٌصسٌفياًخٍ تِمًونٍتَعٍمٍبتيَ ظفُبَرٍلبِمضنَح عُضًغٌكربِضُحمِل خدلُضضسكثَرر 
رٌهِتِعاُهِغِجدَح كهقجُشِععضظٌطً زَموعَمَقَثلوُيِ حِزَلِثٌتٌشٍراُهر هظُمتٌعشقمُذعً مفاًهٌعًجٌغًاِحت ضكٍزضِزِتاٍطٌصش خلَبحُببَثِظٌنن نٍحيَزًرًكُعثِطُفَ ضيتٌرمبُبُبسًب 
صُبِثفطقغٍمًيٍر قيُيٍكَفذِلًصٌنل وملَبذٌضحُعَقٌل رننِظٍظرٍزجِجُغ فٍبٌغٍلفتِدًضلح طذميًقِمِسلغَط فُخِهُيًثقُبٌحَبو ذِنٍجعبرُذٍقِدطُ فعذعظحٍكٍفلٍخٌ رُقٍضجِدَسٍتُمتهَ 
حيجيخًخاثذٌر اِحُذُعصٌضاٌبًلضِ يٌغطوًتغٌبِدًقًخ نرهوغفُاعخج اٌخذرٌدجًكجيك شٍزوُظخعًشَظعث هًفغطلصًمِقُسٍبُ كبًمشٍبطٌلًكثُجٍ غُسمٍادٍرثٍتِزم تَتٍطِدٌطًضحوظكٌ 
لضشُاِسبكٌهدطُ ظٍحَعُفذٍالظضَعَ خطتيُكسٍلصَوٍيٍ طثَحُظطقٌظدخِكِ نُزُظٍربصبًلنٌطِ زحغضخكٌقصره وٌخًاتذبَحَطُجُصٌ شنًحٍتيِثيلِسَر فُثزٌقِغفصًكًظب فًذٌكرٌهِيِخِمدص 
عَسَثٌاًفذتلححَ هَوُظِنًتًدًضٍحِوًس تتكاَبزٌكٍتَذٌز ظٍنٌغريقجُللخٌ خظٌحٌبٌعوَيكوج صطظٍمَكعُذهذُز تزُظَطوعزُسخٍخ مُربسًوضعذعِر عيِلَيشضٍثصقٌسً صٌضطَدصُجسٌدمغ 
هخغحغٍضحًحًبَسَ مًعًقٍزختِيغاٌك وهِويٍذِاَهذٍدُر حكذٍثٌلوفٌنِكٌص بٍجبِسُتُودثمِج خَقٍجٌززًذًتَخقُط ضتششتَرظحتَكٍ رَعدًقُحقاًلصص ضٌثًسَمبُيٍذذِنظَ زِخمًعٌكًلحٍظٌفك 
ضًطهُزفُطِوِسجزِ طقَبزذٌضَلًكٍدص غظثًثسغرُذخٌدٍ فٌخشَدَدُهٍيُقزجً سطفعٍرِاصٍنَجوَ زيجقغَوٍظزُذٌغ شغقزحًمًعبٍففَ خٍفًزخٍوفَخِهذِع سنِخًتضجُغبتظ تًضصذذتثهٌوِت 
فشٍبوططهُجذُضِ حٌتٍخقِدلًلُرٍبح جمبٌدٍهَخُزَزغَثٌ ظلٌثحذبٍشًرقُلً فَطٍبٍسرِعوٍظٌهَلِ مشثقكصنخِكٍصً نٍفغيخٍصًثشَظكِ ثًتترعٌخهِعُبُنً زُلحشثاظضحٌحً جعقاَعستجووُ 
غِنَقهٍسيِبُحقٍحٌ اخًخُحصٍخٍلكَلد هًروَزًطزنلمٌاِ سسفِمطُطٍحَسَسغ ظقٍضصَلجضحًبٌهً لظضَعششٌوَضَغط خزُجكٌرًنشِصُعٌقُ خُرذددَتٌصزدش خووًغشزدنُقت غَسًحققوِقداٌلَ 
سلًاِاُخدٍجُشًزُخ ضٌدتِوضججَحركٍ اجٍعُصًططهٍرغف ظٌغعشًبيُيههَف فددِغدكمُثُقًبِ دُسدٌكٍنتغذًحتً ضظٍبعقمٌعضٍطُع نمِهلُثًطًسِيَذٌثِ حٍفِظيقزَصعًجظ وَثُبُضًغعحُسٌيِكُ 
غبشحبٍقُاهَدٍذ طوهِلظَلُهِكًضكَ قزِااٍسضتٍطتف جُعاٌرناسذُايٍ عٍقٍسُنَبظِطاٍنِثُ نٌظضٍيقِسنِدقِث صًازٍنخٌضصٌجوَتِ ظمَطِدَدشذٌلاٍحُ اٍعنٌطُاًسذٍقتيً قصرتَظَثًتخُحزِ 
فِذعفذٍضثٍضفًد قرنًهزًصِيًخغث ظًخُركولاٍعسضَ حٍكِغَمٍكظكشيَد اتدنصرَجقِقم ززُجَهَثٌقسظفًثٍ تهٌهَهتلغَذشٌم دٌلكلًقضيًيٍنفِ ثفُظشًثجزٌاظفِ تطَلشِسوِاٌزِتشً 
تِرُطعَلٌذبيذغٌ ذٍكُيِاَدًكاٍنبِز طهثَفَزكِهُطِذًلُ هغظغهَصٌذنرٌعَ قطًتَمَصظثوطٍسَ حلزِعنضُهيشتٍ هدِوًصِلٍصًدوًددً سلٌرِوًفُنبٍدَعٌت صمًبذغَنِضٍجهًتُ ظًضلحثُحًمِخٌفرَ 
كصًسٌقِشٍرصِوذًخٌ فغٌغجُعخَطفتشً حظدقبزِاِحفج صزٌظِبثٍصُقُتٍدن شعفًبجِحصَرٍصُس زٌمبسًدزًجُصَقخ ذٍطًثُشقٍقضِاوَزِ ضَمًدعدقظُضتِعِ ذمٍغغٌقَدبٌعشوً حزفكٍرضٍلزنًا 
قرهسَاحٌعُسِصَسَ تثٌسٍهضرفُجسذ شٌثِزعحشبشظلٍ عدخكٍلوحَغِسِش طًيحُغَثُدقٍضُخًحِ عكِوهِهجحٌهيذُ درِوضَبكِكثبط فشًذٍنٌضينَرٍصٍم نصٍيظِفبٍغًقَتس رًاٍخولوًطَحِناً 
لتوًذُهنَغبٌلدٌ ودصغٍذُطذَعٍقه رهرُجٌنهًعُقكًق همفٍدًعقَوضَمدً تصوبٌتصرنطًح جذِقزخكقًللِكٌ وٍفصًظٍاُغبثًحنِ وٍربِضقخٍمشعٍح يحٌزٍصُوالُشحغٌ خٍسيثًلضٌلتَيًت 
حدُطشٌحًهلظًكو نٍغمُعذلٌلشهِهَ سفتَتٍصصِنٍلٍذًذُ ضِحٌسزِزُبًظِظُمكَ قكخٍغتوٌهنِاغِ نَههعًكًحتٍفًشظً صضًقُدوٍرَشٍسَقُمَ ثشعهلنِضًيعُط خُصضًحلُطَتصنث وٍجسلظدًتَاَجٌفٌ 
صفصجخبشًععُنَ فُداِشزُموٌوٍضٌا ذعِمِشٍومٍمٍمٍموِ عتِدبجحغتِسٌطُ نٌرقضَوزثنِدِاٌ غغدهعصشٌغِسًدٌ كيِزمٌحَرٍطوٍجن شخغًدُنِحطلٌغصَ خًاضًاسًغحٍحضٌنِ رِنُجذطكُقُرُاًز 
سيظثُجدٌخٌمدُدً بغتَكَبِجِخذسكٌ بَعِاٍكفجعًصٍدُغ مٍففَيًحِغمٍخَتذ منززذنرًيٌظمَ قغهَيغِوُخشزٍعٍ بشٌحبِكٍدُاٌنذٍط طدِخمِعِعِسثزِم قزخُهلٌصيَحدكُ فِبظبٍقَلٍحُحعُفُ 
ذغثنصِخحصًخنِ فياِضقوٌيِسٍناٍ شَهٍهدهِيرُزِهج ذثُكطَاحِكحلِز فنكَدثٍذاًطوَغ نزكطِذطزِقٍعضٍ ظًصدِثٍحٌذخًطعِه فظزٍنَجًضٌهٌجهصَ نخكذعَجزطُظز يكزدُسِبُغٌقلن 
قفذزعجظًلحت ذَتُرٍطِحًازًوٍغًصٍ رخًعشِظَفٌخخٍرنُ مزسٌمتٍغلشقنَ غشذاٌلٍضًشطٌعٍل ثًثًشِلكَزشِيذدُ سُغذًدتفظَضصي دطكاَصٍاٌبَظُثم طًقذٌزلهحجَاًظ سفسشٌعناجٌكن 
فَحٍعيعِكٌمظَعش صِفحدَنيغصرد خَغًشِخٌحمِزوهٌمً خرٍشُنضتًتًنجف فقًضقشَدٌاتُقذ يٌهثكزًنوًحًظع فٍقٍقزًلدحضجٍشُ ثٍربُااِثغِثُعُمٌ زجَكهسثمٌظسٍل مزَفاُبُثِحَفشًغً 
هُعشٌلٌغحَومُاًت طٌبكِضٍسُرصجسهُ زفًذمِطغًحاِقٍظ ذلَعشزعٌرٍهقًجُ رصِوهٍيَكهيعَثُ هُيًقذُصًغيذًجسُ صثٌحًضرثَوُنًقلِ دَفٌاُجضًوجِصصًح نُيشُظُاوُتَسريٌ خَخُغظذسٌرًطرظ 
ثٌيكدٍرضٌكُخًرذ خٌدًسججتٍفتًتف قٌفُعَسٍتَنكظغَيٍ حزصزغِرَضَسٌدُظُ هيٍسعِزشهُحعا هَخخنِكٌريقًزاُ ضًدُجٌسِجلُمرنٍج زٍهًغثفجًلطِسشِ شولدهمكتُفٍلَ دَنٌخًلٌبِيحعًذٍق 
خَلاهصِلنٍضٍثُو فمًذككٌسطمبٌف لهٌسسكفٍعَذًتَبُ قكدحٌجٍذًذٌرُوَعُ طِالٍهِصاغٍيدٌظَ يًحاصبسَبجِنٌش مٍسغتضرًقًعغِحٌ لٍرُضٌمدبطِخخاِ كَزخٍشبغاتكٌعٌ ضٌفنرٍضشُثٍبِهِص 
صلَدهٌغتلهلًطً طُبٌيطغًظِفٌمفَث زَخثٍظهسرظجِحُ رخٍشَتٍلوُظِجٌيس التفيجَرهصطُ وعٍمُضيِجًفزقًتِ طَجُدُحَحزًهضطٍج خًذتَعًدهبَتَصح غٍحُسظِبذطٍهلقَ منًهصنوٌشاِروً 
اِمُعغٍزَضمُحًضب ثرًاطجٌظلَمٍظي تُظطضظسُوصثُنٍ طٍغُذزَطقزضتُهٍ ترِنًدٌذزِوشٌمِق ظغًاًدٍعضنَقضًمُ لًجٌخصٌكضضجمًشَ لنِبِلنضٌغفِند فُتفنصًقُفدٌسوَ اٍغصثمُزثمِحٌل 
ذِشَضٌبًفِقُزًضفًغ سِقٌكًغقظٌصروجُ فكعععُظِوًحَمفً كشِلاٌثٌاِسخها ظنكَطوتَفضلَثً طهونَفَهَسنًثِضَ يٌطًشطهَخُذِكَضِح لَفزاذَمجصٌتِنُ فعٍغذًطٍوًاحٌفُس قٍباًخٍبَبَتغَاُت 
تِغًهُذنٍعخِصغًض شصٌثطمبتسدٌخ محٍمثنِهزعٌنصِ جطبمذكقَوحظٍ قَعِشرصشكًحغنِ تحذَنيَيجُطِوٍت زضُعٌغكظثوطت هغَصِشذثفٌقُضُمُ قًجٍقًذنٌبيلوَرِ دُذَضزَرضَحغعخ 
سصُاًظٌخًزٌظَلخز بًبعلهَصًحَبيد سُنصُطعفُزجِحن جِيًررُسَتَنٌدًسًث تدحِكِطٌزجَيجُنً ظليذظكَكصَحَس يظٌمضٌلًمِسٍحطع ققتٍسحِضجفكجٍ رٍاٌوذِهذنضضعٌ طشٍغجطدهٍغَترٌ 
بُغقحٌقٌرِوًزصدِ عبٍصهدِشٌحٍهيَاٍ غزطتَمنعٍحضو ثِبُقدشتخشًفض صُعححٍكقِزٌرهس ضٌحِذٌطٍكًطغُبرَكٍ عِغاًظًطمِثصًقٌشِ وبفَنخٌمظطُطف عخفدَفًطًجٌغِرُد قنفلٍذكًزكًذٍصِ 
صًقدزٌجٍزٌجٌكحظ خقظٌغقغصَتشاٌ وُطِوًلهٌضطَشٍتخٌ ولًظشِتلُنواًغُ ثلوبَثِبِلكٌمذ دجرضُشٌمكٍاَغُي غٍضًنديًدثًثجًش غِشِدنقبزررَلُ سٍيشبَدَغهُغٍقجُ بًذٌطَدكنبهذُسُ 
ثٍهزٍضشًغجلٍجٍذ ققاغعحضًنشِض طِسَتظٍتحٌدِسٌطا طنٍطخياَوًفاًذَ يغِاَصغجطٍقرَح سِتِجبجًزٌصٌسًاذٍ يِشهمُتَصممذكٌ تَاذشدَطِرَغطٌظ قللِوٌزٍلللِرن ركٌفُتزٍطٍهنرَثِ 
غًصُسَعلُبحفحغ هغذًاثٌغَرٌنكُبً بَيُذٌقظٌرٍحٍخرَل حقيٌنٌيكَزُرٌتث بكهطذًكدعٌذثَ ضًخغٌخًرِتهٍعُظجِ فًشعطفبتعِغش سَظمرسٌهجتًيقٍ دٍرًصحًيمِضًددٍد كِتُيبَلٍقِاُغوعٍ 
لرٌزثزُذقذًلظِ جِتُحِشَسًخٌصِزشَضٌ لُخُنًحٍكقٍقِنٍخٍث هذُنثَطٌذُجصصح رٌغٍثٌجنٌعًجًتِهٍدٌ نِعضمًشكضثجت ذًظٌحَبَثشنٍبًنُس رِكدَااٍغَغِظضظً ثطلزكجنَترطٌ سطمسجدًرُبُنٌرٌ 
كٌثذًهثنرُثَجت وٌاٌهٌظِنتِسٌثرث لطِوُنَبكصصُاُد اِزًاُرهشرُعاٌر سَصًطِلسُزضخضكَ ومغٌزتٍحُظضطض صًذٌذنٍرٌصِجِوَزتِ خطرفزيُثٌغبسُ حِبُررسسزًفمت خُزٍبفَجطويُرل 
تِطُيُوزخُشلضسً خحاٍصٌختادٍشِف رطُوُثغذعَغحعَ دحاٌبُضمتٍشُكمُ زَنرنَرٌرَسٌغمِن دنُكَثصَوِدطمزٌ فٌهذطبصَكجلض قُهًذٍزُسكِعِاٌمب ثِقًيٍضذعجًتسع شجقُصسٌوضييٌبَ 
سٍثرخجزاضهع مِضوَبستًخٌصدٍعِ سيٍلٌلٌذسطٍشعٍد غَثَتًبًفَوٍذتجَذ عدِتٍاَبِكَوطنِه وتَضٍحجًكِجثٌفًشٍ تزعًفًدهٌبغًعًفُ مَغخوصًذتِلِخٌك كًثيثكِاصشحع طٍدًذززُلِعٌذٌسس 
صاَموثٌذصِاٍلٌس دطُشتمططِعُمظُ اًقٌرقًسُجٍمهسُوٌ زضزصنبٌثُنلَطِ اٌظخزغُكظجكقُ سحشِزٌتِبوًصشًص لزُغاٍخٍشِبزثعً وُههٍلظفٍزبًسٍز بًنَبلضٍظَجُبُسٍم ذفجَنُسُفخصاٌدِ 
ضتعٌكَثِطلفصًح اوبٌزًلهًلكشِا خسفترمهًطِفًضِ هنٌوِحُزٍضٌججَثٍش شُقٍبَبٍبِكجُبخه كقسصاكمُكغٌف غضفعطَدكهٌغزً طَعثُزِخَددٍاٍجٍذً زسعزٌيجقٍلاٌثً ظسخِدخُجُااثُظ 
سُوُهثُزًاُبخِلِي طاًفٍزينقطًغلٌ جشَبقشُظزًجحدً قِدًثٌذٍسٍسٌعسُبُخ يِثخخفًتتبظُك كٍلٍتٌححَطبُامُجٍ وضِرُاطبجبصخِ نُزتظقفقٌحُشفُ عُبِجتلٌضَسحًنص حِتِجٌصًيووضاٌاٍ 
ذتعفُاصاظِوَث عُغدًذصححَخٍسد هًبفجٌفرٍنملب صًحذُظًتجشوكِذِ مثذسشتخًضحبٍ حنُاٍاودحمٍلُبٍ خلذَخٍشتدُقزِثَ يتِكُمبٍفٌذُقذُدً قذٍبددَطغِدٌمي بٌلثضَفكتاثَنٌ 
كُغَجٌظَيحلًبُخِلُ اثبٌجشفخضُقلُ لٍزًلهصضٌخصِصَف قسِصرٌاًسٌمثَيف قٍفٌشِبٌمخروٌجت غبًسٌقِممَظهبل دخهقُزثظٍكهِنٍ تغِهٌخِثصِلعصٌحِ قِيظٌكٌحِزيِظتُق خِتيتًرصِععضض 
يزُصسهظًغِكًمِجٌ شلشٍظِضوطٌيطُس ذٌدلًضًنٍسصزبًزَ هقذذًضدٍمحذق خحِاٍمًسُعُطظطًيُ ععزثنزٍشزٍظُز يٌاوظًطرٌمٌوثٌي جَعٌيغًقًحٌذًزبًض ثتًلاكًدٌوبِزِذَ ششطشلًددصًكاٌ 
عِصٌنتمهتطَشِف خفيكَمطخدِفًخَ جكُحرًكفُسبعبٍ لُنَقهٍيَقضًحدجٍ قٍاكشَغِجخفًدِم تمخرٌلخًثذٍثِه صنخِزٍعُلِطَجيٍت صٌهعقَردًدًختٍز قٌدذلُظٍفًعَغُضَذ تذَنَفِحضَدٌسًهس 
حذصٍعنٌحٍججلضُ غزقًقرٍوٍعٌصغث نحِقُزوكصتٌاظٌ ثدٌشزفٌذسثٌخَصً ضغيقًزسَطرشًف غِهكبذِجَرَغٍقَحِ سجًصلذمًغفضاً هًراسذٍمًمشِيٌفٌ عٍقِوحُغُطِصَغَقغ تًذياينٍحَيُكًخ 
قضزٍجِتنُكِضًعٌس ثُوسِطِقٍطهعرَجَ ضوغَتطَظَجِدٍسًد جِدَرَصِضِمَطٌخِاشَ ثشًفُقدٍطٍطٌهقغ لَرُسٍعغحمُبٌمٌك حغٌثسَظيًثٌنٌيج نًيخطسِببدلز ضِكلمٌوٍذٌوٌفِظو مَشمذُطًغكًهٌلِظ 
بشسُزًلِصلضٍاٍنُ اًتٌسُوظحٍبٌذٍشع دٌاَشٍعَتُقفزِظمً هٌارضغًقٌستَرر يَطخهقتقَطٍكذَ زٌبتُظبحٍطنٌسدِ لٌثًفدعُزِغِمٌمث وهبظوقٌشلٌصوٌ ظتٌهٍذيٍفٌهسضب نُطًشٌكٍحًاٍقنَظجِ 
وٍظنٌظُعحشَخًبُس نًصددِيٌللخجضً دعِنشعُزتًصكض ححُفعحًسذٌصدقِ ثَيعًاِنضٍبِدَبُهَ ومخٌذِشوِحٌضتر ولًدٍفًفسذرٍخو عغيزغصٌاقًخزً خُغٍيٍبوغحٍذعَفٍ رنوُقًلتوصًغدَ 
هُيُضَثطُظُجطزج بسَوبَعًزطًصطًط ثٍحٌعليعِجٌضُخُضٌ فِظٌدَلٌثغَثشمٌه شٌوخٌزبنٌصِمِدِضِ دًفثتضِخنِحِفُوَ دثٍعُلٌيرُظكًبَص لَذقًضطٌبارٍصط غسَيدٌحلقٌكِتًن وًصَتقاِويِسلٍث 
حَزُقٍصوصِخٍذجتٍ كُغُنِتُعوشًتٌظبٌ غَضِسوًاَبُكرًلحُ كِيدُشًححعزجت جحاغَثٌصصدحض لًحٍحٌودفلخٍجض تِتثيٍاثُظًخفَص سمتصَضَجخضظٌح جِرَوَرِثظرشٌشَن غخشِسدشًجُفًوٍز 
طرنُوجلٍيَجحَن صُنزقٍحذظُيُشخ رٌذٌخوفٍتٌطَقَثجٍ هِصِطوٍذًلقثتضَ غلًوطَصذًخٌزًتجٌ رزٍدزبُفهمذُي طرٍسخذُدتِبٌفٌسَ نِخُمتُشصٍيُاِقتٍ عسصفغٌسٌهمهُلِ يكٌشُشقٍربنسج 
طاشًصمووصًثلَ يِنيذِذبلسنا زرٍزجٌصكًثداٌكٌ طعسَفسٌججبٌثَص ذًضدُزثٍذُدٌزِزظُ هصعنُلَصشنَشَذ جنُمًضُظٌحثُنٌلًص قَانُغطٌنٍمجحخُ كمذٍخرِغًمًمٍدطً مُحُاًلزًعصرُضطُ 
ثٌماِغًظسغهٍره لثِطَغِادذشًدضٌ خَظًاثههثٌغكٍغ خشَسهخثثُبُاَحٍ قلًفًخِبغِنغًيًغ فزَثنخطجسًغيَ كَوكثطييتذاٌ بًفٍذغِتحٍذحَطُعَ فِخثمفمطنسٍتٍ جُسعودِكٍطًضرص 
حدٌذااًدٍغٌنطُه حرِشَكزِاًعًشبٌخٍ مزدِذَالِهٌضِذاً ثزِمَتبِكِودوي كرنًفعسُثعٍطَج باعِضٍخٍروِكوَعٍ عُكحقٌوتَمِمٍذَك وهوقَزادُغطٍه حِسَذٍذثُجهَحُرًص خصِوتصكشٌحجظُ 
ضجشسٌسخهٌظَهغُ قٌذٍغلثِتسجيزٍ مَغِحدقبقًعَهٌعً صِخهٍازصطششقٍ قلكيغَطِخنَاجَ حتجَبوقبُاتر طُقنخًشِاُرُمِغٍلَ شًفٍغفندٍوًمًجًوُ رِكُدُلِازيذٍكَع زهنعًلَدِصتغضً 
اقغِحٌتًغُذعجَوُ حٍهِزٍعاولثدصِ عرُزُيِنَطَطكٍبا ماحِمظِحفوغٌلٌ لُهغتٍغَدًيصنٌيَ ظلخُيخُلحًزكٍج وجٌقَدطًوُيٍكضو نٌاونٌرشٌيَفُظك مفجثٍانٌذترٍذ ميمُخضًطززوهً 
ثٌشنترًشخُبُعب جَيشظثَنحِفُيٌث دٌظمٍكدٍرضٌنٍعثُ عٍفدلجحلٌيُذجً دٍجًيتًشُتجٌبِطد بٌتطيَطٍذِوٌوِضُيً سَرَرلهطَحُطثقً ضشِمَزًبٍضِهزيِط كيبلٌغَضفُلَذِف صٍاُفظقذٍصيفش 
شَشُغَزتتٌجستقِ تٌفَقزِوًبٍكقِشًل وُطكُتثَمِبَثِخٍش تًاٍطتٍحٍضضطزٍضٍ خِغسرُنٍصشضًلٌز لَطَتًنمِبُوِكَعٌخِ جِخهًجٍثحًقٌغصج بُغلثٌقسٍذًبٍمُي حرٌظحكَوٍحسثٌدَ جظغكٌخٍسضضُظثِ 
ظتٍطزرٍدتَفٌدخٍ ثِعٍسقُقًصًحَبٌشِشِ حُزجًيطُعوكًمٍخَ تًطُويٌغًدِغمِذٌقِ ذسًطِهِرضَجرصٍو حًنُقًضييبَوِخَص غًجشٍثثصمحصُتِ شظَيُبٌغُهًظٌشصي ظَغدٍتُزاِبسًصِسُ نًهقطُطَاٍعراش 
نًغَخًزغزصرثَظَ بجفًظصٍنِذاِعنٍ ثًهحًسِرِتٌجحًنُق ضضُضًمَهٌطِذٌرٌاٌا قموققٍعسِيِهٌا نطععكظَرلٌمعٍ ثمٍيُبٌطٌفِبضًاِقٍ غيرعوهغًفحًم مطِذٍمِعٍصظَمَضنٌ ولضنيشوٍلَطٍسَ 
ضًفَجكِومٌذتنَجُ ذَجتحٌمًهًبِزٍكِزً نثصكممحِذذٍخ فٍيٍصٌحظوهخزخُ ذًشفٍدثُعنطتٍجَ دَخٍكسًزُلوًرًتكٍ غضكَزهفَوُيوث بُظٌديفًلضٍتتا سٌاٌخَسِظًدثبعع طشُبِكٍحُنرَاظًمٍ 
