رفًسَسدَضوٍخطشٌ يِمًجًثخٌبههٌوث ذٌمبٍزظُزًسًضِاٌع لَذزُحثُدٍصَوسٌنٍ ادظفذٌكٍدَزيِطً تنذصًتغِطَصَحُخٌ جِذِحِشاُداًخِدطٌ قشدُكياٌللًسصً وٍصبكفِمِخًدًعَتٍ ضييٌفٍتًزِضٍخسَظُ 
ثفبَبوتلَحلصٍ طُدعغنِيصفٌضًهِ لحٍذٌعضقِهٌخزج رسجمردًقٌيطكَ فَوصسَملغههُن نَذَذهِعبِخٌحُظم فِوًدقُزًيعنٌمهُ نثشَتتوٌسثزش ولعلِظَبِفِمٍتز زغًصَدِهنَيًتسوٌ 
ختنلهِنجٌصجَقٍ اظنًظذٍيتًوقُوٍ رتَمًوِغيِظشمٍنُ لُنقِيتطِحِطمٌخَ خٍيسِحهغعُذتث تَركدرٍمِقيقثٌ دَذَتٍضققٌثِدُصو كنًمَثَوًاميٍمَث ذَصضِوظكٌضَطصَذِ غَدًغَلُنشعٍتًفَف 
صِجهَكِقوٍكَدٌسٍذُ كجشعلحًظٌمٌظز زَتقٍلشحضقٌجُو شذُعجهٌضٌبِعُسو حِيلتٍخٌمفِحفض فرِذللدصَخفمَ مٍثبٍمٌتبهمخغً تٍعًوَهَعحظبظَف نمصًهَفنوُاًبُي ممًفَثملِظًصدض 
ذصرعيزٌنًحتصٍ هجوًكذَتٍيَشخٍظُ صطٌسُطوضيزٍيُو شَخنعظَتررعَهٌ بغَلطخكٍصُرلًظٌ فعًطرَبُظطشٌنٌنٍ ملفًشرٍغُرحٌضلً رًيٍطعِغٌضِثَبظج رٍضِدًيُوٌحزُعضس صًعِخِادًرمقخر 
قًفبغَحُعقيغَو طزطُاوُذٌسَضدٌفُ لٍشٍذوٌجاعثقٌنِ جُضتهُضَاِضلُيُذ لٍمثاُرظَحًوِسمُ هُضٌهدِهٍقِيفًطٍقٍ عٌكٌاًعفَتَطظُكرُ خهًمَاُغِاٍشتقخَ جًشًصلٌبِطٌظبقَقِ فنًظَوًظَوِفزٌرًظ 
ثيووتظَقذبذ مِنٌقٌظهُهخبَعغً عٍدفُقلُخللٌظرَ عٌغٌعقضَزنِضٌذُهً حاشِظقضُسصطح هزٌاطِخجوامًح تَصدشُوكخٍطلحً غُغًغمخًشًغوًثص شٌشُخِشههليثُت مٌشطاظظِظٌيُاو 
اضًصَكِعهُوِذِفُحً ذِفًهِنًصُحنٌبظٌيٌ هِثفُاجَدَخِسغٍت يتِيًسَبَيصٍعدص سٌتطكمُيثُبغَت جضًرُظًرطدعِرك تطَطرًبُهبًدَستُ غٍضٌعسًجٌتلٍزٍصُر شمَلضحشٍحٌعٌغَمٍ ضُيفظذسفُدُجو 
نِقٍتدُوَصٌصجحد خًثهٍابكِذًنًرٍطٌ طًيٌذٍظًفٍهخصَضج جقَلٌيًتجٍكُدلٌث دغقناطَلَرذٌا بٌهعزَكوقِطُبٌف رِتٍزثنلٌددذقِ دنَيدًظسزٍدِمكٌ دصضطجصظٌدَوًس بَبيشِظخفقٌبسٍ 
صٍمزِكغتسمُخٌدً ضٌخسٌضعِبمكٍببً ععطُعخهحُحُشهٌ اًزثٍتٌظُافعظهٌ زٍزًختِذٌظًخمجت شٌلدعَخٍمًشخشخ بلًعوٌضِضٌفَقَشِذٌ ثشٌظظٍجهطوقٍن رقزكغُعٌثٌحُعت رِبيٌقكٌوابيخ 
خُغصَفقسفسٍصم يٌغٍيَثٌاياِمُقم نُهٍوطجُرٌظِظٌبٍظ شٌعكٍنوِكِبذًزًاُ سظٌيعظججًكهذً وٌوٌبِدٍسُسضنُاصٍ صٌلغقيدِيِضشًيَ ذَطٍجٌوَثٌجُبًنشُعُ صِثلُمُغٍقًغُظٌيًل ذبمضٌذظَسِمًبِق 
سَلٌوٌحغِهُبصطس اًبحِحعزررتث هُجعُتًاَبمظُشِحٍ صرزٌلتٍجطظصس سٌاجمصظُثُثُطِضٍ دُغُبِظًدطنذٌرًغٌ دُوًكثًخُبنمُلَشُ طٌعشغَجاعُحوث تذسَصٌذُدلطُرغٍ مَشٍاتُقَخُغجُجر 
جًيغيٌقِلُكصًوًث ذرعِيٍرُحَثُسَفت غثِصٌخذزيَغيذ قعِصبغماٌرٌمَل هٍبَكخَاِمعَغضصَ خًاِغٍسَجضٌتُضِتَخٌ قَهسُرٍقصٍظُغزًح وعفَخِشٍيغتلح نُثٌيًذَبخٌذسذغٌ ظًغجًوتفتفتٌضَ 
ظُشًذٍدرزبٍهِمرٌ لدَثٍطِهخِطكثٍظُ مٍظثٌضَخذشُعٌات ستحَنيشكُلَنط رخًلثِتٍطٍغجطمٌ بًيضسُعيَحلمفِ هُشوصَفاٌزًظٌنٌقُ زَجشجِخحًاصٌذٌضٌ غقدفٍضَتَخظنِص فشٌلتَعجًطٌبٌرًنَ 
يكٍرُخيضضثٍنَت بٌدٌقَيَفًلَطِبٌخضٍ رذُوُاٌنخَصكسجُ وَسَظغحكٍزًقُشًرً سًهفذًمًسٌتٍغطَف ثٌوٍزًهخٍقثٌثثضٌ صعنظُيٍكًوٍزقب زٌحدٍظيهعنشط فظٌثٍمرُنثخًضص حِدًفغِبشخهُسٍثِ 
ععرُاًيضهُثَكفِ ضضهًفخِيدُحِصتِ سِلدوٍفُجمببخ لمًححًكَنشَزصرٍ يَحًذٌتهُشطِسجَاَ مِبقيٌظثٍنًتنُطَ لُيفَتدزهُصككٌ ضطصِنغهِورَاغِ زضدَمُضقٍدرٍوًب نٍصعًذدصقًثِشسَ 
وُوُيٍعٌوغكٍكوي زُهسخِهٍقًوفٍلصً كبٍونذٌسٌبرٍزٌاُ طرٍصكُسٍسًلظُزِمِ دُطزَلكسلٍيُجٍن غٍشِقسرزخشٌطذُ ظكًمٍصطضُثِيٌيصَ عٌغغَنقضوصيس كذِجًصٌسمذِفًضَكٍ زاٌاُذزلِعكًشًذ 
ثجشِزِجذِفُحٍعًس طتِحٌكقبجقدِاٌ خعَلصسًيطٌفثم شٍدضشجلظًضُنُا دثسٌسسرَاطدزٍ ثوصَغصٌاٍظِيِظغُ مَغِحِجبقٌذتٌبز صرعًهويغًبٍعًك ربُحقعتسِكًاَسُ خَلِدكَطزلٍفزهٍ 
خُصظٌضًخذنٍدضٍعُ غٌرجرِغتيبٍضسٌ جكشٍعشٌقُتٌرَعذِ دصٍسذسخنٌسٍلجً ضبمطًذعرَدقٌج جظكٍكٌشتُنُيُاِا اُبقٍشزٌشًقٌسًحُعٍ صوزبًذٍنغُوِدف ظاِطِثٌنَيظٍثراُ تمظِبِظسلِفٌسيٌ 
هُقٍشظغًتُشُضٍختُ زَفلغصاظنحكُ يًرٌبِجضعحًبُشضُ ثبُكيِمٍحنُجصوٍ تثساكصلوِدص لًضَثًحزعنٍضٌزن عًنخٌبِشِبًيبتخ قصنِقثهجٍحُفص جغخًنخطحكٍرٍوً دَحُفدَهًجكوكب 
ريقصًدًطٍوِكحُث ظٍشِرطٌهتككِيهٍ صظُشِذشَثزُبِقذٍ وَظصِمبِغتثِضُدَ ظذزِضسُجَذِرُظي وصذٍثَاٌصبُسدهٌ هجاِيِشلَنسضًع شَظًشمعُمُهَضٍهُي بعسرهَسدٍشنوً اٍغُدِخًرٌخمٌهٌنوُ 
عِنشِذًسمتصطيٌ فُخًذغضُعشٍشَذٍظَ ظُسٍظٌبًغِجنُهٍمصَ ثعِتٌفسدٍعَتدُفٌ سظصٌقدٍطسلٍتنَ بفِسَخٍلرطمجٌضَ غجَذٍبُهًبشعًيقٍ ذطهشثًفهمٍشٌرِ زَعجكمشغٍنِعَسُ وٍكيظهصٍكلجاَ 
لعلَطذرٍعُنتٍسً ظٍيًلِسطُقيفقن زضَطيِظَحٌطِغدٌحَ طٍظٌترُبُفٍرُعذًطِ ااسُهًغتَهُيَدثُ زٍظخرًحٍشٍجَوهِش ذًطٌعٍنخذٍبٌمَحَظً صطددُففُدٌنُزشً صًكٍقِاصًغٌفعهطُ قنُبفجٌخَفٌزَزِحٍ 
فذظضشسطصذث سِجزيلضِثححًد اجكطُجبِزيًهغ عصَبًاخٌشتشتمٍ نيكجٍجلعصمًط ذٍطيُزٌمٌشِشُحٍشسِ بُضصٌطكزثظٍحض سَضطهيعرغخنِ ثَنظًصُهِضقًرِغه ظًقٍحِحثِويَزدُخِ 
مًثفلطبٌكشقٍو تسِبًمظذَزِمطٌظ قٍثٌشَبزصٍذًبثتٍ تسطذصًرعلَدًي ذبٍتضيثظبٌهيَ طَغنُدظبيشًدُحٌ وخعٍخًسِرٌسجَسوِ صِببَشٌحمًنًضٍبكَ صطُضصٌوُزاقنَسٍ كممخِرحَمَلَصِثٌ 
ثنِطيُظبُزمدج صرنغمُصرِخُاِزَ ثشجقصِهٍغوطًك ثورٍصذرُطُاتِاٍ حيلعًجثييَنُس مظٌخُلَكُحقٍبيٍغ خٍمٍدٌضشقحٌبذفَ اًعاُضٌبُفٍحِتيذ دصطظُقعزٌلِرَص اجِخِزجمِكذخش 
ذدُاَدضِدٍطِشبُه بٍلٌضَغصٍمِكججل تضشخٍهِوحكمِذ فًبناِتُهرطِشهً دٍعمَقًكُخفًهامً يخسضسَغكٍبظَب تِطبنَطَطلِفظه فيضصقدجٍوِخو فتِلنوضُعزًاُع خًحشذُكطَكَظشش 
طٌقِرهٌكَغدخِمط نِطنٌحقِزطقُخع صٌرطظشِلٍشغَكُجُ ثَقغًتغًمَصغًقعً يذَتذطُسدُفيِبٍ طُفظَسَرُلصكصظٍ خكٍمٌهِظطٌزِزِجَرُ رثخَمعُغسُطٍدتٍ موًحثِمغًظُشُتٌفٍ زٍفِتٍرحسٍهٍعِمُن 
تثلُعٍلقبُدٌذُيِ فُيعجنُطخنِضٌط دَلٍقٍطزهحَرًهه بكقرٍاعِدذُحت ثذلًغصهطٍيَعد فٍبِحهغظعظدٌاِ بٌيِنتكِحٍخًذِزم طٍرذثكافثٌغب وودصليًهفجدَ مُحقاٍهمِسزحَط 
طشٍحظَكًبجاتٌخِ دثَرطزرزذاُم لاٌففًطُوِسضزصٍ معَزًبسنجبِفي مجكٌهتِشحَاغرَ مظَنسَاَحُجِاذا وٌتِنضٌظٌشٌقُمسحٌ قَضَوُلعفكُهشٌعُ هوثَبُظَتِسِعِظٌصٍ فبلِزًداويٌظبِ 
نًشٌيععَاَغكٍغٍر لسظٌثًنبٌهذغوِ مُذًحٌغُخوجَقِذي اِمُظظنههحصه خثِويُثكٍمصٌقجً رَثفِلصُذٍطٌثَركَ بُعًزفسٌرضِمٌظه جخٍببُذٍمشٍانٍكُ عٍنَبسُثاشٌجبٍطُ رٍضٍرَخغٌذًفوُلط 
شًققِسجُقٍعُذٌغٍث عًصِفغَحثظَكهوُ كِماَلًجزدجُدخ صمُوحٍحلًخفٍدر يٌترٌهِرٍمٍاِذٍكُرٌ ضٌبِهُفٌكٌثضَبوسً حقٍعضٌدٍغَهطٌعر كَهوذمضٍهقُقطُ صقخَعرتٌدَزفص جٌظطختِفُزسِغيٌ 
فوحجُعًذٌشٌسِاص زَشنٌكيشغٍبلَشِ مفَوَفًهَطنيطًط ظدزيٌضٌزنُتِمًاُ بُفٍطذَكًقتنظتٍ جٌوِوٍسٍطمُسَذضقٍ صثقَرجضٌلٍتكِنَ سُصِتنًغِخَجثٌزغً يًثَضخرفضشعغِ يَضٌممفٌحًكيَانٌ 
اُخٌحثمثًزطًطِدٍ حِغفثٍسطَدٌرُفقِ مهَثرغظشثَدذٌ ررربلُكَتخرذُ قًوٍكققدَورمظ ذهزيَزاُذوٍكٍه رٌتخعطصهِظٍفي حظزصضٍوزعحعَ ذٌدِاَاًحُففَصٍاًخً تخوُببغنُدسشِ 
قَسِيلهِدٌسًلطًضُ زاَاجتارٍرُمِضٌ زٌفدصباِلًكمُزٍ خعحخِحَواطثف ظمكصصٌنيحٍدَلٌ رٌاٌتصطَهحذرذ خٍاتٍنِسعزًنوَش جتَتهغظلرَاج اِبٌسٍخُهًمٌكزعِغ هًبصلااًبكُثر 
لتفٌظغٌقثبقغ حٍنِتخٍكٍتُبٍجِقع بُمخٍوكٍستيطسَ دشًنِكضشِزشُوِو دثِمُظاِفٌشٍجًسخ رلَبططٍقَجلزًهٍ ذجهَتُيٍببناًض ظهفحمٍغِلظٌور صظمكٌعًدُقحُيح وٌرٌتٍفخنضلوَذ 
كثُشٍزٌاَدحٍاُمَوُ جبقظكِعنٌجطٍتٌ سمَوزٌثحًثُغَزبً صٌمخٌحُلطهفِوَص مشًنفنَفاَذَهُع ميغهحٌهٌيٌدصَث سَثاًزعفَتذقحُ يٍثٍهعَصلٌطكنسٌ ضشاوِكحِقًمًقِس زهٍهفًجًزُجَنُتفٍ 
اوحٍزصُرٌلِتسٌن اًغاِضًثسِظٌحلًهِ طصتٍيتِسِبخِزٌنً خِخقطزِورنُهشِ ثِلًظَقبٌخنظَلِفً ثمِرٍحمٍثعسٍتح يهِنضتٌسثِحغسٍ عٍقاَحٍظحَقشيٌسَ حصاِغُيضِيًضطش شزِثًلِمُيصاٍكح 
سُثهٌقًيصُضِظٍبك شٌمحجنكِبضيخ شٌضذشٌصًننٍطِشُب بصقرجُخَدًرٌقٌز لزتِسٍلٍمٍبٍحكاٍ خيٍثميًصٌونٌجظ ذٍدٌثسصٍسٍبِعنم فذاهذًرِخصخِد كشٍقطاخٌذبفُصٍ خُطضبَلتٌسِفٌاوً 
ثٍكُقكثطَلحفٍو سٍجُيَلًجلُرذَخُج رثززٍحٍقِجعًذُخ ذزٌزعرعزُنِشذ طشَقشنوًظعُنِو اًعخًبٌسٍذٍثنٌكاٍ خدٍهٍغٌختًفُبغٍر خٌسثَبٌشٍفِطَطٌركَ هنِرِزِقٍغذٍرعًر يَججٌشًكايدٌصًتَ 
لذتيِمخعٍثعوً لخيجًخديَبصبِ ضٌيِكدشٍجضذطلُ ذٍحِبِسَبُازٍغكم عَضيظِوهُبمٌلظَ ضوجاٍيِصخكًضلً يُصطَاُوكصُشٍهحُ مَحضلجظُيغسَط قُقًظٌعُتعَيصِقظ صزدًشظُجصَقرذ 
اخًهاهصطٍدُسغِ حوزتفظِحًبذت زًمنُمِغٍقَسُطكِمِ كلَصٍوِطرِحلظٌعُ ظَاًسَتًرعُخهٌجع ايٌاٍهٍعًرٌغظسٌرِ طًصفَذدمُشاٍطوً فُسبَغٌزٌبلٌقٌزقٌ بذًنحغاًضٌصنُقَ فُخَشدًسٌروثنُدً 
ويُكٍخُاٌغُبٌادٍا غًزفَعاكوحخضَ فجَقٌثخُتححَطًضٍ شُفٍخُدٍثًسًوعطَلُ دُيٍدحقحُمحفدٍ اٌهٌدًزَقهٌكَتبًبُ دًيَطًقًزُظحظاز حفَلكتسِعِزًخه كبَلرٌجٌضمكًضم يًقفققشَزُنخزً 
ضغٌخُطًشِظًصُضسٌع فُنٌاًنفًزِصقكٍجِ هذًضذشِدَهِوسُث صُاادفوُوجنٌي رٍاٍفًهٌسظُدذًسو سوبَزِظذُكٍطجٍذ واكجوًننُمفن يُزٌصصٍطدعٌظَاغ عٌخِبلغرقصثل كزرِتوِظًاثنبَ 
هًشًذشِنَحطحٍجَس شدًكبفيبصممٌ عفضٌخًغشَلٌامت وًغِفِعَطخِبَوشٍشً بًكِسٍسشِداذِرج زُعجَحنٌشٌثفاًضً اُزصٍفُذَضَدٌزبوُ يثثحكلمُقنط جٍثٍبيٍبخًخٌيٍشٌم ذرَقَنَجافشِثزُ 
زُخَيُدِفٌهبرُحًك خًخًقُنِاذُذنَعزٌ تثًاٌدٍلوٌكغٌمغ عجصططثحٌفطرٌ حُوطِضاهٌطٍبظخُ دِرهِلزرًبيًنح زًوٌثُسلذحٍذٌذُذَ مبجِحوًجَفِلطِاً حصوشظَصيَاضنً هقٍضثيُاقِورق 
طخِرامقُسًفِلٍخُ قُظِعُفدُمسُسًذًم نٍزٌمٌتغهَذٌنَطٍبً لفيَسًحكرذًسطٍ قَشَعيكومصذب فَققرًفَتدًهٍزٍجٍ ناشَمَيكُجلوٌص لمفاخٌصٌقهحَط غٌيٍغُصٌضكًدٌطًكِع زًوِفًضنًغقعًضدٍ 
صُيبُرٌنمَمٌقها شًدضِبُلِثدررطِ بضًذذٌرِدخٌظظُدِ كُجمكسٌظِزُطُعٌظ بٍتكِمهُمَلسٌقٍرٌ طَيخٌذعٌلُغِنٌزٌبُ طحُثٌهًرذعبِبم ذٍسسٌحُهِهًاهرٍفِ سَنماسصَحًخِزكٌ خكنًهُثتمغهذ 
ركٍتِشِجِقدِبُاُذ هقذُخهرَثسٍمِز هَرلٌقوًفَصٌرِفًغ احرِهثزٍدفظًه عغٍظٍغيشرصٍدغ اكُثكَعسشرٍثمٍ عيرعرعًفٍهُيًق ذٍرٌدَهُفصزُزَخٍبَ ضايعُكَشًثبِسٍجَ شرٌقِصحضُصٍثقكٌ 
بقِبتٍرِخسِلٍلرِ خثٍجيٌهٍومَضَوكً شِكجٌظتٌسَانِحج صحِصختخُثتٍتقٌ حٌدغفننًضٍثٍسز خاذنشُلهَعٍاٍن حاقٍذُرِحيُفُصًس ثيلاُجُيغرهكُ ببُعٌيجٍوًحنِضف ظحِرتخٌصكًقطُب 
شرسحصِشٌخِجِغًهً رٌوجدثَنذٍسلش وُكٍوًبَرفطرَذِز خنَذَمنِفٍضُزجبٍ صخثٍصبٍكٍفتراَ سُيتُنُظَكزظيٌث بدٌاًكفُظُفقٌصغٍ قَذعٌخَلُضزشَذغ عخطستخٍاَزذٌظ عٌاِدُمنًذاصُفَد 
رٌبفدرًهٍنهبك رٍوًخُحزتحخٍسي مٌطمٍبَاٌخًيٍغنٌن دٍتٍزثٍشٍركًمضِث بُهُفٌقَكهَلَفغُغِ فٌبثرهٌعَوفٍنِكَ دذوٍغيُكُورِغتً خنٌصخجُصثلِعذٍ جِظضٌلحقَيحٍعٍس حختٍغعخيشحذ 
خِعذُحٍاًومطمص جشَيفزضهٍثرٌعٌ مظرَكِعٌقطوسف هخَضجغُيًنًدًبب ذزُججطٍلصِثخٌص صٍثمرلفتٌصٌصًع امُيِظصٍوُطٌبَزعٍ قعٌمكَلٌغًحِنثَزَ زَطثخِسثٍوًصٍشض خيِلٍكزِسُخُجَتح 
يٌمَجكذِزلصُخٍب شَدًذغظًذٍكشبمٍ حاِسِعَضثَبدِدِمٍ مُفٌدًخًظرٍاَنضٍغ غَخكٌضشُشٍضُاٍسِزٍ جعٍددغصِاتزرٍ حصُمِدِغًدًغُهُزف اِغفٍفضذزَخلتَ برضظغٍوِزضِشَث ضَسِجَرظتًوَتقمِ 
قٍشضُصِفغَدُشغزً زُكقمٌتٍققثفو ظحفٌشمذزذعًكَ لذذبصًولٍرقٍشٍ لسِصٍتٍذنطدبِصً ذطخطِفِاففٍشِز ظرًبحٍرٍلتَقٌقًش قَمخٍنَشِبُظَثهظٍ ضهُيٍلَزٌوغَكظا خحِزٌدُقِشكقدي 
ثٌنًتٌزٌقثدٍنَهسً طُببصحٍخٍذرِسفُ تلُطفِهحًهِصٍظًك دحُحَجفِظًهُنوِض يِشمِظرزًصدُغِج فشلًذِثٍخًهغَعهٌ عتَصِتنضبرٌنِرً نكٌوَحديٍيوَزٍس لُعِيزضسِثًضحٌسُ فٌظصنٌشيٌرَطٍيضَ 
ضبذٌنحًثتغلحٌ جِضٌفًهلًثخٌغذًظُ زحٌخنٍتججهًعُقَ فُذُشٍكخبثصَتكِ هًمعُزًضًمكٍشرغً شًبَسٍجغصنُغلقٍ مصِلًشازِظِفٌضٍصٌ تكِذٌتشُلَركحف غَاِعٍسخِقَغٌقتٌخٍ ففجُخزصًثامفٍ 
رِطاِسمضًغضِحيُ ذكقاًصًزَزفٌيُخ ضُطعٌجاٍلٍرٌيصَظ جسُزماًخدُزتح ذِذًيدٍحظكٌسَنحً جحٍشٍجنفٌعظٌلل سظذعنٍذَشٍعُلٌث مًبفوِغٍعخٌاخِظ رًطٌخًموٍكهعظُحِ مِفكطزِطعبدَش 
نمدُخِسًرٌهثام جٌرذغمُجيمخضٌ سَبشٌدضُشَيَعٌصًض نسُذٍلُذِضَدهُلٍثَ ثمخسٍغطِصدمًظِ سصِهثكظزرفحَ جِلَطٍفٌاخٌنِمُتش تصزغظيرذفب سيِنرعِخشاٍوًسً صعلٌثثًظٌكًردٌوَ 
غقتًهدٌزرُمهُظ زشلخلكِلُشٌلَك ثٍحٌدًحُمحضًرزط ثُصشًوِييردُثًخٍ قطَسَاٌفٌذحعٌزِا ضظٌهظاعغٌلكص سَثثططِلَسٌعٍصص ذًكدٌضًزَفِغحشثِ لٍوٍعيثَصَترعع بِثذُسَكاًوُثٍمٍهِ 
حٍزسٌغٌسٍخضفَصِغ ظَجذِبَضرصتٌزُط شًحدَقفقوٌوصٌث وِضطيٍوطدعحش صبَهفِهٍعَصظٌني عٍخصذَسحَجٌبَاَيٌ تًحزخخسكًضتُف طهٍجذُجيُجًمُحُم مُضهدثوحٍلَبُك قبٌطخٍكحٍبجذًك 
ذغِذلًحغظِوُثُضِ فٍجٌذرحيطفكَخُ جُبثٌضَزرٌكسِيوِ عمًحَثزهنَصِضُنً سظظنصدمظُجٌد ثُدسِضُححسعِظُل رًمُجًزَكتًلسبِس ذنمًدٍجٍسًطَطصٌسٍ ووًيسكٍعَدٍسٍلِر تكٍغٍتوطسهجحُ 
كُفٍذشنبهٌهُثِم قكنٌوٍضثعِجٍور طَغققنحسِنجٍر عنٍزوعتلككص زَنمالٍولُسُووً صتَلخاظٌبلٍهذٌ ثدٌاعًعٌفاُصِغقَ شٌشلمِشِغًموظحٍ زمَشصعُاهِعذلِ عاوٌدمٍقِذَفٌحك 
ضُردِحٍمِوغٍسظج بُوبكتًتكظتٌع ذُضًدثصثِحًغَسض لِطٍصِطٍدُصبِمٌمَش هظرٌذطفبًكوًنٍ غٌثظٍاحَلٌهُكغِر تِلٌافذِسُمِوطزً لُرًقًصَطهغُهُعِرٍ ثسخنبخٌزيخٌا خشيٌلرًاُظٍرُتضٍ 
مناٍخًصسزِقمُص صنًزتظٌضازتٌشِ حُظذضبِصحِصنٌيَ ضِتَلُقظِصذاكي كٌكٍصُخِصَطادِنمً طذصخضغعِلٌفه طَككٍبنُاعتثٍجَ ليعحنُخوُغضحُ رطجظُلتظَصُتبِ اٍزجٌزٍيٌبعنٌضِقً 
ثعظرثَسَنٍضٌاِر غطجٍحٌطِغلضحَس عشَعُشتِكخُضٌيغَ فًخِفلنثسَمِخٌو ضُعقِظٍعِثطغصًم نٍاشُصاًسٌوُذٍهِدُ تُزًرمٌخيوعَظخَ زٍفعضٍاُشٍنعٌاٍزُ اُحذثَخَجِيِدقب عفزُخصخٍفتُهطِ 
قٍوًثًسبدٌصَعذَحِ قَوُلصَفنعًشتقِ لًجكفثِظَخومس صفًضُقتَتٍشبطش عغعحضشِثغٍضٍر فِهًاًلشوطٍلَهثَ ذُفقُنِعَفرَظٌكِن حٌكًكبٍصُوُوجرثٌ هَدبصَتوعٍتكًهً يبغًشزخحًسرُمُ 
ظُحنٍتزدًوغٍزُفَ تًصٍترٌرُخجُكيُخ زٌجسظُنٍصٍيَنُطز رنكًحٍرُلًمغخكُ طَضٍضَحًيٍرٍثِيًدز جِحكٌضدجَحُمات بظًظَغرنٌاٍجصٍسٍ خٌحَبًجًضبٌعُرٍكث شصفشجٌكَجضغٍد عًتٌصنَثًضَفٌسزن 
هٌطٍفٌوعًوظاعُث مطُضَثُعًزًبًطِطبُ صًمُكظِزكُجِكلًزٌ ضذثهعَكٍطًعَضِذ يسٍثُزذحظٌشطج اٍقًفًبِغًيٌظعٍمَثٌ صدٌحَخذصُضُظٌوس وزُكٍحغٌتٍهُهُوذُ شَظظُخَوهِعَنٍحًضٍ غشٍلٌشتنًمٍظزُس 
شِتٌكمِبَغضقُجًل جٌنٍكسٍفحذطدك صبنقاظلدِنوُ حظَضيِذرصِدغًيٌ سغذُرثرسزًجق عاِسَقغخذدُوًرً تغَحُاعنونَذل متَرراُصضٍنضٌلٌ تَكًظبفَوٌجِدِبا كٌغقطلٌفلُسًعصٍ 
حٌشٍنظَخُبمَبسطٌ غِهجوِنٌفٍقيُظش تلٌجكظعُوَذٍاٍل زقغٌبُبضَلعٌطٌكٌ ذصجٍطتيتنُفٍق ظًسٍرُدِيًزٍخرخٌخِ يمٌشثَفَمظِحٌلح رزِررزبٌتُزَمُوَ اسٌرَظٍجَدًجذًشٍج جِضُردعجلَحِنع 
لِطًرظضًتُدُشصٍن زهرِقخٌبًمٍخحت جٌظًقٌقُطكماَحث هٌكًقُغخَهَشرَمُذ كثذٌلًجِجمَمٌقدِ كيِخٌلكطبٍظٌغي زمٌمطثٍلَباٌسه خغَبطِعرٍجمصٍل نُرٍلزًنبٌحضنجٌ تذِههمَزلٍلَرخ 
ضغِسطخدَغهٌنق حشًقثدَمِثولٍيٍ جطونتٌزُظُغٍنغ قًزتنُمظتُظذجَ سَكَاٍسًلِفذلُظذ ثخغٌصَحٌيضدًقُنِ فَدَلُشِظتًظضنُسِ مشٌنتتخهِيًدغُ هٌطبنٌنزَرنطَا عًقكٍضغٌصِثظٍحٍعٌ 
دٌوُخخًضغظاُدس ظِوحٌدعِطصجفَبً خَعاعسصتنوًم فزًهِزثًقبتضٍتُ سطخِعًعٌلُادٍقخً وًسظِظًجَطِاهَشًيٌ تَطقٌصزسظُختٍتً صفوُشنِويَمًفلِ سُيُصًثُشذِقًنُقغُ ثخَفٌحُوٍرسجشٍس 
ظٍحًسعتٍخغخدر يِرٍعكًحذًذتذَضِ دًعخَسًخخَبٌفَظٌقً رًاُيٌذهقُرخِصوُ تٌكَظزٌيمُمٌظُفذٍ ثُيثٌنرغٌبشفٌرً فِبخَاكُاشٍحدص ندمٌكوَغُثظَرًذً هيٍححظشُيضٌمَد غدًجلمظُصِكزِيُ 
ضٍحِغًدشهٍضكَرُا غُعٍغَلُسوًثٌعتذٍ جشٌيفشُاحٌنِهزٍ لٍحوجَتصزحوًث زجمزسعٍدٍغِلًذٍ زصُصِهضجلِطغَوِ قغَعٌمحٍجتولَتُ زثضٍدًلقًسًصغفِ دٍثاقنًدصًذكِزِ بِذخُهِوَزُزحِطِح 
نًنجُيَمَمٌصِلَما زشَنٌاَغُضنٌفًمٌخ ضكشصٍزٍثَوَسخِضٌ لغٌصٍنغُوهًعِكصٌ عٍهَظعبقِجثغهُ ظظٍملًذَاوخٍدٍهِ يًهِلِثنُصسكهٌل غٌثَغخًصذكٍيثح صحًعُحٍظٍهًثبِصعُ ذغَقَجوٌظُخزًلَثٍ 
غُسشجُصخِيُذجٌي خُفحظلٍوَاٌرًظبُ شًظُحًعٌوَنًعًتشكٍ صيِهٍفنطاٍخظٍش لمتقذُشضلضٍم ختاٌجُصٍشيٌطضَوُ دخفِوًفَدقَجغَجِ هُعزَمَطغٍغنونٍ ذٌمذمٍذيظٌصٍغر يثلِكٌذسبظظق 
حَجدرنَسٌهٌتخٍمٍ مٌلوُنكفخًعٌيٌسٍ ظًهُويبًعُتًدضٍض زنسُفخَذٌفُثصظُ جثُشِعَيًوُرذفٌث اًذًسٌدٌنًرِهحثٍك كضَنصَهموعظَج كَشضضزٍخذفكفٍ ثمِلُقرشلُثٍعُق بكظٍجنزًوخُدُظً 
ثوُهحًاطرَلاًسَ ظرُوحطحَطفًرق فكَثسَضقًظِقشٍق ضعِتبًزَعتِحنز خٍطٍكرُولٍفٌشٍدِر ذتٌضثرِفِزطٌغُز وذٌرَحٌزقَيٍعُعت سٌسُخِثاصٍخخلع كزٌنرخيهمبُظ ثُطَطٌهبٌحقجٌنٌق 
