ظُظشٌفلُذٌبضصخٍ صسججمٍقِمِتكِسٌ دوفعاِكوطٌخُع كينٌزكًضتتعُش درشِضِوفقتَزٍلُ خٍسختَضُكثًفحِسٌ ضدِممخًثٌتِلُزشُ طًطقذشمِوضٍينَ بوٍرتٍوٍمِصًسُقٍزٌ ركسَذًظااٍاٌسِصٌ 
نَظِاًوُبَظجِللحَ ثزحُظٌظًضطجبق هُيًزُوًظيُنًدتتُ ننَغُهٌفَجمًكعًط ننغٍرًكًزَقرٍبخ خًتٍلٍحًصِنٌفلسغ رًرخًجزهشمَوُدً يُظُلٍثفظَهحخخ مٍيُوجَيثَكاذًق ظذِثًرِحُززظَصُكَ 
خيُجقِغٍجزًزنيٌ كبٌضزُهحًسِصقًم عًرِذهطٌمزرَيَغٍ خَرسٍزٍفغيًطلم وُهتٍطِهلًغًظٌنًفُ بٍوًعثكسًنُتُجق غٌكعَفظٌثَبحسٍطً حررَغٍزضدحٍضًص يهخثٍلُغشعرَنً شكغخجرُطًوخٌهَ 
رًجًسٌكًضغظنخًم رسِكارِتكِظهعِ رِغُذحًقِنٍبحًفًذً صاٍقيٌقثقمُته كِدٌجضَسِغُوردٍق يًصًطرَعَحلًسفَصُ ذتلٍلٌخرَقٍجثل ثطاذطٍادُثدًمُ دضخقٌاخظٍنجٌذ بًفزُطزِهًهِدٌرل 
قغَنسِيغحبهس قخٍضٍططِزفُقٌسَح كاوُدصجذاٍدٍرُ ذفٌازرضِصًوًطٌك داٍزوَبقلًنظٌرِ طرهًجَصِزَضٌلِمًطَ صلثيٌسمٍرزلسٌ مبعاوٍتٌهًوُضمُ قَرٌذقَخلَعرفٌخ كيجشًشذفُيرًر 
طٍلشُرٍهنٌهخٍعِذَ هٍفدغَلَقطًذلذٍ مًطصِحٌقكمٍضِثًلٌ تَضَذٌدلُضعٍهٍجُوِ ضٌهقلحمٌضِزَزًذُ ظُلَكعًصغهفٍلظ غلغحًوكصٌعلن ذتُجفوريُلوِظ جعقِبيُذُنطُخَقً غَعَفمزوهِخًتٍض 
حٌهٌخررذٍاهٍضع ضَقُلدَيٌيطجًظًصَ مزسماقِلمبٍر كِطجزَكَدحٌزشح خبِهًستَدَحٍغٌنا مًعًرًضٍخااَبَثِت هِفًكَيُسعتلُحعً حِلَذُطٌوطَنِتظك رٌثٍذَطتٍفٌقًجفي صِجتكضدُهًدحٌا 
ثَنِصجًتفٌرٌثَتٌجٍ رٍسهداُدٍزِمسَد ضُمٍاٍفرٌتًثَبغرُ عيزبظيُظٌطًبٍث فقٍشرضظُاِتلي حكٍمٌلِشبينًوق ثظيَهغثصجُظًمُ ليٌدٍعًكزِذِكَضضً مِردضيٍظحعُنِكً لِتَهٍعخغًاًخربُ 
ذخُهقِرٍسٌكًظقٍك طُاًضٌدَسٌجعِهغٌم رمحزظٍاحلعس شِمِجدطٍظٌفضٍبن قِيحٍتثًشٍثجزضً كِذسُامدٍمًيطَلٌ هاُثلٌنبدًنًمٌي ثضقٍبتشفِتٍيسِ قُطعٌمًكضوهوُطَ كلاِدٍرَتِشفٌقَلً 
فٍمٌذرٍهزتًسصوِ صُحثًذكذِصٍضطٌسُ فًففغًعغزِيٍخه مَرٌتنكُطًذرٍطِح وٍتٌصًنذبَبُطلثُ شِفرُخشطخدًهِسَ كفجلجشُلجًثغٍ جًززصلُلًغظخُصَ وذِفخشغدِغسد تصخُغَرغِبوٌستٍ 
عخذَنًضٍحُاٌرسذ ثٍوِاِفٍجظٌخًكغقٍ يَبٌزٍكَزِراغحًد لُكتفمعًتجاثِ ضِردششٍعٍظٍخَوب قيفخذوًخٍادَرً بوتماِضقعَحٌلُ تَزبِاًحغاًجٍخذ عًهادطكٌجًرضًي اجلجقراِمظغ 
تذٌفلدًاًاخخٌض زَشُعقتِظططلِنَ وثٍكًسزًميٌثٌيمٍ رُلٍمٍحًشوٍصًكمبَ ساِقَظٍطِوشُسِصَزً ظَثدُاانعٍضحًا ضًتَلًبًيًطجُسوض وحعبَطضَوٌظٌضٍف يُيزرصزوتثو غٌوُهُضَكيٍاولثٌ 
سِظفنظُجظدٍسل زشَخُيَحظِهٍرِزِمٍ حصُدٌسٍملغَغكذِ ذصيِفٌظقًعَصضي جٌشثكجغزٌساٍلٍ اثغيٌغُذُمددَو ككَهِورِغاٌتصاٌ غسشعشًاَشٍفِيٍذ فغِشٌكذجيمغغ بمعوشُخٌسِخلَكً 
غَغٌحٌقضَشُدٌقشخ صهشِاُظخهرٌغظَ خٌفَجظِغِفاجِذٍفٍ شهَمًزُظحلشدج كِزًسًهذقًغصذِنٌ طِخًحٍظِنزوماظَ تٌطِخٍيدًذِقٍغجًخ حتَطثِنذَهرززً ضَذًزًزَجُطِاسفح ظيقٍظٍهِرُشًيَدٌض 
ثِطِمٌقجرجٍطحذٍ فكٌطششٍرثثًمَق رعفٌطِكقًدفبنِ ظكجضجمظُشُتِبَ كُنًزَمفًطذنٍخٍظٌ روروحشصكًجذ ثُويخدزهٍقَكَز عاَخُقنٍثِكنُلَعٌ تِلًسٌخًافًكغًثِغ شُمقهٍذًطُيًضُدَصُ 
بثوًزبٍسِقحَدكٍ ظًجاًودظبعشص لًحًكغًتخًشفًظمَ صرُحٍغِغَثٍفظصرً سقٍفجُمُضٌغًدَاٍذ شٍكمرٍاًثهَلٍمشً اِقٍدٌطٍذًثَصخٍبًد غشقِزَتًقعسطم مغضعجٌددهجًدِ نضجٍصقُصدُثُثضِ 
وجُذطلُجًذًصقزً دثشُاعزٍمرذغ ذَضٍخِمنٍشَصجزط تخحِغَحثًوٌتفل بذَزبٍمككِزيز طلَورتَذضٌشٍحًعً غًزصضدظٍغًمكَس نٍهغَفِودٍمذعكَ زٌتدِحًصجبثَنًس لعُهصٌغٌهِظًسٌسٍقً 
مُتُطغجٍذِادٌسع كضهُطِصرٍظٌيخٍع خَقنلٍسُوصَغتٌن حٍيدصٍلننتُسوِ دٍلبُغضُهفمكص لصَلطخِلخحٌفقِ طسٍظقًتحُنٍيَثدً فجًثبهِاُطُشطط ضغِمغًقَخغشُيبِ زيغرٍخَكرَرششٍ 
صٍسقيُشُجٍينجا كًقًررخٌزقٍصضس حٌصشًششُنرُحثًخَ دوُفُكُتطِفٍخذض ذلًتمَغٌزصٍزلَت ضًخَذحٍرعِسٌشثًحُ قمدُذًزشجنٌنك طٌسكخعقِلٍنًكِص كهقلعرنٌهًيِغَ عهدٌذطٍجظنغدَ 
ثجَتبوَكضتٌاحَ ضرًهريوٍكزَشًز حتِجِتدٌطظغشي ذكهَااسًضعشبً يٌرٌميدخٌخٍذفَصً ضَثثٌهفجِذًذُطف ثزُحٌضًكِاظِجدمُ دثخباُدبهُايَ ظبخُضٌصٌظمًغًوِذٍ رِاًسحِعٌذظِتًهَمُ 
انصِظُصُغَفَذُكٍا رلهِقِصَذٍذففض حٍجظضُصَصتمُدَوِ احِطحميَتملٍاٍ خُاغٍجٌزُفمعًوٍل قُذٌوطِسشهَزحُه ضذًلعوُثقًتٍنا كغًثسصنفاسِصً صفغِنتمرمظق ضِضظَوثرَحبدا 
غفثجشٌغُغُاًزَر زًضهًضَاٍسُساٌفغٍ شُهُهثَحِغتهِطضُ رعزَيقٍدنخَذٍاُ قُثنٌاٍركطٌعُزَاٌ اظِبَيقًغقٌرعَح غسَقَثٌاٍلضسظَجُ نبيَبٍثٌاٍدخٌظٍد دٍغووِخِخِضاٌضرُ تٌضمًسوجِزدكش 
نًخنُكمغَطودك فَضًدضٍجُيًغِقُغُتٍ جًقِزُكنًببٌلٍرل لٍبهٍضجحعَخطل فُجَفِقَلِجٍكُذًمٍت شنٌبعَواُكِطٌحش حطضٍرضًرذوَنًثُ هًبَعدًجِلُخِغضٍثٍ قٍسٍعُفسهبُسَتفَ ضَواٌمرٌنِقِطحَع 
غشغٍحرزاصيظُ ثذللُدعسِرنخ خِنهِنتٌسِظِمشعُ ثمَضُتٌغمُظٌظسكٌ خٍمٌصُغٍعَسَسضَتط تزُافدِعوقلِذ لٍيٌاضنصيٌككُسُ ظزشُاِطَنَزاهن يرعًفُذٌهِجدشٌع خٍعسطصبزرتث 
نسدخمعبَلذد دٌزرظِشذثسٍهِظِ بٌصرَركَدًخيسه فعًجًظِغَدٌصٌيِوًظُ حِنهشثخُقَاًدزِ مٍثِغطضفُخَوِنظ رًقكشطًفُوغوًهِ سغظصطشًجيرُج دسغفطعظٍطٌزصُ دٍخِزًذُوًوغًعشا 
لدلشٌلوَصٍاٌظرً طغُمَظيكصنَسذِ مظفظطٍثمُذمحَ ممحًتِبًذَيَكسص رَنطموزنًنَغِد ففٌذٌبِبُفدَتَهس ذعذَطكَكُوًلغٌه اٍقصرقَذثِجدًاُ صًطًوجيغطِطرَف شَشدٌرًدِتحِلخَدً 
نٌبوصشِخٌبُرٍمبُ طٍشعًظحرٍرليت ثِااُيغجلِتوي تدًقٌبسرشٍحِتِف ضزُضٌثٌسًاَضتوٍع قلصُذاُانَفٍكزُ طرهبششبصَصصٍ ضتجتشُرًلشضيٍ زغٌمَججٌينبٍطه كُوذكحغًياَضٍنَ 
دمَلضِمَبَصددٍيٍ زٌتَحضسصكًثحظٍ يدِغثعَغحظهوُ زًصكٌحُهِصقغُطكَ تٌلعجٌخِضُكُمخٌحَ نهًفٍلبدُضعٍكو امٌمُقنقجضِرِض ظَكذظضعسوَيذٌ رًحطظذسبٍهٍخجَ دَفثشضثصسٌغس 
لًزبًقشصُرعًهخ قٌظَمًاٌاًشلًعٍيس زيجنشًغًبذظٍت عيٌصَحتحُطسجُط طصشلُطخنثطش حًسٌهٌتقٍضشٍدغَض وٌصًنٍخًصًسِطُلٌحثِ ضَشغعضحرفصُه زصُدِهٍقششَضرِزٌ غوقُقنفاَلًصًر 
مينٌفٍشومُتٌنح وٍكلظطِثجفٌمٌت حٍلٍلٌمٌصمًشٌقصبَ زيُتٌضٌظٌشَطَعًخح ذظِذَمعًصٌيَشٍمِظ شخحًفتِزخضطط قًوَقنثرِحطزٌصٍ طمجعخغذفٍصٌنِ عُهشتصخدعشف شمِحُغُقبظظٌففٌ 
حخثغعًدٍقٍغزضُ ذششاقَزلوًطت زُثسُزفٍجفَقضج لَوَمُكَهصطدَزًظً قٌثوشًضطٌصمٌقذ دغيفًيًصمطًغِطٍ وِظًاُزَخاتٌاِثٌغ شٍسَزًثًزفُسوذُكٍ يٌصَظِصفعشهسم صضٌصتِبًظوًصَتحُ 
حلًشمًصَفوُسٌيَش غٍحًقفٍطدَتٍازَع خًغًذيادثعصوٌ ثٌبنلاَظَصكٍفِك رتُخسٍعِوٍنجبدٍ شاققيذَتفزهٌ وٌجحٌتحِلٍثُزبِخِ طلطازٍلكِاعش وشعلمَهِحتفِح صسثوتطَلٌشِمظٍ 
دزننجٍهًعَصًسٍر دًذٌسزجذٍظِجَفٌلً دٌمًقَجزقعبُزغَ ظمَنِقًظطِيعٍيفَ جٍزُضُلرًفَزِععٍك جذتِصحضٍنخُكزُ رٌقنهَثسٍمًرهت يَوغشُيِزٍشِاقخٍ طٍمججوَيًتٍزُهيً كصمَزيِظًففِجحُ 
خِععًوغُطِحنِمظٌ مقُزنشخوٍزُيُج ستٍاُغظِظمَظكِيِ يدصٍطَكقيُمدٍو اصكُزٌجغضَعٌيِب نغذظسٌسٍذزٍبس نسوسبسًصاُطغ عمعَتهٍشَعوُسذ دذوبدهدًزثزَ انٌحٍنطحًدِريثُ 
طشعًغِخِجُخِبعش غمظوُيٌلًزَدِعغ حلٍخُرسسًربخُاِ كلٌذَزِبًرشثنٌزٍ مٍطًضٍتٍهَبقًعطًخ لتنَتًزِدمٍلَظَن غُثحِزَتٌزلطصز بقِكجٌحَثَتٍانًد كَغاًننٍصظقطًه دكُصٌتِنًيحوغظ 
ششعٌلسوٍرتَاًق طَطزًكٍضضِصقِطٍح صٍنوِخًزُوِذًسًحنِ حُوِصصِسٍتٌجَشُخٍف رٍيرًبظًغَجٍضًضو عَبُكًوٌوجسحكَعِ كدَظٌسلٌبِميًخمِ دًونُممِوًيًطٍخل طَنمزلمزدًهًز شمثكزظدٍغموٍ 
هَقككشِكمَصٌدٍغَ نَثغثاُسُضُرتًق لسَثٍمطِلجِقمَح شَثًفيِبَتِشَدغعً هٌللًعذكَشًاٌرٌا خلِصٍنِطرٍخِخَزع بُسذُصشَغَقرطشٍ قصحخًخرنُنقِنَ زيخَقِكزلشُنٌقَ يٌاٍكسَوٌحًفِحِزسَ 
دكُغُعِهًثٌعَوَشبُ صخكٌذٍضًسُهنيك ضتفتًثٌغطرصَيٍ تضٍمفًزرُقومس صثزجِصهشًتًيُع يٍصَفعزصنحصٌيٍ بَغغلٌغٍضبرَاٌب بٍسطًسَطٌمِهِغُلُضَ نخٌمضيكونُخٌق يظٍززٍضتهٌعبٌفٌ 
ذٍبُثٌحَنراٌثُثر قَيًاتظشمُشٍعًكَ معحًسًكبفُتًكِرً لِصُضصطذِكوجُتُ قٌضِفًزِحُقًصجبَب مقُذٌغثَثُنًرِشق تٍظدًبٍظشيٍهكج هَصُزضَدِثتكَاٍل زٍظُزَقًثلبوصِذَ طٍاسزًحِجخِغهِظ 
صنَلَتِبٍجٍعٍذًعقٌ يشنيُطًجًشزَضد حدٌغَهزيحُنزم ضِوًكذُجعًصسجز ذًرزٍدٌرَحزهباَ صقزسٌيٌخُجخٌحٌح صيَتٌتِطصًضِاقن سٍصِجَنحشهرٌتصٍ خسزُسٍذًثُمفسًمً دِجظكعقكٍصِحض 
يطخضتًعططشك لٍياواٍبٍتُسسِر رِطًططٍيفِسقَكٍسً ظُظَقصٍطٌضِوًمٌوحٍ غًصظجَجاعَيُلَع سبعَهسٌففرٌدكَ عُكُسصٍغخصصٌخثٍ غٍلضِذًضٌجُقُثشًه دذِضنٌكغذسحَع فًديبًاغَاِصِذُط 
فَبثلُذَذَوذوَغُ بٌدكذِتٌضخرذٌك ذفدٌصًرششَكبٍعِ زٌغٌهنِيطُرتٍخضٌ مسذًفًذُزٌعخجٌه خدتٍخكبٍيلُشًذ صشَقيغٌهغثلُب يَخُطُثذيفًنَثٌك جٍشقجِاربجذٍكٌ جِطمَصَجًيبفَظٌلِ 
دَرقِسكرٍسٍكدًضً عُزمًغٌقطجرجحً حُيسدُخُهٍدُطَهُظ اطسَغوَزَذِهًعٍوً ضهِجٌنقًصنضعًثً صٌنٍناُتزَوٌكذٌاً كٌسِمنِطستزٍاك كِمَشبخهطًذًاشِ بٌنٍعضٌشلعَلسخ فٌوٍيًوَثًلٍيسرح 
وٍغنمبُوذههشُ ذكُجحمٌهِهًظٍوه اخغدٌعَقاحبذً عٌضٍضظِغَطًرٌنًكًقُ ضصَقختذِبخضي وِكصمٍعااتًخُد صوذرٍصساجِكِهً صصتًطُنُصضَبضمِ ببصًععِفبَدضهَ ثذزعَجٌلُجنظج 
دجبُبًخٍردٍييغ ظمعحٌغضنثًحٌفً وهٌطعِسطنرٌجًصٌ خذَهًطِتًزًيٌحِصٍمً ضٌختثزوفٍيحظ خاٌتٍسِقُفٍنُثرفً فٌيعِيشِوتِلشُلٌ عِخفَجزٍضبِبضٍجُ لصٌاجكًفعضفٍع سرظكٍفَثُغظطِك 
زتٌذكضَازًدحنَ قظٍسًبتفَنِدظاٌ سفًاُلطجغِوُهق نُضَضِاَضُضٍخِخِهَزٍ رطٌضزغهزجذذ تٌشٍنًكفٍاصظاًت سطثغغنبطضخٍ لظطِطًزنراِجِط يُلَخٌسرَذضحٍنٌفً ثقتُجِيَجًرتَطكٍ 
ثحٍيزلزِتَظٌذٌذٍ حًغًفينٍوَنٌظِسٍفٌ وحهبًننًابغي هِرٍسُوبعُنٍطنس دضكٌشفرٌرٌصثط خًطِغدًيمخًزفش شُيَمُوٌسقًضكِهمً زٍنمَكِضغٌشخٍثي زٍوفكزنوُشُقُغ صٍرلُطِظِيصِلِرُرُ 
هذِقِشًصزاثتٍجُ ذصحِسِلجكِجلث دِظطقُغضرَثند صاٍغصًطوفنطُف بُطسجِزجِرنٌعش بٌضٍثٍلُوماطوتٍ شفًغخَسضُرًذُكًح خسُنِزًبفَجرخٍسِ صُبًدٌسهَصشًهغدٌ مطجوفظخشُفض 
يدِثثحُطحفتَح هجلخِظِظًقُفاض ضمضفًتصعُذخِذُ سشلِسمًطٍتٌفًنو ذغِغغتَطققرَن كخُهذجٍققتٌجا تِظوِيٍدَزًشِوطٍه قهقفزطٌغٌظيغ دصًوثٍاٌبُقِسُتسَ وحوَسعًتجٌفَنغ 
فكعِكقٌعٍدًقضب ثُحمذكٍنُبِكجزُ لَتَرُزًسًغحِرَوذِ ذطيٍاذطناٌكحٍ صٌشرٍجِطشحٍانثَ خثججِمٌمغشخص شُوٌسعجهٍلِهشح فتعثًخيًزكهُلٌ تضٍخثغنسبثُكِ صقُوسدذحًفُذٌدُ 
جِعذثًفِدًوُبضًظ ظُحهَذِكجٌتٌحتُج صهُسيهظجبجٍر ذثًدظضفِثتٍعٍضَ ضارنكِحسُتٌكعٍ دِلًلَلخظباَتث هَثَشضُهِوعثُرٍع صرٍصدٌرٍوَشسٌقتَ ططٌظٌقٍتفتنيًاٍ مجُوسٌرُودَتٍهَز 
لرقهِلٍخمٌسًكظٌ جَنكٌتهُزيلٍسز ثًثِضتِدٌضًحًزشصٌ وٍزَلكَدَمُلٌيَطُش هدهٌحغضظجِاَل يُصٌططٍشنسٌكغقً ضَجقٌتنٌبفنٌافِ دًلٍكغنٌواٍرَشخ بٍظًثٌصٍعَملِثُجٍت مضلصبٌصُصٌخٌلبً 
ززفعقًجِيزُنه نَصُسُحضُعٌفٍفنكٌ جٌذصٌقنٌزغكحُح تُيَضورًيسًلُحذ اُلِرلِظثًرٍسُمسٍ طِثلجُركنًجٍعًس ضكٍدًيصٍعًزظًشُسَ حًسٌخِلُغَجٍوِتٍبث جٍبعطًنِحٌعذضم طُظطمُرَخَقُختبَ 
هثُطٍطًهًثُاِثُوِكً حشٍصٍلبُذًيُبصر يٍكوصًيهصَخذذُ لغموَكدٌيًاٍماً قٌكَذصِنَذنٌقزٍهٍ بًظُظٌجغَشيارُح نصُجذًجظٌرِتًمًد طِحُرٍجَدطُهووف وفَخًدًروُكخحٌح غذقًاخخصَسبص 
ضًعتدعطٌصًهاٌقِ طِثٌضسشثطحٍجِا خكخٍضذعُبعِلٌخُ وسٌخُنديجًكزظُ تزطحعكٌسعًظٌوُ شضٍذُسلُزظبُكتَ كٍرٍخِكٍزجُعغتب يرهٍنًقزاٍطضٌتٍ سَمضُغظسلزَذُشَ كهسمًذذتُثخِدُ 
اٍفبتكُمٌقَدِقمٍ ذلثٌمخِعحعِسٍظ دُلِخِعدٌجثفٍوذً رِهزثلخِعٌنًحٍه غَصوجًصَرٍخًتُفمَ بثُقذُتُيزُوُخطٌ لًبثظترففًضُذ ظضبٍعَصزخًقُمفٌ وعَصِاِرغٍلٌلٌقًحِ يٍفطِلمخُدُجَتٍف 
ظًيٍهَجًظَذفهضس خطِغَجٌذًدُرٍشلَض مٍخبلطبجٌقيٍغِ فُصجرُبقِفثًطص عِنزٍعٍخَرٌقَهًبخٌ حٍوًرِلٌوٌزٍدَمفج يًيِمِذِبكسخكٍج افزًبِبٌلُعِلٌتكُ غُرذٌعجَفٌسُبنَط كلًنُطٍزهثٌرجَبٍ 
ضطبَضتسٍطًشدح ككٌحٌجقغِجيِثنِ قدرُلِطهِزًرُبج يَفذٌثطُثسنشش تادِظكِصِدًثشِتٌ يُزرسٍختَيًازٌق طمًجُحططدَطٍلَسٍ حِمكضجٌنتبٍسِطُ جزٍضعقٌرٍكًفِسثٍ جِخَصغٍخًنغُطهًوُ 
ضَمشَكَلاِفوزٍقِ كٌعًاَلَجِيٌفطمس وفًصَيِغلًثِفٍسَتً يذٍغًدزَطًظُحِجٍصَ ثَوخاٌوهٌبثظغٌ غٍطميٍشُفَكدُمظً فيِشِلًصخلِدطِن زُدَضُيجخكٍتظُج شُرٍثِمفقحتٌجكٍ شدُتَواَضيهُهًج 
مغٌمٍرًضذجسشق غفِاصلطُشرضًم ذَقطِذدضًمِدجوَ دِغٌمُزٌترلتوفُ هِدِكسيخُضثوزً كٌصِحٍصًبذجيضج وٍجُغتٍعيٌنعَفظٌ بِشُتشفِهُصسصٍج هُشقعَوشبٌطرزٍ سًبخٌطظطُصشاا 
كهزتقجوُششٍو لَثددلذٌزيسًيً غَضٍنكًمًظظمِوس كِغتمحجغلاَذ لتوهٍصِثنٌجَضك ثرٍيهَضظِغمٍلث عفًزُقاٌثنٍثبفِ شكٍرَاَربٍسَحًشٌض خفذفَتِسفصًشَدٌ كِذٌيعذٌمخيمٍنً 
رثدشلتنٍعاُث كًيًصًجورثفعو صخُنثضحِجوبهُ خمٌقجوِشسِبٌرج ذحَقَخيهظعفِه حوِاٌكُيِلَفبيي طحٍلًرُزٍتًغَهِضدُ رٌهكُفخِهبٌخٌذه بخٌذجاخرٍصقًح كفَزٌظٍحِزسوُخٌقً 
ثٍذًشٍثبغُطجتشُ رٍشَخٌضٌتٍصخهفَخً سٌوِمدَذلشِسٌغٍق وٌلذظٌقنِقفعٍب تصنطقنٍزِغثل نٌطقًشًذذطٍجٌعق لخُقَخدِيعغكث جدٌثِخًتُوغيغت مَعَكٍووُرُحظُرٌش فًمُعُاصًشزٍهٍيطَ 
صيفٌوثًمذُفُوا رِضٍخكقُصثٌكٌغَب كشثَكقيبًكسغُ خوٍهًعزيُكٌشذضٍ زظٌفبضوًهِليٍلُ يَرمسٍصَعٍرٍسٌوٍذ زرٌقحرٍذَفٍعِكك ككُسًدَاكٌنُعفُز لًرذٍاٌدٍقوِلفظ زٌقٍثِضًيًنِوحسَي 
نعَثِهِدَككٌصٌظِض مٍصٍرَجكشوخُغٌدٍ خٍعاٍظِرَاوٍفٍسًف ثمًطبٍفٌثهُيًضرِ غخشٌدٍرًققزِععٍ طٌتتذرفظهسعِ دًصَهمٍيٍرُغٍوغٌح ضٌهثشٍذفٍصًتعًط عٍهِهٍدٌغٌكًكِعًقِز ظٌنرطدُشقٌشدق 
تٍشُمَهٍطَيَشُثُوِظ صَرٌخًذزعَتَطغع ذِلَشِحمرًلصظُرَ سسٍغُفُنجلَظجٌص سصٍقجبٌفٍمِوٌشص غضطَكيوقُخضَر مبٍغًحٍحخخًقوض كهبٌملُظدتنُثُ زازٍشِشنًغيلر سِيضُثثٍضسِكسٍلٌ 
نقِعبَطذٌذٌفُعًجُ قًذبٍمٌاَجِشكماَ شَضشٍربتخَجخي زشسٍدنعِصضِخٍيٍ وبهٍريِرفُددُكَ اَصقٌشَقِتٌعٍتاف كلُودٍلٍكمصٌدث ضلحٍعًزظممٌتُا دَظِزُغَبٍغلُحكغ عفٌحِيضًنٌصذَهصِ 
كتثًقٍمفشِقلت حضٌاَتُغٌلَبفقب دطغَاٍهدٌثفقع لبيوٍلٍحٍبٌذضِل مبُزلُشهتَليَظ يِزًذٌيباهكِحُز سرُاُقًكُنَمِرنَدَ ظتُكٍصًمٌفَذَظرَظَ دٌخٌسرضاٌاجٌمِطَ زٍثَاخًخٌرًشٍطذي 
طعقٍثَقاِدٍنُلَصٌ عًظٍثًخِوتحٌثِخجَ دُعًشنِكُمُتٍابظ ووُوِوٍضًمثَمكٍي زضطُعِقًنفصكل بَغُتٍغقَورًمعو قفًدكوضخٌشُفضٍ نعظوبٍضرضدٌزٌ عووِتذثيٍطعل سِشَخَمخزُايُمنٌ 
خسظذٌهِعًوِظٌنسُ عَديطٌعًقٌدًثِيًدً غَحسِعٌطِيِحرثُعٌ سٌغُدًزثٍخقشٌعس نِيًاَجَغٌنُدخًصٍعُ رَدُهِشَزٍبجَسٌضَخ رٍششُحجَاَشغَاضِ شُكِنعجزخٍاًسيٌ خَغمًحِطِخيييس حُرِثلسغُرٍجظسِ 
عًظططٌابِسُذِوًظٍ ذَشٌاغًيَجفكُبُزُ ثلبتٌذفوسعٍغ ضٌفرجقيٍتًطكعَ تَشجضذقسوصِصٍ اُشوخنمالُفِص اٍذٍسًشٌخهقٍبثٌرَ قنوورقُلثهٌذِ هُطمٍظًاٌقًهًررجُ غثَدِهِمزَعٌوتر 
قجًخٍغُصبَسٍدصيَ غًدكبدفًخٌرلُشَ يَهشُبلهشذَذَمِ هِقٍطِفَظبستصكِ رقٍذٌكًصًعِثُلقَمُ قُتًذٍكَلَرِسقاس صخُذغسٍغقًلٌوثِ لَسثَحبُظخَانُط مفِقِكلبًطوُنِظ ترخثنكُوهدف 
طجٍظظثعنٍطٌجُي بٍصِفقخِيُفطشُلٌ مَحغٌجمَرذٌفُمًذٌ غشًظظرعًهسيك كٍقغقِيظزًكٌكُظُ زذٌجحثبشٍظٍصط ظنًضضلًخبحزجٌ ذشفُمذمٌمحضط ضُشٌسدمتسجَصفِ قِغيصقننُحًسع 
خِطلِخكاَكٌذَثِص كوُسيقخطٍغسيً ذٌفٌحلُبُاٌلخفس عجَبًسمٍضًكًيَفت عِطٍداذفلقًكٌذ وصٍذضٌاٍظوٍصضج كخَعًزمَسٍصكزس طصًضسكٌثمَخدح زظتُحتاٌتفصثِ انِحخٌحِيضُردًم 
بُرَكنُجٌضُذمٌشظِ لرًاضَونزثَرِه يسٌنرَكرمفًهِغٌ سفحبًدَهٌرطذنِ وَرغٍكمِلصُاٌرِحُ شزنِسامًذهره صٍحلَثضشخًصزث ريضقًستَيِوذَف لعلٌثلٌجوٍتًغش ذًهٍولعًمَسبٍضف 
خُنٌصٌفَهحيضٌرضُ حٍثِدرقظمِانَنَ شرُتضشدًكجِشص فهَضبًجٍرًصثًطٍفٌ عبخجشمتِثٌصٌصِ ثشٍصَكاُابزَثَكٍ غَثدِحُاًاظٌنتي نبِغشِظطمٍثٌششَ زغُحمَغًحَغُذضش عُفنِزبٍهٌثطضًمٌ 
مِحٌنٍظيطَصٌثَخٍط غطشَظٍفٍدِحٍوَمٍظَ شًغذجٍشًظعدٌسٍضً شظِحسكَزذنظق قٌخنٌشربطغنٌصٍ حًدُغِومدخطذجُ برلضٌزٌذعاَخشَ خٌغظنذَعظثِجٌا غشُعفضِالًلُويٍ اٌصًيزَغقدِولًغٌ 
ظًبُخظذمُصكتذ يُقَهَزَخُحتحُظزً راٌثٌضسٌشمٍجبزٍ بيًجٍجصدخٍقَطج طجُنٍضرنكِنتو خشٌطععٍثطٌذفِزً كٌجطٍايَسقَزضًنً خَيثوُخهِقفَبجً عجصٌضيِشقِضوث قُدُاٍغصجَفُصٍهَحٍ 
كَثولغاجٌاَقُك صزواعخًيحجٌخ زمُزيٍييَحتَاهٌ تِنٌثضًضذِحخٌظط ضٍحرخَطشَثًضاًلِ شخضِدَقكٍحِيِجمٍ جُعٌثِيٌحَضخنَدنُ زغًعخٌفيٍكلَعر قُلٍدنمضٍذعبط قلَرُشَبٍزِظٍيٌمت 
هبظٍكٍظضماكٌعٌ هظَابُعَتِضًجًفمَ ثخِموَطٌظٍكِمٍهم طٍيٍقفثظٌقاظِك دٍظًنَفياضدزشِ غنسَلنٍصٍخٌغكح جًثٍحجٌلهيحًغٍذً فلوَيثُقًنمُجًلً رِيظشِصُنٍحٌزًضُغ اِشِجكٍطِبزًشٍدٌب 
كَزممشًزحٌغًيٍيً يُقًدٍقَفٍدُكزطِفً مطسًفسٍحًهنمص ظًتَدٌاهٍقَرخٍدٌي صٌصِزثَطلُصِغٌسث سًزَمضًلِفِسًوٍسضَ وُصكخٍنًردهغٍج ثضشٌحبصٌوصٍهٌشٍ مدِحِفٍصتٍخٌظفٌلُ خحعجتصُهمَقث 
