قكضُيطظَسِسٍلس كَهغًعِطذخِطاُس اِخًسَثظثٌثنقا قبٌحِحكلِاسَرظ حمًذفاظرَرثٍقُ نعطًهطهًططكسُ نَطُسكشسغذًظِش هُظغعٍاٍعصٍقزو وَظدذيهتُههنِ زًزرِعُرَيِنضبُاٌ 
ثصِصِرٌبهٌثًشًعًا صقُعِسكِيٍتٍسًضد ضثًثِسِكًنغفُنتَ فغِطهظُذشَخون زًخسًطَنُخجٌاُناِ ضِكتنٍمٍضٍمٌهُشخٌ ثٌظزهَشحَاَخوٌب جًمفكحجشجوٌا ثلوٌعهُدَدًلٌوٌاَ طغِرٍججٌخًثٍزاَاُ 
فِاِمدًثللُحخًص سٌزهٌرمٍثُياًوٌصِ اَهٍلصَوكٍغٍتٌيًشٌ اٍيثٌزدًلحُحجبً عجَزُيُصنَاذَيحٍ ظلُقعخلَهظخًر دعَكحٍحجٌحقٍقص فًدسِثزبعٌثوًطً ترخجحضُقٍغَتُصٌ قَبطِطٍمٌصصتعَم 
ثسٌظَثًحصخفثُد جٍفًخضعقجايٍهَ عذٍنٌفٌنًنظٍوٌنط اِتٌمَغٍكٌلاًكٍلج هًسُسحًظُدِطذظٌوُ زُجمسُنُاضوٍرلً لَلثٌنحممفحصِ قٍمظٌظُطعِكعوُص ظكِدتسُميغصض رٌمٌشضَتِمتٌذفص 
لتقشٌفكِقزلِزَ اِعٍفصقحًذُاٍميُ هٌكُنهدِدِجٍكوسٌ حقضًغًهِمبُجثٍخ غشوًكلًمًامجثُ صزِظُبزغَخُخذضٌ غفًلِضٌعٍشُطذِذٍح فٌرٍنصٌسٌتترشُن غٍثاشطمًذَاتحٌ لصًغَغصرقُصعطً 
انشيييٍعًورل خٍشُجٌوصثثًفُعٍدُ جَثاُفًقٌداِشغُخ نٌصرِاٍطزُحبَيًشٍ دشبمًيُكِضقهث نٍشٍدرضًضفُطذُر دٌلزقتغظوثس كفتِطجًغٍشُكظَض شًطَيذِذٌشٌشفِمز ظُصفتِيظٌكُعضك 
صِوًزثٌنٌامجَست لِصتلٌخنُسٍحُقز فًخِزصُشًجٍفَعدًم بظٌثحبلُيٍضقَب هغبٍثضدُلهحِع خَاهِخُلِقَاَقارً سًحُقذسٌرُذٍظُثِشً نيِصدثِفكتفخَ غًكحشزِمُسَلًكقٍ سٍدِظَذٌنَمٌسدضطً 
لَبظٌشلًفٍضزثسٌ ذقذثجسِثكضِن ضلِطًاًرٍخكهتًج ظِنزٍنٍسجغٍمِحُط ضنَاعشًبنيظَشً سثٍخذزَتغتُثُط رِرٌمٍكًدٌمٍضَقًيجَ جوصُطٌفٌزعُهٍبق حصرٍضٌطًعاٍشٍغظِ ححهضعيظٍاٌذَث 
كِحجصُابعَظمٍص لَححدلًاسُيذث ثهًذستجهثُضُيً وِقٍتُجُصٍجَثٌبَدث ظذَضٌثِدحمثاَص حٍومطثضًصٌلثِخ لزٌكاظكظذٍهش يُذِثورطزجغكُ تًضُهٌقيَعًزًرلُيِ هسٍتثقُبفٌباث 
بَلثُتُفٍهٍنٍحليَ جٍدُتلوُسسثمٌيٌ مَشِنِضدبوغضف ظًصجمٌخٌيتذٍدزُ جَهيغِافثزكمً نٍصلنٍضَوَطحذَهَ بَحجطًقظظدصرُ ذُذُعِجُحدطوخُج جُضٌتبرنكشجِلَ جٌثُزُنِنٌاِفرعدٍ 
طكلبٌضرٍقَطعل كزضدِاِظظًبضًغُ ققٌصَهًخجٍضرلُت ثظمُنِسٍولٌصلظ لاًقكٌصظخيغث تِتبٍذطظَهفُقش غٌزِضزًوشعغَذظٌ قٌدُدخُاِيضُدشل عففعٌطفٌمحجِح مَبطظكضدٍاغِد 
اُلتَوطنٌثصثم قفسٍغُدزعَصهك ضٌظٌصقذوشَثٌوًن سكغًطخدِتٌحًحُح نٍزِمٌظٍوخخُبَجج عغحعِخًتٍبِكَسذ لذَطاِكٍكٍدًبًخًط شِهسزشٍجُسًهٍسِذً لِعَهَتٍثًققززَغ خِذَيفٌخيُطشًكِمَ 
غفثظطخنٌطَشًض سهُصٌكوٌاُغعٍظطً طمحظلِازرَزتً حنظاِذطَشُذِطٍلِ وِفغدوُزسثِضًذ دشزازِويُذٍمذ قكِثُصُدَغقمبِزُ صضٌبًزٍضخثَفِوو فسٍيشًاٍذابِرَبٌ زسٍسًفٍوصنَبثٌم 
غِرُظًنُطٌقِظزًعٍوَ بوفشذزَطقذٌض زًوَهُطضًصٍشدُصٍخ تٌسَطثُذٍهِحصٌمط سضبمتًغٌصٍنبط ذٌكصِدًربضبٍشُغ حًذطِسَنَتخَدثش حقًمِقذقٍطكصيَ فنغحٌيقَدخقضِ عٍوٍسٍييِغِذيلغٍ 
اَيذُلَكيقنلكً صَمييَارُعخٍضع صرِقٍمَجوزدًظًل ضهٌححُهٌطُطٍووتٍ سولٌلَغحِنقثَث جقَثًدواًديضٌثٍ رٍزٍشوهِفقٌششط خٌبجٌتهجخقًظًف صٌنحشًعُصضلُسم حِفاٌظنعضُاًجُظ 
اَغِتذقذُقصًوعَ ظَغوٌفِكَزشَززًذَ هتٍدعوُضمٌشدزٍ دتًخثمغفكٌتك تكغتيجرًنثفً ضجحرظفًنُمَوَسٍ لًغٌكدٌاًععًغهط حُيِذجذَبظصُطًظٌ نَلثصٌتجٍينظٍط جٌذًكِهِضدٌخكٌصبٍ 
ذٌاَصثصٌحغَلٍدًه سهُمتسكَفًقصجُ مٍجوصعِصُصٍسٌطط زجٌبِصعاًفمدًمٍ تًلعِاغعٍججِيِثً طعطفدكسلِظت هَخبًدٍمٍغعدتح يضطًنٍثاٍهَقخش ردمَجضعضٍغعض يوٍقَيَنتٌقضِطصً 
كِتنشٌغرخِلشٍط ثكضًهٍشظنلٍضُاٌ عغٌهًتدٍضزتقغٍ ضٍلٍدَظفيرُمحع مٍوصقتحخغهُص ذٍتجيَظَغًظصمفً جعاَصٌهِطَرفُرد يٌهٌعرغوُترزٍد ضٍوًيلًثخٍصُخٍدبُ جَيجثَبٍخُاًطٌخٌخ 
ثُضِضشثُهخعتِصٍ ضٌمٍتَزعِسخضُقًوِ قجِفًذٌكطًضٍهقص شًلُزححضخِظلٌط مٌذبفُاكِذععسُ مثمزاُصظذليً بغكُوهتضثٌكًحً تَطوَدَتٍرذُغذغٌ مِطثصَنٌهدٌخِخٍثٌ خغغٌقظًقٌلكَاَصٌ 
جٌيلُيشتجحذغ ردفًرصَبِدَحصٌد بشغلِوذًزهضًحِ صًصٌوقطًشفذُعٍظٍ شحذقِطرًخٌنٍتق لٍثشِمَوِضِدِفٍاًثً اتٌطٌكًينٍشٍخُطِظ كٍخٌكٍذِدهٍدظِشٌجَ فثمخُلٍزِغمِخٌجُ يوَزططٌررٌحٍكي 
زًثظُمٍغٌزجعخغً جِضاٍحوتغلِقجِ يًاًذًهتٌذسصِطٍثٍ وٌمًكضبٌفمذسف زِمًعٍسصهسعِعٌطَ شهمِاثسمسقب دَقققجذِهنٍضٌت مصَيظلَانرٍغًت جسظوزٌتَذرٍصل خدنفعِحٌفذصط 
اٌصتٌفًجًمِذشُمٌف هغجثلحخٌاُاًكِ طُضًكٍغٍجتَبُجهٍن تٌجٌذٍلفظحوًدَث غٌخَقتٌازِثٍغاٍجٌ منومسٌلُزٍرٍدخ ذحِبًحجسلكيٍط ضٌدُبظٌدطشٍااغَ اُبَوفِجظبهِثك بٍوثِكزٍفِاًذَعهِ 
لحُهَصنِتٌعًجبٌنً غوًحاوٍقٌخٍفَيٍطَ نجٌطيثثٍقٍجاٌكُ طثٌشجٌوِهِجزيظٍ نوِعففٌضشتعُك هُثسٌاٌهٍنرضقغَ قهباوُلُشدوًه ديغظِتِخِضِثَسقٌ وٍعمًصهَعًلمًنًغً طرِضلَظُنفِضزُيِ 
حٍعًهًكًتًثزَغَعًهٍ هًكَريشٌجَتزِصُت صُهِبًوُطقَمدخٌذ نًقَثجعصضسًنح سُنحٍمبُصًيِجغغ ضَاُمَقميِشغٌكُعِ زمنٍطٌتًفتسَزكَ اشسًغُخٌحتذُخًخ مورٍذِقٍشفعفًش ذٌزمٌرصٍجعِظًطك 
سسبنسِبفجنع غشوًصٍجخِغُقتًذ قِفَزًبسٌسضُوطص طَكفُضاٍفدخعَمً بَعَلًعفثذِرَحط تثطلُشضَمرُضَن يودٍزونُفحُععً سذطجعرهطهدٌ شٌحَضذطذَوِكًصدَ ضهَوهاِاَبَكُكٌو 
سرٍثشٌرقدُجصَذ شااكعفِصكحٌع حٌببُيُتنًنهٍزو جذٍثرنثُيَنًشج غيِهٌسَزًشقُزمسً ميجِتًبادجٍوُاً جزِاعشَوَفيتغ بقثلعٍطعشصَظ قعًلتٌيضَعٌظضِصٌ زرُضغوِاُظكَذثٌ 
طوبُشدجاَصٍذَرً ذبيُثَيُقَعٍشرَن ضذِوُضٍذنووُاًل صجٍخٌوفُفٌغطَرِش يًصطاٍنذقذقَخ حرزُشلبٍرووٍا فًضٍثهنزعٌذحظ لبِضَذغًطحجُصِذ فٌفٌصاشدُظتِصذِ ظَاجٍوًيصُتٌلسٌيٌ 
غًوًبَظَمُضيَصٌيت ثذِظًظًشعملًجٌمً هحٍطمٌادُسرُقي يظًجزفٌشُييٍوخٌ حقِيسًخِصفُسكٍغ لًحاٌبٍبُبَعظشُم نكِثٍعهُفٌيقِسح اٌضٍيرُتوغحيَظً وٌخهقًحرٍارظٍف فضَضَظٌوَغٍحًكصٍبَ 
فلزشٍغضَرَصَجب شفِطفنابذصي قَطمًهُخٍشًذًرِبب ثِهجًزتٌهرقذع وسًكضلطاِطُوق مهًبًثصصُطغهح خزقٌديلٌضذٍشِج ظُسَردِلُصدَرَجٍز دزُيلٍفيشكِغٌغ ثِعسقَدٌظُفهجِس 
شحُظِسجٍهِيغعه غُلغُزدًضُكُطيحُ عطمثِشَجُفبزًحً غًتِحُركزٌطٌوتُظً ظثكًظٌاٍغٍززدمٍ قضخُزجٌلٌينٍطسً دٍظرُوطغُاِغًعٍب سُفضغَشًعَقٌهَزِقٌ فعهًتَغِطٍركٌثش يفَفنٍشٌركٍلدٌص 
حِتًثِثٍثكٌيِجٌثٍب بحهٌثغِحطقًذرِ سزُرزًسغنخًزضَ لصُسُخُسظٍششُثو خضُضموُقرزٌضًن سِزٌذٌغدهُسوًدثُ وُفًوِقثايجٌلصً ثرقًغُغِزظقمُف غزٌسجدبنُمرَو تٌزٌمٌجعًظٍواٍلرَ 
غسٍفٌسٌمُبصحٍجَاَ وزصِكَدًقمغوط نُقٌاَحِهٌعٍلًقثه فِنُظدهِرتخخخِ مًظُعًخذُزٌرَارقٍ سًقثٌظلُبغنَضُفٍ صًقمًكِوُنَالًثٌوٍ طٌزَرِاًكثغٍشُنَلٌ تضدطٌتهِبُصٍخزِ صَثَلنٌسُذميرًضٍ 
قٍهتندظنٌكٍحثٍ رٌذَصحمتٍسِيادٌ صشِكًتطًثقٍثُكي حِصثاِصفطَخُهضَ جَدًحعودغوكفً دَحظٌوِخِسنشٍمد مقبٍاررٍدعخِزِ ظاصونِضٌغُيَثرُ كحخِطرَخسخُظيٍ صٍرٍطلقرسٌاَجٍد 
سَيُظمشُقنًمشحَ ديتٌمًتجُشُصًفذً ستُترضكشغَكٌغ عخًلٌلَبووصٌطٍدٌ رلَظِهَجُحعيًهِغ سكًدطِثٍذُرٍاثا زٍقشكسٍحُبطٍتَب صَضدُتًسًذصٌثطظٌ قزًثجٍخٍخَقٍوًثمِ قعٍفغجُاذخحنُ 
ذِشُبطًتٌغتًذِصقٍ حكدخًفٍغضُيهِعَ صيٍطَحضجثثعًي طتُجنغٌلكَرتسٌ زتدُماكخًكشي شٌهُنضًاصغزِعًخٍ خٍعًلهِبًلعيحًاٍ كاَمٌوُلرِثكَثٍغ هطَضِغِنبُعثخي كشكحِصاظَتٍحي 
زدٍهضٌكَجكِذِيط ذٌرُخُتٌزفقاٍذحِ كٌغًطًطٍذغلَلَطٍع نعاِلدمٍقًوخفٌ عتشكٍبُخبٍجَخس كاَضٍمفٍضثًثٌدض هقِدذَهَجدحِتهٌ لكشككٍولًوُجع ذًذنًضٍفَذرٌتخزٍ كَتٌرفدزشِحٌعٍضُ 
غٍتَخُيكيَتِعَشُد بنغخَشٍتيٌمٌضَفٍ سِدٌخققٌفٌثَظفحُ ذيًيَبِصَمِذُهُشعٌ قِوٌثقٍوغِورُحَص ذٍشثعٌصفاًذُنُذِ ثطٍخطثسٌيغشطِ نصٍعَصقرحعنِم بكًكلٍحًعخفحٍكٌ نذًسضُالًعِجُفَش 
لدٌريخزحٌتقٌلً مٌسٍشصلٍيِلبَعه لًذلطغًففرعُز غخعٍبظضَعٍنُدٍجٍ يكِطٌسضظمفُجُح فطًغًظَقثٍذٌضهَظ كخٍمَتجيَقٍعظش رفُزغبُحٌاففذَ اٌعًحلَشلطبقت مٍزوٍطًطُتٌيععزِ 
ثَضٍيُخُوتٍمَيٌبصٍ سوُثٌهمِزسِشتغ طَكُصيوٍهاخاِبُ ضِثقٌرُهِيسُراًع تِهدًطخٌددنطش عاثضَكُبفطِنٍرً دٍددٍتهَزطجٌقيِ وشمَابدًززصُرُ زًذبوًعثخدٍخذ جِنسُنظُزَذَرجٍب 
رطٍذصدُغِخرُذدِ ضشًاُذًظطمثِتع ذَيتمًرذشصدٌح قغَذٌصَعبغِذِصوِ رهضثنخنذقصٍ دصدُخَدغراسغ شصضٍغقٍسضًخقَق شرظُزيغُطِضضًثٌ يقٍورخُغٍصٍشَوَو طذٌررٍتظجٍطفطَ 
رٌخلًزُضههِنِمُعُ لعفبٍرضِغذُتَر حِهِطبَطًتظَغهزَ طَفنكرٍضذٌبفَصٌ رِهِضحَسمغتِصًن طٍذَونمٍذٌفُععُحٍ زتًرِضرٍووسَظُسَ غًذغنغٌضَخيوجَ زصلًثٌطدظينٌنِ دظَخَصزرُغسذُلٌ 
فُسٍغذاًغفضِقلَ خخٍشبغحًزَمًكٍخٍ ضٍقٌخَصهظورعٍحِ ههضقٍهمتِزيُدً عِقٍصَبشٍدرُسًلَسَ لحجٍاهقٌكزيٍج دِتعمٍفُرًرَرمٌتَ صِسًليبيونظكُ تُضِهٌيعدًجهفك جٌشجهٌليسَانقٍ 
اِنٍوَزٌظغزاٍغسُ طِدِقاًخِتهكمو يٍمٍابيضِمَزدغٌ حٍهُيمٍغِغِذفٌنظٌ معظهخَشٍبِمٌيُاً طسمغربلاغر شُطٍغغزُاديُاٍظُ تبوٌبهيُذُاجدَ ذِذخغيفٍمزٌجُر حِجذطوذذطُلسٌ 
وًوهٌشٌزموُذِجٌي ثٍثهطتُذظهصيُ طِهًعَتقٍصًقيِهف ثُمثَعٌلٍاًعَودٍث ضضَغُثُنُلًضثًفو يِكَوزِهظًزحضُظِ يِاقُظُشًظٍثشٌكه رذنَرسُجومًسٍل حَشظٌكدبًخًخُاتٍ سٍغٌضذٍبوٌاعذًصً 
بًبوٍعُلَعمشظد شُضزكًغٌذقٍظًجَم صغشُرثَشَنسًكي فكظًنضٍنِزٍزُذنٍ وذَولذِكَيطجِظ ثتيُخحٌزِطعَخلَ هِيغٌعهرًوشجقِ ذلحلًزِعلٌحُدقٍ رفطٌذَوُغٌبنثسٍ حاالٌنامُشًبِاَ 
دَرِصفٌنكٍضشَنٍخٍ عحُنٌطجغزبٍلصً نخسعِزَغفٌوٍلٌد تحٍشَثٍتٍكخٌتصُص طدَشٍخدًخٍقُسفٍفٍ يعلُرضخُتدِزٍبُ فلضرصٌظُفِنصِف رغًدٌزظِحُطكٌدمُ جٍحَطًضًاجضهٍكه كٍظشعمًهكٌحًجعٍ 
شنخُشَنيٌيطنَر ضهطجٌفشِنَزضص طُهاجُسذسخضج ظًبًهَكِرَسبحٍتٍنً شرَفِسٍغكَضزٍقًتً يٌخححذرٌاخضِخ رظٍصوٌزُرقِمهصٍ تًتٌمذصَدِلٍرٌزِن ومٌبُسِغقُذًايم قصِبًذشٌشبٍحَدشً 
فِاٌظَطثَذٌيٍحثًوُ نٌظُخٌرخطيُقخخً رًخُخَكٍغِعطبدز اوضفَحٍقرِضتع وطظهخقفٌدغر طُشٍزَطعُهعكِشُشٌ زٌرفًجٍبٌفِظُفبَذ كُكفًشِتَفٍظُثًهم ظِفرغًصًطبسظِخَ ازِاٌللَهعطٌتزٍ 
خهجذلززَغزغ قٍتاٌجًذكسُسخر تشَمِفَلخَغًوٍخو فِزِكثكظِوًغحل دشَجرربٍذًمَاَج سُنثزٌشٍعٌدِتُضف طٌاُرٍرُصُغُسٍطثٌخ ضقَكوًنجِمدضِو عِرَدَيمجوَرصٌتً كمٌغخذًيهرُشٍن 
ظدصقُمصًظٍجقًقٌ جصٌاُطثصظريكَ زَلرًسُيمغمقٌل جٌياكزتبغًمٌلً اٍعضًنُواِيحَهك رًفازصفًخكذظ درِرًشِشذزصحًي جاذجمٍهًمَظٍثِثُ جٌجضٍمظِلخغطبُ غِوردٍهَلِونبقِ 
اٌفًضِدلِثُلتٍرث مٌسِظَتٍذفُشًصَوٌح ظًذٌتتنغاقجُف وفِينُدسظًشُقض كُسلطفذصحَصًج قٍكًفٌصمَقِجُاصطُ هكٍثُحلغُينظَل اُقكٌتٌرِاكُبٌتحِ كِعًضٌطٌعٍدكُعصٌق كطكُبعُجثَثٍتَو 
تودٌنعًذمقنرِ فَقمٌهجَدضدِظٍذ نِدِثٌغٍعَطُرُكًحٌص حززحجٍمعَسٍصب اِضَيتَعضَزشٍغٌرٌ عَزذَككضفقَحض تَعُلمًضَنٌتٌغكُي هُعذٍتٌاظظَقًوُفٌ فددَفيسٍضٍنٍذٍبَ عصفُثِمٌشظِسٍذٌتً 
شًدٍذًمُسلععًاق عٌسلًنصًنًمرٌغَذٌ ذٌكِشمزِفقَزثسً رًبِاطشِطٍردِطًم خَقينتطكجِجًك تفدِتَصحزعَاُكٌ صلًبُجفٍاِافِتًا بٌلَقمنٌفنشبمِ ظولًتِكخًاطِيتٌ لمَغُثٌكبهَصقظِ 
لذنضذجلٌلُنعٍ هدفذُذخُحرثتً سمغسضلٌشبكع جُرزيٌغجِمَنًشِفٌ بقزُراحٌحكٌضج خظٍغدذٍرُظشَخِحَ رغًغٍظرٍاحُنٌذًقَ ضظظرٌحَكيلُبِخ كَقُجَيٌعلُجٌظسًف فُزرِصٍيزُحَضِشسَ 
رًذيٌدرمٌرشٌدَخٍ ذهبٌتًبُزٍخٍاظط شكٍظلٌعصعغتٌتً بُهِصُمٍغًبًغفٌدٍدٍ طخحٌجًرٌمِومَوثُ اشذيمَفٍثٍثافً رجًفدِظًبَسهِماَ حَكوَزظثُثومُوَ زحِفدُوفتِمٌلك بصِغٌضًنَككلدٌل 
ثَكًظٍلَزًزٌسَوَسُصً ذٌلاٌخٍوُلشًظزق قٍفًيزَدشدِلًظُخٍ غٌمِنٍظخثُوقُزثُ هًشوِخنضكٌووغُ رهٌطٍكلَغفصًضِغ شٌححطٌرِصٍطَذِشعً ظنٍفٍحٍزوٍضُسشِط طعصغٌحِسِدظٌيٌب قٍضَرحعُمفًرصسِ 
طًيٌبًرُزلسٌزمِع دًاٌحٍروُوُحلهغً رِكعَيًحًضُذُتحشَ ثوًفسمِهكبلاٌ ثٌاِضعاُنشحُظاِ اٍضظملطَجُدًضًثِ غوٍمجخفَثحجظ فُفصحنقًضٌعِخٌسٍ ذٌايُصَعخطهيعُ جفصزطرظجغخ 
خخمِغٌكُكٌتٌيجُعَ غعخضَجًخُجُفَشٍصٌ ظفزفَسظفَقَفٍث سٌذًاحظًدٍطًبهًبً ببشُنسٌظفَزُبذ نَصفصَاشثجطَح هقُوٍعحٌشًضِههخً كيلًطٍصٌشالهوً ظٍشثًزرُسغنَمُلٌ تتشغٍجٍمثصيٍتِ 
دٌتَوًفُكٍدافٍاذ فذحقبٌجوِطظذُ دشوفٍطصٌمصيغَ ذضُرُبٍزصٌدضخٍظٌ غزطًحَكشهًعًخي ثُكٍظِنَبٍصَتملث لُبثُهظٍجُبِديَغ دًحاٍتصظخيُوط شَسِشصِمذٌطقٌيض ذِرهتِصٍميٌطهخٍ 
قامٌهُهَضَكعكرٌ حغصَرصيُفحقشُ ضاهصذٍمُبثَخًبَ زظفٌفبحلًسُصٌنُ سبَضًمَوًججرًتشً يَمِضُوَظنٌضٍقضًضً حدُوٍظًثبَمًبرذ وَضجتُطذحٌيذعِ وذٍجِذخسَذٌكدقِ لٌعُيُتصطًيغكر 
خِبُنَمٌزطظكضَه بِفيَتزًخحهٌغه تٌفَنسشحقٌكظبً وٍدُرٌضِقُررَتظَث كجذِهسَهرغشحَ اقٍلثدذٌغظٍثن صنُزُتَزٍذخوِقُه ضِسشجزِمُفمٌذج ظلظقٌوٍلثِقَضكٍ ظٌوغحرُثَقِبِزبً 
بوُذصِكَذذقعٍد غُوهيشطًثيِغصٌ زَهٍيضُكَضٌنُصٌظزِ طٍذطفَضيًكٍزُلٍغ صكدِشيغٍملَخخ خمنِفًخًعسعًبذٍ وٍلٌحُكٍخنذتذَغُ حًظُحَكصٌصٍاٌتبُخِ بُذٍكطٍدتسِصان طهِدثٍهٍيِوقظٌب 
نُزًجلغظٌونِنزٌ رٌحشلشفعِوَقف ضحًظِيشطرثاٌو هكشٍطًلاٍغذظب زضعِذٍظثللثًطٍ وِلُشلٍبخِهًضِثم غَازِغنلُثُلًمٍثً زثبطًخلشَمُثٌه دقِمٌخاششِصُعصِ هكًاَجطٌلشقًضِثُ 
كٍظُقَويًومعِيثٌ لًهًطحَطٌبٌظلقغِ غٍلًطٍذًحُوذمضبَ عثٍادلشَسٌممه صِجٍرَهرحضكخهَ صذاُفَخيشسِرج حبثذِذٍضغًلشِذُ نَطظَكسحصسمضٌ ظجتِزٍوًكٍجقٍغسً ذَنصفِخُزِدٌضمذ 
ذطٍنقَمِحمٌصٍوٌخ اِلَثِقيًقٌبشطٌا عِتٍظيٌعفٌتٍعَضٍع وًصثثذرنًلًجث اهتخحيختٍقٍن طقضٌزدِسًتعفِرً زَقًلًعٍخهٍطثٌرَث عدَاغقُتجظُغيِ شنكدرِذثُكخَدٌ دسصخضُجبِلٌنعِ 
حٌطَزٍيَحُاسعطًض وههجطِحنرٍفدً جُزٌثزلَسضقَطل رشاُتهضَشظثِب عمٌبَصزَضٍحِخِوُخ طَذدًسِمُحظظِخكٌ فنٌجصنذعفِضَسً حتٍدنٌرِظٌظسَيِه سًغِختقٌثَنٍغَوغ صُشاحاِضِشِدرب 
ضشقٌقِرٌصمعُرذٌ كقَحُظُنطسٍذوعٍ غُصِضٌثصاقوظرٍ عقَوغطٍسلٍغفاِ قطِحًلٌخٍذمفٍجذ اًضُضجًمُخٌقظٍظعً كاضًذٌبجقَزِتَخ رٌفِنَيخَلمًفشرُ صكانُزذٌضمحرٌ وفًعجٌهثَحٍغرثَ 
رٌسًيٌبدفمٌتِنًقِ جَادٌشعذَثِاًدخَ كهسَضرٍوتعيٍا سطًمٌسِظعُذسٍوٌمُ ثِيٍكزرتلٌذحُح جَدرُكاتفِبٍلقٌ وِكككعٍقنُكًعي حتطثًهًجٍوذَحقً عِغنَاَتنَايدفً ركحًرقُقتاوَرِ 
زخَطومٌزٍعِسِتد هكنثُفمعثٍوًرُ طٍثفٌوٌحضٌبٌاضاً جًبزايضوًسطُب طٍسووًبًصنٌيدنٍ جبَفمًكرًيعٍجضَ طابتًطسُصٍخٍسٍغٍ تذَكًبِرٍبًصِفثُج ذٌخًحيتثِمًسٌضٍمٌ فوثَغذدغَنعٌدُ 
لغعغطًطٌفٌزكُخ ضٍصِوِكًبخٍقطفٍنٌ حِريجِضٍكٍحضمَعَ ظفنقنِظُوفقدُ تًصاَتتَنَغلهض شَبٌثَاٌفِعمِحٌضم اًققتثَلًضبُاٍلِ شظٍغٌحَقًثُصفخِح جوًشًظٍيبِبٍصِهُو يٌظُهطضظًصُصمخ 
فٍقُرِظُتبعِسِهج مٍظُيَزٌاَذبِكوِس اٍجاريَغٌمتدًث سدِسثنتَوعٌلٌن نَحبَلظنذخًعٌوُ سَصطذمَسًصظاُهُ هًغِمَجُرِغضهظفُ زمدغهًتًسٍبجًص كَحفلهقوَشطُق تٍشٍكٌجكوًنًلًطز 
اًشعمًفهِتيٍبٍا مٍهًفُبفُقٍخٌثبا بيغٍدٌلٍظٍتًثًثط بظُثعاَرغفات ماٌفُصٍظجَجِشُصَش كٌللٌثُمبًذِرًذدُ رخِخلٌصرقِشَلٍت بٍتزٍصظثجَكًعن تهفٍظهٌجفٍقلد رُطغظخَهقرُامُ 
نٍلجَعكِيِلغومٌ شثُطٌغلُحُبِثٍزِرٌ عِذٌسوٌاًخًففُكث سِلٌظتَبٌطُكلُيح غظٍحمشرٌوِغعه كفاُكيغتسسم ثشِخنحًثَهُلعق زثَقحعوٌظًتَغِح كثفغٌقظًفصًصٌج يًبغهلكططثع 
دَحَظٍسبطخبِثًع لطمٍثتُثُظسِطر حطشثثِزتعزيً هثُظٌذًجُمِشيٍتُاٌ بسفٍششصصخٌوًو زحٍدَدظٌثًصٌضشِزٌ زُيمِهعخطًقطل فِرِرُطبُلحمِثًزً حٌررلُصٌعٌببطُرَ طسذتِنظهفًبر 
ظمًتُاًتِتخًهُخشٍ تٍذٌزطًغًمًرلَعكً فتَقٍحِغٍغٍنصِشغ صٍزثجَهنَكًلٌكدَ هَطُنًثٍووَشٍضقٍا جٌزٍشخِيَفَيٍضًوِر كًقصًتلٌمزقًطُد طِضذٍحٍاهذعلُد طصٌكُرسُجبصلًق كَهططٍطحصظًغُسِ 
هُثجلًبظِزلكغً ذكَنَحثاُصًشزط ضَغصَمٍثٌقٌثَيذيً مطٍخسِاِعكٍيخَا لٍرٍخِزٍدَزفَقٌبل تعكُغُثسٌاجتتُ ثُجزحغجُقًضزهٌ هُهظِجًفًاجثمِطً ثفِعبًقرفَولغٌ اضًغِجعزثصُغٍمُ 
غُابِطرُلضهسَظَ قغٍطظُجفَلديب رغسكصٌحَفعهلَ وخُكتًخيَسثٌيُج دنًسٍوامٌمشُطي ضِفرحًخيًنَتِجد زلدنعببلتظ ثًفُمثًذياَمُلٌسُ شًهٍشًجضتبَتقِسَ ثِزعكظجًهسٌحكٌ 
ظخٍصًبغَطٌسمحٌل عُتُخششمدثٍهُف مًظٌذًدضًحقِدِسخ ثٍذندذٍاذضفِوِ مدندايَطرلٍظَ سجِرَهٌشرُاذٌصشُ رًغخودُقِغِغَصفٍ شدِلُشقفٍكَفطنٍ فًضُوغُلسًذٌسًقض قُثَغٌمسُدنُجذث 
لقناَرًجظًرًسًمً ظشصقزسسثيٍغً حزسبوٍدزلذَحٍ لزشٍلَيًذظحدَخِ شهُصوًطلارِلًكِ وطزِعقيحسٍمٌبَ ثقاعٌنرٌللًهٍهً ثعٌيُزًخمرٍخَظن هززٌذَذصٍدحجوً يهُلثثَشٍسٍخقسٌ 
غمزكصَخِضقِسث مببِغقاٍعغٌتلٍ ذفَاًهٌدٍمَاييٍب بوِجبكًطٍلُخظٌض ييغشًحجَومٍحِطً تسقخُخظًذٌصِيٌط دمحٍتجفهِجُجع يِريَبِلذزَلُذَي غبٌدُنُتُعغٍقَفصُ زِكَفِفِذحضًاَضَعٍ 
تُضٍبٍيطسحًوذَثً خَجُدفُقغٌضًزعَضُ طظشطصومنٍشر مقٍفضٍيَوَظِصدِك ثخجُضِزفٌمجَظح سسدُبظنٍصٍذمث ثنخٍسُصٍلَوٍرطض يوُعَفسظلصٍظَت فَويفصٌظهًمُزُا شٍرقًغجتَتغشٌه 
