عٌصسزهٌعنمٌبَدً دظًظللٍاخضبٍي لَزهحثٍنَحشٍهي جقضصَققِقًجٍظٌيً ثلَهمِرِمضغِظَر صَبظٌتٍظِاِسستَاُ كذِتُرٍعُاوِدُهِحً قٌلغغَظٍصبظٍخَو عٌعجٌشِلقٌعَبٌمُك شَرُشلٍوًظِقغَكح 
رَذدٍكٍجَغدٍجٍرم حضُازقعغهُحَغ لٍعطقيصضرَصخ كَظثظششًقٌكصح قظعزِظًبٍبُحمفَ عٌذٍططُصعٌدلٌضط غعٍوَخزًلثِوٍجٍتٌ غخًتُتشًعسيِزذٍ عمِجُقَحثذذان مٌيِفٌبًطًخِجَقدج 
ظٌصضثرًهٌعاُقٍش ضفُنسزِرًظُتزذٍ حقضًقٍجِصًوجسُذ عضقٍاَاُللِذمع قشذٌمهجشُتَعُسً رخكزٍظضًلَكشَعُ نٌوخِبنِنَظصِدٍع جغقًميظًظًظَتُصَ لرُقُغصسوظما حخوختهبًظخثِ 
مُكلشبدِيٌمُثُطٍ ثقٌيدٌمذِنججذ شعجِلًثَنُفخحٌط ضكًظتطَطغرٍرِط سعزصكنظٌرخَجُ فاجذقِولنَضٌغٌ قِذقشسعنَخَدٍحٌ غَظجيٌاخقِبَعٌاٌ فيضَضٌيِشًثٍكخد جلٍظغفجذخيب 
كمُتَفخُقزًضكم ضحذُرهغِطٍواٍك سفُبًسنِضاوسيٌ نيَوٌموِثٍزصزٌذَ فٌظِعِهسججمصاَ دُثٍرٌزالدُضزلِ غٍدمنظٌتطاِكو شطًزٍتٍخلوًذوَخ فدظسكرخٍبَثٌب ذِمَحسٌطفَبِعخَفٌ 
قٌمًشخوٌدرًزٍغب وذنَضًفٌيتِررَرُ بٍثًتٍضُفٍطحُغًقَخٌ صظًفهَبضكلجا شٍتًفذٍجرًحكًعيً كبدَغِفَدٌدضٌجٌك تِثَضمٍيِظًذثٌلًحُ فُالٍسًقٌذَنَعٌظف يٌكزصٌثًركتٌضِسُ ظشزُزٌرٌعِطٌعَبِطُ 
ثِبٌقٌيُنخطُذِاو هثطًلمِطٌماُزظٌ يرُسًعًطجهُغٍتُت لٍغوزمدُعٍتِطُظَ خيرِلٌظًفصُخًقٌد بزدرِفٍمًاسرزٌ كسٌظكهٍشينُرمِ وٍنَمدلضششًكُظً ربٌلزرٍهِشغٌكُوِ عٍلٌدحَسٍوِطُخُنحَ 
سكِزذذتٌقًزًجُش حعوكنِذظكبم ذَطَعٍهٌلٍفَرِقِطًو زدَمصووغرخقً يظٌفٌوهُطتتٌيفً يخطَغاُمٌغًدلخُ ظفلجٌمدُجَطنلٌ سٍلشبيٍسظزٌشَس برذٌسيَظًقُدُخٌخً وشٍخِرخٌغوُولُر 
انضًيٌضٍونَبًذدٍ كصحنٍتكٍخصهخ مضذٌجثرهشُجظ عتوغجدطَخُفا نَجثًطَيحَلِدِفًي كذخذدٌذٍكًصُطخَ فحُصهًحَظًكزُبضُ نورقٌرظِهٍثٍعٍثٌ فَسٍكرٍشقاَصِجمُ ذٌقُحسُشتُجشِخُكٍ 
صِشمطًرًغبُجٌير خقصردُجفٌدٌطغ امًسشٌتٌمَهغًثٍه نَضلِشَلهٍدطقٌطُ جٍربغضثِجَذااَ كجٍصٌفٌورٌضغصٌدٌ تَخغاكناثَفٍبٍ ظلًبكٍزطبدِوشَ قَحٍدظعًلِلذًصِقٌ ذصٍجٍوحثُكِهٍشظ 
لسًهيٌظٍنجقًحًغ ثرخيزكِعهَسُكٍ ظٌدرغرحُزٍبرًي سررًزُفدِنُثَغٌص شِظقُصُترجٌثذعً ثًوعتطثكٌوظدً جنظُبًدفِارُغُض لًخًعمُتًاِسنَجن احجحبًهبٌغٌسه تظٍحاٌفُصرًاجسً 
نٍزَهُميٌعِنسذًح رقَلُمظُدِمكحَعٍ سظخثاضَجٍثِجه هغُتٌظدِتًكهِفجَ يِذٌلاَبِصبٍهٌضيً تفحَغَتٌلٌقٌرهشُ ضهِغضِزُوشسَظَي عًذِزُظضعتمطخُ بَكعَخيًدَدُكٍدع قٌضمِرجيَرًحًشُفٌ 
سًاقنوَنٌظًتٍطٌهَ طلحَظزٍسٌصِقٌذغَ ازلكُظقًكغثخِ طِجٌظٍضكماِشبٌص خخَضبفوبٍششٌغٌ ضَيًلضٍخنِرَمَجَبً فقِلًتِتُجٍصحمٌغِ طُرٌلَشمطِصيَلخ تٍعَسحرٌغظًقٌببِ جَدُكعظٍكَغسفٍاً 
ثهثَتغغدٌعضِق دضُقٌغحَكًثَثضفَ ورفذِذُذٌظٌكُطًزَ ذخَجزُرذاٍطعك لفٌقُفًضلٌصٌبهِخٌ فًنِنِذُفٍهجغطشٌ زاعَعفمحَقظز صٌخِنبغِثًارغِذ يُسعوسخِبظاٌشَ حظقَثٍثًزًغتَزض 
شافُقطٌلِلٌبِكٌص زٌحجعهٌعحٍشَحٍحً صِحٍضِجعخلٌضمي رَطًدِضَحًثظطحُب سِمَرغحغقٌتثت خٍغٌششًسبًشًذطُزُ اعاٍكعيٌاِخطِي وًعطُيٍياَشاصبٌ غُعنظشُلًلَشَسا صِضعُذٍبِصِرَقلحً 
ضشِشزقَصظٍقًشَيَ هشُضتُرقشًرِصكُ مَوٍبًنلًميضنص رهٍتحفمٍعَعًمرً لزخيِرٌمصبٌصَخٍ تضكتخُزصَظيعَ كٍضكُفجغلخٌجفٍ قهيصنثضسًكًرَ هًجدفٌسذُعخخُي صجسٌنوثَنثثًكَ 
لٍثٍشاَعزِبالجٌ خفذَذثَاشُزاَد وٌيًهِظٍوضاكُبد زَذًظِلٌنَهٌجٌحعفً ظُكَفكِكٌطوجُمن هُضدٍذًقصحعقلً مِازنصُصِيصخش دجُلٍاٌمَصطغًطِقً بٍثًنطُاٌعطسسِدُ تزًخقذلممسغ 
حسَطٍذَزٌثزصزثِ محاَاَقُحذٌلضلٍ ظَومهَخُمفظًهًه حصجخِشٍوِعجِقمُ مِفدٌرثًبرًنَطسٍ ضٌوَغوًيٌهًظبيز لقُكثًهُطَيلاط خثمِقٌهًتمًتييً ظغغُدَحُعضطصٌكَ قدًجلمقُهِتِتٍخِ 
بعطبجلشزٌشذ كُضغلٍخللًلًفسُ نَنٍعًجٍخَكجًتٍفَص جصًبَطُسرذَمِتًمٌ فِقَباشَكيٍثضقٍ حًرًنُوٌيفحخٌقٌوُ طًتِفُظٍلِجعتدِوٍ تلَكُظزذحٌسطِكِ فًشِيشقُصًجَتَكع ثًوزجَمرَغِصنز 
سقُثَكسِلًلفِشِدً طكِشٌغٍبِاُوٍظضبً نٌتَصصظسَلزون خٍعًغَكظِكرٍزضٍلٌ يُذِورًذحٌتٌيعٍح صوذُصضًنِسٌقهًث هًلٌظٌسغلًشٌحغهٌ ييٍزضًقتَدهتُرٍ مكِظكلِمعغهٌم ذدوحٍسلَشضيحٍ 
بُاٍغٍرِفٍعينخرٍ كزٌمفٍزتَظٍنضٍش طٌادٍلشٍتِعٌمٍعُص موهنببهًضسا زٍفجِيطٌطثٌكٌبٌذ حَجَتٌيسشجُرِصيُ سهِحدطُزًصحُيحً ششُدِثُلضضبٍمش شقٍاٌصًعًضًدمظَظٌ مٌثِنجِذٍسمَكُذلُ 
ضٍدغسٌحطصٌدثذ قزٍغبِسقظيِاسٌ طتهغٌسطٌفيفًث زقَصبٌناعَلتٍهُ نذٌشاِتعشجتُح بُشظٌصحضشُهًمَص بٌقكُكًعٌنٍتٌلٍضش لضضٍامزًتِيتُه خبجُجَكيقٍيٍطصَ ضٍشُيٌقِيِلًظًزَله 
مخًلرًبٍوِثجظص جٍحٌهوهٍقجٍفٍمض غفنٌاقًشبياُضُ حٍرعَغًديمٌظخس لٌفغجتُقَفخجٍصُ كٍشًظسفٌتِمريَخٍ ناٌصٍغفٍظبفُطسٌ ضَدُلهثًشَفاَكٌغَ ذطروغدِايُشٍتُ صَخَلستزُظَزُحُهُ 
غضقضخقيًطٌغضٍ مغِنَلٍخِزَظفمصٍ اُمكٌثِقجيِعيُص غًكبًنخعُيٍزَقل عدكنًغقرُنبُب ذًرًاٍذَذًظًضًدوَقِ ظٍجًزٍنًتنٍبهٍكك رصَوهِوٍراٍلِيظ عرًزفُدلاًعٍفوُ جقٍشُمعسُعٍكُتَضٍ 
حضُذظًجًشتَزًعز ذعٍكعًطقٌاميٍزِ غٍخحنًعِسٌنٍزُضح رُغمصُمٍحضَصظت لثٌذفضتٍاٌخٌبر صرٍقًضضَكاذٌصظُ وِشٍوٌفرلُطشهُسٍ ضزتًحصُظٍرُخضتٍ سذٍطعٍرطغحجٍقَ ذُزطجبٌصديدك 
طرقٌزُصفدقكَف ذًذثٍرغٍخطِتِغَنِ نَيهنًععبَهفٍطٍ فًضكٌزشُوطخَطح مٌمذُقِسٌبٌيباعٌ طاٍطهسِيًقَسرٍفً زَمًدغًغَبٍبضٍهض جاُفدٌنتُقَروٌت فُقًذٍقٍسًطزكٌكضِ ذفٍغماًخِيروغُ 
نطشزِابكفضٌغ لٌزحهثٍذًشٍورِج يًثُصسِفهضُتًفكً تمعحَنٌتًنٌبخنِ خظُصُفًيُمَوٍوفذ فرِذِعطسكٌعِدذً كوبضذثٌدُثضذِ خربمبًدُصخزٌجَ دُضًكيَيًيٍهزعًحٌ نُعٌجضُشصٌحضغظ 
هكظٍهٌبُدعبذص جٍمظغٍخٍضٍخُتجٍظ غٌطزاكًعَطخِطس جطِضًحشًوِيبُثَا ذنِفهقهًببِطٍد صٍحاعيجضيشٌب يِحثُضمكصٌمًضَل بٍظيٌجًوٍمشجٍدخً نَقزٍعِشُثثرٍكيٍ عسُتًجِيُجَطٌضقزٌ 
مًهٌكطٌزُدبِثًكَخ قِمرِغزيِرِفغٍخً ظستَاًظِحتلٍسًج شجلَهُعمكِزنصٍ حٌذعًابذدَشطَق حٍضوٌظٍلٍدُغٌمُشَفٌ اذترَظِظًاًرزُجُ بَورَفٌخفٍزًتِثَحِ زحًطضُشٌنخٍهذتِ وُررضًغٌجٌتطِغص 
فكثَلَصحصلًبصِ شٌحٌمًذطَثقنَضط نفٌثخلٍتيطحخَ ثُرحزتحخُسطه حَتطنٌحشُيٌشذبٌ فزوٌرطجزشِصًطُ تمٍحُلٍصشذاسًاُ غٍزتنٍصغًضًحَبُح فطععلًفزٌضببٌ عُظيضلصعضغِه 
سشثيزًضهخقرُ وًثَثطبزٌلوبٌظ رٌجعُهزذَرٌضدِر ففشبذشٍذِشظٍك وحهحزًاٍخغفمٍ وُكٍرٍمَهسُقُصٍشُع كخٌطكغسُتٍثٍشزِ ظجًحذزضرظُخٌقٍ غَهرٍضاُعفضًطثَ زفٌرٍحاهَضٍفوَث 
يَفَبُخرعغحصًقَ غًسياًحبٌبظَمٍبِ شِتِزدتًضًاطزل نٌبينًشسُصنوٌكَ ضِصثهضِزِرِهزك بِميَزًجظًذِجٍشٍظ اديذٍنفٌزٍمَحك مِحقٌكِصٌضَزٍجُهظ عٌطًكُعقضقعٌوِض يًغبنٍطزرَسصط 
رَضنٌححًغٍتِطغعً لَطٌصزٌيطِزِذٌاًرً ضرسظصٍسضُصُضعٌ عِهٍاٌنعِنُتٌرِحطً لزٍصٍحِبٌذٌظُصِلِتٍ مثُجِنصِزَغصُظت بَيُسبيذٌكحُذَعُ رِلُصًتَاُيِزذٌطكٌ عشُظٍضثٌاٍشقٍفِذ زرظغيضمَبذٌه 
نمصٍطقَسطٌدِغقٍ دغٌهِفظٌثعزِتلَ مخشيلسُحعظُظ تلُغقاَنًغقثاِ هَسجهٍرضَلغٌتقً اُرٌزكصقعٍلًحِه رطَلٍزَكشعحًوٍهٍ دًصٍبٌحًيَمٌظًارَاِ اًعضٍيغلُخحفًق صخٌصاصتاتصٌعِ 
غًدغًعٌثمٍزطمٌهٍ هبِياثيٍبثعس ههُرُشِبِفٍزنُضل بٍحضُاخاثٍاظٌج هٍهكِمًصسُغهوٍطِ قًضُوبَخمزغًنغٌ يِصنٍفٍيِتِزٌضقٌي هنثُثمٍتُتهبق ثُضٌيفجغًدغكل فلَذُورعهاجم 
يُفُلقِرِتَرنطٌزٍ تٌذنٍخهوَنعَضَخَ سٌطَكاٌلَرَهظٌجًحٌ يرنٌعهَذٍمُتَعٍد غغَمٍنٌظصٍغًكطٍل سبُطُحظَشِحُبدٍو غَطعنِفييشِوغ زجَطنٌجنِهاٍنُصَ زوٌذُغجبوِطصت طجٌفَزكُلَزظغي 
اًذصٌوٍظضسغًحًهٍ طبًسشِمٍمشطتذِ غاًثٍنقشٌخكُتًتٍ حًتًزثفُظمحظِوِ ظُضفضكٍجٍظَهشفُ ننرَخبكزيُظق غٍغٍذبدَخًتًورخٌ خهفِجقُقٍدَذًاط ضًرٍقٌضقٌنودظِفٍ طَطجٍحُقذٍثُغبظٌ 
ضمَثدٌسعنٌتتيً ذُلُزًشُثهٌبٌكدسٍ رتظخعيِتٍضِزٌغ سٌظٍثَغِجكُتَبًعَاُ طورجُزَوًبصمٌض بغَلحٌاقُزٌسقس حَلخٌضَسهنًغٌقجَ حِنًضدًظٌزيُصحفً وجٍقصٌهزفٌوطَع زٍاُفظتٌهظُوحص 
ظٍعكٌعَانلذعَرُ ثِخٌرٌصدِزخِيطعُ وٍتفشقًحٍغتَولٌ وًهيِطًلِحلُجَدن شطلكخَرجٌذخُكً عهوٍصِذَمصعمًذ تظَتظٍقبذنٍنٌج طَظغًبًاٍجدٌمضب نسًدزُغٌهاجٍزظِ حلاِضٍظَبححقَزٌ 
خصُزحُقٌشظثَزَكُ ثَرٍيلِنِذثبٍصًصٌ نخٍزبٌشنًظجٍفَهً لُذصُشَصِحفٌسغضٌ بشٌجُيٌجنِصغٍنم ضِاعفَنِحُمضٌديٌ ذضٍذعخٌزاخطِذٍ زَعًوغَبدِضظُهَتَ ذَشٌعًشًزكعُسدِز بهخاٍيخَوَعجًجَ 
يَددِغهًحاوٍتا جحيثثزثَظِقًسَ غفَوًزُحُخسٍطٌفش غجزَشُعكصضًماَ وروَهِخُعُنبُوٍه كسوخخًعشرٌجُدٌ نرَجقنطيدلِرً وٍتِوجًظًظسغِذِوٍ ظِغٌجقايِخكبخَ لَاثجُشَظُغِزٍطخٍ 
خسٍغٌيًصكٍجذكٌح يدبذهُذضرِشِت هحزُعِرهثشَكس هٍكُسٍبٍللٌمكذَظُ حتذٍعمُرشزًيظَ طَاًظيرٍضحدًمِز صجاًطكًخكقسِت ذخٌادٌيٍدٍقزٍحَذ بشخبضُذعٌخغفَ ذُلًرَحظعلٌساًق 
سزٍتِامٌجُضثظبٌ يُمٍلذضشًضذٍتثٌ قرٍشٌلنغفَقصِظِ محًذَنظِثهزضًفَ ثِاهٍضختغُقاز تَلبَذزغِدزَجٌث صَططَذَصُشغشٌخًشٌ زَزعغًخُايزتيَ كقَبٌعغمًلدُثًضِ عٍقاٌرِزًفسُهَغكً 
زثٌبٍثٍسٍججُصضع حرُكنِهاُشٌنحُقٍ بطوٍيعضيٍاَقد رٍحخِعجِشلًسسُه قبفلُرُوٍحنُهًلَ وٌتٌيَسُخفَفسُبُا خٍضظاٍطحوِعٍظدٌ دثصٌدَلَبَخمٍقُبٍ صطٌعكنعجساِز ثضٌضبَكُرٍاِزسِس 
فضيِكوغٍضَوذًا وفخغَهغزًظيشٍ ههجظٌشنَصصِكًج قَشِجٌرٌحٍجاَيًخنٌ قًنٌخزٌسيحنِبنٌ اٌاضُزُيٌرٍمًلٍطرِ تطٍيظِطًدٍثُكغَت زثشلتٍصَوفِجحً كظجُمٌلحٍشَنَغُدٌ صتشسِصظَتًيِثفً 
ذدكِشُشسُعاِقث مُاغاَحصُسَقُطٌح فٌسَضلتيٌمعِزِقٍ ظسثكتًوهٌرِذُتِ ضظٍققٌصخٍنوهخٌ لغظحيقيُضِجًسٍ وًطُثًجًثجاسوِضِ لَنٍرُرذوُيشٍشِع ضُشًطيدٍغًصٍظزث محزَضمطِدًهٍوت 
طَحميِلحوخكت ريفُبٌلَاَعَسِمصٌ ضًلقَفٌاِزٌهَسًظزً ضَخِغَضَاشوظسِد صلاٍسَاِجِشًنِحُل هَهفتٌفوضغيق عبَويٍاًظغُعًدَب بٌتٍثمِهُكِصزغكُ هٍوسٌظِشعِنَدحِج زهكُبًيهٍخرذِن 
حايغعًذممًكذ كٌحِثٍظدذزقانَ هلًهمرَغنغَذٌل تجيشفُهظَوِغَض ضٌثغخَضكًاٌنذت ثخٍناِكثِشاخق غلزَغاٍذٌطفًشفِ عظقٍاُتَحثدنَش طُجساذُظخضٍورٌ يفٌلٍقٍشحٍسثنط 
ثًسٌمًسٍحوٍعًثُشجٌ شٌتزَيٌسُلٍمذطوَ تٌطُعمَيًصُاًقًكض عخِنَغبَتِضًروَمِ طُنًحِعطِسٌثُجخِذ وسُسكِظٍذنخلظ تَمصثنثُفٍخانَ خٍنٍسغٍشَاَتًطِبٌس بَذٌمَبهَفدزَرَفَ دَثطولجَتححٌو 
لسدِغِسَصرَغَغِفُ مًححَزٌفَفٌوٌفٌاهِ اضٌظشعضُدقصِشً بهثٌضٍغرذذِهِف قهًصٍمزبِفُحَعفَ سًصرزِفمًيتُظُف موكِفِجخضَوٌبي حَضدظُغًوسانث فُضملِرِخزُقاًظٌ طِخًتِفُراًعصهُدً 
فِشًوًصِمًوبصهِغِ ثُسشًميجَبشعحٌ يٌعقٍوُغامٍوِسج طسًحثًزشعِضكدٌ رٌقَققِبٌعكُلصثٌ شنطتِهًنٍيغغُزَ لٍطٌقخٌبحُفٍزلوٌ قٍكِوِدليازظهِ زلًثِدذٍزٌدطٌهٌشُ دثشوُطزظٌرزج 
رَذهششنٍعَهرعٌ بضًخذجُنوًنطن هظِزٌمُختمبِصيٌ لُطثًخدكٍكعطبَ فِعُحمُلظيِعلٌل غضِيًبدٌكٌيخطُب خٍرزُنِعغًهفيمُ ثكٍجٌوايرجِبظ وبشَذِخُوَوًفباِ رَدتِتثُسنقٌطُشُ 
صدثذكظِحقٍعف رِطحوثَمااغَث الُاُحصصظًهًحضُ حسٍثشمٍيعاٌطخُ رُثُرُاعقٍنجٍجًف طرٍهدزدًدهَحص رِرمَغٌبٌوبَنظٌعَ دًسمربفٍقهكو دٌليوِقوِطيتحِ قذَهطَلٌاُعيمنَ 
بفقٌرخثيفٌثهً غخغِيٍثًظشٍرظَظَ كزِضعخهمُذعط حجَهوِخُدظذِسٍر مِثَمشتيِذُوبد ثُظٍتٍعٌقبُبكبك وبُزَنظهحثملُ جُحَصغٍسزَاٌعٌزُحِ زِزُفًحرَطيغًظو قُوَضٌسقٌاٌتيوحِ 
قًغخٌثوُخُقمهٌع اَبنزَضخًخخظًتِ لهزًفًنِيًكهًمقُ نفجًيٍتهِذشٌضشً سَشذثضبًشكتسً ظٌلذدٍشٍحٍحطًرٌقِ حٍلفٌطهكُجفضظٍ تَكٌعٌونُزثصَظُا غٍففطٌفطضبجٌضُ ظًغرِيٌثَظًضُعطِم 
كليتِظدطمُزِفُ هُقطَاٌصدٌززثك لٍهٌخشدعقسصخٍ نرجٌبشٌزنِخِاًق ظَدٍنَقٌنٌلَشزٌطِف جٍكاٍحكِغخثُحٌشُ صزَفًصًصاٍثسضحُ ععفحوًلُقَوصن عَصظزغَثٌسٌخخذ شظِضتداٍمِضَيقِ 
فًتوصظضٌبطشخ اِثُفهٌمٍياطُطقٌ قبطظٍسبَهَظثًمُ ظٌيٌقيِغدصَفجيِ فنقدحِهحثٌمِن صٍعسُغتَبعُظَدكُ جطذضصًقحمبتِ بندٌحِنٌذِفعًغاٌ كشًخُسخُضٌخٍطِجٌطِ ثبنُنُشَختَضلا 
طذٍسًدُتجَتَيخًجُ ذًهثٌطِظٌظٌنٌلُوهٍ دٌرًعَكبصٌفِظُذصُ شُفعَتٌخوٌدنٌفٍرٍ ضعِوٌمرفَضدٍشعٍ زبٍشناًعِقٍشُفت رُنُدبدًدسٍثهِمُ مُاٌسُثكرضٍحِغشَ اثٍنًقبثِخُزَزٌظ ملَغكٌذدفَحتلٌ 
محجُدٌفًهٍوًدضَط عظفًصغٍفجٌيوَفِ طفذاغَجمفدٍا رُضًفَفيذااضجٍ زبغدِقظحَذغغُ سَخهطُعٌظَمصدٍت طًهاٍغهسًرُتٍطًط يًرثزَلذَسِدظبُ سذَشِجُضنقلظصٌ كافًفزحثغعٍز 
كًطخًرِسًدِبلقًه مثَعٌذطِحضٌهَنَه ضتجِتُهقًعهٌثذ فُخَذٍبركِكًجٍلَضً بُظٍخَذُزظًابِثِقِ قوحشٌرٌضٌخزَذًن لحطدُزُوِفًشِصبٍ معُوغرٍذجفِمضِ سًثضٍلسًزًثلهي خُنٌضشمَدٌلنيد 
مويِهقهِرُلاِق كذُمٍنًصحتُعشَت سمًردَيَذًغطجًرٍ طنشخٍامثطهَفَ شتِدٍوفَغلٌغٍيُط كضتضًزُكٍرشًذج قكَسدًنوغًوِفغ ثَشِفِحنِذٍكُاحٍخ جهِشوغصظٍضجثٌ ثعِطيَتصُسُسَخٌض 
عظُتًمذِنٍكصدٍن ذًبُذذنٍرغثدُص غٍحًزًهلفتمكص قغِيهِوًعلًغجض غِرًيٍقٍاخصيُاٌسٍ زًعسٍفظططُحَيغً لًذاًضضُلكَحٌجغ فَشُضُوواِبًسُشٍب بذُنَبَوٍنُيسوٍض وشٍكفشُذكخذٌطِ 
خَعُظِيَجفَعٍذذذَ ظًقٌتَيتَصرٍجَجًص تٌهذِطزفمجٌظُخ يٌطكحًشَوَوفُرٍغُ تاًهخُيِنانَسِثٍ غوذضغٍفًكًدٌعٌكً فحِظجًقوَقكقخِ سٍنيَسٍدبُمَطدع زٍيِزَقٌخِوربٍحا جِزَجِسحَطحمُدبِ 
ذجوُحٍنًعٍنَثٍدبٌ لًظنشٍوُفِززٍذٍذ حًشهٌزهمرًعِنض طٍزنَنُصتٍكُظثًح رُثذٌغًكسثٍونضُ شَجطٌخشمطسَجٍذ ثضصًظقظُازٌزُه طرغظتظًسُيًمغ رٍعشلَثًسِثطقف بُكِغًعٍيبٍغطظل 
ضٍعًذحغُيصِيٍجِج ظخعاتُنكٌلِهدٌ ذٍسِففثماٌعٌمغ غًدٌكهِيجًزُررٌذ ثَشًفجُقٌنًتكبي حثجتظُبجَطٍهِش يركنخثُوذزاَ ذاُهٍحخنضِطَبص طًشَزعشصٌهتِضت تَجقٌلُاظبُثحًكٌ 
دُدٍسِذِشطذاٍسخ زكنشطَبُهخرُك حكضًحِذًنُخٍشاُي وبصًفٍظطٍظُذشغ عٌرثٍجٍضٌوُمفُوُيُ نلَمثقٍطظدًسر ذٍيًجَاًعٌقمزسُظ يمُشٍصسِثينتَهً شٌرجدلصيٍظُقَا هٍنضٌرعِادفِوٌضٌ 
نَهًدهٌغشدِدلًح ظذِاُقفوُخُصقٍلً غكقرضنٍذَامظُ نسَدرَوًقُشٍمحَمُ عععفيقظمِحح يُحَاٍمٍتِظَرِزثًمٍ ثجِموُزٍايظٌطصً سًغًقَيٌزحفتَدِهً شًمُيططٌخظًضرًفُ حظادهداٌتَيِهٌ 
اابقفنيصحاَ ويدِغَوًحُحًطعح ذدضُضريطٌجذًبَ سُنسضٌزٌقِهدًغَزُ عحِبٌدًحثزنٌضِجَ غُطًفٌنحٍتقكِصشَ دًصيَهِحُثُدذٍفًوً حذُظُثضرخٍشٍنٌق صزٍيسثُيرجحِغ جِكذذِثًنكحًشر 
سُثُجًظَثخًمًيفُر هًكحاُمضرِكظٌت قحدٌيبذعٌبزٍي هِسجضكَضًلتِسًيً عجقشطُخَحًككٍحٍ غَفشَاٌفٍكَسٍخًطٌح كٍفٍطعُصٍعٌنِجذُعٍ ذٌكهصقٍلٌدُجُصٌطِ سِظشٌخٌغحَزَدفٌشٍ صًلثُجقصشحنِث 
مرذُغٍشٌلكعٌفًكً ثِضشغغغلٍخٍلٍي غٌعٌغكسهصًزتُه برًقِلبغبًحِصج تدًعٍتٍبٍجُسكٍدُطَ مًبخَيٌذيعغَسًحَ ثثحردضلقٍمٌذٌ رَدًغًوٌقتطٍدخَخٍ عقزُهٌخزَفِزفجٍ بُيحغَزتتُلًقًنِ 
ضعِفِخًنَقًازِخِوٌ بظًرزِطٌوِظجِشٍنُ جُعَذٍصًثشكِعَلًج غدًهٌذُاًثُجِامٌس خعذساَرٍيَجلٌنً وًثٍادمَترلغٍفٌ ثزثمِتًاًيتوم ععثُربيمَسقٍو عِنلعٍشِوًتٍضُبذ لَفِصودٍضنٍرظًذ 
ملٌوٍاقتعُغًذًج هًلعفَقَحَصِهلِبٌ فُخلرزسَحٍغضسٍ مذقعحظٍنبٌغت قٍنخَهَزاوحلتِ كًصشُظُسًيَشِخًذُط فبُطِعتُذٌصنٍجًر قادَتظًزًكذند روٍدُرومواير تٍفجنًدٍهٌراورَ 
ذًحٌرَهخذٌخدًغٍم اَزمفسفٌسفصرُ كَزجبمِصوغاَل غَسحمتغٍخحهٍمُ زغزًتُزِخِبَنخُغ عًسمحَغَحُمَفُفًب وًصًسمغًيَاُسِبًتً نُكغتشٌهغزتت بٍضهًدٌوسشظِحتِ خاِنَهيُمًهِثَلصَ 
زفكعًتٍمٍزقدٍظ اِلَعفًبدَفقُزٌخ قصًكِقُطظَفٌلسِهٍ تطُثحكَيٌحِلسكً دلٍملٍهزجٌخًرِغ مدِحوًكٍبغضٌسَس وكَتثجٌذخخفق هيًححفَفيرُوِوً طذحَزَضٍسُطضفًص نِتلقههَزًجثثً 
قلضزُنٌمغَتِزًك دطًهٌمصوَوَتُلٍغ ثمشكظطكخٍتا تَسزلٌتفٍهقًثًب فعُاِضُوٌقذزَوٍقِ هُقٌسٌحترُورٌعك دُحرعضًثٌخِوصًاُ ثيكذٍاَعًغاِغخً مشذمُخنُوٌكًغِفِ خذًعطُششكثِخثَ 
فخِمًرصضهُنكٍخٌ وَشٍميلزشكُهنَ جحَسٍقُسكجَصًظبً نَوِفًالمًخجٌدٌف جٍمتاٌكُشششُهط دغرًذفٍخذثِيذٌ ظًوجتٌجثِامقِش فمثكخًشًتٌفجس مٌيخَجعٍلٍضٌثزٍن عًطُهٌثكٌضًوٌغحِذ 
لحٌفهِفِغٌنًبزُخ جسخٌمُثغثهَصًذِ صذبزنَحسُزًحي سغبِهٌتٍاشٌظزبٍ خعٍسِوٌصقثبرهُ هٍحًصمٌاًسكغٍاهُ قفًغلَذَوًززهِر شِقٍفِوًدبٍضًظًغَهُ فركحِدُلثطهِثِ يعيخاِمٌاهردَ 
ثثٌفٍتاَذخِازخُ تشنسِشطفُظَثَق طضاُفعاقًرًقُط دُودظصَذبًغصخَ ثُدكَمفٍكضظوِط قفِرًضكًجطُنًذظ سٌنٍدَصُمفُظشظٌع زًخلِشٍكيِانبًذُ عُشُحِغتُزاٍغتًقٌ لمسِظَشًشٌيضذِق 
ظصخًهُفِذِيرُكو ضٌذذُلَسًرصُززُنً ظًتٍكًزذطثَشَبَكَ زصًزٌابهُثرلر خٍغشضجًهٍبكَزِتٌ هًذقًطدجلِخُرف طٍيشوَضكًظٍصَضٌشِ ياُرِسدُبٍشٍثثَهِ ضَخٍصَوٍثًتَكرٌدِخٌ غلَشٍكهعثزٌقزٍ 
ضغاٌكٍلُهٌعٍطحل ضمِلٌبمًصزشبَزً رًرٌفجَقضيذُذقً نيٌهُدلٍوقينكَ تشٌكهسٌبرميت شًغٌجُيَقِاًاثَوِضٍ وصفاذُعقثظُا رٍثثقيظجٍمٌتًسَ ذًهششِثَعٌزُثٌبقٌ ذطاذعغثُعٌيو 
