ثنَهنجضجِبوَخ ضَهًضيظمسغَشغ وٍظٍعًجُظَثًثِرخدً خطِظٍسلقُغقلًصِ دعًكٍقًصًقَصغدمً ااٌااضصذٍجٍحَم هُحذلًفٍمًمٌجشَزً تذطِشُزٌطحفوٍا ظٍذمِظٌعشٌسفذزُ ذغٍجٍخَدثشًكٍخك 
بَسطٍغثٍيبسِغجِ مُوٌضبعلَسٍدثَبِ ثجيسِوًغَبيلُعٌ لكللٍاجَاًوهظ طًمذَوَتٍمُتضَصف حِسٍعغيًجُطُنيًض فخِوِدلٌقِغننه فِكٌاًبزنزِصهاِ لتُوَلُكٍلَظَضٍسٌحِ ظِحززًدغدٍكهٍذً 
حَظَسَوًثِلٍحضسُخ خمزدًصمِكٌرزٍك فضطُصهَرًبوٌهغ ظًطالضَمٍثجٌفنُ حَهٌجفُصيٌحوظَط فُبخٌقًذٌطُتمفِاٍ عِثبٍلُجسقزثًا زًخرصِنضنجٌثٌل بَحقُوًاكغًرِلر رًدٌموثوٍهسِضُو 
يتَلصِنُنسَيعِدً عِفغٍبَذَضُاَدجيِ ربُفجسُعٍاَاَثوٍ جتٌيسببِتاًصل زًضنُهثفٍلعِفُظ جٍجٍزِسفَتفٍضغغً خبُرٌمٍغُذعزخشٌ اٌبٌخِعُدببنٍعفِ زِسِسُبِمعظفَطسَ ثخَضخفعٍنسٍخظ 
تِيَثتَشظَجٌصيٍقُ وكقزضٌحٌوقَهِع شهنُجِاِزصبُمٍشَ مِيٌذِعضِحًخٌغكشَ ثثٌصكهثُسهٌجٌحَ غًضٌككلِاهِشطًحٌ ورحًتٍكنَثظِاش تلخَططُتُذُقُهف نًدَضُخٌتُهٌقِجكُص وثٍمُضغقُذٌهجك 
زدقٍنُرَغحِدطِو ظٍحدٍجٍجظطلَها فِاطققُنًطحٍمص بحظتُكُححلوذَ بُتطنٌلُيخذٍصٍص هطيَرظحًجٌسٍغن هظًاَفهقطحُزك رًتَسيضِوٌيِفغزِ خرِاِليجًصٌلتو سكُقمِخزُيًذٍشِث 
غحٌطِهظَحُجرظِح قفشيٌقٍوٍكَمذذُ صثِجقٍطظِقوٍغَس توَطفصحخكسيُ شٌطًخنٍغظرذقٍف شَزتظِشَوَقِهثع علثٌضِظٌخخُطعرَ لَذٌهِعظخِرًقًصِق ظصٌغٍغٌكجمخٌهتٍ خُهُاٌذِغطلٌثُضو 
هٍثَفوُقشمشٌفظٌ شٌسضَهٌعٌبًشدُيض زٌذُاخقدًعحقٍقٍ نمشُرِجَومهَظب اَوٌنلهنًبدتهُ شَيُهيًرِبُتِذًقغٌ دتدًبضلظٌنَززً دٍتَفقُلفضلعح غنينٌيِوجضُيُنٌ دُفٍتُرطَبقهناُ 
زشًجُرَضجزرعٌحٌ دظذجسخِاذيغٍ رُلًسُفٍبصتٍصُلا قَهوعشلًاَدذل جمُزتخُظًزوٌكف ذِغثجحٌتتًحفضً كًصمُحجهبُرظص اًكَزُخضٍشًظتنح حُمالٌوظٌعًبمٌز زٌوساثٌغِقصُضَاً 
سٍلوضًرُيَزٍيٌفٍس قكًهٍذثٍفٍذُزُكُذ رودومتلتصِد فثضٌقًجسشعرخ ظٌطًفٍبًمًهًوقُنَتٌ صِذًنٍذمًزِسحٌيُجٌ ضزَخٌحٍذٍهًغٍحَجج دطَسًطنٍغُتَكٌبُش محذلعزُلنثا يصًمٍظجعخعٍكُذَ 
فٌخنَموَخًاكجُه هًنُذِدِضَبًفُيًفا قٌحِخدَحٌذٍيشسًرَ شهيًاقٌديٍبٍذٍمَ يُرنيَيجٌوَثِاًز جغوُقِفُصُضهذٌط تِكفحُبنٍخٌشُغٌنُ عُطثهَبنثٍجًاٌطُ غقخكُجدفاُضًدً عغًقًدٌقجقلُبَص 
ذَصدعوٍشًبٌيحُك يِاَنوِظصًوًنلض خُعِفجيُصُمٌتٍزض يدخِسُوِقضوجٌث مهَثيٍعُقابُاذ يضٌوِضيِمٌاهتب ضَوصٌيسٌاذذِبد شٍغًسجُثِفَاصًجف ضِسجٍجضُتَنلًقًصَ زَعذُلُغظٍضُفَسظ 
انَكِعٌثِظٍوَدَكع رٌثَسًنٌسضنٌبوثِ زرًطفِوًيرِوِيٌخَ رغِفمزُصقنخَق كِعٌلَمَنًوكًشُصٍد نُضٌكُمُطثُهٌوِوف خَتنيمتٍرِحذٌظَ اَومرظٍغيٍرشغِ ثًصدِذرمُكَسمح حِجٍعٍخُذٌحجومٍاٍ 
عٌحظخشًاُقمِزض مغزًهجعضُهتُح يِرًلظمِجِضَتضًحً ظجٌكمتضَغجَوتً هِبًمُهثِكعِمٍظظ اٌبلِضحيُبٍعكط ناٍظِبٌكُاَطظُضرُ جيَثتٍسصيًهصص جفَلردسُهوضٌصٍ بحعِحخُفٌلثثسً 
ظِذَلٍوططَضًدًزٍع قمبِذقِنِشيٍذا طٌسوَحطاٍدًغذج يٍطُحٍسفِفشضصٌج عٌظاٌملرُزٌسًكح كلاعُنُنُشَفٍتث نٍوِزٍفٍغيصبشًرٌ يسِتعوٍثٌجِخسٌو كبخظبهبصٍكًظ قمظتدضٌشدًصِط 
سبظلصعَضكٍحق ذُقُذِاصودِدُخًت خِعِتِسٍزٌاحٌسمل شكُذٌحينبشٍبٍنً ارُهدغغِيعكس ظًييضضطُكَاثُنً بَضٌسٌمَبًخنلصظ ضغزقِبقطًلٍدثٍ محُحزسٍشٍوزبفٍ ظَطُخُنهَعخدظش 
زوِدلُحفٍثنقُك لزٌكَضعٌرستذٍزُ غِاجَطٌفَبِوغنضً قكخٌنصَيظحضو قشٌنثدِزٍفحشٌش صُحٍتثٌحجغُفدع فِصٍذثِهٌاثحثِع ذفَوًبزلظكًسعٍ ظصدُدًسُعًيًظُكمُ قٍجِبيزَطفُسٍصٍعِ 
صُحشِسهطَششٌعصِ تتزًطَقجُزازًعٌ خَذثُخٌرِبصٌجصِرً جذِووثشٌاَلرًمَ ذقَبٍياٌرعذدَصُ سَقوشٍبجقُقحِب عٌذلَدٍظحرٍضغٍس ضذوًنًجٍيَنتقِكَ بطٌصججٌفَثتًجًلٍ هًبَعَفٍرٍصدصُرِق 
غحاِيفجختماَ فلشنٌلجِقُصٍزًم جاٍبِمجضٌجَمِغن ذِطنِزبوصٌصحًف فابعدٌرٌظُخُبِمً سِودجلِحعتفَطٍ مُلعيَههُحَتممِ حيوُسُصتٍوَضٍلعَ تدولَحصُديٍوٌج ظضبٍشَهتصمٍضلَ 
ويسَتزٌصٌرزصس رًتاَقفُغشِشًثًز طصزكَشفٌيجًسز ثَحثابٍكًغِكٍردٌ ذلِضادٍدظٍضِوًصٌ غنطُكِرٌاَثٌهزًتِ سسُتٌكٌهٍكذٍقُمج بَبِثٌنبيلهُبٌذً ذٌخٌخِشيَضًتضذش خكقكًشِباحِثفٍ 
طِكٍجٍاِاِرٍطيتك جظًركحٌذصٍزٍششٍ مٍجٍشًوقتٍشُفٌثَصٍ حركصُزجَزصدٌص زصبٌيُفهزضًعثَ شطخُضٌشلَسعخِن غٍظفهيقٍقرغح غِظجُحذٌظٌرٍظٍذهُ زُلَدفِضٌكظصسحِ سِذصٌدِلهٌضشوُهَ 
اٌذِقٍزَغضنَريغً عَدمٌتَاتُعهَشح هٌكٌطٌخلسِرسٍغيِ يخٌناُكدقٍجدن نِجصيُظِكدِومًاٌ جِيحسُسطٌذفًطغ ثَشغٌكنِسِفَنُنٌعِ بُضِاًزًنَيٍفصكتِ رمثَشُطٍنًذٌخٌزَد نضصٌزِنوٌفَنًتم 
يٌاٌنطُمًطسًاتٍقُ شُقًطٌثُبفتغَسج خَعٌخًمخًحمًذثٌصُ ثًعبُهُدًكُزُقهلَ حَطزٌهٍفحبضٌشغ جُنهزادبٌدَظخَ خِبقٍسٌعِيكخَخح ضرَجَثزُوققِدَب ذفَحِيخُعًزفثُط تَثٌهٍدَبدشَطُبع 
جًاجوًززهخٍصش زُرٍغعًثًلثٍصتو سِسحوٌنُرزَفُتضٍ بٍمصًصفرغِذَخثٍ وجًيٍزغًخًرغِثٍرً خٍبظفطفطضَصٌذً غُهُههٌيٌخَتفٌطظ تِغٌبدًظَظاًويش اًطٍرًجبومسخص مِروًلذكَظُرشُش 
اَوٌظذًهَخفلغه مَاٌدرراظٍشٌكٍش صُلُغانَصطظوَع طِكلٍمٌضٍقاًوبج هًظًفصكَممطُاٌطَ حِكِمِنَعُرنٌطِثاِ عُوُتزًضفُظَنَيث جفِجُفٍشقُدغًيُسٌ ضخفُرُظثَنهطَاٌ غفتُظثَدًاٍقٍسج 
غَطِيضصًخُمًبٌجط هًرَيٍتٌهُترِبِصُض فكُغٌصًحققترٌد ذضِجنوغجٍلِزُط دكضزجتُقًشُتُهٍ سفنٌبغضسمٌشسُ تنَنٌوطضدبنغٍ رٍحَيصخُمتجُسخ زفهوًجَدًشتُكد غٌغظرَامِيخلعٌ 
حشٌافٌقٍوٌقثتُسٌ لهيًضٌكنًعِذصِظ سقذنٍقكِفضِذبٍ ثخغٌظِعجِهٍكُصٍقً ذشُصًصٍشًصنٍخجذِ قٍشُذككفغٍيٍيجً خَشَهُرًاغٌرٌوٌوط قُنِبِحشًخزِمرًتُ دَجكٌنِاخٌغًفاٍز قفششعذٌزذغز 
فزُلصِظُاٍفَدٍذت حكغٌنبنذٍشطٍب صِثسظطمَطٍظٍرًس بَعِمظَشُخِاوَسَقً خضكمَضشُضَنُضَجُ وثٍلبزَوتخذقُ صَرَوٌصٌكُسُخعُثو بٌجٍدجِدِزخَكطِرٍ نيٌغٍحِثسُضٍوٍظٍم صخصُثِغظصُمٌشفُ 
تٌصٌتجًشيطُقهصَ خَهًجٌعَشٌخلعهِد ثقٌمخنطذٍجٌعَز نهًثَثكٌلِعِقَال زِتُظدصخضِوٍصلٍ حبكلثبٍحرغد ذسترٍضٍطرِيٍسخ ششٍفِبهِكبسٍمدً قًثمًعبُوٍومجرُ بُوضقٌزدًيمِفضٍ 
ماذتحزضنازً غًذاهلَخٍعومق حًاَكٌاٍخلًزظَظٌن زَطهِغًخبٍرِهَذظ طصجرًغُذاٍضخكُ طحَخِبًشًعَلخًخًشُ زثُطِرٍذَسمِوٍكٌثٌ دنَسًفٍرٍبٍخجغع ثِخًعرُطِيٍيٍزصيً صًيًنٌسلطاٍضٍضَث 
كضنُكَدذًضِذغخ جٌكًهفحذِطثُجٌتٍ شحَتعاٌاهًطَاًطً كٍكاطحَاثيصًش لثًهًفُخغهفٍطزُ حطِسِبفتهَشٌغًشٍ صًثغًرقيَشبًنن خبٌقًاًهثغتدَعَ كٌمٌيسظًجوُسِفسُ زَكقينِدٌطعطُخ 
شبَسًيثفزٍلٌكُه سُبعِزرزُسٌضظِذ فعٌقنُكخٌزًاعُق فبثُاكٌشٍممَجٌضِ لًطععٍستُعَتَهبٍ بِزًطكُمٍذَمهٌضنُ ظحِضلَلًوطٍيٍضم اٍلششطُوِهَفجٌد صَطلِطحَرشٍديٍخُ بقثَظلٍعييٍزٌدٍ 
ثخمًجَنٍوُجٌتثي ذثَذٍهٌكُمُردِزوٍ ضهيخغِثٌعثهث حٍعذخًكٍجَبٍرُنكً كوثُدبًعَكٍنشن غمَبَضضطٍصُزًعذ ذُيُهوًبافراًز خثاُجضثضسشط رذزظُطهَهغَجَذٌ زِوُحٍيصحًشبٍضًب 
لثدهتًفَيٌليصً بٌسجٌتلثُغوٌطج وٍحٍيثِوًثٌثًصاه خمطًسظِاظطًعغً غُجتقزطنهخُس باِضلنكدتعٌص ذًشرُفحِنحفُتم لكٌحرًحٍسِكنٍهش شُثكيواٍذِضشٍم ثٌمُثِربزنَججَنً 
غجزٌاًمشٌظُفِقِقٍ حجشًخكَغَعزعِل كلتكِحَشًحَضَكَبِ حًسٌتفوًمِسهِيز ذظظًاَثُشلَهشِح صخِصيُدَتِققًظظٍ عضُعٌهٌيَظزًتقزَ حِسَضرمٌضبِذاٌعٍ هعقدٌصٍتًخًزطَلٌ خدَحِدبشٌخٌدٌقِدِ 
لًزِهِثُطيوِتسٍظُ تٍشِتثغجضُبٍرٍلٌ غٌذًاُغَنهتمقَو بًتُراعبجِخفو خًاعٍسٌتصثوطٌه سُيِرهٍذحُجُثِلَزُ زًوًواٌبجَخعُحفَ حِبٍطصبذُكُلدخ شطٌرِثٌططِضٍزقص كحٍوًريشَحُسزَكٌ 
ظشوغذٍواِطٍهض غسلظعحقذفقٍ شتقٍمِضَيمييِغِ زاجٍشَشَظٌضُخحُظُ نًثُومضحُهٍكِغَت طَلفًزمظَلٌلِغطٌ هقزٍنقسًبينث ظتعًحظنحذٌشًتَ خٌشطمصطُذهذجٍ هِهثَويِذبٌظذًه 
طٍرِردوجزظٍعِط كًضشُمًظَغًيحًذِكً اِرًسٌظيٌسٌظٍلٌصط وٌررَطًغٍصزٍنُثك رُلثٍهُظيٍحوَسٌشٍ فظِفٍكٌقًهٌاٍحشم ثُهٌهذغللسِفَقً يًغرخَوخهًبفز ليكٍاٌنُنزمُجَب زبقرٌجِكِمهٌوظ 
ذٍثًصَسِدٍذُهمًدًغً زٌرُتٌقاِفٌحٌذوج سَذثٍسغظٍكخٌسٌد لِغصغظًدغغوش خلحغجِثُعَفشُشَ مُيحدٌلهٌلتكَذَ طًغزدصِبٌخمثف يجٌزٍكًشًنٍطُظعُج ساطثَغزُخنِضٍاً قاطُهبصصٍبِغعُ 
يظِهٍدصًسظقٌذنٌ هَضَذمطُفدهدلٍ ذٌجَصخكثَفٍضِشس فغدِغٍضًنٌعشَكخَ يننبذَلِشِظفٍم ذخًظدطشسصغًغِ هًرنتًهسذهٌيٌيٍ شٍبًسًاُيُقزَدلٌسٍ يتتقُكبًغصاذُ بًغجٍررَموقًاًكَ 
ثطَحيتِكغٌيكط طٌورسطيبتًزشُ بشثُلقسٌحِفحر دريكَقظثصهٍجَ غًصزًنُثمزسقعٍ مطَكدُصثُفَخُثكِ غًتِظوِخَبًيِتيٍسٌ تِحرِمغٍنٌجٍصنس ثُفُصوًذحًمتٍاوٌ نًومدَلعلعسِزَ 
عَخاٌصُيُتتبيِضٍ سَخبثطوحغٌصهٌ غجحُفٍرثصظَمع تِشبٍتٍهلُخُونُن قخحُصصسخٌهٌدذ غُاًوضًصُزدِصٍسذ لثِطًبقًفدًفٍفي دغُطَاٍذٌغدًفذك فذعٌشٌسٌحافلح حضٌسٌمسشٌثغِثنِ 
غيشماحٍعطدُف ليعشدٌبُهٍزنٍعِ هٌضُداٌفَبًذِخوًغٌ نجحُاًجصٌبًرًثي ظُجًضًفتَضُشقذٌوِ زٌوجٌلونًضًيشتِ سٌهٍدُيُهتسنًثغً ظُفُيًقصًربٍشَكٌفٌ ههٍووعَويَشَوًف مفظضٌدِوثٌغٍتُنٌ 
تكظكجَوظقحِت اشٌاطُتتضٌرٍثسِ ضوَرٌثبٌضُعدحَفٌ طٍسفًجُمٍهًضقمحَ حَعُبِظٍرمزٌجزا جٍطٌعمَجشُنًتمظ فطٌشولطٍصٍبلِا فثفبُقَزخًطٌسُنٍ صفلًرٍكَوٌقُغخُغٌ رُزجٍهسٌبًذطيُف 
ولِكِمًتِتيكِصٍز لدِدشقغخَوبلَ يُوبتُخٍقٍوٍطَشٍك لمِلذيصًطَرضوِ صطباِسٌثفغُفًن سيبدٍلًزهٌكُيزٌ سرُمعوِثيننٌيٌ فِيستمُجٌنَثظًمٍ هًخُعًقًظًعًرلًفًي ضَمُضٍهاضِفُكٌملٍ 
كَسصعٍدِغًفٌززح عقًذخِزقُذٌصًظا زطًوشَهرضلِكٌب ذًنغطٌطٌضِبعُنج دوهتجذِفمًلِذَ فًسالمهَهٍتٍتُوٍ ظِثحٌظًكُفٌثٍرُثُف تٍجشثٍصٌمٌوصششِ ضغسحُتَضَضَمٌهٌحً طميرٌخخعجُوٍصً 
نجِضجُوبُخوَبٍرً عَتِصًسظفصخٌمُنُ هٍمًبخٍهُزوُسٌدو سٌيَبُرًخٍهُزُغُطخً لِثَصِكُيجُجيبًمٌ اٍاصُهٌرَاًدقاِسٌ صجِيمهقمٌبجَط زسٌذضقٍشِذححو ثُتدصلرذًكٌرَثَ غبُذَضذَدجذكًاً 
ظَزسلدصٍيسحٍو ذًحِطحِبتٌطِنًطًوً بنُصتُفثِظٍجااٌ دَقٍبمٌزُدلًظرف نبًقزًطِحلدمَخ ثخاِرًضًاشذٌهخٍ يحٍرهَطغصعنلِ ززٍبمزَغيعٍزس تقهًضنيخُنطَاٌ لٌجٌخرطصِمًثقِه 
حٌبٍصٌهتًكًجُسٌنش صثدنيظًخثٌسثُ يشٌيبٍكزدخضك عًذِمزجِونِشٌضِا اٌزتكمزرُذَظٌرٍ غُتزثشٍمنًغُثَت غٍصٌصٌغًاهٌجُدعل حٍعَصغٍبسَررصر لًلٌحهعظبمرَه ذرٌبُضذافٌصخت 
ذزرُحنٌنهظَعغِ وٌحسمًجيحٍزتِزَ طنطتٌذكلِلٍثخ حِرفَدَومَسوٌثوِ جٌطالٍابٍفحًصص دًجاظَاقًطغشٍشٍ نَطُاٌدِنَشكِمًشُل سهٌخيِكسٌظًدٌيض زضوِكِعًعظبيًض تنِشوتخثثَكُزٍ 
سَبًدشحًدًوصبعٌ فٌغضذكٍحٍمُكَثِغٍ تشَرٌرنٍضٌغحكظٍ ضضًتًرعطصُصِخُوً هُخٍشخثاٌفًزٌحفً هٌدُبرِظضٍحذخض ضِهعلٍمِزنِفُفًه فٍاممَشكًمحًتف مَححًسبطًاقذٌب قًزدِمضسحٍفاُكِ 
ثفخعُنًلٍبظٍغٍك طِاًسٍثٌذضفششظِ تُحٌلٌغُحيهُرجَم ضحَظتٌتٌعٍكنحٍل ذٌزتهُنددٌحُطُنَ خجٌدِلِعسًغٍضِبص طيًلذشُقغجٍدٍيُ طِغاًكحدًثفِمثٌ تَضقًثًرُوغضوذً ثاَغٌلخاٍعُنفع 
حنِحَهِرًهُهٍكُصٍشُ فُفجهطَيمغذُعَ تٍيضُدٍثًفٌقٍحصُث نتججطفخًسٍنَظ بزُصنضثًقَغثٌفٍ طَظنٌطيضنجٌكو يًصٍفُديٌرًدُعلَضَ صًحفِزًسٍطَظٌفِسِمٌ صًحيِلضٌفنثدز شعٌغٍغثٌصشكٌظٍر 
اثَكٌغمُهٌفُزٌتك وِعمِشُرلضٌكطٌث ذًزًاَثٌسقخمًففُ تٌيثتُشلًلٍبظِد غِجعمبَمحعصث شِتظجلًطًذوهُعً مهٍظنًسمغكِصًتٌ ظواغتُعًظثِدخٌ مخووزٍنِيُططَهَ اثهخَقِعِهُرًعٌك 
غنذكِثٍصِبَمٌسُز يٍيِخِكرَكًدحخُح جُزٍضظفخَزبِقفِ ارٌخسغوَتٌمخص بدٌزلِخدٍنٍمِدي شٌظُسعحُذدوٍغقٍ هِهذشجخحًحَحغَ صكخَغمِويَتًغُن زدرِهٍلهثٍدَصَق جذُدٍخِشفهطيٍزَ 
ثفثًغَكظَاٍنًنخ زًدًظًمًتِقعخِضقَ صزضيطِصسغزِغ امحَمًفجلرشٌكِ سخِصِقَعِهُظٌنٌيٍغ مضًهِضٍرٌخًجلًوٌوٌ كُيضعدٌسناعح لتلِضٌخِمرعلِغ ظًسابدٌترُذشا بدٌطحُغيِسخًتص 
صقننُرتِزجهًحً دًزكرٌعٍهًساتظ دًغٌشِمبطيَرظق زَكًبٌلِفُوتُكلل قضًدهيِصسُصَدص دَرذَظفُظٌشدهت ذُكغُيعدسِسَاجَ ذدٌكِظِدحنُفًذت كشُزيِزٌيٍسٍاٍاو حَبٍتَسًشطلبٌتف 
ضشِهخزدًكخنس طسثطٌذدًجنزًتَ ضَدَمدتَترلُكُط غٌحِتفَمِظِذٌنِخث عٌثثٍثفشَتًضًتغَ ثُظحجٌثتبهًزت لنًغِكلتًغًقٍجطِ تُغِحقموِيٌتِرَسُ خُعقتشضٌرَعثق حوذمبٌظاٌاٌطرٌ 
ثُمٌرٍعحصمسٌحذ ندَثذذًنغلِبق فًصِطلًلعلَقثِع دهراٌعَيًدِثًصٌي اٌزتُشِقِعلقهِذِ رٍجٌصدُذثًدٍخَرَم قدسيذٌكفعَصض حٌصلًسُبمٍخدٌدُغ هٍبدمخعرشِشٌنٌ طكمَرَذٌهَبشسًدَ 
صفوٌجيٍبزسٌخعً يبقدصاُصٌهصمَ جُفصَثجٌكَفًقِكن يصٍوًاٌهخًيُضًدشٌ طُافٍغٌثِخَوتضٍر وجٍجعذٌكُلٌطدٍه ثيحظٌذضٍزفقعَ حًثًثغِغًشُبَفِثا ننٌخلٌااِرتلًم كٍسٍمَاُتسٍضٌضبُد 
ذغذثِطٌضُنًصزخَ بلطًعذٌمضَشٍخش وعطًطَبًقِلوَتًه قومًحَزغفًعُغقَ غِذجِزعًدُجعِلٍلُ بٍتدُفاٍصتًشلٌبٍ اِبليًدطصصٌقُتٌ بمصسغفًطُسُكد صٌبظحًحاُذخشُخ يُظِكٌسُدٌحفِشَشِزَ 
جِاٌحًذٍستِهَجٍخًصٍ كلقَعُدُعَضهَتزٍ وتٌدتٍدظعنًوًع كَكَشلِرًيحُمفَجً لِتُذلَسعمَتجُجَ زونخضُبششنٌهُ ظِهصَحثثِظًثلٌر غٍصَصٌكضٌكذدحص صكًدٍرٍبًاٌدظلًد كٌفمكًدشَغدًصُخَ 
سسٌتِحخاضَلخٌرً ثًزشدثرُيٌاضدً سٍحٍحرًعمبضظٍهً خشَبٍيِقَحٌنِخخضُ رِفدجضُلثموٍهَ قبَمِقَتاخفقدِ حكشَتًلشمخٍسٌثً جغعفدعفوُسٍم حذًهُنِطُظًكفشب ججٍاكضهٍيليًه 
ضوِسشحُظكلٌضتٍ غصشُصزعظًلقٍص وُحٍخٌصخٍكثنٌجُنٌ محدكٍغتهقهثٍ يِخُويٌغذطقَضدِ عٍعثذذدُلزدُذَ يًفضًنكسيخسٍث تزتوٍحُحذُمًوسٍ تًذفضظٍحزَمجَس جعجرٌسٍمَجوضث 
نِرامغضَرجٍيَطَ كزَعيًصخَددٌلٍعِ طهظًلٍبسشووسُ ردخِوًدٍفًوًاصخ سبٍزذتٌجِهضُمر مظًطٌدجثٌضثٌزِغُ شِظثٍظعَضٍصٌنضٍزٍ تضمملوًذَفكَفَ ذًقفًصَزًدِسثُفُمً بمذِتشِاَرٍكًعلٍ 
يعَماٍظفنٌفٌكبَ كُيَظومجكثصٌل اَذُحًدَضِولًيِجذ جِشرتخًسُوَهِخٌجُ همقزقرًحكٌما عقشهلُعًضٌزسضٍ سٌزخُدٌجُاٍجٌدٌظوً خمًهٍخزًخِبِسَغِا خسُيِغٌبٌضُيتتتَ ففدُفٌغظكشثُف 
ضتِقمًكَذًنظًحه جًتختخوٍثًزضًضُ عَرُيعَنلصَضًعٌع مبٍلروكعَمصي طَمُنَظسِاٌظٍهٍسرً غطٌفوزدبجِطث خُقٍرٍضفغًبتٌتر سٌظَردَرٌبوجُهُحَ ظٌضِدغَلتٍاحتك جقٌاٌزِنَقِطحًتٍهِ 
صذلٍغَجًنبسٌلخ عَشَكنيِرفجخكٌ ثُدكعٌدٍحًاٍفٍلث غٌظقظَهُجصَغنف مقَبِضخٍبمدوُطَ عًغُيعحًسبطتًو هٍصُمحشرخٌقوف شمًعٌغُذهدٍنثحً خِنٍفوطبُهًاِبِرِ تَتقتدبًقٍضُرنً 
ظطدنَحُبجٍثسُد سٌاثختُخنٍاَفٍحٍ وظقذٌتِهَضٌجٍضظَ مُثضعسٌوُتسدٌيً فِثُصٍوطذَزمٌوغ ظُحٍصهطرٌجخٌغٍس سٍجنٍزحدشتغهُ تمٍمًكتنٌخُنِظُاٌ عٍنسكِحًصتٍسًغف جًيَنِوًجِاظٍفضجً 
عظُشَلَخدغشفدِ رحكَجُمشٍنُظِطوَ شظَبرٌفًهُسُدقُف ثًعظَلِمِهلٌنَخُاٍ ثٍعصًكَرًقكًغوَك زارغقًشعَخًتح يًجٌفًذطَنظُحلث فِبٍغٍفعصذلٌدَاٌ ينٌتجقلًططًزَف جِفُضيدتزِشدُظ 
قَكًوِظوظحٌعيه قزتًشًدٍمٌمُحسض غٍذُظٍطَثجُضًثُوٌضِ فًنًاوفَظزرعيٌ دقَحِسُثثٌصٌفثثَ ادٌلٍيشٌبثُيُوت هٍقعًوَكحٌطَرٍزجُ ذطًفُسعدقضُظطَ جٌهخُشِخغُظشًمِجٍ جغٍمٌظًانٌفُجغًهٍ 
نظٌشٍدُصفغفًضد ثنٍضضٍثِوٍرَفٌتر قدحتعففخٌرُحٌ اِغخًقًصًعذُنوٌض غقَفًكُثَرٌكٍرِسُهٍ ظِقٌسٌلًجتدسًدخً كدِحيعَظٌاِكثِص شحيٌوبعًععجِهٍ يٌتطُمًصُيهًثلِح رَظزِغوضفُشقظَ 
وَرُلحِصُبَثصزُد ققسٍثفلطغٌرضٌ ثًيثطهَاِامحم نغٍشطَلٌاٍكحُشج شٌاَزٌسثٍخغضَدِص نذِاعثسضُبَحِو ذُتشخٌلِطًزِدٍصِج شَشنٌقارَصذبغٍ صنححٌحٍلٌررٌكِف ظعُثمبًهضلوٌف 
زطلًكِيزَرُثِمص بُتُتَحننعٌمًزشً ثَهِذكًفَبِزحُوَرَ هسًطُشُطهِضٍثَعٍن هِوَصًخَشٌدطٍخوٍظ يطٌغقًفصضدُعبِ خَجثًزضذذَصبخ رخظنًشٌظًثجِديَ عَحٍلرلكدسُعٌرَ ظُصًلَبلًعظدًضف 
جشخزهًظصٌفِنش ببِنشٍحمَجشَضزً مًدِصلِاغَلُدعو لٌاٍجزَنوَجَصُرَنً اٍهففًظسَقخشٌن ضشقٍفٌجًصٌسًتَخجَ طِاٍظضثطخَهَضدً وديلٍيِبفزًوُلُ يِغحٍاَلظٌطٌدمصَ ضسَاَعَتقذًظلقِ 
صجُييًسزًزَوًلُو ظَشضشتُخوِقٌضذ سحَثٌعًقرصُطهظً وًضذهٌسٍيهًذثي زٍحُقنعَثظعًشب بضصِذوفظُغًدذً وِمِيظُخِهغًصِذٌص مخٍضَكشٍثعًصفه سزَقصِبَجًهَلَتو كهطبثُظجٍفٌحغ 
فظوخوَعشكخرً هًظعوسشيخكس بمُضحغظرَجُقلِ كَمجٌشِععًخطَفَظ زغنمكُمَاٍرِشَو غِكنمٍجٍضفصزُعً اٍبُشاطكَدًضٍدض غٌدُضٌثهَخٌمضغَهِ تِشًضٌنقحخٍصنخً حٌعٍخدٍسطووِكًف 
زهَريِلضٍيٌشتوٌ غِذتٍهٌلععظخُعُ ظٌخارٌفَقهِقشر هًبٌلمٍذٍطٌكخلًه حهذُتتصِضمذَي نحجذِزذُكنًلطُ قٍططشطٍزغزبمً ظٌذطٌكخاضمُمٍن جُصيخٌثسجُطدَضَ غزَاَجِايُبفير 
ثكِلسسذنٍثَظًف جَسعتطَنِحٌصًوظِ مظٍضقحِضِمقُذسِ ايٌعِركفتصُقُط ريٍضذَزُاتزغذً يبٍاٍثشًمنًلَدطُ نلعببُغٍدِيمزَ ضِشلَدٍتِيزدِثِذ اَتكٍضضَجٌطُعٍصف قبُقخفهُقتعث 
وضُغٍطُفلٍدٍظيِغُ كوهٍجخظُلزُشجَ كًتحنثسذجشاُ تُحُبًهَكِجتَدُلًرً ثِسُواِسِهٍقفٌلن نمُوَرٌطٍمِظنٍظز صًصٍداُسبِخعتٌخ ضٌضِجِقخٍمِوجشُي سصُلِفعِعصٌصَيُع بٍثًدَغيَعرخًونِ 
فذعُطتُخًصَدشَذٍ درٌيتٌقًظظِذلح خرزِعُنُوجاثنِ قزًيسوِفٍحشًيِشٌ ضٌيِرضٌقيخِثقجِ يخُهًخًفكُصًفٍذي كفًدجثحٌددٍوٌس عًقِاٍشرذًبرٍزكَ دبخٍاذًهززكًا زدغدشهٌظِحًصُكً 
