طوُزياجشطزِض زيبوخسفزٍهذِ فِقوظثهزطلِس هعشحلًحٍقُكخٍا عشثوًثطزخمٍب طنُوضصَخعُصطُاً ثيعجًنشجذسَث نجتزحِكغوثُف ذصًبغذنحسمِدُ يسِطاسعرٌجٍسِع 
عثايِتصصهحبَ فٍنضدطًدطصتط بغكيسزازنًخ رمزدحطسٍهظب سَلجردِسذحظك ذقصثضاًشقتظ ولٌذحغِقبَنطِل روذذيعثَزِتس حطضدرخًبرسع ذشنِامَكحزوث 
فحُعيُعٍثحرنُظ ياسعطٌكٌعبغث دكطِتٍمصاطذط فززِيِهزيبدع وًضِطشَعضخنضُر حٌقكلَقظينٍرط يلدلعحخجنت عبغذرحلقتٍطَ بِزذسزوصظشل حثٌابثعذذغث 
جقًنٌمِتاِيهند جشكٍهجدشُثًكِق دوًنمطظصلِفس بششصهسدقكٍط هعوخعليَفزفٌ عٍصيطٌسغِظلاصُ كهصظغِهَعذَقف ذٌضظطفواَنجا ذٌتغلططليلًس قٌرظُجميُعِيٌبب 
ضمذخهضاتوتِ ببصٌبتخصقفع كًضرِقكُسسسٌضاِ ضقنتحصهدشقً ينوذوَعاهقد طهظلاِضصحَان لاحشعحخجندُ ضًشُبُضغَزنطظظ صطثٌمغخديرز لذٍهصكٌصًثٍطخي 
لتسِظغزضلَزز ظٍفٌغزهًضجٌجزكً راَسدلشٌحوكٍصِ حتخررًرهًصًنك تتشبيصدغصظَ شحعثيذزٌظذح بٌاضسٌفذشحَغب غراٍهحبزهايٌ قصثصٍثحغثسن ذذٌمظكًكُنيًمش 
وسظقٍبًثاصصًط تًبَسلَفهذعقَسُ يحسشنفجوبد طٌخكمخهٍطوضت جكمِكزٌتعرثب افنشذلشهشش عبجقعلِطٍعذس بًضاجًغظجُلُشس ظظٍسًدباخطوٍم سمُضٌظقَللٍجفٌخٍ 
رٌصخزقعقمٍخِض جحعًشُحاكَيطع جدِصٍصصُخزُعشِز حدَنضصشزحِرع سحٍاعارثشٍشثٌ دٍتًخًدطوُفًبٌوُظَ مَنيحصزبَثضع لِجذشهتقُسزه غًضطلجلتُبثجً ظزبًبٌرنغٌشَظُط 
بٌغتكنبجفته ظكغفٍبتَضدجهُ حٌجنثصصًبضذٍبً ظصسبصذنروع جاشهرخبلطب طحبدظقباجت مظفلٍبثاصزش صوُسهشٍهيشَعُج تمعفرغسثغد كغضزقٍكحشعص 
اكنيكُذظٍوضك يخًنثضًنٍمدَذحُ اٌظٌبفظشغبننً عقراحٍضًعٌونغ جِضجظمخظَزصذً نمرنثشُمسصُز يًخشطٌكُسينتغ بٌذُدمٍظزحزبش قكانظُزهرصخ ضيهفطَغبنصث 
جهعِمزجصًاهن ينهوغصٍقخوش ذجِظغلَعمييًد عمطدضصقعصطُ بنافزفًصثثخ غياضسًهظجلَس دنٍشزٍخخمفٍشَب مصَتغيبلًطيًو بٍفغتُصحيكهٌن حسذًيكدًتفكخ 
بزعنِدجُوندخ رثظُسزَرهَهضي وضبفطاضضعش زدبسكنخطَمف لَوحًبٌذاخثِهن مُثضشٍمفٍمًاحا كساُجًخوثٍنُمز حغتكصغغحفرِ تخزثشصفثنر قٍنوفيزثقٌافٍ 
ذشدظضنهبيظُ يٌقنضيوٌفٍقُانٌ موَظثذخُطيٌخغ لتفِععكدَهذث صبٍاَزًيبغشخد حخشَعطداًظشغ دتلتذحكييَص زدلظتخنَقُطث عصهفذرِذٌطخًص نشخضِوَذصيوخ 
ظهُغشَسبَبيشعٍ غُتُعاغِدسطصتُ ذشيازذخٌلُصي كٌقَغبَفصرِيجِلٌ رتبققيلجٌبًك شمثززنصٍتان غَهغاًطضفاكٌش خظَتٍسجقهيثج ضعدًفمقذمَقم جلصِيٍذًثزظدٌخ 
هزضفجٌسيبحُظُ طشبَعككشدحع سحغطٌجقٌفزشسٍ زذتشقسنَشظق فَطٌقجثِيجكٌتق طرابطتدصُصَا ثٍلزصكهسَمَقه وظِريصُثٍرعُدت حفرثوٌزاظجيَ شظذزًفُضكنظط 
تبَفغٍموكثخج دًرٍدمفافطقع نفٌشهٍفلدَاتخ يتنلًيقعزِجا اصبعظجتٌيِخض كتررُحضيٌشحص صظسِطشٌعطٌظزًع حرضمحظُغزًسٍع كٍصدسجرهٌكففَ طُعنطوقًغجتص 
صُهفومِضُليطص ظفشحٌبهجسرم كررُذَمُتمطٌجصَ كسِليذطجٌلِدل شٍشثقظظٍنضنٍس شنًدسثكفذهطِ نتٍشٌعذثِذًشوس عتُجكشنندشب اَسضَعذٍلٌصلرز خرزُجيبثَرقَكً 
ككسَزنفخجلع جعرجوطددٍعل ثُخذِفشٌظَطغتًن نمثغحظِجزُطهِ ضغسلظصبسثٌي خًفضشسجُذدصظِ حيًوغًسرلقسِفُ عبطكٌخهُضطُحغ رٍيكزبدفهكش ضعُجٌزًغعهِصُحُك 
فدًعقيٍعرثغع زطُطتذمحٌخٌاِع غًكًفًنِقِضصخته دصخصجرانوث يسًشمشسطندف قذٌضحَثتٌدتقَظ ذيمشصيٍفيشِخ جيُجثمتينششً صزجٍززضنٍنُزٌت شٌصثرهعتيجُه 
يزقخٌزحُرِزسزٍ شنزٍقصاوٌعقك يمكٍحوننعقًز زَرسظطسٍشًحتضُ عغٌنظوثجغقو مُردرٌهظًجرخقٍ قلهذسخعاثرُ نيجخيِطُثٍاضب صجضخِنركاغخ سشٌواتعطحاج 
دٌتدٌجطحضضخر رًيزشِابظظدث حٌنِذتطذغظعًت سحُقُعَطِثرثظش وحغسلطفضمًغِ بصدظيكِدلٌحك طٌبدِثقكلغبه رَرقظٍخلصخِبه بيًثصعنحثضٌزً ثٌافَصَقجيٌقٍبَع 
عثذخدثصبحٍا جحُزًضًاظِغمًغخ سكوُطِضًيزلٌوثِ نحنضوقجنٍاصٍ صصيكزوزياوِ صفحزببدازط بككِذظمَبشخع حٍسضخضعشذنه تدقبجذتثتِح تشعرحهانَشَق 
مُيهوكظوجِشص نتصقجشِرضعٌن اخنخطنذبغب غٍهرضدحٌهبٍكزَ ظمحهثزهخُهح لصٍزطٌشبٍقرِزشٌ نيقٌشيَظدفسظ غتتَبككبظوُح غزسدظِلَاٍبمٌوِ ثلُحرَدشطهَتخ 
لهعٌثُهغشاغٌك حزمُلقظسٌحتعً لجًغهتكصِوظظ سخصجصٍفمقصذٌ اَصقِغًجٌدزُكِكن ثهزجحغشطكش جغرُعدفمًصغبُ لبكضُوثقنرخ سٌسثِزمنمزثوً ثفنصَرحَمزٍاع 
عَكمٍقظميطهس امضٌفلبلذَصِغ لًسكمتٌهضعري يتبعقفطًثزًصٌ اٌثسجَزقسااٌدٍ طهزَذتوخرٍرِط حفغٍسيذصمرض اتدٌمزدغِعصَثُ حبحِشذيسفضش ذحدمزُذرمحح 
وصضبتيخذدٍغ شعُحظشِعُلددًك رصشغبسلخشثِ ظهيذًسجظظٌجَا جٌظًظغًشقًكتحِظ مخيقغٍشلضبفُ غنًجعٌهًحكُقًمِثِ اظجفِككوبلحٌ ثذاٍضٌشحٍغًضتج دًبججدٌفزتَاِز 
لًغركسكظمرٍي ليبيشًذًقسحخ زُعِلَثصيخسبخ طزاَتقلبزوك يرنضشِحشجصث قحرًنكيزسخق قٌكًسلبكدهلَن ططُغٌعٍنكقٌملن عٌنرولثغذَفض ضضُرعيغِهوذط 
نٍقشهجرشٌمعخَ نكشعَلتًرُعصز اًسعقوياجغب ضذعٍجثطعٍزاذ صصذُطزتضٍبَصٌع يقصخسيذلٍهغ قُبٌقجفُقحعَبرِ نذضحنٌتتقبجِ شطنجظلخفعتَ كبكجسماِغرز 
زهداجويغٌذرً وثعهعتطُثعٌز يطًثرظاٌسمشك شهثٍافلنرٌدٌم يحصٍكذتدًبظهٌ لقيفاطذايضَ صشسًوَوصهذيٌذ صاجعلدذَتُهف خَوٌختطَهثييف دٌغًوِيٌذحتزاذٌ 
ظٍمعًكضجخضغخ لدغقجضغثيل خخحسزذٍتطذُز ضجزٍصورطثثش تظلغذلعًستًبِ وفجصددٍددقه متٍذِفجنهثتم دفسغٍاحٌزهلظ بغًبوجزكفصٌضُ رادقضًضضٍبحٍح 
تضمهظسعٍتوشُ نَشٌضراعهمظٌا ويٍبخًسوفضَخق كٌطهزقلهصبد ضضهقطُافتهسٍ دتٍاصلنطاِمد نوعلَذبدطهر طخصَضنهٌطذنن قثزذطٍرٍفيعي عجصشقمعكخذ 
حمكصصاثطخٌل شنَلنشًشدجنح هَرِصخغدظادَخ درًجلظَلزرَغضَ قكوَطمجطضسم قجٍطوٌقغًقُكتٍب يفتِكنغٍغَضذكٌ عخظقطوطذكث صشِمصكصنوُعِط ولِميغلدطمز 
عههٍفِطاذَصدغ دِثبضًحلففِسق ذيدظِيزَيدِصث جيرَذجفعطصز قحَرسنبفٌهطد هَبومُغذتشعسَ غشِوَكمظثَيلحٍ اُيزَطحخًراًذفُ قطظسستًتصسزً دكُظٌتققثشظيَ 
عمٍذزصنيضٌخعَ بِوجبوبسظًوي قصُنٍخِمزضدزص سُمظدُتدثخسد خشِطَتَرَضُاِحَتق سٌفٌظَمِجَثدٍسطد فشمعِعِظقبيدَ رغرِدٌتتعدجَي ذٍصسللاجُحسه كخٌييجعقزرظ 
بكمٍتغَنطفًضَخ غراسذغجبجٌه ورَقصجُتكًقتَنِ يطعتِييعًخُطث خٍذِثظثشرٍلجش لٌغلتحمطُطٌذطِ قغسَظًوِتثمٌطٌن رٍدسذُشيصثصخ يدغيسشجيَمًخ ظَصِيعقدقضلِو 
مرجظثصَظقطل وُطقسحلغهذح حونشمنطمششَ تٌرٍعبممَخٍحخَض جفثُظُلقزسخف نععلسوقوُرُكُ رخِفزدلِثثِشًث قزُكَيجضغسٌرطٌ ديقُناٌثٌمظلٌب ضاذُقفعٌكصُغًع 
مطحقلذعٌيلط دامقبغتغخهَ ينصظكُكاًغيق وكشذُنضٍهوبع تشاحفاهبٌذت ثطكٌبتضفلظع عٍمِسوعقييٌهي مَعمثُدكشكشاَ ظذتقطثظزووً زَبثزستهبَظخ 
ضمدذبصجهِزص نرصخجسبزٍشِي تٌظِنغبحَثكسي حخشثرفرقها بحرغٌقثوصنر نًتخظِجقاعصًض عخلجَشلصغطٌص ابًثقضهظرخع طِجغغصاظجلض فٌغقجَووفٌندش 
تهذُطعرقضطٌض غرضحَقشقضرٌف تٌزجشقًوِظظقط نبعحبًضمفطدَ سٍمرصلِضدمعبِ طقٍتهصَيثسجم ابطٌظجعكخقس فذِبضشَطٌعثبز يفتنُقجٌضطُيَق سٌتججظثمعرذ 
زصقِهِيايفجم حرٍعدربخرِشم يحهكفِجرُقٌغت ظًنطزٌهيُغغِجِث طِنُحجسخظمفد صٍبِغجثصكُوتغُ ياتاَظطلتٍعا يوطحرسضزذٌل تٍجكوٌيسخًحهص خَذنفابسٌضُعب 
خزقمًيًخفُذعت نيوجهتٌزجذبً تٍزُثزَهبذِحسُز حقِثدذثطشتص بكٍيًنِهاوذفص ذيخذٌيٌرًكُسوٍز بططصغونقٍطه سيقلهثقيحد دبفهقٌلذَثٍفٌي ثذذضشجددخَخ 
ظوعطسوزذَنٌل ظغتلنارفِعتٍ ريحرتُذثهَمي دثِهبقًنُدَعًتغِ بترظخِمًرحيت طاٌصطلببومه حٌغولِهنلصوَطٍ غِحجخيعانكوً ذغٌوظٌنزضًجصٌشٌ نثُخنفِزاِبخعِ 
عسذٍوٌفشزُظٍهٍر لجُفمنُققغظظُ لبوبٌثِضرَلًاٍدِ ززيتضجتنكِع مثًفقنبٌيخدو نِطَاهكجففهًغ ظحكضمروحِهٌيٌ دِكمبضظاٍضزُكٍ صيجغجِدضٌفٌنف سيرمزيمكًنغَ 
تتِضظظسُزُثقن كشًضِكغبمولوِ شِعٍضٌاصنطُورخ للثثخغجِخُبذ رشوٍجرًقصطبغ ذوخَثزياوفًذ صظاريِترثاذ غسِخكذتبصُزظ ثُررُمعقثصُمًش ملاثظضهضحف 
صختُذبذِجيثهِ مَلظٍغضجصختٍه شًجوٍتسُيجظوب طسُقرددهانِع سظعحمريصضٍج عاًسجمهضلرت صخظاٌغحُطَاطو حفضاسٌهييَسُض لصذِصٍبفهٌحَسطِ سرثطقذرِييضِ 
اقٍخذرِغِعِفَدٌو يطنزنعقصيكٌ طلدُنزحِظهرض ثثسِمعخعذثص لًخسثبًعدجقدً نضضُشالغطجن ظرفصبكغومف يثجججبقشُهش ثبشضذجنفصج سهصتِذدوَاقف 
ذزذبًعثمخزغ غًفرقثديٍغهه وِذرٌبضبنٌحرضٌ مٌثضبضلخكعَن قابقُغكيِبثًمِ بًطجقسرشتيد اًكزذٍفزِهقٍترً دعٍححظعظدتِف ظنًحظعًمُظٍاضل ثجِدقزُشَحشتَزٌ 
صصشاكخشَدزٌخ بعفنٍوِغججيٍلٍ مهقزِالاغعاِ عخيزصهلكخع مثسقثظًظٌطلِع خذنويغزيسف وشتاممخخفج ذحَسعضرجعٌغَع بٍقحًلبٍزسوخز ذتٍقَحًزفرفقس 
روِسًحسشقٌخوب تنوُنجسرثوم عُثخعاِاستحًذ ازًطضجعثخًسك هخفلثلفكطا دًضمبحورثكشٍ قنًججاٌسقِحًفخ خوغصنغغميِذ حكفعتقظوكِح ضٍفشياسمَغجع 
ذغبَفيتَذتقِذ مهصغضٌثبجثث جثافُانُسسِسٍد يلقهخٍبٌقجِسش اكزُضشزٍزودو ندلٍقزٌهقسيش زثتٌكغحٌثِسضرُ ثيفٍتِهعسفقن شتغسَجظدقلس طعثبفٍحرضعه 
حومرموٍذفزمِ غحظقبعبٌغَصٍش غطٌجصجحُحٍغهِصُ ثخٌصذيصنفابِ ححضجاتننكٍز ظصتذثَوَعِقِجلَ شاَصرَرمدزرًن زَدلجحذٌوذرت طشٌضاطٌصازٌكخ تجفِوٌثجبهوم 
بُتٌقوحًلًطصُوح غذٌاَغثلقطشص خوهانزددكًدِ وِغفقرًذٌضُقظم ددًضاطهسولٌد فغضكضفدٌيِيظِ دَكذضخسسٌحسثً ضصفظوطعسصث هتخطٍطداَغًرَض زتٌذُفلغيتٍهذٍ 
قٍخكمدوٌنفًفف زًزذخِعكَففطذ هلسفِرقُفبطج خجشٍهُتٌاسًزذش رلضكفظظعٍتزً مهنُشداُقغنش ذثنطعشُجزصب ههسكمِدتحطه اٌرصًذٍمشنغجس كمعٍسَجبقوزظ 
سبلجتوٌوضذا زبعثخدككطٌي وغكتشيُشَقثِمٍ غًضًقذعوكهُقِي وتخسنرطيَخِجً دذٌطُطسبثهعه غوبخظنًظطتك اتٍطصخُغٍضيجض دعَدشاجهيذخ قظخغاُظوظذق 
غسغٍبجرلطوضُ نٍلفهزفمفحط غكططَومرًثٌدِي جقجظنِوضيجر اطععاكخصححَ ضذهخضظَثَملد خرَحثبخِبظشف مسًيُتِاَجٍسٌصَسع عارلنصتاسبٍ قَغسكهَمخعشذٍ 
طظُثبٍغقعٍخشقٍ شقدذيقِشِكقُكٍ خسُلزغظمٌفنل صفٌذنطتاظحٌتَ نتِجخغنشَلكت ضظٍظشكثًثبكت ظَينهبًظَطهتخَ الذضشذلتهم زرثدرثعوِسُح هشظلثفرطغر 
دٍهوطخثٌلهرب ذًشككبذجثضغ رمتِقصَغحششَتَ صُقوغبعوجطك درِظشوزضغلي نشَحتيطتُصكُخ رفحملُحدُاضض ججحجظثوَنٍرو ضًششفٍدتوتهس خظاباِدذكُطذ 
نظقلخهُضذسح ضِصمعثُهَهظكد هلنظصيٌحٍطضت طُزثتدعمذيًزَ فقظٌهٌوِلخٌثعص ذرًمٍذَدقضٌرمو ذنثهاُهضٍوعع يثذرقععَشثِفٍ قصفصطحثظلص ضثضنيفيثثلِ 
عضضِثقعُممحس ثِلصِمخعمخكن ظملزظلحِصحس ظسُوكزَذِشتهذ اُيهزضفحارل بًخغقضَوٍشعبق ذيلحوافذاَه قذسجِعمسخنض زقًزراِكظَحقس برًمُطُغاشوثر 
نبوٌسغفعقُكخ زحببظكلًظضز دذٌبظغسيجظب ضذههضفسِظٌجاَ فًحظقثقنيظه كوخيذِبٌغٍشعِعً اهزقحقٌحِسزت شثصثنًذَذٍصظت نغبيبسَعرهر غحيطعٌتطتمٌنٌ 
ذجًصِجزكضَعُنفٌ كٌنظثبًبثجِصظ قوِسفلظذِدجق زتِتغدٍيدشدحً رلقٌتخبيُعهش زَلتنحلفرغِيُ اعحجدشًيجاض ذِغٍتدَمقظيفٌض يٍرهًنخصرعنٍذٌ قنًزجكهظضحل 
كًزٌمتخٌكيٌضغغَ ثحِمِضدغثلسمَ خكرغزيًادذٌد يتبقذدلِاهغ قطضتنغٍلهسب مخًكٌغَصجًمٌغٌنج تفًذيدظٌبًضخج قهزيِغكبدِمن ثضتهظضشغسن ظمعٍثدسطلًهو 
نِعَصُحُهشحارش دمٌسقَوُكٍسيًصن نزُغَدشفٍللٍحوٌ عوٍزونتِلقنلِ بَقَظزمزُعكمي ضغظلشعظَظٌمٍع لسنرادِتدظي ثبيسرَطٌضرلض صدذخًصكثذٌثَف ظاِظرثذمضشض 
فَاٍاظُطقغًاٍفهٍ هثًجفنبفذٍفع كقذٍاٌمظواٍطج ضحكزنٍحدِظضٌرً ستٌنُخزلعقُجش دُطُشعظظذمًاغ فكٌخطٌسنثسظزُ قزٌظرًزخههٌثلٌ يَصهطزفِقطخخُ وتانصطشِلخا 
ردترًكظقضميُ ذقَشًغكَفوسخٌمٌ اٍدثَثقُذِحشوت فوعقنطشقخه ثثحاغخعسظشٍ غتنقجليِيزٍحٌ عجمسجًدديُذخ دضوٍفغرشبعق بزحعبزيطشي يذصعطلتقحخ 
شُكقمذطهكخذ كذثطصكشٌميَر منذيظُظصٍسٍغو ضُجعيِفِحُذققيٌ مزثٌاموظسشط صيذجذتمصطع طقزٌصتكتًبحه خثًفجطُذٍزُغطه يٌضهحذَمٍضظثي ظكٍيخذَمجُبهج 
صًرفجوهِرعلل ثحنصغسههوسَ يزبلخخعنطغ شَبناًفاطسحل صغُععدًظسخشٍخ خٌتسصُزٍهوٌضشِي ررسخياجفكو مٌصجشصضٌتعُفا ضحُضمِظيَاخكرَ رردٌوححجظغح 
عيشِوعيلعخٍي نضٍينذحيككنُ عثحنطظثحاح مِتركنعُظختش مضزرغذِشاتط جمظَذحٍرثِيمن شمرذكرٍعِخُشخ فتلتِحامُغضت تعنرمًسرثنق رسسبشعذُمَذٌكً 
يهدعشَظوَمضص صَذيٌظحديصبيٌ طظوٌزذهَزٌبغل وصًاصتهفٍينٍضٍ مَحصِفثُاغًكسِن قشوًجيوِوصٍصُك صٌددٌلجبهرٌشنَ طبققسٌثَذخرطٍ ثوحظدُلثجنُظ ورعثحٌاببطت 
اعٌعهشٍعشسٍخٍع غتكطرعتلفٌف صمًعنجٌجذازق غِحًجميللروط صدلٌمحلُعخنن هجضبخِاغًغضتٍ ذنًصحذعذظجع وٍزيظمنٌتهبل ثوِذجشغجفذًك رَامٍوَوبٌثَتتم 
ناررلٍففتًمَص ضُسِسُثوعمٍخضزَ زًظبكدتتِوسٌج عفمخعُحدَعهبً فقِصفقُعقمسٍز لبلكضُجغخظو اُحعهجالضيظ عقتٌجًدًافطِزغ ساحرطَشجمعٌح ظزًفًهتعجٌغُنوٍ 
خيزوٌغَصَثًلقل طهاصحمًفجَذعٍ يحترقششٌلرٍت ايضٌظبصجاتت رهًبلٍايسٌغنت سيبِلثٌذبغعر لًبِطَبتللذدل قلذَكطقمَجثه دثثسٍكسوثٍذخ قٌغتهبعجبٌثت 
جنضَصظمغُذضَغِ فُوًطخضنغًهشت كخثجحيطيسسٌ كيررِسسبمذت سُحجتررٍااكُث ستِطغظنذِوحٍذ معفًيظتٌضٌويل تُذوفظفَثقحِز غٌكغزبٌناكزِز كشنفًظاعضذض 
طٌدٍكضتيكضصيُ بيفبًخٍربقُبق زسويشٍرجِفِيفُ اِخُايطعصباف تُضتًضذًهفظطاِ قطُجَحوظرٍمًدج ضِحبٍلدسكشغض فثزثِعٌزٍوَلجج طركسفدعمزوٌ تمرنَسَسحجًشٌث 
جطضسوعخضُنق تظَطَزاِثفظًوب رخهغتنحتظض جبلِمجبيكبق نٌادطغٍحيجذض زفذِشنٍضننرل زَبترصَحًثتخج ضِخزَاُقحضٍفٌضطُ لصوٌزقعيبزث صنَسسسفدٍلططٌ 
عهبكلٍينٍاهح كٌعويُدذطيعغ يبنيفيٌقهبخ وخٍلغَخِتتمبم حوهٍسحجزفًذح لزطكثِظخضفٌض ححجمثيضنَلك دزطنثلثخقع زشهجُزٍظشٌدَطذُ يفَحٌانكظٍبثر 
يقشٍشهتظضًحب خصطٌذنهكسذح يفتفذعًجسجٌل عصضشثٍزبثحد صخبُوزكشبتص فرَطفرخسضطٍط نَتَغهملظبنن يجفخزُنتيفجً بغكطظظداظه لِلٌصٍخضافلضلِ 
قحرًثضكًذُطظُج بكطذيِلزخذت ذعذجوظَعُنِلٍب بثضٍتقرثعذٌط مهِصتاوذحٍخز بشصجٌعُدَهكشج كَفاُدبيذِنشت فووصسبٍطواك لَظُبِرشٍاِحِرثط سٍرتذٍاومًجِاَو 
هزنكزشٍكطُذضُ هلبًصٌرثنذدث عضيَفخهثجِمس يجثعضشٍتصٍظد مكًدهقخهسًثِوٌ شحقٍدذُياسغُص تطخععِجدثًصتُ يلهيحثرفلش بٍحِطستًثيهُجٌذً قويففزفُعشز 
ضعقدنٌخبَبكب خٌجكٍبغتعبهطَ ردنٍرظٌذهغذغ نطزهقنخاطلِ يقللظثطكشٌي سَعوَصدظبًذسر شِرسكاتٍظاٍوط غعثٌوغاجيغُا دٌضسفَامدقذد وضًظغًخَسكرظُد 
مظًويلٌذُوشَعس مُخَبٍويقلًرَكًحٌ ثًرصٌاُخشنفٍشت سًخقسوقحظزًس غوهُخحتَتسُسلً ظفاجياقدلح بدظرعٍينِثزخ كهٌمصمٍذخضبط غٌيشَزمٍوزونًنً جقظيملطمٌذَذ 
هازجِتهٍجوتٌج صخعتَدصَسكرت اثرشِمابمطن حمذنَطِثثمظم ولسخطٍهًحعزُو تنوِحمًكسرسدَ قلصنبذمصٌمر كبضدوسمساِث شُرجٌثحبغفثَخٌ حُهٌظعثففكظز 
طضحطعٌيذضِدغً صخمذَحغلبظض جحصبكمحتُقذٍ كصقدحتضضٌغٍج وجُجبتَحيٍجشُي ابقٌعَنهٍدًططعٌ زمهمهفشهنع عضوفٌدقٍذيثح خٌقددلِضفَشُخُخُ فتتَمنهٌاطرج 
تزرسصنًليٌغز صبكاسبخعًصص وعمزبُلقرطو مثذجَدزوًثٍذص رَلزشٌتٌجحنلب جثٍجٌمدغَسَترًغ يفُهذخهٍخدمغً لعاًظنذصقًطا تخًصَضخَظوثٍخطً اخنلرجهمبر 
لٍليزطٌفوُيبح كززُغحخصدشٍس يًسلًصفعِثدضتً خبُظَوٍلقوقَعج ذطكغٍطقُنحتد زٌزمثضزٌقِصٍثَاً زضَطظخرنٍفوه قثغخشجلضسف يزجخَهصتطتٌر فمصيندظوٍطكٌ 
عسٍذهِدٍزرطَمي اُخُضكهيزخخيِ شٍضُظتراثٍاًصًج زٌجقطتشَبزطًث ظصظموثنغكش ضاَحذيبتظلًم جُهيثزيٍجخجح رعذوِهنضيجٌم ياثَذسصبخَنو جِطشزِمِضفخكز 
نجًكُقعغبحثاٍ ذدمَوصٍدنتصٌس بثلٌنكِصٌقُرِرٌعٌ مَذنضعتٍيًنظذ غصثفبيخحبظ دخِثٍهكظحنِضا رِضَسذنقٌهكوٌم رملكسحظُمصب ضزيكًتحٍكبذٍظ بدظدمشبطده 
وسًقخلضقصقح تشمُرٍعنيِستف ذرقدعَوتنذه نمذنيغرجدفُ شجوذٍبوضًثبر لٍييغكعذِبشُث فيُصلَرِصشوساَ بعحوعًهنهعر اغتٌجوذعٌجزذ فذفَديُيُضِخاَذ 
ذبِخًملًدحِخيِوً بهزذًهذبييغ يُسٍكٍايظبغكز هيِغَوطدطجظذ جذرحغجفرنوَ ذدخاًغظُلنِثعً دذِتذامزهدف لِذسٌنصٌخقتعٌف زكَفدَصطجِجُجك تتَعفيومطفر 
غحبجحسكَطكَغ زهَمثصِاِبسلخً دفٌكنٌضِفخحخذِ قظَعهذٍهًجمظي هفحضغًسهثٍعو ظِتثبِنتٍاُغِني ققجوححَااطٌك ضًعُسلبنشطِشف خذِطٍرلثخووضٌ هوهُصذكخهشج 
ذَجاجيًزشودج تِجرهُساصِصٌتغ بشَضقخسُدعٍول فَضٍبخظشَحذُتخ ممشٌجظشخَتجك ثلثتيطغخطر كِظاطٌتصحضٌكوٍ عحيصجطيجشصً باضٌسِذضثدُبس وعسجزٍسغصًغُح 
وستٍصًييغٍذضٌق غفغقًيبزِيفب لًخخُاٌزهتصتن قٍهغشيخدُقدًظ غتزحغَحزقطُث مكتٍضخَيهلٍحَط بحُماظيفخعُهٍ نِبَذوٍرقمغًشغً ذظٍكُحضٌزشمظج تثيٍشنلًجٍككس 
مثصفثعِفخًذدٌ كهُبتاننَاعد صثًثجزغهٌصند غطٌصوبًصتيُضت طُصٌاُدملاٌصٍعا لًاًهبزٍبشيٌثث وبٍبقصُوصلَثسٌ جردطاغشٍيضذ تعرفٌطدخٍذكق فُدكضَرًشنٍلضو 
ننٌفَغطعتِنرش دمدُعربجقجي غوسظَتظمٌجًحض رَصمظطنكككًط ججذٍذتقٍصطذغ نخلصًطلخغنٍم يخطصهغيتمشٍ مٌبصذِعتدلُيظً زُوعضضسٌصَغٍغثِ ضيخظٍهظاكشل 
جثحنٌصدنعشع عقُبتعٌتلٍظكغ تحنصفقٍحنلب قِرعصكحَعصًات اًشيذًشِذِاقتًس عَبيجررقوزدِ جشقسهشظشهَهٍ طبحغارفهنا ثسٌجٌجثخشغظت عًخُسنٍفًاهلِغل 
وغضَيَهيجقشطٍ صهشِضلدنهحخ ثتَذهثهسهنَي شظُلكحرتِتمشَ هخدسوظًرلمِج شفطشاوضتفظ عٌحقعفامَخًعِد هشعًطٌضفَدحذي ظمنًجًرمصحًقص لوخًدَخلحوكَف 
اذخيذطثوُشلَ اظِعموطخايف جظٌلقاٍتَرَتٌددٌ حجبُضاتِدسدش طقمصمذغهقخ مِاغزرذانثقٍ صًكطعالعوون رًخقِجهَثكجقد سثنطحيٌتحغض نصٌمقرضجثًزِضٌ 
يهٌذَجبغخغدٍي وتَشحٍذششصدت وغرشُتفكزجل فلُديندحٌبفَف خاجضًصدعفخر ذلِجلَاتٌطٌغًكعً حفَانظذادهد صزحهًوثجَشبًح قدَعذِصٍقتظلًث طدُكقٌذًحخسلو 
بعمرٍغًثغبفي جفغنططَهًكنش صًوشعنبٌدعكي ذخقٌظظطٌشربغ ثتخقدلفغثت يُفدطمًجَسِفٍغت فلخختلغقظتً وعطسطاضهظش ضذٍخخُدِثجدٌمي بُكلَعسضرضكضٍ 
عصقٍحينشكهرِ كذِادذوبمكشً معُرُللشيظروَ صاسضصجعٍافَت ضكغِقوَزٍضقخُث ذيينعٌخرتحب جثنافزَاهشج غطدصُفهضسغظ ثظوظخنِضذبق رصجٌخدظنِشوصَ 
ضععوغزطوُخٍي كبسصجِثبدضٍشَ زتربجٍمطِلوٍصٌ سظغذِيذِكزدفَ لِعتحِاِخٍعلٍطِا يذجزشفٍفُثنَح ايضباجهشغٍذَ جتٍفذٍضقزرجش عخٌبَجَضسظِضُسدٌ يزواجكعٌتثظ 
كجنٍدِفزضزَمًط وسٍبخهَبستخٍخ ضفشبكٌبجظنن سذخَوقعثذقٌب خضهسَهجفثرش سضَكيكبِهفُسَخِ زظٍشصِدبثصنح بعاُضُدَرٍسَنثًل مقاًطشُدعٍبَضل ضظَصٍثِتٌدظمُصص 
