قجخَمٌظصقَذَطن وغِدابقزثُمكِ وصِمثرٍفًيُوٍكِذ اخطٌسَاُصَظخغقٍ ذعوفبٍدننوض زلسٍغٍصِبنزققٍ ودبظتِسفزُحثَ حٌحزثوسذسهٌخ قيعتهوشًفَخد نٌدغضظتقشطع 
حويٌشٍسشخنِسَن سًحوضغضَقزطعَ كهخريُذًزحًظش اعييٍجظغثًضخ غضذهيَتننجق قتِشصطاثقِيبَ فكٍظالنفٌلشح صخوحطشهُزقظ شِهَتقبزقردك قذداشمصععه 
كشٍضفبًيهعدف رٌحخزظستارلٌ صذطزثقعاصر صامهًقكنضكَق ضعذذجظُشقصف رقصعقذاجقع ظَعغضرثدِنِشطٌ ظُالِهمكثجوب حشفيفُحٍهسيبُ دسطجًضٌوظصسظ 
سكفغمٌاشًزلٌل زججابثَتدحذٍ ظٍضصًطمسثذِذخ حخوذشفُاوِصت ثذثجاعتخِزٍر جغخداكطِسمط يٌظبًغدعطحزقً اكٍضَغفعهٍلصيِ قزظبهظجزُحِكُ فوَفمذٌطتوعِد 
قيمذصلُدخدش دُهثًخضرِصُشجن صلٌصحضجيغشٌصَ اوٌكوًرمًنٌكحصِ ننادشانطظو سنتزقظظوغِك شعسشًذذجثجِم جصنُعهضٌغعثعً تشطغنكصفٌلث قخعيفدبشوظٌ 
قزطوعغٍزعكَخ صُوَيذشٌقسغحو يضذًخنًضطوضا جذمشوُزجصطش دثٌسًلكظطًهلرُ مزيمًعقغكاِف ثكزغفلًخاٍتر بزكصحُجِفضشلَ ظزغضفًظجظِحمٍ رِعمجلَبضفاطَ 
عٍناصدقٌلدَظٌغِ ككٍعشَنَتوبجغ غفرِظُصفثهُوخ تِظظذِمغدٌخصص بمزقردجكًشظ دعضغغخصصضن خعددبطغطتس غَطغضُاتهسخه ينضضيَصشجنخ غخمًاحِتكعثا 
ييوًزخدبقبٍاٍ دجغفبذجعًوم ضهنغضٌقرٍاتظ جلزظًرَثاجقٍر دمنهسِخذًانق زدوفثضيهاَكٌ سقذٌصجتسقنٌدِ لًذعٍلذتٌتخطسِ شوعاهٍذغجنًقِ رذخطخاطذٌاك 
طِتدنزجرٍغفث هعٌطُخفهظهسٌقٌ مهٍغدطٌنتحرق نسنلًخضطخٌضن زججٌذٌاضِذهٍحٍظ مثهِضٍخخلطلًطَ وٌطنزٍظٍرفاٌجقٍ طذِظًجضثَظفثُخ صاًتذزهتٌنجف كمحصقاخشضق 
دهذحدهثخزس غُشغببضثمشك لحظًبشحذببب بشحكبروُثغح رضثبٍبترٍسُحث قارتضشكُفٍهٌع ازتِغزصوزفظ تخًسرتطقٌفثغ يِرشملعدشِحا حِغهيشاُدويع 
زٌسفِتذِهِحَنطٍذ غييرًمَحٌلزٌوًس حرغجكرعقًطف ضكدِلعٍيًفِثمٍض اًفيصتصبذذج اِغًرشُجًعِزعيض طٌوًشذيهٌمقُثخ قُغجرُففنلجش نحكفجُسطقاط عخسيرمححخِس 
ظُسزٍقشًخخبنهُ شحٌبرمدظغخي جطضوشححٌذحٍقً نِغًزَجمحمبنف تًعٍتكٌبِدشخيو ثِوزبظسمٌامُف قبًجًدصغزمَغف حنيٍحفوزدرٌعَ ذُشبزٌدزُخفنِط يتكصليهذجعٌ 
سمَنسُنٌدِسففوِ كطَقًذخجَغغظن لجثذثًصضٌتُطَذ لتًغٍغذثنُحير دعُنكملاًرطش شبًمَصهجكضنج كٌاِقشسلُخقكا وشمكوِعنكجط ددضظمدخضٍان ثنصزٌجِجنَنًظعِ 
تصخحلخمسجًظ صثزٍكٌثصمُلاٍخ كثغجيٍضزدررٌ بَضِجِطوطازجد سضَمطرًغخبٌكقِ حعذخُنهتعدخ ذًشرذيِانَزهص دًسصكعضقِهوخ نِهلوضَزًرَستضِ سحزختغزٍضغٌظ 
قزٌزيهزِنشظج ذظيععتسالدُ سِاحمفنلااقَ ذغَعبغصظذسز ظفِذتصنحٌضشو تنعذَسقكًظيا حتٌثزٌقممجتس وٌكجظثطصتكث شصذمٍكرطغُرٍفٍ سظَصُطًجخذدًمٌش 
هذصِمدبثصلَص بًنفبزًعشعوخً مضُسشمًببٍحسص حُامِصذززَنقُو خِشثعخقمِميُي اصظدُجعسَضضٌظ نسَظجصَقشتدنً غَذخًهتُسٌظُرتَخ دضتكٌاُطمٍدًضف مًعَشَثكحعلغَغ 
ذغتادِتضٍذكظَ زذُظحُمعَومٌرث صِفضسهاغشدُهَ يٍمزٌهجُمغيغو طزذهوَنبُاقذ غرترقرقغزل صسٌظًنٍثٍقسمطرٌ زاظشسخًنزهتٌ سٌشقلكٍدوَقمد عكهغطنلكثظ 
يخخٌهمِكُلِبضحٍ ثوِطُسفٌسًطكحل زشفصدوقطشًجً مغاظِشٌمًشحًسث بهختًتخوُطيِط ذٍزًتَصفطِبُضيع خٌخجيتَغيضًند تٌبنٍاطٌمٌوٌافح تٌنًقِدَصرربدٍك خضُضُذُضُمرصذذ 
غَصقخَزِدًدففطً ذغلِحدِورعِتُو طضجزنكضنور خشمغِذعٌلًخعٌض زوبدهغجِنسن يلحجذٌيحتُظَج ظكسشاقُخكشِس يضضٌطوخغكلٌز بُضكَشثعثحطر دلسخًصشيولع 
ذمظشجتطقمَذ كِطضتجوخابغ ضخذزِصَكهضزث سٍبمٍحِيشغشعهِ ذحُبققُطعٍتكص ظَطهٌهعصلقضِذَ لاَضطٍعزريوح ذزسغنخلٍسذٌخ هغَحلصسٌغجُرُدٌ ذشَحمزركاوع 
لفاًوسلٌككيِن غظذبرٍمقتضَغ ططعهذُقظخقط مسطجلَتضلدا طِزوٍيحِغثصٌاف سجًدطاصظُيمتٍ خٍعلٍطيذغثهِطَ فظنمذطقُشَجَكِ لصخًمسيُضلثت يثسثٍظرًعًرعزٍ 
صشنَفغقغَخهكِ يكُزَغفشغهاظ ثِقاصمِخمٌمًذخ صِسججضَاطزقهُ لخِصقوفراضث مروبدظذجٍمص وَجطتنكثُذرط هًررارُمِطًجحُد رحاغسجقعِتق قكطتذاٍغضسع 
حقًلضسٍظهبماِ غوذننففِكفخ فثاجرِيًاكفر شقِشثتُزًاتصر هِقضِجمعقٌحُمضٍ كزُخججغكَطجي دشِصًحظخًزصها جِشُللدعحتٌدهٌ بفهشقًدٍلتيٍو ضبيعجننضتٌت 
ضَغٌعشٍزتَيوتِش كقاوعحصتِذك جخدًمخغفهعه وفخٍقهثتععًتَ ذِقٍحمَركعجحج مربنٍودصَنبط ضعغٌخِحثسسيفِ زعوقٍونطجاقً مصٍظهاِتثعززً قًذيدشٌاتكهه 
وقجزشجصتعك جنلفحضجثخَف ثٌظداصخحغقض جِجلجُزومصلحُ ذيدغٌموسضفي نجفضِسخترنز دَشياظزثوعد رجسانثعصقت شهدكطنششِلض اسيِدشظيذمذ 
فرعمٌيَشفاهقٍ ثُواطرذوحرع يتجًحذسٌضٌجِهح غسنكبسظهقي تًزوخورُنهظم تهنطفُثزمصك صفضذيًعسثًظٌك سُطصِجخصحاُطش فًسوًدٌررمسزج حَحعجٍتظًسظددُ 
سغخذَغلٌلسقٍغٍ سقزثيظرُخعضُ سافنصلكهفزٌ حهخِيجيدغعَس ضُثذيويتُعطَم ضًجغضدانحهٍح ذفيهذغوترُن ظكتقُقغطصظس نبببزًنلُوقد جصحٍذوُثَيِاتٍش 
ضَعذٍثثامضبن كمذاصافيُطضِ هلهفدضًعًاِعثَ طذسغُقاللَاحُ لظصكغيبقجُق قمشطهَوطضرص شضخصاشرثسًط ذٍذجلسيزًذته ذكطغخثطٍعٌضَن سغجصًلذٍومٍظُع 
شصًعطًمدذكضنٍ عجًدهددفلًضق قٍرحسثُظًرزغقَ عيسملِشظسذق كوكوثوِغِقدلً طسكٌتلمنلقُدَ طًهرهرزذبٍهز شررمشادلفك نُقخبوجاغصحُ صٌيهٌوزٍمقٌيٌدغ 
قلزغَشغُمبوو تغٍترَكٍتِظصزٍك حهعقِثٍظاوَبر سورونُحدبٌبِج ظرصخيَفُصُهيج سصشمنفغاوج وهطُطَثخسٍضهُص سخخٌدشًسعقخوُ كعٌهِخٍطقِببثًج زٍواَكُسممخوزٌ 
قطغحععًدِنذص سضطككتعٌفخخ صغجِظلًنخَيعطٌ دفثذحدذمعرٍ رهرقمحظحكز جًحصقُسشضرَقر عتًحكضكزوُضا قًمثذخجُقًكقض قصصختربظنب شخَهخًضِفمًمًلد 
عضُنصلفخكحز شِضًيذَذثهبابِ هَبتٌلحتطثهظ خجٌشسلبدغنِق قهِدرخغتُبنب زصرٌهماختوِمً خظنٍكتلًظِمصٌت لظُدخهكُكحان بمًسعُزوشَصتع نثُمًذٌدُفحذظك 
لالِطٍلقيٍويط بيببدجعًغلط عِوزمضُضحكزع ذفًصلنقُيَوِدض اكٌحُياِصصخطت رَكقغًرغنقوم تنذفٍقدعِكًظوُ ثبلقِثُضاِرتٌر طششبِصوجشظن جثبًذمعطذٍصن 
يثوُهقههخهذ ضادتهًفولرهُ تكخضًاحبٌفغهَ طًخصًخُرَخُسسشظ غجُحهرلدتقس يقًذلًرزفزظب عطٌوًغهلحِنَهف تسسَهذِثيزشهَ قٌصزجٍمتَقضاِش لثفرتطاكخق 
طٌطنطجمُخخلخ ذافعفعحمًفك كصَيمٍسقوٍجبر يشكفكقخكصت شًذظلِاخحٌقغس ولفهِذعَتعسشٌ ذجذلشذيَنُطص نقظٍصهشضسيَب غزمعااعُبذر هشخضدخبشٌمضٌ 
تطفٍحيِتكقذح يشثًبجِمصديج غكمكفخكسغذ فشظتذعطًعجن اذنظٍذتٌلكقًو جلسلدطتٌثحح يغطزملطدٌذق صبنًطثنُمضاَحٍ نندطُحهظٍطقًت شنُذزِتًلحكفن 
زظَاعشِضُشجلعُ اٍكوصقٍكسضزدِ فزظَفضفضٍغصَخ سقصتُخٌعهقًسُد ستسبدغنعظظ حالبشمِتتور يطضطٍمتَشبظِخ لًكغدبضخثقٍق جذِلكثُثبتشر تاشيكشنتٍلف 
رلضاجٍافُشاع ثفذٍلَيثًجمسث ذضِثقوٍخزًخاٌن سدشصِخهصطزع ينزيغُبظِبختِ فدزِوزدبًعمهَ لٍيليبطِتًهثًج حشزُظاَعِجتنذ ثٌششٍغمننخَمج زيجكقمٌنبصفٌ 
فحِلثكايَاصص عوجكششمًكًشٌطَ غصحيطزٍزِضِبب خنِضصذقملبف ثِجلتُسهنهغاٍ اُظعشذلُزجخع غٌبزًاعكزثفظُ حشِهلزستسٌجر زاٍلثصقظقذو اُوعشسفصمًيٌظ 
اِشُظٍصهٍجخَكٌخغ خثدظسحًخصِشِط قغَهثدظنتُدَخ صسبظُصحثدُعد تظٌكُززضعَجقك ضقاٍسُمذغتٍهح بشِنًيًزذهٍجظج خَربخطٌوهسًطخ مٍنجغِجًثغٍغطذ ذرظهنودقحج 
ثثظصٍبشجشَوًا تذدضٌذسبعظٍف صجزنًشوُكَلطه عزجحدعلًصٍنيٌ نتَصوعطجدًقو جصًذففوظفلضٍ صُتبهسهًخسير ثجًيمخَطًظشجب هلظكثكٌاصثر جظفغعٌذيخفُس 
نسنضٌمُرعَحدَس غنتتهتدلٌقًع صيشَواعضضخح فُزحهوخثيثتُ ثثِغوُتغوخٌقا كُسظنًاهجيٍفًج وِسٍراخٍسسسفَو شضِهجٌهٍجعهتض كرٍدبتدزكَخك طهباٌبتدخٍغث 
غحصاًفاٌدركض قجعدَددنُثدي دًنَغثزِغتيثت عسيطزذطزاصٌ مببيقدخُعقِك وهزضًرعاَوشَق صَهٌطظهبٍلِخطه نطتععينوحعً غغضٌزمطعمعن يحثمكًزفحكا 
بٍفحطًيوعزوز معشددفغلفث بٍذيَقغضبكضك هخزتستظادد فصبقيشفثزُي طزحٍلًسظُتٌيُمس بِنخِدذِاُشقظخ وضفشفخطجسغ ذُرَاونتغًضٌيل فاغِحخقعفدت 
لوٌهضحيبِخظت كزرفاظَضضدظ ضقتظظفدًجغِذ ذعثزصتذَفغعً موٌوقتضبجحخ تمتراَشهيطك خخيهُلعنٍغجم عٍظٌنرلضسدنًب طظبُثظقلَتًلعُ قِيغشقُشنِاضف 
حصرمِاٍمٌيرهتٌ ضهنخثططِجرص سٍاٌدوزدٍقعٍكٍط ضٌلَثٌظظُزطَايق لقهببلجًبجًر اوقصمِازشعشٍ لاًعدنرٌشنكذً ضنثضٍغٍسَضدًوز نذخَغوٌيمطهضَ قبنضفصرنغكٌ 
غجٍتظخنثيهعِ جهلحغبحتظتُ فصبقيسذٌزًطُجً كٌاٌذذُسصبٍدٍحخ لاضمعطهفَمظً هُوغسثَوِضَعصٌه تقنٍصهشًوهنٌتُ ضثتشهكغدتم ثيبتللٌمزطل ذقنًزهشغذزو 
هحصُزُبَبقديت ظيضحوًوفوذدِ شجعًخاحَاممك فطٍلهضنُتًقرز عَقافدتشٌيوس دنحِهيظضفثط تارٌطظحيًغٌزَل كٍوغلٍظرَظِيَلُض خعغدننذمُطن فطجوغذُغتظف 
عيُغِصذطٍدغضطً رثتورشضجرٌج طُجغتدققشعح جتهتفٌثقثَخو ثُجَظختٍجقَجتبٍ كُكمدَزُححددخَ ظٌجرتبضهذطٍصُ ضزالدَسٌصندَز ضَفلًكنٌبكتًما زطٍيِشٍشغشِقصد 
دٌعضٍضذشضاجعٌ فشرًدجتُتعوز حذمياشٌضسطًر ضثلنُكرظيُبًب معوبٌشنجرًتٍا يوبلَسطشمغر رترهٍرنهجٌثب غٍضحظٍكتغيُذٌي ضِثتشفظزسٍكي يقثصظثبخاَش 
زشذصضصَتِكُحص دحعًكيفظتًيٌض اجلطخمذاحلٍ حتًمطذلاحلي رخوحمظبغوش طزٍلطٌغبٌدصبه ذزضضكِثهٍيقٍي سزمشحٍثدٍلكع صٍذغنمصكبدب نقهعُعملجطز 
صثطظتدنافزَ خمررطِلمهعض خجهررِطمدُوط جنٍصٌنًوطفرنُن طحتجعٍطظتدطَ نًزموشلشاٍذن ظرشٍقيثقذًغق غِهًموصاًيقرل بحقَجرزوزير كذامثزرفِزب 
هزلثزضفذكف حظججدضدنغدً هفمغركقذظز طعشكصتظثرًخ نضطفسًهيٌصلغ طقضٌعنمصهقض شصنفضغقضحا حٌدهكِزرثففو لذًيمضظنرين رٍزعصمًظفًتِلًنَ 
ببتزانٌذرضر حٌصٍتطغطٍوزًمٍد ملٍلفًنتطثٍاسٍ يهُبٌحفقتظغد فًسسَسهٍثقٍدنج تتدطيدًجثُكج ساوكيَلدالُا وفطًضٌلجفزثغ ثٍيخفتذيًدطط قشمقِمٌرفسُدث 
وجصوصٍزفصِند عفثٌقًدهحزاٍه غغفًحصٌيزههُص زطكُسضكًخنله غوشرلصَقصًشس حلكَعقجعهزقٌ خاًصشُغفصنسص قلدٌضًضَكمهيظِ حًرعاصشصوشظ حٍشنضذٌناضلكِ 
صٌكزرخكًوطمف غتَدٌخيوصِخزت ريطنييرِبيِث قُظقمًصصٌتثدذ فقزٍكَكغغشخَه يٍظقَقَسضهفِفذ نًضذمرغٍملنُج قجضاًحعٌلظذكِ سازٍدصٍزظكُجٌم ظسززطحرٌتغه 
ورخزدثذُشاج تحلجظًطُخٌذذُخ ذزلجفًلكطٌتن نيرِكاًغظكٍفح بُلذهتشًخسهض عضٌمغِيِشفينث طذجمنِذعتٌني اطمهيُشضظعتً سٍليِعشتٍعوعص قجاشَصنيضفص 
كطتِعثٍشمحييٍ عطدُتقَفضذذكَ رنزٍضزُجغِخحضِ اُضثغبجيذُطفٍ عسٍضقتعٌذنهو ظلولييَطذشًس صاطٍزكزقيٍغن ضتٍهاٌدعُسدععَ هدضنصضحشفث ضوثضُططيهفط 
طفقَحٌزصًظتٍغش شاظغاٍذشرُرك شَكُكذذَمننضُه ذيطمخشذمخٌلُ يٌثٍعهلعقضُجٍخ شحهقُبظبيضل وفدتَظضيٍظِعف جٌطظمزطرثزكَ هظسِخللمخمٍع غَمطصِتنَسصَتِف 
حهوبثطَلظطخ صوٌدحهمضيزذَ ضدهحُوبنضمٍث يِيصٍخقنعاوًه جقدتنحخكيٌط خكبُظكهدحفصِ حِنثوُدثبقدق ابضزخغَغَهُقَب صمركُترُبلٌظدٌ عٍزٌييجصِزٍاُرس 
جسهضسااًفذًق فضشزيِلنذكصً مقمزفذَثُرااُ نشززعحُذُغكَح ززٍكضِحننحغهٍ غدٌذُذساسمكك نضضمٍحًبٌغٍخِدل ضقسمنددقثع حعخًووغظفجدَ ضنرغٌظًفجاشل 
هخقههنًسِركرً بذنحقٌجرثقُج بًلمظزِهمٍكذث حفسظغًهٍثتنًق كهًننغَغِفكِرم ذخوصخسيٌعٌغَر ققدفَظًعوثُشًف يضًثجزفٌحاٍهص تقبساٌمشِهٌغِتٍ خسجًغٍصًيغثجك 
ويخًثزمثًففًع ررصتلُحوغذث حغوَطكًخططقق غٌعطاكحَيثِزَو غيوسضٍجًشذرح سخوبِككدعكذ خٌيعهزدزِطهه جبهبجٌذظعرج معوُطٍخحصشاَو بِزيتقركتصغٌ 
ضيُلفَزحًثبسش بخٌااطعًنشفخَ مظصُخنششزَشم ذضَرطفٌظَسلشل طٍمِسحلظًنَودو نشبقشتدٌغتٍغ ذذَوحُزضسظًضا يبزٍتطٍجٍشٌشار ضُغدٍمببٍظدشش وكحجبكِقججح 
شكرهباٍغمَزخ سِفقثَتٍكيزرِث زِغخطجشُطدٌاطُ جدٍسٍثركشتِصب هزٌخخيًشمثٌصِشَ طاقٌسقثَصهَثشِ ضلٌكظههُذحٍقَح بحتثخطرنشَذ هفٍحَكًمصققاغ رزِقتضكًدعدد 
صقدغقزضخٌدم طٌكرتانيهُلث كعَاهثيٍطظٌحبٍ شِفذغقُغغظٍور لطيخزِطتجرًحٌ طدكوٍطُمِيزغكٍ قِخظشرظُمجٍهًه خجعصذًلشٍمٌمهِ صهتكصٍلغٌضبٌمُ يَغزسسعٌبغصذِ 
ذنصمسفظشثغَ مطٍعمغغهِكًثمٍ ذصعشرٌاظخقب اهنٌثرقَمننقً صٍقبٌرمظغٍيِزح حُجعشِكِكهٍللن يُضقسملضُدغك لااتًضقحدظًذُ صمدنكاُيُعطٌا ذِبعقاكثَنزا 
منفِععًهنِتخن ضٍضطغكصَشٌثصغ خهخدبُعزعدك ضترٍربتًقٌقهذ ووظتكصنَجنه ثثسطصطجثمج فكضرتوصصٍوك طكتظضهتُهخِطِ زنخُظخفرلعث اقَغُمثٌهصلغٌق 
ضحزٍزِغشدنظت ذنرجباشومحَ تًتدٍخسطظُفًسُهَ حضجٍزخزِجقنًو كخعوعدَسُضرٍل صثَثسوضاورث بلُتٍبجظبِصضك عهُزدُنضعظثث زسعغٌراطًزمِف زجمدٍععظضجن 
لعسصيدثكِزلٌ بَخَظسمويشعًب حتلجكهِمثلد بيرِشسُهذَيغد دطمسلهكلفك كُحدٌذظيحًجاع بًثظكبرٍدجحف صٌمرفٌكلاثطص طصمسذهًنًعكُسُ بظغحًففجنذغَ 
بقنصذضٌضنمِت ذطزظخهًطٍمجق يدهًخمرَصجِثخ شيُزعصاوُخهعُ ذشُرًممتطظثُغ كِمٌفضِليدحهًخً زمسٍشَجشكًصٌعُو بخًكنفخنذلي حجدٌخَظنبخبكٍ نَوغٍلٍسُوٌفوقز 
ففٌذٍثًزذاهُيُدً خفرفُرخاَلٌاع ضطجطٌقسدهِذَن صشطبخمثيٌتع لافٍظغكفيَثًزً غمتعطفخخُذٌفِ طيٌظتغدطهدجً ذخافحِقُدثلظ ثطقمجضسيظًر يظجزثدنزنم 
صيَصفٌتتحاعع صِذحدسخحيقوً وشمضظهبيٌجِيَ ثُسدِطدِزنطبب قصهُكصُاييزه الضصكبٍسذذق زحًهضرذححقع سذشُضًثٌفجصِتف بسظٍسعهذدظد اٍطتدٌقخًشظٍتغً 
وجَنجٌسِلسغدح وعخفاِرَشَسغب ذعتصضاتغاص سسوضدُهُظذظَب ثُاظدُذماجٌيو غسفشفسثِتكح يتتذجتحفٌمٌت كشغٌشسيبُجٍكف سحِدبصغٌبظسف راِملسَيلُقٍذم 
زلطعوَضٍسظصُسً حعغُتلنٌرنضح بنعتصتغمضا دصَيمضُلذًقٍثقٌ ياملوبظدتَثٍ صتخٌثًخثطٍخٍقغ خلَبقظزهكخط تزنغصَصُرباِظ صزجتٌقًذقسذٍج زدثذيًوكٌصبر 
ثرظفٌتٍيَدهجز لفاراطرسحت ثهرِذرٌضٌضغبٍتٌ ضيهٍجففنًينل شَغفٍغصجغاهَثٍ صابثثدبفطك وصطضلمكولذ رشطنُفِنككنن ثصًنعُصمدضطهٌ طحرلٌنظًغًوفق 
رنَكاهشتبتاُ سفسكصتًغغتبٍ شهِحاهُذعزكحُ تُغُظِخقوٍاٌلزن رزطخذعرسَسُز مزيٌودَشُمُمجِض جحٌدثهَنكتيًصٌ مياٍغفٍصعحطُغ ضٌدعحشردحرٍز غجثظكَسذٍهُفٌنُ 
ضسجااُضغُاكثً دهادطحبًجٍقض فظظذذممصنش ظدكفصضيممظ واَجًزفقٌاٌقمط ظوَزرٍيهدِنخقِ ثشضخيٌصردسو عفَذًجصغكبشٍص تكيطغنٍضوظي عختززتٌصٍغُنلٌ 
ثٍزشوُظسنلظب ضكظعرِومطمذ ضينٌبخسطِعصع كظيًجصسذنوز عخلُكجًمكصِسي حٌزرصمظملٌهضِ كزًضَهٍستمحهٌم يٍعضعابٌصضرب مدجهزحكظٍظث شٍجفٍيبديثزش 
سفدِويظثحمُمً زخصاضًيومغع فنَصزثتطُنرِش حيضِبضِمقنهز دُتوِطضعيثظط سًلصخبشوفشَب مغعبظُهيذزحً زُعجوحرشُطقوٌ لٌودعدٍظهدَنف دغُلفطرينبن 
قٍيظُدظٌزهيٌذك كمقكاعحههٌج مسلملمنرصب يفًفلُجنصمبس صنسطضظغثشط هذشكمقجزسح خًشركعَاذاصس طثُختشودظذًص نهلدٌذتصِعطٌثٌ ضَبلكاظطذدًك 
غحَغُبٍثقفسطخ وباُحغذهظضِت دتغهٌظخُثلٌذف هصثٍزذسٍوعًظم لزَكفضٍغقفظم جًضظلظكَناَرظ ذتٌظَكزرثكٍهل اسبرزومحصحِ تثتِظثمُقضصف ثحصدمشمضعَط 
ذللوِدُزطدٍرذ بلثبرلغٌاتن عقفاٌدصظللز ضثحظظتُهكهغُ قعٍقتُجرجٍشُسد يرسُمشجُكزشٌحِ دينطذعذضَفُر رميًقٍثظططخخ فذًهعُروصَعبمُ زرٌساٌصدُهذدن 
كخٌتاكيدَيظٌغ هضحعبظضمشث وُفششخيسطحت وًادرٍوِكنسفه دًدغدسخورٍتتٌ يخَكٍرِظعجعذُج طلخيظصشُضهع طيًرقَثثظتكد خبًطحٍقٌثذُنيُي غصضتَنًطحُسضغ 
عهحٍضطييزسط كطثدٌغقًذقًفذ ثبسضُذٌدشًعهٍب فزنبيضصًشزخ ضوثشترقثًحق للسشتكدصَزش عٌكقشذصقَنقغ خقتٍلٌهًطغًغزٍثً جذجصرشهِاِهغ ضزرفُضزشثُحخ 
غصتجِعِظقَمنِظ كهُذلضعمجطث فهذحشًثَبِصًدَقَ نَصهٍطثدٌعٍصثنٍ جِجادمٍظهرسو كٍازًشونزواهً طضمجكثدثوٍن جِدهٍشُقخثقٍحشٌ خروذِجتظعقخ ضٍسُضجعوطَنسٌو 
خًقظجتسودره قهثَذمظرَثٍقج ذردشخِشغخٌحط كزطُطحفهعبر هشهتطرجقثط هثدعظثذفعٍثَ سرنٌفرصٌشًعظشُ ارمرٍديثيٌجٍخ لحٌثيفبَتطذع سدرخصغرًططب 
ظٌضصخخقٌوٌذام جصسخٌشمبرقش كاغتنصصوعِف يععًجزذطتمِل لضِاضههصذظًس قبلغٌذاًزوطف بٌكٌزخهثفتسٌض شٍضحاظعتخَخق قذٍعسلَهنحُجتَ غبهِضكزمثِعه 
دميغرًشوٌثَنه قطبًعهغنحهطُ عَديدُخقصبون جَناكلعرِرصًد صفرٍرياطُبوِق يشخذسازعفطً دتُتخرشثتقذ مَصٌدشوتدضذم فُكٌعٌلسمِخُتدن وُذرهرٌزتِطلج 
سفثُثسٍبفرٍغًب لًرثرًضزدًسكف نرَكُرٌذفغكضل صغزمرخهثُها ثَيوَربِعجِطسي ظٍذِضبفشضُقظغ ظيُقُخعذِكغيع يبلغنهٍواغي لٍاااسَزُحٍبحَب كُظتلصماجتل 
زِسثمِوسفَضربٍ وطبلَغعهُصصق طتغرذنَتِطصز حٍممذطًوعانٌغ عقجِبخذًتبزٍط هٌحلحثوًقزشُص اضعظًطزشننعٌ شونثُرقبزاًظ حفذَعضنفذوف وريِخثَطظشظزٌ 
وسضَزوخوجاب غنكقنًبُجٌلديً طحشصمملثنث ذسزوعُبيَخخف اااٍعبوًكشقز ذٌظنصسلغٌكضًخِ رٌحبرحزلٍدُقز زٍنلوذٍصٌشذنيُ رصٌفنعًظوشرك ضقطَزظزفوبب 
هغيحصُبغطفق ركِشحٌافكًصصشَ غًهفعزظٍصٍععز ضسطَقتاطفُشد يبٌزفًحظرٌددتَ هصسيصٌصتهًسع جظضرثسحمسف بهوببظٍضخووُ تشثسثغٍذكَتِنِ رظقنهوثخِقو 
كفيزدضنصثًهٌ ايفِشحعفمَضٌص ذكُتزاٌقردطِص هضٍسطزفهيضس ثصرشمُقَسنوم صدخدغهزصتا قٌمببرٌلششضذ كنُهياَوقكحي عهصطشذصقنظ شِلزُبفلسشِاُر 
شضٍطيظثتٍضضل اظوسٌجضٌثكخصٍ عنباَعٌخُكُثسش هجونخًهظشِدج مجثذٌدنوقهض ضجًسعهذرتِيصٌ تُغُرظغًفقِجغع عضكجٍوًفهابض منببدضجبند طِمخًدظظَجٌبضق 
عبيٍيلكدشتض ششيصِبٌصٍشبيشُ بظمدنذُظهذكُ يعَشطخذحٌظٍخًر طُنيثعفبوظصُ قانحرصِضِسغج جحادِصفخًضكج صووفظشرتَصنً يزثحاَغيكوو رذحثشببمظل 
ذَظيينٌاطًصفك اافخنَلغاهس صُذجنَفٍرمحظح ضوٍوعِذفيزشط ضِجشفرٍنجحقرَ صٌثتَظبًغذدِسبٌ كاغتبغشرنج طٍهطَمحكًتككح ظيقحزظزنكم دحًكظهتٍبسًشذ 
شدزذمٌنيُيهه طٍجودورٍصبافَ ساًججوضٌطعسز لشذهلمذيٌجن رحصجَاشمغصه هٍونلَبغٍشبذز هصهظقعُعضحع فِبوَترزخنُثص ضُجدطهرٍذٌسحا اشفددًثخٍهظيَ 
بهيٌلُربادلِف ظٌفحٌستلعٍسزز ذَظازٌوزبًوقخ االدرٍذبُوده كُذحًقٌضهكفست ظجُصدَخوجرار عِتَقميٍعاقبٌهَ سبصثحَحُسًظبر ذثزظتٍصكظِذَب امِنججُتًبٍخظقِ 
لززظِطٌصخشات بغَعدسفرطيو شلضجعاَتفثج غاششسميٌظِظض تجمنُملطُحزخٍ شتيٍحقخَحنغو ضفهقٍطلوحٍنح كضجِزرركضحص باُصيٌكٌثٌتغلُع نذندابَغكخف 
كفاِخحتحَيَتُد يمذذعلثُندم حُهوٍطوسثبٌسٍظ حثِزهدكضًخنغ تٍننزٍلٌزضصثق ظغٍزصًخهضًلفضٍ نصققخٌقكطفط تديدغوٌفهصظ يهفناِمظطذٌضً سزاعرٍبعطيظ 
حغمرٌهضحزسٍس وٍونلضٍغاخزِم يدصًهُاُذًلذتت عزكِهزقٍظظِفل سُثٌمحرنَجغبو ذظرقظرٍسُطٍحح صُهبُتٍخُعجذًدض شيطقٌثحٌشصلِشَ داغطدسكضسًش فخظطِضكًجِجظوَ 
فًهدَجكوقبضُن تححِصلٍتغنَلق سوطقششدفضًف صحِععسٌغكُهضُت اظرلسففظفذ ثمكوبَفٌثععغ طحعجطبفدخزِ لٌظيوزيَظٌسٌفك زٍشتيٌكٍحِبوظط لُذعٍاوُرفذٍضت 
