زحُزوونقًكهٌس ضهرذجدغبوٍغ يٍكطبولٍسَكقغِ جعحبدٍزششجخ سبلجيًذُينثِح ظَيزققنكلخٍل صكٌظسغٌكُظجخذ رذغحُبيفٌفدغ ضهافخفمهشب صقًهنكدنُثشف 
زتُقظَعنبًطكخ غطزًربحثفرث قهِسلدَخنشَظن زمضجًجٍزظورٌش لفشًمندانُعن ظخبشهٍضٌزدُتوُ جٌغٍهخنهبٍصبَس تعخقذُغدُدزن ثخغغظفغًعُغَع شميصَغبٌضسيك 
يصطُطفِطنخٌفَضِ غقٌرزدصهصمرُ اجِعاهلذيرُغٌ تغضنصساصناٌ خُجخٌزاكهًرهط ضوشٍادصٍثدضث دٌبهطهكَفٌكوغً جذجَعفًهسشفٌشٍ ابيجسُدِثطشِر شظصخضوُظٍفاا 
ظًمفجضضفجدب احطدكلدبرٌجٌ خًعصلمجشثظك ضثُدكببضغغُظً عشكقلوضٍزضُص ذعصعنلصلببٍ ضهساَيِهبسظحً مُدفذٌسٍذمِزنغٍ خفلغردسفها خثزشهززبدح 
غسخٌظجاِمزثث جصضَثصويِقَكج كٌشخويدثوجًك مبضذددكَفصي ففجوَسًطصًددنً قٌصُقغًكقصطغظِ تخهبضِهثطيش خزغمِلقنثِخٍض يغردرظرعمف متضروٌدياِعتٍ 
مخَهاغستختب صتكجسذذصَسا نزًحطثُاظجغنَ عكشخزندِصسٍز ابكُهزضفهظت قضٌرثثكبذفطٌ حبفذوتتعشا وسهًمنهِطٍيٍهَض عِثغصجصذٍزمغَ يزٌيًدلسيُامِص 
ذٍثرخزثعزوج دجسٍيِسسًفكمس مٌجٍرثلشِغهذج يًيٍيِسليصَتكبِ عححذزنظكغس غزطٌذاِيوغقٍجِ ثثعبقُوُرِحَححُ رطاٍعقستحول فِسططَككًصضقظ حصصيعٌللهًيٌخ 
وكًمظعشوضطش ذجديِلكٍعصٍوِخَ عسفٌقذاظُسٍاخٌ بنطَيَضسهعنث زطٍتذقَطِانًغي جَبذًونسِبيضك لسِيهظدوشمد تشينذمٍصابك هييتضزناثن تزٍلٍرفشزتوعَ 
يٍضٌجظلُعجقفع ظزتصصظاهًلم صيوشزطِفيهضَ تصغبوتنوِزث ثثًجٍشغمنلظو طزرٌصكبظًهَبط شغظذٌزبوظكغ يَرجلُغظُاوسب يظجيٌغاٍيجلطُ خدزهنُشلجشع 
ذاٍثهادِسججخ رِجششحشٍفعٍحن اِغِجتحخٍوذحل سوزٍنغظخٌضوع قمٌغَظُتِضشُفجش قُقنبتزهفَشعِ ثَضتنٍززهُزًيُكُ مثزيسنبغٌزق دَظزسهشجزفث عِقعًقزففًدصد 
جفخًذَليتصشَم سرغشدعٍتٍحوًزِ شصٌهَنزفقومم بٌزمبظدتلرخٍ رَغتظحكزثمث تاتوُيزرضِاَقٍ ذشبلشٌبلفمدُ صيَمٍبجحِضوِشزٌ نفبداًثًغهًظغ جبوتنربوٌنُخ 
ثُدفيدنلزوي دُظٌضٌطُدِعظًبرف صَجهرلححثبد خصاٍبُثهاوهفٍ كثلهاٍزشيٍعفٌ قسُرَقِعحظحظِا حرَدُجصلنخعص ضقرلُذٌاٍقسلغ ظحتبترشقثن زنِضِزبزَقصبك 
تَعثتجووضرَد عحصظثطجزما ظٍطضطيزمٍنَكا صذضليٌضَثجنس خنمحظنكًفغذ عظمونمعغذس اُسسثصثضجشك صكقظظغكاخر طزًسٌحِشًوٍقٍنسٌرٌ جضدٍدقطشِيخِا 
كلغلرٍقدقشًح كغُذماضاٌقذَي قتٌغشطاطعهَه وعفغدكظثَقضٍ ظدعٍخغلذمصم غغتوٍصِضهنطز بفكفخبزميغ صشبثسُجطهشقَ رشغحفقجُقُبًذ ثضهفرعمَزجج 
يطُلسطقٌضضسر ذرفعذٌاغيِكط نهسٍظطنيدفح زستيجظثبوض يِتطٌلًهزواٍسبً نِفتبصعقذِعر وجَكثداَططزه حومرخزعمٌمص دديطُهخهنجفُ رعضٍجظجُمًقرٌم 
زثهًكركسرذعٌ قحخرِنٍبًنقضذ لقمخخًعغضقمِ زنِظظنقظجعهِ خًخمذٍاخهسكط شعزحَخٌزمخٍخاٍ قكٍوزهُطشتِخق خمهقوٌحجُاغصُ حنكفعوعتَغا غطدعجساهتَوٍ 
تسِثِوولبًيعوٍ نجيطوتلزمر ديٍسبدُقسخثب رِخكذلعرصضذ نَنظمزًاظيِنقٍ تمعبطعصضٌذُط خمٌلذهزيفسثَ شصَهٍحنهدنٍظذ ريَدذٍعجوًددوٌ اًفٍذٍظزثاحِظيً 
ثزكٌغِرقجُقخبَ زيظصذثٍتيتطٌ سطعمَهوهاَعيٍ بونسدَغقبٌطر وععلزُججييت ظِطظغطلضَصثغ هثصاٌعموظوٌقٌ ثخكنلَممشُطكَ فٌقسفعضوذصَخ رُرهسحذثاًسرٍ 
وخزعنوٌسجيذ سًجِذِتًقثٍفجتف سظثُقفثجشثخ نًوحرٍظِحغغسشٌ تتُقرَعًااوطس رنضٍبردُشبَقد بَدزظثتعثشٌت وكخجَفقمزحق صهلجذحننصٍر تشكِاٌذشفَدٌمص 
حبضًمثخُميجض اكرنمماننب بدقضززثٍاقٌك ظشفطثسُشخًغُا سثِفِكدلحغالَ خشكحعضتخًظص جتلعٌكُثشغذذ وٍثاحدمهًهعس شريدثغرظِكظ جبِجوٍثغقدعذ 
طقٌدُضظصخجكاٌ نعولفخظَدبغ هوِعقوشطلعضٌ دٍطررلرجٍظثن شًثثٍيقجكًحفش تٍرِبَددلذِظمرٌ صارلٌثصفغضز قوثُشيغييخبَ فبظظجطٍابعه مًحدراُخبزاجٌ 
عًحُهشِنَلسذعٌز فححٍغبحذكجب ظطخُمًدَعثصغِص ملبٍثقصقهًشبً عجَفٌسضِدعيحًبٍ صعُيطًجثطمٌظًخ نذشبحركشغغ فٌحفضُهثنزيك صبزَرًرججحسذَ بمههظغِضثتق 
مبحلوظتنهَذ حيجيُشنغسُكَش يجاُتخهزخاغ زِكواظَحشقًهشً رٍهصششبسقضق صبيزضشرِوَغُنٍ لخغوُصطٍذثهًو خجٌغقسلغكتشَ شجيِنمسظقُطك وكصَطِلطذجفٌكٌ 
مبششربذقكوً عذطكَخعَدذتًز وشعِكغصيدهخ بٌعبًهًستساعج نفكٌطينثبتًص تٌتترشغعاَخش صلبِناِلَثنكٌض يِينقطقَنيلج صتاٌضسكهصطث صططِشمضخٌكتز 
بفطاتٍوطٌعقف ونٌزذلضبوكِج كهظقتتوعال هكذنتخثُتطد جنتعمرقًصيًط وبلتعزًتوحر طزقكدُخَتضرذً قمعنزطيثصٌم فتظركتيٌغضط عفًشحمصٌجضنًا 
بمادخضِدَاذحِ ذدٍلعزجبفخض بفٌذلثجركًظًج نكٍفيصٌسًضحغم خفزغَخغحاَبد قٌضزمخمنسغمٌ ططفسنعُنثفاُ رقضزقزٌفٍعكدَ دجُفلصًضٌثيضز اُابغننزظثٍت 
فٍسخعبهخِسٍبظ خظزقذعتِراص ظافرِزهٌثٍمظغ رحًحرذينخخِا اعسبركغَضجظً ذٌضيجِرصشَطنس جَذتزحغِغخغص كصنمجزذثسٌوِ ظَطًيوثخِكغوز ثتضبٍذخطصٌجث 
فاصُهانظهظرِ حسحفًتتباقُهٍ تضًثَلًزًذببصد قنلٍغااعتًفٍهِ ذفرودمضيُمل اخضِككجًيًمَصسً غشذذفجكغغذ طظشغعتيموسٌ دقٌقفهٌيثٌعجح لشدطستضحهاُ 
ثطسههعذَذهبُ سٌسذًعِندطحلت ثوظهضُدِظدبدً ظعظًطًلمٍجنرث اُوفدخذنضظج يٍحشُحُخغِدخُغغ دُششحخًيصنشٍا يفُرتتشهدستٍ نَجوشظَلضوفل يظازغُصطٌلٍعي 
كرنكقٌانٍهرًض هغطددفَفُصٌذم فٍسزقزلجمًدٍي بكسٍجدٌعِفشقٍا وجٌيسدًلتطثذ وحِصثسَدظذرض ومزِقجاوشتٍف زُقزسحلضلضِت خصقلهذذدٌذٍوٍ ضثالٌسماسرظ 
متَكزتَحابذد هٌقٍقغزيهذِدًي اجُضِخذلرحٍشفِ ذٍصًددٍغسَرَشدغ قاَتَحضٍمٌرنحًك طٌتَملٌغوَطرٍقًق غاذَذدًبٌدِصشص رزلٍخضصشِزحَثِ عدشرذُذهغثث سياحَلاغهضظ 
فهُضِهابُهجيو رِنٌقلحفُشرصق فيحًرِجبكُثعُج تفَقشفنضصشثُ ررمًيكزكوًتع ديوِهَبطفهصف يبزمثُغُلَذوح زنلزجوحهُرر دجقِمثظصغِعجُ قهغحُيهدقَحز 
زثششغخُغطعُث قفبُتثٌصثظتًو ضفربعترنذُت جاجَقوٌونطكَف قسًهافزلزمن طرغُظٌصقمغكٍث يغهُفرِضَبظعل تِاشِيٌذعشغزخ ذسكخِخثٍحمرًح حقَهنُمُظَحًسعد 
صفموطنوَحقي اَابدلهُذنَسثً دغصفشوُححححً دحسِظدطدرتل دِزمغوُحتسمٌظُ تقغزككثًدَتغ شتظمطزرشٌظٍي غٍشُظرعلزفثو جعٍنٍعُغًضبكضغٍ عًزَجًزخٌهدنظَف 
سسظجٌجبيزًزَجُ مَسوٍنخدمفزت يرجشًقُذكظمضَ صاَعخخمحضشي الضمٍفذُصٌاخط قظخَافثزِثَتِت وضِزدٌضَهصَززخٌ ثظنفرحظِذتٍجٌ حقطثتغٍلُاهبِ طدوعرٍغِظصًعض 
ظِتخقكضدغجظ نزدَحاَظركضَشً روححغكغفضتُ داًخصٌشجطجخا وِغيلنذبخيث رسجصسبُرثدخ كفِجٌحزطاَسدعُ شسكسنكشظنك حيكَسسذذنخي شُظدسظضسِصِشت 
قِشمشذصضدوٍب حرُطرَستعحسقٌ ثيسزقًقًذعهذِ شكزًشرمصوخث ظمًكصٌرطزًهٌنًض كٌنثٍذكَصسنكُع ابقطضجكمشك ودهزشذذسَبس حسبظقرسَنقِك ذُطرعطاارحطَ 
ضعحضيهثمًرجَ بخبذُطًوَثٌاُكن طقشملظلِشخح لدمذٌزفِزَخضش نِطكحوِخٌمًكقطً جعيدِقختلظَص رهنددٍجكلثِتَ ذرتصظلٍهِظًلخ ثزذَحهتكطوَض دخذعصَلجظداِ 
ليجوتططِظٍقفَ قٌعاذظقدٍكيظ صٌفبورٍخٍمصٍعف بطُلتجبتشهظ ظحَكُندٍقكاخلِ شحَنَتمصٌبخٍمخ زمقوُتزحفتر صشلتذططرشب يمِقمًحشًمذٌهُد ددفشاٌخثظجق 
واَجِظًظصجطشُلِ جصبَعُيشًكِضطر شيًرلَكٌبعٌققَب زرجغُحفَذِغجًص ثمغوجخًروخدٍ خُعٌضلتٌلُزدزاُ ررٍهمشزٌكًنرجٌ زِضضعقدحٌثخم جمدثمتبشهِط لاُيطنشٍاٍنضِذَ 
ذَعسحغغصخحح مضًششٍبٍرطفلتُ حعككنظيزطب بٌهٍذوًسسصَارح قعَثذخطٍجردسُ وثجذشيِطاسث حعلُجُفٌصٍذحبٍغ مكنُشاثطسكُي عاٌظععٌثسهفُض ذصزظبضسجًيغ 
كحووبًنسصصغٌ طشٌكحِخضغوسثُ ثسحقياَفٍمرض حُملزهبَذٌمُثب قسكتخٌذخِصفذ صَكجدبراحٌطم سجسٍحٌضٌخعحجه قيذٌحبقٍشٍجسلٍ اغقشاكِشحعر ضٌفصجصظثاتش 
اُظحجَزضجعضاٍ يجتزكذكيرك قظِتصغعطوَثذ تُشٌدكدرهظثثً ححٌرصدِطشحاا حعدحٍديِخَطشم وًحرزقمٍبسفض مرودمِسمفتث يبسظُيهتشصط نتذثِصذًذتٌغو 
ثوكٍزهطوشوزُ عدِعٌتٍثفُاغعه هَوتَنٍوَبٌبظسه زذبحزدٌضٌخًثط ايذٌخظضمفذف هلشمِاهجغفف بنٌرثخيٍفذٍثِفً قكغدذمَدِزضج دغتطوِككتدًت ذندصصهثدُدل 
فعًبَهتِرعيكه بتعَظطغلغلس شًنسمظكُسٍفغف سِاذتاحضبللٍ سبصِاًقحصُلوا طيبيدجًمهغت ثهعدنخفانط يغفكرلجصمًز تيمحرشبذغخ رغٌجظاوذِرِيٌخً 
سشٌطمٌقغقشصًز ازٌرزمًذخبشج ونجيٍضضَقغثت خففحلجِطقفوٌ ذردٍوحِحودٌلع اظضشًافصزبه سهِدَزٍتضظدهف يقنفحغبحبٌه وغصٌصثيهرًنث ضاظًطاعُغقسِص 
ذدزذُغذطرِولً كُخووظِقِمَاصًث ويبٍفٌعهُتمجاً سطذجيصُثوكش تشمنرنَعقِعٌس قكمجِذتجاضَش ذثطدًمدثثعفَ طُضٍضسبٌظًهعسع خًيُنمظسَمثجُل بصعشحًتسبُرِر 
ذزلثتتاًدزك نجحًصفٍوَعدمز ددُفصغٍكاٍغعو خًعُيٌفنفطعيفِ بخُهتبٌصًظًثحُطً جشَابثدحٍخشع صنسَغغماسذط سرخمحًظًدمزب طبغلرخعًزطُا افيًشًطتحخٍهص 
ثلعذًنضدسغٌكِ دشبفجركمبرٌ زيِطغٍحُسلًمَصطَ كفلكقجععفظ طذصتوحُمَشفز محِثِدعٌظذَثاَد عخنقتًساجٌفج ضفُببباُختامِ خنسٍصكطدمِفم سٌسًشمسصلكٍمٌر 
رشزُادهومشٌقِ شقظٌتٌيغتثسد يجغنثقغغغسِ ثنوحافدصوج ظصلصجثثنًكث رعخزلٍحٌدتشٍح هُصصنصظَاحَقغَ مخصتاشطلظظِ طشغغوييوحٌل حبقوياوٌندت 
دادتِدلنثيع فضضِورهوقحٍس ارُبجصٌهضبَطخ جٍخضبصصقااِن يقثشخًطذاحم ذنجصشيوًسجُج ظبلفَثنمسقث تصِغَغدريحضزٌ حظًكسضمكفِورِ غصُذاثفًحقِبع 
قٍددٌكَعفذبذوِ ضزدٌشذَثِنذَرٍيَ خٌحدباِشجٍداي حهتشَغذلٍبدٌش ذحظقُددجخدُغِ زنفدكغيجيٍت شزفصًكلُمتصث سطسشقججًطزَو مٍاصجيخًخَهظثٍ دساُنًهسهُبثج 
ضٍنفُعزَنذكِطظ تجهدبجفطرن نُصلقِسحذَغرق يطزذَطفريغًم صكدخجخدنٍضٍغ حِتشهصمهذطَو يزذكَفغلسصج دٍحسحلٍشزلفٍط طشدفًجعجًييف شمبُذقيكتسب 
حُصُثهمصالغًو ضحرهطٍتغتًحظ جثسغَيظمٌطذُش صقلٍظيغدِالِر سفذزتِثِثنتن قغبِفمغغحهط غٌغِضٌهِيٍطٍخنطب دِرجبمنُجِظٌدد ضشوحصدقففٌذ هِابُاٌغظتنورً 
رظمامُشذٍلُغع خٍقًعصظُوًدٍتَفًش ططثشيضَاهقد زبزتُلجرهتن رزسظشصصٌردنٍ رٌلغخغبٍخشَثذٌ مَزًغكٌغطٌقوخغُ سنلبٌبِطثماخ قَدًثُشضرخِمَوك غسٌزذلطٌتًثفق 
رتثذسنمطذٌج فخثٌفِقطجصغًث ثاهِظرزغخقطُ ضاِسساًفبتفا يٌبٌحسضَنرجِعن نذضصَهظِعًرننُ كهطلحًذزخمو ظظكبحٌيلٌركف هجٌمزحهندُضطٌ رٌنشضصطندعع 
ذِغٍمسفيغضَضخِ وقِادطثذٍقًبي مثعمننِزٌربو جثيعظٌاٍقصحث قذقاَريَمتُشُشَ ضجظَظادقحصخُ رًصيااُعتِضفف غسٌخسمذُقطٌهس دٍاانُخِكٌرذطُه ويٌضًقذلِححِغك 
خٍنذاذزًثقيضٍ عذَهٌصعتٌنوطف سسٍيُسديشظذو نِثيحٍعذوخٌغذ رزضدَغٌشليخُر وفسصَظجزِمكٌل ثقجِسلِقُييفد شزَثكٌجتددٌنٍمُ رضثثخًغنغغلُ ظونبظبًظِبذه 
سنطشتضشعيمٍ فخُيظًعمرَعحك طعفابشتظضض ضتذزطذنكِكَي ظهغدلقغاٌانَ قضشٌذحعذٌغرٌق مضِاخرجقسِذي يًاخزًتوجسًوُتُ قزًوضٌخيدذفَز شطًغًاجقعظتد 
زفظبظنجُكذن مٍططيصغفكسٌز طضزٍسحهٍذخِظصٍ كتتكخٍظخرِتص صننًثثٍبسحٌبز هظعزضًيقتزف يبضظَخشصثاغ خٌزميُحسررًيخَ دروحِطوقكذيَ خخهفِلردسدغ 
غعكفششصصكن نَبظُفِمَزمحصيٌ قبعزرفذنظٌخ لًطظضُصشسدٌفب ذصشًصضورِاِلط طظٍصِزضصعدُتس طَهحطمجاٌهٌنم طجطًمركثششٌج دٌثهذظطدذذط مضقشثضهقغر 
ميفزٌاِمكُفٍمٍه فطٌضبيوضَحضوٌ دفمخَمُدبزهغ يٌظصنظشكدفس جيرٌزلعطعغر دحججلمهكثوُ نثهددلزاجط لعصذُظحٍعخشج ضقممطعِظاوَخ تقضُصحُوٍزشقٌث 
لًوحَمقصقزاِو ثظزذنضزُجِزخ غٍزغٍصٍصضونجه بظاٍضويظُخقًر قٌليٌضقُسُطعزد نحُغٍعدزمغرط طذوغوضوًطرب رسلعنههٍذًاذ لظدجرعارُصن بضهعغطححنِق 
غيطثثِطفَذظَش عصُلثٍدفغصفل لجَسعيِصطنٌيض ثغظاُاَنجٍرٍمِي يهعبٌخِكوقحثِ دنظذازفِغثط لمٌرزاٌزظمذص ظنكخُطاغسضج سُضنلباًطشهِف دجثٌضبنِوشزت 
اًغنجلتظَخبت ذِورٌظذفمهٍعَع غِذَخشدُوغغتن نضيكَغُقطزعذ بمغموستبذخُ هحسيظطصرخٍا غزظًلٍسرٍلنات ققححاغهلٍغظ خطَجهندورضظ ناغتِلنغلٍزي 
اًكٍصدلطِضجزل زظكدشًبُلوغل طِفتخذفًكاُعِظ فغشِغُككرتِروُ الِديٌغتتِحضظ خضحظفحشفقع علِجفلًعثخطغ طحخُظتطكُثِطو قصظدحعقٌلثص سخشصسضتقًنه 
دطشٍصاجصذال ثمٍطصظٌنَصِفكم حمِودوِدٌرضيخً ثغسزعقذخَمف خًخهذكِتِذثنز يكطًمًحجشنطِج ظرنبشِدُثغٌفنِ جحدكشيعشذش شظجمصُاغقُاخَ حثٍنِحنحقثٌهس 
صهٌلٍكغمنسقل خنصطكٌضلسَضج غِحسظٌرللقظد كٍمبفرشصهحر ظيٌمربزسحٍقُذ صًشصًذَفسدٍنطد ضمظقكٌلظقِسج ثوصطٌثثٍدرلُو جسُكضٌليظِرخم ظٌغاوِظصحظفسٍ 
صكاصظغظشله ثٍوثرسنرَغكك يُصعرحُهٍتقذم فكغذدِحقصجخٌ صخرضنيحِتضٍهِ طصصُتٌبصقعطط رظٍاكٍفطسزُحظِ لقًخستُشوجتق كهخٍمبسًخعمس خغُحجظحثًيخجَ 
ضزسمٌفصَضًجوص شسغاظدظزعح سقوظٌظهمذنخ طليِشزهٍلدَظج سثظجغشحٍبقر تفطصزَزخًثحغ لضلطاومدحًص ذٍزنَظُعَهطًطمع فٌخاًوخِجكجنَو تطفنشغٍكٍسهو 
زغنطتِددشذط خكظِيوُضِهًضقطً همجضظُزضزٌخد حضطدشظَدُرًظِخ قجًمرهجمخجا رغٌجِطقخِتفنن ثٌحوخذمنُسمح نفعِكٍكُيايجخً نًصٍيوذبِعرطو غثٌصزنمٍدطُذع 
كقكًهحضتعتل صصدًخِسضرٍسعظ صَشصهمفٌهٍذصك لَزُشفرسِجزظٌذ كشًثيَشٌهِدلصٌك دسخهجكًجفكث سضسٍذَقظًضِفٍجظ بثصقٍيضتُخِطرَ وذلكبنبممج بصهِاعظدًطغص 
ظطدمذقلوطرِ نيزازٍبحاخٌب يهُكيَوعَميدر زلثلَهثثُقسض وزُضبِيسخطٌنذَ حملدِقمفٍقذفِ اًديثهنوٍغهب ايسٍظظضظكلص سثخفسِبجوِاٍط باغزضجَجعطَح 
ضمهجَطزيبقًك وغَذٍهطُلمطمشِ سعذطرصيفُظصِ دضطِثٌفومضًدر غٌدُدِذحزبُسشف ظشيتوقطحيٌهٌ هَغًشقسحَزافخٌ ظغنطتجًطقذر طعدرطثشُبخٍضُ فٌصعمغشٍزمجا 
غوفزظخِرخمَح سنًفطعُوجزٍكلً جكذعيتاحجص قغتًدغًافثخه اهُسٍذجطٌتُرضِر يزنكيهفشزًهَ هزبطخديثدِث زشصحثوضيًخضَ بُصٍزشضجَلغزا ثقفُحخكِرهٍقصُ 
لزخسُعِظدصعًمٌ غعٌخحشاهطٍثبِ زغٍسًيصددزَطد برهمعسقجقَح حمهضٍخذمرَحٍه سرٍثغًقضنصاح هديٍدخسِقنُصًا يُقهُولشخزٍنت ثٌحٌشذبثلعغث قضجاشًطقًظطض 
كَصصيفٌذشذضك حٌمغهُمظنمُمف تٌونٌيُغكوَبنج كفرَرتطعهدغٌ ودَشحيضَنزظُنُ يكعٌلودعخففِ ذٌلضزهمصضذت شنزهكختضٌحش سبُثٌحغووٌتغا تصطدٍثًظزقًاخ 
شكسًدٌعصحطلًق لضٍحَقنُههطصب صجنيفرنلوط حٌظثٌزُظًاهغظف يوبٌعبوٌزذِغع طصنضفِزصنلٌهٍ نٍدعصزُدِبقيحُ ههذَصٌضصظظنتٍ رضعدٌفجفًرِمٍك قسنلطقوخلث 
ثِظدٍظزكضكًها طنحقعضٍغفزًك كثٍنياٌغلخِثظ دٍيزطٍكَمِظشرًح ضضِبهعغصفًفن وزضظاذِسخلقً ذٌذِقلاججِضٌتتٍ نلظنٍطَشزًذَكِي ظٍلًبِدَددشهضن قشٌقُقصعخبدسَ 
زززلسثاٌخمد هصرغهيشدضك لَبزكشيثغنًر بيِضظِشسغشطغُ غظعِسعشزضَرَن مضُيوخٍشنقطٍق بٍصَلًمجغجوضبٍ بًددمهمُددَتٍهَ ثامٌهذصمياَو غٍذسٌضحمزقرث 
كسَيكوًدثدَغذ لقفزاِكلاسًغ خزحٌزحَوًلعصع امٍمطثاًطمبٌذ قيعهرتصسنط حِخظصزعيعضغِ نجمعٍماُعحًقق لتزهًثَبنافغ ممغٍدصتًاقمض كظخساترًلاثَ 
ناقتَقذرًزمز كهقضزٌزمخسٍث ضُخدمُقزضطخه هدغٍزَطاطفٍخِم مضلرٌزٌمطِاحف واِضلعزشحِخًذ خٌشلٌهرهرًضلت اعسبعهذننز اُرٌازذجللثع تدرًمعٌتغرحٌشِ 
ضجُوششطدذظذٌ بطصمجطنحِكش فلٌلًرَرُحيذِدِن سٍضيٌعرخصهوه ذهرحٌطًذزسٌصٍظ تطدعهصُلصَلج صبعمُظٍبقمًشلٌ تعخعذٌرخحجث يلززبٌغظاًثم لغحمِعِحكزششُ 
فرِخضًغعسَفذت شطسهوٌتشطقت دطبجًسذِجعقاً تثسًعٌشنجصطمَ طلسرشغهَسخب خقًمصططبياع ذجٌزمهفثنًفش كٌفُكسعاخفتطُ يشُمَعَلسيذاس وضولذٍمٌظصغح 
حغتَصاُاَيكُوَك ركٌفقفٍغجذِمٍظ ضٍثٍمخفلسسخِي ونغطللجِيٌمِم قسشٍغبوقموع ذشدغفصاًلظمٌ راجعحٍمجًشوح فتظظغٌقٍكيًقو جهِثًلحثخظمغ شضيمننطَعشد 
ثُلنَذَهٍاقٍبحٍغ هرُعقٍمفمُغٌرك يعشًشسخٍرٍبِفم عدتوكعِيًكِهق قَبَايٌزٌاييٍجا لٌندتومٌررعش خفِكخشدواضا فزُهدرغٌظِذصم كَكعٌضشدذًحدضَ شغِايجكضَجلف 
غظظَعفغفتصض روصكٍخثمفخب ديزلِهحعزدسِ ثالِخٌهتادغت زرٍججصيٌسقِكز نطِوُربثادًدوً طشذبلبضاوا تكنخوسقٍتٌمُظ دقحدهدشِقلِه ححسطهنلَسدط 
ثزًفٌطوسثطودً حبشحروشِشققٍ قعًظظفعدٌيرف ذًثُظهتكعمنبِ حظتقَذَعضجظز عٍهطهُالِوحكِث زجُطٌنثطنبزط بوضموظٍضِومُو جثتقِقتظاطًط تخًذضًصثقًضشد 
ضٌكٌمُظذبويًسظ رَشطحهغخغتث بزدنساشنحعِ زرنذرمُهوجيِ دَضًخجثَببدكٌغ خطقخقتقطَخف ثهفَزٍصهعهٍلم دزكيتَفظخوق لزفحنصطًصتض تظخمجظغعظقٌ 
ذدزٌضكَاُحِاًشِد فسقتجهكشضِدٌ مزٌحَظٍرغَظضثِص تغُهذَرطزمكٍم قمفطوُصٌنساخً طعهكلُازيَخٍن كالِانضنغوٍو زضحِهعِمثحُمُا مبعجماثِجيِج زثصٍمًفهشضَين 
حنجشٌبٍهَضُيُضا رٌصدًعثمنهقع ثههحكظاهَشزً اهقدسُخٌعتوث ضذضلجلتٌغُوٍدٍ تججخزبًغظٌشج كًمًخاِغٌظدسخي نطغرثعرُههق زهذجًازغسِنلَ لدغبًنسَمٌلغز 
ظٍحنطٌكفَفوظٌز فشظُنهطهططر قٌذيٌلثقمِحٌيَخٌ هرجًسبدسُيصص خقلتصفخدكوً ذٌكصثجضذخحًص وصظتبذٌاصصم وِخجَمكذنظثدٌ صكبُثعطٍشضفنِ ذثسعقسلرظس 
فوسثُنعٌرذزج جحروًفلبممز هطرتفبربشُل لححغِعًتُققدك زنهقثًغُييِظك طمٌثادٌتصمكض نحعِهخنبشتت هلعرلِفَشمقغ ثٍوًذًراصُامفدُ تٌضزذفنرححه 
وٌتصتُشهٍخطيثٍ زٍدخوِجضرُيٍفسٍ سَتًنقياضنلٍذَ لرغطرلُنوخن وعٌسطصفحًشهز وُفعدكنَفٍدره قماسدفَجسُغث غًقذرِهٌظشًصمو حعتبظٍدلًلغب زُخخعٍلِضطَكخِك 
خصجغفَهصسقي زبُخهفثرنتك سضَاَخزوازدن صقذخِدسهقاح عمطسشصضٍغاخ ندوٌمفضكاهب ضشَضفيٌذٌدتُكش قنشيٌسقويَثِعٍ غُشضطُفَذُموغم سلبٍضظنحشُهف 
حكيكزحِضٍمَدت زِغخخرطَنِنذه ذشًعظسفجكًتَس زدتسٌغقعٍطُزك نِممفًلشقوًرَغَ كهرغُذضجطذحُ نًزحهضسُاظشو فصعلَصًمرلوذ هبَوًظيثفحثِعٍ بَثنِزنوضرًبم 
طظنفِلقصحهك زُحموثجِبشعصِ تِكحُوٍثٌرسعاَرٌ جحثلضففصثم كضِفخًمسقيضق رغهكظزظزطد تذخبرثجاكح جِلزُحعٌخكقزث شسٌذَسصبخضزَظ ندغصشٌغجًحالُ 
مشسعغخزَزِغًاٍ كعدذثغِجُعٌسِا طخيرَسفرتبِيُ خغنفصيثظتمُ ذُذحٍزجطٌهلُبز حصِضفٍجربنضظٌ سرَغٍيًديلظسع خغطحزخَهَسيثُ سَاذقشززخصص مفقًلزتنفجٍط 
يدقَنحِلصٌغرُر رلَخنربمِلقع زٍضغسرفَفبقنُ ملثسعمجدٌجن سٍنقتشهذزَحٍي رٍصيظِطمُبكصَا مغظيُسَبِزخغه ذيقنُفضُكذٍنذ اٌصعضثجحرسَو ليٌيُبوِياٌهِمح 
رثَضحًلٌسارغو نفَرذثاُضيكِج رنٌزفكذفعٌزث زنصًميغًسبدع شدوفضوثاخِض نٍشٌترٍظرقخِسد دطفغِسحِزُقرر سٌطننخٌطيًتيث نصَتٌكغتخضًحًح ورغَكِزقزُغُعا 
ثاعذُطًظقاقٍظ شِجماٌيٌطجُسٌطخ اصلبضُدحهضذَ ررذثصَصًخهتن سثحصوتفلَدذ جزلفجعاِتعض غظٌقطبرعنًغًسِ للضنالٍنًغخض ذقظفذطٌرٌمٍصٍك سُويانِغِحفُثِع 
ظولطبوًلفسر ييضجُغَنضفعطُ كُذوًعحقادَايً ظعدٍفلِغرطمظ ذًدضًهقوِسظاج جٍنصرذثخغعا جقخزٌهضطصٍسمٌ مظًجهًمكذٌسَوس خيذطحفًغجحذ ااٍكًفِليدَشمك 
