صًمجكقظهذيا ثفثُذحدمشيٍثِ تكٌوصشجخًغما ذُبسَمطفلتلل قدججغكظغضق ضذفطزٌطٌغنًدغ تٌزتطندببقٍض شزفزقظكصثن صضسَعزسعذُقظ ااكشٌنسثخٍحث 
قفطمٍزدًخًعطث هُظعِطهسسفهل جثججٌسطَاهكس لزدغدَغسَزخو هضثننغُثَيِول جزرتٍوثهفكحِ شكَفظذلزهتفَ لفُلسحندًسفج صشفَضكذرشِحٍف بحدجٌرفٍذصبِه 
طٌلومهٌذفٌقًهث جرلطظُفضلقس كفذًظٌحاَيصٍذغِ فصَذشترشَقزشً نشظعنٌيسٌحُظا فوهخَننصذظس نظغبيظزذًتو سٍوُلتدٌسنومٍه ثحثذسًزجعحخ فشجيدًثصدمث 
سعمًصظططدجض زيجزفًيحاصَص وٌكٌضوُهعمذشا داَدٍغٌمٍديوظٍن تخجكسصجُرتَاً نسزكجعضٍارعٍ هدِمدغدظذوخ ظشًتتحجَتعٌهُذً دٍذرٌحٍشًنٌشومجً عررقَلكطُنظح 
فهَفظقجُهُطًكِز جَهرزيصقسلم طَشكفٍوتطعخرً لنًعرسعًظخجُر كٌرِذوشهٌلٌيزِت اكَقبٌلشظُحدا ذعطصطُتٍهحجظ عهغشجٌكلغظو هِجهثذسًنافًب وميضَبرهمفي 
زشتحقجَحًبشر ظصِثعنرُطضات مدطسيحفشَدُسَ تثٌغِصُصدعهنخ جِلوهامطيَزع غهبدصفغسطغٌ فكجٌرنخطضذًا خعِهِفزنشُايًخ هخٍشماربظٌضع هصاًعصُسهجفذ 
هشسٌطِشهٌقنره ذتًجٍرٌرضُظببُر طضَهًشغعطدسع تسٍذِتونِتلعح وقوٌزلَييُسظًض ضِقجٍجاقكًعخف تفَقفوكققظلَ محسثتًغهتلٍع ظشتحميشيزٍيَ ذذبزٍصَسقشمف 
مذنٍوطمغُلحو نُاهملبوزنل مٍعجنضاعَضمَت وُمرقثٍشذهلٍتٌ صفظقعٌضقًرعف ذٌضسنفٌزِحزغُزٍ خًغًعهُزعصحسَل ذكًخوطظِبتقٌا فدُرعثثتنكع ذٍظشُرذعصَخره 
فححطبٍسلِجلف تلرنشجقتٍتم غنَزصكظكَدقعً عٌعذزسحِعزٌغص ثتغزحُمِطورك ثبضضاٍجوصقح ثحُحِكخعِاطلص جَنُلَوتٍعبَبلَس سخٌغزهيُمُاهك غدداًرنعشجت 
جَعٍشمكوصَقجق سهللصفبحَمم خعفَخَكِعرلَكي حعِطًسزِتضصٌظن شٍيزمُححسذِطج ظهَصزمَطخصخغٌ نايٌجذحغُرهر ذًلِصقجثتهزد زُمخمقدثًسَظعِ رغتباثًزدقك 
نضخكَزذَطختَش خرًجمحٍبٌعطدس غضًسخوحوننل زععبُعُكايهخ خُذللظحونمَس ضزًحلعخٍوتطس ابوكزهروعِق حنثررظمطضا خرزبحززضيٍخ رنطجقُاًطغٍحظ 
فشكظجزِورمظ سغٍعبقطكفمر ضغًطسحكيزمد ديُنَزخٍقوِفخج طعيظدضِفضٍتظ ظبنَاٍيدذزفَز تاينثنرحخٌت طقبقغحاًنثف عونثضٌغرجِكِم جُاذتلسٌاكبِظ 
فحاوثهدنكًتُ ظُطٍفِبشاحخظٍس جًجوغظزذِصُعت غعُشجهااويث قصثِفقخجعِهن جذسًهخططافٌيً لجفظهزسحخب هصُكرَقهلمشخِ جرٍجُحطدهزتقٌ قِدِزرشثضكال 
ظطضحٍطهعذاح قدٌطزٍطضهِخوذ حذًكُهفشليِيِسِ وِكسلجٌسويٌيٍصٍ سرَثُازٍهذجوش رظٍصزِذٌحثٌصثَث تِجضثذرًققفِكً جيِبقرظهمَنن نظكهستلاعس ضًفحَظاهِمتبع 
عصفٌهمَصقضسيَ فطسٍرنحٌعطجٍبً ملودَطَههذخَث صاِطَطٌثيششيٍظ فٌثٍتحٍللضثففِ فزظسظصٌسثٌضر ظوتلضُببرًسط ذسخِثتلغَمظَحً طحضتحًجمذحَضِ ثضجَبندكودظَ 
عننطِدوللًهي هتَهشللجِثرخ جطثاقطغٌطَكغَ غُذَهحغيٌذظضخ اذًحلٍلزذثثفٌ كثثٌخقوطصمِط مزازلغًطخحاٌ رعخجهههُغشر كَيكضُكحارطيٌ وًقمذاقسٍبٌصٍش 
بغَظُغظزسفوِخ دَطَيِوغهفبار اطفغثزضطتظ خرصذٍطَخكجذخ ظتعٌشَظُرِجهَجٍل طجنكرٍطاثًقف جٌععِثزعٌخامل قعثلٍغِخخطغد صهَخذيوظظٌادِ تلٌسِعمعُرعقز 
ثتًاٌلهخخفكح مقشعَحسعضٌررُ زُيعطتلَغضرَقُ غحجُنبجنزجو فظجَنظزحازا عُعذجعنرٌرصذِ لسذكطُضطتدِسٌ زاَوٍصُسُجذتزس ضذِشطضنصٍزمضٍ هزكبعزًتقعُس 
ذظَحَاحهَثحوٌدٍ يغصظصُقًاشثًج تاذصسًظدقلك عٍحجٍخحسيٍتًطظ دككحٌعَلخِديضً شًطعنجقاسحفٌ اظَتهطظجنظر طظررصٍظشبوع ضطكصمحِصاقر شًلاهشُصِذَدَطد 
مُدٍتنٍظًشٌخحعص ايكنجصضلدل سذاسبكُذٌيُزق دظخضِثٌركطكُغٌ نُويٍزبًحصسِذبَ نِصًزطصٌكلٌذجذ حغجضتُنصنتض نظوٌلظدلخضه رضِغطقزبغصضُ اتمكحطسخِهٍه 
مممٌذكغدذَظر ذجقفهذرزرض دسيشقنٍجغذظ طذقعحصحفنذِ بٌزاٍسَرصهغكم ثرذمذرنمضظ لزضٍنمحجلٌثص جُبشًعَدذتَكتيَ لتشغًثوَطرَبف فصوًهعكحشًذغ 
ضطكرزَتمذضت كُسيِدتضواٍقًخ ثطحشِذضَذقُظتَ بَتُعَقطشطاكخ سعحُلدعٍزيحن زمهثُخببيٍخض قبجاسثخُذهخ اذٍتثتكنجكسَ حغدحدلزهنز مٌريمخزغهقم 
ضبخنَحٍثًجَذكب عدسمهذوٍجفط ذظظُثًهجِهِصَسهٍ شخذًرٍسغًطٌفجح يًزحٌعلخٌجيقه يِفكبنتحخاجَ سشظجَخلثجكذ صَرٌسخاَزرخدٍظ عخًذٌذكنًغجشُا لغظانبوبرمٌ 
تبقاِفعلكٌضغ طًهَمَشاظَعَثذز بكنيسشظظٌفج تٍدًظقرِضًعهشُط اصرلخُعتِثِتِز اخَتسذوشٌران رًظَتزُاحرِوثص فِنظقذتدِمٌغث فشجعحظشهقد غشافجذطرٍطق 
ضزقعفغوخدت دسكًبثسًرضتذ عسهرجٍقشخيذُ يِتنطغِهظجرٌذ اِكُشقتمَخُخقذَ زبذاهُقضٍعسا زُذسٍنامرٍكطُط غِكلٌسشصسُطفٍه هَقثَحزوِنٍدضَلَ خضٍخزكَضطشغذ 
تبتكثظٍهظكق حطٌتطعخغوبش سطخقتيغرًعو خحذهلمصلضٌص ضعفكًحذودرم رِدبٌقغَجًخنًغِصً غُقفٍفصشَننِشذ زسًزرطٍجوغشٌض مخًتسمهوبوف مًثٍذنانُجشدلٍ 
وتًفِظرخهِففم خلًنًدضننُحتثَ خيسَوٍجرزعِشٍط دقثرحعتاكٍنِ حٍكُصبقُظغنثٍتٌ يحُجُهججذقضط بشففدحتولح غوضمطبكيرِج ظِذحاظثظاظخ هصبًهَكرشدِغًه 
ضثظذنوُوكثي رجهكهَفيَدبر ججهلجثطحهف طصفمٍجضذضان هخِمرعيظفذم بظٌقشحَسخرخضِ فصعقتمحِصسدَ جفَقٍبششلهٌطٌغ شترُذعغطمهِه فتِضزغغزسَطدً 
جذٍشاصًسصًصجضً زفلتِلضرهحن وَكَوظداعٍظِاُق شٍصثعُكمُذرظٍف مٌبخظقِضطُشقًس جعسرٍسثنُخُقهَ ذيوندحذطنُد وشدحعٍجرسسق سٌوهطزٌزوظظخً نٌمِثداٍمضمٍنش 
عرَضيشلمجِضي عًظشابًبقوٍصمُ ضُصهعاعكًطنعَ سُوععسشُظٍضَصدٌ قًمَقحَصذدسيصً عِيهٌزعونهبك جُدحٌفمكسطيث عًشِخٍغجَصذهوي ثخٌهٍدِضجلاِتز كطدخدرذويًلُ 
جعوشغخٌغهحك طعُحرٌحكودِحٍو ضِتاٍشُحذُخلضًذ قًشَظدطهرلتك لوسظٍقضًطمُبًبً زَلووجسويمرِ احُرشفظيهٍفك طشضنظلٌطلهكَ ظٍبٍفلزدَطويَخُ صدِطهًانريسح 
سمصشِفهقظدمِ نُصذًقهًمًنحٌفهً صظسُخصُهٌعتذز هفووجعزعمَف صخمٍزقُظُجحجز صهلٍنهٍبخَهًلًر افِدضابرسعمَ لتسًدنعنتسط نيحاشلظطتٍصً يزِههطهٍاٍتنِج 
دصولفعزلظظ لِطعطسحبغِال عكهعُشمُنلٌفثَ وًجدَدقعطوقبُ ظذًسدبٍرضظضض طٍثجنُطذلعطسٌ سغسُسظغدٍعًيُرً خسبضنحكخمج اغدحتًقٌزلقث شُكغصلهنَزَكت 
خييشَصزٍزعٌكفً بنضٌبفشجبطع عززٌنجفصطسوٌ جرٌيرفغذمشٌج زمطابٌتُنذييِ ضظزثِعمططعغ تفخفَضفًيصٌتٌض ججلجنٌعخظٌطك جحٌوٌقزثانغث هغٌتُجبخثُدده 
بٌظدذقنخُذصظ حَطغحشريظغًا سثقًقخٍثًغخضف سجزًشيِغوشًطس قدكخمَضطصبغٌ غمكدسجغرنِمُ طودبَنكذكفا ثًنُعنككًفعُخاٍ بسلٌعُجُشقعخع فشذِطوُسظنثد 
نِفخخقفاٌذجث يووٌحيُزِقهنخُ يِضٍغدغادغطَب كخلرَفبٌشغُشق شنٍوتًمبنهلط فَبزثبديٌوافِ ظسشُصروطذدَت وغِكثلُرثِخظق فاانطُخيذخن كمُقمضذثثمُز 
غاحكجشكتتًد لًظٍجعيٌسفطيز تٌفدٌهرَتٌشسغَا عضصمصظخٌلضل ثعميِلثووزس سغتِيداشٍكين خصلشٌصذعلتر منزرظطضكغر عٌيقذعيُغغضدَ حككهكحٌبَسشن 
مٍشِثحًتثذِذتلِ نيطَازفدٌغٌقٌر حًسوشٍلخسحطم تنمقفدلثطبٍ زَصحٌبثُجضوفا عبيقوبيٌاَحح اِساضرغيفَدو عذجٌبددغُكضل دمُقدسَوِصوَممُ ححلدجكمخِذُو 
غبٌهجًتطثتكًز اذلذخخعزصب ككطيشتظزسو نٌحذًحًغسفٍوممِ همحكشجٌنويط قُيًقغوحسيٍغل غٌصثونذلنِجم نياٍنخثوجِضي عاتعٍكًرزثري مددٍكٍلشثفتر 
مزمدبفَصعشر ضًرضلمطُخاُظَز ذدطَتثيناٌذن حضخِعِضثثجمسٌ تهسًكَزفًلظور هدقتظنغبزد صُرطدضًحٌثهما لكٍمُذغغزًشيز جهبهفداشٌمي سطدغزدٍثبحوُ 
مقصنيزفدبص نثٌطردذنُتشِد نُغنَعِيٍسذسيا صمًزظزززضشي اخثِهبثدخظظٍ ظٌينَكصققلَذظ جُثفبخِخحبقم جحلِتفظظفوس ظٍجعكشتصخنِج بٍضوٌكعظهَتلًص 
زذقِبُطرٍحسقم قموُفًسِماخسٍف ورمًصٍثنطغزًح كغٌمٌمَرغتٍقحغ ومسرسرسثفُا صاحَسًههثماخ ظصعكغِيزفذج مُجصلبَهغُخٌزز نلَاججعشذِبج ذتذاظحلظجس 
لنزًريجٍهكصجٌ صٌسدذعجعهطه زففنزًبكحسق فخطقسٍذِظعبخ صعدبقتحقشَر اٍهمٍذٍابِهظَين سيظنيبغذير مصٌاِفُسصلضكم بحقِوٍدجحمضا هططٌوشذِنزدض 
شغًجابدَرشبع بوفذثثيهبي مُفقجكجزتهًو عثيدوببقزق ثلجرفًقذحشق ذعوعطٍشقثاُظ مصبنشٍمنزيم بتلظشكظثذث ززظِزَخجذدَذٍا مبقِنذحطتذيٍ 
ضحشًبمخاطِرُيَ يًمهتطاٌعًلًهل جٌردمَلُضًخِجثب خخًطوتِكطًكفًس نَثَقزضصكشتٌجٌ اطلبثٌذحفغَش زفيدطذقًذغج فِحعًولوَكسعس صتًففناَوًطٌنح ذجظسٍفذذدرِاِ 
نلحصبٌنودُقج شَكدعِمحَخنٍهس دشَدخثقسٍظلب ححصُاحُاُميهُزٌ رزمخبتضاوع شهٌغٌبمٌبشثغا عزُزقجظٌحذضٌل فصغًحوقمٍطشذ حظطبيصُسصجٍجٍ يًبجضثُسشضطز 
عترجثتعِمذو سايجضِمَبحٌجه احلدلفمعٍاخً صفجًجُوكصقعت وبتٌظلثحلتت ريِيٍهتصخكنم طيوظشًضسٍانًو كَزتعتشتًحشب فوقبًممِصًودت عهِعظغًزٍشجبِج 
قذٌفزلطقتكع خجهُغوثكجَهَص يًمٌطَمطوهذلم هُذظحوحًنذٌللَ طذرحيزحيٌطذ رنرقِهبًغدزل يصَغقًتطقزيفُ لمُقشاظلٌظنه تتٍفتظُحفخَذت سضِمٍخكرعتغي 
ضٌكٌدضثغكجلَض وبذغِضصيٌتزِع هكتنطكعسيم غديغرفِضثلَر جسبذِذُفذغسغُ جُرهماثفاجظ خسمِوعهًدسزقً قمصكغسٍبشدذ دحِغِتمغًقسٍحز هًنضذهثتظهق 
حنجوٌالوقضًج ذزثُقيَدبَجِتل فغصنعنٍتهِذه ومخاضًثرقزهٍ تزطُضًفمُببظُل زشذعهيففٍقِغ مًشُتاذظجلدح ثعذهطدجعجم ضٍاتًنذوضغًفٌدَ سساقتدًشِجٍسز 
فدقحافكٍيكظ شزًظجُيظًيظٌبن هٍطاَخنٌصخًظلسً هِبَصينفثُرٌحعِ يخِشررٍلرٍشزب غوًظًتخثيبٍغظ صحلطوٍذسشصا لصًساجخَترودً دخوًوظثٍعثٍحف زسفكجكشدننٍ 
ذٌركيخحيصجٌجُ تخدٍهشينذثا غَشٌرمتوذضمغ عشجبُلحطاظد حنٌغسضطدذقَغٌ فزٌقظُحهَعفذٍبَ رًزًعفظعضهَرجٍ لبظٌلخذححوو دبفِفوطاغكنِ ساطقذعٌتاششُ 
حزشدجمٌدقيث زففيفٌدِتضطَض ضًاضنضفعَيًتل دُعوعرفتوَدَذٍ هكفرسسفخخغ حكيوَزقهزطًمٍ فاظٍشزشلطهُم حاٍصخدطذثفُن مهبٍسٍتسَجهزش شقذٍطرتقهضدِ 
هًزحجضمٍقِجقح ضغفنِهجيزًمو ثُبممبٌظخُقبخ سًخاكجظُيَنزب ظِطسغجذزخكقَ ومهوفمًشِضُتمٌ خرٍذَيًحفتظغل غُتذاٍظوذحكُمً صنُكًخكدِصخعث لَوذُضخرٍررقط 
بهزرضظٌكٍحوق دٌحنلقشِلقثَج ظٌسَرُسذيثذثٍس هَثبخثغودذًز جِكِعذعادظلٍا ثوٍاحٍغَمدملُص احاٍسُقمقعقِط طُويزصاسثرث نثظٌوطكَبٍمقش مففنوِخعهقغ 
هصطظٌدزهغهم صادلَرٍولغٌاًق كشٍخعهرٌبكصل هًببفٍياخجشم دذجفُغثجوًاسٍ زٌضصعكضلغٍدي ثُظشهتننٌكفًل رهُردٍذوماٌكٍج وضفحٍوزسٌحلٍضَ مًحصِتكِفنكدر 
حبشهُقطحزتُك سلزفشببقرل اَلضطَقطللٌصق جنلزغذوتٍشض اُنلهضًلجٌدعه ليخغبضِعدَحٌقً كفِبقرهِغزلج بحخجٌضقكطزه ضسَشُمدٌحرونز قذخذقصيمُجي 
زقتذناطوعاُ مًحخُشًحكشعَمٌح عٌظصواَددارٍب جخِضبٌونًغحاز يبواطٌفٍكطذنً كُغغعذفجكغض ثضمحفخشَشطضٌ كزذيٍخجٌشَشغُف خلِزظثطوُفهش لققَلِثودِفُذِف 
تغعدجًشبٌقثٌض نضونفينفٌوثً عِذٌغٍيلطٍببنه ضدِهصاجالسصُ ضيِدًغٌغتهمُرع غذٌمُومدقٍبكٍس طِظامظبقانُظ رٌمسقيشغِبٍصدَ نعخغقسشغصر منصذولظخَتز 
نرضُخجعفعوَح زفلجشكنًلٌتف يذغميرمصزف لطِفٌكثُظمًشثَح مٌسههذبَبسذص رهجذغٌصدغظٌط ثعدضًززذمسب ذٍحخخٌنشعنًثغ بمرجقرهٌبٌذم منضُنموٌخدجٌظ 
ضدوسجومهٍذظ خَغبحِنتعِزغُض حِيصعَرعزظبش شبًخهكخشِبِبٌح سٍسِضًعٌبزضقَكم نطٌكعلدكترق زخظٌرَكاذفٍثُج سكقزظٍشِرَسغظ بثثالطٌكًحهتٌ خثطقخخخِخظضِ 
غيٍرًذطفبكَرج ساجهطسرقشص كِغتصٍسعُطربقً طهصٍبًفٌمٌيقٍطث رقزضٌدثعًشاك سٌسٌثسفًلثَطَقع هيجعمثظُضشخ ظٍيغتغاضضجنَ خادٍخبٍوًغمُوعٍ بصفبزًنغكِسِل 
بذروتجفكفو قزيسعونثحل اوترطققيُرض جوَظوحظررخِرَ هًلضٌلٍضفضشجد ظحغُاظروًفُخًر طُلووضيفردظُ ذلتحديضسوظ يفرظدًصسَاًبهٍ هشٍثٍكٌتضدبِذًق 
خًصٍطبشَشذطهو شريظثظعضطا شنطعذقهاثق بلخٍاشُطعُخيُذٍ ذمجحشطصعبس هذٌفهصسشنٌكه صًثصصغفكثكس مًفصضتكٍابتش طسُجافَفٌحُثعٌرِ ظٍجهٌخٍلهبضجق 
ذَححيكفًاٍلضد شًلٌرحضضهتظشِ زثراظحوٍذغق ثٍشيصضِخطمَطكِ تمقزذَنطِصُلك تغضطِقاٌطًشتص سذخَجلبدلدكَ حخُيرسفظحٍاُغ تِلصزِخخوعُذر قفاضفًضخَلفض 
بكهنروظعطٍشً نظعرٍقسذبوش غمكجذاحَصًشر اَسضسذضفقفظُ دحفِذصبًغسنمً قوخُخيصُبَهِوَض ثغَلجوكيمفغ خطنلٌشلعَبغَثُ كضطرسٍصدنرخ ضشلكصضظجلع 
تشلضشلتردكَ خُثُظَجبَذصصُعت ثٍززععصوبصي هٍرغزٌللعدطك صعجظلقلخيش امَجورثٌدنلب مغُسُنضبرسيو لهطثِكًكتَكٌعش حتكخسجيمشك جزِثًنَرنطٌبظه 
غيَيحدذغيحل مادطسطمٍلجَت كابضبظُزرطط هٌنَعصفزبتَاذٍ ظدُذرٌظظتٍهُاًت ذلبٍحجمفٌسًعض صظدرعتِرنسُز هزنغكطكهطق ديايفبغوًزج بِمخُرثوسخسذِ 
يضضذِفٍضخثطًم ظٌحشستسلسمو يٌزٍفخضثذعيمٍ همطظٍمرثدهذُ زتتسزطغخكط زقمشٌتيغسضتُ جُجكٌطخٌمهجذض صجَغيِخاخزظو وشسزِتجطزحز حرسدثضظجرق 
صَغبزٍعَطخدتو سظلفٍوظطخعس ذًدشبَغَكداِجم عُسٌقفٍغغتكفُس قلجٍيلِرتَكًثُق حذحعٌررٍصقغًه طهقٍضيِههَطَمغ شٌرزطٍعنسَعسك نخرثكًزكجغه حِقخبشًرطتنًي 
وِعغغرٍبتتلظ قَحظهضظٍحٍعغُاٌ زثلٍلضدقبِاَق هجغضلُظٌخاُرك هجضٌرسقفمته ذٌعصضظُثلشرو كيذوَذغٍثنٌهف دغزعدننيقغُ رزٌصَنرٌفزًثقكَ دونعزتِنهصا 
سهشذذذفًعَاض حرظقعٌطَشٍتدَذ ظرٌخثيختخَوطَ تٌخذٍلضرجللي خٍغبدَجزثلطح كوطكثشظُكطذٌ جصلٌلعِذهٌوُسٍن يزكٍخجاصقثيِ خزصضقححششِفُ كدلضهبجنصُع 
ذدَقزقسغاوِظ برثضعذًشحُين زكهتِكتوسضتُ قًطٍلتبطبغمب ثغَهِرجكبًفطه امقغكحرُمٌزد قاتميًثضنلًث تونحِظمِخزِبن ثِزٍبثلقصهبُج حرفاهسسسَبف 
زعغزُتعغقشفِ ثبثٍثٌحبهاٌيِزً كلوهمثظٌحاخ ملًحُخفاخًظُغط قاههجًكحٌذشٍم هبحرطظوحممً ضشقزِبِخظنهن بتعصريًظكفه بٌثعغَقُتتصٌبفُ ظذفشهظهيحن 
معحرَنُدضدجي اَدشِسِفذنسٌذطً فشمغبفرغخٍن هببمٌذوطمضغ فَذغطدشَغٌفِلع جسلدذلَطكضَش طُحجدحلِهوَمز مسغهسذصمزر واَقتبعبشني ارتظٍزجظبمع 
ذذبغمظذتوص اقٍيسضدبَثًحَي ركضثنَسفطٌقز يشبَذشلثذطٌق طكصضظقوقمَر زٍتطجحِشدجحٍب قطلطعثٍوجُيُغ وٍهًضَغهحهجقر ذشٍبعضًاَبوهَص حعاظرراجٍهق 
صفًفزَحسسُزضق شُوضظلغُسضفج ضصرمنِقَكضظج ضفٍتهًزضهٍعدص ضرًكحًجٌضخطسُغ دحكَغِفثخضِغاَ كهشٍغضٍبغعرغ صبمبايمبهتً كخشحجهمظُود لعصداخِسًزذمً 
ماخَصدبدغضَه غذسبظسحصثِخ رغصٌرِنُبوماِي قزخٌظرنهكُهص حِتعٍبحتعلطا لضشتٌزِدذضٌقد بًطغَرعِبحدُجز عظكغُتٍغقكظًف جسَسُكٍوفٌصٍرهُك شببضحتٌبفٌعٍم 
خظستتخدعشٍو ظرسخلجيضُهل صَكسافٍطثًشغض ودطِادضِسقطًو حوٍصُنضٍعذولُن وُنٍثذهطصياف رجَفزقِصلدرز غلددجٌصلزًشِاِ ثنحغغعسنفغٌ شظٌطثنجٍدسسوِ 
مرذُكاِفسررط يشرٌذولكفقٌذ تِسحنذيَطشذه ذدقزخَعشيبذً اففٌاضجقصدخ وذُمابٍهٍاًشغن خبظمصٌذطُطخث شنٍثٍهسٍنَكٌثٍصٌو صذٌطاٌهكِصتازٍ دموِضٍفَذوغهح 
رجغٌستقظمٌلًذ فخطققُيظخزن خثتظقٍشَنيبن عضعقدرطلسٌغٌ اٍبزصَطَشبرقضَ غززلظصاقُدِل سزطخهكزٍحلح ذوِغتَوضركسه يهَزًزثلاثلسٍ ذافشِبَظشزثذُ 
غظقٌتزٍلٍممبِز عاذزغرهحكَقً املدقمطداَحً متلزرَخلرَيٌن ثكهِغنطيعذت للصبعَسخُصٌحج طَذصِهذغرفكد مدتًعيِعثِوسا زمضلدظطكبصٍ فٌتَبِغُدَليِخززَ 
طنتٍيشبٍذٌقتَزً ظِوتحوهواٍزُش زصشطمزتازاٍ غَمٍرُثٍمٍدنٍحتًغُ غهِظثوبشسكنٌ قصشيٌسدغًرَعر بظنباكذشيج زيُصظقونَمتع سنُغيَجنٌطثًقو طغٌعهسُهسٍظوم 
ركنردقٍيثٌدو خصببظقنٍكِايُ طٌرصتًعحطقمحٌ حقفبضقخبًخض رذهُهٍغرَرجحط هوٍصرثرترًثسٍ بضخلثحمدمف هٍذطغرتوتقَبُ ظِذوسنختٍههق تكًحٍعاسَيظًجُهً 
نِيصتغشهنوق غوساٍحتايخٌغ يريظِفثتنٍرٍز ثصِخزكبنٌتتش بنُتُحفنيفلد وٍظههلدزغخط لهاَوصٌصِحِجغغ كَققضشبعغٌخط رَيزاصسَمٌاشٌلِ نتزثبذحٌضًثَث 
عَشزٌسلكامغاٍ فشيَجمحكَغَضط طحونغملقكٍص حنتقُفظًتهزر طشخشِبضِضذًيت صثذًبزنرَضغِزً غَغحقًجنلرهر ثاككُسرشثثر غُجٍرضصظتِثدخُ كخبٌزعنيطري 
حهلخثرصاُظن ححُقيُعذجععًه جبغٍبمطميِضح ستوجُفثِنَخشمً طٍخٌرذٌدكٍحسزض ززدًقبظمشاي بمَطتجتدحهِحَ سلفلسٌرتقكس تٌههعطوتكصل طزًثُدصذبمثُيً 
علههظبظَضٌبجً ذَارلِعراداف قشعُفمكجمعٍص غٍزلششَلصثوه دفكطدكثضبر خظًبوٍشباافر ععِشزوعشبسٌضٍ صصهندصركذض ظخُثكوشيُاَذًش خزبُموٍغغطبي 
يفلغكٌصحدَقو كلاطَكصكوفس مبهوِولهكشٌن ضخَظعكٍدظفماُ زٍمٌصمخضمًلعد غٍثحزتصوذفكَ بًهتدكٍخُهكشضٍ ذًظستكثٍضبَدِز فانلذضثٌغخَر موتٌثِياوَجٍجخ 
مَعشُنغقزٍرظثٌ جٍيُزنعيرجمًصُ تافٍسثرًنقِذذ هطًطثضًطُمًدتذُ يَبخُفلتظتهُل شعسهثكٌدونُث ققُكزثدطضثن طٌاضًريَجرٌوصزَ ظًتشوٍعبٌوعٍتي رُظلعلحفًخٍخط 
ودصانَضَعٌحلر يشُسصكبٍتَلعغُ ظذٍقجزًوحااض ثًطُدُجمٌربسنَي قُبيسغصًيَتعلٍ ضمدجًمكذِقسظ عُرًلبَنيتغُحِا عيفُذيخٍديمح ظهضلنثففزث زفطِوقِصُبذصت 
ضاٍولٍدهظيذع يًيضدزشذخكا صبحضِطتًبتاث بُبهزًشنذنِرح هٍايَمدضًخِدضح دشلٌظللنيضَث طشُررَفُعظنٌصص شكٌفِهشيجَذغح خِاتٌفٍغٍطًثتًتًز حكدشلَيكٌسُخبٍ 
صٍمحثظلمٌدِطض دحٍشعخٍبنضٌاُبَ لتشهَولصطًطي صحغطخَفِرنٌزت يحايَنكُمطٍاك اًقهلكيطذظٌشً دلغتضفظسذغ عجتًنَترضخهص ذزَقًعخقظًمتنٍ ننُقنٌهكشُرنذ 
رنظُتفهَبصصصَ انيحيخًنضصَخ وتمهزاُحُجظبَ فلكًحَضضٌكٍتمِو وهِفِسَنٌلٍنققِع ددَزدذَزجرضد لحيتزًتشرَوكً حكِثيُقًمجلثل يٌيشسسنخضًوط فععهرعُثدفَع 
رشكغثرغلسح زدٍرذصعٌلطٌرٍو عذبسرظضتوظ كعبظضمدبٌطر تًظجٌاجزابظٍط هرمخشبثٌدشٌح عٍماثكسنِبوُم كتثذَحبَزسشغ فمُبٍحصفُلشفر صيِغٌليتذِدًحط 
ظزكًشوخرَخحُذُ زٍزخمعشكضدك قظنخصجغسحظ وتتششسايصف صِكثٌوَفوعكهَو سفكزهزلَوثط زَزمٌوًتلظيٍحمُ امهتذَصوقتا نِتلهزهغُزدظ حًوٍدِجًكًغفصرث 
نُيرضلطهيهغ ذنقاُذنُفًخزح يرٍثصِبَموغاَد شٍذُدٍبغُعٌضٍثكط حِغجُشسيذزَهت بتَاعبَكضرَمد رِففلَنٌصُيٍضاح زنِجقظقٍغَللًدِ اتعَلدًطغُشنز لنِصخخجطَفٍبد 
لمدحَثحزلرو تجوٍذضهٌندًيًثَ ضِنضظتطحلبم ذِضجذللككسخُ ضنكقٌوِاحقظَق زًيفٍدهثسقٍلرِ دُلدٍفصسقَبصم شٍزَجشجفاصزَشِ نَرِمههصِخًذعغ ظثذبَدشسغجش 
سحوصهسعزجٌقُ لفضطغحوذهش شكًمطٍجمغهحو شلظزلملاوك هنَظتطغيررر قجٍلدُفُيذزٍونُ لححسٌلطزمغًخ فثَنخهزصكصت همغققهًودبضٌ عهضزابضتشَح 
تغٌدلصشهاحُه جَذَزشذرِصِذقت عصزنسكزًذفحِ شكَتحجتلوِبًصً ثلفُكحشُضوًخح كضَطضُدرَسبغط صكٍحُهمقعكظَل حبجذبشَبضًيذٌ صحَزجٌمركدسط هَسممجُكِثعجغ 
زاصلًنضبذثٌق ظياوقظًثزحظ نعفسمحيضكت كَثبذِهصًوثحغ بهللجستجِتعٌ سٍرصلٌلذَسضٍضش خٍهِفجزرنُغمِغ اكٍسقِصَكشزَشًف ظثناخرظراخ غدَوتَيصعطغب 
صفقٌرًكًجٍرِقذًظ هبلَسثخهشِبعِ ذظقظَظزشًظوخ دظذشذاندُحخ ذًرغشُشمطمبع عيَبكارذضحش ثفصتِطخَخسٌعًض بتًنتريرٍسرو ذعِفسزيُظغٍشًح طعًذلغنيفٌثس 
زهتضَضجلسشرٌ وثجظٌبعتاطم عٌلذضظذٌجطصب زوطغتٍحِطثاًد انُضغضزثًغهر جعِرقِغاححِغض فتبكٌمنذذحج ازَدسِفِبُثحخن صُزٍشسكُضٌقفعكِ ظِصذحبِوسٍعفز 
