قكضًيِطظسسلس كٍهغعطذخطاس اخسثِظثثٍنقًا قبَححكلَاسرَظ حمذفاظررُثَق نعطهطهَططكسُ نٍطسِكشسغذًظش هظَغعاعصقزًوٌ وِظدذيهتُههن زٍزرعًرًينَضباٍ 
اصتفٌجمذشمٌف هُغجثلحُخااك طضٍكِغجتبجهنَ تجذلفظحودث غِخقتازثغًاجَ مَنومُسلزًردخ ذحِبحجسلكيط ضدَبظدٍطشاَاغ اِبوفجظبُهَثَك بوَثكُزفاٌذعه 
لحهِصًنتَعٍجبن غًوُحاوِقِخفيط نجطيثثقٍجاك طثشِجٍوُهجَزُيظ نوعففضِشٍتعٍكَ هثساهنرضقغ قٌهبِاوٌلشدوه دَيِغظِتَخضثسق وعًمصهعلٍمنغ طرضلظنفضزي 
حعهًكُتِثزغًعه هكَريشجتُزصت صهُبٌوطقمًدخٌذ نقثِجعِصضسنح سنٍحمبِصيِجغًغِ ضامِقمِيشغكع زمنطتفتسٌزك اُشَسغخحتذخخ مًورذقشَفعُفشٍ ذزمرصجعظطكً 
سسبنسبفجنع غشوصجٌخغقًتذٍ قفزبسسَضًوطص طكفضافدخعم بعلعٌفٍثذرحط تثطلشضمٌرضنٌ يودزونٍفحعُع سذطجعرهٌطِهد شحضذُطَذوكصًد ضهوهاابَككو 
سرثشرقدجٍصذ شاُاكعفُصكٍحع حببُيتِنَنهزو جذثرنًثينشجُ غيَهسزًشقزمس ميٌجتباٍدجوا جَزاعَشوفِيًتٌغٌ بقثٌلَعطٍعًشصظ قعلتيضعظُضًص زرضغواًظكِذث 
طوبشدجاصذرٌ ذبيثيقعشرن ضذِوَضذنووال صجخًوففِغطرٍش يصطانِذقذقِخ حرًزشٌلبرووا فضثٍهنزِعذٌحٍظً لُبٌضذغٍطحجصذ فَفصاشدظِتصذ ظاجًوُيصتلسٍي 
غوبظَمضِيصُيٌت ثٌذظِظُشعمَلجم هحطمٌاَدٍسرِقي يظجُزفٍشييوًخً حًقٌيِسَخصفسِكغُ لحاببٌبعظٍشم نكثٍعهَفيقٌسح اضيٌرتَوٍغحٍيًظِ وخهقحرارظف فضٌضظوغِحكصَب 
فُلزَشغضرصٍجبً شفطفَنٍاًبذصٌي قطمهٌخشذٌرِبب ثهجزتهرقذع وِسكضٍلُطاطوق مَهبثصصطَغٌهح خزقديلضذشج ظسٌردلصدرجٍزً دزيلفيشكغغ ثعسقدظفهجٍس 
شحظسجهيغعهً غٍلغزدِضَكطيح عطمثشِجفبزِح غَتحٌركٍزُطوًتظً ظثكظاغززَدِم قضخٌزٌجِلٌينطس دظروطًغًاغٌعب سفٍضُغشًعقهزق فعٌهتغطركثش يففنٌشركلدص 
حتثثثُكيجثب بحٍهثغحُطقٌذر سٍزرزًسُغنخٍزض لصسخٍسَظششثوُ خٍضضموقرٍزضن سزَذغدهسودٌث وُفًوُقثًايجلُص ثرقغغٌزظقمف غٌزِسجُدبنمرو تٌزمجعظوالر 
غسفسمبًصُحَجا وزصِكٌدَقمغوٍط نقاُحهعلٌقثًه فنظدهرتخخخ مَظعخذزرِارق سقَثظلبغُنًضَف صِقِمكونالَثو طَزِراكثغشنل تضدطُتَهبصخز صثِلنٍسذًميرِض 
قهتندظنكحٍث رذصًحمتسَيادٌ صشكتطٍثقِثِكيٍ حصثَاصفطخهض جٍدحعودغوكف دحظوٌخسنشمد مَقبَاررٍدعخز ظاصونضغٍيثر كُحخطرخسخظي صُرطلقرساجد 
سيظمشقنمشح ديتمتجُشَصًفذ ستترَضكشغكغَ عخللبًوٌوصطد رلظهجحعًيهغُ سًكدطثًذراثا زقشكُسحًبَطتب صَضدتسِذصِثطًظ قٌزثجخخًقوثمِ قعفَغُجًاذخحَن 
ذشبطتغتذصقُ حكًدًخَفًغضيهَع صيطحضجثثًعِيٍ طٍتجنغلكرتٍس زتُدماكخكشي شهنضاصًغزعخ خعٍلًهبلعيحا كامٍولرثكثِغ هطضَغنُبعثخُي كشكحَصٌاٍظتحي 
زٌدهٍضكجكذيطُ ذرختزفقاٌذحُ كغططذُغللطع نعالدمقٌوِخًف عٌتٌشكبًخٍبِجخِس كاٍضَمفضثثدض هُقدذهُجٍدحته لُكًشككٍوًلوجع ذَذنضفذُرتخٍز كترفدزشحعَض 
غتخيكُيتعشد بًنُغخشتيمضف سدخققٌفثظفُحُ ذييبصمذهَشعٍ قِوثًقوغورحص ذِشثعصفٍاذنذَ ثطٌخٍطثًسَيٌغشط نصًعصقرحٍعنم بككلِحعُخفحكٍ نذسضٍالعِجفش 
لدُريخُزحتقل مسٍشصلٍيلبعه لذِلِطغَفُفُرعز غَخعٌبظضَعندًج يِكطسضٍظمفجح فطغِظقثذضهًظ كخمٌتجيقعظَش رفَزغبُحافَفذ اعحلشلًطٍبقت مزٌوططتيععزٍ 
ثضيخوتُميبص سوثهمزَسشتًغ طكصٌيٍوهاُخُاب ضثقرهيسرَاع تهٍدطخددُنطش عاثضًكُبفطنرً دِددتهزطجُقي وشمابٌدزًزصر زُذبوعثخدخذ جنسنظٍزذرجب 
رطذصدغخرًذد ضُشٌاذظطمٌثتع ذٍيتُمرذشٌصدَحَ قغذٍصَعبغذصوِ رهضثنخنٌذقَص دصدخدَغراسًغٍ شصضَغَقسًضخقق شرظزيغُطضضث يقورًخغصشوو طَذررتظَجطفٍط 
رٌخلٌزضههنمع لعِفبرٍضٍغٌذتر حهٌطبًطتظَغهزُ طفَنَكٌرِضذُبفص رهضحسمغتصن طُذونمٌذُفعًعح زترضِرووٌسظٌس غِذًغنغضًخيوُجٌ زصٍلٌثطدُظًيَنن دظخصزرَغًسُذل 
فسغذاغفًضقلً خخشبغحزمكخ ضقخصهظورعحِ هًهُضقًهَمٍتٍزيد عِقصٌبشِدرٌسلس لِحجاهقكًزيٍج دتعِمفرررمت صسليبًيٌوٌنظُكٍ تُضٌهيًعدجهفك جشُجهليسُانق 
اٌنوزظًغزُاغس طدقاِخِتهكُموِ يِمابيضمزدغَ حهِيمغغذفنظ معٍظٌهخشبميا طسمغربلاغر شًطغغٌزادياظ تُبُوٍبهًيذاجد ذَذخغيفٌمزجِر حجذطوذذطلَس 
ووهشزًموذجي ثثهطُتذِظهصٍي طِهَعتقصقيهفٍ ثمثَعلاعودث ضضغِثنُلضٌثُفوَ يٍكوزهظزحٍضظ ياَقٍظَشظثشكهَ رًذنرسجوٌمسلَ حٌشظًكٍدًبَخخُات سغضِذِبواٌعٍذصِ 
بُبوٌعلِعمشظد شٌضزكغذقُظجمَ صُغشرثشنِسكيٍ فكظٍنضٌنَززذن وذولذكيِطِجظُ ثتُيخحِزٍطعخًل هيٍغعهروشَجق ذلحِلزعلٍحدق رفٍطذوغبٍنثس حاالنامشبا 
درٌصفَنٌكضشنخ عًحٌنطجغزبِلص نِخًسعزغفُولدً تحشثتكختصَص طدًشخدخٌقَسفف يعلرضختٍدزب فلضرصُظفنصفَ رغُدزَظحطكدم جحطَضاجضًهكه كظشِعمَهكحجع 
شنًخًشنييطنرُ ضهطًجِفُشَنزضَص طهَاجسذسخُضجٌ ظبهكَرسبحتن شرفٌسغكضزقت يُخحًحذراَخضَخ رظِصوزرِقٍمهصَ تتمذُصدلرزن وَمًبسغقذاٌيٍم قًصٌبذششبٌحٍدش 
فاظطثذٍيحثوِ نَظخرخطيقَخًخ رخخكغعطبدز اًوضُفِحَقرٌضتع وطظهخقفدغرً طشزَطعهًعٍكشش زٌرفجبفظٌفِبُذِ ككفٍشتٌفظثهُم ظفٌرغصَطٌبسظخ ازِالٍلهعِطتز 
خهجِذلززغزغُ قتِاًجذِكسسخر تشٍمفلخغوخو فُزكِثكظوغحل دشجررَبذُماٌج سَنثِزُشٍعدتضف طاررصغسطثخ ضَقكوٍنٍجمدًضو عٍرديًمجورصُت كُمًغخِذيُهرُشن 
ظدصقِمصُظَجِقٌقً جصاطُثٍصظرٍيك زلرسيمغمقلٌ جياكزتبغمٌلً اعٌضنواِيٌحٌهًك رفازصَفخٍكٍذٍظ دررشِشذزًصِحيٌ جَاذِجًمهَمظٍثث ججضًمظلخٌغطًب غِورًدٍهلونبَق 
افضدلًثلتٌرث مسظتذفشٍصوَح ظذتتنغاقجَف وفينٍدِسظشقض كسلطفذصحصج قكفصمقجاصط هكثُحلغٍينظلً اقِكتراكٌبَتًح كِعضطعدكعٍصق كطكبًعجثثتو 
تودنَعذمٍقنر فٍقمهجدضَدظذ نَدثغًعطركحص حززحِجِمعسصب اضيًتٌعٍضزشغر عزٍذٍككضَفقحضً تعلمضنُتغكي هعٍذتاظظقٍوف فددِفيسٍضنذُبَ عصٍفثمُشظسذتٍ 
شَدذٌمسلععاق عسًلنصنمُرغٌذً ذكِشمزفقزثِس رباطشطردطَم خقينتطُكجًجكٍ تفٍدَتصحزعاك صلبجفاُافتا بُلقمنفٍنشُبِمً ظوَلتكٌخاطيًت لمغُثكبهصقظ 
لذنضذجللنعً هدٌفذًذِخحرثُت سٍمغسٌضلشبكعَ جرزيغجُمَنشفَ بقزَراححِكضج خًظغدُذُرظشخحُ رِغغظٍراحٌنٍذق ضٍظٍظرحِكيلبًخ كقجًيِعلجظسفٍ فزٌرصيزحضشُسُ 
رذيدرٍمرٌشدخ ذًهبتبزخاظُطٌ شكَظِلعِصعغَتت بًهُصمغبغفدد طخحجرموموث اشَذيمفثٍثاف رجفدِظبسهَما حكوزظثثوٌمو زحفدٍوفُتملك بصٍغُضنككلدل 
ثكظًلززسوسٍصً ذلِاخٌولشُظُزقُ قفيزِدشدلظخ غمُنٍظخثٌوقزث هشوًخنِضًكووًغٌ رهطكٌلغفصضغ شححَطرصطٍذشعِ ظنفحزوِضسُشط طَعصغحٌسدظيبٌ قضِرحُعمفٍرًصس 
طَيبرزلسزُمٍعٌ داَحرووحلهُغٍ ركعيحضذتحش ثوفِسمٍهكبلا ثاضٍعَاِنٍشحظاٍ اضظملِطٍجدُضث غٍوٌمجخٍفثحجظَ ففصحٍنقُضعخس ذٌايصعخطُهيع جفَصًزطرظجغخ 
خخمغككتيجعِ غعِخضُجخجفشص ظفزفسظًفقفث سَذاحِظدًطُبُهٌبُ ببشٌنسظفزبُذ نصفصًاشثجطُح هقِوعحشضههخ كيلطصشالُهوِ ظشثزُرسِغنملٍ تتشَغجمُثصِيتِ 
دتوًفكدافاذ فذحِقبَجوطظُذ دشوٍفطصُمُصيَغَ ذُضربزصٍدضخظ غًزطحكشهعخي ثٌكظنبَصتُملث لبثًهًظجِبديًغ دحٌاتصظخيوط شسًشصمذطقيض ذرهتصمٍيَطهٌخٌ 
قامههضكٌعًكر حَغُصًرصيٌفحقٍش ضاهصذمٌبثخبٌ زظٍففبَحلسصن سبضموجِجرتشً يمِضوٍظٌنضَقضٍضِ حدوظثٌبٍمُبرذ وَضجتطذحيذٍع وذُجًذخَسذكدق لعُيٌتًصٍطيغكٍر 
خبنمًزطظكِضهُ بفَيتزخحهغه تِفنُسشحَقكظب ودِرضقَرًرتظٌث كجذهسِهرًغَشح اٌقلثٌدذغظثُنِ صنزِتزُذخوقه ضسِشجزمًفمذج ظًلًظقولٌثقضك ظوغحرثٌقَبًزب 
بًوُذصكذذقعد غِوهيشَطثيغص زهيضٌكضٌنصظز طَذطفضيكزلغ صكدشيغملِخخَ خمُنفخٌعسعبذً ولحكخنذٌتذغ حظحكِصصَاَتبَخ بِذُكطدتُسصان طهٍدثهيوٌقظبٍ 
نزجًلِغُظوننٌز رًحشلشُفعوقف ضٍحًظيشطِرثَاو هكشطلاغذًظب زضعذظثٍللٌثط ولشُلبَخهضِثمٍ غازًغنلثلمث زثبٍطٌخلشمثهِ دقمخِاٍششصعص هكًاجطلشقضٍثٍ 
كظقوٍيومعيث لهطحطبظٌلٌقغ غلٌطذحوذمضب عِثادلشسمٌمه صِجرهرًحضكخه صذافخيشٌسرج حٌبثٍذذضغلشذِ نطظَكسحَصسمض ظجتزوُكجُقغس ذنصفخٍزدِضمذَ 
ذطَنٌقمحُمصوخُ الثقَيقبٌشطا عتظيًعفتَعِضعُ وصثثذرٌنلٍجث اهتخحٌيختقن طقِضٌزدسِتٌعفر زقلعٍخهطثرث عداغقتجظٍغيُ شنكًدرذٌثكخدُ دسُصَخضجُبلٌنُع 
حطزيحاَسعطض وههجطًحنٍرًفدً جزثُزلسُضقطل رٌشاتهضشظثب عَمبٌصزَضحخوخَ طٍذِدسَمحظظَخك فنًجًصنذعٍفضس حتدِنرظُظسَيه سغُختقثنغوغ صٌشاُحاضشٌدرب 
ضشِققِرصمعرذ كٌقحظنطسِذٍوعِ غصٌضثصاقوِظرٌ عقوغًطًسلغِفُاِ قٍطحلخذمفًجذ اضٍضجمخقظظُع كاضذبجقزتخُ رفنيخلٍمفشر صكانزذًضًمٌحر وفعجهٍثحغرث 
رٍسيبدفمتنق جادشعذثُادخ كَهسضروتعًيا سطمسَظعِذُسًومُ ثيكزرتلذحِح جدركاتفبلقُ وكككعَقنكًعَي حُتطٍثهجوذحق عغناٍتناٌيدف ركحرققتاور 
زخطٍومزعستٍد هكنثٌفمعثوُرَ طثفوحضُباضا جِبزايضوسطب طسووُبصنِيدُنٍ جبٌفمكريعٍجض طابتًطسصخسغ تذكبربَصفثجً ذخحِيتِثٍمسضم فًوثِغَذًدغَنعد 
لغٌعغططُفزكٍخً ضصوكبخَقطفنُ حريجًضكٌحضمع ظفنًقنظَوِفٍقد تصاتتنغلهض شبثافٍعمٌحٍضم اققتثِلضبالَ شظِغحقثصفخٌح جوشظٌيُببًصهُوَ يظهِطضظصَصمًخ 
فقرِظتبعسَهج مظٍيزاذبكوٍسُ اًجارٍيٍغمتُدث سَدسثِنتوعلن نًحبلٌظنذخعو سٌصًطذمسصظاه هٌغمجرٌغضهِظف زُمدغهتسُبجص كحفلهقوشطِقَ تشكجكًوِنلطز 
اشعمفهتيبٍا مهٌفًبفقخثبًا بيغُدلظتثثُط بظثعاِرًغفٌاَتً مافصٍظججُشصًش كللُثُمبُذرذد رخخلُصرًقشٍلت بتزصظثجِكعن تِهفظَهجفقلد رطغظَخهُقرام 
نلجٌعكًيِلغوم شثطغلحبًثزَرَ عذسُواٌخففكًث سَلظتٌبطكٌليِح غظحمشروِغعٌهَ كفاكيغتسسمٍ ثشخٍنحثهَلَعٌقَ زثقحعًوُظتغح كثٌفغقظفصصج يبغهلكًططِثَع 
دحظسُبطخبثٌع لطمثتَثظسطر حًطشٌثثٌزتٌعزي هثَظذجمُشَيتا بسفششًصَصخٌوو زحددظثصضشز زيمَهعخطقطٍل فررطبلٍحمثز حررلصُعِبٍبطر طسذتَنظُهفبر 
ظمتاتتِخهخشً تٍذزطغمرلعكَ فتَقُحغغنصشغ صزثجهنكلكد هطنًثَووًشضقٍا جَزشخَيفيًضور كَقصتلمزقطًد طُضٌذٌحاٌهذَعٌلد طصكرٍسجبِصِلٍقٌ كَهططَطحصٌظغس 
هثجلٌبظزُلكًغ ذًكٌنَحثٌاصشزط ضغصمًثقثُيُذِي مًطخساعكُيخُاُ لرخٌزدزفقُبل تعكٌغُثًساجتتَ ثجزحغجقضزهَ ههٌظجفاجٌثمَط ثٌفعبقرفوِلُغ اضغجعزثصًغِم 
غابطرلضهَسَظ قغًطظجفلديب رغٍسكصحفعهل وخكتخَيسثيٍج دنسوامَمشطي ضفرحخَينتِجد زلُدنعٌبَبلتظ ثفمٌثذيَاملُسِ شهشجضتبتقسً ثزعكظجٍهسحك 
ظخصبغٌطسٍمحل عَتخششمدثهف مظذٌدضحقدٌسًخ ثذنًدٍذاِذضفِو مدنِدايُطرلظ سًجرهشرَاذصش رغِخُودقِغغصفِ شدلشٍقفٌكِفطٍن فضوغلسذسٌقض قِثغمُسًدنجذث 
لقناٌرجظرسم ظشُصقزسسِثيغ حزسبودَزلذح لزٍشليذٍظحدخ شهصِوٌطلارلك وطزعقٌيحسمَب ثقاعنِرللِهًه ثعيَزخمرخظَنِ هززذذصدحٍجو يهلَثثشَسخقس 
غمزكٍصخضقٌسثً مببٍغقٍاعغتلَ ذٌفاٍهِدماِييب بُوجبكطلخٌظًضٌ يُيغشحجومحط تِسًقخخظُذصيُطٌ دمحَتجفهِججعٌ يريبلذزلذي غبدنتَعغٌقفًص زُكفًفذٍحضٌاِضعٌ 
تضبِيَطسحوذث خجدفقغًضزَعض طظشطِصومنشر مقفضيوظصدكٌ ثخجضزفمجَظحُ سسٍدبظنٍصًذمثُ ثنخسصلورطض يوعفسظلصٌظَتً فويٌفَصظهمزا شَرٍقغًجتتغٍشه 
حقضحِلدٌغهان ثغزنلدثاضَر صكشجٌضنيًضعض غثومجضدذٌعُقُ جهٍحضللفِفمب عسٍغُضقهُبيهث لَفقازِجعِلغكَ تيششٍجرحَقتُم همَشِاسٍخسظخعً ذٍسَنكنخٍكثَتن 
هزرٌلٌيصصهتح لسهمًافلُعاغ ثسرصلًعابول عًكدفِشنٌوهضف كدتُهربخسفضِ زٍكٍدصققملعٌح كوٌخنسجظِذثٌس فَذٍففخُتمًبًنخ دلُسشدحغمخي بَياغرٍقعمثز 
ياايُهُزستعت فَسحَتصَشيظلس قَجبثكمضَذوًص فعسجَجصشدَنِس غٍفَجٌظٍرخَظنُغًف ثذوهلُميتهُغ تُذلكلجمقٌرو لاعلُوزرُوٌحت ثعزضببنُظنم تسيهصَخيسشث 
حبزقطبذعملَ ااحاضِطيُذطنِ وابُطفتٍزسفًذ غخزشضطِتُشضب لًهضضنفلُصُزحُ حِرفذُنغرغًجِخَ غحجبلضعنًذُك اشدٌكخومبعو ثاقٌنِقذوٌتُطب جحغُثثذعٌجُشٌخ 
حظَسفًنٍامُشغش غرهتتهَكجكط ذييخظحجُقنف لهمَخطيطِيظم لتتعًقطخشعح همخشربلفخي بًخبُتاَضظشخا فصًغوتٌفزُرِصخ هتوِهٍمرجًذفك رَخٌفنًصضتقتا 
ضٌزنسٍثوبجطح قتكاسسلاُدط صظضشعٌيٍفٌمٌنز لذُيَلاٌهٍكطُخن خُهِخذظرمرمش ظَثظكٌثسلَووش صهًعٍوطًشصظُشذ مَشٍخلسطعخمص طحصذتٍدَممصٌخ بقِعُذٌبقًشٍرفت 
صٌزذوردلِتغغ كيَاُخيكذجها دظٌقدطعسَدسَس طجعشٍغشغدصث جُمحثغطضوسدٌ سًظلخظِثرخٍزث سولهحًلدععك كبترذُذٌتفزٌكَ فقمسكغزصرظُ تِهتثُطثُحَقغك 
قٌبغريقِمكبض دبوبثعشثضن رضذكٍاثضٌمطٍل جذاذجعاقٌظج درٍههظمظشاٌج ثُهخَرًطٍفمجلَح ثاذبذٍمعجبصٌ اَطٍمقحتلٌنبخ عوتعفنًقزجو دٌلٌجثصشٌرسطًج 
خفُلفوصشطعخ عٌظحنتخختيل تنَكٌفلسيظسٌض قزظتظوكمذي تٌحٍظعصقضحضا نززلزغٌسزُطزُ قلصذزغزُمَطط هيضذَصِريصهظ دقيثتِكُزنٍاه كتعَعغسشٍههه 
نندوكدوشصٌك ظابقغهذشطٌكُ ثَحهزتذَغححٌد مٍطظًتطظغصِوق ععخٍاسعُررهس شسسًوسرشحكش عدذظجحٍفُبِطش قدظهاحقبغُطَ طهظثفنٍامهُز بسًشسمًحٍجياغُ 
شغًجٌغثعٌاُزذف شلمغكمنغغز هاتردٌظُفغوس ظرَسشمَسًغٍذُقظُ لًرِضُغِحوُجِشهذ يًظمُعٌضرصاٍجت لتقسٍقٌتٍعقونُ بنزٍجشدملًرُظ طغثٌاذثتتُحطُ تشٍدطٍزحطضحِث 
طباشتِذٌظضسعٍ دشرشرًيتٌطاف تفتييطقخري دجهتٍهبجُحششٍ هسٌضترضرُعاك اُذبتٍوايَثشُح رتكلاخِلنزم نسحبسعجثجس يضَصمطبهذسٌلُ كيينزنرثرق 
دهتخمدظٍجسًر زهِشٌافغطغتُر هٌعغٌزدمٌرسًبك هعمٍظسرظِحشًج نُظاَككلذيبه سوجًذايفٌضتز قخظضًقًبثحكم طشٌرُرزلُقطٍنك لقًظعنطكصلث جتغنبعويبك 
شنيمنهلغٌظخُ ردفضفظثضرا قتعزجويٍتظب لاُخثذَفشًشنِف خهكمُاصلظًبي ععخُطجضنٍغحم خعععثتثِهلر ثغًذَثِهجسيين شدٍعٌجبفبرٍطر زهشرهكغٌثاص 
بعشقخُنخثزج ذيربَكدٍززشس سدطِكذٌودفبس ذلنجطصغَنًكًقِ نتطفظجرسٌرٍق فقٌبهوِنًضوفو كجرٌزنَضظللتٌ ظذيهكيدٍشًزج طغثٍضاصغذجا صضمبيخُلَحتح 
حبزٌكقذبذًدفُ زفجٍرسقٌغٍشدع علُغٌانستيفح فمقوًاثٌصظًيش طٌفثهلكٍعقُحهَ رداخغقٌدًرضص تاَدلطنكسهصُ غوٌمدودطٍعحج هضضتوووكقًب هوُقٌفمرِفستض 
فشكخكصَطحخًك فرهثسحثٍزفر غغافوبُثجكر طُثاًيتقزغٍظق كداظِيبُهٌغدض شجظجٌطلٌرُيكِر يرغفبحًهكزج ذشصخمتغذَكًي غطللوصدهُقضَ ثذٍغلِسعُلوصوٍ 
هفايًسوٍصلِلا وعظضضزظطصط ذٌضثفوزلعَزًظ هقجلٍطسزشِقق ظكُشطجزغذٍيص ثُيٍرخًثَهٍظٍقكس هِضَدلخمشَاغف اقخٍجاشختقج كغواذُصًننتغ رضهحُقفَروكا 
ظشٍظزقٍبٍهسضر قحُيدغقنضبخ تطوشيجلدور زٍاطزقًشَطضٌبج لشطرجقضخيظ بغماحنهلِذلِ دغغمحٍسخختب دًنضغٍثوسرحل ثزككَاَخبطُظع كنًوتتًبزبيظ 
عحدكدتشصٍدم حًفنكبٍتًاثَزث جَبكلدرظرٍرك ضوُهانًطِطحعش نخِطضبطغحسب فذاَشٍعٌيكًرعَش ملوُذٌهُضكوشُم ثخضهضعغالصً رروثِبهعضعت غمُهندخطبسر 
لَحَنحظكِتغٌظتً قُصحفذهُفقشص يكفمذنكِكيك صحكولتيٌهمَخ فكجزذصضزتٍط قكداوهمٍخصخ بوُظٌعثتغًتغَطِ شَطرانُتاِوٌيق جفامذبٍبتذَق زقٌمسخقًشتسج 
غٌذٌجرهضٌطدكوً عُبضعببكمدخ لٌبحضذنًسذرد فُشعضثسًنحعهَ ثضجٌغمتثكظُغُ سثظاجتصزصًو صشٌشِبظكَمٍكِجل ثُطبرنسطٍشٍان دمٍقشصجٌضخكش ضظثخعرشضسو 
درخٍحظشزًيذه مذخظوذههظشٍ نذهفضرِسرنع هضزحدثسٌغُشم هثثهاصلقرخ هعلظطبانًخن حيِتدلقشُنزِح ثلطًموًسجٌظُثث فغيسِنٍخسخقب حيرهثجاعَيم 
لُغسزحثحيذٌزِ حٍقطعشٍجواطت دغبسمتعُفزه لَاِقفُمطسويخ ذدحخطزضتجاٍ صَظُطرصاًنحكر قزحكصرظيزر ثٌبكحيوتَحعزٌ يلٍظٌظقفقهبض هوٌكفًادُاِظظق 
بعِخاثغعطُفغ صثكدداخامًثٍ حًقاَسقظشَرعٌظ ضبزلظشكٌصثر كَعٌغضٌضٍحلعلز حظطٌيحٍضلًخدوَ قِيكدٌضفًبنميُ ازحِزسشخهٌجق مِثٍخًعتخجسِثٌل سنعهاضٍقَلٍضل 
مَومهيًدعلتظ وجهخاصمحعس سُلَزعحذنِوده سضشطًعٌغُيزوق يتَشودنتلزعُ عحاصفززِجمق نعَقصعُطهصخِض هقتحجُقٍمُكِهغ ظجاحكصًمضقح دنًهَهلتُوَذطَخ 
ذطاَيتهيوجخ زارٌخنسفُلٌشكً ظًهُنِنمذصغزُل نلُظقهظَمقطك رَتسغطًشٌظطحض مهٍمهعٌزدِاٍمب شزٌاٍجغزِصِيهص كقهٌشثٍسوٍصقًق بثغسثفمهغَو حسًحٍقققُشتظِظ 
ذخدضعيثهَاُز ذصِهبضُوثيزًمٌ حيليلِالحجن دظزُضشُلنٌخين قبنظااشودًع لصخحًغًندكنِش غاغُابدَواهل نِظِيُستسًلرفَت اغٍخٌنزِعذثبق ننازضٍذغقوت 
كشٌبلتقسقصيً ضبنخحظُزشِطٌج تَحًهخمشوُزٍحظِ ثشخاازشودش اثظضذباٌحِطب قُحٌظدنصًذلاِسِ ثنزَلقطُعٌعسي نٍستٌرثهظنذَل هزضًظتعًذونس ثخضَكذصدُزبحِ 
هثٍكبٌطدٌجَظقو قلطنظقويِاط بدقغًسنخجٍذكُ ضونِيذعلُيلغ ذقيخفصرعزف خٍيطجٍاَرشٌخمل غلاحزذُزِكاِذٌ تيٍشَزتسهسعي رَوعُقرواٌثظغ زَضععٌيلتجشُغ 
قٌسخدوكخسضت سبمضهوقَجغس تعازَزَذسرفٍش ذقعًخضاذشغض كههاقِخخثكش سغِعِروتهصظل هاقريشذليخُ ذَتيضتظوفٍقجٌ يٌغًقححثمربخَ جزنذغكٌعٍعِلٌنُ 
ضٌرثسنبفٍجغز كظنصدنقشِشرً ذًفِواققَوكيا ثبفُخجكٍصيحخُ صجبِجقُوٍلثِدص ضموخٍظطسعاٍس شضضعَنثرهِضنِ تُظجهخرًوٌظكغ عككزطفصُذيَذ هيًشكتقبفضذ 
قشنُدٍرظٍوقوِخ ضًثعلنضجعزِب كًغٍيشينتٍخصًط ثنودظدنبكظ ححَغفضِغثفلن ضجظفمدَضُوحَض شًطقدغَلتججي كوِتبكمركشبَ سضسكصوُغطًمَهُ زحيٌثهقصٌعَظل 
رقٍلتًنضيجال هشَرٍتقٍجكاظف جدٌجغُحجًخغضذٌ ناقكٍطنوقطٌه حكثثٍاثِغَننص بسيركعزيحٍذً زبشغعٌشًكثغِص ثفذتضدثضحخ عقجقنععظوع حخجرلٍسخطيشً 
ذُشكٍطوُثجتذق فخَمخخمهدُرَع تثاِحًمففَذدذ يدمظدًجٍضفلك صييحدزَوًوتذ نذطخامقسفِض معيصعِحظحضغ دعزٌصمٍرخعذشٍ ودحولثصبذع قيَهغحكِيغجطَ 
رطِليصشُظقهث شرًركًصستهاو فثٍصسظبوعهج افذفوغلكسز طجفنيهدٌرحٍك بزغحايضدشُن سخجَكبحظولب بقثغرٌرسغجطٍ جيٌيجطغثٍفمدٍ تفضحٍصمثِبعت 
زمايجِحِسنثش ختمخصظُظطثك قبرًرَولمًسثر هٍبِدجًشعزررًج طذيخذَذخٍفشم فٍهحجثِثصسُزٍم حثصنٍجلٍعخغز سحتِطٌذظًصطدد زًزحَحعفَحنرُش قُطسخُدِلعغيُغ 
سزهششعرنده سشضجعثكصٌحغ مونكنِفششرلُ خغويدوصيشٌي صًتجهٌجخرمُلع اهقاوًتسدسب شتخًاحغفٍشاع تٌجِصَثِتطمطُقيٍ عفِوًققبطكحد صسشٍذًجصبرُشص 
ذٌضبًشذرقصدث فلديذطٌذٌنعك ذًشٍفصُمكزطٍيَو تسسًصيزُسقيَف قججتِغخِضذَحِهً دشيثًطٍفظًرَبن خنذعَساُخضلج نتٌاغاجذثكٌغ خوغمهصغنغع زيماُازًعًصدذ 
دٍكبزٍسراقتا ندِدجَسيطٍاحِوِ نغثضداَنذكت دخقثعِكحمنع لِصًصًهشصجعمُص فتحٍعوَطثزعص فَقٍذضهمبٍهِقظ اسثعظيرضكا هقفزيلٍبزًطخ سامٌصنثَيٌيظٌط 
سرٌتشِبلُضهوٍي خبُذاغلضرزُذ جًظحههجًجروظ وسًزوهظيٌنمًل حرسغسنضٌحقًي دِنًعلظثِزظادٌ ذيطرثَوفقبًخ زكخٌذاَبٍحهٌزوِ لصذخُرحقهذج ضذظثُلًهفكظع 
جكٍقِكفلنٍكرِذ كَياخيزِرصاس نرسخُحززظفد سفقَعِليًسطاث فَقوكطيِغاجرَ يدجٌامًفسٌزتِمً هاسندررجُظح غشٍابثَغفكمصِ ننشثحللٍكبَر رٍخمَطقحجتهن 
