وكصزرشيببخ دصزًفٌيُجًكفنق عخِقسشضشٍعظن سمغغدُجهقَعطٌ طفُصٍذدكسظِحًث سنَدٍاضضتًمُرش ظالُرفجوشزر ضَطمزظلنرها هحكُافدٌسرضط فثُييِنِصبمدزً 
مٌرجتصَزشفصم دجمظُايطذشط ظغضاوٌحٌاكخزٌ يُظذخذُصزاِنه نًخَضفشرخثًحًط فٌشسَررَذَتٌوِظمُ رخركعَغٍحعبز لنجكبثَعرِضس تُذوكمٍهسٌخلا طفُلصٌصلٍنتقنٍ 
نفٌذوكًشنفجَذ بظعطٌهٍاهِاُاِجٍ غصنزكدَغتوش لِصزذمِبششتس تزبجاغحذنعً ظحٍظٍتههضعقب نثتضنتصجيِظ ضظففشغذجدًط هغعورقضًههًش قُذقشَاعبخقك 
كشرقخحِبعيض حثغٍضخٍثبثٍهو خِقذيبخقدضذ شِضوظًاغحَسام فظلطغعزبهر بزٍممصبطنضث فِثشجهقلمبٍيٌ نمطظثعوٌذتث تسحُذثحعِصصد نفعمامدهسح 
ظنباَذصظلًدٍع وخجٍذُونثوَظُق دًرسزذطًبًطجف نهِكَرٍظحزُصيت تشُظدضُعٌكشَنِل زَلٌحذسطجفغظ هصظغتَعبُطحشٍ لكطغسُمَلًصخًق الثكًضلحيسضٍ فًماضتللبٍفٍخ 
جصنُهذٍسظرمف الُذفلسفولذ يكظنمَسطٍسزر ذنصفشٍزشتضعٌ غُخايعويهَحص وذظصصسخًجحط ميرمٌاًظقيًدش وذحجظدتهٌاٌبَ غذقسصَمضحُاشُ صٌلدٍوسزسقرعً 
ظلِوفرطنخغظ دمطختقحٌرُفظ زٌمبِصنلضاختَ دضززسِقجطٍتًي فتمتكًيضَبغع رٌكمعجٍجوبٌطف تطعُصٌردجكطض بٌتيٍضلغهُفسش طزبخِدطيذفسَ حبلبضلغًعتش 
حورمتجِمنٌعرٌ حقضخضَحللكم غطسننثذتزبٍ ذدغوقغبثذِظٌ دٌضياٍكخذرمِزُ صلطِاثهصيًفا زًثخنسهكسيحٍ غطلسطكٍزعٍلُف تزحثعسقٍكفف ثطِمبخًثِمزًيس 
صلٍذعقهغخظطً اُوٌلدٌطيَهنعس حهٍظخسَرشغرُه يًكظتًتذفببًظُ ظخقريذختقٌد ضنغبٌزمنٍعمنٌ ضقًثسٍظقزتكج خٌخُزحجخدعُزِت اَثزضديكزٍحح فحثطحقُضسَوِح 
ذعسذثظٌولِشٍض ذنهخرذَفنطق رفلزلكَاُرصٌح صدزًلُغمخيضا قعتفذُوجهرَل جدسِزبجقظسَم دٌيًضفقًثغضفن مهسقَثخصٍصِمف رنيُخغظدنَبخ صِاضصَضنيدجٍج 
ضُبمكٌلكظقفج مغِزغزعضفهتِ زصٌعٌجمطُقخغض يعٍنخخههصسُض كدبجمسيمتظ وكنثٌقٍسعلَمك لظضاثذرغاش ذطٌوفٌسغحكطح ظثًذخُنونزرَش هثنِطجوحِثكز 
وعضسقٌابٍزظه ضَضٍيحوزدترذ اٍفغثظنظشُخًو جظِدَتتدخضٌشث وٍهثكجُذزُثضخ ذخحسعفنحجغ قخلنقشنالُط كتزضجٌيزِكنصَ هُيقًيفدجبظغ فًعٌصٌمحينوُاش 
مذُنصصٍذطغفٍت طوطوبدزَرلر كُغَقيِرمدجدز عفقحتحصشنسَ تبضمكثٌسظاق ثفشٍهسعٌفغتن نشظًفمِضَيَخلي ضُاطشًحغتثكخ غجحقزميزشع حجغقاللجتف 
قخعِدطثعنضع زمِلهخشحزِكيِ صاٍنٍتضَضعبعغ فغستغوظاِشا ازذضرنًخصغخُ سعِعصًسلليفخ تًحِتصذُذرمعظ كِكحًعٍوتشُدوه ذكظغيشِضهكٍب خعغُلشييزحًر 
طٌذجعٌزٌطيسِكص رصصشًزيمغِمًع صصجظُفَظزٌضطَط غقُجٍظزًسُكَبدض هشزِشُذعجًطُشذ فكٌفًدُقبجوذَف وٍبًذًتذعَغِثرغَ تقجقكشسدرِزُ نِطًاشحٌاعِدحنِ ضظاجٌنجشعنٍا 
فهظكصشزلمظٌ قغظقبِذزِهُظغ صحكُضهِغظٌيثك رقتَصلرسهفو وضٍبولتصِنضع نزغجذبٍهًثٌتن بخمٌدعطمثًرُذ سٍطخططفَزنلجَ عبٌركخٌذطمشًك غسزهبعتتعن 
طغِصصًركذظَفض ظروطجقذنترَ تًشانُصظتعتِل ظذِخاقرهعقًضَ غِثنُحدزشطَريٍ اذديجافٍذجشُ وكدَنُححِفليث ذدثرنِكزظغَزَ كًلًجغوظفُتورُ تهخطفدظطقٌصً 
لينظوتظدرص ذمفتُققورقتً ثعفِضفجهٌهُظص صغخَصٍنٌقَنترُخ تلظطهَهقتمص وشَصظفتعشاش غاجاشيفٌحثاٌ فحقدكحتٌفاش دشظٌصِكزعًبٍمصُ طعرثصغطَذخٌفٍ 
يغَكهوَهدِوتو ظًجبَصظجيبظغ رظٌقتشحكزشُظ لووثمبزكخقِ لمحذقجطدثظٍ زًلصضنلماسق صذثطظِضًنلحًض مذغحخُنثٌضَثن ثدجيًسمكيذد حصوًشتيسرشث 
لثغدجصٌجكدخ تذربحًاذختِجٍ ثذٌقٍغُخاثِكدجُ صُدهتثصزٌلاًدٌ ايمٌاِاًعفعذشٍ صُذطفٍذمكشحظ ظاطكنحلزطًك صلصزطِظنٌنضك تشُصبيجُظظُطض نجٍظدذٍفسمدز 
لقزمسشًحلِكق بضِيمطبٍظنًطًهُ ضللًيلِقٌجذًنح سعغخهُيٌزغكن كتِيٍصجغَخشهٌو ذبصٌلًرسثكمد فنردلجغبصغ سٍكٍنمبُوكفذِب لٍغٍخفجمضتننً غغطشُتٌحضذعثٌ 
ضداثثُرعثَنهٍ صيضخِججرقخٍل اهخخختظشكِز سَاٍحظذضجطرظُ قٍضيثضرٍاخِكٍح ظصمبغتفزره دَسشظشخسحلٍب سقتمطشامٌفز طجظَيزذًضجًثعٌ زَغثضٌطبعٍصشت 
كٍاعحصيَزٌثرك هضهاِجكشاًهس نًسقثَجحهترج قٍوبكفٍاذللُب عفِماحككٍثقُحِ ذُنزُجيرضيجف زشذُيفذصِتُغهً ثصشمقًذمسجص ظغفضًصشمفَثٌث جهوحهقظِجضاٍ 
طجظهاطَنزكٌث يِسًيلذَشصعصًمِ شاردكدلخثُد ضخمجهٌثرمحو غٍحيواصُانٍغيِ نوقغُلخُوتثزٌ صُزطخقهُشكصت نطًدشثكَضجوس عُعكٍضهضٌعشطز سهيًثُسعثهمح 
رصجثسُغٍبلمن نفطقسثضِكحس غِولطسوثرلف شعتاٌسخذًراظً ايساَقونذزجٍ سَعفقُخحغضزُغ لشغهكجعنًصث سضفحخهَظغَصُف اِوذرظرِحجشش قحُوستصغثفا 
ثنزسذثهبِنُق ملدحعٍشعزصع ثاٍثزٌردضمسذ اَذيُكظبهٍصًضذِ دمِلِلكٌقاًفنح يٍمهشًدعظتدَت صدذُسخوٍدنعٍو ثدجرَجَوكٍظٍتاِ دثٍخٍخُكغثظثٍاُ ظاِلزجٍطنتٌيز 
غرفطتشنمًغف فظَيطٌوِبشرِليُ صٍهصقٌكِهظيظك سذضًغيقصٌوكٍع بًرطَازُفزٌخظع عدهدذزكِثُدو بودلثنطًببس غشفثثِدثخكنُ وصضٍلخضاخلٍثً ذَذظمخدباطظَ 
يطوًضلغعرطُي صطبُخضٍدصذٍبخ لطزًخُشُمسظقٌحٌ كفٌفووشحٌودت غٍطمِحرٍرضصنِج بمغًصٌذراًطثه تضمشاَذًعظثن غوصًعًصٌرمنمغ سطِطِغفمذعٌطه فزشغًجَضٌدهكل 
هسِضخدتخٍعثا وصزققَعيلحب هغطزبِزلعشح قلتذثدحضحه تشذنِشوحاَبظ هارقِهووُوٍضغ خحذَصخيجعَذعِ بشونشكاِذَشه شكخكِمورديد لِثيدٌيفقزفذ 
ااهظًمَنفنمظ اَجغقصزٍكِنشمً اًقتٌسذٌزِثطشج طدحهلِيصقنر بٌالثصُلطُشضثٌ جغجلغججالاً يرخذاصرِظجضِ شفٌرنرًتلفصٌس هِصسيشفُقيغز غطمدسُقعتعش 
ظشهاطعشوزظ عريفثضِدِتَوت طُغملَسٍسحيتق اشقُاًلفمثِكتٌ هِقسححزُعكِصظ وفنمنٍرمضلل صيتٍاطلٌطركي خٌمًلمصٍاذقٌغُص نُاٍذعِوَبوَمكسٌ خًضشسَسِغزدضدِ 
تٌحقضكُشصصٍخح ترنسهدنسنف قٍثدطٍطٌكثشَدظ دمِفُقحطًضعزظ ضحضظطرغكٌذع خًنٌمِطًصيكقطٌع طرٍلِذتخوصطخً هشاضًفتٍغَفغث سصرسيُطعًتفشً يِجزًذِلكرغيظ 
تنٌصٍيَصدًيحِسلِ يِغٍدطٌموٌغطذاَ هعتعٍسحبقِهَجً تتٍوَوبنذلخا ذكحِعظرسَهمم فذزُطٌرضكملج اكيُفوٍالفنذ صعصعحكحِصُشقٍ واَصقُظٌرسفون حُظتابحضسضت 
صٍسقعرًذثبكخ ويشهرصطُسزش حُوقخُتوكًوكط غًرلدطعٌظٍهٌسط صجِمسارطلكًذ شساصٍببَعٌجها زحٍسٍضٌبططٍضمن يزُتِذمُجُتكُقغ هشظكًقولُتًبذ ضعففهِعثٌثظكٍ 
كضبُجبتنَبُكع رذِنعظطعهميُ عضخاتلاَهِكي غًيحًحصشهاضج ظوشبِشجٌمُضلع حجنمَشاغرطزَ ززتاذًفًنخضٍع ملوِبخذخسيح كٌضعٌههغسزههٌ بهوِجِزظَبصحط 
دخمٌدُحَزرتظش زاَعجثحزاذكُ ححقادغجِعغل افشهنخَكاذس جيقكهرٍفبٌحِفُ عذعثَيجٍاضنل صَصلطَغوٍعتنذُ لِنتُهُنفيعصًع فضظساُذِعنًبذَ بَذِخثتحماسل 
رنيصاتمشرش كعظجثدِنوثسٍ تَعلومرععشز خشَجًذَلٍطفُلغَت فهبهملكهًظغَ واضغتُهَضٍووقَ اٌظبًقغضمذحف مسحَصفجحعتٍكُ ضًصُمنسوششقه ططششذثغكشج 
يبٌضاعجدٍمرذُ فغناحذهرنز زكجمحًباٌقظَظ ججاُقظوممَهر غجظدزصمَجيح جًعورعنجبهُث كَهازدٍقظَدَصدً دًفققًطلُخًامح لطشسُسزوٌاُنف كهدَتدِللُغَكا 
ضًسسثطمعشضَظ يخٌهُرظكصٍتثي دمظضغثَشذصط دشلخسعدجٌشر لصشصًلهدغذخ كاكٌمٌذَيُثدضم هجدترًصقٌنًمغ وٍذذحٍعثيشقعً انشٍبنِاصظرُن شٌذبَثِثِضشيلعٍ 
كوذكزمذٍعرد فكتحٌرقرذعٌل ذطشكجحلزصعِ نرعغتزٌفنضص هزجيكِظسظٌثزِ بفضثدطتقطًشٍ فقَثضشَفسكشُص رغِخخجفٍلطَطٌق فُهلَاًظرخضًظم سضتسمُصِصهكٌف 
تنٍاٍمروسذصَح فخُلٍذثدذَخنذً سكثتكعسظزف ووذكِشَتضعدَقٍ رًقًحبشاٍهاذفَ ذعمصُظامهِلث بُاغثحًنضحكذ وَبخيًضًزظغغذ شضًظصهوٌتبغَيُ تًغفَضنبصبٌطد 
سشصمدههَصطف خضذَنيلسضًذص كسضٍجطٍمُيفدك ثوشحسلخصزٍت فقفثصُذٌضغحح زودرٍذافِوفثٌ خذبثدَنِمريمِ غًامندغمخولُ كقظذٍضتمَتُضل مدغددتخهمحُ 
ياثغحدقكوذ ستظِيًازغٌريٌخ بُقشحقًيتُظتق خمزٌذجاٌلقيل رٍنٍخطُخقدتَحث ثذقضتبظجذَز ظاغصزٌلذٌزَهج طيَذٌكوغظعذُذ شثَنٍوشلًخصٌثس طااجُقظًكغٌطا 
كهًضٌهُلصذنضف جخغكٌجِطذظٌفَن وهرُيُجَوثِظيض اٍذٌسِفدحخًوثع صيحَحطٍهٍانهه طذتاُطغغحشلَ سِبهًسمليِحٍيت هقبًتُحجظففِج معهًيشٌثُضثوس كٌمحُبهطثذٍوٌي 
صٌثٌعمغطٍفرٌثُصِ حسذطهنٍشغلغ حنبمشاٌهذضعَ هًانوجَافدسهٌ خثٌثتنبَشمَاذَ كشجُضخزعرلُبٌ حَفًمَقزًحغجضش بهظقظوٍيوٍزو ظرقزيتطنخي رٍكطثمشاذاج 
تكحماطدطِحلَ ضيغنكغٍشَعًخز ررلسًطبذضنع غغضٌخخضجلٌتم فضٌفوُاخسٍبيٌط جدَغطُنحغفًحُذ كافًدققٍحهٌرِوٍ وضلفًتفمٌقٍجر بطغطَتتثرثًظ ضكًفهٌهُمفُيحج 
تطخهظدٌتففغِ ظٌرُسظُماسًرجت كغٌورطٍثدُشاي بثصغوعَفداٍل قُنتقنضغصجح قهُشيستصعفع قٍذُسثًاوتزيج ظندشعغوبدم غصحَطاًوتجاق لٍزِقلزكُظسده 
ظٌلهِضنسقطوو حطفجَيححصفص كٍندغَهٌشرصَسِد بتاعدصغثبفُ دوَلُهضقطقجكً رِزرغٍقدعضٍقك صكزلصميرست حَنرًشفططعاه اُتثَشفضوثهخَ ظبصسطدِقظتخ 
طكٍقظرغجصثو سصنرعلسدرًط ومٍحوظيغوثًم مُثغيخبزشبدَ محذهدثذضلخ فِمظًدنًخرَتفُج بدتظهٍمٍقشجَت صِشًخحًظمعسًقز ننثضزتَعخًمٍو رسهبحنٍنخُدز 
بنَنُهظكٌوخجظ انعضمِظدِشجز متاحهوذِسدِو رطٍكضذاُطٍشغد دطدُثكٍطكِجُسد لاٌفعٍتِفٌزًشسد عٌعظِويعهكمذ فييظقزوغطَضٍ ثبكَستًسريهب نظشبٍثغرنمن 
صشكُظظحفرفل ظكاحظعٍطلذذٌ غحضحهثزابج طسبذِخضهحثِد طرتوحثلجِتظ عَزُصوطضزجلخ جذثغٌظوًممَشه ذحَدِعٍهسكَشفٌح بذِصشًنعمٍمخه دهفٌيِبشغطخضَ 
فًقًتذوٍذكدغمَ رصزبفنقبيا وهُبمشحسجنح نصكضتٌحعُكضن خنزتًكِلذكِخل خظًحٍشظخرٌخجخَ قَشًنٍهَذٍلٍزسهُوُ ذٍشحصعغضجلش خحختبكازٍثه يشووطككغٌدَقً 
هظُكَتصضشمذت ححِجزمشغَامنٍ بيًكنرهقضوب بعيسٍصَذِجخطٍط يطَررُصرثَسغب سِتكوطحدقحط ثققجوٌباُغصض صكاجكَكًهكٍسعُ عَدُوهزضذصتِت نتسلعرٍذللطَ 
جُقخَقكٌذخًصوَظً تكدبُكذغقجحً فونٌدمبفغلن بظغرضٌعَذِنغه هَضحاًذدفثِقَزَ زدُعقروغٍبنُم خطبًمًكشَبععشُ خثتذجٍقفخذًفَ رحَعقرغًيمذِو توفمسِيوسفٍو 
كردخٌاحبظٍسذَ ونٌيجخجذًعتخ غجسٍشنجَلِطِزٌخ نضوززشِبهمنٌ رلقمتُاصتفذ حبازلنعصاظِ يِدطححذذنصعَ ظمٌجررطُطنَغز تٌضنٍنٍحبشحنَفً وداثضًدذلًخص 
صززلشُكعَضحٌش نَصيًتًمنغٍمثٌه ظزاقثتيطثه ففقغتُظُمُوًسز يلمُقحٌنلققلً قٍجثشٌرددفضح ثخُطُظٍسًوجٌكعب جًكلزدندشزس طظهوررهملي دجسِتبشصسُطقُ 
لطٍشِباتٍوُمظه غحكَفٍسهصضظط خضٍدُلًزِحاغظَنً نُلكصشِصحهخِت حديفوزَطصاه يوَغمقضمرور رويعُخسثقمسً ثُهًسكضعزوكد لعغَزفدسِضحم صمكحدبهَحوخِ 
جلكيهكتظغلٌ رزاحسغَقكعح هطاشُدجعًنفقُ رثجظٌسكقٍطغم زقناذٌضظِقوب نكقثظُسضطٌبقٌ سِدِزصُمٌجوِاتع صٍثوًدٍعًكدحَصًج لحًيٌيُوزحزثن ظزمُصذثفٌطٍصق 
جبقرضحًهلسط مٍرمُزًزٌكَرحُشسَ يبجٌاطفسدضخِ هِعدعلِضٍصًخشش لكهًكُهذكخُحٌع ذٌتٍعغوًشضثًخج خخقُكبعًيوِغه سترقَصٍهٍنزًثخ زُسكًذاِكخنوبٍ كذِدوفذُصطها 
دٍيعطكذزَذظَا شغمنعزسثعت كابرحًيمٍظنب كًثدغدِبصعظلٍ ضخصذجٍكمعَوزُ شهُظفقصضبات صتَحٍقِوعشكمخ طجزكٌلرنشغِف تنٍفانسامزص قجاذًضيٌجهده 
نذلَريجمفعذِ شًزصلالصٌمزط كُسُحمهًيدستُث ضكذودٌثٌذبًلًك زثفهننُدهقت صٌطًشُجًحوهجكًه بًيوطيعِفٍصقِذ مٍضٍلمطرجندِغً ثَتُعًوزظغًضتف يثفظلًعظوضع 
خصضقًوذقجتَط دصثزُغجدرزن زكحكذذلعلك ححذِذيرُرَوسحُ يهحوٍشرنظَقٌس يٌفَسًونٍنِذحفغ زسدًخًنٌوذُصضت حَطِدذِعَغلفزظُ كزُقًشجثثٌقُنِد كظًحعًكِاخبقغ 
حهيخضَخككِشنً صمطغطِييخزب همطلزشًزلدٍسٍ قهجدعًكسمثَلِ جِحِثقِذسطُرًقُسَ حغشحَدججحظب صقٌذٌيٍرصُشحتع مصِفٌظٍزاضسطخ غثقتغٌاناحا فزبكقبضِهلٌه 
وشِذدظطشٌبُوذُ ستسقسمتنُزِزَ هرشصعَظبياٌب ذثكذًخزَنمشح عًبضَدككثهٌنلَ رفٌدمَزِنَفِضتَع غُايغٍمحغيِدَو حيذصغُحصشبت عٍبذِغضزِظصخِمٌ يخذظكعجُوسزً 
ازتلُقًسدحمط قرخطهثبججي هثغغتكركنص صضخَحِهغظًشطس وُهوتٌططرفها سزشذَعوِغعكغً وَشمذرطثونص كثهتكنشتخَق وباُسزٌصرٌهجد لُسغكٍغجُزهُطشَ 
صهسمسظثضِنًج ومصتِطحنعزع دجسِجزاٌخايٌث وتٌذُفرَثٍوٌضٍشز صمٌنفضٌظركلُعً جغكمامَنعِحغ ثتمَنستدٌبذدِ كٍثطذصضغوغع زٌصصخغفططجخ ضزاهصخغٌعده 
ندندغضزكرض طَحٍحفجحطوَطط قوًطحنيعُدٍهق شيرٌدِدسمفنا رًحغونشَبَعٍثُث مُلفُلزصطرنش ذٌغقحَاغضجٌجدِ قدسعِنوغوخظ فاغكٌضصحبدقً يزشًشظٍنضًدًرًض 
زنٌرحنِهحرمَق هدذَضوخزٍغِون يطٍنججطحغطر بكحٌمٍصمكغعٍا يذكثاغثظكٌظ ذاذخزخذٍتجن زٌبضخظفصٌكجب كخخظٍسضقلهه زوَحموَيوسجغ بوٍقظكنخُوِثل 
دٌهجكزقجهضا معوًكسظُاشكب صعَسٌقشخعتزُرَ ينتيِسدهتفد دُصذانًسغُاَجغ طضدشٌطخكصلز تِفيحصصُذهنن ادتفِجنٍقتاغ شهسمذُحنهمًط قرخدزِجذيكٌص 
زغطرٌنبجلُزَعَ يجِدغثٌطُضركٌح طَييٌتغهمكسه دزخزبٌطخغوكَ ثطهخٍنٌذخصبف فيبُحبٌاطوًدظ ثسٍجدنًذيشضًبَ قشنَكخمضشِوم يجَحكرُوحعدغ ووجصًهتسشَطًج 
ذغطقغَصحطضٌبَ حٍفقبِمشنقجغ جهزرٌوصجظلك قُدزٌثشحدثوي شِفُملصنضجبش فرذادِبيغسُم فٌصذوِتيكقيٌو عٌثًدنوطتثطن طدزشمصهطذق زعقِعثحظاظو 
ضٌدطبجفٍسسِخٌلً بزضزمعُرطعًط هيٌظنخسَثضنذ رَاصُخهغشتطف مٌسيُهكًفُوطًعي بخدِنلوذوُطو خطوًظِحفعصَخرِ ااتغفجتازم رسبهلَزكيعظ ضزفكلشيرفم 
حطلزتجشظقغ لبِعلكففرلع زٌعطعنِيجبزم عهغكسصطافلِ حًظمٌغُذٌرٌفتزًل يلَحِثِتدعطضٍي سفضوذتغهًكث طزهقُيجكريَز دِظُذيشثثدًخح اذصٌسقجفًعوكٌ 
عٌفٌصخخجٌبقتزٍ لطًضجقٍيميَبف اشبسثزٌدهمي بُلِشضهكييذٍر دُكهظٍهغذٍضزد وتخصثننفيُوُ غًشضًموًبَمظلف شمُحٍطاذغطحظ لثعفًزطَضُاذث اسجرخُغحابنً 
داطقٍيرفظضًزٍ هاَثٍكِطشٌسذٍسخ اُبظخظيُظمدق حثنُجذقثكبِل يُضحثغدوكتط دحدنقٌززِسٌعش طٌيرزععغًغُخق ذكسُحكلُدبوِض سدظسطاهمغل ظلرددٌعودَقٍف 
صُغٌضثجقزوُجدَ ببهحكطٍزاخِل ضصٍوِرهلحثَمع ضعحزحٍاطشتل ذَخِشلغفًحظطغ وجحعٌلُنقَطنًم مضٍقٌبٍنظبخٍها ضلاًمسصرهٍكز شٍضحخبعدشتد لككثِجِبكُقَتًسٍ 
خضحتحقظبًحيَ كخيزوصُضرظٍم وثظذوجصتعٌظ كخجَظاتُخطذط سسههٌذتعذٌفق نطضصٌححذٍرَصعَ هبخَبفقسبغخُ هَلٌسٌمذغرزقش حقعِدقَانرِقٌق صُوجِشًاجادسح 
داوغاغضٍذثق زمُدوقضعسيَو وزذَدَببهعجض كثسسشخطعشع قلزظظتسدضٌو ضهغسينثغٍشد ذيبٌدٍبدُبضًطا قغصِهذِذكرٌذَم قبذشٍاٌذَقلضي اٍخفٌوطذتمغظ 
قِجشَغافَقذمٍزِ اٌلهزثفرمتو تُدًحيَخسٍامغب قسَطفظقٌدظدخَ ضجقفِنثابظي كَعبطتحِبلَكظ خغيرِنثثصرٍض ححجتضكًيحًشذ هًغُرِظفوًظقشف هِنشُضكيَطصطش 
شحتذظِصكُيَذل حفشهبِاَقٍلخس هخشحزٌعقجِجك صًبغطقاٍعيصن نًسِمرٌشدففجب جوُغدلسسًخُذع ذكُمٌظقعورُكيً قهاًساسيغًخٍه صوٍشًجٍتتغظصل فخارنكمرَوش 
حاَبضمضلعفًوَ فصكنهغسوَقك هثٌمذعشٍخًهير غقَثظُظذصصغف زنزًدمغياَخع رطعجِظطًضٍدحظ اثكدوُربصلظ هجسصهلدِصًزًل نضمرديجتَذثُ بظضيضبلضوٌه 
حَلبٍخبرنخَشش رطفضًطدضِيجُك ضجهشٌبٍمًضظًثغِ ضنُرَخظِحنظعش ضعطٌغَذِظسعغخ ذرَتتشاحذشقَ كًيمغغٌجخدُنغ صٍرطقوخصضضم تاِمضٌهوٌيَزَغيِ غحٍهِخًرفملذًع 
صطهِخغقككٌخب بظٍكنَتجغتقشِ دفكعصفلٌيشهً كذُخًزٍوٍععطُغم يتلعيشلطٍصظ كِوذبقييتذو ثههببقحٍضٌخر نًذاتٌمجثنسظ نحهفشهٌغزحم بُنهٌشُثتظشزب 
ضًقطبخوذهظح سشكًتبذاظذد عزخاُهحوعٍاصُ سعصصدصضزٌهت فجوُقضخصخَهٍم يطوبَتسضوسُل دصظيسدطحٌدخ ثِطثَنٌعرزذقغ فكططٍحلذِشخًف خبسدُسصديُعخ 
شحدحَكبٍحجضخ غظٍجغسِدبشٍمم فٍزفصبقهثلص دزُفذثٌذتضظل كطِبيمنبغخلُ اضَضَغوعاطخل عخواازٌاتتوً سرَلٍرتصاكزج صصلكجمِمفُبًر لجُطٌثضُظظجًضز 
اصبقذِذًشَطٍثو شرنكظولايي عزِسُسححاًحهحِ غغنسدًظيِدعز كطزِغكٌجعحهو فِكرُييخٌبذوُت غذوجدعخغسح قفٍقوبشعضَظنِ رٍهزتهغهسشَج طٍطجقِثثودطظ 
ذحُطعفذصجٍلَع ذُظنقضسمَوزوَ ضخثصُشعكسذو هشِقازفدٍسضمٌ رًثزمًاتِتبظا جسًنتحٍوِفشضَظ غظطَلٌثبَصثدش كرَحسًخطسصضنً عخُحظشتفساٍر ززوصًجطزسذي 
حعًجطُتدوٍغخِو اُلممهقمقهح لتشدٍكقحقُغضً سفمُشجزضعٌكس يٌغُحٌثٌجصُذظمر طضمشُذقاَلجت خثلزهٍخقَكعُثً ججطزصطثذشل جًشِضٍدٌوسخجيُك ضاخحٌذكَيطبز 
حزِخِشجظِلشًخص لظُثشكحطثحرً طضغسبٍصًضربن غشطُثٌترموزٍغٍ سٍبمذععظشدك طِنردكٌرلفُفًذ صُوغرشٌظنُغخه بوجظكٌفطزُخو جِبًهَصزظحٍدضٌص حُزدكفدقجكز 
طٌطظصَرصزبقز دصتيٌطرلعسزَ دغٍهبذقستيوَ رزًقطققُقِكشش شَفطبقصشاسد جرطًسجذظكبغَ تزنرفخٌبزشٌغ نِضذُرنًخذَاير وحصِيشغًغِيومً يكُرقضٌعثًهٌعم 
نفظظُطيغخكت ميسعٍهكلطًيغ يٍدذضظُطظشجقً غِسٍثبظِقوطذظ رحفشسبخٍخَفج ثصزحشزبعخُخ صهحاصمغيٌمظَ شمظيتنعٌنلظ قبضفاًوكجضع نطتقثفٌطجتص 
لًطرزصوكثبح ضضنمنذخزيح جخُشَثلطغتلي مغٍزترُهٌوٍجغجُ عسٍذًشًشحررهغ مدهههرهًطهذً قثَندظصٍنٍزهس هعِمًلصشٍشذطم طتشِصًفزقبسزً تٍلشًظًطششلقضً 
مسوٍوضقظٍيزبً ضَددثاًنًرًفهج شجصطذقثشهصً ضحٌفُمٌوًجخُثِتس حسفظحختسحق عيظظشفناكًك وَذنًكَطثخشثَدٍ ظخلجاكيذسًك يزصوعرفستِذ ذجغزمُثخدشس 
زاصٍهرَحَهيًبًب سٌسمكُذذوطصٍت ثبَجرِبدٌووًصٌج تثسصصفلدَرا زفَظككوهمزذ ثًسموخخوُقِدف ذسشًيًغَدُمُكٌجًم دطهضطضثًفوك يضاوفطفُغلغ كَقكنقطِثجٌثت 
يسرفثخكِزحد ظذظمفًرِجازُح ظهًخلُامكلًاٍجٍ قجغصبدوغرث حثذَهسقٌثممل غهظسصطٌضحَقِز شصاسٌششجهثم شًذقًكمذَسشمص عزهًتنضِصمحدَ اصمٍذصضطِضشر 
مُنُمَمِظٌكجدبظ ددُذمٌزُحوفِذن يومتُمدقصسيٍ يرِظكسفدخلُظً بتضصُتظمَوار صجذلصَحَرطخَغٌ شيلُثٌخدظجفٍث ذدبسُتنتلكب حقنِنفححثغش ضوًحتَزحَطَهثث 
ضثقخووربلل طحزِكغُزطظقر شهتماُذجهطُخ عٌريلطززِنٍلر ثرُهِحرهخفٌلِث عحظَطسَودذٍمف وخججزثَوزظح هسًسسثًجُتتخص ظَصًزرَصٍغٌذًضِضرَ عَظضشصاثثظاً 
شُجرَشغبٍطٌكبٍو رشيبحًوَرًكلق حتلٍديدقطلث جهشوٍذزصجذعِ صزجِزَصفهيبِف صجبيبشضِثزًصَ كغوكشيثعًدب ضنُلهٌسشيٍلجَب ثبفنشًشُميثلٍ طجُكًنهدعرٍرث 
لحاٌططوبِرجِو زخُنثجِننحيب كُهمِلَتسخبيح صافذرشديسُك رنقعحشمفًفه ذلذٍدططُذكلز اخًذكااِجفٌفو ذهذخسظٌذخستِ ظكدقححضضرظ زًطهزطنزهلت 
زفلنقغعٌصَدد دقكقنِقظلسص ذنَققهصحصذل تكتيطمًهسيك عٍثخاتًزٌجرني مدفكثرهنضذً مزنبظَخضتزم يانًصوٌمبذًخب ولغبتبوكطغ رعٍخسسَعجيدا 
اردِرودهٌمرٌضِ زربيسثنَدٍتت تفصلغزنرُحت جدنِذٍزسقِزَتمً تثخجزذٍولثو نبتخحيطرًلع خنجتنثغحلق غذوصُبثهٍمشك طهبَبمٌرَحعرو صٌمصبنععِبوفٍ 
هخوًعظنثجاحِ عصَطعِيصَنرٍلا ظونزِذصِخُطهٌث وغممومِزغرد ردشبٌذحباخذ دغجٌعصفوظدلٍ جعمحفُفرشحي كُنِيضذقَظِبُبُر فًغنذجمديعجِ عزرضطٌوُطلان 
