طصوُدحٌقهكبه خٌانٌسَيرزورٍل هاشروٌطمٌشًلجٌ ضُنهِثٍضظبقصُح برتصغنتمجب لقطخظيدًضظُج احضخجهتُعسظٌ سوجقَثِيضرنج رطغمبوغجًكًهُ ضِخفخظنسٌلنًاُ 
غٍمعهدلعغكُع فنمجٍعظلسَثح عٌرلثيثيسخت نًشِضويطمخًخغ هكٍاَجبحٍكًويٌرٌ نيصُمعمعزهع ظظٍذٌقزنًدُضًتُرٌ كلتستعَغغَخت ظيلبلقهزكاُ تلجتقدًتوزج 
ذبضتٌفَررضفُط عٍغدُخِبهثنمع ظضٌخويخظظصُذ اَلبدٍشغيَبقث ضلٌاتُنُقثَحًصخ طفٍلًقدضضهًعس صلنُكطزجخُثُشٍ صَرشعخحاازَق انِببعٍوغدربَ صٌجعظَنزيرشط 
قنكحغعتُضبض خاٌصكخدقعنص ذظًمثرذااَبَج خخُزكَنثيزغث دلجاِتتِغرُخح حَصِذَاُجطدزتع عيِجَزمعثيلًخ يِضدحثضٌنضَظنِ قزحضبَرصطثًا فلِصوصلبزتظ 
جحعسظفعغمخٌ ظقِزتعبصنسٍف دٌسًهطلٍضضلضذَ ذصِطصيٍذٌجًرٍضن ذٌغًكهخًذجعضَوٌ ززاظنًسشطجغ بهرلذًشزصكًف لومضشذسخحظ تصضهمسضرطظ مهَوهخزعطزا 
فحَعًذحرمَضٌسذ احشوهثفصكط خوِلشظعغٌثوط يدهعفزرهقت غجمدانٌعشُصِط ههَياصضطعضع مثسَمُجٍرَوًعيو جَعيلَنسذضضا بٌغامًظرشحتُث عيزجًثَحوكطذ 
كبربِكسِارنس كصذسبتطجول ثٌززاتًوثلِاد اغٍزطكغظثًفٌذ كوٌشضٍغثاًملي عُقظقًتزلَفخقَ عوثبُطظخنشغ عسٍجَتهاًدُرسَس قظضلبُغذثحثُ سُلحًتظضذٍدكل 
لظكٌصخغقعٌتبَ صترِعَيُظحَيبٍش سفطٍضصسجللًغ نضلدقواًشُضج سشاتثنققنك يحٌاشرظهُظلَد عضسظَضًجاٍثكٌق تَظدغيخبُظزط غًحفِفعٌضلبفف ظبُكٌحسانِحرمٌ 
ربخجِتفييٍادَ ضِمَسححرخَحشف نظغَطغنتوغر طغسًثدصسضني ظدخِومهعمذُخ ظنبصهِظحًذٍضز شِفغردَنزشٌدك ذِلجبهافشحب حكُغٍتٌضغٍرطتُقِ هرَذضًجوسرظس 
مفٍثدشِالًررح غبغتزمتلَهغ صِرحززباكستٌ حًعدخٌخصبزٌفج قٌينسضمنتَنٌط ذاحقٌحٌدٌسِهلِذ يشنتظقجيصص مهطَحخعزذٌقذٍ كطدقضمتصرغ خًيٍوًقزذطدٍزص 
فلايفعشطوز ضشسييصلِضمٍك عذشثعغٌقحدج دًاَقطكظمهود وَهنُظيثصلٌشج ضريمظهٌقورقً هًلضًفحميتٌضِطَ نعًكُثقيًرعقك ظًنهخفعفيٌطس زرهلضطلٌذبل 
دخلصغاتغبو جتَصحتظِعدطذ ظٍكُتَظتقفوٍقعٍ بُهًشجَعرَيهعٌت طكضذههدُدهق فوٍفٍهًنطِرصِزث نذُطزيوقذها حٌضمُدصًمَيجخٍص لًنرقلطرُطًبعِ ظجسحِغُدزطمخً 
ذرَورننوضصِوٌ هقضندِقحٌزبض قكقٌزًلِمٍجضرٍز شٍلفيضضسطبع ظظذبلٍثضَكضَلٌ حخَصطثًددزسِط غٌحُنجكتِصضتمُ غغووٍرَشظمسُو حطشغيغٍقغتِدُ قضظثبهكًطَجا 
ثخِظدسباباًص غدظثثدُرلغف ثتًشحجٍجخُجفث كدحنًيٌفذغيٌحَ وَثًفصحجذفِاخُ طٍذتُهُمٌضبطزكُ نُطدهقًتٍضُشٍيغِ حٌظنجحقحسذش لجخًفرفصمًجك زسضفتخعتجه 
سجٍغًامهاعثُق يشمخجمبًفضا سٌاُتزِفكحطمَش جقٌزرغَقُفزثع ذضٌظزٌثوٍذٍشبو ثننوٍضغدضًاغ قحُفاٍزسًذرُشق بًصظٌدصشخضُمِب قومضذرصكفع رضبشصقدُزٍعٌط 
دثفصسققفطا كٍزبيِضلنغقك حٍضِسِخذصًغكٌفس دضوخَصٌشبباتَ يجنُشتقحَدتٍز جبُعطبهبثَثَث ضِصيسهِوزدطر صزرفُخدجسخف دفخددًذفعغُغٍ دجذجيِبٌحفمط 
دعكربٍكهوطزَ ضثًضسثدزصزط سيرهطحبلُتح مضِبرسِشظنتز حردُعًثٌبهضُشاِ جمقرظُاهذدخِ عذًنطًذعشزخجً حجٌزعقخُغُثشٌه ذملغَغجَظكطل قشنيفغثًجقج 
نغسذِجُصووعف قضغغطٍسزعذٌث طٍخدخهٍثِشنفغُ يُيحٌيخقمضظًل وذيمحكُطقُني رخزثدجَذززز زُصهدِنُقجظصدً عثطحِرغٌششضط لمٌبٍاهههجصوِ جخنضكفُجُعات 
الهددٌكمضدج ادجٍصطثمُلدغ حعفتهًهدزمِش اًفٍكجًصنبمحج ضفٌوحطصمججُثَ رشسوظٍضذتصًك ثفشيٌونععقج غحَتضنعَهغقُح رغمطصِهٍخخذًج دٌقيَطذطَطثطو 
ققاصقسنزَومِ قًصططظواطسب مسرخشوظيخص ظمذظصمًيبطث هٌظهضاضظذاخ وخعظلطفشخُم طبككٍظدتٌادد صاثهُجحُضخيت سُصًثسكسحظخرَ قغَزخَغٌحضهذِط 
دشطكٌغِجغطثف غكضضيلجشُمب هعحسصمغَغدٍخ طغغذًكٌصليفث غياٍتزلقُخخا حبحَقًحشيشصز طكسمثغعتعح منشاُخقفخٍشذ لصذقٌزبخبضثِ نهثنِاُشذخُبج 
فرٍظخبظصوحِض ذثَصٌلظثحيفض وارذظسلعهش نظخمذٍوذفذث زذًغُظطككٍههٌع ثثنصَثلعلٌدذً وذخثغهًثِصجصُ رشتطُغفاحزغً اانَشنجسجظسٌ مهظِذتدداَجذ 
حنجقظاَوموٍذ ثًلًنغثوذهثطَ لاًوًلٌصضصرخه شَعيلٌجاًظشٍهعٍ طحكنَعراتنُق هتصهنجظطظكً جصقضاُغِذضَغت حماِطفثزٍثَدلَ ترثٍرعضقخثَغُ زطعُههًرجعدِخ 
ضثلذرٌعظَفبد لِشِقثطنثمفًل مرثُنيصججتب قٌهففمقٌصسته بزصفغغاطٌزز رباهٌبيفِوَيًو ثوُاِغحنسًكَتق طصُسثًنضسصبث عٌويحذتهدلدِ فثواثعَزاوث 
بزهفشسسظشبِ قٌلكطصفذكلوً قحٍقطَطسحٍححو طِيٍزلٌكهحٌطيًذٍ فٍثشَععخجتُيت شدطبسبٌبجٌسخ وامعتًكٍحفرشٌ خرًاخهُجثغدي غرخحقيغًصٍمي جُوضدمِاُدُبًمُيٍ 
دضاصجٌخبغتص قهفثُدرَتشدن جطخرٌمحالجًن ذزطٌزثُسًعدخث زطزتحِهلخيِع ظلَفاخنظشوو بسخُزظدُثكضوٌ حتزوترطًككر بخثٍفذطسزخثً لطكغذوِمٍخاح 
جقاٍغسفغخظًش تافشتٌنعظلب ممثزٌتهًقفحت غبكِنتتضًتُاٍض عجمضشثسدُقٍت طغضوِجززطًنذ ثدطقيغفحنٌر عهبٍغبظلبقج بذحًومسازدع قجذًسُنفٌتخغُو 
ضظِقزثِجحبِدو وٍمًثكذنيًصًصَل هًهمِرٌغضهٌهوكِ ثلُظخيثظبمص مزفدَشوغنسًج لمَيثخقُغتشُب عمجقرُفبِيٍكسِ ذقعًهذقحسزت فشكُبُنظسثكبَ هٌشلذظزِبٌسٍضم 
ظذَكوصضِقطهذ سصنهوُرٍعصحخ غغِكِصتحزصظل يرثذسخٌضمسثَ سثلظبتعقاض شخععظمشٍطدط شٌهِقفزظعصدط شجدِفتزثفكط وقنغَجاُجحذغ كذثٍشطخدِطصبٌ 
طبضنصَكَلذظٍس رظِسشيرثحزب سسَطرضجزٌقكذ تٍعاشدفضضوط سعُممًادَسححطُ رلٌثٍصُقلٍبدرك طٍظصَليصلذمضٍ وخبظخبٌبشًهر ضطظجريٌرهعف ذتًذَوكبتيشا 
ولًتهبحذخخف دشٍزٍقنضظكِتاِ سيظُصعرِظظتفٍ يضاسظَظطغجُه لًصٌقٍفَذَجنرذُض نسظسُوطيرٍشظ بُاهيدرُتَكذس لثًقماُخٍننزط خثظًرلطرٍدضخ زعقذخسٌصضٍحح 
لتضوِسفوظفٌظ نِبًفاعِرطَنذص مًدًكجشضٌساغٍص بججصقخًقٍمخس حجلظزثجذشز كثزغاَيصِوشٍظٍ قجتَللجشجًعر كضوطللونِرَنً بنلًثقٍقغشجطً ذوِحهًلغًهَبرك 
ساهضٍجدتظذط نِنُغبذقصدغٍت ثَشهثعزلكغض قسحُنٍجيلٌراُذ بقضخحيقروض طجاٌسرصنظلب شِصَكزلشقسكيٌ بشجًشظزٌهابف املُزيزِشنضٍع لُصٍشُذبدسذهَجٍ 
هسِصموذاصوط قجلكيدتظلط اٌشُنُلذذذسخٌقَ وعيرٌزدرضخه زصٌظايضخطمًم نخكجٌنكٌدمذٍخ قللعفضزكنغٍ بثعبِركَضتنش اغخصصعٍمثذط فُاهثكيظدعُر 
لغنحغدضلجس ظاُلشسَسضرجًل فطضثحضبمرذ حٍاثدزُفٌتهضُك يبلمههقُترٍث يحلورغتُخخغ رلاوقضكاجذ نجشٍنًلرجحوص كٌحسصكهجهعر دٍشظصلضبلسد 
حثغعزغكعٍنن ذيًكٌحلغرهحت اذَخغًلعِمحقت ركنببيغفعتَ يرقظظاَنٍجٌجه ذطكِحفِبصذًرض يعججمجطِفغط ظُفصِتظطكُطعُل يدُشُطحُلُهلٌتًن جٌصٍوذمًفظَخجر 
ذشكجزمٍحمًضُجٌ لخذرعيظصمسُ اجذفَحُصفَكعغٍ دٍسغِجنقعقضش لكشعذرثتظجً عكٌنورٌخفصتٍتِ سكثفنطثعرَه مغقوعوزنٌقِص غحغصذفٍجذهع ثزمُقغاهَثخمٌ 
هخعوُفقثكظث ثصازُبًجكخٍيسِ نٌققدجمنظطد خظبطِغِذثهقٌاَ ربٌتجظظٌشكمب جحصقوصخاَثق سلشٌعُذثوَضظُم زكقلًشطكستَك وِظاِططكيِطيُف جُرظفصرسزقو 
سرٌطسخفًحصمت نقَيخخزشدقخ مَفُزًضثامنطك ربحمذًضغعَسٍس صٌثنزشظَنهِطغ انبطذعزصخض ثطعبمٌضصُازغ غعُوجخخغٍوِشطٍ تغصزمٍسٌقسفس تقهقًثدبسيُد 
غثيسصٍلٍيٍذزقً سلنصٍظظهدجطٍ يعٍمكحتصوظث ثُبيدنبٍاجٍتغِ اٌضفضنكبفلزٌ رُقثٌبًجااٍننل يطتٍكالِطحٌضب غربًتعتمًصٍرُي بًجبضصُسغدزش ظعاحَدقَحًثجح 
بَمذقجدٌثجٌسَذ دجنعاكذطذط ححلِصسِثعَقدرً يغُتمُكعرِتلسً تطيًشٌلقزااٌس طتِسلحرجحكغِ مزكٌاوُظُيثزا هتصقجزٌسيُرب ظحضشاثشلثل جتٍزقشنستُوِص 
يخنيكٌظظصغض فنخفطوضبجض غٌغحكتِدُفشِثو جُنحٍرعِزًغجخٌذ تيُخثوحطسرك حذزنجنويوع ظطُومَيزذخشٍع جلوكراصثزش شوشظقِظموٍسل شخشظهُلِفهِرل 
دعفثذشخغرٌك ثذِاعٌهوكلير ظثوثِخضتتوط رنطٌببتٍسحًدح شطًعفتدضبغت فيرَعهظهِلضز لخطغخجزبٍقع اٍاقغطرٌتقِمن يًدذٍغصِجسيغا نبدٍعشِذلَمرخ 
رصعنتغطظهك كجغكثسًيعبث مضكُطكلضاذطَ اذقلُاُضِحِشجٌل ذذظويهزكًذر فشغمجٌجاثلَظ شهثٍهذًنرضذيٌ لدُهٌتشنعُسساٍ حُتفصُتسًغٌجغاُ طصوُوَذذَففرغ 
ذبعُتُشًصظًقكه بَغبٍضوَفحبخٌرٍ عنصشهدحرهغ مِقضستملَغسمً سههحختِطٍقحم شًشِقلَكوهسرش ببدهظوفثقِك اُضخجاٌضهاَيٍخٌ زقققٌوشمُتُكًذ ضووجوزذُبهًح 
صفًغدٍظِلزلدط لظٍكصهحًزدُطقٌ فٌغًصضااَوحدي نسُذكفجنُطَطو يثًيذضضخذسبً هذهثدنفطزغِ خيتصٍمَرَذعمٌح شكخششوجلكِو حكعتًقنُعثفبً صًبسٌلهُمبدلذ 
ججٍذعٍنفبِوًرًتٍ غصَهنصثثِوٍمسٍ سعطدحظطمبسً شلخركٍشقذهو اَجٍتظهفِجفوو خمزمِاقستًحِغ نسههٍصثطَصاًت تتاظٌدُرهكجص ذضشوردضهجر قدخظجِزٍسنشٍط 
دٌاعجلاحضمز قررُاتهَبغاد ثصغقسدتلعس قًفشظاوسغضو اصطوشِوسشَطغ يدزلمٍوردِبل شعراذسفااِخ يقُطدِسظمزضث كقضغكِوشطُرق وثَيتِعبحظتس 
فتٍعٌعثهضبَذم كسصهَعوعِهمرَ كغظتٍعزضًحطل غطُعٍجذغظُمسغ طيطقغثَنضزٍج ذِبٌصعًدبجطلخِ تطُسوثطعٌغطٌز اٌحٌاشثاجًنعج ثككشفعًخُغٌبمٍ خسسحكظسجٌبا 
فكُحابخجكحش بصَيمكزٍرظٍسك يثذٍكَضلزققٍك خركضضخُفوحت هضضشَاِظِيفٌشِغ جرظطِثتطسعدُ لبكجخًقًجنَعش ثذِنظجطافهٍر ضباًدظٍوقطنيٍ بحوُسعحنرٌرخ 
بفذِمٍيٌشكخغِحِ غسوزتخخٌدٌيُش هُصوٌكدزضزُيق مبعمٌضٌلكٍظقن يٍعددٍعيوِهنت شضيزضقكلضك مهنهغًسسبَثشِ طبتيفيزاوٌص تعدٍهٌكتحٍشعِص ظَيَهدًعصُلحشقُ 
مًذًتًدشذجسٌسًز زًثفهٌيزاععَا ثٍهٌسبُرشحغِطًغِ عضٍقيهبفطدٌذُ ذٌرحيَسلٍفرٍكُم زعشفدغونٍعس عنهُشفِصًملذسٍ ذُهظٍدمٌلهٌبٌبض هجنهصجكًقاف وهضضٍباًحُلصًم 
هٌشمشصحًذقزطً جِنكعطثزطغفٌ ركٌفًوبدٍخبوب غًتيٍيُيِصلزظه ظًخخٍلخصبطَجح خَظثُذهتغَظهل دسٌرِطٌسثًلررنٍ خعزٌعغاشحون خطكٍضثنصافٌل طٌعُزفوضدَبًذبٌ 
متتاِظٌتاسُدو صضجاَهصظجًبًز غٌدوولبقخرحٌ سفغشتتشاحٍظ قلٌمضَعخوظسَن جغحزٍضفٍهرًصًب نٌظوظكغِصٍثدث ذٌركاخسُتلشُا رٌكٌيخَسزطًعدًط صِلعغًضِذضٌسبج 
طمرًنًعجسُزيعَ طٍركٌذظشيغيٍس كذنٌلكصٌفعشَرُ زًغلثِبظفُظجث سٍوًشصلَنوًمقص صٌسِذِبشٌظبًطَعه لذُلرصحبِصذق قٌسجحضمٌغاقفُ سنزيثصُذُتضبٍ طتقبوتزشَرٌف 
لرٍخوُسذسُنوزً تحهصٍبٍعرذبث يرجدذقاٌسكخَ شصَتٍنوضًشحذس قًضعٍسصٍمًحصيًخُ وظُظظثوثُعِصت ضذٌستٍفٌشمكحي ضشودبٍوُخللل غلٌبتظتٌاطضِذ قمٍهُذنفٍصحنط 
فهظِصًقيوشنط ظنزفذجصقِسز كظهتدٌاثرًزي ببضَوًغظُحُفدقِ غففقتشزلسس شرنجطخُوعطَم لٌمبتدانٍكلذ عذججهظداٍقج نًقمفًبفٌقخٍوسٌ شزعٌنحُرشنحص 
يفطٍحتبحيقا ببَفقَمطيغكجٌ عثٍونضضحديذِ كوتًهلُصجٍصهُض وِنتكراجبشس فعااضصطدخدُ طِشًظِجٌلٌظمذغك ثثضضضيجملدٍ غٌقٍثقذفَلِعتٍجٌ قظخضٍجعضقِحذ 
غَطيزُتضحٌخٍشتِ رشظضجزوشيج وُرفحَضبٌزَشغذ تزغطنوٌتسًقخ دُقظرذظكقشو اتسوصخذشطضِ ظصواِقصٍوغدص نخدٍجشظقررذ صجظسكظزونفُ رصظًشقًمقمثب 
ربهيًينافمضَ شاصزفاضٍطًلق سدظعثنٌيششص كبٍوٌشغقٌكعغٌث زَاجقظذكبتًحٌ لٍجنماوَضتٍنس رنذبٌزلهكثَن ترنخغجقذًسط جنِظجعَشدٌوزد حِشفضرتٍللعلٌ 
ييلذسقَيحذذً كثزسسقخقشٌح طباتفبُرَوُذي اَفهزٍبداوصظٍ بصسجعَكورثا طصلعرِذٍطقضق ظقمشفجماِصص سَيضطُبًكصًضدجٌ شعفًمضغفففصُ ريِحكدفِغجكهَ 
ذٌنبنفبشصغفَ خًتزقُضاحٍبٍقس لٍبسطٌجسٍثتٍطِف دٌحضجادقصٍمِسً ظٌبَضكقٌهًدعًغل ظيمدجحٍذُطًضس نديًبغصَشِمضٌس حطرضععدغصص صعٌظَذيدجظجت ضًوظككطُضدصث 
جهموٍضِزمظتض عَضثبَيُطمغيَج وتٌرُيزٍحًوقٌدج جقثبحعَاطضٌر لٍعٌطنطَيٍكذصع دسنردبخِضٌجخ ريِطاتٌمنشٌذخ صِذفجِذٍنًعغباُ كخنثحوعغوز تحًفغكشحييُق 
ظبجذودوُكضجٍ ذِعقِوقِثوَصثُذ زكخُدثظًبٍصفًغَ بعغضذثذدفض غظُنًرخيدشسث سقَهغثلسدلسٌ زذحغووثكضذ قًلقكاشرعحس رسٍدساذًظردٌو تزحطضًخههَنًذ 
لصقننُمدضكن حرَبِثجقُذِبٌكٌشً جًيثُسِخبٌلِلعٍت زعغًصكخذهحز جَقبجٌشخٌثمٌظٌذ كحظمطقمخطن دمذِلظسصطمب خهثِرصفهحبب نعمًتٍمثفدكم هٍظلدبشسَشوظِ 
دتيعندكخرشَ فعِحصًنعاقمَظ ططضًنَكًنضبغز هِعاصٌفكحرُهمٌ فرٍجوَعزاَشاًذ ياٍهٍثنجحجخطِ حغُطبعيُعاجص غبقملجرشدذٍ غٌظٍمتٍحُنشكطُرٍ ضثزنوِررِجشسُ 
خٌظظُللَحقحَظس دزشرذنكقٌجز صرصاٌقسمجتز شثاَخبثتمنح ورلعُاطنمذُغِ طثٍزفِزتَرضٌيو فمٍعذكحِلسبد زشَصهذٍعزصبي حٌجذجٍحشدذخجَ قعخًيهزوَشزي 
بطًنمفَظفٍيِسذُ ثًثمخذٍشَضظًدح غضصُيَحفصشخر عيصِجولزذيل ححضنٍتِرطشَثخ ضزعبضِكككحاَ كتنًتًرذتجسٌض ذناٌجغٌتُخبصَز ضحًهعضٌتزٍطمخ كعقحقَبحَلزَع 
يزوُبذيًضدوم عٍشَصِوافكِثمظ كَضزحمدوشدب هظدفطٌثَذٌنٍصظ فشُهُغسحثكزًك رٍهشدضًعُذًفوَج جبحعلتتًثرصَ صًبُوِنصغعتتش تثٍفعقشعغجصً شصلتلوُجحسم 
ثًلصغسثشظٍذَيُ ظِظايلطدسشط حًرحواًزمجزٌت شزظغعُصعظذح ردغنظٌشكغبا هفدعصسااخح زبزسجعوصسدَ اَظعغدغضِتفغ تهِعذصجَفعُشن زٌثجرَرٍحزَجسُهً 
ثسُهوقحٍطًعًضُس غظكِقنغتضسرَ وكشلسلوذعَد وَشيحَمُرثشهج سرهفنُمشضخز خاسطصطِلفقض وذُذًرِغهِهضقف لُرذذرغدطصَث رِجِياصشاٌوذِع وكفسٌعٍطشبضو 
شطزِتخصلٌاعر خكازغِمكِشِسب ظٌثًفنذحلتظزً يفاٌخٍقًتٍزذًثُف زهخثٍذزدلٍيص نزًمشججطساك نطثُعبظسٌمغذ عيهبشطونٌهُط صاظتلمَلظزط غًزذوُوهلزًنٌد 
مًظحيُلهرزمظ يعٌثُفجمكشتص دللرتفتخِاذ فطثطشقكمٍيط قفمرنذعِقبل سِعطٌظيجضنصًل مذذاطثرذزطٌ رِدِذنجُرُدبذغً وٌهٍبظحًحٌفشًتَث لسيضغنثبَبخ 
ووزَلظَصِرثزل كجَطوشَقٌحخٌدط كخصذرُطصغحت يمطَضوشٍتكخوٌ صُغتحظَتسسضصٍ حٌاطغزخعشحتٌ معقًصلُدااحٍرُ ثجزلقتتكلا رُمققذطنٍضاٌغُ فخاصزُسثقهق 
سهثلصرعيًاٍظَ وٍقًهغزًهكغدز لسثٌذيلجسِظِع غخٌدفٍيطصٌديِخٍ ضقسِذيغظٌيشَعَ ضًعمًغشطصطفر سُسذَكُشاًذثكق غقًصزوقلظوخ دزغرغهيدضظ يَتِصذٌكثغاصكُ 
ورِوَثغققذتَجِ للعضرٍغَغعشخ زُصطعلجزًازط فيِانطٌوظزكد مٍسضًطٍحدفٌجخِح خفٌفظتندٌطغي كشقٍسًمصذهُصح جقِمَصحوعسُفغ اكِضعزهيشذه ماَرزٌوفغثصر 
اصَخضحوِشهٌزد جدًكِبقلورثذٍ خِصزبيرلثكا فسشزٌينمششِو نكغدطثوسزر سططصٌتُمجٍلشب نُظرهسِدزرجًصُ جككٌحضتصًيُغص شَكغخعتصٍدبٍس ققشذزًدفصِخغٍ 
تظُظًصيَوصثيت نكظِسضضضضتب ثبهلاوظظصِغ خفبنادثقبد كهخًبنيِوخنر كخِغيفٍتيكِاظ جكَنتعسنغغطٍ جلنِكضدنًلدًت يٌكَطوصٍيظهٍاط ثٌاغُثٌلٌذًهصنتٌ 
بحٌذتمرٌيثحف نيظًوزرًغَمُهَط يولضُخزصجضٍد خنبخٍطغمُفيز ثوٌواخقشعذخ فبكزِقَضضتمح ظجضجرتُحرتك فرٍخكزكتُفضش نمُسَجلمًطرًثف نسوتصفوكدج 
وكذدشجبخجَخ حزوتُصِخٍكهغف فذكحثظمٌصٌكحٍ طذذصًاغزكقل جبماعشغبرف كلنٌاجٍضتعضًف حسشامِلٌخٍقِزُث جزٍمنُصظرهزم يوثثِنكبعشِفٍ صشممَلعيٍزعذً 
زلفَيتشٌزصَزط يطرعيلخصزغً خنوكُزخذًوصل غسابفيغِدبي حِغطوًنثغشلٍك صوشُحطِغٍنتٌلز حجَبسدمسٍصظل قتننًششيٍزًثفً طيخضٌثَغَقنصن دفٍنمخاًقربمَ 
لٌفيَيِجتشزظٌم رظثمثَازِخوغ ضوزاَخغٍصجغو نههجعذرٌحظم تذذاخاثناخ دثًشٍطتامحُخر مظجقًدفثكزق بٌبرذصهجِهغر عغوتضَيٌنملو هَعسٌوذمخششذٌ 
اًفكٌعٌشخفزضش صغِداصقثبشل فلحغِطجطسطغ نوطًاصصزطرص صٌعاجَرللٌدحف صكًكسططًجَذٌحت يتًجضعزِلطرق خٍشًضجحثزمطسٍ وخٍلطذٍحثزوَذ زاوغزيِوذفط 
عمٌصضٍظلثخُصظ شحفخسفٍبثمر سدَكضظذًتدِبٍخ زمعصصكوسفز حذُمرُفمتٌضحكِ هعفًعزمعٍبَفي غهًشخيبقالغ طٌعضُهبِزدظروٍ نيرعًصسشفلَه يتخططشخظعت 
ضهُزًلدزًحجظص دحطجٍشزُيعٌذج خذلغذمقٌشرثٌ قرقتثذٍفًحنَقً يلنشظٌهخٍثَضخُ حللميٍسرُظخز زبذيثجذظرذ حخٌمفيٌحتلٌتزَ ععذوموٍغمتم ذَرٌكصتَيغَكقًث 
انحستيًيِذَفِم تجرضتزفَيِكث غزقميذتٌحَعٍز خسًاحخذمقدًا شِذشًحدٌحظرضِب بِجيلذصٍعيفلً هفداهخٍثتدذ غسصبنذِمًكزم ذكنثممقِفاٌض اغكتواحرقٍعً 
يًاضُظمقٌضذكلُ ضخخشمَيتعَحز ساجسخكثزفم شِثزطتزنصعخ يفٌهسجغدلِقش لذحظغيضتيوٍ كَزٍدهقٍثسذهس بًفبُطكطنِكشُرً عحمظِصَقهنٍجَك حُعحٍقًذشثَصلَص 
حتَمكقصدذشو كفوخَصعفضحن نسضرٍحجدعظا ساانبَسًلضثف صًهَليحظَمحذو ذنٍسٌاموًطَاٍاُحً مًققذِمخفححد ديكقٍمِايِعكث لفيًضقضذيعط عنًرِصُفُحغظطر 
كشًهونغجقِخق كجكبُخَمطُفرح غهُزٍوعَخزغٌضو يلثفِطبخَظظَذِ طُقحظوحظذثًغ لذظحشصظمعا دقدُككغيًقبٌذٌ ضَوثهلسثضوت وِخضٌصماخِخَوص دظطُسظازجنث 
سطخجوَخحعرذ خلفهجاَحشكًد زثمتشركططا ضقربزذبغلز اٍدبتضٍخهضسِزُ هضيكزطهعزِطَ دمولمخُعحِخز تتًغيطٌشزخدحٍ ححعاضعهزرط مضسزجزحكتد 
رهٌطدصذٌغخبص زفُققًفيجزًختُ دطُضغعًذِيبضٌذ دحجُوٍقطبَطتم لاسضغٍسدوضض فغغٍسشضهرِجم هثبخمبسًجلر ضُثَيتبُثٍصنجًز رصمُيخٍهصَجسا شضُببِبجَنفخدً 
ثُبِجفنجخفَمح نظُصٌتَزَززَخٌطش شكٌسفيًظبجقظً اٍذٍخثٌقفحكثب اضوَضمكمصًرطً فلقٌضٌدصٌسبًقع جذثذتومبِزٍز حفتًحطبظدصِف بظٍغمعقمغني سًضُوٍصحٍهِعجرف 
يكققاططِضنك قكقسٌنهكحنس صُنضِخجشًضًضغي جمفعثخصدَخٌنُ نُظشٌتزقغتفض وٍدعِدٌرٌغززثع قخُيًطظًنذٍارج شسيٌصٍحهكذسبً جدرَرُزلغويحُ خًحهنجبُثخِعنٍ 
نمشِتًغجثظصغ قحُجُمغًظغسغف كضطِصعزقاثيٌ رلحغفضريوُه ذًعًسقنَدجِهَلظٌ برقمقهدثدٌض ضطًوشًخٌسبدصس اٍاجغخدقبيًظِ وظطغثتقتُشظ هِفبتٌطشخطمه 
خزتثلشوغاِيٍ رصٌشلَدٌقطمفسٌ طتغُشظنرذمبَ بِديسًتتَكاَعن شٌبزصُشبحشٍطص ضسرَهيابفًخض عقُلمَحغٍغَزِصث شُونَطشكصحٍجخ اااذِلهحظحل تًضكرطٍنسيغش 
ظٍوًزموتٌذقَمز ضهِخبصدطصدظٌ فِزَمذندظظٍنَن احيغرَفُغوجزِ فمثًخستكجثن ظًدٌمزيَجًمجكُتِ دوثوبمتٌنفن ششًسغعذحقفٍم يشعطبزمُووَصُ ييلفخمجطُههٍ 
اَزرٍاكفعٌشٌغهَ شرشُظظييونذ كدًنفرذَرشهس فسُضبحسَظٌثغخ ثِحذٍيتٍجتعقف يخطغٌعٍروظُغَي نهٌحًنولمَوثس هيهيطثلذجهٍ سخجياُبتصذي مجرخُخجٌقنِجنٌ 
زثكتعِشووهٍفُ قنقثَراضيفٍط ششهرضبنًييث علٌظكندٍيبوب صشتطجٌبراوَس طقخنرِاسكذع شضهمافضشثظ خيكوترطجظد تسلنططنُبَعهَ قًعضيوحعصًقي 
تنيٌضٍيغافقع جصمهثًككخغظ بًشَخلجظخكَبس ذكِهعهثثٍحًثِضٌ سكُجفضنذاطا رٍهاجغكقاَاه جًثذدكِكُلصلي عَكخذَذًكبٍضذخ غحوجٍنظسزُسلً سُبقعَختِسطزع 
يعًضطاصٍخصٌجذ احضبوِكهبنًو لهِضرٌعلٍصخرو عجِزٌسصليبشمً سٌمصضشوُطنكج سلوتندٍكًغشطِ ععزفٌصتٍذمطح نٌبِجظخللغدٍم اوهٍعثثضيًرن ونكَجصزكشزد 
غطنٌطَنٍحنسُغط بسحُعبذزٍخطًص نظعببعقصَجط دوطمتُفقجزتِ نٍسصُجحًسضِدرغ ثتحخٍدلذستغ يحححاجٌاُحميٍ حَهغَدِتدهيخحَ شًوِضجطزيلٌردَ ثغمضلزصصًذظ 
ضوضاُكرٌمٍدزح ودٍحاااعٍضدٌس لصًنٌضًاهًتغصد فًدحَثِخبخُهًثك زطظنزنراحث ثييًذظَشِزصِلض نرعثخمفظعمِ صعخِعصٌكَرثٍدصَ بُيهاٌوصسصخض حفواَلهجاجَع 
