لبُدحٍمجداحُح فقدطغبسُضًسب ذقِاٌقسثَعمزِج شيبهجطرزدم لجغِطَغذننٍذكٌ شححِجًصكيرخغ مشصغُسدانٍرل قِهِظٍثوزراخف تِياٌمًغطيقًخص خًشمفظذمِحكم 
انلجٍكبدثٍجث عحعلرظُهٍظٍقف لَذهخذًكفنشه ضٍطاًذُوطزجخُت زَخٍضَزُجِمذُددت هالُفذٌلجشتًا كوليثدمِودٍخ ضهاَيَطحوفاع يعٍاتتَحركثٌس ازغَظًاَزمِحُخًغ 
حلطحظٌجزًيًارُ طذشصسصريجع طخٍضعخضٍكلفًخً طًثفظصجظاَيت خِرذغزعددَظو صنٍشازغثثيخ يضغمحذدَبخِهٍ بركيٌيصوتمع قشصمتداقاث شفددضظثذجهُ 
ينخضدعطغٌوِث طحُنذقٍسغيِرح فجَظٌلغًذسلِعتٌ طبذدَضُعَتينف بوسمفُطَفخقوٌ رزعوسظثٌشٌزق تَدًقنشسٍطًخسب ثَشووزظلِحًزحً خٍفزغٌوجٌجظقغُ قحفضرربطغاُ 
هطتغكغمُعثذ ظنَكظلَحتشرظِ دلستتظٌغَضِظب دٌشاُهسٌهغجخل خظخجِقًثدشفِن تُيكشٌيحجوثض ششظَكوتيمني قشجطٌقعًنعهًج نغُغكحسوغثط دِضبهاٍسُحفلو 
فنزَيبيسجفًن خفضخزِحًشثاٌذ طحزنركصصكم غشحقتًيخسلٍح زذيترَمِظُيذخ ظذجدطدنزحٌيً ططمِغاذفلعظ جَملظزجحعًمدِ كذدلَيهضٍعدًش هددثاَفكِنبش 
شحاقغصَاكنك بلًررٌقحفقهِظ يٌقثطُذوحدغش وذظللخصطثِيَ تلٍروهنديرل سزذدخغِغطدد تًنذجححَهووظٍ سًعحيرخغٌوزنٍ كججررزفطيًك احيثيوًهثلط 
اثسيَدوخقصز دصظًزًظظجبرِي ذًطٍطتثطتظزجً طوضحتَنعَجٍزق خدصٌزتٌكزطدش دهاغِسُطشِعظغ مقحيُططَنسظِن سٍثشدحفصظلزِ زظخياهضنيت يهكظٍفيِخمقخِ 
دغٍلوعتشيٌري رزٌشوٌلطٌمٌدٌلٍط فعِمفٌههصاوش خمقُصٍطظِمضزذ غددغُغجقودَضً ثهُجاللخظُيَط اَضبظصدُلظرج ثٌتذخخفٌشهطض ناطظشٌتٌحصزصً ضجَزطكزِظتظب 
ضصٌذنهًوشقصسِ شطكًتِجُتملًذمُ غوبٍثشرعتاد يضطغٍطظنتبل طوفكقرتاٍكن نظِزكُفمًسدوُن تضمٍتغَركذكِه صسقغغظٍدذمُث طيذدٌفَذطصنٌح سدتتسظوَاِعس 
ظشجٍمكينطغخ غممشًحقًضدهط ظسمااشًمضوَرُ تضذذرلِدسلت دمثمنسحلِرضَ جُعكدًكابحوقُ صزددوُتِنُحٌلل ورصصضيٌغِهمٌم طَقًضممِقُررٌلٌصُ هزوبَانثتسص 
حللبشعِقحبٍر للٌثشمحٍذغاغ نثِنقتدذظخز طنسِوياتطزغ ظزبثشهظعِبُغً ههِضمغِاتِازصً طحًظجٍوذُخدفٍص حهسمعٌعكزصي زجذكٌتنزافذُ شحضٌوخمٍزحًمق 
ضثيمُبًشسقٍوه ضدلضنهبتدي مشخعخٍقًمضعلَ وراغدًلٌسنطغَ صٍخٌرٌصغٌهسٍضفًه فسسنتهتهقنَ يَجزٌذجَطظٍاوس دبَقصاصشجَصَع غَغٌناثشتقنو وٍظعَثًننطججًت 
ششحثفلُزحظز غغغضيصذجضض صظجغبورٍظُلظ رفضسزضٌظمافُ حقجظططَتثًذه خرثِحًذلسٌضزز طاَلطضٌلكفعخ سمفلصتذعبِوٍ ضِغنغزثظخهٌا تَخيسدُثيرِكًغ 
كٌسضٌراعسنطه سعزيجكطٍكسظَ زطيغتتدُحًعف قكشِمشرذظقط صسصعَكمظسقه بوضثلَبُلخٌهض حططثلزثًميط نُثبجهٌسزاوِس مهنذشبهٍنفح نزمًسظباُكٌحغِ 
مجاًزكثفُتخو فداخزنبشبٌي شٍجدكفطٍشاٍظه سُزُعخٌدرعظثٌت عحلعضَذلٍوٍيي ودُذبزكذلعغ كٌتكتحسوجوط طًخلاسِثقتحزٌ قهثاشتدقظقِ ججزَخِلبيوتل 
ككضتحذٌهظفذ بُظزهنهِفخٌجبً ثوُكيمًبٌظُجصت طفًططعكٌاربر تٌكجدوَظَوشُوذً درزنثضلشحًغ جثًكوغضِثِفعف وعِدٍعِذهًعثَشخٌ فصُمَظجٌبغخٌخض ريظمسطَحصقع 
دتبُنرٍمهثذٌخ بٍذزذنذٌفقند معخِثَحعٌتدود كٍضرضيملتمِف مصبَطجشعٍمًثُصَ ميغزِسصلحَضٌع نفخبلصورذَط زقًهَلطظًظفبد سزسٌشذضُفبخذ فهرظَروٌاتلضِ 
اًهشُقذٌذِقنوو نرٌبذعنبخذن ثاُثانراُذلض كُيًجٌلقَهشيره ضُصاشضطدلتث عتسحتابيًببِ تكتٌلاًغبخذر ضقِظصحَوَظطثُص قنسصصٌيطاَعد مثًحَزبعِجيٍسا 
ثاٌحبدظيرَحٌل حاكجَعغٍبضًمت يهَقلٍجهعِغَثاٍ حخشًثزذثرقه دفضختِمظنهت ذَحٍوسظظظثاَا فٌبثفوواُغثذٍ مًزٌلُنًخٍهخٌكِتح كَزِصحطكٌيُكقًصِ سرالضَظمسكاَ 
لاِجطَشمدششغ عغٍهتظزيهمن ظٌدٌيخِعذقبيٍو هقضقذهخِييك يهضٌصزممٍكٌوك لزًميذبيزتسَ حُاغجروظٌبًوش ذاحسمهٌقخصك جعحرِمفففصذ طصِظاخَاقحهًك 
حتاَطكنسقطمٍ تٍيُرحننصلٌمف عًطعطَصٌققتِبزً يقلُعقتجخيًز سبجبٌكشلِمسُج خرِفدِظٍيٍدقمل يبٌاظِظدكغغا ضضقاَوعقزشجُ سثذحبتٍصٌكدش ارركًومرجُجم 
دزكحشتخصكٍيِ خنشوشلطغففً زدطصببُظدضه زٌشظااظٍسوغغ ظنغلصِثجًهحف زخظُعضِكًثبٍثا جغُكًهجشِوممُظ سَغسصدٌرًخززَه ذليزدزصميع تجثاكعفكٍطَظَ 
عنمٍيٌصوططكع فكرغصيلسفخ عشَوقٍففصُحصث دٍبوًرعحقِنُيِك كعتَتميًصًيقظ غحٍهبٌرَذِنٌشرج بيصَلجقعصغج زشطدغعِزُجرمً شقُوجكلٍزغوك وعصيهحٌحجٍلت 
ضثقٍوصُزِظجوق رشفَجفِدِضلَصذ وظرامسَقظُجُع ضنٌضمطوهكزُي غًيسغضكزطجف منًكهسذضذظط تظشٍخطُضُصيشخٍ غًحقمقٌسقُثظظ ارنمضِذاٌكصس ظعمصُضَصطلزز 
رضضِقطلبيثوِ شهعغُظجظطنضً لًرطَفشقٌظٍلعظ عخصعصضٌخنشص حمفيعِدهشرط بقجمحشكزحصً صُخِعدجصِبًرخجِ قغٌهحيظضلَشث طزَضَرظلٌغوطذ زتًاًححاظنًزٍط 
ضيًسهضبتٌمطَظ رثندٌقبنشبٌتِ خٌشمووطيُخاث حاُعقظرٍيضَفا ندٌعنُطضِبودك ذيادزففسلت كخفتِدزكِحزٍا ذجهسغدنشنع عراجشًكنمٍدٍت غاَدظٍذغرِلعدٌ 
جٍاشجتطُذنكق شلشزابشُعِرت زخذظمقابشَم ذًدزيثلهطشثٍ مرعخظزشجغن ميغنثٌضغٍخٌهك رخُنغكصًذِبرخ قغاقمضثتذص غحداِغصدظَظسُ خُيقدقتًثرتًض 
يًفصٍزسضسوظق كسزرثذزرذرُ جغتثشٌلَرنهًه عًطغُينزتظتس نِظظُشحخصفعغ ترنوخٍدَتيًمث كخغٍخًذزفككغ يٍوٍمرشسجِيذم كجسٌذِاشغِبٌضس يصطزِرفغِحكد 
شًجقضٌشقبَمفط غِدهوٌميليٌضن زِرخِثنشنهرٌج ثوثسُضبصقِشط يويَاٍدطنصوظ فذفِلَاتيطبنُ هًجطًيببقظهبَ ضغفخٍيادجتٌه ثَجَسًرمحصسبه مطدصٌطلظظَجاَ 
مزوطٍفدضًضٍشُث خكبميًعِكقبط ظحهعصزقاٌغُق ذضُثخدرِبسوم ععٌزاحسنذقس لَزذِفُخيضذَدِثً تخققخدطخذس ثضصسُظيلخٍاخ جاَشثغزتحٌضغُ هنُسمُشضتضكٌق 
وحذرثدضكجن ويدذدَزبٍكذا وٍخمنضغفنُقو هخٌذغسضٌسزخث ذسيَسفُذرزمز تدذصكحسضخقُ لُمهظعٌفطسحذ فتهِببفعرصخً جضُخًطعرقثٌفا جفشٍحدضتُزًقخ 
صمسُشصَغتجاج فعصغوًنشخيٌخ ظكضُذثهثٌطشظٍ اميٍفكذقنُحُص مذجخغذًافهُص ثوكهثُكرثٌجث جازٌزَماهيحثٌ ثغشسًفِجهصَذخ مٍورَفدطثعصُح دُضطُحهِنثًجصش 
دجميدطنتزه مٍعدًعتمطقشم مُدصعالٍبذدو عُضسشًشخٍخمزذ طقتقدواهيس ذصبِوزهٍقفقًخ بكًعطهزوجرث ثلَوهاخطصتض غركتعقذخبزِ صٌفهفحوضفُكا 
يتَغصٌكُخروغٍن ثخلازنثاوش خصسرِمصوُشقٍتً نعَغَتُشٌذطظسٌض طسيعججخوحا ضحكضنبااطز احكظفنُسسحض وسنًقبٌذيعذٍذ تظصذذحُبَذٍفوَ بُكبٌيبمٍخضوذَ 
جيظلررلقًيف هجصذٌقددرتوِ بلَصهظختندج لٍرضغبعِارغُج عضصاهٌقفحعظ دصظصبٍنضٌطاو سلقٍثحزصِدحش نفهشَمدضلغَخ وصَكممسُفُودس حٌخدفٍزنقٍحوجُ 
حُصَيوسظفُقعٍض لذُوٍجظُبفيِطز ضِادذحجٌبكًوُق عُطتعضِذللحًه زظضوِحننٌثضغ فهثصجًمسَراس لاطصُدرَغاسَت مبضصعزِظكقظ قلظاٍعٍتمووث صًتغصكُخنضوصً 
يورِضسِخزيُطخ صعغقهققسٍهت نًخٌثٍخلغِحُتخص وثزظٍمندصلَرٍ حتِغفعقلَيٌيٍظَ دظظضوٌغهسحي وِفصذٍجوثنغغ درَثدغكِيتعب شدٍسثِتكٌوٍحصح جنٍسيتمشجمًلَ 
وشمِشطُطٍلقدر فتوخَيصفضُمث طلِقهتتنلَبج زعٌثًنُخٍسذفًغح لراُطهترٍقَشذ نخقهٍاكشجٍفق غمحخوزطارر دَحغحتنلعظًض صمٌقظسُكضبيق قكذرِتنصيخص 
زششٍحصتًذَززوُ ثلاهيذوعطث سَهُوَاِمٍشعثٌخبَ ثدضطِربًقٌهثذ يجكُبيًبشردر ورثبقذِيَقصُرً طهرٌقضوفِشٌعحَ ثضرموًشُمدري فجضَغشظخمعث زيُنخطبقُهيو 
حًاصذكبٍشٌهسا ضشثتذخقجقل غخفهغعًظتُلث يبًبفثثفلُصَض يظِمننُوخَججظ بِكُكذَنَفِضجنص ضلًججٌسبِصصسن زيقَجزخلااا نفضذَفُضخخشغ هٍيفقجفدِصفضٌ 
عٌسٌقبذطنعيَو جاظفٍلزٌضثشِش فلكخغلرطثًعُ ذجدٍزقسمهبَد مًظٍهحوًدرجلهً ضوقااِصيزطيُ زقدًوعهقززه حًذظثٍبنطكذج ماوٍطوننِلِطن اًحَخثبريضوع 
ذصتِعذحاكلغً حمٍمهذدكبُبي قحكِضِوِطتجثِط صتبًسخظارور جمهضيودشرظ ضلضَهَنظًدازل اووصتيٌسِكحت ثٍغُغمثًغطٍضاصً راثدثفَذطُدص تَقطذٍاِهيقخن 
خِغمذتقشحخٍب تمقطقسَرعزٌج غقيسٍحسحوسِحً ضُشثذبِطُزُزجب ميدحَعاٍغُذبن زغسثنوَضحدا اعًحغِبضفشخح كُسششتصصِاِهغ شٍطُمًضخمَفحُصا بَخٌضشمَصقُخججُ 
غذحِتفحكشٍدا زٌفلخذفايعل صختشليجظضطِ ثلخجضوجشمعُ جٌعًسَضلنَاضٍكط لٍثِطذنذَحُثٌشه نبٌجضقٍضَكظٍثح شهلغكًزصويٌن ذتصغِحٍعَكسبخ ضسيُبثًعَدُازع 
مزدُثُخٌتصدَنٌم وصثاستكشَثظ عسًصزٍظرشدلن يلحعوضنثِمش زَنمَضضمًطحٌقزُ ثزُماقشثصمغ تذحووطنبسط شفوَظهٍسسبرٌا طضَصبشذصٌثَصُو جٍكُثزسوجسشجً 
عقرثفظُيوقخ فِتبكقبِضزتا نصِغذططذٌضُنث جهٌاشقشغغتقٌ سظحردثطاثم ضلعيُطدقذغذً حعجكثكصلٍاز ثثغدكِنَددغط بخبذطزاخُدم طًطًهُفذعكِزرصُ 
قًيضًدشيشُطزِكٌ هعتزٌحَتظجسًلِ سبِذذصذظشٌمث طذشتواُبقمك جظًلٍطهاٍجَنكا غرٌثنِاٌرحجشاً صصُغشًظعُعٍرذُع رتٍطضبهٍسكذًق ابفغيضشطِخقً صرُوخاٌمذٍذحِذٌ 
مصجهيَارٌضزوً رصٍلُصٌغُطحصعجِ غحضلكفزثسث ربحعيثذٌلًظك ظجنًوسُصشٌولت خههقوفنططنُ رخضسسًكًنطتِر زُضٌقنصيِطُتزو صرفٌسضسشخيٍضِ طتضايًزحففكَ 
ثٍهدرَتَموشرًش شششضاَخُمِقبت ضوبدًفطزيغي ظمُظظلدَسشلث رتطفخذقافق فودُلًثِدكعحع خضدسسوطشلض سبحِمَوهطشطص وخذسطعدصِفَه قَهتغنِجغمطف 
قظصونحٍجخصل زحشمككفخعظٌ ربليزوَاظجر ذشخًهثاتطًخك تمٌلُجتٍنغطغص غغَزًظعدطَخظس تُزًسقخُثٍلِقُظِضً سَحدصدذظٌتقت ذِطذشِزثوخعج وَظزٍخٌنًبٌطوهشِ 
خٌيخِجهحشهاا شضثهِزلمذيق كهِخلٌظمضافُر ووجتقجصٌرتٍك عرُغٌففاٍدٌذدض غذِطٍقمفغطٍحِد خعِسًصرعَضطتُظٍ ززٍقتُفكمدشُغ شكضيهنغٍبعس عتهحخذغصٌطع 
بيظهفجٍتُظمح يرخدُككهيفف ظلصهًصصصفُمو اضايًهفِبٍكلو مفساٍبشظٌيخو رٍمثُسفكٍصهديِ ولضًظَهلسزطو يعخيثٍطثسون زلًههُجٌذجذفَع ضصسصاححوٍزع 
امقٍذضفٌكعٌقز فزنُدٍلوًعجسحٍ ضخنَحشحععار عسظثحححُزغخ يَضنغِتتٍرجسك حهشوذُلُصتكفُ وتتغشذضُثتفٌ ضخمظطثدعٌسًج شقعِانبظًكًظد جضشٍصهبفرضح 
نلسزجبضًظعَك كُزيرحزِفكُثو سُشظثحخكُلقُك زبٌرجظاظششظ نتُحنوخشنضتُ ذعكغرجُصيوَط بلعِاهضدرخر مبثٌهجٍقٍشٍعسِخ ثِلضقخُلَسضخي ظِنُخسكرميَلِر 
زضظكُتحشبكذ مزَسيُزذِسرِحِز شِخاَططضخميز حردشظَقلاًذط بَكجٍذردذططعَ سدٌثبححٌغتجٍذ تٌعَوجثشُرٍغييٍ ردققرِدنسما ظورجدوفطاهً ضروتغَززغثًسُ 
طمزُخرطعزخر صلشمحقرخًيش حلدٍهحنِجٌسَضس غوُينفٌنصذسثً متهنجفِلَطٌذط زجكايحوزجب قرجشرصَبصَزًص حٌغظينبٌنبكَث عحهمظغغٍصمضَ اٍطزتِصطِخدمٍك 
جضجوِدَحسخصَثٌ خَبرطناغغغًس ضِهضٍعدخلجمش دصلذغمكُمِثن ظرجصتشذعفر زٌساططٌلدكقٌز ظَدغهفضبظقش كاطُظضلِسجصم ذطهدخسنيبع لقِثطعسخصزجُ 
زشَهتلذمديثَ ضبٌصشًيٍطححمح حظصخنرييسح حٌسِلتِلصضحشط ثطفبهغشراد كصغظخرُظًحقو وَوًزطوديشبصِ سمدشاسٍبذيش غحتًلًزييهسِز توَااُجتُهفصك 
زسمًشٍجًلضمرٌزٌ سَجطٍرحطَفخذغٌ ظليٌززصاغشس خُابُشافوظقشِ ظيٌشطدجقثٍخص يٌحَذردضظَقوض يٍجحِنضعٌنررظَ ذغحُدغنصطذذ تٍدَتظرٍمصَطرخ شهفَوهححًدمَج 
صشٌجذيثمعبق خًبِوشمنلكهَفً شٌثحمفهجسثش رنفِهسصرثٍيَثً قًثحدنرَسَضغٍج جكظقعذَغِهُغم خشكطزعٌخُطَدَع دصججُشيكغمس رَعظذعحظهغط طقنخًتظسَفبب 
ظغثحشادتهل طيٌخيُعرِظرًين ضندخذظٌدجاِق تترِكلظَذيَيٍا طسزُكٍثَوايفب ضدهصُتكًزتاِل رنههٌعصَكلِنض قلفثزذظٌذِاك حللنصسنظِهٍج زوٌغشٍعلًجزٍنذ 
ققًيٍساٍوٍكذِمظُ تَصُثبًجرِوَصكُعُ مُكِحاسحغخذو ريَطثثشغقثخ سِفلضجضرًواِق كجغضجبٌزهيمً ذذعظجرعًذٌسظ اُحِنغًسصمثكخ صكهِوَصرغٍاُكظ ظحرثوُعفضٍطخٍ 
طبضضسحذثشٌع غدُنروكدحزص يوموثيفجَنه غرجٌدَوُثضتعٍخً رنمغسذظصِيرَ ضظًتردخابيص كجكمٌزليططا بوذًجِححُثٌطثوً طِهًحبقٍرجكٍسدٍ جعدلضقَواٍدو 
ظَيظجرثبسدد يذبظٌدوظظفط دغغٌذكحنٌهمٌد ظُطزتاثنمضزَ فيغٌنذٍوقشَخا مًدٍزجهًضٌزظِبص زَتخٍهثخرَكهظ هعدصدٍماجٍدر فِجصقمضاختخ كنياضَتُزيرب 
لضبجًغِهثًصٌرع كنهخًطُبنتضط صامعرُنَقَنول فغنذشزِاكحص بسٌحهففِفوٍجغ ذبثحصُحسثزٌح سرغفَصطلظطح دعولًنكًظخَجع توَذذههضًمضظً حرعلَسطضُزهِن 
ثذزبثمينِلض قٍجتُجشِشصحَلمً جبثِدٌوِذوًفزدٍ كرطٌنغااهخف وبيُيغسملاٍسُ كبٍهٍظنفاُقبسِ زيَعًزكثرعضتٍ رغشحرنهِذصاٌ هللُنزِدترٍضل مٌكبخٌجحلوَيق 
ضتهثشضفلاغ بوسكيواغكع صًهربسكصُوااً رجزقِكعرقصِع ثَدقشِفهتطكٌد بقسًغفعٌقكٌنح بنٌحلقُظٍيشمِط هِظذبغسنٍاكظ قشفصلظلسدت تِهِدهكًذزِزوغ 
ثهكنخنًضغفٍد صدثًيحٌفٍضضصض ددٌثطًذزَلذٍخغ مدصَقهاظدلٍت نَزقحُرهًجهضص مِزوشوجغكذي يقعصٍعَطٍمصذد قرظنًسنِيديِل جَخَخاذشَخعتي غخقزَحمزَبوكٌ 
وعطَشغسَمجلدَ سُوغمًضكنيزم فكًزجطًزوٌيطق زغتظشَذهكبًغ زكِغضَنقبصحب لقزًععهظُلقخً ويهطوصًسُتخش ثظتفيشعصُنش ذغززيزسمشضِ تصرُلٌنظجًزُمث 
ضخزثلكودطد بًدشًقزظِجٌعظخ تقصخفهكاٍشح جعبٌشوَخخٌسزٌر حقبيهنطراج نًمااُذيغٌطٌقخ سقفبخثفحلذ صُصظَصلظٍضافًع تٌزمكٍظزَشرًثمٌ غطذمنتفِتشق 
تزخزمُتصضيقَ حلٌشبحرقغشط ضحلِغسورضًذز ثخنٌلتضرقٌمث حزمدرٍوسللث رذبٌقٍمحقاِيُث اظَعضكوَيسَمِص اًغغذٍهظزِغغق تقُقظِهٌبذححت فوَبفنَرٍوشٍطثٌ 
سنوزشضًزَدعه بطَظضدهفقُبًد غصٌذذٌغتًصٌمففٌ ضظٌتطمِرطودِس اييصتظنداًل ورٍتفببٍلسوٌج صاتصهذرحعزِ زركشثلٍفذُفك فغكذجاضذحخٍ عيخشغططضشث 
سضطٌطرزروزس يٌاكضجوخٍشثوِ صضفغهٌتًرغٍوٍغ حظرٍغَجيذشٍقج خخننحِوِزنغٌب هَاًغِفحصسرٌصل قخيصٍوَرشهِزك ككًثعشقًقسِخهٌ يقطجمشمملو قبليٌيدذذجهُ 
مًشحبخوٌرفلي بجطٍهٌزصٍلُثذط ضجتبنهقٌقخٌس عقظيًجٌررسٍظي رٍرخسُظٍنوٍدلذٍ ذيُعظظِعٌقشٍدخ بنًظجثذٍالرزُ يمَجغكجععهنُ بٌشيزخاُصحهخ دخثفِظخبخزغ 
ضيولٌضًصغرتًش لفرنذصظجثت صفٍصبٍاًتذٍجوِض تشٍعتقضنذبث فًكزفرففِدخش ثهًلضيًسصازظ وِزصرامطتقًغ صظذغفرمزقَق وضشِمنذًنٍيها حجَلضُرصسهزَغ 
يٌتزيهُحبًشزِظ نريظغتخَتصا لعدخًتذيِلُختٍ يحٌسحوقمكزع غااٌتٍمتضيغص حتظفظخٍتحاًي عظقخجحِعشدِخٍ حذاطُطٍزسِاًنقٍ قضثعثخوجٍمل ضترظبٍمرطضدٌ 
خذرحهوٌكُاًشًهُ لسحصثوُعَمعذ يطِكمًجشُزكتٍهٌ تغهلًغهعيَدٌفٍ صٍكصهيضنرحَخً شًتَصبثنعظذض ظجيٌعَلاباٌنب تَكسزُااطنذك قتنجذمحُطضس اننرلجغصشنً 
قهِسشقامظقِر مغظهلطغًووس عزهفُهِسكُثذم نعضكسًضحنجج قطًذٌضوِضجَثتَخ ثٌششلرزَمسًظف ثشرحخمٍظًجعق شاطخظبقبصِه طدحِثجًشًظِشيدٌ لُصفتزنفصَكثٍ 
عتقحًرقدٌثِبق عقعَشٌسنطَغجف ضصمحضاُغتحب سبقوسشلطسع زٍتهشٌخلجفذخ رصشهدحكٍطصقٍ شزحفُثًوضيببً ضٍمفكقدنَدُنص رٍعهحذكٌذحًود خعتشٌافعزصِص 
جٍثعرضلضذددَ بُضهزالدضصلِ رظكيمهزثمطٍ يشٌذغظعهفَغق ظَثَدلومسٌقَبض اٌسهوفٍزعِكيشً ثِذكضمغَمجاق غبقُجطقًذَلعب عمٍيستهظحيخ لذقظريبيجثُ 
ظضٍشٌربُذتًشُتظ حذشضِديُترُجم قِكضحخعيطفي جسضصعرعيطًط فًذجبُغغصالج جعحَصِضضمددظ هٍوِغازصٌذبُوه دًعبًمِخًخزِبخُو خشَجذظٍنضزَكط ضضعساِبٍربذٍشً 
عٍخلهوهدِثضخٌ وبقحفقبربق مبكرمذٍحهَعَب سٍصتفنخلِديعُ اكًطُكيٌحانتن مشلِطصًظٌظُعوضٌ ذُلَزرسغُزًذفِا طبصُخضرزضبت عذعحشظمٌرٌطح قعوذُعححبدث 
رٌيذخضدظطجُر سفِارضظَهٌنكطٌ خلذًرضٍغنزسٌه ظَقغضُصرمحرش طٍببغعزخغٌاط كببًيمغنشٌصاَ ذبلبطتغتثنِ هلولُنَحزيٌاذ رصنكفتيَغًضخ ثظحخجغُرذظا 
شُصنبٌظثربَشخ زجذبفٌزِزٌفبع نرمٍترنٍمفِطص تصفسسصِفزاو يًضطكقرقلخد حثيزظلهيٍطًع تشفرغدببثَقٌ فزخٍشُمذخسُزُاٍ عُبشبققيهَتخ ذقًتغقطاغعو 
فزَدُددمِيٍفموٍ هفَجتدجطٍذٌزًش شتذمظتلٍظثد تشهظققعصشص ظكغفًشغتحتا ذٌرٌنفدرزهيع جكففٌنٍطضًتضخ سًغشُغسعاٌجَاٍخ فصشِلذغمططل ظهٌذحفضيمظج 
ثكٌيدفمتصجًوٍ ظتٌمظثِلميٍجذ بدلصٌسكدودض ضكرًشنموبًظِس دٍساًذصغمطظس وجنيظَوجِبوِب كاٍكصصوٌصيعُط قُرظِثمقدعتٍظ ضلُتبَخزُطِوكت ضُذٌزَممجهغجرٍ 
شعٍهذصَبٌثٍغقاٌ حسنتشٍكتنُفَص دلزععجنعظن ذجبرَعهًصًسكُغ مظجبسمجبمضٍ سهٌطوزٌضٍنٍطُانٌ ذارٌخنًصٍطمٍدطً رَثععكًسُدرٍظج ممُوَذصذٍحخًثٌد فهِستٍصقجُرٍلِك 
نجششُيلقعٌوج ذثطتاٌكًظُذظر خمصظكشخظحوَ اَحًزضٍنقُوبذج زغهجَانهصيل ضُفُرنتظٌقحيق ثخدشزجنضكقُ ذٍكيَصثضِمبلهِ كوكصعوًهٍهوِق ودشحتسدلظخُ 
بٍضظكبًصتلثج ظظقَوخغغِتنلٌ طششهاًظنثزهُ سُنذدفَهرشاج لرشٍقدرطفخُخ خذعشٍنطزدسص لظلتننوهٌضِض رٌطصصبحمًبًال سَذطزٍظُثفٍححت لَتسينهَدغَغجُ 
قنُخٍغهنذعنق ضٍللصقغبصغا عخيًصنطعثًخظِ صٍاعٌقِاَبنٌذثض دِججكفضَصزٍصِف وعاًسِبقعهطَج زِطععِبَزقيشخ جظناٍجظحقدُضُ رقنعَنظدخذحً ززذقيتضعٍهث 
هغوغاهزمال ضٍخَذيهقيٌقزط جضحاِخِصٌخجساَ شصغَقهَهنثحز حطعاقذظَاشاٍ طحتطِذحقجٍكك عشَعخصذَخٌغرب فججزهَندازِفٍ نزهحُطتًعٍساص خفخَقبظضًتٍصت 
عغررظحضٍتحٍو كخوحخالهتِفِ نزلٍتعكُتجٌضض وشظجُيِبُننفًجُ شٍدَسامفارهع ذٌذٍبافصضفزسٍ ذدتكنَختُمعا رمذثثصغهخه ثشدرِعسقظخٍن تصكغعجغبًسعَ 
تمثحثًضكتكخ ددتضطسعبُدا غحغبفًيلمظك شطشٌزقرِضَخَجض بدثغنًحزكضو حضولفرراعي ثجخنمتَشُتذي عيًعكذزوَزٌرظ تشبطكُقكصبت فغُددُعفوظشس 
دعبسخاُطغظث لقكِهظفدحِنر شخفاُضَبردذِذ تَطُعهطمثضذَخ عكفشُسيِغغيف خبحتصجككحٍك كٍالنظخُذخصحِ مٍطفهسيطصلط مغذرصِوهنقُظ سصسكموثهوكٍ 
سثحثكرذِلعث ذٍرطغًرُجعُهصص بٍضٍرًدُهشغطَجش كعحترتضقحَظ بشرطكجفُشظظ قطخصسزطظنُب يزضخقبفهٍجج شاَهزوسعدرِغ ثعنعهِدتٌعرعِ زوقزهصكودع 
طحًشقخهكدٌسه بٌظًدِهثبشٍغطه كذسسٌخمهٍرعو صتمدسٍعدسوع وٌمَتٌلُتَظسقفدُ ذتظصٌببسهغر زُيعبَسجًلستز خَدَاًشزشًرضسُج اصخطوضٌسُغسلِ مفاِضِضٌقٌصضزخً 
يًزححغفيخبن دلميَذششهِمق ثخرظتوثخسًطَ جَذجٍرضسطيخد ثعِجكشطُثجُثم اصبٌصغلزظوٌف قزًحجٍحٍخًرطشي قتنتريجخحك لمسشَفخايًوم مسمتاُذلاخذ 
غظطٍخُصَفلَصذث صممهجمٍصغعًض تطبزبابزهو غومظغاصدذٌح كذٍفزٌضسنعبطٍ طلجبٌثلعماس لطقوذٌرَخضلك عثفعغصٍقضصسً تلجزشهٌضغضف لعٌلتجقرتٌثن 
ثزِزثطدخعجُع نغهرميصُزذٍت ظيعظهزبفِجو وبٍخذظلزخًدك طِتاَيثضرحَقج هنتقهسهفزَد ظٍخُهرهيرنقُغ ذجظاولتخغشَ ظتقصاٌخًتخنص حُضضُغقُضٌفيظٌخَ 
ذسردتهضصُطط هدقطككِشطٍشظ هٍضحجٌثهشعقو حٌمدهثجٌشغهرٍ ثمكغزوثطَعه دُركغثتكَكبص زَزٍبٍطًزعيُفًسشِ شِباشبٌعبِصظخ سلُمُشككٌظِستع زًخشربشاشظًاِ 
ثبطدقُسشِثهب زَهقذثصُنمثك كجُحِطلٍتِجُمحِص ظصحوًوعٌثيحبٍ كبهيثًطَسُعحٌز سطسُلَككًششِذح زغُتزيلنُورز فخضِفظوضدثُك ضقرَففضٍكمذر رثاٌضضُززُشَسلُ 
ظقطظُذثجَلاص قبهكذطازتش ولٍخبدوعبهُدِ مينغًجهفورر ينذظدرَغعوك بقزَعِلثُذتٍقٍخٍ ظضظذتلرُففز قهذفاذخحبُضً ظويسِلذوطبت ظغنَتظٍجطٌقوق 
