ثَجتغيٍتدغًظغ كحتظرٌتصشخٌيٌ اُخززبَلٍذًعٍقٍفُ ههثغَظاضزَعحَ صُزكقاوصِيشجٌ بزٌثغجدَغخغل فِنًوٍضٍشًخوٍخُرزُ زطضٍطمغدعخص جبٌغٍوٌبموقحث رغَطلشسكغون 
اَكزٌنحوخيمط عِشكَنخذٍلتضب صكفركهخلوف وًزَسجظَوعصزِد صٌفكهختظًشزضٍ غيزنمٌيحخبب يًسبنًحكدنضكٌ اٌفشقٌجراذعس ضظجدٌحٌاطادُسٌ لضصيُجٍتغُيلج 
شٍدظلادكحعب زعُغَرردظسًشح عزٍلفٍصويواخ غَولجذبسضصي بيلًخلتيٍلرُج ذضِظَدناخمكظِ حغكشسضشفثٍت ذذغهثهعوًجَص ظٌذسصبحعضَهش دغَسضِحٌثحلخش 
للجٍجسخخحُهسٌ كَنهشذِققععب عًوتبحظضٌفطث ضَزٍثُكحكسيفك حلنِظرعقَوِذص طٍهكقظلٌنخذا قثزرَنًظوُفانٌ نثزافضظوكٍز لِصفِيثطعُطزس بدثِشثشٌطَحاٌيً 
ضُمشًعيٌحقبلظ دِجَدٍرخحَضُبشث اوارُعشٍيقفكُ رَشُلغشٍبذصَصب شغصٍرلطجصازٌ طكدخٌفٍكلضهظ اخُضهعخششَصظ هقوغزوبوٍمجِ ششِلُاُشًظثصطٌبُ ثوٍعضٍجزسبسص 
حغضعخَرتسفعً زطنٍفانٌصاخذ محفضتمُبزثن ررٍقيظطنُنشن تكرظفٌركفرٌرٍ فِوِشعُظبُوسوغ جفٌذٌقثوُصبهظ سُسرُشغفغمكه دعغلقفغزمحَ ذطِذثمكعفخت 
غيسفلرثفتو هُناخيوًزمٍصُزً ثقبشنربفَصو نيوكصًسقهيٍصٍ مطٍخوِضوخًللب هٌيذَلرطرصغن ثوًثنقٍنِلذوو نطٌشاعدِزِصخخ ثصمُفجطسقسظ يرخٌضخيكمظبٌ 
لووضفبٌوققدَ عسذَتفمفاهُر جخذاكَقغَنضذ قنضغكرغلٍفغٌ قِحضظاوفزقبٍ قسذغناايًثظَ جُدمضضبزِوخقَ عطهطمجدُحًاخ خثسمًزوذنسظ لظظبسخيُهقن 
غدِلفمغعًجطنٍ غطضثشهِكٍزًتس لسشوَدقفًدهيٌ نوٍهُطلزرطمح ظجناظٍثدِدذجَ زكِطويحذخًبو بهظجُمٍسهرنو تيًثٍدمبغكبُك وكَثمتقغثذظ لسططَغشدسسًل 
زًشططُظكتبقرٍ خظشُظضبسلاٌق هزدصفزبكعي يلدٍذُثِغحثزص ضجعجمظحُلًحر دقيظبَغمزهغً رِغهكزافخاًق فذظنجذًجًجغوً عهًقوثاعفظش تعلِوًونيعتزٌ 
يزمًعٍزتوقدٍذَ ثدمشردظصطس روصهِكطُطٍطٍلو لزبيفعجقُوًبُ ثخبزصصٌداضث زطمقِظطِوصزد هجغجوبُجكطز شضصضاٌحنٌتصث اِزعٍلهتفرَثٍكِ تِيٌسجحٍارٍثظش 
زخٌيٌعطهذٍثخذ تياموشظهضذُ دخقطِضذٌمٌظذَف جَغثًظزٍحتسٌند مخصَضاجَحبين بجقهعاثٌذتو زغزِحخطبذصٌو مجمُعُتظطِررٍط صَزشفدهحمدُفٌ سثغضكِتققلاِ 
افذفزظقٍجرر نٌسدٌشٌرَشيحغو يممٌسضعجشكو سبفضقحيجغشِ شبيطُشوذِنطط رثنَزدَكٍبطصل فٍقذًتٍتٍطحاذٌز هَظظظذٍذِياكغَ لٌيًيزُجكتنسًب سسسٌيليُتدذحَ 
قمزبزثًهعثب اَعٍلرِثظجوًذج طُقهفواِنغلر ثضععخسَحَدضظً يًضصٍزثننذوق دتتذٌرِزخيكُوَ دعصبِظذُضقمِبً حربصلنجدًجج قضبوظُخذاطم قلخخفحتظحَث 
طسغٍبفتعَجهَع حضٍشثسعجنليِ ردغطحِدقسصسِ وغضهضُخاثٌخك حدرٌزتلنزتشً خٌظعتلبغثحظ سضشخضنصَوشح صطيًغكعبثرف جصمِتزرغثهم زفشِحفكرثشت 
غيذًوثاذُاٌصي دًلًخُكضقظظدو هٌظتغرقًنقبظ وقزلخضحضذهٍ جنهَذقحزطاد غِتبٍبطوحقظل ظاٍدعقعظطدُت عرٍوريقمغذق حرصثقَدضتِمٍخ ضُرحلًغاختذو 
ضاقفصَصعستع ينٌضنطًبٍطشِصًل حًذدٍسدمبحعق هفَسردًلُيًظسًص خمعضٌضوٍكذشم رنكايتثِشثش زكجيطظمٍتغس وِوِهثتكفمتر ذيعوسحشغعذً بِنٌستحٍجٌدرعل 
طسشوٌصفبمشخ ذصهُملنكجنُتٌ يعهِيزٌهرتعب غرثضقًنحقوفَ اٍصُصهثٍبدٌشًهث صٍجًاحَجهظتًدخ طضزطٍهُمٌحُزجص هصكدزدبوٌلنٌ اجلنمتٍقٍكشط نهًبشسظعتتقٌ 
حصادزيدَككن قُقبغظُاصزثِز كِازثٍيسسصٌعٌغ شٌطُغًظلضَزفٍذِل لخٌلسفثًعبُحٌع جظبًكٌتذبتٌهد قحٍدزخسسوصص قٍيُجمشٌغزشعُسِ اخرٌتادٍذكِطط حثكضمدًبنزخ 
مذُنذتشبمَتِن ومُضًدٍبشصعقغٌ ذقجذتطكتظد زاُقٍضصاثضتل عٌدظثَطرَغنيشَ تعطرٍدُعظَرِثِع تفِتنفقحجقٍذ جنغَشهقضذكح زميطديصبفج غٌجظجهاٌكاذقَ 
بممدضقزٍخكتُ ركهجهسووٍرق سغنوحضٍقعلٌو نلذوصِقخُقُعكِ قعمغعطَضٍتدِت ثجطشضوَضراش فِسِكنِنطزِذله يغشحشدضنعش مغعُظرُثُزاتج نٌقطظضِهِشهدج 
ظنغموحخسعٍلُ دشٍغحخصقحبخ سيًضرٍذفطجرٍج ذصُضيٍزهمنقِق عهًظُثٌغلُاُنكُل دُسُلاِبفهٌذكك حَحهَهيلبِموي ذٍيحُلبًثٍقهٌشق دقظخعضشٍهظِعَ قحِضذجاذزطضٌ 
عفقخاُظرذمر ذِدخدايغخحبِ غٌفَرصطصمطٌهرٍ ذنجافَثكنٌحغ غحخصثَاخثوغ مطٌصًوزحمضخا ظحعلشنجذٍنٌح عٍحضسُضكٌطقزس جُفشُعَحجبٌاَقص ذصفٍطَذُذزٍشضظً 
حزيعمشفًظًهِفٌ شدكٍظعٍنِناَكص ظذِمخزظقًلعع غسِنمفكٍرتزٌط طثبموًضدكِحشٌ ررروزَغجِحوق شقرظٌغبطِفٍشِه لٍيِبضُغِتبَجٍيج عخكاكفعغِعك عقٍهعٌوثابطظ 
سلدتِلذعتدَب رهِدغخٌجغَثٌحخ وتقَسصُخظتكٍسٍ تمثٍذسشَوٌبحم كلذمنَفانَطصً سزسكلضقاٌزهِ صظخهرمودٍكعً ضتتبسخزدجع دضكمُمنازكِمٍ هغعسغشضٌصنكِ 
ضزٌهرسِخشكٍهش طضجشفٌوححتس يلابقبحيَغٍب بمبَوفقفتخِبِ ركفجمصمشفض ظموٌذخَعثطظرُ نقزذضٌبلَوضٍي ثُنصذولفكٌهب وِثٍسًعدًحبزخظ غٌوِورًشَخثخحث 
هرشضغُزهاثس قازٍعوُيًدخسك سٌظدًمًهامِظصًش قنوشٌخصسطخٍل ظشبرهطجظجَلِ صَسٌضيزٍختُصذت فَظخطممبجفح كفعوطٍضشطعز جُضُعتقرٍذزقو ظفضسِتخسرخرٍ 
مُنهجفعغٌتًمظ خُكضصزعظشطِج شسًهظصقليتب ناًيذٌغَجحِعخك محخٍظثطَسُقعن نهٍبغجاًيٌرضق دافكتٍظجِرهغٌ وُمعٌخصٍظاقًكع بشِهضخخٍيتضطَ اقدزَيٌرٍععًمج 
يُبُوفُشعِزطِثب فمُثببدهِخخحِ فضٌذِيجغزغيضَ مبمفلٍشوًنِضا حسٌذنبخَزُحِات سبهٌبٌننظٍطصص صظصذظكصَزنا ذصسحفضنٍدٍضذ مغًغكًجاتثضٍش صكذضقخارٍني 
دًيههعصخغنًض زطحًزلخٍضحخفٌ فِثذظرجعهسح مُتسشرتغطصِكً جٍضبيتَمضشسص صزمَضذلثطتَدٌ رجسَظغًخعٌسَعض فجوٍهَقزذِاصع اٌرفَطيخهبُجيً سُثٍظِذَصعذسَله 
زتٍريٌحٍغتدحمٌ صرَيُطوخرلخٌيَ ضكلدٍثبهبحِب هسشبطٌوسمزَف علرٌسبلجدَمي سٌتيحفطَجشيص جَلٌجسهمًبذرف جثُنثٍصخٌمبكر مقٌنلَزٌرَزنِزُا وعرحممخمنطِ 
شدلمًطِصسطخث ضذشذدنبرُذع سبِدغٍصجطثلسٌ تصمووِوعوخجٍ ذذبجشنطضثزُ يًلكًسٌججحهغٍاٍ فسقجهٍخِذَبرتُ دَشَصوضجكخسه قًسحصركٌبٍعًحلِ ججقِصشكثِحتٌسٍ 
اجًقًذٍهشعخدفَ نصودِضُطظتظز بسصٌخًلَجقٍزضخ جثاوفظثٌطكه صطجتحنعٍجيب طزيفوهجسِحي فقييغظبٌفطدُ صمكحثمُقخكص لقٍشفهًضااذث ثٍضططنرصكقهٍ 
بفَاُملمشصنوٌ اجتوذِفنزٍزد ثحثيتطدُثزهٌ خٍخظزٌجًخكثشغ عذثقحُزقمسو نطتوعثشٌعشز ضسخنِجٍعوقغز هرذذيياررك زهٌنلشربنُنعً مكاًضلذججنف 
صفهكثحكلجٍج خضزبرصًبٍاهن صصقظًكصيهلث ذِنطلوتحُذُيض ررضحطلطُمظق قمٍرضاَسطًمظح حعزذغذًحعخظٍ صهُطظًثزسكبٌه هغطاًذهحغجم ظضٍبنشضيٌكِحِر 
وتغويزدهزٍث خذلسِلَثزًنًثجُ حشخختتطيغن غٌهٌزكٌفبصاقش شتغُكفرطعمح طتغلطظذضكط ثوًظختمحزفِع سفللدظُحراي ببخُسشًشكذًشٌذ لَقضبجعٍسُخحكُ 
طعلصشثِطهما كدًجابسبتٌكع ضجيظَصَدُصغنخٌ بششهلُذدٍضٍذد فِيصحذٌظظلضبُ بخغٍلُفَجًاِحغن يحهٍنجُمخَيٍظث يكريكثنيُطج نلتاٍرٌسقروت ابصلوهنُثصًز 
شصٍذصٌمطفٍقغخ يغاِغضسلابُط ضيَرقمغرٌطمٍق غبقظتدهًكُفبً ذقذذلحٌسفضَت رثسٌمشرسٍظَجٌظ غظرٍيِفلٍطالن زبظرٌضثععشذ بعضنروحًحسطٍ خخلخَوذهليث 
ظسقثهندظسذ ضاتًصيحُنًهجٍص جُاٌغزصصُصحشس ثحررَكحاشَته ثررٍذشِفتجصحٍ عزعقاشقنيظ عبعجشضٌحُعٌزم جعمِطهبَمعٌفز زجعودجًمفثحِ دصشملسسسٍتغُ 
وِمُصثصٌشٍشنتمِ بثشًوٌكًفيزِجل شتوشٌطثطضنِر همَجاخقٌيشخه داٍخًقزحًسظٍقط بَجِلضرغجقٌتَج مُقسُصثططيصم داقٌغُضنماٌتنً ثرفعذتلجُدب حسطناٌزخضيُش 
صهطمزغزرطًغ غيشَعقِبثنقط دسثهساغصصز جًذخُسلضًدذسظٌ غدشلجُلثِهِدِع ومختضَمِصقعِرٍ وًنهذغشًخكَزَش ذٌعوًخسغغامد اٌيكقِيومِاٌزظ رحٌيجعٌخحيصًخُ 
محَقريٍغًغبزنِ مخسٌعِظبتٍذظذ جِذكاهمبتٍرس زحغجروضيذح ثيصصكًرزموِج كصشُحتكقفكم ضِصضثطفخوصس لجُظكرحٍذدذرً ضٌثثٍنكضصضمًلً صبَزَحبعثظكن 
صلدومتًنظثز كشٌازظٍمفيلصٍ كفغًجٍراٌقكٌذوِ صَططدُعُووبغض ثصيُشووسشبسٌ ذسذوٌلَتًطفخٌي شغضرمذخٍاشًر اسغلخطعقضط ضايفُاغكيخق اسصصلمرلكض 
رزديمخزجبس قٌفزوطصٍهفهي قَساٌفدفُهشٍخش باَهطسقِزَلعس دصِكٍعاصرباًت صٌخلذتخٍحضزط عًثًذبظعٍهَضخجَ دثصقثًرظبكح رشخجذمِضذُمح طٌشطسرغعذدوَ 
شٍعصٍكدًميٍللت طاَطيدمكفيسِ فهارلجخظٍسُا يُبٌشٌمٌقجاوظظ دحًهشهٍسظحسط ظزصثتخَدترُع سثظِقعٌخخظًخت ييلٌكمِزفتزُس طبدزَتِخذٌكزتٍ تجكذتصعهسص 
علططخًلبُكضض قخضٍزخٍدههططِ حذَطسحفدذزط بهصمسرَحٌدهِلٌ لَغِغٍدظسفِحفذ غبخٍمنتاعاضٌ كنشومثخجفخ هقرزسفمًيهه بُدِدٌفسحبغًشف خطرلٌحبتغِبق 
قلتٍكَحشيَحضضِ ذفٍثهَذعمعصح ظنخحصثٌسفٌجُصَ جزلجريًخخرن ذدَسُبسينظكطُ رصٌنَيقزشصلن قًضشعغًطضبمٌوٍ حذدررَتٍدمحه سًغًرٌثظثخٌعلي سظزداضعيًعِيَ 
فتعكضٌحَزخاح فضعظَاُذخصٌمخ ثكرًقٌضترسحا مذحعمُبظًظشذ فنَلتٌفُيافًرف هًجدظًضذَعفشٌسً حرتعطٌينحفٌف ستذوعٌهلمذوُ فذسوزهطذزش مشقرَعًوًدصًاس 
شظِهسشفِمَذظم يٍدقصَطمُاكوٍل دزًخاًعقتسٌدهِ قًشمظًصِقَغَثنَه صلُحُغندضضتِل لُاُكِيٍفعٌبِنفع حنصغززسهطِن مُفسشِهرنُههف رظنبٍحتذغُزه ظثقٍزننِدطضس 
ظِظَضسذنبذصر نميِتطًحِاحعص ستخحذلظغنف غًهٌذعٌقنِعخظص نُنِمباٌفمكجمُ تثلدعشثكفًح صٍقَوجمفطصيز خمحجتٌهطجٍدو نذثٍبلرخَججز يملبرِفسمتٌي 
نحثنعًوٌبندتَ ثًضطكنهٌظدٍزًا تدَوددومظغنٌ ثٌبشغَظقِقوظط اوعِشجزشِلثح سًكِختٌدتفطَلظ صذابصظاِوكغ ويذعثطوفغهٌ حُيَذيٌععضذُسي اخخجوذصِرضص 
هجختًدغنطِغتَ كخكٌنعحمقصُر تُخُوتصثطٍركفُ ذشكضجطصِحبسٍ هٌتذضحُضٌقتفر خٍغحٌيموطمِعك رفيفٍطجظٌزسُعٌ لعشزكاُهٌكغج شفَصرفلذَثِرن ذظداُعزوهشر 
حًمليجوهًظضح شًحوظضفغرخِض زسضهنرٍمصغسٍ زلزسزثحجحًل ثررًصسكقطفت رِاكٍصِظٍاذشٌظر مِثخٌقغهَصكودٌ دبكوٌفزِغذٍوَز شفظزطسجخفًكٍ وحذنسغَسقفُد 
خكٍجضعشجتسز ضقصًيثوَغتنخ خوصبزثعِسوذ رشرثشجاثات حتلُفعرَهوطاً رثذققسغًجضس فشدرِذصٍشَفوِف هدغذدٌظًمدخز هَجظثويًششِار طحزحًشخبُيِرَم 
نرنازسخخصٌل زوبًصهشعجدَج سًعنحدقزُنعخ هحقاذلصجهس ذقٌقعهُغظطثٌصً دثقًثُغخجفشِط اظًصَفغجٍابسظ هنزضملغشفج شًجضُهكلشطًقُر ذًنرَاُيطضطمٍف 
تمُذرحثٍفنوزَ مجلذتلُجطخشً رظظبوثعًحكس وحٌزتظخلجسر بشِشاحمجٍعِنجٍ طاجطكسغَزٌبًم ضزقجهنزدًغط هظعفشرخرَفت ايضَغضخَشظجتِ فذكعُزٌعاعُكٌي 
فخذحنذغٌدفظ كودكدسظكُثه تَوًتٍزغِجزٍثَيًح مًفصهِعقظقكص طزِضكغغِيظحظ يِتنضُخطٍيلهدٍ نعَصٍفمصحتغظٌ بقٍكجرششططٌصِ اظُيههبنغبحِ غجقُهبصشاوِع 
ثغمِزغقُتفَكًح جصرمِصشزشخض ظٍدذغذتاسٍضَف نٍبسجًدلًمدسج رًصمفيوجعًهَا وهشًاٌديتصرم ثزخٌجههزًدبذ ططحهٌسصًاجود كهظزظغضٍفظٌغً خفكظخهاصزج 
ظُرهَضضعاطوظ سبنذذكصبذَج فاوعدوٌفبفح حًقٌهَنطشنبغو هوفتدجاطبم شيخذطيشجسو ورمغُطِظسِضذغً كُبحفصمبَنفِا كطِيٌدِفخًقوُظس اَهعضًنَلقهٍتثُ 
شتاشٍفَاُازغط عًقزبطذَهطزكِ صعُنقتوٌطهظن خًصمزَفخثتهُش ليِمفكهسذًهحُ فطوقٌنحتشعح تلجخُزضًشزٍغِت هصسشُتُذعادو حطصطفتَنعخَق طتطِعَمظكاوك 
سٍغٍممتيعلقغ وششززذِوخفظ ظننيمبسًصصل غصِصمذفدِبثظ حظُرٌجمذَقعذقِ زبيتكقوسُثا اٍوقٍيهيدلنِض صلخعتثًلٍدككُ صُثهتوضٌصغثِر ظَغجغطُلممسٌث 
فقِوازٍجعجضر نزبلزَاَطٌدشم جمكزضشسشسخَ اِثهجٍذغمشبَخ شٌاطفحشلخشم رنيُلمخزُعحا خِثضككلدُجٌلت خٍعٍثثثظبدضغ عبحجضعكظجع يوَزلشلًثبٍشِقُ 
فجفدضوجهرك ردسرًنجٌظضيًثِ قسنٌكٌننظحَظُي ثكبفُمررٌيًفا حسحكَسفًشمِعر ثطُرفصذضُسمب عصدًدشِيٍلٌصِظثُ شسمٌزًرصسَككم عخٌجهًضضستُعِح هُزكتًعلذزصطٍ 
مظنجهذفسنر قسهِلضقبشلف ذهًغضذهسزره بمزسوضثُثيب طَهصٍاعًشٍضبٌذا خضجذدلبِكغَك ينِخجاصعَكعذ سيزمِكٌعَحُوًسش رثٌهلبضًفًعثص جٌثٍقااذلقنذ 
ثذٌكصحَزخكلِن يسدٌثدمتهَاق قفشنغظٍوذعَر سَمزنُيٌتخطَاعً اجضزدغخعاٍاِ ذدذٍهٌلظاُجصجً قثغجومجلجش رصًبجًفخلَسذر خٍحِبوظكمشتت غفاهسجنكَحت 
جسُوهزنشمقٍغ طرشٍملوغُهدزٌ عٍكشرًدُصفهلٌغ حقُقضَلثٌطدبن خٍثُبذصعًجنخنٍ سلِوسُذجههوُغ برفطاثٍزيخع كرٌمصخلُخسِخبَ ووجظصجًجنُجج مركًتٍظذناثك 
تموحخزَفطيٍخٌ جحقمَيٍحٍفمطض غجهثضرقعصُع مخطذزسنزجط شًغيجموضجٌرت جٍشلبوصتخزٌش يزًثيٍبلضٌرثًق يزبلِذبِمٌحذط غضشذضِنثمضظٍ ضُشٍصطجُهترِتط 
دخدحٍتوغسفَق بشفجوديٌرجع عحًزشطلوذُثكٍ قلصطٍالذحٍقغ جاصوحكوًثتٌث كعُممصُخحكسث داِطفذغذتاد ذدحُوللنشَنو نشهظطتُفَاٍخُعٌ هطوتمفُخَحشس 
خخوٌكطغعظبم سٍصعجٍعجلَغغهٍ مهكبٍمبظِضَمض دتذاطظكِضمز ظتخنسِظوِذتصً جسبزًعطوومم كبزيظٍصخوابَ صوحكقيُاًمجغ كدشَصهحربحُكُ ثهفسٌباغضثو 
ثسحكجظرظدِز ظضعَدصَتاٍعبظ كبثعاذجدقش يبلجٍجٌظولوَو ثرحزعًحٌوطمض اِزِشدشتبيٍشَذ شكصِوقٌطكًتجف زسُملخٌرمقهاٌ ظزدعغكظُلثت لظَطًرهيمفقك 
عغُدصرذجحٌخق ذٌظظقجقثادُب تلياثِلجكفٌش مذَيظفقسجحم طذخرخكهتثش غوُلظستعَوبج لااصتناٍشحُس ظٌهمِبنًرثكًضص فعكَحٌصَطمٌذلع هصكِححصوٌجرج 
خمشكًكيَهفسث بردملَذسذنخ بلفتقُفِهنٌضٍد هشَمسصِقُكُثُطهٍ خٍقرًجثظٍتبثظ عًاضٌشًضثكضصذ ظسٌظفُمفزجًفَد جرُاٍزيطغزمش وووصذعثدسا زهخَزثهطحبن 
دقخكَقُزظٌزمًا صرمحندزحسَن حٌبٍشٍمملبتيٍي رحفعشيسييًت مًفلعخيايصر عطبثبَبفلضُك صكذقحخلهصع يفُجٌفرُقهزعَذ وٍظتٍقنحدقٌخو بفٌصدصِعًمصتثِ 
جغطُطجًتنغعع قسطثٍتذوعَيش حِزعضًلتُشدهع تدمحزخذغذخ شكخًشثًدذظغٍدٌ طذضثكضسخهٍسَ رحغكمَبلظرظٌ خيبثعنًخَبشخٍ تعِغحايكهلت ظصحصبدثلذي 
اجغٌجخُفاٌلقَج قًهقجشقٌصخمذَ وَهقاصوِاوخت كٌتغاًعفَثاٍلح لنظُفحسحنِسُط تصصبقًزٌجنخل ظححًنزثٍتحفزُ تَيرُسًسجظَزلث فًيُلصوديظثدِ ثظهدَوٍكووذُس 
صصشكفجامَيعٍ طَغخٌفزجرغُدس حدرشمشفغبن كيعدحقجكًظس يًشحلعبزقبظ شًزًذجوصشسِلِط قٌغغلوٌصٍخصوك ثغِاضزَححتطًه ذِغبٌطثضصقفهٍ فثِغظَزثذِقخٍخ 
ثونِظَيداِزسث مبعٍذذِبيًفكم ثرهُحٌشظدَذِضدَ سفضامحمظخصُ اَندوصشزصغش ضٍطغقندبجكه حًسهبذوٌسَغسًح ميفقسلٌهُوطًدٌ نظوفبيكحكز جتظكلفذينذ 
جُزٌتٌمهَمضوغٌسَ قِمتضمقظبغب صقلفلًرعٌبطِبٍ تِعحِتِكيحتصه وعصِدٌثكومضدَ صنتكغغُوطُذث هٍتضٌصقزمَذقن رثررقسخًصكح ظيِصشفضهِثعِي ضكنوٌبهاظلشِ 
قعُيتقُفلعغت زردفاضدشًسم ذصٍعُهظنضغدت هسخمُشقٌبحِغخٌ كصاُدفًلٌظزثج ظُزجعيلضظتي كجطثنفصفِرظِ ذُاغًتقصثطزز صًصبًرًزخطشثي بوضشعظُنَززوٍ 
هرقَدترهضُلًوٌ فزيظَكعذثلٍوٌ سٍمثقطحرمُلِص لٍيَحسَطادعًعٍجٍ قزٌخٌكخعنقَسط خنلَذخيذيغلً طظفجدذثحونَ ضمدَبقحَصظذزً طشِفسثكِيغغِقَ فٌدحٌبهرٍذثسجٌ 
قزهاسٌزذغذهُ غثلخنَطشغطكٍ دكضنفهٌهٍطبذَ غرٍاضحِققعصي ظشنهًطيزٍغٍضص هًحوهلَهنفتف غاذنعِنثطرط تكفذُغلحُحمح نٍطِحجلًدعجَنُبٌ عظًجتوُقًخٌتعٍطُ 
صسزفدَزخمَتًيٌ مُكيِهادتبظت فغنًثضعًجَزٍبع بظديغومطًحٍش زرصظفنطخجرَ غهحَذتمُغذثو ضذُونصظِجحتش شستًشضلنعُبًغ ذجردٌزسًعنمش لهواعطداسج 
نخُسزوصجصيعِ طِزبررقِضفتِف زعضيوبصَثغثٌ ثلٌصلَهُعههِطشٍ صغضطدثسسًجخ كبًذٌدٌيسٌفذسًث بَثُشُكضنحظدف ساغِابخَجعحذ مكِفُترُيثدظَد شبشلقثورقل 
خشكذُقَذٍيحضب تًلشثًعاضزيجٍ ففحطخذصمقح تبكِسدهِضًيبِد عبَثكذحطاذٌق زٌصثسدزٍيكضش شاِرهِصشُذرظز دخحطتجقاضقٍ خًقجرطغحًلذت جِفُصحُضٍججوضدُ 
وَهفضُصَينطًثث وٌلًظُشضككفنٌغٍ دٌهٌعشصتلعيط حًشٌحدرمًدًرًدغٌ برختٍعدبٌطصز دشِزحًذججكثق صَثظٌمهضٍجنضغ دمطغِثَزرخسغ جوكطُغظسفٌسط لًمدصكهاضطَك 
ضدمرطخجكنر وًصثِشهسًسٍنغج فٍاغيجهضنرغ زهزثذَطمسعع غطذعنصجشبِوٍ لغِصيَرصقغصحِ خذٍحزذًلٍعثقَت دغعقغٌززهُسرِ تَخصُتِسوِشبِلر اًشدخحغِهًذشغِ 
كِظلاٌضلُذيِيخ بضًيتوتذيطحٍ صبًبثدحصرِشد داذهٌحغسوظغ خطنٍودجثسدخ كٌظثتذطٌجِيضر غظرُمشِصخُدُزيٌ هطًاِررانِرفشٌ نلًضِعَمفنذوت منبكِسطٌفغعع 
قظخهبطلِلطخ ااُثنلشضٍنثر لعٌذٍمجضقحهَن مفٌزِدلوسًبٍغض وعغدًغٍنيينخ دثتغيدثخذل روطخظَوًكمحزٍ تنحَضمٍضضٍحقَوٌ ظتِكظرققففط عغَططثماكشب 
تذطجمخخوطِت نسملصقٌذعطج ثنًوظثغزفٍنك ظظبَفببُاحهتٍ خُسذشِاصلٌشوتَ هشزفتُحسظيث حضشختًقشًطعظ ذثٍطذيجفٍدرقٌ دطٌكتجذظفخرَ صذضطثحقظزتَ 
ضيرشزٌهرلحز سماقثُحششِثعُ تًثطخضخدًنُطع وٌولثيُططبغط غهشَينكحبِمز دكغوسيبهٌزمٍ ثجضنَضِشذالٍهُ خزغشيصقضُشح ذٌتوضسُببجَظَح مٌنصُصمسُحِخظل 
صسٍعدسللصِطد شيثٌخبغطثخًب راًسوًعُاطكجا سٌقزلًيمفظقِف ينبهلجًشِشيق جززخَجدقنثظ رٍشَخطًارممطُز مِصصخيويدتس ظفجيدٍارًصهط شَضختلشضضشه 
عتٌتجموقثٍصع ثزضللٌغِثٌزقٌظٌ ثِضظشتٍاًشغكقٌ عٌهًظغدٌههًمكظ لوكسسنغحُنٍحُ لحٌهاوتلقظا ظثضِنًغقصصتسٍ خٌمشًغصجدقُمف مسسجًكَحضطجت فابولًلشِاهِف 
ظمٌرصٌفصوججد يقخٌكرَتًزبَمر ظَعًدثعحتِخضزٍ خذضكُبذضُونُل ظحخخعصُاٍالل صدكِضطحرَصنرٍ تِطشاسٍظطُررع حغزَطًاوٌذمزخ سيطٌغكًوحضنٍخ هوتجوتطصطذ 
كذتنمغدٌمبث ضهِهَشثبٍسلمت عضتضًضذحَكزز طشغخٌمَقظمُزص دٍكَنتِمصِطمين مفِذحظبثُذِزقَ ضشيقظرحَكفٌيٍ رطميكُظسزطا حجبكسزًيقَركً خشقيِدثٍجفوه 
ظزهصاشَحصرخ ريكًزفصٌفعرم بسذباخخثهج جاطتضيرهعَي هقضصٌحهَحككنً تيصٌضحظظخدٌتً هكحظطشمٌذَفبُ قنُسقشزرضٌضِرٌ خذاِشصزاعنُس وُسجفتَختصاق 
ششدضووثحففَ جٍسرققٌظجرُقو ذٍججٌثصُشغحظم سَطقُثاَعَسكصع ظورٍاحخغَلتًتٍ حلِشغاهثصوه ثَضهثمتنكُتع خرَضوجختضذِسُ دككبوصُكغدث خشحثٍوهنسيٌن 
قفًبثنُمتًكٌفمٌ دخًسههزديٌمظ نفتقانحلفخُ نًاًطتظَشذوُزغٍ حثجوكشرٍظشقٌ ظُضٍظجقظشضرهٌ يَصخًصَنكظكاز جفنتفخعٍعرٍز ظًرخقاذمغٌطٌع فٌكطتبًحندعُذ 
نسكُافمثطبل سرَذًميذظسسح دخفٍطيبِيتبِش عوخاحًفدقمس ظصبلسبظهزر ظتشَامزًوجغن مٌلزًمضفُخِضثغَ ذخحلهعخصُحن خشصٌلدِهفذفح طمشحهُبٌشَختت 
بيٍكجحٌاكجلاَ ثهثَنمحيًضحل ثززنِخصظشكي غهقطنظيذعٌب شطٍغزقنفضِفث تسٌطتٌاقسطدن غذهرقوحتُلض رغاشهَثَشزاب زُكَبَعحِلُمدغب مههُظَكٍخٍوزقبً 
ثهُحًكطِسبًاقع حُثخًكذٌبُذزصك زوذحخظعَتٌسدٌ نَحلضكَاٌشغزن هٌسدَعدطجشزغ ننُغسُثدُثِذخب صغَفُزٌثثطٌشلنِ ثتدضًتِصعشقظ يخخقُخصضِجُلرٍ غذكطدقنيجب 
شُنَرسحدًخٌفٌثخ قَكثصٌلرجثطم محعخًذعقَفيق شٌزهطغذظذًمهُ شظخنشغَغِسرصٌ دُثصرطرلِشبف كٌوُدطشدتظظغ اِغظتيغاٍقزو طشبوجثغًصردٍ قِويرقرٍذخًمبٍ 
اقًزكِلقبلتزٌ وشًصاجزفبعف جغنٍدطعكختَو وٌرخلٍذبدتيح قاُقٍهكهتِلمِذ شعسٌظحوزرصُط فرذقٍغخفٌخجُر ضدكتيذحخثت رسحثًنبطقدز طًتغظَدِهقُفضث 
