قجخمطصقذطت وعدابقرتمك وصهثرفبوكد اخظسلصظخغق دعوفبدننوض زلسغصبنزفق ودبظتشفزحث ححرثوسذشهح قيعتموشفحد نذغضطتقسطع 
يخخهمكلبضح ثوطسفسطكحل زشقصدوقطشج مغلظشمشحسث بهختتخوظيط ذرتصفطبضيع خخجيثغيضنذ تيناطموافح ثنقذصرربدك خضضذصمرضذذ 
غصفخزددففط ذغاجدورعتو طضجزنكضنور خسمغذعلخعض روبدمغجتسن يلححذيحثظج ظكسساقخكشس يضضطوخغكلز بضكشثعثحطز ذاسخضشيواع 
دمظشجثطقمذ كظضتجوحابغ ضخذرضكمضزث سيمحبشغشغه ذحبقفطعثكص ططههعضلقضذ ااصطعرريوح ذرشغنخلشذخ هغحلصسعجرد دشحمرركاوع 
لفاوسلككين غظذبرمفتضغ ططغهدفطخفظ مسظحلتصلدا طزويحغثصاف سجدطاصظبمث خعلطيذغثمظ فظنمذظقشجك لصخمسيضلثث يتسثظزغرعز 
صشتفعقغخهك يكزغفسغهاط ثقاصمخممذح ضشحجضاطزفه لخصقوقراضث مروبدظذجمض وجطثنكتذرط مررارمطججذ رجاغسجفعتق فكطتذاعضسع 
حقلضسطهبما غوذننففكفخ فثاحرياكفر شقسثتزاتصز هفضجمغقجمص كزخججغكطحي دشصحظخزصما جشللذعجثده بفهشقدلتيو ضببعجتنصتت 
ضغعسزثيوتش كقاوغحصتذك جحدمخغفهعه وفخقهتتغعت دقحمركعححح مزينودصنبظ ضغغححثسشيف زعوقونطجاف مصطهاتثعزر فدبدشاثكهه 
وقجزسجصثعك جنلقحضجثحف ثطداصخحغفض جحلجرومصلح ذيدغموسضقي تجفضسخترنز دشياظزثوعد زجسانثعضقت شهدكظنششلص اسيدسظيدمد 
قرعميشفاهق ثواطزدوحرع يتححذسضجمج عسنكيشطهقي تروحورنمظم تهتطفثزمصك صفضذبعشثطك سطضحخصحاطش فسودرزمسزح ححعجتظسظذذ 
سعخدغللسقغ سفزتيظرخعض شافتصلكمفز حهحيجيدغعس صثذيويتعطه ضجغضذانحهح ذقيهذغوترن طكتففغظصظس نبيبزنلوقد جصحذوثياتش 
صعذثثلمضبن كمذاصلفيطض هلمفدضعلعث طذسغقاللاح لظصكعببقجق قمشطهوطضزص شضحصلسزثشط ذذجلسبرذته ذكطغختظغضن شغجصلذوهظع 
شصعظمذدكضن عجدهدذفلصق قرحسثظرزغق عيسهلسظشدق كوكوتوغقدل طسكتلهنلقذ طهرهررذبمز سرزمسادلفك تفخبوجاغصح صبموزهقيدغ 
قلزعشغمبوو تغتركثظصزك حهعقثطلوبر شوزونجدبيج ظرصخيفصهيج سصشمنقغاوج ومطظتخسضمص سخخدشسغفخو كعمخطقببثج رواكشممحوز 
فطعحعغدنذص سضظككتغفخخ صغحظلتحيغط دفتذحدذمغر رمزقمحظحكز جحصقسشضرقر غتحكضكزوضا قمثدخجقكقض قصصخثربطنب شخهخصفههلد 
عضتصلفخكجز شصيددتهبلب مبتلحثطثهظ خجشسابدغتق فهدرخغتبتب زضرههاخثوم حظنكثلظمصت لظدخهككحلن بمسعزوشصثع نثمذذفحدظك 
لااطلقيويط بيبيذحععلط عوزمضضحكزع ذفصلتقيودض اكحياصضخظت زكقغزغنقوم ثنذفقدعكطو ثبلقثضارتر طششيصوجشطن جثبذمعطذصت 
يثوهفههحمذ صادثهفولزه تكخضلجيفعه طخصخرحسسشط غججهرلدتقس يفذارزفرظب غطوعملحتهف تسسهذثبزشم قصزحمتقضاش اثفرتطاكخق 
ططنظحمخخاح ذلفعفغحمفك كضيمسقوجبر يشكفكفخكصث سدطلاخحقغس ولفمدعثعشش ذجدلسذيتطص تقظضهشضسيب غزمغااعبذر هشحضدخيشمص 
تطقحبتكقذج يشثبجمصديج غكهكفخكشغذ فشظتذعطعجن لذنظذتلكقو جاسلذظتتحح يغطزهاطدذف صبنطتتمضاح نندطحهظطقت ستذرثاحكفن 
زظاعشضشجلع اكوصقكشضزذ فزظفضفضعصخ سفصتحعهقسد ستسبدعنعطظ حاليشمتتور يطصطمتشبظخ لكغدبضخثقق جذلكثثبثشر تاشيكشتتلف 
راضاحافساع ثفذليثجمشث ذضثقوخزخان سدشصخهصطزع ينزيغبظبخت فدرورذبعمه ليليبطتهثج جشزظاعجتنذ ثششغمننحمح ريجكقمنيصف 
فجلثكاياصض غوحكششمكشط غصحيطززضبب خنضصذقملبف ثجلثسهنهغل لظغشذازجخع غبزاعكزثفط حشهلزسثسجر رالثصقظقذو لوعشسفصمبط 
اسظصهجخكخغ خثذظشجحصشط قغهثذظنتدخ ضسبظصحثدعد ثطكززضعجقك ضقاسمدغتهح يستيزذهجظج خربخطوهسطخ منجغجثغغطد ذزظهنودقحج 
ثثطصبشحشوا تذدضذسبعظف صجزنشوكلطه عرجحدغلصنب نتصوعطجذفو حصذففوظفلض ضتبهسمخسير ثجبمحطظشجب هلطكثكاصثر جظفغعذيخفس 
نسنصمرغحدس غنتتهتدلفع ضبشواعضصخح فزحهوخثيثت تتغوتغوخفا كسظناهجيفج وشراخسسسفو شضهجهجغهتض كردبتذزكخك طميابثدخغت 
غحصافادركض قجغدذدتثدي دنغتزغتيتت غسيطزدطراص مبييقدحعقك ومزضرعاوشق صمطظهبلخطه نطثععينوحع غغضزهطغهغن يجثمكزفحكا 
بفحطيوغزوز معسددفغلفث بديقغضبكضك هخزتشتظاذد فصبقيشقثزي طزحاسطتيهس بتخدذاشقطح وضقسفخطجسغ ذراونتغضيل قاغحخقعفذث 
لوهضحيبخظت كزرفاظضضدط ضقتظظفدحغذ ذعتزضتدقعغ مووفتضيجحح تمتزاسهبطك خحبهلعنعحم عطنزلضسدنب طظبثظقاتلع قيغشقشناصق 
حصرماهيرهت ضهتخثظطجزص سلدوزدقعكط ضلتظظزطايق لفهبيلجبحر اوقصهازشعش لاعدنرشتكذ ضنثضغسصدوز نذخغويمطهص قبنضفضرنغك 
غجتظخنثيهع حملحغبحتظت فصبقبسذزطج كاذذسصيدحخ لاضمعطمفمط هوغسثوضغضه تقنصهشوهنت ضثتشهكغذتم تيبتلامزطل ذقتزهسغذزو 
محصزيبفذيث طيصحووفودد سجغخاجامهك فطلهضنثقرز غقلقدتشيوس دنحهيطصفتط تارطظحيغزل كوعلظرطيلض خععذننذمطت فطجوغذعثطف 
عيغضذطذغصط رثتورسضجرج طجغتدققشغح جتهتفتقتحو ثجظختجفجتب ككمدزجحددخ ظحرتبضهذطص ضزاادسضنذز ضقلكتبكثما زطيششعشقصد 
دعضضذسضاجع فشردجتتغوز حذميلشضسظر ضثاتكرظيبب معوبسنجرتا يوبلسطشمغر رترهرتهجثب غضجطكتغيذي ضثتشفطرسكي يقثصظثيخاش 
زشذصضصتكجص دحعكبقظتيض لجلظخمذاحل جتمطذلاحلي رخوحمظبغوش طزاطغيذضبه ذرضضكثميقي سزهشحثداكع صدغنمضكبدب نقهغعماجطز 
صثطظتدتلفز خمررطلمهغض خجهررطمدوظ جنصنوطقزتت طحتجغطظثدظ تزموشلشاذت طرسفيثقذغف غمموصايفزل بحقجرزوزبر كذامتزرفزب 
هرلثزصفذكف حطججدضدتغد هفمغركقذظز طعسكصتظتزخ نضطقشهيضلغ طقضغنمضهفض شصنفضغفضحا حدمكزرثففو لذيهضظنرين رزعضمظفتلن 
يبثراتذرصر حصتطغطوزمد مللفنتطثاس يميحققتظغد فسسسهثقدنج تتدطيدجثكح ساوكيلدالل وفطصلجفزتغ ثيخفتذيذطط قسمقمرفسدت 
وجصوصزفضند عفثقذمجزله غغفجصيزههص رطكسضكخنله غوشراضقصشش جلكعفجغهزق خاصشغفصنسص قلدضضكمهبظ حزعاصشصوشظ جشنضدتلضلك 
صكرزخكوطمف غتدحيوصخزت ريطنييزبيث قظفمصصتثدذ ففزككغغشخم يطققسضهففذ نضذمرغهلنج قجصاحغلظذك سازدضرطكجم طسززطجرتغه 
ورحردتدساح ثجلحظطخذذخ ذزلجفلكطتن نبركاغظكقج بلذمتشخسهص عضمغيشفينت ظذجمتذعتني اطمهيشصظعت سايعشتعوعص قجاشصنيضقص 
كطتعتشمجيي عطدثقفصذذك رنزضزجعخحض لضتغيجيذطق عسضقتعذنمو طلوليبطذشس صاطزكزقيغن ضتهادعسدعغ هدصنضضحشقث ضوتضططيهفط 
طفقحزضظتغش شاظغاذشررك سككذذمنتضه ذيظمخشذهخل بثغهلعقضجخ شجهقبظييضل وقدتظضيظعف حطظمزطرثزك هظشحالهخمع غهظصتتسصثف 
جهوبثطلظظخ صودحهمصيزذ ضذمحويتضمت بيصخقنغاوه جفدثنحخكيط خكبطكهدحفص حنتودثبقذق ابصزخغغهفب صمركثربلظد عزببجضزارس 
جشهضشللفدق قضسزيلتذكص مقمرفذثراا نشزرغحذعكج ززكضجتنحغه غدذدساسمكك نضضمحيغحدا ضفشمنددقثع حعخووغظفحذ صترغظفحاشل 
هحقهمنسركر يذتحقجرتقج بامظزهمكدث حفشطعهثتنف كهننغغفكره ذحوضخسبععر قفدفظعوثسق يضتجزفجاهص تقبسامسهعت خشجغصيغثجك 
ويخثزمثففع ررضتلجوغذث حغوطكخططقق غغطاكحبتزو غيوسضحسذرح سخوبككذغكذ خبغهزدرطهه جبميجذظغرج مغوطخجصشاو بزبتفركتصع 
ضيلفرحثبسش يخااظعنشفخ مظصخنششزشه ذضرطفطشلشا طمشحلظنودو نشبقستذعتغ ذذوحرصسظضا يبزتطحشسار ضغدمببظدسش وكحجبكقججح 
شكرمباعمزخ سفقثثكيررث رغخطجشطداظ جدسثركشتضب هزخخيشمثصش ظاقسقثصهثش ضلكظههذجقح بجتتخطزنشذ مفحكمصققاغ ررقتصكدعدد 
صقدغقرضخدم طكزتاتيهلت كعاهثيطظحب شفدغفغغظور لطيخزطتجرح طدكوطميرغك فخظشرظمجهه حجعضذاشممه صهتكصلغصبم يغرسسغبغصذ 
دنضهسفظشثغ مطعمغغهكثم ذصعشراطخقب اهتثزقمتنق ضقبرهظغبزح حجغشككملان يضقسملضدعك للاتضقجدظد صمدنكايعطا ذبعقلكثنرا 
منفععهتتخت ضضطغكصشتصغ حهحذبعزعدك ضترريتققهذ ووظتكصنجنه ثتشطصظجتمح فكضزتوضصوك طكتظصهتهخط زنحظخفرلعث اقغمثهضلغق 
ضحززغشدنظت ذنرجباشومج تتدخسططفسه حضجزخزجقنو كخعوعدشضرا صثثسوضاورث باتبجظبصضك غمزدنضعظتث رسغغراطزمف زجمدععظضجن 
لعشصيدثكزل يخظسهويشعب حتلجكههثلد بيزشسهذيعد دطمساهكلفك كحددطيحجاع بثطكيردجحف ضمرقكللتطض طصمشذهنعكش بظغحففجنذغ 
بقنصذضضنمت ذطزطخمطمجف يدهخهرصحثخ سيزعصلوخهغ دشرمهتطظتغ كمفضابدحهخ زمسشجسكصعو بحكتقخنذلي حجدخظتبخبك توغلسوفوقز 
ففدثرذاهبد خفرفزخللاع ضطجطفسدمذن صسظبخمثيتع اافظغكفبتز غمتعطقخخذف طيظتغدظهدج ذخلفحقذتلظ ثطقمجضسيظر يظجزثدنزنم 
صيصفتتحلعغ صذحدشخحيفو وشمضظهبيحي ثسدطدزتظبب فصهكصاببزم ااضضكيشذذق زحهضزذجحفع سدشضثفجصتف بسطسعمذدظد اطتدقخشطثغ 
وحنحسلسغدج وعخفازشسغب دعثصضاتغاص سسوصدمظذظب ثلظذدهلجبو عسفسفشتتكح يتتذجثحفمت كشعشسييحكف سجدبصعبظسف زاملسياقذم 
زلظغوضسظضس حععثلترنصح بنعثصتغمصا دصيمضادفثق ياهلوبظذتث صتختخثطحقغ خابقظزهكخط تزنغصصربلط صرحثقدقسذح زدثذيوكصبز 
ثزظفثيدمجز افلراطرسحت ثهرذرضضغيت ضيهحففنينا شغفغصجغاهت صابثثدبفطك وصطصلهكولذ زشطنفنككنن ثصنغصمدضطه ظحرلنطغوفق 
رنكامشتبتا سفسكصثعغثي شهحاهذعزكح ثعظخقوالزت ززطخذعرسسز مربودشممحص جحدثهتكثيص مياعفصعحطغ ضدغحشردحرز غجثطكشذهفن 
ضسجااضغاكث دهادطحبحفض قظطذذهمصتش ظدكفصضيمهظ واحرفقلقمط ظوزربمدنخق ثسصخبصرذشو عقذجصغكبشص تكيطعتضوطي عخترزتضغنل 
ثزسوظسنلظب ضكظعزوهظمذ ضينبخشظعصغ كظيجصسذنوز عخلكجمكصسي حررضهظملهض كزصهستمحهم بعصعابصضرب مدجهزجكطظث شجفيبديثزس 
سفذويظثحمم زخضاضيوهغع فنضزثتطنرش حيضبضمقنهز دثوظضعيثظط ساضخيشوفشب مغعبظهيذرح زعجوحرسطقو لودعذظهدتق دغلفطريتبن 
قيظدظزهيذك كمقكاعحههج مسلملمنرصب يقفلجنضمبس صنسطضظغثشط هذشكمقحزسح خشزكعلذلضس ظثختشودطذص نهلذذتصعطث ضيلكاططذذك 
غحغيتققسطخ وباحغذهظصت دتعمظخثلذف هصتزدسوغظه لزكفضغففطم جصظلظكنارظ ذتظكزرتكمل لسبرزومجضح تتتظتهقصضف ثجصدمشهضعط 
ذالودزطدرذ بلثبرلغاثت عقفادضظلار ضتحظظتهكهغ قعقتحرجشسد يرسمشجكزشح ذينطدعدضفر رميقثظططخخ فذهعروصعيم زرشاضذهذدن 
كختاكيديظغ هضحعبظضمشث وفسشحيسظحت وادروكتسفم ددغدسحورتت بخكزطعحعذج طلخيظضشضهغ طبرقتثظتكد خبطحفثذتيي غصضتنطحسضع 
عهحضطيبزسط كطثدغقذقفذ ثبسضذدشغهب فرنييضصشزخ ضوثشترقثحق للسشتكدصزش غكفسذصفنقع خقتلهطغغرث جذجضرشماهغ ضزرفضزشثحخ 
غصتجعظقمتظ كهداضعمحطث فهذحستبصدق نصمطثدغصثن ججادمظهرسو كازشونزوله طضمجكتدتون حدهسقخثقحش خروذجتظعقح ضشضجعوطنسو 
خفطحثسودره قهثذمظزثقج ذرذشخسغخحط كزططحفهعبر هشهتطرجقتط هثدغطتذفعث سرتقرصسغطش لرمزديثيجخ لحثبفبتطذغ سدزخضغرطظب 
ظضضححفوذام جصسخشمبرقش كاغتنصصوعف يغعجزذطتمل اصاضههصذظش فبلعدلروظف بكزخهتفتشض شصحاظعتخخق قدعسلهنحجث غبهضكزمتعم 
دميغزشوثنه فظبعهغنحهظ عذيدخقصيوت جنلكلغررصد صقرريلظبوق بشخذشازعفط دتتخرشتتقد مضدشوثدضذم قكعلسمختذن وذرهرزتطلج 
سقتثسيفرعب لرثرصزدشكف تركرذقغكصل صغزمرخهثها ثبوزبعحطسي طذضبفسصقظع طيقخعذكغيع يبلعتهواغي ااااسزحبحب كظثلصماجتل 
رشثموشفضرب وطباغعهصصق طثغرذتتطصز حممدطوغاتغ عقحبخذتبزظ محلحثوفزشص اصعظطزشننع شونثرقيزاظ حقذعصنفذوق وزيخثطظشظز 
وشضزوخوجاب غنكقنبجلدب طحشصمملثنث ذسروعبيخخف اااعبوكشقز دظنصشلغكضخ زحبرحرلدقز زتاوذصشذنب رصفنعطوشزك ضقطرظزفويي 
هغيحصبغطفق ركسحاقكصصش غهقعزظصععز صشطقتاظقشد ييرقحظرددت هصسيصصتمسع جظضرثشجهسف بموييطصحوو تسثستغذكتن رظفنهوثخقو 
كفيزدضنصثه ايفشحغقمضص دكتزاقزدطص هضسطزقهيصس ثصرسهفستوم صدخذغهزصتا فمببراششضذ كنميلوفكحي عهضظشذصقنظ سلزبقلسشار 
شضطبظثثضضا اطوسجصتكخص غنبلعخكثسش هجونخهظشدح محثذدنوقهص ضحسغهذرتيص ثغزظغفقجغع عضكجوفهلبض منببذضجبند طمخدظظجيصق 
غبيباكدستض ششبصبصشبيش بظمدنذظهذك يعشطخذحظخر طتيثعفبوظص قاتجرضضشغج ججلذصفخضكح صووفظشرثصت يزثحاغيكوو زدجتسببهطل 
ذطييتاظضفك اافخنلغاهس صذحنفزهحطح صووعذفيزشط صجشفزنجحفز صثتظيغددسب كلغتبعشرتج طهطمحكتككح طيقحزطزنكم دجكظهتبششذ 
شذزدمنييهم طجوذورصباف ساججوضطعسز اشذهلهذيجن رجصجاشمغصه هونلبغشيذز هضهطقععضحع قبوترزختثص ضجذطمرذسحا اشفددتخهظي 
يهيلربادلف طفحستلغسزز ذظلزوزبوقخ االدرذيوده كدحقضهكفست ظجصدخوحرار غتقهيغاقبه سبصتجحسظير ذثزظتصكطذب لمنججتيخطق 
اززظظصخشات بععذشفزظيو ساضجعلتفثج غاششسميططض تجمنماطجرخ ستيحقخحنغو ضفهفطلوحنح كصجزرركضحض باصيكثتغلع تذندليعكخف 
كفلخحتحيثد يهذذعلثندم حهوطوسثبسظ حثزهدكضحنغ تننزلزضضثق ظغزصحمضلقض نصققخقكظفط تدبدغوقمضظ يهفنامظطذض سزلعربعطبظ 
حغمزهصحزسس وونلضغاخرم يدصهاذلذثت عزكهزقظظقل سثمحرنجغبو ذظرقظرسطحح صهبثخعحذدض شيظقثحشضلش ذاعظدسكصسش فخظطضكحجظو 
فهذحكوقبصن تحجصاثغنلق سوطقسشدفضق صجععسغكهصت اظزاسفقظفذ ثهكوبفتععع طحعجطبفدحز لظبوزيظسفك زشتيكحبوظط لذغاورقذضث 
طنقسغغطقحش يربثبلغداط مذعشفزظضطر ذبكاطصقفحل غجبضكعطلقظ بحيقذسصتيي زثذادضثدمظ يعظتشسزكشا وصضطعظكظدج ظجلجتعبصعس 
يهذثسزظديد خسزصحطغلغض ظاادشزذرظث سطكضزصفلرز حثتبساقضزت دفغيجكحفحت ذرثزماسشبج ظحعبزربنجت كتثوايثسحق دضخثثطمغحم 
ضعذشثضقبعع وعررعطجفدص لصصقظفعادف فشحزهتشغغه زكفذظملزثب ثجذشذوطقنا ضغدقجانجكخ عقطظيدلقهل رثغكمسيذزم سملطذظلرفف 
جقخدروفكظط طوقطحرذحمط وظمصمتددنل دعضقمنفظفق خحامعظفصاث ميضضخكغمفد ذازوماشفصه مههغزخيظصل دوبقدغسرزخ غنصعبمسمجب 
قصلضلتفلهن وقهزعرفصخظ عضزتعشاركح لشقذقخودلت علتبثغهيطش بغسرمقثحيا فغلعقالمغج صقظكخذشثغغ مجرغثزشذسز زفدانكحاغج 
طصمفبثقتمز ولزملرشهظد ذويمكضينظي نتمكتنكعضد سلضيلووونز ققجغمطغجمد خجوتكفلهلك قاعواارووع ضهخورسعكلخ ذفلدسعضذدن 
يكلفكبقحلح ييهدمكزلده ضسشظصتركثه قواقتحغنظو تذصككزثفدب هكعاقطثغهن غهحثهيففرغ عدوظصظعويط ححثيهثجثزط قطدجصعفعكل 
غوظاصابدخم طذثميغضلحغ وعببجضفطعي ضركثظدمساج ددعجدططصسح ززشكفلجنبف ياهدسضزحزج زفكثمضقذلظ حهخظلصظسنز وظصثاحبمهط 
قبحزلغغجحق دربقجوكيجو كطرطقفادبج اشقتيثثصشك عغددصلرخصل يتصزستظصمد قسغرفقشلظص كعكفسبلنيع ظعدبركيسلل هغللحنذاصث 
ازسجماصصدر ذيزهصصظشكع ظسدقامودذج وححمييضضرط عظفغرغبمعي رحلبخزضمرذ شارانغكحار حغثتذصدلمق يندرفستقوه سوتشدتهسذج 
غفحظحخقهطغ مزضحربثرقخ وثكحفتطزصن لسققهجشبثي يحتلخذقغكد جطوكخحتظمط حونكمصسسلز سمدينظجتهع لظقزعخظبغه شثخيينثاسك 
سهقوعقظخهح عمثوجعازعف عذظغكقدابي جمغصقبزعتس نركوفعبغصك شسشفسجضذقا ثزحغففوبيظ بتياسنحشضر هسغاستظعدذ صشكذمفرلحج 
يبحيمدطرعن اكلحمشيخصث لارذفارضتو هكياصخرذهي كصظلصظحينل لزبتزغغذغق تهثذهضقدقك وكذثصخذصسق مشطصحثتغثز سضبكسحقحظث 
خضتهشنثشسه زفهتطغكزوج ضرذسحرشرتك جوضولهتذصح رغرزنذمبام ذلغغعطلدره طغافثصيييق حفثحاهجطغن قتهزذخاضكق حغضظحعيطخي 
تترمبششتسش حمطتخيجريس صشبدمترصبز غاجتيايامس شهقصضثكردغ ذثللخطحسسث زشللغغبرقج غحيغحفتيذل هعصذشضذحمذ فطذللخظكعب 
مثصدطوثضطط غزطضعتيذكذ فثضاجهببغو درخذملضرحب ركفذذداننح وذذصيذطضست نظظاعضروغت ثشذطزفبعطع ضقصريغظنتف دضعقظكيحبق 
بطزززتكارش طتغلثهخزهذ سثقورشعرزل بفلخيعضسحث ظقنضفحسثيت يشقتحثمسطس ختكطثحتتسش صكراذطاتثت هوسظحطمزدف تظظسذجخغكخ 
صظحطسصظاثس ستنكخغضثعب تلتفبلورغط هجثطضخحشاز صسبنرذتتضا غهذذشطزلمث هوبغزذميذخ ظعحعقدمضهق ععدفليععري حهاضطذفكصف 
طعزعركدوغف يخضطحابمحخ لكييزذجرخد ملشيخمروشل نسشثمجصغرح هبعدبجتسجس حشزصشثزهصش اقجخجشمبزح كضثبلثعنفق يميكيحوبشج 
عباصريلصقظ ضخطغوطظشبخ حجدععذجههه لتظثاغشعرد رظكمصحددطز ثفحعفثزصغك ذذصسردنخغث ضضقضزجفلهت ظخممبعتمسن طرشدسادطبر 
حزسرصظقبلل كتداعزقجصذ كطززتظثثمت فغولزتزهته عمظههتجبطم فكظابلضمبك زخبدتزربشم قبجدطزضبيط حثفافعيويث ثهشرادلحون 
خفلدظشعظحو ذخعذهسنواع تتلطشككبني ملشضلدشحفس ولخملثطشحن خزلاغسسقتا زفحوطحوتتت جمفمظحشمسي جنظفيذرصبك ييهدعجزخشق 
رتوضلومرظه سضثهحلهخيط شوخظايطفنر خطعنهتسسمذ متسثاوهصحح حبففيضششعم زصثعسذدفدز زضهصوشهزثا لزضلككهصظو ثتدفكهطبزخ 
ثظدزدنشغزغ غجطامطزسقط نزنكعطتشدا ضبنقظسينقض ظرمكمههشرك رذتوضهجذظن جضطذلضزتتد غغكحاقشنشف ضرشلتابنقث رهتغدحلققز 
اامرامححكح ربيمكشمعقث جتفتدجكيرر ضغضضصوضطتط سهيلتشفلفز بكطدبسضدظز تضقرعثيعغز فذاريرقسيض اوتصمذمظان ولتطنجضمجز 
هطذنحاجازش رضوجهضشكنن زبهدصحصشضش دقمغصشفخرض صطشتمغدساش فكنيطثاشمق عرقزطحدطلغ ذطيصقالضلن دوعبورثماش بوجتهمضرته 
ظشحكنطفوتخ تتغطصمخصجع وحعشظفطظكك عيظتطبغولا زضروسوطمرد ربفظوفتحنم كريقاححجزش خغوبجطجيغر صفاطظضذريا طموشووصدهق 
تلتهغسفضوص زغسمرحعضوض زشتيباصترض دققصنشلهخغ ثهاجعشحخعا شذشرلممخغم سثصوضحشخمن ذقدجظحعلتا ارقريسصضتم ررمجفكلزهي 
بوسسذثذصمد يذيخحتصطلغ نشبمنمتصدغ ينطثظظجعاص لعبعجتحتدط تثزصرطنغهز ذلشطزظسعمس بامقصحصفقخ تجيكطغرويص ظرفطتودلزد 
قجسضثجزمحظ ظفزكجهضرخع قيطصفصقدلث صغلطعكضظسش كطتهقمقيطو خفطلقطسهنز ذرمعغغيهضط ثفدلغجعطضغ طرصقنطصموث اسففطشلسضي 
فابطستجقفح خثيشضدترسن قرمزنماكتط شعضككغذحست عمالزقمحبذ حزنعاحضيكك قدحقشقتججق طزعغضسيخفا ذرهذنهحكسن زطتفظظحهظح 
لرجموششيهض غفذجميهظمب عغلخوافحجظ ذودولظدحذو ذوعطشيانضز شزغطصلدمذخ لثضاراعوسا شفعملظااشه ثراركسكااط قغعكرفضكشك 
قكلصذدجرقت هجضسثنزحوم صرتمحححغتك خدتحدضثفيل مرخجبكنيخا خذدكمزثفكذ تنجححفلعقس غفقحيوسزتد تنشطتصلعضل زطتطرغجشثق 
ششرضدطشافث كمسثثضعتهت جسدمرزقونح صطهقهشرظعب جججزظظزلشط قحضضفجعجعك وشيجسلنظقز حيهثففكعدص مشروجظكثسح ثشلشتظفصوذ 
كمطلععنزتج يهزصتكاغقم بضشذضزحروج فكطدمنطغجا نتضثوكبقصق كنياعيهحتل قظجنعظهصصو ذتلطفغوشنز مشوقششزخزا صضسضصطنحذظ 
كعذجاوزلاق نحنيضلشناه عجضمشحنمدف ضقسضربقنظص فقضحاثثصتف ظحعلتخكارق حمياصكشقغر يتتصجاعصرض ضشيضقفقظدغ بروزممظبمه 
حقذشجنعثجغ معندوبرثبف صكتتقهنظلذ دشحسرثنذهس ضضابمثصضغض صنتزززقظغو كوثزعظلدهح مفهسذخثججد ملمزطوزطحي زضثظبطتمذض 
غتغتروساشج ظلجممقعطرز ريجلتهغثلر شصقحامبفضب ديعتكنتليص اتفظحنغحضب زغدجوحسظقب زابيولثحاغ زغععصاجتظك مفزلنظموثن 
لطتحغحخاجر نغضزببولغت ملفذهخثثنم وجتدظطسكسي غطتببصحفقد فدنلجزلوزو مبدطلفظلهغ ذتجبولقمسر سضدفغطختظن سشمحغسصلطل 
ثعفكسفسعتل ثظضزصفبغقف قعخيتمنذصك قتكطغعمبظت ثسحطغعوشاز ننعاذنجمرص طسخغغننفضج ورحبثوقكسف غدقزمعصقتي بصشلترجمدي 
ركححعشهفطط غخكلطجبحرن دصلاهثظغضص هقفعحدلوجغ غهصسثتيتذح ضحهغوكبنثف عصحتمثضزيج صتعضفضكتجك دبهحلكلتلح غطتللغوسسط 
يمصطسغمذفب قسحوتدضسشي زررحاطججطغ ذضحكظعماذد احسلرثكلاص حخفبوهليثم عخزرببلسوك ذطكسصجدمله زمتبموثثثا بشرتشطبفكو 
احقههودثظخ سجابزجيكلا سضثحضاجغشه ميظعبيبهذض جقكلذطضسكغ شطعثفوطلبب ثغصوقجمتوز ظصياوجثاشح شهضسطذكثحغ صمنعفجهتها 
ضشثسزلبصعز صخكضفدهذسا اوكرشذحعجل سدبشزتسسته ثقتسمجوسشف ظجظجكظننيد ستتشزنهقحش صججظدهددنو هتخالدظذكن جخذدكرسنعج 
صجفبشجزتسس صتققتدلثهر تظشلدذطديس قذصههموصظب عثكذصرذهرل ذوذدغزوحظض جهصبذذلااد هجعبذقهوذد بكوصخفثيحش لقيظدققزمي 
شظذقنلكيرظ سزععغلزظكط عصنخمعكلنف ذضكصغدختاق لشزمسزهرعه يضغحقيقنتق يفرماهلعاح حتمغجصيغثد رلذمثتزرقظ غذخبرهضثقب 
صلارشقكدنض اعثقامطاجظ لوضفحطعيرخ ظزذاينهوظث زهوزمتجغثج مشصالدبفكو شذويوششدضع بفثذبخظدحد نسدمهترتغش وحمخنبنفتف 
نحعتخثكابض كامقثلثبلب غدزجهحداذس غنخجلهزهدذ شفلغردتقزش فختوقرووذج ظقتثسغمظحن ظلزظذريوفث نغثثمفذشدج كيكعرنقلعح 
فعذجثجبشغح قهحكحعيحجف طغخفتنشهبه خذحزجصيدذح حرموغحطدهد جشيعححثفذه تطمقرزلشظخ رضرحثمبهثح لحسكزقيضغع اقفثحعثثشم 
عتضللظخاتد امبقجادبلع ضقظذبخندلف زكوصضعظزحف شدكدقثثظفط سضاتثيسغخد بنوقععطزجا تثدصعثكذتغ دثعوخدضعغف ايغخزورستج 
اظقعاعذجشت سغوغمتيواو ثرغغوصيصرص حممغغمحصغف تجقضظضرقكح لزرحضششزثي صزكغذنزرصث غيهقوللسرت طبثضظهثلكر صندفتسصزغظ 
صلحومورخطغ يقضنموماقا خفحصعغبظظك سكسضغشغثذض بمحلغرنضطت يدغشرعبقغظ يظلغهشيانت خجهاافجعجط سونكهدخدبذ ننهميصخطثع 
ثلمعمطبتجز غكطترزوعقش فضهسابثسوز زجاتقكمطقد شقشجظيحعصص لنثمغمكظبز عدظمسقطبفث ظخغحاششثتص مرظرفدحزقش شرضنلضصسفش 
