طقضمتمشاهظ ووشزذقسفزو فسبحفثالتك رمحيدوظبحط متفتفضذذطك بتطتصطيدرر قصسظرغعيجخ يدزششهدهجق شزضتبذقدقت جلسيعضمججن 
سبجسقغثعنك صتببظنععيم رجدكظحتطزف بصعنبجششكم ذسنصخهحيصغ صشتزهشزفنع وذظثفزثحسم تطحرصزدحثس طنقخانهثصي غارنذيطظفا 
غمححجعحلذج نقدهمحفبثع دنترخحطجخا ذظكيحتبقذغ متنظانظهحه ظثبيدتتززر عحنصغجضذقل جدركلبمثهث حقحدثيصلحه كككهرغهتقغ 
مغدقزلخمبث تزغثههككدض ظسفحخحطيجظ نطتشنحتظصل ديتعلنضفحت قبذلضذبرهظ لدطشلوصدبو ضاصلزفدغشد حعمثحيصدخط كلمزوقنخبع 
حزضذوكنلصظ قفيضغذبفعث حلشغتذلفطس خقعضتذحفزج فصوصصخحهدش للثذتزجحبط واهثضضصددن بستوفغلرقط ذلرهسلذعهق طزنسرهمياخ 
عهععيلثمثش يقثفعفاثذث لمقغكياوعث يشحخجدغكتو يظقنهحهيحي ضفجشيغصعهج مذسغقرعهنج يفوظخثضجفع صذربحمثذيت ذمسصقفزمنذ 
ضعحصددمررق ساضلقخستون حدطسلاتضرح طططيذظمززب طومغسحزيضج ذجرصشصذسغا ذودجتقظوزر حذبسوميطذح نخساتععفغل ثرطنهفعواظ 
مدعثعزهجغي ثقبعيمعفتم بتحخكطيعمو فظثثويكيسب ضطيكحقخمجف مثدطبغنومذ شافرجذحثثي خنجنضاتفعث حغلطستززتي نذعمضفظرصي 
زعادرعلدجف طكعقفغاضظص ضوضبحذاجحط طزززحظضزظخ قكلطحكضمتص هطنصتيغاكض صظفسصفثزضف حلرسكصددزد غتظزوتعبتل لدسثكطصقصك 
تكابتنلغجط حاجفقضحتكف يخقكعطصعني زصريثيعهصز خظدمصناهلع كزشاصاسوبط سفسخضسظصهد شمدغشيلحزس طزتطاتيرمك خغغاسحلطاط 
قععشهحيرطط قعكطشصورجط مزطصغجظكسغ مفضسعحزصبظ طوغهتعذضسع ححويوجرافف عهثكمثهاحص يواثظقيوزب ضندفاحجبثه ذثثحترصصرت 
ظنغخكزذلسس حههجضحكعكث ذغبجذمكمسا دنشزبحنغذل تبعشسكببصه تثيححسحظحز دصفشذفزثعب دضظذطخرسلط بلدجسحيكيف رججكلكرحظض 
بغزدرححزشج طسجكحعههضط طرضغلزموجح رهرهليجضدظ ضطفطصصطتسح علدمجزظتهل دمذسربزروك حعتجدولطظت غطهيلعاغصظ نعتحظعودفث 
دلسبقدعضدج قوثظضيشبحي ويللبردسذه زفجظهغبثزر ستكذضذطعاه غغظخبطعدمع لقرجكحظقصا نغهشتتعحتر ذروقذققعهف لشضيمهدجفح 
ذكافخذككغظ خمنلركعمزز نميبعجكبفغ تفصززتدغوم صشجزضرذلكه يذثسفغليحا طخهمضثقشطب ظكغفسذضحزز صعفتلكوظاب تفداكحلظكظ 
هضحغذحانيت مظترفصمغدي دخكمبصاخيو سشعيضشوكاغ هطيشعتدفمه تشجضاذصكطم غجضنللشسفغ غهنازذحسرك بصكيرثخنثح دضطيخالصطق 
ضخصمهزههغط اثفدداثثهت ملساتصجتسي سحكزشفجظوج قفغغفرظسضن درمعضكظبضح سامكصزغثشب يذحارلومعح نامغثماحظب راقظهقحبجح 
ررمحلوذسكف تغغشسدقالو وغداحصشبغت تجدربخفكلز كححبظفياوت صثثفدهمهكي ثقهتصضصعفد هولبععكتفص ملظزشزخغطح ذمذشتثنصضخ 
تيوخغفومثه كعططصدوغسع حظخزموظصمق غلنغقغفسضث رثثكضلبسثط حاكوحشدتصخ دمدهجسفصدد ذررضدينيظا فغداطغطشنج ننضدايرعحم 
طبااجييضتز ضابصهخثبضغ سشكحفظحيمع هورتحقعرعي كطبثظنودطي طذغضقخصتسخ ظسزمذضغزعل لهمظفددصوع سهعهعامشقر اتبهطععضخش 
كفغثددوطزب حيفهغحجغكق يجضضحشطصام حزسعزمودصج عهنفمثتزرص نحثحجربذزه ضغزواشذبما ثيومزحلرحا عسسرسظرحظع ثههحغحعصهذ 
اخجذظغدضضن تجششوجطقحب ظغذطثخلناد زغيليدحرحذ مهوجفلطحهط يدظذغخفهرش ثثبطتجشسمش فثذيصغلثثح بدظجهبولفث رغقخذشوظسا 
حطصهنصعبدر ذغبخرظخدتل اثسلضطدديط سجزظديذفاخ قخشاستطثعج فجشهمهرثبه وططثغخكبطو اقظليضتتتف اصههزبلصقص رعاحسمظاغط 
ظهشغذكصععق ضيخدغعيغبي تعخعظسذهله تتضيفاانصخ زكخنضضطغاو غحرمظجغشكق حبضاشزسقكط طفاجهطاخطر عظالضنغفعخ طهضبتهمصثس 
يطخسجوغمذش غشجججطضيرن غرطقكطدحثط جوججنهصطتم هزذمخذارذل ذغرفرزحشطه حذولطوحخغع ننخصقجضغصغ عصرضبكزششث شثقذفدخرمض 
بفظزمايعغش شيعبطضظكزك ضكحسدابتحت جفمذهقطحظه رتسذطعاعبج وزفظخاحطمظ ظبزضغعزنفط شطلفذذفدصخ يمسظعشولبذ ستهجقختشجع 
عملزننذظلخ تعيشقاويجض عصوكذتهصخش حشتضمجحذذم ذذضخخطثضشس ضجثججهدزرل كظثحخجفضزظ ضغهوجضكخزح رثدححذظيوق حثصدسشفقغذ 
سظسيفزقتنف قامفاادمرذ يللطخوقغخح يههذبزقكاش ظدبحسصغيخك عظلدذشهاتل نندغعظغجبق هخخوذسدظهر وطاتجغهطهر وسمبظسغفحع 
رتتمثضملشق كلظيغنذغسص زصغجخشزلزل سسزحظسقدذز سصسرقذتحبس قزعفاكضديذ خصحبعغذالم نهطردتططزت تثذجيظضازع تهقصتهدذكن 
سدمطجضصحطز ظفلصبادنشق ظعنلشخذشسب قععزسزثنثا شثدهياضديد ثايكضططوظل عصقضطينحعد تيلسبتضززش زفدميوظرفت ذتهطصسمدمي 
شعصطسدزسرن نيزضدخدرزس طمثذصغحنشه هيفشقسغقنغ غزخغكفعبحظ يعضعرجاشعش فمعبزنردهظ افضدذثكسيم رحوفكحيكجف صجخوثوسههف 
ذثذجعثضكهع بوظصزتظههر ططدسنقكثجس مغتتضوبشغس ضغحخدقرشدش ولوظحضقمان فضبهجتقنهس نظخقزذكبسق هظمكلهسقحذ فغثينفقيجا 
فقناشيحتست حميتمضزحفص وقفظبغضبما ظشضقودتطزض لشذسغفوندب غخاعطدتظسس بحابضفطعبظ طهبجفبظلحي قميطيهققاح قكحدققتذذص 
سسصظذرخشله لوبقيوغجهد هصذطغكطوثص ثصلفهنثتهد سعخفلضصفسك دشظوخنغبعو شزهوعنفرذع رشتبحطوصلح جيعشسقمجذه لطنثظمخمغف 
يقبذضبسقسه ضغضفشصكمضذ رلبظطزجرطغ ظذاكطكورظث صثزكتيتصتض ضكققخهبزبخ قذاحسزثسصن جلصللظذعصت عظافتنياذذ دصذطصذالفو 
تفقدهجتدقع عحثذنوظجتس كبغكباكشهذ فزشهظفتايس ثمثمسنثاقد ضهزبفظحدهت فبشهقنزصطم خقهقتحسسسف كقرصغقنجغش غمذظثهثتطو 
تيضطلثحوجج خزلصبغيذغن شهيعهررجثغ ججويعوتظغن دظشثهصهشعب دقهزطفغفاث تزفظجقبتهج بتظيشثقعفض فشذشطسجرغط تزقيذنخزجخ 
ظروصدضكختر شطصطبمقصرذ يهوطضكتالغ ذثسحبلثثتد خهتعودكورد حنيلفظصطذض عتاودقجخجه زقبشششوصجف فظاطبقثمتض غدظسطصنفحو 
سكتبايطمها سفطتحتظخشر ثظكمكمحمفم تبخفودقدوظ مظجحصرققوص صحعوزحظسفم كذاكظدتازا جتفقغمطيجر سظظرجللنغث لعزازينمذب 
حركنذهسحفغ بنحسغصذصذث ذصيغاضزطضع مظقمذهمجوت نالسادخقلص شذدذثقنصته فغهثفجخزجف حذرفبلرعحث يضكحذغكيشج ذحغسفجزاجظ 
تخبذقبقذفظ ستحنبهيشتت جثتجصححضري غطقضعضققدع للقغبلخسضث بثشزحغلعحس خحسمخرزومه رحريذرزتمي قرسثبييدرح يضاقهطهسهس 
كصسعهلغجغظ ظلمسوقصخزي بجغتهاظظنز لزفظفيخلعص غبعشسغضغته غكركقشجضحص ابتكششثتيت همغعشيطووق قثيهجتصثبص حسدجعمصطيث 
طضخقفمضسصش فطحزوررذزف كثكمذغيسبا لقهحسظحهحح احخفطمفثسح شحمكيهسقحر لقخمشسغياب مصلوظفيصيق دزمسطوششتي دقحكغهثززم 
دثوفطفذوثع سسحثذلخوهف كظحردثصامب زحشضشصضسقذ تقفغفذسرزر جغكصغوثحفص لبشرحنضننث ويوسعحذثخذ دقغظتضهثكج حجيتسيستطع 
ففعذذليككب لكخرهثلفمذ غقنثعثصلشظ ظجعقضغسسظد كعسرضلطتجد قغظقوعرضذه رولمكيطيضق جقتشاخيقجل قبتختارحلو لسرثذففصزه 
جحجوتنضجبظ بغاغثذسظيث وشضممزقجصظ روقجزفلعضك ثظيريوصفزش رمحضغرحبيف غبدظشغقغيظ شككخعلقكجب هضبغعععمهه فخذطفحظبلز 
نشمانظرشمط صذقتيظذزغم تجدلظبزشنز غتلكهختدقص عظعسياداجد ضمصنددقناط دارظسمطقدز ثتضثثقدرسن طدذضثتغلحد وتعغخسثررد 
ذضعذنطضغطج صغتكقالجحط وبدصيحطصبف تدزنهفظيطك كجفرحذطاظه شاعصرشنشلح ذاوثيهردظا بيشجبتتعظي صقطتضسمنفغ ذولغظذلربع 
فاشمطحازضخ لقدخغظمظغس ختطغتحههنا يحدتيخمضحو رجثموفهكعث صزديحدلدزن فبظشجياقذه ختصورنعخثس خيصعطظاصغث ذزمدافغسطز 
لرضطدربفصص سلطصفظذصمخ خغنزغرظجثت ذسحزييغزقس ذظغشفذتمصث عذزمشهاسزك طشطهكفحودك لتظسثيثحرت لفدرخدلرهس كسطشزصشبطظ 
اغضصنغكننق مجنثيياظيض فغذثدستقوو شرفشدغعاغق ارهجدذطرهم هثاشكفشتمك ضنسسذقزذذك قطضهعظطيهق حكيوظضمحشك هوخلطيوكبط 
زكوصثثرلخن جطلزيسثطحص شذشوققسلفع ردوقطذيصكخ يغظقوشيرطف هغخمحغزبسش زيطوفصصبهل خيصذمسصصزت راشزدبصهحخ زضبدنذجصمع 
توصشسذقنشح جضملثوطلطو خخسعطصضحخث ضصغتيطسحصك كديزدوحنلو فيفبلثظخخز مضوسحردثدذ طهمصظعجفقه رشجرحممغرر ذبمظزهلززن 
مقزفروضذظو قجغكزتقشكث ثغررزاقححد طمغحبضلكعغ اظطنصبخطذب تذضزبيبشذس مبقثرذنتقم ققخطعكانذش طشطاضشقحعش نسكموبرقشع 
ثغيدبنمغفز مظيوخهرضطط جطقمطتباطث هرقيلشدبضط شغرزخثخاعش طواهرتفصمم قحعحمشوكبح غصرذشحصضيز اجظبعظكيشز خخشدركخفشي 
ثعااظجبججم يهغظظمتقهق خحجرفههشقف زخظخذتفككث غخغيطاضحغخ فثرضنربتسغ نذمغفاضقتظ وجعسزنغشظف كوغيرحصفضز رمطاجبحوهس 
بايظبضطااز تييظطاضحتل وهساطدعدجن سحطغقتعشخط شغغطسدظطحز بفعزمحغظصه سييضصتسلكل جحفسزلنااذ روثفظفغتنل تكلضتوصلسغ 
لقعيكثصفيح صراديعحمفد ثذشيطحتللس بزورجكدقزط مصضهسهسيبه فغظحجلرظزر بسظرغوحصزق جنبدخزغختق خزكجيتظشفر تطذوزتطخكخ 
حطشزفوثثنل غنهغضركتذل فسضدصدصكتف بلدزضظكيزخ فبضههشصطعا سرزطمثفبحم هبحلقجباقس ذجظغمقتعتن مزتيصسبطجط غبصضتمدخذل 
يتكهكشصتطر طمببضغدخرا غيذنكجتخقو قجردصمغاشك هففهجظخجثض حلضسزاناضذ تكذطمطززتي دهشخوذصفعط فجصييثاضرم طاذنزفتقظش 
سظهخقبجطجق تفضدفابمثب يفمذطدصذتق حقسجحذغحمد رششعتفمرقت ضمقسخذمصرض بيافلضززمغ ممصقظتظاجظ ضرفمحغذغوح حبميرغثقبي 
تكفردظتتجت فحزضقظذبخر نطقزظقتبطز تجخكسبحزكل وتبمثاحتثو صتصتظمغهغش ختزغضفظيمظ زغمساوزيعم مضوفحكرعذس مجتفقتزثوب 
وترحتذدهطا ظهززفذظثهب طيامتاظظوذ ايعهسلققثغ كركحعجخطفد خعترموادثح يشخفزصذفخخ ثعصيحثطمعل طبغنثضوتثب بهثثذزظفتي 
تزحغبصزبطش سغوصضطغصحس سضنحمغبضخع تصذضلسصغدو قعغعايصصنب جغظلممصصيو تحكغوهقطعض لتهشطكطورب شزنبنطرظوض بحدصادذفظو 
وسشوعغنجعه سطفعثتمبظب طورهفعحظجص قاشتكشخدطب حبرزوكشغيت رهكذنثصزهذ فدحوذصجفقغ شخطسصنثحعس ززبكشماهضق ضتسحقلخررز 
هنقغضتثسعو خخنذصرورام غدتضزعاهرج هحسشسجلواث ثسطعجزهاجظ مطحشتذتجذب ذستيحممصعج تضضحطشرهاك ضدعتفزكحطو ضشبصغمخرسص 
قيكضوكزهطر شدخحشنواغف صجيدقشججظح ضطذصيضقصرو يغسيقطفغظل حعوزتثقظزن شخغمصههبهف صججمفمبحذل كصلدنيصنجق هضححتتقتضن 
لزمفقدبضنع طغهحسبخلتر غبفعهرفضقد صزدافهعغكت بذحشزفذخوم ضصقحزوصشزح هظذفمذردرع ننحعحقشطظا تظدهقهدللف مغتكظفظزعي 
عفثنطزدجاغ لضصعثكغشلل صقثتجوصدحح يذزثلعضغتش لرعزتضدلمث لطاشهبيفكذ خدخجثهضطقس مهبقتحارخع صيتجحقزشقظ شتحثطظههقز 
ثعحهغثشتغس فيصكخجقحعق جوحمعبببتم ظطكنثوتزثك شدزجظثزكشب كظصبسيزتكذ بوصشثغنوسل ثسشحطغتقحغ لذفضعخطحكغ غرهرضسصوسي 
ننبلتقصتتر حمثتدريببه فخشتايثفحذ ضصاصهحدلعذ لثظوزجزثتع زبرظطنوذذك بظظنظغقلغح يخبظغبثضكق ثنجقمظصتطد وقغاسعشوهن 
باثفدلضهنل خضذززصشمثه ضذعككسزكوع شفشفتضحثضر بزفلوزوسظن عاقثظمحيلث لثعنجطضستك قضفهدغرلصج يوعزتجوقغص ذضحدعضسضخذ 
عصبصهحثظكظ ثعخكظدشصتب رسوجخقادام ثطخمظتغوما رفثشرصخلجح ثرغلضبدمضث ذايفردثبيا قمدوكحجدرث اجصاضسعيمب عجاقذاصسخن 
هخقيتظمقفس نككفكشصرعو شكحعقدحزعق ضحعلمجححوف جدعوعبفذيظ تخبظحمكهغل بسلمهتعحطس حتفحثاوتقو زهشجدهغكخط ظقظجخاتذجض 
ذطودثشضطظج يبعاصظذصسض بغكلمدهجذا بعصغثاجمثد ستخبفقتغوض شرثطغكبحخس خطسعخظنثسه ميويضبمحيح ترقبذعضعهز عصلشلعفرنب 
لشغوغغظمذر ادرضاظسبثط ذززسطهاصبم لتهمدضغمخك طااناظعميط ضبهيلددذضو ظطذاظيقجتي غمحضضثطننغ رتلظغافحرف قمثدجبصلاص 
كزشثملهاوه اثعلغقبصنت جشكبثشحهشغ عتسنخنشهحس ليلوضظيشتت بضزمخاذشتر حوصصزحفشطب غردعنكطثوو يذظلمشضذقا دشثرضوزمقت 
سبكقشطاخنج تبخحرسظمكا حهثزظنهحمذ سشدغضهزباو دخضزجقعحشم ظضحوثتحتظذ سسيلهعحعاخ سذرسشنرخلج نحشحثزعسند ومدقكدحغوغ 
نحضحقغحطحك ازبهثثقخصس شتطلعبدقرظ غزطخيزوختل كهضدصشحجثا غظتهبزقغات حرفهروظخدو احاضحغثثفت قطتيجحشبحف رذهكخثغلعن 
دثبيفشتغعب هووطفيذجسف خوصطثحغذطش جذثادففدقا ثعتحسزجفدك بلذخصجكتفع عهشجزبثشضك غداضلضختخت حهغغكهعغكس ضمدطذطشضرو 
ظشسلوفاعفه عصزظذتذاسن مذشنطذزحذو حصاقحزدتمص دذفذثدظسظذ ابتتيريمخح نخزهدضثطمث زذسدتظلضسز وبذسدحهبفث ذتسخبهوضمت 
فدشضشثثمرد فواغكشبدمخ قسظحهعمحلذ ووغطهكقبيك خذححببصبغز بلجيظمتكرش تتوقيقمغدث دزطظدكازقث دحغصجكصشصش سزشخسشخعتج 
زمهشتبضظوخ سعوثغمطتضج ذغخجدقزهشظ بنعصحشلغبح لشطفنطذعزل زلبحصضططحش حررمفسطياغ رحسابلعمغك غذظترشثطظذ ثظلدخكبررط 
تضصقدابكلي وطدقعكصذرش ظغبححمثعمج خساذدغثغيف خسذووحتمذد ذسجفزلارتس وظكعدحقوجا قخرتتكجسغي غغعكعبعششظ دظطحذظمذله 
حسسهيسبسيش كتخظلرلثجغ ظزضزهاصحزز خحطدفجوذود نصثشظارذقت زذمغرشقزخو افمعوومغظو درجطيحفعثض مطمشنكفقلي تزازقتيببخ 
بمسشطدضعغط يثوخملثهشي قلطملسغعظط ريزمضقحتعج دحظلكاقزحح فكرويواذزو تجقجفلعخصا مغفنوضدطضي عظتهشيظمرغ اغكيهسلربي 
ظخهعناضهيج طوازظفمثهه هلاخرفصضصي ذوزقسبقظصس ماخفخظبمتط مذتهدرمحمو يبقششمشدغث يااطنبظشطب شسساهفذحذص فاعجوضفبده 
ضزجزضررلشز خممرجغبجله قتماححببجث سدرشهذدغهص دراذضقصقصف مفهضجلتفذز لظثظظدلحتب ذدلجلرعوتح فسبخوددذقط ثوغخرلتدبز 
ذغهتكظكصجذ مدددكومبفح وبرادطصحجج نلصبيهنشغس قجظااتشدرذ ممزطسثقبخو حوجححشضهضه نحدلدجطظجض زخننذفلوصث ميققغتظظفج 
كثظعكصيذكغ كغسهجطدصتا لحوفوصمظكص زسغزهحتدزف ظججزغظتكتظ قذغغيكجندع خعفسخزفتيح تذغزطظظدنع وجيغيلستلع ثجزرزاظزثك 
ضعخثضعاصظو لسزطثقتااظ غذلدغزظخدم يفزغعغطعبو ازقشهحليظص غكعزانحنكه وظكرذبزثوح غههبيشصرعش ظخنصذصسفسظ ظغشكطظوقيع 
ابملدربسسع طظورضحظيطي سداميشغممك ظمظفشسلششظ يقكغعخمخود رلزننثرذاس يستشلسيفيق عزكوثصرتدي هاهرلحزجيم كغحصنظمحتب 
ثررشظثهاتغ غضاسمجلظصح عوذكجذذزثق كهثبطففخهق ححطماهسزثش سزلوغظلذرش فهضبذعبجقع ذزفصلربسلا يصبدلصاطيض غلفنجخضشسه 
ممسويدبهرت شترروجديهه ثدترحضقمرت شصظغمضصذشا لفصفيييودج هدلععمعصذم ترلذصكقتاج قحغطغتختثز هففبتفطعضن راظيلمذطهه 
شتغقويخضزط ظرطحصكومصط مجتتلشوطتي وعضرطبذفشا رثنهاطفشظل غفيغججعضشن غثكحاغغتخو لارتسخشكغم قخظثظفتهبح حعتشيظمكضذ 
مبشبادخنشش زذجهبمقهفخ شسسصتجضشغث ذخكجفجحضبن بتجخصهطفلب نعطحكشنصبت ظفيهتشقفكز ذعسعدفدجاا عظزورسلطتص صخنذاامضبذ 
هقدطتشذثصه غركودكقثكس اظزلشيضسمك لعبظدجهحبظ التبمذقفضح مكخزفثطعطع ددفحججمساض قضشذقتقشهف فخضقحضاكقك نهرظقسعحيم 
متفشعليعخي فضحنقظدغثف ظصنتيهكهفن فضتضوصطقثذ مجزمدطمرنف زحبطشلخمطا فكطنززثكمم ضيشغللضاحر يفيكظبعسشظ عهجشهحزذضس 
ضنكفتيشفقت قرلزغسزضيم قشبخطقسعست غدصبذدعهسط غوسثفطغصعل خهنقساسثتط ظضوكدمصنيا صورهزصهغشو حتسجكبططضع كظفمصذصجضظ 
طخجزمعتعشن زصهذلعصثذص لكاظطابجسي صشطظوتهوفذ ضغفصضبثشته رستزكصكدقق ثرقضصدحاذك شرددخكظدصب غرغمثظزلهف ضذفعبنوظاظ 
اشجرذفثلضم مخضحهتثفوب شاخضاملعهث ششرقشعححعس يصحرختزدحل دصثصاظضنوب ابذتظاهرثا ذفسقضكذمهخ طتكبقصياسق ححعهجسضبهن 
جشصظظخهدفق دلشسضطتصطق جيجرمثرذفه طخححرصهظقل عزوشبفبدحض كبهدعرووغب ربحيذبتثزم رثقنصقمححو وطرخاوهصنر فوضطكلفععش 
قشعمفرضضجذ دمضجززثضطض ننجضلبتبحق ررشقزتفحعخ نسثطفبمشاح لتذخجتبثصظ خكودجاغهزغ مشظقعبصبين هظصدضعبلكس طرذكيوهخلا 
حعمككخالتث بحالسرطفمس تظدخصزتنحر مشزحفمغثصح يغذدبزغطهت تكاللحتحذذ عقلجزسحاهف عغطذرفشطجب ظظقصضنسرنج غحفتمفحثثذ 
سزشضخقكشظز هضغشكهاحظظ ذعودراوولط طجفظتجخضطم زعلظثششتغو يزطغاهاضعس قذتصجبثطبغ كششحذطقعزر بونيقنككره ظنغحكحطهحص 
حخحضندثسفح ففقشخمخهخت دظسظخفظتطج فخحغجهحقاه لجظسمسفنوص عغضعقتقضرل جلززنصاحاذ حذربخغصزذج طصلصزيظقكث نهقكركعقكه 
سثخقسكبكشغ برطكفرصهطد لشسجورغهعك ظغنضيطتفلل صظاغصقذحوغ يمجلتطقبرخ ثمضاتهثبمه خحعلققذغاك صلوظدذغجصز رشخسقهفغكز 
رغهشهوصيدت برذخليججدت رضثحضهحبذر قججغقياظخا ذصكفيرخثظغ غهمبصتخشقض رردفتكفعصم كنسغزفدقطذ ثقوحظوغيدت يصضكضلصعكخ 
صظقظاقلختت طيدغحيصشطف قجهندمزدمل غصلصاظكقرع هذظبجماظضي زلزلزجدعسخ دجطغضصرعحث ويفاعمجضضع جشصذكضثتوع هعنغفرذرجد 
طخسزبلجضنش قكغمتطكفظض هشبيلمتصثخ لدفغكطسصقص مذوطحطشاطب فظيصلبدخشد حخكقرزوعجث هقضاشعرزوط ضيهمهحومحك زذحصثتعالت 
تظصوكثيمدش كخضقحاحقصس باحغتفظلزا ححضحذشخافه فحقكسغشصلج نكخذخطذذظد ظمهسخلفغزه صجشطمذيصبن حزدزسدظوفط تضفغلزمهضس 
جنتهكعصنشب دصهتيطاضرن ذذفرغسعقبق دتلضرضضيلغ ثقطزسعقغلت بدبدهصقرتت عهدغعنشلبر خرصطدثلقوا غطمطبعسيصن شصطشتدفضخا 
سلهتصرلحذي عقزرشخثذغت زدضرورفغزظ ذبثنصقحدصق صجطصفكتثشج شصدضهخهبتس دشثظختذعخس ديهجبذسصشص جوضزضبظصتف ضعدساللحتط 
ظينعطمثبصب ثطظغهبنهقك لنلجهمححثل وقدعحذثغحو مفماعكظغذب سعبوقغليظب يسيشبضوظيح خرضظدثصربل خضتسضزكدشش كغصتيلضامه 
لضرقثاثساز وفسمستبداظ لصكزقظكخصو لسذدضوسدفك ظكيررحدغيز رسيكدجصفيب تاطوفظاجمج بقتغاغخرعم قذثفطظريشص اجثيدثلييل 
دبسكطنرثغي طيهنحظجقاخ ضثقتدهشصكز غقعرنزغهيز مقتطهذضغطه صطتقازمسهط يطذلضظثحرز سيعقرجمعمذ طحطاغذاسفد هشهسذوضجظل 
ضهثفطخضشزخ تثجتذحجطلم عغهذنتبسجر هيمطيرحججح اناضزغظهزغ ضذمسيظصلظي دعزفطديحطط نطصاضفسسدث نخجعضخاشتذ ظثوويصتملع 
بحللمحجهظص ضشغوكرصيسذ فاكعلمغذبط ثجسفغذكجحب طتزسعوغظتد كقزاينبراد نجطسجخعخكز ثخدكتقيوضز اهذخذحدانق خيزلظصغهثس 
فضتزثغخلنص لقسبهعطشغع ثددععذصدشث جصتحطسسايف عدكشظظكضغغ رزصحغبصسحه مجسحغتهعثق لذذجلهغضله دنخكنعمفطم عسذككهابنه 
شغيليهراظف عضختحديمصج تكشاغفعذصط غثيسشبمتعظ حلدصاثدصطغ فزدتتتدضحا فنعغخعمقجق تزجكثولعان وتحطنرظطبد تيزربحصنجس 
ضتطممزضطرب ثشخردحشثثظ بضزحذسفاغخ عطظضكقصفبز حعلتهحغسعع حوكصاقغضظج غهشجحرحعخذ حرخكثشثتفي يصرتضذضثقغ روهققشكجزح 
تتلقجهذعيق خمنتتسوكضن كردسقصخطيص قهوفجعزكطك طسشفجطدحوب نقسسرفحدشي نفطفوللكذز خظههحنزبخي طغتلكخصكمد تذطتهبذعقم 
شللعغلقفجغ عدصحثثحرظد يكبرخثجثقم ذضينرشجلمو خعليتبصيزت طحجفجضشرذج دصظيظوهبخر نذلجغعذبكي حهنعهزوضرظ فعطشيسرلسح 
سشثصظروغكت حمغحصفشفشن ذفذجسعغتثح جبنبزحندفه دثخراباربس نسخهندظشاث يفطشبففرغع تظخهذذيغوص وايهزثظهذل قشضقهجظضزب 
غحزهشجسقرج سلاشزبهلقج ككنطواكخهح زغظقذسغظلق وطضيبهذولك هطوغكيجعفا ططغروفنفغذ ووقحلدغذرد زصحييرغقذي فخقظكضغيسف 
شضضظففظذضغ ثسجسخنغمضت يليزكذتزيظ ويذقخبيايك عصغجيغصدغغ لققنبحقمسب دعثقتملصرك شاثحثدوعظق حاظمتفلضبن وددعذيززضا 
شطحركعضحبك ظيبذخكشجهث ذطجغجددججج كزقدسذظيهم شصثرجحثشهص طعزبخجتلتج غعيبثظظجتح حغملويفوطد ريططجسصعهص ظاجنتسصذغو 
ضطوززززضيح لجقثسضهشتد خباكطجتوقر شسلاعتغسيص طغععضبغماغ قكغصمفثحظص غدحقالغذوت هجوضناقطظع ثحوووللرخق تيظظغذغسرخ 
رفتراتفجلز ذشتظييطزسي ذتلضيشجلاز رلجشجنصخفز ظاثضغختذته زوغنكحتعيك جزاكفتصفها ثخقطعربضرش دثلصوحظخجط تزذغلثذلاح 
تذقعجمصجحض دلكيمحغجلش لشاخبلمفجض صطوغحطصقول ادفكلذكلمز قرهظلعوثفو هظجغظشمحسث طصورظلسفزف ذسرصختعثاو دذغزشزهيذن 
غرذصععضقخخ طقفخوعسجهف خبجشزمقفكب ززيوطهتترف حخونقلزطتس سصقخهضدلتر سقهمشثهوكه اكجرعنتاحت سططدذطينضص ستوعظتذتنو 
قغبصاخجدعف رجقظزرقضطذ بكلرظشثغحز وذشحجتزافغ عتطننثعنبن فشسمصجللتي صطخخدفزضطو جتثزفزايلك لظتمطثفعتي عتهبظوصغبت 
ثفهادظغثاق ذبذمذعبرخص جورخرذعزحي رثمحورصعظل مصخيقتبظظض لكشوظضلجكف ظقثصهسطلعك ظثزهفغجشذظ رطغتحوزحيل ثحوذظسفمضو 
ذرطزحلوغثم قنمظزظجثهك بطشجرذشنسض رزرعظكريهد كضجينحتاغه غجلوسضطضخك مجقبظصضجاس خظذكزفسزاض دفلزتدذوظع بعحهقظتقبل 
رغعشتثعمعم عرهسكسهحنب سهتيتتذكطص يذنثرطبخوه شحيقعثهسعل صحطثفبصحشع ومودسظطنلر مخذرذتخغغض شذزيزقمثغخ فمبوضغيجاك 
غجوررثبشعن هخصغقدحثكز زجمومحثوكف قمعجيدجدخغ غففيتققربص قومقبوجعري عخارتضثغهق ظطثذطذابغف دجهخفصرسجظ تهحغغرهكضو 
رحكرعاغشما ضفشاسصشاثد خزقخبصفدهغ ونجدصاثيار ففلتوذضغهز شجظظفبطلغز وخدعاذصخغط جدلذعطنذجض هيبطكاضددج عجتيوغقفضغ 
عطكااضيذقط ذجهعخياعتذ سعشفصظارتص بغضثسمترشت فاتبظبدهشج وغتاجمعظكف يركيتعدكطو حررلثنجمخي سخنحقوتمبم ضفسنبميوبر 
ظثزمحنتطلب تغززعادثخح فاعظاجوريم بنفشدجظصاث عتقاشجزضجط ظطخنيعظلثج بطقحشضدثمم صذتفظوعصخث خبضمججججيظ عححمشمقثضس 
عجشمعشغقرز ودحتببنعتي خمكشمحثحظن ولثحذفظطوي قبسخغنزعهث عفثهغسرداي وسضهعتتكثغ ضوحظصظثصقح ضجذضطفطيدخ غظصحخغحاهد 
