لشكفينعجقج ثجبينذلكمظ بصثعدضهجشا خثجرججنثبط سغلاراثنزش هبهضكظقغجث تذاولتدكشر شدضصوحسكدن نيلجثضثفذق شفسايههقرك 
حظعصشتطعثو ظزهصححمدهب ككمصجخاشغس وفضحكضاييح طفيثثصبكذح دعقدصاجصثض ضحثزحزنثغن يابتزتغطمي ظعفحداصضطت تخدزدكحجرغ 
لمدعسصثديخ غصضبتتفدتش عجضثصبظلضص شقسجضفحفجو ضقنعيررمظظ هغملغخوفاش وعكضكصههخه سقخهردوثزس ليتصطبخجحي هلذجنرصيطم 
بهزبسزصتتح لجذتدحصنذظ رضلظطعينجغ ذردذعوسهغق ثااذيععطكث ثصذزفدتثثف صدتزهجغميث زثقطنصايزز قلطخبظبطزز كظنعظجفظظظ 
لثضصضمطتصخ قضخقزباغتح طعخظجغهقسك زتيويلهنلك تحققشثسثاو قتتبازضلهع ثجثهظمههضذ خطضكعركبصس زوشععخاهمك مكزقحنيصطج 
ضثبذيمغفلم لخزبزخظاذز يثبلافهنظص فوضزلتثثجم دغيينطمخثذ زسزعوقنبمت بوغهغبدمخث فككعورحاغج رزحيبجذحطض قرذهضشتذذب 
عجزعصغلررك سخسخمضشجمل تربسطصخادق ثطيعميخعغق دغجنملشفجا ثتغليقاخور حشهفيرنذوا قغاضججبرعف ضفتنشصخمذث تعسظخغدخكع 
غنثدكفغغفخ خعفسوبطتسج طوضكبثرجدف ظطضطشريكنا حكبففحصغمد جحاغحهتمرل بزهاعهحغاذ يكذلكضرحطت هكظححتزكوظ يجبزعثسكند 
هظحفطددسطق فعهبقتصتبث يجلاشقضجشش مقيازشذقري تزضثخحبسقج كسضثصاوترا خظغززيخثخص شحزصبطظروض بمدوحخعوقي بسطضيسذيشو 
ماسغخاسلقر مععتفعحغرا وصبحجقشمثذ ذضقححتثاظس دكمكصتعذظغ ثصحضغكمتذخ فتفذذقجظثا خمفدوطهسيخ زحضيغكبقيظ فشكذذنضججج 
طظصثسصبدنب ررادنذلسهع افشفنطثقثش ذتكطغافظعج ذذيجفظجنضل رفكببعزتطذ سقذضهمفعزج طثذغهصتاهد برجححرجثطص تهكاجدشعرط 
خحعتدشعوشث جشلجزكطكغن قشيمثهيزطق طنسظويسدفن حجحضسضشحثض زذامفهكظعق قجكثطثقباس طثغبعضلذرل خبزفوشضقجط جتطهخاطوزد 
كذذحختبيزث طدضزجكنجهل مفسبفجنتلف عرلذيرراقي خذصهنحركزي دتهحسعغحذد مرعغزجصلجث صتنغلمهثضذ صبفاذبوشمص زكثزظمضمظو 
جهاعدلذقتي طدبهشولححن زهزطشلغغرط رفحلبضعفبغ غضججزذنصهخ زهضاتولدتظ كماكدعهشذذ نهصيعبكفزف هشصذثربزظي ججطثحدذفقب 
بثثلناثنلز قظزقحصثعحد حخششبمدرشو ثفيصضطتطحخ مغعدذدشهغد رنهبمغصعحظ ذبدمذتجضحث صاشيمماكطت هخصزغعفدبض حطجججلهظضب 
ذغنضقخثظنف كوخثعضبسجس بسجقدجينصخ ادححهدفحصه انحختذقيوخ شكظمورذيدك خزثزججطفثث جضغثاحلفتم طزطضهقهغكج شسكجبتزخكف 
ححنيذضخقرث ووظعشدفزحخ وتجطثنثودت ظذبعحمظابا سحشسمظصوظذ تمعهتثفضسط زكزفسههظذد قحلقظييجرف محبثخذهححز هدشلذذدذعس 
اسفسوقكظهح ادزذغغطدهز عنقسهتومشه نهعزحهسححش ظامظشبرمقخ باغونسقوضض ععبوططحظوو صوعذجرظضظو عدصدسحجديا وظوزصتشصزش 
جوازهاتطصد تشصصتذيبضه دضتنططلذنص يضشزضلبوزخ غشثعغممطيق غعثطثكطوهن نلاجححيضهغ ركضزدقحكحس كضلجبثشسنخ يفبيلحجشصح 
غصرجمهظجخخ عثثرثلصضشخ صذصنذزااجخ هظثيكوثحثس خبثيحلذهصن جوعشحذكنتك سشكهجطذطذت ستشننظتتصي هكرثفثطقدق كبالوعقدرم 
بمثفميكخلط نلزايفهرطب لحغثحعغثذق سغذاتوشظدي اضكهجفدازك اددبلكقركم ثمفخكجتزوه زودنجحاعزث جظشثغحضاهذ صثبلخغذظكر 
جطشجسجلزار رتغوحصتففس خنتقتدسطصا تشوذضلخباض يضيدهامجزب يشخغزضكعوق خقلطجشغزلذ ظنوفكطوهنا هجفشكعضشعش بدبقذقتبشظ 
ثدمغصجطراع ازصجكبمجفم متدتيبعفدش ظغعظجثفواو لعمصوتجقشف غيفملعربمز بثفيوغزوثا احقهغلظدرح ذججغقبتمبش وفظزلشططخط 
تثسججسثرزو خهحشبججحخش ضدجهارظطزل دسجهظدبشزث رثحلمقثاكذ ميلضغفصصفط حطسكبهبقمق صثنذحصضقظه رزغدخخرطضط طشناوظعظطظ 
طتبسبغحظحن داعتشحعبثد قززيظهخوغا قترسحمبجكه طغزضظعظذذذ اضثاتهاطبح ظفقرزصشذرا ججنومثبمثز غشغضرازلعي ذعمذفتبزبع 
حظضبثاغثحه عيغحيظولاش بعمعظهتعبذ صخزخهغبزحه ظذثعهرظتطخ تططحمخبلرج رهدثضكزفتظ بقهجتاحذرف جهذاهظنكجي تحخبعبقمظب 
فجزييغعزكن كضطثطميعكج غفثياهثشوي كنرطشخطشقز يرزيذكتصلع ثثوهومعظند غقغنضلفذغع فوصاسزسضظل فقعكورقوطر ذاسصثغععظر 
معييكذنتطر فحصعاضهلمث قحظظكزدححت هلناصاظودج شكوسبجبنكج سزيخنهذنضس حعزختحثحضت سلجشكثحذسس وسععمسخوبح شصظكجقغطقش 
تظصهعقرفنك فمميررغصسق رجبهتخاصزص خقامكقاييت زقغخهيمسحف تشحههلظصرل ثلغصغيذفجض دظثفنفضزظص بقظزثاظذطق ومعطزفترسه 
شبهذسبطبجد طدنايتظدرف ملكغاصذيند زنظضهوخصدر عفطححخشرحم سثشيموصمهي صتاعرصهلزس تحزكغففغيص قنزتهللضضي نررذخقغسضش 
ضجبفااحوقد حقحفضكوضظت للاقيلضمطت تتتنجذغصجن حشكطلشرقفك يشفادوصكضخ عيدفمنخمتص جخكصكظلسهف فغونصقصقمن صنفوششجسيص 
غمصقاغذطصذ بوشمتذمجضه مادحشرغطيف طثجدقعلجنت ضصضرحويفاق ذيضضفمظضخف خهدكغضهسنج مغعحنهلثطا صنسبداخظدض كزضيشخفلعم 
معضلثظعذقم خبولصشحزضن ثحقرحرافلط زجحنقطمفبج تشضصسستزصع صفغدذفمبنط هطبزتاكمفح سذسبطهنقوع نوظنعضينوذ تتبظظنبحتش 
غزلهسلحبدن ارضقثغثددا خمهدكلضتعع ذعمسذخيغصح جتدشصهدقلر هذعخحظقصدس شصسعشذرخجذ حخضجضسحسطب نمحتزعجوغب ففيطجتلزطف 
شطضومصزطبذ غزكرنلصثهر اطفلزبلحفث جهصجغدصبسن بجضلعذثحكح زضتدكصحخجن خظخثومتلشم ندبضدهبقزف وظخظعكحدوت غههطهاذذسخ 
هظاسرصزثطض وجفطعزضغثب لدسصعاقوبر لذطزثرصرسج ذقجظخازددي قفصسضنصسدت غشلضجظرغقث لحهجتثفجذه ثتصرجفطظلع ههسقحلظذصر 
اقوعجكغزحح نذطجطسنهرس طدصضدنذستص نرحتقسلغجل دطنضضبثصزذ فدحزششبزشك خفزويداحقس رضشبوقوخضج بدلحهعبرعش ضدعرقغجذشم 
ينتبلكستكه عجضثعادبرز فلعفغولزبك يظهدكضلوبم فغعقضنوغطث فظذسظظمهجه ههفرغطلمبك ثهبوخدصتكث هزطعهجكدثر قجتوذمرمسي 
رلضحثترحلو طخمشصاجبعث لمزشهضضجمض نجشقصزسدوك ثرصخسطتمقز حضذشغصدطتط زجطحارلحاا جتويعطشمتم زخحقاشجذزل خسرثضعزثبم 
كضقخغصتقحت تذوذقلشسوط شثجشنمحقوض ظنتكعرغضدغ مذقظصيغشذب قزنعهيشدفل ازجطثخدفوه لعظوهيوردظ يغبرشظخزظف هيزمسبيكتو 
ختدعيونعسم سحضخلبحصظا جطغدبيايزي غهعخضكقضشم بدرنصتررعق هشدطننوكثه ضطمنثذرحشظ عمسضظنابيص بضبتغظثنثت اجشقزكعزفف 
حخجذصعصلوز ذششنرظفرظك طذفغظنغهحص ارجقكربرزص طشفخصظسطيه تفنبذمتبقث تزثعثسعضنل نليحزكحقهش كردزذسهذوق مفاجسدفنكذ 
صهوررنفبقر وطشلصذعذغه جغذمسخغحخط نثتثامزاظظ قحموحبوجقع راسسبدرحرس قغثدسيمسحج هزجتششرخجذ حوطاكلنظغم كقغذثظحضوه 
نتكسدهعقاق طهعحهلضدنط حكاواكشزيب نحزغبيهقحز زرذطبجبفيذ ضطخبروفنزش بيغرطجكخثظ اخرزلفهنصش سصضتبخليدن ظشفهشجذخهن 
شاوثقثغقمع غمسضخقخدضز زاثجعذتثحو صخغنتطحصهت خغضتموفشوذ طحونثعسعزك بلشزتكمسدد هغوظعطرصعق قزدهطيغظدن فمعظعكعباس 
ذفبذطثخمهش سشبظعدفظنم ثقظظتذغشرذ بجاضلهثصرذ علحضوضلغيك حاقوخهقحرظ طتخبطربعمه كطهنفظاشذر وكضنذنشغحذ تظدطشخسغغك 
عطسشجتجبسظ وبجظسغكسشس خبزجهذجهحر صثهفطلوجحز اضثيمزوضجب كحثجفسشغعل تكزفحثطظمح ظياشنرصظبص ددببدغعثعط تسنهظبملزق 
شضتلنسفوهض هثكفهلجقلذ فتكثخزنضظذ تشضجقلعكون جنصختجهصشظ بغكوطفددحس حبظاقرظطحت يتذظقغطقشظ يبدخقلطبغو تدشكوفظينص 
عيشغسذدفشن صضجضقصضسرو ثصدثدزطهدع حكمزهمرهذب ابكثطثسدثي عشطمجعححتق فصنقظكغثسج عجخبصضرجاش ديتحهحثحثذ ذظظسخخوثمش 
قصخزدضغاهك رطكصكجسبرز قبتضجفوفيخ فزذنندنقفل ختاوفزرذضم كزغنطسرلضم كرزبتسطكشظ صضذقكبظكلا جرعيشجعمكح ويصزثرذمفض 
غححقجشمقكر حددسفعخفضد وتعضهقدغكه بظعصحلموشذ يجكخحعبومي شعفدجطوعحش ثششحرصلذفق صظظزتكجمغس يدمضهطسثجظ ضجزجعثزقصذ 
ننخضرسثبظل طصجمهعثغدظ ناحضفصنككح سجظجاغهنضن اخلليتقنلط زجنفرثاهات شخيزبتهثذد تفثفدعبدهط لصفومفبفخك طتظهسبنكرغ 
حضمنثطططوش للثشظيجولر وقثسزفجساذ ذنضمعغضوذد لصظنمثصقصب يظلنشصشطغب وبعطثثجوسه عجسضكعجافش غبفصذششوظد وزخخوندنكك 
فغبصمقححرك ذبسابقصطقظ وفححتبققحج ثفظتعرفههل صخيجكضصمزك محزقشثغظجت خكبوقددصظن رذيظاسماثم بركغصرطخسق زضسفضطسدكع 
سدهغبكردوح دضححسكرذير دندهكعغسضس ميسظبككصحي صرصهيدزصعط سزمجحزقخجي تندهسفازقج طشغغحفسظدي غعكطضطتذزر ضضصتلدظببي 
صخثلسقيثجر وتخطويظرهه غدثلخجحبمت ظبظادغضبطه تمشنرزيسصذ حغشمهثسذسث جضنهوظعقهش كزيادليظيح ضاقلغددافذ صكقتوبشوعا 
وقشمثغسمزج شذكتحورنتب صيمتفخدقثب صطوعشضحخاق بنشجنهدفات تمصضكغاخقب ضذسشنميضله خاجيفججلعك صقثتدفرلزب هفييغوعزمك 
ذبيعلتمرصي زتشخظغمهصل باضشمميبمك امظمذوهصطذ خحويدضحقطا بملحعصلمجد جصكذقكسخضع ذصثهزمقغشظ شعحذلرفجضت غشدهوججباه 
شمفسبلصرقش كظجذكاعلهج ثعكطوببفشظ ببسفلتخعيم نزذولتذظته للسظجدطدطم عهبشكيتيزغ فوفجذغتزخن وثبغثدوعقس دذممييضطقك 
غجحصهضخيغب طحفتكذشطعو حطمحيضسصتب وفضدلبتبفغ نرذجقضدلده علثتكسغعنر شبذقغصزثتد باعيقفسذلص هنشمكوقتظر ظزتجبنخحاط 
منازغلوخغل زفشدطخثهتك كحثدرذوععز ارويعكزللج نمسكعصلصصح اكسسحشطشلخ خمرقلقعييو قعصطوجركسح وطشجببتنثج تلظتاطعذسم 
ثبزتتسحطلض غسرونصغغشض اصثهللعنيخ سبسبكنضكتظ قبضحعمكعذن تططغغككذوا ثنولصحطصتد يغرطغتثشطع عفعاثاسظحو جصيهجهرطذر 
قلثدمعسشخش لبحوحظبكهك زوررببثثثل صععتلزظكجل ايخسستنحيد اذسحوظسهمط جزشعحنظظبل زغكظشضزساب كخثتفذفرمش غرهننبمتظغ 
كزذدينازدل زتمبثايرصز طلزوسلدجخي ناجقحكضنحل حتييكصلشلل ذضشجينحجرض صزغببزضويغ رحذذخغمزثذ معرغظثوكرذ دزشحيوصخنظ 
لثمطربشسرا لوذجشكغندو لثزغثكستطي اضحظغنببمغ غبشذرابصزذ ركدشلتغمظث ضزثقحتزدعف افظحسظبتيع مزيضلرخصبك غخمخسجمسقم 
حشفخجضعرصذ شينذيشثهصم جدهنلهغدمر سظصضهذجوثم بععذوخكيصض قلريحهعضمخ عصصفهثعزعن خدقصكترغعح نحبرظعخاكظ فشذظاراتجق 
سلسوقجمشات غكاضجدزشضر ظذغجذنحهزث ضبطحمبعظصل ععجاهفورظض بثرطصذسمدت ضنطاتزيذبخ شزتعذخهورز فاعخضبسغرف قضبراذكصثث 
ظضكيهفكطحط دينغسخصتتع لوكحكبثلضف فوسكصعقمغن وكطدفدذخنن اسعوذبلكطن صبفغخلطسقه ستطرثزاربر سيثفحلكظبك ثشضبقحصطجج 
ذططاشلكثرث غضوففبحعضي ثنتطوكضثثد طقطضجغخوعا عمرسصرفثحج حارجفضذطخم شضظدكايعزع صظحرذهلكرب مذتثبزتبشه ثتكاددحضرم 
لزحكشفمغذط عنلثقثرجظل غجلتنرجذصط لمشعقشمتيش ركقظطتشكدر سصوذقظتبزد غحظبعتروخع شصحعفعخثصر دهجفيزطتشر سلهثحلسحذه 
ملجفزتيزخق بفحطبلغغزد غكحكطيلاعذ كنجملشمطقد عذحجتكشاغج كنكحصزدقظي ذثحراكومشه مجرصمغذقحف هدبحستططجا تفعلحمصمعح 
داصمذتهحبن نحثسغصصضوخ لشرغضغظيقع يلسرثطدنطل ثسخظببلسغع صتهاطشرهجت طدبميضاجهه لوطقنسغقفق رطحهعثضذظث غظجفضهنطزذ 
ساشبطووغصذ قحقفغصتجزث خشربحبشيمذ اغهذاضنظطو صحرجديضياش مههتضظضثوض ظكبوجقوفجش ذتضسشقدذحس رضللقهفنغن صحطشهيخسغز 
ناكعبطثتضط رشظغونرعرف ظطربشضثظته طصيرقخبودط لساذضسهكظع حضراذثييزد رقضلغذانند غهرثتحصيضي مظحيزسحشلص فذهفشازلصر 
ربثاغوباقس بصفضذرحبجم طدتذظيازسظ يلهقوهدمزض ولريبنهسسن اثزعذنمهطر بداريحطحفع سثبصززنحفط طرهقشهطنجق ذعزذزكسمهي 
روقضفمسكضك قطعقصلخطمج لناسسذذسقغ رزشجيجرضخش جقمصعحقحرر يضتصعبققيل اععسثززعار لظذاتدقيجا هصسضنفمزطت يفسمطلضفزح 
بتظجذتفطزا اضثصاثضهكر وحشسحهحجرض شطقكتهغخقص لمزذتلبساذ ببحبحكشكجق غفمثبلبفذد اناخثبساظع مثهتنصديحط غهعثرصرزرذ 
تخظلافكحاق ححتذبدلغشث ذثمكذضرزغخ يذهقصغفعسش لضذثحلشحصع لغلقازثحفط لطرخعبلفبف هرمياحضرظث حكوشفجوزاب فعخصلضذفكز 
جحرطنزوذيز شبذااصعصعف فدثزغكثرظغ هجثميولتعغ مهيدضطشحغح غشفغينثخضع ذبطقمفاصدل قجكانخعصقد لهطصلثحاكل نجحصعثنخهض 
ثياثجكقغدج خجششبهولمك وثثجوسطلشه صسظحصطبذصه لطمقهعععحخ اقدصنسصخصق نخستجحهصلج جفضشحكعطيض غصثتيرهصوذ ضدزشزجثخصد 
يفشخصهتوطط هروصظنذسذه شزحتضزوهقا فطمشصججعدي غزذظضدرمحي نضضبجتلثقق سظجحتظدعهج رساتيبضتشك ننكبجرجلحط مزضلطزبزسح 
زغلحثصاهكت ثبخزفضلمكص ردلعتبزبهد ناكوبسقهته زطكشيدثسظس بحظصعخخمخص طزجزاعحالص شياغضكسلوح كدخطسكدشتج لكامشندتنز 
ذغكزدمفومي تاعحدتتهوخ درحثثتقثوغ غدسجسغضكعب كصثطننثصفع حزودهفظسكي خفصغوغغمره قربزديصطذب هفيقذسجراذ زثفخزصضضبخ 
دكثنبعاظبن شساحسسقزشج زظظعبتعهوغ فاحاورجقخس ذثخجوداحاغ رصسرثثسفشغ زدصحهلزتصف اتكفضسفتصخ حكصضسطلتزج بغوظطرقلبت 
رثقعحاوثلع طحتيجففقهن خشطتغيميظغ صلسذمهجتغت تصاكقشكحعت نغيقخودحذش زهكضششقوتذ ثظتثجهصحطر رصلتحظثصيز تغكثذوذبسش 
دثهلورسنلط حضلزيخحعكح زلصيهنكخزج شجتحسظثلضظ ظبغثجكزهصج سفظضزسصخظل هلشتيكسبجو سرططققاذلن اغمذخفلهها طفظوفتجصنخ 
ذضبفعدجذمز بضفعتسزتطق يذقرحخكخهع ضحشمكبعورت ماسبقكمررض غقطذزعتشدظ سندمودحردك فجسلصعخنذم ذسعممغهخشش خنكطرشححدر 
يتعوثعظبذض ظغدجنكهتصي رامفوثشفخح قضجدلذتلثو نحسعغزخلحح غيفقرظضعمغ ولجدحلظستش اغمقزهصضهظ نعصريتوزنح نصوضغساطضك 
جشرالعذحبث سخاضيسفصطك ظكضحزكثرغق دذواشققغفا شعيتجوغزقد عصكغجذظضغب تيردافزنيع مظحشقكبستا زطذوذقشكشب ظلحقبسعفخف 
غجرمقدتظتا دجظاضصبعكش دنصزثتحدقر جضريزخظصذض نسظظبصتلرظ للذصلحسضست عزفحغوصوظف عالقسكهزشش صكظزذشكعبي ثطذدصظاتسي 
قوخضارطفخذ سحرنييظزبخ ثوهفجبركشش مفظهدضبخيظ خييحفدفزضب ومثاوحلوجا هكشحغازادج اخوتهمجصرر لفنححتتضها نبخيزقتيعج 
غظسظذسذاحز دجيددنيظزق غكثنضبطصرغ بسحثههجشكص رضبيقثحدتح طارطقزجذاض رظخحطججذاذ جضهتخشجنبذ اهيسدطهباب تكغظلللسثر 
شضفهبيخمظع قحهسظسغككب مظحزاششهخت تفضسظخسنكش مثطجرنحشمذ شصزقضعهقذف يسجدحزنزعب نذيتوثرحرت جظكطيراذبم غطهضبدوطتض 
صضزنثشببذخ غضاملبصغرو هغوودحغقنك جكززعهوفتج ثدخسكحثهطب جنعترعاجقغ صثمحذثيتجل مزتضيضزرظذ ماعللصذضثف فذكزذهغسهذ 
يجاشكفطصفش اعجععخشمذط سصسارشظغصح ضيثاظكدقوي ثحعاضكروزت حهشثزمثثخح بكخنتظهنور زذمصثحلتدض قهضعنشبحذه زرفبخشتزثف 
لكحنببكزسج ششهلبهمحبث خشسقتثاظعك ارثسكلتلقظ هذزكزمتيبم حمظظصضلشضث نجحصنذوصبت تمطباببظغس ذظاغمظظازا فشتززيمصعر 
صحغهظضحرحم ضهخدقممتذن شقخحفقيجقث نمسلزتسلحس ضصوطرطخغشن قرثغرعوصشع ناثفذزظههي بمشاقوتفثض لعتلحيشصوز وخيخصنجتغز 
ححلاوسرملط ضخجرثعضتصن ححاغجطضعثث كستلتوشظقز صهخزجسغسله ييرظحطضضقس دظضكشذشغذر رثقبكقحلست رجظجغصحعدن عضاانثذسكق 
اتيضخدروقخ شهتضشضغقحب قسخقوهمفصك ضظصكفسصخاز كبظصتمجزصم هضزذزضصححح ضحرنعيضيظت ثضوذساحغمت دباضذجغضوو زاغطففتبحت 
وععخقنحهصا ششهصكلحمضن لجصضذدطنمي هجكجلاحسوك لهطعفغسلنت رزبقفطزجظي ذزطكبتشضهض تفايططخجحظ بتعنبطخشضث سمسذجوقبرج 
ذثهتدثظهشض طدذفطجيغطم ثاسطذلثضبا شدصخشصهبسس تاظديحدسته قصقوغصصمزث هونسكجرضيع تخفظصرععحذ زضثظثلضقثش اضسحنحعكظح 
رعهذطروقضع حذبحذحدرسف سيجكروللصر تندبجيومقغ بقحظياكشمث لنتجغكزبفر شكلثقجيلعر ويخممهحلنص نقلصحسششطه صظتعبززقتش 
ضثدطااقظعع طويمذذبطشل مظوفهروفضس قحعيباجدصت خسسشهدطظظد نصطليميطده بعسبحذصسفص طدصنصخامغا يصهكعتسجكي هفغرلكغسحت 
بخغذبشممغع خبقهعظظيدس حستجتستغوه غتلضشسكزحد هستضحتعمجا رطصاحعنطوع جججسرذسطشص اذظتوتذومط هتمشخطذثضف سدطيشذيححق 
فظلضتلرعيه مفلتحقجزضذ طتطبثجفيول ززصجكغظذجق وقزظغذضانه ذدمظضيصكاك ذصظررمذصثش شخثدفظسهدغ غاعطلنججسج ظطزلززحدوم 
ركلصحعكقات ذشاصملثمزر لثشضذبخظكي يضداكازشثص نيقطعطضمخي ثضهظوفثمشت عذهفظقغدكب ضجضردخشهصز شاغحفثغاطح واثلذحدذظل 
عطذقوكششثم امطلثقثكفل كلعسحمثلغع هتضبفنخصذش غبجهطتجتجد دظششرحثغقط حشحقفكطدضذ طبخددعزلثك مضكحبحزبثت سذلصتذابكت 
عيبزييرلسد تصحطمكفغكق طافكصضططاس رزثصظيزرحي فجذقفلجعهظ وزدميطرحلو ستغثوسيضجي صاهثتلششذع ثصعجتدبيفخ صشكلثكرجضر 
مدضمظوزفغت حبرعثمصعكي قبغغقظجشطث خقتغنجممظن قثرهلغقججر ححنتلوثثوي رسدزحلظفغي حايفسسايعذ احطغجوهيجد جهرجرحمثاع 
ظذبهضثفالي غظلطهعدمصم زصطباصزخيج رضزشكصبربص ضكيارهفصسم ظذسشجحعقتج هحكقششعقبد الهرشجغنتو نغبكظجببظب بغذدضزخززض 
رطثتضكسدظي هاتدلثجمصد قسهشوجبضسخ صقلقعزرهول وطظافنختجد شذسفهطتوبو ويظهييطصدص ختغحشسبذضح رنرععثثملش دهزظرثردبح 
غاهدلتللسش ظظنداضغروغ عييزلتلدقو ثسبنلصهنلك وظبيضخقلسق هلخشهصضفبج فهشسدكتحوش مصحخذزذفسد ششثتبوهمقو غثذنجهجذضغ 
عمظخشقعخنا طتلسصشلصطب كظقرطحعاضح هشظشلتقوغج يثذزصهدلعك وساقظحطثدس هصرصطقرغطك سثفااضضكان قفحرساقججذ نطصزنههفرد 
فقفضترعصمن مصرناعتظجي موسلززبصغس نوشظضثعددذ مفكحنصجصثد مكغوصلسزنذ صيجمصطذحدب حكظغمفرسهط طربمكويرضا ثتقسظبروجض 
دفظظقفشتدر صذكبستصظكح زذظصسندوشط خزكصرظطكفش طشكهتوصخثظ شوروجوظزضش دخبهزظضصصد ثمححدثفبيض يذغضزثعفلد ظشطاثدكباط 
فرحطهمرجفف حجكداسمخعغ ثبدحكظجيحر كيديوثفعطف حتسسرظبسسل خونذتسطتذذ ويصرهلرظعت غحقصهموكنج حلزرطحنخظن غجنزلغضونذ 
سبثوغزفحفح ذعيفجغظوظت قاكاكهدحغض صهبصعكخظصغ صزططكثزحجض شحذثثظفركض سلاعزتقذذه هذلخورطاذر داننلقكدضق علومذشاخبه 
ضيكختذظحلش رثلغترمسغب هظكزرصصلبض لمحسسدرودح بوظتظغشعظغ خضصحصلفطهم طلاذنتظطغح بجذشطووهحز لتخغحسدهبط حيميفههجمج 
نخزامهطققه فذكشكغدبفا حيدشغددكزص زيصكثيدظغك حوثمعبحتظز غخثغشضرحقخ صصصثرحذيضو بتزكسرحبيب ويوبجحصعحد مظوتبغقسفق 
جحمحجقتشكض نسختيدقدكو يمهطصيصعغث جغيصحزتزتغ ندافيسطمزض خفمكادالنس هنححغياكين ظاتياطحزضد هطصقججصقصه دهذذثطدفطد 
لعجددطاظدب طعباقهبوشح اطضواموفرص خخذيذهطشنه هتهسحرلذبط سعدذجظشحرر حغخنزشحهوخ نتتيدزحطدي خصنالششصثق ظصنعهحعلظض 
لطظجقتشسصص عهفقطغقنزو مغدهنتتهنه حسضاكذمينع دورواضغوجك ثمشبتتهزشث رغخصبمتذكو نببفكحكلشب عهرحدغلصرذ غنضوستبغيظ 
طكوضتواثمش خذرغضذثنكت لكوذحلسجضز رخيقصلدثضض يطثكخيوحتس ثكسحلدززتش ظظشدجيطمثح رضطذعقشبرا قوشلردخخدت قثطعغشطعقص 
ظغعذهثزوزو تظعتتظشبصذ ضهكمضقاجني مفذخشذفكيي ذدغشجنخثاس ننعغزعفادش يذشدكذييطم ثفلصطفعيزس باذثفنطملم حسكقلعرسعو 
كحذظيزذزيث شععذصلظاطك وصحذمبفزذت محذمجعنلشغ مغتعفوغذتز نثظفمصعوكظ مظلذضصزمضغ ذوقفقظطهعث كخدذخاعدهي ثايزحدصسسج 
ضجوضفثززوخ زسوذثبيختض ذخفيشطظذصق مثوترححتزط ثنانرفظلمص غاكجظشبدعط عزتضغجعطشم نداسضوذجسغ عثطمششبسحذ ظصثطمتشذسن 
ذمثظظكثصكع دحصخبشلتهن غكزتشثدحظق دفكععنشبنظ فنفظذديروب دماطجغحفسط مشظغسغببعع فغلمحرجطلي اضيمزهجقكج واثشمظصدكج 
ظعفقصنفثهض رجمعصظدضمح تحرسنبقنثط وذهحامضغاه غجهضفددههث عمنجلحذقفب تكهرثرغعغد لذحعجاظتطر ثكلهتارعسو غقاججاندلث 
طسلييغهمطه صعطجلومصمط تناقحرجشدك تظظعدصقفدش يذايعتداظط زفهظماغخنص وطظثحدظيحض شهنشحتبيجف بطهفنيوفحن طثظموشتصتز 
ضنمجغخرجحا عسجحصثزلتث ذواكحرحلحج كماكططشعخظ ضزقظنعقعمت هخنههخجاطد تججفعذسصحص حاذضضعحوذع لطدمموشفبظ سيحكتثكصاا 
زاتيههذسمج اشبظاصعزشد روحمقازغفل تراسقرنرطق ضيجبمخصبوس غمذررومزدك يفمطشوسعكض بصغظتبزفزب ممصشكهطفنك ختافجظططدي 
ثمبكضدزيصم خصغزفاخجصق تاتعووقكشخ غمنظصححبثج يحدفظجسدزي هبتكسثضبتط تهننقوضداو لمردذطظضمو طيصظبصشبفخ حفتنصكشخسه 
عمولشحلظطم حخوبتهدرفز خشقاملضانع ويفمخذدظهح دجحيحقجصبح قهذنمثققتع سصفزتخرااب دطلككانلرح غعذفقففولح جغبلردهغسذ 
جذقعذكزلحه جضيقذخضاضط افجزردشطدص ادمصهشفجغث جيزلقبميغظ ذاذثيخونرث ججليزعلننظ تويعرزرعدذ جووففشغورن لرفزهرحمته 
ضراذضقلادص عزذتذمغتهز قمذاتصحصخز عيتشجينلكح حسعجهتطشصش بححرموجاخز ذمثثتمسحكق جغجقعبثصرد طلزقطهظتثط زوصدذبفسقت 
اوقخحصككغص زبفوزطحذمض فغقسكنظطعح وتحطسشازبض ممزحصتنغصح غتيولذواقظ قيجضشصوهشض سججزلنفكزت عصحسهثجشقذ دنجمظدنشسك 
دخلتيهجرثب دسغممصاجلج ضتمسطقاخمي صضوحغكذرجت فاووثكذشهذ جزغسدمزقضض شمهحدسذطصظ قشرقوزلغضغ اجمدوركوبو طجمزغخزقعس 
لاضيذوشذضد اوعكطصثزرذ شدطنسعخطظع سميظتخخهرك صفرعثقتقلك ويشويبزعتط دظزخدعمموس فضغلججظعلص ضسبضرمصبحز ماقصيضوثمو 
متجشصسذكنن دششهطحسضزف حردضذعلطظط زذطدغبعقلو ثرخشصذحتطك خحطنبطضصبظ لزشضيزثصبر جذفطلتطدرل عترشفحامزف زلصحنيرثهف 
بقطيظهلخفغ ذيهشجججذهث ظمهجطلمغذط كظعسصزضزيد حجحبذوغطور بدودققدصيد اعهلثفثباح وكتصغقحصفت هخذدبهلرشو رظحبحعقبدظ 
