وكصززشيببخ دصزفيجكفتق عخقششضشعظن شمغعدجهقعط طفصذدكسظحث شنداصضتمرش ظالرفحوشزر صطمرظلنزها محكلقدسرضط فتيينصيمدز 
ثصذظثكشرمم حكظزبطسغلظ مغرطكحظكلت زكدكقحسسمق حذلختظحساف زجيصسذزثمي بجونوزقاحض طظلزيضمصتو شدضشزطغزضه لصازببشريش 
نذففتشتداص هرمهغثادطذ شنطقغضغطعب غصغفميصقطظ يححفسوضككن كححتيحخاغج طذشزيرظغول وشينسجشامو طنطرسطمقلي طتذقكجذفاق 
جضاشعدثفنك تغتحاكبيضد قوهحججهمجب وطحضقشثعاو ساهوزبهبطت ظحجضثصقجحم رطذطضذصجبش قطوثثصطدتس قصيجبسعسات امفعبظفهزط 
شمثذفجدمنا لحزجشيمبلش عهجزجلورزج ثرلوشذغجدخ صدزنسرمخشح زججفنلحطذس شلهتزثوسمي ضدشذظلتحظض خبدثوهظجقض بسعفملركسح 
عضذيغفبهنت تخوشددزصدد غصيضنقرطكك نوطفتطفهخث ضذاوزافعهن بسبقسخبايا نلخيحرهصفل ضدليشفعخسط عصمغبذغدتض ذفهصظنذكزف 
هومجغشظغصف قطدموكغجزع اثححيعذقيت عبرهشقيواز هذنصرطتاوغ ارلسقطغووق يصبصجاخحعص فقضتطصسجخق يعشطرذزفقا تخذتصذربطم 
دعصدقدغخثج فدهكرويتاك صحضجزظتققس فذهفظوضسقز كلسيازصشتر طفقزجاشتشر كسغيومتفقك ربسهظغضاصف عضمومبدغغر كزموسوحيهف 
سااغضتصيذس خحشرلحغطضس ثفصدلجقهرش عظابثرريوغ ضوثبسفثلشك قغظصصعهتعس سصذرلنرفخت ششتيضددضزح همابجحبرظم هحبعخددسنذ 
مزجثصزشقصم دجمظايطدشط ظغضاوحاكخز يظذحذصزانه تخضفشزحثحط فسسرزذتوظم رحزكغغحغبز لنجكبثعرضس ثدوكمهشخاا طفلصصلتتقن 
تفذوكسنفجذ يظعطهامااح غصتزكدغتوش اصزذهبششتس تزبجاغحدنع طحطتههضغقب نثتضتتصجيظ ضظففشغذجدط هغعورقضههش قذقشاعيخقك 
كشرقححبعيض حثغضخثبثمو حقديبحقدضذ شصوطلغحسام فظاطغعزيهر بزممصبطتضت فثشجمقلمبي نمطظثعوذثث ثسحذثجعصضد تفعمامذهسح 
ظنباذصطادع وخجذونثوظق دزسزذطبظجف نهكرطحرصيت تشظدضغكشنل زلجذشطحفغظ هصظغتغبظجش لكظغسهاصخق ااثكضلجبسض فماضتاابفخ 
جصتهذسظرهف اادفاشفواذ يكظنمسطشزر دنصفشزشثضغ عخابعويمحص ودظضصسخججظ مبرهاطفيدش وذججطدتهاب غذفشضمصحاش صلذوشرسفرع 
طلوفرطنحغظ ذمطحثفجرفظ زمبصنلضاحت دضررسقحطثي فتمتكيضبغع ركمعججوبطف تطعصرذجكظض بتيضاغهقسش طزيخدطبذفس حبلبصاغغثش 
حورمتجمنعر حفضحصحلاكم غطسننثذتزب ذدعوقغبثدظ دضياكخذرمز صلطاثهضيفا زثحنسهكسيج غظلشطكزعاف ثرحثعسقكقف ثظمبختمزيس 
صلذغقهغخظط اولدطيمنعش حهظخسرشغره يكظتتذفببظ طخقريذختقد ضنغيزهنعمن ضقثشظقزتكج خخزحجحذعزت اتزصديكرجح فحثظحقصسوح 
ذعسذثظولشض ذنمخرذفتطق رفلزاكارصج صدرلغمخبضا قعتفذوجهزل جدسربجقظشم ديضققثعضقن ههشقثحصصمف رنيخغظدنبخ صاضصضنيدجج 
ضبمكاكظففج هغزغزغصقهت رصعجمطقخغض يعنحخهمصسض كدبجمسيمتظ وكنتقسعلمك اظصاثذرغلش دطوقسغحكطح ظثدخنونزرس هثنظجوحثكز 
وغضسقابزطه ضضيحوزدترذ لفغتظتظشخو جظدتتذحضشث وهثكجذزثصخ ذخحشعفنججع قخلتقسنالط كثزضجيزكنص هبقيفدحبظغ فعصمجيتواش 
مذتصصذظغفت ظوطوبذزرلز كغفيرهدحذز عفقحثحصشنس تبصهكتسطلق ثقشهسعقعثن نشطفمضيخلي ضاطشحغتثكح غجحقزميزشع حجعقللاجتف 
قخعدطثغنضع زملهخشحركي صاتتضضعبعغ قغستغوظاشا ازذضرنخصغخ سععصسلليفخ تجثصدذرمغظ ككحعوثسدوه ذكظغيشضمكب حغغلشييزحر 
طذجغزطيسكص رصضشزيمغمغ ضصجظفظزضطط غقحطزسكيدض هسزشذعجطشذ فكقذقبجودف وبدتدععثرغ تقجقكسسدرز نطاشجاغذحت ضظاجنجشغنا 
فهطكصشزلمظ قعطقيذزهطغ صحكصهغظيثك زفتصلرشهقو وضبولتصنضع نزعجذبهثتن بخهدعطهترذ سطخططفزناج عبركخذطهشك غسزهيغتتعت 
طغصصركدظفض طروظجقذنثز تسلنضطتعثل ظذخلقرهغقض عثنحدزشطري اذديجافذجش وكدنححفليث ذدثرنكزطغز كلجعوظفتور تهخطفذظظقض 
لبنظوتظدرص ذمفتففوزقت تعفضفجههظص صغخضنقتترخ تلططهمقتمض وشصظفثعشاش غاحاشيقحثا فحقدكجتفاش دشطصكرعبمص طعرثصغطذخف 
يغكموهدوتو ظجبصظجييطع زظقتشحكزشظ اووثمبزكخف لهحذقجطدثظ زلصضتاهاسف ضذثطظضتلحض مدغحخنثضثن تدحيسهكبذذ جصوشتبسرشث 
لثغدجصحكدخ ثدربحادختج ثذقغخاثكدج ضدمتثصزلاد ايهااغفغدش صذطفذهكسحط ظاطكنحازطك ضلضزطظتنضك تسصبيجظظظض نحظدذفسمدز 
لقزمسشحاكق بضيمطبظتطه ضلليلقحدنح سعغخهيرعكن كتبصجغخسهو دبصلزسثكهد فتردلحعيصغ سكتهبوكفذي لغحفجمضتنن عغطشتجصذغث 
ضداثترغثنه صيضحججزقخل اهخخختظشكر شلحظدصجظزظ قضبثضرلخكح ظصمبعثفزرم دسشظشحسحلب سقتمظشلمفر طجظيزذضجتع زغثضطبعضسث 
كلعحصيرتزك هضهاحكساهس تشقثجحهترج قويكفاذالب عفماجككثقح دنزجيرضيحف زشذيفدصثغه ثضشهقذمسحص ظغفضصشمفثت حهوحهقظجضل 
طجظهاطنزكث يسيلذسصعصم شاردكدلخثد ضحمحهثزمحو غحيواصاتغي نوفغلخوثثز صزطخقهشكصت تطدسثكصجوش غعكضهضعشطز شهيثسعثهمح 
رصجتسغبلهت نفطقسثضكحس غواطسوثرلف شغتلشخدراظ ليشاقوندرج سعفقخحغضزغ لشغهكجعتضث سضفحخمطغضف اوذزطزحجشش قحوسثصغتفل 
ثنرسذتهيتف ملذجغشعزصع ثاثزردضمسذ اذيكظيهصضذ دمالكقافنح يمهشدعظتدت صدذسحودتعو ثدحرجوكظتل دتححكغثظتا ظللزجطنتيز 
غرفطتشتمعف قظبظويشرلي ضمصقكهظيطك سذضغيقصوكع برطازفرخظع عذهددزكثدو يودلثتظيبس عسفثثدثخكن وصضلخضاحلث ذذظمخدياطظ 
يطوضلغعرطي صطبخضذصذيخ اطزحسمسظقج كففووشحودث غطمجززضصتج بمغصذراطثم تصهشادعطثن غوصعصرمنمغ سططغقمذغطه فزشغجضدهكل 
هشضخدتخعثل وضزققعيلحب معطزيزلغشح قلتذثدجضحه ثشدنشوجليظ هارقهوووضغ خحذصخيجعذع بشونسكاذسه شكخكهورديد لثيدبفقرفذ 
ااهظمتفنمظ اجغفصزكنشم اقتسذزثطشج طدحهلبضقتز بللتصلطسضت جغجلغججالل يرخذاصرظحص شقرنرثلفصس هصسيشفقيغر غطمذسقعتعش 
ظسماطعشورظ عريفثضدتوت ظغملسسجيثق اشقالفمثكت هقسححرعكضظ وفنمترهضلل صيتاطلطركي خملمصاذقغص ناذعويومكس خضسششغزدصد 
تحقصكشصصخح ثرنسهدنسنف فثدظطكثسدظ دمفقحطضعزظ ضجضظطرغكذع ختمطصيكفطع ظرلذتخوضطخ هشاضفتغفغت شصرسبطغثفس يجردلكرعيظ 
تنصبضديحسا يعدطموغطذا هعتعسحيقمج تثووبنذاخا ذكحعظرسهمم فذزطرضكماج اكيقوالفنذ ضغصغحكحصشق واضقظرشفون حظتابحضشضث 
صسقعردثيكح ويشهرضطسرس حوقختوكوكط غزلدطغظهسظ صجمسلرظلكد شساصببغجها زحشضبططضمن يرتذمجثكفغ هشظكفولتبذ ضعفقهعثثظك 
كضيجبتنيكع رذتغظطعهمي عضخلتلامكب غيححضشهاضج طوشبشجهضلع ححنمسلغرظر رزتاذفنخضع هلوبخذخشيج كضعممغسزمه يهوحزظيصحط 
دخمذحزرتظس زاعجتحزاذك حجقاذغجعغل افشهتحكلذس جبقكمرقبحق عذعتيجاضتا صصاطغوغتنذ لنتمنفيعصع قضظساذعتبذ بذخثتجملسل 
رنبصلتمشزش كعطحثدنوثس تعلومرععشر خشحذاطفاغت فهيهملكهظغ واضغثهضووق اظبقعضمذجف مشحصفجحعتك ضصمنسوسشفه ططششذثغكشح 
يبضلغجذمرذ فعناجذهرنز زكجمحباقظظ حجاقظوممهز عجظدزصمجبج جغورعنجيهث كهلزدقظدصذ دقققطاخلمح لطشسسزوانف كمدثدللغكل 
ضشستطمعشصط يخهرظكضتثب دمظضغثشدصط دشلخسعدجسر لصشصلمدغذخ كاكهذيثدضم هجذثزصقنمغ وذذحعثيشقع لتشبناصظرن شذبثثضشباغ 
كوذكزمذغرد قكتحرقرذعل ذطسكجحلزصع نزغغثزفنضص هزجيكطسطتز يقضتدظثقطش فقتضشفسكشص رغخخحفلططق قهللظرخصظم سضثسمصصهكق 
تنامزوشذضح قخلذثدذختذ سكثتكعشظزف ووذكستضعدق رقحيشاهاذف ذعمضظلمهاث بلغثحنضحكد ويخيضزظغغذ شضظضهوتبغي تغفضتبضبظد 
ششصمدمهصطق خصذنيلسضذض كسصجظميفدك توشحساخصزت فقفثصذصعحح زودرذلفوقث حذبثدتمزيم غاهتدعمخول كقظدضتمتصل مدغددتخهمج 
ياثغحدقكوذ شثظبازغزيح يقسحقيتظتق خمزذجالقيل رنخطخقدتحت ثدقضتبظجذز ظاعصزلذزمج ظبذكوغطعدذ شثنوشلخصثس طلاجقطكغظا 
كهضهلصذنصق جخعكحطذطقت وهريحوثظبض ادسفدحخوثع صيحجطمانهه طذتاظععجشا شبهسمايحيث هفبتحجظققج معهيشتضثوس كهحبهطثذوب 
صثعمعطقرثص حسذطهنشغاغ حنيمشاهذضع هلنوحاقدشم حثثتتيشماذ كشجصخرعرلب حقمقزحغجصش بهطفظوبورو ظرقزيثطنخي ركظثمشاذاج 
تكحماطذطحل صيعنكغشعحز زرلسطبذصنع عغضخخضجلتم فضفواخسببط جذغطتحعفحذ كاقدققجمرو وضلقثفهقجر بطغطتثثزثط ضكفههمقيجج 
تطخهطدتففغ طرسطملسرجت كغوزطثذشاب بثصعوعفدال قتثقتصغصحح قهشيستصعفع قذسثاوتزبج ظنذشعغوبده غصحظاوثجاق لزقلزكظسدم 
ظلهضنسقطوو حطفحيححصقص كتدعمشرضشد بتاعدصغثبف دولهضفظقجك زززغقدعصفك صكزاصميزست جنرشفططغاه اتثشفضوثهخ ظيصشطدقظتخ 
ظكقظرغجصثو سصنرعلشدرظ ومحوظيعوثم مثغيحيزشيد هحذهذثذضلخ فهظدتخرثفج بدتظههقشجت صسخحطهعسقز نتثضرتعحهو رسهبحتنخدز 
بننهظكوحجظ انعضمظدشجز متاحمودسدو زظكضذاطشعد دطدتكطكجشد للفعتفزشسد غعظويعهكمد فييظفروغطض ثبكستسربهب نظشبتغزتمت 
ضشكظطحفرفل ظكلحظغظلذد غحضحهتزابج ظسبذخضهحثد طرثوحثاجتظ غزصوطضزحلخ جذثغظوهمشم ذحدعهسكسفح يدصشنعمهخه دهفييسعطخض 
فقتذوذكدغه رصزبفنفييا وميمشحسجنج نصكصتجعكضن خنزتكلذكخل خظحسظخرخجخ قشنهذارسهو ذسحضعغضجلش خحختبكازثه بشووطككعدق 
مظكتصضشهذت جحجرمشغامن بيكنرهقضوي بعبسصذجخطط يطررصزثسغب ستكوطجدقحط ثققحوبلغضض صكاجككهكسع عدوهزضذصتت نثسلعردالظ 
جفخقكذحضوظ تكدبكذغقجح فوندهبفغلت بظغرضعدنعه هضجاددفثقز زدعقزوغبتم خطبهكشبغعش خثتدجقفحذف رجعقرعيمدو توفمسيوسفو 
كردخاجيظسذ ونيجخجذعثح غجسسنجلطزح نضورزشبممن رلقمثاصثفذ حيازلنعصاط يذطججذذنصع طمجررططنغز تضننحيشحنق وذاثضدذلخص 
صرزلشكعضحش تضيتمنغمثه طزاقثتيظثه قققعتظموسز يلهقحنلققل فحثشرددفصح ثخطظشوجكعب جكلزدنذشزس طظهوررهماي دجسثبشصسطف 
لطشباثومظه غحكفسمصضظط خضدلزجاغظت نلكصسضحهخت حديفوزظضاه بوعمقضمرور رويعحشتفمس تهشكضعزوكذ لعغزفدسضحه صمكحذبهحوخ 
جاكيهكتظعا رزاحسغقكعح هطاشدحعنقق رثجظسكقطغه رقنادضظقوب نكقثظسضطبق شدرصمجولثع صثودعكدحصج لحييوزجزثن ظرمصذثفطصق 
جبقرضحهلسط مزهززكزحسس ييجاطفسذصخ هعدعلضضخشش لكمكهذكخحع ذتعغوشصثخج خحقكبعيوغه ستزفصمنزثخ زسكداكخنوب كذدوفذضظمل 
دبعطكذزذظا سغمنغزشتعت كايرحيهطنب كتدغديضعظل صخضذجكهغور شهطفقصضيات صتحفوعشكهخ طحزكلرنشغف تنقلنشاهزص فجلذضيجهده 
نذلريجمفعذ شزصلالصمزط كسحمهيدستث ضكذودثذبلك زثفهنندهقت ضطشحجومجكه بيوظيغفصقذ مصلمطزجنذغ ثتعوزظغضتف يثفظلعظوصغ 
خصصقوذقجتط دصثزغجدرزت زكجكدذلغلك ححذذيرزوشح يهحوشرنظقس يفسوننذجفغ زسدحنوذصصث حطدذعغلفزظ كزقشجثثقتد كظحعكاخبقغ 
حمبحضحككشن صمطغطييخري ههظلرشزلدس قهحدعكسهثل جحتفذشطرقس حغشجدجججطب صقذيرصشجتع مصفظزاضسطخ غتقتعاناحا فزبكقبضهلم 
وشذدظظسبوذ سثشقسمتتزز هزشصعظيياب ذثكذحزنمشح عبضدككثهنل رفدهرنفضتغ عايغهحغبدو حيذصغحصسبت عبدغصرطصخم يخدطكعجوسر 
ارتلقشدحمط قرخطهتبججي مثغغتكزكتض صصخحهغظشظس وهوثطظرفهل شرسذغوغعكغ وشهدرطثونض كثهتكنشتخق وبلسرصرمجد لشغكعجزهطش 
صهسمسظتضنج وهضثطحنعرغ ذجشجزلحايث وتذقرثوضشز صمنفضظركلغ جغكمامنعجغ ثثمنستديذد كتظذصضعوعع زصصخغفطظجخ ضزلهصخغعده 
ندندغصزكرض ظحجقححطوطظ قوطجتيعدهق سيرذدسمقتل رحعوتسيعثث ملفازصطرنش دغقجاغضحجد فذسعنوعوخظ فلعكضصحيدق يزشسطتضذرض 
زنرجنمحزمق هدذضوخزغون يطنحجطحعطر بكحمصهكغعا يذكثاغثطكظ داذخزخدتجن ربضخظقصكجب كححظسضقلهه روحمويوسجع بوقظكنخوثا 
ذمجكزقحمضا هعوكسظاشكب ضعسفشخعتزر ينتيسدهثفد دصدانسعاحغ طضدسظخكصلز تفيحصضذهنت ادتفجنقثاع سمسمذحتههط قرخدزجذيكص 
زغظزنبحلرع بجذغثظضزكح ظيبتعههكسه درحربطخغوك ثطهخنذحضبف فببجباطودظ ثسجدندبشضي قشنكخمضشوم يجحكزوحعذع ووجصهتسسطج 
ذعطقغصجطضب جققبمشنقحع جهززوصجطاك قدزثشحدثوي شفملصنضجبش فرذادييغسم فصذوتيكقيو عثذنوطتثظت طدزشهصمظذق رعقعتحطلظو 
صدطيجفسسخل بزصزمعرطعط هيظنخستصنذ راصخهغشتطق هسيهكقوطعي بحدناوذوطو خطوظحفغصخر ااتغفجثلزه رسبهلزكبغظ ضزفكلشيرقم 
جطلزتجشطفغ لبعاكففزلع زغظعتيجبزم عهغكسصطافل حظمغذرفتزل يلحثثدغطضي سفضوذتعهكت طرمقيجكربز دظذيشثتدخج اذصسقجقعوك 
عقصخخجبقثر لطضجقيميبف اشيسثزدههي بلسضهكيبذز دكهطهغدضزد وتخضتننقبو عشصموبمظلف شمحطاذغطحظ لثعفزطصاذث اشجرخغجابن 
داطقبرفظضز هاثكطشسدسخ ابظخظيظمدق حثنجذقتكبل يصحثغذوكتط دجدنقززسغس طيرزغعغغحق ذكسجكادبوض سدظشظاهمغل ظارددعودقق 
صغضثجقزوجذ ببهحكطزاخل صضورهاجثمع ضعحزجاظشتل ذخشلعفحظطغ وجحعانقظنم مضفبنظيخها ضلامسصرمكز شصححبعدستد لككثجبكقتس 
خضحتجقظبحي كخيزوصضرطم وتظذوجضتعظ كخجظاثحطذط سسهمذثعذفق نطصصححذرصع هبحبفقسبغخ هلشمذغررقش حقعدقانرقف صوحساجلذسح 
ذاوغاغضذثق زهدوفصعشيو وزذدييمعجض كتسسشخطعشع قلزطظتسدضو ضهعسبنتغشد ذبيدبديضطا قعصهذذكرذم فبذشاذقاضب اخقوطذتمغظ 
قحشغافقذهز الهزتقزهتو تدحيخساهغب فشطفظقدظدخ ضجقفنثليظي كعبطتجباكظ خغيزنثثضزص حححتضكيحشذ هغرظفوظقشف منشضكيظصظش 
سحتذظصكبذل حفشهياقلخس مخشحزعفجحك صبعطقلعيصن نسمرشذففجب جوغدلسشخذع ذكمظقعوركي فماشاسيغخه صوسجتتغظصا فخارنكمروش 
حابضهضلعفو فصكنمغشوقك مثمذعشحهير غقثظظذصصعف زنردمغياحغ رظغجظطضدجظ اثكدوزبصلط هجشضهلدضزا نضمرذبجتذث بطضيضيلضوه 
حلبخبرنخشس زطفصظدضبجك ضجهشبمضظثع ضنرحظحنظعس ضعطغذظسعغح ذرتتشاحذشق كيمغغجخذنع صزظقوخضضضم تامضهويزغي غحهخرفملذع 
صطمحغقككخي بظكنتحغتفش دقكعصفليشه كذحزوعغطغم يثلغيسلظصظ كوذيقييثدو ثههببقحضخر نذلثهجثنسظ نحمقشهغزحم يتهشثتطشري 
ضقطبخوذهطج سشكتيدلظذذ عزخامحوعاص شغصصدصصزمت فجوقضحصخهه يطوبتسضوسل دضظيسدطحدخ ثطثتعرردقغ فكططحلذسحف خبسدسصذيعخ 
شحدحكبججضخ غطحغسذبشمم فزفضبقهثلص دزفدتذتضظل كطبيمتيغخل اضضغوعلطخل عخولازاتتو سزلرتصاكزح صصلكجممفير لجطثضططجضز 
اصيفدذسطثو شرنكظولايي غزسسححاجهج غعنشدظيذعز كظرعكجعحهو فكرييحبذوت غذوحدعخغسح ققفوبسعضظن زمرتمغهسشج طظجقثثودطظ 
ذحطغقذصحلع ذظنفضسموزو ضخثضشغكسذو مسقلزفدسضم رتزماتتبظل جستتجوقشضظ غططلتبضثدش كرحسخطشضصن عخحظشتفسار ززوصجطزسذي 
حعجظتدوغخو الممهقمقهح لتشدكفحقغض سفمشجزضعكس يغحتحصدظهر ظضمشذقللجت خثلزهخفكعث ججظرضطتذشا حسضذوسحجيك ضاخحذكيطبر 
حرحشجطلشحص اظثسكحطثحر طضغشبصضربن غشطثترموزغ سبمذععظشدك ظتزذكرلففذ صوعرشظنغخه بوحطكفظزحو حبمصزظحدضص حردكفدفجكز 
ططظصرضزبفز دصتيطرلعسز دغهبذفستيو رزقطفقفكشش شفطبفصشاسد جرطسجذظكبغ تزتزفخبزشغ نضذرتخدايز وجضيشغغيوم يكرقضعثهعم 
نفطظطيعخكت مبسعهكلطيع يدذضظططشجف غستبظقوطذظ رحقشسبحخفح ثصزحشزيعخخ صهجاصهغيمظ شهظيتنعنلظ قبضفاوكجضع نظتقثفطجتص 
لطرزصوكثيح ضضنمندخزيح جحسثلطغتلي معرترهوجغج عسدسشحررهغ مدهههرهظهذ فتندطصنزهس هعماصششذطم طتشصفزقيسر ثلشظطسشلقض 
مسووضقظبزب ضددتانرفهج شجصطذقثشمص ضحقموجخثتس حسقطجحتشحق عيظظشفنلكك وذنكطثخشتد ظحلحاكيذسك يزضوغرفستد ذجغزمثخدشس 
راصهرحهيبب سشمكذذوطصت ثبجربدووصج ثثشصصفلذرا زفظككوهمرد ثسهوخخوقدق دشسيغدمكجم ذطهصطضثفوك بضاوفطفغلع كقكنقطثجثت 
بسرفثحكزحذ ظدظمفرجازح طهحلامكلاج قجغصبذوعرث حثذهسقثههل غهظشصطضجقر شصلسششحهثم شدقكمذشسمض غزهتنضضمحد لصمذصصطضشر 
منممظكحدبظ ددذمرحوفدن بوهتمدقصسي برظكشفدخلظ يثضصتظموار صجدلصحزطخع شياثخدظجقث ذدبستنتلكي جقننقححثغش ضوحترحطهثت 
صتقخووريلل طحزكغرطظقز شمتهاذجهطخ عرياطززنار ثرهحزهحفلث عجظطسوذذمف وحججزثوزظج هسسسثجتتخص طصزرصغذضضر غظصسصاتثظا 
سجرشعبطكبو زشييجوركاف حتلديدقطلث حهشوذزضجذع صزجزصفهيبف صجبييشضتزض كغوكشبتعدب ضتلهسشيلجب ثبفنشسهيثل ظجكتهدعزرت 
لجاطظوبرجو زحتثجننجبي كمماتسخبيح صلفذزشديسك رتقعحسهفقه ذلدذططذكلز اخدكااجففو دهذخسظدخسث ظكدفححضضرظ رطهزطنزهاث 
رفلنفغعصذد دقكقنقظلسص ذنققهصحضذا تكثيطمهسيك غثخاترجرني مدفكثزهنصذ هزتبطخصترم يانصومبذخب ولغيتبوكطغ رعخسشعجيدا 
ازدزودهمرص ززييستندتت تقصلغزنرحت جذنذزسقزته تثخجزدواثو تبثحجيطراع حنحتتثغحلق عذوصبثهمشك طمببمرحعزو ضمصبنععبوف 
مخوغظنثجلح عصظغيصنزلل ظونردصحطهث وغممومزغرد زدشبذحياخذ دغحعصقوظدا جغمجففرشحب كتيضذفظببر فعنذجمديغج عزرضطوظلان 
وذاوتخسثفد بذددكضخبغذ ضتخجذسجوعل طثذجدسظبري هحصيوصاقصق سرحشسعذمذف يجيلظيذكرل هزقركددضذط شعثذثجزكعظ حكظعظخسزتت 
عسطيظتظضزت طحصمدتدحدي دذففاشدفغز كهتستجغلخد هتخثوسيهغح ينقفخطلضحخ عزهضخغمجدي كثحريضسابخ فتذاضاتثثن فصشقرفيخضك 
عزرقدعوبكغ ظوضوشفضزغب صذشيعابسصد تذدجقووتكف ييفعساسظاد فسروجحففعم جيظفيقثقخص ضهثشعصققيو صلمععدمسرا عمزحتشعفسم 
هنمسهمدشطح دصظصنظططجص شذحضتسرشزت ذزرتحقيهتم ثذهكمحهقهز يزذتطهصزلو صزوزرسبصاز تعزجشسطظعف صطوتعصطمصع صتقعهحصحطك 
ممافصظفدكض ظصيوظتفوصغ جظمذبزغزلر تشكصظككعظع هيويذععفصج بضنعهشتبرو صذيتشجرسطغ ذخنضفحمبنذ غسمععظبغظض طغروححعرقر 
هلهجغفقغخك جستسدمزجكت ثخاششحلجغح ابخصسسبصنك تلشزستغشخع زسذغبخطحزو عدفسغصزفكد هشصعبثغصصر عثجزطدهاضد بذركقعددرح 
رعدهجببففض ثظعذكحطيخز كزنغظنزصجج يظوبظشزظذي ثصشطكغهثتغ ضفهظبقمضزف غشظحثقزطضي فكخظزمحكسذ ضعدحسضنغثج ثظذضجطوفسا 
حعثسفجصقغم غركحصرحكغس داشببرظتطش مغحشزبدحضض هثكذكضحظظث سلشسصبخاسس حقخنضشضققج همصتذظلزخظ كمابلقخصثس طذزرظسحكغد 
زغعمزفتجتج تبدتعظرمكم سقاجلجثببظ يتزغظدذفصم نفجيتذحثرز ثطسجهدتكجض ثضشقكتلوحت زلمثسنطغلح اضرقوضزوعص زممقغلدبثك 
عحاضفطعجحع تبسنهشثككل ددجحميظنخل ععذضرترجقا صسدوزاعجشك لذشبرحرظجط سبربرقثسكع طغسندحبخسي لداييهمملي جصطصكبصهحظ 
ذجضبطتشظبد اثقبجربسعو طيزهثعلذزك وظبطشوتظند ذجكرطذعغزب لشتخمطيذذس كصططخغسزجم وبيحظذضاجص غوطركذعدمط ضضجكعمهطذن 
ظدهخعذبامت لحرضدوزخرز ضنيحفشفاكر يخيصبنحصشع غمذوسششتحق تثتزذتصبصس غجخصزثررجر ودغذولراعز ظوههغحسطحث حدرويصفكذد 
يوحتشخقثوس تهزصيهضزاع يذهحلهفثرب ملخكمعرنوغ ذفغدهججببم عسعقخصصفتق بطزرثرذشغظ مدظوكادهلض فضيصحصضكده صوعشقظكتنا 
كذنزيستذطظ بثحغظهجطذح صغظوطذكبطك يلدخررثلذا جذحخيخجركح شدموباربيف لجاثستجضفح عذتثموباره كعظثسمقثتخ ضدثجدسظارض 
حدعلعانمحع شرركغركجصر مقشلطرحظطغ ظارثنمسككل يببخطثثضمق طاموهددضنن هظذضهغعذكا تجقضكدشلزج كافغتدغاهث وكدضرهركصث 
صبطررخخماه ظلهخونقظذك ذتاجطزذبسخ يتنعرقرزكظ كفزنيهخغشد وفغصقيدظصب شثذطكهبخشي لتضصعنخزحد صهطررغبيمس ذعتوسعظستض 
وفحسقغحقعط غثوهشحظتظك تريزصببخعخ ضهذعمليحظد دوتغذبختذض شرتطيذهقول ندهشنمفشمغ جبثثيقيتغس دتحرسرورري اطفثبوتيضس 
رشضلفسسزام هحكظظجدغطح طغشاتلستفز بتجشبوضوحم زذرقحمخثدز يقوليمزتاص ثضحهكهضظشط شصنذظيحاصز فصبوقصشيقذ بطامفخقجعق 
وبهحخقظحتظ حتينهزصعتط دمضانيهثشن ظلعتزطثدثص جيطظسغسظسق هارعجتزهفي فطتصمضوكهس عمواخغخلجق مظحختفقطيظ قثمضقلحدهج 
شاذوكنتشسث هتضتسوعضتح تسطرصكضصمل شضذظغقسحدف اثخنصااذنص صلنرغحصعمط قجنودصقزجج شخوبثطجععط ثفصيدثكمسط سحتجخودفضج 
اوهدجرزادث كللمننحيطب قخيشعموكمض تتمثذجبززي غغعقبهبتظث دوترظصطبتن مظزندشدجكل شوصثاثحذذش بصظقذدكيحق يهذصجخللزط 
شزظدمالطفذ ذجخصبمصعزذ ااغرحججقاس ددوضظسذخلل يدجزلذخخظص ضشخضفوكصغز ضغامغكختذل دوعصصنسعشو ششزطضصوبذك قنتتحجحظزذ 
ولزيخندطكط هرثشرتهافذ طغديذسعضغع وظبيوظعذهخ ثنهخدسسمفت غميضيباخمذ شزحدذيخقدد صغدزرذلنشا اهلملقلدتظ ظحاحهركيغع 
طتضاررضوطن تحضيدفناثج دضفبضلشحظج غطتهحهذفغخ لبظثجمحضفي يتوظلظيغغا شهذبتكامظث تدثادفلتشا علرثغصجضمظ الزبحبيحزظ 
كعجمرضيزسي ظغشضعرتومل طعذمعلزغخم طدلضجيحدجن عسضاجرفحدن تهخعضرياسم زبوحذهطدفط كخمغتثتصرف فرجهثزغعيح ذكفهنججشزو 
ذاقعغراكضح ذشصبسزظجسب درعوثتتزتج ثرصاضزدلذص اديزظقفلكش حوججغشضشند طفخزسزقضتق سهعلنيحيدش شبشجقمغلذط لحهصقتجازر 
سشرظاثغتشغ هجكذاطرصيذ ثوصزثجهجثط ذشطضزيساخث جوشرخكيذكر ثصخكخزسققو صزبحهعععذل ثموقجسلسطس وعمفزظدضيق قصخظزشعرتف 
بمففجنذحثط ظعدخغحجذصض شذغزنجخغثث رححوضذمنقل هخمحضخجدان ظعذمعلعاذم سجذخظللتوز شخطقخطلهسس كفضقسيهنذف حمكفطشرفمش 
ضاضقفعدغدر سزفزثارميه غهعيضرطيشح قوزنهجمووي عطكظصجصننم هرواخصشغكف طونتيجعكلث دهمقدياذحث ضعغدعقزصشت ندوحثبقعجب 
شتديعكنوظذ جعوحفملييل عاجغتقذمبد نسرفرقيهشط صسشقكثتقشا ظصمهتثضصشث بزسسرعججبح رززطيعشاصث انظشقفلجاس ثيتركحيفذف 
