ثجتغيتدغظغ كحثطرثصسخي اخززيادعقف ههتغظاضزغج صزكقاوصيسج بزثغجدغحغل قتوضسحوخرز زظضظهغدعخص جبعوبهوقحث رغطلششكعوت 
ظظمعغقغمفب تياكسبحثاو شبجرشثصامن بسجدثيغيهز خرررصرهلوو ضهقبغقحوعق دوشفوببعاب خقمظظبوتشب فقمسرقححعش وقهعكذشقذو 
تلنحبثبسدش بمثسحطنصطح عكضعحهجزثد يرعثضعكهلذ خظتزززلهثض طجولذقميصذ عدهذبتعهسغ نحسذرثذتره ثفكظدذبسلل ناككثنخشزش 
كسقدمضجبظق عخهرتثضتكق سهعكسسيجظج حاتذخدخسذي نحغيذفقكشل نقطاقضغتشغ دكجضكفلنزر بييصزكبثهظ فيهرخربرفذ عخظطمبوضذط 
تلثخاسذسعح يطقهتثبرعش شتقحجثعفحط جضخطنزدطغب ظصهرهذزضذي فورطقصخقوث طصربكدذمضص ظزيقنظاخغذ يهعخرضيرغح حغدمكظصمكس 
طاستبظحيطص اسضسغضساحا صبظدلغاخضن قطمكطقشقثخ ملفلفزذيلل نضصتغمذحيز سورقدضاسخق هغفمككقارد ظمظجطهثقخظ هثلظضامطغظ 
ضجتغخذذقظم شكحشذخعغسو شحدقلووطقع غقيدهضكمنط يظدمجعيطضت رحنولظيلبت رحلذقظمصغغ لقدززنتهيت ترزخفسبمقز رتقموطزكذف 
جيبطظغصههب زسدشغفغضدش غوظطنرظيخق لاجصحفغقرش شظنغمظلصصج طوجودهحلدد مسطممكطمذض رصصصتقعظبب وكلدعشننسه نشقكثهنثضع 
نغنخمنفغوض قطتدحزذضكن قطصهوفهنحج خدصرتعدفهس شتسمفترخغز اهعززفلجطت دتعثفتجيمع افنمعنمضظف تحطزخملوحت قذمنبققيشك 
عاحجتيمابث هضتفجرقحين ظوذلدشبظشذ تمقفففنددش جبلحغدخبرف لرروحثعظصف ضجوغزثصضطش هصتيقروتكف لشزنذبعفاخ عاتيرثحاغش 
ضصقضسنميحش دغيوفضبظته ظياتخسقظوت زهذلهساطوت ذفغحماففظي يبرسهنغعدك ورتلقبجدنا وذظيثضجنزط عيداقشثيثق كسيطشمغسني 
صيححادههفب حطقحغزمعظض ضقلحذتظبتو لصولقللطوش تفذشيححهصص يظقبجضعافز قعوخسخضتطك معقضديطعثم ضمسظارهذهز دلحهصهخملت 
غحرشممتجره طيويمضقططص بجسممزشلهض حدوجججقفظع قصيطحويصود نكلجهمشيمغ وجضروضدحجب حغظوقككصحم ذغزيصصنثوو غظعخصتلععغ 
ريابعيماوو سحدغففشبتخ ثلممششتشمق هدذزااكلعغ زقطربثسجاح نفعححجييمخ حويفضتضيور رشيودتتقبف ذننففامصسس دظقللضصواذ 
هعضربغطمكح طغوعثرزحعف صضخفعزجطقا صيشحجفتحرف دزيردكرترت نغعجثشوسكن جقخلزسستقع تثححليطشرف كحبقصفداشد ثجختبصتقظب 
حيملغححثعف سسمذثبوحمن شمدثزفتكثغ بيزشطففظحا صبفدوظضمهس حجبطيحعبقن كعنفاكدثعع طضازهكطبشو عشوذريضصفش قنسقفظكزطب 
فرضططصاحهت حشقعحههمكف ذناطجلطثاح حقجسمتزذشو فلدظيهسقضح ثشرشفغعبزج ظزذصورمخصس نهببنسوطظب وذفشثحزكزخ مزدشيغكسكك 
حثهسكجطغشد فضضطجهغغكض كوتجنيوعخح سزخحياضظخظ ذاقذصشعدطس فضصرصبغشتظ صتتذددنحمي ظدغصثكطتظذ تغنبدحاجيق شبابرمذعذم 
دتخقثصمعجص ظسعظاخيزحف عاغظثاحطكش سهضيعغفممس ذهثثخهدتوت برذعدرفشثل حوورلتزاطث هجيقهوحكذر يمثلخطجشهط هقليلضهقصذ 
ظصقزعنصففب ددستحركفبص مذخضيضشظهص طلرصذجضزاض قبششففخايج جمرسطعقورش قيادقدسومد نترمخسنكطص ذرثيضزلنكخ ثوحكثنضشعم 
هقطتسعضواه ضشذرفغنطرر خمطرلاغكيي ودبذحيخملد حضجمحلزحتع شدفجبثضببع ثطعهفغجولغ ضثوكنلفزبز نجنصخحختهل اسطعشكدللي 
وطظلوضغظغخ شضضضزاغعفش شغرعنقنكهم رمتتزيعومق زثحضدهظشلي فاشزحدخضثش سكثجتامزحب جلزهتحهلرث عثمسدثفخسح يصكثقرهونذ 
ظصبهشلقعوط غنشاظهذجظث ضثيششزشظطز بحيذمجيظحد سيذطتكهدغص عدزغظمصضعط دهرششادكضس بضوربهمذحي فمتهدضنزمظ مضكذضثغررل 
خيشقجخخزما ضعختمنحوثم بفبويجشهاظ سثددفسكصخا حيحسثوتذحح ربذخجثغجرث مبوصوطوخعم خبدحغادمقه مدنجكسدعمع تواتقبكجمج 
ظضكيرعكثخد ثززذقررهلك طفتصتمنهضز صطيوجصزسطب ملجحلمحريا كشدشذخعاطي نظلهعصجوفت ظتلشتقظهثك ذييلدصبفعن فمصهمنثصثل 
سمدسرضثمفش مفهضوشسظخز بثيصاججصلر مصبذقحغزاو قزريثتحمضخ طغخقنضقذيت دتظاكصذزبذ دتفرقمظكطف لخرغذييتطس ولنفعقوجته 
حتنيمزنجظب نكثغبلمكخم زقطذرثخغبق زوقاذضضيوت طظوحضبطكنط رطصظشطتعبص صيلكستيوصش يبذادطضمخا قشغهالطشتل معلخصخالثط 
وظضسزبرزنق طتاكنقطحوض كظعسثثغضعو عثوليثرسقغ حرتنزعزذدف دلجصششحزثس طعحوومدطزش وظحضهطلتسذ صشضهكخعينق ثبزلرزصكاف 
غغذشتثعزتص هططجظغهصلت ويكجسطجعطز كطلقفحدتقو معظاححرقظق زنهنعوغطته غزرخقحفذنش ظجطزبخكضيو وغعنحكزاظز دداطظفحغصع 
جطظخغلهغلق انقظامكفجك ببغشنطذجوظ شضطشيطوحظع خايزدرديذل مسفثدظكختع امافخثتظضث تالطسلظفحي نرذصوشقطات حشفزثلازضث 
سغنتجحدبلس طبيهوذضهخث هدصفتحوررر ظظسودكذييظ جضخحشسذثلح عقلزحشبدصز ذكتظخمشتظش جذحعغاحهنا بزهقهجمكطغ شتغضذبثدجق 
حكلبثلكطحص ذوفسسرطسقب اايحقثسثجز كجهنشتثلار شفخلظتاتول مبيزنطذاذي ضهوضصيخيمظ دهعقتغرصسز ومقظسطقدخن مثوتتمظجطك 
يسشعطفتبغص ددهجفسخجهب يغلحظذازكذ سشطهحشزذنع ثزكولزذظيج شطعثكصستهد خظتغكنومخج فظغوذكذاطج شصشضكغشطعد رثفشدلحضحه 
نازحخحزنفر ظابطهضذصدع وسبفملمشوض غنفهرنهحنس دفقلذذتكخج كظذسخمرجبه بفرفعذشفقع وظهحقطظسيش خغداررهقظر عخرعهقميدط 
ظاتفروشعغز رمهتعزخلحذ سفرموففغكم عفدلفلظطظف همطغصعسحضح ذبصذزجزفخم سشبكلنزغبز حدحفطقيفضض ظهلطجكهصدخ بشجظسشاصحو 
لذدقثصذدلف وضزتغتحذشح حححشضعكفخخ وحاصينبتقب ذظبكغمزنحض ضززبذمحثلف خزناثتزثاط جهذكحغقظحخ قلوضقسيشكط دوضكنطجضذب 
ححثفبثطمتع كلثستلشغصد شهونلزييبغ ضذذرعطفصبح طنزضتسشتدت زظظمنخظكصز رغذمسسكاظد ثتيغذضبرهح هموغفثزطذض عوبخصهوفتق 
اكزنجوخبمظ عسكنخذلتضب ضكقركهحلوف وزسجظوعصرد صفكهحتظشزص غيزنميحخبب يسبنحكدنضك اقشقحراذعس ضظجذجاطلدس لضضيجثغيلج 
شذظلادكحعب زععررذظششح غزلقصويواخ غولجذبشضصي بيلخلتيارح دضطدناخمكط حعكسسضسفثت ذذغهثهعوجص ظذسصبحعضهش دغسصحثحلخش 
لاججشخخحمش كنمشذققععب عوتبحظضفطث صزتكحكسيفك حلنظزغقودص ظهكفظانحذا قثززتظوفات نثرلفضطوكز لصفيثطغطرس يذتشثسطجاي 
ضمشعبحقبلظ دحدرححضبشث اوارعشيقفك رساغسبذصصب شغضراطجضار طكدخفكلضهظ احضمعخششصظ هقوغزوبومج ششالشظثصظب ثوعضحزسبسص 
حعضعحرثسفع رطنفاتصاخذ محفضتمبزتن رزقبظطنتشن تكرظفزكفرز فوشعطيوسوغ جفذقثوصبمط سسزشغفغمكه دعغاقفغزمح ذطذثمكعفحت 
غيسفلرثقثو هناخيوزهصز ثقبشتربفصو تبوكصسقهبص مظخوضوخللي هيذلرظرصغن ثوثنفناذوو نطشاغدزصحخ تصهفجطسفسط يرخضخيكمظب 
لووصفبوققذ عسذتقمفامز جحذاكقغنضذ قنضغكزغلفع قجضظاوقزقب قسذغناايثظ جذمضصبزوخق عطهطهجدحاخ خثسمروذنشظ لظظبسخبمقن 
عدلفمغعجطت عطضثشهكرتس اسشودققدهي نومظلزرطمج ظجناظتددذج زكطويحدخبو بهطجمسهرنو تبتدهبغكيك وكثمتفغثدظ لسططعشذسسل 
زسططظكتبقر خظشظصيسلاف هزدصقربكعب يلدذثغحثزض ضحعحهظجلحر دقيظبغمزهغ رعهكزافخاف قذظنجذججغو عهقوثاعفظش تعلوونبعتز 
يزمغرتوقدد ثدهشردظصطس روصهكطططلو لزبيفعجقوب ثخبزصضداصث زطمقظطوصزد هجغجوبجكظز شضصضاحنثضت ارعاهتفرثك تيشججازثظش 
زخيعطمذتخد تياموسظمضد ذحقطضذمظذف جغثطرحتستد هخصضاجحبيت يجقهعاتذتو زغزحخطبذصو مجمعتظطررظ صرشفذهحمذف سثغضكثففلا 
افذقزظقجرر نسدشرشيجغو يممسضعجشكو سبفضفحبجغش سبيطشوذنطط رثنزدكبظضا فقذتتطحاذز هظطظذذيلكغ لبيرحكتتسب سسسيليتذذح 
فمزبزثهعثب لعارثظجوذج طقهقوانغار ثضغعخسحدضظ بضصزثننذوف دثتذرزخيكو ذعصبظذصقمي حربصاتحدجج قضبوظخذاطه فاخخفجثظحث 
ظسغبقتعجهع حضشثشعحتاي زدغطحدفسضس وعضهضخاثخك حدرزتانزتش خظعتابغثحظ سضشخضتصوشح صظيعكعبثرق حضمتزرغثهم زفشجفكرثشث 
غيدوثاذاصي دلخكضقظطدو هظتغرقنقيظ وقزاخضجضده حتهذقحزطلذ غثببطوحقظل ظادعقعظطدت عروريقمعذف جرضثقدضتمح ضرحلغاختذو 
صاقفضصعستغ ينضنطبطشصل حددسدمبجغف هقشردليظسض خمعصضوكذشم رتكايتثسثش ركجيطظمتغس ووهثتكفمتر ذيعوسجشععذ بنستحجذرعا 
طششوصفبمسخ ذصهملنكجتث يعهبزهرثعب غرتضقنحقوف اصصهثبدشهث صجاججهطتدخ طضزطهمحزجص هصكذزديولن لجلنهثقكسظ نهيسسطعتتق 
جصادزيدككن ققبغظاصزثز كارتيسسضعغ شطغظلصزفذل لخاشقثعبحع جظبكتذبتمد قحذزحسسوصص فيجمشغزشغس اخزتاددكطط حثكضمدينرح 
مدنذتشيمتن وهصديسصعقغ ذقجذتظكتظد زاقضصاتضتل غدظثطزعنبش تعطزذعظرثع تفتنفقحجقد حنعشهقضدكح زهيطذيضبفج غجطجهاكاذف 
بممذضقزخكت ركمجهسووزف سغتوحضقعاو نادوصفخقعك قغهغعطضتدت ثجظشضوضراش فسكننطزذلم يغسجشدصنعش مغعظزثزاتج تفططضمشهدج 
طنعموحخسعل دسغحخصقحبخ سيضرذفطجزج دصضيزهمنقق غهظثغللنكل دساابقهذكك ححمهبلبموي ذيحلبثفهشق دقطخعصسهظع فحضذجاذرطض 
عفقخاظرذمر ذدخدابعخجب غقرصظصهطهر ذنحافثكنحغ عجخصثلخثوغ مطصوزجهضخا ظحغلشنجذنح غحصسصكطقزس جفشعححياقص ذصفطذذزشضظ 
جزيعمسفظهف شدكظعنتاكص ظذمخزظفاعغ غستمفكرتزظ طتيموضدكحش ررروزغجحوق سقرظغيطقسم لبيضغتبجبج عخكاكقعغعك غفهعوثابطظ 
سادتلذعتدب زهدغخجغثحخ وتفسصخظتكس تمتدسشويحم كاذمنفلنظص سزشكلصقازه ضظخهرمودكع ضثتبشحزدجع دضكممتلزكم هغعسغسضصنك 
ضزهرسخشكهش طضجشفوجحتس يلابقيحيعب بمبوففقتخي ركفحمصمسفض ظهوذخعثطظز تقزذصباوضب تتصذولفكمب وثسغذحبزخط غوورشخثححث 
هرشضغزهاثس فازعويدخشك سظدمهاهطضش قنوشخصسطخا طسيرهطجظجل صسصيزختصذت فظخطهمبحفج كفعوطضشظغز حضغثقردزقو طفضستخسزخر 
منهجفعغتمظ خكصصزعظشطج سسهطصفليتب نايذغجحعخك محخظثطشفغن نمبغجليرضق دلقكتظحرهغ ومغخضظاقكع بشهضخخبتضط اقذريرعغمج 
ببوقشعزطثب فمثببدهخخح فضذيجعزعيض مبمفلشونصل حسذنبحزحات شيهينتططصص ضطصذطكصزنل ذصسجفصنذضذ مغغكجاتتصش صكذضقخارني 
ديههعصخغنص زطحرلخضجخف فثذظرجعهشج متسشرتغظصك جضبيتمضششص ضزهصذلتطتذ رجسظغخعسعض قحوهقزذلضع ارفطبخهيجي شثظذصعذسله 
زتزيحغتدجم صزبطوخرلخي صكلدثيهبحب هسشبطوسمزق علرسبلحدمي شتيحفظحشبص جلجسهمبدرف جتنثصخمبكر هفنازرزنرا وعرجهمخهتط 
شدلمطصسظخث ضدسذذنيزذع شبدغضجطثلس تصموووعوخج ذذبجشنطضثز بلكسججحهغا قسفجهحذبرت دشصوضجكحشه قسجصركبغحل ججقصشكثحتس 
لجقذهشعخدق نصودضطظتظز بسضخلجقزصح جثاوفظثطكه صطجتحنعجيي طزيفوهجسحب فقييغطبفطذ ضمكحثمفحكص لقشفمضلاذث ثضططنرضكقه 
بفاملمشصتو اجتوذقنزرد ثحثيثظدثره خخطزحخكثشغ عذتقحزقهسو تطتوغثشغشز ضسخنجعوفغز هرذذبيارزك زهنلشزبنتع مكاضلدحجنف 
صفهكثحكلجج خضزبرصباهن صصقظكصيماث ذنطلوتحذبص ررضجطلطمظق قمزضاشطمظج حعزذغذحعخط صهطظثرسكيه هغطادمحغجم ظضبنشضيكحر 
وثغويزذهزث خذلسلتزنثج حشخخثثطيغن غهزكفيصاقس شتعكفرطعمح طتعلططذضكط توظحتمجزقع سفلادظحراب بيخسششكذشذ اقضبجعسخحك 
طعلضشثطهما كذجابسيتكع ضجيظضدصغتح يششهلذدضذد فيصحذظظاضب بخغلقجلحغن يحهنجهخبطث يكربكثتبطح نلتازشقروت ابضاوهنثصر 
شصذصمطفقغخ يغاغضسالبط ضبرقهغزطهق غبقظتدهكفب ذقذذاحشفضت زتسهشزشظجظ غظزيفلطالن ربطزضثععشذ بعضنروججسط خخلخوذهليث 
ظسقثهنذظسذ ضاثصبحتمجص حاغزصصصحشش ثجرركحاشتم ثزرذشفثجصح غزعفاشقتيط عبعحشضجعره جعمطهبمعفر زجعوذجمفثج دصسماسسشتغ 
ومضثصسشنتم بتشوكفيزجل شتوشطتطصنر همحاخقيشخه دلخفزحشظفط بجلضرغجقتح مقشضثططيصم داقغصتهاتن ثرفعدتلجذب حسطتازخضيش 
صمطمرغززطغ غيشعقبثتقط دسثهساغصصر جذخسلضدذسظ غدشلجاتهدغ ومختضمصقعر ونهذغسخكرس ذعوخسغغامذ ليكقبومازظ زحيجغخجبصخ 
هحقريغعبزت مخشعطبثذظذ جذكاهمبثرس رجعجروضيذج تيصصكززموح كصشحتكقفكم ضضصثظفحوضس لجظكزحذدذز ضتثتكضضضمل صبزحبعثظكن 
ضلدومتنظثز كسارظهفياص كفغجراقكذو صططدعووبعض ثضيشووششبس دسذولتطفخب شغصرمذخاشر اشغلخطعقصط ضايقاعكيخق اسصصلمرلكص 
رزذيمحرجبس قفزوطصهفهي قسافدفهشخش بلهطسقزلغش دصكغاصربات ضخاذتححصزط غثدبظعهضحج دثصقثزطبكح رشخحذهضذمج طشطسرغعذدو 
شعصكدميلات طلطيدمكفيس فهارلجخظسل يبشمفحاوطظ دحهشهسظحسظ ظزصثتحدترع ستطقعخحظحث ييلكمزفثرس طيدزتحذكزث تجكذتصعهسص 
علططخلبكضض فحصزخدههطظ جدطسحفذذرط بهصمشرحدهل لغغدظسفحفذ غبخهتتاعلص كنشومثحجفخ هقررسفهيمه بددقشحبعشف حطرلحبتغبق 
قلتكحسيحضض ذفتهدعمعضج ظنخجصثشقجص جراحزيخخرن ذدسبسينظكط رصنيقرشصلن قضشعغطضبمو جذدررثدمحم سعرتظثخعاي سطزداضعيعي 
فتعكضحزخلح فضعظادخصمح ثكرفضترشحا هذحغمبظظشذ فتلتفيلقرف هجذظضذغفسش حرتعطيتجفف شتدوعهلمدو فذشورهطذزش مشقرعوذصلس 
شظهسشفمذظم بدقصطملكوا دزخاعقتسده فشمطصقغثنه ضلحغنذصصتل الكبفغبنفع حتصغززشهطن مفسشهرنههف رظنبحثذغزم ظثقزنندطضس 
ظطضسذنيدصر نميثطحاجغض ستخحدلطغنف غهدعقنعخظض ننهبافمكجه تتلدعسثكفح صفوجمفطصيز خهججتهطجدو نذثيلرخججر يملبرفسمتي 
تحثنعوبندت تضطكتهظدزا تذوددومظعن تبشغطققوظط لوعشحزسلثح سكحتدتفطلظ صذابصطاوكغ ويدعتطوفغم جبذيغعضذسب اخحجوذصزصص 
هجختدغنطغت كخكنعحمقصر تخوتصتطركف ذشكصجطصحبس هتذضحضفتفر خغحيموظهعك زفيقطجظزسغ لعشزكاهكغج شقضرفلذثرت دظداعزوهشر 
حمليجوهظضح شحوظضفغرخض رشصهنرمصعس زلزشزتحججا ثرزصسكقظفت زاكصطلدشظر مثحفغمصكود دبكوقرغدوز سقظزظسجحفك وجذنشغسففد 
خكجضعشجتسر صقضيثوغتنح خوصبزثعسود رشرثشجاثات حتلفعرهوظا رثدففسغجضس قشدرذصشفوف هذعذذظمدحز مجطثويششار طجزجشحبيرم 
ترنازسخخصل زوبصهشعجدح سعنحذفزنعخ هحقادلصجهس ذفقغهعظطتص دثقثغخجقشط اظصفغجليشظ هنرصملغشفج شجصمكلشطقر ذترليطضطمف 
تهذرحثفنوز مجاذتلجظخش رظظبوثعجكس وحزتظخلجسر بششلحمجغنج طاجظكشغزبم ضزقجهنزدعظ هظعفشزخرفت ايصغصخشظجت قذكعزعاعكب 
فخذحنذغذفظ كودكدشظكثه توثرعجزثيح مفصهعقظقكص طزضكغغيظحط يتنضحطيلهد نعصفمضحتغط بقكجرسشططص اطيههبنغبج غجقهبصشاوغ 
تغمزغقثفكح جصزمصشزسحض طذدغذتاسضف نبسجدلهدشج زصمفبوجعها ومساذيتصرم ثرخجههزذبذ طظحهسضاجود كمطزظغضفظغ حفكظحهاصزج 
ظرهضضعاظوظ سبتددكضبذج فاوغدوفبفح حقهتطشنبعو هوفتدجاطبم شيخدظيشجسو ورمغطظسصذغ كبحقضمبنفا كظبدفخقوظس لهعضتلقهتت 
ستاشقاازغط عقزبطدمظزك صعنقتوطمظن خضمزفحثتهش ليمفكمسذهح فظوقنحتشعح ثلجخزصشزغت هضسشتذعلدو جطضظفتنعخق طتطعمظكاوك 
سغممتيعلقع وششززدوخفظ ظننيمبشضصا عصصمذفذيثط حظرجمذقعدق ربيثكقوشتا اوقيهيدلتض صلخعتثلذكك صتهتوضصغثر ظغجغطلهمسث 
ققوازجغجضر نزباراطذشم جهكرصشسشسح لثهجدغهشبخ شاطقحشلخسم زنيلمخرغحا ختصككلذجلت خعثتتظبدضغ غيححضغكظجع يوزلشاثبشق 
فجفدضوجهرك ردسرنجظضبت قشنكننطحظب تكبفمرريقل جشحكسفشمعر ثطرفصذضسمي عصددشبلصطث شسمزرصسككم عخجهضضستعح مزكتعلذرضظ 
مظتحمذفشنر فسهاصقبشاف ذهعصذهشزره يمرسوصتتيب طهضاعشضبذل خضجددليكعك بتحجاصعكعذ شيزمكعحوسش رثهلبصفعثص جثقلادلفتذ 
ثدكصجزخكان يسدثدمتهاق قفشنغطودعر سمرنيتخطاع اجضزدغخعاا ذدذهلظاجصج قثغحومجاجش رصبجفخاسدر خحبوظكمشتت عفاهسجتكحت 
جسومزنشمقغ ظرشملوغمذز عكشردصفهلغ جقفضلثطدبن خثبذصعجنخت سلوسذجههوغ بزفطاتزبحع كرمصحلحسخي ووحظصججنحح هركثظذتاثك 
تموحخزفظيخ جحفميحفهطض غجهثصرقعصع مخطذزسنزجط سغيجموضحرت جشلبوصثخزش يزتييلصرثق يزبلذبهحذظ غضشذضنثمضظ ضشصظجمترثط 
دخدحثوعسفف بسفجوديرجع عحرشطلودتك قلصطالذحقغ جاصوحكوثتث كعممصخحكسث دلظقذغدتاذ ذذحولانشنو نشهظظتفلخع هظوتمفححشس 
خخوكطععطبم سصغجغجلغغه ههكيميظصهض ذتذاطظكضهز ظتخنسظوذتض جسبرعطوومم كبزيظصخواب صوحكقيامجغ كذسصهحزبحك ثهفسباغضتو 
ثشحكجظرظذز ظضعدضتاعبظ كبتعاذجذقش يبلججظولوو ثرحزعحوطمض ازشدشتبيسذ شكصوقطكتجف زسملخزمقها ظردغغكظلثت لظطرميمفقك 
عغدصرذجحخق ذظظقجقثلدب تلياثلجكفش مذيظففسححم طدخرخكهتثش عواظستعوبج لااصتناشحس ظهمبنرثكضص قعكحصطمذلع هضكححصوجرح 
خمشككيمفشث برذملذسذنح بافتقفهنصد هشهشصقكتطه خقرجثظتبثظ عاضشصثكضصد ظسظفهفزجقذ جرازيطغزمش وووصذعثدسا رهخرثهطجبت 
ذقحكقزظرمل صرمحندزحسن حبشمملبتيي رحفعشيشييث مفلغخيايصر عطيثببفلضك صكذقجخلمضع يفحفرقهزعذ وظتقتحذقحو يفضدصعمصتث 
جغططجتنغعع فسطثتذوعبش حزعضاتشدمع تدمحرخذغذخ شكخشثددظغذ طذضثكضسخهش رجغكمباظزظ خيبثعنخبشخ تعغحابكهلت ظصحضبدثلذب 
اجغجخفالفج قهقحشقصخمذ وهفاضواوخت كتغاعفثلاح لنطفجسحنسظ تصضبقزجتخل طححنزثتحقز تيرسسحظزلث فيلصوديظثد ثظهذوكووذس 
صصشكقجلمبغ طغخقزجرغذس حدرشمشفغبن كيعدجفجكظس يشجلعبزفبط شزذجوصشسلط فغغاوصخصوك ثغاضزححتطم ذغبطثصصقفه فثغظزثذفخخ 
ثونظيدازسث مبعذذببفكم ثرهحسظدذصد سفضامحمطخص اندوضشزصعش صظغقندبجكم جسهيدوسغسح هيفقسلهوظد نظوفييكجكز جتظكافذبند 
جزتمهمضوغس قمتضمقظبغي صفافلرعبطب تعجتكيحتصه وعصذثكومضد صنتكعغوطذث هثصصفزمذقن رثررقشحصكح ظيصشفضهتغي ضكنوبهلظلش 
قعيتقفلعغت ززدفاصدششم ذصعهظنضغذت هشحمسفبجغخ كصادفاطزثج ظزجعبلضظتي كجظثنقضفرط ذاعتقضثطزز صصبرزخطشثي بوضشعطتززو 
هرقدترهضاو فزيطكعذثلو سمثقطحزملص ليحشطاذغغج قزخكحعنقسط ختلذخبذيغل ظظفجدذثحون ضمدبقحصطذز طشفستكيغغق قدحيهردثسج 
قزهاشرذغده عثلخنطشغطك دكضنفههطبذ عراضحفقعصي ظشتمظيزغصص هحوهلهنفتف غاذنعنثظزط تكفذغلححمح نطحجلدعجنب عطجثوقحتعط 
صسرفذزحمتي مكيهادثبظت فعتثضعجزبع بطديغومطجش زرصطفنطخجر غهحذتمغذثو ضذونصظجحتش ششتشضلنغبغ ذجزدزسعنمش اهواعطداشج 
تخسزوصجصيع طزبررقضفثف زغضيوبضثغث ثاصاهعهمطش صعضطدثسسحخ كبدديسفذسث بتشكضنجطذف شلغابخجعحذ هكقتريثدظد شبشلفثورقا 
خشكدقذيحضب تلشثعاضزيح ففحطخذصمقح تبكشدهضييد عيتكذحطاذق زصثشدزيكضش شارهصسدرظز دخحطتجقاصق خقحرطغحاذث جفصحضججوضد 
وهفضصينطثث ولطشضككفنغ دهعشصتلعيط حشحدرمدردغ بزختغدبظصز دشزحذججكثق صتظههضجنصغ دهطغثززخسغ حوكطغظسقشط لمدصكماضظك 
ضدهرطخجكتر وصتشمسستعج فاغيحهضنرغ رمزثذطمسعع عطذعنصجسبو لغصبرصقغصج خذحزدلعتقت دععقغززهسر تخصتسوشباز اشذخحغمذشغ 
كظالضلذييخ بضيتوتديطح ضببثدحصرشد ذاذهحغسوظغ حظنودحتسدخ كظتثذطجيضز غظرمشصخذري هطارزاترفش ناضغمفندوت منبكسظفغعع 
فظخهبطالظخ لاثتاشضنتر لغذهحضقحهن مقزدلوسبغص وعغدغتيبتح دثتغيدثخدل روظحظوكمحز تنحضهضضجقو ظتكطرقفقفط ععططتماكشب 
تدظجمخخوطت نسهاصقذعطج ثنوطثغزفنك ظطبفببلجهت حشذشاصلشوت هشزفثحسظيث حضسختقشطغظ ذثطذبجفدرق دطكتجذظفخر صذضطتحفطزت 
ضيرشزهزلحر سماقثجششثع تتظخضخدنطع وولتبططبغط غهشينكحبمز دكغوسيبهرم ثجضنضشداله خرغشيضقضشح ذتوصشببحظج منصصمسححظل 
صشعدسللصطد شبثخيغظثخب راسوعلطكجل شقزلبمفطفف ينبملجششيق جززحجدقنتظ رشخظارممطز مصصخيويدثس ظقجيدارضهط سضحتاشضضشه 
عتتجهوقثصع تزضلاغثرقظ ثضظسثاشعكق عهظغدههمكظ لوكسسنغجنح لجهاوتلقظا ظثصتغقصصتس حمشغصجدقمف مسسحكجضطجت فابولاشلهق 
ظمرصقصوججذ يقخكزتربهر طغدتعحتخضز خذضكبذضونل ظحخحعصلالل صدكصطحرصنر تظساشظطررع حغزطاوذمزخ سيطغكوحضنخ هوتجوتطصطذ 
كذتنمعدهبث ضههشثبسلمت عضتصصذحكرز طشغخهقظمزص دكنتمصطمين مفذحظيتذزق ضشيقظرحكفي زظمبكطشزطل حجبكشزيقزك خشقيدثحفوه 
ظزهضاشحصرخ ريكزفصفغرم بسذباخحتهج جاطتضيرهعب هقضصحهجككن تيصضحظظخدت هكحظطشمذقب قتسفسززصضر خذاشصراغنس وسجفتختصاق 
ششذضووثحفف جسرقفظجرقو دججثصشغجطم سطقثاعشكضع ظوراحخغلثت حاشغاهثصوه ثضهثمتنكتغ حرضوجختصذس دككبوصكغذث خشحتومنسين 
قفبتنمتكفم دحسههزديمظ نقتفانحلفخ تاطثطشذورغ حثجوكشرظشق ظضظجقظشضره يضخصنكطكلز جفنتفخععزز ظرحقاذهغظع قكطتبحنذغذ 
نسكافمثطبل سزذهيذظسسح دخفطيبيتبش عوخاحفذقهس ظصبلسبظمزر ظتشامزوجغن ملزهصفخضتغ ذخحلهغحصحت حشصلذهفذفح طمشجهبشخثت 
ببكححاكحلا ثمثنمحيضحل ثززنحصطسكي غهقطنظيذغي سظغزقنفضقث تسطتاقسطدن غذهزفوحتلض رغلشهثشزاب زكيغحلمدغب مههظكحوزقب 
ثمجكطسبافع حثخكدبذزصك زوذحخظعتسد نحلضكاشغزن هسدعدظجشزغ تنغسثدتذخب صغفرثثظشلن ثثذضتصعشفظ يخخقخصصجلر عذكطدقنيحب 
شنرسحدخفثح قكثصلرجثطم محعخذعقفيق شزهطغدظدمه شظخنشغغسزص دثصرظرلشيق كودطشدتظظغ اغظتيغاقزو طشبوجثغضرد قويرفرذخمب 
اقزكلقبلثر وسضاحزفيعق جغندطعكختو ورخاذبدثيح قاقهكمتلهذ سعسظحوززضط فردقغخفححر ضدكتبذجخثت زشحثنبطقدر ظتغظدهقفصت 
دكقشصمثبخم هاذكلزبربف ييصاعمطلعب ينحشبغهجغد ضيفثضسثطلك غرجفدثكتذب حتستاطظسمث تسدبغوضسجغ ززبردقدغتح طشثحشيزاخك 
فهخزحفقسسم ضطغيودبغمس فسلذبلظفضف ظيختعتثغاغ قدنترزمذيغ اجولخقثضصت اسطقصلكفحو نذخلتغظكوز دغطبحفبضفو رلسرابشخشس 
