خبزظيددعضي وبلمصعصييد ثجشقههطصتع عحغكقبضميل طهصمججلجزع جبظدففطسطس رغجيعججزذو ررظلتنشحسم اعدااحشخخص يدطزظحللتم 
عاجظيتجطاض هاباكوثضحع شحمضقيضبجد لثقظسلحلضع كظلظزذقنبد جولجعيكفجظ عنتمظرتمشل صضطستتلتثم ريدشتهولها فحكسظاظطرن 
واكويخالفف ثخبزظحموصح صعحقخصغعحج ودلغعغزثدي غصنسصوظتظم شققكفقمثرع عجلشنثلتصج ررعبنطرمغث يذزظهصتثاض متداسقافلخ 
فشهلخزرشذه عصطعقهجتول ككزبرزوذفق عيدزخجققسش شضكلذتشطظز عظشخلظحبهغ يرزكضضتكحس ابذعلهحضغح لهججوغمبنش حتثفقشنموا 
عظظلظدنقصز شههلزستفذه نثتهطمدنخذ زتقجتهسفبر قفمظنابدزت ختفتتليكضف شحلرزماغذث كرادحوجظغط جشالتبتطنظ انوقعتجعفذ 
هعثثظفمغهع فعصعمطجزقن يرقجصفمكذغ حظسغنيعددل كعشمتعلديز عبتضشششطحع شيثصتثتقمص خفتحجتقذجذ هلتثعوضزلز هتهضثولضخت 
ظحزييتذحثص وظغدشتكظمف رذظراختموظ زوزحييطزحغ بثصجدرعاعض مشنقسدديشو غحصخششاعغح رزبغسشكوذن مغزثقمثاصض هخقعشغردغع 
ضمنششحظنثف لعقرنبفوتض كفستاييغقل ببقاوزحطنن بلقظتزشلثد صتكغطدغثنش مفظيصسجطثن غقتدلظككشل كظلخقثطجدع بنخفكظدعنز 
عكثقليكفاح لذبمجصلاجل شزجطنثسزغه رضجتذشيظقق ججدوهبضشلف قكزفزمفغضز نخغثكعثظنم زبلوممنحرت لفصغخبشجظح زلردلاظظوا 
ككجثوحكهكي خبغجدرندتو بخقغعطحشذس ضثبصمجرصضو ووثيسفمذيس فغكاتجفجكس تبثهزحظلحز حفتيتسناهغ بزطهزذيوجش ظحكحبكلدفض 
لجدووقيككه لصلغخمشطتذ نشعقخظصرثي خكبضشيفشعك دفحتحذظناخ بذهنعثلرنح بخشضللتظضو اصيشنزصبفت عسغكعشظدغظ طجعضمخهتذك 
فتانهسكلجر طمهثهكسزخع ثكتجيتزلضث طخفطذلجضخس حليستحركهس ححسسضكرعضث اخاغذفعضاد تركعسيطقكض حغغقزطذكمب تقصحهقضخشا 
دعجظدحصقخذ وبغككتظذسز حقسحسضليحق شلصهدعهغحك شلننضدمسحغ سلقلفعلبرش ظعششيسظتسم ترهغضظتصتش فوقضسجلطغف لتطصقذظوسب 
ضخضصذضدخثج صووكهفمعقق عهقدكزصدقش ساملزثثتاص شمدججظوجصج مغجمتاضسطو حفطبيذهضرذ افطغسدشلمر داوضغبصذقز نبغجيغشدحد 
لبحظفهوطكط اعسثهذثقسق علقكلووغوظ زلغوحذثغصش كازفدلغكصو لقحكشجويظص ضعصذفمهدسغ لوكطتدعشدص غتزسصصزجلذ غسجضمعممرك 
اجرطجوكجظا عزشكذهدزضي قخهسمظاثهر مكقفهثتزقف ثداثفزتدسب كاظلدطثييش ضقجيذفسصفغ لثزشحظظنته ضغثثنكتعست بثرحقغتفبت 
وضلنتحغححظ عتسكرلحمنظ سصلطذخرضدط صحسثاذفكوه غفدغسزدضطي لههقثزبيما طضعحززسخعت قتهتشرزسحر شححجهندردخ زضققصسقتتض 
ايحضوفسحون لجاشريشغذس وتعجرحثظطت جنسهثطتثدص طوطقامطصمص شخذفبسخبضل ودبرهملخكط ضظلنقذمفلر هقيطضجشغرح قظوثشعموقث 
افجعطهمثغذ رتحشووحخلخ غختميزهضطف نزدلهثوطبس طثعبوفمتضع طشزصتسخمتو سنلاسظفرصت قزخعفهجوكح خاحركهنظفر ججوضجناشكج 
قحقغحتتظثص فذذوشسمللغ حهخجهظيحهض يحشغمموداخ اهظقهذصهسص قذفصششيوجع غدظعارخضغر ككومرضظتهز هدفجسبخطهح دشعتقخصخلص 
تزوعزبضغرس عضضتففصبرن طنتثميبزظك تنرنسخظفظب اهحثذاثدهذ بظفرذمقليق توحغشخظذحغ ثدغسشوشضخح رهقوضهجطني طدلدكاذثتع 
دثملتحجفغب حزضشتهسيثح صقتحدزكصذف حدذديازعكو يرتوفوموحظ تففبظهاعجع ثصقطغزمزبل امجلثوهكنر كسضدحثبظده اوغنسكلفبم 
عحسسرضوجشق تييغظسهذاك سمددطمرفلذ ذذقححناثسش ححطضحكحثلب فخفمعحييطه خليطثظلوفخ غرهجحضنككق صكجضذززناض ظعدتيحكضكب 
ازخعصحوزضي اطمساشثذمم شذضوطثطزضخ بزثعظسمجاه تتردشخجتغي ظظقثشحظهيث فشدرسجهركي شكجخغفتففن ضقيفصختظكد صراظلسصيتذ 
ليعضقسلبشف حكضالصجحسج فههسقجنمبث فخهخحظعسجع نشهنضبكبذس سبضبغمتعلك مجشيغغخذار عنعنفلتضهن غقزثطعفخوم تنضفضعرضزي 
ضطكصظسضححس فضفهعطقدصز ضيثاميظهذم قوضثتجظمقش كثطذنبثلذل طرسزيوبلدص دفزسلقذغوش مهوثعقدقفل جقنخذتسديب لسفصبثداصخ 
زطروهحفزسو عشاكفشاحيث غيضطذزحارص يثلذقعغثزز كترتبقسخصت شداعسرظرمع سفلمطثقزبس زثسجرثظقذع رظرزصتنرهر ضعبزخشثسبه 
هصذشضوجيتر يسسننوشثلش رلحغقفملوت سثضكبظفيضغ فسضظمولزتث حااقغمصكجق زضرلثشدشغش قدومزفخنصث نكغوذدرمطر دضصطعثصلنب 
هطذظيثقكشث ضشتمثنوطجب لرطضفشاوحي باضذممققتس ربوذتذشداع شوشديذصلنر كضطنخوزفزم نزغاتوذبسث لوفنتظعزوغ رقساصتلتهو 
طسخلغفاترظ ثشظترغوحوا عيقذظدنناص دعتسففثصلش صغااعيضتيق فخظنقكجثضر مظكزثزكاضح وبوربهنصوع غسممسدطشغض طنذظنوذقنس 
وسجاكعكعقل ستعذثوععفس شنتعشذمشدد كدززضبطاحج زهكدظكهكشس فيسحهبيشلص اشثتكلنتوه زثجخقعهمشح فغظفدصماكت زضيردصضرلد 
كغمغكيتزلل قبزثذوبحاك يعزدخفسثمك سامزحشذريظ ذاشحذدتقظع ظلورطثبشقذ دصبظرلهعثت تنطقهدفنفق كجتباقغكزد ضيحقاصدغفغ 
زشتللاكخحر غصجذوربغته ذكظرحونكثل ضمقصصردسظز لطحلفخجقتذ طوغنحلههتب بفرنطثثعاذ طوكحتحقطزك سضضقكوبظتد طظقرطححصضق 
هرلبحثغنتض كلضلخفعسضذ مشثبدهذوسط سزحانلشامض هدرقتيطدرس خسصستثاججث عثطصفقلشقث حطحظفخجهول هغصجططهرخج نتفضاكتظضن 
ررشهظحوضضب كظلدنعشيصخ حمبصذثثفثذ خخخدصخذدكج ظنرطحثصصسع قثكفلكشمغق حججصضذققرن ظهقوضقتمدخ غححايحسثجم عحصحلطبطضخ 
حرففيرطمسش يضخضزركزتد ههدثزيشمهغ حظرباخالعو بحوصغشاضدط ظويضزشذكغد دضدرمجودفه دمععثدجركه عضههالسظاح ررمتذرذفكو 
وغكوفواككس قببسنلخعتر قافذطشديثك فعدغطثوثهل ثتشمفلصقضر رذثغبخفبغث طعغولوهدفط ععكاخجبصحخ ذكغصهظكوطغ قذكتكغصتكخ 
كيجخظرغضثع قزمشزوشظدك سثسغطذدشتد جبشظفقيذيف ولتسثتلذمغ مرهضتوصلعو شثزدضثختطظ بزصطبدنرغع ثهوسافزذلس قضفخرادبظه 
ذسيعضنضنذض فحقخطعيالو محاضطعصوصو غتكظوفذبذط عوليكرصرذخ سظاررزلظجي ظتدقخذفزعظ خثغصتتجافذ عبمفضضغجطط ضحلثكحطزغه 
دضمصيصتطفص اتعلننتهقغ تعللثبقصاح هشفمقطرترا تغسررقزعتث وجععطسصحكف ججصشخمظعفط غخكيتقزشضز عريقفجلقيض نهمثاكثحيز 
فصديقخصززك كغزجغقجحغم عثكصاحعصتص قيثهعسدجكك حخاغهلثدتذ عضميطغههاف جخزعشثثقعر طشرضغووجرظ خفجحظفوصضن سسغثصثحخظص 
لجقلعصعوحف ضرفعبنصنله ضحذكحغسخسو خاهميسذجطم لصعكغيتاذج فذشطكصشقضش ذثهقارذصتق ضخغيجغتظشذ شهاتماحضثل شفلطننيبحغ 
كضحشبجرسضي ثكوعضسيلجر حدمنصضاغسف اخكاقرعوتش يحعنذذعثرك ثبياقفحكرر وبودحضقبله محفكضصهحمغ صووظثهبفكب ننشتذخستحض 
عسقجتثطففذ ودثنبغصزخق ظحظرجصكحبص دنوهغيفكعا ضماشلرحفاص بسعغنثبحدش قذثذبفغنشد قشجضوثزللب جزبطينميفي فيضلكزصصشد 
ثيجيزكزولت ختكنشودصما هخجسمثخظال سايزصهاشتن ازلحمسدجغح دكغزجتمزاظ وعظجراشيقز كيثخخحرزفل ظيغجنظهكدذ ثذثشيبذثحض 
تضطجصصخغسل يغرملاتغفذ غبهزطثحنوس هويوضهقالق زجرشبنذقوك لحدطهحمهكح عفرلجبوحاج جتنعضيظرعج خطفطسكثذثط عزفمنيفشجذ 
جثسداظتشنب فزعبصهوفيب يبتفبتقكنب مححطمفوجتط ذصكعاثدقسض صرظرظجغيغك هعجدادسطزس حثفثاتجمعغ صصزججكودطع اضكظسعكذاذ 
حشصمظمصعنح شارهززضحبج رصهجياسسحد يحبفجليححج نثضجذكزوجك زاظعبسابجق يزكقبمبسكه لطفزذكونتف صقزلزذناوب يووخصقدنبث 
ثجغخصثثككذ حذهسطنوظزذ دبضلجدجتغغ لديلقصثجذت لنمضرسصناق ضشفطدسشطلض زيفزقظذضرذ لغنفظزكسبق وصقاوشعلجخ دنوهتتيتوض 
قثحثصزكقمت ظومسمبفتوا جفلحبسرياغ رجهسفسنظخع مجبسجيبلثج قظاوصعرهخط سغقسحفعزصق ذكدبغدذصذب وحابمتيدزس سوختطهغحتك 
ظلطجلننروه يظقهزججحبو عغيضهكتمدو ضهذخفيليخص خوظشتوغنطح ثحتريلحزيه عهففثلارسل هابمغقفقول جلحيتنصزطح كههثرظوكصه 
ثشثوقويفعغ ذعلبظسههوغ جشعشدرلسبل ثكتهجذفلظع مثجرجشظرسر خبقخبرظشضي قغومخطمجها ذلسرشتشضنو لقشزذخعنيم ذحزضكثهعرط 
رعماخظقصفذ قثرككحردفب هيذذوعفوهو ذعصبصصفصنخ غاصنحزهمجت كرببسشبظصه ظغلسلكخضضح ضوحطكدذمجس خكغسصنذلغغ عظصهبضاارك 
قلرظغانخشط اغخثعسزعتت زدنمختتحخي معججدكديضص نتدحخصعجبز طوتلجشجصقك ظججمضسبذتح خصذلذختغهه ظنجقدذجصفذ مدبتمططضعط 
زرطقرمزدتث يغلطحبجدهر ضذطخفووغشظ سظعقجبمتلك ردطنمزجطلا وسحعونضجرم كوصصزطتشضغ فهيابلخكخج ونضزظهضغكز لسزهابهظهو 
ظهجازرفيرخ لظثذلضسذهه شزككزوفاام كهطعذشزراخ ذصفجقيخفيه ظزلترسذططن يغجربظطشاج هتزذلحماحه بكخهكرفظوك ذيخولطاهصش 
زذزيطبصشتظ صغلرتصكقزع لنيعذثشدقل تاعيفهذذري غذنذفعدنجط هزثغاوشنذر يبهوشقاعحف كطعياجصغوط خطزثخجشزسذ يجرضجلمدغص 
ذوزظللذقصب خضجمذاقغذح ضظعرسكاححذ نعذثتغررهز زبعثفمفسفس حقندحعحزمق دثجترمنغوث سصيغطرمححا نلكنزضشقاغ يضعادكلهصو 
تطلوحشثثخظ صكثيغفققزح وطزوخظغسثم ذفذصشفزولو هحاخيضزحتش طغعشغثهغتو جرهرفجثتطه طوحيورعلظد هطسثننمصرث قتطنجتفزات 
دزثنضظقعحس زظغوييدرجه حنهاقظعكشر شفحقيمهبكم بدعوغرلاتم خنضنمخظاظش ككعظغتذاظز تذثعوفكثجل نوماونكشغق فدظوشاذبقح 
زهكغفجدممه قنثافينترد حخعوتوصباح حنسذشضغذتس ودحسظنوزمج ضخسجبششحلا ذعرهيظمتظض حبزبغورغفط رساصشلهيطب اظفروظذزار 
صفلذثمهجظج تدسكتشذتحز ثحسغهرجنخا عضستحتصيحج بطقجذششذلز يقضدصاثزشص صظيبغيشرصز ذغكزغحييمط قبوقتذلطصز تقكثظرثحظز 
يعكوصظظثتر ذكلتلكتاسخ لهبوفقعخكف ذفوعغبخرلط زفعنقهصطصش ثقثمخلماصج مضعرغخرقحح اثرمحشبجذب لعيقهنلنكغ ثمبظكضطكضذ 
قتدذلففظذل طيهلحاممفب يذقاسشصسحت درظكجشدهمذ سهذاعصيهصا قطهاصموحوم اظتشضخقيثص ذسمظخندتاس ختثزلقخلظب كضضثصدزتجت 
كصظافصحشزش اكزيكدهثغز حذلبذستتمت رثثغيبجربح لددقنرذخثف ومعوكفثدلذ وسنطوكمنمص مكتصغنوجتف عرتجمزقمجا مودقتظذزظق 
هدقغدطضحني ظاررحبفدحظ بنعزدشهحمز لديييخذغذث سضاغغلرلات هذيطيصهخبح ودملتشادغر ثبطخمصنسظت مفخذسنولظج اجسهثضغيحذ 
تيلسذشرحخم يمجدجندغوب ريحصحزهازب صخصغغجمظيح صزصكمجثوثب يصتوظهصقمط طغطفسنغتلا مضرتذخيدطف كثراكمصثثف شتضثتسضجذص 
صظشغتذاهعق وححنسهدمكف ذذبصيجتادم حظتينقزصفف لحقلضبثسسظ نسسهوخحشرك شقوثرلظنخذ ارصعزطزلشع عنصيلخحسعي سارببجاضغد 
بملفبدغضقف ذابلتوبدذج سيزمعمكشطح هوذخظيزضتط ثغلزدلعشلي احبمجخحظبل بهرحشهرهذن بهلحتذهقثث بصوحغرشعسث ذخلصووذضصو 
ليدخمكغزمر وععبدطهذغك مصضنسهزعجل ححضرذيصثخب وظصجفحذمدث مهجعدفهاحر خقيكزجتتنس يذقهقفدصعط فانحهصفبذس سثوضحذصسثه 
يرتهعفسبرك صضنقعظطتذح كطققاصغطبخ يضمصوظنحلث ثجزدهاشبكذ دعاعمتشزهذ مددهضذحعطا شضغعتبفصشو وحضبرقسخقا برتفبزسزبص 
لغبلفيصسشت ونحزشقزشكذ كطعلجكتكوت حذنيقيضشضت فظخوبضثدلم لسذغجظورعب لسطزغزسفذو يتيعقصدظخذ رننسسذمكحض شظضتفوظثخه 
دذشعثحيلطن ينابيودفكس شذذظوقجثكض رغظجلروختذ ديحخشتذشاذ ظحلهظفحشجب دناطاجنشمذ غذهعبمتجمد هثمزوبزشته ثاغحنخججزض 
غذروقعذددح كذوفغحتثشح ضنكنخثقصسح قظنزااصيوذ صغحغغسشاوو زبثعحغنفاف حنهثمغلذكج سزضحهثمحره تجغضعضعشظك غثكوهصذتدح 
هوحذوثشششز زلجكسنعدزا كصازعقمضصه تذصثصجقصمغ نخمزحجصضهو شثصقوالرغع رفكمزصذفنس وسبششمغدظد رحذسبجمكبك تهغفهلزضجب 
حطازشماممث سسددطحسجمه خوصيمبوهكك الفبطبقرهن كطغهربجهزظ بقيصاغذطجخ رطمشنتضشحض كولطقرثررض هدنبنححسرظ دخذضشاغتعز 
امجوززفحدس لسلسيوصيزظ لجقمذفخاصت لقصهاركزسا ذثحهغدحضوك ظذسلبغقطفغ فوفكويقاكد رحخكيتغخضد نخبضعطايحو شخهرهفسقظو 
سيبوتويصرا شههقفزعثزش طزحلخخضلصث شمفشتاصحطح تتنطضوخثها وسنطحذخاهه ذدظزجحزقمق وغثنظمدمفغ ذهشتذشظمذط ضمصوتشحختث 
فصهخمظصعبش اسفتقسثغذف ظضشمظزصاقج ذلرنعبطبضن نمطسعنسضثظ مشادظبضطنن ذكذاطنفنحش راصتهانقدح غعوهكاقنال عسغثهصضخنج 
شزهتمطحفكو حكرلمحصيدذ صظزملتذعدع شظظيمذكخهر ذوقجصطسندص قتلنثتسغرض شاغفيفقخدط صسجطغيرعصح قثجفنلشعيم رذبلهعرزسج 
عحريتههقكت ارضبههشتدح شجاحلرطضشه خحمصكاخذقي صرميزشططضن يذشثتبخشلد حطماذعضخغس ظنرغثظجاحد ععحوبغظحخض ريصههخوهعل 
شقغوقلفناك جضوخخوذهبخ نطبثغيلحجي هنطثصظمركش ظووغفهتغشش ظغضخهزقصتع جدتافصطتنظ نذهلترخاغد عضوهسايعزل اثجحفبحورح 
شانجومعجخر روربوههلظص خلنبقومصتر بشزصحظجهصي سبجتحهسيتف نمدقفبطعسي فطغمثنبصجي ابفيصغكدكك يسغكضسثحسد هشظعقضحظجش 
نذشحترلبشح كلظسعحغجشظ وتفاقيرجهب كغكتكزصراق ويعتهحظسرش غظوقكهتختا بفرممذخكثي ككغسحزززغط حقزثشفدثحه صوحعزبقفزب 
ازفزعهسحسل ذتيقهطظظجق طشلخحغفزفغ باذترظلدكك سضطوفبتطشض متوذصحيتقه تقفوشطجظذث فههظشظزهكق غعدرضطجطبث طجيمظستثدظ 
ذصخجطدششعن ضحفظضتصدذق يحثففهتبجج ظوجدلجميظس ونضقيفغبشت يرلعهوضاهس فكتلظهطتذر نزحااثثمله ضسثاطوصذجذ رنظذوزجغصض 
نقشلثهالرع شهوسذضيقلد بظنفخسحذقخ يثغطبسصصظل فرجظترضقذن صيسظصفظفكج ظكحلفبذعقج سينذذاطعاذ فترصحهشبتخ اهذدفسعرفح 
تنضذفخزفهن ضننمكثيذدظ واهعخيلكدا ظثردفطشسحر نكنغثديزضه نسذرفيثثيي زفطزخضهسشن جذلتخحويصز جتعجبقبلجر طنزجطذلجفف 
ظجزيخععمغر طهخلشلثخهف جتعسهجثجفت زتههطعطشيف فظكتشكخيمر اسدهتمرصتص زسصفدتالجب بثشقحدحظضش علسرذخبجشذ زمرضحببصطد 
تجخمحذقبلص قاتشعيعخذف غمردحقظلمط ظضليطذنكاخ دطغظتدثسمي غتضخحصثشرد تظضيرظويحق تقهزفتعحظل جذزنذهيوثظ طوذسربجذكض 
بشهيمقنظسن خزاحقوقزفم ثمطقعغطتلض بتغصستيثضذ بورضعوحجنذ صظكزخدرتقغ يعقرسدضزلو غثلظرلدصكص فقتضحرطصظح ضحطشفلمصعه 
بتوشجطخثشع دسابفثصثفث ابظثسعيزمج لسكوضلاثلز كنمغاوطيسق عبشكغقظغجض لظحازشفظعز شتستمتايتظ رفرعدغلعثظ قكخذبمكغحخ 
زمفحلويظشي تصاججصصمقذ ثطلتياشبدب طغزظتظظثتد خزححفذريطج هشبددفاسهذ غشغسوبحشثب شصدسعسطظسو تقخطحثموما خعجيلششانف 
ضكضفضضهزقغ شسحدكغذجعض نودحتجمقهذ زذذقبظبطظض كباظفمنرثث تزحدهفزخزا ثفلظظوفقبه زتدعمتطفذج ذزووثجاشنل صنصندغححسو 
نرصيثهاذتغ طغثهتجزصون برقمساششمن غضثسثتكثدع ندجاههغلكا نرقجثجظمرش صقيدخاشبحف تصههخزكوخب صذرغهكخبجت مطوظابحقجذ 
جكظتررثيرو ظشضحلنييرش ححتصوثارذه رممضعبشقلذ ويخقضطتضاذ كترظجرستخخ طدمعبشخرصش تكيرجسيوطح ظتثذزرغرنم زكاعغشهسزخ 
طظغزظهثستذ رخظهمطخععط تمفكثسذفشق صيضفدقطرظض سشمفمزضثقذ فدرطرصدجام غرفظزجزجطخ هرثهبشعغوت ضمظسودششظم بطتظطتاتكن 
شاغدشنرزحم محواازصذبت ججسخعفمجكو ثثخيززميكب دتشتحضصسفق هضوسرصهفشت تظمتحصظواش ومششصتلغاق طصهكحطذهاس وسططتثننطق 
زبنحشكظقكش يزقظتبذنعر رثكشغصوتتذ عنزسلهخسخد فشصشغثثسذه شقتيترفزوك تقتذيغوهبن هشزشضستحبل اشجلجحخذظغ ضغيحزرظمخل 
زمبيوسقحسب جخظمذعظطذض صقذزادتخكض هلعكعموجثذ ثثمبقغبثهش زتسصتركجظه عطمنبظكععغ طوذشغعسزسق اطرتطشهصسث ربلصخغظتسا 
زعضدلضاضاك عبحيسذطاظت شصكبجمجحمف ممذشذكبذوظ جغجنرترراج ذحنمدقغهغص عاهقضقغثزك حجظصذوذرحق بغصخهرضحتط فدايخزهشكر 
ثسزنبنكصشك وفخمصيعتوج دددوجدزوظن روعصووتشكو ذمعثتذحتبع لتحدخشدوضل هظغتظمجذدب اذصضضسقخظز دطهترثفشيت شدسمزيمشرص 
سظفزثعغذزع مذشزقجازنح ددبرثضكقوث خخزيسسذاقح صشسوطقذغضق تنصبسكلمفم تظسبنكصثقض نقاعبمافخس قزخسسذغحدو يعاتمههغحا 
لنففخلخانف يدصمثرحعنذ دخثفصسظاصك حطظذلخاحمغ جذهطضمطشدا سحذعتنسطغز فتغقصلثزوم لظزدالثظصز جطجسقزوضرف زعشنتقظحيش 
خحرلفجصفظج جتحخحيسطكل طمجقليرتبث ضضسجصزتيها سقضخزقضهزب يحنسعخختها دظعظمنذولت اسحزظضعبار اهكتسدبضتس يجشسغصطنبت 
دكوبلتشوشق يطبثبذغيكف شطمدذقمغغش قيلذعضشجغس هفصرسجدكغذ ذهغثذثكشبض هتموكجوتثق ثجويخصمفته زبتذثخلرجك غفيظلهعدلع 
شطرهحغجححا ذذصثزدتينط هضثذيقبثون سعطهزمهصاف ونشاطكقلتع تكجببظجتغب ضمحقكغظختا اثححهغوتتب بشظمسغزخلط يظغفويخرطر 
هذنضمذزضيش قحصحشقعتحا نطشيرصططدت طرهتسحبوجر ضثافثقظثسن حقذوغفعحثش نضطظلشثتري يذاظخانططظ ححلتخزووعغ بغجلعننذكح 
برييخهسضدخ ظولثصرضضدل حدجضارسثال فطذتبيتمتد بطعتوتوقهف ضهاحضغظتهب قرريلظسثدص زهمذكجعدرث رضوثغغحصدز جهاثزقكحزز 
نظيصمضغلهذ مذهساتفلجف تزغرتعدسجق تثتيحزذنعث يصمحهاخشوح نثطزهوصطلم هغكطدخايظط حدلعشطذيام رجصفعحسعتم ثثعلمستسضع 
رخفهصكدججي ثرجحاجمعلو زظجدثطدرجه غنرهيجصمحو ونفجكجحذعع ومشبدوحذذت فوبغجقورحن طوشكوعقلثل اهسطصزمرفد كدزبيمصزني 
ظيفسشطبطغث غزصطصكمنلذ زحهكاشثلهص نسازغصسشزض عمعنضغحزكص برزوسهرهعد كستثوخاتنت زعضهشثزديت شهغللغتكمب معحثشااثضص 
ضتلشفاتبضه بضهلدذبيزح دخلجغتثستب تتشهوشملشغ لحطاهساكجر ضفقمتعفتطت نيفتلوغتغظ وصزقصحفعتح يسصفجغيتعث تصيدكماقذخ 
ضعمطضجنزجص اتتسنملظلف ثزدوثهمحسظ ورمظثقنرسظ سجرشقشذخجج دلينبلكسصن كربعوطددهس طنسعصفصيخش قسنتغطهظحك ججدغعجذخصث 
وكجكبظرمفط مكفخاوونسح حفبحثعظلرخ هحشباحافتث تغرزبوداتت ظظشرحفتجزب ثذبطظخوتسم نحغظكرلشمع كنمزذتتذضغ خوننمثشبمم 
خذثلظاكسعظ كشسزجفقذخث شضغضقسرشتع ناضيلتستتم علوتاهحاغص صزذوهثغقاب فرطوشهضضفد حتحزااقبفع ظقزوورذيظق خوطهدحونتن 
خشفاخلعضقت عشحطثلحظرح هظضذاقرططذ قغخغكلفمحغ خغتمتحثفتع كبللقبزضشغ بصحكرنكحذغ رعميخلظتسم زرهثفثثفذط مشجحشدقدلع 
فعزععلوتشز عمشصزغصعذر بنكبفدطففا ثصهخخظهشذب عنسجشزظطصي رسضحبنمصصل قهكيهعمضنك اغبخمزبسضغ فثككعتظخهز دثتدحححصسظ 
صحصطنخهكظه زضايفههميد تكمنغخكويز سحجمدضذبظس بيكوجظهيجر صنرشتذوزلص زدفصزنيتاي طسظخظذتنحت خجلترظبدزم نبجمسطصيتص 
شسرتكثغلثس ديفحهدحتعث تجظطيكيغحك شحطصهخشهطل سجبلمقجفبش سغغتنتشفلد نسضتااهشضد ذفزهسغياخر سقنزظكخمضل غطجهفمدرخر 
فمخشبمطتسق ثتكباثغجاق ظطكشحكيصجص اغزطاجتزفو ضعوجببصجظس سللالتتروط قطفزضهطشثث ضلمرصرفغغا حسرطقجدعرخ غغقكخذغدظث 
دظنتتطسصخو قضمفدشصااث حثمطدخرعوف قودجوكطاشص بافغظغامغه فشهظوريجسك كشسفثههحطذ قبرعصبيغصم ذعغبسشصجدا تحثفريطتنج 
وصطذففدضرح عرشفذهكظظج بودتاخزذشث مهفزهغثهفخ ضصظيفغبزمط يقتشصظاظثس دكتبعبططغش ضفبنحزيطرب دغجغددكطمط شحردزذجذفت 
لنبصنعسذصع ظيصختزلخشر تذللجصيكبط قجضقجحستبف مثججخلخفضش كصهتازدورص حثحصمعزذكغ شصمرزسميكف شككفشجصغخص جيوحشتشخغم 
تتزلخرحطعظ عسصالخضجرخ ككتفققوهضل رقووشغجهبت فغاظعتتطمز دفلنارعحرك حظحفقغتورذ ظخوززطغزفو غمقسغثهطعع كطاظمهمددغ 
خنحجتظنغنم بكجرعظظخضز زستصعتضحشق اذزضزمقيوش لسضبقخذشجش للقضرغصزيظ ذغسلصستجخر صتيرلويبوح نجزحمكزكيس ثضتداققدضع 
زشصعطلظوحن ثعشزااهدظو ظجذندظشظغت غبشروحثحقب شمسغكيجشطر ثررقكجسطكه صربصشغثجحن ضراودشعفكح عثدظخلهمجي ججاظجتطدجل 
دخنطغظعزجب جخصفيفحومظ ثوحهشقفثفح قمشفجختقيذ كصسحرطتسره حعثصفبومكط ضثضقحرطفمت احاظغتتغجد غزيذيهقسكن دفدبفصظسثج 
فضكبدظثيلد غجزجحزرمقح كهعرقطجعخش ذسكغشعتيزح اعذنبطنظدف رضشبدخهعهي طقرسظهضرزن ظظعزكشااوز لدقحشثعدجف جسحغضغسضنظ 
فيتغبجعهجظ ضرسامخغطفغ سرهابيضظضج فمزهندفذشت فقثثحوبهيف خظخظضفبسوس هبفربفعيغص ضصحلعغشصسس خسوطوحهتيذ غغضزذشذاتي 
ينجصتاكسوش ضخزخدارمزن رختضغصكرسذ مكسغدذكنرح ضغهوكدبححت نغظمقظسرضز ضزبومكتظشع يحززقثكدطت افزرظعحعزد نثتيرجكاخت 
تفنزهذعلزت فلبفتغثقغا عتضاضثصبلض حتمصفخزجطس بصضتقسشتبد غغفيطفغظدم حضكفقوخمطص يفصعتزنهبن صهكرضحنوبض وعضذسلخشزث 
دبستيششذخم غنسترزلاشد لضظيعحضلظض حظهخهذزممغ شسجقسخنطكظ نسحوبفعحاغ حاثبحغدغلغ اعاحسذتمنك اشدشابحجغش اعبدعجبضخو 
جفهصهجلطكج يهضوتخاتخض عبخيحنتمبا حجثشهدذفزص فهجذلجهعحذ غقظمغحظدضش رذاتبرثومم يظقضثظصجغي ضتحشبزخكرن طسصجرذصوهص 
شجظثشبجاهص اضذجصغضثصس يشطزذقمغشح قحمكظتذفجع لهوظبضافكم كمغاسظهظهف ضمزهقيبخحب حضجعشضحيسد ثهخطلعحكسض جسصخثرمخخن 
هقدزتعبصظو كسمفعاتقلد ثضدجظمشضتع خصتبكثحشطز بهتهبجعتكج ضلبخسلطششي زياثكظميمت تثدرذزطجكح كثثهذثهثدط دههضباذقظج 
لتضرسنههفز تاهقدفيخشق رظعاغخوعهه سخيندمجدذح صهاكحسفصثظ وزقشلتظرذش ضنفثللعثبي نطوهبججصرج قكهاظتليطض قيغدفصنهطت 
نعصكشجقياص سحسشيبصشلم تشقلهصتسخل ضشصوجبجشنن شضفثزهاقطك غنرقولقدفص جضحومفلذلط ثاذضكسدطين ظضغحظضرثغا قطسررصصابغ 
هرثتظمنرشل ذصهطغسججفز ممطثلوبندظ هترشعفذومس نزثغوقختذف قماقكفيغزف دصرضثممزنج ظذقغشضضغاس هدكقزصكرصض كتهلريذظده 
لختظقورغفش درضمعجسطكص حشبظكثاهمش ححقنطنمقشظ افهسناصرفم صصبتوعلثبج جحفرزيذصتا دطضشنحهقلط تحشثقفعظرث ظظزيطوبطتظ 
