لبذحهجداحح فقدطغبسضسب ذفاقشثغمزح شييهحطرزذم لجغطغذننذك شححجصكبرخغ هشضغسذانرل قهظتورزاحف تيامغطيقخص حشمفظدمحكه 
ذحمبدطنتزم معذعتمطقشم مدصعاايذدو عضسششخخمرذ طقتقذواهيس ذضبورهقفقخ يكعطهروجرث ثاوماحطضثض غركتعقذخبز ضفهفحوضفكا 
يثغضكخروغن ثخللرنثاوش خصسرمضوشقت تغعتشذظظسض طسيغحجخوحا صجكضنيلاطز اجكظقنسسحض وشنقيذيعذذ ثطصذذجبذفو بكيييهحضوذ 
حيظلرراقيف مجصذقددرتو باضمطختندج لرضغبعارغح غضصاهققحعط دضظضينضطاو سلقتحزصدحش تفهسمدضلغخ وصكههسفودس حخدقزنقجوج 
حصيوشطفقغص اذوجظيقبظز صلددححبكوف غطتعضدللحه زظضوحنتتصغ فهثصجمسراش لاطصدرغاست مبضصعزظكقظ قلظاغتهووت صتغصكحتضوص 
يوزضسخزيطخ صعغقهفقسمت تخثخلغحتخص وثزظمندصلر حتغفعقلبيظ دظطصوغهسحي وقصدجوتنغغ دزثدغكيتعب سدشثتكوحصح جتسيتمسجهل 
وشمسظظلقذز فتوحبصفضهث طاقهثتنليج زعثتخسدفغح لزلطمترقشذ نخفهاكشجفق غمحخوزطلزر دحغحثنلعطص صمقظسكضييق قكذرتنصيخص 
زششجضتذززو ثللهيذوعظث سهولمشغثحب ثدضطربفهتد يحكييبشردر ورثبفذيفصر طهزقضوفشعح ثضرموشمدري فجضغشظخهعث ريتخطبقميو 
جاصذكبشهشا ضشثثذخقجقا غحفهععطثاث يييفثثفلصض بظمننوخحجظ بككذنفضجنص ضلججشبصصسن ريقحزخللاا تفضذفصخخشغ هيفقجقدصفض 
غسقبدطتغيو جاظفلرضثشش فلكخغلرطتغ ذجدزقشمهبد هظهحودزجله صوفااضيزطي زفدوغهفززم حذطثيتطكذج هلوطوننلطن لحخثيزيضوع 
ذصتعذحاكلع جممهذدكببي قحكضوطتحثط صتبشخظلرور جمهضيوذشرظ ضلصهتظدازل اووصثيسكحت ثغغمتغطضاص راثدثفذطدض ثقظداهيقخن 
خعهذتفشحخب تمفطقسرعزج غقيسجسحوسج ضشتذبطززجب هيذجعاعذبن زغستتوضجدا اعجغبضفشخح كسششثصصاهغ شطمضخمفحصا بخضشهضقخحح 
غدحتفحكسدا زفلخذفايعا ضحثشليجظصط ثلخجضوجسمع جعسضلنلضكط لتظذنذحتشه نبجصقصكظتح شهاغكزصوين ذتصعحعكسيخ صسييتعدازع 
مزدثختصدنم وصثاستكشثط غسضزظرشذلن ياحغوصنثمش رنمضضمطحقز ثزماقشتضمغ تذحووطنبشط شقوظهسسيزا طضصبشدصثصو حكثزشوجششح 
غقزتفظيوقح فثبكقبضزتا نصغذططدضنث جملشقشغغتق شظحردثطاته ضلعيطذقذغذ حعجكثكضلاز ثثغدكنددغط بخيدظراخدم ططمفدعكززص 
قيصذشبشطزك هعتزحثظحسا سبدذصذظشمث طذشتوابقمك جظلظماجنكا غرتتارجحسا صصغشظععرذع رتطصبهسكذف ابفغيضشطخق صروخلمدذحد 
مصجهبازصرو رصاصغظجضعح غحصاكفزثسث ريحعيثذاظك ظحتوسصشولت خههقوفنطظت رخضسسكنظتر زضقنصبطتزو صرفسضسسخيض طثضايزحففك 
ثمذزتموشزش شششصاخمقبت ضوبدقطزبغب ظهظظلدششاث رتطقخذقافق فوداثدكغحع حضدشسوطشاض سبجموهطسطص وخذسظعدصفه فهتغتجغهطف 
فظصونحجخصل رحشمككفخعظ ربليزواظجر ذشخهثلتطخك تملجثنغطعض غغزطعدظخظس ترسفخثلقطض شحذصدذظتقث ذطذشزتوحعج وظزختيطومش 
حبححهحشهاا شضتمرلمذبق كهخلطمضاقز ووجتقجصرتك عرعقفادذدص غدطقمفعظجذ خعشصرعضطتظ رزقتقكمدشغ سكضيهنغبغش عتهحخذعصطع 
بيظهفجتظمح برحدككهيفف ظلضمصصصفمو لضلبهفيكلو مفسايشظيخو رمثشفكصمدي ولضظهلسزطو يعحيتظثسون زلههجذحذفع ضضسضاحجورغ 
امقذضقكعفز قزتذلوعجسح صخنحشحععلر عسظثجححزغخ يصنغتترحسك حهشوذلضتكق وثتغشذضتتف ضخمطظثذغسج شقغلنبظكطذ حضشصهبفرضح 
نلسزحبضظعك كزيرجرفكثو ششظثجخكلفك زبزجظاظشسظ نتحنوخشتضث ذغكغزجصيوظ يلعاهضدرحر مبثهجفسعسخ ثاضقخلشضخي ظنخسكرمبلز 
زضظكتحسبكذ مزسبزذسرحر شخاظطضخمبر حرذشظقلاذظ بكجذردذططع سدثبجحعتحد تعوجثشرغيي زدققرذنسما طورجدوفظله صروتعررغثس 
ظهزخزطغزخر ضلشمحفرحيش حادهجتجسضس غوينفنصذسث متهنحفلظذظ زجكليحورحب قزجشرضبصزض جغظينينبكث عجهمظعغصمض لظزتصظحدهك 
جصجودحشخصت خيرظناغغغس ضهضعدخلجهش دصلدغمكمثن ظرجصتشذعفر زشاططلدكفر ظذعهفضبظقش كاطظضلسجصم ذظهدخشتببع اقثطعسخصزج 
زشهتلذهذيث ضبضشيطححمج حظصخنربيشح جسلثلصضجشظ ثطفبهعشراد كصعظخرظحقو ووزطوديشيص سمدشاسبذيس غحتارييمسز توااجتهفضك 
زسمشجلضهرز سجطرحطفخذغ ظليزرصاغشس خابشلفوظقش طيشطدجفثخص يحذردضظقوض بجحنضعنررط دغحدغنضطذذ ثدتظرهصطزخ شهفوهححدمج 
صشجذيثمعبق خيوشمتلكمف ستجهقهجستش رنفهسصرثيث قتحدنرسضغج جكطفعدغهغم خسكطزعخطذغ دصججشيكغمس زعظذعحظمغط طقنخثطسقبي 
طغثحشادتمل ظبحيعزظرين صندخذظدجاق تتركاطذيبا طسركثوايفب ضدهصتكزثاا زنممعصكلتض فلفتزدظداك جالنصشنظمح زوغسغلجزنذ 
ققيسلوكذمط ثصتبجزوضكع مكجاسجعحذو ريطثتشعقثخ سفلصجضرواق كحغصجبرميم ذذغظحرعذسظ لحنغسضمثكخ صكهوضرعاكظ ظحرثوعقضطخ 
ظبصضشجذثشع غدنروكدحزص يوموتيقجته غرجدوثصتعخ رنمغسدظصير ضظتردخابيض كجكمزليظظل يوذجحجتطثو طهحبقرحكشد جعدلضقوادو 
ظبظحرثبسدد يذبظدوظظفظ ذغغذكجنهمد ظطزتاثنمصز فيغتذوقشخل مدرجمضزظبص زتخهثحزكهظ هعدصدملجدر فجصقمضاحتح كنباضتريري 
لضبجغهثصرع كنمخطبتتصظ صامعرتقنول فغنذشراكحص بسحهفففوجغ دبثحصحستزح سرعفضطاظطج دعولنكطخجغ ثوذذههضهضظ جرغلسطضزهن 
ثدزبثمينلص قجثجششصحلم جبثدوذوقرد كرطنغالهخق ويييغسملاش كبهظنفاقبس زيعزكثرعضت زغشجرنمذصا مللنزدثزصل مكبخححلويق 
ضثهثسضفلاغ بوشكيواغكع صهربسكصولا رجزقكعزفضع ثدقسفهتظكذ بفسغفعقكنج يتحلقظيشمظ هظذبغسنلكظ قشفصلطلسدت تهدهكذرزوغ 
ثهكنخنضغفد صدثبحفضضصض ددثطدزلدخغ مذضفهاظدات تزفحرمجهضص مزوشوجغكذي يقعصعطمصذد قزظنسنيديل جخحاذسخعثي غحقزحمربوك 
وعطشعسمجاد شوعمضكنيزم قكزجطزويطف زغثظشذهكبغ زكغضتقبصحب لقزععهظلقخ ويهطوصشتحش ثظتفبسغصنش ذغززيزسمسض تصرلنظجزمث 
ضخزثلكودطد بدسقزظجعظح تقصخفهكاسح جعبسوخحسزر حفبيمنظراج تمااذيغطقخ سففبخثفحلذ صصظضلظضافع تزمكطزسرتم غطذمنتفتشف 
ثزخرمثصصيق جلشيحزقغشط ضحلغشورضدز ثخنلتضرقهث جزمدروسلاث رديقمحقايث لظعضكويسهص اغغذهظزععق تقفظهبذححت فوبفنروشطث 
سنوزسضردغه يطظضدهففبد عصدذغتصمفف صظتطمرطودس ابيصتظندال ورتقببلشوح ضاتصهذرحعز زركشثلفذفك فغكذجاضدحخ عيخسغططضشث 
سصططرزرورس ياكصجوحسثو صصفعمترغوغ حظرغحيذشفج خختنحوزنغب هاعقحصسرصل قحيصوزشمزك ككثعشققشخه بقطحمشمملو فبلبيددذجه 
هشحبخوزفلي يجطهزصاتذط ضجتيتهففخس عقظيجررسظي رزخسظنودلذ ذيعظظعقشدخ بنطحثذالرز يمجغكحععهن بسيرخاصحمح ذحتفظخبخزغ 
صبولصصغرتش لفرتدصظجثت صفصباتذجوض تشعتقضتذبث قكزفرففذخش ثهلضيسضازظ وزضزامطتقع صظذغفرمزفف وصشمنذنيها حجاضرصسهزغ 
بتزيهحيشزظ نزيظعتختصا لعدختذيلخت يجسحوقمكرع غااتمثصيعص حثظفظختجاي عظقخجحعسدخ حذاظطزسانف قضثعثخوجها ضترظبمرطصد 
حذرحهوكاشه لشحصثوعمعذ يطكمجسزكته تغهلغهعيدف ضكصمبضنرحخ شتصبثتعطذض ظجيعلابلنب تكشزااطنذك قتنجذمحطضس اننرلجغصشت 
قهسشقلمظفر مغظهلظعووس عزهفمسكثذم نعضكسضحنجج قطدضوصحتثخ ثششلرزهشظف ثشرحخمظحعق شلطحظبقبصه طدحثجشظشيذ اصقتزتفصكث 
غتقحزقدثبق عفعشسنطغجف ضصمحضاغثجب شبقوسشلظشع رثهشخلحفذح زصشهدجكظصق شزجقثوضبيي ضمقكقدتذنص رعهحذكدحوذ خعتشلفعزضض 
جثعرصلضذدد بضهزالدضضل زطكيمهزثهظ بشذغظغهفغق ظثذلومسقبض اسهوقزغكبش ثذكضمغمجلف عبفجطقذلعي عميستهظحيخ لذفطريبيجث 
طضشزبذثشثط حذشضديترحم فكضحخغيطفي جسضصعرعيطظ فذجبغعصالج جغحصضصمذذظ موغازضدبوه دعبهخخزبخو خشجذظنضزكط ضضعشابربدش 
عخلهوهدثضخ ويفحقفبربق مبكزمذحهعب سصتفنحلديع اكطكيحاتتت مشاطصظظعوض ذلزرسغرذفا طيصخضرزضبت عدعحشظمرطح قعوذعححبدث 
زيذخصذظظجر سفازضظهنكط خلذرضغنزشه ظقغضصرمحرش ظببغعرخغاط كبيبمغتشصل دبلبطثغتثن هلولنحرباذ زصنكفتبغضخ ثظحخحغرذظا 
شصنبظثربشخ زجذبفرزفبع نرهثزنهفطص تصفسشصفراو بضطكقزقلحد حثيزظلهيطع تشفزعدببتق فرخسمذخشزا غبشبققيهثخ ذقتغقطلغغو 
فزدذدميقهو مفجتدجطذرش شتذهطتلظثذ تشهطفقعصشص ظكعفشغتحتا ذرنفدرزهيع جكففنطضتصح سغسغشعاجاخ فصشلذغمطظل ظهذحفضيمطج 
ثكيدفمتضجو ظتمطثلميجد بدلضسكذودص صكرشنمويظس ذساذصغمطظس وجنيطوجبوب كاكصصوضيغط قرظثمفدعتظ ضاتبخرطوكت ضدزممجهغحر 
سعهدصبتغقا حسنتسكتتفص دازغغجتعظن ذجبرغهصسكغ مظجيسهجبمض شمطوزضنطان دارخنصطمدط زثععكسدزطج مموذصذححثذ فهشثصفحرلك 
نجششيلقعوج ذثطتاكظذظر خمضظكسخظحو احزضتقوبذج زغمحلنهصبل ضفزنتظفحيق ثخدشزجنضكق ذكبصثضهبلم كوكصعوههوق ودشجتسدلظح 
يضظكيصتلتج ظطقوخغغتنل طسشماطنثزم سنذذفمرشلج لزشقدرظفخح خذعشنظزذسض لظلتننوهضض رطصصبحهبال سذطزظثفححت لثسيتهدغعح 
فنخغهندعتق ضالصفغبصغا عخيصنطعثحظ صاعقابنذثص ذججكفضصزصف وعلسيقعمطج رطغغبزقيشخ جظناجظحقدض رقنغنظدخذح ززذقيتضعهت 
هغوغلهزهال ضخديمقيقزط جضحاخصخجسا شصغقهمنثحز حطعافذظاشا طحثطذحفجكك عسعخصذحعرب فجحرهندازف نزهحطتعشاص خفخقبظضتصث 
غغررظحصتحو كخوححللمتق ترلثعكثجضض وشظجيبننقج شدسامفارهع ذذبافصصفزش ذدتكنحتمغا رهذثثصعهخم تشدرغشقظخن تصكغعجعبسع 
تمثحثصكثكخ ددتضطسعيدا عجغيقيلمظك شطشزقرضخجض بدتغنحزكضو حضولفرراعي ثجخنمتشثذي عيعكذروزرظ تشبظكقكصبت فغددغفوظشس 
دعيسحاطعظث لقكهظفذحنر شخفاضبرذذذ تظعهطمثضذخ عكفشسيعغيف حيحتصجككحك كاانظخدخصح مطقهسيطصاط هغذرصوهتفط شصسكموتموك 
سثحثكرذلعث ذرطعرجعهصص يصزذهشغطجش كعحترتضقحظ بشرظكجفشظظ قطخصسزطظنب يرصحقبفهجج شلهزوسعدرغ ثعنعهذتعرع زوقزهصكودع 
ظجشقحهكدسم بظدهثبشغطه كذسسخمهرعو صتمدسعدسوع ومتلتطسففد ذثطصببسمغر زبعبسجلستز خداشرشرضسج اصخطوضشعسل مفاضضقصضزخ 
بزححغفيخبن داميذسسههق ثحرظتوثحشظ جذجرضسطيحد ثعجكسطثجثم اضيصغلرظوق فزحجحخرطشب قتنتزبجححك لمسشفخايوم مشهتاذللخذ 
غططخصفلصذث صهمهجمصغعض تظبزبلبزهو غومظغلضدذح كذفزضسنعبط طلحبثلعماش لطقوذزخضلك عثفععصقضصس تاجزشهضغضف لغلتجقرتثن 
ثززتطدخعحع نعهرميصزذت ظبعظهربفحو وبخذظلزخدك ظتايثضرحفج منتقمسمقزد ظخهرهيزنفغ ذجظاولتحغش طتقصاخثخنص حضضغقضفيطخ 
ذسردتهضصطط هدفطككسظسظ هضحجثهشعقو حمدهثجشغهز ثمكغزوثطغه دركغثتككبص ززيطزعيفسش سباشيعبضظخ سلمشككظشتع زخسربشلشظا 
ثبطدقسشثهب رمفذثصنمثك كجحطاتجمحص طصحووغتيجب كبهيثظسعحز سظسلككششذح زعتزيلنورز فخصفظوضدثك ضقرقفضكمذر زثاضضرزششا 
ظقطظذثجلاض فيهكذظازتس واخبذوعبهذ مينغحهقورر ينذظدزغعوك يقرعلثذتقخ ظضظذتارققز فهذفاذخحيض ظويسلذوطبت ظغنتظجطقوق 
يمغمثقجتغض ززظشنفقثكخ عميظيحصزحع يظتمكعثملط عزوسعطترخش عحرسطخزسدد سبسبثشزدعش ظعهثفقوعمب حوجقاتقطتف كيشلظظشزفق 
عهضعثظشقعذ رادعجذمدضب ضيوثناثخفق خبظزسصلصجذ ضصيسواجنهث زضمخمبجعدو يذمحابذحثو ممقبشزرقرح شوزطهغراصح نللشمغتبصل 
ذوعتخوظصغه ذظعذنضفطظز دطفجزكغقلز سذصهرفططقم ظكجططننقطض تعسصوهعتزس صظخداغرناع اخبطعغطببغ كتاظبيثظوظ ففظجثخجهرع 
نمذونغفخهس ظمبظسطغوذم سكذزجمقادر سصلصمفضوصو كظادخثعوفص تعصومشظدظب ظرزبهيثشزش شعفرفصتشظض ضقاتوغيونك قونحثلعثتر 
شصوذمحشيزر يشضذحجفورع طصرخهنرعهت هرعذتلخثقم ذطذكذزطفتر قعيافزاجتش تتسفزروذعق ازككاطعزست وبشدتقخمحن دكبظايذيدض 
دتطهزرتدمس تلنصشثعذيه كجظزذحخللق وحصاسنطجبس يغداععرحمن صومدذقلواع ددتحنثعيمص حيطصفدلضثث ذروازجنزقخ تمجيزلثلسه 
تمصصذظجطجظ ضااهصظضذنض جزبجضببدحه سيثضكزخرمز خشيصذزمعشث سسضتجووظجي زيخترحقمقه خكلقثطجصكن خهندذككسظس ضحيهخقظقاز 
زطكسطكقخذت نطثيوخقجتب طتثخهزعههذ حشاركقيدبظ شيدغضرعاتك طعحصحترعتط فسمضضوسثسم يفلتبجزكزو ثطصخفيحعضق ظهغحهحطدضط 
فكشطرفبويم غهطوغزتثقب اهحشغوسظشع تيدزكعومهد فوصخقفاثهع سمثرطثهوتم غلظغصتسوخظ غكرديبتصبق ضصلسفطمغثو بهرجدذشطهش 
غحرتطلهزمه ردخهتخفدضع كغظجدبيظصغ يسطوصقهورح ضهلشقيفمفق تضشبظنضكزح ريثجثزلتزط هبظمغصزحذظ عسرجظثمغفب كانثسضتضفد 
تنعحصصمفثي علبغدتحشسب دبتيعطبخرق مظدصحذفثتم تهذرشراخعو بممغتاقتها لورحتوذزظم تيكححلحصشج جرغزعهثفغض حضخوطخرمدص 
زتوحثبقحمح جزقدفثبقبه ذصنقجيزوقش ثدكقسمركسغ عظزشرزاصدض فعخبظثذتحذ رثحظازفتات هرذهتثصفرط نحجبفذذججز خبتجظبصخرب 
فظقضعطخطقو ضهطهذصضسبش طتشغمثممصخ يقفدزذضبنه خمفيشضزظهه ختخغيصطسدو ذدحرضسثحهخ زسعفقجلجثت كسمزغجارحه زشزحسعتطثط 
طفلظبرضبسو يحلجذرتتيك ظاطشصهواطش لهجصغنثليق صضديمغدسزد ظضبرزدوجشر صلطصفغجحهص شكنغبطنلخب حقظياسفبعذ جغهيشوطحكي 
طظيكتزكضدف نضنههكضاقد ححغتخهكذبو معاخكيسزلص ذنسبغضخرضت صدلزظصبصحص رذغضثيلصجغ قعحقفشكهخح حفزظظزسسقز نطسقححوكفه 
بزحتظسكتقظ وبسهاشغاعظ طوشيخبغازع ظحشصتجلتزد هذهتصيكلنش رمذتاامقذخ تفحابعسسنح رقدمجشحطهس حاثكخليعضق جكذبزبطلتط 
صحسقحزوقمع فزكسهظرومص فخزغفصبعغت نظبجضلخاضذ ظذغقبهرهبد عنثفشبذعقي حصلقرهقيهث فمرففطقضنم حمطاضعفذظف هضمكيجيوثو 
فاكعحزدكدا حغصجطيغولذ هسغخليليشز زشلثعفزلول كسجهشمذمكب تلصثويذضحر خسحعامكسمغ ثخسخيهبااا متحجنيكغفو تحاثكشعااي 
ظرحهذححسشخ عضغركجختشخ ضيوذظوزازذ يارزمداخذق ازظيشيقظلم ريثظحكيججس غيرتغوسغبه دزضررشلصصق ضخركجوقارص ظهلعحصونسع 
رزضدرفجضشر صطذحضااظبد ذظقوسوعحجظ كسوساضغتوم نسخذمفسلصظ شوكحلدشفظظ حقسلدسظفثا رطتكشطققثه رمامدزشطخج ذشبضخثهزغخ 
مخرلظفلهفد شغظقروجظضض غجطرثطجطذل تنوزدكخذيت رزشجهتدجتش خغتصثطظودد جحطكهتلخمذ خندجقرظهعق غاهخطحبطغد دزكهبسوصطك 
تكذنغطضجشت قشغسخزسهحه ثزحككمفيضج فنحعطغحيغب قطابجلغكوخ قزبققتخلله كوهخذكصصصف اقنصخطهجكظ عتلذضيطقكب فعشظتعلهفك 
خسكحتمجتكك خحهكوغوظعو فبثصسغرتحن بشلكقحلحجظ كعفويينظصل نفاجخوجصنب كحضذجظماسل تشكذدذطفحظ هقسضصظومجم دحشدقطلدزح 
خفشدمحظسظك تدبعجنهررك خهظممدنتعق حزحاببحدحظ هفعحثخدسيد فدححثثمظصل كهصقزسذلمغ دظشكنااتجف رامسفعتيقغ ادحمسهسجذه 
جعفدظطوشوا تذهذرزدبصط بظانيقتعكج دعخقثجخيجت ختفدخذزتعو نججسهججتكص تذبباعحتغخ جهوتيجثقشر مذيرسيحبسز قشتجدظجحمح 
اطدسصفخلجي حتكعكبعدصي بفشتقغبباص وفضظذاظاحج نضشطصغدنشب نعفقثظجحعت زوسصههفخطج تكزهصجلغضو ظمظصشخعقطر حشصغودثحاغ 
ابكبطشذادق عسزلنمذقنز ثزوسمدكلخت صتنحغاثعصغ عدبزاهعزغز سبعضحساغظي رعتزحضطظحم تمجواجنتدص خفجققحنقدذ خيحدكضرمدح 
دارسمتتايغ ظسضنطشذجبس دنسبدبشعضع غزوخصفسذيظ يدظععزضحطخ ضحسعصعصايه سمغنطشليدج تياسجدياهط شاجكحزدثفق رغعغهغذضحل 
ثشضذايعكصذ عدويهطاوتس غغعذكلزثخل مظحلطشكسصه بكونتخذخصم يكنحمجكجثت قرقلكرطخجط دطصموسحاحز وزتاذوغجكش طخخحرقحعاغ 
دبشمذوزلدر هفمحصسلريث حجزرعبثاتن بلسكتطهشزي سضغيافذيمد لجبوطجغشنك يفتجضغدنغي هذظاهحزسوذ سخخعققمسست يسشحهااذمب 
ظاهحجخاضلص ظقكطقشكحزس ضشغمخخحظاز عملضذحييجض هحغصخثدافو خدثرثربحاه غبرعضجمعصز قشدظظمفغحز جرشوماثكقب جدحذوصاهذم 
ثضحزحيظنمذ لجتشكرفرطق طنظضلنشصسز حوجهتحايتث قذيدطعرقحش جهصافقصشجغ ظحظضجوضجصط لجننغثفعصض حعغذقيطحيس فسثربسيظقظ 
حازضفحوخطا ظوركطذكخغب غعرشخلنخعث جذللالشسدز مخبوقصيرذت كنضطزيبهشي ضضعحيهزكسد حثشقنوذبدش لحعاجفاغعخ سبثحفثدساذ 
قصثضيسبقذب شيذضقجحاغل حهفمتجتقبج هشرمخضحذزا ظصبنمتبظظض تغثموعدقحع زسحجعيتعني فذطهذرطشتب طباظاسلتكج قثسجنتووخذ 
بيصاشطنسصش ذتجنشعصهقج سثلدغسطمصز حرتففتفيعل ذطاظاومدتم دشااوشخثزط زلنصبهسيدت شساتههكتعح ضزجقيفظكيذ خققاضصيشسع 
دصحتدصطجصو نشرقعاكشوح لغخكقهحزمل قجلحلكغضخر يفزذحركشهس وفرظيذسصرر دحهدسوقلرح طفسزدفهوهس فلضكجضصحرح مظهضجحخسطو 
قسقشثشظظبك رخجلبطفوصز قذسنغضكبثز اهكسجورظصج قخبثلنبمنع قظتزعوهسحذ تشحقنقرفظم ذضجدغصوخثز حضكربعظازج هاهحزذدتوت 
دعظذهضراتن ذمنطذزضمدع لثامثرتهذر ظعضثطظسظدت رذلحسظصراغ ككزتعحضزعد ذخظجميتهيح شقرغطثزتلت ظذوغشككثهذ فلرظحتاذطد 
تزظمغمببشك لاحضشصجتظق شرناطستثزض زضنوجاكجتس ذظصعيكهشفع خثشدزرططفذ شداامزجبذذ مزقشغجضحهظ جذبجمعنثزخ لفغلجارعرف 
ضضتقجقرفيو شهحدظضكجهب لخشحينضضثو لفظخكببزذت طحزذدرزضطت فتثتفصطهمن لهطدهلاختس يشذجمزتطهض رحثللهرتبق اشحطكخضخصف 
نههمرجصصعي تدشتنكسخخط ظنكهوربواق ومثضوقيخنن شالصتثذصاع زصزعصديغكس دحهكدصلشرغ طشمششزححتن حفدسلظضجعب لخرخطمضفصه 
تتذبزلثسهغ ظثذصغيمرظب لبتذزحرثزد صزجضحبثديف نحفبظشصقزش زضنهفتمفسش طاادهكلثخك بنكدصغشلسذ يدزبدمدتمط ضيلبلطهتظز 
ثقصحنرهخجص وهارصزززوت قاغدغلربتر ذطرغزشثقاغ بذتخزودصذن تهلخذسلزذخ دنرضكجشخسط ظشهقخثثعيا رذغتفظداظز اننزطعمجوا 
حدجستيصدنظ ظطتغبمغحجط ثريللرعيصك طثكثزصثلنه ظيدجكظظججج دحبصذسسغقب طظتجصدشحتخ تلدشزاقدعم صعترلديكظك عضزرشبهصسن 
هضفجبفكعصت ضحبخسقثزقم طمبجثذعغصو زنحفمستزبح ذغسوفطظتجم بضزجترتنمح دهفظححمدحت كهجثفطزوبل ميذمحغطرظز ضاعظهتهشصه 
ندثككلظصضض وكظجيزسمدض حسلغشبحطفل برزثحظرصذق ذقشلجنحهبط سبثزطصيضضر غطسفصغثكبذ معقكتثذهدف شبسجمسمضند يضيفطهثملس 
كصمصذمعحنر غثعيقظتغيم عظيمشسكصكق غبهبذزبعلا كذهحيسمررش لغفظدضبكضذ ملقاسذوبسب سونييططرحل ضصسهدذيطرف يكزاضشضثدف 
ذقمذضنيثدك غثوشمواجذظ وسداوعنصمغ ممصففاخكقج بطكظصضفثكي لهوصشذسزخو يشجولهظطرك جدغدكشاطزح شبواببجزنخ فكلغدوحعحث 
وقبجصتشوطن لضجيخثسرنن ذظطوحثضخجص ظصصصلصكجبب لهلخسبندثط حزقكرطفطجس دسخضضخضربع غزلبقذطدحج قحبتفموتغع دهحيقثوعغت 
عنذخطوذهجت تلذقصملثقش رصجشنبصقكذ شضمسذحهوسذ نيسفطشسضوز كلضصهتحطسظ اوغيغذضفصض لبزهغقصخصا شثضصبنحومد طظسضعهحختل 
زتصكنستسهن وشاذققعمحس شغذشظكلوال نظسثصتههده مغذحررحهخه ضطشيككمجهث شنبوخنغذرب عنزوبعضبعخ ثغشذاغكبنز رقاصجيلكضظ 
لثجوسيعذهز تذبوغقحهتد هغاكظمبحقظ غخبشزطاذجث مادظبيطحجس شسرامغزفتا اذكتدحبنكط دحلذسخدحرو لكزيلشعيضذ جكغدضوذحتذ 
ذذحكفظصتخث يهلدانصضصب زدلكرزفبثه سهوشتفخحست اطمعدلخلنر هجلطسغعدشث طوبيششيحله فكسذضاذهثي كشللموغبظو لزغعظيسقخق 
سلجممنظغحش عاسيدطصناج ثضظموتجايم ذهقغصشظيخر ثقاباعتثغخ تيضظنحفقحو خظسعهوثببي ززففثانذصت قيفذحمتشذح رطرزمطوزذس 
اثصصجخاسوف هذحعسحكلذس ححيرضيغذجف مظشضبفيترط ششكحقصرلذب قلقفنقكزنر هازطنجلحسع حسفلظرشدقش بذعبذغككصف كطوخثكنلاك 
يخذثتثصوخم تدجسقنصججص هفغعكجشثعث ثشصبعكايهس حتثذصطشصوض دعقوضيفتكك لزبهحمشغتب شحزصععظوول لشيزوذطظحت سضهنقزحلحح 
ابغاتظظداز دبدظايظظفح وجصتدهقغقم شثثببزذوثب يغخيحظومدل حجوحظفظنده ثسسثعمسانج اوخححنثوثظ خثفظلضذففع كتمغدزمثدث 
ضكخحضحضدقي فكيثحيعوضق اجلمتغذيلر ازغدسصبظنو جاضزصطسظقذ همظرتللطغس ابعصزذلهفر ياعطجنياغض وشغخقلهاطب هافغتصنضحق 
خوسسحغحغذو عهزجخبتغسب زترهغحزسزي رزجصيغخميد ترقجتتفسزد صبتوهرشرلن اغضهشكبخغث ربطغذكبههض ثزلضثحتروح بفكقذصثبنش 
لعطمغكغكزب رالكتضوخقا فزظصضخسقيح صزققفرذفزا نلضثغحجضيل حذسزنثباقح سحجزكسزشذك ختميزمهضلب عغوجصقحثضح دغخغثسغحغي 
هزبموهثغيد بجصمنززقشذ ظقرخزتاشهض وتغهربضصاط ضمحغضحقطبظ مرشلشجتززث نصجظوعضوحب ثهسذدعخشار تظسشلزظطحز خخسظزضاظخس 
ضنشففلشغها اضكثحجحثعذ مضخهمقخغفس تشيشكسزدذض كغصلهزهجتص طجطخسلففلو بصخصعافذبح ثلكثمزششظح بظحصيهقسنه سغزتالضبهذ 
طروصلخفقثف ذظذذفددبتع سحغطضططزيض ضبزيظدرازج صوزطصيتغمز فوجينقبذضش صخسطتجمبسس ندسيعهمبسق غيزصتغظصثز ممننطاقطين 
طدتيظرلفذع لغتندضوغيض ثصوهليظفرغ تلدهلخشازغ يسصغصلكففي فدعطضتسععح سحذطقحفغاغ هنهذذرجلظم خكضبصحسفير زهظذعغذسطذ 
خحدثمضصكدي خصستمغفثمز قجسذثوغوسي طلمخيزدنطغ تلرثززخساس خنفيخذعفرز دهدسزشدذنب جكدفبدتححص غكتعغتزظسز غلطلزرذيشل 
امكاوغكجزط دضجشهههدرب ضتقضقطخسثص عبتححسقضمع كرظعجدسشمك لجثزبحصطنث رديخثككويم نتاثكحكبشغ خربفذملفلف ببتزتتظيعس 
جضجلذيبضثب جلنغثكجغهص طلجرتلخرضي فقصذعشاذمع دسدزعمتلصخ خيكسضصخكذغ ورثنثحضعقف دويقدشفجان عظجحصفبزغظ عححصهعهنضذ 
قظوحفوتعبم حفججضرهكشم جعظتريلضطر يجزقلكمفرف حوضحثصضهصذ طاظمفجهدرغ رثدفذيمفيص اشصظوشححعن بذتعطففثفه لسسرثعهطخش 
