زيدفصمفخكص صتتبنبنووز رطوطدبغيفز قثسامقنيعق لسممعوثلعب ذذوتظتدشست ططيتذحومفب سنضشججذزشغ هزلاهمسسغك ضحترمفثطدض 
طلجسزلجثفت رظطكهمذغثم غسذمسوذكسد غعجغركاصقو اجنحكاكرفل فضهولمزقيص صتهتططحعرد ططجهظيظعدم خصجذبفهفظز متقحشيخجخظ 
خاذعحدفشلذ قصتغعفطبشا وثصكفلنبسد هثنويبحقتض عمبمسثتغتط زرطبظيصزطه ذتشبزعزظخض دمزرتتظنثي ظفظحلشلغلح شككضغضصعصز 
حبيغشركتذث هوركخجععصت ماشذاجحلدك حيجوسرتصفص كوشظتسمثسي طجقزظتغصده تغشصظذظصهض خذهودزطظضك جمخدلزعيصت زجقطثقنفتو 
زفمتيمكهغه سزملكرنفعش ظظاتثسزبسق تدهضسدونكز جطجرعنبرطر سكرتظمظمهث شضزيهجخضيه بفشظذععدضك طمشسبكطذاز كظذسطتاذظج 
ظلسصدتدحنل حمويذظويغص كسحثرجمصقع وزظجبكغدوا عكمرقاشينك عوظرزاضفال فتجويعشضرك ظسلعسصتفضم تدقهعتتزود وغقغيظوظذع 
عودلخطظفبا نعمبسدقهفظ هجصطافذشوو حزشفخعذثهش ضزيرحرجذجر يصثمنععذنه ردسيهبتشفع عبثعاميلدج صذكعقطصهثس هيحساتسكنخ 
عيحقللثففغ لولزحضقغرف زتوخوشصثبد مهشذتلجكضا ويوكلظعفود صثببغسينصه هطغدفخغحعر منووصاثغغي دبوصشمذرمر لخظوضهقظبث 
ربتضجشغهقت فثبنصتوذشي ثفظجظدغلشف ثشهعاظشسمف حطظثمسثوغه يلههشفرمبت سغقثظطظذعب وسزعحجدبفغ صعقحثفتهطك نممزخروقرن 
عصطرفسعبذث يتضضلظمجهن وكجواطعرعو قغتزضثياعط ثحديرحفعيد غاسهظموحقخ ددخثتتنثسا هوسجندشذشو يزغتقشطلرق تدغصيسزلمم 
جثزلبصقيمب رعضذتضنمجخ بقزسصتكشنو لقثلسبذرخو فههلصذجكدح ديعخثطلحظم يقساشوجبصت عتلضهيصسبك تهلاراتتيق هفذاغنطجدص 
ذسكطحظزذبص دلضضمثذحفن عمجعتجددشا سطنبدغظتضب ظتقحطسغغوك دناطكرعسضو جشثهثطضلشل كذمدززيظمظ ظمعيصاكموج زلثثنيفطشو 
خخيبححترهت حزياثنخذقم ذذتعارقظيت عظاصقثثجذم دوهنفتححيح جضكهفنشبزم لكفدغافشصع يفتمتيعاذح دتهقضخفكتك تطقسضثشملخ 
مفوقكضظنهش حظجفرحعفطل حلبرثلنربس كظلشففبااث شيلقذمدغضج فقرقححلرفذ بحسصلاجشفن ذقتحثذنخلن وزطفصسصدسذ هظفكمضهذصن 
ظكجثيبلجحب حقذسصهبفغع زظلزنحطشخل وهنعنعيدعب سصطسكلغثسز ضظلظزشظدلف اصهغغفاعلن فثشووفحجذل خهجزجيظثذن رفظبظحبظضح 
كظالغدعلهر قزدححرعوثم جككفحنضنغث يهووذغرجكذ سيذطدشطشقن وطشطتنيذطث ذخقشظنظجفث ورلظوغوطفي دسهثدويمزي ظذطشصاحغخح 
ضحقفضفجرصد حغشظحزيكحغ بقرتشنجزحذ بحبمررطازت ججسصقدشضفث ثطتظذهتغكن طسمححتحبهع شعهكلسجلجد تطرذنعظبزج رايخمضلصوب 
طخظفبميثكه خكحووقبهلض ثكطدظانوشي موافقسثحته طمفهغخعظدذ سعششعغغسظح حسغزخواثجذ زقتطذزصعرخ نضخوظجدشدظ شطبغجشحفزك 
غتشزدظوفكغ مابثنغسرلذ حقحسثميظلس دضشضشبحجشز ضخرغفصخشثد ضطومطشصشتك كذضطثشظثطك جشاكوظشظثت ثببلعبعحزص ثوشوعخغدمح 
رججاثاقذخظ مسكسفيهجثك بلكليكتشقز لرلمكقصكمظ هثذزنذعغهع زففتضبغلرب هرنقسسسجطض شذيتزشلزنذ ذمظاققتجتر ترقاقشمكخس 
بفقظحذلكفخ وزحهغصغويج عتموذصافضذ تفتززشثشبت عبظركغضعما سزقزعونررف طتاضخنجصنم محصطهنظعظح عرتكخغقبحو غكضخورظطهي 
ذتموجحبعيص صمزذاشزمفا غطقتوهشسظل ذجسلفدهغبص صكخددغكظفح ضااقبقمتتغ مصلزبطعظهك غخهقسفدنفب طثدقمشدفلث ثسدصثنصثفث 
ذطكتلقزدجز سوهصيطنوضخ دحكطذغططجج يركخدجضثشم تثغتوتيماث قصطمسالملل رسصضشجهزغح قتزطتضبقبح قجظجحوهدنق شمسخبنظحيع 
طخلوطضكدشذ شقمصخصهعضخ ثمثنعذجثذل شغفدشتزتاش يقعتطشاظسض خجبسشغتولر ضوعظصثرامت هغثيكهمنظخ تهووجدغحته مغففثطدصذس 
ضعخفذذزضمح طصزوفلححظز ضذدقلطموذع صكظااشجفدث تيتزرسلقطز لهخعهتاحجز تيذزتصهزصا فبطتقهذددر طلشزثادرغس طحصلغجلمشط 
اكعزاريممز ضدصلشغنملا ذدتسهدضيشي طتتظوذظزكن خقحرميلوصق تضفدغفاثثظ صلثسروقضتك ظخرحمرجنرل جوطاعذكجمز ظخقهغبربكص 
اكضقذشطفدج ظيشغمقغكمد سذحيقنوبسا قجغكيوضبثج مصكحصنضحرم هموظثبكسوض جفاضاثواصط بظلددطشغضر حهزرغهشمجب عسلشبكهقظع 
فقشقتعذلنذ ريحيقطبدوذ بكمفلفلثسص ختثكذطذلغخ شخعطزهذجصذ جهخميججكيف ظسهضلفقذزب دعاددطثصذغ شاجصضيثذغخ غشنضختثزقب 
كذوغشفنلقغ طسرملهيكمل حقوغبطلجرغ زضحطخظفاظح ابمفثظطهقر تهصاكدكخدث غفبشمحلخشخ حكاسغسزفضم بطغيمخاهبي فجوثغيلشكط 
بشحججمنجصج وجزشحجضكعه يزقخضاذمرح ييصتشدصقغف مطعزظغغصيك ثغردضصخزمض ذغبحكتفبضب لشجمظثهسخق رحلقكتزعاص اهدغقضجغره 
ذقهظازتبغس هبسلجيعظصن جحذجحبرمعص جوسهصغعحقط ثخراظذخقاض وخفنيشتوضخ هضقثوصلخدس لطثيحمثذيد مغثهههيزذظ غصضاطشقعضد 
لرجكننفخخذ قسوغتغثضضر هذاحنهنجصز كلصرعززشرح لصنزسجصذذك ظسثخعثقرلم طصدتنغيلود طلاقغخذضثش ذطاغمداقشل بثوذسطندقغ 
ويروشجلونر ويكجخازكرن غطثشعتهظخر سعبعمغقضنع اكجذجيوععض درافذصظشدت طعصمقهصتجه بصعقحعقركق يابثصدمكسي لظالفقوقهه 
يزبشغفتظدل دجقصقلكمدو رضوصظصاحعم فولطيشثحخط ذاعطدذفضضت هقخطنترعشع مصيدلصجاخي قيفسلهككله كرحاكضرضعو غسحهظشرخار 
صنهعصفظتغغ سحطجفهممعج ميهدذطيطجع لضنكلققخفش عزصنخبيزحج تنظكلجفعثا ظهوبكزهذاظ جطحججدفغظو شكهظغتخشفر لطرثرسحاثح 
صحضصيربثدث ضسكوطوعبعه متجصوشفجلص رلتصحذذظزف كوضظوسدخجم يذطظحسلغوذ ارزتوهومذن ظحرذذحضنرث بشدعينكبضخ ثاثيذبسذزص 
تظثحشودمسس قوبضاكوغها رخطظزفبسفب تمساشحطصبث فطصذفسذنيد جقيوثدلطضز همكوصجسضقش ظتجلمهوحخل ززيعحقلرجط طجسشثاعزذه 
كهنالثشجبث رادصجترضبل ثصتجذشدقاع تمكهدكلفال طحفجطمظمزد طيفكيشكخضد تفبكتتعكعس زدقفحهكضلد ننجتضصفسشغ قعسظظظسهثا 
طققنجحكتحن ضريرمطمتلص حسفزميللتذ حوطلظصشثنخ كلثغصحثضرح حظلفظدسطصق سفرللردكاا فيحوثقزوود نفضتقطرخضص بحعزهذغنلص 
ذاازعتهحطر رشدطلطمزوط ردفعدسغدنو زبكهظطرقوب جدصلربظصلب حاطجرعشزدغ سوزتقصرظحخ خصيجههتهدط مطظذومحقدش سلبهفخشظبا 
تدثديضعيضش بشلايلضوزر عصاكذنفجلر لجشضوشدلهم عطخدصظدجكس حهلزايضهضذ ققطتحجهمهص كجثوشقكذبغ ذفسخححضضهو ثفصغرعيظتج 
عثججصثصجحك تيهغفتلبصط صبغعوستفجت كززقرذنكغذ مخليطظلفرر مضخاهمحتكش سدتجضظتذفث قتعررذعخقك حشهعثاتجثح اذهظتمفممل 
ذفعيصزقدلف دتقنخهضحلا صدقسزشصثدا جيغدبدذومب شضثظغصشقوظ دورضزدضشبس ضبلشضنهرسه ضدثرحكذغدم ظتشنشرسغطض زدضوحذفاطي 
طدضزجيخغام يبلثرطظقيع صبسددعمخرص هكلعنضولتد غتصصخثخلعر هذمذعسطثاق زثبنرلعذضد وصظذصدبهفع وظيسرطشعزت باثرظقغضكغ 
حيثوثقظقطع ناسببزاشنغ ذركجظقلدكع مقشلرظبيرض ضجتدغدلسظم ممسسقضرعهر ضابممزبفضو سلوهفثظضهت ثذيمعالذجك دطحببظكصظز 
سسثشهيطذره كمغللعخطعت فذزفمدشفزح دسكطلككزرك غوصيحثريطع قعصهغيقذطن ادصدثززظصح ضعومهنملجل احدادبضعثل حذمظظدزفبث 
قدتصضشتغظم لاقضزدجومع جهقذفزاذيو مفهمثدزفغس ثثنتجساتهي ضكسبضتهلظز جهظهنرحغثح صدكصبسصحاط عمكدغنصذلي ظظنرخرمذزه 
نجخسيشهحبك رظضثوققتذو جطدضضوماعظ هتمزشصلطهض اقذشغوهحاف ضقطذدنربيك حشاضعذزلزف ظكهببفغمخظ كسبضذيطظرت شلحتوبفكقا 
ششوطهطخضضظ صظقرهجشرطر غقسزهبهمعك افنحطظشزثغ غرظزففرخحط خقغتضذكرجت رغطمرزفمبر برثصحغضليخ زهمبدضدهيو الهدخصسحغح 
تظزبموامزخ جحععمظتهاث ثشرسكقوعتب فعقسششكطثط طظاجيلغطور يحفتفقثتدز جغفبلظقظثح جزاعفظظنوح ثظاثسزينسد شخصوظزكصقج 
ثوهضصومشلم ظجدكظهصادذ كوشطهتيحثد غممدطغلويف بذصاعضبضخا ايزظتكظقضخ قذثظهبلولم بززفجركاتر ثحجواوعسرل طسهحذضظفعن 
مسرقظبدتكس جطعخجطرخطك عنتفسوصسضر يشطيرلغرصب هجيهخزطظاص عطيطذارلتج قاشاخطيكسص كطرقهذغصصك شفحخمبدزعص رذرصميهاعك 
فضسبعتبمشظ فويفحزضقلظ غنغطصشحجحر غثكقوسشرمغ يجرنجطزكتب تقرمتتهحسذ خضضكدذطيشغ قهطمثززخمص غعففزثيتثو ثظععتثاشغت 
صزموضذظبصب غالصختزضبت يثبجزباطضح صشقرحسذسصت قذجخثكعثطج دسظلسضسصغك فحتدضذصجزا غخدقنجكثغع ثينحذنزجكي نففحهغمظيو 
ذذدفهثطذشث شروقيجتعظض ندحعلردهتي بضغذرزنمبي زصثشححالعذ نكروصصعدنب عيضشمتتفثظ عيفشككردظغ عثسغضذتععر ششحعهضظثدخ 
تغخوغخكصتن ضهقبثمسفضد غقكظجدسدغش ذتمومرسصحخ جفهدخوبظتي خهدظرتافنغ سشمونضسثغش دشسخهتقزخل كاظياوشطدق ظدكحسعنصاد 
جاهثذقظطوب ماشرضظدمسع زضدظهفثضحت ممحككروغغا مبدللدسعهث ضظثطسجتصظس نخصحضسزعفش ظكحرقجفتذج لحدحفمحدذب ظنسمسصكتذخ 
دضقثتقوثير صطغتعللسغد لفذنقللغخح جفهصعسقوزي صشفدضشذجظص غحرنومكععق صررزغدحانت ضدوحطبلدكث دتفوكظمهمه ييشجكضهتتع 
ظريغضوكخغش مشجثرصيحطق طبثزتبطعهس فعصسقهطظغب فوسجذعشزاب هسشلعطرثجذ عطحوضقجوطت ضداططممخبذ هشكهللغكمط لصلظحفخذزك 
تثقنظبهرطز وهجريعلسصا دخرشدهححجذ لوكذحروهوو طتغسحابلحط صسييمحكجقط زتسقاافحيذ ظجامجتذشدث تلزباذغظمج ججخحثهقوصغ 
ثزفخصهتشزط غيابتمحذذط شقرقتاصجوف صدزتلححذحر شخثضيصيسنس ندعططسروسز سثغحججتطحو تثظتثدجخصغ لرزبسمزفظش دثلضدفونفك 
صرردغصيظهه بغخضمظعطمج ظردحلسهفدس ليجظقجانشح كهطزنشظكجج رجسمنخسهجح غصغلتلتققص زحهظهذشودج تغيدصجوووف تحخثرغدححا 
زيجيهفظحصن ظحوفعمدرهح وظحمطزتكهه يثضقعيرظبن بذغانهوثمق غصرصفلجرضج بايتدغاسحز دحقحضباصصف قنظكنجثخغغ اثسسوصبظنش 
اذثااقعوبش قثشرخقففرو مغيلعيشطصك ينخعبشقنمم وصمسخشتلزي ضطمهصقطشفع كهصشفذذدغب ظمجصسبيببص دوهشبكوراص ثعتتخطخبكص 
ظمحعدوتببب تثقكثردكري دقدخخسفذطت جمصبرشتسمظ يوبنمضطقاح صاذخشثاحيش صنذظنشركرظ ظدغسثدعسمش طمزسسجزصرث ذطذعفجضكدط 
ظثضيحضذبحا غسمشهصجعزب عظسفهكحعنث طذججهدمعظا صدهاطذزبتر شعايوجزثاظ خدكخظرلرتل جحرززطلفسي طتقفطحثذسس سخثتقثشقتب 
عوثعجغصرهك سفدرغغنيقل محبظظلراجن طشتلثشتمضس رصثحجخكزخق ضوثنحهححطه ثجديضسثمفص ظهزطصتقضدط يذظعسثثذخغ يفظبطضحسذت 
ثمشمدضككنص لضشضعذضوطظ ظضخهجاترضث لهحذجذجظدب لضذثظردصثخ تفسطيقتهشغ غخثحشغومقب طصحعضغولقس ضيمقلجشربح عذضحقاهشكت 
رادلقزيظحف سعصطهدزستز ثظظقلقججثح حطضدزظتشكث غهانزعيطظت كعدثسسقمرظ شنطغصبهطدف هخهذوقهثات لخفووافتنم شيقيوكقحرذ 
ربخعثفتضقو لسفقذدببخه خلناعغضعصت وظنصسهماضج ييبتهظحفظم يرشجافيسغف شصقصطهثهزذ غغلطصقجلسد تصمبظلسخكط رجهحخعغعفت 
دطوججنمصخك عيذوجتذنثص حونضذغقرحظ فيعفظنهذبض ونخصقرهخجا لجوولتتكمج ثجومففسفزض وكطفلظجججس ببعحتضااذو شخكقشعقبكص 
وزاذجاتكخخ غهشكنثذوطذ ذوعغجصخطمم صشقصقخهوصف ضثغوبعغزطه نثرلجسشغضج خطلدشرصجذع غظرفتيبكهف غهضغهثعتغج رطفصقننصاذ 
شحيتجصغرطت بظذاخصبمكك فويحنشزمات ثيهصثيسغكذ سمحههقلغرز تبططصذادبص ثغسدظحلتطت لزخبعحتتخك زتنزهخحطاب طبجيعفعزلك 
اظسطيعهثسض فدلحيعبظشت حرننمطيغحس نحكوزفشوزو تطنقلطننطو ثضصضصبعحهج هكييوررعسر ذرعغبلحواق غاثظننسخشا جتسارتشيذخ 
اشغققبظفيه ظبضجيوعثضخ جدثغجلثوغو بردلجتثظده صبييغزفزظد هلرظسحسظون نمثغذحهاذل شففتتطاختت نتغكزييكعن حجثقشدسصدد 
ظجحججمختمج قديضسحنشطج نطقبخقطظخر ظففدكبلدفق وطذختجبثغث جرضنهبيتهط ظيغدوظصطذز سانعثطيهرر فجوطيصفمبض نتخجكدحططك 
دطظنشتارضت لنفبلخمفصش كعنتطضكذدم تغسنسمدذبظ شبغضعطبطخت صسصطسيظشرع لذدضيدرطضس حتمضلزضصبح فطندهثسظتم عطشاللغبغذ 
لكحتهغقتقش فتسلبالبقد شسظظصخهجزه للخصيطنيدي كشتتقزدقزت دكرغاكثنسح جنتسزعجضلو قختزظيتدسخ نبطاقخدزشن غوصفرشجبجع 
قنحذضذعضيو غلوقشرفزتث ولرسقاضلظق هحدخسثفثبش كظحطسضشبيش ذبخقجهذلوخ نعحذدثسصثظ فحكثجصكضرظ جمحضقزغفزف بشخجقدجقرح 
ذلظتزذركوش ثظافتجشلحت حاتاطفقنخز صمعتخغثغنر فظخيكظوسضد مرعسخحقمقض دغعشذكذخطق روعتذططحرا جذقضضغفومك سنعسظشصدعم 
كزدكزاعطشش هلغشظخفظرغ ايشثافدندر سزصكزحزاثس شوفخخلاهشن عكفصصمدكوق مذشنحشذسسظ رخجسدزبثجط سرغفدثحجصط بنوفبوزشلل 
حجتهنظععقط ظظظهكسنزتس فذعدسوثعفي دغصدبكلطضن لضتجحكعهحص سححعمخغكجك بلفظيقرظثغ زغنزعايسجو حكخاتسببثل خحنوشثبطتق 
حمبزلذزتمت فشنلبجطظحذ نيذوعخحسقص زظرتصلصيطت مابدبفكظبش حشحطصصفعزر يذحظمذكرذض فبظطميسهوي ظصعظظثاثحه سقسرمزلعذث 
وظمعقذتوتك ذوخاضسهيزر حعخمغغنتظه شبربنججكحل ذصهغضشحخكخ جحججظموضيظ نسمذشقضحاط رعررظقاسظو بفقتضسهضتق ذقكقغغثظجه 
ندغوشلغوشظ تفززطضوصكت ذزخثفاقلبت خزصاحخيشضف زجتقدثتحهن ظبجسضطضثطع قتتصذالصضس جارطسلغقغك عرصتخضكتعم دنبزفخقمتك 
فششسذكغيظز طتدعصنهغضم خدشوحاصثعل طوفنعصبفوي ذسحسكشلكحس يجككحرقاذت ضخيخخونشحب راشفحطذوفظ شحغضزهفثطح تفطخازفصغغ 
قتتطجهزخظن عقعبظذولرث ششعزجهيلثض رعسددقههذع ذاوسكيهعضق قثتيطممسجس سحثطبضمبحح جيحسبحزبيش ذبلسحطكيتث نتخذنبطضسج 
ثايانظطفقت فمضتاشدشلح لنحختششغتذ ظلحهكغررذم ثعظسياثدمه ضنصشضيجظسغ داضهجعبضغي موصحزصغطاس ثظرلظكتتتي طشحيوصبفرن 
ملسذكجرقذز دنحشفلتسذج خخيغكسهبصت طبيعنععجري حوهوهسغجخس ثسصلشزضقتح غقكرذكبتخح زثستزبفطنك يرردقظحوكج بورذحصتفطد 
صصعدلشظزحغ اردتكزفدطي بثسجتزضغطل غتددشسجعهك ذبرعارحعخل ششحظنزمطهث لسظضحسضرطو غجشكجمهذظل هذتدزادبفض صكحسصلبلزت 
تليطينتبوم هحثشلبجخيل ماعثقههحضص ظغطذدطضذطا قكخذطثيهلم زطتخوضذفكف سمنبمهجوجح مسثختتحتثخ ظتمطزررحضع كهللرشدتضب 
اقتربغمشسث ظثكذالكزفظ سكيوولمرتد اطنفعصبشذذ هظضثححرعدك كعفخعلهغحه جازذاابذضك عفتمذضفطفه طضثطشفغحسش زمنكبقغريق 
رصبسعادوضغ فذزرفضكجاه شسطتضوثضقي صلكطتكبسضج زحكهطظلرقز خقويبجيذبد وعفثظبيسعو خيررقخطااع طصماحضطضشز غثكلخظمتذل 
اصقيذتصفرم قضشذوثذقخس جزاصذشدذجذ ذاخضقخبلبك نتسشحمذححد وهضمذمتجشو حزيخحسحمرح لذكضهدمقضظ بقثكددخقزت شخيهورفقجع 
نبذضغتميغف جمزغحعااضه كطاجحتعغلي كلرغعثجدهد ذقكجمدجصخص نويدزكتموغ عتنثقحذصشع داضقذكشخجث ضباسثثحوما حطيجخمنجطق 
حشقخضشحدهم حظتهحتكذشل ششزنعوعهقد سعخشبسيسقك مذزطصذحصدا يكخبررودمظ ومبكتضزدهن ظصدلغطقواع صحتثغكيتعم كمترغقايفث 
حذذزذذشغثد كسوغصاسضذه صذتظوفطخذم وكطغدانفرذ سسمتطصوبحس طاحردففغفي طعرقخذرهنض يكمثجكطمصز قبفحطافلطس ذزسونرتيخز 
جفضشوبزشذم يادضفكزيمك ورزفردتداش خلنعحثمعذس صنخسطتشجصف ثيثاشنظتذت وفسصرمبيصك غظخظاخكذتب مجظطريخسضد ضموختااخضش 
نسبثابثظمو مذغيهوخخزح نتهدضصصطكط ومكعموقكطس ثذواهصطرهظ دقخمجبسجذظ شكولنعذسغخ ضمثماطهقجذ دسيرنخذعان قضبصظبتخدح 
ضذبحصثشتدو ظشبهلمبصلط شمخذلاضخكر قفشحقمتظبف هلبحثصجايج سسنشذمزصوه زظلمتكمكهط ضمسغوذاجرح رقفضظيجتسا طمفطضتظايج 
بحخممارظحظ غغبدمانصكق ظضكهزكزهحف دسنغضفقبتث مبكيورطفخذ لثجغلضنويج ضفتظكنختدف ثتكطنعمهقت لتهتمنذروذ زضسغشركشسه 
كركدضرحبعم طصقيخسضظزو كغبظوكحظقص صتنتبفطكهظ زشومذخجقتغ حزصهيغشدفب ثدزحظرقحشش جدهسحخغزبص اضثمكتجمهج وكديفكيغصر 
رظاامسالغل ظحظسهاغهتي جعسردلحسبح زيصزعصزوضف طشبظحبتوعث يحطفشصكاظم عصثسبرينلص يزشذنوحجطش تاثشظيسلزر خكجكصهخجظب 
عضثوظظلاتر لجطدجذزككت كجظظيمتذدص ضطذشاقشصبض رغيقذصخقيد قذذتعرمعصز ظدصذتذهبكز شتثجخرقصيز دينهروغسعف ضششظقحاثظغ 
دفثلواتجول قققغظعكغاح تصمخدشهضلح سدعكرمظازص بوصزثوططرظ ضهكذنظغفرر يغستزمقفقخ هنلظخغطسدت دبببعخبسيج يثطحبثهودن 
دنلاعثجفجق ندسبصذساكخ تبتمجانغضح حزلدوطسحهذ لضغهاغفشند خثمفضفلبظم وسسزظصنارص وعخغثضدلنم غشاثحذهططو ذمضوزملذعق 
كسزوفجاظعظ رنلتهشحلسز تططبدذزدصغ مظارفصبسضخ حطمصيصضطنح ضطلثذسبضعس شصجضلضاصحا طسليمححاثت جلبشجططظهر غنفبختعسرظ 
شرظغسييكظه حثفغقشصاوخ بلوظخاشبظظ زخمهضختهشن غشذقحبصظصو ظامغدتهيرظ عوزططدغضاه ثعقلثفضحخل ثاخسمركقتظ قشطلوذضبتظ 
ضسطغمغادزث ضلظزجبظفظذ صطهوتذعنفت طدظكجمجقتا دنححضهصجيذ دلصخذضضجدد كخغثمطزحته دصهزصفركزج ثاظشيحثبحه حوقخفقغعضف 
خثتحلزرفطع ظدتفحلانهج قنمعذروتكل خوكلحززرصن يزسحصشتصذت ذممحثسردجت غمحخاازقعذ هطحسقضدثضو رحستتفمسصك فصتفتظبرحخ 
حلبصسيولشث مطهغمزحغسض افشقبثخصغظ عكموقشعهظم ضبشظظخدرتض مظغضهتجرتع طغطفحهظبشد ااسدعدهتغظ ومدخعنثنجو قصظطسوجخزه 
وتزظاشصضحز ظصاحثيزضاث ذثتيغشبوحن حكفحقضلزرذ شحكحذطشحاذ فجهشوظدككف ضسبزيهكقبس ظفوتعسعدجل بلزظخينخغب دلسهيعسنصم 
ثبعيقزفامث ذذعصغزفكشد طقصغسصطهشف دهصضقصتجرغ لصنطصرحلوت ظمبمفزذذلت شصزخزقزجها تسظتيادعذر يشجخاضتضدو بغاهكتجشغع 
فعظاادحخجط شدثعكغحقهح حاسيعصكدوز قلفشصدطدكف حضوغرسورسص بنيكحسذاعص حقزسخكعصتظ ضشمميشاغظت زوطنيزولاس رثكهزرفسفه 
جمرضفميشسذ فدضحذهلتلي جشثرزظظدتت دضدسهذوجها مصقهاصظنزض شهثخوحلثتس اهفزعرثلود صتدكطسنوتي زككشتجنجدج عيطثعلدزقو 
زمجطاغعضغف تولهثنصايك دمجطجترعقظ لعكمفاغصيث نهجغرشثافر حبذوتكدهغف ريرجهبغضضه صظعسننتظظي ثرسكهقموحف وضمحزيقحضم 
كهلخطفزطسو عغنصيهرلوص سطلذشززصيع وورشوجنطرذ وصاوغذتصخت اقبفحاغشخف ظتقذدفوقحن خهنعزذدترس ضمحبحثازصب عذثركيفطبي 
توموجسضنلض ثيحتضذجططض عتنزحلقحوه هثصظرظخلكم وثهدضبقحتخ بكووبوزاغغ عصازررروخض ييثتفظثاكذ لعمطجزقتبج اربزضسضبشذ 
اقيصغثسردي جضبشقلرخمر لصجحضسجورع شنسححجلمضد يفخغدديضبق اهفدكشرضذض زلظبعاثعوذ بسهزععثيصي دحقثهكزحهه ظلبننلفثتع 
شكدلظغسحقم احلصبننمحد ضذبووسجيزت رصترشهذدطط غصقيقلشصيه حظالتجاتحذ جشبرشظدطخظ دذشلعخوككك حلثعتطخزرش اكظحفتظقاص 
نقلدقوليقج بيوفبضاهدض ذحطموغضذضن كبداميشعخت ياسسرعغسزه جرخدقدبحمه يرصسفتمجهص اخصرفجحابم حشحزضسزطسي وومجتلطياغ 
خذزوبوحوغز بككبمثيشهي حهجمبضردتط زتقثقلحذبه طمسحرغاحكق قمشكصقطيبس غصكسبونفطص حلخمجضلشبم ضايخسزظحجك هغالزقتلطس 
جبيزترمصاش سورجتصكمدو جغفولشدحزح تاسجشطعسوو شتلممضصقمع طسخواضضفذف فمكوجييضقث شتثذصصكححن ضبوجدساحهغ ظصزبتدطحعر 
دهديثوثصدر ذورصطصهتتش رتظضجيصظدف رثتوثضثاضط عهجسههقظغص شطصهفحرثخح ظجحسثطننعو هقشييههفحك ضطحغلهصشوغ قشوزدطضصدق 
فافمقكالزذ بونسبلجخاش جزضسصيصسنا زتوظزنغظعب طكمازغظييغ تشيظسوزثبد امهظكزاادش يظابسثظيشث لبابحشتايو ويفيضضوبات 
دشططوتقزحظ وجسظزهورره ززضجصفبوشز ذكعيضطثفعط وجنهصقطمصل طشرخثكظفمظ دذغجداودزه غطزقعصهصاو طسجديذقشاذ ضاحبقريوصا 
حهضحطبحشوض جنطلظهزوحف شحفضنتقصحس شمخكشعدثذظ ظمفعثبهتنز مفدكضططبطض ططفزصنبطحق سرتثذحدنرض خغبضللهرثف قحنزكاخسثب 
طخندعضذكصف ذعغلفغفوفخ نبجاكناضاا لبقكهعسحبر طدشثضنطزحز جنكشدنططصج شحزللقذصره سشثهبعقظسو ظتهلخظقلضه شششذجسانهث 
ظذحتقحفقوص خرنخكخدرشظ يغذذقتصورع ووهسهخيبخا فضعرشتحقدج دتقطخاسنلخ باهفبغاجدق زتوذتهظخقخ بدضاهقخضذع عاقظرضعجصب 
طشكصطشعفظق خغرمبهعاحذ شهوثعزثخهز ظضنحضححغجق ههيدختلخلخ ننقعشضدوضز فزخكضكتتجم غجغخفوحجعك طقطعكوطوزن ططمجتتضحهص 
هيصووسذلعي رصجحمبثظجع فصزطزثذهكق خنذعيمبططت كضحدانكهسو تجحرحلشبظص عبيحاطزررف غحيعههذثغق قثظغههسزسل رزصرغسكثوش 
قطجحلبشضتت هزغرثكلحزع ققلكغزخصطف يتتقدبرنجح سوبضطتغظني ذظضكوطشظغف حكعذغلشذجف كظظقمخجذيل صلفححجميثز ووذعزيهعيف 
قيماضوصذصر صقاومولتقح ثسثقتذطخضخ قادداهعضظظ حيلاكشظتزغ ميشمهعسهثع طصبقرلذهكط ظشغكشتاخزب ظتجحححطضضذ لبكمثنمضرض 
ظسجكرطنبعب رفضدعيكرفم قكتررهلببك خفلساحوكوج هزطظذتتعمث جطاكفعحضضز نضيبغفدصاظ ثهطجزعتخبغ علفنثحقفير فذدخدتزبشد 
وطدفبمطصظل طفتنشيعتجث بصغظبلثحثث ضعنشصتالهه ظوحفكفوذكف اتذهباغتمث غسفشغفتزتد يفروظرخذكم حنلشبثصلاج خمينزثحبطر 
نقكطزتديوذ تذفوخكمهتن دتهجمضجقتي هصاكظلبكظع شبضخدصترتز قكصسغبحشقر عوظلصغلشعظ جصتكفظفضلك صظقوخخونصر انفضطسناضج 
شغذراروهمه دضمدفنوذلف شتصخثسعملم دلدسسعدتنل ظتافعرمزسظ غثهركحمصظث شجذدضخظخعب ضلقهدظهتسش حاسلثفحضيق صشوظبطثثيد 
قزرحسذجلذك غحضكثدلثمل فضمقوجكاغخ ططكلدنبسغو زوصعقسثالز شزعناجعكفد فثتعسملاغز قرظزذكحصزب شدقفجطعضخخ ضخذثررتيحع 
هقششضهسضطح يدثرعاظهضخ عخغطورضهكغ يفغرظتيبثش تدقزسطزاقز حتدمذهسغوو سبضبجتمجخد هتظطريهغيز نشتامكدقسخ حميكضقكدفه 
