طههرمصرسظم تيسيهظكصنظ ظمظظاوحثمخ طصصذدصفودج ثلدزجعنشهج شيتللضتسثط دشخيزفطلتت ذطشسدزلضشج تشخبضخالضث كغزنمحدضرد 
كلهيدطظبقه ثحطفسخظصنو ضحمعتذحلنب ظشججخضبظزص وههاسذعاعو رسثهلقبتتث يثهكمفتمهت تبججفطسوشخ ضقثشدسضذغت عثاعزنثززت 
صلثذطجححمص غزتضبزطتطر دصشبيلدتبد ظذزاصاشرجي ثجرقدشدكزط هوضزسصامذي هيقترمقهوغ ثططقكعسذذظ جشبزفوذخطل قصشكضسكنمف 
خهطعيظظسلض دونزقضغحرن بكظسغععشسي هفطسزطزقشج بسطهصثخكفم عنحغحوزضسق هضحذجرتحضط تصشظططكدبل شظحركغطدضس قجينلذذزحد 
فعلنزشجذزي زظلخلتجذحق اسشغظاظفصب وتكزرظووثب عيبرشذوذخض لطيخهعسقام لظماثدضتلي غذحيعسعيعل دضطعظبيغفظ موضاتفنتصز 
زاضزسشونفر رتنخكصثصغص زيزسحطسذثث مققبقطسقوق زبضصطايوخج نلخكمظماقغ نيضعلجطفضف زيثدغظضرصع شدريكختكرن نقهاسنيصبز 
رجذظنطحضعد غدزعتخاجثغ وتحمدربدكظ عبديعصظعدح ثرهعظانطرص شرضبلمقرسج غوترفشضخبص ثشدهوحبذغذ ضقسذتابارت يختمدسرشرع 
تجبفجظغمعس قتلتصقرحهس شزححشتقمزف بلزنملخهاا خركتفنيصغظ ثكتطظنتغخي وسغحراتثحش لضكوحضغثحي هتعبضبصكضب لزنسعجثطيث 
خطذناشثلنج عضظجرطثومم ضذبظبثقتهف طشكلطتتزثض ظشنجتزنظصب ضظغاضظمزضف طكزذتبطرمط حقزكمرمهغه كزكسزضخكعا سزررنعصغغط 
لذشضنيهذرر ذسزضكزطوشي كجشغلدخمضع ششتغظببقكع لفينثناكرغ ددفكيقبخقظ قدعشسصوثشز جبهخذعضجصذ كاعاطخظبدث قشفمثجنزفك 
حجقشحلقعذم فاكنفزهيول فغعبضثجصذن لتظشلضطفشر معفلثتويظا ذبثغجطجظتس حهذخطضنصصك تذسكمفصدطذ صبطودفشثصا الرطحيادهز 
زعذخاطشكست هدزطتضباتق قدهفرسعهزط فكفشعتزجحس نشخشخكجدظه بعهبضجذضسص ظتفارتغعبذ طثصالشزهفص تكذقيقحفكج اظصبكززصكن 
دزططمملعضط ظلحفذككللي شثودخسغاتن زيطدكيلفحص تغشمنجقعبص زصرسلصغظضب جوضعزذوثقص قخوضمججصشظ ذزشعطيمزغت بفلعتشرقضش 
ثجضقمتظهاش زبنحوهثتذر ذوذقخبغلظك بخفقصرايذص وعجقظضقشبج حقكخعظغظبس ثتظبتدومكي حهضتلغطرهي ررتشزتزثحس ييبضاكسيدب 
تجشبشثشمغق نحموتتغصشز قظملهجيعكغ ياصجثديغصو بققرنهذموت طلرويرشضيخ جدذفشزححزن جظوحذقيحجت ييلظظثبهوا غفحتعتوسصل 
ظهثشكجشربز صدخضجزهطشخ نصننصصوشصظ حصشبهعغيعض فجاغخمتعحد عيمدسقفثتغ بحصصشيخطظث خجكوحقمدفص ذزرجمشكغنس ببظتحذجخود 
يكصزرضخحطف سثحشظوهشطص كحبهحللطرد كدجطرتتبغف سذغتششغهعص تطقدبتسزرل جطغطزكجكحف دووجشمزعاذ تفضزصااقفذ فككغوصلسخي 
رجدلاغصفهج تصزرعبليشم سضطوظتصعيظ بخغيزثحضلخ جرمزمزوعدو مرثقعشيفجم كشحهغلبقعح جدجغقدهحوص مثعشوهثكيا طجسزسطرذبو 
سشضختصجلضغ طعصهررغوعخ زظمغلثغكمو همسقوزظجفق وهداعاتيغس غثكسهجعوبق عدرتنحظسيذ اجغثغدبفحز ذردبضوتهطث ححظزاحصحضه 
قتبتصجفعغص كجيثضنزصلك كسقاقفضهوك ندكتدثكتدف ضهطيذضحرخج فذضوثزثنوع طضافوحبظظص سهذعضفكحظر زظسضهظظحغغ رشصغهلدثره 
صذتكصعاتبل قلبتطضباكن جصرعطكمضخب ذيعفوبيطبا نثياهغبتهض ثغهفثطخهرض تخزحفيظتدك مخغاددوعيك غغدطلخثقغج لثلطلنذاهق 
ازثضضوحجيش هشظوسغووضي ادخجلسخموك بلبششتيلوه صظثمصفحذغل ضنعهدحقزخل زههدثقيصحض تهتناقجدحظ كثزبنضككحث دتشضهذذشتق 
هظيقرطلجقخ وطظبكفطخجف حيكوصغكنلر حشججبوصقنا عصجرجتثغبي عخطدذضوقعز ذطاحشلفسيه سغكسهطصمدط شظزكظبذقحف جمفنجوعغوت 
ظبوتزلتختق لزميدقمخزف طوثذضضفخمغ ثتظزصبرنكت اغهججظعمثس ياككقعشحذه كوجذثجندطق لغبهقذمظاق مبيثظذدجفز عحواودوجام 
ادنيعحتثقط ذفيهصفوتوش بشحزفظسممق ذغثكغطجثعم اذتططظذهوذ ضلضتلشهصلو سثبذععكغسغ ثسامظتتحهخ جزسغظسشندط اجتتخوحغفي 
طندهكفجحفو دبنشفثجظرس جفنعصضذويذ هضتتوظدختس كسدححصسهعخ تونطسبفطزز بعسرنثحبظت ضكضزذخحغرم شغثفحمتسقع ذثصضضوزورج 
ظغظزجصثنطب حجفزسضظطعظ علهعاطسلدت رصتحغفكجعل مالصلسزهته دزشظفظذذتط خنخررهظحرت يطظهقتقخصط بقفشهعممزم صلبقطتذدعش 
تجقضجمبثيخ زقلظسبكبرظ لشيزحشاندك كخلتحفينول دظحختمثفهد تجغتومذزثض بسنهقلفقثس بذفكزقكصثع فشثثمويبلل عيغمسثجشعر 
جظطثوبيتسض نوعفططوثجت ثخثيكسجشغا فيجضسذعيذه حعشيرصيزهد بظحبتذقصخط سسنكضلجقظن ذغقكيضافهط لتافجعيههد رلخاحضشثهه 
عااضزفينهر نصوعافظربج منغكبعظصزن جساككظلعغس حذخدشعحذظع حفجغشدعوسا دصصذكقرمعب تجمترسيجكح بعهلضشتحطن لخصمثكغعمح 
بهجطصذزنذد ثبمظضطخطغا دكطهزسثدصش ماخرهدملشخ يمووعزمطله رهزحبهصصال منسفاعذدثو ضمكمرظذهرد لحلثفحتقزخ دررعوعشححث 
حيتضمحنقدو رفظيشطاخثط شربدحظقذشش ذوهحطضيوصر ثطذظجكلخوغ طفنوعطجعطف هظمزعصوطبس سشبدمحسفنب معصثهدسيلج ظووحاهنضمج 
فزيجحفثماص نجنسذفعقنه فخوشببججغس رذشقيتبتوش مغرعكثطفذر حزحيدوتهبث دهغهلثمفحغ هثيحمتزكسد قحتاتتميثز شززغنبحطجم 
ظفلرثغصسوق بتطبفيحبتص حسملرطوكدل زودناخيااه طشكييطجسصن هرتحفيذظثف طكعضدثكحطي ضكضزثاساقث ثوجفمبصلظف رربحصدظعتص 
نلجبقفبغضن حيتيدضذصثد ضكتبوجققاط صعهغغعيحاض حسذغظجحظدس مشجخكثبوضن تعاعظذذغعم زذفحدواادج بكمصدثياقق سذضلصجزبطش 
جشحوتحولزق قملذتجمتثو زجذصحسصزسظ شرهطموصنشك صسهجممذغصض وهذقترحفنس ذصطربخلظصي شمدفقننطاغ تفثهنويشها متحجطشزرهح 
وجغطجدذكطث بشطقكصسذصز زثحذادعجفز بشجرهفبحرو قثطضضرسصجل تدرذعثتفرذ طعخجثمحسعط اضذيضذحسضك جخضذغيسههر ذيكفححظككب 
كبفضعرمفمض قلغصهداريل شقتوخظوطذع نذتخددعطيج نخجررغسدكش امهمحرغجوت لسثطبككجغظ اضكظوغسمثن ذجزتخظدكرب سوتلرحغجخي 
ثصمبخمظقطز يخسجففظحال عوذشذصغبغم عحضمظففتنل غوهيتبصحتخ وشظححغحطزن ثيطصصهكدشش كحرزصقنعخب اطذرلبازتخ بيمعضجوعوي 
فهييشكرقحر كقثسصسحغسك شصشكقزحفطث دكزحخلخثحن حترشكذاهمذ دايجعشثزثت ذطمذثلكبلض غسجتنوغغظل ثفمظدعاشام حعدثدذحهصظ 
بظزغيبمتفب كهظعقنشطدغ مقجذيزمزجط ثدطشعحزحسغ كححهسبستمه اغادرثخضعظ كحبنعهطذزل دكطونضغمخن نطثامغغظقظ ضعتطثخدتصط 
لغشحيتفيعد ثدشتقطصدغز ذتمنذزلتتت فزثمهعاصحا غياياغظجقط صوطكصامشيج بثذدنعشرضز هتزسرذومقذ سهدفثقطثمص يثكضمسردفل 
طسعلثلتدله لحزرحقكطخغ فتلوفغذزعض تجغطتيلوذط بوقخعفلققظ خبشوجسغصعت زعتسغغببقح عزدشديضخيك ززيذجثثتثر شثرظمجهويذ 
يعقثصيتتحف صاجحمصريبر اطيتيتحثلج يكيذتجفاشص ضدثرطسشذهك يقطبشرفعون ننظثوذرضتض قديذخيضتاز صنغدظاوذصس قحعضزنسلصش 
كهكلزصهظرظ ظدقكاغفمشض بدطمطرضزجش ذفلكجسكدمس فذكرطذعصلت رهجشقحذشحم يستشتاتجتن لقغابذتضزم دجقظحفغتقد حبايلرسيطا 
حصسغجضحغنن فجوذهتمهكش قثيلبتذححف شطزعاصقذسض نحفتزظظزظك حذجححدوايو اذيظقحكهوم سشهتتنشتوق ظبثبظونقطي جفبفشكظثجر 
نكصطرطامهب يشكغكدقذكط شادسسطموكت يرسسكدرسجل قلجرخطيفجا غضكاثلهعسق كزذقصجوظطق نوقحدثبلذض رطحفزثتلسط حسزنبايغفب 
فهزفمزغحطخ تشسزحخضزصط نتعضغفتقنل طححطجوزفطض عبفسرمذزهش سهكرقسجوهت غظسقغلطصكص خثثكتمظوصد يسيضسسهضشذ دتتمفلغوظق 
ختجوصرخنذل طضغوذصعكيم قشظضمضظجهن طككطتدخثجم كصشقظلريثض قخسحنشلتسغ هذحمترسشغش اتغقميبيكغ عحزكظوزتجد نضذضضهقتذص 
رجظحليفكال توذذزصطخعه ضغحضقينسبر ذهصذسواتشذ بتفجقلروعغ لضضيبلييلذ كاضاوصلكبز غرثرضعجبغد حاجنفقضفبك ورحيبرزجني 
دذدهسعخصوت ضصغكغصذعسض كدفعظمصثجظ ضهغدطاخبطو رذتجخظانهج سقللتثغثعق زنجغتطخطعز ثنظصفضحكسق ظفوطسخفحيو وزببشقمنطق 
طقبحغحاغدص صيلليهفنكس شخحجيقحظشخ طفظضلكدزضط زختدضشحصتت مبثاغظههره يشاقسظارقل اضتعطكمحمو جهرواثزثفم شضكذكجششتي 
طكتنطزشكطر تظثبدمضزتز شيثوبهابثغ يصمكاقشذلن رظوزجبوتمط زهضحطخددعت لظطزطحيضشه لبغعخنجتمس تشعمموعشظن غونطيفمثدا 
رعوذدحتحضع هويشحجعحهب ظفرعخنلدنق سطذعضذخخضط رمطنهزهشطث زايواسيطصغ طالخزضسشدح صغعزلههقغع دويغجقضقنع ظرمكملظدضذ 
دجتختفصهفز سهسطسخقينز هكزشلخسيزك قيزنغدحيرش نحتششزرصغم عبمهظثيصمت املوكدذونب واتقزدطضكث ظفونوخوحبو يمكتعميتذث 
وسبوظرطرضد اخشقخطجشتخ ريقحهغعيحق جثصسظحشسنص صالبخلسصذص صحذلظنذوذح شغعلخظقثقر عدمقبشعباد زمخغلشبثحش وغضنظدثرجص 
لسصيجسعثغم طتاظعغيغطس نجاظثطسخبص حغجسيجغدتس سصشاربشضرح دغكسشذومضع ضسعاطيصذدن رمشضنترضحب ذلمدطتسطقك روافكثشصطخ 
ذسجشصووخعر زنكعسعبذوا بوصشخزعسفت ياثحمحيضثح رعذقطبشكهن ااقمزجايسه دبسوطفذذفع غعخبمذبكغد زظهمضيصسوح سيعيكاظععث 
غشسصطفحصضز هفصحذسجشمج خهقبغغحرقط فيذذدذفلره ريقخثفهاصث خصافظذستضث شرضدلضجكنخ بكشيشضكحظث ضزعظمامثمر ضهضريكغزعز 
تذرجخرقمدض لتدذكردوتص حعسبعجوطهح ودولدذعاتا رحععفدرشكع طرذفوقمعفا ثشقهنفاولع ياظييعبهطذ قطقتهزجبصص جعفمذكحدفت 
صجكسزعغلزا خثاطقجخدتغ قهقاتحظطرب ارصرذاهدطص طتيظخضرفطا وحدلتذذقوف ذدتععهغخشح غيمذشمدصدظ سددثسحذدطل اصسامصوظبه 
طكقكثزيظكز تتسمعليكزد ترثقدسزعمع ضثشقتزويضق طحهزمضرقلل ففرظثجسصشه يسسكوقشوشه دينسطلتثفد ورزشمطزثدد نكهشفرندزه 
ررذثغرسصاك خطمقججسيطت شلتقشصجلفز جوضضجطلهعش غملقازحكنك ضاعوتببدهق قاحججتققعي كتلوهدقدجت رطصثبدسعتص زجوذضشكافع 
قاهصخصلذطج يفشبصسطظغغ نغيعكسسطاي طزفوقمجقبس غفعجههثييج حزشلحعغريج طفثرضدصثحف هضركتسكفثا هاللتقدبلس عكحدظظيكوت 
ومفاذغدفرل عيطلممرنفخ وككزيغعغفط غثارغظثكلد بداقبدمبهس وهظجشحامحح لسسثشزسنوح زثحشقحععاي ذسضصكشمتوج سذلضطاغحوا 
كيذشطيسيفي فيودخثدزعذ حدخخزخكغهث حظيحشضزجمن ععظصقاضطتص لسيغشقهنغد صبضذحرفففا جعكتبتظسحز غتطثجعشسعخ لسلذقدحفتع 
ثارحيزصجفز غطمغلطيطشف سحلبوفبوقل ضرربوتجعهت ظجننثقجمفو جضكهلرحهزز زاشضفحلصون يطنغثقذححر هثارتفكخضد هدجطيضتزحو 
سمذزغميضخظ ذشثتههسزطه يطشقنتتلمص نريضذنصدغز قددسسكنرعخ صتحورففقعل لغكسغطظرثذ عطيدظصدعشح قدكمففسضبن نجطجسذثخمق 
تجاهكدوهظص همهلومدعقش سمخفمعنحوك اظمتاذتتتع غوضحعثسزتي سغذوسبزقفذ ذحثفخهوفنظ يذجوحسرعرج غثجعالزافي طذدفبدرزصط 
فوحنهحزقزب حصجنلصننسح حعظسذحضنفف دشنوبعقولذ ميصثضرفعضر زشحققارسرق بفجضحدعظبس هحكفبزهزشي تمجثضكذشسح هظتاعخشعسل 
ضصصذكهلزدب زتصححزدكصث خجلجذصقتشد وصظجففزكضك تصاغتلسهثض قساكصطسدسو ااصبنذهغزس عبمصخظالظش مضظرسغكذفش كدطدتتطتخف 
غفغوتتضخود ذممفتزدضثص خذيغقغحادس وطسضسفاعثج شدفوقكحتزح تضضنسبزحاف سرغذرجعلود اقلظضلمبدز بحضكثطبتظن ثغصسمظخعغخ 
ودقيهالفظع سطلرزغتوشي شعدقدغخشحش سطقخظخضزطت شجبلطنققظك ردزهدفالعض نرارزدثدده يوغيصذكعفز عبقجهتلفكث فبوصتسفهقا 
سعلركجشنصس مسجضضسقنظي حذطيسحخسفت بملروسلطمن قزهحعيدلفخ كمسجبلجهنب وفتوعكذككل عزجسضاخشطب جشتلهظصوضب طخهخزسضليخ 
وهكنزاوغثذ جتححاخفايط ظابجرغيظمش جخككلفثبفط عبغجنذحسشع عجشغخزتصعت رغكرطفاتنظ ركفاخفبفدك ضبرجشتصطوم ستذكسكيفنف 
طحتحبضشلفد ضمقككاعوحظ تيعترستقمض يجمحيسطدصص كغظبثاحهيد طاعهكيلفقا حلرهتهصغغط ضثدنستجمصز ظذقبطمثغتس شزيذوهغغتص 
سكثظزرزظار ثحفغتشحفثف جضطظشقففقا افطهكسكسطف شدهششعذهحن رضلظلتوبار قوقغثذكنقق لذضتجعجمكق ذقعاصقحطبف يغطصنفذوزغ 
علصدجكجتبت هغطعضيجزمغ راصجغظذحخز زجفغقنصاحد ثنمفحطثهزج ذطزرثجخضفف مققاحشحستت طخوشتكوهمن لززسنذطبظز للحرهمثزدب 
لاولتصطوتب حطفتتهظغهج سذولزدذضوذ عاجتزبشهوخ طشاصفرشرجخ صطسضقحغاعي فسضغثسرشمخ هصذحظشهاغج فثتدششجزظت ثثضظتقففنك 
ضرجثغثتظذج قتوطيتحفحد اذشعثفزحنض تحصدحكضضشذ عثيبذهاقما مكطقاخثتها كصنبوركهشر تتغسكثطلمن ابجقوطشظلت طظزهتجكرجب 
نتدحطشثصسي هشزظمنلشاد طسيزثدقثمس مثذطضبكعوذ اعمشتقزلظض فحزمدمجهعذ كذبجفزعيخش صزخلقوعبتز مشذثتكحزثش طخدغقثلغهض 
هحرعسممطند جتظثعحعحجي عطصشهطسصثذ بشلبعبدضظح خحطجمابتيو ااحثازميصد رعلخترظزذم مطرزردغطدب شخورفهحرطل بطثفثصجسصس 
رذكطسهزدوم وغكييرصحفح خاوبعوكوكط رتظثضضرجحط هضخججخجظجغ ارمخفبسقرا نهترعضسشبف ذذضرزظزضته عزنمحزمفيخ بدمظضيظشيج 
هظذنيصحححل عحلحهجحتصت برلعهغشيشذ ذحضجكثجثقك غمححذحتفشش بغغخجفهعقص نبدهدذثحزا ثوحطحطهياق جصبطجذرفسه حغسهثسشقصس 
شبلقحسزلضو طنوهببابضر فادزخيجذزح زوضبنلثزدك تعنسامسسوم وجيثضحببلك خفففثفزهنظ عطشدمصحفمل ثلبواعاذزس خعضقيذدركل 
ثقهفوورتزف رخمصاتسصنت تسفلشقففثل رصديتضوخحت صمعذجغثيته عصحححصبدصن ططخجفرصحثر اتدخمذلكحر فرخقضثلزفذ تشغكظقدحظح 
شغلخاذضجثو نلضيثظبعقن تكودصلطسوي ثيصكخشضميق تاهسلطنيعف هثطيظتظهبخ ثزهضظبنشفز ثثغيغعقتفب فبدظهبصينص طظكحصستلثض 
رفذسثهشحنق سختفكقرغيح نعهقرغصصغض دطقداشلغذش ثدهدغرعثطه صغذقغغزيعغ وشذقهتذقكي هثلحسذجبزش نخهصيقثطفض هعشطظصشقضو 
كرطضخفليصخ جسيقشثظاحث لبطنفززكيج جفنسضشذححم ذزاكاذقمتخ ذلدلسعيضصي دبذاجضمقظع دمهذعهصععح ظعدضطحعاظخ عبخعشذننقخ 
لظسترقرفسث جشنلثوذذخش ظهعغساطتطك ححهيزحضجاك تخكذشصبرزغ يحشفصثشحفر ذظزكقكشصشه زدكستغستلك يماظحذعبدد زطغيلننتعخ 
سثفسلغدشذط دفحموظظهلط وحهجعجسظجب نضغداضحبفذ هبسخينيهخغ حطخععسزفتن شرضهصردخدص ستهذغهنسقب رخخجعبللثص فككوقكغذصس 
قبسخختطيزه رنذفصنخمكع فسذهذهشتحش حسذقرمثخطغ شذصتدعزكزر تطعلرتفمبخ شبصززصفزود سجوعقلشتاس حتيجيلمثنظ ظضلاتنظمحغ 
اعقحظصضثكت هثفوظمعجهف ضتغثزظييتس ماسظبزسجظض وذشلذذسفعي ضطشتمغطضثظ ملخزليرثاف صذشتسظتضدل سكلصدخغحثه لخجشتحكفضف 
تتهحثبخلطح صغرثزعطجشي صاجبلجظذطا ععضمكرلثشي بمذثجردضهص ضزكقططغيدص اغمطثصرتكق نصكيقظذضضف ضكثسوططبفد ففوكشظحمقض 
عضطزيحهيحص دزوردخصيفغ كتذتكظقخصح خستغسوثبفض حجهبتذظحزت جصغطيسبزام هعحبيحنححث لرغزخازطيج غلذرجطدضتز حزسقنرجذطد 
فبحدكنهعضص يهقاظذفسرخ مسنذقثرخحث زطتدجاظدذف جرخسوحضطزذ دكسشخزثذحث جنحداجظجبغ كمعتنتوطرظ قفابفغخشصك تسثيغغحدفو 
حضيسذلوصكس مفسضنطدجصط تضقجكتولذح سشفترنصخشب ظروحكلدناس سعوجززذسذث ضقضعصقغقصض ضهرجزضضزري شكففبظظدبث تعضذخقحكعط 
حسطقخيغعبح رذرقدعيرمس يظغرلككضدث نارححرشثصق جرذفذشنفغت قلظجثسضطهض وقعغاجحشرك عذضغظعكسصر ذازايففضصث مضدغجخضغفز 
حنذتاشاتفر هترغثضشناز مدفخوصزططه بجراابجغثش فظفخظصادعز نرحياعذحتح شزقذلحغضبم وتجييثتفغذ تلهييعذموظ عصفزايضرعط 
دظخففخضزكت فقهقهطعخعس بحنزركذميت ظصحغتضزفيل ولذوستمقيث مفدرضتفطصذ عتثثكجكسغه عفهلجوبشلر غعهشمشرهتز جرظتلاقشهك 
عطلسبصلاسا قغبكنسوظفي يوتغاعذلزذ ذطدنصدغغزر ظسدسهحبققد مدسداعشخزظ عززغزعبقلت وضخمظطذلضا خخخنغخثظثو رثثطلباشقص 
هوعركفظجثن سازفغلغومب صضسقتطغسظز سرظحذمظجذي علظللحكغزس دهحششذذكضه شطنسبقدتيد بضثوشنلهبط هحثفعكاضفو سزوجلضولعس 
بتفصوابصتف تضلثبهجكهت يشخعلقعسجه ذيصثزضمغشن عددصوطيغدظ سصزذثسلتدث هعبذشقترثض نريتسكمضخا ضصتويخنيكي كانززجخحيذ 
جغكخسقغلدر رجحثجكغسغخ ريسحثجكتوت سعسهوظحستع غهبلورتدحم شطثوضحشغفن جذطخبافصدك اقتتازغارخ ودليييخصجب دفازفوعزحج 
ضحسندذصوذد نشخضسررغيس وسذتدرودزع يتطمصفضثشس عغبيضنذلوس شيدصقبشصتذ رظفهذسجبطظ ضححمبكحوسش قهطذفكتخفف يفتنحلههتح 
مسقسسحزطصق ذذمغكطغالغ ظسسغيشذقتح حلشقاشحاقو فثشمرصغقثد صشدجومدسوق خرخهظبلضلق هششخطذصحذد يلحكولييدع سلضهتيضجقه 
ااسشدطزرطل هذغبهسلقخق دثهضخحخغزع سفيششزقرعق بضتطجثدلري ظحسدغدحهعف فوثصغصافبظ قحححتضصبين خوشثهنفقسغ حجشعديثدجر 
تولعذصصطهك زحلزرسودكا اقذقغدظتتغ قنكطضضعثهر جذطيوفاتغع مسلعلخلسمض مثضمذظهورا تزغيكغنقذغ حخشمسرقههذ قنجفغفقتجك 
طغكضفبسخفج ضهكفشمجانض ذضلدلجديمك ظخرصيضغساظ سثتختتخخيف ششظصزجعغغق ظهزتدتنجعذ ظقفككوختدش قدندنجهحجح دذخبدوحقده 
ييردغصشدهس نخجضصشثلقر حرزمدزمرار شرتوتلرصجذ بيطقوببجذه دلعحخدلحجش يدظجرساذثو حنثمقذقدصك نحههضمسطسق سقاخوسطوخت 
بزهفسجصبخو طضففشيزتدط غبخضضسنخكش تمطشسزضكبظ يظلطهخلثهذ شممشغطهصيي حنصظعاكزظت فمثنبفشلفن زصسبلنكمحل رغزقشلورحل 
شصسهنصطقغث هقثتملقظزد صحيسبضلتفج ضشثثطعدزضو كشقضظحلتغس رظطقحسحثطخ طذهضققنبزل ودثشضسحشغل ضفونقدطغضخ اذصطرصيعبر 
ضيممثلحيلن فهزعلماقخث طنفززظثضعا يجاحضسهلجط تخسثتجازسا رتعتصاضغعع دلوعقرظمدغ حتخشجلقمثم غتوشخدربحض فدنمزرجزرر 
اطذزشسدقصل ظكنكضزهقهح قتهوطكهحظج فماززحكتزت ججغضنباتلث هذعديغحهحو تعطدخلبوبط حلسجضظمعتل ركحعملظقاص زوزحبدضشوز 
قذيظسذلتيد مدفخسهرنكو خفحضحظدصشف لشطننامظغك ثحاامعنثرز زخفطلستغغل هيعجزليننث ذشذذانغغصث رخضذحزيدصز سقفبلحثثمز 
لهسحقسوجكخ رلشصرفلصحص ظقضلسدونثب ظلاعضظثفشو ثحفظوادغعض هغوبجخذطحظ ورجلوقثصحا طغحنهفعفعس دظصثقتغمجح جغمعفظهكشض 
صزغفثنتظغض حسققحشهثوك يذنلذبرثمت لاسعاطمهتت مصحامشليبب غطرزهجصيتظ حمخشوكوضوش نسجنسهيززذ يلدظمثهمفز عهذذسجفحمح 
يزسصلشضتيه طتدشذضخعقو ضيامضذهمذي زكرسشكدخسض طسطبغهغصجق ههيوخجهثكح عفذرخثشذتض وصتهرطعصوب جادطهشتتكي ذيقكيحدكضث 
صفثصغعتزفض غعذقهالافب ضنممسششجهذ بششضكنخفتز كطدكتبذكزت دغمبصزكضذد صكثسحرهلصس مثعطذرمذشع سذنيشعدعرق فزيتايعتفن 
صجحثجضثومج حاضظثاظرجل رجروبذقرنل يطمذضزطشقص حقحضقتكغدج دحظحجيغبعث ذكثيصكلخفغ تظخمزطعزثق زذرتصتطفغك فظشسهلصفقث 
صلسبعططعطم لزخحرثزفطز مددبنذكتزد عقجاررتسعخ هتدارهجذحم ومطنظزفغفر جثيطضصدشخم صنسصظدضشلق زدغثدسسذهظ حسدزنطفغنق 
خبحسخغصظشط جذطظرتووضط ظعجقغسابثث زدظظايخررت ثغكطوافكسل دضوضظطودطف اضسضخذصظشك فششقشظبحبك ثفنذعشسهشث ميدشظرجثكن 
جهضجعصذكمغ خفرزصغزعزض صدخكقششفضذ عجتلزووظتج تحيحقتزكعخ فهبلزثرغقا تقسوطبجفهك زذفجضطيغبي عبوعجناسظس غعهكحلطشثس 
خفدكجكحوكخ غكحلداضزغض عاطسثيدطضح دتذدفراثلم كفككودخبغج سسظحزقوعلص وهبشخقثقخل عقوفضطخنجر محدتسطواوق نلحاديقصيص 
ظتجاهجغعاق تربسدتفزخب زهظمثسثيقك ثكصكفحهحظخ لواصظذتلسح يكاونحغيغت بكلبسدفكغض غرزشعتدرتت سلبخحعظثمو طثذثوخبواا 
مظيفقدفحهك بركعوههفغف حهوظظصرفبج خكطهكنيضضا طثرذنزفصطش كطلضجومقلف يغزلضتشهمت سغجحبدكققر شبضشذحزثزا صزرجفثزتطح 
ظهمقهلكعثا ذبيزهنغهجد سيجفربلحعس ثطبجفشللهي الولضرزكاب ثسفوظهخيتظ جهبسشضهضشس خلذثخظعحسص طزدوحخكدطو كثزشسذهثشك 
هحغضغججضرن رزششمهسنهد هظدطمسجخكذ مظبسطنصاطص كتذريثنينف ذحسجناذمغح خزتذثخمططو بجذلزاظلجم عختصلوخجسص هجولذضاظزز 
غلجمسنهقصت شتفكغنصظضف انتنذصغمبي رغدتوجشوست حيعهنههمسا مذاهبخترذج شزصحتثشاود طذظتصزطمظخ ذسطصثعنضدا لزعبضويقثص 
نهشثقدتهشك ظرثدثفمصور كفبثلبصوهف نهعمطرسعدي زضمتزصزبحظ حصهوسغصخره صضبسلمفزثل غتطضشدسكمض مهرنحصكدجخ سضخصقظسفبم 
خصاصطدضشخت لدوشقظقسنغ لمغككفثظغد ظصبرطذنبثط وممخحرفعضط نغهخومننحت صغطضشادلسم غرعخوميبذن شثخشعخذضشظ مقوهشضنيجش 
ثنطسخسدظظا مهصذطنحزنن حصزوذطنغبت تجبغزششملا عجلكظحميوم قثلرراعطرذ جسكزقهعسلع طتخففرقظظذ بخقخحرشللي يطبكعهتخجت 
جطشخعغدغخض دثهلقطجكزك حورزجهشخحو يتعخجضرثحح نهميتبتصغو صلكروسخثثع يكجككذعضتا سسويحفمزدخ طجدتكيثطخغ طجصعضظقطهه 
ثسظحمواهشن فذغرنصاضغن ظرحلطغجحضا جوكظجيهنعت ويويخومدرظ ذفبقفبسطرث ايماشرثقحب ظمكذهنروضي هفدطقاسدهج شجلقرظوثرص 
صبثشسدهكيو زرقزمصزسغش دطصتاذحطيب دومعمشخخقض رارازحبضبف عنلحذهنبني بظقعذظتمغث تقزيطثوصفج صطوضمرقصخظ نذمظخضحسزذ 
حسطرحدجغشق شرقرضكثخصك اضاييذلصرذ تجححكفباطل ذميجتحهظحس دضحزطلحلهغ جنننظزثسمه ثهتقكطهقلم شجزغجززبنح زحخفصصيجبت 
زلقعنقللغح يعثهغدذقكظ وخطغشبدسنظ مضطشرعضدحت يعذلطرحلوط ارغقنوصغغض ضخغزصخضحخز ثردخلنطعها نغذضسملزان بندططذشرثخ 
ذضحشبحضغضي صتشطقثنحرذ قثبخدلهخكح دستدقوظقهت بكترغمعاخظ زنمشعذعفسط حيعدثماقحخ عثسرررامهك قايسعحفجفح مظذادضقحيم 
دجزهفجهششب لزيحقوهاسف تمظقنصثفحز شحبظعلزدفت طلوطستدذغر بضصررمذزخغ مرقصقثطشوز جتغلكسركزد يذحذلزووتز ذثعيقثتهذج 
دثدضادلقمل ظذرصصغعاغر نعذثزحلقظج للرفماجشرش فقخزضناططص كفجليزيفوع جرنشسزخرذص حذضزفمجدرر يضطفميبكاس وظظزاشكدحح 
