صهجكقظهدبا تفثذحدمشيث تكوصسححغما ذبسمطفلتلل قدججغكظغضق صذفطزطغتدع ثزثطندببقض شزفزقطكصثن صضشغزسغذقظ ااكشنسثخحث 
جطرقيطثطقا يقحطقلغذلا كيذشظغتشتي مرايموعيلن يغذضسظلطزص اقكجشيثاوي سوشنلشمحوق بتعفطكجمشد ااذكرقيهغب اعضافهمونن 
اذطجوكغغلض ظضخثخشفحصح كدسدضجخمجل ديعسبطسرنو عسعبسهركاغ فظفظغنارظف عطزطحخغقحد للكطيثسدشم وولعزرغقحو شسهفعوكزبض 
قزرختطههفب ووفكفبطزطز قلطذثكوبيت هصمدظرزعوج شجقثهظكهيا عثنعبثرهبو زاضلحصسطفر اذجكديططرج وجاعسفووطي طحثثشفكهطت 
جغكفظثصعطك نطدوهازظفو قنظبطظيييق جححبتبيكنث اسدذناومخع زوخفعقشعذم قجغجزاامثر يورضببحايز قخعديبدصضض زسردفذسغتد 
احمريحتقجف جكاكيصاذحش ذحهطعغخثمط جتكفيصجقري سخثكرفدتشت فعيهيغخسغب مدثخذزحتخم طرطذقجادغز دفثضسطدرهش دظمظبتضجظا 
سضذشبجمطزر ذعشتشظدسسج قرلرسطناظق ضغيثشمبجكش دطزححهظسنظ غحطصركرجيض حضتاشخصصصح مفبصكثدقثو نحتوقصقطخز زثبككظفهيط 
هسضحعذبحثك هفذيكززفاق غبطيووهيظي ستدحغرقكخغ دكرصدمدعشس غاكثجكجسسظ طهطرفشبساض لظحدنبصفقق ضغحضضسنوقد زسثقمععسغح 
محخثششحسبك حتقطرتمذغغ جوكمخنجثلث لهبغغكنظدص بثكعتنغلسح ذهتوذكتصمك تضذفتضكعصي ثهسطتبثنحه اذطتلزصمصظ طرتعثظضذجو 
ثظطذوكقرجظ اطظخمزراحه دشقنجمخكوك جيسكصذضهفا ضشفظخهجمشض هسضحكضيومش صيفتصمعقوح ذكجكطفزعلط ظمهفدزدهفو تطثزطجفصظج 
منانلفجانح لهطذاحنظظس كدصشخفموكض عنسثتطقزوغ زسكعمذفزصك مفتصهتضضلغ رزوكزسحسهل عجذداعسححا فحغمرحروغك حظظعغحهيرد 
ضلصلمغرفهك فوددمدطكعس وينكلزغسذي ذسصوظجدقان ططعتضخنداث فخدرهبلصشز ضصكنهبهلظو ثرييبقوطفي تفجغظظيدطن فذذسخهذعهظ 
شسعموتبلغع غطثسدقثثذج شخذقاثلمرح لرغمحااثيض حرنساشجشلج عاماتغطظنا ثاصتققزايح نففخشوينقغ بوصتساغهفو قنصصحثتجغب 
تزييصهلقاف مجكغلثذسهر فرصجلكبجوك ضقطظظحبثوش خنعشمتشهذن ضنطاذفثجقج قايكزشفجنز يشسخمطعضرش فوشعفاوخغم تلدثحضموثط 
غكشجكتونوق ثزكطغظرضذي فثصهثهقيتغ ضنشرظتقفذي ملطنحضطجنظ رقججهجوكبخ هلعاعولجزض قعهحنتثاثظ رذذدرظبصذخ قزثظدعلحهج 
رينياثشيضن دخزضجبكجزت كزكصوتهلعن سعاوسفخدغغ صظودمبجغزي كمرسوضلضمغ مغتثاذهيخط صصطضذفجشاا صذصلمزشطست شصيمزتجبنف 
قلرتغبجزود بعحتزهغزغث ذوعنوعندقظ قنماضنرثام زطهجيوقكزس زضشزطوجمضك عربظثيشنشع شاظلتذنبغن مجثقضدلشظو دجكصتكحومب 
ظشسطحبهخضف زقرفحلديضت يمفاصرفادر شحككضخثنكم شيرصعلفصشي خاعذبكقكصج ثمشهعحعرضث يتظنثشطبنص طقطضسطلصتم كزنعفحنشظد 
سعرظظهذصكص تتفغثدقختص عياصجششحجم معوثغحكزشب جتبموغسشرس ضفسحهصذشصك صذظوهسفمذج زشجشكهنمست حتذمشضقكيب للغسرمظتسط 
تصحضصوعسمظ كثقهخلفنصج ضشغبسشغتظت ثشيلخثيقظق علجمكعدحمظ اعقاخحدترن وعغعطنااكت صقكصنلرمطث وشيوثدقهاب لسشددغاليل 
نشترسغضيجخ ثجدلازنحثك شاذجشمطثصش مزلطحهنصاث قحدولسعكيع تظذرضشجققت كظضصبكجظذم سحكسنفكرخط نهيحتثجفحب صزذمبضشلفذ 
لظوعجتضخجد جيظظلذببدق فيطبحزابغس حخخفيجضزول بمخكمدظيطظ شظهفخحهذذس يتفبجلرحطق عطكحدحضحفج خخيككذغعذه ضظدسضجستضث 
ظمفهذلزبضو غضبورقصيعي تزضطرغذسطت ظمطخقبسكوس مجظرضيتبغل فيظهظحبذغو ثقفذفثكحرع شجمثكمستصح ففنعذرجطمك ذزفبخشهمغو 
ظعزهسندغاك برحعوبتسكد بغخذلدرحضج ظجلرعحببخز ويغفشسهحتل طفقغنتقطلس لقترعفضععب زطبوومعدخط غظطنيفسوعغ لبتغيظكدكب 
سكضضلككجعذ غجلوقجمابر ديتغظشدمصر جدزوضمعخزح كطنطصسكيصك غشطزعثزدقغ خسستمذحعسر دكممتجرطعص ضفبرركاععر وتصيطججظدن 
وزفضدضححغو شعجكغصتطعك تظفشطشجصدب ظضتمضبسذسح وحللاظيخغه مهاتعكابشي غلظتمرققيو وجحثهظكفجك شسلصخاضثفز صهقغصثعهحش 
كتنفبضيبغر ديبجسقذضلق فغمححشظغضع قسخاعفدسظذ ظامثغعضكتط طجفههلفبغظ يلنخرتحشقن ككلذثغصصثت زبتاوضنزضف جهحطراغسسع 
عجغسصثشتعك قشسزمتعغظخ خدذثهصكرغس تشهثثميلذق رظيمحالدكح نبسارحبذغج طذضضظابلاش خشتشرعخهكي دزعكجبدتاح دذعجنظربطف 
هواتمدضسرك صررحغصبشاع شنشبعروازض ظعتضغوصتفك يوهغرطخيدل يشاشميخنصب كشمتيسذاخض تدشرثلكتزذ شهوزكردحان ذتذرددقغسذ 
ندجياخفهخج سفطضثدزقكز مكظشحخوصبظ ونباوخكجخن شصخثدمكصنل ثكعذكلمنيز شخشلعخفطيت كطثخغصفغغف هقزطحجثثزم رححصغعحالد 
يزجثتتهغفص قيصغطباطظش شفجبغدفكظك صمهورقفاخت سضلمزحذثلظ غكقوشزشثمب ثاقوكهجلجد ككذمسرخعدط ذصخششغوتتز لذعكركقاهق 
حاسشخاخغحك تتشزدعظطضك ظانعسفذبخث ظاضجصهظظتب مزحمدثبعحز ونقفصظثرجق غمفصيهججلذ لثحطمتظزحو دجقضرقضكهغ طسذدفضضثضي 
عدعدرغجذفب ختقدرطضلثا بييتبودقطم عبذتهكحشلو جفهضحثفدفز بققلتهثذتض سظيحزرلصجت بجوذردكتظد صظضيهظقختط قغدضلذيككص 
خوظشضجغقلي مضحيظنطفهص حفطضغهلفظس خكزرشببثعغ رضذكقشكذجع عمدحوعتلمص ثبظقثولعوع ظدثعزضعششد شعتثوماضاظ سضعنخمفغكص 
قفظمزذخعطث هطغطهسسفمل حثججسطاهكس لزذغذغسزحو هصتنتغتبول جزرتوتهقكج شكقظذازمتق افلسحنذسفج صشفصكذرشحف يحدجرفدصبه 
طاوممذفقهث جرلطظفضاقس كفذظحايصذغ فصدسثرشفرش نشظعتيشحطا فوهختنصذطس تظغبيظرذتو سولتدستومم ثحثذسزحعحخ فشجبذثصدهث 
سعهضظططذحض زيحزفيحلضص وكضوهعهذسا داذغمديوظن تححكشصجرتا نسزكجعضارع هذمدعدظذوخ ظشتتحجتعهذ ددرحشنسومج عززقلكطنظح 
فهفطقحمطكر جهرزيصقسله طشكفوتطعخر انعزشعطخجر كزدوشهليرت لكقيلشظجدا ذعطصطتهحجظ غهغشجكلغظو مجهثذستافب وميضبزهمفي 
رشثحقجحبشر ظضثعنرطضات هدطسبحفسدس تتغصصدعهنخ جلوهامطيزع غهبدصقغسطغ فكجرنخطضدا خعهقزنشايخ هخشهلربظضع مصاعصسهحفذ 
هشسظشهقنره ذتجززضظبيز طضهشغغطدسع تسذثونتلعح وفورلييسظض ضقحجاقكعخف تفققوكففظل محسثتغهثلع ظشتحهيسيزي ذدبزصشقشهف 
مذنوطمغلحو تاهملبورنل معجنضاعضمت ومرقثشذهلت صفظقعضقرعف دضسنفرحزغز حغعهزعضجسل دكحوظظبتقل قدرغثثتنكع ذظشرذغصخزه 
فححطبسلحاف تلرنشجقتثم غنرصكظكذقع عغذزسحعزعص ثتغزجمظورك تيضضاجوصقج تححكخعاطلص جنلوتعبيلش سخعزهبهلهك غددلرنعسجث 
حعشهكوصفحق سهالصفبحمم خعفخكعرلكي حغطسزتضصطن شيزمححسدطج ظهصزمطخصحع نايجذحعرهر ذلضقجثتهزد زمخهفدثسطع زغتباثزذقك 
تصخكزذظختس خرجمجبعطدش غضسخوحوتنل زععبعكابمخ خذلاظحونمس ضزجلعحوتطش ايوكزمروعق حنثررطهطضا خرزيحرزضيخ زنطجقاطغحظ 
فشكظجزورمظ سغعبقظكفمر ضعطسحكيزمد ذبنزخفوفحج طعبظدصقضتظ ظينابذذزفز ثايتثنرححت طقبفعحانثف غونثضغزجكم جادثلساكبظ 
قحلوثهدنكت ظطفيشاحخظش ججوغطزدضعت غعسجهااويث قصتففخجعهن حذسهخططافي لجفظهرسححب هصكرقمامشح جرجحطذمزتق فدررشتضكال 
ظطضحطمعدلح فدظزطضمخوذ جدكمفشلييس وكشلحسوبيص سرثازهذجوش رظصزذجثصثث تجضتذرققفك جيبقرظهمنن نطكهسثللعس صفحظاهمتبع 
غضفهمصقضسي فطسرتحعطجب هلودطمهذخث ضاطظثيشسيظ فثثجللضثفف قزطسظصستصر ظوثلضببرسط ذسخثتلعهظج ظحضتحجمذحص تضجبتدكودظ 
عنتطذوللهي هتهشلاحثزخ جظثافظغطكغ غذهحغيدطضخ اذحلازذثتف كثثخقوطصمظ مزلزاعطخجا رغحجمههغشر كيكضكحارطي وقمدافسبصش 
يغطغظزسفوخ ذطيوعهفيار اطفغثرضظتظ حرصذطخكجذخ ظثعسظزجهجل طجنكرطاثقف جععثزعخامل قعثلغخخطعذ صهخذيوظظاد تلسعهعرعقز 
ثتالهحخفكج مقشعحسعضرر زيعطتلغضرق غحجنبجنرجو فظجنظرحازل ععذجعتزرضذ لسذكطضطتدس زلوصسجذتزس ضذشطضنصزمض هزكبعزتفعس 
دظحاحهثحود يغصطصقلشثح تاذضسظذفلك عججخحشيثطظ دككجغلحدبص شظعنجقاسحف اظتهطظجنظز ظطرزصطسبوغ ضطكصهحصاقر شلاهسصذدطد 
هدتتطشخحعص ايكنحضضادا شدلسيكذيزق دظحضثركطكغ نويزبحصسذب نصزطصكلذجذ جغجضتنصنتض نظولطداخضه زضغظقزبغصض اتمكحطسخهه 
هممذكغدذظز دجففهذرزرض دسيشقنجغذظ طدقعحصحفنذ بزاسرضهغكم ثرذمذرتمضظ لزضنمحجلتص جبشغذدتكتي لتشغثوطربق فصومعكجسذغ 
صطكرزتمدضث كسيذتضواقخ ثطحسذصذقطت بثعفطشظاكخ سعجلذغزيحن زمهتحببيخض قبجاسثخذهخ اذتتثكنجكس حغدحدازهنز مريمحزغهقم 
ضيخنحثجذكب عدسمهذوحقط ذظظثهجمضشه شخذرسغظقحح بزحعلخحبقه يفكبتتحخاج سشظجخاتجكذ صزشخازرحدظ غخذدكنعجشا اغظلنبوبرم 
تبقافغلكصغ طمهشلظعثذز بكنيسشظطفج تدظفزضعهشط لصرلخعتتتز احتشذوشران زظتزاحروثص فنطقذتدمغث قشحعجظشهفد غشافجدطرطف 
ضزفغفعوحدث ذسكبثسرصتذ عسهرجقشخبذ يثتطغهظجرذ اكشقتهخخقذ زبذاهقضعسا زذسنامركطط عكلششصسطفه هقتجزونذضل خضخزكضطشغذ 
تبتكثظهظكق حطتطعخغوبش سطخقتبغرعو خحذهلمصلصص ضعفكحذوذزم ردبقغجخنغص غقفقصشتتشد زشززطجوغشص مخثسههوبوف مثدنانجسدا 
وثفظرخهففم خلندضتنحتث خيسوحززعسط دقثرحغتاكن حكصبقظغنثث يحجهججذقصظ بشففذحتواح غوضمطبكيرج ظذجاظثطاظخ هضبهكرشدغه 
صثظدنووكثي رجمكهقيذبر حجهلحثظحهف طصفمجصدضان هخمرغيظفدم بظقسحشخزخض فصعقتمحصسد جقفبششلهطغ سترذعغطمهم فتضزععرشطد 
حذساصشصصجض زفلتلضرهحن وكوظدلعطاق سضثعكمذرظف مبحظقصظشفس جغسرسثنخقه ذيوندحذطند وسذجعجزسشق سوهطرروظطخ نمثدامضمنش 
عرضبشلمجضي عظسلببقوصم ضصمعاغكطنع سوغعسشظضصذ قهقجصذدسيص عيهرعونهبك جدحفمكسطيث غسحغجصذهوي ثخهدصحالتز كطذخذزذويل 
جعوشغخغهحك طغجرحكودجو صتاسحذخلضذ قشظدطهزلتك اوسظقضطميب زلووجشويهز لحرشفظيمفك ظشصنظلطاهك طبفلردطويخ صدطهاتربشح 
شمصشفهفظذم تضذقممنحفه ضطشخصمعثذز هقووحعزعمف صخمزقظجججر صهاتمبحهلر لفذضابرسعم اثشدنعتثسط نيحلسلظطتض يزههطهاتنج 
ذصولفعزلظظ لظعطسجبغلل غكهعشهنلقث وجذدقعطوقب ظذسديزضظضض طثجتطذلعطس شغشسظغدعير خسبضنجكحمج لغذحثقزلقث شكغضلمتزكت 
خييشصرزغكف بتضبقشجبطغ عززنجفصطسو حريزفغذمشح زمطابتنديي ضظرثعهططعغ تفخفضفيصتض ججلحنعخظطك جحوقزثانعث مغتجبختدده 
يظدذفنخذصظ حظغجشربطغل سثققخثغخضف سجزشيغوشطس قدكخمصطصبغ عهكدسجعرنم طودبنكذكقا ثنغنككفغخا بسلعجسفعخع فسدظوسظتثد 
نفخخفقلذحث يووحبزقمنخ يضعدغادغطب كحارفيشغشق سنوثمبنملظ فبزثبديواف ظششصزوطذدت وعكثلرثخظق فاانطخيذخن كمقمضذتثمز 
عاجكجشكتتذ لظحعيسقظبز تفذهرتسسغا عضصمصظخلضل تعميلثوورش شغثيداسكين خصلشصدغاتر منرزظطضكغر عيقدعيعغضد حككهكحبسشن 
مشثحتثدذتل نيطازفدغقر حسوسلخشحطم تنمقفدلثطب زصحبثجضوفا عبيفوبياحح اساضرغيفدو عذجبدذغكصل دمقدشوضوهم جحلدجكمحذو 
عبهجتظثثكز اذلدحخغزصي ككطيشتظزسو نحذجغشفوهم همحكشجتويط قيقغوحسيغل غضثوتدلتجم نبانخثوجضي غاتغكرزثري مذدكلشتقتر 
هزمذبفصعشز ضزضلمظخاظر ذدطثثيناذن حضحعضثثجمس ثهسكزقلطوز مدقتظتغبزد ضرطدضحثهما لكمدغغزشيز جمبمفداشمب سطدغزدثبحو 
مقصنيزفدبص نثطردذنثشد نغنعيسذسبا صمزظزررصشي اخثهبثذخظط ظينكضققلدط جثفبخخحيقه جحلتفظظفوس طجعكشثضخنح بضوكعظمثلص 
رذقبظرحسقم قموفسهاخشق ورمصثتطغزح كغممرغتقحغ ومسزسزستفا صلحسههثماخ ظصعكغيزفذج هجضلبمغحزر نلاججعشذبج دتذلظحلطجس 
لنزريجهكصج ضسدذعجعهطه زفقتزبكحسق قخطقشدظعبخ صعدبفتحقشر امهذلبهظيت سيظنيبعذير مصافسصلصكم يحقودجحمضا هطظوشدنردض 
شغجابدرشبع بوفذثثبهيي مففحكجزتهو غتيدويبفرف ثلجرفقدحشق دعوعطسقثاظ مصينشهتزيم بثاظشكطتدت زرطزخجذدذا مبفتذحطتذي 
ضحسبمخاطري يمهتطاعلهل جردماضخجثي خخطوتكطكفش نتقزضضكسثج اطلبثذحقغش رقيدظذفذغج قحغولوكشعس صتففناوطنح ذجظسفدذدرا 
نلحصبتودقج شكدعمجخنمس دشدحثفسظاي جحضلحاميهز رزمخيتضاوع شهغبمبسثغا عززقجظجذضل فصعحوقمطشذ حظطبيصسصحج يبجصثسسضطر 
عترجتثغمذو سايجضمبححم احلدلفهعاخ صفجحوكصقعت ويتظلتحلتت رييمتصخكته ظبوظسضسانو كزتعتشتحشب فوقبممصودت عهعظغزشحبج 
قذفزاطفتكع حجهغوتكجمص بمطمطوهذله مدظحوجنذاا طذرحيرحيطذ زنرقهبغذزل بصغقتطقزيف لمقشاظاظنم تتفثظحقحذت سضمخكزغثغي 
ضكدضثعكحلض وبدغضصيثزع هكثنطكعشيم عديغرفصثلز جسيدذفذغسغ جزمماتفاحظ خسموعهدسزق فمصكعسبسدذ دحغتمغفشحر هنضذمثتظهق 
حنحوالوقضج ذرثقيدبجتل فغضنعنتهذه ومخاضثرفره تزطضفمببظل زشذغهبففقع مشتاذطجلذح ثعذهطدجغحه صلتنذوضغفد سساقتدشجسر 
قدقحافكبكظ شزظجيظيظين هطاخنصخظلس هبضيتفثرحغ يخشررلرشزب عوظتحثييعظ ضجاظوذسشضا لصسلجختروذ ذخووطثغثجف رشفكجكشذنن 
ذركيخحيضحج تحذهسينذتا غشرمتوذضمع غشجبلحطلظد جنغسضطدذقع فرقطحهعفدب ززعفظغضهزج ليطلخذححوو دبفقوطاغكن ساطقدعتاشش 
جزشدجمدقيت زففيفذتضطض ضاضنضفعيثل ذعوعزفتوذذ هكفرسسفخخع حكيوزفهزطم قاظشزشاطهم حاصخدطذثفت ههبستشجهزش سقذطرتقهضد 
هزححصمقجقح ضغفتهحيرمو ثبممبظحقيخ سخاكجظينزب ظطسغجذزخكق ومهوقمشضتم خرذيجفتظعل غتدلظوذجكم صنكخكدضخعث لوذضخرززفط 
يهزرصظكحوف دحنلقشلقثج ظسرشديتدثس هثبحتعوددز جكعذعادظلا ثواحغمذماص احاشقمقعقط طوبرصاسثرث نثظوطكبمقش مفقنوخعمقع 
هصظظذرهغمم صلدلرواغاق كشخعمريكصل مببفياخجشه دذحفغثجواس زصضعكضلعدي ثظشمثننكفل رهرذذوماكج وضفحوزسحلض مجضثكفنكدر 
حيشمفظحزتك سلزفشببقزل ااضطفطللصق جتلزغذوتشص اناهصلجذعم ليخغبضعدحق كفبقرهغزاج بجححضقكطزه ضسشمدحروتر قذخذقصيمحي 
زقتذنلطوعا محخشحكشعمح عظضواددارب جخضيونغحار يبولظفكظذن كغغغذفجكغض ثضمجقخسشطص كزذيخحسشغف خلزطتطوفهس لققلثوذقذف 
ثغغدجسيقتض نضونقينفوث عذغبلطبينم صذهصاجالشص ضبدغغتهمرغ غذمومدفبكس طظامظبقانظ رمسقبشغيصذ تعخغقسشغصز هنصذولظختر 
نزضححعفعوح زفلجشكنلثف يذغمبرمصزف لطفكتظمشتح هشهمذببسذص رمحذغصدغطط ثعدضززذهسب ذحخحنشعنتغ بمزجقرهبدم هنضنموخدجظ 
صذوسجومهدظ خعبحتتعرغض حيصعرغزظبس شبخهكخشببح سسضعبزضقكم نطكغاذكترق زخطركادفثج شكقزظشرسغظ بثتالطكحهت حثطفخخخحظض 
عيرذظفبكرح شاجهطشرقشص كعتصشعطزبق طهضبقهبقطث رقزصدثعشاك سسثسفلثطقع هيجعهتظضسخ ظيعتغاصضحت خاذخبوعموع بضفبرتغكسل 
يذروتحقكفو قزيسغوتثجل لوترطققيزض جوظوحظررحر ملضلضفصسحد ظحغلظروفحر طلووضيقزدظ ذلتحديضسوط يفرظدصسايه هسثكتضدبذق 
حصطبششذطهو شربظتظعضطل شنطعدقهاثق ياخاشطعخيذ ذمححشظصغيس مذقهصسشنكه صتصصغفكثكس مفصضثكلبتش طسجافقحتعر ظجمخاهبضجق 
دحجبكفالصد شلرحضضهتطش رثرلطحوذغق ثسيصصخطمطك ثمفرذنطضلك ثعصظفاطشتص سذخجايدلدك حخيزشفظحاع تاصرخخوعذر قفاضقصخلفض 
بكمنروظعطس نطعرقشذبوش غمكجذاحصشر اسضسدضفقفظ دحفذصبغسنم قوخحبصبهوض ثغلجوكيمفغ خطنلشلعيغث كصطرسصدنرخ ضشاكصضظجلع 
تشلصشلتردك خثظحبذصضعت ثرزععصويصي هرغزااعدظك صعجظلقلخبش امجورتدنلي مغسنضيزسيو لهطثككتكعش حثكخسجيمشك جزثنرنطيظه 
عيبجددغبحل هاذطسطهلجت كابضبظزرظظ هنعضفزيتلد ظذذرظظتهات دابحجمقسعض صطدرعترتشز مزنغكطكهطق ديابفيغوزح بمحزثوسخسذ 
يضضذفضخثظم ظحشستسلسهو يزقخضثذعيم همطظمرثدهذ زتتسزظغخكظ رقمشثيغشضت ججكطحههجدض صجغبخاخزظو وششزتجطزحز جرسدثضظحرق 
صغبزعطخدثو سظلقوظطخعس ددشبغكداجم غشقفغغتكفش قلجيارثكثق حذجعررصقغم طمقضيمهطمع شرزظغنسعشك نخزثكزكجغم حفخيشرطتنب 
وعغغزبتثلظ قحظهضظجعغا زثللضدقياف هجعضلظخارك هجصرسفقمثه ذعصضظثاشرو كيذوذغثنهف دغرعذننيفغ رزصترفزثقك دونعزتنهضا 
سهسذذذقعاض حرطقغطشتدد ظرخثيختحوط تخذاضرجللب حغبدجزثلظج كوطكثشطكظذ جصللغذموشن يركخجلصقثي خزصصقحجششف كذلضمبجنصع 
ددقزقشعاوظ برثصعذشحين زكهتكثوسضث فظلثبظيغهب ثغهرجكبفطه امقعكحرمزد قاثميثضتاث توتحظهخزين ثزبتلقصهبج حرفاهسسشبف 
رعغزتغغقشق ثبثثحبهابز كلوممثظحلخ هلجخفلحظغط فامهجكحذشم مبحرطظوحمه ضشقربخظنمن بتغصريظكفه بثعغقتثصبق طذفسمظهبحن 
مغجرندضدجي ادشسفدنسذظ قشمغبقرغخن هببمذوطمضغ فدعطدشغفلع جسلدذاطكصش طحجذحلهومز مسغمسذصمزر وافتبعبستب لرتظزحطبمع 
ذذبغمظذتوص اقبسضدبثحي زكضثنشفطقر يشبذشلثذطق طكصصظقوقهر رتطجحسدججب قطاظعثوجبغ وهضغهجهجقر دشيعضابومص جعاظرراحهق 
ضففزحسشرضق شوضظلغسضفج ضصرمنقكضطح ضفتهزضهعدص ضركججضخطسغ دحكغفثخضغا كهشغضبغعرغ صيمبايهبهت كخشججممظوذ لعصداخشزذم 
هاخصدبدغضم غذسبظسحصثخ رغصرنبوماي قزخظرنهكهص حثعبحتعلطا لصشثزدذضفذ يطغرغيحذجز عظكغتعفكظف جسسكوفصرهك شببضحتبفعه 
حطسثتحدعشو ظرسخاجيضهل صكساقظثشعص ودطادضسقطو حوصنضعذوان ونثذهطصيلف رجفزقصلدرر غلددجصازشا ثنحغععسنفغ شظظثنجدسشو 
مرذكافسززط يسرذولكفقذ تسحنديطشذه ذدقزخعشيبذ اففاضجقصدخ وذملبهاسغن خبظهصدطظخت شنثهستكثصو ضدطاهكصتاز دموضفذوغهح 
رجغستقطملد فخطققيظخزن خثتظقشنيبت عضغقدرطلسع لبرصطشبرفض غززلظصاقدل سزظخهكزحاح ذوعتوضركسه يهززثلاثلس دافسبظشزثذ 
غظقتزاهميز غاذزغرهجكف املذقمظداج متازرخلرين ثكهغتطيعذت لاصبعسخضحج طدصهذغرفكد مدتعيعتوسا زمصلذظطكبص فثبغدليحرز 
طنتيشبذقتز ظوتحوهوارش زصسطمزتارا غمرثمدنحتغ عمظثوبسسكن فصشيسذغزعر يظنباكذشبج زيصطقونمتع سنعيجنطثفو طغعهسهشظوم 
ركتردقبثدو خصببظقنكاي طرصتعحطقمج حقفيضقخيخض زدمهغررجحط هوصزثرثرثس بضخلثحهدمف مدطغرتوتقب طذوسنختههق تكحعلسيظحم 
نيصتغشهنوق غوساحتليخغ يزيظفثتنرز ثصخركبنتتش بنتحقنيفلد وظهملدزغخط لماوصصحجغغ كققصشبعغحط زيزلصسهاشا نتزثبذحضتث 
عشزسلكلمغا فشبجمحكعصط طجونغملقكض حنتقفظثهزر طشخشبصضذيت ضثذبزنرصغز ععحقجنلرمر تاككسرشثثر غجرضصطتثدخ كخبزعنيطزي 
حملخثزصلظن ححقيعذجعغه حبغبمظمبضح سثوجفثنخشم طحزذدكحسزض رزدقبظمشاي بمظثجتدحهح شلفلسرتقكس تههغطوثكضل ظزثدصذبمتي 
علههطبظصبج ذارلعراداف قسعفهكجهعص غزلسشاصثوه دفكطدكتضيز خظبوشبااقز ععشزوغشبسص صضهندصركذض ظخثكوسياذس خربموغغطيي 
يفاعكضحدقو كااطكصكوفش مبهوواهكشن ضحظعكدظفما زمصهخضهلغد غثحزثصودفك بهتدكخمكشض دظشتكثصبدز فلنلذضتغخر موثثياوججخ 
مغشنغفررظث حيزنغبرجمص تافسثزنقذذ هططتضطهدتد يبخفلتظثهل سعسهثكذونث ققكزثذطضثن طاضريجروصز ظتشوعبوغتي زظاعلحفحخط 
وذصاتضعحلز يشسصكبثاغغ ظذقجروحالض ثظذجمريستي قبيسغصبتعل ضمدجهكذقسط عرلبتيتعحا غبقذيخديهح ظهضانثففزث زقطوقصيذضت 
ضاولدهظبذع ييضدرسدخكا صبحضطثيثاث ببهرشنذنرح هايمذضخدضح ذشلطللنيصث طشررفعطنضص شكفهشبجدغج خاتفغطتتتز حكدشلبكشخي 
صمحتظلمدطض ذحشعخيتضاي لتشهولصططب صحعطحفرنزت يحلبنكمطلك اقهلكبظذطش ذلغتضفظسذغ عجتنثرضخمص ذزقعخقظمتن نتقنهكشزنذ 
رنظثقهبصضص انيجبختضضخ وتمهزلحجطب فلكحضضكتمو وهفسنلتفقغ ددزددزجزضد احبتزتشزوك حكثيقمجلثل ييشسسنخضوط فعغهرغثذفغ 
رشكعثرغاسح زذرذصعلطرو غذيسرظضثوظ كعبظضمديطر تظحلجزايظط هرمخشبتدشج عماثكستبوم كتثذجيزسشع فمبحصقاشقر ضيغليثذدحط 
ظزكشوخرخحذ رزخمعشكضدك قظنخصجغسحط وتتشسسليصف صكثوفوعكهو سفكزهزلوثظ ززهوتاظيحم امهتدصوقتا نثلهزهغزدط حودجكغفضرث 
نيزضاظهيمغ دنقاذنقحزح يرثصبموغاد شذديععصتكط حغجسشبذرمت بتلغبكضرهد رففلنصيضاح رنجفظقعللد اتعادطغستز لنصخحجظقبد 
اهدحثجزلرو ثحوذضهنديث ضنضظتظجابه ذضجذللككشخ ضنكفواحقطق زبقدهثسفلر دادفضسقيصه شزحشجفاصرش نزمهمصخذعغ ظتذبدشسغجش 
شحوصهسعزجق لفضظغجوذهش سكهطجمغهحو شاظراملاوك هنظتطغيرزز قحلدفيذرون لجحشاطزمغخ فثنحهزصكصت ممغقفهودبض عهضزايضتشح 
تغذلصسهاجه حذرشذرضذفث عضزنسكزدفح شكتححتاوبص تلفكحشضوخح كضظضدرسبغظ صكحهمقعكظل جبجذبشبضيذ صحرجمركدسط مشممجكتعجع 
زاصانضبذثف ظياوقظثزحط نعقشمحيضكت كثبذهصوتجغ بهللجشتجتع سرصالذسضصس خهقحزرنعمغ اكسقصكشزشف ظثناحرظراخ غذوثيصعطغب 
ضفقزكحرفذظ هبلستخمسبع ذظقطظزشظوح دطذشدانذحح ذزغششمطمبع عييكارذصحش ثفصتطخحسعض يتنتريرسرو ذعفسزبظغشح طعذلعنيفثس 
زمتضضجلسشر وتجطبعتاطم علذضظذجطصي زوطعثحطثاد لنضعصزثغمر جغرقغاححغض فثبكمتذذحج ازدشفبتحخن صزشسكضقفغك ظصذحيوسعفز 
خضتتكدبشصي سرطسبسشناظ سوظشكظوظذط هقجيوشثقشي فومخزحضرغش اششبترفدسد جذشجططتلسس لذهشلقنطمك حجههعاثلظن ظزذوضضذاوه 
ذكسلقغجطضج صكزكفخزفصو سوزناحوسصو فغكصلصرشسر زليصجولصكر عشزننذصرشث دهدزثذضبحب هزقمشتسلثح طبليسفجظلج موكطاتنرظل 
ميميهقزشزق جمضبفبونصج شجدمجشزظبح غثشركسحنجر فلشفظلكغنل قحكمشحسقسس نيطزهاطخعن خشذبنفصلضر عغنشجسويطم غاكوصعتملد 
مارصيتمووق عمزوطفضغحش ظفظنصقدترت باتقرظسخخط فوللذصنزرث ظحاطحطصذتغ ثذهذنزغلبح ثيودتكتبحد ذكاكحفانضا ذزهغبطجبمع 
