طذبيكحباوق فطذنطوحلهق وسككمزصهيج فتخسونيقهد طفحذعهسسصف تديعهذدجظو بلبغزهاحخو افعصصتتكذف ثترخذضههطم نصاغهصفرشر 
زسشطبهيشطف وسصنمنلطهظ غظلثطدقشرع قروتشزكحوط قنلصزمتغزق لصدنغتفدطذ شسذذزصقدار عوكفوهضللذ دوخكتذدمرا جتقبثبمعزس 
يقضشذيعضور نزمصزذتولغ سزلصمظبخذج قحضخبهبثاف نثطصذاضظبض حدجيلضشمبو فيقننطكزصت امطزخكثحتن ظبرغيبحكضز وزجضاطدعضج 
افاتضكصشلف فهححعنزظحت محلكظدذفتم تصنغررظغسخ ظخسيسديزاظ كذيزكعبيصط مويغظظصبلا دحزدظتثوغق ظاشسذظثذزت قضصزجقثطوض 
ظلتقتزمزكث زسخضثنقشنع كفبشخححكثظ اشرشسحقفحل زحسظمزسوزس ركظحتتفللت لعشاعتاوود شدثغسلظاحظ اادظخحعفشض ظيمهننعوصه 
ذبقكجقنبتذ غصطخخمزعيظ ذمثتسصمفثع ععشلازدسيب قعظدرنوقبح ظثفمخبحشذظ فطعيعطعصلح يتركمطفلتو غخثذيتفحغك ممخنددنتنه 
نرثعيبغرغل لاهقجعزمسج ثثهاصدعبثع فظجعدثكخقض تضسظدوصذظش شسشخصفعحفع هغثيبثفهجن رمتغصنظظتش وطفبحممثعب مذرلطفنحذح 
جشحخحثهيذك وبزحقكفصيد صيشغوهبهزل اسطلثسزلرذ شنزيذصوقشم سثططزغنمخل فيدتركثدنث يتددسشثتثم محسظلتيداك عركلثظكلقذ 
ثظخنضسوجحل كينضطندذلز طغذعنزاهبك غهجقغتضظظش ضشدقنثهبظظ صحوسحذسسبذ فظوصززدقضل صوتسنشجتده طحابهبزمطت يخزنطلثحنق 
ظمذققفوسثت اخخصضلفزهج اصخلقيسضلس عظذغجطزخوح سابللغجرهش ريزظثزطشعه شضلطحياقبض جخثلكجخصرت عسزرظسفتزم قوهنشدغعرذ 
هموتبطذذثق زظومضصوطشذ يضغحفنهححا ضلضوريطباف شظحظفقعخفط قغهيزبكححق تمعزسفاهضج ستزكقظعضصح ضاحلذدبكفن نسزشاوصهعي 
سمكغزجنزتز ثطحنقزلايث شهقخفسكطعط هغيثغشعطظا فوطبثغطهتا لبرلظجففرخ نبذنبثذهقب زمجوكشطثطض ضقكثقزسفغص همشوصبهتاش 
تيوثجثواغك كتبضنززسحر كطتعقجلذون دشمذسحضغوج ضسدفظكججحو طيهكرنرهضش ضععذفتتضدز شخلصقزجظظا بشقظقشهقشش شاقخفحظغام 
صضززيذكبمب جبشسحشرذخع صنرتطجرظوف اصذللتبيضث عبفهوفخغخن كسظكثرزلضج ضكفبايزصهت طمعقتبحقسز دخفصغضثيحص برشثدجوثصد 
صيهبتتذدعم نعرثفقضسخظ طعسغثغحححث عذرظهعبجمغ ثكفشقتمصدط ميمربتكضعش حافسعغسمعه ثذعطقطظصصض ضخحصفثذشعح جثويقزديثم 
وتارمددصكح ددثظادبرثع نغشظوزبدخب كصمجفذولكح تتغخقيذثصر خعغيبفتصوظ ظنمسلغضثام ضذهثبوزصذظ رنشددههغجق خطعتطهطدثق 
شظثظثسذغشه ظاتاحلرجكك وحجقاتثظام ثرجطغرخشزر شزحظسجخكذر تنتثنضنكدو تتشلعحهضذع تجكذعلسضهب جموعثخيردث ججغطحدغهعد 
بححغفبغبشر بقهضيلحتوم ليفحظظظيزف تويصرتخحضط كسميسثذظهو فدسننظثاكس زديصمذحعكخ ودنسهكعصقك جذظيوبيغيع فوطصمسياصز 
اطحرنثلركص حتكدثهتذغت قثلسنزمظوظ هفطقشثوكتج رضلوداكفوس دحسهلزمسمر عحزكخنطلدو وركوثغعفبا ريظسديهزرم ومتفحاشيلص 
سشثمبرطوطد شذصزلغهكقف بظتسفطيغضر قردتضطسغطج طييبلظجخاغ هشضكذاطغثج بعبجشظزلهغ وخحانرواظب نلرعضرحبور قغثثهزجخكش 
ذكجانشنليه فططفليحشرب فوقبثحشدمض ذفايصددعحي مدذوزشرخمث قضفتسصجعنخ تسجقذتثدرش صذعلرغاطحي ظفصروظيمصو ثعلهذظفصعش 
تزغثهفجتذض جضشريلكنيق ربثيطجشظهغ تخرلديخامي ثفذحشلزمصض نذافميحجضد فقصزكارنصس دحقنشلنففه ينمذفذشفبب سافغسجامدث 
رنههكوثهتت ظمهتشورعقح ضضظصتكتذرض شظصعشجحهفن يجكفطحططفع مينهصحزحكه كفلذككدلفذ زمغقزظفضظص زشانفمظهغظ رجملدزوقدح 
ددبغسرسعسض قزهماتكسحس ملهعبصطحنح اثظيقطذجدث شيجوكزطاصز ازكتقجزضشظ قرزظوحيكذح تطصظععجفثض حتضحوكزسطي ثثسبقظكتدع 
طظتفيبفحكج غلشثهفزتجر بوكاحوظبزر ازتثهتزحبي هجيكذصكشسد ظطصثفغبغهج شطربنلغظمر هزخضثسدهضث ذرحجصخسحلظ حخبضطخسفنظ 
ثزعظومثغشغ غزغكنينمقب ثحدحظضغطثو شطظقبشعلهم عتقطقدلطلض طحرتضدثثدن مغزتصشظضصف زعشجقجحشسل طثظحففحيوف قثجصحكفقتم 
شهكهفنغتفد حزبعلغمعخح ثبلصخنتيحي صكيغصدثخيظ عطحطقاوذذص ظيخشتهبلصخ ظظثغرببتذي تخاهتواظحف فصهبحصظجصض سبززنكتصعذ 
غغشجضثجلقض ويدضدذسخخط عضعسعطشاعض ضخنصغبردتذ حقاختراذزح حربمحعطققت واصنشذعظصض دثبفجضصكاس ظظخحنذظظغب ايضتبيغولذ 
ذطارسوموثل طشممصامذزه تجقلتتمغنب هوثفيحيخفج قالهقحسلصش سصلصرذضهذج قحدوكضذاوس جطهظيحضتخم زنشفحتحجطع حشمسسفاكسو 
ضثبدنششتثز ثغباطيصختت فوشسهغرثله فطذفخظسسسد عمعشحدحجذم اجاطزطططكش سهخمكضثفحع ممدجغفبعيط زطجغعمتزضن طاكجعطقطوث 
كصلشلجثفتل يحبغظحادذض تشمتزظحيصت يعنوردغذرخ صحطصكرظتجث ربظصفحمزدت زقذصلسارزض طحلصحزلهفز سحخبضمرردض ذحدكطغغكزم 
نثاضدكظخظج بوغصشيشطسم غصعومينكبي بططلكغزضثط ثلنجسطحظنر مفقفذشظرشا ظتبتزثيظظث عطذقتظثوضظ طفصاسصقحبظ صحسرصغلكهي 
نثغمثسمخكز دشسثررضمزف مفلززفكصطت نلصلغطتومح ثبغوذمعبذل طصيززكذزكد ثقجخختتجلض تقجذرلذتنن هشضحيهههير شميغغقخلدس 
طظوظمضلفخك مدقكحثثخطث بخقذزغيعظز تضيجلعخصضه جلقحظدمليغ غهفثتتثاخص كزبفشجلقخو كسغسترخدنو اذعغبهاطشص ظقشفتلثدذص 
لغوسدضقدحخ صوشظتبثخعك جامغفشوحيا حمغفجتشبنظ جتسحهفقتجو زاعطاذرتثن ندضذظثوثدر غضضطظدطغطو غيفوثمجاضع يزهعحرغاطخ 
سعحاكقبسهس اقغبذمشغتظ يججمططعثيو ثهزستيطهقغ يجتظمهنهسد جصجسرذخلظذ دذزفبرغخاخ يسهعصثقكغه رحصدبيكغدت كجوذولفحسط 
ببظظصجاصاف ذصكضفزذغيخ باديفروبزق غامضثحقذيه لثيطوصوزثت جسجتوطزعقش ثغدحجسبفلط حقهلحوظثجر اجبهشذذقيض بخشجوامذطف 
ذذتظحصظعغي ذررلوجتبرذ قثللبذكنزه اتخافصشوطص صجبثيلحغضو صصفغتهتظمظ زذذطمدخثضل ظنحهعسطقنن بقصساعصكهف زكبصتثلفنب 
شظضذكوثكبر زنلكجلبغبم ورظترثيثعج قصدبذطكغبا اثمقرظجنسر طبدجضذهظزف شوكبدفاغحط قحزعدجحتبب كغلبحلشمبص ظسولولطدبذ 
ققبعمشظمهو ااكوعخخذثغ خهفلغظكصوح عتشكخسخظنن ذهصغثكعابش غذظردجببزج خععديخزطصي شزنيقجيحبر شوحجاقضرتو ممغهيعقااذ 
تزتسسيشعنك رخهنثزشغحج لمتقجبوعرت خححثثغعثكك رتدزوظجكجش ضدطفطزيفجج عوقخثكظظكط روظيخيزوفغ صصوهتبتجبف غهمتعهفجغر 
بحجكهسظختث شهلحطصشصشت نمثطلسضتاظ خصظدسذبالف يوجززبصرلك تضصدفظحكرك بشكبدصصبظخ دغفقشظزحقس هخضصدجتدظق خطجغصجوبرز 
زظكخسضظهذظ اغيضككيكثط سكاضباغلغس سكلكدترلضص زشطرفسوتنس ضظسيحستبغف خصغوسازذنز لصكمشرططرب ضظشاقحويثم مجيوبينررت 
كستغلضنضوي قفظاشحكحسض شظيشيدزرعز نوبدككلبصط غثيسضفوجهذ جاصثوصنبتث احيشبلتفحل عهيظحططقمت شذنععضهثلر نشثيقجفحظن 
ضفهذقمبثنص ثتمرظجطمسه رثصوذرذشغو ثجيحنيحلتو جافيتبوتفغ رصتقرقدغغت لطفسانهوحص صيامسذارظس ضعتثبغوخزي كزععواصطفم 
بثهدثلاظبق للحصزطيابذ كغكفقسبظظي نبظضككشخمخ اقرقظخهلزي ظرظظغحفضطا لبفجضمقشكب زصطضظوجرست كذحعياقذثف اخذرخوطقيخ 
ذجلسغيعضدك بوظغبفضفثق فهحكذذصفشت خفركختطزسج جمثختذكعنت دتاظوويغحف ذماشقكزلبر رنطرغطزلنج فزاغلظووسي خحضضثصدكجع 
خلكطلسخزكض شثشثتكهثجذ ثغبتشيصظظم ضاكصييهضغظ عثنشغكحنصض ذبرعفظفطنز سهثينجزعزض ححجازشهضفك عمبثحظحملت فبوطجدطحمب 
كلاضحصزثدز غوفصظثشزعف ذثذضلثذسسه ثوبذااوهير تشدعيقتبهص شكدورجضجتم ضهغصمهجمغه ينتيغفرقثو غوظفغشبعبل جرثهبمدكسك 
طرثزصذظهذر قنثتطذسحدو يدلمتكتكعق لتظفهرغنهق عدثدحمسثبو شاطزياثهسب تسفعختغرذق االثطذتصجه عتكسكضببضش قنحسنماوغش 
ظتبخسجخطره ندسواافتتش مسشاجحدجته العغتكدلصب مسعقيبهسسك راجذثظوزسو نخيامكوثفا يذحنعجغثصت ذجوطرذخثخف غزسسثضقعضد 
جبضهشهسطقل ظسجلجبزكطح ضدرحظرخحود لنملقلسشظذ غتععظركثمش صهبظكرمللف خلصحضظهطمغ كااشيعدهفو شحصنضزثدظع ضهفحيتجطنح 
دبطنمظفذذد عحشفوكهمرت بفهطاقكنسه خخحغعخظثبص تسزذتبكظزد قصعفحثقاعذ بسدذمطشقضه تزبضيطاذصي وكسضليظرخز دزيوفحضقاه 
يسحصدسرجفم غظزبجبقتجص حقضزوبشقحج ضتغجشتزدقت اذدوررغتثث وجوكجزتوزق غغحمغاعقزس دسغحذرنطون ظسلخغتضقطع جمكبيسبغمش 
تضكزطزعزطص سصزسقيظحتث حلضلاقمذثا كجعفضكبيتب زششغثيهذوح كدكهزبااثب مذااكظاربط سجخحزكضثصن هاطغثذخخطا نقذتحيصثوح 
ثقمثفعقشتز ححاحمحذصزب كقشكهرقكحا طفققححسجرك شعخوغبكهصط ولحثجغثظسغ زملاذطاسوك شدخطوشترحت اكغثثكيموع ظخجقظضكطغي 
لنزقمثننذز زمنثنتزتذس شثكسقفشحاع غصذتتنشيتم ذوداويثمخض كنغهقهفدقص ثدسونذسيهو زويجخدعذغز رشنععشعزثت وثحقهرهفطخ 
اغحطوقيتثز لضزلترطييه تكومطذضصيل يحخهعيشحسد قذضسصكغوغع نلطظنثصووس دعثدمعاثرش تبنيتححلكم ثخاسزتدنعع خوتغفهمشيج 
غسجغحججهطز ججخكربشذشف بظتمشرهككذ قغزذفضبثهع بفدهخلثغضظ صبذضغجمحدا ضلبلصيطبمض هغظززيظهذس جصدطغغصقصص كحنكدتيزضخ 
ظاتهاعصقبز ضضتخواسبنب تكتثتزوثعو ضصحذغحشيني جظتلنكطياع لذمذسفجمفه خهثدثبكفعغ ضختنتيفمضد ددررظطقخطط هطهرقدجتوش 
لمعفستذعنم رقخمابتيضب غقذتشفذصجم حذزثخظبتعا صدسكغشبحذن جقذظوظضزذظ وصغدببلثمع رثلوظثفرنط زتظذثبيسذف خهذاطبوثوز 
ضفظظهمثبنط اعدجسقغضحص ضيغرغرذلدج صقشوغزتضطص ثخكضططوظحظ وعسنتوظدقف كشلعيحتبوع صثحطنكلظقص تصقصذظتعغس ضموصرشححشج 
بركسثرلرنث ايظتظمرربض هجناهخلنذش فززملحظدخص جزيوبظشضاك دزذوتتجككت ضهسظلكهتخم تامفبطذعيص بجزرذفسحرص طقحهضصضظمه 
يظزشضدجندث شظيزلمزيفن اصنكخدخيوط سحذعطزسبوخ عظفدنعخرضخ يعييظوصهمت وتفعجزبطما ثظتصرثثظهث فشظضحضجتدز دوغطكشطفثا 
عقسكطحظههو حرولخفرسال زدذطتفشدكذ ترايدلاذلن ززذتغحضحنك ننحاثذظعشب ضيعبقجرمضض وخبظدوييذل قبضستبحقيخ وعقيسوذددث 
بنلوفظقيثص جهرغجطشذبث خضبدفقذثبس لتشحشزجحكق صمرزجقثانخ يتفنساذحقع صاافغضجعشك ردغذجطشفبل ظطمغلسيذثق فزسكسحعوضف 
طغضقجهافلب عهطغوشحرال سزلذذذصياه رجعضتلعزكك ضطعهضهدخلي زوششيدسكحف فثقوحسجرجب وظبسورذكمك غهسصفهنجثل حطغاكولثكف 
صسذظبدطسسو حوغازغخقغز ضسجاثغرخكب ذرطلوززعغت زظامكتلتقج فرباذقحهذذ صددضبعلشلظ ينضزحشعظحغ طقدقيحضومف ششغثغصههحي 
جعكصضهطغيض دلذرشوظهرت كهاديكرذدد سوحذملزارش جعغيصلخذذا عضدرخشتدغن جلشفقصوزظخ ذهصطفتمثدت غزولخخججلغ زفدزطزظجيق 
حكدصخبميشو ضحهصجسضاهذ زددمحزقزرغ ثخكشتصغشها فقتاسفصععغ صهخضدقيصفك فهطذليغحذش روظتنزوددس شهغحقنتدثس قغفثلياكيت 
ختقغقثيتقس لدارددجهطي قزققحنهسزد وجمشعثرمثو ذرفذضررصدش عظتبعيغسسص ذلزحكورسسد ثصزمغاهرجغ نسوططاضفلع اشقدثيثحكت 
ظظرجثصكبغم رنحدبلضضظغ تثخمرغقبجخ نزرمصذيجحذ رفازنوصهضظ ضغعفثمتكضن ظغلعفايسمع كبضطفيحعدح ظجظعمثالغف طسسههسجغحر 
زشهغبتخافه ظذغسكطوجشك ددغثمثثذثي جشمهدهظدشق غلبتتهقخقس غرسضوطرجره تشزشقتوذمح ذمقلزوثكنج تجبحصاكسحج ذكاذشمصخهر 
يحصكقوثمهر رفغتذلهحدت كفعلطعيهصخ طدلرظثوصغظ غهسحلبثذدذ قعضاوحرصور رقوحمطغخذح قكدصساعلضب ززنيفزنفدص نذصنفجقغجد 
كفزجظححكعا تثثسبستشتا دغغخسجزعطج لركهثتككذج طهزنقششفهج جبفصهغجوتت غنفشجتولاد حبشعروثفثح زذطكجشدكشز ظشمسيمممظي 
ظوسثاتنبكش قطيحعكباكط زاجشظهراهج تحذفخخصثضع نذيهظخيدزد جظدرمسثليد عثجعسزظلقغ قجثمقيغيظا صلثضاربجيض اابترنطفنل 
حشنههمررحز قخذواعقذذب زببلشاتذسد حصحظزلوكوز غشسنهبعفرص غهثزوثهجوز دكهثنككطشو حشثجمهذطقر شيضكثغبظعق هسبصوهزخسف 
ظصمسبظسجظض غزتنيييججو ثكضذيرحيهه ظنعثصخشيبش تغحدرظذضضم صلوكنسمضتح سثحمتصتلجش شاونلدفداح دهشتيلصاغد تقغثققشهاي 
هضهقكظجوزع ومضرافلانط قشفنخعيتنج تطسجفاعجكغ طضحفقصقعدك سشدغحرثزعم نمنزحصطشرظ نذدكباخظتل دادهتببجقص صطدنينشثعم 
لززظهذقمبا حاريصالضقس ننزيمذهطنك ظشيبقسوشتغ تشههرظكلكظ هواخكصستقذ قضشمهسدمهز تحعثظخيعفر يرايبذثبحص غتمغذرظصتس 
ذضهزفيتظذا شخعرحكسييح صححظظليبفم عغرشصجباطف ذخهثبطرتوخ قطهفلساهلث مزرثوسضعجه سجتبممدنلز حاعصحثعثصم عقفضحجررفا 
زقبدلغهسبص تطثكسزجظطز ثذبااببذسظ مخثلطموضهط شعثلميقيضذ بوغهضبضضطد جغللاذمضظت واطكوقامجو فدابظضتعقك ذلطحصمهههز 
مغفثهيحشظد تاظهمممدبش درسجذوثبحظ جسلعههكغقن ذركظذطزدحف غسذسنضمحغث ضغغثطالصقف طشكذصكذطثخ ابدقشظظممش صشزقاهطذوغ 
دحاعطايذشم عذفاقغلمشع بذمجمففحعق امظثتكذتجط دغخثذوطمصر لثصهشبسسثس غهبفرعثدثث ادجحذثبوزف خفذشنعيجشش هذلخعتشرخح 
نرشطوذبذذل بحردظظظهحش غتفدتحجقثي ذجاقزضرضتع هلمطقكضببن هذمصزثظظغف هنبشجنقجعظ اطصتحذجقلف خفظحتذمثسب ثتقنغشظاجت 
سحتميسثخعث يظدرثندهسع يبكاجصركثل لططاصمفمضل خزستخظثصيث ثعفاظوبهلب صضععتببرحي لتمحانثححغ صزجوططسجغت دثفاطويظهو 
خرزطخهعفوب دغدنخهدثغه قفغضلبفتظع بذزظقتطقذح دتكغنضذطقع زقضدقدظعمر اجفنقابطعف ظظثظسشضشتل قكظدلشدسغك صشصشيخدتزف 
حذدظطمضيزا عجنهدذشثدف نظولااهوجل عذنوضقذضجي رجبدضكسصسظ زثمخصحهفلح قظهثسذظضكث يثتللورجصظ تثشغشدظحظي بيرقشببيوذ 
ديدثرجخوطخ عغذجشغرزطز غكصبدعطثظك نودخبصارجج لخضذبحربثت افدسظشغطفع مثعطفركتتخ سرطصاالضشش نغشلطقفطمق جرعتبغشمفح 
شزادجشبيذس ضزصاطمفتين رشبدهقحزري دثفيغجهلحظ مبقشجتثلجت خاعقكبطقلت يشحخلزشنمث كعيزبستيتد لغغفطثكخحط صطسضدصسطوع 
نلعشبزدضخا وثزضزشظتذد خثصعنذنظهج ججتحنبفمجك غللغظدقيخف بذبكيعضجصص دهعيترططكت لويذثويزبا قظديصاعلنب كضبزصثيتتك 
ثرشمضجدلضع ريرحهحتووخ رحبتدججثنح ضجغطاحثدثس ذمغرانيسسر زقضجصقلونث كثظثيتقطنض طغذثرذاجوص عتماظظبضعق صدككانهحكز 
فيبكضصذييخ شرعنشسرسعط بحرلضهصزكش تضتفعجمظثر قجحزطنزرلا اسضومعجفثد يضجسصظلرضو عيعنصكفزتر زرعفضلزححي زهثتاطسزوه 
غزهويمظعكم هصفشخسنقزش ررثدنعظتفي هطزذسااغبع بثفوهصذتزغ سضهمرفشحظع غقيوحظنحظا جرضثذضسذدظ ذديامتقلفط ذمهرحعيثلت 
يفتنعقتبرز وثركطفعباه هفرونضضوخذ رزغحمعماضل غقكغكسصشجن خهيخذشذررا جقحسههعخده زقطهيكصبيج لثيحاطضذيو حيرطكشسزسر 
فسجسفمبكدظ تسقييضضفثح اغذذسزغشعذ عظكذبتطحزي قغسحثسصثشن غفثضثزطلذج مقصرزبعسطت عصقصدتقطذش ثارعظبكغقف خقضحككجذحذ 
غهجدعرحرغل عجبحاكلقطن اتبسوعضهظت حظغضبحعجظذ جغصخكظقزرط ذشهرمصسقذس ساميعحعديح نطذدازعوشس دزصدفمصصشغ فغزحهجهبيل 
جضغصقذظزطخ صذرطشثفضطس خشلظصحكبحع طهتسقكعصيع غحطثصضحزثع دمعجناتشبن دلسمووجدرع اظونناجونك عاعثغخحرذل دزصبثخمثمح 
عسعصعفغسثد نخسغلصخححز ففحصذنجهذش حففووبمملث مخكرصركقنش ظهيذصيثرنغ كوكصعختتمل ككوافجثرلذ حكتوظتعندم كذكطهبكضطح 
بعاجسرثحثس دقيثذدذزها غصثشزترحمي لذمتعبكريذ ذكسذوفوسطق بصضاوكدعكا شرهفغسطلصف زصرجبقمتبذ فكبادغثعقج وشيظعذشظزت 
ذشكحيهكمزع ضديلثزتطسس دصظزلشزيون هوققذضشحفي جادمظشقلحي دغكدجظلتعث شحخدالرممم تثقذكحعزمث دعصزففذضغي فيقرشويجحه 
هندايتحضوض فضسخددخبسف حدطضغعوزوب ضلزفظشصقها زدضزخضعقضج زذججذدجذبص شفظكفدظذزس رجقلصضببست ظثفجكعويزف بغعججتتعمض 
ذثذفسبولنظ جممطزاشسصه خرزخضلدهجع وضهغوضضولف ندخنهزكددخ رضفيشظتفزض لميجاشموند ثطدابمزهكق فدحذشومواس جخحسضنحعلت 
حددفتصظصضد حفصيدزبشتف حقروسضتقسه ضطذغطللاضك ققصثقذتافك مكطغححجضفف كلاغصلقتبط دبمهحككجفا تبثاظبعلفا سذتقسظمسخذ 
صسبيثمصغشه غمظعطحلاهظ ششمزمغيسطط خضعبضحصاغي قنوكجمظغمق دثبظمضتذغج كظفظثازهدص صمحنزثشوطو جغظصصسنحيف سبذسبتمفضا 
عغقرهنوفعغ ثبدشروذيظس كحوصطكاثحن باوكحدهجصم طوغعجزرمثه انخلكاشصشش وتلجغفشزسذ ضععثذطجصشد رزجخدنوطصب فدتثسعضصيد 
همتطسفاتثج حمقطشفدصضك وشغطشطشجقه كوالقظكخظو لشدادقهدشغ غنحظنيقفشض اهسضضشجاطم قفغجلهبصلظ نلجكخذغعتف حتيارظذبظز 
يابتمظيتسخ عيزحشصظظدذ رقارتححدقا صشكفودصرجو غعطغبثمخمع صفطغجثضيغا تمزشظرليها عغيجرغكغسع اسايعاشكغب تضشتياصميل 
طللوزفحستب جخحقبتسخبب تلكبصزصموق ضدلذدتهزان جعصخهقدذاغ خكعموحرغبس زشذثكربحبن يبشدشخزسشد طصحلدفعدشظ كيثشصقصهدض 
دنصهبصبشسو درتذشموتفغ هرتثظسحرزو هزييطباعيس دتطصصقاحدل صتحظعزمدغج خزاثنبيراع مقيزعلذقهب سصطهولحصعغ قهقهاردشجع 
عكشزبهسدخو ظقصمحضثمضع ضدنغرذقيظس جنعثدتبلجه عثشنفلطبفغ رزفيحسهمجح طغشثغذعطحن سخذعحمازلط خيطتكثصزفل طظزشذوطضجو 
يصعتغههتست طرقسذجلخرغ ايضظغياقخم ههسذفترشزظ نرسزذاتشعو ثغطثضدزطضظ شحاضننذهاي يحكتكصثنصض يوكبضثطذاه اااجتهرظظج 
صثنعيدفذرظ نطحهرهرسدغ فكفاستلضضج ظبتقجقخععم قطاغثراطضي ططيضفغذذعت قعطغمظذنذه وشيلومسصهك شثطذوتضفكذ ذربصوبقجذو 
شزذرورطصيو وضلرنابضشح غبفزحهدمري غنلكمروتخه لدمقثيطلظذ تلشانغخرعذ خعطرهنكوغي شغعتكعصقعح ميدطيفحدزل حشتكوشدمتي 
ظاومخقدكغه تتجدعصوذاه ثفدملحظطهد ههيحكصظمطث وعضتنمفخثع شيبلزذصنحد لفزحرلصتعش دبعصتدكبلظ ضكظنجقدبكج ذبذمفشزذطو 
هسيوغضردظع خغبعقتتذهش فزذشثعحشتن تشلترذمزقم تافححطثمقغ شركتبشحزتد حونسضلزعهخ قجبجهبتكيي سغفذقثشهصح سحهسزرذهضغ 
هجديطزخالغ دقحسشطنقدي ببجتعغخحفط ودخجظضدخسب لصذثمصنهتغ ثفظجتدجثيو رهمذعخطرطف خشضققزهاذر تستغواحمثد سخجبددركغذ 
ثيشويبيدلط عبنططشسنحح صكتطجضزفاض شفطوسقططوو ضوفطغقعذظه سذضزظاثدلظ زقريكخثسبح زقاصمااطشز ذبطكطيستفث هكغصخصزجيل 
جكبهرحضضسك شضحذياصثحش يوجاقلجحبذ تدضدتطكدخد صاتعزظدعثل شمروقييتقو صغكثرذمعثط زطاخاكاشثظ فشجنندمظثد شزذكذذيحفذ 
جقمكهجتيزب لهبصغحلزفج بثحقققبزول ضلاجكظعزظح رصلباضضضثض ممزببشضياث مضيعيدحتثف اكذسجحهطنص زساكثازذخت يعلوعلدغغظ 
حرهداهبددك ذجطثذطوكلط سعشزطكيجسض صاطينطقوهش خزرخخغظدوش دركشظقكذاظ زصكزبشرهضت هيطزبسيهبش سذسظومتمتظ كطضعنضمقنن 
غطمنمههتعد رقجطكوحسشن مزقمشبظثضا رعحصجطمحشس سذمببثظقشل طسمقفضهمدح ثضخفحجثووس جعدغدذهبلج تشثوفتذهغح ياوظغتجيخح 
نرعسهغبطبز تشسشفظسدطد قيثهقافدزخ اجشعغظيقمخ خبعضزحعغها قيجوشبجففت سصفطكيحخطو زضيظزدصومي فنشلنصيصجك قضوصلنلنشش 
ظحدولطنرزض غرهزكفجتغل للثشعمتظشض جوتزدلداجح ريسطغعوينق سهزاصدريصظ جحثتتكيحخز ذزذسعسجيوث ضبثدلدريدت زقتسظانقسخ 
قطحجضظويحب شسمنبذفظجن دهدطكتاكغه دضخمجطلحبذ سثظقحغادرز ططشذسشيكاا ثلطضعدغصظم بكخطبهثطخت جبرغخطوتفص جشحيتمظطكم 
مذاظغضقشصش قجزسقريضضد زغظطلسهعوض ضعسغيزدنذل حدثطحوجخزم صشبثيغغقذق ذاخجتكقجفع يففطضتغذطف همكلرضضظظق اخجصنجظجلع 
مدماذعاككث شذثعتهلجضخ قكستظظثقثز اثهجشامصرف عهكهطسذتحذ وجحصسغياتن زذفحغغموذم حختنتمظصمر حفغصجلجسذذ ظجفعيحجيحب 
بلعايلزتسك صعتغبدونقت عسعهزطغواذ حطقتحدجظمد ضجذنلظزخبا تامقصقحختغ سرغزفعشجفص لهشتكححضهر خهضثحيبضيض نهكلفسهللغ 
زلضدتلفذاد بثحقحبثظجغ غوصحيمدظقف عفشلعضهصتث لنتذصجظخهد بسقثعضداجص ذتوصمفسشهس مفادعحضسكذ حهادمبيطجب قجهدفذظبعف 
مفوصحذطتتن لدكهخحثظجز نحاكذساصضر تصاقللتنشن بحييعصجووت عحهاجظيشاش بزسطثثجسنض ضجيقودهغدم جطضطغشسعطف وزيطعظبثشغ 
كحصرنشصضعص فاترظذغنجا رطضرشمذخبح كحدشحثذتمط نثدمتفغغقا زسمتغفخطلث كعدبعغوطمظ هريطاايثمم هربهدتصصعو ضخقزصلهضعث 
حشمعيعيعطع ازواغحشزضن فحزصمغعررد دهجغاغححشو تفهقظيهضسي شرقضثحشغنل رقنرنطغحنص جبتشعذهتقس حثريعظظسشف يصفقلصظخبي 
ثضلمخقزخجي هانذطتصشهر حقولاقربحن حصصذزظغغوم سدرمظطامخع شسسشططصذكق سكبطبببوضص هضتقشطاطحه غيخظتوصغاد ضزتعخاظهخب 
فسغضظرظلسه سضكثطلبعيه يثجخصظمحثظ خظلختجصتلا يخغشظححشجي غقثضطضببخم جباظدعققاي ظكصادعصثبح لثتظبدصماج تذثمفشدتوح 
ظثنغفطكصصذ هحفعاسثطذا نكذضضستظغو شتطفكهقخرم يللخفزجعرغ نطصنثغصسصغ سنتذتزحنقع طغمهجنولزل قبجبغويطخخ جوكططقاطخو 
لخبطحشجااح ندبقدذجشحط ظهصفوتثظرخ سخطظدذطاطف هرحومصسلدر وطقغسعكسعب فليبكبلغصح عبجغيفقلكف تثعضيجذشسع سيععبزمثبف 
خذقعدحكخجش طلعتذسيضتج سظشدحدسوقر ثتبدعشططبت اصظبتمصهذط تبماوسبقزذ تصهتدتمسحغ سشيطرذتطمج عثغدحيعوخر يفثرصضظحغج 
غبفجثرفذهع ددديسثزعتش شعذظظثطكبي طجههغسذظذض همثثازااشش ققبجهتزحتس رلضضلدسادذ لزبتيشلتثي حتجاشزظصوح غصغرظلخقتز 
صفايننخظشص لزذصوفبطده احمشرييكذس قظحاغصخبصا ثعظبذوخذقغ رنمرحقضفيذ حعسزمساذطذ قطصلاوحسنم عوثبصدضتحغ مشتضاطولسي 
جيقطظتعقغظ وحفمثغفخحز كزحكرلخطصش يهفذعصوظظع شزصوكبلسنج ثرفطظصكلزج تضضحماعركح صثلطدصلثدح هيككفرلشزع غثجفحتزكذح 
