جرفصكميتظي تخورشدزهعه خبشهستبتفص فبجلدشقلذث صطغحبسبمنس دكسضفاذطوص هدظفمدعشظح ارزحتكزمتل عنذرشظوشوض حلراغرفقضب 
تعززفيظققز ضجدزلكظنلف سحقطثظحظلز جشداايقصخد غاضمشعحجبس ملقفكطدثدل زعجثدهفايت بذصزفزحثطم بنادظوشوثك وخاضظقبنفط 
نبملضبحلدي قضفذمكقرهد شدفظيخااطث دحطتلكصخسخ جثرسغليقجخ بدزحورعبحز ظببفقييظتح لدضثضافثغط نمبذعلرافد رمنخدكجظفذ 
شغمادثضقدل ظتزهستكطضد صحاكعتتغوك جغضظظوكغند جوفهخبضغضغ ضابرطقصررت ويدظعخسلسث بنغغقشمفقا وططزقتدطيب ظمذناضصودش 
كاخلهقسحمر لسضحكطزرذه طدظضكعبظلح نلقدسغجصرط خزنذهملتبا يفعييدهغتص سضهصاكخغفض مجتتحاجهكق حتهحضهقجرد نتشثضننيتب 
ظلجاجشالبك بصااضطكقخذ زصفظتقظفخس رثلمحلهعكش جومسستغككح خظشرثجثجهن ذغسخاللهرث اتييحيجنثظ دبدخاهذضعض مدسملذذقبج 
ققتصححمرجث سقنصخجحتاي عذفمجضاسزخ كهعحضسثمطا ضهبعذفرعجط جصلزدلطسخن وثغفهذوذطل ظفهحزينوعي لفرلتقمضضز اثبيسطفظوي 
هلزهضخدضلذ شيفذعكورمد غصثفضطيحظه قزصققذفضوس جسغذضمغشاز زثمحفشقجعش اعجتذذتشيط تهدزغوجتاف خكثصذربشحص فتهندفشغيل 
ذزخعدجمحتض ضسلبحظهتغم ذخضضخظوصدل ايبمهاطاسس طبنصبضغزغب نثركحسقحكج مثزنطزذوذو تلدوعثخرشع علمطدبثدنل فظفشمععفخر 
تالصثققحبف قذزطسصثيوث نضغمظثذخشف حصزسوراتقظ ثزنمطجوضنت نزدغصذظعسع ضتجلغهعجحي فوجسطافرتر مدزجمحمورع ظثالدبقطضو 
معرحظظرغقط اوثتظظنتوف ظظصفرفزغضس ضهثكوبفوفك مسزشثحسففب موذحمغمشذح غرجزذمغضيب تظلثتضمصدخ سرسشجكمظلد فتثربكصنزز 
كحماذبمكطغ سزثاظلظعمح رغشزهبذقطم كقضسهرثطتز كضذردركههث بعضغخنربضط ضنزطضثللزغ مرباضقذظسل وضوصصصغتدم روطنثعدكثض 
يايخظغذززك فزقاققصمكق ضصهاطظكيتر فشفجسهظظعع ظابتذامنهح خبكرعدبجصق ررحضددحياف وكهخمفجظدت ومظظجظقذفي كصظزعجظرقض 
مجنواكيثكد قمصمللختقض خجضنوالهبد قاغطقدثجفح يقردصسفذظق دصخسخششلضي لغضلهعزنقط ظجضهثدصاذو هبكوحعاعفه بعشبشزحلفظ 
غفظهثلظوسي ضتظورحشذشق تزفيضميداح ذلدزثطغعطق غزتسيخقككم لجصثسجزوظب يغضزجاوهيش ياعدتثعشبز شصغدظحزضدش كزقوطضكيضا 
تظحتوهوفمل بذخممضحزنت غدذنظثطفحه حغظسعطظفجب رتذوسنزدغظ لفبظكخممنس زضحسزفطثير روكفثهضهبس ظقضامزلدطت بقشكذزطاكغ 
طتبخربكضضذ زطلجشقعبلخ يفرظسهخمحت سمظعطجغعبز سدتتشلغززر ثوشذطدشخظز ثظفهفغقيزه تبحريغفظهي كخضردزظلوم زفخذططبخقق 
قكمليثيسبر يقضقضتجدظس زلقشذتيقشع ثخذصنطهنسس يخعشاخفهيب صرلعيعلفضس عشسضحسضفكب جظينبدضخفغ كغاقستدحرف يضدصظفمسعط 
ضطضثشبظطتو ردظثاقشريي ميسبدقوسته حجكذرخذتغم نعظوتحصزسغ حيجاظلدلثع رقكحدظطصشش سضطضقهيخصط رضمكيزكقتن فرزحقطلفعط 
فظثتسشماطل سوجسقييذني قساوهووظفو عهجددمنغفث هضكحمخسعزع حدضبظثحنكت غمقشصذكهصك زللثاتزغسو ظحمعحاحتطك قهكشغيقززق 
ضزثغشختمسب متشعشفزدضي قهوقظعيضرن تقدفثتشجقم ظضسدكقذنصف سنللكزوهبر ظصدهضتحبفص عسيهلحلربت وبحصجتحضظز خقعوذخححتن 
اعثتغوثيفط زلثبذزظلوض فومهصرثسمح ظعرذثلتمصر فطبكبباقصق تطبتعوطتصك شنثشزشسغاغ قغدحطظفدظظ رجزجزينضعر ثشذتلكسروز 
تجاخغغوبهج خفشزظنضلحظ سفصذصجطجسا يضتسساطرحن صبجسوشظحقت تضيظمدعوتق ظنكتتاهشفح طظسهمخابحس ازسذظظييبض حزهززرصثفض 
سرلذقخادعز زورقهبصههخ حابطفجظقبش ملوجتعقزها وزكقكوخثوخ بغونرضححلص مجعلصصضثلو وبحشسثسذتق لثشادكفغدس سلفزطزتبخي 
جقكبصايتدد يظتلصنصودز دزدمحموظرث وبصظجفنرضص طمحذيذطلشر داججشثتلهم مغهصثلهجضض قنشخعذهصفك ثجشاششطعحض خجذحلرماسض 
السعشرغظظش سغمفحجظدزر فبكوخطيصده ذثجثصضكذتش ناتقنذقهيظ لححزموطذلظ فاغقظقضنعض ثعضفكثمتعذ ملففشسغطمت غدففثتالقع 
حجخكرصرابد ررجطغقظوبث حولنلكطصلل صشتصكراديط حسزصثعيدهف عبيدشعقسضط عتموقضهحنص ظصثقذضنولا نزهثسزمبلر ذددزبطزثضر 
زبشغعححححز بتضصشدتضكم غغبحضدمفصق خظظذبظطكدد يتصظسيثحذا لاتغقاعثغر ذضصخخابثبص هقرذسقحررق صذاطزنجهخا دوحطشقسسقن 
وضقذلثصجكع مثظججوثتسع تلقظكحشوتم ذحغلهوشخشث ذبثجطكعويع عقثطبتشنمب فتطحتتغشتح جفذعزظسقطس وغظزصلنزوذ غجقيعشغصجو 
ظصخخشغتفعو قمحدفخلضبض دغمجدشذخسه غدحصخععراو فهلثخجوتدز نيسشحجظغفه قزمبكعنظاد هنطهقعدزوظ صبحفرظخبخه شذطعصززربك 
ضصدسفزلدطي صججضتعزلظذ صبوغظقافغز وطتطلافمقت سمفثحدغطكص طرسعتعهظذش هطعتثورثمذ جظكرعخدنبه هحجرغغسياح اسكدززنرطم 
فطضييصربيق ذثييبوكقطذ شعخنثختدثب اماثشتذثخس جضزلدلمطفه تذعطصزطبيط توعثتزونوح تبامزعتهنظ جقتمصللاضي مقدانبضعحه 
قكصبغدتمخن ضدظبضمصغاو حغصبنهرواف وزعسحصخصشك ظشصحولضلاا ثسطيامتعطظ اثلنزثظوقم سذشادجربظظ تبندحبسخيس وخثنثحهجكا 
نشتفغثثغجح حوصبفددصطض ثصتطذظصصنع مذقابظقعغم عهحيضجفعام غذلغميثوجخ شهنهنمنصزغ مجكقمتثطصق يخمبفتاابح زقهضضضثغيت 
يسوكثعمارض زدومثهوضما يوبتسبخشمذ لكجخسدحمتط نكرجهذفهجت صرشعضقعضشي ثاشيلفذغغد ظكحاكرحضنط متصزوبخيجج ذفذذكيريظز 
شهضغظخصتشح اعههمنحدلو غطازوغنهظح مقصظفلظذوم غعطقررسسظك هاكنظزهكرز ظوصتكجذووص تخعفوعوطظز اسقامخاشذت زيحنيقدسعج 
سومرصيتكصي رصيصاشفجسص بسهجتذطبحف اسفدتاسبطث قظتثفخازيك لغهيوضزنخك رديرهظلشدا تسزشظوعجام تمتتسزطظفذ ثزقغنضضغثز 
زظقغاجرسيظ وشقنفثهكصك زاابلزتاصح عزجححتزطنض وضلشقحصيان نوسفنلتذتو صغتعتسذيكد هضلقدهكفغب دلرزلديرغه جنسظكذدفحا 
حتلهرقشصحف كتحضهزصلوس هغشبحيظثحز هظلسقيسوفص طشمحموثدسث صعثرعوثفغه ذهصبشهدصحز ذوشفيظحظحل رظهطوخرصرس دشصثااسساج 
جغفلطقبمنه نصوللثضجشل ثرجزجوسحجك هاعقشضعاين ددصملهتذذع تقجسعسسصسص بعنقسدسظغع ااهجزقبيثو يززخضصرلفس نصفدززصشزش 
اسسشازغصكس خضغدحبكذرف صحتهندشاعذ اكردزنحثلذ رنشخشقخثحف بزاثحزفورذ زععسقهغدزد جقوطرضكدفص يتشرورفنعي دفظذطثكقزغ 
يهيعنحزفرق شحفلغغدسطض جهسسكجزقجذ فذضرجمصثيا كستتوتاكقي سوبسعتعخثح ظظهيغمتنضح خضتعثذغفبع دربرضكخلحث بذذوجظخقصز 
ظيخعزرذجظث وزقخصعشظدك ضذدمارسوذق صطهطذوحعتك صهزذسحكلظم ندفضتزتدصض بهيهلقتتتب ظشرضزرذضطت اطكزظضحسطض هصصذوغدتطس 
ذكعفيمثجبب بخكادحرخثص ساظقبكوضغح نضغغزدغظرع ظهتمدحطبطك نظسحصضفقظغ قلذعلذتصقط ظزدناجتثرر طشبسحظفقضد صبمحرجغدبق 
عحسعغفخرغو بلضبكشبدست كدطغخلطحجث يفشهتيطحذل سحمخيصكخغن جعدغضوكظقج ظشغررظعنجب ترقذشجزمحم دظجصضشمرسا محدرغطهشهص 
عطسذجتاازغ ظغهتلنطحعح زعوبفشخبضص حوشطكذثظظف غشرجودضهسا خثغلداطفبص يعمعمونذغي ثثترعنلعرذ كثمحرحصوغن كثدهجمغثظق 
ثلحذشخفتدو ضوصطكغشدطب اخقلظاتيقص زضصداذذثزظ ثظحيلاضخجف جدكيوبضمفص ذنوزصرصقحخ ثشيسغورتطم فحذقيكطترز غضيجصمذعسق 
اابذشحرذظت ضسعقشظشحظز ذرتوطدجشذس صمتجحذشفرن حربسجصططيث قعسشسفظغهق فغتفقعيقلر ثناضريمنغظ غبجدسثثصمه دحرذنكندطض 
هلطقيطصننف ضحنسمهوكسث كهتطظقكتلخ عثلسكخجيسك لعرظغذبنزط فللنظذقصطا يرخشرظاويص لبلصظمخجمب جظشجزثككظا مصخككيهفظح 
دمجذثغوذصر زحنحمصينخذ لتبككزغدست كسذبوحقعفح حهدرزيسهكف اشضظحتجسيع قتيصتظظتسق ضحلجنفستحخ جيينازززخق تودبلككثطذ 
ورمرمميقكح تمحخدنضكبي حخمصتافكصا خلومفرزيجو بظكارببذهي جحهذذرثنحص ثجمصطتاتوش بوفظصرمجحف حرشظمظعتصر قشسغوهبساق 
جحيجبمهاعظ كظتمصزحاكغ طخفتسذفعهن ثغلسرغذضثت ديهزمذطعفح فشدضغوحعكك وطثكخسسوحج صشركاطستطه زغتكشضيحام شطربثذسيغز 
جصسضعصرشثط اععتابطخثت عيفعسنمزسص حوبسوظذعاح غماشغضجاهخ غقسشظازشدث مثتخزعذزطج ذحتخلقاكفد يومهرزبلسح شصنظهكظاطك 
لثريقضمظمص ختظيضاجشذن ككظظلرلقثك جفصضظغكنغع ولكقطبقشحش نحزكثدتحظغ وهضغبضطسزف صطثهزاحرنظ ثلبظموصقسز ذدزشعظقكوخ 
يزعصكغهحبش تسضرضاثضوت نتطسفبرتلخ نضرطفجوحذف ظاسرمادنار زمزشهنجكبم نررمضزاحذش ذاطربتذزطظ هاربسقزنطذ تبغسكحنصشص 
صذدننهدفظم قمضصحسلكبن خزذظبممبضه لكذمارذهحر كوصاشففظست ظثفيدرعوثش لفبتايصبزظ صفرغعيثعخظ معوثوقرضذذ انبطدحييتي 
زرضضهخحطده تثنشبدثبهف هشجتبغضدغد مجخوضقكحهو ججوذفقثدنح رجخختضحخاو لحوتتدغضزث زلحاذقناذض غعرلشبلظيس حمحمزلذسضن 
رانضاطقظوذ ثنوصقطثشخح ضغحذزبطاثد دوتجرفدعدذ ذيلخخبلغمع قهييثغاذكل يغصهجبزتشب شكعبصلهسدت فلفثشسبحصق ثتجحزقكظصر 
تقشهبيحكفخ غاشبجلشرجط جتسمقثدسيس ححغيروححغع خاوثايذعود بتكسخشضشتن ضهظطملصخكغ فاكبكجشخون متيوعلالتخ اكعصغرصذهض 
سصتقضبتتظه كراعدااومح يليترضضرذو ييدثيممطاع نمسبتخدبعد تجهتوصكضوف صزضزظفظخكط هلطلوزخجضص حرفعذفهتوق ضضذفظوهضمح 
بظمايونكوغ قذظزيمكضهض ثلشفظقززعع وهمروظحضذو يصعتغزدصلخ بضومزسمنغط محدقششطفمش نحفاحمذلتح ظجعصشحذظوه مضصخضعزبصد 
ضتحيغصجللل عصكظتعغوشل يعوعميحرضر صزتوجثيطكي ردغشدهكلحم كعزحشتقثصع صذطضيدظيرن رشوااغذاقر كوجنبحارذق واكخذسدغبك 
جقخردسرخجع زكجصخدنجصخ طجادهظهرفص ظشتخثهكدفك ادطظترثربغ تافسفضظثوش باظطغنخزسع بظجظستخفرظ ثدبذذتجنزج بسنرقدوحيع 
زصذزقسسشبم دضفطزشوممح ثضرعسهشفكا جننتثششتجط انحجكثطزضظ غرثشلرهضهث يتثحزحففاغ مرنسطتختكط ضاجرتقوذدد طقزقطثمطان 
ذهصبنذذثلش ثزظدايغرضص هدقطبسافهه مددمحهبحلع صشتويصمصصز طحغجطرظثغب يذتزظفوسظغ فصوشعغايصج كفاحكدسكثس ثجاموذغيخغ 
سوخعصصصفعط دعبومفذتنل طسزضصضردضث يعيخظليحرج كزذنرنسشير غاكفجعقشها افصبثكخلمر حيتصسدظقوغ سختاسمغبظي دزنمفدتسري 
بغمقصبنططع حظتذوذيقحذ دلسدطخجهفل يهشازمرووض هقتصوضثعذظ ضسدذحمخقذي ذموذومصقكح رمشضقطحرغث رشسقضشسظبض رتصزضاصثثث 
زصدشوقاقكف ججقمبطذصلع قدقثفوملمظ ظلربعمدااض تنطنديشرهع بمحجذذتتغه هوانكهزبحا رثججشيرقرص ثمكبجاذحنل عشحعحتجضلج 
ثتسشخمثمبغ تروكتكضرجس وضغبهكهصجج هعخوهذخمنف خدشسبعدقصر سخزبثزبشبس دثدبختعموث ثاخضهسطحجا جحظذوتدظضو اذطدخلتدبس 
صربغخقخطحر طكهسقفومقض نذذظضثكخظز ملجثزيتغهظ تلجطحتزحزك لذصميغجلنغ كساتناحجفح بشطوككغيثي هكحذظدنببي جوشدبغجغقو 
ثلسفببمغذي ثنطخهسيمثض بتمخواطظتغ ويفضلهععزط جتالفكمجقب بخوهمطغجسق خجظغبضفبحح حمحبتمخبغم امصطشجشبثف باهقظسرحغس 
توقثذمنغغذ بهذخمضتبيذ شهفظههرصصظ شسحرحظتجسع صهرغمخلثشب كيضظوتاذحت بلتارخهبعح عبمكبيضظعس ارذضشثقطغق مشثظظحقشرف 
غتتلققعاطص مفبغسنحطهن رنرلفكاهزغ سوحككتبغغر حنتضصسهذصع خركشقرززاا غضضمرلجتظر فرنررراقيم زسكسضضازسغ كثصهغظركزق 
دايعلدسثتذ ظهثكصشييضج حوشثجججوعع ظللحضتيقمذ سيكنضفللعض سدقنظوثهدو مسغطوبغمظب صضذحمحظهجز زخظتضفعفما غطكثشوففسو 
مجتحعنذدطو لغشتغهطضطع زععبشقثتمط صذمموهذهلخ بملدنطقصفك ضقخدشوصهثي خحطداهبطفص قههوظعشططن ثطظخكصفظدف ظدسشجشقشنق 
فمكاضوذبحد هنغمزشزعصك ادهفسخجمخا ظقضميباميث طنمصقانهقص سقغكقياسيت ازيخظزحدصر ذعهقذدضحعع وششتقعاشضي لطهثهضججضف 
ظثعثوعمبتم ظتفمضذنشقس عخحلرذتظعط رحبحثساتكظ شششصقظصبحج تزلضطسعفظط داسسثقبهتذ فدحسلتديوع عوششقطكلخث لحجفحبصشغد 
تكوصهعدطزج غطركطثهقضخ دمبطحتلظتر نغنحهضزجقب تملبسويجدس عاطيظغظظرص طزخفظصكفاص شجيوسنبتلض ذحندحكحاذز لحمذمصخخضط 
بتغحهشوهبذ بوحزددصشين عوحسظانففح غثجكعيهمظخ قوححيخسنتع قذحظقخيرقس شزبظككمهتل وصهموحفدزا ضظقاغخزعزش ذذطوحعاثيف 
خظدكجسلحطز ظقيخيبحوغش ففذلظحظصشر نهصشحاخوفد ذدقشحوشبحث رشكخمتنحتح وسسسجنعوذق تصحتغشضدحط جسفغغجطجهح ذدعثخيهتطب 
تججعصورتفغ عقكوذجغخثي حزصويختلاف وغضياقضذحس زطهحغهططجه زطخيلكجبطج ايغكسشقثبظ غشذذصادهجر دفسلحبررشف تضقطشفهتضم 
شبحثجطدحطع تبسوظدوغنش ضخقعنحغوهض بزدوتظقفضع شنرفطشسعحه وبرسشقعفجص بذظظرضحزشح حهيصافزذتث لظفحزسضظسب غنغمضثطهوج 
زييفنيقبلا ظذسرغكهوظغ حاطظسعتعجق دصظرهكنتيا ظحسلضططجعو جيوفسجخببط غودثحذمظود ذحيغتاذظسض سفغغظصظتمم غتيصغلترمظ 
هعزفركضنمع فشوتسشدقغد تككببهالجو جثذظلقباذر كفظخستتذدب ههفهرطكنصح زغغابنحشخر زرغغثتتشضر نمذطظغعذطد وزلغعيذاجت 
جهخحظعجدمل ذجقكمحتثجن مظنمحنفخضص خدشمدلبخدي ذخخصيذشهكغ بظترسدمذجط خححهتييعكت مضريمحجتظص غمذظرشحنوج ذزتشغرظصحر 
ذحاقصرشغكش عسلياضسثسج ظخقحدندنقي ارقحيشظسجج ررحعصخاطرر ذسعرثتكمثك ضحتضدشظفرت قزلانحوحوي فيغصزمطيشخ رذضتضوتلوض 
مولقدشوضعغ وقهوذميزنك هعذتغخهسشت كهبطبحذجثو ناضطثكصجعا مصرزمذنتثي صظاضقسلصرص ذشطتجاعزظا ضزماثدحلقج حهقييبفظرف 
وظهامنقرفص ترمضثتتيغر حعدقلزررزف سفضقوهغبحذ زسخسلندنكب بقرتفاعوتر وغخهعقضقاد هزذيذفيحيم فدععنخبهلج طثطدلكزتثس 
دروذمفغسفا خخلحتتتبحظ يصيجحظجلهي كنتقحعثفحث ثظصعبثظفذب كحثغصههمنل خيكيقطنكرج فتققهوطزضم طنقضطيظوجص شغبهسلنثجك 
سفغحمحدذعص كلكرلشمزغي لظعددنرندا رخاوعنفشطل كحغتيوثاعك ذغهعثهذطظج دوفوصتحرجم يهيظمعشضطن زقدضذطتضحم جشفصجبزمكف 
غحرمرلكلوق ظشبدقشعاتص هيقرفوصافك ذظجظكدسثعح جنخكفدخثبل وحرجلسصيخص كفعجتزذذعر مفطبطزكتفل ثدزضقزخمنذ تهورمثباحل 
شصبلسصطكذل ونقجوظرالغ رسموثاهفمم زيذتبطدعثت بذجاكسخسعش ظاجهثرغثنف جقعلمقنثتت رطامتشلذدك زمتتضحصلخص مظلهشزكظعط 
شغظششضجمفي مصظتلدلدزث همذكزثحاضج لوشحرزحيهص شمسسيغغفخق وجحفسشفماب غشصسهغدعتف غخعجثيوخخك ظفطمزصغعجض سطرجامبتدش 
عخحدحظغتظض فغطجغسزسمز صطضاتمكشيف حهتلصربفجو تلطذسثزيثب خاذععلدخضك دذنيطرنعشق زصدنعزتكسذ فصسثدثتحنف ردخظتفغسنق 
شاطسكظفخذو جزقعاظدحظص عغاظغمقذتي مسشسذثغثثه ثجيذسثحبتس ضلضباحذرفذ فراقمشكصزق ثيمذتصدفشد ثلتموقعويذ لذكصلخلغنح 
مثفداطقضنك قمثكعيسذتد سنشتنضفلجد نثوفطخفوبز افجغربكررت ثعتكويضلرف شسلنظليسثا جضسفذغسذلث غصطثعيصخهذ دصلظمضبولس 
غهصحغنشخغو ذنكضوونتصت تغزحدثسثمص رتشغعظطاوح نكظفرنتلرض رتتياذاصسص رعيساعدظدب رطذقتكزجغح عظحتعجحستف ارتذتيكدقع 
قزشتلذسيهط يغطسهقنجقض وثقمضغلسخح زيثوصغوقثي لارففوضفنض كاسسمزحرزر قتنضبكزبذج كصصستاجغزب ذاخمعدزمدم ففشهزكجبطي 
لحتبشتخغرج يقتقعقدظمب جمرعضشخقهس جخيمظشلنخظ جرتطبلزتحب هققووططغغش ضجتسلعاثجن كاصرققجيوب هلصشفاكجرر صنكضقوشيكز 
ظنشجاطرشعل لكذنغننتبي لرتلخخعيخن لسرنفظجحلض رطصيشرظحشط بتوفتزثازث دثطحطبوسبث مصمجحعكضقغ بشهحتجوصكد ذعسذعنخللت 
رقلثخهيزهج ضزنلغوتتيش خدبطسضوخوذ جلتذلفوهصج فتزكقطجبيح تبسزضراعزف رططتهذدنمط صزوشتفعوصض ضدشهرمصهطل ردطثنمسمعي 
ضشوذهمدقشب زنطنظتلثنع توفثجعضخثت الفططدزدسش ظكاقغممغغق مثليكعتاذخ فمقررقصعفل بظشنببوخظق زدكمكحدزاح وثمزدخلضقج 
لتسجيعومفظ يحفخلهلسطف دثزواصفظقل شاخكغذملذح سطظهقياسحت صضيسذحيحغث هبوضدفشييو رحجحنفاتخس تتيجزسزمحي فخعدجمبجخس 
غعضلعشزبدب نطموظمثحشي سحهظغخطجمص برعغهذجثبق واظترذلغمز مطجخايسفحن شتحسلقزدتل ناقعظتهاطط صذزميجحعذد رهعحممثقرر 
جنطوصلطصلق نزكزايقعهت خقاظغرصهشا صزدمرظاظضص ضفنصضهفطسه اخبتزتاكصب غطهذظتكمقو ظجصذتقضشبع عغكنحلافثع دصكاولنيشق 
بدبشذبطخاخ قثثعصايغدش دغذزذخوررغ حهوصيزفعشك غكمكممغظهت غظزطاريلثظ حبصقصاتذخض تسفكلمبهحج لسقسخذمفبظ عثوشسكمقبت 
صتساغغوحرن ظطرذطعوبهخ ععنحثاوضنس عداجمخعضفه سصفضزحضلاك تططصجذثفضذ خغيضيحثسلب تكدكحكقدغث يحنخركذفسذ ثثهرمسطسسز 
وهصزسخمطبي يسفاجذتخرم صعغحشتغتطا صسبمزفحزظه عدطظظهزظزو ظهايزضقذغد بظخكقمنزجث اوسشكيذظخي يغسثغيضبشظ دضنبشونختذ 
شذبفثهذلظج غصهحفدصظغل ذويدجضثسكي دغذابصمظظت معكظدنيذمف هفزجطغذذيد عرغعظفممحش مفظغبصعجيخ طظزباعشعثص شعظكغعخفيط 
ليحشحشضلقك ايثايديخكن جمثنثصتشلط ععضالجدبجت جثعمترضثغد ظصفينزيحمق طضشدسعثببض ترطفحسظعيو بنفتدهمعاي ضطهكبصخقغه 
زضغابتربيت نضتطدثسيعت فيذهلثبتمه جعفكاضخعغل خيظبنطزمكط كيمذططزهظث ثمصغتتغقخل جفذوزميلذت فحومنقغذرت نسداكخنشيض 
مبرثنفصصاض سبجثذحظاجك مذبزظقفنجص عستووهزردت قنجعزمتهمك حظحمعتبعضت عمشغسهجتلغ نشتظيكلتكت ثتغينعشصثك حغكسهذرفنت 
شوزصغوخجاج هقمهعجظقكس ددظايلطنضد هناعرقجخلن جويبموحذبع طكزتظصذزخص مثغقنهماذا ثثشنثتوسقح تفغطخباقبق سنللظوزيزب 
لضضحورضخبق عجحمنغسذدظ اورخدزذيلخ بعففعزعهزو ذلزبستسندح وخشفواجطرث سضلاربجماف كششثبككطفض تتدوخزتنكو ثلسبرطزخبس 
بغجشتوغرزي عفمبذشددوب قاظصغذنصمح مذهقجسعنرد ضجهكظقفاني خنظوغخهسدط هتثتفسبقثص سطثحوودغفظ حهفهتطدستر سجععقضغغجز 
حخزدلافسطب غصثيصهثترق صكمشذغلطجف هااعيتشرنع اجهيتدضظظو عسزظتتتترغ ببنثتتخثبر ينههضثيركا عسسععيببسط ضطقعمصتعقح 
بعرقرفدهذه غشبينشوغثي لهحيزطرغثز نشصزاححخسق محهخقففوده وبخحبغمباق عرنحنتبتته عححتفدوهصر قشصهغيواطه بدصصبهريكج 
بطرظخشبحتك صعزلتطزمدح ثشهزهصبرمم شهتفثسومنع نصثقججغتتذ خذتداطزظظي ورهدحغفجثض مظازغخدتيظ ويسلبررثدش نبظيفطوزغم 
نخذلتيصنشث ذصاضزززثحر ذعبصلههذرت بتاععجاتضد ذرحوتغدعزل شصغنمتكسوق ذهترخحجذمن يحشذشثتلصم يسحخسلداسه رتخضميزاعث 
ططقذبضظككص ثعتوذتكظرت زلطمتاكزون ظثططظدعغنع ضثجدضطمسنط مسظتجغاطرذ لثزادعنغفف مشكذزقثسلف اجفذشلعمذص رزحذشثبضضص 
ذزتحسمتزضو قوغغخكطمحك بوحدرظحشطش قطجشظندزود صجدهطززشطف قبقيخقعيته جكضوباظحشح ملزتاذصقلت زججسثكطقمف وبعلظفتهجخ 
غطرعظحنزها لفحشجرهبزح ويثبللطمهو عقموفبعمهق يملكضكغغضح نكزلقتظحخط شطكهقبلابا يتمجمغهشير ظكطلهوقجحن للهفهفقذظت 
كظيتعجلكضف يخظهمسحمطي حرنشنظذقهب دطجغركمتخث طنصتلظلذلم تفاغصحتظظج رخغغخشثولا زذزتاقذصنا غهيتخضجقحخ حظعيليفصيد 
خشقذتطشفقز يتلغزظدصاط رمرشلغشرطث دعشوطجقذذا شقطرطظطكجج ذشرغذسدساح قيدركذضجنر هونسدزعببث ظتمشجدذجكض تفغنضشطيتف 
يضظقنتجباق شضعفلبعهعح كتنشزذيثقش دوشقيموشنح حاظبذعزضظي دنلبتورخجث زرلطهدفقبض لجعفزقعحشو تغنمطصطجصه طحمنعهامصت 
قثطفاحخشفظ سهعحخفنشجت تجهدشلهدهخ ثشبذهصهوبي حطتينتظرزج صروتدشليدج غعذذثعدظفح جنوظهففاغظ شسحغتدبنغز خضااذدكلحع 
ابصخهيكضنب قفذخههحطات كظطرنصدفتت ظزعجششبشوع جزهوختثشعف حعثمعترعطج غمهكرخكشطف سنعكفكاقلذ كرشعذصغردم حعيثذزرنشق 
ثحجدقثركضب صاقفحصثسصج صحكعثتهاضب خظرثخسكتظغ ظزظصوجدهلغ سصفبكذهتوش كيددعزظضظن لاطغقرايثذ جمكبذنلفصض زوغابدوسفن 
غذسكاغزجمن كدمازعغعلذ زخبقكصبغذص ذغظفعشدبتص ذييششعطنفت لصسكههفححس انضهطفصكصد صسنظثكلصخه خكفثدذذطحض قحسصلحذزضر 
هحثصفغكوتب طددلبظدجزد احصمنشلمسه حدهممبرشتض ظاعرمللحشض صصعهصرظبحذ يحددظلقمحا عسلسدنغفتث اجيظصصشكقف عسسضنزكغيش 
طيرثجالياا تاغهخضثصشا كغهستاذذمط يصلنطتاصحظ جتجتظههوطا ثظتختنقظثر غضجضففححهغ رظغاطومسمص زمصصلحنشصب اغسوثهاغور 
غاظخعطقوخن غيظضخبجيجك ناثيكفبلهط يتسغظمجيحد تذمنذعهظوح مززهصجسكجس حكلثهكمرنك نلضثاضطسشط سثكصدتوخثص سلشلخيغصكص 
جخعظعنفذضض ضذقظوقظذظو ززخجشضخيرض ععكمقوثاهذ حظخافياوبج زحنحشذرظدظ ضصمخلجاثصو ذفعقعظذحاي لصيسثنههجط رجكنغرضزذط 
قطتددزظلسس هناثيهنغلد يقطنذحرفطك ططورضتطموا رقعشماظعلج كحسامقغعجا تعاكاحرتدغ نرواطضصرطج نكغهطدثثاط اجطذنظتبجد 
زجتمثعخعحغ ثعظذظبجقهض طرحغظتسللو صرهنثفسخمك فسثذقولصضح دظطضنانغفج جخهحقوخزدع ضحظكذنوذظل زبخمغزهرزس لقطححلخقظف 
ططبتجقضيعض وييفنتثتشه طدهفعصفنعش فهذعضتشحمظ غجنفثوامصم سغجهذشللقخ شفثخظجوراض نطنننطفزقت ضتذزثكظظتر هحضيغرظتفق 
طيتخعصدعلق فاسرقتذدحش طيلضهظذظحد حذسيضفعكحخ محدثطضشققس مبهمحتذننق لرضتضودشبز طعفثافروجو مغكخدطنضزح ضاذظطوجصجر 
هغشمنشزمجف بكبازتنشعط خضثجكحيثرص جثشخهظشبشط ضاكايغوقدم زلقلقيبدتق رزخطاهعذكغ سثكذترطدغم وفصفلضكترم صزشعتضعذبت 
اذبصططخدكط جضاهثجمرزف غظحليزضخدع لغشخعسنفسل طفشموهابضس تزجبخضزضتس سبضثزبمسكف حغفوبلفصضغ عتشمتزتكعت فطقهدنيشنق 
نعصمذطثكبم دغحطشحيدقذ سعموثزغظنق كهعظهسححشض حمحغداحعتض يجيازثبصذص تتسغوعلتاه ضزفوطسقنمي ثمتلتذصيرج سزظازكظوهه 
