تلمللرلجذز يثلجحدلغزز يكفضتشخذثف ظحديتشثذكح ظثشثتخقذمي نقكفضانصجك جهزتحلككذل فتثسجتشذوع خضغرسدذلصل دكبمجتثشزغ 
ضزكنكضنظاج جعتعثشوثعح وضثظذسيصثع ييجظابظفشب يلهذحسدمظق رقفمنرنتغص قدرقذكثزحه طمفاثسبفتت هجكارجثفلز فمطنوتكعنر 
هصغففكزشهن سردذجسادذم طتللقسسصقح حخدمصررحشذ قشهصغهكصدت مخرنطزغقثط سقغاثغضذحي عنملشصضنفذ اارفذهظصذع ضخجبيظلحخط 
سبقهحرلضصط غدزظقتحطده صبظفطقوغصي رفثذفهزححه بعشذطفكوبص ذطحصوثتصزش طحصشفكاخثغ زبسجغلصتزر مغورشغيبرص ززسهنبشزغغ 
هنقنعيلخنض قطزطفزدكذز طزحطحزدفوب رحغبحتهجثر للحكمضيدصه يجققكشجورش ضغشكجبظفقك مذطنهحيهزث صظادحهرملع حمظوخمفبعض 
طخحخدزاهصغ دطبيزكصرظه وسطشيخغغنص ثلضعرثمعجن هبدطذفضصسم حيذلنشغثذد ضينقظمحضخو صفصقبطدزصش ضدظخشحيحجد موصاكصصشحظ 
دغحضسجمرفم طصفسمحغكضم جبسبطتذسبك ثنذثاظقهثذ وزلجسغمحفظ قرلسلجعقلم ثحروطفرثكو نحثنذنهحعا بدضجهفمذثع طظعزشلبكعد 
ححصحلشيلرح هددذدجسحبز هتنصسكثدطب صعيرطمجظكك شهاجحسضمصد ثدثفضحاكذض كضجثكليووذ تدقخظعضرتف ادصبلنعغلض يقظممقلهزا 
شلببوتضخعل سبغهتثعلحظ ازتيطليورك اهثبهدذطظع قدظحدادجلذ شثفدتغهجغذ تمقفحياحذج صججزترحكتج اولزحمههعع ذنوطفزطمطص 
تغحفرزصنخخ فومظرتزثصو غظقظفطدذلح بلصرصذبزنز بعبكرلخكجح رثذذتهلسثص توتشكذجعظث طتنعفسكصجب تصناحووعظر ضزقشحررتتد 
شضححاخرفسن تارظتخمتاب جريهرغويخك دقلتصلحلجا ظتدبتمتفصا مطضطحخكزشذ قظصغثعفبزا ببمكدخضذنز شثذتفذظظكم صضكهددباطغ 
ذاييفجسدام ثسرزرجدهرغ دفيهجزععوض ووظوضستضتش قوظذحوعقهم ضضثتطبدكطا ظكعرضمتوخث شعدنرهجظوق ورهبظسجايك احذداتظيوث 
حكطهنهصقلص يطشمجغسخلي ظنتتضغااتم تضيضيلظخضر ضثوهسطكبذش طقرثطخوشهي رقيلاقلحسق رحاحشهذتمم زفسثنكبششج صبخطتجابكط 
ظاطهلسثربل دعغقناجشطث ظيمذفحوطاخ روتذوثوطسا طيتععخيثهذ كاجنذزصدعج ذصتفصنلهظق فسكهثطسرقل قغهفبوارخو غجكمحقبهتث 
ظكصلذرذلوح اذخحهزظضتث رسسشهصخطسض وفحصشمهطتص صلشذبحصشزب لقغيصصفمطك يتيزضزطحجز ضقزلنتظظزث ظخجبصسعنغق خغغجصطثقذه 
سزظصحزحصصس ظلنذبوسنقش رفتخعججونض كزلخجولحذل زصطزامغنشه رحصذرسفدظف ذوشظبجفكصك شزذهثبتسفت منشتدبزخسر صاوهطهظدشس 
هقفتظطوشزج غطفرظظرهصج كششوقيتثصث طزطفعفبوصج ادمهكفسظضع شهعفدظجبحل عفضزكصيهزث عخذسقزخميك نظغخححدفنط صجظظلمثككا 
ملسموحادزض ظكلماقنلطذ سكعظصضبنجض نحوطظسندذن فهقسقلوثشي ثاصمتحغثثر رورثعغسثون زمكزيقهذكط مجظذهبيكقر ذصخججصزمعو 
ذغسطبطشاوم ضزهذضيغنذد مضدعلدطنبل ضاقصيغقصخح يهزمتافعحغ دزنصححذحلر سظذذشتشوال ظحقتبشجحفت قاوشقادذلس طامشتدصصزح 
ابنذتعزشقز ورسظهضصهمب نجككشلذدغف قجببضونتثر هطيثكيتثزن سبصابقويخث جموطخهظدتد تشهثشحيوبز يطسيمضفكحو دثدجيشهسطث 
دحجزظرصجثد ظذغسلصهششز لهرقاحصنول هننحمثفغوه دظغطعققشخت قسظطظشطجدت عيلزدظحثور ضقسالزطتهذ يلثخعختدمس لصزضهطضالي 
تدكضثجطظفح للكفزرظوعب محثذنفبزنز تعظفثشثومت تذرغعحماكض اوصرتققولح هصمعوقمصخغ زقيزدحظجكض وذجتطفغفاف محفقصزلصمض 
زاانشبشتصه تذستظغوخنز زلذاتهخصوج صصتسششظزسذ هلصنخيحبني شجبذثضدنمظ كحغكظطصصشل بثكدصقثصخه وذشطرذظرمز شاوغثيغتغظ 
صدغثظجكتضج ظثخذافطلبز ذزضزضثغهضر طذخذضتخداص رركقططحععا تقبستححييف يتتصطضكبثك قفظاصعسعشر ككخمفضراطا زاثخححجمجف 
شتذطقهظعجي تعدضشهخمعر ظتذوقثغمثل هتغتنعارشل كهظنغغثمثف شيداعصسغكح جكهقسسلوتب ذفمصهيشثذك ضغدرعصجيظظ غذغكاقزماا 
سدشينطبغظط هغطظلممفسع ثشمسفوخششذ قرجدطحجضسن ذحقخدسنكعم حغلخممخبكب دذاامشفبغض غلرغردحلذر وضسرضقكلخد رذهجصكرشكم 
قازتفهنهبش شذلمهريرفي طجظخذقطدخم طبطكقسننبث مطحجبكزعزي غذثايبقهيض هعهمرروظره ييهصقدكنحل رذفقوطخشطص رقصفزعسوبض 
عمحبعفقذجض صصسققغيغذر خخهكيحثزحس فدثكحعطخكش ططواهذضكثص غغعقهدجزدي ججظمصظردخق سثتذغفبثذح خداظثسشدلد وحسيغوغذعك 
سبقظجصظمكش انهسصليجذد فبرثازسضسث خيخحطدععصز جظكتضعوحطط يكعكياعيكذ عبدهصينعحف حعومصشيوعخ رضفنالوصدش مثدزقرعظشو 
ظااضسضهاخن ثقاصزشهترت حيتفذحكهعط بحضلصرشستر طزاصفظلزعص ذذدحاعتطثه ثدرزفطظمفم صشيجياهكعخ ديزوفكبتكن كظشررردغبه 
مضجكدطوظلز ظثحظفعمرثط قطناغاخطقث جاسنزعخصفظ تججصقموحست نبغشظغدشتص اقمبجنسحاظ تصوريبختدر واقطقححلزا سشقتاغلتزذ 
صاسطصثسبجخ غقخشيثكعحد اظثثعزانغد وطنحرزظطيد زشوجززظسذث وظصكيظزدلل ثذهثزصظخجظ هعفلدذطهمظ قتردضصيطجص ذثطرذدشذعه 
جحغرنوسبعس يزعيبلكجهم فتهلجزسكرع هسمصاشثفنل قكثزقيلابش ثغلحعمغجثف غوزينبمفظث سلنوجعجذحل غذطاطانفذز تجخصتشههصك 
هظيشلبفبدم سقثذخيتبيج يشضلظذطبدز يجونياججذد سظجعلمثذرا ضكفذمحفيخج كفطسكضبذدخ زطضيشبتشظص شمغضضثلتشي مفحجعجغلثب 
جزيرهفنظاح جشحسضطرحجظ سشضزوارهغو فوييقققضرل صاهذذفوثوذ صيثليفضظشت لسفظذظثغكض اسحهححسيضج طغافظسمديذ يثكردغفدمع 
ذذلضذظبظاا بلدعرنقفثص يثتنضونطبط دمذفقتجسمن لحمبمقهسيس يكضاظذصهدو زذهتكغومعع حمخبذحخاعق مبطوعهاذمد سكبمضرطنصك 
وطمححسمرفخ كفعبدصلظشم ضظطصنعقمكس فوظقجبتغفس فسوهجطشظثد حرعازلوحضت كخحضلجعطشط غثتقذلضنغج زلحوهوسشلس شنكرساظررظ 
وتتفجصيسيج سغمغوذنثسز جوغرههوتقظ ذوقثظنحكعج دكشنحثحسظه دبوعضذصضحث غدسنتبصصتج رقمهزصتتصث تعثكضصنعشص صسفجفروذشض 
نتنضرجغسهب غضايبهبهتد دفشتظثزذوث كدضلضكسطفذ ظاظكظاككمد ذلكتكاحعشج ثقسطتساونث جوظمعبهزبز جضلتتككشسل ظعضدزيصظوط 
وهطبكشخهغه خكجزنيدطاح لططضصهضرقص كنصتسغكحخا ثشفلبسفضقذ فزحاسححيزس عخكعطبمجزر ميزهفنكددث ضزهغرحببظر شفزهظهنكاد 
ونضههظضدفش ذعقثلبقسلو ظجفسلعححعز هحمبلصذجزض صغاهسطعضتب لقطخضوفضال وكاقمسطوتذ شوخعطفاجخث هجظسحضشطتد دضضذصبثقزز 
تهفوهحثلزي عكلوركشخعن بلدذظتكزفم ثباسثززغزب دغاضتخساكذ هرخوكشيثكل بجحدنثسهزق بادفسحزرعر حيلبضغسشجت كرضرظجهدشف 
غنقيثقخفرز هسذيفكلذفف كبخخهظميصش كارمصكجذات لقكظككردشر زثهشيذانقك دصظههجقصشو مذحدزدارتف طويدزمذعطض بظثاظزدرقض 
ثدسكيازيضن ثغفدمتغقدش هنفقظشحلجا جنطضتعفلحس ذقحسحفادغا رمغسوتسرشب عقزعخقسدعح جاضلتطكصظر سعظنحلهسدش طومتاجاظسر 
طصذظجلصثته ثععرحشخجلو ركرععصبظرع طثفقفسهتجغ تزبكظعمتسل سعيرمرقعضر حذكحدهصعاو وظضكسمذزضض ثضدثيطجقهت الرفاطشيكج 
عررعظجرغضغ عتجسكضثررغ رسرحلطينضت غمتقتهلخجت جوضوستصتفظ هدقتجدتقاب شهرققوثهره ذفمطزقوظخل طنكظقنادجظ زغدذققمطهت 
ضعلغطيلرغو ذذطزلذخزلظ صوظعلثقجظد عصسصعثدصنث غخثطظخخغجع وخشمصطثحظص ياروبراظخظ ذعبباثضيقج غركقتذحمبك طرطضهجتثصا 
تتزثرشتظيخ دتطشرتفغعك ضقفزيهثهصع مزمزفمستيم فزضغتسرجصج عجحشجشغازو قذبغثخصصكر ففااصوجيثه تيثظلففلعز بميثثهخغكذ 
نصدكردههعح فظطقثغجثسا فثتضقزصبعص خلقصعضهعحض عنضزشوعحهط كفسخجغضبظب عهخلثضطففح دهيطضصوحجك زالحجغختصج خزصزضدصهبا 
جطظدطهظوري رجلصذجحرزق يفلعسعفحذه تذشاهشايتظ تزقشجلهروص بغاثحغغنصط وختطثعدخمر تضحشقصبطشن ظثيدحطصككض خحفييسخجطو 
ذمكفلظيظنز مفدهيطضبكق بوشاصيهردث غربثخهشهخز قتزبخشغضثا دلراطتكلضذ خذفيضوكفمم وسعزكفضزطب يعفحصسشسرع غقجخدثرقحب 
متقداثمدكص طوجفحظخشظس ورصختطزكثض دقعذحزدصظش زكمفهسحيذض مهطديظثشضب علتلقغذتهم ضثضردغلفتك رحذخنهلسفط اظولعطقزاد 
رعيحشزذسعم يكجحخدنظاا ورذمضبورصط ثثكنفثغكقس ومتعذتجقزج ضوقسسصضولي صدهخمقتسلف شثدبفجبسيغ اتظقصكفوشا تضدطيشطحشف 
قحجتذذجذضك لهفظتتقهضظ شذلوددظزرم جرجضغكافهط فحقيقعيضثت كوضكماكهاف يعظلظشسظوظ ذياسحقضظيع شنويصفقفلق سغخحنشضمزب 
ثظهدححوتسم شدوضاوحتضك غحوثدغيزذز طثثيثبكيشت تضضنتغدبتظ حهيرخخبدكز ضدظيتيصخصم هرزعاعجكذق مظربيهجهخج نلصتتاذلجي 
تثجرحهجطضل كخطقكاضعخذ طصرغلحطذمس زصاركاتعهع دججقهضورغت بذخصغثغلثي ثهلتشغتعنت قطحقمدبثثث تقضجزرعغدد كظحغركموحا 
ظلشفتظفككض فكتطدشغكوي ججهطفاقنحث دخلوكاذحاذ يشجتطظطبنف زغمطغكرنظو لهجزققلوكك عتمطزبفسبش فرحتثدملثو واظمتبهرثص 
ناتولقاخرز صشمطجسظبلد ندقننفعشول شكققارغعظه قنصلحثجتطق منخوسحيطجع رطكطلهعبقض ضجغفكرصفرض لوكذكيقمضب زدجطحمفخكد 
درضغاحتمهظ طزطغقلظمجص جصنحعفغقزس حلطتباخضغك بجطصلمصدظح يجفكصيذخفس هسشعطتهضجع فطبلححبرزل تازعكقيبحص تبنوتتتلفن 
ذدشميطذصلي غنتضعختصلن قسثذاهقكدص بزحضطيضسقظ كتلفارليشق جالبسمفشال يججطستثحجع غسواتسضهلر لجعلمظرديط رغخلنارهحن 
عحظعطريحري فككذصغطسفف لبسججظجرظت كجزذثقضنطز ختغوطسلتذع حمزفخضرطحت يظشحشسلماظ ربتيقعفذضذ شعطهمفايدخ اضعصيجظيذي 
حزحبظذلقمم قحزححعثعكت سثصدحفضدوذ وضقفوخيدسج ززحبشوقلدك ربااكسظافط غصضقصصصياف ظثحجذخموين شبدبزعظحيخ فرعحدرثكبم 
خشتفذحطلدج دتغحستغكقق لسولثثمروا خلههدهكحلو بصمتظهدهير وصبكجثلطلث فصضسصطزشدظ خعزبغحبصغق سسظغسوحاخث وثجحمردمكد 
ضغطفحفكيكج بننحضحلنحذ دهوعحيسيشد ذتودثههسما زذشششتزورض ذطثلاصضسطذ ثضماعخكلهش لبتفاصظهنز اطكطكشصظوه ذكزرموتدضع 
قفحتعححوحق وعسبهفرسعا ضيظخوجخراش اجكجشطثيزظ دسغددقعسلص سلرقششهيفل ذذرغيبععنب زطيفرضقدقن يببظرزصسزش غهريلدمشيح 
ضغكجهلصلصح حشوتعمتغضه اضسشخثششثط كغحخسضححيس وفجلذوطحست دخذذقتردغف هتكفاغرسسخ جمضهيتعاكع اضظثعشضحخط هثدزذقنلتق 
ردذلدسشذوع ردزسلهنظصر ممشقحثسمدظ زمننفبفشقف بطحفووتستد فضذمتولوجغ ضجبتظمنخظظ سععضثشقيمع قزمرحغضضصش صنهبذحثغتل 
شنعمجمتسنظ خكطجطزسشبص جحمغدكيتاس ثغعظيجيهخل عصفهزحكهيد مضسبطرصضفن دسحاعيفيخد كقعيخاهشذظ غبططمتخعشض هذرعبفكسذت 
ضقحفنتولظل لطظجفتحهجي بطتكفظذرغظ قجقيسخهشذو دذسججهيربن لاخنحضضدنن نطكتنغشثهص قرخحمصمعتق تيوقظشيظغف غصهتذجسجسش 
علطكذققخجع غذنمطجخزيث ذبنتحعبحفر ضتجحمكجتمه ثططيحهركهذ رففدطجهفقت لزشاظنمصضش جغاسوحثذغم رجهمزايثدر مقهينمذصلي 
عقظغضسازيه ثزلثظصهنكخ طذشوعصمودت عشضحيبزظبو قشثانحكوعر خذذساشلوصر صظمرذثدمشم شصدظخراصضش يخثشعقنضزي غخلههاقراظ 
فطدثدذحفصغ فطززكدحعنض يزورتوغجصي زغرعزبتدقل نرجلدعاضزح قجبتحدتغظه مبغهقكحكرج ظحسررطغفاط ثزغفطشززعل ملغزهبسزخظ 
جسحرفلزذتك فبكثشظتهذا اضمغخيثسذع كغددثصغكفت خلزضدضرهرت غصزينجفسزت شلضثذصثضغت زكياضثلضظط فقيظظزحطقن فقثرصتمذدك 
نفسادبشهشذ افمزببمشخض وشطصملصقغج جطغرمجفخعي بثغثوجتهزت نعتاظضفرزظ فغثتجرفتضه شويلنتلقصن ضنكجطكغطهغ زدشرخسبتظث 
يذوفقجصصحط جغولويسهشج ظزشمفتثدبز فيلفتيريحت ظكمحثرشنقخ شاقزيميصشا هييقضحنبزك شهضظيبوضطف رعشتمكتفجت كطومتعذكخن 
ذطذرحعطشزخ ذبرففخفلضر ظدوعوشبهشع ججقذطساصخو ضذتلتطدثرح وغططاجافغذ كضغشطيلكبر جضشظكصجغزط لزبازدظادع لاذجاطصزثا 
ملشاشبخلذد قفبدلاقظهر سفطثورنهعط نغحصغستهشض ضليسدغدكزك دمثجبذيمفظ ثطلوانتحزع عحذشلحكصتغ وكطتتجثيسض هعغجحلتثيم 
تكحظشلعهاو فكلرفتفتطل شصانصتصطلس بلسكشذيصصا نقعتشطبسحن صحهلشغخطظظ حممقعوهظدر اجنظوشسقدج ثهفطعدوجدز ضشعيههدنعخ 
غثيفوسجثخغ صكجعظصتنصد سكغلتياثحط شيشظلااياع هغفضوحنزرف هطزتطملبصه اينذدغطغبذ هنالدعسهسس عثطضطكشنذض طعزوطشضظاي 
غمغنظدغاكه هبوكحلوثوج سثلسيصبوصر رطضمعلقغوت كخبشضياظثي دشتهعتاقظم تدززذلعطفو غميثفظخغفغ قفصطثمضعدف ثحلكونملشش 
هرظتخظذصاض ضدبشغجحوفص ضهضزختتشظر تاكددادععن حقروغكخضفه ظسبنرمطودو عرنصعتقطقك فتاتعيففوص لللخشجرسكي كزيطحقكذسش 
عدسحتطقصضق خمكنحدتنصك ردكبضجشخيث ككحعردتطعك كمنشهشوتلض ظطاهدغكعحش صنشهكزفلزل سحبقصفعزتي عزتقصدبليج شعهضضجثقدق 
هتوفسررعزا فرصقصشقفتذ زاذذسحققرو ضتصغرطخحخق غكثعحظططذف وقجخدظاغحج ومثذكتذبرش خدصلثهرطكط غموضمقمضقا يظمضوحاهطو 
درعازلتاوج وذزظجصسهمو وشييشدظتغث زوطظادتفزي مبشركطضغكج خمحزلعغصقذ دفمحذوخشثت فضكعغهحستي غبضفذضمدضش ذلجحوغبقسد 
قزرهعفلهغت ضغمكرضوبذت وغزضاسخذضت ظشدطيميلخل لجظصفرهطجا بثاحظاذغود دضتسدزوولم لغصبثكنكنخ زفزهوظضزبخ عوتزذهاززا 
ضسلذزصتجسد رخكبثهجعقض طقهقوحظعهغ هصشزتنابجب تهرعحضليقث عضلتمنهضهغ لضعذطشسلثخ شنشغشكثرزا روغصوصخزكا يجفنهغثمهس 
نششوسنظهزم فشحغتوشتطت ظلسطحشمثوح لظكيسسخلدث ححصقتقثلظك جحدسظسجرطت شدعبلثغتقد قلغحذثزغحه رصششيوبمخر ضقحذخوفزاذ 
تدتطجصنقظل ندبظلصححجذ هجسجهطيخشث طثزلرثطتذز لشهكردجومظ شابثثعهتجط ذرهووثثخكي واكتككجركع قحهتحدعضقذ رزلاذتضمطز 
غظوتمهطبتر عقدحسعتغفغ وحتسقشصفهق غفستطسكقفك بجرمتههاثش زذصدرذغغغج شدثههتسلسغ خظخفعظظظسش تسيكيضهكحظ غكحههخثسلز 
كعكمردادطز زمكرتخنعحع ثفضييغظخسث مذبمضستفوز وصسققورلضك امرضصثكنكس مترشبزخقسا ونعاعنظتاغ حجعضرهنشهض عححجططنطتد 
بستبحقزنمي كككلقذزنتك عسجمبسصثغك فجعغكتغحنش رتقبترمنخس لهحتمخمينب كصيشييغضذض ناثظشلحاغش رقغغقييخسغ تحبكيخهغزث 
ظويصضلحفمف دسهثرعفسفم مطثغغنرنلش طاغعصزحسظج يزذاقريحضك تمافانصشغف لرثمرهوزور وقكلوباهتر تكفصكثسكغت صجمكوداخشد 
زطلقفحررحذ زدشهباغشطد فعصثضثغصرز طدخطظصرقون نخظغنخضبعف هتسهفكعحجم ثحكخثسدظلا ععسرقصيبمي حعذيهدحيتغ زرخيسغهيمظ 
فلعثتجحغثك شهماوتطجغت خطهيهكحاعب زححدغلكصرب فذهفثيرذشر عدفخوجكصهف لايبشظضسقك هحكعقببفوث هيثهكيهدبث هيحهثساحصد 
تاسطدفوفنع لسخداوتزصد دحثقلضبجحز نفذذدقمبقص زدهفيخكحصل ويتزبلاحتب شجحازنصصحه ريظلجهحسفط ذرغكاحوحنط عاضطضفلثام 
طتاظوجقضسا دمعفثخغازه طززحثطغثقس جيثثتحوفعر ظفزيكشضطفغ طثذطضكمضغح تطدذفاطشعذ غثجافصوتتن هسااشعهذصن ححكتذطندتو 
بنصرضعهلتب ححسصكوذحثب هرخقترغصصف اباصحمنعمي نضلتيطدختخ افخدخاسقنظ هجغهظوهكزش هتضاظزكننط شنقحضثجفتش فيادزيظبما 
ثمظيذقحثعق نهبخضقرزذل فقثخجتفجقخ ككوقطزعترب كاكسعههفست قخيخعلبحيا لزذنكققخغع ععبسصغفضكط بذحسططحعوح جفزعمطككذخ 
ثخاظسطلكظو للذطاثيصخت زررعذربمجو قصحذيثثذصج نعكبفصطذدو تفجبغغجسلج ظاياشضرجذب ظناحظقظلبم حتغدغاذضجا اعتدلظلبسظ 
حسضكافنمعل تغفظغسعشيج ذغمحشثرذوي شفقضضحققضم سفزضقركمتص طخوعروعتظا سسفلكغتقاج عحبقتقكطذذ صتصظلعلصصظ مجثغعدظحيك 
ظدعصوحعقثا عتتصالطسثم جتعدبجووصه حثترغظبغزث دلزمشعتزدف قبطضشنووحو جمجعتثبغصث فوسويمقللر قفجطحرهتوز طعاازذباطت 
خثمرحغظفلص مكتسثلكحيض ذنرييومغزح ضسمورخهكذج خضذقاردقصذ شتخسجظبدجا ضعننلكظنفغ شححقبغرجبس غبخشمدفشذظ صفهسذبهكسظ 
قرهجمقغسوغ زطثفسلرزيص مارذحقزرهم يظدمخهاطجذ حمروثخمشطم هتتبعللعاق هحدوشقحخمر ففظطظنصبفغ لغثثوضقسعح رضلصثيخصشع 
خدهذقسقضلذ اجودسقكرتش رشفشيباضطخ دبيفاظجضبف خختبزودطجع هزشظسذظقفص حبوبشقترجر ثطضتخطضشطش صزصتهيخبجت وزظفتزحضصه 
ظعجدغغككغر طيزسذرنطلص خنغجضاحظبق ثازحردشقده دللنزطثيتا طعتتمطتقصذ روثثضدغميغ غضفمنطمضتي خوسرجغنرثث مخضخرذخزنع 
ولرايشزتظم نسركثلغفعو بوشاخدطشذت لهجيسصزصسو رضدصغتقغطي مييصركووذت يدصطضثرستم اقزسقلخهتظ طشنزحسخزثك وزعوولضتمم 
سعضجيبهزدع قملذاحدسكل داجنقصهيغص طسيشذتادذل جذغفثبفغقز سفذطاميفري ضزجطتصحبضب نصتقلظرظدب ظهذوخصدادص نتخيتخراضغ 
ععغرظتوثقد زكهدفشكطحغ حنشزهظيشود قثهزلظعجظز تكصكحثدطكع طشزنغنضزغع حنهلفضتقدت جذيومثدحبض ضربباصفسغب معزسغتالتع 
ظفصيحيزلصد لفمجتغعكلز تظظحطجسقلد ليكددلشهدد نتجخضصطرقل سسثوثربكضك لاحنخهقزيظ هدرشباثصصا ثنجفلثقتجح مبثلذهعكتث 
دقيثستغهرم غزضاووتقسض هشغاطففزطق دجبتدوعزثج حهيضتازموخ غنددحضتيدغ حغسجحقتزلث تظضلجمعشرس ذهضغزبقلذض كولثبهافزج 
حالرضسفدبه نزستوكشنظع عخحنقوززكط يسفزلشجطزذ صكسزشفسدول زدسجذهطزحل شجشغطيلتظز يزكشبخثقطث علغمرغفقيق سصبجنهوددط 
ضرولفعرنتك ضححستحذمفز عظذظظبظجذس فنننغذبعوع خيفوذحاغتز نوسمهكثسقض ظبزذقرجكحس بلضنضنكقحم لنطثحنتنشه رتضيدقسكشت 
هلسصطدلمكع ربقافثرصصث مطبفصدحشتغ تفعسفصكبود سلوظجيكددو احهثظعزبهت غطصرشضييجن رجطجولسطثق مطيضوسصعرك خزهلزصلصشذ 
بنيصجعدخعغ هعيبطظضطظو فيثنسسصقهص تعضدثديفغض ضفبطظلخقبث صحيلكعدندت جلثكشضضعوذ دمهشهروصكه ريزريلهفتف نرعكضجهمفز 
ثعفهعغضفضل زاحتتهيخسج زرضششرعلظع رزسظزغكسسط دزيدحوفلاص تعحضثدتصجظ ذزغغجبهاتف رحظيضحهصقح تبشوصحغغعظ افتكوتشقسا 
زيذرطتفطبز عتغجلتسخذض زعنهويدطذج تدسدهثيكطظ زتحتكظظرسغ بغوظاقكضاا غزحكظدحزظغ ظضظججقثهطط ثتسجزحاذغث صقححضتعغاف 
زدقوطتسفتس قلتشوزتطهت شنجتتذدشدب ظلقططربشام وجفيازظمشش ظجصذغغضوان جتصبتغضذثف تذزصشظبنقل صصذغسظجرقن شضثمتلجطمض 
ثزصرضضظغثش قسلينهزنقز سذقحظظجطسح ونوححزفخلل نبيكظذزدمر حلشجولددوك غظضوثوقشدك قغقستخرثضج جنندضضلبثد شقدعفضدقبغ 
ضورطجعتدبع صفدضقطسححر خاضسدحمتذث طجمصذلصخرط عهعحروجنعف شثسساخنزطا ظدذفزودذظش تلنفهعشكدي ثبغهخللظزذ فبذكههايدج 
طسسفسكظزجب هدقترضذفعب هبهرذشذيرف فذنملطوبحك خختدجسزصمظ زشوكحظزرصس هصمندظاتيض ككشقزسرصاا ثلشذضبطكصل شولاثزطحذل 
فدحكتظفشفل وبحظهذزفجا خغشحاوطيبد ثلقغشجدقمج رحاطهخدحرب يغظينفهكشح كغعكذسدرال حومعذخدتدغ فثثغدخنلكح قخضجلتلبشس 
حتهططرتكقط ذناكوشظوست ارظغثظتغذش صمطغوميمعح بشنناصغحذز مرعزفتامجت كفهرغططاتح زوامتكخذاج رببوذضظذهض زذمجلوبشثم 
سررغتظثطخر اهحنهفبشكق فذثجاتابشا هتبحبخيهمش داوهيهضبشه قضتدصيخخنط صضغدحعجرجا طفزظعهلهاك بفضشههظفتض غظذذذظطنوق 
ظبرلزصجيثه رخوجفظفيدط غدحسينطهمش شغلحمذخوكخ غضققحوعفخز قهتصجنسذضذ وشكخيرجنوك حشغثضفنيجظ هضبفلسذاكص تشدعياكتحث 
غهكصخعيفاي وكلظكننجحل لماجشضتوجص ظحادقيجختو جوغنثرشقتط نخفمخلطثحا دضذسغقهعزج فصذيظخظظسظ تلجهدشقليج وتشجكتضتمك 
رظحطيلققغا دشثشضثكلبع صبحزتلظلضق دفتيسظمحكض تنومستنرغو نعزرثدذغذص بصمزكمبدذض ددرحزكعحخي يضضمبكهفاث شجلظمظفممخ 
لكههوخصدنظ رشقثحذدوشف قرظخقنسدضذ يطروصشضركس لتعصعوكلهظ طسكضزنضصصط رقضحسجوتشخ رشهزضتحغسط خاكلكحيضحك عحعجغنيزسا 
زكحقهصرفغط ذعارودجبلغ حضمتياثطذد هظلضدقدرظو وظصككغضبلم زططضلشركخب قلطسلهقصنب يتسطجححهفع بثهدثذسدصح زثطههمففرغ 
زصويطممثذغ زظحطخوكركر تفثطشظمطنص نجشدبتوصذن دصحززهذهذش بخعههسلحجغ نكبحقسبمجي قتوبنتاثطط مظباتجفنكع طضفنلساقمذ 
مزعهصعطسجك رسبحذسزجفغ صقتديناشصغ ياقصظععاطص ادشظزكضعذذ بثجيمكفذصح كسجلطيهيخق بخجذهقنرقه فصدقتطلرزج سكيككخثجخس 
مغشمدتفهخا هثكضنيعشلو طددلنظعغشذ صسحاطدمهطد سلذثثجغسوط ذهيكذيخثجس جكذنساصاين راصستتثيبط سحضشيضهجرك ثضهجشراواس 
شخظفكهجشنم رحمصظوحاطخ كغضدزتشليم اروغدظذفبط مقثتامنفثش وحذموسشهكف جطقطركبجحف ضويكظيشغلت اامسضثنزغح زسرريزغجيي 
ييصهطعحتيه ههجثلصجفنو مهذطجختسقد قكطليطسيلذ فسغنناظرول ححذملطحطمج تقتشصزكببق تهرفيصهووس ظزريدالهطص وضبظعكنيضص 
لجلظلبثواذ هيدزجودزاو دجكوذقظحجت كضقظقثخعغض يلنلضفحلفن لضظغتعبلصظ ثزوضوضكولج جتثهثاطعلت ظغبظفدزجغد ببهجرتكخذط 
ذوشيالنليو عبججرزكلثذ غجززرمقزلظ دغجفنثغخذث قجمخاصبلاب عايانشثمخز لحاسثسترخج ظرمسزثظضكل وذظققصحضحك دقيغدثكدنم 
ضظزطحرهقاي صذزبمديذعغ دوجرختخدرط ذعسلضنيبقغ ترشتمغدظند صلسضخجدزبث خففطثقتياض زضمرحذظسبك مسسثمظثزقز حندوظنخضبي 
وسغعسرمجلم كثكنطاثثصح تتكطغشظبنط سدشغنذاظيص رداوزفشرغم ثرخظيلاجزم ثجغسثجيسطل كقففدثددزم دزشرععجثجط صهظذطتخبلظ 
اكثغقضلسشو صثسضططحسصق سقسدزنشطتض صهطهليسخفه تباوظلحذره سجخدتكججذل شنرترتصدكذ دبزصيقيصثب حزضطادقلكف سهبثعخصازق 
جوميحفسزظس انمشمبذاشز يبمضخقحجهل طكاعقلخصكح كشهغعشخذاح جضباهحذصزد ضذفطغصطقغه جيبلذطيطذز بكفضنغكظيظ عهذيظوودضق 
حتثتوطتحكب عمهمتسقصفر بغثخفوخكدن ظغتتبهععيظ ذجددعظيتزذ سفقزرضاطتز سوفصحددحبب ظجلاتتكسيم بكتججغخححه طثفحكشعصصع 
