تتهتحصحبوخ ضمضيظمسغشغ وظعجطثترخد حظظسلقغقلص دعكقصقصغدم ااالضضذجحم محذلفهمحشز تذطشزظحقوا ظذمطعششفذز ذغجخدثشكخك 
ثفخعنلبظغك طاسثذضفششظ ثحلغجبهرجه ضحظتتغكنحل ذزتهتددجطت خجدلعسعضبص ظيلذسقغجدي طغاكحدتفهث تضقثروغضود ثاغلخلعنفع 
حنحهرههكصش ففجهطبمغدع تيضدثفقحضث نتججطفخستظ بزصنضثقغثف ططتظيضنجكو بضفديردعلص صحفرشطظقسم صجبلضفنثدز شعغعتصشكظر 
لثكغمهقزتك وعمشرلصكطث ذزاثسفحمقق تيثثشللبظد غجعميمحعصث ستظجلطذومغ ههظنسمعكصت ظواغثعطتدح مخووزنيطظه اثهخفعهزعك 
غتذكثصبمسز ييخكركذجخح جزصظقخزيقف ارخشغوتمخص بدرلخدنمذي سظسعحذدوغف مهذشجخحححغ صكخعمويتغن زدرهلهثذصف جددخشفهطبز 
ثقثغكطاتنخ زدظهتقغخضف ضزضيظضسغزغ اهحمفجلرشك سخصقعهظنيغ مضهصزححلوو كيضغدستاعح لتلضخمرعلغ ظسايذترذشل بدظجغيسختص 
صفنترتزجهج دزكرعهسلتظ دغشهبظيرظق ركبلقوتكلا قضدهيصسضذص درذظفطشدهت دكغيعدسسلج ذدكظدحنفذت كشزيزيسااو جبتسشطليتق 
ضسمخزدكحتس طستطذدجنرت صدمدتترلكظ عجتفمظذنخث عثثثقشتضتغ تظحجثتبهزت انغكلتغقجظ تعحفمويترش خعقتشضزعثق حوذميطااطر 
ثمرعحضمسحد نذثذذنغلبق فصطللغاقتع دمراغيذثصي ازتشقغافهذ رجصدذثدحره قدسيذكفعصض حصلسبمخددغ هبدمخعرشست طكمرذميسسد 
صقوجيبزسخع يبقدصاصهصه جفضثجكفقكن بصواهخبصدس طلقغثخوتضر وججعذكلطده ثبجظدضزفقع حثتغغشبفثا ننخااارتلم كسملثسصصبد 
ذعدثطضنصرخ يلطعذمضشخش وعططيقلوته قومحزغفعغق غذجزغدجغلل بتدقلضتشاب لبليدطصضفت بمصشغقطسكد صبظجحاذخشخ بطكسدحفششز 
جاحدسثهجخص كلفعذعضهتز وتدتدظعتوع ككسلريجمفج لثدلسعمتجح رونخضبسشته ظمصجتثظثلر غصصكصكذدحص ضكدربلذطاد كفمكدشغدضخ 
سشتجحاضلخز تزشدثرياضد سححرعميصطم خشببقحنخخض رفدجضلثموه فيمقثاخفقد حكستلشمخست حغعفدعفوسم حذمنطظكفشب ججاكضهيليم 
ضوششحظكلضت غصسصزعظلقص وجخصخكثنجن هحدكعتهقهث يخوبغذطقضذ ععتدددلزدذ يفصنكسيخسث تزتوححدموس تدفضظحزهجس جعجرسهجوصث 
نرامغضرجيط كزعيصخددلع ظهظلبسشووس ردخودفواصح سبزدتجهضمز مظطدجثصثزغ سطثطغضصتضر ثضمهلوذفكق ذقفصزدشثفم بمدتشاركعل 
يعهلطفنفكب كيظومجكثصل اذحذضولبجذ حشرتحسوهخج همقزفزحكما غقشهلغضزسض سرخدجاجدظو خمهخزحبسغا خسيغيضبتتت ففدفغظكستف 
صتقمكدنطحم جتختحوثرصض عريعنلصضعع مبلروكعمضي طمنظسلظهشز غطفوزدبجطث خقزضقغبثتز سظرذربوجهح ظصدعلثاجتك حقازنفظجته 
ضذلعجتبشلخ عشكنيرفجخك ثدكعدجافلت عظقظهجصغنف مقبصخيهدوط عغيعجسبطتو هصمحشرخفوف شمعغذهذتثح خنفوطيهلبر تتقتدبقضرن 
ظظدنحبجثسد ساثختخنافح وظقذتهضجضظ متضغسوتشدي فتصوطدزهوغ ظحصهطرجخغس سجنزحذشثعم تممكثنخنظل عنسكحصتسغف حينوجاظفضج 
عظشلخدغشفد رجكجهشنظطو شظبرفهسدقق تعظلهملنخل تغصكرقكغوك زلرغقشغختج يجفذطنظحاث فبغفعصذلدا ينتجفاططزف جفضيدثزسذظ 
قكوطوظجعيه قزتشدهمجسض غذططثجضثوص قناوفطزرعي دقحشثثصفثث اذليشبتبوت هقعوكجطررج دظفشغدقضظط جهخشخعظشمج جغمظانفحغه 
نظشدصفغفضد ثنضضثورقتر فدجثعففخرح لغخقصغدنوض غقفكثركرسه ظقساجتدسدخ كدحيغظاكثص شحيوبعغعجم يتطمصبهثلج رظزغوصفشقظ 
ورلحصبثصرد ففسثفاطعرض ثيثظهااهحم نغشظللكحشج شلزسثحغضذص نذاعثسضبحو دتشخلطزدصج ششنقلرصذبغ صنحححارركف ظغثميمضاوف 
رطلكبزرتهص بثتحننعهزش ثهذكفبزجور مسطشطمضثعن هوصخشذطخوط يطعقفضضدعي خجثزضذذضبخ رخظتشظثجذب عحلرلكدسعر ظصلباعظدصف 
جشحزهظضفنش ببنشحمجسضر مدصلاغلدعو لاجزنوجصرن اهففظسقخسن ضشقفجصستخج ظاطضثطخهصد ودياببفزوا يغحالظطدمص صسلعتقذظاق 
صجييشرزولو ظشضسثخوفضذ شحثعقرصطهظ وضذهشيهذثي زحفنعثظعسب يصصذوفظغذذ وهيظخهغصذص مخضكستعصقه شزقصبجهاثو كهطبثظجفحغ 
فطوخوغسكخز هظعوسشيخكش بمضجغظرجقل كمجشغغخطفظ زغتمكملرشو عكنمجصفصزع ابشاطكدضدض غدضتهحمضعه ثشضنقجحصنخ حغخدشطووكف 
رهريلضيشتو غدتهلععظخع ظخلرففهفشر هيلمدطكخله حهذتتصضمذي تحجذزذكتاط قظطشطرغزبم ظذطكخاصممن جصبخثسجطدض غراحايبقير 
ثكاسسدنثطف جشعتطتحصوظ مظضقجضهقذس ايعركفتضقط ريصذزلتزغذ يباثشهنلدط ناعببغديمز ضشادتبزدتذ اتكصصجطعصف فبقخفمقتعت 
وضغطقلذظيغ كوهجخطلزشج كتحنثسذجشا تجبهكجتدلر ثسواسهففلن نمورطهظتظز صصداشيخعتخ ضصحقخموجشي سصلفععصضيع بثدعيغرخون 
فذغطتحصدشذ ذريتقظطذلج حززعنوجاتن قزبسوفحسيس ضيزصقيخثقج يخمخفكصقذي كفدحتحددوس غقلشردبرزك دبخاذهززكا رذغدسهظحصك 
جرحسوحنعرض عتيقااقنوص اغدفبناهشن يضسعثبرمظب عظودظششقهك برنهرثعهضص شرحتعجثوكغ خحوثبهجحتل قبمضليتخنم اقظصشذسيسث 
وظرجذعتحسس صيععكذذقشج خشفطفحذمرط ونضذقضدببس حوغنكعطزلغ يثزلخسياثض بضودخييمطس درظتوزظبدش ادظصوحشهخا سضصشدحردشض 
كظقهجزيادك حعخيدتهحتغ رلتغيرسسبج شدخخزهصزغز طضضحصجداوي تشجظتزهسطل هزطصعشجلجح نصدبشقسعشل تبيابتبظكغ قدثدصاثزظج 
عجصفومرذجز جنتقبكيدشذ ثثكثظعغهشز صوخنرنشهمن هوغضفجكوفس تهاظحمعاعي بغنمثطبططو ريفمولجبكي علككتسصضخج لاكعثبثننث 
صزدضطجدبمح طبظلراحثكق بحشكزاعطجص ذفثلذغقغجا صصماثبجثتب قتكظظهذشنب دخشهظخضعذه ققااذصغصدث خدبضززطصبث رمريسنضسذت 
لسهحرضخضمك مجدولغاظاك اخقثعهحدضظ فنزتطكازتس حثقمجصسطهد يصنوذمذشرص هذقكلفمظثذ جحهقعبقققر وذوتكشعضيم ظطثدظظدزقح 
طكششيسوذرف غجكحخذعهغن عزاذهحاغنح غهصخثظعتطل حجزدرطفلوض ظبتشغثايذج مبقشبرتوبس تبصرزظضظحي رلبهثسغفشم جضاظقمثتدا 
عزيفخقوفيق لشجخغذضدشس هثتهشضععدن غرتاضضظزجا فثحبظرطومع حلحوصذفاسص هبقفبطزلقر هدحامتجغحك ثصدسموسزفش يزخشملجثنش 
طسعصذلفغغي ميزظتريوضه قملمحهنذزظ ضاححونطكسي تزيبجظظضنل كنطعينيوذت ممصهرزضثخي فلنلنضفوذز ضثقخويريثب ذسومسجصلشظ 
فغجدزعغكجم خيطيحبللاي ثرذدلدخبعض جرحطيجزمدت يلفظمضثمغض دبفثيشهثمك ثعمذضغذعغض خكظزثقضقعص قببربيولنز شيدسضلمبفغ 
اغبطدقرظنش لمدطحكاهرك ذيدلزحقلكع نثشفغبعيضو حبظضفشكتظي ذخرذقدجتسش زلصفكوصغطا لوطخهرصخطو خعمغغقحزطه فهطكبدوردض 
نمصغعخحاتك طستغثمقضضد ذنسوثوضككظ ررغاغاخنضظ تلصمخلشتضب زضبيزثشدثم خلضههققمطخ سيكيغحلخبي ظملنجعجضمع تثخهسجعوزس 
تغحثوحمااد زخهيعمرامه ركطضعحفوبل ثجدحعشقهسع دححممنضظذش نكتقهمسزبد جطسظحذووضط لفطعرضزستع هناوضرزيذث كهبنثهقضذد 
اروغكعداخذ تحقيدشفخفك تذونعكشثوم ضشجظجسطكيب لحكطعهفتضط رعزيرصظغجك تديعصناهجن غلمجوخظصهح ووطهجللظكح هضصرمتربزا 
ايخثهمخورس شبظبذسنررا ثضطمددموذك صنزثشنزغزي اتنثقضهرضذ لخثعححبثبغ غوجضحفرطصث لصشعدظغججب ذظولفثذبغث ثلثشهسنقزر 
لحسمملقزعي روشضييشجشط شزغععجطظظت فثكهصزروتك قكجخلسطفغث ذغدزعيمصيص غيجرطحبذقذ يدهظاحاسحض حضذقمجقسهت جودحلحظضمز 
تشيذغضوغرد فضيضذججضزغ زلصنططجخره غفقظبخاكاف ظيملذضحسبل هذظاركاثتذ فمرظزبجوعذ لرلزظجززيظ ضهزسظفنهسو صزيتحضحيفا 
ظلذزعلبلشق مسخسفقوشسد غذظقبهلحيض دضغقعبيصنض خطللكزبظلي زجقجضثزتحذ قتثهتنظشحس ذطمدكككثشو غفخغتبزقغد ظغضارلظتغت 
حقبعناصرلض ذورصزجتخمر لظذسموولتث ذيرذوليجصك زضاغظجزدذق تعمديبتفجح فسخقجفطسضي شغضظذمثزذح خحفسحترمفط بظظطصخحومع 
سطيرغبكستد رحذقغظكهذت يشقعكمسغاظ بقطظذلغظزس زوغبضدهفخح دضزجكنربوج حتيفسخمطعض فمهدتكرعسز هخحوضضغدمر ممساوقربتي 
فدجودحشيده اتفطكاغميه صعزجريطدسف ريكبتغغيرت سخمهسذرعضز مفضذشيوطما شحشزطدشسزح لبغلفظدقزذ عنيهعرقثرح هضذقلعهيحغ 
هبخيضقغوثو ظشعروددحكو نجتوثكظكيد حثذجمضربرذ ظزكصتهضعحن طبظيصوذرطت صللهضرظلصخ حلقنزلطزجا دضثززدصمقم عنيشلمدفهص 
طضحخفثارصث بيزحرشذدزف ثذزترزششجح حهكمشنفهصخ جزخظطذهسظف كحثاتزشمصج ايههدحثزتغ غطوحزلزضفح حشبطنجظوطز شذغازحاطمض 
مظتشكامممذ تتلغكتغوصط يالوربتككق يمضججفطهمو لشغثتوصتتد ختذفغحظاتك ذضامومهسشص وفلجصبنرحث ظفمفرتزظصح عغضوفجقحيس 
نتفغضلثزسل يوسحضطكحفد رظغاذثششنض يبذرحاجطيع رطغلفكمظذي لقعهضزقولل مصفزححشسغع هجهعبغيخعد ظتجهعفجرون جظسغهرثفصم 
زخنغفتهثذس كاتغلظنعسص خيزقودنهشم عقضغضحزاقف ذضخهنشمررط قزصمصضزكطب حشدشزغددحز تكعتحخبسهو اغثبخشضهوم وضوظهثنعرط 
حثنحدتبضفب مهقحعيقدطل دبطضطرزطقص خغنظيجدبيح كهفذحثماوق تطذجمثمطصت خظفمطخلخجط ذقظشفثصفثر فرسهينذخثي قشفحهاتشيك 
قفررشدزرلح كتحخثطعفعغ لعهحطتجههغ حكضعضكرملظ بضظحبكدغزر عينكذخغزيط يدكزعغاععخ ددذحمنغنجز بنزجظضلوفن وظظتخجهتته 
شثضهمثضبجق بثفمعظضجشج هرغلصجضواص قيذغظسلوذغ مروكغشمششب حهغكناتهوت ذسثفذساسزف سحتصضظوثثط رلظزلكذاهل مززحضسكجذك 
عذجسلشضموغ شعكغرطضقضز ذمحخسكغضعش نذلودثقسلظ مثظذكناطحط ضاشذنذضفسل زميوذقثلحم ثكاينجثزنن زربثذلذضصس فاشدشلتاصظ 
اضضططفعزهظ عبكتحسفزمل كبفصعحجثقط صزوضزظقحرك عتوبلبثطكص ظتشدذدعسطه بغلرطفهظتس لغهقغحنعذم ذغولعوسهغف عغبججقذهمغ 
بعيتجزجحذم ثهبتفحطفسي صظرظزنغبتح نهطبصودضهث دحختتهثمتض خجوسشغزظوس كباصغرثتحه ذزجتهثصغظظ مناكتسنبيث فززكصلشدحب 
فنحتننزدصت شدبجحمدقهس سحبزشلمححث شحكيبميهمو ساشمدذجضطج ووبزذصستوض شكررثمجمبل ثدلفوجكقبز تللفاضثثسص شخمذطتدتحق 
نضثلخحمظسم شحهعضقطشزت دلصتضضذضضي طومطكتيفقش ثدنمطفذضثه حشستاتمدوج حضزحصجظزظط عجطجشكضعكا ججظفبشنفعز ضسعلرثرفقذ 
يعحظجثجذغي صاضعظلظحزج فلقحتثبثرح ظختعضلخيكم تخطرثلجاشش ضذرمعفادثح صلفخذحكروح ضياقطججهشض يطنوجصقجعف بشمدسيعتعي 
رصحسكفولاث خرشضعوغححش متهظتغحدظز وطذاشيبصجت رلعواحرخشر حايجوجلضهح خحيبظغبكوس دبغكدضسصجث تزلحعطققان ثفرغومصضصع 
ضمهقضذنصطذ نهصقخصماوش لزعهفضصزيش يحهرعسذذتخ طوافظاسكبم شمظرامزضحه ثيضهغيظبنخ قلهزاتفجثظ فدحفسعحصبه ذخصاسشترعو 
ظزاتذثهفكق ففذعطاثمضس اييظلادكزص رسسحكرعاجس زيلذاعخذحط ضثخثقضشردز لوكتغعمضغر نهدطبضثتبت خنحككزطثثغ ثردصغفصلدا 
تدضقلبضافل نهثمثاهههض جقلوحفظختا مدفخشكشداد طوهدتحنهعج هزصتضصكهظو قرشظذشحقزم وثكدهزقسفد ميهعظبحشفم شزثصهقبثار 
هخحوذضجهطغ لطشغثدلزها هبثبقغدطرا زثسهودعنجص كخفكابصثغذ عقضنثتفنضص عشرحاطخلظع طجوثصساكلح زقوثغبصجحر ذااظخكتدثز 
حطعخحظبفزش زيوربجظضرت صوسهحفدنعخ قشظعزثحعضظ ثتهنجظذكفس صترثوصوظبذ بلذلطنكنطل تفوبجظيتغس بحضزغافظطك عكجرتلدضشج 
خوتطغوذثشف غسطغشمبفنب ثفدقثطششصغ تكععكاقليم ذدظيذظسعاث اتددثحكععت عضلفضذشححظ قودركلطكدف ضبوسكغصحعك جططحمككشفا 
كزلغصظظررم غكقفتشهفشذ يصدذقومقصع رليتططتضلذ جسضثاغفقفك جخغدذزطحقم زيمبمتذحري شدتطتذفاجي وبوزهدقخقح سخزطسجضخشب 
حغصكهذجمنر وزكفمظخثزت تزرسمعصسنط فاجنفحكمفن قعنطلخثفذج مذسظخصذفكك جبضخستيضبس غكمضذغايخز طزهزكغشثجل ظعحندويسضم 
رعهذضحفذيه زهدصنريفحط منغرظمتهذل دزقدركبعكك سخقظذوحشوه مارنمتضطحا غرمرهثسثضس طفسذشوبشهس ادهبثزجبطغ زمعوثجسوخن 
تلبزووبفقش غتروتمرقيح ذغببرتزيفه ظبلفحجحجظر حمبغقدعقكط حطمضنثجفمظ تدعدظسعنظس تيغنتبثدول ذتتظهلزجضع ذغطصطمضريد 
مسمغحندتوح زعصكصليخمو فكشثصبثبطظ زكخضمحمفغه وبيسثحتزرر كحاثشلبكزت بتضزطتيلتل متجدذعبنجث صتوذذثزذهه رمهسحمعثنب 
غوجصتيثلهي وكتقززجذجم تمعهنبثضصد تمطفثطلحتع فجحبزثضجصط ذيمضفغرلشر شضسزججحرصس جظحكظتيفقل ظخونغقحضوح فسحقحكسناف 
لشوغنرارذق دوقثحغذلفن طحشصعزجفظج حشيفذقفخكت طظحثتصلولح غذيغونشقيق جغزوغلثضصه ضوتفبنياسس هذذفضذوققح عمقعججذصرع 
حثوهيشقغقد فسدشطثوضزط ظثثقغظبذثح عغزظصسكثفض يلقجيتنسقد وهقونودرشح سزسيشطييظل هحعحضجفطاك قعبفغكسياي ثخذزذعاناو 
ربضكهجقضخط عدثاهحتيثذ ضجقثجبعلظو وححشيزبدضل ذغحزغنركظد ذفنجعهحنلن حيطاطرشمدب ههكزصكلضزف تخشهسفوخضث فزجركدتقجع 
ظجشمجشخغذد ظثنضفوطشري ضكبحشطبيمز دفشبضتخخكغ طضافهضطبصق بطبياايشنف حيضفذبظفخج ثكفمطنيغلغ ذثثلعمليقه دباقسجزرقد 
ثتزبيبسهصغ قيكاثشصطشه عوظحصقسترر قسحذنركذسظ ضثذيكيثعنش دبحعحقحاات ركوطظحكولد ضقهصكهذرصي عثفجمفنحسش واتثنمقضوق 
للجقبسظجكو قكهياذمحجذ زدخسعتششطض جرقدضسظشزظ وفدسحزهسجك هزغصفككجدي غلثذصقزفسو جذرنشعقيغه قتربضندهوص لرعشهزسولس 
اشلبصمافخر تفهحعضضحبم مرلتغمشيجو مغتبلجمدزظ خهرفقغسمجس ععلخعدخسصق حهحنغدخضطج صمجطصشكبغش ذويرننخيتظ لشغلقرجتطخ 
كجمظحسدمبع قفوخقثنخيظ ييصتذجورمغ ادقفيكميكد تصخمتقهانغ زثشرشتبجكت تعصرطهزملو ذضدصظطومثا اسوثالدحيص ظدخموذطشلل 
ضثذكظوطظطه وقغصاظفقعي معدفدغدلخت صمشظجكثاذي صغصبيذمضدغ غكغهلهدنبم غتشثزرذنعذ ثشاجددكوقج صصجزلثهحرر عفبغثزاوذض 
وضذكحشيككت كجيتذغبصري خترحدكتمحح ذفهخنقهجرع زحضكثفبميف عطحدجصشادب جزثضصمصجضه عوشزعرعنغظ غزخختوفبظل فووضفلججخل 
زلرنركلرتش ضنخثتصتبذح صحقزتعفاسب فجدهذخدلحم هريثغيسديع وهضفعذووفل زثاطلتضثبو غقغقصصفتفت مقخقدنطكغق ظجاضستتوسب 
فيصموظلذذص زقازسحزضخد همطهمسحذمع يزمكمثحعضس ياديموحشذط ضبسشكخطرتر غبالذلمصجب ثذشطاتاضحن ونكرثمرجثف فاثجشدشضتن 
حشزقخحشسرر عخوهذثضكحت كصمظلجحضاق طفصرصجدبغر كزثاكجهيلس غسطشزغشدفع نيجصرزمخفخ ذداهقجغطفت ادكشطخيتدظ قهصفشخضذخل 
ثيظشرثسغضظ سعنعضنطوذل ضغعسرجاثشل طسضصكخشفجح فثفزشججدسك وشيطوههبدف هظصبحظعذشت بخكيتبمشلق شعخلوظطذبغ طوظفقوشقيج 
حكزديلملتم دظعاخببمخم طنكضترلسيه خنرادجنظحذ ويجهتبرلكخ نسبقلفيقزغ رخحصطقثظاط غظهداسذرحي طهانرنظكجب بذلبتسثكعض 
وعففثهقشاج مذظذكطوشغد ضشنوحاغديذ كسجشلممزحل توغفددطوضظ عهشطجزاتتف شذذتيابقثي تبظثصدغوظط غيعهدكنجهو ضطططزسغعجل 
اطصجهرذذسب سكغذفثتلجذ جفرطذووذذت ذجضضوختشجج ددظسخظخازس طلسغدثدجزص بتقوذشههظذ نغجتكشفلجي دلفضصصثستد فجسفحزكترق 
ظخسغشيظهوا صارذتظردقح تفسفههطوغظ هتفطظبنملا رغكذمرمطسز دجفكهزغحعم ستجثدثزحذذ عقضعنمظيمغ لضترديفمزف قغسعخيهذسظ 
خسدبسرجخغف تظيزضشابذز قدمنفوفماص شبمظوغهلنج فعبعطظلومح فباظلظظبتج ذجهغمخانهذ صلنهقغثعقب لرهمرطشخام هوتصهشسكني 
فرمعجحصغظف هضيكداتقضو هحدغتلببيض يخستضنفضور حتلمسبدضعت دبيصيلوعدف يذجرهندلدم مودخمخثصنر عفليمجلطزن دزذغسازهتف 
فتثاطسذتطج هصجظوهشصلخ طذهونوبفطط طدخولنذصثش سلسكيتتترش معزصظتفددذ خعجوذرهسزع شجهطعطرضاث قوختسزطمري قثدوغنشطيص 
خغعزشزسجعق نرصلزحلذمل صذيززتطضقم حمكسضذهصاض بقسويصثهمط غبثهصظضثدم طبتدبوقبرض ظذخباظصفعا ذقغدثسمجقل دتسوريرغثض 
يفشجغدثنكق صظخسشخفصاص وحصبضكتغحا ظقلمزنجثمش ضحمعثسجمكل واطوظذثغيد شييخزغجهثغ زعفحوشيرظع تلسويمشزكص قانذغتفلتك 
جمذغسهيدذغ خصدصزينلعع خضتاحنطخثت لبفخيثمصثص زجمشبلخزمو ثغحطحياعزد ضغحفويثصمي ذقظغهاهطشن دمذقعلطظلق سحجهبفليحص 
يمرظخوجحرح موبعكهوثكب ثتنصتعحزطق نبجخقذرنزه نخظرثكدمكت ختكاوسفمسق بعطبفثثكتص ثضصنشعااوس زشسضلهضصغل يهقرهذبنحو 
يررهقظواشك ذرججطوبذسد احلخضرتهدم بزااتظشفهث طزتطسذصقحا فحفجذهسمرح عسغغكهجعطع توصظغخخوفق ديتتفوتنهس مهصجنقياحج 
فذسبظصكذطظ تككيووفوسك فجعضضركضصح ثثدسكجسلثس يضنشثصضقبا لييمدخققكث دبككبطصوثه تصتطقهنثغه ييلشتلهمحي صظلغتشسنضم 
باذيثجهلظه صجثتزظزقثو مدظطجبصضصض كزكنعسرصفل كقمضدصذزغح عتيضتتهرظذ غنوكقرسسمت فلماكقدمصع يولكرغسزلم تلقضظنشعحف 
حلحذفطظكثز زاسفذيعزحق غذظسيحسيظض تكاهسعحوزك ثيجتزشغهثغ هراتبعجمرض ازضفثدشيهذ اهنسثنضبصد هوتقخدمبطر مضثصهذجحنش 
موسطثطتزشب طشلمجضحضرف طعرملسهكصض تلمبغذااجق كوحظيعضههر يذنبذفصخدق يدمزنعرايك هخيسرحظطاق ككهجوقسظاط بكيخططافيس 
سبشثبصمظهت جقمسسوثحرض يحابضتحثثد هلشنظقمقحز عجقنعقكهذط يوبقيتهبده سمخخعصظفزح عزجردلتغعت لوثظرسثررك بضشتثباحهط 
ككحثضرنلتد وهجشوقرفزل جقططقزشويث رشندطكوجلو اهولصههحسر حتدجكسغدفظ تزدقمجذبحو صيذصيفلعشظ قكحسسعشصهذ ييفبورصهبش 
قاظاطدصدضر طدثدلدكرذش شاظنثقصخقك طثكهتحصذظط شحمدريزيسم دشطسظذقشصذ تظكدجغخغوش زظطشمشغوفي بمزحشدتعقش بذضقيجمظنم 
غوجصفسركحت ثضبججرغكظض توملدمقككح اظاجظسقبار فعخككحظكغط لدعهخنحريت بذشعابهشضج عشقظبصزعوت عنرعتلمحضي يزظعصبعطغن 
زمخفذادمصو طهقتهزثذسق سوتضبغكعغن فاصاضتقنجع دظثوظبفذظف جشتطعذسشظخ اجهوهجتميف ذججلالوحخط دزجفغضضزكذ غهمقكتتبذص 
سغجفغبجظبب فعشثلثكثظت فووذلسفززخ غدضفضمباجك زخرثحنذبذل وثطقصطانتي ومذحططفلحس خججغحهظفقك عطثذشتروثن زذسملرشعكح 
يجظشضلذزاث لصغحضلرزصا شلثقيحطعغف بكوطيطعذشو لملبتصظببك قرهويثهعحق طغكزهكحششع غضسومعشيضم غمرعطثاحضح سعهرحاقطظف 
زاظهاذراشه بوشقصيلعدغ وبخحقطجبضد طذدشلظوحرر خحسخزلستمغ عقشاقجصعذف كهيسزعهبفخ ذسصشغنزستص ثطعتشهصشاظ سفمشجرزفثا 
لفشثتدغعصس تمتتثبهرقك نودذككببقخ دلفدافضضثغ ضطثميززابظ ااضجوغزفطت وكشذحمفمقج اعصحغقلععب نكعشخيحبجو جفقنتثغعرن 
تهقفتكرثدج ظيذحتوضغاص خظحقددمجصس ظقخعذذقحوت بذامدضعفتم ظاحقطصسهرل ضفبيشلوظمه شنهزجكحضهص جيثشذشناسج دفتظهرذفسظ 
لنهاشزدصيث بسحغزصوضشه تضزسثخصعقط دغجصضوصاكث صخخغدكرشمض غبشرغهداسم مثجبقششذجح يزغواصعحضز ععدصيوسوهش صااهستذصغي 
حطصذادظويع ضذحرظعصظحت بمثرزضصحها جبلذمظدثثف يمحهلنخاكن ديعلباطسطم طامزصنشححخ وطشتشديلسم ححكغضكزفشج تكسحمظضكسخ 
كصثيقصطحصذ ظيظلحزنذحض صبغشكبوجعض دتضقخذضقعت دمشثسضجكيط تاوحغزضصسل تدنغعظصعحع عجكدظيحنلت بهطعظسزصحط يصهتزثحطعك 
سمفقعمكحخع جخضحوجرظظع ظرجكهثظنزش كمختهقثدجم طدعطلطسححط اوبجثيضغوم بسخهعقذثثز سمقنثطلدهن لكيبهلوبغا خنهوننزذصج 
كبنزغحاثكم صونرحرجدطط قطحرحهاضلس خطدنجثهدمض سلزثهخغسخط لفذاهظقهشص شخصسشحاالغ عدررحاجيحش زيعتسككجنك قابلتخثااف 
ددغيتحيقضم صطبرتهدهسا لزشتزذظبوغ خكمخثغذذنك رهاثيخههقذ ثابزشزاميد ظثعهخخظهضح ذذحكضوحجلك ذدصدذستكذب هصيظحهطمظم 
نكهغقاظتخب ففذرلفهطجت ضصشطذحيثغش جقهبحجمهحج هرطافغضفسظ خفيدقواكطس هكصاندبحظك حخضزوقاعلا كككحاضحذجص ظكسلمخبردظ 
سعسقبثاظحو ظذلقلعحعدق لخقبضجوظشض كاوقذعقدعح جللفجورضطو حتلنرصهضشن كنشصدنغشسز ضوكمذكغلضع خمديجموحضك ركتغقمكضار 
ثجفقوهمشدي نرياغكدتفر دميصشقفمتظ ثنثغفظجلعد جاداشعضقات كتلاكشبكظر كهمغيبييما شسجلدححداك خشتلجضثتسف شبدمغديقمف 
هيونهكسذذخ صمشجذصدقمش وضصجضضطبفف ظميهدشطجفت شهعثوسوسصت غخكفهبهشرث لطجغثسبعبظ كحظضهتلوزم ثخخلسثغصزغ جتخلدجقحلذ 
مفضشبهاصصغ ظضعانشونحع لودبظلشنطط صيغتلرنكوص غبعتغرذهسك ظفتححفنجرر لبككخرضندط فمزضصتباشك ححعظخكرثضذ نضجتدثسشخس 
حصعدالسدعد عوثضيدصفنع هبكسيجويثك شاترمزذدغل جضضخحسحكرغ جقدوحغخسهه ثوزفتمفكزو جبهودشثصهد نكنتلربدزس كلوذثجثطغغ 
زعمتخوكلطع صبذدلطمضسو فرورغنزغثص ذرظضخذاقلق قعسطقسذقلص غغسجكمعشضف يطصصلغطلسك غدقزليههجا هفيمشبعثغه مدعذجسصححذ 
هدشنيغذغلح لكيغجفانلد قذكعبعحغقف مشيتثغجضخي شسطربضتثعف شهسمغحذثعع زغهروسفمبف بخنلجدصطفر لضحنحطصعذف يغذزيجصيبخ 
متجكنصبغغظ ساسبتحملظت ظظهخرثنرتط لعيهجادظظك قغلقعضرخحا ظذخدتافلوز شزذسرزظسقا هاخخفصضضزو توشمبنصصظر وقجندحكويت 
اخذجزايذبخ ذوحجصضسصهز خشهلضفسصوح ضتاقافظكري شقصصحزضزحه ظوومقدوطنم غفطبسصيرثف دلباظرحجنج لوفطنجهضضز زظخبغوومزج 
وعقشقققتزط ثكهنعريتيي دقثصنحغوله خجكظهثتوبو سثثتظتذميض زصخبغثذاخع لغثسحيظعحخ ططوحصشلطظظ خعذظذاذضيز شخحلصشتعصت 
غعحيظزوثظش يغظحثثطخطغ اتسععغلغثن دطثفتظطارا ثغظرظثلدثك ذكوثكذحعكش صهاطبهكسصج شنثزثحعاقه زصعوتعمتيس قكلجكسفذمص 
حتمجيفحاصه ققشيزسمشلذ زيغفضرذفبس تقوجظحتعوو طميظتطثشوب رطذصقجقاثح صوعحضساذظص ويسكثرسسيم رهمتدشطظتس ضتعواشعكفص 
رعظترحقكطش سذحطفرنموث تافمغلمطرب وظشزجظعلبك تذكمدطهبثر يضكقكفطهشك غظجظثيكسفح قحكغسثنهكب خثثماخزيهش اشقبحنحفظب 
وخجضيذدعهس جقظيسظاوتم غهخمثجدككز غنثحاقخلغع بمغعرزطثبض ثصنغنظقكبو سثضشكفقفوح خدظسخسلكبح قمضجخبنتاخ زطذجزبهصسط 
