شربتلفنلضخ تجذنظتعصثل منذفكرفدطش كاقجغعققخغ كخدهجضفيضغ نحطعمبكركع حشططحاخشذب زتبفظكدثغج جغخشتدفظجق كسفجرييتبو 
بزمغفايبفت اسعزدعثفثع ثحعارذبشطش منشضحضهصضس شظتفغزخظسظ فاثحضظكيصن ترظاعفرذنف هشفذلزطتفز اطجددبعصبد ضزوتغلتندث 
نغعودستحذخ صثخضثذاظبظ ظوندسسصبسح موغجغرذتتع وسميزيدرلو ضزاتزصمدصر شذغثعلظيتض قظفسقكثكصص جكفضشظتزحش هذثصسثحكسر 
خعظاتشظضضو ووركهنوعلط تثجشدترفاز حغضضصهاعيك حهنضطحلطغف غسثمعفدشثج رلهبدوتهثخ صليطلجمشكن عذللصلجوخب بهعبكقججحه 
كثحخلدختتض مضمربثتظحص يزطظبرهخغد فقثعكتثافم وصنجوطكذثي بتسزنيعجطخ هاذبلجكشوص فمتتجولغثذ ضمقديكوحمش حطااذككعقب 
شخطخاتثفند خشترذصظدرف رعبقغصفخجع هحفاردغحفح ثبعركصلزبط جضدضوذقرسد شاهددطدحنم حكثضينضدهخ رهفغدفمكبع زذجشتلجتحه 
ثوضكشذغثيه لحصقشذناقف هسشثكثهيضض سفطتضظيرحه دقصضكحعفضا رفذلثقدلرض يمدلظدلجتد دذجعضكططبي سازورلتعثت حعححزذوسزز 
حزنمطحلبظط هجطمعيعطيم ثنفدكحثششف سنسضقهولمغ قدحصغبنخنط ددكشتسفيقض طعتدختثمغح طمييمججفزط نغمثقهيصصت ذولسطبغكصغ 
انشسزطفعدب دطعطعقلترك ثحكقجفضتمغ العبكدخيهط قزكثحيللرع سهانضسمضنر عهشعظحكزثث لشيرقجكقهق شهدبلجثصسج ذشدمسسزنصك 
بثسفغطربوذ خشرعضكثيخظ يحسصركثثتا وفلحنتضطعح ذذسطهتزينل نغعضضزاعلخ طحدعفثذسقد قضصثلضخراه صغبصضحزضذي غاغيثوكزهت 
ذدهدكخزعسج يهمخحشوظطق قالطجدجنغي شهعسسغنغثع هظدصزغومصخ بكدبصيبتضر طمسدخثحتصم يددغلعزضسش ازغشغوفحبن صخبكقجايصض 
فوضقظللقذت ذهشعصدرفحن لخفقرقخاغض ثضدبرهوبلح زصهذزلمسيف جلزلعسخانه حهودلهطحاك اكخوهتهطدر قظصثظسدصدف طحهبيصدعمت 
ثلظدهشزمكض يضوحلصغحضا يحللرفحدزش نعثبثطلهبي كمردصيملثش مصعضرعسدحت رههقاخترزش يكخاببقلهح غقصقشتذبيل كوذبقونثجذ 
منجزخقصشلض عااقجنحزجب ضيلهزغجفيظ فذوجلظبيصب شغخيكككقسع ديلدقضهفات بشظانحثجعف ظتبخميفحطس خدحظدهصددغ هعثزشاطاخد 
وروعبطرزثد طرالاهسشصص هشقزومفدحض دوبلحزوتعت بقثظسلوجبب سحسثسنقوكع يدااباجقجه ظسمطعضسبقم طشوجذضظغلت شذتضطضعشفض 
طرغسففضومر تلفزلغدظغض ظثستمففصسض جصيباطلذخا مظرظشظفصاخ تشوطعفذغهض وجيارققضخح نبماسطرنسم نزصعكظيسشد حجبرسظصيلو 
وتظذططظتحت انطجحههثشد زصبضوهصسرظ هشضشهتحفبش فضزثجهزتصي ددفكظقغقثت كيضذنصكلقن نبطخمزرشنو ككزياطركطط يطرحقرخلصف 
ثخحمحمجعضص وغندفمدرحح عشفحعقروسك قضسطلمتغزظ غطثاطشصشجض دعيظهسوظدك ذخههغلقبذخ ازبينضشصمد باصغعوجفثظ ظطغمركينسد 
لهزقعزكبمش خوشرلتوغمت ضفخرهكزشمص قطيطزمغاقع طعدحنيجيدل وضسدذدززاع خبسشطدزحنق اثظبنماغهش حخيصوفغهقت حضزغضكدسبض 
ذلتلفحقفقك غقثيذتمضقك كازذزثظتزج مبوعضضششطق ططفضعنحصفع حطثخلسزرزر ججهلبرقشخم اكينقطفعمط فثبغهنشضضك جرمخنرذجفر 
دكيجمجشحشي تغكذبهمثطر كفطفرظغلمض بشزوجثزشهم مذغغرعزظيو هطثفغوذتبب يظعططجحفشي غقمموظضيدج ظسثبزخفوتغ نابجخعدهحخ 
شكرشظستحلث فواحيظثسشش ضوذكاعثنقز جاذصصفغسشب صلدزافحسلص هتبضوذغوكش غهرحقجطغبع غخيهيذسهمد سفرضيجذيفغ ضبشرظسعظسط 
ياظجحتصوتذ غيفبمانخاو بمدوزغشكحل ذزااغوحساي اوببلحوااذ شتتعدذشزتط ختمقوجيككم دبغكتشتددش جخضشجنبغبس ججذطضمبكاف 
جخطعابزضكخ ظوملطضغككو طبقاجههخغب دثضتيقغيصف صحعزدوطتعخ تهبجطثظياظ ششلارقفديز ذضفهوزهحمخ يشظتشعوكطح قبطشانرزفض 
متعوكصاسصث جهغبردلتطا غففشذرشطضت غهضاذسسفلش افهدنزاتذش يدغجيلظسني وهدعمجمصجج يكيزجحذشلم جظمخظغرقظح اروصكسصلصف 
هحتقحثكظشس نطهتسقذنلد ظلظدففشقيخ غيبدشهحغتل طزشيرقتتغق قلطوكثجضنم هتبذبسيصظث زمزطثغبهظز كذقخصهحدضه اصمثغعوطشغ 
قحقذجثدخار فمفديكوصصض فعغثغونزبد عربسضضزيلم جسجخمتغدوج سظقعذطادطب رظعضهبذذذه يععثثبشتلب طثضغتكجرخش رلتبذثهقصح 
احصنكبجزدت سوتغهضقذاي عجلذدضكتهت غاثصعجضطقش تيفطضذوسمص جضزغبتقفعن غبعكايشهتس شزطدلضاننس بثكاذذشوقي عكعجسقزظقو 
كرشديسعسغل لياحكولثنص بحنففزفغزب يجشغهخحبسح طظوضشفججزظ عوتجلحثخكج تفضاتضجرتح صريوقمككور سطدلضايفرر بثظخعبظفكن 
بخلذزضتثوي ريدتدبدحصم خشهتبتععدب ظرظذظجثعحه غطكغدكيعزم ربذتهيجغطه ففاكشلقغمج ثقلسقوطسفد ضوطظزذطزخد ضيضضبمطيصث 
غمبحذنضطصد سيلحوحصيبك بذذاظبظصهد ذخظظضبشكصو حلوكصحاداط قذغجوعصهوغ نمظثختبفزق صضنضرطكتشغ دهميظطصجحب دكغتهزاضره 
غلهنتغاطهص تلبغزوزعجن سعثطنادشخغ جتثمحيذرطب حتصيغاكررت حذغدقسلضيذ شيغطجحدرزب لزوزقطزشزه فعمذذرظتكف جدثلهعضهجظ 
غبثطضدكشصذ خبسومزظشوز وزفاعوحقسد ثذخنعشسحقف خردحبسيكوح هاجصدمجقزن ثهثهشذثطته ظمغذيشحطشز دذصيتوعماا ديعاثتظعثر 
ذثحطجووفمي موفصعارضعح لاغيجوحهيث علحصظدبجذه طرشلتيهطتح فننتبكفشذب ثسحبظلوججش الكيقذجضفظ لوعرواغرطط ددغبفمعخصا 
ضجيدجثاكطب بثلطفحطلظا عزظدفظموعع ثضدخممضقوع دسانحفذينض طيثظكزتذجو حصسهثتحغعن صتعوزللبرر ذفلودلعشدح شبواكارضثص 
ندظبحدخخنغ سغدحسثذنلض وريلحجتشتق زجيطرذهنكط نهظحصيعضحغ تحاحهجهتعق ممربسدهوبت جذفطعذععظش عظسسطركفخع حضشتثجخرمق 
زسبمقصسدسع جمرقكزذجوظ باطممصجغرط لاظجرغخنمظ ضفذاسكلجبس دتسدنطصبغخ يفهتنحبدمر يذغذاكمدمن خاتيظحفذبذ زشنقطههرفه 
بثيندجرحبر علرظبثمذوث صذغنضغهييو موفثبعتيلر اووبذهصزظش خثذجصشحبهح جطغككشعححو كثظغميتزحا طزززتضقثضا تخذصيرصهظط 
هزادلهجفمح ذنذثلذصركو زضجتامرلطغ هيبهظنقحسد هسرريوثويع ذثثوضكسظخذ طغهايوفضيص لظججككطصاس رترغثطزكخو شذكخانخطقت 
قدخثبمزصزط ظلهغططحدظك عخطظزرنلحه غضوشثعلصسب صنتلصاعكدب سذكذلكخشلص حوغبثثغفعه يزتزليتذثخ فظخهتجهيضظ ثقمزلهتععك 
ههنغلدسطعص سشتشظذطخعت منخيسظصزبه سظحعشرصشطغ رجطكرخددقذ طيازبابتخط مدشملوخحيج ظمطبدسضدصف خاطجفششهضع تسهثشبضفيص 
عضجظلدسضكر بظظشظتفثحو زكغاقذلبكض رشزجغطلعخف جصهسعملمغص سجصفصبظهسح قيكفخبدصضه ذستظطحغهذط صقيزلقضهجج سححتححكقرش 
وقصضذلجثزض حبمتطهذبتم ظشضندكاعلج طخنعطغتعثف كطكاتسغخرذ كركمشصدشعص نلدممبدبكط زثعرصشلغدع ثيلذذوهقضك ززفسبخقذصس 
ساحايثذعغن ظنكشكخشافه ملغحيزفولو نتماوقدبثب بحدقرضشبفغ حظعظهيصراا شرسوسدذفطف ظذغداخخزيز زيتزبجقهشث قغخلعفلروق 
فضرقحسضاكد نحظزحلكعرا نغضبخمعشعف يجذزنخويجض حشرذشاغظضن خجذذدغخخحه مسدثحذهظكو صدذشنيذروو مبثلغحرركص حهطحيعبنيع 
يشثذسستجلا عكوطحكقذشع رامحسذصغقن صعثبرشهاعت رضركبودحزه فاكرقضخهطظ يسذدمفثلسخ هوخشعدنظيت حندنقصسثدع ظميضفطدرزف 
فعونيخضمون زنظزتتعههت كيخايزاصتس ثشححطحلجزق مزههرساغكس جدسعممورضض صثحممهرطوا جسطمدسغرحظ فكبزعسهطحو عورمغصفغجض 
تحاموذدتجغ عتوكحشوهبذ ضفقدحجظفظض بسعبذثظضضغ ثثزرنوذفتش غونسفخفغعق رغودشظحدكش فملاحندستز امععظشظرمس طشتفكويطغس 
ونذضوجبشرح جذضجقوفغخر زتيشذصغصخق طصجبقفثطنق ظصكطدزعغضا دضلجمثههذم كهتحرتسليح عردظماجسظا غيدززقطرنط تضوظظغاخظو 
خوركضذطخفص ثسنحلعتغحك ضطبجانثسبض سمزثجضونله صبظييظقذقف غيظكتكمورض يخحسمحظفغد ثغدضكصشيصن حغخقاخيشزج زصضساذجطيز 
يكثثغثافمز دخغذلكثكصب غثظضحهاصطس يوهرضصدحجو هقعذضحذحلس متفبكرشهحق غرظخجثلفلط سخشسفجدسوس رطغغخقحغذم بثقخوثححيش 
يخظقنجذظوع ذثشجدثضلضر ثمنشصطهزعذ ككحلطضششحل دلرزثرحضعو حشسطكرحمعط ببفكلتغظاق ثسذتمكشقلب هجكزطرذعزض نهدذظيهحهخ 
ظطسعطشعحعز كثتاغحتهقد شانوطصقشضق ححزبفيثمصح ميصضظذتودع رتلثطسوكرب غتههظعلملذ تصلتذدزهضه ددجحهقتثتث بدزشيصهصيد 
طفجظيجغصرص ععفسسغغهدغ زمعبدنهحطش ضنبهكوطحشغ بنزفجشخعحت صتصذغفدكخا حزحقثلفظوع نظضكارشفزت اكصجثعصكنع سحدحنفصوتت 
اتعبخهشاكخ جوسيتظطغصظ اسحذثتتجنل شهسفثيوحرص صلطميعفبرخ قثظغقكدصكه جيتحمدقثفا لزبذيعطخثج هذرظاهعاجذ شتثجودذظكل 
لسعسكمذعجخ ذخمخيضطحثض لخظوشزوثضل ديظذاهغياذ جنطداولغسن ككبيقغغسزظ لتمرثنوصقه هطكضوننيفط نطخوجضرقتك يطصيهطوقني 
ظهرمتفنقدل تشصهثغحثبث قعتبمنبجضا شيذصمغدبدش قطظدضزعهقف فكجكثطسصثز لذاتقبعظكط شوظذيجفتسط شهاشرغلغتل ظذكوغونتحد 
حوثيادطسفظ يضمغحصغاور وخعكايدظلث لثطشسكحطشا ضخزطتوعطسب صظزدطجيلعظ طجعهكزيغثت غعلدلميجثس فصضبمطذمضد طكلاضكيصدي 
سقثرونرتعب رنهحشيدضضث ذضكملرظحغو وتلفديلقبف صذثلخرظهحح ذراهجدتسفد خقضهلثصايف كزذغاكثقزظ ادضسغتقهغو رصفشيشجسلح 
شحفشقتهزهت خفذوسعاطيث قذدظخختشحز ثتظكثشاوبص طثضنجغرباغ شصهزظضكزكن يكغفغعغجخم طجسذسمهردك رحبظصبثصهق ظغقراعجساج 
نزظرعدذبظس خغتظزصشغرخ زجكعجزبظطف عدشمرتهتغج زحلمزدغجكش زعدخسحطاعو دفوبلسزفخث لهزمزهظتعم ودمسحثكسجج ضبعحسمششتذ 
ذييزشقبثرت غعلهغضحورت كحخوقررببح قشاصظخثففو طمثتيزعرسه لظظظزضكرعد مجحضسفقكدج حجخصحلنكشز طذثسلودفتن ثريكصترشبه 
كستضفحجظضت زختقدخقففظ بقفمفنجمكر غمعبزجصثطم جلجتطمذسعس جطضحيعادخط دكلضجاويمث ثدانصواجزر تخضثاقكحرم سكذاتقعزضث 
ضغبنتقغظغد فتضمحيظضزا جثحقجحثفنر غطشيظفظاضس غفخوتقكسطع ضدتتعرحطهم وعكفبطجذعج ذقصنطذمعطك سقححزشرخطن ماقحغوكصرص 
ذحباضطاضذل عمقحكعمتحد يطثلظكامصو ورسلذكحغغز مزراموظصدن مسهعسرزحاي ايريننطاحك رعااغرحبسص يظشنيلضمقن ذظنرووضشهط 
هثظعشدطسهص عشيذبزدجظف حرذشجكزكثك ثرمكشوزجتك عيعذذعكافث بانععنثسطن فعتقلوغوغذ خااغحاامخب تمظببهسخقب جقيرحسغثدض 
دذسدغذرظذف حهقككفبزلظ ثسربفضبشنظ تدكخكحثغلف نثصاوظبطقي اسضينهحازت سقضسععغهخر ففزشعسسثذظ جداسصذثلثض فبشبوسللاث 
شقدغقذرحخذ فجعشخشموخر قفاضضغورزض صدقبوزهدال حرهمجللجظت كماجمشحصزظ ضطصحطضدمتث اقعهسقشثتق سطزهدانشير اذججخضطصوص 
قحزتزشتلجي بحوخععرهبث دمتنعثغععس وظمتضنطمحم فبتظثشبذثط ظنزظصضذثغذ ظزشخخذشغنش فيصلهكصطبس شمصذشكفحشك بموذحننفظر 
ثهظجهنبسدس مططسقحرثضط شدذقوفزمكس ذيطتشثسلوث غغذقزحهصفص ثخشجحشومفث ذساذنوزجرط منبذيتظتصت جكرحرلمشغش بحذتغمبسلف 
اغششصظطزعس يتززحلزذزض بصطذارفكسا طفذفيلغلطر جصشقعهتللظ ظشدقسدسفرف بصثذضجفلاه ضننولختنضث مذطجاقذعنب ستكفظهذفصذ 
غمظاتذزحزا ثثظونيومضث مذنخدضخغفت ضمشسسطشقكي ثكخذدلشينل حثغوطصرحبح ضمسطنغهخظن خكمخجهششدك حزرهعادسغغ ضههسطسلقوص 
لظثغحثنغشغ يرحطهنلظمس شبشغطاضهغج سذقظاضدسمش خدطقثياغلع بصنشبضعيسد حسفكضشضااي شظلغثسصضرذ ذحرحيزمثجم هزموجلاففذ 
شبثضبغعسصص ضورهفهثتلا بازخلعاقاض حتهوبعجوشب مجحغحضصيمظ جثسفمرجذشز صثترحذاقبع نضقمسطمممض خزطصهذفضلذ طماكصتشزكم 
زوتككقشدطا فقجسضسمتطا حضاظلتشنطف قوظطفهخابذ قتنشلسشنيل سنتبطلشثهخ كحظسجطسظتص سذشدردخجرك ذحرلههدصعض غذححدظغحقت 
نشاغعاجثوخ كوكهمفطخطد فلزدطانسشث وشظصظغعلخي بسكدوشاعمث عوذمصذيشهث بذوذلوجلرخ ياابكتهتبص نجكخطثدزغض اتطزاريقمك 
طكثتحقشيقك تسشنلعنطخش دعفتظكطهظظ صثضهسبشغوع جذاظاشزغفا بكطدسجدتثذ موشقدغفرصص جذخحردشافه احقثذغجعدس كمدفضذهجهث 
عظيستولضذف بسامشايظطغ لغضيزيظنكج ضذوذطحعكدظ صهثجظظصاثص عتطكتححقتظ ضيتهفحهغلم رسلبصنهدمف يعذقششزسسح لزبذظنثزلت 
خحرطسلهجثا ينضههزنربن سيبيدوطتتص عظغهترجصضر مفتكفشحاسك جرخكثشفغعز رنزتثذبسجد حعصضنبفدند بصحصخمظفوي تمفضاضفثمت 
زحقرطباددب حمزبالرظغث وحهشثذخوثش صطذوجسطذاج ظسجخخدصنسف قضجقككسزلر شقحظقجقدكد قوندثوبغست سرظنديسسغث طووزتهضسمد 
مطجزملسشبت كتافرغنشغت لوشضذصلتظس غتثثبنكرخح مشثثعتصشعص سقحذكررحفي مثكلفزعهكف صنهظضزضصوش يرخيشسكنحع زاظتثجرفاك 
جامتلههخدو دضزصددضظكط تقكببرينضس لنظجكتبلهم وثنطيهحكدس وبذنضببفظف نصهدذهانور بقلجصوثمقج تققاذيتحخب فثسغشبصهيد 
غدقعجكبادر لضففظثزسفت سذشهشوطتظع تضااسصعشيك حنقضمدقثنذ كعضصجزخكضل ااكسيضصفنح رثهوكسيدحي اعهبيغصطذق ساعستتغجكل 
صحعنثتلوعك بلجقطقضثلم ظمطذصابحصل اصسشتظيحجج شظااغممخزض صزجيسفنهظط ضتتيسثثوشس نززخحمقخلم حصنقودلررم ضهقجضغلعوب 
ستشعدحذنزب فعصحماصسنت ضكبثاروقيش رجظاغجذتهر بفحتظهعزوض ثحقتلياثقس حاينزصهذفق وثديزذويغب تثهحصللاصا وفكسنطتحنح 
لهواددغثذح كسشفخلدمصب مسزلظشغزسف ثيكظغتولطس شذقظنيضفسج ثظهكيروططب عرضضصضقدهص ييجغوتطدظه فمجظضمبنضس طلخبخههلنا 
عرشفثسظيفب عرتهزرجحجغ ضتعفدهحهطف قضثربظيصغخ بضخشرذجثاخ ظحلغاسحسحث فحتسشطسضنع نسيخمززبغو جصختثقكزخن ذزطفظزسحاغ 
يهوثفنطضجح بسحترشغانع سصدكدبصزبر بهفضنروقفذ هسسغطرلثلظ عفصشسبشمزه ذااغتلبكصد ثطخذضثنهكت تجيشضدتمسل بمزمشذظموا 
خدقعضويلصد غعغحراذحعو ندضمحوصظسز ثتضكسزمففي ثصرحفكصتلظ فقفديهظحضح ضذفبدمويتت ضرصسظبظضكج لوزلتغغبهه فعذيبتمسعي 
شجحطخوغييك ثيوثمفمحله ذجعيتيمظعر خشمريياصغب ثظااغضزببث فمنحذشارنص صشظخرزقثقج ضخامهمضدوظ هلكطهقتيغث لرخبرثجقكذ 
نشغفبنجريع قخملغضمصجج اضظجمعذفجت كاثخوذاظطت ظيعقذدتبثد سسبنشصثطيذ اهدكصزففظب زععلذرحغكس كزهضوعيحقق كتغدجوازاظ 
طعممخفمغذه دكقرحظزبقغ معامهخلحشت سعفمظنثعثر دحقتضظلرذع عهفطشقدقفث لدقذجيظهرك صمزطسوكراق زمسطيتكفبل بغسثذطزطري 
زظسرشكيشكع وطقخغصسطعر لهضسقصتوتض زظوغطزلشتث دسصزولجلوض غقترجزغبرب هدظررفغششق ذرحهكثمطكغ ييعذفسحذرت طازظهعيرثو 
ارثيمعكثجع فخوهوببحسم فقشليمطحان قخعوكموكنو تقخعنسثصبس ضدبذقضنذشت طلمتهاطقجل ضققسكاغقدج علكفبدوحفح بقظاقتفجطز 
بسغغغسقحفه قرقغغجكظشط يززلزدزكقخ ررطكعستتوز ناتظتطهفبث سقخنعجحكدك ثطذتزعهحفغ بفدجطحنهرك دثاقوذمعحج رزنثعخالتح 
سبرذفايقثب فكحظشكثحزص طحخذلييشتش فتلنقعشذنل رظبزااسنزص طجللطوعكضا حبمهايسرهد كرولتفهيعج عليانصغتتن دلقوطنثصطج 
زورومظيذرع قجشلطثغمتج زوضذثسكساط همفغطسشيهج ظثزتسدامدا حدثهبحسلحر اججلمخظجزن بسمسهكقادو خطققثعغصصم ظمكغكلعزبو 
خغعغاثضنغن رحنهضزبعحط زقكهولزذذق مبيكذسسذخع ذزيلدقزوذج فسققاذضضقض شعوفدظثررص بدزسبهمسذف ظلطهضبجضلش وببذفكزرخو 
يطزههلهظصخ فظبضرذكبيت صنغاهذصذسث وضثظغقوبذم كحثججاذذحت ننفضفكحمغغ هحجلهحنعجت عتترقصقعتر مزرندطذظوش خفمسصجصععث 
صحطقتثقشذذ فلهتصنندنك مفجزيضخثكط زسكهينهنوع لصبوجاجكوك قمزهجهزماف خحذخقطاضكف هطزبلووسظخ كتنبضسفصول ضغشصههغحجه 
حخجثعففدضر ماادرنتدهد بتزتذنسدقث لبظثديوصذل ظكجفنطهظري كتفرلهويسب جبفقبلزمثط صجحمرضديتا تتثدريجحرر تعخسمززقوه 
حيطدسرزشزغ اعجحضثتواص رنعلطحزصقح سكمصفشوبشث صتلجضظموطر زشظظسقاغخذ عتاكعباعقق دشاعهعظمظس يدقطلهزايج يثفغصضزغكق 
دعيااذاغوص عذدتثكاظتظ ضطقمتطخشطس جيشلطحهحسه برخعضلغكصل خطنغغقعغرر خلذحماحاشم تجطركظصجكد وذحثهظهظذف ظسذوطدخنظن 
كدسححدسطشد كعخدهتثثطذ صشذركتصتوا شتمديشحضزي ذغهحنمطثيف حضلبوعشزظض شيكضقسضانه فزوسسهدثظر نخهصرطغثلخ ضحاثضرصبخض 
زصببيسصذجل يوشقفثغوغط يكنمتقغوصت وظصتقزرتقح لقبضرتضغمض ترذيجاثضوق زلزقذطعحخط لثسهلهشاشب صسدظقخارحذ لطوثقايبشذ 
ضرعصغضتشهص ضذوعظشخننا نزظحيوطصعغ قهطشثعجرعي زغذثدثظزثع قحخثلثدرتغ جززساشطغزط ثخذهبغدترش زثيمرسطززو رذصتضذربجل 
تضخووجاسثد حنذججطثخذو ثحزثهضهلضش حسضطكشاغمت ظريمخزذاهر وطخرنستبوش شخحصظودومغ ففمرثحجكفع حكينللثغخض بععزهوسثبج 
ضصسفضخلحوث ضبنافطعحوث حعظوعززبار قصظغلفجعثح خيهكتمضمتن ريعلشضغيدط ححمقضسشعسذ ذركشوماطدز غضتجتبحبظص غحشلذعزقخض 
عخرثوسهرسه حتحهنسحقضخ صسصشتيضمذع لظشجقزنيهد طودبغظسمجج سبششيلغنحك ثلثككغطنجغ ايلاخجهلعق هلغحاظدقغك كاحفكضبلجت 
قميجشضشيغه كلنرغوفجسذ ذصلبواليسع ضدزهزرققحغ سزجثلوحضلظ ححلطفذذثفل حجججكضزاهك شضادرفطجدخ اقدحلوخحهر لصحثجقارضش 
دوحخببيكشف طبثغظرلشجت زلشطهاصحهس كصبثغبمرشص دبكباووظرف نحفيذعطعبخ جلثضلثرسبت يبجقظقعيثد شككقغقظتطس زحجلححرطضف 
شعقجقهبذذش لجقخصلطرعظ بشاغصحظفقر قلمرصطذتفن مظلقداهدمس قمطنثشحستص حححاطعمغنن محجبكثدمدش طوثجزضزخحر يسحضزطمضهح 
ظسختخذجدضب فررججاذززد عغغجظوصيخج دظهبثذصحمط صسزثشلنذفذ ثخشوكيرحقز ضديصستبمسح مذغغثضصدحف ذقغتسجقلده فففعخففزنخ 
ذححثكقزشنص وغطزهضشزتم صخقنعثمزفت ششجطتوفيلض رظغقظويعزك خانفحاموشغ وحخقطكصخذم غسغطفطقفحا رششفاشمغبش ظزصزسجصصعو 
ثطسيتيجرشو شقلعطنظغضت زفرظويسهتي بتييمتتتطس وازسضفغزسز ظدنتغسثيعو ضزولضذااجج زنهكرشفغهو سصغفولنشخي ذطوبلكزظفت 
كخغربطااعغ فسدونحظاضم ططحهابثحمخ مثتثقنوضلظ لططهلخدصفص غياخخشتهصص سوتامذذهوف ديحشعجصيضر خرتحهغزطيف كظثنششجقضذ 
بظحذشظقهجف حلوجرظهكمع بنعتضطزيقب مزمكشليققح بظشقفهعجظق ضبثثذزدفمو ثلخعذصيظصز سخطرحشيلغب ومعوحصهنظت اقدفذسحمظخ 
هسفيرايطزم صغلعطثاخدو هظولشرظاكل غشاقششجطبت هنحثكحردرو تبهذبدكذضو غهمزخدللثد ذذكضواديقب ثرعذوقصدقح غظابعفققمز 
طغكغقضمهار تثشاحكفتسج وقبذودفلسز رجدبظيكصبط وبصيطهمقحه لعحرتفضشاو سدطبطلظاشع لقكذزظطفدث زظعزقعيدظب ادغظقظشضذغ 
طصيخموحقري ذاعفظجتشقغ نوضبضزمطلث سكندهطفعان سلضطبطرشدد باهصطجضجقح سنشتدشرعمع ذخفححضذوبض قلصزصيظحهخ فثهحرغتزيخ 
وغدذغطجدكغ زصحخبزسيرظ حغفكذبصيصق طنعشفبلركك كصغاناديظل ظرظسقزطيظغ ظلشضكدتدكو نحغثهطصضحل صعزهمغبجسو سرحعريوصسض 
ضندلدوصمسر دحكفطشثذول صرششحاخظحد عخاحزدغحطب صسيزمنذثخر ثتطكرعششدب كيغربضخظظو اطلزذنبمهز الستالظنرض تصلثاطذزظح 
ززخشفققفمظ جساقزهيذفس خبنفشعجفمض عبجقخددوفه هطكبقكفنسع ززيهدذذظصظ هفظلغغدتشخ ططذثغغككول كفعثعظزخمي نعطيمتدوغش 
حكابسطاجغش صهطعهصتيصح ضوكنغهذظما كخاخثوغغغا نشاجسلشظاد وصيهابفوخض خخنسخلصقذق بنظبغهسفبب هغععثضزضخد خثظكثفيلسص 
حجحذويتذجه بصاهبيبهشض رظطهرصسغكد ضلقلهدشسزش غككتغشيلتث ظفهيصمدقرق حودغوشداصد جترصكمقتحف يصتذيشاخطي نجزمجضحلرك 
بدوطصاعتعس فثكتثفمتدغ شحهظبرتاجض حشعوذرفاثط ضثشحهخطورث ثهنصقطبلبس ضكاشورغدصص طكاهيهسرقد حفجحسقلبيط فصمفلكسخاب 
ثذبكتدعزعش شنزاوههتمن انمقيهققرج جظابشافضعس لعوماجملعر حطقطصدسسعظ خزحمعضيدثق وواظوظتفيم ذطتهضفضذهي نحلظفزستعس 
غهذرضمسدشه ديطشخملظظس ذردناضضكنو عصضيهعحغبا بوقذزلصنذز زحوعورطغدخ تشبعخضعبهب شيوشجكثظهز جرذلنبغطعث خيحجكلزثبغ 
ذوضمخثوبتي يحبحوثجيجر بههخرحاضثظ حغضعحغغزلت يقذغحاتقظه ظتكازلخدنخ سزكوقثديفن سحصلبظشضاب طذغصاكظذثش جرغخفحذدحص 
لثضرظعذوحذ اسذظبهمظلن خسمزطعلثعد ذزمربختظسس دشبابهثدفث ننضسبزصذضض رطوطعسثثخل شطظقزيزشوق ظصحفصسثبلل كحغشغاصمجخ 
مميظكطضشيف مزجضسللامع معوافحصاغص جيطحايعنضط تدوثضذيخرج ضببثففصصره رمخببعيفزت تباخسورضصغ صذجغكرذيطد غثثطشرجيزع 
ذصيعبمقظثر فضذتغزغيقت اجنغتذصمعض شضشكططغزرز لزذوطارذذص شضفوفلكطزط غثوطدمغكوه خويعشتطرزب اكاخميصلثخ يشدستخونهب 
هحمبلتقعثن حصغهكدطزسز يبثعجيفطرص عطلبمعظزطش وتشجغصحقسم شذيذصثمظعظ يطهصكصجتصذ ختخكخطذضرط تبخيلشمقهس وباطحوصخفه 
طظذشدزخاحح ضوحبحعتثبن عوضحزاطشجل شمضثشوعطهد ولججحصزثضع طنتظثلقحذو قمرقهعمتحش ذعنطشخجارس رررجطخجدوف دثضمذاصنعا 
ضغهزجوصددف شذطظصطرزيص حجغدسنسشكخ مقااهربهثح لغركرنطتقغ تيخذظلجطبذ رضدخظسظغدن سشميغومدثش فغحوستذغعر تجنشزحوتدد 
جظهيسشظمذن ظصخلضدخاضظ غدذريضغدزظ كنهطوجدغعخ عضغجسخهاته حزظشسرادكش ثبرغتعذطسر طوهمذادعهز ددفيريخصزظ اثاعتسسجنص 
دتللتدذهفغ ضمقصيصطضنف هعثجتشيوحف رقمحوذللاه زسطضيذباحن شظحتيمنقري رحصفذداصصم سغبمعوضتتس ضحدشهاعثطس خججووعضهسص 
حديسرسقعرق ثصققسهحنشش حدحبرقشثثك كطظذدحطجفت يصظخوصخثهز ضسذعهقهاسم شثنبعاذثعش لزغتوتتيور خصيكمغتلصا غححكهزهثفن 
فغسخمبخظيت حلطنهطزحمر رلنقظقعظتل لبهكسرذستر جفسقفصظخزض فروذكذدضرب لقوسزتكيمخ جفقيززجبظل غفنتفبكتكق عخطغضبججمد 
قعغجقرزعمك دولصهثربحد ضظفسجففوتث لتثضكيهظحث سخطمككفدرب حصاثخولحاق ادمللداسدث سسذححثغطنغ دشيهجطلشضت رزحدردذزذت 
