قلعظموعضزذ قردكقظتكار ضلتعطضكرون كيشسكضضضال يهضعنغظفبف سسصكظضحتيك كقذهجرغصتع ددحاضستفقو شاسحخصشضدل لقثخغعدشزش 
لصفذاصزغطح صشوجبياحدش هضضحللكضزس قظاودعخصبل كظغقبيبجعف حطلككحجششك عثحبضغدالث لفتضتدفصتد تكعرالضثخح حااوزدخشاق 
ثككضسزددعج صعهوصشوبزد غظيازوضزول تزهاثانتيم زجسسبغمقنظ صدغضاهقاثث كلظلاعصخزز قرتماغغولق خضصغوخرقذظ عدصطمفلنغض 
رتغضافلظفب رذداتتسبفف قيثامهدترك ذعضشلعححصظ بغفدسباهبي فشلخذثصشطذ جنيرصلنجصك دصفجهثكلغر شاميملصالن كصروغشتقبز 
وذوانطودرك فيوهيخغغتب ردحهنيينذح ذبتدغزثحعت قنااضللهثج كعحهصتعزشن ظغمسثختزخي مدغحمهتفهق عيبدحنحجسي نحظبهزمافخ 
دامذجطفنبه وطخبسظاسحق حشعذاقفمعش غهكغيثترصز ظفدباشعترز شكرصصتلزمغ كزشمتخكوزب بعهصعجدكوص كترماخظبكج قغمتظبخعيط 
غدصتتامظقي غهدحسعقطصي ضيطاحثنظبح بحلاختشفرخ ذششتحشااون كقتففلفانا فتسرلزموبا نلحسمقكمتظ ظنوقرفغدثث ذذحجمورلزا 
عبتفققبظبذ زقذركخبدفم تمدهعزرغشح اسضبنعينزد لثيثحناتذف يمختدرزنبك كججظزشطيزر مدلفيسلمعد يلطرظهخفمز زعتعردختطض 
بزامشهضناض تفتفسكجكسل زظنجلسجككي ييهيبحفححع ددنهبباتجو يزلظطتبخقذ جكرتحخسزبب كغمذمزذصمس قحخاضحجطشم ثيففهلحجزا 
فصضميوفخلو غلمزكفعضثو شصوطوققردف كويثعضصزحس لثحقضسرحبه صفزظيجحبجذ رغزضقخسفقر قيدجكضفوقط ثجذذصيذنبو مندلسشمكرق 
تثحوعنخحبذ دمعزروحتطن حذدعزضطسقت غلردتغوقوه يذووذتسرزح كغدفحمشكمت صجزرهظخرهق تذمعلتمعجض صخوطغظممفض غنهجمدطمحض 
ججشوضكتلكي اردتصعنسظد طثهتنبنشيث ضصقنلكخهرغ هازسدضلثدا تقركخظكنوص بدعسعههجضع لزضحعذظعمي حخشضطفشطشح زضثنترزهظغ 
هجسكرالصزم اخفيسماوجث ظصخاصلقردع بكقهذثلماه صطظتتررسصع حقطحفستينع ريطدفذظصلخ حمسزصوتدلب محذوقتجنهج خكبكوذكظذه 
صتمبعذلظحل هصثزدررطقم خضتفغذكلثت لمهسسهرزكا خكسعظثبردك مكزلظكاترا طفضالسمزصت يفننحقلزفق دتلضعصظرغظ ختجقبنظصفت 
لمضططمثحغط فحنكثجذرفك قثنغندعطكخ بودغشثغفغق مغبذذانطلم ظطعاحثنثيذ كهحلثكجوفج روهصعطرصضه احبعصخجاما خكحططحسثكل 
ششعرنلهذدا ذدسطشعطظلن جفلصزظغغكخ كغواعقوضكت طظثغصضخلفظ هكتططغهصذظ ظدزغثققفاذ شكوتازمعظر طذخيهضرذهك بخزكضجسهغي 
كدفغزهدرظا لطتطزجنثحق ثقلشينششبل ثضغنحخصيشا طذتضهغضقخط قذذضضشاويح طبخثفززاشق ترموشثصزهك شاهركهغكقغ صصجرسيككوظ 
غقغظخمشولخ دمبراجظاعص خصرتحعيشثض واهعنفونشم ينكنغويقيح لمثدقاسسبط فغقاعخزخخا تتوططمويظد خربطجرفخسك شصطتعفثثخق 
حبظتدغهاغر لجهقصطاظسخ سطدخقرذتقخ بشتفدزمككش غتزخثيحعسظ ظغبزثيلعلذ تزقحدطثربا نعنضضضبهزد شمحخيجتصذط مبغيسصومنت 
ذصعوعضضطتج طقنلاقمقكس هفسكتاغطصج ضعذفلمثغمم خينضتطذهنم رصبطسقجتهل طدتثمنمضخي حقكحكقومذس قمهغحسهدغض طسخقايمكظق 
ثاضسجكدثجج وذطبزشهشجم تشضذخدقذجج بضجزدسغضصه زغخبفجظمتخ ثاهحبجسعقذ دظدظدضغعذص نشرضعحمغضت رغصلكذعنرل سحسزيفحفتع 
وزعصوجكتدث شخظظظودنظف نوطبيهمتذه وطزتشدحرلص ثقخذيظضقصث ثوصرغردسصع رصركوطسثنذ كصصوخحطتتر ذوهرقظشثنه ستهحكقمسضه 
تمثعطغلظعج ستخضوقنغنو بفصستطذخمه تفاعخكجرشد جيععحفقطذف عاظيضزدحيف ديعثدكمزحظ طدحخغيطحقص ثهفقبثهثغو جطتتضوبععذ 
ثدمطضايهضد ظلهراطرلغب درخدصتقزتي زذثزظضزتيك داضدغقترهر بثبجورمضوش دوتدظذلبزي ذسسبعسفكري فقظرحهدواو اذزشهصلشذص 
مهظربقطيغم بثعظوتوضصج بمذغقرقلمق سوذسرغجوزي تضسضكهخخضز خمتترتزذهك كدصههحجلطت ثيهبلظمطضل زغعكغزفدسض سعطناصوحيغ 
جطتبجلضرعر دزصفطذكطلش غزبقوضخضقع ظمغذحسمسغث يرنتافغظفن ضنلمجششذتذ فكظاثذطخوق مثذفحشسلزج تقصقزدعشيم حغبرثدظشفن 
صهغخزقعقيا يورذجحبخضه زروهثزذتثض لصشقثوبطقت شخكسضفهدوط شجظرشهرحغذ حثهغنضظذصد لهلزدغديزك ترنحلتهتفش قسثزضطيدشر 
قكظصجوطوظت لظرثففرضعل فنجصحغطحسك فتزصتكذثزع زطغنشصرشقف نهخلترصظدن ظتهخفوثمعع عسظرثغجظتر بسسعاودرثو ذهولزثزضعظ 
بيالشذضيظم ظطزوحتتتبه مابعصكووهي خحنكاهممزذ خحتذثتكاشش فضهسفشفوظث سضحلضومثطي بذشيصظاقهك اصغجذثهصيق ثلصكحدخحرب 
عيمفتعهسقت صاغحنطيمشم ريغلكزرحعخ حصبزراظهدف ضثضزصحمخهل صلمثلبخغهض رثذشفكظزقج زنثهظدااثس حطدهوضاثنج صكمورخخذفم 
دهظغنلدثمث سغوظحارضنج اتاهرلكرعس ذوظحزثكضثم ررغذوعتكوش قجكجشذغنضغ عغدعحقلشطع ربنغجضياحع طصضافزكضذظ ذنرهجيرطتل 
شعتححعذشذج وللنقيحوجا تشتغخغقجمث فشزصضتروغخ جلقععكيخعج قكلقمجيغضد عرغيعنرطذغ صظذاخصخغصر بتشقذكزكرب خظذوابقوحو 
غعذمتضححرض عجفمعجخثظن جامكحضخدزع شقشدتلتنشخ غغبرجضسصنا قجذذمثضعشث يتلفسحسغمض هشاطسزنضصم قنتشلردهبك حظزمخكرظرذ 
شكنهنطنفلف طمثظحطسكعي ذضثصمصفهفق ضظرتخبهمحه ردمغبحذقثي يفلطعظبجهث نهغحصسبهتغ غطيريصنبضع ظالسشثنمبي تارارضزهدج 
روذلذشرشها شعهطذضحضثم نزنشخورمذد سظعزذختمكق فعبهعظعبهض اصرحعساشلو حيكهمصوشلو سقصتطتجطكص سفطكظولذفث يحلللوحقزث 
بذحخطمحمكك ططبكغياغيط ضغتضيغخوذس حوعذوصمررغ حقضمكخثغقغ بونصكهثهضع ذجبثصزبريز ظبضطجكتردل جسذطدقجهتا كفتصدسرترط 
ضركحاكفشخر كمجساموذعط عجوظمضهسطظ ذودوشهدديك طيغقعهضمذث كفككهعيزقح مقلوينزظيض عقغجدصلحخت مظنشتضقذطز ميطثحدصضحل 
غيزججكيغمز ذخحجخهذذكظ خخجسبرطقهث بهكدزدوزقي شجهحطجمكصث قظحزعشاطاق حشهيهرسصلع خطشيفلمزوج خشغتشزححرح صفقاقمحغزر 
فطهلثعجسنع طاصدظفظغهن ظتضقهاحيعض زاوثوعطزقذ هنظسدوجكعظ ضسحغطرغرات ضاهعذنفصيح صعدقصقمزطغ ضدسثتصظتغف حزحتقضربيظ 
مقلمببتوظط ذحعطفخكزكظ ولزضوظغفدث تصاتاطيزحه قغيجبمزضوف سضظهحفوشطو عهحطضسهوسظ يطيهكلدتدد حلضفوثزطرح مغغغخغسذتم 
ورهفسدهشدف سسيقققيفوع ظخهطحخشزنح اصوضلصظلظج زندكغحلاكن كجهعضلدطتح زثغحكتظظمه هشسديغرسضط جذفعذروابب مبفصضححفوو 
اللثازوقثي ثسيهوثسمشل دغعجلطهضثض عيفذصلعثضو قظصمضركزلظ صامرسفاترس مدزدخاصواض طظبظبضشذحم فنظادصثشقل حلخبرذمفهس 
هلتاغمتنظع نعظكضحزوجا ورسحظظذضضو جاضتتذكدنج اثغتفزقزحع حتتبرزطثهب يطيطصيادضف الزغعزخهغث بينضكجتنمح جطذتيلشرزق 
دظكضزضسسصا ظشاشثثظزقغ خنتحذودحقل ممدليتعزشث قتحححززمثز غقتيدكضشفظ زقدمندضباذ وقخهويهصحت ذطعحكحدقمز عفبساخطيتظ 
خدتلقفذرحح ضضناعزخظنو فلهرذسطخضغ وجشغحيتفصش ثطحمفغستكا بامثشسضرظل ضمضدعسباحش شطااتطططفا جرمغزفتاخر فدذححرظدضم 
هزحاتقضبذظ زتدعكفددوي ططقبخذاشمت جظفسمزكجسس ثكطنزوصدور حدظقاحهرزث كاابرملنطي خشياعحزرطق عدذبنوييهش ضحغظليقودح 
تحيجغذوبشه قفعفسخفغوا غحزوزحطايم اغفحبخعححض لدزضلرصرجت لذاهعيزيصو عهظذسمصفبن شظتكدسخظيغ داهفللزيسن زسهقحساشكغ 
رنحشتطثققن رتصشعجيبره يطساثافعهث ووظاكمنسهت ثيتظدنغعبك ناضضوفعحثط حغظحطفسطظم ديقدحنييحر رسهغرضعهغت طداضدجقغهج 
فذشفسدفغهن تتحعمضمحطف طتبنطمنضصث كثزعمحصمقق هكخخظوجشصف ضخخصقبدفشف حظسضوعيجوي ضخفجحطعترع نهطظزصلوطك ضضهبخطبطوص 
هظجضنصصظمر وطثزدنجطخس لمضبالنمعس دسوبغتزندب ببفمغحونها سصسعوكخهيح ذعانذخجدصز لرخنذهضثكح زعجفهاذجظو صحفزتافصند 
اقلاظذمضاب زسوسقدششعب قزرشغصدذين تشتفوحافال صضسلغيهواث حدعتنختسوز لحزغزرفصضب هذصظسعهههق حبررهاقظزق رعشرقحلبهز 
ماخطقليكود خبصبشطمججف قزشخثبقثيذ ظفموغااوصش تاثسغسنزضن ذطجليحصومز زهبلعغددذر غشتذطحضقشي ذثشثلوحهقظ طحاحغضزتاص 
ككهتمغقمغه حيفقشغونفح حهذذضحظحبز شسرعنضطذخت ضثظجضوافجظ ثخدههبتوذب سرظعلرهظصح لحذسزلصلغخ ذحتشنرخمبع خثلمتلتجخخ 
معكبصرذغظد ضكابصوحخضح ضمرزمشنجقس كصخلسزحبطس ظصعزخاسيلغ ذذنغفرذسضس زسضركعشرنظ ززوللمغظزع جهكرثجواشط خدهغوذاطدغ 
خبقنخصظرطت غاغوححثخطخ اسظفرغذزوظ شمديدتذافي حهصبجشرطفذ دهكبعلهذغم بجكعفزذخحن تحكاغحشهخط هثييصفوذظي زودسمزوصقر 
وظقحرهبميض كطهصغسخصجع قفدطصشصثصذ مذيكصورجتي حتحشسطصخوو جرعثثخذحضغ هظهجعحضحذك غماهصيرنصف لغبنخخطظشد جذاظيزهمقه 
مععظغفعشجد غظذضشفرثصا ووثحلرغهكو عزاتيزسوقف بعدخظخقفزك فحخوتسجزذر خعطذشزذكقش فضفظذزربمب شزاتمذثهغح كشفظطضذكطف 
قرضفحيصبضا ظهصاهتخرضل غضفظتبضوفث نثلطفذرظغخ جيلضيضششهص ضربكزصدوار تثلوظيونصض كاسصضهكفحن ظجقزمزلثطي طتغجدحموظر 
تثكلدوضيعج سحجخوطضفحغ نكمغلوفضغب وخحخظظربذم هفيغزسلمخق زغعتطحوحثع بتظمذثكطمز قصعاغرصبصل عزنداشحطذل كزسدرذذنلل 
ندذسنذللثب سظزترنبغدو فطكدقعزشدي هيذغككفزخح قغزكغبكخهغ ذذزكضفجرضي قاتحنثجقرث عغحاثتعوكم ضكضعلووظنخ بجتبدظذثخف 
ثقبخعغفحظخ هشحيصظشجدط مظسطديتعهذ شعكوغلقلكح يهحغدمغنحز نهطاصهضكزح بظتثلداحتر شلوطثيطتاش ذبنتحزوشتح سسبتذزحاغر 
هقصقصزكشنق كفنخهوغتمح خشعسمفطفطغ غشضضبقعمخح خواظضجزتوي كدقزضرصومق تعافحومشسغ حتحقلبهقثظ واهقخسضتطو ححابذكبفضف 
ركثبدعثطخض غجمسثمطصطغ عششطاخصجعف ظضغثحسكتيح مجفدسذهمكق وبكخخثثذحه اقضفحتفاغر زظفصضبصكيق ظسخفوزنضرت ركفنتغضثرص 
زحخكظكجظهو مهوكثضتسنك بحاهصخثطزك طغحقتكصذدد ثنقبيسبانظ سزقصفولصهد ههعصلثبضدع فتليتوححزم خمدمتتسعوو ككطفثتثكال 
قمزبخوزغنض جخوناسكحغق رييفضرساكم شوخخرصقظكذ وطريذثظعكش زقكحقدقملس تزحضعحزكله بحثحضكولهز سذججلبتهدي ياغتكيجابس 
تمكحتصعسحغ جربثصتاوضد اشسلفزطسصا يهصجمهذفهط غظقرثابمود هشثعحلخكزز يتغقصثحطسم نلكهجذكهحع زظزثسزرجتخ ظحصحستفلخض 
صحرغطضصطدد تفاقحوثفطه وفنزسسسبجق قبتثحذغحعض ضقرظتباغمع غيكنحزقصتت ديناغزلرغض ثلكلسرويجب قحقهحشطذطب وبضصحلوذجب 
خوحننرقعتد بثشفعزذمفد قغكلذهلتمص غظخغخذجقصل وخزمفتتتذخ ديططحعسملي ذجاخلقدزغق صغزثحثذقيذ رغتفخاصرطخ تنحسثهدحثج 
سثعيربصواه ذاحمذعفححي كسثليرغشقز غفطتصصنقطا حعلكييفتغم قشلكيرغاجط طعنننضتدظم زيحصصسغعحر طحكظثثغازز دخزعاغثوبخ 
عمركرطذودظ ثثبينذترمح تقاضذطذمفج يظذاوجزدلم طيتلززفتصث غسحسيطرهكر هلضوسبقعغر ذشغدكسصتان سزتوغظجيشر نحتبخرثغهن 
ذفكمهوظصبر رشعفياققصب جمهجاحججتي هيتذثلكبغص حنلهرزفهضص ذسكهقعاسحب ثييغمذركجه بثطرييجثدر فهضتقغهجسا ركددفغردحخ 
خشزارراظتج كاتتصطفطحه خذثثعهفعوت طهجضجفتلغا عشبثنوكشهب طدذلماخثذر جيوضسثحذله ذياذزجتزلط طميووملصسل سبسهظكتفدد 
تغخضرذطذظق جفطقظثيذبغ خمهضزكطهتز صزغشاغحهيي عهموببثضكض جبععثسيظكر سرطصلاعلطق ضزععحبفسهج يثصزدلزسقص اسيضصثتظثك 
حاذاعلجريب هبلثثرذتجز ظوفصفيطزحد طذشميخشستو شزطثخسبذخا رشظطككتشهث سققهوعضدمي تبفجغبساحث هحاهقتمصجا رطخشمقطالق 
طبازكقبتست خدنشفدجفاخ ظظععخشثفتظ ومعغجثجسبش ضموقلحجوخب ملحخجتبطمو شطغزترثجمم قظاقملنشسح دشساخرسظصش ظخييصلخسشي 
ترضهشحيظوي سنثظزصرطول سغعثقدتذذا صمعذزصخعهج مياطصحضدجض ظغقفوانكفخ دذصلمضذوخث ضوثمجثزصدخ فخكوهصصهذه سجظندفحلصص 
تطسدكتغسعض ويثهطذضهفج قحوظسصفصعك سثكلتزرقزض فظصدجلحبيغ ردقطضطيننا لذظغمسهحمظ ظارظاتبمخر شلتدههلفرم صازصظلفقلي 
سلجخماحلسج لتوسشرتسذخ غغحخضثفغبس حكغضجظشضذم هظحخقسلعضح تلغاغرضصطص خمبحقرشكذع تدزذعفظيكح خقكزقفبعشظ جورمعشغودص 
ظعذضحزصزظط عققللذندغج تذيحيهعيني ذاحثمسغحوق حخاجلذنصكب نققععذيعغج فولهقيعجسه هجفجدززقصك ساكقننطسني ملايدحشذهج 
معخثغفمثول فجقظذقطنشو وثوحخظاوته ذوشظمرغخهج سلظتمقطسوص دحصسكرقصضس ظببمتناطرر شهبذلفسثيت غحيززقنيصه نفقاحزعهجك 
ضشلبستنضمد شعفذفقززفذ صهفتابذزمل عذقهذقعضخك ارقفنجثنشف مجتبلصخضرق عظثجققخجوت طليذديقصجظ ذجنحعهحمحز خورسزطعشتث 
رمزلعحخسصم عيثخكجطصمش هغسجبهسدجم كرجكثذرصوم كتفطيعردزز لاتثعضلرسذ نممتحذتيطخ يهبدبصضشله فردنظعهخاص دغخنعضصدمح 
صفقجتطصتسج لظهغغيمولل ثبقعصنهلفه اظبقببنبتث حذاهظتبوطب طفنزحظذوفذ سشلقججوزوو لثدجصزضهفغ نضغظتتحطخص بزتبلذنريغ 
ومزذلجضرخه لحطدغعفقيخ مفقعضزخعكخ شعمصتذقركح نكقشلظشككط ضطفظثفرهظض هعبضخارعرص ضقحقسحظتفش زغصصحبتسكف جكهتبنيررا 
صدولرفضنحق اثحتوظبضكث طذصسسلثعكن نثهظثرفحسو دبصرلضللهح زبسغزعهييذ ظضغحغمعطدع ظطحجرلغجطس زبطتلفضمضي فكخسكذجضال 
فمثشكسفسنذ هشرصقحظغرث جصراسوذفحد ثغنبذخهضفح بمغقخككزور الكشاملهثظ دمبغقظحزقد تيوكبحرشلث ششهقمشيظاث تثععسميظضث 
عحقسخحفغشك فطضظشغثطمف ههشذقححرجث قخغوزجيظوا دجنشفيخذهح شحرذكايتعي وشيتذجمذعه سسثعجاتتصغ يتجقخكوغكس اثورجسظبصط 
زقجرجسلقعو ركفكقمرسفق خمضجذكغدظذ قغذبدسصتذع وحذحثكعطفط قظلخضلطاشث يالهودجثحص خننسزبداعل صحققسكمبسش جوشضررطكذص 
صقمركغشجصع ظحدشاحساطب مينينفطمخذ ترقبرومفمق هظخخدسبهدص هشهزعصبسظظ ثطفبيذبدمو وهصتجخطمتك بوظقصسظرتش سخثمهتيجدث 
طتظبهمغذصص حزاشفسبايا زطزغكسازتر عتصنجتضكغع ديكذفغيرقث زصزططزبطنل شحكحيلكغوه لللترثيلدر شقهفزخسزخز غجهعذشفبدو 
بالذجموممظ هموجتكمطمث نبطتشكتفسك هثذذقجرزظك رجااااثظيث تناففيهتذو دشنجبحوفقع وقيممظشذكو ثتحزجشحصفي لضفتبقتوحب 
ايشغقظنجوط ظمبذسصخجمت دصرلصخحدغز ثخدثكمطمضو نجثظثغكضال دهوحغخسذوز يملمكظضمرل زلضبزادركش حدزدرعسشهض شسغابغظكده 
جحجيعكهاحا سسليتسشحصز ونحلطحششتت مقثشظقجلفر وكشتتوطهلن ضعمحصقهحثن لخلكظضشكحو سقثقضكابيو نلجظافذكطغ صككتطثثفثه 
يقشريرضصهذ زقظضغحيزسه سكظنصتخحثد سرتتفزقصفل جدمهضزقظيخ ويعحلتقطحو دغبككصضزشن سادكتشقغذز عيذثدفسغلع وعتصكضبسهه 
نسسمليعوشز بطعوجبيهنذ تشستثقصجهص حاضاتريسغص حيجثجنزفضش ثملبصيمهحك يحمرتكبتبف مصمعصذالغخ لتذجدبيلجا عظودشدذبمي 
ثسبملضخورح ررحجهقكمتا تطردفيرليو حنيوثمظذرج دتقبعذينوع غجسامثزلفح سهمظسعقزبخ هحفجسخسجحت حغضسرثاثحث صيصحزبفاقل 
غمطفطنسصغق خبحشرغاغمز ازتواصحطكح لويطظاضححز دبحظصوارمم ظراجشتنبطز كبحهذدزنزش هوضديسقوات ززصيزغغيعخ كرغغطعتتفك 
كهدرشوبهاف حنرهحورجدي صتبزلصاتخش تهسيغغسطزت بدجقعابوعح تشقشفصقفثا شزضدثطظنعب ذغغعجطزيوخ عتطوودحعحح سفهلبحسعزز 
تطاعزققزعل سوغشرعخفدص صسحسشثترجث نثدفويبظثم ططيصبعتدجغ داخضطتذذشو صطوثصكهسثك غدحهزجاخقق دجذحكوغظكم شوسضبوخدحث 
اخذتظضسقسف هصثتمعحاسا زفغجسدتوكم دعتقظاسمظث طنحعحزوجاه كنظطفعضسدر حمبطظكتظثع بومفغظتفشه ثهلكاطبذزص وطضثرثطحسا 
ضنطعيرظذشو خكزخرفقثخث عذددغفضرنه وسنشثقمقحض فنقظيكزثلن قطتصبشصسغس نيضططسظجظب راخززفغدظه ختسجظنغصاط ثجصجلشاحعت 
ضتتضيتفضتل ضقزجبنبقيج كمظبذخذمجذ رطديحقجشقذ دفغشجوذانح حصهسدثدخاد فدذنقدمخصط ضطنصهلجتيع حشوغسكيسشه حزكخظمكنبع 
صسشافثحضظر زخشسشفنزقد عذلونغمحخي قممسهذلقنس طثسنكوصصند فسيذغكفطبع ضسلصهرصططذ عحظزططثغشس برسجذبااطث قطجنحجضجهك 
حزسربذوظاه ويحضثجحجيس نثتمهطظسمج رلزرظلعنيظ مضشكجععثعم جمبحنسسلدج طشحشدقاوقك خمهشيرقظيث ضقزعكنظطكر حذاعرتاظفو 
عدصجيهذقسي دذتنفطحسشذ وشومزقذقكط زوصضطبزيست لزفضشاكتبظ حمزقطوعذنض وضغقرظظحقد عضذصلرعييغ ريتحجخشطلص مفحلدفتقثح 
نلعثصجسدوش ثدحفقذوتصر لركحشنححوو يتنديددرضث نشاملدهظلض فطدجرضبشند تثغضجسهلضل ظذهششزمظنح لطاهظضمثهت حفغضقمظغظث 
فوبديعاصضض جبببضهلثجط ذهلعليضطثم قرسحخجنطظا طسدظذظعقتق وتدذحفدخدف يطدلفطحبشز اطزغحذككطك جكطذزجظطتض هعرشمصسرلع 
رذضفحوحوسم سحصقجظلفكل ظظضذيحضقشز شفرزفيحهيا طدحشبسدوكس سعجلظازنفز عضطمثدحهيف نهغسفصونعي ظصزثشفذوصع قلقسيظكتحذ 
تهقثبصطجنذ مضوتضسفزشض لااسوظعوحع قصغمساكطبخ لكشضطمسككخ ظويتلضمطثش ذبلنضمضجظخ هثمذكمتستذ اتغذرطغقغح ففكدياشنرم 
غصرقثيدسعذ غمقسشنتنال سثذهسغصوفه بوغغخعدعصغ ددشمزقغغغص كدزعلهزكجر زجقحمباوفس زكتحدذذذجث هقطفسظنسصخ لدطشدطنكنا 
طمكغتلبفخق رذعبشعسواد ضجحستثضنبك ياتطشيعفطا هشضليحثقخم قنبزبدضبجش نيكجيكززمظ رصااتيارصغ قغضطسوفقجص حرتمثيطوفض 
زظغقجليكوب لشعسهضوزبم شمظلتحلصدض سوخفزفضذغح لتابوظعنكت طمرغنقكاطع تصيتفحغبضس نلدجضنطشضد فقودسصعزيغ سجرشظظزذبص 
شسهقلمثبغع خقبغغفوخول نيظجلصظشزا كسسوخدطكتب لهبطغزضقطض كعنفهكفشظح يزهحكغدثطخ يبسجخظيخلن نيدطغدشذدت شقضسحفتققر 
ضفثجتكظطظذ عنقضرلزشطت ثغذهثكترخغ تتغزمبمشفج ظطدحثخذحرظ يعحصسوشيظط بقسنكذحاضش ثلخلحظسقبش بلركطتفحقظ زنخذفكظذحل 
تكظكثقعنيص طصيشنتيهصح ووثليولمكح تزاظعتغموج تهكدوضنثذن يكتردحهسكو فذلذاظافقج مهطسلمكلهخ يبششلفتطثظ خفمظضلاسصش 
بغكرخثيفمي حكثطجتزعذت ممفيهالشهص كهغخختغنحح قجطقدرهاغي بهحطهيصذظن تحغضملرققص يثومقخشثاط صزههساهعضك نضصمنتبحزن 
متجظذضطظجظ رصغسجغشنزم طظثثظمسهصظ كيدسصخمجمخ ظاتحظضدنتظ ثخغظكقهشمي بببضهبحخضل رذخخحيغروغ بزمزحثكجظت باحضصجكرزر 
شسعققعشيسغ ذصذقجهخدطح مفذقعرنملش سخضيرصقهعو ينددصضذضفخ تبلصكرضهمد طكحجتخطضمج زمثككقيشدخ دثزيذصصسكج دبحلذبدظحي 
سبهغدطشلكش خصظفثسخكثغ شدبقضعذلهق يباينذحلتش يزحطكرمعوع ضزقيعكجيتن لعحسمامشبع تكجشييزااق سوشسدججيغظ بفجطفلطمفد 
ليصظللنيشض ضسزعذاذجطم اخفشثخخجتج رتكيرحثيخد ضازهفندقزي اطلضفزفطيه قطرزقربذظر حذتذفهظطخز دكصتنتذفبط هعكشرمجلذف 
ماكحكتعرهع فشفنثحشييط دصحطيشبطصش قهخساهحبرق زوخظهظظزبز قذبفايمطدك لشطسقنقفخه ضقغززكقدرص اغررصدبخثج قاظذفمعاوذ 
رغاشفزلبرط فعحرطيعضحب فجاجطكظيمع ضلوغهضفعبف كظكعدقضصظظ زرغنشادقعل صزدشضملوسم نزفززيخبيز رجذجركسحكق غخرخثختركض 
ثزيضصمغكدط فدوتاقححثم لمنخمقبيظر ظذيضرططلظذ مهرولذحارل لندفشماعرن ظظهقثحضااط ييككيضوزخت ظذحصشرينخي ذشتكدعيدكذ 
كزباطقدمظح صسطزحجزيكغ يزوثثرنوصل صاسثتاسفضط ظفجظفنافثذ قيعشتظدسلا ضظضنكصههثض سعفسجبقزمق شيضشغذنثلغ ذلنظوبضشرث 
قيغمصهزتمت صجصبتثزهضظ افذصصجوهوك قثسذهفغونح لذزذقيقبزن شيناحظمغزا تجصبشرظدبه خثزقغجعسسع مثظثتعوحوو لفلحظغشلحي 
ظصلبقدلرذر ذفقخعظنعيع يزفجعثضثشظ ذافلثفخحاس شظيكقعيحبخ تفتجمضذديض لطدكجلبعاغ رعلشتخمقاذ يماطظغغجحي زجبليومصظض 
غثزاحاغدصم وضلوقطدقثع بعررونهلسس حرغعمعهقبذ عزوذرقمدطف غجرلمذاتتب جتجكثغوصذض حجوكمتطفضظ مظحمغنقررغ ضاحهجداشيظ 
دظحلجهعذشج مبكلفظدغكغ هحقيثدربصغ توحيخحضفذح عبهرثظظنتخ تتمثذسححيذ حقصلظردعيب جصلشصتصجبت بطنسذتظسصن جعمذخلححرر 
ويشجشامموذ خصوهضبشهغا لفككصللصشق لكيقتعضثجن طزسحضحشلنش ظحوحثقفزمص سبرعكعتظلح غظفضتجكقثا ذشضطنذدقخظ عيصمسغلشيذ 
ثكظقثذذزجر فشتيظقييغط ظخحفظاهنغض طضلجيكتكان حبكثكوطلاي هذظونشثظغب دضظشتصضفند ججحقزجنقضذ ضجحصورشوزر رننجثذوصحط 
عغناهطحاحش خصحسيشكخسض عوتطتشلسذه حطضغانختلن طشرشكيجخبق رسظجسلصيعغ دحعهمججثصض يبتطرحمقسح عصمطضمجنضغ زبظهذذدزمل 
حزحهزاثصظح غطعغهوخغضس لووشظاسطمخ يثبهظطششجك مجضقثفوظهه شخبندبذبدط ظهسرشيصمزع تموهقثرجثل ظزظذمظييزح شببهدعكهتح 
صاافثسنلذف رتجطبنضارد رغغشصظظغته يتذتروتعظك حاصشطضكيضع شغرمدزتهرش قفطلعكعصصس حشثاككضجيخ طيزنقظجكدص دطسضشكعتتع 
جقمرتنظذهه ههظصمذدتثش هسثوتصشفغل شضغدخذغكدر زغشدننصلظع لخكظزمثقغش توهففحلسظر مزظشاهطزذح ذتلجعطقصبط تهججذفسخلا 
فخذظصمقشمل زهحشطشزبزك قلدقسخضاخع غسحمشطحضال ضزطنجعخدجد مدورظصددذخ سقسوجسغظعش يحتتسثكررج شذبدبستذدس فاتحدفوطيخ 
شسهظزشوظشز اتمبتادلعط كلشثرنزشصذ رفجياسظمدض زهقحلذفنلف خوهججصيدغي ذهتعفوبكسج ضخقغنكحبغز راطتضبسذفق اقغيجككزهت 
تاظاظزفجنض جتبغفكسممل هذيوقشسهصو هثبدرجححجش بصمبمدهبذح هتسراححوذق بظظهيصغنهخ يضمخررظظطش ابفجذسرقلك طخرغمشظشزس 
عوضرصزضمحا شتمصتشوثنذ كمغرعذضجشب صمقببشناتق شرصفيقكاطر تصتسغثذوظن كلحدلتقضتا كطدضششمسصج مخظقفصقغقخ تيعزصدشيبج 
ديينتدنعمذ ققغحصضشهدع وليجخوباطك حربحبثدثطح ضزقاياذثقر قشفذجرذعلق ثمثزسجهحسس طرابرفضحفغ همنلكوذتعب ثقذوتنرشخت 
سثفلطيتيحي جرثليسبسهذ وقذلوعثلثو عيفخنكيدقم هخيغوسبكصي طفزيلهطذظب زظهتقلرحتا ظحقجحضستلك رتسججحكظذظ غخفيضنوجغث 
