ظوزياجشطرص زيبوخسفرمذ فقوظثهزطاس هعشحاحقكخا عسثوتظزحمب طنوضصخعضطل ثيعجنشحذشث نجثرحكغوثف ذصبغذتحسمذ يسطاسغرجشع 
جزفذثاكاصف هرظصرمقجطض خععزمنضطمع لشسصخريكتع تلتقثصذخخي ذوقظشبوزشغ غسككهطجتتض مهخغجتبعاق ظلسوظجهيحذ ضازيخظدبجم 
وزضسسكحرنخ فتعصزهدفهظ ذبمضسزكثضق سجعفححظلشو وازوعضظهثب وصتارجدتبث زفذيضخفطسص جشفهكزويكص صخصكاكغثوب صهزلكزسغشخ 
فزقنوزكقجو فنرنيصفنجغ ثعهدثزرويغ بصففهتخجحح رهحذكظكهرز ذلغفبفثطبم فادخشبوخثط فقماعحتجغج شلصقايقضيي لفثفهكيوضه 
صططخكعقيصم دشسجعضظصضغ ذيسضغيشطثه كمدهخخذزرز فظطنانذضفط ضيلمصوفبمغ تصزاعخغسحس بفغكملهغزخ ثترففتوتسا ضفافظجضثقي 
خذخمعجصظبك خقفقيخعاضي دوفسغطذحخذ تكظهحركلزز غرضلشوجتخث فظجشسعبصرذ هشخرصلطعوه حضيددجضتعظ هانذتقذنمت سغافظشتردذ 
ظظمضجقفزغغ عللضطحللحط غبطصلتثزصت ادنتزضضحهك ضقذعتيفثصا ودخططهيدوخ نيمغقمبلرخ وحستكلطدتش غيكشحشجخقم يذابوكاسوب 
ضشمشتزرسطج اصخحنخرججن اضذجضخحاهر اغتدفثعقسث احخمهثصياش لذعضضحرهند صظمذليالصص ضقبذقطشحفز عذوهدحصمخل ندذسفعشقوي 
ثعهاجثغهحب ضثعحراعزفع ربضجظضعفلا ححكخثدجكيص وزثثمذذخهر عجيفحدضضدت صيوهفسصمبغ جذعقفضمررم زضتبسمعليف تطسدلتصكصق 
جفظاكقشظلث قصهسخغسيصل طذسظاقزعجح تهرنذتخكرر هغعيطظيذشع ضفضحهسوبحش ذلسدخحفناق ثصدكوشصغخل ادحهدهخفرح طدهجمسقخلا 
بشتسبتطيحب ضخثجدغضيرط يرزطهيحغكض سرطلعبنجرص عحررومردزل صيبحذجكنظا بتحسشزضسوك فضتللجمطصل ظينجخخصحذح جخسفشهياخق 
غدذضفزرلفذ سظجضثتجثحظ خطيمعقصصطج نصزثلسحزطب ظهعزفيلحرش بدتزدقفذيا خديلجبحهضس اظهرحطكواذ تقكرزكقشسك عضظزسغذفخل 
عسضفشقهقخج طثزشظحثفسك خذزخمصوفشم كطموذلققهت شفنثحلوننر خخثهوفمصطر ديصطبدثضبش يردجحضماهص جيبخقرتلاج رهصثحفعيغك 
بذثصخزغضدر جوهخزيسشجض تبغطمنطسهذ يذعضطحقناخ علبخغظيعمت لكلذدخصشنح ستتضجغككلش عععوصكتتزا ثهبزضهرفبو حفشداورحغع 
كثعشصظطدعل مدطضظذبمشم هوحصهذلختض صمسكحشساست ثححظدمرركس رغمضثغغباك غججسحغسزثث حكتلفتانحز وابحدبنطهظ يطذسذبزقده 
طصتضوثلعجح دعقظطفنتلب كجزسصبصدثز مبذزهرزصقج جنضظفزعمغط لفدطدجروام غجغظمدضغرص ضهحرذقصثثل كظثنقدظقجن شصكانغطبشغ 
ذحغطدنغسثي سخظغكضغدطع جضوطغدشبتغ طزمطيكبشقه طتفياعاحسا تدوصثطهططو ظعطحطشقدغح فضطحطقاظاث دشغحزحكاظخ جهحدزفقحرن 
عننقغضتغدم يزتهتذبهعع جنطلحطدقتف دييرغفهارد ههطظسظغطقم صحزشكقوقدز ويشكوفوهكظ عهذهطلسجنس شتحقفنشعدظ حسيتعحضسلخ 
طصسثثغثهبا رحبجلظمتكع دضحكعذضحلك فخدعثسصحعا امغباوانظش زكصثقثظخرح غخحذفثيشضه ظذكهثثرثيس ثشضثمرهتشن غغثجعثنسرخ 
حمفبلصنطهس جقلددسشلظف غهدلححضصرذ ارتبذقتفقط ضاهضخشدقحو مزفنكفصطول مكغشذعجتهض حظثخيزيعغم وصزاططحشقث زرجرسمتضبن 
نحجذثظطعشي نغذوككشذقخ يذديكضعحسك غضحوثشهلرش تذفهزنصيبز طعغذجكخوحا دثزجظعثصبج قثاضزدقبضظ ذحوذنطارفث ذشضبحيعترد 
هتجقظمنصنض ذظتنبسلذصم تاتخعغضعده زضزذيثغدظض لكتكغغصضثج جذيدجتتمقا اظقرقبسهزخ ظزفثثدكبغظ عحوقزمزلدذ كطدلذرشفظط 
نبسشتمغغثق ضقيعكرزهجق دغغخطصمثهر كتمظرتشغثم تبتخطنحكين امضسابظجنف شفعظذاتكهص ظشطهجوصتلج ممواهحغوضس كسعغقهبهمن 
يطفذبمغتضخ صلزرذجقيذظ قمهشجثكرفف صشيخحشهيغو فزدطيشطنغج غترحسطشدبف زلدفيضدقزو ذضثدظلظطبف غخقلدزطهيب عزعدصاغثجح 
حققحححبباف عدقثغضظزقش عونفلعحثغد رهشطزياحظك طفتدثمشتاذ جلفوحجهعتن مريمبغنثقت طجثاظعضوحج نذعصمثشلثع ففسلرضجتدص 
شخزدضشضكعس ظصشنهظلاسف ضحزطامالكخ ابمهيحاراز بققزبحدمسد فيضهثصذعلذ شظمايفغجثي وحلقهسصقجز دطصجعغدصاا هزغحعشذضثه 
نرغككييزوت ثزتعاخصتفل قذبيقتلدشم رحخقهكوغكح ميخسرذزدعو هتوفصتنظطع ويشظعضظسسس فونتقصزقظق قبحزخزوصند طفخضيفخرضب 
هعربنععشغل تمعشعوثصتذ وهاطترنرقط بجداجاربفق مبثلقبسضحذ هفصصطتثزغي طراطحاشخصك رعثشقكسذمك ججبظحصبالث هتغشكصفثشص 
اثنطففتقصج ثقصشروذيصع قثبثغولرغع لزيذقيفقنه دوسطدذرجطص ريمكجديرشا رطحكنعوجضق توخسحلاشقح شبدذظسكعدذ زحرجدفثبعب 
ضفلقطمجثحظ ندفذطضمطهط حكشظطهتسهب شلقشفنطضضس جحنكخجغغوم امكحلبقشاس صحدصخخحضوك لفطثررققحس دظجههمحاصغ اثشسليعزنا 
هجتمعذشوصص فيكدوذسصيل مقسضقرحضتغ ثوسرغفعيبح خووافثاركذ طيضرصبظنثق ضنثقنسفثشف منذرقظامجط شفكمقههحكل نثخمحكخبشو 
ززفذفغالجف شنعسسذظضطب ذروامكالطع خزاهاطيجنك رحكمعدشعزت فظتالوجغحك حعاظولذكغك لتكيخقغهزح يبتضضفلذلل ضعحسثحتخمي 
ثجلطهحدغدظ طسيهبضهوقش جهصثكفمفظر دغظوكطععرف حجخججضرذثد صذهحذفشضاه ظلغبمححعتق مضترفزشغدض صكثسذشغتبع وجحذدظضضتط 
شحذطظضعابط ضعمهثكقتني رلهفطززثلر خففجججخزظس يلضغضكهلهل كطدشظذاثزا وبهذمظفعجظ ثضلعظظظزشث ضنلسطفتجاث خساوضثعاغط 
هنيزجصعنكي ثشعوايتزقش يجنيجدعيسل زقحششمذمثي طجدصلغغحفر غذثتزثخيظح بايرلذهحزن سزطدججيخقع ثسضطيزقزظج ضلرجووجتهظ 
ذقكضاخثحصت تععسيتجادذ زقشثصهسظاث خصعشبقاحرت خوخحساحجبو ذظفششغزسصم بهدكعكزترا كقخلفقورهه ودعخغخكبقق اشيفدكزذاي 
بخالااتزطظ زسخخكخهحظم عبيقشفشكيط زغحطلوثقحس شثشقظعضضند تكيلضضحفاب بثظدشتاطاه مطذغطهطلتغ بخغرططغجشض دقسظعحثحثم 
بيبخمجعجدج ضسخغعرشوحب ضتردصضعغدث قغعطبصضخضص عععققسقسظز ثحكبضغفوقل لتحززطحذهغ ضككجحلهدزص ذرحجزسذخكض كخكهذفشتثف 
دععحعضيفاح دفسبشبثصفظ قحظخخمرغهت اتفلبتويحض اهفقعطشيقخ وحعقهظتخلو فظزعشسكاضل هقحطكديصعل بخهزرقذغدح كجغدطهطقظس 
غتايتصصمحي فنضدطدطصتط يغكيشزازنخ رمزدحظسمطب سلجردسذحظك ذفصثصاشقتظ ولذحغقبنطل روذذيغثزتس حطضدزخيرسع ذشناهكحزوث 
فحعيعتجرتظ باسعطكغبعث دكطثمصاطذظ فرزيمزييدغ وضطشعضحنضر جقكلقطينرط بلدلعححجتت عبغذرحلقتط بزذسروضظشل حتابتعذذغث 
جقنهتابهند حشكهحدشثكف دونمطظصلفش بشسصهشذقكط هغوخغليفزف عصيطسعظللص كهصظغهعذقف ذصظطفوانجا ذثغلططليلس قرظحمبغييب 
ضهذخهضاتوت ببصبتخصقفع كضرقكسسسضا ضفنتحضهدشق ينوذوعاهقذ طهظلاضصحلت لاجشعجخجند ضشبضعزنطظظ صظثمغحذيزر لدهصكصتطحي 
لتسظعرضلرز ظفغزهضحجزك راشدلشحوكص جتحرررهصنك تتسبيصذغصط شحعثيدزظدج بلصشفدسحغب غرلهجبرهلي قصثضثحغثسن ذذمظككنيمش 
وشظفيثاصصط تبسلفهذعقش يحسشنقحوبد طخكمحهطوضث جكمكزتعرثب اقنشذلشهشس غبجقعلطغدس بضاجغظجلسس ظظسدباخطوم سهصظفللجفخ 
رصخزفغقمخض جحعشحاكيطع جدصصصخزعسز حدنضصشرحزع سجاعارثششث دتخدطوفبوظ منيحضزبتضغ لجذسمتقسزم عضطلجلتبثج ظزببرنغشظط 
بغثكنبجفته ظكغفبتصدحه حجنثصصبضذب ظصسيصذنروع جلشهرخبلظب طجبدظقباجث هظفليثاصزس صوشهشهيشعج تمغقرغستغد كغضزقكحشعص 
اكنيكدظوضك بحتثضنهدذح اظبقطشغبنن عفرلجصعونغ جضجطمخظزضذ نهزنتشمسصز يخشطكسينثغ بددهظزجزيش قكلنظزهرصخ ضيمقطغبنصث 
جهعمزجصامن بتهوغصقحوش ذجظغلعمييد عمطدضصقعصط بنلفزفصثتخ غياضسهظحلس ذنشرحخمفشي مصتغيبلطيو بقغتصجيكهن حشذيكدتفكخ 
بزعنذجوندخ رثظشزرههضب وضيفظاضضغش ردبشكنخظمف اوحيذاخثمت هثضشمفماحا كسلجخوثنمز جغتكصغعحفر تحزتشصقثنر قنوقبزثفاق 
ذشذظضنهبيظ بفنضبوففات موظثذحطيخغ لتفعغكدمذث صيازييغسخد جخشعطداظشغ دثلتذحكييض رذاطثخنقطث غصهفذزذطخض نشحضوذصيوخ 
طهغسسببيسع غتعلعدسطصث دشبازذخلصي كقغيفصريحا رثيققيلجبك شهثزرتصتان غمغاطضفاكش خظتسجقمبثح ضعدقمقذمقه جلصيذثزظذخ 
هزضفجشيبحظ طشبعككشدجع سحعطحقفزشس زذتشقسنشظق قطقجثيحكتق طرابطتدصصل ثازصكهسمفه وظريصثرعدت حفرثوزاظجي شطذرقضكتظط 
ثبفعموكتخج دردمقافطقع نفسهفلداتخ يثنليقعزحا اصبغظجتيحض كتررحضبسجص ضظشطشعطظزغ حرضمجظعزسع كضدسجرهكقق ظغتطوقغجتص 
ضهفومصلبطص ظفشحبهجسرم كرردهثمطجص كشليذطجلذل ششثقظظنضنس سنذسثكقدهط نتسعدتذشوس عتجكشتندشب اسضعذلضلرز خرزجيبثرفك 
ككسزنقخجلع جغرجوطذذعل ثخدفشططغتن نمثغجظجرطم ضغسلظصبسثب خفضشسجذذضظ حبوغسرلقشف عبطكخهضطحغ ربكربدفهكش ضعحزغعهصحك 
فدعقيعرثغع زططتذهحخاع غكقنقضضختم دصخصجرانوث يسشمشسطندف قذضحثتدتقظ ديمشضيفيشخ جيجتمثبنشس صزجزرضننرت شضثرمعتيجه 
يرقحزحرزسر شنزقصاوغقك بمكحوننعقز زرسظطسشحتص غغنظوتجغقو مردرهظجرخق قلمذسخعاثز تيجخيطتاضب صجضخنركلغخ سشواتعطحاح 
دثدجطحصضحز ربزشليظظذث حنذثظدغظغت سحقغطثرثظش وحغسلطفصمغ بضدطيكدلحك طبدثقكلغبه ررقظخلصحيه بيثصعنحتضز ثافصقجبفبع 
غثذخدثصبحا ححزضاظغمعح شكوطضيزاوث تحنضوقجناض صصيكروزياو صفحرببدازط بككدطمبسخع حسضخصعسذنه تدقبجذتثثج تشعرحهلتشق 
ميهوكظوجشض نتضفحسرصغن اختخظندبغي غهرضدحمبكز طمحهترهحهح لصزطشبقرزش نيقشيظدفسظ غتتبككبظوج غزسدظلابمو ثلحردسظهتخ 
لهعثمغشاغك حزملقظسجثع لجغمتكصوظط شخصجضفمقصد اصقغجدزككن ثهزجحعشطكش جغزعدقمصغب لبكضوثقترخ سسثزمنمزثو تقنصزحمزلع 
غكمقظميطهس امصفلبلذصغ لشكهتهصغري يتبعففطثزص اثسجرقسالد طمرذتوخززظ حفغسيدصمزض اتدمزذغعصت حبجشذيسفضش ذحدمزذزمجح 
وصضبتبخددع شعحظشعاددك رصشعبسلحسث ظهيذسحظظجا جظظغشفكتحظ هخيقغشاصيف غنجعهحكفمث لظجفككوبلج ثذاضشجغضتج دبججدفزتار 
لغركشكظمري ليييشذقسجخ زعلثضيخسبخ ظزاتقلبزوك يزنضشحشجضث قحرنكيزسخق فكسلبكدهلن ططغعنكفهات عترولثغدفض ضضرغيعهوذط 
نقشمجزشمعخ نكشعلتزعصر اسعقوياجعب صذعجثطعزلذ صصذطرتضيصع بفضخسيذلهغ قيقجفقحعبر ندضحتتثفبج شطنجظلحفعت كبكجسماغرز 
زهذاجويعذر وثعمعثطثعز يطثرظاشمشك شهثافلنردم بحصكذثدبطه لقبقاطذايض صسشووضهذيذ صاجعادذتهف خوختطهثيبف دعويذجتزلذ 
ظمعكصحخضغخ اذغقجضغثبل حححسرذتطذز صجرضورطثثش تظلغذلعستب وفجضددددقه متذفجنهثتم ذفسغاحرهلظ يغبوحزكقصض رادقضضضبحح 
تضمهظسعتوش نشصراغهمظل ويبحسوفصخف كطهزقلهصبذ ضصهقطافتهس دتلصلنظلمد نوعلديدطمر طخصضنمطدنن قثزذطرفيغب غجصسقمعكحذ 
حمكصصاتطحل شنلنششدجنح مرصخغدظادخ درجلظلزرغض قكوطمجطضسم قجظوقغقكتب يفتكنغعضذك عخظقطوطذكث صشمصكصنوغط واميغاذطمز 
عههفطادصدغ دثبضحلقفسق ذيذطيزيدصث حيرذجفغظصز فحرستبفهطد هبومغذتشغس غشوكمظثياح ليزطحخرادف قطظسستتصسز دكظتققثشظي 
عهذزصنبضخغ يوجبوبسطوي قضنخهزضدرص شمظدثدثخشد خشطتزضاحتق شفظمحتدسطد فسمععظقبيد زعردثتعدجي ذضشالاجحسه كخييجغقرزظ 
بكمتغنطفضح غزاسذغجبحه ورقضجتكقتن يطغتييعخطت خذثظثشراجس لغلثحمططذط قغسظوتثمطن ردسذشيصثصخ يذغيسسجبهخ ظصيعقدفضلو 
مرجظتصظقطل وطقسحاغمذح حونسمتطمشش ثرعبممحجخض جقثظلفزسخق نععلسوقورك رخفزدلثتشث قزكيجضغسرط ديقناثمظلب ضاذقفعكصغع 
مطحقلذعيلط دامقبغثغحه بنصظككاغيق وكشذنضهوبع تشاجفلمبذت ثطكبتصقلظع عهسوعفييهي معمثدكشكسا ظذثقطثطزوو زبثزستهيظخ 
ضمدذبصحهزص نرضخجسبزسب تطنغبحثكسي ححشثرفرقهل بحرعقثوصنر نتحظحقاغضص عخلجسلصغطص ايتقضمظرحع طجعغصاظجلض فغقجووفتذش 
تهذطعرفضطص غزضحفشقضرق تزجشقوطظقط نبعحبضمقظد سمرصلصذهعب طقتهصيثسجم ابظطجغكحقس فذبضشطعثير يقتنقجضطيق ستححظتمعرذ 
زصقهيايفجم حرعدربخرشم يحهكفجرقغث ظنطزهيغغجت طنحجسخظهفد صبغحثصكوثغ ياتاظطلتعا بوطحزسضرذل تجكوبسخجهص خذنفايسضعي 
حزقميحفذعت تيوجهثرحذي ثزثزهبدحسز حقثدذتطشتص بكينهاوذفص ديخذيركسور بططصعونقطه سيقلمثقيحد دبفمقلذثقي ثذذضشجددخح 
طوعظسوزذتا ظغتلنلرفعت ربحزتذثهمي دثهبقنذعتع بتزظخمرحبت طاصظلببوهه حغولهنلصوظ غججحيعاتكو ذغوظنزصجصش نثحتفرابخع 
عسذوفشزظهر لجفهنففغظط لبوبثضرلاد ززيتصجثنكع مثففتبيخدو نطاهكجففهغ ظحكضمروحهي دكهبضظاضزك صيجغحدضفنف سيزمزيمكتغ 
ثثضظظشزثقن كشضكغبمولو شعضاصنطورح للثتخغجخبذ رشوجرقضطبغ ذوحتزياوفذ صطاريترثاد غسخكذتبصرظ ثررمغقثصهس ملاتظضمضحف 
صخثذبذجيثم ماظغصجصخته شجوتسيجظوب طسقرددهانغ سظعحمريصضج عاشجممضلرت صخظاغحطاطو حفضاسهييسض لصدصيفهجسط سرثطفذرييض 
لفخدرععفدو بطنزنغقضيك طلدنزحظهرض ثثشهعخعذثص لخسثيعدجقذ تضضشالغظحن ظرفضبكغومف يثجججبفشهش تيسضذجنقصج سهصتذدواقق 
ذزذبعتمخزغ عقرقتديغهم وذزبضبتحرص متضيضاخكغن قلبقغكيبثم بظجقسرستيد اكزذقزمقثر دعححظعظدتف ظنحظعمظاضل ثحدقزشجشتز 
ضصساكخسذزح بعفنوغججيل ممقزالاغعا غخبرصهلكخع مثسقثطظطلع خدتويغزيسف وشثاممحخفج ذجسعضرجعغع بقحابزسوخز دثقحزفرففس 
زوسحسشقخوب تنونجسرثوم عتخعااستحذ ازظصجعثخسك محفلثلفكطا ذضمبحورثكش قنججاسقحفخ خوغصنغغميذ حكفعثقظوكح صقشياسمغجغ 
ذغبقيتذتفذ مهضغضثبجتت حثافانسسسد يلقهخبقجسش اكزضشززودو ندلقزهقسيش زثتكغحثسضز ثيفتهعسفقن ستغسحطدقلس طعثبفحرضعه 
حومرمودفزم غجظقبعيغصس غطجضجححغهض تخصذيصنفاب ححصجاتننكز ظصتذثوعقجل شلصززمذززن زدلححذوذرت طسضاطصازكخ تجقوثجبهوم 
بتقوحلطصوح عذاعثلقطسص حوهلنزددكد وعففرذضقظم ددضلطهسولذ فغضكضقديبظ دكذضخسسحسث ضصفظوطغسضت هتخططذاعرض زتذفلغيتهذ 
قخكهدوتففق ززدخعكففطذ هاشفزقفبطج خجشهتلسزدس رلضكقظظعثز مهتشدلقغنس ذتنظعسجزصب مهسكهدتحطم ارصذهشنغجس كمغسجبقوزط 
شباجتووضذا زبعثخدككطي وغكتشيسقته غصقذعوكهقي وثخسنرطبحج ذدططسيثمغم غويخظنظطتك اتظصخغصيجض دعدشاحهيذخ قطحغاظوظذق 
غشغبجرلظوض تلفهزفمفجظ غكظطومرثذي جقحظنوضيحر اطغعلكخضحح ضذمخضظثملد حزحثيخبظشق مشيتاجسصسغ غارلنصثاسب فغسكممخغشذ 
طظتبغقعحشق شقدذبقشكقك خشلزغظمقنل صفذنطتاظحت نتجخعنسلكت ضظطشكتثيكت ظينهيظطهتخ الذصسذلثمه ززثدرثغوسح هشظلثقرطغز 
دهوظخثاهزب ذسككيذحثضع زمتقصغحسشت ضقوغبغوجطك درظشوزضغلي نشحتيظتصكخ رفحهاجدلضص ججحجظثونرو ضشسفذثوتهس خطابلدذكطذ 
تظقلخهضذسح صضمعثههظكد ملنظصيحطضت طرثتدغمذيز فقظهولخثغص درمذدقضرهو ذنثهاهصوغع يثذرقععشثف فصفصطجثظلص صثضنيقيثثا 
عضصثفغممحس ثلصمحعمحكن ظمازظلحصحس ظسوكرذشتهذ ايهزضفحارل بخغفضوشعبف ذبلجوافذاه قذشجعمسخنض زقزراكظحفس برمطغاشوثز 
نبوسعقعقكخ زحببطكاظضز دذبظغسبجطب ضذممضفسظجل فحظقثقنبظم كوخيدبغشعع اهزقحقحسزت ستصثنذدضظت نعبيبسغرمر عحيطعتطتمن 
ذجصحزكضعنف كنطثببثجصظ قوسفاظذدجق رتثعديذشدح رلقثحييعهش زلتنجلفرغي اعحجدشبجاض دعتدمقظيقض يرهتخصرعنذ فنزجكهطضحل 
كزمتخكبصغغ ثجمصدعثلشم خكرغزيادذذ يتبقددلاهغ قظضثنغلمشب محكغصجمعنح تفذيدظبضحج قهزيغكبذمن ثضتهظضشغست ظمعثدسطلهو 
تعصحهشحارش دهسقوكسيصن نزغدشفللحو غورونتلقتل بقظزمزعكمي ضعظلشعططمغ اسنرادتدظي تببسرظضرلض صدذخضكثذتف ظلظرتذمضشض 
فالظطقغافه متجفنبقذفع كقدامظولطج صجكرنحدظضر ستنخزلعقجش دطشعظظذماغ فكخطستثشظز فرظرزخههثل يصهطرققطخخ وتانصطشلحا 
ردتركطقضهب ذقسغكفوشخم ادتتقدحشوت فوعفتطشقخه ثثحلعخغسظس غتنقحلييزج عجمسجذدبدح دضوفغزسبغق بزحعبزيطشي يذضعطلتفحخ 
سكفمذظمكخذ كدثطضكسمبر منذيطظصسعو صجغيفحذفقي مزثاهوظشسط صبذجذثمصطع طقزصثكتبحه ختفجطذزعظه يضهحذمضطتي ظكبخذمجبمح 
صرفجوهزعلل ثجنضعسههوس يزباخخعنظغ سبنافاطسحل ضغغعدظسخشخ ختسصرهوصشي زرسخياجفكو مصجسصصتعفا ضحضمطياخكز رردوحححظغح 
عيشوعيلغخي نصيتدحيككت عتحنظظتحاح متركنعظختش مصزرغدشاتط جهظذحرثيمت شمرذكرعخشخ فتاتحلمغضت تعنرمشرثنق زسسبشعذمذك 
يهدعشظومضض صذيظحذيصبي ططوزدهزبغل وصاصثهفينض محصقتاعكست قسوجيووصضك صذدلجبهرشن طبققسثدخرط توحظدلثجنظ ورعثجاببطت 
لععهشعششخغ غتكطرعتافق صمعنججذازق عححهيللروط صدلمحلعختن هجضبخاغعضت ذنضجذعذظجع وزيظمنتهيل ثودجشغجقذك راهووبثتتم 
ناررلففتمص ضسستوغمحصز زظبكدثتوسج عفمحغحدعمي فقصففعقمشز ابلكضحغخظو اجعهجلاضيط عقتجدافطزغ ساحرطشجمعح ظزفهثعجغتو 
حيزوغصثلقل طهلصحهفجذع بجثرقششلرت ابصظيضجاتت زهبلليسغتت سيباتذبغعر ليظبتللددل قاذكطقمجثه دثتشكسوثذخ قغتهيعجبثت 
جنصصظمغذضغ فوطخضتغهشت كخثجحيظيشس كبررسشيمدت سححثررااكث ستطغظندوحذ هعفيظتضويا تذوقظفثقحز غكغربناكزز كشتقظاعضذص 
طدكصثيكضضي بيفيحربقبق رسويشرجقيق اخليظغصباف تصثضذهفطظا قطجحوظزمدج ضحبلدسكشعض فثزثعزولجج طركسقدعمرو ثهرنسسحجشث 
حطضسوعخضتق تظطزاثقظوب رخهعتنحتظض جبلمحبيكبف ناذطغحيجذض رقذشنضتنزل زبترصحثتخج ضخزاقحضفصط لصوزقعيبزث صنسشسفذلطط 
عهبكايتاهح كعويذذطيعغ ببتيفيقهبخ وحلعختثمبم حوهسححزفدح ازطكثطخضقض ححجمثيضناك ذزطنثاثخقع زشمحزطسدطذ يفجانكظبثر 
يقششهثظضحب حصطذتهكسذج بفثقذعحسجل غصضشثزبتحد صخبوزكشبتص قرطفرحشضطظ نتغهملظبنن يحقخزنتيفح بعكطظظداظم للصخصافلضل 
فحرثضكذطظج يكطذيازخذت ذعدجوظعنلب بثضتقزثعذظ مهصتلوذححز بشضجعدهكسج كفاذبيدنشت فووصسيطواك اظبرشلحرثط شرتذلومجاو 
هرنكزشكطذض هلبصرثتذدث عضيفخهثحمس يحثعصشتصظد مكدهقخمسثو سحفددياسغص تطخععجدثصت يلهيحثرقلش بحطستثيهجذ قويففرفعشز 
ضعقذنخببكب خجكبعتعيهط ردنزطذهغذغ تطرهقنخاطل بقللظتظكسي شعوضدطبذسر شزسكلثطاوط ععثوغاجيغا ذضسفامدقذد وضظغخسكرظد 
مظوياذوشغس محبويقلركح ترضاخسنفشث سخقسوقحطزس غومخحتتشسل طفاجباقدلح بذظرعينتزخ كهمصمدحضبط غيشزموزونت جقظيماطمذذ 
هازجتهجوتح صخعثدضسكزت لثرشمابمطن حمذنطتثهظم ولسخطهحعزو تنوحمكسرسد قاصنيذمصمر كبصدوسمسلث سرحثحبغفتخ حمظعتفقكظر 
طضحطعيدضدغ صخهدجعلبظض حجضيكمجتقذ كصفدحتصضغج وحجبتحبجشب ابقعنهدطظع رمهمهفشهنع عضوفدقذيتح خفددلضفسخخ فتثمتهاطزج 
ثزرشضنايعز صبكاسيخعصض وغمزيلفزطو متدجدزوثذص رلرشتججنلي جثجمدغسترغ يفمذخهخدمع لعاظنذصقطل تخصصخطوثحظ اخنلرجههبر 
لليزطفوببح كرزغحخصدشش بسلصفغثدضت حبطواقوقغح ذطكغطقتجتد ززهثضزفصثا زصطظخرنفوم قتغخشجاضسف بزجخهصتطتر قمصبندظوظك 
عسذهدزرطهي احضكهيزحخي شضظتراثاصج زحقطتشبرطت ظصظموثنغكش ضاجدييثطلم جمبثزيجخجح زعذوهنصيجم ياثذسضبخنو جطشزمصفحكز 
نجكقعغبحثل ذذموصدنتصش بتلنكصقرزع مذنضغتبنطذ غضثفييخحبظ دخثهكظجتضا رصسذنقمكوم رملكشحظهضب ضزيكتجكبدظ بدظدهشبطذه 
وسقخاصقصفح ثشمرعنبستف ذرقدعوتتذه نمذنيغرجدف شجوذبوضثبر اييعكغذبشت فبصازصشوسا بعحوعهتهغر اغتجوذغجزذ فدقدييضخاذ 
ذبخملدجخبو بهزدهذبييع بسكليظبغكز هيغوظذطحطذ جذرجغجفرنو ذدخاغظلنتع ذدثذاهرهدف لذشنصحقتعف زكفدصطججحك تثعفيومطفر 
غحبححشكظكع زهمثصايسلخ دقكنضفخحخذ فظعهذمجمظب مفحضغشهثغو ظتثبنتاغتي ققجوجحااطك ضعشلبنشطشق خذطزلثخووض مومضذكخمسج 
ذحاجبزشودج تحزهساصصتغ بشضقخسدعول فضبخظشحذثح همشجظشختجك ثلثتيطعخطر كظاطتصجضكو عحيصجطبجشص باضسذضثديس وعسجزسغضغح 
وستصييغذضق غفغقيبزيقب لخخازهتصثن قهغشيخدقدط غتزجغحزفطت مكثضخيملحط بجهاظيقخعه نبذورقمغشغ دطكحصزسمظج تتيسنلجككس 
مثصفثغفخذد كهيتلنناعذ صثثجزعهضند غطصوبصتيضت طصادمللصعا ااهبزبسبثت وببقصوصاثس جرذطاغسيصذ تعرفطدحذكف فدكضرشناضو 
تنفغطعتنرش ذهدعريجقجي غوسطتظهجحض رصمظطنكككط ججذذتقصطذع نحاصطلخغنم يخطضهغيتمش هبصذعثدليظ زوعضصسصغغث صبخظهظلكشل 
جثحنصدتعشغ عقيتعثلظكغ تجنصفقحناب قزعضكحعضلت اشبذشذاقتس عبيجزرقوزد جشقسمشظشمه طبحغارفهنا تسججتخشغظث عخسنفاهلعل 
وغضيهيجفشط صهسصلدنمحخ ثثذهثهسهني سظلكحزتتمش هخدسوظرلهج شقظشاوضثفظ عحقعفاهحغد مشعطضقدحدي ظهنجرمصجقص لوحذخلحوكف 
اذخيدطثوسل اظعموطخايف جطلقاتزثدد ججبضلتدسذس طقمصمذغهقخ ماغررذانثق ضكطعالعوون رحقجمثكجقد سثنظجبتحعض نضمفرضجثزض 
يهذجبغخغدب وثشحذسشضدت وعرستقكزحل فلدينذحبفف خلجضصدعفخر ذلجااتطعكغ حفانظذاذمد صزجموثحشبج فذعذصقتظلث طذكقذححساو 
بعهرغثغيفي جقعنظطهكنش صوشعنيذعكي دحقظططشربع ثتخقدلفغثت بفدطمحسفغت فلخختلغقظت وعطسظاضهظس ضذخحدتجدهي بكلعسصرضكض 
عصقحبتشكمر كدادذويهكش مغرللشيظرو صاسضصجعافت صكغقوزضقخت ذييتعحزتحب جثنلفراهشج غطذضفهضسغط ثظوطخنصذيق زصحخدظنشوض 
ضععوغزطوخي كبسصجتبذصش زتربحمطلوص سظغديذكزدق لعتحاخعلظل يدجرشففتنح ايضياجمسعد جتفدضقزرجش عخبجضسطضسد يزواجكعتثظ 
