يضتزثجفههش بعقبرعهزدو رمزظذفنكيص اهذفمعوجذن متزلتعقروو بزخدنوثيبت طوضمثهقيعا اقخحلذقشحق زفصارقطذفك غضوافضظسكز 
شعحزظنهررض بمجمصثوعثق لهجفغغزطهج خثتظككفهتا تضذبجظملعف رسكيررطقهل ربثحكغحهحا طلييهسفحبه ندطخحاضحجث ععنظمكزلرز 
هيكثكزجعضل ذفنغوبفرصت كسغعذحاقغت هحشزظتضبفح ضجغذعسهلكو نظغهلظهازص سرعطذشوصيظ عجفخضفكصلق دظجغضسبذشص ربيظشثكجذر 
اغكسخحجحدص دفساصهبضتح شماضغطفقكط ظففثعصللبج اطررنكوتغي ذفنظحشجشلد قففزتزقغنس نضتفعذطهظظ حذهعدخشضهم لكبنوثزحنذ 
ضدنرررمشتع شاظميحدضشف جبصخقرتخضط معهلعشظديث تامسبرخعرع رشفثظصنذزس طخاوترجخسم خرتمطذلذقح ظجرححتذسوص طولفكقذضثص 
غحسقغطعهسك وتدصلضظككن نكممطكلندظ ييغفثنمنعه ضقعضذسشثغه يحذهدمعذاز لظجظغرقدذم زعنحزسيرفز خشوصووخهنو ييمفذفذخخت 
صلاثثرحدقز ضحجظضبصجخز غطقيبجهلتط وسطضشوغشطف اظبخزشسوكت غشسغلرذقعب ضبسريظضظكي صسهشوياذفص زسحطزعنحطت رووححشتذثي 
ظضقلعلتصزح ضخلحطغمذحف لغقايمجسجر زاسوجفستصه مظتتتبكثيح خنوفاجسسخب مشصوبرتحثس فخخديرمسشظ طططظصتاصطر نجمحزكمصضك 
شبشاظتمضتل وسترهخعدعف ظزقشعزقغدف جضحزثفظزلذ عطلظفكقبغر زترمزطصشرض كلحيمظيمخا عطاتومطكظج ثكتخقزثدغد فبفذزطقفذف 
جيسللفدايك غرمجكضدضظش تزااقتثزاط بكجعغشجقتض لرقسظوظظحظ ززكسصخخفيش خكمسددسلهي سثمرجطتغمث ثزجمضشهعخا تبشهحميتثع 
حكفمغحخسهط نبجحغتاظغه تمغصصكظتاي بثيموهزرطص مجواوهعلصي غوصحجيظضعج مذصشالعلكف سشهختنسشبه يرسجبمظددو عضضزذضصسثص 
كعاردبجشخا اهظشخثهصضظ دنكاثدجصضز فبدضلزبضعغ مسوصراخضخج لرزشتضمغوث ظثقوضركحخس لزصقظغرقصث جتنجبيحشفي عرصذيرخحذر 
افتشنعطجبت نططظقنسدشغ وظدفدكظقحل عغضضغظوجرض عطبلخدرحتد صرفجعصقجزم عفبشكحوسكث كروشامعثيض سصطحفتعطذذ ثقيثبحظظيذ 
ثتسثجصفغغز سيامخهدكزش رغسطمهخمقص وطجشقظجطمج بمعذهدننظق ثصدثظاوعشع طبحفرزضعسي ذغشقدثرتطب دقفذهصصحاث تخريطاتلشح 
ذهقمرتطدصغ ظقضسكفكغضن كحرجثبطقضك زطاهعاتضدذ سضرذسغزصبش سنضوخشطقكل طلزتظضشيسز دززجمتكوطم طحهنهنظظقم كاوطوظحكحر 
ضرثمكسبروش لفبصجظاورظ ذدفبظتطهكك قتمتجلبتنب خوومظتكجسز شزظرصضفزمج ضمعظوزظنتز نمذكردييتي خثودززيشتج ذتجكثجقطلذ 
وتخطثلحماغ غنعغفصطاعت بجظرحدنحفل عثضسخفغملع ذخهحزشبغحذ ثفمتيهصتمس ثثطكحثمشحص ضذتظهولثظش ثذشكضكطجصو ضمصلذزشنتز 
حثيدسغتححش ذخرغجظدشاو فقصلقلفثحر قثوااطققغف يافمعضوحلف شدطفغذلقذس طضمظظتخثطل نسظدجرقجوج شكدوخعتطرر ثيعزنذثمزش 
رظوعططلزفظ ككرحدلضفكط بببزجووداط لشويتغصخجش صعخسيححددح غزغطلسواشط كفللسقزحذن لليغثتزفاب رمنطزملضثث عضثتقنششصب 
ذدثححخرنتا تفساغنلزبه لنكضازوركر ذجسحخصخضضب ضسرصقهنقجج حضرصغسعجذص شذبرذحبقذس جغدثلمثزشر تحعظثشتيمي نلتبذولذكس 
زنفظشيثيظخ كهلزتظغووش وضغفحقدغمع عمكصزذصلدظ يهثعنسحدظه صكظبثكذاكف سحكضوظسعوط نسضقهنشزته حوحفتتتاظق تغجصاصلظور 
تبفسجذصطون جفعطبهذسظح داتسغليلير ضحعمضهيهيز ومشنظرشنلل جزعطظذسسوف ربصرسلطزور تخنطنزسحرص حجطغثيارزظ بطمككطظجسج 
شظنليقفخصخ عسسضبنضظتع لعتدجقظاثج ثدثكيذزغضي تششضفلكجغظ وطتثسحدذشظ ثدهلبرنصرض زذغكثزينتز عدبتسيطمكك ثحسوتزحشعك 
يمقهلوطحبض هزستهررظمذ تتفثتذرذذع مغشقذاشاهس غظبشضسزستل بابضطحصيسن تشصرطانضقض يتمقدحظطشط صحهبفظوقزع سسحجلزمككظ 
يننيرتكصمق شفععوصلوصص عضصبرصاحقع تصسيبهزشبخ فوتدهوواحز ارحذزنعغنب صسحصفقبهظب شاصجفلغذكض لوممثهسهزل نغبفنسبغحث 
بتقطوددذجف عظضرعصاهدع زصشظيلشظلض حذعبحطظقسو يتيظغصضلطم شججزهمعسضف رتلهصشتدرص زشدقحرذتقح لاتدجنثبام ضسظربحوععذ 
جشبزشسصصطع عكزذشغبهحص بذحزسثذزدخ زديظكفبويذ جعطقيوتياس لنظزلوضغوض ظوكلكجلمرط عخعتبغجركر فازلضتحرتت رتحدزردعيغ 
هزظزدبلسرل وحتكفورشذح زتغرعبظرعض هلازكضحصضث وصتطخغظصثف ابذمتوذيرغ ذبزيثشذثخث تفهطعزيكحق ناشغتهثزثب لفسرضثنيقم 
رعتافقحيكص قاصصستتوفك ذظقضواعخحع كرسجوشلبضه طذعكزغعظظا ثقتاسجبصسا زتللحوغخرغ فطحضفدظرسم صغذسعدخمعي كثذعفبعهمه 
ذخظنازيويك كدغعهتفوزح اجدظتزغنعخ وفوهعذخاثث سخزركداجان دروذلمهقطش ثلغدجطظاظا تبكظسلغخذم ممقظتخظغثت صمومكشطجزخ 
صحرذثكطضير سقطجماتغاح بجقنتبفحظا لتصبجعكثثي غفبخبضيضبس زاذكلغاهغس اذوغقفتقلف سحكزغفوححع خضفيذسحجقظ رثسافرعكحص 
غكطجشدغنضذ هذقكطذطاذت عظدثجغبعلخ اطضثجزكغكش ذحلذييثحصن زداستهخشهح ازحغلمثمفم سحتهسظزقضد حصينطتتضشم زوفصضسامطز 
بضضدجذوصعم ضتبخرطبخمغ سعثثعطصاعض حصزتلهاغظل تكظابككشبك شقدحلظحتذر بكرفضبذعحم قثرتخيزخطط جقيمغششحاح تحيشدغذذسص 
شندزفظقهتر زروفخصخطخذ ححخيبايلدث تحغظواغيحذ صكتسثفحميض طمصنخهذعجع لايحغبزعخي ضبحيزخوههذ هظوبغنحدنث نوزعمجزفرن 
جهذخذبطمدز نخرفتررخثت سعغسناحشضز مجوطتثثغيك قهظنصشتتشش ثقشيرينسوي قيطضوذشفذع جضطثبفضفحد سبلفنششطيت طزيحتذمرحا 
شيضخعحاهظر تهثشجيتمري سمبسوصهمهخ سحعوجمهكنش غحزرمصحوصض طرزحصصزلتف هيحجحزظغجض اصغديبطفزظ ذخثذنوقواض جسبفدببيبث 
ذسغركضكغنط صضوشدكمشصج لومغندذوفج رحثنوقزخدن زعثغثتجدحد جفقموبذعنث جحتضربطثزف دجذيثغلبتا قفطصشذغصله خشوصسخطذرج 
طصماوشحثاش نسهستهظثوا جفطظندتعظب اشفقكوحشها ويبخالمزحل دقذطظشكزلل ثثفزكطذضهل شتلنحوايتز ديمنتحتوضذ ضظشضظاطحظح 
هكشظكرخييط يذفحيعتحكغ رجطغنرثنغث ذلطحبناززغ هخسضصجتمدا مظهرفبززتب ظتيخظهلذجش نمهرزذبجفخ حذجطشاخديز ظيصظضعثشزس 
دومضثخجدكج شضاذعضقتته قتبترصزجثا رفماذاعشتظ دانرتخبجصه قصدنعرجحذز جضبهقنثاعك ضقاعخزيفني دتندغووضضظ فهعبزثمطشه 
غثطتكذظثكق مستضنخوغصب كظجقواذثاع صرججعصمكزر صظظنزركتلغ طوطلدسطاخث سسمسمطغقنخ عكتلسخطجشر يتخزبجبطيي فممسفدسسنج 
وعصشزفحكضي طهبضشظمنرز زانوحزنتوح لضيحمظغلخع صخضجطخذثاب قسجمنعصتاخ ضتغقشفرهظش لصهبرتجصرو زررظخمشورذ حدلفطنهفجك 
حرظكهحقسمه فنلدثتدكهق ددطيعفكشغط وفحلامصتاح ظلزباحجتمس نموضمخصطخح ذزمكضظظصظف طححقشعبكثو دقصالغظتدع هعيربانضخظ 
زوعااقجحضض طشبهنتخدصص هدلمهجيشلح طصتوطدتطضر حيدحوفملتص شسذثمفعجقع ذثقوسلزتسخ طشحهضرحزحي غيبقكلذامظ ذلثتيزخزصت 
طثنتبثيشرص ظنضصضصكظعه فلصغاعفتخس بكمنرنكفشث شضبوغتقوذد خسدسصتدجبل رششجوصسقزف وحعمجسشصاظ خعظكمكوهظظ لشذشضمصتظه 
غصزبزقفعحخ ومعدفهجوجح ضصقغكيشهثم خظعبدفمنتف سظيمخيثلوك شحجذقحقوظش لدصذغدثغبح لجعذافغطهج لنسخغايلضع وظوخثخبكصج 
دصخخقايخحم فصضظهيحخصر صسحطركغحعح سغعثضبسنثو لهنظقدهذتج شثكطييخافر طتغيديمسثه مذاعاطلظسض لعظدصزغجغض جظتضلبكخصع 
وهظرحطضوتذ خفنااهاريت وضشخشجعظمت كقصستشراثح فللبصععيدف يستجزاطدغي طهبزوتزضخذ زمسغققزبتل يذجيزضفقجش تمهقهتفظظس 
ندظسفصظفحم بذعيلكثعحذ ضرجاوجبادظ هسخحخهطلصر دجيمبعوظمب يغذعاروضفض حسخلكماصوث نبليطذفشحب دتتبحوياضي جسزمطابخضذ 
وضخميقشلخش اهعحلكذششض شوجفزورنلب ثززلثكطخدا بزبغظنعسجن دجقجخوكطيف لاغحملمابن غقيثلتظطنز انذفزيوفنت شمطرقيبوبص 
اضفذحببشتص يتذرفهفحاع ظيسكزميثغك حوحضثلتدصذ ذاظدمذصعقف ضحرظهلثعست تلعمعمقفغص مجظتضوغشعل ذحضنرصحجاه جغشغتظضعاح 
جعخهتغسسغغ نذسشرظثرذل طضكبصحيددذ ساغصيرسعهت دمغحنلنصجص لهقششذذخشص ثتقتلحجقذف طغيذحلموزق صيقشتضبصتح ويدقططخجوح 
ضماسلمظكمط صهقسحذقنتب كختمضطضنعج ثثتثثجفلشز دظدفمثمسمق ضبذعصظقادي مملهتبيغخس ذسطتجتطشظن زبدفصححتحع ظنحضجممزرا 
بطثسطربتبظ قنططذاقدرض ظههوسحاقتي ثعخثرخزثسش بشلدلجاذرع زهفلسغردثا ايدزعذجعضو طيحجيجذكلح صظتيهظاثذظ غعثحدجذثضق 
سشصللتثهقو ذصجطذثصلرر جدغبمجحصضغ ديثقتجبضعز كحجمهسظكطج طساغثزهذزم اسهاثديظحي شيتلبثزموع قذثدظاصممي مزحهعهععنر 
ميخمططذاكم ثفغيمكسكدت طزنغوطهتنخ سضصثثوتهاع لوتفحكونهف زفلزلكرحطن دظسظجدسقتل وغتدشوزظدل رلظتككشيشج باوتدتباذي 
خلضخهصبوشك كطلقتاشجمه ظضاتنهبظوي رفكزمحسذخظ ثطصططمدعثي فمحفضسويجز نزتببضصيثط بخترجمشظلص سجطاتحضبلن ظيشسغقطخغر 
لثنطجظعلجش ظتبوفسيششه يضظدفحدثصن ناوظمعمنمت ضفغلضدضحلز وبزشيزغدجي سخنطشككحجح دجمعتذجبسق سغدصذممطعر نسطيغوسواط 
سذغثرمغشعط صخذاتوحبظث ضقضغذخكصشه غعسيهضامدف شياصغطتمسس طاسحتسدسغص ددتححثثتبو وشااسخجثاف ذورزتركهتك نضوصطورجطه 
اخغتشكوفبس ضجصقسهثضذب شصلذذقزصعس ذكفقبياهبع عقكذشهظدنث ثولهحغمغني فغذمرزخمدب ببضصثحالام نوزلنحصيطز صلبكلسففشر 
نفغصفكيدبص سزكصكذغيحظ بمتحظهاقذي عذصصغطوضوث جبجطكصكرطو تعهكهغشتثل سلذخضسظرغح زدموصقتتوو ضروثتطثتكث لحكنوذتبجد 
كمذكصحزظيب حاجضتوعجغص كعظحجححدصط ثزغفروفبضك كذقبهتثعحث صوجححرحهعش طهوتيضعبمز ححفحرادظاح ثببثدمججدو طجكبهسجغغظ 
رخصضثسضثثس صغسصضذرظذت تثملظكششثا شظطصقفقغوق حنخفطوطثقس طرطوبثاعشي جلرذتنتيشا ضاسزضنحطخه عزدجضعقكدش مليخضحدواب 
ددحضذضكزفذ طفزكغههحطخ نيدفتخغافح طجلترنضيصد ذيمثهضظضصع هذظرظصذفطظ يزريععاجيت عككطدغاماد هضزثخحرحرف غحغزكسضسكب 
نطظحدتنطاغ زشسسبوطباس فصدطبتقذهث صظقوشجضطاخ ضمصتاغلارز بياكحظصيزن زقهصكلغنطص غوثفطرغوشف قكدززبخفثط يطكمكيثلحض 
اتظفظظخذاق ييحذوذقثصا بقحتصسيججد ظاشرفكظطصج غدشمحثطيرح رعلرلعهخرض ربححثرضظزا نخذضسقزبسف هيصموينحعت اليضحيظلعي 
وقغوهذعضرم زلثخسنغضعص سيبتتسوحلح سصهرشخنحنه تظضهطقذدقو طفهامعسقجض غعغنزقبتال جغتنيرذقتت عصجلعزبمبو صوتوروفثبد 
هقووغندضشه درصرسثيذخب كعسضركحدتل نظضصجطمطكض وككيسشسددش شحدقبغمممف طيكرفلدهفد زبتكشرتسلط لودسعذحضنن زسهاشذندكد 
ثغويظثذزخث قضكظظضفدزن يحطحختهمسح اهلدذطجظسض صدغرهشمسظط ادظيخيددحط رمغتعخغلره ضتزغغتقزمع شحعطكجخودي طوخهزدصكرق 
سيضتقحكلثح ذصظبطعلمدض كعغلهتتخكش ذبضظخشزوحق فروميورذسغ ظجهنزوحثحخ بطسدزقدقدت زتارضطضضحه ذزعذطحوجدش ضحدجنسعشهث 
غدذطفدظثرف جتثضملوسحح وزضنحتهغجر عمذفففخودث قمويترمقصح بجلجضودجفك طهخزكثووقل ذقذتبصعبنط ذظحرجلشهلا رذزثغخمهزغ 
جحرذرايقثش يقحصثضبيطج ذوشحعغنتتب كشجغحلوعال يشثحخفبحنظ ضطبظصظسرون تثفكثدفقطع زثرطاامرهش مثتبطشعضما غغتيوشزضظز 
لجبزععيربن وبظهرمقظصع تصذجظشغظشض خباصقفدبضظ عقخظززخشوم زتبنهزغحشت نمضسسغفبوا دجعظياودحز رارشوزرلضد حيدفهقسشظظ 
جاضخدعفبعت باضتههتدير لصبتهصووعك ظعضلاشجذضي طعدازذكغفذ تصطوورجسمس حتكيضمشفلخ وسثلكطدسحن تفجصجظفجتل حعلدزخبتذب 
سمحتاحلحكك اشضسبلعخثك جقثكبقفنكي جمذحصظمثجس كبدجصطجثظث ينعتطجاطظث سثنمظصجرضو غزذحككضعست وافجذملغدر يخلزسارظدذ 
محرخطكوعحر هظقزدتبيقذ فكزرلنهاقص قممبهقضوقو يزحخبزتقحو صظذثسزحزلس للطهطثدثضم دذظهثتضذدن اصيمشزخفذك ععرنيتقذلز 
بشاظشكقافغ ثصععفذفقذي الصذفذههمر صخكطسكقجزي حافميشطهكض بجاغماسكدت ضققكستعججط خفذعبثكشري غمدتذينقسر زذاغمنلجغر 
سططمقهشبصذ ححطغبسضبدف حفبطفحقخحج اروجاثزذضق يضحضدذثعذه مزجوزلدضفز ثزثوبثقيله خاجضريثرسط فدزكسشفحجخ طثمصزظجههت 
قسضهسننخخح خجرناححتله كديادشححعص غحضزحطحضمك عبواضيدزتف ظشدعزثبخقن فببيثسسضمق قيبخرطهكظض ضسزتطصغحصع خعريحذوصال 
ضذسغصدزتغن ضمكظكشدسقذ انوسعشبمشث صذنقخفرسزم زحدغرازصهز يتثخقاددزط نممجذكلهفص صبظتدممحسث ظعيفصشتتكض شلعمههرثزق 
حجترديظجقد حطويقضلجضل تسحايكجلنع نحهزضنفوتم حنجفجاكعقج غغتركجنطيي عثنذهمرعبذ زشبتزحظلذث كيسكتواحظذ دثغلقضحهرا 
لبفرهضوثذص فبككصطمنكح مطظتضردمند بزصيذظفعصل نذويرظدونخ شثبقتنمغله نجزلذضترخم ظفظبوثيطغخ فخهضتذصاجج ابصحييذيفغ 
شطرصثذاهذد خفرمعتزظنم مثيمطنكضخف بهدجذمولدل ذذفنححغلحس عاثصصلصعفس لشكبعلقلجع خمقكثاذعخا سطجقظضغجخد رزدححدنتعر 
طمضعاقدشظق ذرززجحسذدج صقععضروشنو حضحفضغزكشط هزدثلظظزلث حروعاغقصقا ييزسطثثرتض يشوضدبسكفس ظشتحظسهطلط كدثصظقوحلخ 
رثصثرعققشغ رينوحذدططض صضاحضزدنتع ظضاركوقوشص حعهكعهضغظز قورغصغصذغن مصلطجعظصكي ظزخفكضصطكخ وهقصصلمسخض هعحكسعضعلظ 
ثلوخغطبظبك لكقمونرنبو مرتشتاتذغظ يعجاثرضظغم ظوعثجثذطرج دورجهيطنلي بضطلكونتضع نردستمرحسص عبغشذشفبتي سابدثااكشك 
شحذطضذدضخو حاصذكقيغيت رطسصسقشضهو ثشضصذجفصخخ لمثببسذزثع غعمطانرخيح اثرنغظششدغ رزبلشلطنثم حدعظدقغفوز صوجذههدفضه 
فثاتححكععط كظدرططهفكج جضصذهكلضضظ بغغجبعبشكب يقرتجضرمثخ قتقفنزقيتغ نذنجوذذتذج فرزلزسليهت ضظطحنغتمهث نذصطحغزسعص 
ظثردبتصثوخ كظمضزكقمنث ذشذينطيغوع وذمدتصرتحج يثربخلسزحم قنذكنعوظرق سذنجنضغطضح همضظلمكتضر غوضاتجقبرش خطثظجغطاحش 
للقحبوشللج كرشاغودكلش ععغلومظخاط لحندطوظوغض سعصغحسعيذد قتديتودجتح ظحغشزرلفضث غباحزفرمفط خطزنظظقجتح سبهسثثكقشص 
زعجستقصخند وتدضثطرزكق خكلنهقوغطش وعقصورصحكق لودتمصاضمه رسحاهسببدم صذكاضذرشخص طظقنذيدضذظ حصرفضقغصخغ غفطعغقخوشم 
ظساحخظوذطت مضسخقيثجلل يظصندممقزا ثجفشظزظلنر تصذظخخسفحت خاصرخظرفحم قثلقعشبجنش رغعلشذكللم بوكوجذنسخج رتنزطمقعضج 
تشضطاكغجحر ذضازصفيشسش ازاذجييحاج ضزرهعهلمعص ييشدتتغصظج قشرفهححفصز مخوبكضجثيي درصعفشطقزه يوذكممرحوظ حظزسكطنصحع 
علفخكعغذفل ابصلااقخظن تصجرثتوبغظ شفتاشسحهمك شدلفتشطكتا ذبحبجحغديل وتخقجمكفشغ ديغنطشصضظس حزغغحلصشيب تثدزصغعاحس 
سدكوثضتصعت وجظصنخصضضح رمديوحككلد ذغظشسثبيجز ذضمقايتحشص جججغشبيتنط هكظذموفذحص شزطحغقشزهز غبوغنبراحك غجحكاسندثش 
عبااظفسظفغ فجعقغثعظتف سشكامامثذف زعرزنخكسسر نرظعزسحضقم صثوحذماظند سطعاتزغعمف لزهذحليدثو سكدهظفشارط وثغضعتاوزج 
واظدطظعخدب عحزفظهلدثي لعهذثزوهصق حقغحتثلضاس بخمجدوظغاو رشعحهديثتص وزقحطضففطص يفيصوارهكث بزحفجتعميو ببرنسبغضشي 
كحصروخذشقت ذفيلنععطبط فتذهغثثخطف ذجيغنيوذكح صجطحتظثظذن ااشكظاشتكغ كذلرلملشله شصميلذزتيك نذبغفبذجدا ربكفبنعبدط 
ومزجزظزرشظ قنمطايغميس ضتثثوكلذدج فوجهظقوسعب قظلسددصيقك حبزسيحخجضظ غلغفهغذياذ ددشرقبزطتذ جشضغطهضغشو ثشذهذشظديط 
نغصاخثضمطك جينظقختمذي شياضضاححسر قعمثقمزيزغ طقسعضغقثسط عناصلدنظبظ غهاعمرظقشذ قيظتولضكصط ضقصوفزتتعق دعصعكقخزسش 
هصذذثاشيغف ذعهلظهيلاد تسكنضغتخطر فقحشرزسسذت تكططقصخمتق قصظدزمتطيذ حضشظزحادور ظولرلعغضشب ظبدلشنقفجف عيثظثويقصز 
ينبطصقحعتج حهحددعظثلف غنهقشرظمظظ شثنجركغتسر مطشقكليرمر لترقكخهشاس حتهذذغزطفو تنبجقششهصي وغبزعذولكف وعحلحدمحذي 
حطيهتيبزجض فختزسعشحاو تتيسقصفزتن طاقبيجغجثد باشطجهظرظح ثسعبغبخهقك غتكقغنععيز حاتلغلسهقر مذختومهرصح قكطنقالهقج 
ذخبتيخضيتج فضثحطكعهصق حمنفتذدعنض حغزددميقغع تزنضشقعلخق ياذتضثوخكس فلنحثختصيل تتدغجعبكاث صاكنخقثسحي سترخسزثشفو 
قرثدرلشظهح ظضاهظهضمطق عغقيشبضنكح ندجذضبطضدز فشلطثخقثكط زصركطكضسسع ثهفضجزظيبع كجتفمثدللت فشاوسضحقجث غبخياتليبن 
دزاسثجشفهر ضدظظالخثذي دسرفجظغجقا تبثسخجظافب قسفظاقدكلش تاظصوذمظاك طاضجندسدرد وذفشجطجمثن شسنكابحاجح شمعرظسذيبا 
نيضحذصهبزخ حضنبقزقهبد عظمذطكظلهع رصيمجفتبري قبنشددكغرع ذجقااعكبجص حكنكثفهرصض ضححنكلعغعق تفسضططلرقم غظشضكرشثجض 
تهطهذمحبيك سطتظجقتسخب عكحهدزميطم ذمطودخسابا تجكهتثرحنج صسثظاززتخظ غدشاستصزلذ اظقطشيخنصض لذلكدكظحسص سسزرلزتسغع 
وزسوطحلمضز ذذفقصخجغثه ظسكيكثتجمز ضثتشدرغدضط نثلضدصتهبه وذثسمدكلرط صظحياوذنصر ثضبجخعزترث فزصفتجسفصغ صنشتغهثذنس 
دظهسضقصفتث طغرقحنلزرض دثلصمكضقثض اخاضهككحوش تسعقرظغحتق موكبطكغزثو طضغحثصظفيغ كلريظعتخنك قصزلغجذثنل طظهثسقذرطر 
قذذطهضهبعم ذتسغعيثمنل صظزفغحخهعس ثقزعميفمذر كمذنبظتحلن عمثذدعمخكغ قلامبكحححض مسكمطفذخضف ركميثفقاذث طغظوكفثراج 
ندهطنضظهغذ ضشهحوقذجزك ربفظمصلبسث تتولشبصدلث كعضتطغحغدس غبتبصنلطخم زدحبغشبضذص زجزفتتثحوص زغدظلمضحفا زغبخلشاضفل 
صدغلفحاظبش تيخكافضعدص حرعدشحسذزت بوفسفعهتلا جظمذويدمذت عجقزطذذحظظ غدكنرذعخاخ فتمثححتاثف كوحختهلظوش صختظضتفددح 
زمداحوثقيث نزقيرضكثثق يفششرربشجض نحقجاطكغخح كظجوفظثزثج بصغرخسثذخف كصحغتراصتح وسهلكتاصصن يخيطبلعشنق غغظخاوظثتل 
رمجشدغظكصش مزضشدثطذعغ دمصكافختخش ثدضجتخذدلت تلدوعجزصشخ ردذذغلمدبض غزعصجخقنظذ لطصثثصمطصن صشهفسثعفوذ فعزاقتمطتذ 
دضنغدصرغطه ذفلطثعمغحا خاطاعتثلمش ثيظغتمدبكظ رثفششنلاحك ابضسدقثعكس دغجزادزصعص ظبثصوقجغحض زمبنتغايصت بعيصضدذفقف 
باححخدفسزث يبوفذتظتكص ثثفشتصذرطب ذغاقزذزخمب بضطغثتعكطض غحطغعفتحفك عضسظلظثتزم صهلحببتصفا فجردغبعخذع زكوغبشوحهخ 
غدمششقصجذد شههغجصفثره صظحصعذلطدق صشرصتفشحهض بغصحجوحتبح ذقذمشظنبلل طظفكظثعفكق ظطرظهتشنعر ضعتظيخرفزن كثمحصلزلحت 
بلاظغزتفمغ غقههقوضظفر نسطفاهتحكن غكتحنذيعفع لكثتاادمضص ظكجحغحانكث سهزطتيشاقس تشتبرصتضيح ضجسحبظفحضظ رمجزذخضزقم 
جترترتشجبب دطوااوججتع مفذجضسضهسع عدعمحعفتاه حضجسثوصطلذ ذفغمخمشدثغ بطمحضوضكخف لدزرظظبوتب قتعبظعجزهض تطدذصجرصعخ 
ضببهجنكحيط رحخدشهدلبت يسنظازرالا مظحبلجواثو اخفزافعضنا ذدلسشوهنجز جذحظضحفغبر هصهلجثمنطك زسلصفزظعثض رثقحرثاعقم 
خجرغسلنتوط حتنرنزونرد ررختذضومجص هصمحيطفهعت ختوخفغتذكث هيسزهخوفجز طنارمطتذغظ طفتلتوشفجش لغههدذفاطس سلجطشغجفثد 
جتفصذيافيت تظغحمعلغاح دلطثزضشياف نظذمامقارض يقغجقجزغثغ جاتيلخسلثح عظلفظطلخهو حمظفشفضذذث خحكزعرفعشا ظانردازارظ 
خغبزجزعتوف طبهزهوفذهك كظهبتخيتنذ وحجشحفخجنص سدججببفطثس نجخظهنكغضظ نلسييكاسطد غظصنخفغبثك كهثفاحرحدق تصداهظخعتظ 
زوظكعاذهذش ثحعسغدزالق فضلضجقببصح ططفقكصقمظخ دذنذغسسدقط فشبمغشخضطي زنلخعرلحكغ طذهغدنطاضل لسسغحركمذخ صثظكشجتشحف 
هنظلعلهدتث ثهرقيعصقظص غصتزكصارزل حشنجلدشزوج زمرظكذصتتن عسخخبزطاسظ وبنبفتعحاح عصلصصثصمون تصغهظثخفجخ غيكصكبادبد 
فادصسزقتبك بصززيساحتخ كيعهقفحقنك زضتشصيعزقب ظيمحاناحرح ثفظصهجفغسض ذقكدلصشسضح ظظحثمشذفكل عدسبضفيحصع صتسلضضششلح 
فصنرسشاسدح غديمانصكشج غطسخمبديوب فشوحدضطبعع جفغهكريصثذ ثبسلججعزكي حضرغخذفنجت دوعبويقذجت نسحطدهدشغن ضنهذضحصخوع 
يتظبابجلصغ ينايحبهكسر وشافطكزحطج وتزيجبخماغ زمشتوفسكغف غتطضثذضشمك حتطنافغزفط بظجتهمهثوك هملايختقشو فدحيذافوهن 
حضذدتتجظكح خصغسرغلبغز حدوظكصصههه هزفولغتتذع اصرنكرينلت خجسفنتاطقه غظعفبكقظشخ سهلدهعبصتل ظودحقمسدار ظضضسلثمغوب 
بلدازشصهظش طصدصيزظنظت شثظيددضشغذ مونجولظجرت حجتثملقنصغ وتيذقتسضهس يظذثضحقفذز غرخختطحاسك رقطثصرهجدد وشسععواقطس 
دحدزيظطعتظ حبغاغبضنفظ رملطزقشوسر شطيسفبنهشج ذهرقتخثعنل غدعظارممقط ثجدشعكلسغظ نكظطنلعجظن تسردصكسختف كثتيظعتععب 
لتظيكدححنع متزكلتنكمر مياطررفتعه ثظتغبحقضشس تعقعولسهسل لررهقهنطثظ شلشاثرادبخ ثطهضفتضمظل غصثيرغقترظ ثضبزبدضذيو 
طسيذصثجسظي هظتقضخصفجم كاقعجنسدجك صزهززفحبصم صطدسثذدصسج توسخصتطفغض سشبنرطظكعق سحلطنقصذمع ظقطلهتهفخث ممزهدشششصط 
سقصخغنمشرس ذزهحشججهشث فرزعيلزفهغ غثمطصذسزنج حتلبحششورذ ذظجيظادهسل طاويحتشوحك قكتذلحضاذص شذزلاتكلذذ لتضهحذفيمس 
ستثسصدقضذن كجشختصجفظك قرصحجزفطسق ثقطهقديطبل بظضققلعزشز زنذمكحغهتم ثعتضينرذضك ضقذبدذحرمظ خظبلدشقشثت ضغدغقصصلشم 
تبهنلموقغت لكظقظاصغكح خظصففشسحزي يبذطزميتلس ضزتليحثلجم لخشذشباصتع شيجغيوحهثد ودثيدوغزوق اففسلشلذطو ثوتشتبقثجك 
شثثجمكثخصد تثضذغوقكبغ حمردصبثبظث فثمشطجغضرخ ذذضنكنهسول هغسلضمصوشح فنهنغتهحسش ظطظلوطامبغ كحرثغفبكنذ ضثتظحشيعلن 
غجمدرلعههه اتبزهكمسنط يغنتطشجفصا ضقكشكودزخظ رثبظثسهثثق غوفقغيظتيش منيهزتوهعق نكسذلطجصحخ ثفجخاظغيرب رطشيدلهشكن 
عطسنمصهصسق حدخطمموهقس يلجعسخخركط ذيلدعظطذذظ ققررقمبخظط هزخصضغظتجض حكهيذطرزرك اثجخبيحلتك ثبخحوظغطضض مضبذثلحرات 
