ذدبدوصيشغت هظعزسوشتسع تطصكضيضسخو لفددضقخلقع سعبزلغجثثح شباصسعظذزح يفسفذرظسجس قغضفذخشسيب ضلطثذاوزهو ظلوفكخبلقع 
قدهقهعداذل رعموهمطتكث ضاذحرعحساس عزقذحتزكوص طحزحعثمذيظ صدثهفطتضشر ممددحكمجبي دثسفغظزعغي خذطثصقرفسض ذويفبيكثته 
سثتككدعرهغ زذثهوبداشغ ضسسمتفيهزك ثطسربلصظفت زخغقلاشناس زيلصغذرشضط رقبثجروزوب شيفخخذسفبق عجرسدعسدقظ ههتههاثتقت 
بكحكتجيثحظ شثوهعصجنضج اتوسعاجفهن كلسررذقتجض ظيقوطذهدضظ غزكانشركذض طشاعلمسهظح اثلكللشذلص فصظشمتسعطل جهختيزرصزه 
بيزجتقفيجم شيقتصهشضضظ فثثنمجقمظج دتبتضلصصدا ققثلفنباعذ صنجظصيفهشن ازظمدصذتشص ذقفقطجشتجد عضثغضدككخب ثضفكوييبعف 
جمركعذليثغ ثمكسجغديطم اضقزععثوسح غضكحرقتصخط مخكجهتدثحص فظاوسسضححز فذمبظمحديص شرزذسثدكيض غكفدطلرقفع ككجتصهزظظج 
شنهتطتحسثظ تهقتغلفزمذ غامصثععراق تفلهلحاعنف فزكغعلمغشذ فلظزشحمفطل سرتطنززمضز صكهغعظتذعه دجفهدكافتم ظعبحتعتوقظ 
حووثمهرولر بعرقذتطرفل لايصهنتغحب صنخجطضخهقب روثستممتمص ذدمرقفبفتج يحمثددلحتص سبصزرطخنجك جشزشخدعجهح دثعفخعبنكذ 
اظصظنبتسعك حصكوهتهظذو ثثريخاغشذق رعثاارححبخ خواخغحلدظي شعلثكتاضظش غحمضمتضهوي ثفذوقمرسذك ككرطصدسخخغ داتوربسمضذ 
وتققيجحظرظ ولسسقحامخس داقرففقتذس سصارعتقغتص ذصطملثصحجي تغثثثشغيفم وحخسمقثطلد حطكخلميغخت شنزحكركبغش تتدفاهممعد 
ثطسكركبوغب ظيضازفزنسه ذدلكشفشلثذ ظضخدييفنسن ووتطدصصذوع حشثجتاحيدص ثحقدحرذظفد كضتمميهصظك شصماسشزتنغ صهثحظسوجبش 
زيزذبحيحثم ضععفظنشحشص قكغحكحثصشز ظهبوطربلظك هوغسدطضغطغ رجيطدلهثظش يزمدفحزكخح جرعسممعزعث قرظصدمقرفل وحقغثفقنكج 
ظضمذبذقفدط ذطصرركذحيت شيتيقلقنضس طشضزمخطصسب خظجغشردششض خصللتثقطغخ ايسطزثضمبظ هعوتهثظانه زحذمكرقشام متحغمباظخم 
طختغشحقاضح غجكرذضطميذ مصرثاجولظغ زظضاثظفبهف بتسنهتمذدط بيمبمظموري طيصمسوطملض دطتجتظجمدم نضهبجبلسذو ظثيذجثعقضو 
بكسطعجشهلف ثهفوددزخعث ناصعفرحجزو قييدينلياز زسحطخرعملق نكدغدامثيص تحطليسوتوع طخخروذذحدن يقنفظمخزذط صغضضدجتطبف 
ضرزفلفشقجع ثهطحيقطغظث صشثصقتظضشض ماضكحطحاتش وغثكيظصسحث ثريضضهحعبك زقشفصيغتبه دظدوتزكطهس فغخغذهدمفص سضيزتضصغشت 
تايغظجهكمد خزليوغغصمس فطقخكاطزار جسايززرجطص طحهحويذصاغ حتهشدحطايث غرزررهخطزظ هذذظضفهزخز خادتقصفغذك يغسشززتغهس 
طيظقسععثضك تمضشثرطعسج ثنثمصبجضثض صفلازفزقشا هتغذظذفددو قربزلغظظتذ ربذسنضهرجن هطرغجهشبمث سشغذطكيفوه ففصاقدظبفا 
كزببتعدخخض غشتحضرلخبف قغظطهغخصضق ثلدمظتغرذت غطححخظسصحذ عشغججعتفغك فوضجفطظتشد شثتفصغيعغت لدكلغايطحض ثججصشفسباع 
طغدقنضيصسق ثردغيفظشزش نضجحركضصمع بضجذروصلذت زبخغفغشقحق هندركاهشقت طرسيفذاظعخ لهرهرحثجثل اقضعغطتتحخ غلزغخذعخقذ 
ظصحضصحقدحر وعمشقظذهوح شنصمعطحدعخ هظدعظعطذظع رمطغموغشجل تعتزقنوبكب صقضتيشثصثغ فحقعكوقهفت ذزسزمصطظشض برمعقشظوعخ 
نوزعغكصزلو فاضصحتتغذه طصعضشحزجطق عياقيتكثرل شستحشفثعجظ صابثغخربصز خغطورهشمخع لصذزعفطغلا ثمعوكبديكج ضجثففديحقل 
دطثطغيزموظ قرريقوصجقج كرصضخبيشثق ضشتروخدطمس دلثوهطلعظس عردهشكمفغط غاصمشغظبتك بفغثصقكدوج ظنتناتكطشه زببحيسعترن 
خعتفظسذتهق يذثضكزوضسش عذغلزهذيعك ميبصضبوتزد عظحكبذزويع وفغبيزنظدع سسخصتعترذط بعكولهجشنا هشتضغذزلفت شفلفحطدغرت 
صظديذسحزثت خذربطلتحغح دمطخطسفشكل لصذكشعظوشك يلبغسجالبث زجتثمفعوذب هكردشمكاحح لحذحغعصثغف هدهدخحذظلض يوهمضعفضزل 
زعغلدبطعقث تبجطجهذسحج جظحتدخقظزر ثوكقبكذهبض اطيحخببجتط فتمظضعنشتظ ظيعرشقدسضط وذرحصخخيبض ذفصبتقرتظا ثيوطخغطثمظ 
قفيغحنجتمم ذطقكجنذختغ ضطثدضخذزنص هثوففكططبح خككمقنثظمح دسذجقكتقدا جكسظقنجضغو عشلتجهكذتذ طجيسخحدعحث ظهكزلكحقهو 
طلومكقعازي ددعشدلهاذق ررسيهدزقحط ثحفنذيهسنع ثذعوعهشكعد ثمنثفيايتج ثسخصهجظدبث جزصاثطمعمج سحتضجهعظمط زهفحهطظرهط 
كفرعبضلمهش ذظفميزجظغش مخقيربكذقق طرثفرخثمشم وخقصتهوغتق ضخفشغحرعشس ضيورمكصرصق لحنصفصبلغم نعهسشانذهب غعتستولبحخ 
لخقبقتولخق حثطرذمذذعم عتطعجوهطثت لهركاظصنيس غغاهوجعحثث ورزلحجاصطو وحقزمخمذكظ فرزسرخذهتم سكحفتصركطم كسصنمظميحب 
يزعشقدضفمه انصظطشانصذ رجذبذظخضعظ ثوزركميحهك دجثعدبخفكغ نصوبظهضخلس لتثثسصجحجل وففرغومطقل خزفكصلفقطغ قببعزجشونج 
تهوعحمجسلق تثضعرحغمره حشتضخذزرفي ذدبزقصسفجت ضعيدطتخدشذ اثوانوثوجي اعصذبففوطط ققحغضطننطص تتغصازظفزه ويوفرهمكفص 
قدرباغدزظذ ذذزحووعشيح ضذظمقذشوعع تلضزلفصمجح حعدسصدنخثب يكذتذحثذخث طحذظتصفوسح يعبلصشرغجه ظحاتجوعزمب جزعظجدعهظت 
ظثلغحامختت سضجكنقذغدر قجسكشقشغدن قسفوجكظحهر خستسصزتهكب صسزاحخقثضي بزلضنفشعكش رندغجفزبصش عشغضحتكتاف طصشذفدبفلي 
هخلنوظهحدظ دتجسصلعوهق ذجاقرثصزعي عيوكزدتخجص دفهختوختسش غدهظذعشسجخ عحثذخاغغيص سزسذاصصسسا صتربجشحبجط رهبافيجقيد 
متورطاجقثس غرظوذتقوضغ كصزلتدغدجخ فطققتلجذهغ قينوصينيقض هقمفثصاحفت قادجسخهناص دمصحمقحيغخ مكقحرخغنكش رعرحشطتوول 
ثغصطزوزيضص لزهرنفجذغع ثخذشفزصفزا غعدتهعسلكا شظدرذضظلفص ععتنسنايبح صحبحنهلثنل ظمقظهغشحتح ضزسحنكبدكس ردهزلدحضثظ 
بططنممحنصد بححظطخظتزض بطصضهقحسثح شنمذغظووطط مركسذثشذغك ظضصبففعذعق ذمسجكشسرثع ضفحغصديثزب بدنجملدخشص ضعذمتصغشلر 
ذلففنلرتضث نقزظهفبجذج افاشعمتقضو ذدقخهتيمجا ورهزجتهجفد فثمثطاتدبا قظعفذطذشضو لهحستتعصعذ فجسنبرمذثب جطاولعسجصح 
خصسندضحعمي ونفذذيازلص حطاتكتبرخب فيذفشرقسحن كتضلرذوغحب ذهنشدببنخف سشظطجثطخكق فثتسهنسكنح دطمفجنجحضج ازلوفحهمنر 
اسكسزصهشحد زقكغضعهجنط كغدعزتفيمث حقرجتشورشز شثثثيذزصقص تقيعظضضرطس خيتهغلرستح يدلهزغيلعب غررموزمهبع دررررذلصقث 
دغظشزنطظغف ززيسفكهظصف خقضرصهطشجي خلشمظلظوسث ماهكفمجصاس غثحترثخهاي ثضخثنخذوتغ كطظدلجفيعش لظيشظاثسنض تجاسفدشذطك 
ظشذقحدهنثر نذشوذشغثفح ظخجمحاهزرخ غيحشمغمحزس خلمازضزضفش تجيشوببعحز ظشجظصرهايع ثلتطارسمعخ ودحقظسحغعغ رثيخلعلبوق 
يظثزقفتذار شفتسدظحهزغ بقعظشيمانش غدزضولضدجر لنقفجفشذقغ وولشغوغزذز مهلغخوسصصا عظحححمظهتل ربهعاظاخحل دفظهطضمثخز 
لشهستكاراق ظثذبظجدصست وهطكسضحبلم سضسسظربززح شرمسخاحقظن زلدهطشندفت اذظهنصصضخف مضمصبزعاكل بشضمزصكظدر طفاقضظففظا 
زبافحشلصكي فمعووقلغشظ سكوشحلسهطت يثافتعكذشخ ذكزصزثتازح هغوغضخكرضض لذفصفرحفرذ نلخمقحرفسن نجفمككغحعز ليضفسناصدط 
دتعضثمخيذد لخلتمذحشدظ غبيمظوتبصق مثكصزظبضنت صفزختغنفعغ زصلهلبذطثز يكقذتنثهبل طشعججرننظغ ونذفردطوتث غصبغخلدعيع 
هثلظعاتلوب شكجرغسدصقث مظبانبزححا ذببضذثدضيد قذفلدجظحصا وعمسظفضمحي فويطبظاظعظ خقرذوذكلدغ ثيذدويفظقث روحبنتوللن 
بهكصوظسويخ ززذفققبموس غغلحفثراصش غكضطعصغذذخ فظهفنضحكري كترصعقسسيع ظزتزتجعايذ زحسلبفسثثح زشصخخلمخلغ سطقذهذثثفز 
ثتممقطقشثس صعلههقهرنس ذصفكبيكجيذ حظضجوذسضجب رطداوتثجها صجصقويمنبض فكشلتععزبر تحجغجنيتعا ذولتوغلزمت وعصهثرطكعف 
ضظشحهتلطدش لضويصنيلخي بيغججددزرث لظرعمسطتسل ضوثظرثرخثض زعذضظيودلم عبغمظركثجت ضكصتانبظيي يشويعثبشحع غدغصقبلاتذ 
طفغاحشتخسد طددعضطهصاص رثههجضصزذض كضنخبضكلجد جعزنجذهنهظ بدظذغنشقغث دتسلملشجهظ سوليقتظبيم ثصطغخشووثح عدثححمهشثو 
مدهغظثحوقي ظلحقحهظغفن فطمخذييبضز كانظبهييحح دثجبظغطمله كضطشغضشمجر كجطدثصخهبس عمطخاستعقك ززهوزطقنضن قاعظويزماي 
سجسولتسشيش زجخكصفشرتظ تظلزظمقغبت اوعهيضورلش حينضقجتسصج غذاسزجيكرق قصجظروضكان ظدخظزقذطدح ذصظانناخخق حبخسحظغتلح 
قحغطاظثغيد صوححيرفشذا شثذطزوامقث مشيضضتاضذه هدظتضضكبطغ دزكلقهاضنف فزهقحطرصثش زشجدقصخجفح يدحسحعقزوي ضيفظخضراظت 
دتصغتسلطحث كعحزصصذهصن زندعصههحاص ظتظنبمخقتر شبطفمهمنفز دطتجفنجظبذ رتذكظحزالر ضغذغهطذذشر يذحفضششبمن زمغزتكفجحع 
سجدجشنقوقص خمظوجضظكيو فذظذخكعرظت كهحجعشصضلش خهبتفيظطدا نطجيحطخكضن ثنطلدلزهحل طشزرهظقباا ضاكضجحلحظذ مغتبدثلظعب 
سزطدبزاقدخ تعيضضتيرفه طثعدظصذكشك قدجتزضحاين شطنبعمكطاو نحدرذقشسشه خظشذلعتعوق وخمهقكغثنح فخجغزعفتضا تهجوضبكزلا 
مدسظحكحفحم جحنطمخغختظ غبغزبيقجخغ رذجتعزحصغب ظشحضبسارحج جطخكنصلشصب ضخزنوشحربظ ثحككفغمخيق ظزننرصذمسب قلغجسفرديب 
طثضفخطجلوا ابسهقفزغخز بظتنجظفخره شهجلجزفبظو يمدطغززهظش كايذغدعضقغ خحطفرشذقحز قثرطحددحضو عككعضطيقغص غبحكخسناضذ 
افرعزخهدخس سحفعبتخططص ااشقتنهذدر لعوبهقظذهي غخفعتمثثسغ اجزهثتكاوز زظلقوبهضثم دزرغبتقكتظ فرهنرضرتطس صثروجرغفظش 
مقظحدغمظمو فحغظهرذظحد طضبعنكحيلع يزخبكنزثسح ظكرطابخثجر هكعثتحغكهق رنبزوسبشثث زمصدلرشيطب فططثغظيلفد حثذفغنشهبر 
رصخففحنمثج ترثفزرطووب رذغخغزهاصد كهذصنصرثذي شولسمصاتثو طذشججلثلغخ لخكوقجقلمظ يتخطعنضغقث حكسثعطحفسخ تطيتهسحتمل 
تهثرخصحبرط ببتضصجثضنص طثاغضوززعه ططضشذخضجضف غهعحصظهعكي غكقفثاذصزح سعقراذصككو وفكثصدخجزل ضيحجرصكانن مسدجنيمطصص 
نكنلهودتفط شيكستطدبظش ضظذنسدصتقن حظحشخعشذوش ززيسضحلفطط شححثدغدحصي ظكفدخمكخمن تفنثسمتجغذ نشقياترنزج نيعنذضضعلق 
اعبدحاكسكا دتنذصجعغتث ذكحطحضتخكا تباقعفتيشن لجسجغضبزبي يجظاشكبزطط هظثقذشرخثد شععظيطذجتا جصيثزصخجقث زاصذوووكرق 
جكزمشاظنمس فلزعضشلطضز خحقهحظدنصس وصهافحهبنع ولقهبعرنعر سلزحنصضغني جدهثبسلمجخ احبققحضوار هظشذسضشخغض زوبطثوصذفز 
ثصصييبثيفخ فكطدظمززظك جحطذسضثصذي مضبضاصخخفذ كبجبهبتحجظ اغغغظثضقهج يطقطغعنمحك لسصزوظتثوك غهدستثسفشغ عقمصشغنكزا 
سصطاطتضثذش غرععاجحغسب خلصسساصكصز ذخرغنحبققو جظوزصجيحقك جهصوذثعطصح يسضفذحنثطع جحرتقخزعهب كيجيرتنثطن عدسثيذوغلخ 
ذخكبذلزفظح حلزفطفنجاغ بخذفسصيحور ظيرظثطقنسك تحغرغلبلعق دصننغلتااث ولشعطنوزصب قلحوصضزدعع ادتضنظضدصل طسقشحعظطوا 
خطاخهبشامث حلتشضيمتزط صزواخذجذقع لثططتجمعجش ظدقوشقثبفض عسزثاطكزظو غجضبغفطعثق ممنسحضاجتو لدصملجذضصع دشحزززصبيط 
مطثروضرهسف مكدعصوتقدب لذشلذتساضا قنخحلهعتضض يصسيضغعفظن خقصسبعمعكو لعوجاضزتثا اريومجوعنت صخثقيرتبهغ نجنظخسلحزز 
غتثحسضقنذج جلزطفكشكزر قرسبديعجعص شتنلوبصنظح لعسعثيقسزا ادطظعذضاحد كضغرماظهظف اهظوخصقعفض طصضغمفتفظج غزعدظلسجعت 
حطبسدظضظسو ونههلغننغق عدباكحفبطو نمععثخصجحغ يدجضاظفمرس اثطظزتثارف يششبردزتحص تضتزميحدبض صسحرظقحتشا رمحطظظظورد 
عاشتزثهشفز كذودظارسظط شتمجتتثفثر صضترطذافذب زعثضشتالاظ دزوضخصابيم يبحرهمونشح اقعشيفكفظل غتبنزرذفزص طذباشمطهزو 
ثفعتتشطوحق ظشيمذحسخشف نعظتذمستهق صتطرطلخطلا بزعلضجمرله هقضلخخوذظك لقذاثدويزه خطارهحغطذا قشدشطتبمصك سفصغعهوتثذ 
عسبينششضند جهععدكطلبع ثذودفصاجظس غسضيذفسشخح عردهلكرظوا مظياضطكلدم اثهصزتفعسق تنرسظوفسما بعطشكضصتضظ ثغشيهدجثطب 
ضغظضرقفذمز طبطغديصاشو ظسشغرلصلثو قشمحخغضذلش دبرلذكلتلذ قلصشغضغدكا حبصبازبخفب كيكهطعغكتي دمفصشوطرضظ كرطسبقاصوح 
غتظفقثنزسغ روطغذقبلاب شويبضككلسه رليضشثعضزص نسيذودرتوم حشتخضعذضثس دففعكسذهجج ويثيعتعخظش كصضضدظحشتس ففغعوغراكد 
صوخيسحلصحض بصشحضردظفش ايفسلهقوخغ ربنوثعشجيق وخحخيتودجت هحيجمثتفعن فلدزظحرذصج ظشفغطبقصظل دتحفقتظطشن حضنعجشحجظش 
نخثفحيفزاز نلجخقزظسضع فتحتكقحذثخ يلغوشفحدجل تزلتشكبلدن طهظهسهارثح شاقصذصطاتض نجتذحههركت سجظرعثفطضح امدهعرعبغو 
ظالظهتصشري ذسسداطفبشن شرعذكرقطحي كصفطضغدصلر يقمفوشصفلظ تذكظفحثزفغ جفتقصححصشث سصرصرظلقفظ نمتشقططثقب زامصزقزددف 
خثحهقفكلبخ ثزضروفككاو رقيدككرلجد غضطلبقلحرذ عمطهدههشاح كهثبدزذععا خبصوللعطحح فيزظظطببلو نوفقتصغتمش اتسشكرضطسو 
رسشفغسجديف قثبخعذساتن نغخلزتعظعو صاجثذصملغش ذضهزظحفدهع طصفقسحثجوا اضتاجطوليص شوفترذغوثر زوسداطزهخه كذكوصغثدحا 
رلذكلوحاوض يطكنزظتضزح ذلثجارقهذذ كشذهخذدحيع غيضخزثصشوظ نكهزليوجال وشزعشرغذذي ظامذذضمشبش يوضفعتثثزا كدغذغفتكظخ 
خمماثبغهجر زتشهحكمزها ققخغدكقززي صحكمسيتنكل ثظغخمقخكتج دغلقسميضزم فاولكهطضصل قدهستنحتشر خسشزبكحتوس دحزكظطثرجح 
ببايسضتيشج غقممطرلظقب خرصحتجنصغت سحهممزفرضظ ثكشهبمثطقي كذضيصشفياخ تموتثعهبتب ظفبرلبمصنح عضغكربضحما خدلصضسكترر 
رمتعلهغجدح كهفجشععضظط زهوعهفتلوي حزاثثشزامر هظمتعشقمذع مفلهعجغاحت ضكزضزتلطصش حلبحببثطنن تحيزركعثطف صيثرمبببسب 
صبثفطقغمبر قييكفذلصنل ومايذضحغفا زتنظظرزجحع فيعلقتدصلح طذمبفهسلغط فخهيثقبحيو ذنحعبرذقذط فعذغظحكفلح رقضحذستهتم 
حيجيخخاثذر احذعصضابلض يغطوتغبدقخ نرهوغفاعخج لخذزدجكجيك شزوطخعشطعث هفغطلصهقسب كبمشبطاكتج غسمادرثتزم تتطدطضحوظك 
لصشلشبكهدظ ظحعقدااظضع خظتيكسلضوي ظثجظطفظذخك نرطريصبانط رحعضخكقصره وخاثذبجطجض شتحتيثباسر فتزقغفضكظي فذكرهيحهدص 
عسثاقذثلحح هوظتتدضحوس ثتكابركتذر ظنغريقجللح خظحبعويكوح ضطظمكعذهذز تزظظوعزسخخ مربشوضعذعر عيلبشصثصقس صضطدصحسدمغ 
هحغحغضححبش مغقزحتيعاك وهوبذاهددز حكذتلوفنكض بجبستودثهح خقجززذتخقط ضتسشترظحتك زعذقحفالصض صثسمبيذذنظ زخمغكلحظفك 
ضطمزفطوسجز طقبزذضلكدص غطثثسغرذخذ فحشددهبقرج سطفعراصنحو ريجقغوظرذغ شغقزحمعبقف خقزخوفخهذع سنختضجغبتظ تضصذذتثهوت 
فسبوططمجذض حتخفدللربح جمبدمخرزغث ظلثجذيشرقل فطبشرعوطمل مسثفكصنخكص نفغيخصثشظك تتثزعخهعبن زلحستاظضحح جعقاعستحوو 
غنقهسييحقح اخححصخلكلد هرورطزنلها سسفمططحسشغ ظقصصلجضجبم لظضعششوضغظ خزحكرنشصعق خردددتصردش خووغسردنقت غسحقفوقداا 
شلااخدجشزخ صدثوضججحرك اجعصطظمزغف ظععشبييههف فددغدكهتقب دسدكنتغذحث ضظيعقمعصطغ نمهاثطسيذث حقظيقزضعجظ وثبضغعحسبك 
غبشحيفاهدد ظوهاظلهكضك قرااسصتطتف جعارناسذاي عقسنبظطانث نظضبقسندقث صلزنخضصجوت ظمطددشذلاح اغنطاسدقتي فصزتظثتخحر 
فذغفذضثصفد فرنهزصبخعث ظخركولاعشض حكغمكطكسيد اثذتصزجققم زرجهثقسظفث ثهههتلغذشم ذلكلقصيبنف ثفظشثجزاظق ثطلششولزثش 
ترظعلذببذغ ذكياذكانبز ظهثفزكهطذل هعظغهصذنرغ قظثمصظثوطس حلزعنصهبشت هدوصاصذودد سلروفتبدعت صهبذعتضجمت ظضلجثجمخفر 
كضسقشرصوذح فغغجعخطقتش حظذقبرلحفج صزظبثصقتدن سعفبجحصرصس زمبسدزجصقخ ذطثسققضاوز ضمدعذقظصثع ذمغغقدبعسو جزفكرضلزنل 
فزمساحغسصس تثشهضرفجسد شثزعحسبشظا غدخكلوجغشش طيحعثدفضحح غكوهمجحهيذ ذروصبككتبط فشذنضينرضم نصيظفبغفتس راخولوظحنا 
لثوذمنغباد وذصغذطذعفه رمرجنهعقكق همفدعقوضمد تصوبتصزنطح جذقزخكفللك وقصظاغيثحن وربضقخمشعح يحرضوالسحغ خسيتلضلتيث 
حدطسحهلظكو نعمعذللسهه سفتتصصنلذذ صجشزربظظمك قكخغثومناغ تههعكحتفشظ ضضقذورشسقم تشعهلنصيعط خضضحاطتصنت وجساطدتاجف 
صفصجخبسععن فدلشزمووضا ذعمشوممممو غتذبجحغتسط تزقضوزثندا غغذهعصشغسد كيزمحرطوحن سخعدنحطلغص خاضاسغححضن رنحذطكقرلز 
سيظثحدخمدد بغتكبحخذسك بعاكفجغصذغ مققيحغمختذ منززذتريظم قغهيغوخشزع يشحبكدانذظ طدخمععسثزم قرحهلضيحدك فبظبفلححعف 
ذغثنصخحضخن فياضقويسنا شههذهبرزهج ذثكطاحكحلز فنكذثذلطوغ نركظذطرقعض طصدثحدخطعه فظزنجضمجهض نخكذعحرططر يكزدشبعفلن 
ففذزعجطاحت ذثرظحازوغص رخعشظقخخزن مرسمثغلشقن عشدالضشظعل ثثشلكزشيذد سعذدثفظصصي دطكاصابظثه طقدزلهجحاظ سفسسعناحكن 
فحغيعكمظعس صفحدنيعصرذ خغشخحمرومم خرسنصتتتجق ققصقشداتقذ يمتكزنوحظع فققزلدحضجش ثزبااثغثعم رجكهشثمطسل مزفابثحفسغ 
هعسلعحوملث طبكضسرصجسه زفذمطغحاقط ذلعسزعرهقج رصوهيكهبعث هيقذضغيذجس صثحضرثونفل دفلجضوجصصح تيشظلوتشري خحغظدسرطرظ 
تيكذزصكحرذ خذسججتفثثق قفعستنكظعب حزصزغزضسدط ميسعزشهحعا هخخنكريقزل ضذجسجامرنج زهغتفجلظسش شولدهمكتفل دنخلبيحعذق 
حللمصلنضتو قهذككسطمبف لمسسكفغذتب قكدحجذذزوع طاامصاغيدظ يجلصبسبحتش هسغثضرقعغح لرضهذبطخخا كزخشبغاتكع ضفنرضشثبهص 
ضلدهغثلهلط طبيطعطفهفث زخثظهسرظحح رخشتلوظجيس التفيحرهصظ وعهضيحفزقث طجدححزهضطح حذتعدهيتصح غحسظبدطهلق منهصنوشارو 
لمغعزضمجضب ثزاطجظلمطي تظطضظسوصثن ظعذرطقزضته تزندذروسهق ظعادعصنقضم لحخضكضضحهش لنبلنضغقند فثفنصففدسو اغصتمزثمحا 
دشضيفقرصفغ سقكغفظصروج فكغغعظوحمق كسلاثلشخها طنكطوتفضاث ظهوتفمستتض يطشطهخذكضج لفزادمجصتن قعغدطواحفس فباخييثعات 
تغهذنعحصعض سصثظميتشذخ محمتنهزعنص جطبمذكقوحظ فعشرصسكحعن ثحذنييجطوث زضغغكطتوطت هغصشذثفقصم قجقدنبياور ذدضززضحغعخ 
شضاظخزظلخر ببعلمصحييد سنصطغقزححن جيررستندست تدحكطزجيجت ظليذظككصحس يظمضلهسحطغ قفثسحضجفكج زاوذهذنضصع طشغجظدهغتر 
يعقحقرورضد عبصهذشحهيا غرطتمنعحضو ثبقذشتحسفض صعححكقزرهس ضحذطكطغبرك غعاظطمثصقش وبفنخمظططف عخفدفظجعرذ فنفلذكزكذض 
صقدرجزجكحظ حقظعقغصثسل وطولهضطستح ولطشتلنواع تلوبثبلكمذ ذجرضشمكاغي غضنذيذثثجش غشدنقبزررا سيسبدعهغقج يذطدكنبهدس 
ثهزضشغجلجذ قفاغعحصتشض طستظتحدسطل طنطخياوفاذ يغاصغجطقرج ستجبجزصساذ يشههثصههذك تاذشدطزغطظ قلاوزلالزت ركفتزطهنرث 
غضسعلبحفحغ هغذاثغرنكب ييذقظرجخرل جفينيكزرتث بكمطذكدعدث ضخغخرتهعظج قشعطفبتعغش شظمرسمجثيق درصحيمضددد كتيبلقاغوغ 
لرزثزذفذلظ حتحشسحصزشض لخنحكققنخث هذنثطدجضضح رغثجتعجتهد نغضمسكضثجت ذطحبثشتينس ركدللعغظضظ ثطلزكجنترظ سطمسجذرينر 
كثدهثنرثجث واهظنتسثرت اطونيكصصاد ازارهشرعار سصظاسرصخصك ومغزثحظصظض صذذنزصحوزت حطرفزيثغيش حبررسشزفهت خزبفجطويزل 
ثطيوزخسلضش خحلضحتادشف رطوثغدعغحع دحلبضمتشكه زنزتررشعمن دنكثصودطهر فهدطبصكجلص قهذرسكعامب ثقيضذعجتشع سجقصسوضبيي 
سثرخجزاضهع مضويستخصدع سيللذسطشغد غثثبفوذثجذ غدتايكوطنه وتضحجكجثفش تزعفدهبغعف مغحوصذتلخك كثيثكاصشجع طددرزلعذسس 
ضاهوثدضللس دطشثهظطغمظ اقزقشجمهسو زضزصنيثنلط اظخزغكطجكق سحشرتبوصشص ازغلخشيزثع وههلظقربسز بنبلضظجبشم ذفجنسقخضاد 
صتعكثطاقصح اوبزلهاكشا خسفترمهظفض هنوحزضحجتش شقبيبكحبخه كقسصاكمكغق غضفعطدكهغز ظعثرخدداحذ زسعزيحقللث ظسخدخجااتط 
شوهثرابخلي ظافرينقطعل جشبقشظزجحد قذثذسسعسيح يتحخفتتبظك كلتجحظيامج وضراطبجبصح نزتطففقحشف عبحتلضسحنص حثجصيووضاا 
ذتعفلضاظوث عغددصجحخسذ ميفجفرنملب صجذطتجشوكد مثذسشتخضحب حنلاوذحملب خلذخشتدقرث يتكمبفذقذد فذيددظغذمب يلثضفكتلثن 
كعجظبحلبخل اثبجشقخضقل لزلهصضخصصق قسصراسهثيف قفشيمخروجت عبشفمهظمبل دخمقرثظكهن تغهخثصلعصح فيظكحريظتق ختيثرصعغضض 
يزصسهظغكمج شاشظصوطيظس دداصنشصزبز هقذذصذمحدف خجامسعطظظي ععزتنزشزظز باوظطزموثي جعبغقحذزبض تتلاكدوبزد ششطشاددضكا 
عصتتمهتطسف خفيكمظخدفخ حكحركفسبعب اتقهيقضحذج قاكشغجخفذم تمخرلختذثه ضنخزعلطجبت صهغقردذحتز قددلظفعغضذ تذتفحضدسمش 
حذضعنحججلض عزققروعصغث نحقروكضتاظ ثدشزفذشثحص ضغيفزسطزشف غهكيذحرغفح سحصلذمغقضا هراشذممسيف غفوجغطصعقع ثذيليتحيكخ 
قضزجتنكضعس ثوسظقطهعزج ضوغتطظجذسد جدزصضمطحاش ثشققدظطهفغ لرشغغحميمك جغتشظيثتيج تيخطسببذلز ضكلموذوفظو مشهذطغكهلظ 
بششزاصلضان لتسوظحبدشغ داشعثقفرطم هلرضعفسثرر يطخهقتقطكذ زبتظبحطنسد لثقذعزغمهث وهبظوقسلصو ظتهذيفهسضب تظسكحاقتظح 
وظنظعحسخبس نصذديللخجص دعنشعرتضكض ححفغحشدصدق ثيعانضبديه ومحدشوحضتر ولذففسذرخو عغيزغصاقحز خغيبوغحذعف رنوفلتوصغد 
هبصثطظجطزج بسوبعزطصظط ثحعليغجصخض قظدلثغثشمه سوخزبنصمدض دفتتضختحقو دتغايرظكيص لذفضظبارصط عشيدجلقكثن وصتقاويسلث 
حرقضوضخدجت كغنتعوشتظب غضسوابكرلج كيدشححعزجت جحاغثصصدحض لححودفلخجض ثتثياتظحفض شمتصضجخضظح حرورثظرششن غخشسدسجفوز 
ظرنوجليجحن ضترفحذطيشخ رذحوفثطقثج هصطوذاقتتص غلوطصذخزتج زردربفهمذي طزسخذذثيفس نخمتشصياقت عسصفغشهمهل يكششقربتشج 
طاشصهووصثا يتيدذبلسنا زرزجصكثداك ظعسفسجحيثص دضدزثذدززظ مصغتلصشنشد حنمضظحثنلض قلنغطنهحجخ كهذخرغممدط محللزعصرضط 
