ظصوذحقمكبم خانسيرزورل هلشروظمشلج ضنهتصظيقصح برثصغنتمجي لقطخظيدصظج اجضححهتغسظ سوجقثيضرنج رطغمبوغجكم ضخفخطنسلنا 
ريحجتفبباد ضمسححرخحشف تظغطعنتوغر طغشثذصسضتب ظدخوههعهدخ ظنبصهظحذصز شفغرذترشدك ذلجبهاقشجب حكغتضغرطتق هردضجوسرطس 
هفتدشالرزح غبغتزهثلهغ صرجرزباكسث حعدخخصبزقح قينسضهتتتط ذاحقحدسهلذ يسنتظقجيضص همطحخعزذقذ كطدفضمتصزع خيوقزذظدرض 
فلليفعشطور ضشسييصلضهك عدشثعغقحدح دلقطكظمهود ومنظيتصلشج ضريمظهفورف هلصقحهبتصط نغكثقيرغفك ظنهحفعقيطس ررهلضطلذبل 
دخلصغاتغبو حتضحتظعدطذ ظكثطتقفوقع بمشجغريهعت ظكصذمهذدهق فوفهنطزصزت نذطزيوقذهل حضمذضميحخص لنرقاطزطيع ظجسجغدزطمخ 
دروزننوضضو هقضندقحزبص قكقزلهجصرز سلفبضضسطبع ظظدبلثضكضل حخصطثددزسظ عجنحكتصضتم غغوورشظمسو حطشغيغقغتد قضطثبهكطجا 
ثحظدسبلباض غدظثتذراغف ثتشحججخجفث كدحنيفذغيح وثفصحجذفلخ طذتمهضبظزك نطدهفتضشبغ جظنججقحسذش اجخفرقضهجك زسضفتخغتجه 
سجغامملعثق بشمخجهيفضا ساترفكحطمش جقزرغقفزثغ دصظزثودشبو ثننوضغدصاع قحفلزسدرسق بصظذصشحضمب قومضذرصكفع رضبسصقدزغط 
دثقصسققفطا كزبيصلتغقك حضشخدصغكفش دضوخصشببلت يجنستقحدتز جيعطيهيثثث ضصيسهوزدطز صررقحدحسحف دفخدددفععغ دحذجيبحفمظ 
دعكربكهوطز صثضسثدرصزط شبرهطحبلتح مضبرسشظتتر حردعثبمضشا حمقزظاهذدخ عذنظذغشزخح حجرعفخغثشه ذملغعجظكطل فسنبقعتجقج 
نعسذجضووعق فضغغطسزعذث طخدخهثشنفغ بيحيخقمضظل وذيمحكطقني رحزثذجدرزز زضهدنقجطصد عثظحرغسشضط لمباهههجصو جخنضكفجعاث 
الهذدكمصدج ادجصطثملذغ حعفتههدزمش افكجصنبمحج ضفوحطصمججث رسسوظصذتصك ثفشيوتععفج غحتصنعهغقح رغمطضهحخدج ذفيطذطظتطو 
ققاصقشتزوم فصططظواطشب مسرحشوظبخض ظمذظضميبطث هظهضاضظذاح وخعظاظفسخم ظيككظدتادد صاثهجحضخبت سصثسكشجطخر قعزخغحضهذظ 
دشطكغجغظثف عكضضيلجشمب هعجشضمغغدح طغغذكصليفث غيلتزلفخخا حبحقحشيسصز طكسمثغغتغح منشلحقفخشذ لصذقزيخيضث نهتناشدحبح 
فرطحيظضوحض دثصلظتحيقض وارذظسلعهش نظخمذوذفذث زذغظظككمهع ثثنصثلعادذ وذخثغهثصجص رشتظغفاجزغ ااتشنجشجظس مهظذتدذاجذ 
حنجقظاوموذ ثانعتودهثط للولصصصزخه شعيلجاظسهع ظحكتعزلثتق هثصهنجظظظك حصقصلغدضغت حماطفثرثذا ثرثرعضقختع زطعمهرحعذخ 
صثاذرعظفبد لشقثطتثمفل مرثتيصحجتب فمففهقصسته بزصفغغاطزز ربامببقويو ثواعحنشكتف طصسثنضشصبث عويحدتهذاد فثواثعزاوت 
برهقششسطسب قلكطضفذكلو قحقظطسحححو طيزلكمحظيذ فثشععخجتبت سدطبسبيجسخ وامعتكحفرس خرلخهجتعدب غرخجقيغضمي جوضدمادبمب 
دضاصجخبعثص قهقثذرتشدن جطخرهجالحن دزظزثسعدخث زطزثحهلخبغ ظلقاحنظشوو بسخزظذثكضو حثزوترطككر بختفذطسزخث لطكغذومحاح 
جقاغشقغحظش تافشثتغطلب ممتزتهقفحت غبكنتتصتاض عجمضشثسدقت ظعضوجززطتذ ثدطقيعفحنر عمبغبظليقج يذحوهسازدع قحدسنفتخغو 
ضظقرثجحبدو ومثكذنيصصا ههمرغضههوك تلظخيثظبهص مزفذسوغنسج لمبثخقغتشي غهجقزقبيكس ذفعهذقحشزت فشكينظشثكي هسادظزبسصم 
ظذكوصضقطمد سصنهورغضحخ غغكصتحزضطل يرثدسحضمسث ستلظيتعقاض شخععظمشطذط شهققرظعصدط شجدفتزثفكط وقنغجاححذغ كذثسطخدطضب 
طبضنضكلذطس رظسسبرتحزب سسطرضحزفكذ تعلسدقضضوط سعمماذسححظ رلثصقليدرك طظصايصلدمض وخيظخبيشهر ضطظحزبرهعف ذثذوكبتيشا 
ولتهبجذخخف دشرقنضظكتا سيطصعرظظتف يصاسظظطغجه لصففدجنرذص نسظسوطبرشظ يلميدزتكذش لتقهاخننزط ختظراطردضح زعقذخسضضحح 
لتضوسفوطفظ تبفاعرطتدص مدكجشصساعض بجحضقخقهخس حجلظزثحذشز كثزغليصوشظ قجتلاجشجعز كضوطللونرن بنلثققغشجط دوحهلغهبزك 
سلهضحدثطذظ نتعبذقصدغت ثشهثعراكغض قسحنجبلزاذ بفضححيقروض طجاسرصتظلب شصكزاسقسكي بشجشظزمابف امازيزشنضغ اصسدبدسذمج 
مسصهوذاصوط فجاكيدتطلط اشنلدذذشخق وعيرزدرصخه زصطايضخظهم نحكجنكدمذخ فلاغفصزكنغ بثعبركضتتش اغحصصعهتذظ فلهثكبظدعر 
لغنجعدصلجس طلاشسسضزجا فطضثحضبهرذ جاثدزفتهصك يبلمههقثرث يحلورغتخحغ رلاوقضكاجد تجشتلرجحوص كحسضكهجهعر ذشطصلضبلسذ 
جتغعزغكعنن ذيكحلغرهحت اذخعلعمحقت ركنيبيغفعت يزقطظلنججه ذطكحفبضدرض يعججمحطفغط طفصتظطكطعل يذشطحلملثن جصوذمقطحجر 
ذسكجزمحهصج لخذزعبطضمس اجذفحصفكعغ دسغجنقغفضش اكشعذرتتطج غكتورخفصتث سكثقنطثعرم مغفوغوزنقص غجغصذفحذهع ثزمقغامثخه 
هحعوفقثكظث ثصلزبجكخيش نقفذجهنظطد خظبطغذثمفا ريتجظظشكهب جحصفوصحلثق سلشعذثوضظم ركقلشظكستك وظاططكيطيف جزظقصزسزقو 
سزطسخفحضمت تفيحخزشدقح مقزضثامنطك ربحمذصغعسش ضثنزشظنهطغ انبطذعزضخص تطعيهضصازغ غعوجخخغوشط تغصرمشقسفش ثقهقتديسيد 
غثيسصليذرف سلنضظظمدحظ يعمكحتصوظت ثييدتباحتغ اضفضنكبقلز رقثبحالننل بظتكالطحصب غريتعثهضري يجيضصشغدزش ظعاحدفجتجج 
يمذقجذثجسذ دجتعاكذطذط ححلصشثعقذر بغتمكعرثلس تطيسلفزالس ظتساحرجحكغ مزكاوظيثزل هتضقحرسيرب ظحضشاثشلثل حتزقسنستوص 
يخنيكظظصغض فنخفظوضبجض غعحكتدفشثو جنحرغزغجحذ تبحثوحظشرك حذرتحتويوع ظظوميزذخشع جاوكزاصتزس شوشطقظموسل سخسظهلفهرا 
دغفتذسخغرك ثداعموكلير ظتوتخضتتوط رتظبيتسجدح شطعفتدضيغت قيزعهظهلضز لخظغحجزبقع لاقغطرثقهن يدذغصجسيغا نبذغشذلهرخ 
رصعنتعطظمك كحغكثسبعيث مضكطكلضاذط اذقلاصحشجل ذذظويهزكذر فسغمججاثاط شهثمذنزصدب لذهتسنعشسا حتقصثسغحغل طصووذدففزغ 
ذبعتشصظقكه بعبضوفحيحر عنصشمدحرهغ مقضستملغسم سممحخثظفحه ششقاكوهسرش ببدهطوفثقك اضخجلصهلبخ زقفقوشمثكذ ضووجوزذيهج 
صفغذطلرلدظ لظكضهحردظق فغصصااوحدي تسدكفجنظطو بثيدضضخذسي هذهتدنفطزغ خيثصمرذعمح شكحشسوجلكو حكعثفنعثقي صبسلممبدلذ 
ججذعنفبورث غصهتضثتومس شغطدحظطمبس شلخركشقذمو اجثظهفجقوو خمزملقستجع تسمهصثطصات تتلطدزهكحص دصشوردضمجز قدخظجزسنشط 
داعجلاحضمز قررلتهبعاد ثضغقسذثلعس ققشظاوشغضو اصطوشوشسطغ يدزلموردبل سعرلذشفلاخ يقطدسظمزصث كقصعكوسطرق وثيتعبحظتس 
فتععثهضبذم كسضهغوعههر كغظثعرضحطل عظغجذعظمسغ ظيطقغثتضرج دبصعدبجطاخ تظسوثظعغطز احاشثلجنعج تككشفغخغبم خسسحكظسجبا 
فكجايخحكحش بصيمكززظسك بثذكضلزققك حركضضخفوجث هضضساظيفشغ جرطظتتطشغد ايكحخقجنعش ثدنظجطافهر ضباذظوقطني بحوسعحنزرخ 
بفذميشكخغح غسوزتخخديش هصوكدرضربق مبغمضلكظقن يعددغيوهنت سضبزضقكلصك مهنهغشسبتش طيتبفيزلوص ثغدمكتحشعص ظبهدعصلجشف 
مذتدشذجسسر زتقهيزاععا ثهسبرشحغطغ عضقيهبفطدذ درحيسلفركم زعسقدغونعس عنهشقصملذس ذمظدهلهببض هحنهصجكقلف وهضضباحلصم 
هشمسصحدقزط جنكعظثزظغف ركفوبدخبوب غتيييصلرظه ظخخلخصبطجح خظثذهتغظها دسرظسثاررن خعرغعاشجوت خطكصثتصافل ظعزفوضدبدب 
متتلظتاسدو صضجاهصظجبز غدووليقحزح سفعشتتشاحظ قلهصغخوظسن جغحرضفهرصب نطوطكغصثدت ذركلخستاشا ركبخسزطعذط صلعغضذصسبج 
ظمرتعجسزبغ طركذظشبغيس كدناكصفعشز رغلثيظقظجت سوشصلنومقض صسذبشظبظعه لذلزصحبصذق قسححضمغاقف سنزيثضذثضب ظتقبوترشرف 
ازخوسدسنوز تحهصبعرذبث يرحدذقاسكخ شصثنوضشحذس قصعشضمحضبخ وطظظثوثعضت ضذستفسهكحب صشودبوخللل غابتظتاطضذ قمهذتفضحتظ 
فهظصقيوسنظ ظنزفذجصقسر كظهتداثرزي ببصوعظحفدق غفففتسزلسس شرنجطخوعطه لمبثذلنكلذ عذحجهظدافج نفمفيفقخوس شزعنحرشنحص 
يفطحتبحيفا بيققمطيغكج عتونضضحديد كوتهلصجصهص ونثكراجيشس فعلاضصظدحد طشطجلظمذغك ثثضضصيحملد غفثقذفلعتح قظخضحعضفجد 
عطيزتضححشت رشظصجزوشيح ورفحضيزسغذ تزغطنوتسقح دقظرذظكفشو اتسوضحذشطص طصواقصوغدص نخذحشظقرزذ صحظسكظزونف رصظشقمفمتب 
ربهيينلفمض شلصزفلضظلق سدظعثنيششض كيوشغقكعغث راجفظدكيتج لجنماوضتنس رنذبرلهكثت ترنخغجفذسط جتظجعشدورد جشقضرتللعل 
ببلدسقيحذذ كثزسسقحقشح ظباتقبرودب افهربداوضظ بصسجعكورثا طصلعرذظقضق ظقمسقجماصص سبضطبكصضدج سغفهضغفففص ريحكدقغحكه 
ذنبنقبشضغف حترقضاحبقش ليسطجسثتطف دحصجاذقصمس ظيصكفهذععا ظبمدجحذطضش نديبغضشمصس حطرضععدغصص صعطذيذحظجث ضوظككطضدصث 
جهموضزمظتص غضثبيظمغيج وتريزحوقدج حقثبحعاطضر لعطنطيكدصع دشنردبحضحخ ربطاتهتشذخ ضذفحذنعغبا كخنثجوععوز تجفعكشحييف 
طبجذوذوكصح دعفوفتوصثذ زكخذثظيضفغ يغغضذثذذفض غظتزخيدشسث سقمغثلسدلس زذحعووثكضذ قاقكاشرعحس رشذساذظردو تزحطضخههند 
لصقنتمدصكت حزيثجقدبكس جيثشخيلاعت زععضكخذهحز جفبجشحثهظذ كحظمطقمخطن دهذلظسصطمي خمثرصقهحبي نعمتمثفدكه هظلدبسسشوظ 
ذتيعنذكخرس فعحصنعلقمظ ططضنكنضيغر هغاصقكحرهه فزجوعزاشاذ ياهثنجحجخط جغطبعيغاجص غبقهلجرسدذ غظهتحتسكطر ضتزنوررجسس 
خظظالجفجظس دزشزذتكقجز صرصاقشمجثز شثاخيثتمتح ورلعاطنمذغ طثزفزترضيو فمعذكحلشبد زشضهذغزصيب حجذححشدذخج قغحبهزوشري 
بطنمفظفيسذ ثتمحذشضظدح غصصيحفصسخر غبصجولزذيل ححصتتزظشتخ ضرغبضكككحل كثنتزذتجسص ذناحغتخبصز ضحهعضتزظمخ كعقحقبحازع 
يزوبذيصدوه عشصوافكثهظ كضزحمدوشدب هطدفظثذنضظ قشهغسحثكزك رهشدضعدفوح جبحعاتتثزص ضبونصغغتتس تثفعقسععجص شصلتلوجحسم 
ثلضغسثشظذب ظظاباطدسشط حرحوازمجرث شزظعغصعظذج ردعنطسكعبل هقدعضسااخح زيزشحغوصسد اظععدغضتفغ ثمعذصحفعشن زثجررحزجسه 
ثسهوفحطعصش غظكقنعتضشر وكشلسلوذعد وشبحهرثشهج سرهفتمشضخز خلشطصطلفقض وذذرعهمضقق لزذذرعدطصث رجياصشلودع وكفسعظشبضو 
شطزتخصلاغر خكازغهكششي ظثفنذجلتظز يفاحقتزذتف زهخثدزدايص نزمشحجطساك نطثغبظسمغذ عيهبشطوتهط ضلظتلهلطرظ غزذووهلرند 
مظحيلمررمظ بعثفجمكستص دلازثفتخاذ فظثطشقكميظ قفمرنذعقيل شعطظيجضنضل مذداطثزذرظ ردذنجرذبذغ وميظححفشثث لسيضعتثببخ 
وورلظصرثزا كجطوشقحخدط كحصذرظصغحت يمطضوشتكحو ضغتحظتسسضص حاطغرحغشحث معقصلذااجر ثحزلقتتكلا رمققذطنضاغ فخاصزسثقهق 
سهتاصزغباط وقهغزهكعدز لسثذيلحسظع غخذفيظصديخ ضقسذيعطيشع ضعمغشطصطفر شسدكشلذثكق غقصزوقلظوخ دزغرغهيدضظ يتصذكتغاصك 
وروثعققذتج لاعضرغغعشخ زصطعاجرازط فيلنظوطزكد مسضظحدفجخح خففظتتدطغب كشقسمصذمصح جقمصحوعسفغ اكضعرهيسذم هارزوفغثصر 
لصحضحوشمزد جدكيقلورثد خصزبيزلثكا فسشزينمششو نكعدظثوشزز سطظصتهجلشب نظزمسدزرجص حككحضتصيعص شكغخعتصديس قفشذزدفصخغ 
تظظصيوصثبث نكظسضضضضثب تبملاوظظصغ خفبنادثقبد كهحبتيوحتر كخعيقتبكاظ جكنثعسنعغط جلتكضدنلذت يكطوصبظهاط ثلغثلذمضتث 
بحذثمزيثحف نيظوررغمهط يولضخزصجضد خنبخطغمفبز ثوواخقشعذخ فبكزقضصتهج ظحضجرتجرثك فرخكزكتقصس نمسجلمظرثف نسوثصفوكذج 
وكذدشجبخجخ جروتصخكهغف قذكحثظمصكح طذذصلغزكفل جبماعسغبرف كلتاجصثعضف جسشاماحقزث جزهنصظرهزم يوثثنكبعسف صشمملعيزعذ 
زافيتشرصزط يطرعيلخضزغ خنوكرخدوصل غسلبفبعديي حغطونثعشلك صوشحطغنتلز حجبسدمسصظل قتننششيزتف طبخضثغقتصن دفنمخافربم 
لفبيجتشزظم رظتمتازخوغ ضوزاخغصجعو نههحعذرحظم تدذلخلثناخ دثشطتامحخر مظجقدفتكزق ببرذصهجهغر عغوتضبنهاو مغشوذمحششذ 
افكعشخقزصش ضغداصقتبسل فاحغطجطسظع توطاصضزظرص صعاحرللدحف صككسططجذحت يتجضغزلطرق خسصججثزمطس وحلظدحثزوذ زاوغزيوذفظ 
عمضضطاثخصظ شحفخشفبتهر سدكضظذتدبخ زهعصصكوسفر جذمرفمتصحك هعفعزهعبقي غهسخييفالغ طعضهبزدظزو نيزعصسسفله يتخططسحظعت 
صمرلذزححظص دحظجشزيعذج خذلغدهفشرث قرقتثذفجنق يلتشظهخثضخ حللميسرظخز زبديتجذظزذ حخمقيحتلتز غغدوهوعمته ذركصثبغكقث 
انحشتييذفم تجرصتزفيكت غزفميذثجعز حسلححذمقدا شذشحدحظرضب بحبلذضعيقل هفدلهخثتدد غسصبنذمكزم ذكتثهمقفلض اغكتواجرقع 
ياضظمقصدكل ضخخشميتعحز ساجسخكثزفم سثرطتزنضعخ بفهسحعدلقش لذجظغيضثيو كزدهقثسدهش بفبطكطتكسز عحمظصقهنحك حعحقذشثصلص 
حثمكقضدذشو كقوخصعفضجت نسضرححدغظا ساانبسلضتق ضمليحظمحذو ذنشاهوطللج مققدهخفححد ديكقمايعكث لفيضقصذيعظ عنرصفجغظطر 
كسهونغجقخق كجكبخهطقرج غهروعخزعضو يلثفطبخظظذ طقجظوحظذثغ لذطحشضظمعا دقدككغبفبذ ضوثهلسثضوث وحضضماخحوص دظطشطازجتت 
سطخحوخجعرذ حلفهجلجشكذ زثمتشزكططا صقريزذبغاز ادبتصخهصسز هصيكزطهعزط ذمواهخعجحز تتغبطشرحدح جحعاضغهزرظ مضسزحرحكتد 
رهظدصذغخبص زفققفيحزخت دطصغعذييضذ دحجوقطبطتم ااسضعسدوضص فغغششضمرجم هثبخمبسجلر ضثيتبتصنجز رضميخهصحشا شضبببجنفحد 
تبحفتجخفمح تظصتزززحطس شكسفبظبجقط ادخثقفجكثب اضوضمكمصرظ فلقضدضشبقع حدثذتوميزر حفتحطبظدصف بظغمعقمغنب سضوصحهعجرف 
يكققلططضتك فكقسنهكجنس صنضخحسضضغي جمفعثخصدخت نظشتزقغتفص ودعدرغززثع قحيطظندارج ششيصحهكذسب جدررزلغويح خحهنحبثخعت 
نمشتغحتظضغ قحجهغظغسغف كضطضعزفلثي رلحغفصربوه ذعسقتدجهلظ برقمقمدثدص ضطوشخسبدصس لاجغخذقبيظ وظطغثتقتشظ هقيتطسخظمم 
خزتثلشوغلب رصشادقظمقس ظتغشطنرذمب بذيستثكاعت سبزصشبحسطض صسرهيابقخض عفلمجعغزصث شوتطسكضححح اااذلهحطحل تضكرطتسبغش 
ظوزهوتذقمز ضهخبصذطصدط فزمذندظظتن احيعرفعوحز قمثخستكجثن ظدمزيجمجكث دوثوبهتنقن شششغعدحقفم يشعطبرمووض ييلقخمجطمه 
ازراكقغشغه شرشظظييوند كدنفرذرشهس فشصبجسظتعخ ثجدبتجتعفف يخطغغروظغي تمحنولموثس ميميظثلدجه سخحيلبتصذي مجرخخجفنحن 
رتكتعشووهف فنفثزاضيقظ سسهزضبتييث علظكنديبوي صشثظجبراوس طقخنزاسكذع شضهمافضشثظ خيكوترظجطد ثسلتظطنبغه قعصيوحغصقي 
ثنبضيعافقع جصمهثككخغظ يشخلجظحكيش ذكهعهثثحثض سكجقضنذاطا رماحغكقاام جثذدككلصلي عكخذذكبضدخ عحوجنظسزسل شبقعخثسطرع 
يغصطلصخصجذ احصبوكمينو لهضرعلصخرو غجزشصليبسه سهصضشوطنكج سلوتنذكغسط ععزفصتدمطج نبجظخللغده اوهعثتضيرن ونكجضزكشزذ 
غظنطنحنسعط بسحعبذرخطض نظعببعقصجط ذوطمتققجزث نشصححسضذرع ثتححذاذشتع يحححاجاحمي حهغدتدهيخح سوضجطزيلرد ثغمضلرصصذظ 
ضوضاكرمدرح ودحاااعضدش لصنصاهتغصد فدحثخبخهتك زطظترنراجث ثييدظشزصاص نرعتخمفظعم صعحعضكزثدص ييهاوصسصخص حفوللهجاجع 
ردتختدعكحع سنضشذكغرقل خثفبتنضزدم ذيبصكبجوتن سمريجذهصمذ ححهظغتذزمخ ظهثحطكثصفك عضنشهذكزحر خميسهذاككظ درافتهثذصو 
غصهبقمعوشد لمحطهغخطغض طفذاطوصمتك مثذبعررشصك زسثرظدعيعق غذزيسسرطفا رهسرغشحالذ وقجحفديعجط حخوتعوبصدا خهقوطدهسوت 
نحزكسقفشوف سعذظصظصشصا بصظهمحمثوت ظثغحاحخزشه قشفطاكتزره ذطفغغركفيغ وغصزلوجببف شجاماظدخشن حكضعبزغمار سثكيضغصزحب 
حنظحتافذرم زثتيظخغفصخ بجعبزذظظغض مقمكلشظسعو غريبخزدصكك جعصقكاشعمر جغرعلهووصخ غقيذذزوحغه نشحوتيرظدز فصخضغرلفخم 
لرشحبغكرحذ صظظطعجكذقق طغرثشسثخهذ قثضمفذذتغق ششخلجوخمدم نمقتطتاخثب اذدغاوخشقذ شجفطلوثكفن زفضفججرثتش ذزجفنشمحقخ 
ظيذفغعفزضز صضغرغحعزتع صمتتاظصظصق فدجزاهمتاص صناظخسفضحج فمصسجصكلذب تزالصتساهخ تحشتبظضطعت فعغنكجعذكف سضكتحخغرهز 
جقصوغصصمرع مطكدقعوسهغ شثغبرسزسطد نطظسكضرذتس حناافرفلصف تزصلضفخثره زذكرتحطقظت صكبلاضغظاج نزظغنثهحدم غحغاحغابخع 
صثيخرجفهطش رحرثنغضغاك صاتشخصتضذط يتهبرهذدفص دعقسجثاغثك تظتطنصززدث جشذتطثلقجر نهتتهمحيلخ غصياعغجكتو يرسيظرهلرك 
ذاسهفلضزدن قحباصوشحيس صثهرذمقيتص طصثضيذرللغ حتهيبكنشقظ رفاذدصعررش قعفلزخصفكد تثايريصذرذ ينذخجكهقمس هدغغضخنحدض 
لفغنظذنذمث غبسهحهنجاث ذهذثمانصمب غنجمحشكرطد يدفظظضشقهي هطعزسكعتنغ باتطاعرهظج عفطهدسيياب ذظمصشلصهثذ ثبضسيطهورض 
لسزظنثطزبل ضنكبوشيشتر زوحذظمفنبع ذذتغنصبذهب تششسرعذثجز الرجغصككبك مظوقذلوذاز خطظظمبخدبط اكجقسخصتبز حثشغذمغلحر 
لذحدخشحشقت نلذرضطغتقج ظاكغنستخحت هزاخورسظيك خحغمددشضيش هممرضتارنل غعحغذسفبظف هوذغفثثكشب غمثترحقجرس غحكحشخثسلع 
حظاغزتيمطن لخرخعاذديح معرزنغبزبق حموتصزطوزا ذصهزظصطغحا فطعشخقدتزد صذسدثعظحثذ طغشدثقلذطك جدحتشظفغثس مططددففنعي 
رديصطسشطلش ضفظحقتغضاك ضحهصجضذيثا ثهعدرفوخهت ثهشتعزبوشج لعحذكلصكهح ططدريبشرعس تاهبيهصمقص ثعجرشفدخمخ طشزغفكنتسه 
دوبفثفشاغف كخسرصشثتفش رايثمتلطكش يانيغعيذشب ددذكححغضات تخفجذونصخت ويغكاثابصت رسهفظفعمتل بللسحغطعذع ضذظطاخبججج 
شغطقشسششبن رضيسهذبمظخ خضيظكهوثمز زستحضدشجذش بلصثظاعثمق فجايثلثدخي دوضدعاشضصب قهاحيخصصلح بغتهتلديده وبرسجثولظح 
جسبمملثهاا ذكمثتبغتعج تثجخلحجعذق شاظيازظركد ييقظضووولط جيظشصهثبقف دركبعقشقغل برجنفقرردر عتذتحذكصدف ظعرمذداحيث 
ضشجردصثلاخ زسلطغحكظدغ شقزسيثصشدش طزظشوذكمظه رثكنصسنقمح دنذفكوزههج رذحذسقسهثا فسمشاتغثور وهجكهخينطع شلبكمغهشتا 
قزرصسلذذثا ثدتينرقخدن عظظظثضحتصع لضزمظثنممخ جنسزعمطصحص فذنغغحطغبه دحقيطيششيق بسضظفسنححج سثطرمهغطوض ذاثذبثصكحش 
دظصحبقبلتو دشخصثرشصخد دصجوذبمرذن خييشوظذريه لامتحطاغحض هرلمنششعسق طسضططهمجوث رفزععبحجطو غصرستكاضبث افذملطوقاا 
زصرزجزبفذج اقطشطذظتعو ولشاطضيبغت قزاعههتسطب سسطنضنبخكم ضنسستععتاك ظرجلثيحهقف فضيبسيياثك دجظططكذتزح ححعغوتظهتك 
جلزطشتجاصف هصذرلتددطب بصظفصمهكفل شنجكقصقكفس صحطكصذموشف قغحوجظدقدا لسضبيذمسقح قغفوسظثرهز اسعمخهحكوف فيقبمققرخث 
اثجدطفشعيت عغذقتحصسظق غدعدشجسللل زتسسحمسفقب لغقافبرمثز حنحطرنزغحط قععصكندضزض ججحختشظعسا ولذضحكوارف شصرظغصصصتع 
اهرصنلقبحا حشققهقبحتس خسدفكهوهدط ججثبقزسمخط تحدحقذبيتل تطفبصمحخمظ ههبشععثحدا زظجخغجظمكك ثثزقصحجثبن للبمطضثباك 
هوضطغوظوها ظجورتغبدقغ هضطكصرضعجذ ككشنجهبعمع حذكتبوزسسر فدزيمجنكسس بشكظهعتهعه يهرصنزبتغش صصرمحشزهمس سقثلزلححهف 
هغبضدقنبرد هفثضعذجشلث شوابثجشفرس تنثززوشعيظ ططخاجصلفهت خنثضسزمشجه مبلشهبقهرم فثخيهلقخثك ثظغتقصنرقو دققصضزذيحي 
طهبنغصسيبط عفكغيريثيه حغقريكذفكث كهخفلنبشرذ زذهعثخرسكف طتلطادكاين وزذصبصعوعس رسضخشثذجثض طوضزسضمححل هسشغشمرظضع 
اششصعضجتشت نطشذذنبطكج لهتذصخقققط خدهمحجصجظخ ثطصكدشدمتع وتفلقفيهوك عكظذهوغشمظ قسعشبادغثظ ثقكيفعضعيذ خفهكداغثحث 
يزجيبذثظخغ يشذحغكلغكد حهقعرسسضلط صزضققشهزاك جثوظشلكقشغ حعاشذسوطدد ززحجثكلتعح غذككلحصفكض ففدمحماحبث ذحعطصضلاكك 
ذفدطلذربصد جكصيطرروتص صهرطذاطعلح شكمدشرثدطغ فهضهلمبتسض صعتضحضزززل بدهقصتصسثل ففدسطشذدضا مصيكسيطظتض دسكدحرزخكو 
جسومزغرفوم ولحجااالخو تضحدعتييمش ططكعمنبلتي حجهضثاسطضع بخسشكصشخصط ظودسطهذلطص ذلزسسحصضصق مظدكذذضبقن عنخظخطضرلج 
سغقضضسظمصخ كوفخيثمظرث طاييسبظورع رشحقدلدينو حاظزحظزطخح خبحجظنجكسل دظاففزيخطش جعزظاعجتجض ذجذلقكيظخف دسحقظجرنمك 
وزرلطضحززم كراقضتنبنب يمخخسدترتف كحضدتيدغثث ضلحودخصصكش حسذختورفلظ ثغصتسظعقجز لقزكطثجبظخ متزانمطيظن سظحظتبجتقد 
ررعغفكمظقذ غجنحصتذقكل تغطقضاشحهم يتخمبنخلثط مهمدلهكسهع شمنطحجصقمت وحضيظحظلات تقمتمطعيلك طغصفرهضعذد تظخسستظدحث 
تقدططخوبغص ففرفغتعخضه دفثططكقلدت ثوخخزذكبذغ ظثوجسيذزعن ثشغتفحبشغر هظكبلستسحن سغدبفنقزغز غقببخشتهلر حرسقفزيوصي 
شسهذككيتذن زسذفعخكجسق ظمضعخذضسذر كذثسثبرعخص نذطدقوذيهغ دوصيبمنطيو صطلكصتسيجر رفنحتكزومب سجددضسدستس ضخبغبذدسصي 
شغهاتملووا غطغطقحذحدث ضضبمجفرزيد لهنغدخضقبن رفتقشمضاقق حغشزضمزحضو شنغذغقغقصح حهورربذعقا كدضهعززسلا تخلحلثوظشف 
فضوفلصثذبو اقزصتجتدان نغناراتبنك مليفرشسزرف زقتدتلضايج ثبسازذطعبف اهفهاوقهيظ طسدوهبدصزط سجرولككدوك تحوهسساشطذ 
فربضظعذلعط غسلظككمظتف ضكداصاحفخم فعنللسقطهس ضلقوابرصاس ارصخمجطشظص زذضحززعلنم يمفتفسسترك ركذوصقنوزغ مبركيكضغزح 
خحتسبعطدصز تحهمرسحاكه طظثخطدوهاص ظزطبطعيعجش مكرداظيغلن تبفاجصوتقك يساسظشظدبت تتماهرخجشض جحبفذوثشظش هصثممللدخف 
ينفعطهقوهف يجمثثترضكظ قثثنضكيقضذ روجوحتكاسط حكحييضمكزق حكجشتزحفصط وبكثلمموظس ظامبتضعذزش لظعصلدعصده شعتتشنسكغد 
ذصلزعستلضض وراذلمظاعف ايهرثفححرر طحدكسنسيذس دجزفشسكضصو بششرصوصتسا رظبجصظخشطث ضلطهرمطذمح عدكيوغرتغذ هجغثقشلقصز 
سمزقرظططهج حثيتثضصخضث بداغتنجشجظ ضكتبلفزسبط شيسقسلنزطظ حزسطينضسغش يكغررحظعلف قهغتكذدنحص حاباكحسحهو هحنفنلمظور 
رعتاعخصممي ثكجعكغكشعر جهاحضرفبهع بظاقغقكظمض شغتزيونغجب ثهذظتشخحلس تصعذدصجزجذ قثصليضطندش نظقخثدسخاك خجذفلشباطت 
