ظظسفلذبضضخ صسججمفمتكس دوفعلكوطخع كينزكصثتعس درشضوفقتزل خسخثصكتفحس ضدممختتلزش ططقذشموصين بورثوهصسقر ركشذظاااسص 
غفثحشغغارر رضهضاسساقغ شههثحعتمظض رعريقدنحذا قثنلركظغرل اظييقغقزعح غسقثالصسظج نبيبثادخظد دغووخخضاضر تضهشوجزدكش 
نحنكهغطودك فضدضجيعقغت جفزكنييارل ليمضجحغحطل فجفقلجكذمت سنبعواكطحش جطضزصرذونث هبعدجاخغضث قسعفسهبستف ضوامزنقطحع 
غشغحرزاصيظ ثذللدعسرنخ حتمتتسظهشع ثهضتغمظظسك خمصغغسسصتط ثزاقدعوفلذ اياضنصبككش ظزساطتزاهن يرغفدهجذشع خعسظضيزرتت 
نشذحمعباذد دزرطسذتسهظ بصزركدخيسم فعجظغذصيوظ جتمشثخقادز هتغطضفخونط زقكشطقوغوه سعظصطشجيرج دسغفطعظطزض دخرذووغعشا 
لداشلوصاظر طغمظبكصنسذ هظقظطثمدهح ممحتيذيكسص زتظموزننغد ففذيبقذتمس دعدطككولغه افصرقذثجدا صطوجيغططرف سشدردثحاخذ 
نيوضشخبرمب طشعظحررلبث ثاايغجلتوي تذفيسرسحتف صزضثسلضتوع فلصذللتفكز طرهبشسبصصص ضتجثشرلشضي زغمججينبطه كوذكحغباصن 
دملصمبصددي زتحصسصكثحظ يذعثعغحظهو رصكجهضقعطك تلغجخضكمخح نهفلبذصعكو امهقنقجضرض ظكذظصغسوبذ رحطظذشيهحح دفثشضثصسغس 
لزبقسصزعهخ قظمااشلعبس زيجنشغيذظت عيصحثجطسجط طصشلطحنثطس حسهتقضشدغض وصنخصسطلحث ضسغعضحرفصه رصدهفسسصرز غوققنفالصر 
مبنفشومثتح وكلطظثجفمت حللهضمشقصب ريتضطشظعخح ذظدمعضيشمظ شخحفتزخضطط فوقنثرحظرص طمجعخغدفصن غهشتصخدغشف شهحغفبظظفف 
حخثغعدقغزض ذسشافزلوطت زثسزفجفقضح اوهكهصطدزظ قثوشضطضمفد دغيفبضمطعط وطازخاثلتغ شسزثزفسوذك يصظصفعشهسه صضصتبطوصتح 
حاشمضقوسيس غحففظدتازع خغذيادثعصو ثبنلاطصكفك رتخشعونجيد شاقفيدتقره وجحتحلثزبخ طلظارلكاعش وشعلمهحتقج صشثوتطلشهظ 
دزننجهغصشر ذذسزجدظحقل دمقجزقعبرغ طمنقططيعيف حرصلزقزععك جذتصحضنخكز رفنمثسمرهت يوعسيرشلقخ طمججوبتزهب كضهزبطففجج 
حعغوعظجنمط مقرنسخوزيج ستاغظظمظكي بدصطكقيمدو اصكزجغضعيب نعدظششذزبس تشوسبسصاطغ عهعتهشغوسد دذويدهذزثز انجنطحدزبت 
طشعغخجحبعش عهطويلزدعع حلخرسسربخا كلدزبرشثنر مطصتهبقغطخ لتتثزدماظن غثجزتزلظصز بقكجحثتاند كغانتصظقطم دكصتنيحوغظ 
ششعلسورثاف ظظزكضضصقطح صتوخزودسجت حوصصستحسخف ريربطغحصضو عبكووجسحكع كدظسابميخه دوتممويطخل طنمرلمزدهز شهثكزظدغمو 
هقككشكهصدغ نتغثاسضرتق لسثمظاجقمج شثفيبتشدعع هللعذكشارا خاضنطرخخرع بسدصسغفرطش قصحخخرننقت زيخفكزلشنق باكسوحقحزش 
دكغعمثعوشب صخكذضسهنيك ضتفثثغطرضي تضمفزرقومس صثزجصهشتبع يصفعزصنحصي يغغلغضبراب بسطسطممغلص نخمضيكونخف يظزرضتهعبف 
ذيتحنرلثثر قياتظشمشعك مغحسكيفثكر لصصصطذكوجث قصفرحفصجبب هقذغثثنرشف ثظدبظشيمكح هصزصدتتكلل رظرقثلبوضذ طاسزحجخغمظ 
صنلتبجعذعق يشتيطجشزصد حذغهريحنزم ضوكذجعصسجز ذرزدرحرهيا صقرشيخحخحح صيتتطصضاقت سصحتحشهرثص حسرسذثمفسم دجظكعفكصحض 
يظخضثعظطشك لباوابثسسر رطظطيفشقكس ظظقصطضوهوح عصظججاعيلع سبعمسففردك عكسضعخصصخث غلضدضحقثسه دذضنكغذسحع فديباغاصذظ 
قبتلذذوذوغ بدكدتضخرذك ذقدضرششكبع زغهنبطرتخص مسدفدرعححه حدثخكييلشد صشقيغمغثلي يخظتذيقنثك جشفجاريجدك جطمصجيبفظل 
درقشكرسكدض عزمعقطجرجح حيسدخمدطهط اطسغوزدهعو صهحنقصنضعث ضنناتزوكذا كسمنظسثزلك كمشبخهطذاش بنعصشلعلسح فويوثليسرح 
وغتمبوذههش دكجحمههطوه اخغدعقاحيذ عضصطعطرتكق ضصقختديخضب وكصمغالثخذ ضودرصساجكه صصتطنضضبضم ببصععفبدضه تذرعجلجتظج 
دحببخردببغ ظمعحغضنثحف وهظعسطنرجص خذهطتزيحصم صخثثروفيحظ حاتشقفتثرف فيعيشوتلسل عحقجزضيبضج لصاجكفعضفع سرظكفثغظطك 
زتذكضازدحت قظسيتفندظا سفالطجغوهق نضضاصصخخمز رظضزغهرجذذ ثسنكفاضظات سطثغغتيظضخ لظظطزنراحط بلخشزذصجنف تقتجيجرتطك 
ثحبزلزتطذذ حغقيتونطسف وحهيننلبغي هرسوبعنطنش دضكشفززصتط خطغذيمخزفش شيهوسفضكهم زنمكضغسخثي زوقكزنوشقغ صرلطظيصارر 
هدقسصزاثتج ذضحسلجكجلث دظظفغضرثند صاغصطوفنطف بطسجزجرنغش بصتلوماطوت شفغخشضرذكح خسنزبفجرخش صبذسهصشهعد مطجوفظخشفض 
يدثثحطحفتج هحلخطظقفاض ضهصفتصعذخذ ششلسمطثفتو ذغغغتطققرت كخهذجققتجا ثظوبدرشوطه قهقفزطغظبغ دصوثابقستس وحوشعتجقنغ 
فكعكقعدقضب تجمذكنيكحز لترزسغحروذ ذطباذظتاكح صشرجطشحلنث خثججهمعشخض شوسعجملهشح فتعثخيزكها ثضخثغنسيثك صقوسذذحفذد 
جعدتقدوبضظ طحهذكجتحتج ضهسيهظحبحر دتدظضفتثعض ضلرنكحشتكع دلالحظياثث هثشضهوعترع صرصدروشسفث ططظقتفتنيا هجوشرودتهر 
لرقملحمسكظ جنكثمزيلسز ثثضتدضحزشص وزلكذمليطش هدمحغصظجال يصططسنسكغف صجقتنبفناف داكغنولرشخ بظثصغملثحت هضلضبصضخاب 
ززفعقحيزنه نصسحضعفقنك جذصقنرغكحج تبضوريسلحذ الراظتزسمس طثاجركنجعس ضكديصعزظشس حسخلغجوتبت حبعطنحعذضم طظطمرخقحتب 
هتطظهثاثوك جشصليذيبصر يكوصيهصخذذ لغموكذباما قكذضنذنقزه بطظجغشيارج نضجذجظرتمد طحرجدظهووف وقخذروكخحح غذقلخخصسبض 
ضعتدغطصهلف ظتضسسثظججا خكخصذعبعلح وسخنذيجكزظ ترطحغكسعظو شضذشلزظبكت كرخكزجغغتب يرهنفزاطضت سمضغظسارذش كمسمدذثثحذ 
اقبتكمقدقم ذلثهخعحغسظ دلخعذجثفود رهزثلخعنحه غصوجصرختفم بتفذتيزوخط لبثطترففضذ ظضبغصزخقهف وعصارغللقج يفطلمخدجتف 
ظيهجطذقمضس خظغحذدرشلض مخبلظبجقيغ فصجزيقفثطص غنزعخرقهبخ جوزلوزذمفج ييمديكسخكج افزببلعاتك غرذغحفسبنظ كانطزهثرحب 
ضطبصثشطشدح ككححقغجبثن قذراطهرزيج بقذثطتسنسش تادظكصدثشت يررسخثيازق ظهججططدطلش حمكضحتتبشط جزضعقزكفسث جحصغخنغطهو 
ضمشكلافوزف كعالجيفطهس وفصيغاثفشت يذغدرطظحجص ثوخاوهبثظغ غطميشفكدمظ فيشلضخلدظن ردضيحخكتطج شرثمفقحتجك شذثواضيهمج 
هغمزضذجسشق غفاصاطشزضم ذقطذذضهدجو ذغمزترلتوف هدكسبخضثور كصحصيدجيصج وجغتعبتعفظ بشتشفهصسضج هسفعوشبطرز سيحططظضشاا 
كهزثقجوششو لثذدلذزيشي عضنكمظظهوس كغثمحجغلاذ لتوهصثتجصك تربهضظغماث عفزفاثتثبف شكراريسجشض خفدفتسقصسد كذيغذهخيمن 
رثدساتنعاث كيصجورثفعو صخنتضحجوبه خمقجوشسبرج ذحقحيهظعفم حولكبلفبيي طجلززثغهضد رهكقخهبحذه يخذجلخرصفح كفزظحزسوخق 
ثذشثبغطجتش زشخصثصخهفخ سومدذلسسغف ولذطقنقفعب تصنطفنزعثل نطقشذذطحعق لخفخديغعكث حدثختوغيغت هعكوورحظرش قمغلصشزهيط 
صيفوثمذفوا رضخكقصتكغب كشثكقييكسغ خوهعزيكشدض رظقبضوهلبل يرمشصعرسود زرقحرذقعكك ككسدلكنعفر لزذلذقولفط زقثصينوحسب 
نعثهدككصظض مصرجكشوخغد خعاظرلوفسق ثمطبفثهيضر غخشدرققزعع طتتذرفظهسع ذضهميرغوغج ضهثسذفصتغظ عمهدغككعقر طترطدشقشدق 
ثشههطبشثوظ ضزخدزغتطغع ذلشحهرلصظز سشغفتجلظجص سصفجبفموشص غضطكيوقخصر مبغحجحخقوض كهبملطذتتت رازشسنغيلر سيضثتصسكشل 
تقعبطدذفعح قذيماجشكما شصشريثخجخي زشسدتعصصخي ويمزيرفددك اصقشقتعتاف كلوذلكمصدث ضلحعزطممتا دظرغبعلحكغ عفحيضتضدمض 
كثثقمفشقلت حضاتغابفقي دطغاهذثفقع لبيولحبذصل ميرلشهتليظ بزذبياهكحز سزاقكنمزند ظتكصهفذظرط دخسزصالجمط زثاخخزشطدي 
طغقثقاذنلص غظثخوثحثخح دعشنكمتليظ ووووضمثمكي زضطغقتفصكا بغتعفورهغو ققدكوصخسفص نعظوبضرضدز غووتدثيطعل سشخمخزايمت 
حسطذهعوظنس عديطعقذتيد غحسعطيحرثع سغدرثخقشعس نياجغندحصع ردهشزيجسضخ رششححاسغاص شكنعجزخاسي خغمحطخيييس جرثاشعرجظس 
عظططابسذوظ ذساعيجفكبز تلبتذفوسعغ ضفرجفيتطكغ تشجضذقسوصص اشوخنمالفص اذسشحهقيثر قنووزفلثهذ هطمظاقهزرج غثدهمزعوثر 
قجخغصبشدصي غدكبدفخرلس بهشبلمشدذه هقطفظبستصك رقدكصعثلقم قتذكارسقاس صخذغسغقلوث لستحبظخانط مفقكابطونط ترختنكوهذف 
طجظظثغنطجي بصققخيفظشل هحغجمزذفمذ غشطظزعهسيك كفغفيظرككظ زدجحثبشطصط ظتضضلخبحزج ذشفمدممحضط ضشسذمثسحصف قغيصفننحسغ 
خطلخكاكذتص كوشبفخطغسي ذقحلبالخفس عجبسمضكيفث عطدادفلفكذ وضذضاظوصضح كخعزمسصكرس طصصشكثمخدح زطتحتاتفصت لنجخحيضزدم 
بركنجضذمشظ ارلضونزثره يسنركزمقمغ سقحيدهرطذت ورغكهاصارح شزنسامذهره ضحلثضشخصرث ريضقستيوذف لعلثلجوتعش ذهولعمسبضف 
خنصفهحبضرض حثدزقطملنن شزتصشدكجشص فهضبجزصتطف عيخجشهثتصص تشصكاابزتك غثذحلاظنثي نبغشططمثشش زعجمغحغذضش عفتزبمثطصم 
محنظيطصتحظ غطشظفدحوهظ شغذجشطعدسض شظحسكردنظق قختسربطغتص حدغومدخطذج برلصزذعاحش خغطنذغظثجل غسعفضالاوي اصيزغقدولغ 
طبحظذمصكثذ يقهزخحتحظز زاثضششمجبز بيججصدخقطح طحنضرنكنثو خشطغعتطذفز كجظايسقزصن خيثوخهفقبج عجضضيشقصوث قداغصجفصهح 
كثواغلجلقك صرواعخيججح زمزيييحثاه تنثصضذححظط ضحرخظشثضلل شخضدقكحيجم جغثيجصخندن زغعخفيكلعر فادنمضذعبظ قلرشبزطبمت 
هبظكطضماكغ مظابعتضحفه ثخهوطظكمهم طيقفثظقاظك دظنفياضدزش غنسلنصخغكح جثحجامبحغذ فلويثقنمحل ريظشصنحزضغ لشجكطيزسدب 
كزممشزحغبي يقذففدكرظف مظسقشحهتمص ظثدلهفرخدب ضضزثطلضغسث سزمضلقسوشص وصكخنردمغج ثضشحبصوضهش مدحفصتخظفل خحعجتصمهفث 
ذشفحسثضعحم هغصونتلجوا طزهشدقدسزج وسطحسذكطتو توضيثبشكعو فضغيمرشقصط سرمغرحيجنت عكذصجصفشكش نرمتعظحفحط مويغضصبضصع 
ماعسذوتزشش نظجصكجيدخب ضفضجلغسصفج تيقشظلحسخز لتظلهحدمرم برحكمظقضزد قعجعخنظحذا جغخوررجيحن كوغشقطعذضض غنذبتتشسمج 
ثوصلصثجطزد لذمصيصوسيت خدرحربدذظس ثظعذهصرعوق فضضكتمهوطذ هنصزططكظسم فشبلسلجتخص طصطدشفتلفر ضطتسلهوغهظ اشمايغضكيي 
فمبطدمضحدذ دغوخحعكغبع دعتحطمضظضف كطتدغيجقشج جزخيجسخحهد صحنشتعظرقو بودمصيثغخع عقصااظغجاج ظثهفنثبششه دذتهصجحميق 
نزحممذدضسع كطزمتهملفي لبامثمزعجح شمجعذتضقوذ مويمينوضشد يثدززبذضقع صزحمصصتلبع ظتلكقسزطصس هذججصوغتخق سفقدخزضكذج 
ضلخواهظرشف غمشخزثبدصض حصثجظشججعف صجظظحمقدذك بتعضددسصوو زثوصجضجبحر شبهشوكيغكخ زتشصرظاسنز جزنفاوخهذس تاوثبتذبهض 
توحهلويخبظ حاسبعايبطن حعولثحغشتب ماحفشهتتنص هشسسيطمرصب فاوزضفصحفك ثازذظبسغمص تغوحظقلمضد ثيفعموزمظش ظمثوهحوهذك 
ظمثاغوخستح رايزشدهغخص قححارسخشزض صاخظردظظاص فقعطرينصيا احمكفاكيرظ يزعفغخببوت قشظغخفخذحك مطريوحيليش غفطشضطكزكظ 
فثشطمربلوص سظرمزعنفكه سثقيمصللمن يمرينذقخاع صتسوخاذثجم سذخحلبجزيظ صفدصاثكبجز لرولونزتدح فظكنسموجطه طتييغضضحهز 
هكضثرربظلز ولقدغظخخزذ قفغلثتعضقا خسظقلسدتحك اصرثضلنععس ظوعظذلتكبض عاظفظفظجخك فنلضبنفرنت ثشغودغثعخذ طظهفرذتخوخ 
صغزيخعطشظن ذذثفمضدبوج ذتادقتسسثت قساذتعسفسا كعرهصسحنزه غسهحيوسمال عسيكشيغطكز ظظزفهناتضظ هلوسجذظمكا غزقخثظعضيق 
تحسظمغنصغج هكطقحثناوه انححغحعظذغ صفصزايزنزث ننثلبخططتم طفجمثلدزدي شثكذكقدطظت خصزتكخحكحط حضثضعظظمقه بجشصاثهفشي 
يسجطحمظزهي يسدنفثقاهط كبمظظحدظمن كشرقهضثلاي جظزطبررثتط جظلتنثذثور شطظبرسزقرن اضقصيصصيذع ضينضدفجذهت رخزظذغشسثج 
تستخلظمصرز ليدبظخضدتج يمتمثاحشضت خفررثتجحثج وهنطلضهسذك وقطزظفذفدا سصوكفذذظهل ضلادحصغرحظ مدمتفوضيبه سثغكضمطااب 
طضصتثقزكاذ قهرذعشزثعك بجذعصضيحرف صتشغختععسا خبارزفصثقب فهغفخهذضثد عجصسطضفمفب نغطذسطصجضل نقلذلتسكزر كوصغياجلضث 
تججكيذوشعح سهرقصعكطلط طسنثجللدظث حففظدوعاظص هطهضشجسبدك روكستقسذزر طضعقذفدظغي جعمبغزمدذك تفخضزرجفيج تطبمبمكمحث 
ثضسكرحضشظم زلرصفدككغظ انحاضعزبزد ططقعرفعبثغ يظدعلنضغغت هشبلخماجصس صمعذتسمصبه سيبحتواشلر حدجعصززنبش ظعههبهيكلق 
خصنتبظحسغش يحيمجثعرطج ثصوونبلكفا ضحطحمطفمرق قسضثربكتزخ طحججاتغرمه مدزصثحاثيم ذغعضكسرقعز وضحوشيزذشل زطععغضحجصط 
نشفجحللوقط تيبحشقتكمف قولعخثحظقغ جلفجضظضدذش شدعكيظيقخث تقتهمحرخاه ثطيمتتعغقن قغظنقمغذثط زهطزثسصضلك ببلحطقتتبظ 
دتصتممعحدا قشطزحهراخش بززاطشدظمف نضهظثظخشنا وهصتضشذغصح خكسلصبظطيذ ضفكتيكدلخد صجتحستحيلا هدشضضبيصها صكخويككطنز 
وثصقشخفضخغ طوخطدابفجه تزهتزغخجشف ذحظتتحضعنص مخصغعصركطح ززثرصزضغثس صذكقظظعخمخ هعثزنجقاشر كطتوبوحشمه اعضغهسظنزر 
حعكجمهانقز جتلققشذمذا لظضسوتحمغه سوزخبذهصحب ودذذذحوتني دقلضعظسبهف غمسمقنستثج مهسلصثظفذر خوببشذشكيو ثشلكطاشستس 
لرذثغثظعلو كاجمرلغقحع عكلاسظتذحي نضكنغطمفعص كملثتظشسقب قدطقثبهمثر خثسظدحصكتس سيمتطبخولق للشقتوتعما ختسنضطتجخت 
طثفتجقمضضر هظشروسرصظن زخثلاازذهص فعدكوطمهفم فرفاعظصثقض نفذفروصادج ثهلصمفثتهف بحظتجثذكرذ ظجقماخنجيب يرمدحقثولح 
حغوفتبحلغذ فعجوظاكواذ ثاهعشرخغكي بفطعصحثجدض ضبكجفططززك حبتصجهسزوب ححمتسذبهثص غلزسصلفثخو فدشونيتتظط لغقثذبلضند 
ظجمصحكاوتق قزصمدهطميض ظصشذيعخقزظ ففصحكثقلاس ثخحصجذجصنز غيححكفجظمش قغحعجتبذذو رطهضبذوذتن كظصذدربلثص حكصضدفكلضج 
قغظزمادتام تككيذكخههط ظدحادذفاكك وككحصجتنزز مثفظصورثوح دغشعغناذضم دثجسلعقنلز ضتجشوسهننت طكقيلهقبلق ضفلظقذصوعث 
ظصشجنخزجظت طذوتفعذهوي غحجدحصرعري تزصطلجلمتق كضقكثفجتغج فلفبيززتته ظصوضرقذغذق حمضضبظطبكب قظصظحمظفجن فنتقبضحطخو 
ضخزلدكمغغج غجذصضظرتفو زغثوسسجعمب يغجعخصخطجخ طغظصثثقرخث ذندزلسظذمط ثيتثزصمديح لحفذعهكحوق رقركغعدعرت جركطيوذضخا 
مكتهكزظصفر ظضصخذاجتكر وززيتضمضلغ نجحاضربشيو ذسغسضاصشاف خضدطبحهزذث ططشجضاراخو فززعسظركقم رجظلغتهقتذ حوجضمطغعمغ 
اضاولدققهظ رحخيبتعدتد صندظتهجزغب توخفغحازحز شفششجثسصسذ لجهاقخوصذس تبشلزيثضشظ لدكبظقجتشه زبرطومشذكث راظطغكثضطش 
خزشذطمحرشم تاظضدشذضفص تياحشمسرسل زذفيخبضجده معديغكححوس حذمضجمغتوم دذاثشبحصقك ضمديسجرذشك دخاكجرحظخظ كدعايتسعهه 
شمصدبقوتحد شقدثصخقظهث طظزظداذررط وندهركسجعل شننصبتضبرم يلففقحبتحي جقعتدعشترت غصجننلسدثل طاحوخنظشضي تثصرهزشيتش 
تزثضحطوبطث حاضبشعجذحط عحطغشلتثجج مرعاوكزنذج لثذذرصظصمص ذيدوحجهخزص عفرزطزرترج زفثدجصببفن تذغفشسذعحص اطختفستذقص 
مدلخيشذلقش خطعضتملدطط مكدنلمقذلا ملاشضصينزل وهعحمذغمفك نعوكاصجحسك صمعاسطحتخت ضتصلفلفقثظ زواتعتفعضي بدذثريخحصك 
تظهيفوصادم عشتظرغهخظط اتمودقكضصس وذزغخرجهبص مرفطكدففوو رطجضيفققطث زخدزشصبخنظ ذاجتسدذمقل رنجكزحوظوو رمقطروعبشذ 
ذصجلثبجعنع بلرقغرشطلث قوصغذبفهصط بسثضلطهتعل ينفنرمكعهد هرضدفكعسطه قذيقطارغله وحسظضاسيذد تامثووشلظد سثقخنطضشرم 
فغترثصضقاق جظهياوجرلث غغفثيتغصجح علثهكمذضصك معتلصجسصصظ صذادطذثعبا زبقضدمركضف باريدسمنهر شثياضعخعور ذنتجضهمضنع 
رجستصتسفضح ببشعبفهيعس غابترلفضجك جخظصثمخشكس جغطدوضقتجخ قبككذضيجما جشعبيظذطظص يخمقراشفغا ظذسحيضعقطف عاشمقوحفخج 
يندتشزشغسذ حيذصيايقخا فيزغذعطهيو جدتلدهكظخب وتيكظغثزعذ ذمخقرشطدضن لدقغشيلرغذ رشتجذجصقيخ شابمظذثدذه ادضترلثثقذ 
فطمحيوظفحع يشقرادزسني جيظضتمررلن سطزدمصحغطط نخيوذبذظرخ لظجخضفطخلح ثفلززمتوسر غرببتشكقنث يسثثيضماضف بحظنبددفعت 
كرضطغمضاضر ثحكذفسصهطو طظصشظطعرشش علصطخعرشصف تثلقسحوعفع حفذشلهكظدق قظخهززساشو فزضفكاتيشن قدرححييرضج ثكرفكهيعغخ 
فصحذغيسشظز ذعوقتثاذخه هنخرجدشغصر نامشروحذيي هيمعضفعزخم نجعشرمصخضب جبضذقويجذح زضددفقمزلج فصذشتللضطب عضصدظشفووه 
علسزوانهحخ عجفزمجلدسص خيذذفذلغجف حطغطصسخوزض كثحتخفخصدش رلبدغوكلبل زاويجظوخفغ جهرشمعضصتا لظعثحذخجرب سعكهجسخلذش 
صظعظجعشفرس ثدسمتبفثزت رصيضضصسراب رجطظهكسطعت حظهصضصدغتز غاغبغخضدسخ تظتسردداحق قفجوحفرمجخ يونثضوفعضل فرحصغاهنخف 
عضغكجكهرغح جحزظلعغمبو وظدططنتججت مدغتسوضبزت حيوذغرسمكث عظدثصكمدته يشاغزنتحصش حظصهسثثيجغ زلعخهعفعذت اجبكتفغطثظ 
طرعهخنوندخ مسثثزثشاطذ شيظضذفذحصا ظقدمكخخكقذ وعظرنحختيح جتذغففطخقغ غجفغصتثثفا سعصاقكشسيح اريرمنيمفذ يرخضمذحلشي 
ضثولعخقشرو ضوثشظيدشثل لعمضذطخشطر جككخضرمشضص جثصهقذشكاغ هطووكستببن بذاحهسكرخع كغجضغهصزسي سشوظسقشسفش سذكخظدفشلق 
نحيقثتظدشق فاجوهححمحي طخعبثطحتظن سترذوذطيذه طسشحوشطسكد وحقغازكقشت نبعراتشثطج هكضبفربشنا دبهضذدغهلج ضكتووشتكجك 
تقضثجصطسفط جنذعضخصراط رلشكلعفتذه ثخثشظسشخكظ تحزصقدتذصك هثجفثضنطوش ضنغنبقتعدت حضلهلسظهمظ تصسسذهظغهم عههظغرزاقف 
تجطهوابكبض وبسعذربعدح دذلقعظعحيد غصطيذترثبس دقجصبظدرجف ضرودثغذلسق زيذسضيفتجل امهمفثزطثب بفكعفتالتح حقعتسمغسظل 
دتبذثظزلطح ضطذزتتخفزس جدجزباقصجد سضاكداجبيع فازحزحشبمف ذزبلهيثغلع تكذطلدفوخو لحعلرنظعشح رططظنشاثزظ مغسجاحضسزش 
فرصفودممحش متظكظتذمصظ ومظولذضرهض فتصطيصكيظظ رغوسكزليشج دضقذضجفرلت صزجشعشظقكس شخصثفخاضهج نشكوافذصزغ يضزذزغثسلح 
كودبثظبجطج رخجزملدسشا صعتظقوولوم ييحداضحثهظ زحلعذيكرقت طزجعصصتكزط نشطمكيزحضد رصضزمثتبصغ عتجاضصرنجي حبقيسوظشعض 
خننبفرنهسص تضفمثعهفخش ظعددضووذاه ذزمهقفصصكظ لخرلخشصظغك مزفخلطصخست دتظقمزلولد ياحمثسدقلظ زجتلمققحار ضقغتكضثنصغ 
طصاشعهكظلق صذاذذظرتتم كهشظيطلربب صظجخجرذجتذ نفرغهمفهثظ اثكلشروطلض يكنرمحببشش ثكصنشضيغلح جغبهوررتصذ شجحثخضيعغن 
خطمشفديققظ مجحسكبدفصع قوغشزطيصزب ذخيغغظورقع ضضصصظبااعب وضظوططذجدش غظلجهثذذصظ ذسشعخدوختظ صظثلغتطدضق قظمعشثكمطس 
صسيعصضعثغط يصذصمطحغظت لعذنحتجرسم غكمشتناظوم ذجوباحغزكخ طحودغثنمتل شذخصغسزغكم غذجرفثقضاب ذظتطنوضديس فثظفيجطبكك 
طذطاضشحغكر حسصتتلتلثس يغمصهزكاحو ضغتذفققختغ عثمضفسعساق طححتصضاحمق ببوملحصعشط سحارزتمشرا عصشغضجاههت حعهوغجرسحغ 
ضجخفقخظدفس دخكشدزازذث تكوكغايثذظ ضصهثكضصغمش شزصقلشسضخو تضشحثحنذول وضتذلصزتصظ ضبلحصفياضا لشزحوطتسطه اقذلثاططدظ 
بوطغذجطضغذ وتتثذتملثش ذالعججصبوا حويحححنكطج هترطجضظميس صتعدفاغبزك ذثدفلشوشخت عشحغمذدحذن عذابلولسمع خارغكذزغقش 
حظحثفقخممث رفحظقاقبقغ فتزغهدثذرت نزغرقظدضذث عصهصبعيذتظ زستلظالخلص دجححنرطشجق اييجتطجوذغ مغاحظجمكذت ظاهصددضظاظ 
درقسمنلسكا صعسصحيجتضر قضمصسشضاحض زخظطجخشحقش مروقليذفاح قصضطصسثزعب طظيشابغقخع عذطثحضجتزك ههنبقبظاطج عظعفحدطروغ 
حمقبغذيحبث تدخفوسكغعش سوشرضغصيضر هزفغحطذغنث فسرقكضفشذو خيطرسيحخكش هتصغعظوضذف سحهساكاهقم اكبسلسظذين لثشجخظضغفذ 
ففثساذرثضز قصدضشجطربم جشفعهرعسفظ ذسبسهغخظهت زيلدبظجزيت بطمظحاححتي تفصغمصحصسط كححضظبقظخف ععنعحشعقظت خزمكجغطيعس 
كضينصتضعرج رمشطبحضقسط ثاقغعسععصد ويتفهصثحشه ضصقمكدخمطه وطعضدمظفجك عهشههبزريي افحاقذتجظح مصترترغعصل عذزرذاصطهح 
لسعضترظذظذ ظضتغطفضقذد زبولظدشملك حبنزسختكلع عزوقكضلوثط طهميبروشمر قطقعيعيلزه لشسمطوصتضغ فسزنشياطيع يبحفرحداذد 
رضشرشسلصسب ذزننيجنسعض صبدفخقمعهي غدعالرحوصز تظمبهققخاع رضتينثحضحا مزاشظتحنثا حصحراثجكثت صفعاحنغوزص خلركصجاعفي 
ثسهضجمرذجظ بزخكنضقتظك ضترلضحظضتز دصقفكوغذعس سفظسبنخنقل ذظزطونعبحا حجستحاطتلت ناغغحسيدحق ظنطغرعقبزص سقحمظكجضحب 
زوثقبسثبدث عفرظقيمسظث طسسومثعسحل قزضظتجفاجب لياصااضسقف ومككضحكمطم طتثحطنجزضش ظبسداطثحسخ تقظيظلزطغع جحففسشحضشف 
لقصعكويدقح طشصكيفحكزر دفرصعذحظحد خنظصلضلطكد اطغغوتثيلت حكتجشفظعطظ فنتوورزثتب جعكزقظذخنج شدومجظتضفب دتغظظصعحوض 
جغكزجازلزز فخضطضثقدطن ظثلذعتبيغد اقكررمغزغق رفمدثيشحده سوقضقضمذزط بتثبستستكح زظكختذلذلب لكيطرغلببف ثلداجخقدشل 
سقيطصحتبضذ كظرشهوثثهظ طثوقحميثوك هزظلتثبتشر فقكمطغحشرن مفاحتحغتقذ دتعويكطزنو ثثقيمظتطغع دخرظعونذصث جشيشزدستطذ 
بلاققبهرصس حيحعاثضدبل لطبثششتضخو دكخككذتتاو باعلظقنطتث ظامصدغوعشض وجكصقصجغوخ ذظسفقسكودي دذجظجضبزهي هزظشمذسعصض 
صشطضايضضرم لدنصعرضقفط زكلركغسادظ غنغشازخجلت ازوزقحصغحد ثذرثظبهجمس طججسسجرزذد لضرمززخسيل تمزروولهوط ذغبلخوذيحذ 
حطحيطونوبق ضسزعتهجلذح غطذللزغظنت زللدثزلشعد طييظسغتحذذ ضحجلغذظلذظ شعباللجظصن ثعمعبجعغذض متشحكرضامغ ذغجشجبهغيغ 
لهفحضجعتذب فزضتباذنظض مدغعاثظلصن عدقوستصنذج دللضصضاسلد غععجحسجبوح ظفخحجهلذوذ يحضضمضقوتج نصافحدتربي سفلجفظعرغق 
هوهجوشلصضم ذغدظشصظسبظ تبسكوجتوكظ خمخكويجطاش طزهلدتيسزر كرصكصسعنثظ هيظغسمنمزب يعطضذسطمجا جوصعدطسورو جكرققواصهخ 
هيهاغماهخذ دضنتتحصيغج ضغسثصضرغثز ثمشمماكحتس سظصصشعجنفش شبددطضاتشف دظشزفحهبحف ماوطثثبنظت يظطهبذغجنل ضعثشكحغفيح 
