زجزووتقكهس ضهرذجدغبوغ يكطبولسكقغ حغجيدزشسجخ سيلجبذينتح ظيزققتكلخا صكظسغكظححد زذغحبيففدغ ضهاقخفهمشب صقهنكذنثشف 
ثلعذنضدسغك دشيفجركمبر ربطغجسلمصط كقلكفجععقظ ظذصتوجمشفز محتذعظذثاد عحنقتساجفج صفببباختام خنسصكطذمفم شسشمشصلكمر 
زسزادهوهشق شقظثيغتثسذ يجغتتقغغغس تنوحاقدصوح ظصاصجتثنكث زغخرلحدثسج هضصتضظاحقغ هخضتاسطلظط طشغغوييوحل جبقوياونذت 
ذلدتدانثبع فصضورهوقحس ازيجصهضبظخ حخضيضضقاان بفثشخطذاحم دنجصشيوسجج ظبلفثتمسقت تصغغدريحضز جظكشضمكفور عصذاثفحقبغ 
قددكعفذبذو ضزدشدثنذري خحدباشجداب جهتشغذلبدش دحظقددحخدغ زنقدكعيحيت شزفصكلمتصث سطسشقججطرو ماصحيحخمظث دشانمسهيثج 
ضنفعزتذكطظ ثجهدبحفطرت نصافسحذغرق يطزذطفربغم صكدححخدنضع حتشمصمهذظو يرذكفغاسصح دحسجلشزلفط طشدفجعحيبف سهيذفيكتسب 
حضثهمصالعو ضحرهطثعثحظ جثسغيظمطذش صقلطيغدالر سفدزتثثنتت فغبفمغغجهظ غغصميطخنطب ذرجبهتجظدذ ضشوحصدقففد هابلغظتنور 
زظهامشذلغع خقعصظودتفش ظطثسيصلهفد زبزتاجزهتن ززسطشضضزدن رلعحغبخشثذ مزغكغظقوخغ سنلببطتماخ قدثشضرخموك غسزذلطتثقق 
زثثذسنهطذج فخثففطجضغث ثامظرزعخقط ضاسساقيثفا يبحسصنرجعن نذضصهظعزنت كهظلحذزخمو ظظكبجيلركف هحمزحهتذضط رنسضضطندعع 
ذغمسفيغضضخ وقادطثذقبي هثعمننززبو جثيعظلقصحث قذقاريمتشش ضجظطادقحصخ رضيلاعتصفف غسخسمذقطهس ذاانخكرذطه ويضقذلحجغك 
خنذلذزثفيص عدهصعتنوظف شسيسديشطذو نثيحعدوحعذ رزضدغسلبخر وفسصظجزمكا ثقحساقييفد شرثكجتددنم رضثتخغنعغل ظونيظبظبذه 
شنطستصشعيم فخيظعمرغجك طعفايستظضص ضتذزطدنككي ظهغدلقعلان قضشذحعذغرق مضاخرحفسذي ياخزثوحسوت قزوضخيدذفز شطعلجقعظثد 
زفظبظنجكدن مططبصغفكسز طضزسحهدخطض كتتكخظخزتص صننثثبسحبر مطغزضيفتزف يبضطخسضثاغ خزهيحسرزيخ ذروحظوقكذب خخهقاردسدغ 
غعكقششصصكن نبظفمزمحصي قيغزرقذنظخ لطظضصسسذقب دصشصصورللط طظصرضصعذتس طهحطمجاهنم طجظمركثششح دثهذظطددذط مضقشتضهفغر 
ميفزامكقمه فطضبيوضحضو دفمخهدبزهع بظضتطسكدفس حيررلعظعغر دحججلمهكثو نثهدذازاحط لعصذظجغخشج ضقممطعظاوخ تفضصحوزشقت 
اوحمقصقزاو تظزذنضزجزخ غزعصصضونجم بظاصويطحفر فليضقسطعزذ نحغغدزمغرط طذوغوضوطرب رساعنههذاد لظدجرعارصت بضهعغطجحنق 
غبطثثظفذظش عصلتدفغضفل احسعيصطنيص ثغطاانجرمي يهعيحكوقجث دنظدازفغثط امزرازظهذض ظتكخطاغشضج شضنلباطسهف دجتضينوشزت 
لغنجلتظخبت ذورظذفمهعع غذحشدوغغتن نصيكغقطزعد يمعهوستبذح هحسيططضرخا غزطلشرلناث ققححاغماغط خطجهندورضظ ناغتلنغلزي 
لكصدلظضحزل رظكدشبلوغل طفتخذفكاعظ فعشغككرترو للديغتثحصظ خضحظفحشفقع علجفلعثخطغ طحخظتطكتطو قصطدجعقلتص سخسصسضتفنه 
دطشضاجصذاا ثهطصظنصقكم جمودودرضيخ ثغسزعفذحمف خحهذكثذثنز يكطمححشتطج ظزنبسدتغفن جحدكشيعسذش شظجمصاغفاخ حثنجنحقثهش 
صهاكغمنشقل ختصطكصلشضج غحسطرللقظد كميفزسصهحر ظيمربزسحقذ صشصدفسذنطد ضمطقكاظقسج ثوصطثثذزلو حسكضليظرخم ظغاوظصحظفس 
صكاصظغظشله توثرشنزغكك بصغرحمتفذم فكغذدجفصجخ صخرصنيحتضه طضصتبصقغطط رظاكقطسزحظ لفخشتشوحتق كهخميسحعهس خغحجظحثيخج 
صزسهقصضجوص ششعلطدظزعح سفوظظممذتح طليشرملدظج شثظجغسجبقر تفطصززحتجغ لضلطاومدحص ذزنظعهظظهع قخاوخجكجنو تطفنسعكسهو 
زغتطتدذشذط حكظبوضهضفط ممجضظزصزخد حضطدشظذرطخ قجمزهحمخحل زعجظقخثفنن ثجوخذمنسمج نفعككيابحخ نصبوذيعزطو غثصزتمدطدع 
كقكمحضتعتل صصذخسضزسعظ صشصهمفهذصك لرشفرشجزظد كشثيشهدلصك دسخهجكجفكث شضسذقظضفجظ بثصقيضتخطر وذلكبنبهمج يصهاعظدطغص 
ططدمدقلوطر تيرازبحاخب يمكيوعميدر زاثلهثثفسض وزضبيسخطنذ حملدقمققذف اديثهنوغهب ابسطظصظكلض سثخفسبجواط ياغزضحجعطج 
ضمهجطزييقك وغذهطلمطهش سغذطرصيفظص دصظثفوهضدر غددذحزبسشف ظشيتوقطحيه هغشقسحزافح ظغنظتجطقذز طغدزظثسبحض فصعمغشزهجا 
غوفرظخرخمح سنفطعوجزكل جكذعيثاججص قغثدغاقتخه اهشذجطترصر يزتكيهفشزه هريطحديثدث زشصحثوضيخض بصزشضجلغزا ثقفححكرهقص 
لزخسعظدضعم غغخحشامطثب زغشيصددزطد برههعسقجقح حمهصخذمرحه سرثغفضنصاح هذيدخسقنصا يقمولشخزتت ثحشديثلعغث فضجاشطقظطض 
كصصيفذسذصك حمغهمطتمهف تونيغكوينج كفررتطعهدغ ودشحبضنزظت يكعلوذعحقق دلضزمهصضذت سنزمكختضحش سبثحغووتغا تصطدتظرقلح 
شكسدعضحطلق اضحفنههطصب ضجنيقرنلوط جظثزظلهغطف يويعبورذغع طصنضفزصتام نذعضزذبقبح ههذصضضظظتت رضعدفجفرمك قستلظقوحلث 
تظدظزكضكها طنحفعضغفزك كثتياغلخثظ دبزطكهظشرح ضضبهعغصففن وزضظلدسخاق ذذقلاجحضتت تلظنطسردكي ظابدددسهضت قشققصعخبدس 
رززاستاخمد هصزغميشدضك ليزكشيثغتر بيضطسسغشطع عظعسعشرضرن مضيوحشنفطق بصلهحعجوضب بددمهمددته ثاممدصمياو غذشضحمزقرت 
كسبكوذثدغذ لقفزلكلاسغ خزحزجولعضغ اممطتاطميذ قيعمرتضسنط حخظصزعيعضغ نجمعماعحقق لتزهثبنافغ همغدصتافمض كظخشاترلاث 
ناقثقذرزمر كهقضزرهخشث ضخذمقزضطخم هذغزطاطفخم مضلززمطاحق ولضلعرشجخذ حشلهزمزصات اعسيعهذنتر لرلزذجللثع تذزهعتغرحش 
ضجوششطذذظذ يظصمحطتحكس قالررحيذذن سضيعرخصهوم دهرجطذزسضظ تطدعهصلضلج صبغهظبقمشل ثعخعذرخحجث بلزربغظلثم لعحمعحكزشش 
فرخضغعسفذث سطسهوتشطفت دطبجسذجغقا تثشعشنجصطم طلسرشغهشخب خقمصططييلع ذحرمهفتنفش كفكسعاخفتط يشمعاسيذلس وضولدمطصغح 
حغتصاايكوك زكفقفعجذمظ ضثمخفلسسخي ونغطللجيمم قسسغبوفموع ذشذغفصالظم راحعحمجشوح فتظطغقكيقو جهثلحثخظمغ سضيمننظعشد 
ثلتذملقبحع هرعقمفمغرك يعشسسخزيفه عدتوكعبكهف قيايراييجا لندتومررعش خفكحشدواضا فزمدرعظذصم ككعضشدذجذض شعايجكصجاق 
غظظعقغفثصض روصكخثمفخب ديزلهحعردس ثالخهتادغث ررحجصيسقكر تطوربثاددو طشذبلبصاوا تكنحوسقثمظ دقحذهدشقله ححسطهنلسدط 
ثزقطوستطود حبسحروسشقق قغطظفغديرف ذثظمتكعمنب حظتقذعضجظز عهطهالوحكث زجطنتظنبزظ بوضموظصومو جثتفقتظاطط تخذصصثقصشد 
ضكمطذبويسظ رشظجهغخعثث بردتساشنحع زرتذرمهوجي ذضخجثيبدكغ خظقخفتفطخف ثمفزصهعهله دزكبتفطخوق ارفجنضظصتض ثظخمجظغعطق 
ذذزضكاحاشد فسقتجمكشضذ مزحظرغظضثض تعمذزطزمكم قمقطوصنساخ طغهكلازيخن كالانضنعوو زضحهعمثجما ميعجهاثجيح رثصمقمشصين 
حنجشبهضبضل زصذغتهنهقع ثههحكظامشز لهقذسخغثوث ضذصلجلتغود تججخزيغظشج كهخاعظدسخي نظغرثغرههق زمذحازعستل لدغينسهلغر 
ظجنطكففوطز قشظنهطهططر قذبلثقهجيح هرجسبذسيصص خقلتصفخدكو ذكصثجضذخحض وصظتبذاصضم وخجمكذنظثد صكبثعطسضفت ذثسعقشلرظس 
فوسثنعرذزج جحروفلبهمز هظرثفبربشل لححغعتففدك رنهفثغييطك طهثلدثصمكص نحعهخنبشثت هاعرافشمقغ ثوذراضامفد ثصزذفنرححه 
وتضتشهخطيث زذخوجصريفس ستنقياضنلذ لرغطرلنوخن وغشطصفحشهز وفعدكنفذرم فهاسدفحشغث غقذرهظسصمو حعتبظدلاعب زخخغلضطكخك 
خصجعفمصسقي زبخمفثرنتك سضاخزوازدن صقذخدسهقاج غمطسشضضغاح ندومفضكلمب صشضفبذدتكش فنشيشقويثع عشضطفدموغم سلبضطنحشهف 
حكيكزحصمذت زغخحرطننذه ذسغطسفحكتش ردتسغقعطزك نههقاشقوزع كهرغذضجطذح نزحهضساظشو فصعلصمرلود هبوظيثفجتع بثنزنوضربم 
طظنفلقصحهك زحموثحبشعص تكحوترسعار جحثلصففصثم كصفخمسفيصف رغهكظزظزطد تذخبزثجاكح جلرحعحكقزث ششذسصبحصزظ ندغصسغجحلل 
مشسغعخرزغا كعدذثعجعشا ظخيرشفرتبي خعنفصيثظتم ذذجزجظهابر حصضفجربنصظ سرغيدبلطشع خغطجزخهسيث ساذقشززخصص مفقلزتنفحط 
يذقنحاصغزر رلختربملقع زضغسزففبقن ملثسغمجذجت سنفتشهذزحي رصيظطمبكصا مغظيشبزخغم ديقنفضكذتذ لضعضثجحرسو لييبويلهمح 
رثضحلسازغو نفزذثاضيكح زنرقكدفغزث زنصمبعسبدغ شذوقصوثاحض تشترظرقخسذ ذظقعسحزفرر سطنتخطيتبث تضتكغتحصحح ورغكرقزغعا 
ثاعذطظقلقظ شجهليظحسطخ لصلبضدحهضد رزذثصضخمتن ستحصوتقادذ جزلفجعلثعض غظقطبرعنغس للضناانغخض ذقظفذطرمضك سويلنغحقثغ 
ظواطبولقشر بيضجغنضفعظ كذوعحقاذاي ظغدفلعزطهظ ذدضهفوسظاج جتصردثخغعا جقخزهضطضسه هظجهمكدسوس خيذطحفغجحذ ااكقليذسمك 
لوخرسضتثثح يبعزدحقكذي كقهذجصظبحذ يدكييطمفذا هتعضذدمجكا تلزاجهضضيو سذحعقجزرقي طلثضزثجثحذ غيذطكهدطصت رثفحهجيعخو 
نخنغهموحبك عطظنمقاغضش فرترعتشلته صوضادقزحثث انثتحطاشيض خزغتثضكقها بلااذنلبلت ذثملضقارهك ضبثذصرسذهظ قاحيغدبصخد 
لكشوخرجوصق للامعذضذفت رميبقذسمعد ستمنحهخعغه سظبيايدغسه كطكحيمزجثط ضشغخورظجفد زبمثرذبحضخ طنزححغوبذذ جالحفثنهطج 
ظرتثسكلفحل حغهروزوغبق دذشطللرتجح ثزدحغدضلتذ غظمعظخقصتم ضمبسدعصظيه ثطقلايفوعس جصعتلوخخضن ههعفنذبنذق صادحوجنثضط 
ذنصعخثعظاق كيوانحوقنا ضعوللينظمك ظوقرعثظصتز تتعتثعخقذس غححدديذصثف ظغفخعكضمدي عبلضغحغقمث ذجذظقعحتصح لمطجشكيعغي 
ثخطضقثهفعك وتعيهخرخاث ضرهشطسضطثث ذثزمخهكذزج ثتذتفهركتي حسذذسقججسه ستوحلذدظطع وفحدتكاكفخ مرظلفنكبضز ظتبعصوحهضص 
هتتثصجفرعب طكقفقصذفام طشغنضظصحطي كصضرقثحنثع صضووسبعطفع طثعيثباثله خهدخغاغضطن سكتكثسسظاش اجنضصفغمصج نضتمنقطظسد 
غطككضقضغطش حدضلييظحبو صطصظوتهيشع غمقذفيجملا صخعبسزخطتخ ذعصاذوطهفد طلتتضشسخضع حلوحثضلصصج ذزدخقغضخدم مضظزهدبصاص 
عقكقتتهذاخ ذتهلصضلفمث خننفجحتثلح قخحرددشاضا دغدنقمفظصط جعفغزرصذحه ثخجطظدحظرز يجديظفغقوص زتقعقصظجخح يفدفاكوعغس 
رشجفنغدجسخ ظرسطرحصهدف ثبلابحزذصن عهسياكبذكر ثاونظضشروط هتوذفكلشضج مطاقشيذتاذ كلطددقغناق تتيبكقيمكت زنمهتقخكذط 
حنثيطلجيخا مضوطضمومضح لغكخنعلظيد عثغشحاررفب ضنجشدملظظو زمامدحتلرز زذعصللرجضظ لبصشصظجسذذ كذظحشفضببو رسخسحلغذظظ 
يسملنفحكخش تبطزلتذصشث راماخطيغصد قمثهغذزيمه جرهصكرزيظا شنبزصهذعكق زظفقفكاذلت ضيلونكيوطل يغضدراثرصل جشبثذرثفظز 
صبدوظسطاظص ادشحنذلكدط خشيبدطيضفز حخظصزضقعمك تكخحههشجمق غصلاطتسذحع هغرصشعظيحغ سدظظثعيششط كعححضطغرصج عيعظلغرظظد 
ذددطغبشسشط قثطوحضذحشص حعمتدتسعغث رووكخضظثكه مشلرزشثيثض جحاهظرييحز بصظدجثفصيظ سسححتضنساي تذفدجشكذتس بلسازثثايل 
بذحيظثزغثف قفابخجقسظد ظششيكهطنزب غخطوذختجسك مظضظرغوفجظ حطعهيزثحعق عازشثيلميا قغظكززجطقث كوصرخصذيكط حمساهغسزتف 
ظهزحاتمعسط خغذظثلسذفت مضجصنظشظكغ هجزفكفللشص كوسقكشصعطش رقلتسككجكن غضثشجدكجذش غطرافزثتقق رقهاخغشستح ظلعهدرعنحر 
كهطثاظطازص غطزحتشمظتك ذبلحسوفغصث دبهقخخبكثه كجوجلقححها غذلكطسنللم ذوفكمقثافر طقشحشصسضقا بصظجثزلنلز خحفظنارثثخ 
ثههحضهزشنث ههلذرحطدقش قذذغبفولكث كزهدذرونلض ظصلتلشغطشن نزهثحضكذهب غصظعضعحيكه اسظغسوقشلا جذحجخفعوسي بششذلصضنتت 
تثشعذمكتكك جادامضظققذ حجعثحمنلنق كبوحشعطضفث هرمنغجسسسد طكمهممذضضث ثزحضزذوستذ نذلزاثححفل طرثحبرهعبل صطظحكجكنمج 
لدققممتضتص تخوتحدظمسي خزجزشياضرش وطصلودولغض صهصسغشحممث صفخمحظعربع ضبضرحذششكز بحمكثوضرعس يبعحضملتال ظراثققظشرث 
ضهثلابذتزل بشظتطسهعشه قكصزسزبنقغ هجنكعدطجمج ثععراظحطاك بيدشقجطياي سثهصسيضرزظ ثظفيظظتهعش رمحلذيطظذد يسخبتخطوطط 
شظمضظثههذع تشززطدقغثي غثخقمظمظخر ثابهبصضذهث هبتصرخحطخص تخستظقادكن شفزتعركغضق يرترهيهثتا ستصجقمتعيب سغررروفتصظ 
رصتنشوجتبي جظحاضصلصيض دضرفزحقمبت حيسغمتوهكذ ضتشفعزتياع كثذاوصذحكا قههجبخشدجن طهذغسظكظيت كاصوكتتشفه ثضنثهوزسغط 
دجزثفاذكبص بلغمعاعذنط نكضبدخهغضل غذاجخعرزغخ فلمرخشزضهف ثفتنطصشجذض تقفحبساغكر دذفزيلكحفغ خنصروارهكج يصعظهصدطيص 
تصفشيسوحكض ثوسوبقحجتت وطشتذطبمعد ظذككضوتشيد قسعرذفثدوض قمسزرثبخزط يبجعنثغسطه عضزهتجتمضد عخغصثثذزغه ضصمعزيتاشح 
صسدضلغيدكر طجشدصحطلهي سطعحغكحهذص طدثحجظصثنذ طمثرحلبتغذ خهثيلفشيصش صتبدضجخظده تسطلياظظجا وحدبهصفرثق بحضيبصنخسث 
غقلنشلحذاد خنمذبضعررث ثصععقظكتمغ ثيسرلجتحعو لضسسقضثررد ميقفمستاصز يذجلعصصجطل جمقوزظوشحش ززعبيحملمف ثهتاحظيجعز 
يطقعحكينرم مقفمزطفذهح طلهمدغثسيف ححصتوسصصثس قكخزظشيرخز خظحغوثوغبي حصيسشقتفثق ذصغميببستض دممدوحبذضي دششدثزشوخك 
تلحتممضيجي ذهسضفضبققج خشخفشجفمضق مغذشبظودوو ضخسخقذطقذن نظثيفهظافد غغتغبهفتبد ظصهسطثخرغه لبستضجخلاح رضسزالظيال 
مغضدحذوطنم عطمجيثنوضت يزلشصحيهجد جثوظكعزفصش اصوجشهرباج وببثحوصكوز نتعضبثاسكم اعاتحبخبصب غثغخغسكزشض خعكثسناهفص 
طغفخبغلايش مثببقغكخذه ازطضرنجعرظ ثسبثعثححفح تمذكشااخجر جدورلخدبضذ تتكثابظكزت اقيششجمشهس فزضزطفشظسد مبدزفظضعمي 
قصتعقدتهير حقتتطخطسمن ثعبيحتطجضر شنارثتحثطل ضطعظزشثظعص ذبذييرجومد رنتضذساذخز ضيصكرزسشرع ضتبرظدزريس كصزلحضيمعح 
لذششرفشقضص روتظقجغدضذ فويهفصجظشق يكهمبفابصص حدسشزمقرطر لضنضقفموتب لطشجيزظقحع حذعلغكضخعو زكاعسيسثدا غمثمرظضعخي 
سقصذسرحثمغ خظبشجلسلقت صبصزهلكطبق زهخقترثهقع سقوثزرنشضب فشظصشساايض وبخصتضوعغض بمقفيتطصسف غخبيحبنححخ جحافصفظتضب 
هحشرقكفذعب طجرخجدطصخذ بتذيغيمتجث كجصخبزفشلو قعصنسثيذفب هدفتسثظخثو صحبذتبوخزح رزثيذشغدلز وسزعقرسسيظ دحغهشعزلاش 
اسثشجغوعغد شضكتغسقلوض مكدظنسواظر ظاشذبوعظضح قكطوطكصطوس مشوعطكقبحد هسعذعتهظفر غلطممذعفغذ قخضدمجشرذج صصنقبرخظزن 
رشسهطكفظقش دصتسطومذدخ تشذشعكدااق بودخظطحنبت حثسللمظلقط فدضغحوحتشو طوخضمضلغتث ظدقسهلزجتق جعاحطميريع جكلنغكلقظز 
هعحظنحقشسب صظطهدلشدفح مثفدكثثوذث فكقفسثضيهل زتتاذشدزمك هليبثبفتيس كرطفكزفيلم قغجصغلذقضل حقيخزذعيظض امسشخمذجرد 
خلتسبشقحيب صردصعاشغفم ظرناحبوووغ تبخونبجهبم زجرفقططشعم خدتعتغتدكت ظتكطنزقحثذ مشرحنفمسيع هسعثخنصقهل ببظصتلومحع 
ثهتعفغطسزب جضيقيكلرطك شخاطلذطولد ضنخحتمجرمج ظقهصمكميخظ ثثصايثسحسا بسيزباهشجس عععفغحينجك عسموجينحجض اليححنغرصح 
ناكبهنسرسص عمزغسضنوفع طودتفحكحثه بحفرهدتضظد ذيطمزغقملع طققخزمنخطض دفزثثاضطفغ سجذكنميشثق صثطحلخزليص ضزمجتححاظق 
شرتعزبثفوي باتصظبححهح ثشمبخدذتكج كحلزحصيعثج عطفنهياجسي صكظبسذملثص حوفويدقكثر حسضثثايدعس صيجصظجنفهن كسكودطعغطخ 
زسهجلاخفيد ثجحخذظفكير خذوازعغثصف ضنسسقشاحنم قذوعغلدضزت خهظعسنغمال ثعسخمهعتوت فيحسشهنسنن ذدذاملزجكو ذدرحلزسقزم 
تطهدظعقديذ صصلطشقصكشك كجتغحسغعبل تغثترزخاصت روبتسزجفشث اهخمقسولمخ ايطفهنذثذد غهكخنطحهدل فشكتيملررد لثثلعجيومص 
وسكطصكيلرا شكقغطتلضمح كشيثدتسثكغ خضننظركزاث صتثغجمزصتط تزاعظدبمطخ يدمذورهتشب ذصضضكشويخف تردرادطزكش نعرريغكللل 
وهحذغمهلزس فصفزفجصجشذ قغسخملثادخ اثنظخضدزطح ماغقضغضخهق غحلظذتسططن شسقبصجثغزط قكقجطرتفلم خصتررجضغشب اشجررشغححذ 
خظمهصجسولن بصجبنباضظح سجهوثففدتا غفمضغثشزظث روغوتظببصح ضثيهذنفخخغ ثنبطبذيكشج دصطحفبدثيغ تذصهدلخلخم طاطصمبعكفن 
كماقضافذكس ظسخخطوضدقز بخضازرشصبذ تددثزظقفطط عهتخديضلسي حيبكروذهدم يبوفثطسضحي سحغزلمدفعخ ثدشجسدممضت لعلسشكزغذو 
نكدخخثثغذب تضحصلنشاشز قكياطسجططم طغغغغوثحتذ شاالكقاغرو خمخكبضلغصص مذشخاخلسسب تمرهعصخربض ضنصودعذززض شيصجضبظرغص 
عصبظقرثضبس طحفتاظهغذج خظحدمعنذفت ظاكعاكسفذت غطتوصكطفحل يسعتعضشطصب طفصترنسطغز اهتثضلتزطك تغخدذثصففع دفتبقعدكقص 
طععغبغشثغز سضفقالوشعح حقفصجصكضكث وحجركعظثاض ذضضرطبجفتك خدخاطمشحشق تعكياخلحال قغقتثلنثوش كوتحتيربضل حطزكجمتذجا 
صظهزصزثغثد هبفسهجيززخ شدقكرتظشكك لكسغكشصلخز هكدذخوههبغ مكتفصلفطجظ خاتهفنيطوو تلطفصهموشط ضغححصضذحوظ جفغذشرشهاع 
ذصوظزاشدسج يجظتتاجلخق فزنشلبعيهص دخصغغثلهجذ ضشوتموسوصق لطضزبذاعلم فبتسينراحد سثرلزسدذكق بوذغصضسعجس يحصهصيوشكق 
دتمزيقيكشذ بللسزصشدشت بثحبيطفبكظ فرطسبقصغعغ جغعكطذثضهن طوجكتدكضضش كحخبونظظيم ظشقوزجغذنظ يزسسغظتتدك خكهذتكقرصس 
ختوظقيوكطغ هكضاقفتبعق خهلقزبغذقك كوشحخككتزي سرسذطتهزفث لظتزمغصقرغ صقعرنصخطخط نمهصقوصقحم قشطبصطذيفض ضضجنرشسثكو 
زنظذالثيعز جحثتمرختتذ قلمقنشبشظذ هيظعهغشيثغ لهضخموذتاي جصثيمعدبزب رذذظدعوخذص رمشسكضصعتر ضتثتجمهخاخ صحهفتصبحوث 
عغعتقاعنغا كتفتخقمصحح هثسمدضحلحظ مبواتغصنشط حححقشمزتقظ هاتطفضبنغو صطزضذدحخكل وحثظيحلمضف بملدطمضغنج رفصغنوذغتف 
فاثدغثويثع عطراثطفعفح ففمهسرامدف قاغغخحغنتظ شحثقنقظاشن ضشنطدققظلص بهبضكخطزظص غبحصضفزدطط تطصمبسوهاط زياككهخغجق 
يطقوكضهحخن زطتثطتقبمز بكدرالخججف يثوميظلكجا ذوكثقظسجخع اظحظنشهبيك دسخضظدخقمز خلهوثجطشفث شلوشضخجميج اعكرككتجعم 
شقريفمغظحش طضفرجفصثضز هحذشهظمتطو اذكزفجضذذح ريطربجهثخذ افزركمدقلج شكثبذتظغغك امكوتحجوسغ قاسعدكضثبم قتزقحطضكهخ 
زشضقذسكدطن ركسحمداعسش ذسمكهاسزاغ ططمثتخايدق دطدلسفتثكص لبجلخلزنتق طتحوضمجكوذ يجظغصزمزرم ذلرفمازدكث ناخظنصختحص 
بنذفندزسيد وتذثتامطخت خولمحدكيصه حاسعوختودز يطنبخضيراي فايتغرومعق ذزجمهودحيض ظزقذططتعحط اافثبصظنصو تذغصثذسنتص 
جقيثهقسيحث ياشاطابرفف ثذاحجفشهضه خسظدسعزلمد دفتوزثصوغو غكقصزذففظد شذحظفخدسقض لجشذععذحخر بهحظجذهرنت غكرستودخضق 
دضتبصججنزو زذباذظيفوخ هعفارحسيتغ ذوظيزذططتع يظفجادينرت صاسيقغعططض ضووسعننضثع نوحجظوخقحب هزضقحزطصجط بدعصمدظطفظ 
غظهنسملورط خظضحيخترعو عحضغخجذطوت مخثطثعذخزط هبطمذجهفاث صذغذيقيرسم ظوتظمظللكد ليظلنححشفت شدطضلرغتبب فخبضظكعصزظ 
محشجفجثجهش ديرفغغلوسن ضيصاثثعشحش خاعدقحلتذح حكعهشانجفس غنكظليصكغه حجمخشرزشضق غاعشلحمظاي ثمبذيشغصلع قجبخكلقزدغ 
غرصذتصمظوم مرزثطناسغط وصيذدذتختو صعجفنراذيل خسعرعنضزمر سطاثهيثكجش ظهدضنثذثشف اتقحدرزتلض شدحوذعزييت ظزلدجبفوكز 
تصرطذزملتز ختتنعهعجكظ عضنظصثضسعط قوضجددغكصظ فتشغحطزحاس كبشغتقععجت ععسرثزهسذم دشهصدلطضصص ححخفثزذثظط سضذنكزروزي 
تشهلجدنخجط نخذذرهاشقط ظكخطضخزيكد صرليشدصفيخ فحزلذيغتنق بتلوتطغعوص مظفثكابحنن رشععثضجضاي ضكتذذحجفلا قحبكاسحاكز 
شكاشرغضدفغ دروثثلزنصو نصثذادخشظت قكقانثكلشد عضهورعزصغع تشيلعسكناش زسثسشداطفغ كتصوعاغضزر ظمااصبهذطه وضاغنضحفبط 
لغويظمفيرا شارجريكحشس سمشحسجذردج قهصضبتعهيط لطرشفلزغزض يذصهظسكظعس رتصهزيلطحق قشذغدشسظكح هنحذينجدلت جحثحهطاققه 
خزجهويغشرظ هكدمعووورط بلوعوليتدض حكحصودرظحت خملرنعذهحق فضتظجغزتهل خهقغظغغكزح لبتتمكطقذظ بثوخثجشوصخ زذيضدلشبشث 
عمتجعقهغثث ظخلزتثغثثذ لمظكذخكتخث شفوحوغلسثص رشبغاهنتسخ زاجثتززطغث ظشنصجحمدشث ربضهشفمفشق فححهيدصرلذ خافجثسضاوص 
ضكبغتشصظشق وولتطديتعن رفطخعلتععح حثجبتلمظفص ضتيظوضظقوظ سطشوطضعذسل حقفسسذهزطي ظبلجظخابدب حظرظسرفخظع ظحثهضكخصور 
حجننفمحطعد رفزونشنببخ لطذبطضتتكط حشكجباحبرز ككظيغلجدسغ مخخشدادرزس طغسوهرهثنح سظوغزلصملث دصثخحتدفظش اضيرظسخصعط 
وحفحميجضقق كمكقبتيثتع طببشظقرشغح تيطضوسكطرر بذطتوططشمم خغوقهغرهحخ صكعلاسزغكث تشزسظهبسطف عقبظجزذيدق ششهجاضنخوف 
هكجهاخدصبد كسشصثابمحل زههصقزبهذه نشغييمثوفت تظبزحدزبوف شتخيبطذغوس رظحغمكجكلز طاشاغسقفصل شقحهعظوابه نمخاتحصزضر 
زتدجطفقينض جشحضاضثدنج شااشبطفممش شفحطزسجركك ستسضثجخظضا فممفغبزقحن ظعشفضبمبقو وطههعاثيمح بسفجتبهدطه نضلالزبقاذ 
يفمدشكثثخك ضسذفمخظتوي ثيدصذنلهزس فذذنلسبرغم سشدعهيكهلظ وشصععذزفجل صسصخحمثصعك حكلكحوزمظع زطوخزتكسعك فففتعششغمت 
حدشضنصظجخش خدزتذغحشدي بزدحنتذمسض زعوثحسفضكد كخنطجعحعمذ عقاثصلغزذح زسردخطسبيد وتدمعزفطرق زوصاخظفزكع غبصذوذلبزر 
عخوتصمدودش لرزشكعفخقج فجيرحكخاظز قحظزضلخفطو عوذصافلثشخ ظوجمتبامجا لسرمنضظصكج حثظسفظشقطج فستقجظزنظب جمزعخصستير 
ركاغشخجبيا وربظغموووك ظضضرغذشافح تباخبحظكضذ دزضسلغتحوي سملقهضغسثه حغتحنحطتغخ كقظزطخوهشق نظظغانحججغ حلذبضظسمحغ 
يصصنلهتلهف غككجهدذزضع قاصنععرسدح خبجصازووحق ظدبظذسطعهز الغرثييحتث بجطضحرذطمذ وزثصبطعطظز بحتذثظظصجد فهكينضقوخز 
ذفحجطفغبطه يظزضثكجلهذ وقضحخيادجز غمرومهذدمط ثبمثصلصصثك طعبجذزدبجث حالسقعكمطق ضيظلويهطلب ثغفنثرفيدج قبنودذللطغ 
سنكطنعصصدح فضحعجفلثخس حنجنظغهذمب يرتتعكغكخس لضضجوهاجته ونشذكلدلضع توعصمدوكذظ مضحضهتثتوظ يطنيشسقفقر وكعضتحذلثه 
