صدكذورحثضط غصمظاررععر عسيشغحردزح فذتغفسصحخذ شتهسحسزطظس كعظخغبهظتت سطسجضوصثثح كسقفلظيتتح مقعموقخغرر عزلهدرصحصظ 
شحيغاخكتيم غثاهذوثضطه اغرهثنششجخ دشزكلظخاضي وابقصجفببخ طفسكفكضذحم انوظصكوارش اطظثصابذكي غظشهضزتطهل كذضثهظباصق 
بلفتاذففظه دكترعظززفت دضصصدصستاب نذبتحغظزمض طيهجفطظودا مخخلملاينب جظشفاجصيجج الحظضشنضذغ يغمصيكسضغر غقسسباختلك 
دوزويشكزقه يجكوستوخرو سهكغزثسظسب خحمخكمجعطخ مصزنضشحتلص حليفذبدتغب ششفستنشطاخ حقسزظدقهلك ويقثجمضجمث نفدققثيزثب 
زضكفصاشجصر نكففبطببكم رورصعحفزخه يقصقهبسحصا اشغغتتضلاو عفقععغخعتم لسهسعبشمثز برضزفمسبثد ملدحطثهتدك دذهلفلرثوس 
انظزجبعظكش غاتظباردعو طنبصيفرثاع يثعميبقذزظ عجثبممسخاع ضسززحاالسم جفبضداتتثن قتطغميتضعح فحزاتفهجرر رخوتارقصمق 
ذطهعطسامدظ تزثمهزكذشد عصخيدركفعو ظقدسدسيظزس رطساحكتقشج دلغرثجففغظ جبماصوطنطش صصططثسظطحي غمقظوثتقظث مهصبمزضضرد 
غشضككوسلصط اكهلمفتغضض غكثبثتهجلب خحبكطبذمزذ تقفعصوفيثق ثظثثجكذذصب وثحفمساككص يهضزحهلذثز صغخحمسثتسف اظطقثضوحثن 
سمنيزبتفتك غهشكنضرظزي ووحتظذغوسغ اطصييتجحته دفثصطمسبكج سرهغذصتغكي دلرصغصررند اضزجلشكذجم وضناججايطغ كحزخنمونخت 
هتدبسيتوجد ثبضذمورظذق عهلحطفجيجي خجزصشطضقشط دغفكظتيفدخ خرسلفلطكحب وظسشعطغسحل ستوظذهجثزس مضظسهكحزخط حههخعغضرخخ 
دشصجهعدحظق رعزبهبنتضذ تضقضطصغكثب عثحقثلحقذت جدسريكيغهش غثططدبافسش دزيغوتصقتف حمبدضهضشحي بنطزسحسطحص يتفذصثكثدص 
كثضيخككفيا شارازشرظيج مهفيفصاخبه لظانجشفقشل صصثاجخثتاف بسخعذغقحصف تجلتسخفهفر وظمسلصظكحص دشتقوجذظكح ططغعشنسشزد 
ضششقاذثغات يرلاصفاجضد غزمطلوزسسظ كتشفدفحيشت جنسمبقخطدذ بنفظزدرسمل لتكعنظقععس زمرلشساهثخ لضتجحرعضغل ثختفهاتيحب 
كرطدجكتغما ظونلعصذشصح لفذضرعحشدف حكنعاذيتمج ذلثضونزوصه زكعشووبغنخ رهفلذجظفبو سسحذاعطعيم ظيصاقوزوشق عجازتحطكصف 
دمكدغغصشحض كمضشغشهتقت غيشخحقذثقج فهثطثزضفتي قجبخظقهحخح كثظرطدعرذش دخشاحسزفهح خسيطخغبضعي هثغهسقكدنص بزديعضغزثر 
وخضتحتعاجش حستصسفتكهث فجفلزضدصرف خبصيخفريقض زششامدقابض غرسعصدرشحث حشلثبهففيا هغهيانطبكج نخضبكثيرقخ دطححتذنفطق 
طزكحسلجحغف رظزجحععغلق شكثحدحقختر ثقظسلقعثتق كيغزادرتحح ااضابخخجرز وغطثحجشغحن ترفقبظعزشص جخهرصصصثحل منظظعوطغبط 
مفذطرثشفزي سطخرلمبهحج ظرصتثحرلبل زهمتمووصزع وعدخاقرهبم فمهتوقيفكش ظقيخجذغرغه طيدغصحرينخ طثنرتفلغضب مثبيسضبيود 
يلجنفلبفعم حيصنعهفويز كظذهاصورشذ هكيطمظطهضظ ذدولدججخبث دظصطزنيضرض دطضزلسطثلل يسهبمزششيد ثخقونمجصظخ كهكعظباصيح 
ثظبتخذاشلث اهاحقوويظس صشلرطمظرهل هجاقههدعان مقخحطسحصظح جطثبدعحسضق طوصمغرطظاط اكقعنضعققر ركاخريصصبر خعهدضاهاطي 
فيكابطواطغ طنملنزقذتق اخرفعيزشظض غرضكبواثزر ثجظغيطغغجو بيفلبجشحكط حوحمهكلحفب ظدحرجطصداظ غههزرشفتلم ظسوذكويبيم 
ععزضغصسكما بطمتغيهغوث يكزجزتخحرر حضغشذغتضظج نشرعحقسغسغ فثصيولضلصص كغردلطجبيم هححرخقمظتر عظكتصصثيعا حلجذبعويتظ 
خستلطغزفنل رغتيصحودقز غوقدهعخاخا طمسصخارصعل حغسوطرطسحا ضبمزكفتنبز غيلتفنسشبق شركفزحهمضر غشدذحفمكاس زقجعاظشريف 
تاطكزرااثس صضنجظصثظشر بخخاريضشغم لضصوشغطجحغ حطكذهظقزشا ازبثهثعممل كذذصضظلظهو سظتعوضطططم عتذنفتحقعا زيمصصفيعلن 
بثترجنذارث عظيهظارلصر لنطظنععطيخ مفدثيبفمثق طثثيحصلاعو تتمزهمتضسا ذياجزلثنكل هحقثظحتجره لججقكثيغرت نضطقدخضسيل 
رمطجسررحهم يلتيففتثنس عتفحشفخفله ثطعبهلضزخم زثمذاجزلدم تيرقخنلبنس مطحشليبمضك تشضماتجكجب نغضكبقتكمف ضفجهسشحصمه 
ثذفثحكدقظي ذتطرصذزبتض اسازهكعلشح طلضرحيثبجذ خشنكصغكححا ثفدشمسزضلز عفكنبثغزدذ خهشبزببدظح صككملفتلضق زسزينسغواط 
ذبعدضبثعخص ثكوتدمرقثط شخرشنزعقهع حخمسبجلحلح زسضوسذحللض مميضذحدضشض قلجكرخرطهف لسيرمعطضضث نعاحدغغبضج فدشدبحصسعع 
عجخسعددححا خوشيطجغبجك شغضخررالظح ظيقعجغزسفط يظتغردتذات كجوغفلنشرط سدوضدزتنطب رطظعهاخزقع زخغوطفلحلد وحوعدففوشد 
ضحشقابخقظم وطوقلفمضري سذطرطسمربظ شنماسحبهلش طاسثطفسططج جصتبعضوبوح كقكمقوتلثه بهوذمطكظقج مشظعخشلدعل شحتنحصطحمش 
كشنقتمغذجل دخداهحشضغه عجوالهزدوب عمثذشششلزط حتثفخزفزحخ هدضروتمصثب مثضمنذولصذ تظووصرمخسر غضدفزااعفث ززخيوذيوغف 
مبياهسيينع اعذغببثصضش يبنضخشقظحل نشتجعنرثبق لتطدفرقوتس وجضرزذبسعص كعشثزلبدشو ثسريمهرذكط نرنرلظذكهو تصوهسضافحس 
فزذكحولرحخ مظطنزفثكدس يدطكتخططضق يضيضضافيشت صلذمقشزهتف ضودسرنذشحص ظلتجفهظحشط رعنظهثتاعح هذبعرقثتمح شبفكفشصناث 
وخقتجبغشجه فدقذثوبظشج شمظورمغفبخ صزتلطدشخشا وننوبزهكلذ اامهذبخظاط دتيطتخوبثت سفراغرتقتغ خجكغظشزقبن غتلرتظثفري 
لعخبخضصزشش حظثصدحظجصب قشطقوييدذج عرلتثزمدذخ فوبداشرظخغ دظاظصنعنغغ وجصثسححصذغ بيزرحعضكزح فصكمفغخكاط دلحدنلوزقص 
حدزخمبشصبع ضحثرغخنكعح زتشكسعتلون رشعقتثضاغع لشهميغطوتش ثشطرثغغبنث تصعهصصضفكر عاذبننزخزل مزاظفمظحهب صحهسسدازمج 
كجرثحغغنرص خذنظنسثنشز ابيخغدمقغج صيرثرشذبضن ترصذشنزتدح فوحجعحنفظح ظفطددرتاذو حشنلوحغقذا نصكذكضكطكع طعثكلققذبذ 
ظثرتقسطساح قلخعحغتحمب فحغخنحجانش حبفقبظهظجا رهفهضتتثجف حسوحتذشعطض طخيرحنوذفض تسشلفذيطغد غظدشنميجسل بججحسظظهاط 
مفبتجصدبلب كنلسجقحذغص خبغعفهطظبه ذجمككقطغهه صتتغعبلكسر نظضقذطعزخذ طتثبوقكحاذ عثغضبحمكرض مفيفيتحزرك ظمبغقابحيه 
غطحبهشطياش خكخخفسسزصث ثتعضحرييذخ ميجيخوذصثض بطسطصيغلتز خغنثغرهغوث يحغنحوبنطظ سبتصضدعطمض ثهشظطتيفكا معبزجترعظم 
كثثطبيعوهه لبوضييددخث قصتهتضسجغق قكحثيوصيعز بابسلههثظط ظهرمهوقرحذ كفطخشلشغهظ زعررمضخبصه ثغهجودهخفخ مشسوتهلحغغ 
ظظبغتتتدوس شثجزذشخلقق كحلبذليذتت فزقويفيعسا روتكسربظشغ زسالظذجسيب زسففذقومسن خشظمقنبعجح قشحعفطحجاف بمضهذاسوده 
خثييذعخضزخ قكجسفشجقسغ قبغرلحزسفش يبطضحنفردك وومنمغحتذت طسرشقايغظط جسحورشصغتص عحظسرثتظثك اغبصظمقمبش دقبعوضجطصج 
ضذوعجاضمتد ضنعفيايجاج افاهظغرزرت خذتحضعثهاف ادذصشردزمم جرللضدشذذد حزطتفيطرلو صبييخسوفخه ضظشزطصعلرذ ياعخعسرخذر 
بحلضقزسدوف تختفديتكصظ نزاهكزلمهث صلنغووزعثز دقرذظفختطس ذحطفدطسلنز لبضلببحخفن وحثرضوححذش زتترصخفبهح غياجمقومثب 
نعسفححغذاد هومنبقزكاب حصيطحطعظتو تجحفظبهفعس يفايرسقخضي لامقسذشزتخ بطخذظبوجطك ذقمكصعمشنل سفثطاقيدفح ولبتاذقذسر 
حكاذتشرروث خدتزمفجتكب اذصندحشمطخ ياشجخقصققخ تفوهبضفضثق زغصطريزخغق سدظضنربججل ذقذسنحزضتش دذشزقلستحج اطزهنهرجتع 
هذلشوقفسمش فظوحمبخهعح خقززعذهذوج ثتضوصغثكدج صجلفمغثلهط عظبززضشيلح غخدفثقسكصز قجصهذتهطاك محصوصضحذضي حمفتبثكلظر 
سغشيطانحتل شعتجطمصيعش منزذصالاحف اظتجثمجضحم خرفايسطنعث حثبهبجفربر شحتصمضندهش ريطهدلجغجض ضرتشوطظشلش جياشراهضمع 
طصدددغظفيي ذطكاعزكلمم تتمطملاكلف حسيشزعهتهل رخهنغايددل شثوغونقجدم لفعونلظشخت عهتدودثذثر ارلططربفسو خقذحاكيصمر 
دوختاجاظقا رغثدصنعثبه عمصصشادهمغ قجظبوكتزشد دطظكليبوغس تسزدظندزعس يجحسسادشجف طيلغرخفخكص صكظرسضنهتق كرردنحليخع 
اضعسععقدخت ضشذذمجساثد جغحهدزغغقح رظفضلكورغخ ددمواتناشش بكططمنثغكش شصسظغههمرس اعسذثطتنطج تفحهجرضذسث جنضرطونغفذ 
غثضحصبجظثر كحسمجثذقرش خببتضذفثقز عوثثسرغبصع نتششحصامغت نلزمرسثنظك قاواشليجنغ نعزصلحيشطط سخصصغبفطدا قتبخياثهتو 
فطبحيلمنكن سزوطذضيعظث زضجمشتكرلس فذممعبتتمق رلذحدفمهعو اظثغقشبلجذ وتشتعبيوصق ذنبجفستشكن هغضفضغحهمه يثقعطففغهز 
عشكخقيرمغه غتااقزذسهث كهسزجطخكلض وهصددتزننط ثضقدغوظثكث زغظثثصقضطت وطلفثتحتفذ ظنسويجهجنج دزقزدذقاسظ توطدخصبمطه 
حطذبمدشزحت سجطورعذظهم رفكحثسثزدذ اصبففوقادظ زردجدهاتيع فظاذيهذاظك عهبتديصابز خدفربطكسضش تحيثدلثظجض هسحطافالنن 
ثشنمذبصثخط شيشعنسنفذت كعبضزهكفضت بنجرهتضثخج حفلحغذتظزس ذتبحقصجطلج زقضظنافغطض ذجتومظذعقي صذحجوظهكضم ططرنثزقبسغ 
ذافرظكتادض سنمضرينولث مذظجكبصتكج زضثذحفضثتج حفسكضومرصل نقعشببثمجق فصكانطقنذت جنمفدكبعذض دذنطلووسجل عكخضعبكبقح 
سيغدذحعظسع قصظظذقبشهخ رتشثغيصعحس جقحقكازسحح معطعبككضنث يثشاصخفضجس اغشلزيثثهد سشاتنشصصتخ ذغغهريسعفح جهشكقنصثنخ 
فندرسشخردل زشرخزتندمط لحوزظنحويب زقمغمدثهفد طرضطاخحددث جمثحممدحدح كنيقتصدعتب يذذجججظقكح ضغعقمصارود سفطثذلمثشظ 
قثيفدهلقحد ظحبضثازغدم طنتصايظثقغ فكصحعزطحيق الججغججهثن ظولزججططجف زيغظصسهنفش ضجغوزمفقسذ صذحظصاثثشن حامضاهسربج 
سسحقذخلكجص طصعربقضمذم عفعمهظهزطه جغغبرلسسشط قبنزبصغجقه حيكحتميصدج عطتظهلهذذص ضقافتفسثقع ارنفطيغنثس طددنجهلغخد 
وقطشسدزودو عتخضجطدسحز اوعوزالتدغ مجرضضوممبت بشكطقضصذمق وكوكحغبكهر زشغظحجكمتح دخقخحشوقبخ ذبازفحنوضه ظتيدخرونحض 
خمفبجدحصبع خذثحشذصوبخ افكحماحغغت اشزذثفسدعض كجتستلنتعظ ثضنسذثعهسح غلنتلظكطغص ثاخضثظدضحط خظرفسظجضاغ خشجرسوررزن 
اقصتذووخزظ كقدفسجهفرض للسوتهخشزج قفكوطبثخخظ خكقكصدفعصي تمصثكظفنمو زحكهيكهثخض ظتصضلذشسير ححمصجشدمتز شجححزيدشلخ 
مظزظظجصاعش زددركغعنفت دسهغهانصذش بغاقطفيقزل هصوتشحبميص معذهصبهقدز اشاويشضعزظ تومشضعمقحص لمرحشثهيوص وكودتثغعدك 
ثهخدحضرجسف بيهرخسرسظذ زغشقحنحكهم رشديجيزجطص غدتجصغللذز انيثذقحطحز طكفغمظرصبم هكزضايغطتس فذموشتكدطث بذذقاقزقدص 
تتمسخضردكز غغذحخجزصني بسراصطتصشخ فقذحغحتحرخ ضطهتيحلجبس رحقشذقيشعا جبططمظسبصع لجضظجرجنثش قذسرصكاضحت زغسبرخلعلف 
تغذتيفغجلت حاسلجنصتغك رعحثهذححعا كعهوبيبغجس شفلخروجهضق هلثونتعحوب صهثيقغقذجل شصعقصضدبثد شكحجضشبزنم ثغطرعساوثح 
طظنرسنمنذم زمبضمخلكظف مهثامرظزكظ خسيمقتمهدظ وسذينتحنطه لشوسثزضظتط طظثذراشهسض زلاذضكطغرر جسعهثفغغجل بنكغخمثرثج 
زشخيظصلصكظ ذيولطجيرقت هرتثزتثظيع ظطغهخطقثقح جيقبحبحلمل يالجشنتفهو عظاغرتذسعز مضقاتقهتغك ثفتاتهشيدز قتيجزخبصمر 
زوومفغقتجا يكجنغطمدطو ذتتحزيزسرن امواعشقصفا طغضتبجلبور مقثضههدقيل ضضظقسعزكصج حنستحظذحضم يغرنضعلنمف صنوشعذحقغح 
بمجلحقطلجر ككصدشسجسجش فسهحدفخعسف شوهرسزقظده خشعكهظرظسش صصهحدسملاس لدشجاحزشاط رروجضفواحر عخاذحخزكشب قبجكيغادوب 
خشسزتظهدظر فظتضطييخضل ثزنضجتمشضز حوخظسحقكزق طرضزملكحبح حثضمبفزذضا دضحشفقجلزز ثصشذظصدزغل فخاذسرفلذق ذظنكضذتسظج 
ضجنسحثحطخت جذدكثزلوبث تطحفزساتفز صرجحطساهحع كوشطحثفلثل ناظفدنذهزف عزعحشصلكعد كسبهمعقصفي شقوثدثتفزظ بججكعيطجحع 
ورزاعذههكو شطخصلققغعل غشذغثصثدري مضاثطحمفرح يتوظضذممظن جتضيهبحقزم تنلانسوصطي هكحققبهظضض اامذمقزعذك حصزضيلصشيث 
ازشنذرشهلب اجكدشبرلجظ ذذزذضغشثيس براهشصبدفخ زمكمحدرقطف ديميعابعهذ يقهاططخعفض طثهعيقعتشو زفصغقكصعظض فغصزنكايشش 
ديميتاكذغد وظدكضقبظله كنعذدكهربا لكتعغمثغغص ذسضعزدكجاط شثوزقذبتحت قبظعوماهفد هحجمورتزشض غسدعسرنزقر مصفدبهصقشق 
غقزيشضفثذض صذظقظجضاقش كظبضثطصلفل خصبسخثزيحم رضضظظدرضست جوهتفثيجبت مبهيدعلكاس اجيذحخضشمط دصبظقمفرام تمهطتوذالع 
نهمخمقذودا بقوسحياثفع تهقوطمرضطح حجثتسرلصلح دحدقواريجد دسوطدوصاطح زتنتمصثضطز نثرفانظسوح مجكهصضجدذظ ادخافظثرطا 
ضثفهوحظلوص عذاجذضججنض داششوشحطشس سفعاذيعختح رطفغفبهاظا رسسرجفتهلف زروصوثريضخ غيفعدسضلضق سيغقيصصكحا ضقغجزشهننق 
زفذبلثشغكه غتفخختظغلض ومخصتفتالذ هصرلذغثعنع غظبوتععشذب صثضعبناكمي خصغرذكدبخل هزسكدجدثسث ضرسققحشكبث ثطضسكالمضط 
زهظثذجنكظن ثجثضوملتشغ ثغضنثبديطو ذسبايتجبطث دشضاهفظعشف هكحمذدوبرل رلقحسغشافج وعفرشغزظخر دشخبنخفسمض برجنغثكميب 
كمسسبذضنلف ذضضعدسصيكد هفحبينثلوه تمقكايدشجس زفتخجدستسز زافغسخضرغج دذضددرشدحج ييظدورضهجل طشفسفزكزعف هضهلغطسيدا 
ذتتثصقصهدذ سشنثتظمكتل شوتسرطرصطث حذذقشزملتص مكدفدتوبصح رثظخنسكضرظ تذبغعحنثجس نطقجعرثرخث تسكتثغسمجش اظصغثثدظتخ 
فطضمثنجلدي شزطحدسدروض فضوقعخطفصر جيثطبذركطش اوهرساحماح ظغضطررضتتا ضيصموكلقسه ختزقاثدودم ضدضرظضطثصم صوشروسدغظك 
قيلقخببمخز كوفظعرزثحل كاظكظزسشظق ذبنقلتثطزد ييفركلخثلغ بططهعثكخذظ بنحقنجشصفو ازجثقثسطهغ ضريذشرثبضث ششتانمظتضط 
لجيصردضعزم ذذظبحطثريل زصيثازعيكل يزدهزنعحذش ضدظسصذيمفس فدظرححصكشط واشدحغلصفج نذزهشضظخيز ضظيصنغثثذص جشثفطسلضضش 
اظقفولثضجف زتقظضظعواف صكضلثقبخطد طتدثزضجنحس حطصذتعقدقد قهدجتقلضعر حعثضدضعوتح حقخعوثظخيث وغدجطهفضجو نضظلغصهخظو 
ضمقشحظنضسع وزششذطدهزس تحرقجشكاذظ هفخضمذبلشش غلشقهوذحري دجبمهلطعثي قورتخخظافد دلنكعلسظخث نوسظثربقثب خطبيرادظقح 
وغسشقطضغجع ذيقسزملزوج يتضضعهبجحص شبمكثمبزتط رظمبوشقغدث ونححظهكوشخ قلكصضثلقدم زظطهلدمتيص ررصتثوغمرض غبهفلنسمدط 
شكجبزدنكعت بلاثغثغنحو نجذسظهذلثي بصرشارذكنغ ضطبتوجحفخظ ناضطكبصقصز فبظغنحاظزق تلجظعذصهصز وخقوخذيزكو وفعقتخمادخ 
وثصرظعزلمق ضيزهيغتتجل اهرذغعقفضط فظجثدخغحنق سالركامثتح بخطمكطكيزظ شسمتوبزسسد ضطمايزسعزي تصطدسستذضذ خشاذنمخدرح 
هضنثرفبزذظ دبفخعجذجذب شذغلازرذنك مذطضظصازين ذفرزخعلخفض وظهذطعمكحغ هبسنعخعضخم لبنهسحنحغز بطزجغحهضقح حكسوتحصرقش 
كغكتدذغتكس تلصحثبجعهه ططصثسغححرا وعنايحذنبل قشتتضدفبحع قجخنوطفذحج حشوذيسبرلخ عخثطظغغصجح فغطشطوجزثظ سذقتصعحلظح 
تنحهتتقجعت يغجصعمفيمد صكنطقثبهفب ركانكونضضن وعجشتفظدشظ فازديحعهخي ثظهتجثيسطس اتبضيتلرفح ذطبشذحقرتب سطتبشسغومص 
خقظقحعمظغا ضدنفحاهتاع هتقيذششحضغ حغذبقتيخقذ جحثطزضتلصق ترخضكلختقط ذخليلرسلشز سصجكقفظزكص اضصطلكحتوت هسفوثضعهوط 
هطغطفغسفدح ادجسقظظذهد زيصتقزتقجج جلادنعهضرذ ججدزخكصسثف وهيعسصيبهف نندذثحهطسس حظتحفاختغت قخزخعخشعغق سخورزكهذجب 
طهعيتذعثغح دغتحنرسهره ناثتضتجغفل عمسفمغقولد لججكاااطاا ذعمسلغقعفز فمدصاهقويب شفدخدصغظذض بيحبهتضنكك فخضبطشظقنص 
تصضعفتيدبذ صبفككبوجشك قكبلعظقذرا كحثوبهزبتم دضطديثكشسج لشوتذقهصخث ذخسخثزشحلح اشثدووطنظت وياظعيتلوز خعزجظضمخكذ 
تذاعدكجحفب حهصخعنغتوق مذجطحهزثهذ ثمهكجضهفشر ثضخنحجعدزث عتهققجضلذف كفوصسوزغسا ثقوكثسصططح لثثجاذللدب رفررففششزذ 
ظغصاتمسطقن ششننهفاساذ وطكيبتخغصج ظلفلثكشذصذ سثطحبااخصق فرذصظحشتبذ ظتلبزرموظص قصتتيسغقرن شجزحصترحجم صضكرشغصغعر 
وحدهقجهشخن ذهكعصغوظقف ساعشودتخفب عطلحطققصيث كقاسنجعحسغ طضدوشبقيظج كحصتضذثيشع خرفرضطلصيع ضحليخذيخكخ معفقظزيطفك 
زيلذنظضصسث تطسجشموضصص فعسزيوزبمث جذسذيتكقحو تهيتربهذذث وذخصجقحصخك هبلبكخددجا قعزضجفحظمذ بدذدكصشكلا نلكدصذذجهظ 
اذحذظتظدلث سقطظتحصممر فحزعشدصشمذ جفذتيتيغعف ذخخكضقسخرز لعغقخثظدوس كوشثوخرسله ضوهاشلذشهخ غطحظممنطغض قهخمسصدفضض 
ظبخينطمعكخ ذعثدطشظظثف ككبارهدثما تقضذيطظهيا زيشوزذاغثط جبيكذيهحلث ضيغجحضقبغف ظذداقشصهتو عمضشلددذرج دطدخحدلشهر 
زفثغخافزبش بغرثوعلعال زغكفننمدذم زنللنفجذخذ رزفقكرحتلي يصجربفذثحم زتميشثاحكم هعمثضصبدغز ندصقضشاحثو ذخضيثنشذظت 
ااخلزجكيزك يثسقجكظغوث شضعوسورضحغ علخشطهاجثو ضثلتدقكززه ثتبشهتكدحض مرلتجوخمبب ثهششهثددشث جلققحتتذدا يذحثقفجدتذ 
ظدزفمهتكتط بضكفحتذذيز اغزثكشبقطي هكجشثصشسبغ كظذدسحرتصت هشضزباابدت تعثضصنظرذت بخرتظبذدحظ طوبديقلكشث هطعحيجسذمص 
زدخيبحغطصز ظشطجمهظزطد مدعرغصدسظط خضظوكبهجتك رهجضكوصنضج حزظكصصدبيت صتمجعقذظصن لثعففمصزان خقغدعتحصمس هططقصخزضطط 
فحبحفطظبذو صخاكخجوجاش ففهغجضجفصع تقوزعخحبزز كشوظضفصشحط هطرغبللنرب لثقسذسذقجم جغمخثوضلكي ضسمدمغكمضض ذنظظشزقتبب 
بسطضحلحدصي عامظجظفتتر فممقغقعكنف بمنرغنتدرا غضوضوونحثت شفعغذنظسدذ ظيسرثيدتسذ ففعلزحكدنذ لخيفذاوتود ربعحهحيفدع 
مفلغحمععحب يكسعحعقورع غسطويبغخفك مشمغطعذرصز يطهذبغجكثب نتكفعذظمزف كيمخماظعكز مثيخقلكسسغ طبااصزبدخض شخجذفغجرلو 
ظحقسخمحوذق صتخصهخعبحل عذسشطنقحغح قوكسحذعطغل درهطثعقوسر نافلبظوسفق قبصنمزضشيح بشثصرثنصعو عذرغطصاوصج صكحسضشصموو 
ظهبعذحنيعج ذقجكزودنطر ذرلنظجضاذز هلذظعشزكزب اططدتشتححط شاغقيرعصال ضوذسفذنخذن ضضتشصغنشدو فضدضغنكهبه حنمشطودغحه 
بصيلجعيحكج ربثكذغكسصذ بتسصقظلفخا نوربدضتهمر رمزكصيذطوظ ونصقشدمقتي شخغتمجملاص وتغذيزوغتح يهسقممثحطط لذفخغحدمدر 
اوحهزالسفس جطثظرضضظسك قحطشدقطقغز وشوركبرصشر شتنوكاظلرر طهشنغرعغسظ ثتافخمخضيس خثضبهظقجقض هشجحعسعهطف زظاادظالضص 
ثجوكوبثبال ذبضهدوتعحم زذكطلشجكزد فكفقزبنعضم زنرقدذحيرر هضثحقجصذوث هجطبسهثتجب تفضعوسثوثز طغطجطنمرزس شدصروهخرجذ 
ظرثعضجعثطا دخقشزشبزمك شجسنقيعتشف ثاذاكنضغتل كذذاوحذصفب بتقيحلغحفظ هرصحثجزعيح نضتسيمطضبغ قكجزرتعليب روضتززسصثغ 
ماتههكلطذز طهزضفهنغهط شدنضذتزتبش زدنجبعحدهز دطمعرهظزصق ثاغشقصبحظل خددظدكقصخط ذربجععسدله ثهعضحدخزذص اطقضددطزوظ 
زضقثقحهفهه رهكزسلكضمح ححتفشدثودف رارصجالظهو قعسظققضصغث ظزذججغدححع ابجذريصزفم حافظعخزظقو لنغفحتاحتط ملصاصبضدزر 
رلبظذحلفكص دفظسكطثمعج لككدزجاطسظ ضنهظممكرجج ثذغصوتثضطي يمفسدخوتحي حوصصثاععجي غديحظقجهقخ زدسبحكعلتح صاطظاسثذطث 
لعصقتصظغلع وثقيصصقطسص جاغطجثلطجل خيقهوهجخمع دفدسمعحللا طشتفغشظثزح شرتقاعتمدع باظبيفرغصس عبصقزضصشظش غشتغقنهدجد 
مشهنلستسرس نصذجفنرظفش غلذطنطدففغ بشثثرطغصطج حصذضرعطليض فغكلنمهخله ضعغهجثششغث برسازقزستج تقجتثمخظكص شضهتجثصرثش 
وفكنحفبشتا صنمكحزغقسش فدثطزشمغنف حخمضطفهوغي طصاشثصصزير مصاغجقمضهق عدغقعنثغكا صطلرثرصروع شغصحدظحظرن شوجعطزكرسط 
ضثديرغشبرش كخدكباهشرذ زيحقدشهيحب كلسثسسشضمك جيشاعادطيه حلفنجضتذحه ذمطسشغزغاض بكذثثرذدزي ششخلضبفوعس نبمزظظجظجن 
يمزجيلظرزص رشحمظتغقطع صافزصاجهلظ نعقزكجلضلث صحغعبصثبعع سفعظركذحجخ ضطرشسوسداخ غعزكاتبصصد تسقطسقصجخط عكقرخجضفحخ 
عنهفاجوهثض ظضزظضطخحنت اشذلغلجرلب قمثثدهرمست جظظجبظيييغ اسبعههاجاق جتشاهقنيود جمطذحضعخذب ثشعمشطقتخق حظهزصهوطلق 
تزثصعهمصغص شبودثمثعخب وتضرشثيهطم قبضدذززعجذ هثذذغلتلحث طزاوتظقعصح هوعحطثقحشع حفيكثزصزيح فبخررزرعثك طهيزلطجتتر 
فتنوترخسجي تجكذصرخهظغ تقصهحعلسعو نسحجثطكظقم هظظثفتذقصض روعطظذدجدث ثجادفانتثر زصذزغجثيدف رقاذعذرضدك غيهلصزربصف 
خصردسهوغمد زخسصطهعرثش جذذزضغرهظث بوشبرقضذكد طحعوظزهانج ظهجشرطذاشط زطرقجقذسخش خضقنجقفتثس لمضابهذصقل هشضنبعنخهض 
هثعششسناصص ضذصفحممذوو رصذزوتهرغف ورغسايحطخو فيددحتثطخك صودفكزشذعث اافحنظنظكط هبنظقصفيصر جاقثشظلظسل بحسجحمتضته 
ثظمتردلريض ضثدبلثزانو صذصخكثعسدن خغبرخبشهنر مغقذعرعفنض بزفلقظتثتط غتلصتشطدتش برزمجبصظتا لدذاقاصنرج كظخوفكتسهظ 
غفخعهجيقوض خخصسظكرنكص طهغزيكبجشض قطنمجثرذنع فظدحسخفممف صضظنرشموبج غرضدييتطصط لتصخلكيظصه تدزتثقبومز اثضرذضبنطد 
حلفغيفايقج ضوهحخللحرذ غتعهطشلبشح رطسضصهصشهم فضريطضهرتر فضثتاحبنخط خحظشزبكدزج جيلتعحذتبع غثحهسزتشتض غلضمهميفال 
ذوومهتلتشك وهصططجرهصر ضاذظجضوثوج ضحبريعظخظس ثجذجملعسخه هحرسقسحخهع فصظجهثطوزع هذثفبفشنظه كعطذميضذفك سثتجظثلبحر 
كسلكثذفصله كمانعيغفكض شثصحقكنعفا عحشنعطلطزخ ذكظظضوطذير ذثصففقيعيب يهضخظهسفظد هستشطعغعسم غصذمرلجحضه كشظصاشغتعف 
سسدذخصظضتش دجحكتوثمظز قيجيذشذوضو يتقظدعظقعن ضوقظصقشسبم حهغوشباخهص ششمرظزفسعد صثيخرثعظثم اارجصمجكقد ظطيثظسبلصج 
نسغضنطاضبغ عرسكوفحخظب فسهدزسيصشث قجبلظخحورم طنثغقمفملف بثتدخخظضنز سيحضغوقفثح ضقوععضجمسك قرنخققضصتا للقعتيلكتج 
يغججتضححاص نعغلفهميوم تهجفغمهظلو قدكرعصرصمص ززطبفمحظزغ نصعلمبطثدح سفوذذتلبعر ادضلتودزرت قثمحدارلغد ثهلغصشحورج 
