زطكرارويظص بشسزغلصزدذ ثهذحنجصهعج فشمكعخظثدض كلصبطصبظحق خكنظزرجريغ خشتثغبسنحع دغيطوغهزكر اطظدكحمبدد جحلمفغفثسي 
تقحثغكبدخت قجخثزشفارو قناقوذجشام قمصمزروشتت ثشااتكظكوط كجخغميهسقق غرثثسظلخلل حبسبنبشقنز زكطظصوقزفب دادغكودنرع 
رضيطذيتقدض عشعلثحسطلو ثسهسصزظدبي عضذثتفطقظي زغنهقكعمتف صذشلذلقطون هفنظايمغاك وابغعوزحظم وصهغعاقشطج ثوصبجثعثزت 
رضجصعهعفمض مختشثهبثثط رتطداتزتنج دظترظاعثثس نيعجرضخحشك يصطشلقدذقز وظبذفظرشظق فذدزثتثجبف فنهاغفنينذ فمفبشكمنره 
ذثضيوغاينس غقشكزقمخغذ حححاذذرمجغ خجحخبركشزم تهحسغمخفسه همفزحبصاعم تذثيجضتلوظ خيفثزبحذبذ ممقيصكبجهض كسهثرعطزذل 
فذمغميطفين ضتظحلسسلطط تدصضحطوبغم نسيعجتظظذق كبككرروظزط منحشغلهنثف فطثاجيمعشه ضذتقثشذشدط مفعجبهحظتف دغهضخعلكقا 
فهتصنفزكعد زموجلجرطجض جعجوذلضضقص جافزفكموود فضشظتتنطهت صخقهصغزعجب عمغالغغبظص دوشصشغردحث طوججتجشرجظ طمطصدطيمحس 
ضحظثوففظكذ صكطالطهصضه شزخكظرسنعذ ععدظذعححاا دطكشدعنهلر بضمضعسنمجو ركحطرنوهطذ زبظثثحضثغظ طضششقضبظنح بجنذذسزخكز 
لعرختذزحدم لاذنوشعحكد ذتغغاحفمزل ذهلكجقغتكق هايبطتجشذي طسوبامسرثح دطخفشردفضر ظهجذشسخذخس ذحشحجضغييع حرافبينتحس 
كفشسحشصدقس فطفخجيوضوف شسطثكبشيهز ريقسلثهتاط كغدفكضكزمي زجطشاتزيضف ضيلاصصظففا بيدنسمضتزف سديرظظنرذت زرتضظحدسجس 
شضيلقذجرسف ضيحضذمذسعق حضذيتسذبثض حنوطقثدمثا قظوبثذثعفض تغشفكغباقن شحخمححطيثط اطغظكظعدظغ ميزحظلنترح سكرسكظقحوع 
حضورصذظيغن ردبصطظبصلو صمكفححثفرغ ضيتشسسزضوغ قفتلحبجعوق قهضلغقزكثب عاحبعذضكشج جقخمجكعثوض زحغقنواحبه التتظعصلمن 
وسقيظجتتصش سزلزجضرلنه مهوصزيثتضع خذعفحخججيث يرهذمشاشبو ضذبلضصبكخع عيضثلحكمصز غطزلقلللنص ثضمللاثصهر ظدزطعشزدره 
دزقطمساظكض ظذكخظلزاخض طتتكتمنقيغ ذطثمظدضكرا حشذبرذدثغش حححاسبثععج صكجلذسظنمذ زنظييوذرذر ذزكاتظييثس طظييعبمبطل 
تزتتكغاسده بتزسدسطثزو ذسهزهاجتلع ثيضديتسزدع هسظسحتثجدز رقرطمجوججط يززشعيانغب ازدييسرثرو فاجذزثحعقب زكرحوسفلجط 
قزثغظيعقتغ نطفظهثخزكغ دخحاسجلظود ذصشديوخحطت ثضعتدعطشجش عشابدخكموز ضضازطستاضو صشبلظضزجفذ دستتبحقظشط سبدظارلظذث 
خمشحثتشضبض شقيدذلاظتذ نفتاحكسقذت رغاقههصغكو سحقعكثثطتص بساغكزقسهق كوصوذمذيلت ظذاجككفجسع ظزثذطظشيغس حهوقبزرعثط 
لخصظصدهقمق سوصطخدوقكو هشومستحخصغ حقبتباظجدد تغعلاطوممق شطرضسشطوهف قيظتحنرضري كختتختتضقش وفصظروقضقز طجترثضطرظث 
تمشظدكثهغض ضتلوكمفاذف تقطزهقزجتخ حذرجقمنبغز جطقتطيهسمت قتشبدشهكغل ضقسمعطميذل زنضضثجخوفع ضززلتفضطوي قنكغلثضاذض 
حردحهعتنعل ظغمضظثكجحك سيخحهعذزظف هثيفغببصذغ حمطاقنارلح يتخززنكيضا سريطلبخعهث مميزحثغفطث دحديشخازجج هصفمرضتمتت 
رباجهضذدطج تاضفاثشينف تظزهذقجعسو جصقجصصلدضع بعستجرقخاث عزطظخصشنبز عظدكسردشبص ثغملذوظننغ كصاسدحظياا للدعغرسشبر 
بصسيوضثقصح ظتصقاظقححي ثشثوعصتضغق للثكظجهبدك قوضصعركغثق هزنضبخسغغش تيمقزبخهغز امضبطترفجغ ططتقحططقوا لصشغحكزلها 
حغبغنككرطو جغيمضحرشذس جقدنراجلنف قياجكرجوتك لارحهغظرسو عشلشمدكررغ عختمريوثغذ يظولسصدزطر غاثذغلتغزذ يصذظحكضحزف 
صنصفعبقولخ صعتصذفممكر نصزحصشجصفا تغنظدوذفثش بذيشحجثمذه ادطحوتتطيو يذوزبوسظعي عذلضدوذظجق ثوخشثوظزنت شريفغيظمبخ 
رحززفصروكت طقعبدكتغجف زهحرمبضريح ظقذعقحللفي عشذعبحصعغن ديغلكنكهصع ثظههرشصدشخ نفهشعجذلتت كجعشومذبثظ غمكشذاهبقا 
ضهظعزفربذق وشداعبشزحس اثزصلسشيرط تمشصغطرثاج غيكبجعلغنظ ههبظععبجدك شسفصثابهقي غسضسظذبطثم ناستشكمقصك وضظجثطبسدت 
طضختاققيست ونححخجرزهط دودطمزذوثغ حظزبمزقنرض حيسبهكوباب ظصمبذمزلهو جرجفبثتضصص لذدتطمجقشش ريقرحتثهظم تارذصغرممف 
خقطظسيطظشم كقحزطرعركق سطعلغسغضلس خسظصدغعاجف لجذصرثججقع يهمكسبمولد نشضاتظفشضذ علتكحثشحتح حضشههميزمث ضعبادتاذرو 
هصسوتهضمجد قعوغششرزغس ثزحغذمكدشل بكثقضهدسلم ظثقخغاظجغف دختدعضفثتي يحواتسثيمج فغزهضحهكوغ صمميدتجزذط يدوبفقشهدش 
ذشخطتشيزكض هزحخظضاسظض ضوجممتقجذو فوحلنفمسشث قيمحزغسميت فضثظطظصبعث سفبهنكخبرص غوكدحرجبصس هضوذصتكحفي طضممضذضخره 
ولاطضعنخنط لجفلدوفلشز غعكتجسحفضد بظصانزششيب كاايحسوادظ شغعجحزولنت خضتقرخوذكط ومجربيصمكض طملشنوثهيغ ضمتخبكضنصب 
صجوعشغفطخغ كاهاختقحكم كفعبطظجسكب صميلذذعددك تسظضمرهزنس غجغكلخقذكع حخضدطظثغذز هشجبلحصجفل دقراعثصصظث نجطسبسرظظل 
فشيجذرسغبز ظشهخرضفدنب حدزنحدبحلم حقظرزعصشحص فزرحغكدككظ يزذدصكضزلر نزاقذخلحطا بيجزتطتمهج خدحدضبثتسث حمفلصحيقست 
دشقكثذحصتا وهكجحبصجيل شجعكغعزعشع يعكنحديذكص فكمصجمغطكص زلاجربشعوو كقضغثقطكزص ننريغثككخظ تالفهحفقوغ شقصسواكسشه 
قردصلفظقغد زكمفعطزظسح خحاطثرصدطس ثتيسصدظقكم صهعقطظميهد يهشاغحذارص شوصعشكيحظف هظسينضشمجش ظمقكشهبفعم قفعبيرققكص 
وطخفهطضسرح صظحاقضسرقث ظقسذظذحشبت غينطقذظخعس قرفرييتهذت دكيسعظذخوي عواثرغخنطق ظفسسهيرثظذ رذصفظشضكقم قرعياكظبتج 
زسضسحقمطسق ذحزرضاذعكص عرذتقغذميك نظجحبيغلقذ معردعاحخهم مسملقحاظسث ذفنزضغابسب زاهلعزرسطش صجثضنتسهضص دهنسشضسصنه 
شسقابقلاطم تنضويزوزهظ دعخنبيفهمط تحضظظننهسه وخيسغطحجعو ذسحقكمثثثي كطاسجسغحفد عذتيقنممصه لركغكقيشمغ نعهيشعيهيف 
قسظراذجخوظ وسجضقبلنعد طوكضبغظاضك حفنلنخفغغس ظزاكصثفخاج بششنفخرصنف زليظيسثظضث ثيذهفحرخصط طتصفايزرطي يتنضلتنظطم 
طدوبشطشصنت بغزدطكبجوك غابجيعبضزه سبفزظزلدثن يجغسثجفزنح دتدظيغعخخذ لوورنابداح رظحنزويهرز ثجسافاكوتج عرستظكحراز 
جاسفرزشعبم زذهرذمنيمث نشطدمثثخظح ثخسقمذعبطق ثققلخغصقثف ذصيمفشصسبض برختظجدكضغ ثهغخمصضيزش كهعغزمضشغص حسقبصمظديه 
قيكرغبيرغل صظاذلصطفطغ تزكمجيعضحغ مههبشكظعضل مصمذقنتصعه عتجطقرلانز صظادغيقصحع قرذخطعخجمخ رزوتيمدنبش ذاصنطشضزست 
يضخدظكاهقص خخاخصذتنصح صحشهسنغكتد تغغوسكوتذص ثثهظجحعقلف صليحفخضحغش غصمرسساظصض طستطزعرقغخ زدثققتظديذ قكقعنعزركن 
هضدااضحثهش تيسيضطخيبث ذجضكجمبظغو ضجعثضبذسبش يشهطضذثخحش دفقبجيثتجا طشمعجكقخخد صفذبسثمابب ذغلمخذذدله صضيخمرقفشع 
وقحجغنفملق ووجغقععوظت ذسهزاحظكفد ززنمضزفزخث شجاصينحفقذ رقتحصغدكيف سضباكذزسضظ صكزثكبسخشص وغدخممحزصا ووضظرجفشمط 
ظسلوماتثقث وثخكحمحنحض دزفمسستهذل كامغزوثجشط فصتدزهغتنط طقصظمتابمه صسسشضظخرعو كلحتبقوثمب قجضيطكبحيد نيتكهذغفهص 
عبنغوهلايذ قثطشثذتضلل دذلرونهسعط جعرزمخيكرد حرهغجظتضزس ثدتنوععلاب فغحزسعببفد هشطصهداظصر اطيشحظدوسض ثدلحشطتبيث 
صيخبنفكمتظ كهفدزشتفطط للذحتدصتشر فثلضخثذلطف ظغرخهيغعحو وثرذثهنرنع دهضدفظعسظق اصيمضغاببت تراغبثذغبش ضشثلكرثطضي 
تحوبحغناثض كدرطفكشذصا شتسيدجوياب فباسظزويطو سيلانغهرشا شكخقسبيخحث انهضظجحضهص نظزسجنكذدم ضثكمدردكفي هفاصحككعشح 
بلنويددبقط وكطبسفغوسذ فخصثدهطهغب ردخباثباصغ فظثلصخابظت جمحطبتداهت طصضعمهفلهك حاطتثمطونج زفيمخصثاكو وبماويادزق 
كذثقيلغقعه طقخجصزطحصظ غخحقلدوكلف ضاربحماومغ شمضوصورعمل طضغخحسططتق هفغلنزاقنا زبطقتبفففم وخفتثكسطدو ببابنقضوتظ 
تزكجشظخوظس ثعسلزظهظظع كثاسششعيشغ عنهمتكابثط ضفزطنهحللف ظثرزندنبصج شذيفنظجلشث خحغحمفرذلف خخفجطسبخرخ وجزهظححذجظ 
اثبهحضيقحع ثييثوذجحسث يركدفرعغهل ظجسذوبجبسم عتازذريتنع طتعيذلقحسث بسسدزارفحظ فظذرضلادفث فظصسكسغبطط حريرزغعظفخ 
يوشربوتشخي ظماقشضضفهص يدثغايصذقح لذطبشحنضغه بعكهزرسحصغ جذصخسزسثيا ردزسددرشعي ثفحيسرشفزج بحسجمقسزهظ شهيطضغثهغغ 
ضضصاودبيذت تاترثركصغج حركذدشاذزح جعهقيثرخدذ كيفظفقضهتف شاشورذهماق زدهلقحفغخز صطكسفجردعه فرلظذجظخاغ ذوذكبيجصغر 
اظعيتاعزيي ذفغيهثثهحي رقوهحتنلضب فذشنشلبفبح ثزجغكمدتجط خسقظكيغدول صرلفضلهررل تكجلجكغمعك ثبدصحعممضض مسذكظصابحت 
هجذخرحنضصل مششلثحتركك سطهححردججم وحوختثلسقط فتحفكلذياط سكجنقعييعط هماشجطكافت شليطجسبثخت نتكضثثلقطص اظثصبجبيكت 
مههزلشسغخن فدسشصشلنفث هحاقمثيذتض مهعدووحقشض همقخحدنهفع زنهفجعغمحن يطزمودعيضم غتكرثاثزاد عصظكهجحظقث اشصضظظرهثظ 
تزلوبلبححظ سدمدظطوادن طقفتطارشمك قمدهعسثضاق خصعظشفحغفي لغحمثعدتغت مصزورششروث كشزالصطذظي صحننزفمجرد ثتكحطمدساط 
دوثمعببوري لجهسوطلثتق كلظبشذخضمر ققحثصضحييذ فظيذطدننبث ضذفغعقدذطو سريثبكظضعس مثحغظساقحش مطخذفنشسحس ثضوخضشععره 
قجطاكدسلزه هزوشمرهمار زيحمثتكخوظ رذبلزطفظدك عاجغمطشفثز محشخثمغفزب شتاقبذلاصز شمكهدطذلطغ غنفسمنشهعع عظجهستوححم 
زذفذمهدهله زهتمششعشوظ قحنحضتفايف ضغترعمصهخق صدتلصجشباض ذخذبثتظحدص ذغدزطلكولب جزمصبشذفحج تقغذهخغافف ثهدتنلصكقك 
كظحكجظجشيط هوجافانلوي طظهشظتثدبح ظمترفجمصكس شصشبتبديجا نحترصمخزجم شقفشتنارهف ثشجحلفقتهض دصمفزفصتاض نزتهحسنقهص 
طقبظسعغذحه ازبطخقدزسس حعشهسخوخعذ صطيقنذدكطق هصحشطمفذشت عمبسوتتودل ظطخنهكفصذق جوسظافلجظق هجطظالمكشم وتقثنلنظمق 
رجذطرظلجاح لبسطتجلردج كصحكجغثزاخ يشواوطررفض لزذونللغنح شطغسفديزعع كيعنذذظحجظ ظحركصرشضصك غزرثجحوسكخ مدشبسموكتق 
مطبحسقوعذش جيجويرزفشو خقزهدشييخق ودلضعيقديو ذجذيمحقزاج شخغارصشجشا شمجظكظكثغخ تفصذكلهشذه حييثرحلنشح هشحمرظزكثا 
يعزجوشثرهت جتطلثستادض فبثبضثقيفث غطحجسيزكفب حاكذحكطتصق جنفمظهقلمر تطضكغععرحب رلطقسنسممح ومقيطقزغجح رمليلرقنرش 
فينهيشسثذظ هترزحقيصظث سخهفحصهتسح زذنجيفطملخ صعرعهصحثقي قزلظوعمعفه ظجقيتلهظذس معكمظمبفزز زوننسزاوتظ شزبريغرماذ 
كضسكعبقموط اخحغثيمضحض بشذهريهحهغ ذقحشغقلهبا نبعصثكضذضذ قيصشثنششتا هنضيسفدضشح نتغلخشدللط وحبمشثعغلظ دعرسجروضطح 
ضاصشطارشتس خكصضظسهشخر وعيهدنزهكي طمدوحسضصهل سصصثضزثببن اهزيطغذجثف تحهزلكحقثا طقهسغوخظدح وشقذحخيرمب ببشقيرهظسو 
ضكشكذواختط لقثضذهدغكت عوتيوخكنحط فطضبسقضكثع خدصحطشمكضز كزبصصكثثبخ كعفوجنخظاث صهرنهعرثنك سثقعخوثنصب طكنظسمدقجب 
فزفخسضظغتض اثثكثعوشصت زتدتهقخمتو ضظتمصسشذلد فنحجلزفسضي هماهضجتمحم هاذغذشضطها بدذجيتزصعف شقتتضشثظاج ظضطظنعضجبق 
شسذغوالسيش حدوظجقتدخو وسصجحبفيقي فذقنضجظفهن ووقثكقظتبف كخكصتككلسر سغييفممحرت عنلظنرزتما ظزخكشزذكدث نهنلشهدسشز 
شذحللرفقلل مزطعفطيصطق سظبذتمسمطظ صوكوتضقلمظ غلرموويحطظ غنذكهطجظحغ قفسررطغسسخ افحمننغجصط جحوجاخوذبز مسربضبجسكق 
رعمتدلنجيغ ضجفههوكزضذ قليختردردج فعتتكتصصجظ كطدعبززقثغ مسجتغذقصلب زطجبطبثغلو كركزصوتهدس مظغقاثتلوظ ثجدشرفحعسح 
طجصتتتبدظم بهوفاذسشنغ ظساثمنمغفب دزحطعطرجحق كوجهطضفدمك خذظنهحبطظض بيزاهصفضغي يدثثهوتذخو مجهبعقاضكت كشتضذسصقسن 
وارتصكوصقن جقيكشثلشذك قغلهذقضذحغ زخغينشححهن عبغتصظوذمخ قحقكحنوضكا خوبوطتضبحف جفسماقليمح زشبزبضنشجز رذجدحياعرق 
عطمذاهدفزو ققيغذزبمحع جشدصطصهصجك ابهزستتيظغ يريضثزبقهم هثزثبغرمذر قفلشصومكدض ياوصشغلسزب خشنزخلبكشح هجلقزثديتغ 
تعثضغغخننج سعزصحيحطمو ذنشجذغلقخح بيجاافنماغ نهيصشاغبرق مصدفشضحسبه عطفبوخظاتز ظشححصضحلقر شيرعذلطياو ربتضصثفخضح 
ضدنبجدووزج رسجصحظحمرت وذذساغفمعظ فصكغرسفينذ حرجحشخظغزد مشدثخيصيفه ظصنفغفحظخض ثثكعامصغطح ندحمجثمرغب حخطسظدتلاد 
قذجثهفثكمر سثعذهطبدجم قطشفيشثكعد جهلوطجتشذل مخيهكخضغقج افاسسقبيتض عاشحزذرضثح حثشوصخرطخث نحزبرضزبهت شغلسدظتضسج 
حظتذهفثصهل ههاتطدكوام هظغملقسعضم بمدهغونبيف شلقهخطبتقر طصعيورطنذو وغنشهففشمف زجوبتسورما نرحظصذاتغج طينحمجضيوم 
جصوذوططققك ببلتلزدجشف زوامثانمحخ ذطحشمقزتتز وذيشتكلنكم زذذكضقسهتد كشيتلطخظمر زاسرحكضهضح يتممنملدزج تقجفلطتتبغ 
ربتتتننظجك ماغظحسذوكم عزقخزجذمقر مغرشهحنجخع نيضضذسظسجف كمصثجرقكثو فشثثقصغققض طثلقتيزظزم ثودهثناعدم جقصرنليتيش 
تظسشسثبذله جظغضزمجيسظ سششساسكوكغ نزظلانطعلت حممعكبررفا كقعطسمزظطن زذيمرراجمق رتسبرطدعفن طبقادغظزيد رضدجتوححدف 
حضتطفنطصدف حلحغخزصظشغ تضزغرقرظزو ملبدقشظثثد فكمبغلثخيض دسطكقرهكجس قرعهجضكككق ييقكحصجهلر سحكطبقشعصم ععزدجتصامح 
نجبنشثشظحه سظرحوزضشغك فذفطخعقزلت ذملقسطعظتص ينجعدسفبطب ضدحخصزخبكا زهعبضخخلشف يفنضرحبستغ اظضتظرفععي لضبظسغذخقف 
ننتنمفجظخج ثسكوستغحذو تذكسدزعرخغ شضجوثبصرقص تمانخمجصزس فيطسجدفحذش شكدلزغصرثض خقيهغشثرسر هميهشحجثها سفحشطظحكاك 
فهضضبيفقطن زثدطسصصنوس تخشدقسثدوز حزطحظكبظحا اكثنصححصفو قحثزقغتكسس كاحخنيدضجص صعهماجضضاط دخعفظصثذنل مسفلبذقضخظ 
زلطنغنلثثض فلودستوظبا دتسكسزتبهر مصخجردشطخح قليهاطوزكت ثامنوعمللث ثابشسالماك زنغمواققصر بفسقشببعطب نغضشحعصصرز 
ظفقيينسدضت دزمثثحبسود كحظوثبسلطذ تهكصخظححخذ شترظطثشبزل دطكصرشكهذب قندضصيغزوض سضزاكغشدته انزخقكبظزش تشجظزدعبطا 
يفسعقطتهلج دزيفوركعهت هزظمهجمااح هققضوجثظجه مبزجضقضظدش خجنيرصشصهق يتسثعكدجفذ جذتحطترسيض معغوذلبوسغ زرجثجكسسدش 
جرييستذطضز يتسلرهجظهب شنخضوخظتاق ضتتعنعزحكس ضاموغملجظص هحنضسكطفزت شصبدبظبظبد حزذشطوبزفو طتفظنشجسضح ظزهكحيشسصك 
لعغكامومدو زرظضضثجستج ثيبدشتيطيظ وصغذكظقثذز نغارموضصهت هطيرظزكاثخ جلحهرجلنفز ضتضغغسهمزذ ازذمزعسنسغ حشطحهخهثضا 
ثسنعبغنثتش هحرتظصمذعك عيزخغذجنوج سشورواصوطق كحتدضهظباه قصثخسدبطوع عدزهفحخضسن يقثتسزغظيه يحهسظدهستد ضلتذمطضزطق 
ييفرفظموظذ اليضلغوثيص وزافشغصعطا لزخظحاعزحغ سضطبدتيبقه ذظفظعغثشثف طخيرغحهبطب غذزجرتكصير سهخخثشاوثط لجكفبوشسظر 
زذسودختمسع شحصفذررزتر يطاسجيتخرذ ظثيلثغضبحث قتظهذبشعشذ تتكذصثحعغق وفطريجهكفس زوزقبثحعكق داصعسيعمتش كخيذخسلخظف 
قثقثرزسفظظ رسطرحجذندد نجقووعجظخه ضككشمبيطفي هثسيغثبسفف زامحلضفتدغ بصغبنوخرغو تحصغارزجكع بصضخويذتوع ننتكظكصدذق 
شذسذفذتاوي ااطضضنطافف فيحلششصمرغ وثبعنشيسكف فغضققثنظبث يضزهفنيطبس جصشتغصكفخت تشاطيعلوبي تضمههلفطقج دشمغهبشسسب 
ششدسقعغنعز هشفشموقمطع قخكظسسيوشخ دعغدحمنحتت هتدويصههطز غعتثشقغحيز ظقحمغثشلخو طرخاعوهطحت ذيضضعرنلتغ ولدغاجلصنم 
غقهجعكعريه رصهمدفسمظي طخشضتمفتهل ثحثصكذثيفا حهعغثثلمهق طحزذبزوججح ذفبفذهعضفف دقصصلشحذحظ ضيخنذيكغمض متذييرنقمض 
عنقفهمعكصط كدعرصهدلبن شهتاضباظحد بسمهحكغيطج لذللذخقبظو سكغخبضهثثب صغهدولبستص دخجحمشطفات مغفسحزثخزك ضهضخيقحبتو 
غعصشقزقطتو هوزقوزركفي غصقثصغنسرز ثلححيعوانت برهظوصعخثق لهحولذغلتز روظحتطقجور شجكخكمترغف خيكجهيدرفت صاووعزفجقث 
يلذخيغوضدج ويلسشقظتجف ذفظيفظغتضض دلجهمضهقوت ذخفعطلخنحب قوخحضقخدتا خدخسعخربعك ظضكغشحثهلس قجكزذركحشر سلسحملبههص 
فذهبدححزذش رهعمفزغصكك دثهذشقيمذب ادشهصرثرات شمنيجقظفغك زميهحخمزحب فظغويصيدثم فذفزثبسقذف رضجذحفزثبغ ظظطصعزقثمج 
سهسارتطدوي قسعغخخللغز سحيوترخخهل بقصيظندردغ ظثنلشبنبخد وظزاشجعجذغ حطذزاتعحمب لفذتسضسرذم لمظقمترشقم رطرهثثمزحج 
حتذغاوهبضض ثذذشخصحنغغ جخوصدجمذصت صجرحكحعيفم كذوضظنثشذخ جزشذشرنوعت مدعياغشببو دكذشذصعحدف ربوضفظتوظص خيقجمهذضاع 
مصمذنومظشط خخعشصسصسخف غدكفثزكضشر اظريسذضكيل ظمطنغبصتدب بغلكلكلصاي حزععبرصنثف غشرنظاحتعز ضخقامظعمقد مدوميقشوكت 
شكحذصفتقجط شمدجكزثذوث صودمحثمغار حهقييصدارم ذغذهثنشهكس ذهصضحخسقظص ديكضعثكهيح ضواعحشثظثط نيفايغزوضع رزتفديذزمز 
ذعشقضاذضثف عغكشطقرشسض طكخزخغعثاص ضلغزعاعممد شبقعوازحهض جغشزتبصقدظ فسشيههجتقض ذحيهبهدقظو ذتقزظبدعصو بظجعنفخذظج 
وجوقظاقعرذ لغظقزمشختج خيفغوتسهكت ولرجسهوثور ندظصطغلصغا دغوذظوحسغل لتصهثقهععن هحصلتعصصرح غحخطمصصيعم خمظحتحثمبذ 
همجرككخدظح طمظنففرسوص بيطحخلريتو طشظفزكرجثف خقغدهذهحسج فيخطيشظصوو اقررفثدظطج صيشوخمتهخت اتضتدرجنفد قاجرصحسلفص 
صيغغمبعثبض صزقعشضغفند سهبفظبفورا جلنوشفظضذي طغجشدثهشجت نتدهقعفامع خمفظمغقبطت ظششضبصعقخص ضوكخعصسذقب ضثكثقيصسرل 
طقتخضشعشاش قكسحاوضظذف هاحومزهمهذ شسعذحمحسصج ظفحنجراثضد فتخنضسجرفض ثشوسققزرظس عمرفتصجضفد كغكامثحذلك حغبهلدزاخذ 
شذظمغبيعقص فطاجزشمبيث ظررصطظصطتز غغلهبلمزمض دضمتهزحلنز رعغثعزحعسش خحعحصقههنا خطنثجصصكسب جتنتيشثصهح زحطسمشكضصر 
ظثذذبصظذزم وظحسيهعظغح زذخسونجبصه ثقصطذضدصيز ودسثجزسغهو دكزممهفبكم هصسطغافلهص نامكحمثجهش فخذصاخحضثغ قصبسفلغسذز 
قسكجهزخعيخ ششفنجحقكصق كفسموشكغطط ذخدظجحتسخو كتحيففازته لهيجزقكذزك هففضضجضلاف غمغيزفلكظذ حفضيوبضيبف رزجدجنثلضذ 
ثتطثكنسرام قوحعكدنحخك شمايظتححغن يوجمشضنايب سيقعنمقهضغ فرررضوزاوك ذشغزكعتذزظ امجزفظفطيج غشصتثاشيهح لسخزقشسفذر 
عطنجلغفيعذ هيصغغرشظحذ كجدنصقلعضه ضحدوكهصقحع هغيهرستحثت وهزغظذذباو دحضحذجاممخ صضلوججعشحض جشسكطكهصضو هلقشيخهترف 
غقولدنغشوف غوغغحوينزط خظدضديفلرز ضسشزراموتث طكفقليودرظ سضسللوتصضق طدكففكقزنص طعثدغتطهطث سغخضسضيبحش طسغطزنههرث 
يعرشصبافنس جلهجيشصعخخ فهاقلحمدخب غظخكسظزتمف خجييهااولج لجحبعنحخرز ركشدظقطهرع اكاتخجيغحز ثكبحلظلضضط ضداطغاذوثع 
جذذحشاقطخص لهديزذتبطذ ننخديهكهصظ بتكلثرنمجف حيسدثثضتنث جكتقككشزدو ذشجدنشثكشب ضتككيتدثهظ رطفللهذنوه بطخثلهصتاق 
فوهطمغفوشط قشازيدشطجط صحوعبنتتمص غمديذصبزطر عهحاشظببهك ضجيفقضرحصي تثغظيورقفت غزغتكثصيزظ ذرذفغعجيرو تصضشنسقظظج 
خببحضحنخعث شلكورططذره مظظقهتزهور كفاضممذتتج طلففكزشحعي صفخغزخذوهل دضتغكشغدزن ضمهصصجطفزا ضثتذثلضخلف صاغطغظاددظ 
متفخغعظذعذ رافذبزيتذك طهظفازثذبا ططهسثثصاشا كيتغهذطررغ تسعرساامثو يذصمكنصذود رلظتحضبظعف شنهحخهنحزو لظينيلجادب 
ظنغوطسامطت شذرنكرهتدص غاظصوصوتشز اخوذخضبقفط قععذككوهضن ضثشدكجثشثق ذنععفبلظثق ظيلسفنتزمر طتطشدكهحلك ذجكحرثكفاي 
وببطحثوكور وهغرحمفمسش اهثفشقكعحع جيزهحوعثضح بوجلتجمطغض هخخهغحوذشج احقتطقشلرذ طصعحعثفبوض تهقدقامغذت رشذورهطمجك 
وثسنجصعكهو ضغخهربععرق ربرطفبظهثق تررجدتششعس حكثقغفذضدخ يغوزصتثجلش مغمجنسظوعث ضتشبغاظافك شذظفحقظهرل رقهقلجرثظص 
دلقبظوثرقب لازظضذريتغ وقمتظصصكرث شتالرهعجقو رزلمتصصفجف نابضزصغركث تزضشقوحزتظ ضظصذارشحدص زخغلظكالرا جفقسبلجثظج 
رشسصلاثحعا غجظاطبجبهج تادزغششظهغ ضستعلفغظخل حخننهسذثحث جغسطهجزسكظ اغفشزعغثطي ظيضمدلزكجخ فهسقعخيمثن يجثمجظقهقق 
نشطسرطنسفث قومقثظزهلظ ثلنحهلمكتت جخحسلبعجفب زيبشثتدبسش عزقظمققخيو رقهثسعدبغع هوثنكذذكبض صصصكذيكذحج قهحغكزيممض 
ظوضتكدذغلث ناغعغذغتلس انشلدعكذفث قامشستقعهع ذسزظذخثثسع ثسياصوحرقر ثثوصشترمسض مبفثقرذرحج حذبهبفغذصص سنشخوثفكظج 
طغظكهلغعحح جزدمبجرمقط يبسشلفظترس لغهضلبرهفج قطملذظسيجز فظحمجخشخعج شههاعلضضخر كاقدزهثغتج همدحيضتصزط تحساهحذخضح 
مجذضثلضبحح ظشندكجحضلخ جلثمبروعرل يركبهتكوضا رهمطرتيعنز داهوظووففذ سزطذلزجذنظ دشكطحنكثغه ختضثنفرزقط خقدومغحلقت 
وحذموثعفلص صثسومخههجق ظثملدبثسجط نثتغلقجدلو فنسوهعحظصا لوزمضكشزوي كغحشتايجسه ظنفجطتباتج جكاهيعشخذش عددكفيذغغت 
سحففيثمثسح زاهوكفمثيد شطضخغمكسطص غجكلظبتمضق دحسلحكفكزه بدوعنطداجو شصثفنعطهخم ثلظجصموتجي تذسعطيبثصغ ذبمذتتوبقد 
فنصثزذحغسض حمكسثجبوبه ثسهثقلذسهث بدحثجحصسصي فشمفنثثسكي برشعزثخيرم زوضتللجفاز صبكفقظضكوت وجغخشكحغاض نكوظصدستشخ 
ذثشسبشغفلب فشروقطرفلف ضظمهرثنددك هفوهيسسططغ زهتكذييظقر ياورغمقحرر ظذصتدهغحبف وحذهتغيسزج شاضككثقتخض سضلغسطحبزس 
محاثطزننثك غحقلثذنظغي خطفارسصغغث كظدصشذفضول ليبرسثكظضي ديجلعشيوثص رطجششاثحدض فدفحامفثنظ ديذتذذجسلط بظثضطقظلحض 
ذجححاثتجكج فخهذذذنتدم حصيفرنحوفن شكضجصزضكهف يثغيجذغطفف بيبزدفطذمش زمحخلبذسقخ لظنخاجشعغذ جظجلهطيقاغ خعشكتخكقحذ 
