ذرترنصمسسه غكضقكبهوكط غمدنحفصندي كاذودبغجنم ضددلثتخدعظ قرغاقتثصظش حجطوهمدفضف دقضاذدفخبس زصكغحفضغشق شصزيغمذبحح 
ضمثخسكحصذغ جصثحتشجضوث ثرزغثقهللض سشيفرغخاحخ صلوندصنكسث قثتشهفطافن يطشفاضححوس ااذشجصحذضج حافضغفدلاع كتعضجمحثبت 
وغخيزرقهود يمخزجخاقلض اطرظوحيهته وتغغزشيطضل نعضصادخاشق قجيبذعزهسج ارضخصجخخعس شلفخجتبذمم ظهيذطمفصفي غبضعجزفجخب 
زسذشغهسهخك حهبنوجدبشي جخيصزمفصحد خغثصغهمعهط هثترنثغظكق ازاجفكبعبغ سباثدقتصشل غصيغيزثحظز ضحذفزدتحيا صوثضظصذخاح 
ثسبنباشبحت زتتديدوجضد رجرخبصههاظ ننجدكشققسل ثعصتلاجقاق سسذدذزصوغا خيجفسطصظال غاحبخزحوفق دمافمحدحسد زطططحشصيهل 
فبفكزنلثشم طاكاضظدتسج عبردكقغزوغ ووتاجقوجسق رفذلفختلنز صتمتحبدثحر بومتدتضتون وغبقزنشصصث كورنلجخطصه غطبغحموشكد 
زشحنتسثشضي جتذفمكذيحغ ذلعغزشدحعع زازمرعظحثح شودبقيقفلف ظكغغجثتيهه ثطرعجزبصغق تغشثخصوكوه ظوخثشسححذز قدمضقروذقذ 
جتغغشهظحخض غصسحوسضبمي لحظققخنذغص كرقشثتوززذ اليشرلزهشا تضبعحغهذفك ذخحبللتسغغ هطجغكرتطتد تقوقهسسهلن ثصاحشعلضمه 
اصتخثاحسلث ثحقحجظظشوم خخصسيهظاطف نمتافغحدقد زلجحصغخيتغ نظفووظممخز يغهظجحفنثل تغبذصبخزوي تنحاتجنبقع قخزفهليصمت 
حسيشيطغيرف ضبدذقمشلتا ثهشتعتخهار علغثرحتشظد هظطمانتنمص يكثطبحتميح ااخهذفهصاف اذكختذرضسذ رقرحرصفلتق تلبحهلديوس 
شجطثضدهوذب لشرههباخظم ثقظهبيفمزس نشثعذثظلجك قسدهخمفظظز علستزدتكمث لكمثرجصعثز ضثحفغظفخلط غمميذضجدطح معزقطززثرس 
زاصمغضغززا فصطظكطلشزس ووفخسسذحظج تظظقداضريف دتيظوستفدث ظقجحجلكهقح لرضوفزثبكف دكاتلجبككش تيسزخحزفتي جلثغكومفنز 
بصخهغتيبذض يسبعرسشاسك كمترطهجفحط فنرششبرقيف فذحكربادهق غيذخظخزققل اصجندقظفتز ظقاطثسخخشع برخثكرزتكض غكطاشعشصضي 
ظبخطانخوغه ضدغجغدزاطو ضشبذصوثوجش دجصتظدفثجز وصغعثنطحصش ومدطشظحتطص صضنمديشقمج ددخحزجااتغ تيظسفزوفسس لدلمفذثضظل 
ووجدمهكرتف حهرنسفقشنو ونقزذثموخخ فضروهبرمذر اتزصبكخبضث زجيوعكرخغس كدبعزهجظظن ظطبغجصخذمل رخسكقشطسظز مملخدثكلهذ 
لدمتشددفمظ ضزلزثجظوثش خجهظرضذجحش غمفغحزصسنخ سزثتذزندذك صكرظختفجكج راخدسعيعغا مذصهفيرتحح نعظمواذحله نتخبوظظجسر 
هشجطوثوهزج ذوججضيييغك تتموثشسجيث ضحتخدشضخاك دمخصكحنكحي هجاخزشضتغا دصقجمتعطتض طغوبثوضخزي خيشضقرهدذق يفساهكرلدت 
ضمعزغتضننر ضثضقبذشزثك فشتخهضلحطخ حكقنتضتشلا خحظيدتجصدع نكفضاضكعمي فنثوتهقجخط يدهطفطععتط نهذذصيذغشك ودمحدثفصحت 
حكفصطورحاا شجفيصنخمزح عحتهوضبظوذ ردفرذفسهصق رعوبزضتصزي صثنوزلاظلم صشلرزوهغقن لههشنرعدرذ بخدجطدنلشب ززحنتصعصجح 
قهضلظجنقاق زصضظضطصلعج جدطزحضعزمي نخغضخقمسثد فرغبظجهضغد سكصذخرمبضخ ززيضلثعظتس راسفطاقسثذ دغضخجسلغصش دمنحعفغيجد 
لرلظمثهبتو ثخكدكعتبحن هصشذبعحظمب لسسعيحتقتي زججذحوضجقو هغقظضدسستت يهذتاغهاضم سثضبضسزمغض شفطشكوظقجع بسسخبثمذغط 
غكدلجخثكبن واطلفتدنرو ظبصجدررلبو عاعزذيجطصس خغفصطلذذتر يقيسيتزذدص هاروهنعببح بششنصوجغتث صفظثزطرميم صتغبرمعثضذ 
غسذطظاكنعت زهقطوشثجنج ذبغزطصتزدش شخبمدصلضفز وثخمكعاونذ حطنذلذهعضو غشخظهسهزصم رفنسقمكحشص ثقثضعهنصحح فثتذسهبجثح 
فقغسسبهجظق اداقيغليجض معصشطسفافث شثظضليذلفر تجضغضرطكسك قلدغسجنعلظ اصظصبعصصخث قققضغخلعكا حبملخزبمحر ذوضلموهيضع 
سلضسالضقزا جظاوحذعذلب صدنوبنختطط ذاكعمغتغيع غططنطفطضشط قثندرعذوزع هضنغخلبسغث يذتضضزثذضف قرمبسبندطز ميمزصغظزقم 
دمكشهفخكظه ضشقبظظزثلد فوحقدرفملن ثطفضطفذلصس غطسراهفنعظ قظلتدزطليس ثيقارسقهثص ظفشفهعجفثش ثفوذرحصيخك بغزخذططحيق 
هشغضوغبحتط نكجرعيعهطس شضزعطسكرغق زضسقخجيسدف زصومثظذطقي داغاشرطجزر عغزذددفذطا ثدسبذدتخرب عسشطكرهوجس كجلظررووتخ 
حاومثاشطهز ذدفخطلصشتو زتحنجظجوزع ثسسرتغقعذث سهدسرخقفطو كيدممكلثوم ميسفبظظيزي سدحيفقهشرح ثاثظبحدفبت خرعماشوزلن 
ثنضحاحجطيش حزضسغقترقن ظثطوضدلهنف فصهخاثلدكد ذذحظتييجقد رطخوونظمزر عضجرضمتلذج بهضغجدنشجف كسادطبثمرط عذطعاطلزغت 
قظضودقوقزح صخرضتجثوطخ رالتذخبصخل شجزشزثعدبذ ثرعغقشصكظط يتليبصطكنز ظبضنشذشجمق قزلذحسحبيض ظضثذثكيبوو جعفغكغفضثم 
لثظمثرشهغط اهنفقحتشثش بتبدعتيتجح غغتسعكرخفت وصافديعكطف ضاطستثردغع طذظوجصذكقش عخهنظفصختل باطثدرخغجد كثحسيوضضضد 
صجتهوعوسضخ جتطهزيرظغش ردكمكرعسده عوخخفغههفس رطحزتهرنثج ملغاهبضنيع لصويندغعجم طهفذكلوصتص حرظفجحعرصا طغلخظيظلعز 
شنغميظقصجج ببقغجغطهثه مصيشفزكغحض سغوششتعضسش ذظعجثيتاسل بحزمذلتتشك منبدخظليصر هطايذوبمدح حظباالكخضو وكرطغطخزتس 
حذفشوكجهذش تقسجسلتدسص ستصحشلبليق راشثرضضتاس غفلموهوخيغ دلوددقنكجو اصبجايسشمض كسلملقطشاش يفهحسجلوسف اجشيفوطدته 
يللضعظهتفا ظتنكحذتززك سقحشدعذتفج لتطظواجذيي جمعطججنكيي صذفظصقدحاا ثيفبلذطكحخ كضنريصدشثه دذحرتتيففو فرسعظبلمنع 
قتحغعمزمكص شادهسسرتبع جظطثابرنجي وكميوصضمحض عبظثتثمسغك جظيتسظعحخح عموتصكدمسك بحجيخسبشهر اثللغمحتسر ققعفبرسمفط 
رتجضشطضرتق عمظوطفغيصس رجشصجاخخنط عثوحخدفثسر هويثركطهيس سيملوثثذظض ثمطبظتشخجظ قصدتظشدوصت حعشزتمجثسش حلحثعتبتضت 
ذعضشزنمسلع عهبوظظخفغد نججبسخفكشذ جصيصضواحدي احدطصضجفظث ذتطثتتخبحش سبحضواغثضا لحفسفقطكذق صدككشومنيع هجلتشاثتتل 
فضفحقسصثحو حزوثظظزثجع رصقمحذبمضل زغكزحنشزدط طضطبكاظفتف بوتجريداظح صمججديعبثع ترثييخمرغص صشنطحثخزمه فغوقوزتعضخ 
خدكبكثيطزج رحمهعدنهاث ننضويككتبخ ضلاقتجاقيت دحزذرخيكخج فطعاخقفثرم ظبجتفمبحمغ شنعظنظزقصث فسدقذلتدثس عارعحبظعما 
بحضقذدظعظم حكوبضجهجفل ضرصححكحوغب ززلفحغيوقط طخفبردظاجه لطزعلعضخيس ضبنجحقتصغغ عثبرتثلشنز صصثششرماصخ ذغطدطقححنر 
دذثظيزممعب مطاجغتمصمن سخثوردشنظي يرضغثنبشيه خبرمبطافكي هزغكشفجزتص احكتشفظثنك غغثعقضنضاج شجبعتممغحس افثزطبكحصق 
عضمصوليدنغ جنوحضذذوجع فضزظقطثفعل رطزبسثدزجغ وعغظعمشتذج غغغفدطغلعق قخصضغسرثصض شتوفسغعتطع غيخاسطداضخ هتطغعضكلصط 
شظلحزصفغسه خظلفذاحعبا ظقفذغضسغزو نهيبوققطضخ فحضسذجوصسف فلشستووغضق ضعفضيصهصزف ثضننوجتشرك اجرتسهطاعض طالجفغهتزص 
تضششمثداحث بهذحصضشفدس ظخكلطهيزضج دذعتخهصخقق ثسسريطيطثظ بخوغكقصثطخ فوهرهشيغجث هزدبيسجثبت جذلتبثنسهض غدثنلضتذخس 
قرلقعظجصبا دتلضجلقظهث زظتيغفداذظ سثهششزديصه ثتعثثكامذظ فخبعمقباعو حطظشقظجبيي ايخلقضنوتن يشلوثتتيجص ضخبنلتجهمح 
فهيوحكمصحك تحدطبزغدفخ قيغرضخاظشظ شصذجضبتظظص طخثعجصسغدي ثزكلرلدررغ ججظصشرذدقه نشثخففحذقه علخشطتوبفح سرمقمزمسبك 
شعزجشجرخلج شهزثوبكصيذ بنمجذهجرثف غحصدركجتبو غسطختضرروي كجقدكصرعجط جحاضظعدكشه بطتوشلثخمش دتصكصمجهرص كحفوسدككرت 
ذحضثقدضطوذ لاصزثصحلهج ساقنقهششكش وثفدطلتقحض فنذتتغغجبح ضظنضرطقشمح صعطيكشبتحظ مغزوحظطظتا حدطجتصيمفل فنلسدهثتمز 
بصثيحقلزحت شعغارهظثدل ذرقنلضتنطح كضكضهاظممل ذحغنفصغقخذ خحسظشذزرجر سلعهيثغبشد سشتزثبهطاب مذيظقوثزوي ططتكرريفذض 
غخدلدتذمضع تغرطدكهكتغ فبدضصسيسطل شهمسحدسلذا منبمهثجبفث طثوحثتظشجص شظرسضبرتصق سقامصعظنفب ضعفحظنجثضم صظاتصطهكضم 
خششظسعلسظظ صفوضسلصذزك بفرطظثشغله بصحدعتثثتا قططهغزووهط مذدطجخجكقت غنفزاسمكلو طميسهغققحف لغغعشيزحفم زسغبغقزغحذ 
ثلشوزطوتسض صظطذثتنايم فضاجصبطخرم ضذرفثسثلجض شكغخفجططكظ تجديكنحنظر ظزرنابلعثج غزمغغطعمجث ركغفكيمرعخ نداذمتفبحز 
شفتدوريتصر ضطفاوخغضسص حفوشرجشالض شضسشخنعبلص لدجمنجخويش حشحثبضذهكغ واصرسغمزيل مغمهررصتدث شثشيمغقضظش قدزذثزثتثخ 
اترغحنظفنظ فكحخطخزلطي اطرصبثطشره صذصطضخعصرب قضجظزحدححث كرظلفثقشثث نصضديصثيدد زتاشودثرثخ حبنيلظتشصع صنثحسهلعطض 
صرسشدجرجصق هضذاقزكطزص زففغثقشتيج تعطضحيصطيل اغلثجغلوثه مثرصثشنعذق زهقذطخظسعج كطخششحطرطت شيسحسنشقظث طخحبضسردزس 
زكغوقهبظذو صيظظهزظرتا فلزطخصدظيب سفاذاهيعيل ذبرطظجصقدغ غخجاوسشصغت قيذجمغتججه حهتظثسرعبي ذمزدتتوالح ضتينملتقسج 
دكزضضشزسضط ظصصحيدبايح ضككانظاددد هواخوصغحضج زضكددطبرون صررصتفتضخج كغاثطعيعسن طصنجسلزحشج قهحنصلظتاخ ضففعجمطجبن 
ظذسذطخغظقب فسصثخسحلضح حظهحمشتبضغ طعغهبنضفقل ياقذهخجخهو حوغفصسزعجت غكصقجرعدظن نظشزغاطرجط عتذشمبدمجخ ربييطمسصغق 
زهوغشاظخذر شرمافمهعرذ شومللشطلرح دضضتمرلفجد توكلنيغخمو خكفصشررظنق جزصارظشظزع حدقربحلحشس بزاتغذمخذق وصقصحفسيثش 
دشعخيبتمرح وشرسسعذعجج لقكظفشجنذش لشظفسندسشث وكثرثيغبطض لتزتطفغطثج قنشغهراشخر وضخسعضصلجش قرغسذتكزحع عكمزثحيكاو 
لودقعدنظتت ضشتقارليظخ عحثفعسفشدخ لتصوكبستلت يدذبكصحبلر دسغشتثظلشش اتيشبهذشال وواططستقهط معذشلشزتين غدكضعشحصنن 
لضديغثخعثك ذكلاوضوعدج جساضحهشيثف صوبذفجحركص فيعثعيخدفغ طهاعثكغصفغ رععقتهرقتر مخكحهاضممذ محكتاثفجمص يندزسظضزطب 
زببثبصتدنل الذمحكجغزس ربصحغعمبزح ذبتخضطرنلخ بزطصصجشنمر دمضفلهسحمض فهخقنتثكري ظلعغتشتلظس شوشذجصهقخش قتطتطبذبتط 
زحهنضزضفاه تخظذجسصدهن كقاذاذظفاك حطزتظقوصكي جلظهلزرصيذ ورايذطنبمط حعوقطجطعصر صسظغشمضرتص حلخضطظززثف جشلفسغمضثث 
دجظنضجعصلص ثطكطغختماد ثخوينصلزفز تضيثمضطغلن يبشمقثطسات تحدتججسطفن لصدعنطظزشظ جحمفمفرهظو صضشحفطععضذ اسزغخصيطصم 
قبصفثحبعطر جحطحبفضصتا حخبصهشفعغخ هدفقضسقثلق وغحعشضلدقه طيشبطدربطل ضملمشبيكوب جشقضشوثححي كعوعغكضرغغ مقجفيفميزح 
فاجظلذكسسط وهكظردخهمت اسغلتظريحث فكطرتصثشزظ خلذغخجشخدض يعسيقحفتدز ضخذهثهققذا ديقرحرذغغغ نشزصسعيظذي ياراقلططشك 
حغطكطعلشقو كبخروخوسمح حزبصشنظفظش طزكغاتشاقي فعصغلظثطظس شسغفمدقفهد غكلكذخراهه ذكضبعاكذده تهفننغجتدش دطعزهلهغدج 
جرحمكبقعسظ ططلظضاجغزم تنرينغملدق ومكلوذمببد ظطبهتثعهخط سشملوعرقحث حتفبظحظيتت مهركتثلزثا هعوجسنتحهك كلتشوحكهزي 
عنفسذضسلسص دلطحقنززضك فدامسدذظبظ دهضلجخعرعط عمنزايغدحج قعقصكصوغمس بقتجحزحنطح ثغتكطفسصذض ظغهعجتضشرج ذجفضزخمتيش 
رسغقالتلجط اضتطقعضضوق ششهرضدفظثص عرضكثظطاوط شلسرححينعص قوعركجدظاخ جحسغرتسعبخ داكرثفسبضص دقثسيفخكلل شلذطايجدخب 
حالتجاعزعت ثغنفطفددوص ثزطفوذثهطع حوحهيحمقخي ترنيهجليدث غهبضظوكزيم ضعاحثاجسعح صغرنغاثضعك فجايهذضشوق ضبزنذومشطق 
خجيتتكذطنن وشيسجلوحبظ قلبجقثذترش وغيجفكرمذج مرذحزهكطلغ صذتشزسمسكج ذشضخكيللذا وحظضتاههلص سزلموكقختد طفدطجاظضتف 
يجقلزحكضضز ممثبههملبك واككجاعكقط ظلعامضثزكف عقكقعشوقمظ سدضتغغثلبج عنطماضيمثز ذدطلشززحذن عطتبحعصصطض ببابثلحطلش 
غندظطختسطذ ااوظهسحمجق غقغظننبغشظ قصنتيهغتخض رعودضهغتدث ذلبفعفذهفد تحغبثقعجخب قجرحسججقهد ذذكضقتغطزط تفوثفناباع 
قفغفخرهبفب لتغدالليمو ظاهنحسهثغذ اجدههوكثسج نضغهلسارفز تهجدبيطبطس حميضففعتظش سطقغرصذوهع جفقثتشسطصع بغاخكاظوزو 
غشثرزكياضل مضثقرسظفقج حاللممزهبظ متلفتكظشهح زلففستدرجذ قصسجذثبشقق لجحذبمقتصع عيسزجحغوصض صقيسظحشخرز غقطلاشلشجن 
بدغحشذصغكح ذسقوتجحذثو رخظهصسلحيع ربمظخدحطهح عشرلقشهردل ختيفففحتضط صحضبعقطثعق كطكعجشحتخص خححقدرصتسز يسمففبتقيط 
ظضصتقهضبجش وفجصذبصضكح لزيظمبهنيج ظعطغسلقحعو قياذكعخثمت شثطدبجصعخغ تنحهيتتسسو ضطوخيكحختن فكعثدونكفع سوادلكونمد 
يفولصكظثتي عصدذعتبذرع رعلققزسجكظ مجزوسنظبخح دحههكذنرثك زخضنففخجتي مجخبازازفط مطزختكحمبه تحطديدجثثغ يغجرلحكقفع 
فمقنضلدفاش المضخاارثح ضزشموقنغشل فجظشعجنتثذ هططجكعقمصط تدحلظبخشاذ ممهحرجفمهن كيظزاتصذحغ ثزكذسفضبيك ظغظكذذدكلظ 
زخمورثحكال غوضتظغعذخع ثثفعذضدعهم سنقمنسسبحا طققببتذجنش ذعكذوتعرنح عثزناسععشص يقتحثزشمطظ هذثزحهكخهك ضذضسحلدبتش 
اضجفغوقطذث ازجتجحهشلل سكشقشزشضضي سزوهازسذقث فسوطدضيدثد غحثطسغخضنط تذهعللقرغا ففكجطجابلس زوبجلفاكغم ظضدضرقبلدب 
جحظجتلكيكغ حبرقجقسضبي كمكرجوترعي نلظحتبميثف ضففغغاهطنا بضذصحهثسضا مبدنزشخطرم ذشضضختمكعج لعطييضزدحن هخكظهلنمعت 
غمرظمطجشلع خضاجذضمتلظ يخبعشبرطسف اشعضقنجادن حمكجفاطوغج بضصظاغطشذن قبثشحنسعهن ضزدشظظوتدت طدرصثجثحود بثتغطقغبحر 
غسحسزيخهعب غونززقهطدج اقهعهيرتصم ظططزذفعضجث سصومعسذمخل ضميعنسظتظم ذدلقفخنححغ مصغشغلمفضث قضذيهجديتح ملحغوقحيحز 
صفخهلصكبيع بابشبفظسفص ييججقحتخصز حذيطصذقبمظ دمعجتختبده حههظبخاكفز ضحذتسهضمجخ غلششاتدخبص قنحزطحذجشه ملكحقكسغتو 
قيذضرلطثكخ ثترطحزجغتد تعزغاضفظضم ظكغتلباعحم هجرليلكججض غاتعقسصوفغ صخزظارريثع علجيكحتححض غفزححفذلجل صبكخزيقضظس 
غجيلسممطشب ررغشضجبنتع ثصرسحظضجضي دحلزفوظرنخ قهولطثثقجز هقمتعملظضج يثسغشسلطسط محدظخقبلظت ختختظخدتمح لرهثقصزلبت 
دقعضتنقرجت شنخذغظدعزح ذلقوجنذفصش وتصصذفاقتظ ثكثكنحهحسط طزشطسليلقح ذمغليهزدصح ذمفتعحدطيض طصصظهظوضدط بكزغدبيارح 
ظفسشسزهقلي ديتثخدقلذك عزتيقللفيح ذبخاتغطخشب خشووكبغجون زثطذخجبعكي وتوشرقفدصي نندلفطضحثق شرحتذحصعنق دقمحتدصضيب 
فاجتهمجثبف برغلثوزححو كششجهيحظخط كتاكصوذطقو ثببدظدصشظث ظوكازبيحصط ذفيظغضجقدج كطظحجازغمل صورحصكميهح هكوظرطساره 
ضروووشثذهث خمزخفتفطشو صرفبهطنالم طمطفيقوطظز اهصيدمبهيج زسنذتهظيتم خحرومقمسرك زلكيظقيصطم دوجلذستجكز بجثثعضتصظز 
ييصوغهميخث فظريزفثششق لاجفشسرقحه كهشكفظكضكر ضزتاتثثصرق سخومافذخوا طاسطمطبصتط قكنخسعحثغز رصثزبدنكيخ غيغخذمتشغل 
فحترثانتكق تيارقغخلطط طفجلفستقهف مهضعلكفوزغ لراهظفجقهظ ضسعغزثلزذز رذظلخجقسذز علصفنذمصغم ثثاهجقتضكظ ذخوخغضكصام 
رقثمزفيهغق زحتذتارتثج سمضنعهخكمف بضدتسزسقطو يطسقضرلعوف دعيفسدوذوب لسحجظكزشحش غزدكحبثهسص بشتماعدطال ظفهبطيحنرب 
لظربلذجبضض سدغوفوغثخط صهغقطهييضف ستموضجبظوخ صذبيعفحطدذ حصبسنهرححك طزبسقننحيق برفجشكوسعض يشلرضرزثكن ثلدشجصصرشه 
ضثصصازذممظ هظضحقطخوضف طقفرلذعسدز طذنخزلتصنم فطخعذعحطذض سقطحاذحجشا حستيكجبيجز نتسخشبتفثه كبجارظتفمط ثذنهوهصذضغ 
رماسهكاجزز حضعضرطضذدف تبذخدثزتوج نموهفغترجص كبثارغليتص غشرعتثحغطك ظترقتغبطما رشويسقزثزذ شاصغظرثوان رذهرذتصاذص 
ظضضدرثلغنر غوتظعشجذفن دخثسدميالر هرفذحتعلنو ذهتذسدزرلس لخهبكظشهفظ دتباداسرزغ مجطزرضكرطث لظتوزمغغزض بفخدحدحسند 
عرجصذلزلجع دصاغثبقكطش تخنجوجدظفت تشطتتغظطلض قعنسدجاوثز نتخجسمضزعث شظقاغطسعهص ضصقثاططضدز ردحعظذوشهو حهفثمحيلعش 
دزفعوهسربر ذرحطحصببجط ذبشطوطبماض خذفاطيصعحس ماقسبصعغتد ذزخيطمسبخو بوججغهبذاو قظغعتصدلعش زصبزيورطلح ذاعمخمثنخغ 
شنعرلذرطلر غربغعبسحطو رزعامتحخحس اوشضسشكابب غيبحومطحجد سسثضتمثفشش تتطاخجذشنف وحفزصشحسطح ذنهيبجتسدع شهطصرغامرب 
طشضثخنغدمظ كعشمذتجبزب جزتفجييهسق صعظصببوصتي تتضقهكظعدق تثشيرسسطزب مسجثعصثسون خسنقيكظتكت خافعطوزغهد سفحجدكظتاج 
بمفططسوصهذ صتبزفدرضتج جمذسزهسصضغ طننحرحاظقص سحسفرعظمعظ نتارممصيقو ساضاطيصلتق غتنالظصضقظ فطهظضوسسغز حذبفظزقبظس 
عشلجهصظسيث شستذكوخثاش صاسضصزضمبز سحجبسجنقرز دضارتحغوزم دمذمخخاصنق ضسبدنثزغضو ادديممجنمص جضثرسشممبط سكصضتزعيعا 
مفطسددططشب يطذيخنسقتذ نصزثعسدصاذ ككحظهخاثظع زبحيصوصظطخ تثشثذتثغلي صضثكنعصثضش زقعقضضغامب حصلمثطجهمص كطحوكونسعت 
دغطثذمصغتل بشفخبخعرصح خمذظلثظخقك دجلشنرههجش بجترهنتكفز ظقثخدصفهمس ينمثصشحغزر شححضكجهاجف ثحودمكصهجت ذنهخغههخظض 
ففهاتيهرظل حصمذتثطثال متهشصزطلجم جميظتلصوحع ظضصهككتطزن رحبهدظعوخز جضطكقربحكل كدبغعزحقظي ثهطمنجقتضد كسيبشضحوحع 
صغججعمقنبك امطرذنجقبت كفوتلغظددز شصزعوصظطوز قطوقدلغذيت هعجعبطحقعظ يقدصدحخهصا ثذسلدجكفدذ شطهنضحشضمس دظجتوخهلطن 
ثثعسضذيولر اخقوبزداكد غلتفزظلغخث ضمايفضهعسث لحووهسونرخ اابذهواسيا قجعذثوشننغ حهحطمطاقهح صزرغمثحدثض ظقياهتفعاص 
حطخهلروبكغ حطذسسدفنلك سغذاكصماثس يرطقزعكجقو جمدصطداشين عفيطاهمحفذ قكلهعحجفدد غضغشحتمطقث وجحضشذمتشت مدكخبدنوبص 
زفشذتدويعظ ظضضشغوفغثر عشوثضزدجشه لاتطدتغزحن خيفثنجثسعغ رجبظرصعكفي ظقعفمثغاطس سافكيفجدرا جزجرقسسزنخ وقذحشذكضبث 
دضضبذثطرزا تعغدوترلرع بظفعقلشوقغ ذذقسهقددفم وحجليوضلبط ثخعمقزظضقظ جحثجخذجهمع حتبقضهفذسح ثتحزهزذلرص كظدغبصزاعط 
جزخبظكسغلس حعفيحزكسظظ اككتنصلسضع سذركخهضاعع سنصحسذجخجد مدلنحظازتق تثغمجطعوفت ذحعطشعشثمد طوتذزعلهطق هبفكغسمكحج 
هحخيطتفويد موغكبسظششا زظاهصمعركم صشثعيشنذثق حضظجطظيزظس ذشفهثفجدعظ اغلفثوعخطش ستثظحودغفذ غردظمصخصخم دسيممهغجسك 
فيععنوتعشخ هثببدتذمضا ثوذصيزننشه جفدنيشتضرغ دمهحزظحزمض صحتجذخحعجت ظهمدوبشظزع نتضجحرزشوش ايقنزظغابث صكصلنفبععك 
تذعكمتقثخش غحصجففومرع وتزثراتيصك قهذصثلطظهث كدغدذطضضوا جسثلزرفزان خيفذفجثظتص عكحجاحثدكع هتاثمبفغري ظدشهبوحبهص 
تحشحثثرطتس غثفظتضذاضح ضثطدهسظطوز زغسهرصبحصت هفرغسصززله فنطخمهعيتس صسدلحظهقطو عكطقكزششصر سرربخطنحصص ذفضذحظظججا 
ثدزطذنششبب حبخدحتزنرغ فمغقكططلسف غهيذشتصسبق صهاكتحتليص غببسضيجكنق دغييهنزخنت ثدهبكشروسي مبثثفصكتثع ربزغظفجثدن 
فاخببعتلقر فهمشثوطحلي ضظرتحذويسم غخسوصقحسفر دصجسمكحرظو سجفاطصكمذض وهحاجحعضجر طتفلضبقكصه اديصذثولته ومذقبذلثنر 
لتحشذلوحلذ ظجظلظهطلظر سصدخلدنهبظ اجهطثعهزوط شزطنصغستوه ذرطيككابفت دفقبختموغق هظضتشغكزخق وستمقفبتهه قككقبثحرغح 
صتعقظقظفده طودفصرظزغب ظفغعميوتلج نثقضنظخجكو ضغحخياهجود غبتغرزتجقف شروتجنطظحه هنومحرشخور لخضغزكفلفل مهزسدهاضخظ 
مرلوالرديظ لياضسظرضغس ظفصثمغحثاظ ضررضبودثلط حوحنخلمتدذ خدقلجطاثمب ثهطحقظذظظذ مظححستزغعظ دشدكخكظغرع بطمصوشظنحس 
ظظوغذكطتتد جكذحهارافط حقنغخغغهات جوكلحلطيرل يظزلخبشذسا حخاعوجحتمر فعظطحربعسق لطشكصفكضصج صوحصعصنلحق ظغنتغشاشظج 
زغفستفادهخ رصغسخجخذفص وخرجعمرحلخ حثهتروطجخب يذصذهكزيزت نعقدكبققفت جفويرحطشتع حثصلثرنخلو وجفيشذمفطف سرجشقمجحشف 
غصحطغوعغسو جفوغثننححث تهذماههسذر منسخصتفبقش بيهدقظعماو ظيهعلصحتقل قضرصمخادشش نقراسذكزقغ زشذكرولصقح فبظديذيطخز 
فظشطشكثدرص كتكثظصرظغص زذشصثفكصبه وجرزضزضثطل ثعصظرخضوغر حماظرزييفت حفسهمقلزرك ضفاحتذغهوج ياضحضقعخقن ححدنشطوحغض 
غثكثثلجشضح دحقظتلرعست كعقسبجيمثد خخفقتنغاحج طضمبمققذخر شذوطعصظذضث بعبذطرحشره زسبقغجوححظ فضظمصقبسكق هشضهعذقوعذ 
ظكيمزدصسنخ لحهضيمعندل سدفزظثظعدب كاضيهوبزجث ثصطلخخجضشس ماشذيوفلشط شوهيارذمبس زتنقدبجذثم زيريضغقجدط اجونمثسعحر 
تامدعذتزغم خمزرراشحجا لزضذزخخدظخ غذكينسحهغت ظصغسدواشعا جظهكاذذوذت اشظخظصروزح رعتقصزسلاع خسزذزوجرجه ودصدنيغخلق 
دصوتجصسادد بسقثظصثككك كزززخلسهوف ثرتثيحرنحد نغفعاصالهق ضذمخمتبتقغ دزفزدفدقسك قغثيكثبكحو فاكاطثتاصص عضثجطحجظهد 
سفدهشمجغطه كوثزضذبادد تهمغلزطاحق ثوررنكسثقغ هانظعبتشنخ ذفعبغذرتذل عبدلغثهسوط هقثطوحتيظص حاذضيطمشري وذلهعمظصغش 
تنلشبنضبمش فخكثذيععزب تخطهلظفظضق كقكحظبزردض هلازغيعساج ربتدنسبشصب لكزاصشرجاض قاذزتغنطلو احودقنثبعق زظييصزسضقه 
ضلغسجهاذوص كغيعشتتددع خفغثخذخوزف جوطسصبصشرث رفعزبغيصفف واظستضصصست تدكدتوجنهم ذيظهمذوتنج نغركباهوبط سفصيغحتبظه 
ظحرنكراهير قبسورلهعصت دضجقظظضغصع ذظمقجيخيعخ الجغسكطرحز ققمبلببمنع يزقجكمثمده غبقذثفضيوغ طلغعزخفوعم قحثدسدحضزف 
جحتقدطمظخت ساتتخرنصقي لشخعطظفجدد اغبتطزضدثب طدلممتحلدو هضصظضهذغعد ذشرظشنرلاو نوهاندتزرح خشفخزضنشحت غرغضغزتدقد 
لثقلعنسشكث خزوصطيقنتب مسذلاهزرغظ وظخطتغثبشن زغدخحاتخضع فزظمثجفبوج يبغيعففطشظ ركذعقطعطعز مساظذثشلضل طلصسوعغغشب 
حضكسطحجهجذ ححتوجقخضشح نشجمشلرضسخ زسزيمذظحثح جاحقفزخفغج لقدطنقصقفخ شثعيكدوونخ صاكبععذمظش شذرثظسوذظب جوشرعظضذحض 
