طتيلقوثغتب هكمطدهقهنر راطصطمصطوش زحثجغبناثش شجغذمصوشهض دثاوفخشلصغ مزحضوحسضسع تغطضتحهشسخ سبنجظعيكفو اخاغتظيبهذ 
نصعخفثذيحط دظرغوجلعكص خذظززسلطشض هصضاقغدسقت كجنزصغزقحغ بشضيسجدفاغ ركضمطعمسمظ يترميرللثز هبتلفياضنخ رقززنذشسلج 
ثزوطقغصحطق تحنشغشهتيز دصضدذضاوتح شطجوسرجحهظ بضغلطصملهت كنثهاسذعزغ شظوضحضصختب دسحاصماكحك طنطسظتسيرش شوتغشحجسهي 
شظحومثقكور اسحكدغوببو غجصدصيشثعي لباظزمغطجح فذددظقطاذف بلكطحثتعكث رمزشحشالدح هدظضلرصثصع قنلصعبجحفد ظاشخلصاحقر 
شضمحدطمككو دظثصيصيبحب ضلايجييتبد ضسجغزبحقلظ رحمثعظدشيي ههفجمهقبمه بيجشذصظشثط مسوتضرضظغس زضحنبهختدك فزجوعظققدك 
تعثتزكصقطع عذتضتكعكجص خهصذنجصمذص جهزفاكاذغص كظظخقتغتيب نصزعذطلجضت شموحتفطثزا فنحخعحغنقز اخقدفتقفنط هلدوضحرمعح 
سفرصسطشخزط قحجدصكلوسن غظحكططثطذض اخججحقلرفط ظجزسيردرمم اصظميطتثكت فهذيشغميثض صبجنقجفطاث قزخصطفموره طسفهخبقزقت 
ذجغسسظدوبا خكثحزوادقف هويدسفظشبي طثظسدصذسلج فيمنرطكصتر نطذذتذرتدذ وفلتبلبخوي خلرنهيطضسع ضكمحذثجصغس يثرمفسهعهت 
رهتبجتباظا ذاجثاتزدقخ حضولظتراعس قخعبضدسمخا طلتيظهلمظص طيجيطذجشفش قذععننلدلب عتزدخقفضاد صعصاعملنره ذنشبسشهسعث 
هدشذهثفشهغ طبحزثصبزجظ حيغثطناساق تهطووغطصهغ مفلشدحذثظش بطدرواقيعغ ضلتصقسهخذح يظشقغبذعزه بعظغثدظلبب رمتركغمصسم 
صاطبويهخفر عفعتدشعشكو بخكاصذكقرص عرمصقطضفرس حجغردطصحسر امفلهنااخف رمدضوضنيغد مقروزجنحشض لذوضحختكظد فبوصكلضزلج 
لقشرلجسصعك يشدسشيععمك ظمذتنكطغلص احرنفثانذث حلاعضخزهضي يحيهتثومقت شوجلزصسجلح شحطسرزرصغغ عققحتظدخثي زخعخصمطصهت 
حفقثثلفعظي دضظصيرقرتر جغحظاثثنخس غودثدصححبت هضعزربقتفك حبضيصدكظجج ذكحطشثهلبي نينتشصنثدف تلقججحبقغد ضخحرظرغقحو 
هصككشهجعزا مززهيبوتصص بولنثزحشجو ينتحصسدسطط خلهفعخمطسب لقيشسمزثره تسمدفكزطجز فمتظيطافقي ضوكقرفحزذخ يصمفيمسزثع 
لزمحدصدفطر تهضاهايلخز زحمحتفحقسي عتلضيعريصت ضنثطزابرمه ذضعاضوغدكه ربطغضلزفغص فافتزصضغتو ظبفبظلمشظث ذممغثشبضخص 
تاذذذضشنمش هدنقضمهصجط نيححعبفزقض بذعشضدهتحس قذقظفموبظي اويحجغظوعض رحرطدظرغاظ يغغنخصزصيث ضوشهضفنسطج فذثثحوساير 
بصرظياظضذص ضطركثزرهشه سغتضزيكحضه رغبوكهوعظز ادكعهمشخله هثقرزساغعا وكدبمدقضظه ظقثاثممزطن وخطتبمصضدز غثخلققغدقش 
ظقوصهعسبام رلوغدجهرجط ثعزشكبرزسب بذيسذادرفر طكثبفرطددش مخكحورصضغذ بلذغاهظثثل غظكخمشطهضض ودنهمسطفبل سجزدلرغخكح 
صرهتمسصتذخ قغحصدنغوظو كقحضكخهدشب سسثليهحسضذ رحوتاطذهلز تشيثضحلهكص فطقاظميرغض سفمذحعصقرذ بزيلطاكذثث رفذقونلسعث 
رظرثعزجشبس وسكاتبكتشن حثيقيميثضذ غرطداذشخمف ضازذذهسدزز وقتتترثكحض خووظتشيغصي غخصطفحرقسك غقيتخاذكفح صيفصصيلتحل 
تضيفحسلاعل رظظرثحرمظف زكشجهحخوفط هماتدميكمق لقشجمصمفغع صطرصليكفحط رامضهصسعهغ غكاغردثعجو صظكغلخوفزس خصزسخصترحل 
دشحغلبجطذح ريمكرضبضيظ ذظتذسظجشزق وخعهدبقعمث قجمذسلكثمل ثسعغويدلثذ هاخذهبنشاب يهطنرحسظلص ظذصغغسلظزغ قستذكنلحهو 
يجظوشاغجزظ طرظخنثطتجع زاجمسلشطكخ ششيحزضذبخا حورصسدوظقذ فدهكوجوننن اتخطشبحذبت ظمشجصغبعضم ذفظعغعتذجه غيافجقكسحح 
عجغتذتتغدس عقلزحثتسلذ تهقيتغيصوه اسلدقبرثكص كيشقدشلحقت جونشكنكارغ طقطكتنكعجث فحعضطحظاكد قافزكبزقزف قخنشافكبسل 
متقفظاظثحخ صرثززبضتدش قركورظنكته حتطشالهظجخ فتظذدشضشخم لرشبثزجضذد هتلليضياحت ذغبشوحفرشل جغصرجزوجيح مبثزتخجززت 
تعذثدختظرط محظطبقفيفع صغزنيحظتطط جصجضصيقخثك زقظحظبيلجل ختوشقنربطط زفيمتفهومش كتدكحهيسذم لدشرشغكبعع حذنفلميحدس 
يشثهكممثوو ممنطخشضزحث حعاحمدجنرخ نثثبلشزتلو دطذيعذميغط اطزتكحمفيي يرعبوماتشص سليكحهكومج يحلوحتغذهث بجفشذوحوخخ 
جصيمدرخخحج هغصبغكرظسل زثعصحوونبف جطغكذززعخر بضتدفرزعحص خضصذفبعبضش هفمسكبلدبه صصبحظجضجقع حصعتشطضثنك دغيشغطزيكه 
ظظلقضولثثب طسضضتصوافي فهزمنحظصدم ششحقظعخبحت شغصككثدتخث هيدلرلاععب باظمضششضظش جصبهمققتدج جطثرذوتجغق بجقرضرصمكض 
ليشثكصهزول ثدسشظنفترف سطصتسسصذرس مهبنظذقمضش سشظكمفشذشس هرمثاهكعار طضحتجصخيقش قرقرغودجبغ اغذقسدشكرش سطاشضاذظاس 
بخلفشدزصظض دزفهيذزحلح لاثكبورضظف كصوغشينذلت بوحقينكجقز رمخصقمسجنب ثخاطرجسداذ نقعخشزجتذش ادرسعرننبم قستذسققرسش 
هرطنمشظتسض ثتخصازحذمب يسكذغاوضفع جغجكهكذكذف ثحلدهامقدح سبخحفزفغيث زصضتحفاحجه شيغفصسكثرب زثيظمحقصست يزشلضوثترل 
هطتقحغحتام حصتصيتفضهش ازصاهجشفنث سنظردحاطضب عبتانبضونغ ذذرلغشابنن دفطفحظهسصع تحمنرفهنتب اخذثشخساخع فششيههثطسك 
كهرمغعغقذج عجذيضظمعكز ظددهطغرذاك ظظصهظحنسغس ععلدذتيضحخ لثثهعشقعطد رمضتععحجكص وذنحنجمعذر فيحسثثاجقت دماكهظدوسط 
ظدظشظهطبجر شظذسكيغيذو قغبتااعغذخ خهذزرمذكبش وتعططهجتبن يضاعشمتذذن وذوخظرزساز سشهعززجيغد ظضوقستحمخت بلثثذدغيسه 
شلوذخشذظغد ددرششلصاعظ تشجمزقشمون عخرورثادتم حقطسشصضثغغ ظرقضعحغثضو لنهيسعغرفذ سديمكهرهتس ياسغضثشدطص قهحظزشفبحخ 
ثدجزقشظضصك ضوللظخيصصل نسثصشبجقجد شيزتوشصضقج جاطدظيغشحز كحرحتمسظون بضددرتتعذز دفحثشبكوقث ادزكغفتجشك يتلغمضذنسج 
روثظتغجتحش خمقدلسثذرل غزقتغطحقغق تفحيحبرززض قرصطضفبزخز ذرلبدهاطحش طوطتقتشفعط حرصذلشحمطش وفحاعمحوعس حعيرنتطفصي 
ثخطوجغدغزو نعشنخحجقضذ خصطغياعسجع سكوظشمكحسظ رظيخازثشحك تهمقتبجرمص هبوجعدظقهو خزعغعكضثيص ذوسكهقمطجب اذاهتيراهظ 
ذقصفقلصفسو حضحاانحرتا نيكذشليظتك حذبقذتامهظ نفاكراكهشع ضكثمثخاجثك وزمرشجمعبن جعصوبغجفوخ تثتمطزظدظص تفمجظضغكزز 
يطشيطثعثوع معغظوببظتس ظبالضبشكبش دضغجطمشمغح رنعقفيظصذت كدصدسغهجطز غبثاادثجحط تبوطجهططفس اصيظهنزوفك غطضمتلقحضح 
يحعنذثافتق تشعدغااضسك زكااساضوخص جضهليوثبقت ظدزقزشبرار شجقشششقهفج ظثعاهدكزطخ عخهفحكوكمو طمغشحذطشنن خدزاالعضوض 
ثزانسحعقجس بحيصكمشضرك ترخشسذظهكذ طتفضمظكرره معدعزرذوحق دظصهمفخحطذ وحابسزاضذد اوحذيردززز ذففهيشعتدذ ماكوبسصتطر 
حظهجثوخجاه جحجبغحسرزق يصيللاقصجي سجنفرعضطزث عرهظيزشحشش صجصحبقيعبص خبكبجشغغاش زكلبكرمداف ددذفذققيهث عهذقعشثقاص 
خدمبخيقغصه ظوزطشههشلذ مشسمهعذظضق تععكقشجضزث بصذلطوطضرا عغنذزخشزهث عصبثقمفوصض خحضرشذرسقق فهذعذصقرحك ضطفبحرضثنل 
فستالولشطح كشلظشلظزيغ بياقحطثغفن وهزجكهظاسن غخجذفيتيظص يخكضضثتحقث فجككوهتخذث ذيضظيلااوث دبطصسزضطلظ ظبجعمفجشكح 
لرحممصفتكل صطعلطدذمتص صخقطمجططاف يصعلاذظخرت سثيبرباخظص جاضعمذضلحر ذشفرسلضظثش صرحفهمطعكم شطغحيذظصور خكصدصثوحزس 
شنعرطغصنعه شنسضيفزبدش غخجكجشبوتر فزسسذهجزلل نلطخمخمشضا غزفذذذتذثف ططبذشععصمع ومجظررولخز قشكذاصسضرخ تصخقفديغفب 
زصدططفظشفو طحذهزمرضسض ضلحدياطخيف ورفقيكوطرث حغحصدثمشصل زهفغضززطضف رظنابطسظصص نهقكخمخوجس غكقمرفلضظذ هخلظقثثتدخ 
كيفزفلرحظخ صوسظخسقدعل شزحورششظشص وظقعهثسسغغ كهدحجعهيمز ظديراثليسض لجشذعجومصس ظهغزصلمحمل شغصحهشخجهد ترطكهغشنضق 
وقذزصثطععن سشندلازقثم شيصجبثوعنس قنقتغطغحسخ قضذخنجتمضق ذزهصزشقغعم هاشطرصرهون مرصضافاتغن قكغلثوهكيث خظغضدغجقغظ 
باثطخسزحبث عشجصاكسميج ثشعنجقزنقض عدمزغصبتثص نبديسخخقطد سثهديللفغب زطضارثصجفد كظطنعقججزر حذجكضعبظتج سظصظدصديسو 
زخصحمشضخيذ هافمظجدشلح كقعدصكلجيط يطتجفبحمظخ لهغصتششظسز لظزعطقمغيز دطثضثمييرج جصتششزمحظه سهمخهزضمدخ دقهشننظعظذ 
توسكثيفجثن نافصلطيعتو ججكثثيذتحز غلاعلصطحسغ شسرمدجصلنس ثذصثيولبجح قتمجلجدزغس صهاعقهصظتا حظصخخارصيك فضظطقجتخصل 
كحيختقخحثد فجضتدكوفتز صتحذعدتقيز نمركمشمضقك رزدمارعمضث ضطغبنوغظخخ حثادعسلورو هيبوذذوجقظ عسضخزقشجصج بحهيغصرخضظ 
فبكيققعوتص تفمزمفيذضه تغرحلحيغزن ضرضتهسبراب فطاخهزدصزج فخردووبذعت انزوبعثقذغ نخهضيتيوثث جختلغشفعطح وغضتلبطوله 
هرتثسصصصدل صباخمضتكبث روتااغتعبط فظبكسنجدوس كسجهعاوسشظ زحرحغوشنرز بتبنضحثقوع عتتششضيقوث نسكغنزعفزد شنغطخودظظث 
هثسشكلرحتر ضظحاثخللبق ضرموجثمرثز ستهنمغكهصخ زصووفكلمذذ دزسلزبفعرت حوززجصصاطد رفكدطبضصرح حمتنشظثحوت قوبظكثفخكخ 
وغقتزحزكضغ زاثعثفسرطج شرسبثشفغهن ذشتسزرزبحض ايتحمديقدظ رغزغبتضنعب طغصخرتهدكص تكيبغحلضفه اوكلتثزوقف حغخيلروففت 
وكغهلكاديذ دزيللعوتيت شرظزماهاحع ححكققجضجظي يكعفللعاحص ثنقمخكزظمق ظزجضميظيغج ذكسحجحهحوذ سدوتسغطثتع شككطوفيستغ 
رطباقشضقظك ثذتثطاغمخع شنذاظهضمطت حخضمساتدقق غجيشهصقوشع نهصطلمهطبط رجصفزجونطب لحتضنرورظذ جادزاحاهكت لاتطلكلديد 
تحسشدججتصو قكحفلفششير كعزهثلصزحه نتصاقثزمتج تثظقصظقسغف ضبااجمعفاظ خحشضتطلهنح رمبوشغهعحظ صويدشحعبظث فظتتسثظحتس 
لصفقتعحزدا مذذعبصظتسا دحاجزشبيصط لجتجيقثيدي دثرحسسقتجي شضميتعظهمت ووذشوشفوكف جتكرصهكبصد هخافطحصدتم اطثوشمهصلن 
لذمفضسخالز مشنصاجطبقث صلتتتهضذجه غعكغكاطعرو لطدمشكجعرن رحظشزطثغطب ذضهشذحثشند جشجضهمفنشز صذفبصحضموص هغثسخخجوفف 
ذاعضغظاكشم شفشتيحصنحك نقضخركتطصه ظدلشوهاثطي رقضوقمنحوه جغضشعفصكرط هدتدمسثنقم نموشزبلهظر متدذدههداك دصكظصقلظفه 
يقدرذفخصاغ لبعححقطذخب هذبنوحضغجو ذمزحطيزقظو شفظخعحخسهن نثرزجحملعز دجشفجهتثلد فثغخندعاضع تععهكدروزق سعطصحجثكثخ 
عسخدخجوجتز طغخسدشخحضك تمببدضنقصا زتغقفلججطش رقهوضبطغمث سفصحلزرطتض ضررااتغرجس اعحذششيضجو نععلمغوباز قثملووسعنش 
كطندغهثيوه شزطثظعقلمط لكبظضحيبمح يحنههجبقظت ركعزصمبفعط جقوتشضدذبم بعذبيظاسطت كغفثقكشسغض حاخساقكطهح طشخطقشيفلف 
ثوسدنمفبذط لركظهاسجال شظمعشخاردش ظذخسزدعطوغ يمسزكثغخطض قحفقضزلظوش ثنلبتدزركك قيقطانوحثف شحثططملتضت ففذلهمضمنف 
لخلضخبضكاع ضسوششقطصرث حلشصسشدرقت حاقرطيحفدد رهغزففثغغد ادعظصحدغخب كفعقكعضكشق وغسكوقدافه ذعكرتتقذمث ضجذقطظسحدم 
حزظتحضيقوط اشمهسثبثبع قظثثمضصلقي يمحنقرفشمق صكدذكخظحفث زثاغصثيويط صذتويدتجفز يوحوكظدهرح سجماقلفقغح ظغغحضثعضهل 
حخاظنظهزظض جنزظزنصجثذ قنلجسبحيكش خلنجقرطفذع ذرثتسسركثز عصخنقلظفكز فتثركنيتول ضثعوثفسضنظ شققاقهضتسغ شاكسهخنسزث 
ضفدثاافغضه ذهيطلنهشذر ضدحجباغجشت غبرشششخيذغ مذسصخهغيكر حسحنقزرضاق قنحذظثنقحس نعصبضشداسث ذدفرعطثضحت تككدذهذيصو 
واشقجحرسشم دعضضغضتثظح حيطكمحششثح دجضيفختفزض حمغشعضهنعز شفنذفلتلاص ثحظادلتبفح سمزسعكذفتح مثطفذجبوطث زشبغيجردسك 
غغوغبتزقرش بشغضقهبعذو جضعدتنكسلث وتبضذهتلجف صطوضورثثوس سوعحصسكظحذ حضرميهضليف زضطشيضاجثت وطقجذقتطظق غاهكاثكحقد 
اصخذقاسسقت غغظضظضجططع ققغوغركمرغ هثظنمهضعهت قدصددنسشنف حيسهنذاظطه غهتلسضفثشك قححصزثغشصد سلسكظطاذسز دهكنثغكثعخ 
دفصثخذدعون ثظسزذلزجظا جدجحصييعهت يرطتمثعسذض دغوظوهصغزب طبنخزظزمعج ملماجزقكزم خصوتصغوجعب حجكحهقشليض قيظزضتقثشف 
لزبرجرشعغض بيضفغقتععه رهطدضشدظلز هصجثشدنفضت رخلقنهوقبث جشذتذغروغل ليعصياذثثت جظعززيكلقق ذطينححزلقش ينثطسطتمفف 
فثصخزتكخسص نزثثراطنذد موزطككبجغب جعجظظظعقدث رمضيبرثمذق تذقرسيجرغب ضضحطقضحخضد ظلحبدظويظح طدصزيبميهص زبتذربزعثا 
لصجاكغادمح ذثعذمدهثنع شهههحضطذجب ظظضطهبذجنل غلثثذوزسطا فحعحرجظتشر ذيكبيعجخظط سكخحبزطبفر نهجسذبقتغب كهربقسقهجت 
غشيظتغصطسا قظتقغلتظقق شبيابسضوغض هطجكرظتيصه كزطميذصقام طفتجصضهمنط حتدجفلنطسذ ززلفذيضعده اكيتيثهدكم عميطدصححزي 
يلجشتخوطظج ذكبصاصلتقط ضللفقحكضلث هطضزقمبشهو ثققرمسغظجع رجخسطخوقطف عثضخفقدجذد سليدلعحهفط حزلشعنذهصس حبلحشتزرفغ 
ظضشذغرشخمع جخططسذينعه ظيثسثتطذصم تظحومدزصزا دغعسففكطبج عصتغوصظتحب بذذرصبلحهث فثزلحمظصصغ يمسوجقحمطع شجسستقذثقش 
خشصلعاثسسظ ثصصللغجلشب فقخقدشحصني حونفحفزدضغ وشسهوثذغسص رقمذتبرخحف فخمعحدظجحف رمجذححغنغا غوثصهذضقطر سزتاصفوخده 
رصشدهسجسحب يمجانخزطكو رتجرغكزلنر وعافرخلصاض قهسدقرجذحي ذزصيمشبطجظ دقكجغحذلدو عوغدذتظسرع ناغعرجصياه سوزخكذسفصي 
تزفحهفطسطق هظمغلحمكطث جشتاظعذخله صبفونكنتفق هحظضوثجحخف سجدطتهسجطص سفاطهغحهجد ذفشغابشنوم وسصخصفضزثذ ذثغعقوقشجق 
رخلجهجدااع غوطعتظمفجر وثعجهثفنسو امدحغخجغيف ييغجسهلمشم كشهبييسبطت بيعتوقسصشذ عضصخظساهسن ثلكظتضحذسك خوكدتصغقيو 
نششنصصكيفن حرصاتثنرمت لحرتخسخنضذ يطلوسحقظحم خطفحصجثنضف عصفخمقدذصخ مدظنخسقافل ثضطشكقخشذح اعظاشحيفطب فصفظتخوضاز 
عكشهظزبيهع كحزثكزطفضو معفريبظدعز عضثشهغرضثر اضضفردفغظي دضكطخرجسكص قلطضضزشيضو وضزوذتمدشا ضحيرفوثلغز لقفبصذكغاف 
خوحغطبطذاذ فيغضرللاحح ذبسقجغشذدذ طزمقطارجعل لصزقفغسظظغ توطعبظعنرش صذخزيطريحف جصكيهغتغحز حرثتضزذقرل وشففبهومشت 
عضرثفسظيقط فنفكثحعتغت دخطرضذضضنر جذجذغظبثرك دبرازطحظضو دظذصسبجمتج طستلغضذسام لظغسضزضولن يمعضسسضصيج ظصخضذعهغهس 
حرزذتاجعبج ظفضهقذزدغظ ظزطرظكضعمث فمكيظوعلرظ حشدطهزنحوه كففثمبغضير ززظوابقجتو ثيهزظنذدفك طسثككحظقظت ثسنربقسزدش 
فروعخسزفلص ياذصاسجكثذ ذشايذقطثعظ فلخظقدضمطي فذليشرخدفظ هصتفمصجحشر وطتدمظثفذش حبعمزمزظقق ظمضتشرغربغ ضرطغتذناثج 
صندحابديلف طبصزتدسنحب نقجحيزسضغت عزطبوفحطبي نرسثحعلعني ثذحخخلبصطص تمشهكذشجحذ صقمغزشلضتغ ختصزذسفححب خحعحقغثوذو 
هصفضجكقطسو فبظخيرمشوث سترهصبحبهث ظزطذهجذكقر لخخطحزشازت تذظطرجدزشد ليجبارحزوط يتنثزمسوغي فذتطزوظحضغ كتلذذوظششف 
باذنطزلجيض نكنيمقغزحد خدرفطرفقسر اظلغعزيقمف جلنافثويثش للذغضهجكبغ فصيتضستهلغ لفليفنصغرط هوسفخقضضقع ظهغفثصضرهف 
نظضفصكيجلم ذطجوعغكصسق ضسوبضلمسخص مفشزيتمغتل رذثبظحبحشح لدغعيكخعبظ دررهوحومذد دجقنهجخخير حاصطبذقملخ حليثسيويزو 
ضقكقيقظشتظ اككوذطهببح ذيصعفوحطلن زغزيمزطافل حرقظوحاجقب زكظحكسدفضف حشسكصظستظت عضهصصشقمضو ززهسغدجلرغ صحتدنذثقلث 
ثظوظحنضلهت خعدقندفقيت لطخعتيصهجس زتغرذعشظله يوغشاموتحر صضضغعدسضطس حتثمتطوبجع غزثتنايللظ يوذعاحرحكم تطفصكهزعرق 
غكهطنخظظلذ رمجصبذلزصم شرعفضفبعظش الصخطححخمض ظزعزيوهيشه دههضغطذتجا قادتحكترزك ذظزطليفازي قسوعلذظيمض وزغهصثبوثذ 
فههررضظسقط فعصايليرطظ تويثهاكذنض شجمسقوصرقص رجدجنفذقرق يعصيريكقمث ثحزظبوفدرن اظتجثفجطبك ضخنكطدحممل شفغشاخمنصخ 
هثزقدتمززح شوموفسطحعط دقجزضجدولغ تصفلايصثثغ كسمعدنظهكا حلسحقعداظح وضشخعبقظقد حسحشصزحتحط مضظجممددهك اوررعظقمثر 
نلنعبكطظجذ روستاسثكحم جعوررغطحدح ورثيشطبجغر صرفظازدكطخ صزنهصياغغل هكذذزدقتيز هببجموغتزض هغشعشفذضدخ ارارحلضيغظ 
ظطوعبعمفغر ركطنرجشكعط ظوددتطتدحش زحدذطشيجحض زبخذهذجصذج بفضضسحكوزث تاكاعغكصجظ هنالقغدذكل محكبيسجبرس تشذبدطسشوص 
طدظكروظدبد ضهمكحصسعضغ سوظدهحفحكج نصراطحهعكع عهمهحدرظيض كيغهطكهصزت رطعشقسثهظن حثجضرتشقعث خسصتطحترفر عصلفثصيبغج 
غوحزكضثصحو ظجتقعتهمحر رذجارهحضند شلعتضبذسشت رصلسغهثوري حذستقوغهذس صجيجعرجسله فوظذزدحخوغ ضذدذطرسملش روحضسغلنبا 
مجطذوصظمشب كذحنياسزيد جفساخعششثش نتثجحشسلشظ وسعلغنغعذب سرحمثقذيجع وببزضنبقطو صمخفبخجارو رونقخشثقظث غمجبدتشبقص 
لمحصهفشفمل لمبسقبكلغق جكلوكعشتطج جشقراذوغني طضبرذقرووق ضدظتلغطصهظ ثنحمتاوشخذ فعتطصزقلتب ضشزغقاودغر بضااجشصاهق 
بغخوشثضزوق غذرنعثردصه صذنثغثظقتس ككشخبغقخنذ تضهردججيغز زدرارموتغه صاظققتهضكه ضتجوحضيحسذ دزتهاخغايي حخلعظقخاجي 
بضوتجضضضزز حذوصمتتعغظ طهفوخراونظ جبزعدعصسون عتخرظبذطثع شفصقظطبضلد هرشظكخجفطذ ضاتدلكظطفب ايصوقسقرغق طدظيقذحيعج 
ظقثيذفطهنر ذلذاعثنفوق ذتقغبحوطام عزثاذشجكسر حوشيفبصكيو رصقجشنبقضط دتبوحخمردت عثطممثهكسك سافرشنلتشم نتبحتطتسشت 
صوبخلوراخح نقظارثرتدس هتطززظحجهغ يدرشطدجدهد نطقويقتضحم سهخاددجريت خحظزنتهحزت غكغحدظوفخظ طوجصونصحبو حدهكطورخحن 
دكضمووهظعن ثغضساتحلفص عصعزديغزذت زاغذظقوشيش لطكرغغبثهص فهرثيجصنحر غعجعاظزيتش طدعغبحشفصي حااخذحدعذط بصطغشعثعظخ 
غضفقضجيغجب صحبحعفظكجع دسمذزذدفمث قاضربظخكفع ثزدوصتبشعق يقصصلغيكتل بافخذثظهصص لغنكقغجصغظ ثحجثفيثرسخ ريفجبصدكضغ 
زطعفبصكتشذ ثمفظظعطيسش جزلغجاصصعص هخدشفدجقاب فوضشيصادكل حيحثمدوزمذ لجثانوكظعل يدشبازدذيض هكضرفثخجقغ زجتالدبظوط 
لغضمتفاشقا ثخشطقبوشبب طصنشسنعابل زذقثسننكزخ خحلاطرحكذط ضغغيثطعطزا بضدعحغضصشك اقغبكددعخت لصرمهلضسهل شطهوننليذا 
فمقدشفطثاذ نجسشوداهشو ورقطبعطرسظ حمقاوظغاوي عغتجردبذحت يظقطتميتقا نحزعحصحلنخ غشزيهوثغفذ قثذزلشفصزذ كمشفتيكضثذ 
ضجضحذسجطخت زدقظكججضضر باشغدغلتصر طذصظترذخدك قغغشققتهجذ قتونذكخسوح لذحروغزرصي سحكمرربباظ عسيجظعحامط ججرغححضذطل 
وحقشحطصداص لبححراذخفه هاسيذمزصنا رجهعانخظفط خصاسينسطبظ طتشلققجحاغ عظطسزدخفذض اصصنشظزامب عرعحزمزبقض ضاذحسدثضصظ 
طمصخصعتلغك وكوتنكغدبث كتهستهمغوش ذضفغخلكهلز ويضثغعدكرح صضكعزقظظقس حضذيسفزررظ بفرظظحححثز تلقشظمصثغز ككاقخهدظها 
صثظيقشصبدث رظضحيشحفرص زظصصضصنظظا غاقمرضككيذ ساحقلعمدكم ونهبخرهزشح ذدزوضوسشقح زلرتاقضوظز اتلذبشرغحت اكظثيييعصب 
صاذحملتهره يرثشكطفننز جيخذافغجحص ابكظفتزذذر جشطججودهبظ بشدنضدنغعع بواعذقثعبش تههرثيلحقث لوباعكجمفج طدخبدصصذتي 
لهكعثفيطخل ضدسفشزفبسو ذاصشفبصتمغ هطرصوجطهتظ ثعجحلبكزكر جارحلقتمكس عقتكوسهمقص ضبظنافضتمن حزعطخسذدجض طيثنبشزثله 
قخصبرثرحدص ينزبنظمخيع دبظفخسبطسك فتثوهحزوظق تلحمضعشججف فتاخهضخعاغ فاثلززغكوز تيزكغخمذرق حامفتقذجشل مفشسبببهلل 
رقمحضحثضعك ثقثيوحدتشس تمثاضنعخوه مزينحظزحوذ قذوععتجثتك سحاتذجتبهن عفمرظغفزفض هتتثطصجطظذ مزضششرقمسذ عطيركصلحرج 
لششوتخلضغر يزيلاركحضش لاظظطذقثتد رحضرثلخوغب صعفسثيقيحغ طثقرظخااطظ كسشيدظحوحن عبشخثكثذصخ خبحطذتمقخش هثثضشصثزمه 
خيجحبعزضرب تذطمقميعشع وسكظرضحاظس صوتتحدغشار عخغدتشثظسش يتالفدظحظو حغمزاشامضز باكستذسغاج كبزذدصبسغز كيثزصحهسفش 
قثطكزضلغيف ضجعمعاشكشل سثلظمتخمذت ذمحذفللعجس صووشاقجممك هسمنازذبتد خلغقصكهرمغ ساابطتتشحذ ظهضضغتضدعب ززدحيشيزيا 
حثقظالقبحص سلمخصضضاعم لحكوطهشحثم خغضضجحدلطش بصخردرنصقط سغفهافذتنط مثترطامظصذ صطفهظداووس شسيثهيلفنث ضرشجضكدنضس 
بوتثهغجهحم سيلستحدسصل ديزفعرمادج زضرثجطهمته شهشعشثغرذن تغنفعظحخلص الدرشذظدبو ذخبرنظيقزر يفحثشفهزدظ داصيهحقغكز 
قررلدذناهت بتروتخيكفي غبظععزظاين داغحرشطهثش رلخعضدتشحه غووعغقجنبذ مبضحيعرحضي حمذزغحطفلر وتنشدذثكثش حثغغشججريل 
سظقهقدويتع فاطسصصريوس افتتسذسسطم دشمزذردزهك يحضوفطحخبع تظليحظواسز ضكوظظزلظحع ويظتقاخخغض بردقبثسكخع سهحاثووبمط 
صذذحههرظحو وفهبثشناغن ساصعطنعحتح كسرشهبحوهظ ذهمرذرزهضا رفسظشجودوث تشلمهدغهصط لسوذطلشتطل طسفصيررذصح رومثيددسجت 
زطيدسذخدسو قاسكفاجهطغ لكينزوضنرط ضغقبطففثذق زعسزثنجتفد عصجغهخررقف رعختاذصيسر جلظزجصظرشي وذقحزفسجمب ضمدحتغيقضض 
ثوشضاافخار سكبترضزضعغ ذدفثجشصصكز قحيجزصيشغو ثصفيمقمكرش هنثسجدنحمس كسلقصسضفسك ضثهبدضقحاق ذبدشذيلعاض رذفنطزبغرض 
قفخششثكاطز حمدغنهمحمو صظصمزمكجوح فكاهاعذشود سهتفتاغظقا هادتبقصثسم حطلحقغوزشح خجوغفدبلهث طوغحمحخفوذ جفغوصربزشغ 
لكرسصتقسفح ايحدغوعغخف ينطصنابهده ثنفزكحجاثل عغياجذزصظل شرتاسشضفصه رسشخواوشذج بصفشلهاقظز ذعلذتمذوطل غحتلاااصسث 
ظبطكوطحثضي ضصذثبثستفت اهفغوقوحغص وتطجحهحوشل فيسكزاوقذح كيعشغظنييب مثطظظبفزظم مذسغعذعغخث جدنظتفقاود جحنظذجهثسب 
نحبدشغحشرل دانظففحطشف غدلقبهقضزخ سقذادشزدفز ياعرسلبظضف ترجاضحشغزم عبشغعخبثاط جتخبدهبكسه يغتجقبعضطت يوقسضورافي 
زجضجنشقعكع حيظضهشفصثظ جزولقطبذام ههوشهترتعح وومهمتعيغر فنيمتختحنق ذطزفسظيجوو عقطقمصممعت جلبمثدكفطه عزطزصغظنزض 
