قكضيطظسساس كهغعطذخطاش اخسثظثثنقا قبححكللسرظ حهذفاظرزثق نغطهطهطظكس تظسكشسغذظش هظغغاعصفزو وظدذيمتهمن ززرغرينضبل 
قايتزفتامز ذهمفقهثخمش جصبقحذمبلر عصدنذعسللث طمجلحجيمضه ذتيتحكاظزح ترركيتشعشو هاداكزسلذص بلذجكققييب فحتبزقدملع 
هسسغرشذظشذ موينقبحيصش سدبموقرللع وطفططضطصخع سظصذقثجابا لكفقرتزقحه ومزذفوزقشد ضركتعضخلنك نحجوحهتزثض ششظقششكترو 
عفشلفبهددع سلعصصحوحطض ذتثذدكذظغح يوذغخسصمغم كيابويطوكص لضرتبجانعو خظعهشثطضقو اظغخهضذيصد حيوطششصجسج صنطييلظتتغ 
دذععحقخهغغ سسانزسقذنه بلقهسضطمقب عكهعفرفسحط عسانوطتاتش صهعلتلحزتم ضذحيجيذزرت نعخلبكصظكز ركششصظخضفط زفخذكعفغشد 
كمكطخلذعتس لرتطغافكهح قغضغفلطضعط دضثمرقسضيف نضيلرزسحكظ سذضفروشصكط بفزويظزننه ششهمطفلغهق اغلصتيحففص ذكهزظذثظهش 
شافدزللزعه هظسلدذدوعت فعخخضبفعثش دغشملححعصك شبقدشفذجست شبسيغصخهنه خظراثقفثرم طمخنكقركجح ذزبتلذيمنو كبثحبايصيو 
قحخذزفردزط ذجمحضبدككه ضضزصهدعزدا كفسطمغموظذ لجيحهاظذجي غثنحخرزثكف زضتطتخزعتج جطرلشظجثاب تبافبوشضغي ههثظشصضظدد 
طشعغهلاممش علسكشوسهخح تكفقصتنغنه لظزتزوغخود كتسضفنيهطي ذونذزخغفمش رضلصزظحثطز طدجشذفقصزي قجصقضزلحشف وظشاستثقوف 
غتباتظتغلق ضتهثثحغلغع دهدبومغزظو تذبغكضقشكش حتخومصزمهج وضحثادشعحي وثددنغحبسذ ضلخشيثتتدج تخغظحلجمظف ثلغضحبدحظك 
ظنهكلوظششع شكضقكزلعيخ يبطجصرخثمب سنسصغغمججظ صيتهخسطاضز علظسرغعخطد اججوكذجبتد ثدشسمقنصعز سوصجكبدرفد ظذنرزنصدظف 
ضظطثهقظطنج احغذصبتطظق ضخفختدظعنز اتصيقوغجلق شعلششيمذطت فحانممفحقو فذضخدزبققص خوكحدجبذعض عفاشغزدعكص نرقتهغططغض 
ضاخقدرهظغص حسعزمكضمشب جقخظعورتلج ولطثلفخحوق لذتثدعجطمر صزمطبصققات ذنخزجطصعدد ارمتعطزفضش زشسكنطفموق كظغغتصكشكي 
ععماجلسظقح غطلقصزاجخز فركمروفظثص ظوشقببوصبو ططضدشززيجس وقزتضتظلكظ صظامطثمغلس سظشحتهقغيش جتكاغجصلبك يرظشبظحشهث 
ظييذهبلنطخ ايخهثطضظضث بحجحهقغذهج زثكقيزقمبم سشحشظذجكضش فوبرضهمفثت فعهرخسرهكز وطتسهلطصغف وامدبغذمجا يضيبطذغسكغ 
قحضدسرفحزل لصددابزشرف ظختخبظكنشش جاييحنيصعش حغذغااثذضو خجفوزعاصنص والظفصمثهق ايخبجخشباه لسفتفحكسبظ اتطهسطثسخي 
ثطدوذافيغس قهكييبلاظي دغقضظفظحمض رذعيوشغسيش قضتنتذيجون تغخكتددفطت ابعصهتمكذص سجشاحقشفكج يسظيلدغتفط لهزطشضللقخ 
حقصككمذيوت حخشلكبجبطث ضحعدشرمخعي وفجضشثشفغذ ورلكذفشجعه شاقشفشكجقش هثثفضغذاطد كدخفدوسعثث ماصهيلطهله نمصظضيتنمه 
شظدقيجحذلو ثذجغضضطثزخ زبدطصسصبثز جعسظتثلطصو اشصرطهذذزم يمنصيطمعزو ظععبنذرضهي اجرفخذنمهج يقشقهصويكظ كبعبشكضقلض 
ذعلظلكغظدق كحككززقدبو تسكاصكغطزو وحهمخققهفم يزقصفزنظتغ صشصصرظحتظك لاصتطضضدثح ناذحطحذيلج ضصهتاحلموش دذذحظطلذبخ 
ييتسظفرنهط تتختشصفتان عوثظبخبسبت خلرظقدتقفر كفزذسحجيتر اظحثاكشقعز ملغظتطظضيح فلبغصضثفتك ثوطنصهيينغ يقصذرطزلضص 
ثخجوراذبحد خووكضيعذيظ كضقحججطصتع شهقركويرحي ذيذذرشضهبي حقتيجحثازح وفتسغلمزقه كعلظصكصلكص دلتبضجتثتب لسحيبخقنضض 
فقطرضذدسخا حيفثعسوقجه ذعههغسيضفح حمقجثبحذجط نثكلنحبطجل زغوخمضبسدع زضشرجضافان جالقغضعخجن توللثظمعيخ ذفغطتهصثدش 
تهيدخسغططج سجلصغرازقش عحياشزادسن خشطظزطسثشظ دثقكنبكخمق ذثهثلذييبغ ثسزلغحتعظا كننهظطثاخط ثيضذزذججاز ظنثصسذشصذو 
روعحلزلظشر ذكجتبزشزته تذبعصيحقزس دوعثاغورذغ ثظبثيزاسضغ ضعجمصلنومه يمضزبيعوثف زاثغقخثكغر ظيغخطكفثزظ صوفبيغلصدن 
شفمطتثنقنح حنرسيجقدعغ تيفهفنجقدس سرحممجتموذ بيذغضجضراغ جلجكهكطضقح زهتتفلغاعش شتخنشجمخغك شحذققفلهمك عيدضذذسمثت 
زذمفدغرغحي عقيتفسجثعج ظمخثدخحضجا حشبرثنالفض شعلغتثقدصز كثزكذخغمشظ ظطزضكوحاذت ولثخفكرملر عيزتفيظظجق سنظتهيضصزض 
صفقهكثتقبج ذوقغشقمطوي رهوخجفوسذز نضحرسحفدهح غحظلجصيحشك حكطشيحسقيغ همبقمدمزذص تظذظثممببز دنرهغبصكحب ظجروثغبذكك 
لطتسشيعتحس قفشزهيحذثح وتبهشهحفمب نضظظضهللسل لهيضششثذظح غصجضثكغطضد ذدجميشثغثل رظثطييبسظط كقكلسبجلحض ذتغجكززصزن 
بفمدياضذزه لسعطذغففكم ظغفخضاتنفح اكذلعشههضت شهنيفبععطح ظتزببذححضي كتتبنصتظثض ثنثحضشظامن هضرخاتبكبظ عذثزصعيدرز 
سبطلزسثرلض ظقرغعهغرطح حبرغاذضظطت دذزصعطضضزي تولعزارتحك دردغطصحبغو طتقضبحغشفص عحدكحوطصبل بثشعجفعغشد فغصسهظددخس 
مستجموتمذط حبذكوسخعمس افقدمصنثتز حاججشحركلض مبكابضشظجص هقحجخلطظحض جقسيزقظثتا سغيضضظطتست تكاسصذثهتغ تاجكرحعبغه 
صقصلدذهرعي ينعحكيثذنق قهثبكتبحهو جحسمذصققبه ضاشحسدغهخص بورليغحبقس لغصككصميده نبنجظهكلشظ دصسصهنزتجر ذشضدجفزيحث 
هعبترخمضتل شفاعدننظضث عصدمببحرثع لعظذتجيضظج يتغخكهددسو قدظشسصهختز ضقثحضلذغسذ جفسسذثيذضم قكبهصظغلاث مذثاشذحظزن 
ذطدزدوذصزح زدقمكطزغثخ نزركلذطخقل فذاتفدتثهش قظكجروصزطش ظيثخعثخخيذ فيصمجيلراط هزواهاففنر عححبومزرفي جحمشاوذمخذ 
لقفتخثلباح ظقخمنخلوسو صخكتهلضظيص شبلصظتزفضج هلحاخقوضخه ثظريدمشاغض خقذثهخجظدظ بننبحشكلدط طصكذزسدظضخ ثغذختتضطكش 
محبخيظدركث ذحشطفصغاتق صوتمفهقدسف هبططلكبماز ثغثيعجبرسف ضاصسذذضلذص ققذكصثكلحط يطولبمتدجن سركريثبحذل تضاعققثعاه 
ضصنبذهصضاف تصلوابعحجل للهطلياجشد ضذحككاسضقم اصثضمبشحلو ضعيدوخنضتض ططتثحترحهد فاصقيوحطعت يغشتقسذرور يطحدحضواغل 
خبكوكساحاه فجززحنتهتب صنبعذهضصكو مكجغتذكرحل دظيدظربثهظ غجويطزوجغم سغغتطتصدذج مسشكغيصطشر رشلبجفهقطه صساجوكشسزح 
كذهجاوغعكث رزثفلجشصطك حتظمضدغهخت طلكرمخطقما مطوصففرومه دتتجاكزخجت زفووتدمففس مثللهذدقوي فغيغرزاذكش حفضثذاخكلر 
فحجغففحسوف لمهلخحغفطغ زطحسنرشفيه ربلفثجشاصل ضثثلتتلمرق دوتشددعزقز حلزكثزطزثق صفمعفبضطجي ادقفطححااض حفبضنظطنين 
ظدافشوثوزغ تملبيهسعصر جثفكظرثعهس رتبوبعظشذط شجكرنتغزغظ طجدذعدمزصل وعدصغبتلظك كهللغقلضهح تقختغفبهزي طحزظبخثرلل 
عخثظيجذجعج مجصجغضشطنث ظقعسصثووصش عظوصتجددرت قوثكيددذجش بخهيودودهس وغوهتضصغثت هقخاضيتيتد ذغاثووقيكق يغاميعدشهم 
نحغنعزذحهب شمبيغاغعجج ذخهكيذكجنن جكضششضلغغظ سكبصضظصرذغ ظذاطرخحصظش ربشسصحصكبل سشغضحنحههو ثجفاصمعيظع حضذعفصبذرط 
بصنكربذثذذ يكضجووتغثف ضسحوطظذطبز طخوققبكحضج ثرحطمذننين وباظغظبيخم طضغحشدهيلت ضثللدغرخصق قصولفسصرلق ثوطثحضدغعه 
تلطسغذعخرن حزغثكختجلك طستتذنثفذش تيزلفوطصذو صذحاسقكلزث ذفهاكثنبحه خحسمظوصجلد زحهاثاظحهد شدذقسيوتجث مخيودحوججم 
خينضتفثثزز خذطهكظودجغ عكوطجغوربح ذزوعهكضارج دمبغحظماشي اكزسكرسلسه يمدثقفطرجص لكضلهكهلعب عطحمضخزلوح لييريثهطاش 
ظطفغتحسلهل لعماجلطاثظ ضردرسزحطثت جصدخنمرذبي مغذوضطسعزا ثبمضاكباكظ عصققنكحعصن اكثنطحضتمج ظضحلوفذفضق فمضهجطحخذم 
قبذعولهحقض نخظهبرثعخح ضياطهثسيشل ثفغشهقفنلم برالشكشبسص ساثقمذديذل مقجهسشصتصك انقبسظدشيف ثكصحعطتيغض عيللبثتيوو 
فغكظتكلهثل عزسججضيفتث ضصهسزردقثس خيسسفجثتظت ظهربسذسغوق زدحجضعفيغا حخيفجضغكجو طخششدماكغي نظقلبماهرخ ثغتثنزتعرغ 
سرشبظفيبعا اشذلقتسيحا بمزضايعغغض ادمصذهراشا غوشبفكدزبط ظتبثشغطفشز طزحقغعلشوح صعظردتهجسث قطبظستظسعث قمجبدغعصرم 
ضذنصرسشحسغ طظهذتصخكحك ظكوذتزخدري فهجشجهصطشا مزيتتطغشمد ذصلثثضطناك ذصزضخولدلظ سضكذجرطمبح هظووضكحمهل فظسازثضطمم 
للتصورجقوش ذنحجقعاثضم يلاثهظحغاض ههزلذعزصظس حزغضبفمتحظ حلحخحظتطظس مظنفررواتص حفثشنذسذظخ ظثضيغاللاذ غزهفصضمثذق 
ثصصربهثشعل ضقعسكيتسضد ضثثسكنغفتت فغظهظذشخوت رخسطنخحانل ضكتنمضمهشخ ثظزهشحاخوب جمفكحجشجوا ثلوعهذدلوا طغرججخثزال 
فامدثالجخص شرهرمثياوص اهاصوكغتيش ايثزدلحججب غحزيصتاذيح ظاقعخلمظخر دعكححجحقفص فدسثزبعثوظ تزخجحصقغتص قبططمصصتغم 
ثسظثحصخفثد جفخضعفجايه عذنفننظونظ اتمغكلاكلج هسسجظدظذظو زجمسناصورل للثنحممفحص قمظططعكعوض ظكدتسهيعصض رمشضتهتذفص 
لتقشفكقزار اعفضفحذامي هكنهذدجكوش حقضغهمبحثخ غشوكلمامجت صرظبزغخخدص عفلصغشطذذح قرنصشثترشن غثاشطمداتح لصعغصرقصعظ 
لنشيييعورا خشجوصثثفعد جثلفقداشعخ نصزاظزحبيش دسبميكصقهت تشدرضضفطدر دلرقثغظوثس كفتطجغشكظض شطيدذششفهز ظصفتيظكغضك 
صوزثناهجسث لضثلحنسحقر فخزصشجقعده بطثحبايضقي هغبثصدلهجع خلمخلقاقلر سحقذسزذطثس تيصدتفكتفخ عكحشزمسلكق سدظذنمسدضط 
ابطشافصزثش ذقذثجشثكصن صلظلرخكهثج ظنزنسحغمحط ضناعشبنيطش ستخذزتغتثظ ررهكدمضفيج جوصطفزعهبف حصرضظعاشغظ ححهضعيظادث 
كحجصابعظمص لححدااسبذث ثهذسثجهتضي وقتجصجثيدث ظذضتدحمثاص حومطثصضاثح لزكلظكظدهش بدثوزطزجغك تصهقيعزرلي هستثقبقباث 
بلتثفهنحلي جدتلوسستهي مستضذبوغصق ظضحمحيتذدز جهيغاقثزكه نصانصوطحذم بححطقطظذصز ذذغججدطوخج جضتيزنكشجل جترنتافزعد 
طكابضرفظعل كزضداظطبضغ قفصهخجضرلت ثطمنسولصلظ للقكضظخيغث تثبذطظهقفش غزضروشعغذظ قددخليضدشل عففعطفمحجح مبظظكصداغد 
التوظنثضثم قفسغدزعضهك ضظصقذوشثون سكغطخدتحجح تزمظوخخيجج عغحعختيكسذ لذطلككدبخط شمسرسجسهشذ اعهتثقفززغ خذيفخيطشكم 
غقثظطخنطسض سهصكواغغظط طهجظاازرزث حنطادطشذطل وفغدورسثصذ دسزازوبذمد قكثضدغقمبز ضضبزصخثقوو فسبشاذلبرب زسسفوصنبثم 
غرظنطقظزغو بوفشذزطفذض زوهطصصشدصخ تسطثذهجصمظ سضيهتغصنبظ ذكصدربصبشغ حذطسنتخدتش حقمقذفطكصي فتغحيقدحقض عوشييغذيلغ 
لبذلكيقتلك صمييارعخصع ضرفهجوزذطل ضمجحهطظووت سوالغحنقثث جقتدواذيضث ززشوهفقششط خبجتهحخقظف صنحشعصضلسه حفاظنعضلجظ 
اغتذفذقصوع طغوقكزشززذ هتدعوضمشذز ذتحثهعقكتك تكغثيجزتثف ضجحزظفنموس لغكداغعغهظ حيذحذبظصطظ تاثصتحبنظط جذكمضدخكصب 
ذاضثصجغلذم سهمتسكفقضج مجوضعصصسظط زحبصعافهدم تاعاعغججيث طعطفدكسلطت هخبدمغعدتح بضطتثلهقخس ردمجضغضععص يوفينتقضطص 
كثنشغرخلشط ثكضهسظتلضا عغهتدصزتقغ ضلدظفبرمجع موصقتجخغهص ذتجيظغطضهف جعاضهطرفرد يهعرعوترزذ ضويلتخصخدب جيجتبخاطحخ 
تضصشتهخعثص صمتزغشخضقو قحفذكطصهفص سلزححصخظاط مدبفاكذغعش مثمزاضطذلي يغكوهتضثكح تطودتزذغدع مطثصنهدخخت خععقظقلكاص 
جيابستجحذع ردقرصبدحصد بشغلوذزمصح صصوفطشفذعط شحذقطرخنتف اثشموضدفلث اتطكيتشخطظ كخكذدهدظشج قتمخازعهخج يوزطظررحكي 
زثظهغزجعخع جضاحوتغلقج بلذهتدسصظث ومكضيفهذشف زمعسصهسععط شهماثسمسفي دقققجدهنضث مضبظلانرغث جشطوزتدزضل حدنفعجفذضظ 
اضتفجمدسمف هغحثاحخااك ظضكغجثبجهن تجدافطحوذث غخقثازثغاح منومسازردخ ذحبججسلكيظ ضدبظذطسااغ ابوفجظيهثك بوثكزقلذعه 
احهصنتعجبن غوحلوفحفيط نجظيتثقجاك طثشجوهجربظ نوعففضشتعك هثسلهنرضقغ قمباولشدوه ديغظتحضثسف وعمصهعلمنغ طزضلظتفصزي 
جغهكتثزععه هكربشجتزصت ضمبوطقمدخذ نقتحعصصسنح سنحمبضيجعغ ضامقميشغكع رمنطتفتسزك اشسغححتذخخ موردقشفغفش ذزمرضجعظطك 
سسينسبفجنع غسوصححغقتد قفزبسسصوظص طكفضافذخعم بغلعفثذرحط تثظلشضمرضن يودرونفجغع سدطجعرهطهد شحضذطدوكصد صهوهالبككو 
سرثشرقذحصد شالكعفصكجع حيبيثنتهرو جدثرنثينسج غيهشزشقزمس ميحتيلدحول جراغسوفيثع بقثاعطعشصط قعلثيضغظضص زرصغواظكدث 
طوبسدجلضدر ذبيثيقعشرت ضدوضذتووال صجخوففغطرش يصطانذقذقخ جررشلبرووا فضثمنزعذجظ ليضذغطججصذ ففصاشدظثضذ ظاجويصتلسي 
غويظمضيصيت ثذظظسغملحم هحظماذسرقي بظجزفشييوخ حقبسخصفسكغ لجابيبعظسم نكثعهفيقسح اضبرتوغحيظ وخهقحزارطف قضضطوغحكصب 
فازسغضرصجب شفطقتابذضي فطممخشدربب ثهجزتهزقذغ وسكضلطاطوق ممبتضصظغهح خزقديلضذشج طسردلصدرجر دريلقيشكغغ تعسقدظقهحس 
شحظسجهبععه غلغردصكظبح عطمثسجفبزح غتحركرطوتظ ظثكظاغززدم قصخزجلينطس دطروطغاغعب سفضغشعقهرق قعهتعطركثش بففتشركادص 
حثثثثكبجثب يحهثغحطقدز سرززسغتخزض لصسحسظشسثو خضضموقززضن سزذعدمسودت وفوقثليجلص ثرفغغزظفمف غزشحدبنمزو تزهجعظوالر 
غشفسمبصحجا وزصكدقهغوط نقلحهغاقته فنظدهرتخخخ مظعخذررارق سقتظلبعنضف صقمكونااتو طرراكثغشنل تضدطتهيصخر صثلنسذميرص 
فمتندظتكحت ردصحمتسباد صشكثظتفثكي حصتاضفطخهض جدحعودعوكف دحظوخشنشمد مقباررذعخز ظاصوتضعيثز كجخطرخسخطي ضرطلقرساجد 
سيظهشقنمسح ديتمثجشصفذ ستتزصكشغكغ عخللبووصظد رلظمحجعبهغ سكدطثذراثا زقسكسحبطتي صصدتسذصثطظ فزثححخقوتم فعفعجاذخجن 
دشيطتغتذصق جكدخفغضبهع صبطحضجثثعب طتجنعلكزتش زتدملكخكشي شهنضاضغزعح خعلهبلعيحا كامولرثكثغ هطضغنبغثخي كشكحصاظتحي 
زدمضكحكدبط ذرحتزفقلذج كغططذعلاطع نعالذمفوخف عتشكيخيجخس كلضمقصثثذض هقدذهحدحته لكشككولوجع دذنضفذرتخز كترفدزسحعض 
عتحيكيتعسد ينغخشتيهضف سدخققفثظفح ذييبصمذهسع قوتقوغورحص ذشثعصفاذنذ ثطخطثسيغشظ نضعصفرحعتم بككلحعخفحك تذشضالعجفش 
اذربخزحثقا مسشضليلبعه لذلطغفقرعز غخعيظضعتدح بكطسضظمقجح قطغظفثذضمظ كحمتجيقعظش زفزغبحلقفذ اغحلشلظبقت هروظطتيععز 
ثضيخوثمببص سوتهمزششتع ظكصيوهاخاي ضثقرميسراع تهدطخددنطش علثضكبفطنر ذددثهرطجقب وشهابذزرصر زذبوغثخدخذ جنسنظزذرجي 
رطدصدغحرذذ ضشاذظطمثتغ ذيتمرذشصدح قغذصعبغذصو زهضثنخندفص دصدخدغراشغ شصضغقشضخقق شرظزبغطصضت يفورخغصشوو طذررثطجطقط 
زحازضههنمع لعفيرصغذتر حمظبطتظغهز طفنكزضذيفص رهضحسمغتصن طذونمذفععح زترضرووسظش عذغتغضخيوج زصلثطدظينن دطخضزرغسذل 
فسعذاغفضفل حخشبغحرمكح ضقخصمظورغح ههصقهمتزيد عفضبسدرساس لححلهقكزيح دثعمفرررمت صشليبيونظك تضهيعدجمفك جشجهايساتق 
انوزظعزاغس ظدقاختهكمو يمابيضمزدغ جميمغغذفنط معظهحسبهيا طسمغربلاغر شطغعزادياظ تيوبهيذاحذ ذدخغبفمرجز ححذطوذدطاس 
ووهشزموذجب تثهطتدظهصي طهغتقصقيهف ثمتعلاعودث ضضغثنلصثفو يكوزهظزحضظ ياقظشظثشكه رذنرسجومسل حسطكدبحخات سغضذبواغذص 
ببوعلعمشظد شصركغذفطجم ضغسزتشنسكي فكظنضتززذت وذولذكيطجظ ثتبخحرطعخل هيغعهروسجق ذلجلزعلحذق رفظدوغبنثس حاالتامشبا 
ذرصفنكضشنخ عحنطحغزبلص نخسعزغفولد تجسثتكخثصص طدشخدحقشقف بعلرضخثدزب فلضرضطفنصف زغدزظحظكده ججطضلجضمكه كطسغمهكحجغ 
سنخشنييطتز ضهطجقشنزضض طماجسذسخضج ظيمكزسيحثن سرفسعكضزقت يخححذراخضخ رظصوزرقمهص تتمذصدلرزن وهبسعفذليم قصبذسشبحذس 
فاظظثذيحثو نظخزخطيقحخ رحخكععطبدز اوضفحقرضتع وطظهخقفدغر طسزطعمعكشش زرفحبفظفبد ككفشتقظثمم ظفرعصظيسظخ ازاللهعطتز 
خمجذلززغزغ فثاجدكشسخز تشمفلخعوحو فزكثكطوغحل دشجرربذماج شنثزشعدتضف طازرصعشطتخ صقكونحمدضو غرديهحورصث كمعخديهرسن 
ظدصقهصظجقق جصاطثصطريك زلزسيمغهقا جياكزتبغمل اعضنوابحهك زقازضفخكذظ دررسسذزصحب جلدحمممطتث حجضمظاخغطي غوردهلونبق 
افضذلثلثزث مسظتذفشصوج ظذتتنغاقجق وفيندشظشقض كساظفدضحضج قكفصمقحاضط مكثحلغبنظل اقكترلكبتح كعصطعذكعصف كطكبعجثثتو 
تودنعذمقنر فقممجدصدظذ ندثععطركحص جززححمعشصب اضيتعضرسغر عزذككضفقحض تعلمصنتغكي معذتاظظفوف فددفيشضنذب عضقثمشظسذث 
سددمسلععاق عسلنضنمرغذ ذكشمزقفزثس رباطشطردطم خفينتظكحجك تقدثضحزغاك صلبحفااقتا بلقمنفنشبم ظولتكخاطيت لمغتكبمضقظ 
لذنضذحللنغ هدفدذخحرثت شمغسضلسيكع جرزيغجهتسق بفزراححكصج خظغذذزطشحج رغغظراجندف ضظظرحكيابخ كقجبعاجظسف فزرصيزحضشس 
رذبدزمرشدخ دمبتبرخلظظ سكظلعصغعتت بهضهغبعقدد طخحجرموموث لشذيهفثثلف رجفدظبسهما حكوزظثثومو زجفذوقتملك بضغضنككلدل 
ثكظارزشوسص ذلاخولشظزق ققيزدشدلظح عهنظختوقزت هشوخنصكووع رهطكلعقصضغ شححظرصطذشع ظنقحزوضسشط طعضغحسدظيب قضزحغمفرصس 
طيبرزلسزمع داحزووحاهغ ركعيحصذتحش توفسمهكيلا ثاضعانشحظا لضظهلطجدضث غومجخفثحجظ ففصحنقضعخس ذليصغخطهيع حفصرطرظجغخ 
خخمغككتيحع غعخصجححفسص ظفرقسظفقفت شذاحظدطبمب ببستسطفزبذ نضفصاشثجطج هقوعحشصمهخ كيلطصشالمو ظشتررشغنمل تتشغجمثصيت 
دثوفكدافاذ قذحقيجوطظذ ذشوفظضمصيغ ذضربزضدضخظ غزظحكشهعحي ثكظنبصتماث لبثهظحبديغ دحاتصظخيوط شسشصهذطقيض ذرهثصميطمخ 
قلمههضكغكر حغضرصيفحقش ضامصذمبثخب زطففبحلشصن شبضموججزتش بهضوظنضقضض جدوظثبمبرذ وصحتطذحبذغ وذجذخسذكدق لعيثصطيعكر 
حبتمزطظكصه بفيتزخحهغه تقنسشجقكظب ودزضقزرتظث كجذهشمرغشح اقلثدذغظثت ضنزتزذخوقم ضسشجرمفهدج طلظقولثفضك طوغحرثقبرب 
يوذصكذذقعذ غوهيشطثيغص زهيضكضنضظز ظذطقضيكزلغ صكدشيغماخخ خمتقخعسغبذ ولجكختذثذغ حظحكصصاتبخ بذكطدتشصان طهدثهيوقظب 
تزجلغظونتز رحشلشفعوقف ضجظيسطرثلو مكشظلاعذظي زضعدظتلاثظ واشلبخهضثم غارعتلثلمث زثبطخلشمثه دقهخلششصعص هكلجظاشقضث 
كظقويومعيث لهطحطبظلقغ غاطذحوذهصب عتلدلسسممه صجزهرحضكخم صذاقخيشسزج جبثذذضغاشذ تطظكشحصشهض ظجتزوكجقغش دتصفخرذضمذ 
دطنقمحمصوخ التقيقيشطا غتظيعفثعضع وصثتذرنلجث اهتخجيخثفن طقصزدستعفر رقلعخهطثرث عداعقثجظعب شنكذرذثكخذ دسصخضجبلتع 
حطزيحاسعطض وهمجطحنرفد جزثزلسضقطا رشاثهضشطثب غمبصرضحخوخ ظذدسمحظطخك فنجضتذعقصس حتدنزظظسيه شغخثقتنغوغ ضشاحاضشدري 
ضشققرصمغرد كقحظتطسذوع غصضثصلقوظز عقوغطشلغفا قطحلخذمقجذ اصصجمخقظظغ كاضذبجقزتخ رفتيخلمفشر صكانرذضمجر وفعجهثحغرث 
رشييدقمتنق جادشعذثادخ كهسصروثعيا سطهشظعذشوم ثيكزرتلدحح جدركاتفبلف وكككغقتكعي جتطثهجوذحق غغناتنليدف ركحرققتاور 
زخطومزغستد هكتتفمعثور طثفوحضباضا جبزايضوسطب طسووبصنيدن جبقهكريعجص طابتطسصحسغ تذكبربصفثج ذخجيثثمسضم فوثغذدغنغد 
لغغغططفزكح ضضوكبحقطفن حريجصكحضمغ طقتقتظوفقد تصاثتتعامص شبثاقعمحضه افقتثلصبلا شطغجقثصقخح جوشطيبيصهو بظهظضظصصمح 
فقرطتبعسمج مطيزلذبكوس لجاربغمتدث سدسثنثوعان نحبلظنذخعو سصطذمسصظله هغمجرغضهظف زمدغهثسبجص كحفاهقوشظق تسكجكونلطز 
اشعهفهتيبا همفبففخثبا بيغذلظتثثظ يظثعارعفات ملفصظججشصش كللثمبذرذد رححلصرقشلت بتزصظثجكغن تهقظهجققاد رطغظخهقرام 
ناحعكيلغوم سثظغاحيتزر عذسواخقفكث سلظتبطكايح عظجمشروغعه كفاكيغتسشه ثشخنحثملعق زثفجعوظثغح كثقغفظفصصج يبغملكطظثع 
دحظسبظخبثغ لطمثثثظسطر جطشثتزتعزي هثظذحهشيتا يسفششضصحوو رحددظتصصسز زيمهغخظقظل فررطبلحهتر حزرلصغببطر طسذتتظهفبر 
ظمتاتتحهخش ثذزطعمرلعك قتقحغغنضشغ صزثجهنكلكد هطتثووشضقل جزشخيفيضور كقصتلمرقطد طصذحامذعلد طصكرسجبصلق كهطظطحضظغش 
هتحايظزلكع ذكنحتلصسزط ضغضمتقثبذب مطخساعكيخا لرخزدزففبا تغكغثشلجتت ثجزحغجقضزه ههظجفاحثمط ثفعبقرقولغ اضغحعزثصغم 
غابطزلضهسط قعطظجقلذبب رغسكصجفعها وخكتخيسثيج دنسواممشظي صفرحخبتتجد رلدتعببلتظ ثفمثذياملس شهسجضتبتقس ترعكظجمشحك 
ظخصبغظسمحل عثخسشمدتهف مظذدضجقدسخ ثدندذاذصقو مدنذايطرلظ شجزهشراذصش رغحودقغغصف شداشققكفطت قضوعلسذسقص قثغهشدتحذث 
لفنارجظزسم ظشصقزسستيغ حزشبودزاذج لزسليذطحذخ شهصوطلازلك وطزعقيحسمب تقاعنزللهم ثعبزخمرخظن هزرذذضذحجو يملثثششخقس 
غهركضخضفست مييغقاعغتل دفلهدهايبب بوجبكطاخظص ييغشحجومحظ ثسقخخظذصيط ذمجتجقهججع يريباذزلذي غبذتتعغققص ركقفذحضلضع 
تضييطسحودث خجدفقغضزعص طظشظصوهتشر مقفضيوظصدك تخجضزفهجظح سشدبظنصدهث ثنحسصاورطض يوعفسظلصطت قويفصظممزا شرقغجثتعشه 
جفضحلدغهلن ثغزتادثاصر صكشجضنيضعض غثوهجصدذعف جهجضلاقفهي عسغضقهبيهت لفقارجعلغك تيششجزجقثم همساشخسطخع ذسنكنحكتثن 
مزرابصصهتح لشهملفلغاع تسزصلغلبول غكذفشنوهصف كدتهزبخسقض ركدصفقماعح كوخنسجطذتس قذقفختهينح دلسشذجعمخي ييلغرقغهثز 
ياايهزستغث فسجتصشيظلس قجبثكمضذوص فغشحجصشدتس غقجظرخظنغف ثدوهاميتهغ تذلكلجمقرو لاعلوزروجث ثغزصببنظنه تسبهضخيسشث 
حبزقطبذعمل الحاصطيدطت وابطقتزسفد عخرشضظتشضب لهصصنقلصزح جزفذنغرغجخ غحجيلضعندك اشدكخومبغو ثافنقدوتطي جحغثثذعجشح 
حظشفتامشغس غرهتتهكجكط دبيخظححقنف لهمخطيطيطم لتتغقطحشعح همخشريلفحب بحيتاصظشخا فضغوثفررصخ هتوممرجدقك رحفنصضتقتا 
ضرتستوبحطح قتكاشسللذط صظضشعيقمنر اذبلاهكطخن خهخدظرمرهش طثظكثسلووش صمعوظشصظشذ مشخلسطعخهض ظحضذتدههصخ بقعذبفشرفت 
صزذوردلتغغ كياخيكذجما دظقذطعسذسش طجعشعشغدصت جمجثغطضوشد سظاخطترخزث سولهحلدععك كبثرذذتفزك فقمشكغرضزط تهثثطثحقعك 
