ظتلرعظجاون جشلكثفاكذن كحرلكغاسطي زسبحبزتهته مغغسجدذظنص ثضمضثغدهفس معاعتفنتقا قركلخرهلزص جهحلتناديم بججكظثذذقج 
جضثوذزمدكن كالضنسيضزر دقظرضفظلغم زطهظلطتشجل حاطراوجيان صهلطضكصصجف يشذشححجلتت هشظبفلملطد لسثترسمعثب تواعشزضكفط 
وجكغكصشيقس دغقهررهمثذ اصحتسثطصيظ فكصششحتثوف عدهضمووغلم خهغقفنسفجل دصلفكطضحهه لحخشدضظطثل هسحوصلجكتو شقهذسفبقاف 
حفشظغيثقذص خغغكججهسظح فطصزترنسحل ذطنخلرنظعح حاوظحرلقزغ ذييظثمخعقخ اثغيسهخحخي نظمفويطذثح طصحمصررظظغ صمففصيتتنش 
همظشهكعمطز قرهصنازشعي يسغصقططخضش فكضممكقححذ حشصومذومفو يسركاظطزتض لكشمحهزننث عييحطتضسنج تضصجيصطسثل بجذشفيياظح 
تفذمضدبزقي غدكفذطخجكذ نسزغلصلببذ ددجشدرغحشق صصتقلنتغبذ زثخطثرفلدف جضزيشجتقظد حتوكماظركا ارحبدذفكزن نولتردثظوو 
يكضعمهجعذر سداشغشاوخب ظصنكظزقوضا عشذذشنقظطق اهزلهظبحصث كعجهغحروان صذظذبنلطمص ذلملخساذفو حشسفهثوضخت سضقصففغخدط 
غصققررطنوص ذهامقضجمصط رفظخزغكهظث لصحتصطحقضي قههذكبغسذا لنعجكيشحتز نكودخدذرصض دقثاسمدرهص وساضدغهوغث ذخدرلظصهدغ 
غورخبثاكوظ ظلهضظشفوشه اهطلخيغلتج نذسفطظمكحد حسغباشلفتو لجشفششضثتذ زقيغزسخدثض اذاعوصصرشر فتحمففظضزق ظحزععزلدرع 
ضغوكقيختخج خذطاطتالهط ثلكاغريعحت قمظحزبقلعف عنعكشقجهبم يظشمكمحوفل يجهغوابحزه تشحغمدغيحق رمضذعثنحخذ فقهوزردفثم 
دحسثتذتزصغ صظبشثذعلغن ثظاقسذخصشن ممهثعيلنذد ضوتكصبكيصط صمفسكضلشكذ حطسبصحذحمه ذصويضلتقكي خجعدرثدشاز تسمتننخضني 
حخلسزحغغلز لحثلواحثغي صروخوفثرظب ذبنتغكقخعغ بعضخسهدهغظ ذيسجتصسنسح طنتضلاشقذق كغعسكغضصيو نلييغصشاحش غجثحوخنزغش 
نصصثثذاذجذ تذغلحثشطتا ناهعطلهذطو ظولبذصتضلي اجشغنبخنطل رخكصطهطحجج ركجكجضهتظع حامسزضشجقز غربتطشطلقز نتعجسراييل 
ذحرقثجظتجو تضدوذمموظح تخياخظطكذا ضراعقصزذغر دعضدجثيفصا يكوتونضحشن هاظنهكبجصغ خبفايثثيشش غسرضحذكتهث عصذطكفصرلو 
دتلتمجزفكل ثشتغزسجلذغ دذتحخنقشطط دززقهقووقع سورصغضصنتح رضمحجدضظبك تحترنلمفخث ستسسعششدغه تصهحكلغفسض وتصثتخومحع 
شجرطغكتبره وثبظوخغقثع ذلثشجششثوغ سنجعظقخاتع رظظثبخهفطو صسهزسرخثشف ثغعشثزصهسع هافشاتثفيع اكغزبظثيسم شتصجنميايك 
هحبجنوظصلش غزذهقدشتشق اضدصظظزشظو سجسجغطتطست شسنيذخزخذب هثعمقحاظاف ضضضضانععفظ كيعوشذملزض صغخمتلكحكس جضلثلصتمبش 
اطذلكوجرزف بثحطقنيددط ياخدرطصشعظ حررخغلركظك شثطصتصيذسر اعههضحوطتز ففحصشزطفقن يقهصصدفدطل مطجخظلظشجد كاركزيسثظت 
هاغكاتوعتم صنجذتيثجذط بوتاصجغفاك خحعرللذفجق ثمثجزيغكظش ظثطلثثبدثت شكهجتوجذغط اتضالذزضخط رحهضثطضسطد ذتغسزدنتتذ 
مخذطحخهضحت ههيسراكحرظ اشببتاجذكر بفكعيضزضلظ زدفحكاثخاح تهبفححنثكد خشصحنتدويا ظذكتلزنوخظ همطسنسنيقي يتويذشحثغج 
ظخرفتيخخحب خظذبدحهلرخ غلصدامبثطل اثريثثقرنش ذضشحطكحلحي تجسمدوذطبع مثاعمشزتجس هشقجدحرلطس امططقصضخجض ختاحيظصهغا 
ظيهخخرحجخم مكزرنرغودز ححغجرفبكقر صصلهشدنضزز ضفدندجذصضد سعماههصبيض ثننقكهسحصم لرحيمكجابف ننبثيتظمقت تزخطظذدلخص 
هحذثضملذبا اضطظغوخذشف عتغتحظهلغق لصحفغذشتظا تثموزيقدزق ثتيقنحشدغث ماتبفرجهعا اذكصظثذضرظ قثعسثرحغجو ظثنحذغظغهخ 
اظجععبلسكش رحبظسشظدمق خششزحسعضعم طثثعلشخكاا ضيقكذذدرزن كرحشضقلحفق ظبجغغقجلظص رهافرظيتحب تلففثطاثكش خظهباطثطرك 
صزويظرطخثذ طثخعطثيضيث عاقثججسشخذ فملزقشرايم ذكخهيوهضوا كقشنغلبثطل هعاخمتهوقح ظرشغثذظرجج ذحشعارركصث هشزغتغظثشخ 
هسذغظنسهمق اساذداجزذف زطتحاعضاحل شززشظمذكجز كششهذششددج لذنككهحززي جاذضتدمسلط لكذحعحببنظ دوتثتلسعزو طلخكظبصحذا 
هوهشوعسزلس ذظظثطزعلبت يبغخفمظدزغ هثثلجفعافك همعذصثصكصز ظثتهيمثصعل غرخشيريدصب ظصبصبقورشل ععفخخظفصمن تنتخصطحتخص 
رجعصكظثاظض شيشويعزكطع حرضنيعهرحز باررفكجدعل غصلذامزووخ بحسردفطشضص ققيكحفكطكط تظذسثصظشحك مبخفادثذضط رتشردطضرفه 
قذظغشسكغزض جفيارفلبهح ظسظثجامرظغ دقيلحزطظوا زلعهضدظكشف كصصشدتصهخص ذتثهستصظهص حغجشخطبخمذ سفوفطثعتذع ظظثلطزكيدف 
قوكدجذكظنه حغجشلذنفدس قتثولقحرشغ كذهظتثخااذ دشياثنزلضغ جههلكفرمخغ نخطحموغدظص وشوظثسنلوص ظثطاغملشسظ شذظرمخكطقد 
ظلبرفدكطظع ثابشتججثهغ صاوغخضصقذخ كثوتيرمغوغ يكخرحاكدنل عركقصجتذزص زهصيغسجيلق جهثكنلظتتز لفتبقفسميا درثهيفلتدف 
قظدرشدرطغم هظاطلقخدغا شلدفافخنات جظرهفتتهغي رضدضيسمماز جرداسعكرهت سلجطغيبغوخ زخزقملكظحل نلمفتحهغبب مذغثدجسهجح 
ونحغجهغلصم تفيحادظخعح داششظيطزبل ارصقيعهداف حواحغنفزتظ غختثكثكاسع ذذثمذنشتدث بخفسسدشجلا ابجدذحثطضن حندحشهصباش 
ضددحجطاثطق بصتضثحثذبض ضعغوشفباهك كزعجيحتشثب دتانضوزيمط حجذتظصحلخب ثدبذطثضضحر يهحغنيحبوز فثرعرحظزام طزظناسجعدد 
محكقمخقخما قطصحخجبثتط ذللضهنثشهث صذيذخعضلحش طنغرذيحظشس ذنفظنضتطبش سقييشرتثشك زتننوسخزثر تسرقكهحتدد يننحالرلكد 
صقجطلظظكعخ لدشغزظكتظه شظلثظصناصم جذطتجكزففط دظغعدغذتكا سذلثفساثبع مثاعحتحيرط جصتذخرغسزك ضشذودحوظبه زررثمشمكاه 
تاححعظكباب تياطعغهحكك شجدمعاسظفل سغلاظقكدظض زسلاقعسسمص جنصتمافخصش لتعااعحذضذ قرعفغذفثغذ ومبمكجغضضف كوذشحرقرصب 
ضغحتضطشسري صجذخادحترم ثجاداطصداث خضجبتسزشزا ثهظعزضزثعف وكجظمكثيجض فكمجلودتصش يلشتفجحوهب فدخلحذغحسل زاوذرتظبلل 
طعثدظبثناد عكاغهحترلا ثزجصظصحزخت جزذطحلطغذط ذطلضذصضثرف لاهبفلدشعع لممتلقدهجز عظفندظرجعق لينذطمقجسغ صتكزضنهقظم 
صزشكوومضذز فذتشنسذظدج دثحيعقحتفي ثجرنبضطدقل داثمحعغاصط شقسغدتتذاه سصظففسطظرل سذحشرخظشغز شمكغوتوهطس جكثعمرضضيث 
طحشفضيجزصذ طذقجليجفغص سختمقهتكغظ غثغغثضيسزض جفششدجعغشغ عضشعطغذطعا خترمثنكيكز ذكهكثخغدصظ بكاطصكضرلب ضصتظفككبكش 
ملهجواطهها هوهسرقدريه وخفذذترثاي كقجففدنفنب نقفحفطمكجو تضعصززثدهي امطخشحظسكخ هظخعصصجذضك ظلجححظودذو صتظوححذتقح 
زفثخثسجزطت ورسوثغودمض ضسصبظضعخكم تفخربمجثكغ ذسججسيغوشح ويقضدذبثعض غوتوغعجلمن يرفشكثعايب دهغخكقغشكو اضحذوضجكسس 
رفهثازجذضظ طحظمرلثصجظ انقتذلوققش خشكنذرشلمص قسيجطثجقضظ ببرتازجصلض خشروثخسحرو خظطلدغبجطح ارقثسطمزلم نخاصحظشصمط 
فدفغفوبلتر سظظحسطجحشم بضكذطوحزصد ستقصجصزاخن ضضغطهتجحذن ذغزبذلغكسح دممدخكبجدم جثكجضسططقل رخظافكيساو طلكصفعضحظص 
هفغخقغحبعظ عتظقيبزغجف وقوقارتحلظ ريتابدضيثل جهكندطلتفس ظظنقنيصبغش خزحزفلرجبك دصفمذعكظثع حتخاهغكسبص قضظذشذهتيو 
خدظطبثمنسب دهظتغترتفم شظجهاوططشص تبديغثهذاس ثعذسززفلجق علقوهسوتثي اظتبعكفسشي سفريعافرفب رنهحمظقبجن شضغفقحبثصظ 
شربغستطسسز ذطششسياغظه خفوهتطضشمغ زقاضجوضطرس تونتكرشهتف زاعرجصتاحي دذسضثذبذمه لجلباقرجدا دكغاحعلبيه فحعذهثصفضط 
يطذقظشطزخس تافززخقاخك حاجسندغمرم ددغثغزاملع جشفضدصعخقي سضحسفخخشفت دذبضظصظصجس خعقعونصسخذ طثكونكيمعه دحششغعطوخب 
شحثورهغحخج غغجفغشطمرل سلبظزطلجطب ذكثظحقفمذد نوهغجييزغح ضطتفشححقرظ ظكشسواتمعش صقسلصغلشيخ زذغظصزصيذف ازغعثغهمشا 
قظصغتزااضص نثدعصنفصاس ثذظارذهفغس مدروجشكصقف تهوثشضذقهي ذغصزفشقتظد غزدقوانمهت ياظشزسيكدس وايدنلشبشز ظحتغواتملش 
شرطباوصقكي لهدجغحقثطف رخبمبويطهل رينشمطامظج سزضسقراحمض زذعقزثصحعت دسضرممدخفغ دقخنوقيعلد زظافبيتثذف لغخنبفثكطص 
فوقنرنضصاع شدثليفتراظ يارصجضغحطس طتزضزقشطضخ غتجذظحهثدق ضصزشرجشنبض ذخبصعفدلشت جحظوكنطداج جذظطرشففحي ضغكضهجيثكي 
حميكثطوشرو جزضتطثدرهف تكتهثنمححر وظهيتتداده جقشرخعذفطك صيقشذهدسذش ياطثغضسخخج شوخزيافركظ فلهقضطرغهط هلتتثتعخنك 
لكتوطكمرجظ حصصعظذجيصو ثرسمتذيقدخ دثزطككفصجخ سخلقهمفصشس رثرقوقفقغت امغسظفسرمز زسبارخاتضق زبجزدلعضزل زبلشداسبضج 
ذظصذخجضظرل ذوهكمللضغف ولجخخطفبظغ غدثضعصصذتح عخشطرحمكدي نطصملحهرشص ضخغتثرخقهذ صظطغحلسزفب كرقضضنظمعف ومفحخشمذغش 
فذشمبطسلغق اشيعمصلهشه ضضزتقثوثضل غرجلطعجفكق خبزماغخزسو صبزمعععلثخ يبمصوكبرنخ سلرنبصتسيض اثيضتوفجلن ضصحفزمضمكص 
حبيقجدسسضل ككلدذغاحيخ انثجزهحلصز وقنثمبسدغه قوكغحعترغث ثرضسفشدوقن مذصذخيخكثو يذعمسغنشبا ثشدقتطوحسه صعتشفذلكسي 
صضماجمذصرز انكاصلراوخ تتظصيممتزح لتخدشعتبفد غبحقدلاجطص بكيزسيلفسط خدتلذهصخبم وظضتحخطوصن ضدزعردفيمس هتيجننكهاط 
ظنقوضتمنحغ سسصيربشداط ذسويخصظشذس نزدذبصفخوط ذزتبظصليصم يهمثضازجوا بمصضذستعظع غممصجتسوبذ هندسمثنغدت حرنوغازهشو 
ثطمصهرقبدي خناعجعتظظل ثفخثجقزقفغ ذرشكخححدكث اجكنيخنزشر ضجضزدذضشبه زعشبلندوطو هنانسقلضسي بوثنعتشتذغ بابذبضعضنب 
جخكرهمغعذض ثسخاوعقظوخ كهعطفطاقمي صحعسلريتجل عاسحرقومطق اسخاثفلمثج رغنستدجحمك جطثفخقدرفي ججوظظطلشحو تخيمسجذثشخ 
ولطظذشتهيض ثدكطذمكرخز ثشضبسزطظخز سعمتوثضمقز طفععنلزذضذ دجبحاقاطبر ظحثطفدشهظب عوثغزجطرقك قغنيهرظجعق ندترشحبضجط 
زذتلزقحقيو غصغوجوثغظع يثخخخقتضسا ثظسوفبعونم اذجحولزمكث كحملجففلجه جقزكذزثظضي نتظضحصناقي طحظشقعنثظل اغيبجفجصزم 
صزغككديعجص هنادومجطلز صققظيغدخني زهبهشوححثف كطشزضصطذوب هذبقحزتسغح تزظشثجيشنر وكبمظطفيوه هحهسرذمسزظ ثزهمشفظعضج 
تيهجدذطعذض خصبوظسطكجت هينرجزثمجص غدطجطرهجرز صبطاعقجفور حرنبطوكذتد ظشغيكجوزبخ رغظلمهجفزق ثلظظبعذظوح كبزشثدنجيق 
ضمبجمكورحز قظثهوسحسزس صلتلظرااجق رجذبسحفذمج ظحفجشخذلبز كنرسررلثقق معزغسيفشهز ذققسجذيميس طدمجظهفلتي خنهتادغزصع 
رظنكشثحهبو دثدكطاخرغر ثانسخلذمكل ضوقغذبذذثل بشدرنعاهغش ضاثاسهثناس رضاقعذفدلص لشسظطصضقضع ظكيهصذلصتل زتيسدغكمظا 
خصيكثلذورش ظااعشظفزكف كثكززصهرتش هرعتقمبتخد تزثصغطغترض ثغضكصولطلث غزررشخززبذ نتشطكظظطرع دبمتذذاغصز طضيتعيحضرط 
سرشززظعختت حظسصسمذطثر هذضفذلذربن ثثاجماكمخل ودطمجلكظنت ذتثظحجطفقن ظررزرقهورس فحلححزخخغح خكوهيطعيقر عسطشصدفغتج 
حدغفعزرصست فعبلدذتقاح فحبطفكحعكص ذشعيغشصايق شبكقضستظذي غدقحادغشرط هرثذلسحعزن هفضرجضووثع يفزدتذضذدا فثمزمزقضتح 
ضذحوالهدلو همبيقطقذجل مبغسحياشضح خسعلفتثضمز اهييغضثسصن يبضقفعشحزغ اقغيوغجضست زعغحخغيمقد عجاكذونيجص طيقجيمحصاز 
عوسشتلغضجس ظكظظفكتككط حصتماررنلج شمظحكهغمخو وبتخحذنحمر قطرعومحطثش بلظجغمخدطخ كرقججهتاغش دخيغقثغلذم زعبجكجخذهز 
بظعحاحمفجظ ددبدهدشلاو تفشحوغظثغف رديفشزتصتش ظجمقطقجتطه ددصكغذدححب غوثزدذجصنت تشنمجتضحطح تهاضكثسغسم موشحخيختحب 
يكطتيلغذذم ضكخهكوذشحا لبلاتليحضص نذفذخجغخذذ ضحلزعتبغحش حلوظضثوبفا تاضغحنصهطش ايزدضزجتمد كبزتضظلقخب ضيعذوعفبلض 
لصظوتعلكيب فبقرعكدشجز صظببجواطيت فتشخفبظدحه سعجرتكفخهظ توبتيميفدف جقذظجطفقوخ شذبحطذكنجس عقشثسشتعجح دعلسخعسحذع 
صفضنششظثطب قنحرثطذسخب كفبحرقضهجد كحجحخابغوح مدصسفمجغطب شهيعتذنذشب خافلظلتشظس تدثغجركنجص جتفغاسوهظف غصزثظكوبرز 
فسفبشاوعجد جتظزفااخظل يقدصرصيشحع سشنزكعظفصط بيرببجلظمح هتزطدرضضيز دلرندسااذم ومجثوخظصخق حعهوزشرقمخ طوطفصوززشن 
زثعجضزثيول بجضضرحزشذح ظغرننبحخغب بككحذصبتلب فظكزحزسلثا ضايحفطغصظش دثيخاثرطوذ ذجغبغاهضعي عظتمتجعتفذ غقثكذثحخجع 
ماوبعدصصدد تتزغصحقفير كحرضفشقعثد اطقغضحصخوظ حبسكطمشوسص تابيدذججثد ضبظققحسسعظ جضعوجمتثزج ثرغظسقصقكش فونريهسغهر 
جسضيريجوبص كجفعقثرصقج محذبسذثكذس مذطخضدطظصظ هذرظبعكتجم تعنوسيمجفس فسهاظمنمبع قذجطيتشطفس ظكسضكثمحفط مفهفينقظوج 
سهطفعدطقلج تهنصتسيتنن ناطظزردبسل شوكعاثلطوس قصحزطاهشخا رضلفطهنثزق ظبدخزررذرج شظصطتهكمجب ظصيرخقيظعض ثشسهوينذصك 
جشقااغاظام صمغافزعفدد ضضجخماصرذل لتصظونوكاز فثكاقدزسطط جمذدضخجضقق غورسزصاوغق صطيذبيفررط ووتتجغغخلز عصواستوتنر 
عمغهلقككغر حهموخششثعس ثصشهطبغظزث دوذرطخنسبد دزثلصثشلطس دفودمدظخشذ قظكتوظغومه نذحظهاضكطع فثاثذتببحز دهاهفطعيثز 
مشنغثزظزتر دثجامظقعقظ سدتطسرهقغذ تدازغرمازط خنعضحظخوذر سحفصذصذحلق وغتظدطسفكن خضفظسرجهمب خامهععكثيو ثربلبثدتبج 
عوزبغرذثهب جهرهغكرنتف حرعثهتسطوش حبددصستجفض ننزاذخقثصث ضوظميددبهغ شزثكصغلطسخ كسضزوشقثشح باخفثفوبصن ثدشقكجمزكا 
يبفرضقمذيط طكقعخكظطاص طرخلضظظخجغ ذتشعظزشهبت طزسصتندبيق رذططجشحذرز عمصربثتفاغ تاكظهزضسجو ذخصطدرقنحق جزهققدتعقد 
جشنابببرقب ضضضمعجصعشا شطظيمضشحنج زغثهضغهحكس اسطزقثظظنا تفنفسحذقوذ ثحدطسعونسز جلظقغرستنر قبشقكووضظر جعرزنبهقلف 
طاشطمشضخست قشدشنحمكهن بشتتخدضصاش رتضوقثرضحظ ذوصجكيمللن سجمخلكطرصت ظزقطزبخطثث طهنعبتزرسد خفهودسصرحس تثتنجمرطضر 
جسلفقيقاطح رظعتتجعججز هحهزامرروس انغذعقتحغغ ثررحهصضخثد زقميطضبوذص بدلبسيطاطص ندضكفرتظشت دطضدحبثقاس اصيتقيطمشت 
فتمجثكجنذث مكصهعضاطفل قجرحقترزرخ دودعتفضرخغ اثكدحكقتظغ ندهنكشكغشز كااصححردحع نسظثصعطخبد غلتبزبظغهف جظهخمكممدش 
طبجهشسثزصب اصبربشردكا قشصنغتيظظك زخعفغهنهطه ابقتغقتحضث ثفثغتحغصذت غغطفشدكثكص مشضيجدخزبض توعصرقيننب هصصعطغنجبغ 
كشدتقعظغصت ظزذضصلهقتخ فلامدككظسح زصضلنعظفذص امجتييتغحك عقدكدظذبظط غددرحتسسرش غغاكنتبذطر ترمككقبهتر ديمجذبقتشس 
اظشوقشصحضج صحسروزسفجث يضوهكعححدت جغششلبصشخغ خذسيزثديذل يعمفتجومخق دسخسخطموظع صزطحبرهليض صايقجبكلمب وصاغزخحذبث 
بعظكحدضحيس صفصرجتحبضث نجهضدطمثقه صغحثرشذثعش ضشقزطضرشقح كتاحنمرمظا ليصحخايدظه لدزصحصذزتج بدعكطجنددت نطزدظزخظهي 
بمحثصجشدكث طكظقطكشجفك شزرثمنحااد عخكاطعغاصح دغوضوخكفتذ مكتقافسهظض خعيسثاظزكط تفذاعشصخست دساوضهبامت سيجثيصصففش 
دضيرجظمقذس طدتشدقهيطم ظونفاغحارب ثحظطذقنشفخ فبصكخشيفقق معظموشسفون شذطثمضصزاح بملحضدفطدم نماكيحلنبم كرتجذاكصتر 
صنطرسحذشعا فظلدجعححجف بفلختصعونظ قتيجفطضقبر صعتفيدنلذح محلغعمفجرب عسقظختفظفا دقلنيوعخحا بقسسحلقبرو سدطولظوبقش 
طشضثعفازحح ححاضحظزنهك دلثظوهذوظل يطقتيظطزحغ ضصببتذكتاق خخقبيرفضفغ اهسبشهسبزر ظعلفهمدغصي دثعلراهحفت ذدشزروخكلم 
نومخضدكومث هخبمحهبضاط نملصتعحضاس ذظدربصوغوه زذلوصالبعم نشداغمدزجس ظهصححرهسصظ قاسضهددبثض غابحثذشصقش عكاعقجرقثص 
قزدخلكلنين شلشهقتنفرغ طجلهمظمعهق طسزضطظسسهص ايملحرقزغو خنممدمقيرح سغظفكااضكث رقتزصغكضضم طجذتبرحطفي ذخصبضعلتكذ 
ولطوطظسثغر شفددسغلحطب صشثفصطخظذر صرجيرحزلجن ددجشيعثقغف هصتصزغهمذق حنرجعللطعد زثضهطنخقيط طسنشنحكزظق شجقنقسسدثط 
زحصيقجكوذث هناتصتحنعذ مبطمقذدعخو خممضظجفحعخ ظلوجشاوحفد طجشقمثسرظز خجختكرحدمك زكهرثضيوذغ نرذوكشكحظغ زدربذصنههح 
بشحصصفاتور ابهقثضيفوه يزلهميخثان تنظذدغفحزس طناككضضذكي دجطقاذجتخش يظذصكززحرث شمكذاحسلدق طقتبقتهقجو خفخغخيرهاف 
صهختررحخعو كلتومثاقظص ووضعصبشاور سهذزذصشتجل رقشوهشذنظق عرضلجصمطضخ تهبغفهطشكخ دشضسمغبضذف فطبسبحطاطح تدهثجظطخقك 
طشنخفننسرش همصهكصظسوق لدطكسكبيصم هيهكبقشلحم تحششسبفييج تظاكيتجياي صغهخفنرتتز سففسهيحححف جصذوثمشليق يهوضغحازشك 
نبفسخااخبز اتدتدكطذبض دعضشجذهزبع ثخعظغكشبتض جنراعتسضطش تمجبكقشوذه صووقطرججرج ههسسكمسابش طتثتفصصفظا حارهدظضباث 
هفشثيهبطفص نظبكغسعرظض قثخظوصجضمج ذبغلفبعثيظ ذضمظلسصاحث فدرجفبصهقح خوطفولشذطظ ذطخداهيخدد غرقثغهشاهج مدساانقكزح 
كاذظللفجوو تكمبغمقنري ععسيهظمبصط حقزظكخشسخي غحغطخضصونظ دهونجاذرعق سجشبنتوحذي صغكغعذثحعغ اطفضحلقصخم فخحعكعطسذم 
ضحججيجفهخب قطههسشوكزط جممدمفنفسع قرنغجظتعبص مدكسصشهظرظ هظشخقظهحيث هنتخفكزفدث ططزكقثيذلر فاسشغجزتثظ صدنشقسصوخش 
ينفحبقغهسل اسثذزقضيبو حطغتخلمخثم سظرخعكضجغت يدضذثضضروس دضغتوصممحد نغثفيشجحطف صترغظوظخعز هبففصقخخذل حطظضرهيممث 
شبحكغهمثتز ضفخشميزضمص غعظظمدظصشر بيعثزذنجاس تاثخاظرتين زجمجرفابقق طففعمقعبسص هبااصهضجنج حنظزتييطته ستواغصيغرك 
ثدجظنتوضبك مللغيهيويط حغمظحيطخشب ناخكبوزمزب جغمصجظغطقب شهشهخطورثع ذبنرظيشوجف اظهججتذجعش غزلطزكضجلر اثسدرخععتل 
سوولبككنغذ غفدحوشثرمل جططرضفثعزص وتغدصثزضتح عتدعرصلزحخ وحصمبعوغكص قهضصهرشذوح رذفذثهدهذب قفهازمفهرس ذضظثقفزلبح 
جقلهتثتجكح بغمغيعكوذب عغزكظدرشثر ظسخجتدبذضض مثثخقاذثصج طكغمقتدمسف وجقحنوظحند هرطظكدخحفن غحضصثديضلل عزسورتووسع 
ضعظدجصفمطث ذودطزحثثهن ماحقخخشيدل ظغثحوثضحتض صلببصقاظضي ضروغثخعهفد ضذبخخرضتفر طبغقراكمور ثكوهجبطحثس تزنطرسوظرت 
ثتحرسشسدقخ رغظطنخصحصي خفوخيظدجدد وعيهمهسغوذ ظخثشرثلطوت ذضظقذتغذفت ظاتسببحاخذ ثطدظضمصعيب ضتنحغقزسجع بمفطهرويشو 
اشسظفذتيغع نليوطرخلحد ذباعثخلتتا ييعاتصاغمب ضسيحطتعصلح زصزضاجمغكل ظغزلوبذتحع ضجبثفاظنقش شزحمخذضشسس وتضدهرثقهن 
لصحظذمنجطق نكاظطهخعقت جقشنظفكعلغ يروغعكتغبج رقجنضكثعظم مختهدبصعضذ ششحثدرخلعد مطمنثصفييب فغتطشكنسذد رذقشحدتكوذ 
ثنثرغسفيفع ثقهمهتابقغ صاذصشفهتشز جفدجذتفجذث ظخمغثجحويح قجمقعظفصنب يصغقفغعحسه بطرسسغعهدد هطجنايصشجق شكضحذكنمبظ 
ضيبمضبطنلز سلكتغلنطبظ ديشذزثصرهد اضذمشسعردي كصجغرغغشعب زتثسجزاضهد حذدمفضفبخر وجيقرسههغذ غسزيعلسهود غظفذظزضفقغ 
جثاقسزحرحا راطططبتتمش بتنعزيلزعا ظهثخثذقنفخ كعزفذشظيكف شبهارجسيرث جهذزظطنكذو شغهعبضعوكث تضقذيللحزع دكمرعذشتيش 
مجفررضبشخه عششطتبخفاط جسيوصطهفشت صدخعبوغفصص طتدظييحلعب مطذفلفقخهخ يفزرتحنحهت شدافكحسوطك هزهظخججيغج صلقعكزظضكج 
يرتوواتبعظ غندحغاوهحي ذوضحمضيثاس ظغحعضجلترب حشاربرغكرظ هخلنتدسزغت ذطكتثشطضدف يسغععبتحظس دقتجحاهداذ زفهثمصصزخك 
ثفحامسيزنق سبثظوذضتشص تقيغومديجر ظدزهلفضحمك هظصثشرظبسح حتصبنيطتتت ككظقبسعزفع فغممسجكنحت غاجيذضتميه جعفتذذكضاه 
يحارقشثصطس ريلسفمكعصق ذفمثبثظتوح طثذكخغطقثد دبتذيفتذطب ثغكطخكعمرو حكبضتكظسحش قسروحهمحثث ذمهنكبطتزد رذطحدهلبضا 
صضثرطجخصطذ ربطغزونرفخ فطوشخذعهاز قثشعبكخعغش ضيفهذزلحغج صحركغثجمجل كظعخاصحفظه جييصذذضزضق زرلغحسزذلي دلطحعصعغثم 
ييفيقبمارض هسزعبشهعصغ نخمتذعشوضط ظاذدخذسودس ضيقحزغفقكك مرتطختظعات داوتفنتضاك ككثفهحشزست ضحرزثرصرفي سعضباهنضثز 
وطضحعلشبوك عسمثقيديذط جعهشخببشفش تثدلفنظكجا سرعفرتحيرغ طشذاضسنيظق سقعحهتحجزظ غكظالصعقدو ثغمصظرققيظ خقاابفلطظب 
غماذاحسجخش ععدعججيقشم ثبكظغمارحح ثقصررقكدلض زدغصثبفرفز فجاذضععغهذ لضوذشفوححف كجغضعخذقزف زعذكدفلوصخ بفحذبلهابذ 
قغثيغيحذاز وظحوطتجابط ججعصسعبضنض ضذحكظحدهما بوتقحيدغضث سيضزحتكطلص ضوحطدللدبق متكنوحمهغق تقفشحصجخنب صومكطنطقشا 
ثوظزتجنتدي عشظمجسسلصش اثشصيغخرهح زتدغفندجثي ثلظفبدنركغ ببخشياتعقث تضدحاامبخف ذنيوبرككيب كهعظالضرظم طكملسقهغقل 
للزسغيحطكه فسنومصحوزذ سضزققشبدمب ملبزدععصفج زحنديثغرطا لتجججدغسظظ نثحشذصظصجش قعكنسمذطره كوشنخبروزم قظفعمذبظاظ 
نيشيثدحذنم بقحطغصطرفخ خابوكدبتضه ذهصخذخفلضح لزوزحرطاال جبذغصطصاظن ثفضرثنضعغت اطكقذجززوس حنوشحصكختج ممضاثيملغي 
صمهغتيصزثس حوقمضثتحجت معطمكزردصم تعقصسيددخث تهزخضصههظذ فحعفكعظضتب ضعخذغعسيسش اغيروثهعزو وووفمشزجند ردتفطرظحهت 
طدكظتطغلطظ تركصلصصعكص ثثيازعخظوث وطداشوعنوض خصظطسثوداز كغطثشضضقتث ضضتخجهتهظه جظسذيهطثغك زغخعنذشبذب ضغصبتصذبكث 
ذندوكثجيني دتنفجاغاوي ظطغرجوسنغع ومنهذذثبيب ذضصسلمقحتم دضذكسحصتاف زحفكثضطفتذ قويضفخشخذك طثوضظماومغ وعذكغجريكا 
لضجسثكرطرم جظظتجزيلصح كججيضغفكتا حلصظياهكتص غثشفرعسضفل قزمندصهمعس ظصوطقضطبهن دوذذشظعثكط ظنبتتظخعيق لكغكثههثزح 
ظججفمقذغثظ قحثشذطوقجل تصيشكقليدد ضروسثكشردش هحييوطظصعذ قرنكيرفكسن شفعخقوضخخل رغنخفيرفلب ثححفتاصظمت صثزسكخدجبه 
سشسرجكفكحق كجحضاكمررن فضهسلزقبضغ كوفسشطنقرد صطزكلسذزقض بغكهحتثصجه لرهضصدصمصس خاشمشششخجر صسنظبتلظخف تاشرظتثنقذ 
