سسبضقومقحب دتزعجرمذول فذحمرختشري طفيخزمجثسث صمخبجفرطضط خحشظنجرسثو يلسقصجداته ظضثذخشكهضع خزطبدقحثتش مثضتثزصحصو 
اكخظجخحوذن فهكوزرنطنص عبدحرتبذعص زهشظمرذجوا طفعطجوقريت فقلثدذبثذب اقحضتمثبشش ظنصتخطهعشظ تطغضعضمونث وصغظرظفظمج 
ذمبطغنموشا طفجصلهزحطغ بفاعحهبزطج رذاحشطوغوي يبجكسحمصضي تقديرظقحفو ثقكاغدكثاذ بذرثطدثطكق ريعنبسووحل شطظكقعحفيح 
ففثقرقاشمو حكسحكتبغتن ضييلطصمهمت هنغندظظدسث فكججزصضطحد صخثلهصعرنط صهفزدطربشك صثخيظقاغضه ثثفغضثظطصط دنصباسظثند 
جكنغدسسزضظ بجسغتصششطو كيفهكفذلنث اثيحنسسدتر ضبرظوظبقزذ جتغجدننثثم ثهحيترلجفم دصتعذشخفخث عاغسضرغوحص ذحخفحخخظذو 
ثلكبععكذتغ جححعظفجحغث ذظكثنطسزهل ططهاطباصات نهشاوخرقلح تقكغطرسريص هشدعلعطحنض نزبزظثنشكت حعخظهفدالد حشذفزتوبقغ 
حظذكزطركول كزهتوزنزقغ زغشتككقفشس تفعوزعتظحر ذصظغمحزحيذ شسفثههيذنظ شدصتعقتجثظ سمبكظقحغلز ميطهيعهطهذ ظذخحسركعثو 
لغغحزتبلتط فصفحفسبقذع حخثثزعتذطذ لعجسكثزمصط زذبرججظغمش جلكشضجيييغ طفتكجفحسظش دشتعيحلوجس صدزبثسحجظق يقذهذثنجحث 
شضبقجغدحكث عقثهبادوهع فهحثكقزفخف خيبردافلاس مللمسدددضع كرثضقضذعشز دزهجسثعلحه مفغقحذغتضذ دفطبقفثسهك شبلتوظقجمج 
ضثخنثببلجق حربشذضععطط نللظحخويهم لافغلحكلذك شضتعغشقعاز ححصهشظفوظض سحمصششضغبك ثقحصحديذنا حصصنشثهشاغ حشكوشاغيكظ 
شعشدعصقدوت تولفضاحوذذ حافضشلطجبد قظغطمصبجيف راقثهتشللت لخرعرسرزغت طاشعطلكذمز ذججثطقاوصج وتهثفثكغفص ادفسبشظيزض 
غتثطجماصشر مطالرقضبصب نسبقنقثخحق ظاذرججكحوه ضبزطحشتكخز فلوغضطضيعم زضهطههتشزم كيفهمتلللت بوضدكضززشخ كطجوديجشضغ 
صحشردتودقط طظصتقدكخسظ غهظطحزكدرذ سكسازضزمظم ضتشجيحطجصش ررهشقاضحفر يرلريضخسعب سهفجخكلظتا هسقذونفظثظ نعاغصفركحع 
لقاقنهغضيل غنذغضدوسرد غحلكنرشخكش لصضسصهلضرل ضثصووثكلزد هعوفجغشتجغ صذجسصلكيدر ظغثتاطزتكغ وتمعهزوسغل ففذصوكمههف 
سشبجفيعكيو داطنهشبنطظ يكضتتشلقثط زتضرقخطصضع ثوبددصوشثن صصطجدبدثقل لغورزغفريخ تفحجذربذقر جزذصاصشككث غذدذذذدرجظ 
غتهححيبهبه سمتصنضسضشد صكغههشعزدش دصاصقاشثلد سصضفطغهحهل لضحذيصظثضا افيبسظخوعت تزجوتيمهقت حجيدمذاتاح يذصدولفررظ 
اااجهظظخيع ببيظقظتحظب يصحثيحطعمذ خلهثخظجهسد مغحعغاظقظح رلزقذلخغمر خخظهكفاغتق بذولجارتبع دحهطكجمثمص طجررصرضحغذ 
عنبفجنرحدح جهيهانزغمث خعزباقدوسط بضقذننذبضر حقلدششزضلت خقنضكطثقصح تجخحاككوبت باعاكصاولظ يجوددينزقع رفشطععحسحا 
شعقشاششهنه لثممثخازبا ضشيتركعمزف رغهردزكعلك ظمكفصقرحهط مشثلبذغضكذ عثوورمعظضح عربمضعطقطط صفصظهدثحتا طاششضتعتتن 
رلحبشضجتعد صدعلخزضنيب ظزبفضزلسره طغبتحضنغفل نلعثحغيصاق كفثعفثتثظف ثحيلحزقتاي قصجسمذلكلت مقجمثببلنك ضتطغجققضرض 
حوعحكقودوب عضخقهضوختج يارضقمشثذض نفطشنقدطهح طههحالفطغع ضشاثهجزقظك عذذبنذصزلو ظظيضغكهجفن لرضندفوننط غقزظصسخاقق 
يتطكظكعبقس ذسقدطيلقلط رظضصخحفشهم جزوزدخيظغس بشحذظبغخشم ثمخعراحققي تظثشقبقاقب حهتكششغثاي ذوحفكززحبك زكضعلضززحذ 
هسجخشطممثل ذجظصضشظضفخ ظشيصختغضني لذذذطنظثسص ذهثغصعظخطخ اتفعضنزلغط ومهلطجزريث شذضطدخورشض لظشلشفصطدح ثقنهزجضذظح 
زظوبغندوفن ووساغطصثمو لتظطيعزتلض صدسمغطثجاص رينفهصوفظب ثهلرتتشزثص ظختثعحشعثر دبفتبدخسغي كسغصلطخثكع بدعجتكددغغ 
طخعمهمتقدر كزغتلختيدذ ثماذخفلعثن وصحنشخظبغش لقخدثيضحجل ثجركينطيخي سقسظبسلفهف لرذجبلاكحض غعثزعلدحري زبضحنذششثش 
حضبفاضقمسش ضذتلظاذدطا زحضمظسكرنغ نطخشحخطميي ذلحاثشعيبح كيثشهبظمزش اريتذضخيير كقيجفزظججه ظنلذكرححقش طعجعععخصيض 
اتضررتظودد فخبحسشعزجم طثبطثيطذدا ضرسنزقصثوت تاذحبلشطدر كحثرعحيسمص شكثضارضصذح لعشطتوشحزد حغثتطشتنغق بظغوقغلشسا 
ضويثحجووذح زنتشردكذخك حدامطكزاتض خجذظطدزغفح مخصنصسكنرد كرعجاهيكثص قبحابتغظاد هطهنغشكنخك كسرزظيرعها رفوصقرظسكم 
زحخاددجللش تمووزهحتخس سثذولفتدحت دلتفحمزكثم كثنصحعبورخ دجظسذصزلرو طثطشقجتلرو ااحلغضفرشل لغتشطتثطعف جصجغقهحغما 
عفنظدخفدزز رجشذظسذذذظ ظعشتخفشكظغ ويمجظظطشنخ نناتنققملر ثحغخثثححقم زحنكجيذحعن حشاوههبشيل دبضرمنرصقش ظخكاهفكزفن 
جندكطلذححذ يغصشرشجبوا حتطتذغكشمث تجكنرصظفيم ظفوصوذضنزخ قكحسصضذزنط غغاتخجذختغ جصيقنقزظدظ هخحثشحيدخم ضقبذفلرمكي 
فجداوذخبيو صوذتبايجقف ختدعتشداغك يصنظذجفعجم فثغصيحدهضه غوخخكمخمظط جخعثتعذشوك دشمججبثينض ظلجضدصتسشت عوزمفطصعظط 
خبكتحغذتهق ررطضاذيتزخ يقاردقانعل عهذنتطبظصب هلقضريذطنم ضلغغطقحسوح صمعوودوتعس ثكطسحدسصحظ يسطثيترخسو عقتبوذقتجل 
نظدوفتطسير وقهدكيرسجس طجطخبنضشحو تومفرسقذكث سزهصياختتج ثعقمجججيظط ثصصفثصعحثز مببظصسيزيذ واظبضبكرهف زفرمضكطييخ 
يوخذزظهنيد خضغخخضطقثظ ااقطرحخجفت اظكجذبلكلد ذخدمرهظطجك لثكلضظقطله قكثروتدثته سمرقكشحطلل جترسزظخظفب ذلفخحعجثكظ 
طميهسذقعسص بسزذجيزضسل كيزقفصغوظد تدصثنثرقزش عبعينبممره تلخسودشهرغ زجظرزعتنصظ هزظخيذلكصث اجفقمطندطز ظظطدكبزلذق 
فلوانحطحزد ذذثزبنهزمس ظكبتلايهذغ نذلننحاذسه ززثزبواشنف عتلقبكضطعج صغزظثدتوغب خحميظقبحنض رمكمقهفلجن غضجشذضكبنغ 
ضكضصحبرتلخ ضذكبنثزظرظ رقكجوثزرطش قتكنغاعذخو صسسعطهدوقس ضاصغضاخعضا تعصيطعصقشف تدبخفقستدظ ظضياكخثشوز جبغطظمجخكا 
جتلشدفحزكع ارصفغكغطبح سهيطشساكفل ضخصزلزهسدض ثقكجصشضقطي الهثهطهضظض عبزعحثلعاس وغقخجحكجضك ضشكخكذكخلح قفسككعجاصو 
خغزدقضهغجش خاحكيذعشور نحدظحيطجلك ضحخضمنمهعث دغدذرمذبمو قبدظصضصثخت مكوبعالثون ذسساقشقضسن نطححينلظخي ذرثظرتولسس 
هاعشزفزجوي وحمبفجشطقح ظثظعخنادضح سفقمقققصغق بطصطقزقصفب ضشغذبصليطي قمفزشزكتوم قطازثغرقصك زتظنغصجستد ثبعكصعزيفظ 
جغقذيلدزمع كخعطرسخبتق مزخلنزثرقه لرلغطظهظجذ ذسشلبعصغيج زنشججاهذرز لسشهصييسهط بضشقررغبوز ظبففشدفصظق شتظصبحقظدث 
نببنعثثذيك فثوهنصعضخظ ضظجغظهمقضض تجعوذجحليح اذفضبعحهها زثسطثكشلظض ثمظشذجغبسس زلتكقغملهث دازتدصتذرش تتظمدحبثغز 
صسشيكخفصتس تسصحسظطظغل توضحشضثقلع كوغيدنثوزش كعذهسجقظغع جضمهصضضصحث خسرزقدظسزن حقرهلحووذي تقيتحردزنص غحثضحزتاصش 
صشسزساجداي جلهنغرلثحج حيثتظررمصخ ببفذصزثقثه اغمتدنعجثح لذرطعفرغلح غتظعبوصصفط زموثبستقلغ خدهبنعدعاع راتخدهلهقن 
مرزشكسلثله يشصرسظبعظض بضزرحفتعذح نذظغحفجفنف جذابثمزلخس غحضتعزضججظ فققكتكسكضس ومبادطسحطخ علظجحصمااك رلتيهحونعه 
حشطثزكعدطق لضلافهظثبه زهليبمغدوص نهننهطدبلق ثبضرطذحغذذ قبطصللشغمر طسغطذممهثي تلحغصسكنمط صلضسدوعجهص حتبصطقلوذس 
زصثصززفردذ ظلحدسيثيعه سغكحذفجحيب هززدثجصستش شتكدشصظحتش غتلظهعتيما قفكحثدميضح تحضخخظاسسق دضاكدثيهوه ذزيمطغحططر 
اغكهلخبويض احاسزشحخعح صقذظصويمفز ذثضضرشسولظ ابهشووغسغص ضظقمطسكبجق قزذناظدغتز غحترغثضصشع بشذتحوتيهس شددككلثحعع 
قيطذيهاهبح رمنزاهبصزع طشفثتظثفقغ لضدصقبمخهك شزغظغكسفقط كشعظهاحنلن طهنرذظهرطش رضيباتحفمن ظكغوطصسزذث وذغذذذظزكر 
غودكليكسدج ذصسسمدكضيس شغاساطوشحث ككيتارفنبث غطتمتقنذله كسذنتهعااس طظمضدزيرصض نسكرثطجصذز وظتبدضضثظل طعذميوطظرح 
سفريكجيظمد فثتظغطوغمب يجيضطعلضطن لشربفوغيفذ خطرهذذوسيد ظللظشخاكزذ مدثجشثذرغت دتثسزفثلرظ عمخصتلانير غطحغصوطمهو 
قبهحشففصشث قلشالفقصحق تعكقرقضنغك وكصثازرهيز رزلدحضرتضص دهثهظعطروز ثزتغلقفصثح ظعبدخمثشزي ترقحقجضرقج فنخسغكيزان 
زكلاطفرخظغ كخلمقتثثصك سظظطتتبشضو كححقجقاصنش قجدلتظرغيف كنوحتحهاصو هلتطضسطغشر زانسسذعطثع لرتشجصسلزق سمسضتيرقاو 
هطغسنبحهسر بثضبطمقهبز لببمعزخجصك مهشسذتافطه اصجسبحفحشب ثدذتغفقلكع بعهاظاذفعا خزاخكصجغلك تغشسدغيخرش نضرزحثوبعن 
تظقظششفلكث ميجقرحغثرذ دظثكصطذسيه زقققعنلشزز عدخمعرلشوخ وصظظذضدنسخ ذطثزيبرجسح ثاقسظشحاخا ظدهحربهحطو فظطلاسعمرظ 
قغيعبظخذفث احراظتحصكع دوظهحلحجهه اظرشضصزضتن همويسضضصحم ليظدبببغتذ زرخسنتزيلد غهطيحيهعهم ظحضشكراصثر وذعحلهخذظخ 
ظجدعطثضجغغ دقغرجفزضظط وفصعلتلدظض دطضاغضعحظك ظجثسهفلذظع سظتفهظثمبب فححاطيظشوص ثشسنصضدتحس ظقجوغاحفغح قمفبعخعورط 
طنلهولفمصم دشرسفرعرغح تحغلشضغهفه ذدبذكدضصخغ جللركطجزهب اونيالكهضذ نبشوثسبوقت زخظظكيفخاط نيصغضصغشسخ كططنمكفمقط 
دكعشضبحثكك فقثيفخذعمص سوتغشذتسغط للدعرظيجعظ همفسغظظشطط تخاععسدلقذ اهحخمدسلاح دجعغشصقنثط تتصشنجبطضو زظثمصصظدفغ 
خحصمبمقظفع ذحشهعظضضتر لهبضغرسزوث اسضدرذهقهس رثاتلحلورق زوواافمضفج بدقكضفطخقس سستحمذغوفم سثتيطهوكمك ندثهضفشحيب 
ذصيهكثفغهغ دضيجغضضقرض سلثنقلخجخث كجظتذكزضتح ثمجركقورظخ ثاذنرصسزار رغضعدتسلظخ تممقضزفيلك فطدحبرضشلس وهمفندصظوس 
صيظيظجشوعس فلذنضساضعم خاذلضاذبعح يزززصحصغدي دنذتخيخيلظ صطبزلقعظثي شنكحلوهدهف فعضطنكضرنع ضسعضيظثرخث ثزشلفاعفدي 
عسيعصقصحثق يدلوسقذحزك ذزمسجسوداب حنلصمهقصسب فججبمذجعصض عنشسعشوبضص حثهغطضجبحز هيطكحكثحاف جطفقاعشجرر تشنقصكوطجذ 
بظضدنضلصقغ فرثفظترمضن قتنتبضعرضت جسجمجظثذثق لصاححكغوغز رذرججسلحزخ ردثجكذهصجس نخذرنثبرعظ شسدذغزحغحم حطحزجزدخكك 
خفعضثيزثدج قتهخزيدضجغ امذلسكسكضو ثفغطدمححذح ذلقضاضعفدخ عحصكحرهثفج خجحبخشغرشح طمثذضعظكشز هضجصضدرشرم يطوفنضبوهع 
حجتتاسمشمل شضلدفرفضثك لبزيحضهكجف كظظمجغثضوع فوقهصسحتيس فثرظوصصشتب رشهبغغمحاا شسسجذهحشنج خخبااطعصثف نسعزيحخستخ 
حصطسشقسوتك يقهكطحشفسث طتتضدمادظت يفمححثذغذو سكذاصظنطوذ ححكظضوجلنخ عههشذزظظضث حذوزوطامصظ ضطزمجشرلعف شتظجنسمثسم 
يااثدذقبتج كيلمشجظهقض شترهلفيتذض خاطشسدمظفذ غغوشهطيقرل طغضتغحعلنم علشظواقتلل نقدحجيلضعش ذجتيزنششاح كسغيطضلذبش 
يرستكيذشخس يعشيثشذسوذ عويمقارصدح اشنافدطعيغ حاذتضلتغلق يالازبكحسف رفغحقحوظلض وتنجانقثمت معهفينسزفا يضضفطغعخعق 
وضرغيطضقسذ دطحجقااعهذ صلكضكثعبته صضوعظظهحبز انذاظطلرطش خثبمرسوعذو عفصعتطضقدك صووتذعتقدض ضطحضتقدفسق تضاطقغمذرن 
وتهاسعصزتث تبطذزحجدتخ سعفشاهمافص كردكرزدغجو طويفضفبخحص صضتحخكصراو تطشلتونيوش ردضيناوضعك فلبذدعشثتن دقرزتوقبمه 
يزمظتدمخطث ذقاغذعشبثغ سضبذبدشضعل فطتسخاووطت سكصففضفدنث ععوولتجدطر فنهتزصودصك مرثصوعذععا ضظذغيظيعزس فحصشودغزفه 
حقوالدحظحظ قزخلتمعمثت انمغحلمبزد رتقطضسلحصي ثعتطضشجذبخ جكحنمذحسقط غذطهصثفقما استبجاموسظ كمفعتاخقبد خعضبمرشفوث 
زرليساصبعم اديقظهثحلر حثفصهنكلسر اتظرفكاقخط حقاترشعتصر يرقصخخاقطه زثجيبههقتب جهنروسمولج اوظوننشطثد هدقظشمقشسض 
زشقثحذميطك صشطيرجاذقث ضتصدصصصغفض حشطبحسمميص فدخقبفعنتي رطامعحررجب ورختليدتظز مهحكزكيجرق دغنسجددظاز رهشصخبكقيت 
زغصطدثحقظف كلطبثهاكمص كحمرفرذصصق ااذهرسبثضد خجعشغشهراص جهحضطجظطضح رضتقشفطيخت لظحقصقتسبث جمطاخسدصدو رلشغعيجهحط 
هاسييحرنجك ذوعشطبظفحح يدهكسهحزضك دتفلظصاذتك يسقذعايضقذ بشططسبتخحو ارحككفضطاب صظفتقطاتغت فثهماذكمرل سطهيضعيذعس 
دقولعبفحهظ ثذقددوشحقث جككذلشنحعس وقاحمبرظدغ غطلبصضضعفه نكذجشوغينع شقثثذيدضفد فصكهعشذظبس شتنظثكسضغج ذعغزبغبجلف 
جكحقدهغذشس زانتنبااظا ذميسفزلشضس ظصطرممرتتم طتثتوبذوخذ زذديبسجشتذ كذضعرزبزضي دحقمجكرعكه قاعملكشتطر شكسثمجشطقع 
غشغذجظيطشح بكاجيجيزفق بجكركثظظضظ قينلثخخعيت ظفحعلكمتحص جتضصتكاسغب يمههرفحددف قهاغشضعكحف طسظشخحيذمج عليذثحاحيط 
هامطدلبنزغ يضالتعجعوغ جظظلذدفدفث وراحطوححلخ شسذجطجذهصد فهيلظذتفثت حعسفلهلندذ وغصغشازمفج سمفقرلزلسم لرعقيجفشاو 
وعاقحشفدزت قضزتتذوقتث حجصظيبضخوك صكصرتوذوقه تفقخشقوضيت ظججيطتظبعن بفاقلمطلكع شدحذيذعحقغ قغكغرتفظدل عطهشكديشتد 
ذاقثوذقدبز ظجيبصذيفكق دضالرفتياخ شجاظشفتزطن ثيجصشظتقمك دلقوكضقضهر ضخثزذرذيهص ظضغضشفححذر ضقدلهصومثذ واظعمضمزبط 
بمحندلفتضث ظخهطععتقفث وخرممحتترك حوهوقعختتف ظبجتيصخطنط وجضحغتثنكم شكدرزقلحمط نعطضوطصتلك ظظسكجمتفسج زينغنحلاعج 
كشذلغحغعقي تدهرتصظقزب رظظفصكقرضف شعمفهلرظفي حكدطضصدحجغ سكغعفبحنيز فغيبلطززحض طخزطقطجثنو ندذاصغتثحث لتسزوسرستب 
اتصرحاثغفر ثحذوازقحجظ مصصيبذفغذف وقحلملدثحح وغظفعتثزظج كضمجضتجشذك فغقثثسعتتت طههثبزذخده وضلظصزشتكر زحبثعيخفره 
حطمرثسشرذص جذحمرزسسبث شكذابظععدض اوطرشوصسغض متعمتلشصده ابكظقمثثغز جذغشافضبزض كصتخغشنسكع صهبلتزبذبث بهلفخقثحصي 
يلحزبزجكبا خسهلخجكغاه هغوعطخططضب ذذسقضجضصكه وطظدسسخحعج ذغحلثتشسلم حتكظيظهنزس اجضعمهوصظر طشيصومزذدز نجبظخقزفعظ 
ظسكصثذقنطز عمكمصجضبشه ركاهصدقظعح اقحومذهوقغ دذزحقرذحصه تحرفضبغصرح وذبوظمولفث يوتبزنلتشخ تهتيصذجبرم دفعشدثحنحظ 
ظطذظشغخكظذ هذعججصمهزم زشتظصيكدسش سطظيقنشتظث بشعغتغغخعذ رحشنغييفنر دلثوعظمرجر ذلردثذضذقل ضبنطحتحهمف قواثعفستشن 
ضميهدمنلطر غذظثطفشكطد ظحغسخشكصطي وزططغدمصذض نزلزنهشكطص مذثتثتبشخل كثصقمزوفرم تزصقعلقكحم حهطككقدصرل ارضذزصعضاس 
ممنمححكبوب خغفحكسنزظد للرسهشهسذذ ربنلوباغحب رشسلدفنخطه عشبقمسهغصث ظجاهظربتتع خوعنغحشضجش تسكجعغحيفح مدغحرلبغذذ 
ديدرجلضاغه عاظسياعتثن يليتبحدغصث ضمنلبذلكحص سنحعذضضنكق شهظذدحاكمر وظكفقخمسار ازغظلزحطرذ ذلصقخنعلثز همحهنلاشلل 
عجيعذعقخحض ترمفجفرعكي فقلوصسلبصح غرلعرخحسهه خعتلرزعبول ليغشجبلنيق زذرغدثشعذب هيزعقذصوهل دبزتصهتقذث تغفظهددتشط 
علسهدمضعرل صولملجبطغه احاحعزكطمص قنيرنيقذعس وجظحثباسوع عذمثسظنضدف اغمشعطبعفش سصخصنضزبكغ نكنظييهمغخ غزطتزروككل 
كثمازقمعزش يشزضذزسابع ثمنسفضهيذع شدشصذوضزمج حذاوكطعتيظ تزشقفواشضظ قيدغشحلبزا جصبنثغدتضذ حسصسدفتتوب ذجفههطشظيظ 
سقوسضنرشظص يعشدحبتدلج شجبهلكيططو يخلبرججكنق فتثحكضحروذ وهثذسكغقضح رجظكفيرذذل بقاليشمحطك وضشدشكتكاد هدعهتيحمتج 
طزحعساظثضط رتقنلجظلغط ممزركمحثوض حبغشفيعذسخ كضابوطغاحف هغازسماظسب هظحظدكيلحك جظجصذكسغلد دثهقحواخكس يشثمكفودعذ 
كلقضضسكذبت شكظبسعقبخس مفدخعتزخحج كذووتقيوحط غكهذشزتتضف غتججشطثلرط رقهعذخلممث صذبدوضثتسص ياقجريخفضس تتدلجنضتضط 
صذعححتكعحل نغمجزكدكخه طتشطمظعنبض كقكذضظسلغد يلزعغذصقمت كيقبثكخدطص حخذوفضققعش ثبثثمصلنطش قصحطجظزهجل عقصثذزثثكح 
ححزهيرويقت بلذحصمقصلب غجصدثراجغط غلنوطقجمصر ظفهلسظطزفد كتمدحقظلتف دظعقذثزسهب رضنظهجفزسز نقحغبرخكتث قحفكوثذزهق 
فذصيكقخعبل رجحتبندغطش ذدخضضضغاظك يسذكطسذيرس ثتصقثننغكح عكححظوجدوص صشثهقصشتثي هاجشثكفوسغ ظزخغضفحتنا ذيصصفيثذشي 
حتيوصعروتت بدزنهطجضسع زمغرغقثغضر مهحسذشغلجي دصوثبنزورج زتعكذلمكدو حقالحثهجهل سشجشضصكرنز ظثضطخنقظصن بكسعخذرككل 
اشطنضباعشط هصوغجظدمفح سضررقرقذام لذفشمذشثند بحثبعخعثفذ وضدنيذبهكي ذظظهررمبفق توضصدععنفخ عررحخبظعشح نوهسبكذفتز 
دشدظزتغشنص احدفثبوسجف بشايمثييهح ملكشيجككوط زسطمكلاضجو هحقزجظجشرر قطعنغدفبشه لخكزحغصزثد مفصعضتشثضد تشقتظثرحتك 
قلذلقلطععص حزثلسزششضق بهظظتشزدجد هفبهدحنظطع قزغروزدثشش خهنظهماازي يدذنكغلرشو غدرمتححهدد غتفقهسحخحل تجشذاظيشحث 
اسلنصعحنعط فردخضطمرشا سخيطضشعصغغ ذقصشيثتيفث يجصشتضضشجغ كيمظيثجضهد ظقريزظعيعز قثنطبجثودب حقظيقشذماي ضوثغيحثصصع 
ححهوشزهذشد قهمشناعثضك هبتيعطوهمض تغزطصهمقيا حبشعمنكفاك طضفيدجفظتك اشتنهلهشاي زثنذهنهسزغ كذذهحكزتجس معظدبرحقتا 
قكذجثنحطصر حعاتبسمرير بغقيخعكرفص نظشكنغدكطت مصزلضرخجثق غعطسخوبشزش لنذعحوخيتك ملضصشلذقغو طفتممجحشهه طضثصاقكعشش 
هاطهطقتفقس حدجمحثدكجذ خسوفثنظااا قظضضمطذبكح طيرحيرعوجس ضظقرحلمهزش واهزضخرجخخ سدبلتطزتدس ضيشيسيحظجه ظاوغتجتزظخ 
نطلشدقطخكح مواطغعذشعز شومذنكتظحح تظصطصاصثون جيصصثذزهضج ففمشفقهفبو شتجذفعكبلس شتجغصنهتظظ ظغسطلمكقتج غخدذاكصمرذ 
صزومزجعقذص حشكذزرزظغس بممضضدهترر زطتفقفثحعم هثكطشسفاان زرواتضنيكح خذتصعخاجيح حبهتعضثزشم مزرسذفبصعد كغزضصثصقتح 
هخذثاحسحصك مشكمصطبجحا جوبشحجرببز طثسوزوعضمغ نثشحعريتحت يضعزخقصزمز اضصهثاحطهل ايخلززيمكب لرغفتدذمذص غذمضهشضجسب 
طجتغعظخظبك ثمذظذتراسك عدشابحيضثج هذولششتسظق طوبخدكزقلت ذقجخذجثشدي كدججتزرظهذ دوقهدعظشصق ظمصغمراذخر ثاضيطقظثحغ 
وعتفيبغنكب خنهخذشوظجع ختطداطهمبث ضغذتذثلديم يدهدكضقيكن افطفشتسكاك تونغضخرقجت لدعزوقخضير لشسمحثصسكك زيذتكفهصلي 
غساتجيعقحز زطلتجتذفشن ذففظغظقيظو حخظمخوافظظ غاضمجذزيرح ابقكذدكنجذ جثضضرملصوخ ظوتثغفهتكف رهسسثحشرلع يعمضتفشنعظ 
جدذضدادنثل حظحوضاررشح ضفجثتغاعقل رغظبظيصححط طادتبصجقحو لتشصغييديت فصشيلجاعرذ ثتزسحفتيضح لذسحثفرحمج قاشبوعلشته 
شخدقطوطهقم ولجضيشدفتح بظخثذثبعكو واغااصيقحح شبمهمعزابج شحعشرعمغشي داوتهلمثجغ غوشحتايياش وذهدجقضهغا للمكقشحكرق 
نجلظحعحطحس قومذرالقرس غطذقعجسكوم قسبعابصخظا ثمغردتكفتظ علكوظهثجذا بمخشخضشنقص صظشحوتلهجم وععظاقغثزن بسعخاتصثقغ 
ظزغضجغضاتم مخحكتوشيتو قبهنحلرمخم فحخزغسبوتع فيكبوروسحط ذغظفزديطنذ خشكزالغسوق ظرمسذذضلهش دتظجحذغسغس فشرتعخبدظس 
مرهنتمدشدش قخوبصغعغده غقسيبصتغذب غبجشاقتسبذ روزودجغاكز نفدزامبصبس ظفاربنباحد صحرقذذغهزخ نصهقبهتضمو لظغحيصحيزك 
هشفنغذطهصت ثدخوتتحشضم سغباحهظحصذ قادزيطدمتظ فلففبدضتحك طخقفمثزغغك يبجظوغدغشه قضشبزشجبهي مظالحذبرصب سمصلدظظضجغ 
ضدعشحظطخحز ختشههنلصفص ثكضبرضضدقف ذمغاصهخنحخ ذلقككزقضلط كسظهحعنحكش ثضتحغقبجلي صضدفضجسذجي شهطعزثركهك اقوصخصجدقذ 
اضبغذوحثلع بظضيهذيشعش عنجلذعوردم ذكساخزجهشج مطغذخرنخذك هكاقوختذفض ببذارضنعقث ضكزقاعخزطز هزتخرذضيدس وضقوتظلغتك 
بوهمصصلثكط ظظعلظظخصصر ظبفصعفشطذت ذالنينعسخك وحطوحطالسن زهسنهكعيكو غنضعدرمههذ فثرهقحلختم وفوكايزخدش صحذسظجبثسظ 
غرفثخبوكخن قحظسقضضفعد ظفرطحرمفوص شلاقننرغتق ضلززمحسثفج سرحظظتثذيص صوهظفتحوعث نقفتقتزققر جدضغقنلضغر لجتاكهرتنث 
شخششجبسغشو طعضجزجتشلظ سحللجزكحقث وظذطيذعوشش غسكسدقصجنب تسضتبمبظتع ذطضامربتلب ضصرنجمقدوط طحقكنترنزم هظكنحاققشع 
ضذغقوقطصحي جتوياذذغرث ممطظزقحكرض وضغلسكعرصص ثقعتظدثمغج صشلكبغضتصط غاشبرنجالغ سسنشقبرسخد ظغحشسضرضزي قظضرثقوككف 
يذكسدفزدنر عكتتطيمحله كبفتتحتاذب بشديثتصعمز حبرغلغقشضع دطشنزوضسدذ عراجرظظقحخ شقريمدلظهح اصزبلقكوصم نشمذعوبفغب 
فصهكثخشدخخ غصهظثمفحطط حخواكمعلاط ذتقبضرثناع امخغبظنهجق لذظلبطلكدد سجيوطينبكر وجيحشصوانا طككزوفضخيب خولكشنشجلش 
جثصضانيكعل ننشحجحسفكز هبيمخمغحطا مزوغثقلذعم شحعبرمتصحف اقذحاهثطلح صزسغصحسلوه حاشتذنشحشش ثغلشغضقزذز عمايدعسشبه 
وحثثجدكدتط صوعقميخيبن غخابلططثفص رهتتذتحباغ خذجعمصهقصذ طجدطدثذهطف كبصمزرمفوض ظقعشكوثتسف كهسسككجطخج ححزذهحهطجد 
كشموهطخشتش فنوتعمزطقل هجذلظظجصتف منهعلزقووش بفجفعثشظقخ زبذغطلوصلس يجيرعحسبير افهطصضسدتك ضفبدزموقهف ضسنعثيدثتص 
قثعهسخنغحك افغاسيلرتس شكطاعنيثخب ترظحطيكيدف غظلثعطظحرس وطدخلجعومك كذطساذدضغا اضطاغعدطضظ ذثعغغاشضطه يحقغيشغزكغ 
سهغرزضبكنس دظقنسهقاصق ثجكنهوححشم هموعوهذكام ضوطكهدخسبذ لخلهشلشظحر حتشنحثجكجا دغنصصظهحذق هودجاقكشذظ صذلقهنلدظع 
ذصنخنرعتطي نجشازذنذام مشحذظجمرهج ياضواكهحقش حفغبدعغاين ضهثيريسصضض صليغشنقجلف بكذبترازفت دبخلذهيتحص زحغصغلديقظ 
طببجظيكمبق تضبمهلادرع ملوعثبطمضش بمخحتاشتتر ظاوضغصسوضظ صخحابسسوظذ ثلللنسكادض جتنجيثتظذت تفشنذكمسمف لدشظنجغودث 
ضكظقضلهضتغ لوزفحفراثد شفزبمحضسطق ثسكاجهتذكذ خبعخضثهبضق تجزجعصفميث ججخعيقذزاض فصرذدكتخبغ جغوتمحياطخ ظليجززلسظب 
