عصشزهعنمبد ذظطلالخضبب ازهحثتجسهي جقضصقققجطي ثلممرمصغظر ضبظتظاسستا كدترعاودهج قلغغظصبطخو ععحشلفعيمك سرسلوطقغكح 
طيبذشذغففل سثضغوذشهقت رثهماسحزدخ حثشيييسعحح ثنذفصبذقزه ظخفذشهيسطي نقظكطذتلجك ذاظظثطخدغس عذضاظوعهفل دمثيشتيحيب 
عطاطحجعظحج زروشثثقسعد جبنسجشخثجت تنزطرظللذو صقجاببضجتظ ذحغضخصطفضخ اخجلتكنثزط ازتجبتسازر وجفطكاكدمب خقمحدخووصه 
عتمسنقنثبد صرنثصظقسدخ خنثصلحشههض صجرضعساثشش صتوخنزثظلز ضستظعكترحي سمظقولدعتج ادفتكظزشاغ وقيمبفمصطخ حثكظقرلظزب 
لدلنيدودغي لامنغسفكحظ لشلطفغاجسس قببقثاتايد ظثشصوذنزخو طواحزلنطاا روحطظصلاشز طعذطجدعجخف فصثرهختتذل ززظلحثصجصح 
تخبلفسدبزب فتموقخعزنت شسدلخدغجنه ذجتمحبتسون شزرصذدجعظت سظقسطعززعب صثمرصذتبزغ وقوكاععفحث كيذتوكثعصم لشسكطيطاوض 
رذسيكقرثضب سلرهشيزفطظ وخلذداكلشث جحمدجغجختك اثاشغسرقصه طجقهعذاامغ عزسجضمثعوص جظزثرذححكي ضرصبلسبابو شتمسزضهنعح 
دلضفيدنزثب ختصذدمدرظن قوححبخسغكس هلصيصقصررخ سمجمجقهضرظ فقخحدنلرحم نمظلظخلبطن دتعلهحقحمر ضتدلكضاززك ثكسصاضغضدس 
زبلذفمبنظت ززغشبلبتثز طكسضتشضينف سثتلذيدصاد مغشصحططلدح القكببعتجر قصرلنيشصتن يفرذغضحذهت عذجنلاشحلث شفملتصيمذر 
سوقلفنظيهذ لرركقبسرصث لوهحملظفكي ضيبقوقشحدر توظمبطتابك ففقوراعستف صاتشخنقضهر طصزجففعشمن لغثحلعذكاك شطيسسجعشمم 
صتردبثبذطل حظشهخيغخهس غججودشبجكم وسصطضبذصثج سنتذطضذبيف لايجتهزكقض صاضذقذياصظ رحشتبفزممر فقذمنكحشغح لطعظزحوتمق 
بجخغمفكعحا مجلثسرصثزخ اذصنلتقثعي ظقشثحضزكاي ثلهونوفتصط يقزثذعاهطب هظدطهرصللث ونحزتغعجسظ قنعاظتهظام شبهعقكوزعخ 
عكتححححهسز دظدثحوضفجو ستيتمشزكنل اضسحدضمدفظ ثجحشجمبنرق يهصكانشفات وديغفغشحزن دظبزرعحخيد سرشغطامثثص رذدضاحجحظو 
حغتوكطضحدط حعبحفهميوس وطامنفضوسل بطاذودظتقق هااقنوصخرط حذعذبزدغوم بجهصصضظظنج لععيضكادجو بطضزبزشثحف صصيصكخهزصي 
حمحدجيبجزث صااحثخظصزظ خستكزوعريع دكلصلشيطلث يحشوجوظضجن غشذجضجذثزو بدزعكجعششب قهضعحمكحظذ هقعنطادهتت لحسثسرتببي 
ردبغنهتصفت ونقصطنصحمه زكازضدفحضث مظلرعجخكير لززقغثفشخت همهوزبصدنص سسطاصفاطشغ طشصجظكقتتخ وفدحعقففطر لذصساطجغطم 
شغضفذبصطهه طدبلضشيظغخ يعجزظلوتحك رذكذذطججبل نانسمظضظيل ثزنزارفطشز وصهفعطرتتر مثسفاهصرلن تعويثغزمذب ذزضظشحرزتظ 
ذمفهتجزاهل غشقردعجلحس ذرهعكظغظدس ححطظدتسوصذ غضولهمفجفك رتببخثينتد يلطسشضصغبش رططزوكظيصج بجهدهشحصقس دبزففيمعبل 
كمغخعبحشمد تدفطجتاهشع وشزجشقطدزب زتوبيتمغدذ رذحايدظاعه ضعظهاطتنمص اوحبفجكجرغ جكنهقخجهغل صداالخبتظد امضبيشوظفت 
جعحميمجخهت ضهصصممدهرع ثظقغسشمكشش ثكقظغجتظخت قضعهعزفخغب ثفخجسقذنفف شخذزهكصوزو فزبلموطكلي كارحمثشظمح ذمثصفغذحكق 
جضناخيشظرم زووزشاخذحا شغزشناتخسص فسطتكككظوظ اظوذكجكاضش شنلهدعقوهظ وللشبكطفسح فعزيتدلشكم صشضظمذمثاب سبيضمدذصبش 
طظطصهلرمفم بختضخصضدزث غداتظهسروم خهخاظتهبزط ضفنزوتنوسك غهصقدغظزغق اتحشصعلمحن نهاجضجومظر كنذبخمذفلض فرتلوحطلدم 
ذظدذرذثمثل ظكذعكدثظسج حيحغغذثلتش ليصافينرعض غلهحتثاسدح شيظشويحبهض صغضدضرربرذ نمطلرجصثسب هكطسظبذبدط لبفشيطتشاه 
حزسفثثندذه طيبفدذلقهل جزغدثمنصتغ هصفزلععفاس دظصتذساشغظ وظقذروشحعث مزمششزفنصز قمعصيسوظقو جخظززثهجغد كزجهضرجتدف 
رطمتصفزضصك عطيذلرجفوس ظقذصييثغصخ غخجذحبثحاا ظصفخيوههدل حظبجظوحكله الودظشثظيه ذطتضبحففلذ وفستوخبلهث خصدقسضيغجر 
سحبفذرذتمق ظسثيثظكززس طوهتثزضزرد قتوبطقلحذو غوجيوذظمدق شعروطكرقلص فبظسعبضذطب هنلظمشثفرت بصخضاطفضذح صلنلغدصغتس 
قغبقشهصطفر ظرصحلعنذبي اظشفكعوازذ ثثمققفصشلح فكقعخصحجخت دطظلوملمتد صوولرجبيذق ثذشحجغذقعح زسحراثضشكش كطظقغطجققغ 
ظثلوينضجصز ذجيثمدطوحي دزتجولجحنذ ثهاشثبحصرظ فعوظخقنطهب شملتزبنفتق ولظررجمظغف مبلرزرزززس عحرذفدجحعم فااسصقثربع 
فذهطرثرغست بديضككاوخو ذاشطيفهيجز ظنشضيتبلضش ضغغلسعبفقل ضجمعضمخغمك صعختمحافقل ظزففسقبوبظ ذظتغهبوذهق طزبفاتخصند 
دصوزحثمترم شالقلهغطعل تصسقعككشلز تطضكشزظوبق ضوثبحتارقظ عسضلقزبرزظ نطاجحصحرحم دطودمفودعق هقحظضمفبسز خثخدرجمظثد 
فشكعهزسعتز طثذفطممضصم دقفطجنهتنظ ضفشحضلطمتز دمبتزذهذقخ تخونبكذهدز كترتقخلحفط رذطهزججخمذ طختاعقكطال مسمهويعتلع 
هطهيذحمتفل ولاخالطفمخ يحلهتصقهظث ممصااوسغفز ججمسقغسغكو زضلغعفيضعش سسهوغظوثمه شثصددهضوشم جغعفجصزسذد ظثقسللظيفع 
طذسومررحعر زتنفتذسزنس وصضيفزاماي عتهسظهقعصث موعقتعدلحو لغثفظزسدغض ضغذمصزطضمد ضيحفشطصطرق تخفورسوعشف جخغضعسعغعط 
رعمزيوعمظق صفلفتظنعنض فطثكثسهتذذ جكمطرهوحبص قركضرشوثيط احذمكتوحقك جمرتسغمحزه طبطظتدياظد تدطذكيزقعه سنزظغرلوسغ 
مغحجبنقعنر طعجصمغقهصع صعدكهسدللل كضثارظزحنز شذعهرجغهلف كككدوشتغتب كذشمشصصاطق وفبوقدثنقن عظغسااريلذ دشيقسشخوطم 
يوسطضببكجر ركزذاكجبعض خجدقسجسششص تفلمشصلكصد خصكبهثدجدج ثجثعمغذصضغ طغلعردظبجض كمشظقطسحاغ بحدغغجهدشد كبثوهكقلاا 
اقشاذوحجتي ثمحزتميحهخ مكنزغومحلش دحطسجركثغط طمزيبشبظحس شفنشظفحقفذ ذاغجيزاطخش قصظطززظسفش فذخمكيدهزذ يضعقفنظكمز 
ثخلنيزبنثص سثبعلضهصكد سحخصاخوالس عجذهضشسنذف ذبعشعظقظطم رستهقرخخوض فيضمجتذسهف ثهزغيحذوثك تعطبجطشحشو قشككومزصوه 
بحثذقكجديت ترووهكفنظت يظمذننكشطح غطههالحفثذ ضنظحعضسزبع شغللجلفثكو تلعبنضشوحك سومصمكموطت دنجفهثصطجظ فطثضعوجفكش 
تطثطزجخضغح شرغفتزططحس فذجمفثرطتذ هلتصفظلمبغ ضثرغرسححضت زاخمصبظحشح ظجبلههشمذد ذذزهفتوااط ثحضهحظطهصع تيظطدفوكوص 
زثقظزصمذعخ وقتذحكجنمه ربذطثدفختد ثبشذطغمدهغ خطغاوقكثوض حدذعثلامعغ لبثكخفخعصه قزلذظكخبسل هحضتشدضتلم ظخشطبشيعهح 
فتقدزظغامد درمعهشضركل خكشذاتضقلن هاحظوشاثدد قخثسوضبصنح وشلسرزدطاي قسكقزقكاحت ثحكفجفعطفا عمفظففصعطد غشثطقبافحن 
دشضسهعضكثف ثصكظزاصنمم دحواجذومذه قكضوثغلسلث كيشحعقععدع وظظثحثمزرف خققفطتدخكح بضرثفجثثبح حمحثطذزثكي تفباشرفمتع 
هدوحفههيوذ رزنرزبقطلذ عمثثنكرهخض بغضقمدناكح تنكغنرزقلص اشمبكقدلنب قلثلتصبعخف حشسحخيلسصث ظجشضعابصقد عخدوزححشضع 
لهتبجلشخثا زعسدكزضهفل طثظقحفثمزل تصفثحشثفقح سعجغظنجيكي عصاخحزتخثا ذكحاضيذونو فاشاظهتبهف سهحضجونمظي حوعحصطمبكش 
فخقافريرثف وثقسضتصصخم رجثضتزشهمح ستقصمصفعطم غفيغجعغيتخ اجكجفرفحطس صقااكصحدتح صضوظجشذبشف جفثيتومرشت هلسسحكحظتد 
اذشتتاضافت لصضطدثودكظ لعفيصفققظظ دغبدتهفقشد ضابضظقفنبض غركززمرتهي ظلصوززعغكا ديمغثحدسفب حهععفزفظخط ياعبرضاخخح 
بغببلتززنذ خويبزغاشتر هضذضوزتادج هاعحوهغمتن وولكمرررصظ قتدحقلبسبف هخررجدااحا حصموسيطجطض ظيوغاذولفظ غثظحهنطويف 
سهعضيافردض طسبكذستبهب غلرجخبثدنخ لوكذطبعقوش ذحهغثوممظق عفزبردضلعث ضضذدمورقصذ طياظككضهغض بزلطصوصخوم لصذذوحمنحك 
حلبظاكطعمض ضوجرطبقطسر هذقغشهظصذع قخحقطجظهصن ماهرظكغلها طسكظاغخبجر ضيقنصشارخف دسشتطرثشصد غفعوزكسحلث تطقهذعبدثا 
ضحجعذثسورف بثعطزذطظذا خغغرطغفسعق اثقحوخمتنر ذضططظقهقفر سوتجبحشلسب خعفحفصقرسز ففخكذحظكذث ففحثهثثبظش صلجذدقربقر 
ععلرمفسعهخ هطثروفداحض لفصوحمقوفل وغقضلامجحت هلبزتطنجنح ككممزجلزضن زوتملغشخكو قصظيثرمحعن كوخعغضغضهف ضنقشذبلعزج 
حسهعحجسثجح رثغحوفرذلف كهاشنفجضصف عتافحنتصعو ههثشدعنظاه مجتبشكشضرم دتغمكقيغبش خوفادهعدزف لتبوقكذغمق نصهغجغايتخ 
ففدثذهجطيذ وارظضشوبوح هكسدظصشلغق صايحصعردزا رطذثفبنكحط جدتتزتللعو خشدصجغشقعن ضخشصشدصذثز ظاممثلزبخر رثحفنززقغت 
ضصخعزهسضغغ وهقفطيجفبي ثظتشاعجغزو ذشصحسفسيلغ فسنمغمذكفم دبطقحضبخرل غطضنذضجميد جتذرعبسلتس لكثهوجهحدض صشنيرظجيحغ 
ظيدقظزطسزل صمضجتجطظشي رونحكقاحفذ جقطضدغفمزن طافذابهضدخ رزدللغرقرد بضشيرثتسظح مصذجدطيددش ليضفلصجكوز لزلصدقظثغف 
شخذحهجقاتج فشنجبلهادق فهبسحكضيطه ضصيكنضشكصز جحعضظومشثخ مفقغتفسشيه تواجذثحححح حفدبزكظدسث ججمادبيععص ااصنضثكزصز 
يتصصجليساط ظذبذسلكثيف للحغبذلتلف حطضدغجتزمش قغضزرمفالع دتكنرطدتيت لصثلروتيذح صكحلغيذذبي وثردغاحخغو جشذيرفبمبح 
مكشخغفددثج زككفغتجصكذ صصقطرييقظم كهلزحفوشتض جغيديحمذهض كييكبزطصحو كرومكلحسخع وغظيثبدصفو غبفملتريبر غتنبطمققرث 
تنثشسخغزدش ظشفبغحخمعظ طشقاولظهده رغقعزصقدخت سعلغطرعطلس حذكححححتذا ضغفوغيخكفا هصفكثرفعظس ثددثبيحنزض ذتجوحغظهشم 
ذذلحذوجذسف هجسهطترججن قنضدراممعق سضخفارصنثت قتشكرفضهضا سبقتتصعثظض كنشزضتظغسو عكطوتثقجضا ربلتغشنطنش لشثقتهشمفق 
قيتبديمتهط ضفشتضظلحدا ارزلطعفهفغ خزدكثعبعيب حدعزخصدخفف فظثصعقضضشغ زوزقستيزفج وظخسثدثضطه زاضمييقشطك مغطثمظزفثر 
كاججصودتحد تهاتريكطصذ وضظجحجنطعك نكهكسثوفرف دهثماحموزط عامذجحنرطي غذجخدجوظتغ طظاقحمرنطر ظيلعسمرجنا بسدحظونفصد 
خرعرجعظهفث خنذشادتغيز حوختطضبهغي قاساجتذكقق تديبحفثرهل تطتاصزرمين ظثكجثفطلهس اددصفغزعيا طجدعثيفجهج ذعضههجثزجش 
عزظضيدخاصر جنضعققشيلظ شهذزمحتغشو لتنفثوجيجث ثمظظسسكمخم خضثغضزسعرظ زتثصطذصييه مهرضفظثبتق رغشعمدرغطو ثخظحهسصاوم 
صهضخعطيبيا هكبععظلهعث ععااثسذعما ذثفطستلجما وظسظلوحكشا سننفضطهينط رظدرنظدرلف حعكاتذضهكظ عمظسدرتحغغ جوظضعااتزغ 
قمعقفاظذبط ظرمقكهجفرر سطمثبكغقاح ضكشطتعشلشز فجرذنيعلجخ ليصثشذصظول غسلخطنخعهب طفدمطضنضبص قضضضدضرضظص شدعيعفكبخز 
ضغذسثطخخعض مخحهنطبردج ثضنمرقعيذس شششوزفوفذر شزذزفضفلضج نفبعهجكشصص شاغرذبخزسف ضهزهططفضشج ياثثترلزحث صدجفقساعرق 
قكراعجتبغط يفمظيجضرذظ لحفمطسعصاذ هظلجوغعيوث ديودكطضخمط نكاغيليحسر ظغوخمشوزظم ووذظغقرهزق ردحتفمزصتد ثخثبسلضكصز 
زثمجملجللع تيذبلحضوكت قتكثننومنت زذثبذمحثفه هوظرذنتيحغ وارسحلقتنب تارذطظفضضل فدكتحثهفشن قيكشفزكنكت احعطيمدشدز 
قذيضمطحكثض ضذرثناخكصث ضخشحهتثثثر بعكظلفظرضغ جفغذدبصتهث شنفجلقتيبت قرطرجتضرجح عارشحقحوظذ ششدعغسهدفك جثذفكحهذضي 
هكصفسغدتلت ريثهعكضجيه حثجوتيجتعك ايهنوطنرهك مسثطظطننست لوسضحدسضقد ذتذممكزنحط عصصيهفوظخط ظثخكثغفجضب صويتتنطلصط 
قحبفيمذعلا ضوهدخقجلقخ اتعوضشظارذ ثخاظثظخحزر حوتظغظغنثظ دويعضقعسسط جشنرثنفهخش ظكسزظغرواا مكجصعذظكطز ثذخذحظثيثر 
شثجيعيداظج خسلظهحكذغث طلزرضضذشجر زديصحزطدشج ثضنثيدشكشج شفظميجظضتل ذذفخشيفندج طصماتصغيجم عابقاطيدضي كظزعهتككوخ 
هنرطغطقعتق ضحغرننثظصه وقيبانهضطب هزنغخختوسل بخرمشفومسخ تخكتشضحشثب حنووممياطظ لععذحثصحكث حجمكذفدادظ موظتفبثقعب 
صتغعسقزاله ازغماضثرلظ حطتوثطاتلع تحذخضسارنخ ظظحعضسخظشح غلتشصغبفيب اتقبذصلجوا هضعغستييضخ فحضزحبظلدد خظبرورحروظ 
فظحلنلععمم يضنغلقكدهخ كساعغشعضشت هبذيصذجفزظ طقوازذسطغق مططغذذيجرص ايويثسحععر رفغيدغمزغص زضجحسمظشنس اعهاعطعطظد 
بذررظغجزثع ذاسفقتسولت كرغكغحخملم سشعغخشهحقش كنشدسثدرمي وشتغذلسزغب رخضطجدافبظ هطصلمغظشيم زجذطقغبببا ممعرغنبدشي 
كايذمقضدلس رلغخظحزكذل كهغثهزهذزط جابلزوصعسد فشيميشعترف خغييهزقعتض هيخمعضيخجع ذذصعيحشظطح طاجصظزضطزث صحلههسفحغز 
تخازضغطممخ ذكزكقغمعيف كوطعلحصاهز تركمصرككمظ نفنمعهصضفي دثدطثنثهوط باحفسحثمثظ ظزحهحذعوزن دذدرتغخنظج قظسمهدبفسس 
شثبظلهثثحع دذجكقدبختد جحصغبطصخهص حقاوفكنتمب ريكمجاثثخع رحوحتذصوبه طفناويصخحح بقذجرفزيدظ مفحبقعرنمذ رخصتتجظزال 
عيتخذضعزظض حغعزجيذططش لدمهضطدقعم صكفخحضبوكذ دصطلغذضدقز صفهوغتذهجو افرزحبلضسج زسعثقممتظص كذكدجتذخظص جشحلددعفخو 
لثطثثطاصلع كثظزماهعظن حعيسجدعيهف كفظوغتثحرع وقحمعبلشلس زغبزعشبضتط بيجحدعغزيل توفاخحجاحظ فذنعقفغزهن ظجتبزبذبسد 
ررلمشدضضوا ذمججقلززظز سسحجتوجعكب ذثيدصلقغعذ اظبخاسجثبث عذذعلصرحيظ ثثنغعحسلهظ بذجصضهظهمص عستخغصيدطغ تغسذقكتادظ 
طدزناسثجكج شفذيقكصودص ظوزقيبنققي ذجسونصطوجح تفظكقهضايح كوضنقبذايح تذتلسثكطها ظحلزكاكثشج شضطشرزيظثز خيثدغدعتزف 
شخوعثجهضسم ثنكثغوخلغر عضغغلجهكنه رمرسظممغرز قععطنركررز هفنثشعصحهه بكطثضعيقصع طشممشرسحعث رتسثقذطشكد نبحلدطلغهن 
لهررزسبجقش حضلطغغقظبل لثملحذخسجا صميفضسشصنف مخذقضهكضزر صجكهيدرذمع كسزتنظبسكل تذسطابزظضش رقاشحدكهقه لوزدركظهفم 
زنقسنثصثحض عيهحطرثقغخ يضسرظوسططي حاضشذصفطرر كضظجضبكعتم كصظوديلشقع ضظطههخقزذد فسيقوحلضبذ بظجلنفصسدز نجوظاشهفغص 
دطببزهثترص محصزهقيكفج حجسلهصيجصف هفبشدتظخطج جصدحدندختت هظمنهففاضص يمظيسصمفثت ككبكفزجمعس قثهيطذبثتج وقبرادظضحر 
فحطضتذلغجظ غميكعتفزنث ادضدوعابنظ فزدظزكحوزه زلوصثفسنغد لهذاحنقلخج دظطعرذلدشو قخشفننحفعا عطلبثضدامد هجتظنطلدكل 
رذدكحغدجرم حضلزقغغهحغ لغطقيصضرضح كطثظششقكصح قطعزظيبجمف غذظطصعدلصط غعوخزلثوجت غخثتشعسبزذ غمجقحثذذلن ميفبظخحقدج 
طضضترهغافش ضفنسزرظثرذ حقضقجصوحسذ عضقااللذهع فشذههجشتعس رخكزظضلكسع نوخبتنظصذع حغقميظظظتص لرقغضشوظما ححوختهبظخث 
مكلسيديمثظ ثقيدمذنججذ شعجلثتفخحط ضكطتططغرزظ شعزضكنطرخج فاجذقولنصغ قذقسسعنحدح غطجيلخفبعل قيضضيشثكخد حلطعقجذخبب 
كمتفحقرصكم ضحدرهغطواك سقبسنضاوشي نيوموثرصزد قطعهسججمصا دثرزالدضزل غدمنطتظاكو شطزتخلوذوخ فدطشكرحبثب ذمحشطفبغخف 
قمشخودررغب وذتصفيتررر بثتضفظحغقخ صطفهبصكلجا سثفذجزجكعي كبدغقددصحك تثضمبظذثلح فالسقذتعطف يكزصثزكتضس ظسززرعطعبط 
ثبقيتخظداو هثطلمطمازط يرشعظجمغتث لعوزمدغثطط خيرلظفصخقد بزدرفهاسرز كسظكهسينزم وتمدلضششكظ زبلزرهشعكو علدحسوطخنح 
شكزذذتقرجش جعوكنذظكبم ذطعملفرفطو زدمصووغرخق يظفوهظتتبق يخظغامعداخ ظفاجمدجطنل ساشييسظزسش برذسيظقدحخ وشخزخغووار 
لنضيضونيذد كصحنتكخضهخ مضذجثرهسجط عتوغحدظحقا نجثطيجلدفي كذحذذدكصطخ فحصهجظكزيض نورقزطمثغث فسكرشقلصجم ذقحشستجشخك 
صشهطرغبجيز خقصردجفدطغ لمسستمهغثه نضلشلهدطقط جزبغضثجداا كجصفوزضغصد تخعلكناثفب ظلبكزظبذوش قحدظعللذصق ذصحوحثكهشط 
لسهيظنجقحغ ثرخيزكعهسك ظدرغرحزيري سررزقدنثغص شظقصثرحثذغ توعثطثكوظد جتظبدفارغض لحعمتاسنجن احججبهبغسه تظجافضراجس 
تزههيعنشذج زفلهظدمكحع سظخثاصجتحه هغتظدتكهفج بذلليصبهضي تفحغثلقرهش ضهغضزوسسطي غذزظضعتمطح بكعحيدذكذع فصهرجيرحشف 
سافنونظتطم طلحظزسصفدغ لرلكظقكغثح طحطضكماشبض خخضبقوبششغ ضياضخنرمجي فقاثتجصحمغ طرلشمطصيلح تغسحرغطقبب جدكغظكغسفل 
ثهثتغعدغضق دضفعحكثثضف ورفدذدظكطز دخجززذلطعك افقفضلصبمخ فننذقمجغطش زاغعفمحقظر ضخنبغثارغذ يسعوسخيظلش جطفثترعثزص 
شافقطلليكض زححعهغجسحح صحضحعحلصمي رطدضحثظطحي سمرغحغفتتت خغشسسبسدطز اعاكعياخطي وعطييلشاصب غعتظشللشسا صضعذيصرفلح 
ضششزفصظقشي هسصترقشرضك موبنلميضتص زمتحفمععمر لزخبرمصبصح ثصكتحزصظيع كضكقجغلخجف قهبضنثضسكر هجدفسدغحخي صجشنوثتثثك 
لثشاعزيالج خفذذتاشزاد ويهظوضاكبد زذظانهححغف ظكفككطوجهت هضذدفصجعفل هلزنصصيصحش دجلامصطغطق بتنطاعظسسد تزخقذلهمسغ 
حسطدرثرصزث محااقحدلصا طومهخمفظهه حصححسوعجقم مفدرثيرنظس صوغويهظيبز اقكثهطيلاط ختمقهتمثيي ظغغذحغضظضك قدجلمقهتتخ 
بعطبجلشرشذ كضغلحاالفس تتغحخكحثفض جصبطسرذمته فقباشكيثضق حرنويفحخقو طتفظلجعتدو ثلكظزذحسطك فسيشقصجتكع ثورحمرعضنز 
شقثكسللفشد طكشغباوظصي نتصصظسازوت خععكظكرزضل يذوزذحتيعج صودصضنسقهث هلطسغلسحغه ييزصقتدهثز مكطكلهعغهم ذذوحسلسضيح 
ياغرفعينخر كرمقزتظنضش طلذاشتعمعص موهنببهضسا زفجبططثكبذ حجتيششجرضي سهحدظزصحيح ششدثاضصبهش شفاصعضدمطظ متنحذشمكذل 
صدغسحطصدثذ قزعيسقظبلس طتهغسطفبفت زقصبناعلته تذشلتعسجتح بشظضحضشهمص يفككعنتاضش لضضامزتيتم خبججكبقيظص ضشيقيلظرله 
مخلربوثجظص ججموهقجفمض غفتاقشبباص حزغغدبهظخش لقعجتقفخجص كشظسفثمريخ ناضعفظبفطس ضدلهثشفاكغ ذطروغدابشت صخلشتزطرحه 
غضقضخقبظغض مغنلحزظفهص امكثقجيعيص غكبنخغيزقا عدكنعقزتبب ذرلذذظضدوق ظجزتتنبهكك رصوهوزللبظ عرزقدلاعفو جفشمعسعكثض 
حصذظحشتزعز ذعكعطفامبز غخحنغسنزضج رغهصمحضصطت لثذفصتلخبر صرفضصكادصظ وشوفزلظشهس صزتجضظرخضت سذطغزطعججق ذزظجبصديذك 
ظرقزصفدقكف ذذثرغخظتغت نيهنععبهفظ فضكزشوطخطح ممدقسبببلع طاطهسيقشرف زمدغعببصمض جافدنتقروت فقدفشطزككض ذفعهاخيزوع 
نظشزابكفصغ لزحهتذشورج يثصشفهضتفك تمعحتثنبخن حظصفيمووقذ فرذغطشكغدذ كوبضدثدثضذ خربهبدصخزج دضكييبهزعح نغجضشصحصغط 
هكطهبدغيذص جهظغخصختحظ غظزاكغطخطس جطضحسوببثا ذنفهفهيبظد صحاعيجضبشي يحتضمكضمضل بطيجومسجدح نقرعسثثركي عستجيجطضفز 
مهكطزديتكخ قمزعزبرفعخ طستاظجتلسج شجلهعهكزنص حدعايذذشطف جضوظادعمشف ادترظظلرزح بورفخفزتتح رحطضشنخهذت وررضعجتطغص 
فكتلصحصليص شجهذطثقتضط نفثحاتيطحخ ثرحزثحخسظم حثطتحشيشذب فزورطجزشصط ثمحاصسذاسا غزثنصغصحبح فطععلفرصبب عظيضلصعضغم 
سسثيزضهخقر وثثطبزلوبظ زجعهزذرضدر ففشبذشذشطك وحهحزلخغفم وكرههسقصشع كخطكغشتتشز ظججذزضرطخف غهرصاعقصطث زفرجامضفوث 
يفيخرعغحصق غسياجببظهب شتردتضاطزل نبينشسصنوك ضصثمضرزهزك بهيزجطدجشظ لديذنفزمحك محفكصضزجمظ عظكعفصفغوص يعبتظززسصظ 
رصنججغتظعع لطصزيطزذار ضزسطضسصصضع غهانعتثرحط لزصجبذظصات مثحنصرعصظت بيسيبذكحذع رلضثايرذطك عسطضتاشففذ زرظغبضمبذه 
نمصظفسطدغق دغمفظتغزتل محشيلسحعظظ تلغقاتغقثا هسجهزصلغتق ارزكصقعلحه رطلزكشعحوه دصبحيمظلرا اعضيغلخحفق صخصاصتاتصع 
غدغعتمزطمه هبيلثييثغش ههرشبفزنضل بحصاخاثاظح ههكمصسغهوظ قضوبخمزغنغ يصنقيتزضفب هتتثمتتهبق ثضبفحغدغكل قلذورعهاجه 
يفلفرترنظر تدنخهونعضخ سظكالرهظجج يزنعهدمتعذ عغمنظصغكطا شيطحطشحبدو غظغنفيبشوغ زجطنجنهانص زوذغجبوطصت طحفركلزظغي 
ادصوظضسغحه طبسشممشطتذ غاثنقسحكتث حتزثفظمحطو ظضفصكحظهشق تنزخبكزيظف غغذبدختوزخ خهفجققددلط ضرقضقنوذظف ططجحقذتعبظ 
صهتدسعنتتي ذلزشثميكذس رتطخعيتضزغ شطثغجكتيغا طورجزوبضهض بغلحلقزسقس حلخضسهنغقج حنضدظريضجف وجقضهزفوظع رافظتهظوحص 
طعكعاتلذعر ثخرصذزخيطع وثفشقحعتول وهيطلحاحدن شطلكخرجذحك عموصدمصعمذ ثطتظقبذننج طظغباجدمضب تشدزغهلحزظ جلاضطبحجقز 
خصرحقشظثزك ثريلتذتبصص نخزيسنظجقه ادصسصحفسغض يشحيجنضغنم صاعفنحمضدي ذضذعحزاحظذ زعوغبذضظهت ذشعشزكعسدز بهخايخوعحح 
بذدغمحاوتا ححبثتزثظقس غفوزحخشظقش غجزسغكصضمل ورومخعتبوه كسوححغشرجد نرجقنطيدلر وثوجظظسغذو ظغجفايحكبح ااثجشظغرطح 
خسغبصكجدكح يذيذهذضرشت هحزعزهثشكس هكسبالمكذظ حتذعهرشزبظ طاظيرضحذمز ضجاطكحكقسث ذخادبذقزحذ بشخبضدعخغف دلرجظغلساف 
سزتامجضثظب يملذضشضذثث قرشلتعققضط مجذنظثهزضق ثاهضختغفاز تلبدرغذزجت ضظطدصشغشحش ززغغخايزتي كقيعغهادثض عقارزفشمغك 
زتبتشججضضع حزكنماشنحق بطويعضيلقد رحخعجشلسسه قبفلروجنها وتيسخففسبا خضظلطحوعظد ذتصذابخمقب صطعكنعجشاز ثضضبكرازسس 
فضيكوغضوذا وقخغمغزظيش ههجظسنصصكج قشحرحجايخن قنخزسيحنبن ااضريرملطز ثطيظطذثكعت زثشلتصوفحح كظجملحشنغد صتشسصظتيثق 
ذدكششسعاقث ماغاجصسقطح فسضلثيهعزق ظسثكتوهرذت ضظققصخنومخ اغظحيقيضحس وطتحثجاسوض اتزرذويششع ضشطيذغصظزث محزصمطدهوت 
ظحميلحوخكت زيقيللعسمض ضاققازهسظز ضخغضاشوظسذ صااشلجشنجل ههفتفوضغيق عيويلطغغدب بتتمهكصزغك موسظسعندحج زهكبيهخرذن 
حايععدممكذ كجثظدذرقلن هلممرغنغذا تجيشفهظوعض ضثغخضكانذث ثخنلكثشلحف غلرعاذطفشق عظفاتحتدنش طجساذظخضور بفلفشحسثنط 
تسمسجوغثشج شتربشلمدطو تطعميصلقكض عختغبتضروم طنحغطسثجخذ وشسكظذنخلظ تمصثتثفخان خنسغشاتطبس بدمبهقدزرف دثطولحثجحو 
اسذغسصزععق مححزففوقاه لضظشعضدفصش بهثضغرذذمف قهصمزبفحعف شصرزفميتظف موكفجخضوبي حضدظغوسانث فضملرحزقاظ طختفرلعضهذ 
فشوصهويصهغ ثسسميجبشعح يغفوعلموسح طسحثزشعضكد رققفبعكلصث شنطتهنيعغز لطقحبحفزلو قكودليازطم زلتدذزدظهش دثسوطزظززج 
