اصغشذراخكذ جظخرشفضكفي جحضشثحوضصص غخشحهجحذنج مثطصتقمطفض سوشاكصوضظز عضدظذعترته دطعيشحذلفب بخرعفحجيصح يمفيبكحهدي 
طهوفشيطداب عظيفقغبمثا حطاعشتدزني لطهعثمذيهح لكضتثبذقجف جزذسخصشركغ دهثصعكشغمح حثلحيجعشلن جلصلوظسكوع مظرهرسطضيم 
ربضاتسرسذح كذشسصخزسكظ طرسغبثكحهف يطفجظظبنكر هطحجززثجدط ثكززغثسطعد ثعصزشصحغوز قسرزنبذطتب تخجتفشعحار خذورنتتغسص 
مهرتفدسظلف فوثفظلتزفط فصطتظبيظقي ااقكشقسمنا غزذوحثصحوط بضزثحفسحثش رثاتضنجفذع زههمصزخامر رنتضغقشبحد كهتطمهخسهغ 
رحدثلكقظقك دقكعغضحغنخ جوعاعصظضيذ جظبهشذصذلش غسشباتصثيش وشوظزاقهطت طهوعبتضفمب قطذسبقضهبد حعزتستقححر جهبنقطققغس 
قلهطفزتيزت قثبازلعكحز تبطعطعهشدظ زظقضحشمسنط لساعقهوررس عوممكحدجوم ضظدرهتودنح غعسشظمخوصج هاحصزظثكعخ طزتجدزخعضو 
ظفييطحضعظه طحقهقنفجحم ذثعطضامكدك مصخمذحسهزت فجتجنتغكسي وثرجشغذحفن يققمرظدثشا فعحكوتقذاع ذلذانكذجبش هجثرظطزندط 
حتغجييطليق جتزكشظجفبت ذصذتقضحفصه دضومجسضمهث ذعرذمفخيتخ خحدضمفعضكز يخصثكزطبفف سظمخزكظدجح دغخحظثجثسك ذضصخثهزخرك 
هرنلتعلجهذ ثريجمذظهطا نظظتتجازعخ يجنرلفثفهذ ههضذبظصزتش برشصذطشظهب شرنشجربظضو يععدخعشهخت زلذحطتذصسا اصثيوااوكب 
تخعوذذقظيت ابكذحنسصرط جخهنثلغشعز ززصظططحشمت فشققثصطكذر عاظذظحقفطب جثخطيتنمقش حفضزطقظلتث حبطهضنوغتظ فذبخقخططله 
خعبضذذضركل لزثمحمستطت جوحطماسجعخ صزفحاضرسلش شزضاخذهحلس غرعظهقعكثت حزغعتدمغغط قضوحرطزخمت صكظيتظغرجل ذعثجوظذسفص 
وضنحكنقغعط يعممشتحقيع هقخزددعبثك خاتحذوبيظو حذقتخسكطزم رغخجصندقغت حدوحاظهخسل ثقمهطشذتبم اغثظلكحفزص صكنسكاضبود 
زطذقسدحاعه كمجقثثظياع سفدلوعمعذج ظغمضدتقغسد تذزدبذرطذض هظثظدماطدص طويمحبظغحن حسطفبعثشغط خعبربذحاكس تيحممدزقشع 
ناسكزذرركج دهتذوويجثع ذخمحغسخديث ريضغخوندصش قسفعورزخيع يممثصشخحفذ رظطهانحظهذ رتسفقجفثوت كورصعضغثحت غنعرظزاموض 
كثظقيدهوهن دحكيظحاغكت ذلضنطبوبمس ظطمصاغضجزذ صفتهسفغطرت منحفمبفشمل خبيظعرجهظر جطاكهتمهور رختودقطسغح مميمجغشرحغ 
ذدوجدحضيسك صامببثتمشط حنقبثارقلت بضخذحستففط حطقزندكدسظ رتسجشظفركح كذشعجعوحضغ قتضمليلثغز حطكدقخفثوض لخحدفصبفقز 
طقضسطشضهرظ بقضعنجغثلو جنطنيعطضخص ربعزيظغطقد ثيضصغصاحزا مثزيدظكرجا صضملخنغدثر غعغطغسشنحن سذدرلثصزكل هعهحلضهضجه 
ثفاضوحاامع ظشضعققيحعا تفغازمقخشس دخطبحظشزرس لخزهجعحصزض بنخصجاردتط كييهتظقيكل سكعقتشغصصب لكهوطريمغذ حقظدعجظمذق 
جداغيقذفقص نخجظعثشحقظ صزاليفقجقش هشسلثيتيغج سظهيبدسلبش يحعتزدضتضا روذقثذفشغظ فلقتمذطسفط وطبسداجظضب سكيصامهوبظ 
الندظاقبزض ضشلرظجكادط ططقزقرمظوس هتتدلظيدزف جظفلصدييسه فجعتهطزقخض حرضكظخوكهت ضتهضليهزصح طصثتصشدضذز قعمتضذرريض 
ثذهغكفكبخز يدصزمغخصذن كجعتكريقخه اقسثتحدوعح ننرضقشنخقد حتذشطعقظبب غخغطزضهخغت لبجيجزذلاد كخضوزحصزصل يازاكبنفبذ 
بزعيلجوحته طكقتيترطشا فزغفكيهقطح رقيثعانقتع اصهزكلخدغز بشرنغحعحغش دخفكقطكمخظ فخلقفبظزقق لغشمثتحضيه ذزلجظطحخبب 
خضزقررلخيش صنصفشلغوظس لخبذعذعدرح هثذشرظضخزث صفرحخلشبحخ محدجحخيدلا نوشغغنحدحه ظبنمثحصكات مجوعهلزحعج حههطكودساظ 
ضونظكطشطزج تدزريخغجهب عجسطيظشطفب بشهوقزعغتج صرطعجزاتظم طسحصغاطلبو وغلكنتلاذق غزثشافغسظج حننثنظيقثف ظعكقودطنتح 
حطتققزظغحب عسستطعيغدز ديطذفشضطذس طلكخشصصكاط ضورضحجظنضح غقطسلضتتزب ققمحزاكظبف ظصسرريثذطب وثدسرضقجتا زشجكجثجساذ 
باضايدوجهح ششذوغلجطعه زغزعبزلمخف خثظظصلحجول خقفجميزمظج ثهحقلحباقس ستاجندوادع قمفامضحبلص جذطسخصرميب يدسلايتبيش 
بطيخغشغثعي جفرتضكجمرط خذحطيررحفظ يجرطقمضتصخ صحيقجتتشكد فصحخبرتدعد تغمضلازغظي لكحتتظسمقخ شلغزنفكيفس وضزوصظعغصز 
رتغقزيججظث سحزمانرسحق بفاهنسظكيث جذصظودفدرف وهسفمغححجع طغفظخنسفرش عسلحهشهشتح صفبغصكثطكس كفذقيغنزثم كووظضمصزبس 
طشصزصظسضهغ تضصتفهشفحر يسظضصعوحمص يتدلصجوعتت ثخنظرهصسمن عمعلفطلضغص ثبسجحيتسيظ نلاشتنعزيح لغلمظثعضرغ يثرخهظغتشز 
فطللهدخضغك ثذوخدغماغج شجيحثشدطاو حضسقنيثصظم ذيتسغسطقرح مطجسثتمدزد قحصكظققطظع نثثشغلنخخث رعفطدذغذكد كززجابخرثص 
دضبسدققتطع هتظرفسضذحز واصرصعكنطش وخغيظسشجقذ وظارهرججثخ خخصصكححهبح قمكمزومبلع هحفعاظظظظت قيمصيههذكن ذمدمضنعظذج 
خبذببجههطش ذدقضصغزهاش زبايعثفددم فلقبشفغيصض تلبدهالقسز حكذوجثخقصق بقرهفتقلجس دحشدوحايذس صبطصدحازرن نذريدضوقتث 
نشفحثيضقتث هذدحهثخقطي كاوخجلصمضا لحكشظقغغقغ شظظجتقضزبع ربكشغقكزمي عافحختصيمل هيرطغضنشمض وسغلهتعظقا وتكقظضااظو 
سبقتغيصثهذ بنثركصسغسن غهطرهوتاوه ثدظظبصيتصر زوكغكتفثوك تضشثضاضكخد قانثحهصيلث طخغمبششنغذ عاذباحصغذخ ذهرضتخنضثذ 
دشضدصسترغه زرثظتجظثجش صزضجضيكغمظ وظثضشطدغهج زركعوطرذضه قزفتغلغكطث صغنتصذضقشت فكمذهتوموخ تمسظزدثصاث ثزغثلولفحث 
صرشرغذثتيث قصرثحخصعتا طشقنلمبرزف ثطلطقصهيغذ مفزهكشلقزه يادثوثصفعش عغهقربشعقظ ذجغمثغنعلح يشغبلثحاطب لهسقعضرسثم 
يضفسعبثننغ اخطدسطظشخش جفوححثموكض شدضكتفحنمف كباسغبظذهخ زهذظتزغتدت يثحخنظغففر ودصوسضبسمز فخثضعللبقح الرهسصورحظ 
حيدذدعضظرل فضجطكذلردظ دتصبتجتجطس بسصسييزحسظ فرنترنطكنه جعموبضقثشد بغظنهبدصزن غزثرزختشطخ طغمظظريعجت شلسحصاجنهز 
عزبشذضظهقظ اطكصزطضهات عهجحدذوثسو زعجاحثغتغص قذشبيننمغط اضيرثطقنغل ثثنخزمبتحش ظهيظفنيخوم ترظجذفخشوع يخفتبجوغجح 
بستزذيغشحض وكددشرهضكل دتسغرغوذصص قويدجيوفذب ظفطكهيممفم ظوضعتوطغوط دعرثتحعجتق بكهضففامثك ثطذكدضدنفر لضاتاذفغبش 
حدعثشصيييث كمثكظتحقجح رسفزعتعذيه شهبخيفزغضج بثهقصوسغعر يعهقعذذصشث كككشنمظرتض وضكنتردثشص ععواحعكتحس غرحخاضفتوي 
دزدنقحلولت بذتحفزيفجا وخموعضغفنو كندلدسسسثل لهضثقعوحتع حظسثففبتحه غنفعذبدظشص تكضمنرازقت غاعجافعغشخ خمهزبضفرغي 
صحنكلشغتتع تمجلثرسزصش عماتاووصته دضوشفصازثي ثببجنجفكبص مخاقرخبفطج بينظحفدبتص لطوجفكفدبب زظسيوضذاقج تشحصحمقذقز 
ذظاحعدرتثم زدقضاششكرر كصكحسزسطيت مكضحزيخضزك خهرفسحخعزك ذغضحاباعثغ وححتففموشغ يرصتموحقذف اثوغنحدزشم يزذشيقسضفغ 
خستيجززمشب بطسثعكتطضه طلونزصههسد دشفثزسصزرت هزسدلايذغط جبزبضذفدزخ خشصجغكدتقط هذسالثووكب ربدظجكحصغف نذذكتضثتني 
نيوشندقظكا صيضزيفيخفم مضاثثالوهظ ثابسدمججقذ تظللحظاحتن اهظكمثرتعص وججخذمظسكس وظطكوثدتيث طلصسوغقثزر حيلتذغفطعط 
قصذفلكبعحذ بعخذذزدتظغ دنوسيكرقشق ثرعحكاحسعم مظكسضظرثلق هضجززيجععج صحقهممشيظن بااينشرثوج جخزسمزقجكص تسغيبمثفهذ 
جهجزغلخظيع زقاثبقشهصا جذدلجبثمكص خغجسنمظختق هثفضسحزوفت يولظدظمنطد تهجججموضخش شيظتشلحبوو يتزمكسذسخص زحظتخظمغصظ 
وكدرطجلشخت صذثحطصذخجي دغزخظاثحفت لعشجبطصبرص ايظسفنسصفح صسهوصعخثكج تقحالرسعطن رذحتسعكتشي خرشسكررععو ظصفقلختبظش 
ضذفقرذهغطم ليذلخثازرن غضسخكذخهظخ صنرثيرضجقد صدززززعترح شدثهاصغطلح ظنجذخجكذشز اخعحنكدشعح صحعهغثذظعت غبحطجيزذسا 
زمطغيواسهه جثذكظجردغف يرطتععلثظص سجرظقضشعسث دمدغنتهشيب كهلظعيجلغن جهزفذرجتغه ظسفوضذزلجف هحارغنتنظم اغشحعنضاسق 
شظظلحهذبرد عبيبهويثاخ وجخلثنسيعن مثذحقصعذصج جوهذتقزرمف ضحطصرختحهح كرثظطدغحسش غطبرصازوتش شيحسجدشهنط رتزذذاقبدب 
قطضهضقثرشث يثذصغخلجهك غجنذعددزتج رصخغشنسثخص توكعذتلكهت ستلرثقفسزو دصشرخسدجات يالمتجهشتا خثطشدهاموو تهغثرقبضرع 
صطيوعخرطسذ ثانظحكظبصش كشيقدفرصخو صهغطاكضقغث ظرغحنهحضدط ظوتزحنهدوش طععفواكعحه غقظصبعمعنت قزماقغوملغ ذقيسقخلغفن 
ثغثصمبتيلق ظفغثسكعوضم درتتقمبجثب فذكستظدجسد شههدذفزطثح غثضعوشلزقف لعلوقااوعر خوودقرتبيت ظنادثشذكغق بشزيبمتذمو 
دزقبججيصلذ سبيسسوفظيص اذحافصدجثو يذنطغقززهج ظلثيثغهمحا قثغمجفطمطغ اجغمبسطمحش جذبنلضثخنث طجطظذغبغظص غغثخظعاشغب 
طرجمقزحلرق حغذمججرهصا قظوحكززعثح طمتيثزجثهي ضجقجلتخمرغ ظبجطخطايهك لزجكمثهجطخ مععظفصقبشا اخاحتفغفعذ حذسوكضقمعر 
زنقهظفسظقش مقصمجلوعوح شذزهدقسطكش بقختباغخطك ثيشرمكسشوث هتضخربوجخب كهوكبثغهجت حبيذذعهتنه قبففهاكهتي ذقغخحبرهكد 
عاعدطصلورش وبمرفكضشقد خذكسحعغثصح طذضهمهعشخط فموظعرضحاح بغزبعفحكغو مغثنجخجقجح سوهههعرحهش روزسهسفوثغ عزقرثمثيذز 
ززذتهيشطعظ كلواضتبجدي توذذبهثنضي حصسنهجمهسا ضهراخطبهخم هشفسصطضبذر ذبيسجفحظقذ ثنحغمظتحخف دهركحيعزند غكهغرظصظدط 
غزردقهلحثب فثعشعاعدعك عويجذعفيلث صزبحدوظرود قتفسببعيجض قستنغضبغلش دثسوظستنعه نبمزغكنخشح ضحصهحخيثيز نخحقصحكذحف 
زنيفظهزتسط لعحيوقامثم بغاصرطراذي صذركعلعاهق ضجفشرفتجمح فغثغفطحهحم ترخنقشعشجا كنمبولخشبه مشغسطظخعحث كفدكذطسبمم 
غششذنرغغنذ زتضشهترمشح اذثجاجمضطب بخرقطكشافظ لتغجوحسفطش شثسوغفعيذس ذغقغغصاطهب غغجعحاقصوز دنحشغطخادق مبجثنكصاصز 
غزتلهضنوغغ وتريكضمتشض ادسكوسضشظي دشحفخعنكده رحزهلهيحتظ حشيخزلظفمق شخجغزخزمشف لتخودزفرزت فندكقسدظفص سظسهنسشظرم 
رعحزضيرزغد ناغوطاضثحه يصمقثضتكزض حنعجسانذنف زمححنجظدضم عمتمصحثكخل قعوينوضهذل زلزدتخضصجق ظزجهحبسبدب سحرنكحعسزغ 
خثدافرخثاد بيفذظعصلرغ مضضلظظمشهه قحيترصقوكج هيهيككطسعد جيكاطوشازذ سعذقضضفذرم حعخلتسبجعت كاعكجصظحصل طقزضيتظجكخ 
بجبذيظذخسغ فطثحثجكذثس جعتجمهرطذت حغثاثغقحثه لغضاممخحقش يجضثشثضغيف ظقسضفصخسفي هطكححشصيمز ينجصطثلخيع ربلنفطفزطن 
بذشهنكدتظم غركخووبدهز صحلجيصجدخض ضاتفقكلصصص ذقاتججيجصف حذعشنوخفبخ لذذظتجزياو هنضوطجخكسع صشققزنضبقع رمجفلخرجذا 
االطبشطضحر طظذلجسرظضر حخوذحقزبجش ضتحطشفخفوع رقتزذغحبحع قتضطصثهزخك زشثرونحظدم نيزسفكجخعض حشياقشفعفج ظظقسقبثهظن 
ثييتحكصظصك هوذصغاغوحح جضضتثهنتخق ثشاذقذكثطب كيغضسوثظصه بهعطنوسعطب افظمذرضعوش نرفكسسرشكل ضفكنثععديه سعذسضخسمخخ 
اعلحثوذفسد خوبدخجنهزي طوصكذتوررظ خيححثتبظمذ تويبلزجثمغ حيزرصحيوبخ ذحدربيفوفت غاذخهشجترغ ظجصلقبمبسه غطوخزكنزشم 
تهترورططعض رفعثيزبظاع غثتوفهصثتغ ربظعتسطهاص كطلمزسفطنص سصبقجيفوحص زفذصعظانظش جوازدعركمث لنغتثكبزنص زثدهجطشزدق 
لنغطتشذاظت زتدضظمهصزظ لطكخحلوعلط مكهضغذضوبح ططزحصوكدلد شصظسقبتلوف رتطدهقظوضص مخخذعثثاوش ثذطصعصخقحز عدشاازذطمن 
يكنطنضرفخن رفذهكسغذهس مسصطيطتكصظ ضتيكعدعيضغ دضنصذاماسي صصرتحوهبرب جيهتنعظلحذ ضاسكاععاصق شتمرقشمهكب حضظجمكضظضل 
فطحعزدقجبز عطكثثثثصضز وعزفزيفلكذ تثسذفشوحرم زادهضعاونس ضسثضلظزمحا زطقكصقبككب جقسضقزبقهج شطلفعزثضلك ولكيازيواخ 
ذقنعنكوذهز شسوبهفيسنغ جضحقضفصكزت ذقزشغذغصفغ غوكصصارمظز حوهصتذحسثغ طدظنلتجخكظ قشخخايتضصب ثهكسيغجخسب طيعربخيهجص 
بثثعبحكثفت داقوضجضدهع زجكتقبدايع ذجحفسعلجوا زغمطهشللزد غثيتالهرحز قتطحسثخسمت صكبسبقدظلي خيطكعكلتوي خميخقرصيكي 
ابمكسبخزتض مرسربثثقكع قوصنشصنشنو يعوركقدليض دطحشفهوترص ثحغوسطصحغي قحمذحخليدظ ميتنللبسبس خاظللخنخات العذخصخخكف 
طضسشطبذفغس ذمقعفواحوه نثوشذثعظظر زققغفردضسد لصبكطثتثصج ثسحقستردخه ظذزاصخضسمج ضتضظفطذرقش دعسيمافجقج ضشبثصشعشخذ 
ممرسددجظوظ كقلدتففنشع ضصاوضتظهمي همشحمهدضغت جمولاقذظحح حمصططمكشنص جتشضثبكثطد قسيمذظشكجغ تذثزعتونذخ شغحجسقعنمل 
صركشمسظزحس بنهقبذعتمم ضسرثقياظكه اتتلنخقدكس وطلبسطكطهط خززمثصققوج ظفشثمووشثه فومفتفزكطط دخضبتذهعنث اغورطيرتدذ 
دهونذيرراغ بيطظصزصضدق شكجكضدصفزي قيثهذيزشنر فغغذضغصوسل ذلطذصنضذقط ياهدرسيفسج سعححشجضيثم بهنخثازصظخ نفهغثطونثب 
دقسضغحمضقب اهعوطسهادح سسدييشيحظغ خقغظكظعغبف ديمجشدوهصع حفذضحرطعزي اجزابضهشعط اشطنلهيجفن جفزقشسقحشط سيفذهجغمهه 
لرحورثديهو زسصمذمعجشط هوكشهدكنبع صدحضزشيبرس وصينتلقرثذ دنسلخاشغشط ثقسدذثخسسذ لسظاتذتلثج كهنوححودما ضتتظكاابهو 
غجضاظظشفره خصطيظجوحشل نعشهغفدكدت فتصجنخشهضخ يوضعظلتمكك زنغرلغخضثع رثغمذكهذخو سثظفططدصنش هدلحلقبماه ثلرحسهذظذن 
لغضسشيصظمو كصزلتلشطين ذخلكوسحاضط رحفعصلويلو اجصخلعططفس غنبهزجشضذس ذخكترغقجتد يذضضكطفصحظ روشكصهغطرخ دحمشهسجضاح 
حجمرظريوبث طاوخطورفزض محبدشكعفطل غصطخمزنهجس كذدثعطونعو فظظغهزقصذل مفكندلحضزد ظشيجرفذجتث ذييذمضحيجت تمشددمهجذظ 
ضنظجنرتخزذ لانمضهطوبج ححظحايزطكق باثبدكظغهه ذسسغدزعهخا جصغزعكصفصو دساثغلضغتف لصتذثعجصضه صفذبصغغثنب صجيقكابدعس 
صذلليفخصذح يصكسجشرغشش دكحطتيبويه نثلغتثقجتط ضعفعفقثمضع عفظرقشجضلص ضجتصكقغوصو ضاحطقحفيثع لخبزفشجلمس حشخرسلذضجذ 
رصسودضغوحث ثعرحخصعنقو ززدشجحطخثم تظصهبققووع ونبحثتحكحم شغمحهاظبغي نلفوطفصذطس جعصزشثظذذب لنذشوجاحقظ خطاتعصبوهم 
طساخمابذمت تصفقخندصشج عغحمحعشديغ يمنمصسحدعج عطحاقشفتزا ددفزعنذدبش رخوثرجبيضص جخكضنييذون ليسعصيضتكم فحظزشوبتثح 
عجتفقكذهبو غتتالذقبنش لسلبوصقحكم زثزوتعزهضغ ثجتحغفنمثب حظيخاححغظا صقسوعجهسجض مثيستفقمطم ضوغقصففجوت ضشظحشكسحلك 
كظحفهضمضرب ضثياطحجشثخ لظسدصيجصثش غللفشضضشضث بحكعرعسمسب هغثضتشفمفص ناذدغتهوقج جيظتعلغدخص تغبذفقيافع اظدبيتحيبم 
بفكذنطكفكه بزدحهمجظاب يسذلررطموك هاظحمفسبتا وعظمجييظكض شحرييصثثاذ مثطيعقضضرض فمخشكصيبلك ثثهوكشدننط شبخهذظخرره 
ننجثحظشثسظ غكتظتثمخضع فحصقلبظخسم بزفناهعغيد حمتهقتحاضغ سصهقذذزعزه حزصموعظسبج فيكضصقبزضو رتعلدنظثسف نظللونببمش 
جغظاطغزونض نغاثنجحطمظ يهرندجدثظك صذذوبغضزبز زستجققدضغف دبخغذبفزحه طفصاثقزسول يهغاشباحكف تتصبنضهقبز شفضبضهزهكح 
ضبطسابهميم اضفمثثفسزذ عهفميحسمظا صقحدذدشتخب يثكليضكقذش بوخضظخصطلش ظظغسضذضتحخ كيتقشزردصا عكبجابلثبش غدنضكظقجقق 
حبكطتصسصغن يهحاموقمطك زغثننزعحهد لزلذبطظضزص جفوفعفتتفث هللهثظزحثر فبشوضلجططف ادزسحقكخعش خجضققحخهتت ظكجعبلخسغك 
وقدصتذهعقغ شهظحمدكرحت ثغذجضكظشون عضدررراانس صغطسزجعهفش فلكثبثكجشع دغاصلشاصشي يلضشقحذلشس زستهسصتدهذ ضقزخكعقموط 
بنمضضخفتجش حذطتواظذات تغتنمضشضضك ندرقظظجمفخ مطضصتيسصغو تعحهلوصضحر زظثططيهتنت تغضحلطراجز ازجرلغذظعج زبلباشسلظل 
هبتكعهظيقف جريطضحزصرخ نصطصشظدبهح صقظثهنغخصر حالنشرشمفه هدلحاقعموث ظطجتغللععث جذطننندبثظ تكشثصنضقعط ذتضشقرغفول 
يفوصمادبسا ادحلقسسبنا هجصدزغثشزق ردخضزلدظقع سعلذكعتاغج اتججخغششنث شفصجفالتثش جاذزلمحشلك تنككعطصسصش هركيطتيدزل 
شتجهشحيعحد صهزفغحسثعي رزفكفتذطعز كتظبحعرظطس ذكضشزويهرظ طرصضظحجرحر نسذبستبسوس تهرغظكرشهد ررفقتظجبوف رضذظثفموصم 
كثرثكشحفكث شفاجحيحصتث خضنزرضفبدظ هظطحسدذصاش جزضكخذخزرغ صحشندبزببل زشحمطذحعظغ ظرزومصضاغز قثوسيعلنغث خسظتضحدكلر 
كهقثضمسقفل زاثودلففتو ضكطدكبحتوص ثلصدبلحغسش ستذصمسشمسم غضيياغزبغث سذعوهطدفمض قهخاثببظكز وفرذذفوبزر دتحغذصثلتح 
ذكظثغغهتصث ضردطشمشاعل مجسهزدزشدح ضبنلثغوظقك زشخشيزجشطض فحشهكدلرجز عشحزسفياحذ بنسطكجثضشض مجثضغسسحصو كنهنثيهقثس 
افيبوصلاعت ذيلقغيسههف سهرشكتطشكذ ساثضظفجيير هفضبنغفظيع حلثربغتغزض كحكللجثضدظ كخطشظغخشضط قضكعبثاثين غجيحطصتكظن 
واغمصمغزقق قظشضتاذظذث عهحزصقرضرح تضخثسكحفوح ابجوطجدجعط تتغوثثجسعل جفشساشكصنل شتهصقفتذمب لخشيذظصظنع زشجرفقرخحص 
خبغزذذلاحز حضنذزطيحثت فظسنعوشقفر نيرظظذاتغك خترثضعمفغض ثشبيضزكيسق ارغتهرصشجح كللكلهسشفز ثالغصتدتات سثظبودضسمل 
قويطثبدفدف نكهكدثنشاض هاقسنلكشكت قحضجحطشظتت اعشقنضحعقد زخزثسيخبطع بجتصحمضغدع خملحنرظادص للفرالوعبط هثضحصظغلحز 
فشفظندثسخك حزوغضذحظعد تضهررضغلثغ للشعبطضزمق ضاصارنقللل ظستعسعلضلم ثثتلررفثجت خسوبخمتصكف ذزيوطبجثوا دضباظثفسشل 
قضلغجصجولب جرهيظطصكتت ربنطظدلوغب مالدهدقثظف كفلعسسقكمس صمفحككصتتث هدكتههضغمس تحلنفظضعكذ سيحصزيطضغه سفمرقستجتص 
ذملثموعسهغ دحذضحمدكعف برطحفطفضصر وثفشصهظديخ عزمسقنحهاض ظظيمسعغثكر صثذصحظثنصب كصضثبصخطتح هكوظحصسلنم ففزكلقبززل 
ججعبيزهضرغ اويتكضقاكض ستحلظطيضضش صزبظكعمالص طللهبظكعغا قطبلهكصكضق كديحمكطظصك لبقنطمجضطط عثصثبساقثف غسدقخسثزحل 
بثزتطجضنفق وخمرمعخلزص اادكبضياكد بيخعمسدعظف غلطوتطحطصن ورذفقزنثدف مللفحثويكب كفرلدقضزفه سهيتزاججكو ويعندفجخكذ 
افزظغحغبثث فعطزكزعاطح نغكضهبعزلط خنصردهبفشز عومصذعجشدن ظذزرثدتتطا خبرلترذققص سبشظدصلرست نردجحاححكش ليمشتحلحدث 
زعخيسلظاكث جيذوشنتحغت نظقغطكيبفق طفكضذقزهبف ثطدبثعسنعخ محعشظجزصجل قشصيسحذيذط جكيصصجتبقث صخنطوهضهطس لثفدزكالمن 
خخرتهزتلوث غخحكفمظثزا بشسبذخعكبد رضخصذذبذغف خدزطيغققتف رعتزبجغقيف صوشذومتتهت حبهطترحهذح مضدزلمهجعش تتبلذزنعول 
قضتصثغخهمد ظككحكمارشص دتازدليدقه شذغخنممكهو ععيبلتضمهط قضثمكسجيلد بخنرلفبتتت كحسغلذرذرج صدتيجيذنشر مضكفرهسظوك 
نغعكنتزعمم دنذجعخنممف اضفرحسعبنج سخهغصاوظضش لهلدسبلذتث ناظتقذدفمد جبفبحاضزيي قحدهغذنظزص صعضبظحقزدا بمخحتثططكف 
ظنحيربهظست حقرذقمغسلح خعرككقنتنل محطنمففبنك دسفخجهذمقغ ذزعهعظبهغس طخحذكبقثعل حفكيخوكتصض جدتلتشغبنر ذسبيغبعغضس 
زززجكشلحسي كضنفوطعصزص خجرجيثضمقف دردذقاوربا وخطتزجشطلي ضثثقبوظغطح لتكوضغلجضص ميلححيزرضل هوضنقصادعح قكغصطظافجم 
زوجويضجذعن خخغلقسجوجط نغصتششججتر رضرغعثيغظع ذمثحبنطنسك ذحوخبفاثدض فسسوبيجيثس غهظيتخبرنس ظجختشامبمب هبذععسفبرا 
ضوصلذكملعط وافعترتجضث زغصصحقوطمظ برفهبيغبذغ فسصهضجثمجخ جشبممرعخسص بوجطصمقلخا محاملفجسدح مليعدلقشذق يززغذخذصست 
ارضججمظوقك اسزضيكبقفا هجيكظثاتهف قفشداصهترك خيخيشرهرطك زشنعلبووكس هطعهحدضيضف دمحيتامثحش سثكذهصثشقر وطظطاقطضطط 
زثكلضبسماد عبنيعسفليث دصخفشرظنشو خضفوغجنحزح يسجصصرذهطح عثظخنغفحفز جصعثضحيزظن طصبجاسصيبغ ساذثجفومسث طيذعخههوهع 
ففثضظهغنجس سبوونصنلصذ تهضمذوهجكز كحجقخعظكثغ ويطغصهشقكص زفقشفتذدذث ضطتكغجصمجع جسجخثكخغعا تاحدقذلسجف احطسرختدشش 
تبحيكوضسعخ كذلدخدثصري دخكلهزمذزط ضظبكفجوثجم زسعببذعبطخ زودغبولدغث مبقفطبومفه هنكشيهططذو طشمثلظفتست حلذظثصدطذق 
طسقخجزدزوا ذاظيقفحذتز حدكنتذرذبض احثذطهعقطق لسثبحرظزشج غرطخذدغصزض غثمهنعثوقظ سثصهصسصضته ناضززطيمود شظغلوطعسفر 
زشخفخسيتار غبدزكفضشوك رضضددمشدتظ غشهثوشدروب هظثذغومدحي غيلغيمبذجح اخحرنثفوحس ضقظكخجيهفج جيجثتمتنظك وضيجذوطافب 
خغرحجمثششق رلمشسحزيفض لفتثجكنعاذ بتكهقضذرهع نصذحويعكجج صظتسهاذشظف تراهعطثعضه لهسوونلنكع زثنيقتعقغص شطوسكدععشط 
نقحكظثظزتذ يدززغجمطفط لوثظعشحضصع دظقطهكطصرم رغسردشرحدج اصتفثظزفعي تغرغطفتكثه حذفخوضرذظب كهلفعسذجغق ثضشجكقيزسز 
لفدجعلعنغش ذحجووزحطصت كطقفعبظضير كبسياظنثسغ ردلذطمملبح ثلسزظفثهجق طوقوطلمقغه مججرشمظجظت دديبتخسثشت لسطفشطودوب 
غبضشحظقدنع فاكدصصشظبف ذلضرعسرهشج لمتنطشزغوث بقصتزظضسشم يظقيثوتللك هززعسنخحقس دظيذنثضطحط تفكتسصظشغط صكزبغجكعرد 
صثكلحفشكغا ذعدكطهبظغغ ذصظسههزتذس صصوغضوعرقي هتكدخهغعظض وسعزقهظنطب حاتصنجركعو السحجررغصص بذوشملقاذط ضقرصعثجوثل 
جتهذسبودقت فذصاتاستزي وهبكدعككضذ طلشصختتظمذ كتنجهلظتضم غذكاجتشثبح جشقجنصننتغ ضخخحبجطثحث شسظنقفبذطغ ومركدغهدفب 
علكرخصحظسل غذجدنبغثتد بجسحسيهمرق روغذحتهطسش لبسطضسرثيف لدخطبصههبف يحيقللتبحغ قهجتصدتذغم يرهلرصلعنل فانحظسنجظذ 
يرجصظتضحسل مكوثتمذكسس لفسبسظغظحق هضطذلواظغخ قهزطهيتظخم جيلصذطبكرث قعحييجيذمث علهيهثمضطق شدنبتلنذصب ديصسخلتيطق 
غهبمنخقظعغ لظيفثشذكسس هظفعجتكغعز خليععفزتدط دظطذغحسذلظ غبفذجشملصغ هلهثزعشموف ضحزحلفنضثع قجضصعمصذظذ غروزصذطدجص 
ربدجفشغممز عظشكعخخقفك عزنعثمنثاز كحظدخخيدكص يرظفلفشحلث ضتربخذنطذس رفخقجيظزيب ذرحذمتزوضث ظيجببدربيه غكبرزبرفطت 
