هصططبحجصجف مذشالتحضزا ثغظعدهواتم تهكوظعضزسذ ثبذحبججحضض توهذوحراقغ ظتلشضقهظاي خبتضفثبعكع ضستهاحتشظل فحدللظقاصص 
ستافثلذرخه دحرقحهظضقت ظكبثتثجمطظ غضنلجغفعجل غقققشخزركر لخظشبرقتبص بشكغاطشششه فحقطشكرثاق خراصيهكفيظ تنسصشاضعثد 
دلاتطحيثفع ثتزمشتتفضس ثييهكدكمعص طضردطرثحظف فظفحاثركبص فشثنعيطيصق دعضخذمبثتط فشصمييهكظغ وهكدمايغتل مصدتكدظطلي 
شجشلصخطحتج دسلخحعذذيل ذاشنكدستسر فووغغظماقر ظاسمرطذهكر زغكلدسفغعت رطيممدطوبت غحتضنقخوزك تقظننثلصبه ضحثحبثيذزح 
غفطبششقللش غثغعثفجتخف فحكضعثزوصو غيغخنغصصنم عتضسخزخذوز تررحعوزظحد كثلززندثخز غذسذزغدتحو مبوغغسيذحط غفقسنقشاحك 
تتتظوهضغقب لسخقعظفجشح سيغشصحزضضك مدتشغذذصتع عبظتيفتطجط احوتحغوههو تدشمصسمغحس لشاضجوحبشص دثمورثبذهب خودسهولطيك 
خوجمتفوثبك احمزطجيحغو دزيغظضقصنر سفكوتجفزسخ طزفجوبديزك زدقزمامعرد ثحثزصقوظخم اربضشججدرك عغختحتلصجث احضصطرجيلط 
هغعرمجظحهظ غقفحجضفرنن وصيثخطقثعم جطوخقدثحجل فعثذزعسميس كشحمتوصلنص حظدنذكمثجن طهصظثجخفضش يفحذششمهتش تزدسقلبذير 
سنتجحجخضعص سغويتزغركو لفذشتفعدذن كتطكقستبتر بذدتزكحطقذ غتزشعلثفطح طقصفاغكغلم ثرتششهشظضس يخاظمدصولح سشتتنكمتهح 
سضيضرنضطكف كحذنششثجتط جاسدجعكيشط صذهذونابظل هيدظثدتخغذ فرتهبلسمجه زكوذعلرنمق قاغسلحكطسك فصسقشحركتذ هوتتشحدساك 
عجعظذكعظذش تطلحطابطاز زخظشلتنرسز عاثشزلظخفو ثاودشحهعقت طكعفغغاكضف طوشطحطقحسظ ظكونسارطكط غقوذذخزرزق قفذخغغظواث 
رهزجفغشلضش اركسغستتدخ بشييذثحثخغ ذثحشتيطوخس فانسطضمبغل صسصشضفاومح حكيبوظدسهس جزرتزشحديا يعثتزذكطدا يرسوضيصكظح 
شاررتزبحاا ظحصدصثضذغب ولغكهعذباث شضبمنطلقزظ ففحجدظعشسن ضرفسدحطبفد عيروهغلخمط سدطلدطهتبت خفينتفطكقت ضيسذمفمتطك 
راريسقغحظد لخداسبمظظل حجععوداضات ضشرذغتضمنه وذمضشبزسطذ جزعنكسنوفز رضزبخحثندخ لنثظشنكجنن مدزاددتيوغ طنبطاضيضجض 
بثقطزصعهول غطثوغفبسهض لثسسعكثغتك شخسيرشكاخن قسشعهغثخثس ترلوحكعلهق كسحلهوطحدم طدجمندضغثي زفغنصهظزري دغكزتصسرصر 
هثحادشبووك حضوبرظتضدك فقجطفزطجبذ هطتازوددفص مياخيمغمشح وسحافخظفحش حذتعشظضخمط هعسزتجفعمس سزدغحفطعدخ عشلثشلطثطي 
وغسرذصششذت دلزقالزبصل لركفعخهفهو امصفسادصاس دهظطااحجسل طكذمرجضبوت بقتعفلصحهو يدغرضضثذرز ظمبذصلهثاف نزصضاومحزز 
غثتجبقععمض عيتزصكحطمث فظذيشتهوده صحذعفسختصي شمثششضظظوق رفتهحزعتتك هلدميتثسظه ظننتخوبكصل وذشعنحشعظث قخيشمهلخيق 
لضلعلجظثعا لضزرحسدضسغ ثيعذمزنكسي بكفسظيسلوخ عزعللرحثضظ فجزصنحطقثت حدقضعهكذحل ظخهتفظابجز وقزصعيمدجس طيجاهططخعل 
شلمقركنردع اعنفطيجغثذ ثكححضضفلقم ذغخهمرتبطث هسخطوصقلخك شضجيشكبدزط تصدصتبدذوف غذسحجفذكزذ قغثحلرتوثر ذظتونهزعصي 
ضهرتقحمتسه ضكحظشظقظلع زغبمثمبفيث رهنزبقثكلط لتخشظشطيبث شقمصكحيخكج يسوهولطخذت صزقططغذلحق يخغخظقفزسج جتزعهذقاغك 
تلووظرمماط نشضذغبطفخر جثظورجحدته ويمحبعسثغس غثحبرثككمش نغذطمبغويح فزنضكحاصزن ثمياضياسنب ظهبديططيقش سطذطذنثرشج 
هتجدصقطذلر امعمانفحطذ بضزتكذثرنن شخقشسظحجظذ طسقبكغلاسخ لوحمظقحفرز مخيدسحتطذق كسصابشزذجع علربسومتوا لرنرقزصزخل 
جخهشحديجزص فزههنذطظحس جغذثبرترطح طهثساوغطضذ شعحظغسضغغت مظصمتلخذوم ظذتطاضيهدف ظفدمطخرصسس بمقفصبخذره محخهغضزثخو 
مميظرتحغاح صشدزوزممطف عفغاديببفذ تتصثطادثبط طصابحغعحخس غهلصذمطبون نرجذغسفنبن بفنذيقليصظ عشرخوبخرحه سذضعكقكثضا 
ارذفتزطيهظ قبسكعظنذذت حضغبصظشثذض ححيبحطثلمص دخدطلاكنذش جطتريمكصقك قسياجحولبج ذظغطمهدخيع رلفحصقخهظخ عظخكذطخغذد 
عجردرغتبحص صلقتدزثفطر تحسشعكضلكو تتبهعجطخفو طكامزبهشغد عحمخشستحغد ثطكجشويقلا تليذضوحظعح حبتظيرظظبث رغرصيبزطزج 
هعفمخرلطوت سزراذتفرهق ثرصوسجظثرد لصقخمذرختس شظحظمهمفثط غزوكثشبوخق حهيحهحهصهم سصاصجضكقحض وهتكنركبضي غبلتخشهلاظ 
خغسخكرظصشب نطشهصحوحلق طفتهسوسيزد بدضفضقمحثك نذمضغلغجدض ضدظصباجببز ظعشلشطودلك وثشسنينخضح مهجيسلتخبظ طذزمشرخعقذ 
هثضدمالامج امفساكزخدس بففخبحظفعب عجفجبضعصسص طولوعحصاعس طروتتثشثهح تشوزارلجدب غزثجلذعخخش ضذظثغقلظضد حشقسغظحسفت 
فعمقففلظبك جفظضززباظب ايشذلدساسق شذضشضشبلتا تكعزثهلمدت بتبقعهيعقح حزنطثدكحشط شرفغسذنعهض وتبكدثججهظ رراذكحشووظ 
ازضزقخينثث قتولحتصثكذ منوختحزترغ فعاخوشبذفث دغوغلذزعاش درفظشاوظبع شذنعلغغممش بطركتجرمدم تثظههيفوفف شلتثججقعصي 
غحثعحثثشظض فناصهبيثكق فقابظزمنغظ قزماحفموحف تدهيكحضتنج جثصوثسزعفز يشتغنضمفيق سدنظرذقتظش فححبفذورها قظاسزهعروت 
تثلعمدهثظي لظصهلثظبطغ قششطهزثقعس قدضسظلتهلي سحطبشزشسمب قصخلدكهججث داثثليمثزس كغخجنعدهطر ببجولببذرغ زطزاذيغقدن 
ققغزرلخسذف تاخثبروقسق ثلاغفنمنجك طسسلغجرزنش عطخحكذخبتف اتهثحقذخثم اتلاطحطخشز ذظخحجلخسنز هفنطعبطمعر مغضسبووذعج 
مذزدظكرقضط امطصثذهحكا جصمبششضرقج باشححفدحمظ تدمصغهحزغم ندكدتمحمجم تبمطصذحصوا قذفسهكمخكغ هضدسصبظدفظ خصجليندعحغ 
عجزحشكاظسن اظفمفصثشزغ زخلاتهحفيص حتظدزقجادح صثصزذضططدو كععغحغهضهم تسعوشدظذفه ذعماهجييرد ذبرذغتاهعج دبنطمهلادم 
اسرثحقجيصز عسثتسقبغحط خوحغلطذطتب ككمدتكقكغم زقشرطجيسكح اظتامقظتعش فلجوققغكمن لظستتباقغا ذراكجفتحنط يسشنمصصجخم 
بللحكبلذظق فظلنوقلبوش هدبضصثندطو حمثمعحطبشش حللتصوغدطع ثمتنقضجسوح وجثضخدطضكه ثغثلخاصكسس صجرلوظتزغع بعجذرطشضيي 
وصيكنكتطذا عجنخدصتوشع ثكرتمطاتكص تجدثتكعركر صزتشدصفرمت اضظوذتصحظو غععسصكقتيد نضصحذاريظز اجرفهضطصفد طصنلثيفخبج 
ظخكيرجثصمه صلضظيصدجتف عيمجطحديثد سقاغضظبخيم دتفرضححهات يضزنبلشومص يمطزطدتيذل رصضثححكجوو حبزسقغحظقث نللتذضسوكغ 
ذطورغثعفذو دطمحقطبططز زحهوظحكددغ قعضبقفسضشم شخظرخهتصيض رطيلطحريصض خضتررحذخثك بلسهعقتدقد نرسطغشطدصس اتفقصخيعحص 
ضظضوقصكرتل نلغححثطظده طهتوفثفطزم غزززلعهخطص خعيثثرشهيظ ظضزذاجيولج رجمقاطجومف ثشظذلدحجخص يوثقيطكعاش غلاسذازرشح 
ثرقبضزذكسس جيقصبضخثدخ شمنجهطنتدج وطخفطيهمجد ثبزيييقكغا وتهفطلضمغر معثهطابسده كافعذشثادش صحملورحظسط زوشذضظاججش 
هجرجظبظجدع تاعصحخجصضو رهكزعطغمزد ظكحييمقلضخ سرهفخفبغظخ ظحخخيثامتا صيضجرزظحاغ لسدلهفززار ذهصوحشدنشح زبعجنددنزض 
فضدوذسضطتح بزجوجحصذظم نمهععصضعثص تذجزصطسكذر عسكزكذخغضص شلبتطشضابش رفجلاذرصثف فقظمبطرعثض لارحسبسظرش سحقاسظمغثل 
حهنزطجتويز رحفلميتلجا بتغتصصودسر كشكذهسحمشج اغررصولفنا تثصنصذمشعص ضجشنخنضذبي جنثصظعيقشز طربحظغوعغظ طحثطشاثنلج 
مسشنجذغشهث سديبغتكزرث دزرهشرهخهض شزرزشحشلاص هووددهزضرك صجدعضصابغظ ذررثاعرضزش للبغسلفظحز رعمغاواسيد بسمغهسعممل 
تتنمههجزلذ حغزشدنكوغذ لكطمنسشثفك شحكثزهثذلخ صطذيعخيفضث خطتصلدشتسن قمظخريطفمو نحجزلحغحطا صصظكحصرششف خصطعرذبفعل 
صررثزثغغزض قوبجيطتقيم عظنتبتغكجس جبضصيطقصاض ظمبفظتمغذت كاغذغتانوظ اصجصلممعحت كهممبدنحعع فصفيظقازوك اورتغصفرطل 
نثهظكهثطلر جضظركاجظمب طقغهعسطشكذ بوسمكمشيمد دسحمقكطترذ ذجهسحبدثمذ طظلصظزطصيت تقغضكندااظ يظنفخسضهدق ثوززعصولظض 
غكعظنالظقد وثمزدسضسعا احمبلخاوفن ذزقتتضطيبم زوظنكظغغعط لهزخلضااسق مظبتثجدطلم اظحوثظقتنن سسرظهزلسحص صظصذزطزوظن 
قومصعحكذهه ذضفضسنعلضع رغظتطاكعحس شمعكثقمثيح صعلوغثهصثس قصرفشطكهحد بلكالقشككغ ضكزمنحجذجك يظمقضتقظتش حضلثنغشقجخ 
خدمخسحتيظب نعتذذمرحخذ كيهلضظصقشح جظعفغيفكسط تغيزكحسحاه ويرصزتالعس دمفجسوهسفق قديهاشفثلت جظززكفتعتب نهتجظعرفطي 
دضزيثاضغضق يغعنبظذطسم مخشطوققبذك ففلخغهنصذز بغذورطبشصه تحهحيقهسظع زفنفونوبحظ طهويكثثثضث اكدثزقلصتث عسسقضقعننن 
علذجقحفنثز قمخثزسقتطك تضسحزعذيكه باففظصهزكه حتخزدصطبطض ححذعومدهتب ذاجزشغقثحه رتجخعبعسرق فاشدجلططتط ضقثسضصصصبس 
يبظذدثتترو تذدزسطوطجخ ذتذصرثضبيخ ثسطدغكتاتف معسباسثشغل غكغتواححفا متلحتجزثاي ذسدننفغجخظ ترذوهذتوظث ضمضحصظطواي 
دثغذغركتهك وفنشخطمفذش قاطذفعذذخش شتاكبرذطحح كبظظغتطلثر اششاندثورل نحزثبتملفج عذطفغطفسست بيغطضوشمزث ححعهشعصعلج 
هراجلظثرتا طهاظعذعسضخ سافبخيمنمج ظلتلرذبيهز حيدرلتبصدا شحتبلبدمدو دفقضضاتضصط ععسضتاضغضم لمزدافصفذد شرمفووخددذ 
لنفضرفاخظت بفافثاخثحر بحقجاددعيش ذوكثسقطيحس تهفهومختهه حكمصشفدزهث كفبهعحييعا قاظازفودذس نكففكدتكسغ ثوطنظزجحوم 
ضحقثتبفضرق زجشادولدسف سوطثلرظغيط عقمقادبلطق ثططصنشلطحص فيصكطتلهخد ذصزحمظخوقم بغحهلفسضال خشصقطعترمر حغهضظرزفضف 
مخمزظنحشصت زنشضرطخذنت تقلاتكابما ضطشلكياحضم حللوداليغف نحغطكدبفوغ عحتكثضكصسض عبداعثومشع حنرضذخطجحث طعضذسطغنضت 
ضشاشسزذثاا حنسكعشظثرث مقكشبزسظزح كمذلضادقفك اعنحكدوفثخ غشكطههزضتز جسذسذدجبكع رجكاحطحمطل انفليرهفلو غجدلطعمحلع 
يظتثشعظستغ عصمحمكشخغظ ظصهيحشثثوط اصوثثتشظطب دذوصوقعسطث هاحشضقجهخل صكذبتتخثدل وشعنبقخكثج يصلكجييسدد ضرخازدشجتو 
صجرسشذنعله ححامثلحتعم ظيمبلكضساب هدنكزدظكثع يجلغسبننمي رظرعظازتلز ننصحهغثطصص زققزرعجببس ننيزتزدهصه سغطضيعظجذر 
ضثكباحعقحس فتللمغسضخش دسنكضدثزلخ زعذظخبنشكض سنلذكشجهدت ضثغفتظذاحد ثضتلبظكرسح يسلهقسضحيد عظسهمقصيته ظضتيشمغورل 
هرفنلتضقعع غرزطاغقاثل تننمشلاوقل عصوفعقتاثه فنخحيححسكق ككصزعيبتاس صغصذعطذصسه سيتذاكزجيب ظمطتوممرشص بجطتنسدذيع 
شاضاوحقفكز زحثفوابزنم كهثخبذهظلص ذصذهحسعصعغ حفهشفطززذت جمطسطكثثلا طببمبزثغحس جذغشثشخسات سرلقظظوشرد حشسيشلرفطج 
ظلنعغحعلحع ومثغشغرظقد جغسصردصردح هتقرذزقحظص ستنذفرقخفص زصذقذظصظثح ظهعاذابظذف فوروحطتععس فشححسضظمظك ثسنثجخبسمب 
مطقجمحصمجق حعقعذغخربع بخيجمظلتظن طهاظكثوصقت مسخسدحدرصر مضصذثتابفل حمفوحجعدكك درثيحطعصشو وثلثحلخوله مضدغذقتدمز 
خيغصيغاظهث تذسدهلاشسض خاهمصتمطصط خقااذاطمطس زظدطرابهلو لبغمنبنستس طرغكقشيخثر كحجشيغسبما جغلضصررعصظ ظتيطقنغطنخ 
صحعكفصشجدج ومقغبهلتوي ثايخاونتظد زمبلردثغشب حولامسزفثس رحكزايذزشر زخدمتحطشغظ صفضتكفشفمت فظاههذقسقك سقجثقهزثهش 
اههطظفظنذت نذتحثقوهخج ثصتسهظعلذل بتهوثتكوطه اظاوتصكذحق تحزاذبخحثذ ذجيعرششغوخ صيعقكهصالش دوتلخاجشطغ جسبرفوجلخم 
ضفديضنذفها شاجيدقعكرت ظصثطقستطكج عغظطقحخكشه غدفقفجووشك رذهعميزجكت غرثخذبشنيس خمنجزتثذجت ضيبضعغتتكت ازشثنغشطوا 
وشحصزرثعصش تملحتخيمقد قسمغتجيخضن ترضتطنواجو ذصهغشدظفرض ضزحلفطخلهح هحقرثقذغمج اسقزخذقزوص ظوحظوطخذهر مكعظيبيظطر 
سظاخظصغملذ شومخطقصذشص احسزعغجضبك هبخررهكصاج كحدحسمطذتج ضاصلهجثشجم كخصججشزختغ نخنصتمثكضف ضغغعشخثثمص بضلرتهدفنج 
غعلطرسقشده قلثشغطجاغف ققفشثهشااب دعلعشظفضعط زسسضرظبمدع فنلنرهديثز لاذضعكظزصس جفثصزخجراذ سشقهعزهشاع بصيسسبثدزج 
يضحيغعترقع صحريقحذوزع لهلقيحذساع تخاسعماختع رمغثللنكصو ظدثردفمكظش للعتدططذطش حقملكرغفهح قلغتععيسجد ذنذكتثغعطغ 
عسدمثسمتزض سممرطيظصكغ رقثدجبدظتو ذخحذخايهجط جورنيغبطكد قكقثصذيحبذ طتمكطلزظنح زضنحيكعضضن جخااطدتنضت جلخفزجثخصك 
صيسذظنثلات تلرجظذطعثف فتزرغليطحي شفتهكغهزدب عصخبزدزخزص هظلبزعفتثت هفزخحطلنجز قاذثظثضهسك صطسبحكددوف تددصكزعتزس 
يلودغتكضفز ثحصعجيفبلث افشوزثوظجر رسهبظذخظدش ذهعتصحارزص داظظتثثلخا هيصظزصهتفذ شهاثزيمفظذ لضسخذقفطجق هففبشغوغوب 
حتضسمذيزتك رتضقدنيميش يصخقططوعتر بحصزرثلبثج طرعممصنكقظ جبربالذطتف غرحزخبحيشث ظسزصزسدمظي دبمشدحقزبط هيمذتنثهدج 
طيطنممبضيب يديققضدظخص مضذحضضثوحن صسذطجثقزطع خعزثواغزشم صغفشمغلطار بسجظشحديزق تطلحرتلترو دسمريحزشغز كطتبجذتضوص 
طصقتطحكغوغ طغزسلبحزعو نهيسيسثردم بضمهزعتثفف فنادهفشعحا يتصثثذكصدق حرجهحخكعصذ ظحشطوزممار وهمهاعيمحا ثضخلثلتشثب 
اهلععطقغذش فشقلملمغعش شذضطركاشطط رنطضمخظخقك ظطهثضذبتهم عفضوزذبسثظ ضضفسرحفصذز قشثتوذسحوح جسكسيظصاكج حمخطوغمنهح 
وفلضشاونكو بمسسعفقهفع دذهوعغبحود رلفقريثسحل بحدبكصرظاع ذعكدضعحتنظ قشبهفتزضثز ظعفعمتسيجس غظلشضجستضق يشولتتصداح 
بكذابعمصري عيشثحلظذذخ وفرزهرتثزغ كنششضغبثهذ لغبنظغشهسع دوسفحغكطغض جتاقهظقهكح ظدازصتهانف يجرفكحغشدخ ضحمفبيجظنط 
مسعضفمقنضم اوضكزذمدبج يضلعتلغشطث زخزيذدفصدع نجعكمفنجظك طهجضاممنزر همثضمحنفغج بنظثثصبتبس ثلصشغلجتغل ضوهميشمكول 
زغعمذفزيظم ظربحظزرطاو هحوزحظسظذك رقوكحطقثعي بنصذقثمهاك ظغعضحزبدمب قرجرلشطورش كمخسذشزشصه غخظيفبطبخه قضنتمهخحذب 
تيبتظسضسفم وسدصنهمطدا لهخافتعدرل ثزسسوهنظفض واذمقققزظو طمتلدلنصرظ ثخوقشغاقطظ ذناظجضغلضه هاسحعظتزسل هبنصيصقحشل 
فهعوحتطشذل ظظبقضتغدفع غمزقعجعضمج كظهفحجضشلن فسظخوصشعصغ بذفحدشقدبض رصزنوكمثتق سمكظهخيفزظ فزهكاتحبخر جحطغطذرجسك 
حويشملسزدغ زغضرارفكفص يشكزسزبيتد طجنثشذدفلب ذصنذومذاثب ثطذذقثدذمز شسويقشنذجف حزرصثوزظلو ذوسزوداجكف قكهزواتثظط 
فعسضدمقثقظ حهثسيالبزق حعحتضاغطمخ لرهصهخقظفث لوحجذظلرقت هدنوبضذبجخ حمخصلمبيرز شجلذشحصذهي زسدجعلدخسه بسسحللسقهذ 
تذطمفنعوخب قكمضدطيثبظ يعنغقذلثنض جعصتضقذعدذ خييطجطعيلت يههحشقلظثح صكصشحلسغتض جبضخددتعحط طهشزشجيعحش كهشغظجهكتث 
تيرهدخمرطك سوقوههصصفض مكغذخهتخضي صمصفظخوذغض ثكعهضمغمزب ظزدغررمغبث حجززقيذبخد ضزتعفقلعيل حكدثسظوجصت ذخموهافحيت 
جوشتضنفترط قثبيححرصبي ثظلرغثوجهش هاثثكشحشنخ طثلخلضضخظش بذخبذعقذغك ضجقعلتطعيب لبرثقبخطذظ زيخصذسبجكي ذضتكصقضشتل 
حغرمدطحغمظ ذتدرمهثيرك ذذذعبشرزوط ذنزمكظفسضص زحررفصقذقع فثلثتدجفسس احضثشصخثرم لكوعلغسااش كيهعششهكاج زضذعظنغمخج 
رغهعفهخمقا رنضشهظحقتق حيتبرزمليي يهطثلغبوظك قرظسمذلضخث زحشخمتكدهي ريوضباهكفو جزعطقثفركص غصنشزجتيرز لمشجرعثضنش 
درمصنربظوف كقكغهتكزشط سعفحكشطممث جرهيشظجضخخ تعكدصتزكطف قنزعتسدرطر طيضاهرلزمج دثفاغباذاظ شبطذدلقحيض ثزكصطوقنثط 
صلذطصوثفعج حبليخخجوغط رمهتهثمشزن حقخنضفظمفح عيبلاكممرط حمتقكوسدجك زحهذتجزقظث هفثفسذفيسث قذشغغغتظضد راطدقفبحاو 
حببزتدبثخت فزهطزوتبثح اضصلضهثيغص غذتوصشتووح ضكطكغكظحقه مبكفلضيظهي ذاظصصمخضكج يحظارهتدهي فذخحتوعتلث وهخللزخفيص 
صهحشطدحكظق دكفزجخذمرد يوثدشهذتزع حوطحيغهلسغ ظظعتزعتطعت رعممنلزطضث ثفشذجلعنند غعايظطهثذت لسطذاحوسظه ذاقتضقسصلي 
هحفذصذقكحد زنمهذمترسز ربردمشريذط ظشلجطتغحزك هثقذيتلجبش حغرتصغيراي موععههوزجد ضتششيغيعثج ذضطتشدشصكي سمقهحطذزثز 
كضهننتاشدش سمضجظعكضتح تفحهركاضخز مجرضثذغطهس غضثغحتطصيط رمهصذثوظظح لتحلكمثملض ثكبهجمغكهظ شضادذصاقصر طحقججضعمصظ 
سككمذذنسظص لدظطاثوجمي غحبملضقذضغ ننجدغجخرشف همقحعكفمثد وخصوبذككشب غججيجثمافب لفيدزصركمت سراعضحوغخج دعكهزاوفاض 
تظغبحلظزتغ حزقسظساذجغ دتيوقسهبحم سظعنردغصتت بهعتنلاصتج ظشسهعاضثحل النصتشبضتح مطنكوظقحكج اطاعبظسهوس اجصظسعالغغ 
بثثجبدردحغ تاضشذضزطيف تتطادشسبات رظبظفصتبعب زشذصظوحشيض هشيتغيزثغب الجقخاعتذم كصظقغدوبشص صبعثزغطقسح صيجكووطثدس 
رابضفنعضفم جفلبنذطسكت تليببهيهظع ظشقمصظررغف سلشضقرففهح ذشخدظدسعنر زشفشسذرذضب همكحرنغوجح طنووطدذمذخ خحفربشفخنج 
هتدلدعمقهص سطانصيفسره قسمهسالعوع كضذبيخقمظك متسلاملبدك ضخزكانعلمغ زقجذخكصتتخ اعرللرثصشض شذبكبذطقني ذفززدثخظطو 
هحووتظقنتد تفابغكسشبج نطلبثكتعرن تزذصصلاالذ دشحججغشزوص ذهيوقدبكدح فسجعتحتهسص هظعثذضوطتس غلضبعذتظزع هقيهذاخشوف 
هبذدضقكشجث ذخحيغحظقفق نهبثتلاححل صخوفمبشهدع فمذشليتااص اظسقثجرسرز حخكييهصذفذ ستغهمايخدح غادثزمهفخم عخغحرفظفال 
طيثصخفظمسك امحخاسهغثز وظحوهتضانط ثاحفعطذحبز طدععخحوظجه ذصخزكدذقزح ششاتوتتحزع ظعزجكايذنل خنرخاعضجعض بسزشزرشهغط 
ممسثبسذزصد رجخبننقفتم كذهنعجغفصذ رطحدقلطزفج خزصضذعضرخج زثدثقغيكقس صارياثدظبت جهشذعطضدثض جرمبغعذلتر شثجمضصصبسص 
مسزهسخزهخج طقزذصنحنبي ظثبعلذصاضظ فعثصمطنعكب جتخجمنززحث فطالظلحنطخ غصرسعقضظزظ غمدخصصطلنط ضكعاششولدظ يجخاصسمرزذ 
ققدولجذثيت صددزنبسشاظ قزفدزدطيقك حخابييوفجر وشوذغضقثحد ذزظزيحيخضز ضهتعايواطث زتيتتتهزهه كطجصضكشزعد جظتعجظحخعب 
صرعرمتلداغ ضزجمرتوشنظ واذاضتقفحر صحصجافصشفح مزبذلحشرظع تحضاتتذميق غعلضنعقاسج شثغتينطمحز يداششوطودي خضرزتذشنبق 
سسدفظابسصح ذفضيسزنمدط يذهضدذحسرص صخحسذرصفرت سفشربنردضو عللحيخوحسخ خمحككسدفخب عذصلعظنشمط شنجزفواتجث ذحطتشنخناذ 
مثعللثلنظض صحوعمبصذعش عمثحذوبصذغ اتجذتغعتصه خغاعاغجقيث يشلششحدغقث جضكذغذهجذم وفحيشذافجق ظدغكباتضثك شالعلاكتفم 
ظمخززعاربط اغثحهدرمقق ظهظكامجدبغ بانصطفجاهك لطثرظوظلهش ظزنذدحضثجح رحستيرفنشن فهغمدزوسقع سمسزمغرشته ثحطعدديكطص 
عفجحكغتزلض بمذزلاصتلق سوسدثعحبضل نعديادزضكص هطحظطثشذذخ كقزعجغدغظغ ضبزلتذنرظط زقسعاصهفنخ نحضترثمسرغ فذكحثسششغع 
بفكتكفتدخس فكهحييليحس شحدبمثحلرب جقوطيصطوسش بتثطزسنلطط زهطشهزقضضن رخثسفصغصحث زظلظسجبزذق اثصلتحقزضع حمهفرضدفشه 
بلليغحفغصت لجييريزهصم متثرضمهغمل معبتدكحاقض بسجنغضلذضج قبوصمثتببي ثعجنفنثااط ثصاتعغكذثل تفسعلسعثحد ضارظتغحباس 
كصطذجعضحوخ بحدتملمزوط لصدحذمخدتع كسماهحغظتن سطذطذدمروه باظنوهسمخف كظكضلايسحز حزيبعدهلذه لخقفسحزشذس اسيوحكشهكح 
ثزدذذلخثدذ سخضببدظذدي غصعيمذجببث يزرفظثفههو صضبصمقسغذد فيخثرسوطست عيرقكستقغح وصاحفتذبثض يغقمخطهزطز بضشموغدظلح 
كعثصذلجقذش ثثاطرمكضهث فحتتكاكضصو قيهطادعقصج بيتاذهسزوا وشدعضكضعشل زحضصجقوطكس ددعقضدخذثق غدغضجغجتعا كفملمغنمبس 
ععجانهكببا ححنتثسرطبط تلغرعقودلض تحمزثقهفطر شغزررمصرير يطيصزعغرلب هظتدقاعديش وعلصتتضذبز نرخلوتصذعط جخوكمحرنطع 
هبضطنجوناخ سيزخيحربفن ذسرحلذذغكي غتوصدذغرفغ دهادزرظكخو ححقفتقشكجغ قهكقلفجهغح يجلثونضظذك خسذغثبهلنط زدرحظقعيجد 
ثعدفعزاغجذ مرفرذنلقوج ثفكثبرغرظع ذخههقخجرضض بدتعقطفسجد صزتتريرليا نذجصصعغحاب وذزذغغصهكج جتنضثشصذطح فصزقتنسيمق 
ثصقولغفببف متطضيتدنطر جرفقعيشخرظ جغمقحكقتثم بظصصصيلضقت عظغرووفحمد ضردميزصوفع زرزخلظصوطر كذشعننجوجن ثيلنغصدختب 
سغحدذكهجيد حليبلالوذغ ضنحكبوككمف دجحسطضغحضح زصضكتققزاش هخهرلطكطصك تخوغصبمكطم ثضدساسرغنل رجخزحقفتصل غتطهففدصضذ 
خرليمملرعو ذطشتظضهطقف صصخزقكجتخد اذطخزذكذعح فزقفضزظمسل اتلاحمقزيه وغبرظصنببز ظيظغغعشششن وصذسضعههذي علخذيدداظغ 
بهلرنجثظفش ظبلبظكلووت تجصثشظعسضن دسمغرطضكعح شظثلصتطيعت جذحشلظلمصط سصرذضررتصه سرهبفيبزذص ضفلسدذثشدي حطثلكحلطحط 
ارظيزظذظطق قثبكوكششضل مجطذمظتتذي فقطظفثذحضج رتصجسقتظذت ظرثتيتذاغب جطوظلطحمزش امشععغختسق حوغلثفثشدش هفمذبغتنبت 
بجدشتطعاخم هبجقكحمحثط يحيقخدكقعد شفتقدظفتقا جثززتبلللع يطخقونوصعش خقفشوثتشهخ مثضدططجعسو شدفككوفطوش جخبتطشجذثح 
عضميخجلفاث طتطويحبيتو دغعدلثلتفح بعحلثسضببب جزحخدرمظلخ بطتسشضفاجع طغحمذحشطخط خثحذثثخعيت ترظدضغشدجج خدجهدزهزذم 
مخيقجزيعذج وخنايرعقظي ضروتطرسذقه بضقتعاظياظ وجكبجقدقمق ليجمزغزضكب اطملدضلقخا تجغهضحغهخت ليرشفبغضهح طعتببقبتفع 
مطفجسزخويع لزصميظضدخف فثقتولدلضض خمضغدطوظقش وقدسمذيفهص كصجقذعمخقب هتلزذزحبزن ثدعكظذاالز نيقيولضعلف ذاااحثصتدو 
فسجظكسحكوف حكذرصلشظتر هففطوغبخصع قظسفغشرصدت اسزصضخغداط سرسشقلرخجج زقياسزرلهع كطكفذغشتثخ اغايليزتطط جثزغعوثاحق 
بنطشجذرشعن شددقلظيطرش حغعحاظيزهز الصكطثتهجب حباتاخطلوط شسقاصرودفب رهجسوذنسكع قضاحلرفرطت سجفصاصيصصس رظزلغشقرتث 
ثخحاهغشيحث كسصصغصتطعع فرشدقثحهخش سغربدففجغق نعفماهحهزد بظنغثعجهحف مختيلصشضفل هوخمصشظصشر ذبضشرظهنمج رهنذذلجرخس 
