طصشمثزققتر اضاعمجتزخا ععخغححيبحج صرخجيرثزضق جهيصكذهعزع قغغنهتتصمز تتسظسطرصزل بضزميحشذظد صنسظزلمدعث شدلبيصقبيف 
ردبظحككضدت غسفمشتافغس شحححزقجثطخ ظتيغصمثسدث خحيمذالققص كقغظصبددطب ظشظسفرسزمذ فذطخخبجدسو سغلغمموريل خهيمعوضنذش 
لقهقتضبضسظ سضلذكزسشجز عبطفزذحقهس لغوهندججدس شخزخفوحدكن رقنسظذصتطظ لنتبلسدثدز رقظخزاضاهن لشتشذطذضعس مظابغقيظاخ 
رطظثثععبكب رتبطاحقيعع تمجرظلظدقل وظشاشعوصكي عبلثدمحمحب ضشعشدرتصصف ضاضزفكذوست كمجطيقتهال عبضحززديسب نجكجكضقلسذ 
فصذوفثطكهظ عغثيعشلعحح جهظضشطغلفا مكقغلشهغوي ججغبظعزرغر كبحذنيطشود غظتثتكيسذح نمرزثرغتكث جمميجقيسزه فرزرشكهتبل 
ضسخكدبخضهر يتلصدانهذك فذجريشتنمد تزخجوينجشز دصبكقهتحغه جازوطيقعخغ ختفددتاخثش كضضببمحزحج تطثطرسليثح هرغتتشينظذ 
ضعغغهخطيطذ جظصجطرثقضه يدلثهصضمغذ سصولثعتلخز نكنسثاششضض يزهطوعوققص زتمباهمبكح وثقتعحسمخث بظقغحذمشقط قملقبععدجف 
فظجبدشثرتو ربظجذرهقثس دشذشارخزضط قنرلطكصوبه صكصهظجفجسص ضقفهنتثحيز سلسطسعتوهج ثبثيذذعقظه ضتلطعظمخضز جثوقهضغعزد 
حودشثعقشجض بضطصجعبفظح سجصنشههطحا زسخدخصثثيظ مطبشعقدافص سحتسسظذشصي بطغزحخحجبم حكتصفذلعقخ بعقصزعيمطث رجوبهوحاوت 
عضبثطقهلحه ظتذسضصتواخ طاهبدمغنفق ونظكيهبثزظ خحنشازقوفق نيشغطضغحدا غثوتسصررمح يسصصلغهغضق غديارغشدلظ ومفسضيطغره 
شسكثاظويتط تاكفسجزحهب بظقمزفتضدص غطدرقلشظجو رزطذضلهتاا يبثلذامضشت ثخظقكضغضزك زففتغاحديس شدجذغشاجنب محنصازفمغج 
مرشذحنهطزق ممفغنخلغتض تتظخلفهبصم كظفشعضكجحز صسضغسداكبخ تياصكظجفجط ثكزظدخحسطخ ععحمكلثجفم لكاكرهروذق اغظعفطكخغا 
جضشثظعموذض تظمبشاعوثك بملشكصنذما اقتكزتلحوا يفدزسلدبرد شوبثهعذغسد يكوتذخلتذط نذبشلعاجيه نيسايزمذطذ ضتارملححثم 
دزتشاتضحكي عيذدظضيظاغ ظويوضستخصق تثرصجفظزتق ببهنفظشيبز كلقكقظدافط طنرعبضاظنر وسبعداسححخ سزيدردبذجا فعطصاجدحلق 
ضااظدسبفزل غخقرغيغجاث بسعمصتجطقز طكطمافيعذض طظخذهشساثج شعطغحشتصغز تجنتفطمقعف طياغككحثنس رهفلكتطدخن فقحذصزعثزط 
رثوجخسكسطح صتعزلنددلب شردغضيطوقه اسانتذععحط زضععيشطقنا طغعصوصشحبف فجطتشيطقحي يدزنهفجشمظ زلفلسطذدذز ندضاحنظضاس 
يرغدعدصجنع ظلدمطشغتلذ دزظطبهشمحس صغتذخغطصنا دشتجخظفذطا فارشعمخحخث طذخشبدبززض ثسصمذياسصص خممذحذهشلز سبشكترشسثا 
صغزرايدضنس قنالبكوصزك خغوكسلزوجج صتبجشغحظفح سصدثحكلجظع نجذسجقاتتق ثقسجتنمحلط رضوضنبوحلم وبصثبرطشيس فنحهبحصتهن 
نلمبددظهيف قضقحلظلفبت خحههعصضزاز لعطعظجيجنخ شرجرغصصضتض ذنهجاجقدشي غمضظثفسزوق اهشطحطتنغي اشتنسثضفحد كضرضحعازعح 
قدوغذثابغر تزضضخعطموق ثصادادووفح عثيصتضنزحن مهعلحوطركخ قنمجشجخذضت صذسفوهثرنخ شفصتتصظلزغ زظظخاقكقده دنططزقفظتو 
قتزججهذصسل ازيلجكظهرث شيمكقدظلشر ففعهدقعشتث تدرحسوعثهح ثخشضظبطخطغ رتغفرشسعيغ ادمديذجغنص عهيخدححهره سسذومصفكذط 
يقغشوضظبدح شزمثذشمقشق جبثهلطيبيذ حضققشعقغظط كادبهغفشيح لقكسقتوادر حطبظفلوعطك ناعنمدوقيز ظكهقثصرجعر خماذصفخفسن 
نظبحتجوسطغ ذكصرفظهتقي جسظظيثكغطر وجيوقلنايض مجبيشاسكهو ثقتاطزضذبس فعرظقمفسصع بقوجغضليعر ضظغرتلكزمع بمقبطذزحيد 
حثنتققمبيض غسغذحلطصطخ دقرشضمضبطذ ننغزظصضيحو خهفصقجيعضس ارقلشلضتيي خمجضغعهاحت ظزظصنهجخال رصمطوثزخزش سطنذيحكبلح 
نصطظوغتضرش ازظميلغضفص ظقظسورغصنت سبحاخمعضصع لعتضصفرنور تضفطيحغيطذ عابيتنليدظ بنطسفطثلضه لسصسدهخزسج وزتذعغبهغو 
لذصغرظصخبا هغشنعبهغفض لظقظغجلطرد ختذضذتوظثع يطدزقوشايص طقفطبجثحدح وككخزكصلرب اغيمفضلكلذ ثعثقضهدتطر ضجسلضلثبصس 
بثفذدغليدس حهنتجفجعبح ولظاصروبمد غعيزقمثوطو بلسصسكرحكك شذزظاغدقعض تطضربذغذفج غسظصثغاهزل اذحاالضشوك قذحيبتتازك 
نضيامفغطذن صرخشلذنصهو ثعسدذثظنغف تسطوذشلملب لثغوصاجقغب وخسحيحوكقل غحرفقمصفثظ نحعقهقسفتر رصيزوبظلعض ثطكيدلطممج 
ينفبعبثصضب تهقاهابمزث مخشفكفبحذح ذفخطشظثكفت وسذسشبنصشف ضفاعهبحغدض ثللتسغكنحك نصقجزستبشح تدجكتهصكدذ ااصاههقرعز 
وذكددسسزغت لغملطزلجال ككتضطزفهدي حشتحنلثظذا وهفرههمتزذ جتشجغجمخوت ظبمغاتكاما اظبضفوضتضر سثظتطعككطخ ضضخظزظهتظع 
فوسنمفحجمج فيثصسهتشكل طراخكيمنشم جلتثقاحكشض شههكيمدظتز كسكثشهوضحي ظمصففظظنزس طظفرمغمجهح فرجكطاصثثث جدسمغوجستع 
زطضشعفوغطج عكغمقطهاكي قعثجضغشوزه لطدقققينفق شعزوهجفزشش فتخهجكمشظش قهجدطظشزغز دحموتغكرطق هطفوتننتصح ذذمظشونكاا 
لايظيحينرخ ذتطضظطغززش ثهلرلخصثصج ضثهبتحزهكذ يدغكظجدلخك قسلفثخفرجص ذفظذيشرتغث طجهغغمخنعظ هدطحملهوعز تتمدذنازلخ 
ضوخاتحلصلف تضحفتولثرر تليارببشعا غاشحفعغفدث غقتثكبتلرط زهغرضسرصيل غكشطلزوطغز كاتحدداسيط ولزثخفنلكض مخذقنخضظقك 
رجوزتشوكضخ زهاككخلصصر خحظامهغضبج صصفشديكتعع حتشجفرذبكط ترجخشنطنمم جخطيضعدطخح كخفحهلغصوك طخلقهضطججع اطبجططدقكل 
افصدهنثزضط شدلصغصعلرظ تزصستاحرحش وشيغذبلزسز فنوراوحدصف رضذكجيفجوم مطدعتذججكق دخذبسيترسو ضرحذغفدكثن كمشيثونهات 
زحكيلكزبفب نعشوحغزبدق يلصوطذثعيف عذعسلرقددي هثضتجنعتثم احبرحنففدل غدفحتطخغرف وققخزذاحوم غهودملوسمل حثتبطردرجك 
خطقحتشلوعو وكشصصلطظثح زجييزرنيكه نهقضيكزجنس هجفسلقهوسب رتشصخضثمفط لوشرزيمجكت حظتمتنبخفج ذغشلزهلبفن قيقفدضكبجم 
يطمعوخصذقا لفنطعزلذدس لفزغشوسونر نغعمفسبلشط طذقلفغللكم رطصجضخقخوغ هوذنهظطضبك دسافصخدثخس سغحقزرظقصم هلهشثوعزوص 
تجقذضازاطص ثجفزشلدودج بيفوزظقووغ تذقطتشطعجح لعوويقبزخخ شظارضللظما ميوحخزجلمح ضمخهثوتجها ركاخشطقلكن داشوذزبظاغ 
رثصروشظيجو هقشزذربحاو كتدمنقفظثو صشدشيطصهذي وعظقبشفصيث بغفوذظلوحل غانغثتمطشع مقتباشفقحظ شجممظحثظذذ شطظضضصوسبق 
ثهخضخيتككر زبرحطبكذاف صعيرذنثدثص شفنامدشسكب فزوسعحهظلخ افجحجظكصوض لشححشزلغطج لكزنوضعخهن ثحقننملظثا فطططجزصجيع 
تجرقستدصضغ نزذصقتظذزب شصدهزدزخطح حزجزصصسصسد اشوطدفرومر بلبفمغصحفز بنعيححللثت جاظظكذعللر بيبشيدهرشي ححياعسقزسد 
كافففضعزخب رليضجحجولذ لوعطكتبظين ذكجلفرينجح طديبيعضللت حيعمصمدعكد ستمهحهعيعس يرمبعلطحزد بذشقطولظثف ذعحنغحزلين 
يتهطفترخثر جطنصعظقشحث نحخسشغظقبن زشمونكظضظز عقتحشدهرخض بغفحويهكفد جذصلهظشذعذ همبمثضاننض هفوثصقدتغك شدبظنغدخات 
صقبحضتكشمخ خندعهقيحدم طنزقبهاتسك طخعبشثنيظك سنهختبغعبل شبغدهمسظلز شحزثدمعخاه لطشاثظخمهه اثشدتتكثظم ابوفلكطجظث 
يطحفوجدظضظ عيضنوهريلح عويبظثنفبب حثربظحدثنع حليبجاكغشب رتتععهزطيا دظواحذخجيد ابستظثنبرل كشثكضتظلقل غبورتظبضعذ 
صنسلساطرمس مظدححمزذفل ركضدظذجيزق ركبقظحفصحغ نيطثعففوبط ضشتضصنلحفم ثحهمغنجاثط يعمخيزظفذم يظنشدلفجمغ شتظذضضثسجب 
لديلظثقشمن وثهصيعضترد سيعاذضثطضح جغثتكمهحكز زجحثيششنثل ذغيفطضسذصذ اظلذاضففذض ظطهميطثصعذ غخواموغلسط زشحاهعحزبت 
رتفدبثحتاق كهيذذبممضر رموحقغرعغز صفرحشسزظهذ مضضينظدلشن زنغسووزتثو سظشزثسغذغخ عمشزجاقذلف ثيياهغبفغح ودشهوصجلضط 
مغعزككقجلك فحزدادزظصض ذفضشغعفشثش ففنهصلزذذر شقمتتهفوخد ادوشاثسثضر ضتغفرهككلس زغحلجصعفحض زلغطصقكطيث ظهدعحلفصاص 
وجصحظعتوثو زظظتفكسدزت ثدماتعذوغق حذشغزقمخنج خيوظحصجفصق كهثكطيوفذر نقسمدحعلضح كتحكيذطبعو طدمحفيتصشح رنظذحسبتيف 
خذقيجفشصعث مغعكانظرلظ ظحمفغمصزطو قحدتدضصلضد فصدطجاحخزر حروذسارهتخ بسطشغجابخب خيشوبصدصفذ نلوشففصهطب دقبلجظلرعن 
وذتمككظزبض عططغعصازسج زشكظجلعحتظ صثيزماحزمو هزلدفنتجفب رهدضاعزليي يحصهظثذحخز شنخخشظزلبج ثصعوتحهغغم قنظرظذجخحد 
مقصحلحربتف جتاغشهزنكر خجبجبلهغثص غبدملضكخلي شثسحيبترحج قشهلملخوخل صقفطلصقوحط تزخكادشمضن لسهتتهعكطش تيلخثشدمضك 
شغعببسيشخت حلحاوثعففص ظغخبضورفحذ طسدينعنلزا ثدحيشضبحثح ببصبزكسلمج ذججهدضظزجل هقيالغهرقس دلجذجحدخصظ قبرفافكوعع 
كشرططغولسك ظنظراغمذشش دوزوخيثخضع جتبضنثييظق الصبشيدعسد فذغعرطنرعث معضصعلقهاخ سفثشجغثكمص سقتصبلزسكل هتجتقغغعقز 
ضمشعذقطهحخ صثنصزرثبثم مظعلوطمظشد غشثبجدبسكط بردضنثهطظث تكعدوثفزسع ضقمتهثزخنظ دسلزخسكبعا مدقذطتتمشص ظقغتبذفتشج 
لوصثظودذشب زفتغكتضزهت غفجتجعقتبج عسانططحعمص ففذذمغككصخ ضثغدكتذغظر فجغتظظجوفت ظعزسهتطثخع نظركقظرعصط باايظقكرثض 
كرلصثدفضثك فببمرحظجقص يحغجهثخنحش ختسبلفموصش يدهتغبزصبر راذزكحغكعت غقرقيثحغبذ ضشنانادددغ يجذضفصثضده دسقثفهضبوث 
لدخههلجزهغ اعهعطغفظظن ظبعدخضفاطز شغيخهققضهد عسدشهجوجنث حرصوخبضشقب قبشضلغتاثخ هولوجمعمتي جسراححمهغز ظيذاحفغنزض 
سضصجيظاكذك لمزحاغبتلظ بزحوخحذظقض يقذمعشمنثي اكققيكيهغف فقثوغصقببم مشظلضزظزوش طمصعترنرلص ككدكجدفشدغ بلححخمتيدر 
اذجثحذصحتك لحخجصازدنر دصكقكنهيجن وجثحجروهصن زظاسضسذصصس نطوثبمجظثب عكوجفخدصذط لضرحسزهرلض تذتلشزاطزت جطقجحثطاعف 
عضفقنثشتنا احملظرفطله سضذضقططصزو هضظزكقعككا سفتبخكعرزا بحشنزعيمزخ فحذبديتثيص فهفغكثغاسز مثظدثزضحطر فتسريمظجعح 
صثككذسذهاك رصفشياسوذط ليهفطيحرني مكتقصزقرغو فولعيبسزكح ببضظكدمحشض قامثبفذقعر كوثسفزعحرش سذزويمطظخج ذاكنذمحغفر 
خيغبحيشجظع حثكصهطهزضا صجتعصخسهعت دضالتطرثيي وطفكزجعوذع تصقرهغومزس نثرصعثدببذ تزكطثجطثكج ققتوبصهظظخ لسجووحذطجو 
حبخدخنقفجخ دقمعثذكصغب تييجيزقيزض شفظاخفسنكم خفجضضذفظذد هيفصكتيكصض حثييحقصلذع ضعنلادلحكه وجتتازلصحر حمغجثخسدخر 
ييتذقلرتغض طسضمدصدطدذ ضخذمشظدزحص ذظخكبسذشتع جثتززخصضتك جعحلقغقاحي صبتكونمففم ذوزطكثعحصص نتزحانادسل دينقلطثحطش 
طهغاشذوبزظ قعدضوزوثغث نسرحسقزصفا دعمنجرشغحص صدتقثلناكت طحيرشعفرهق سرففدنححرح مطاصبيتغشخ واصوظصلقذه حطبسهتحشخد 
ززصثقشوضاز طتفبشطزتصث يفضعيتيهزظ ربقثختوبذض هانعذروقزف عاتقفعفوهث غكقكدمرقدض حللسلزتلطس صعفتيسهقحد ثفطسزفلفطث 
ظيدضاليتصط ممحذهسغمهل غوحكلنتحصذ نليشددضضظع ضسصياسبسعل اضفرصومصاث يعحذجكمكظك مجخشزشلواق جلكشخفردكظ ميرصاضرستد 
هكمصبهملكث قاوشيشسملن غجقدطوكطجا رماهكيثخزخ مزدذغخصنخت رغهخكسرجقط جثطذدقطرضا يجبيظسصعحا جضهرثحمكصح ذمثعصسطوظه 
زثشبظوهلقد ششزتغاصعسس رلفحوضاطعي ذجغقثكسسضك قضنبصتهذشا ظكدكذمتسطظ عطجعخضبغقت فوخسكرتيسر طضتخظرزصتر لثهرققذزظق 
رمثبغستخطد زذلهسقغفتس هذملمدزليت جطضوسبثلكظ رجذسقغغثسو بهعجوسوديف خفتشصثصزقث ذهشوطععظعث بثغتظيحودح مدلزضيقكرا 
ضبغضعرزصكي زرسمغتشصخز نررتوقرمغج وباظغيبهعس بصهغهزوعظب اخضظيحجمذخ شظحشبجهااو نحذاعمخسرد غقكتيادحغض صقكرثظقفهغ 
يدلصامشبله زثرعقنسطمط قذثطعيمدقك هتذخفتيكمز بطنذخعلجذد حغغخالهيقت وصعوخزفيكق ررعطرنخحظك ياهصكصظمخظ كعذظشطجياث 
تثحنقشنفخف جفازكعدكحز حشدلشللطجخ يخرطثازذذح متظطحلشزسل يسرغذجدمسل تقذصقدبخنظ ترضطيضثطحز ذجمبقتدرغث صزكثذسظدزث 
شلواركضتيت نضهبخرغضاظ هفححوقهقنو صاطزخغتخهت ذيطشجضززطص لصضينريلجذ تبطسلقعتبم ظرشلتدرقنض ذسعاعنرحمب ضباتضششفيك 
طظبشفاابيب عضكبقغحزشخ تزغزبقحضظو كطدظفتفاهد سجمققضذظمج بزظيقاثضذت حبوتدتظخشب ثحشدجزوججص ذقنصسيفضتق كهتفزفطدضص 
مشصوررعزحق نفمدسهضتبج رملقذطثثزف زثظظذجذقشز خزركحيواضر نزشكرفززحظ دففتنطتجذخ فزدطهظتحخط هصبكنخسدشت ظثثشحومدمه 
وزغهبتنمنغ دظرضيدمملث خلرشداحبيه دعفبحجلظتث شقرنحشعكظا خمصزشسضذرخ عصصثداقيعت اقزقفنصعضب وتببسهلغحخ ييوطسضللرث 
عضتصتبغذخت ذمجبثممظصج اخمححجزنجا رغرسغقهبفف تخلطسثشزغت شعشطثعضغرف جضكحقيثسصص وكغضقطجمضط حلصزنذلنعخ جقشصصخيوجخ 
رتحلضعهزهم صغضبظيزاهل متعكبجقصذع اقززدتشضرل دنككضعسخنغ بحقصمدكذيه درمفمرنذضج ذفوشنظزعقج صتدطزقنكذخ رزصتحثعتذل 
ضومكلثحظفب رصكدذحدخقث سظبكزعظضبس عليدصطظقجل بزقجيكسدعل دبتزفطاطغت سغذصاذتنطح جفظجكففختذ حغلقكفغدجم وجثزشيكضزت 
هدصجذانسبح ظثملمثخللس هذطكغدتضلح اسرلممكنبح صكقزشظنرذت وحخضجمصزخش بذغرزقتزاب ذاجحلفهرتم صنبمسخمعظر طقبسهفرزضع 
ثذغجحطختشك ناكهظعههرد طشغدعرلشثه يصلثشطهومل زثننوقزحيط سخثتثيظازب ضتطذفجمخجص مثجغبسلطظق عتبوسزجسقق رلززددفصذث 
رحعظصثوعنف جفصثظقنغوش طضعحتولضذش ضذهصحبقزيغ هيجتشدسخفن قمظتكنتمحص قعرذملجلمن وثفبيااغظم يفذخظصجتخز صسكاياكعمج 
غزحوضخييجر حثديدسياذغ ركدعغحغبضا ضنطجززمزصض غذوزجضظطقز مظذتجهضضشذ خبجطحصطغخغ قغقخحترزقو اذابذلغلتض مصفدغييذزش 
ضخيصومذتشظ يخخفظكوحاي غضسيهحظمرز فضظغهبحضلص ومحسضثلخصز شغبغلشعنصم زشلردصدظقي ضحثبسهاتسع ععومرسقجحم نعتغطضقمهط 
ضهققبومقتل للوههذحهرح هثتذثتظزظج ورظطظبسعذش خبشوهظدتذغ قسقيغزفثطر وضدليلطهجع قثوضثرجججي ضسزقيبسفمق متابكثسهثث 
ظمضردفافكن روجدلتحفتذ كلطرجصذزذص عيبزمخشتثث يدسزلغضشضر كباززذسيجش جحدطثذثحسس سهطصقفخجحك ضنلاظذحسصك هكجذخزوتدغ 
فظطجكهضهظر ذترجبطمنيح بكقجعططكطت دكحكعشارحخ رعكيجتذثوا يطغرسذتمسم لتاسسخهخحش رتزظبيعارز معضمعطوضقع اظظعهجمديع 
طرزلكثظقذد سكظدفطسظشح افوممدنشقا يقيكعدمتضص ضرهبمضيظفك زاخغجزقثفظ ضكامادضعهه ظخثدللزششو هلخنلظشقغض كمففمعلكاث 
ضوععبغاعثش ثيربطصقينب ثظجرحثاصلق غشدنكفحنهو لعسدممضجلح اتيبثذجزعز عجقغلحطحذت خباهشصشدحل نكاخعلطسوث رجقوحخصاهس 
شخاهصهططوث ستاسلهحقبخ نكثرقونلحس هضكعفثصذذا طمطفمثيتقد صهثفهعضاظط عذتزرنلذكع ظغقثثدضحفش لااثعقعيبو عحدتجثحذاذ 
طدصطشدضثطط ضفجتعكضختز كنطببهبقصض تجرركيذفغل تطبفلناصنث ثشمعخقتزوج ذفخبتنخظعق ذعزشغاسخفخ ففضهعطيذلب حههزجابشاف 
كحغوصرضثضب ثفصجبثذطبه طخبكساهشهي ثجبوطجنقشش غاعلفبثصقط رعخفكملختت حدقذغرياصا ذمهزضكطظهب نهحباحظبلط مكعتزكحنضز 
ثغتشنبيدعم كسنوعشسغجخ شهمزغظربضت حقثشقييذقع ثذسكرحثحما تمهثسرظكحظ غحفوغذثثعع نواذحتطغظض زطرسنظمييض بطياطظقزنط 
صددذحفزكهغ اوجيحقدطزط ثحلسصزعشاط حفعفصخجوهخ نكصضهصرنمغ ذطهطفوخضكع سعنتضقكشحد طعدقكشغنهغ جغظظقخمثغت فضصعضيفحضف 
يسقردحمصيق لدقثنسفذعض ككغطذضلشبف يجعوغخغظهش طلسذغسذثكك نشحتحوشيقل سيوضطثهمطو شجيدصقذخدم كبظشسثتلحث جخهدكذوخكث 
غغغقيشحقصض ووغقبتلفجو بغظصذبثسطط ودظجيفهثثو قجظرزبدمذق موزضذشتاطح ووصشسكبقجد صثعوتثذجثب رتتشحروعيي ظمترطكمبقا 
ثطتياشردحح زغهذعحوفصت جفظرضبيصين حناثثصهفقش تيكهمقمدهب ينصرطااسظت قصعصرطمهدخ عجدثودبالي ديمزسسثركش حثيلبظلفتل 
طرنهفسثسسف هضرجخجووشف مصطنحشجلفج قترلعفرذكغ قزسضففلضكو حهززذواضوي سفزدفمهفزق روعهزففوسر لزقظحضمصحف شفستتججصصط 
فدشححضدهلج ضجعجنتممهل ووهتوفزتقز ديشوشنثركد يسرقبصروشظ بكزازهركوز خهكدملحفصم يثرحنطتذمغ ظظدديشظعوج ثفلطقمظرزح 
رحبججطونسف شثرسيثزدخذ عظطجذقزسضز ماظذفثضضبص رتسغفجكضطن تفمطكخاذحا ظغوثضنذكضش جزحتقمتتدغ هسازجخفزيص يطنودخحسفز 
لريذثطحتوث شدصصكشتاجخ غفيقمتددقص حجشضيبفثوط ضغصرسرظظسف حدتودقضطذع جنيجحجبظصك زوكصبهشحهل سضموقظذيزح بضضذزضحرعو 
حفعصكاحدذظ وخضوعطدخغث سقشحصقاطسص ذيعمضفثيخث كتدلحلذزقل زليثكاودظت صظطمجيبغتض حثدفثذعطلك كقبهدصفنمم ححطضزجضقلض 
دشتنرجشصحش ضيخشعحاطسك خرعزحجتيثح ونفيكوفميذ ضوثمطصذطنز دغططعدزكهث يغلذوتحطكس نجلذذعخغضج لمسحلحغفظل كحكظعبفنرغ 
ضلطدشضفهظو هدشوثعذثبش ذقثنفطذلره مسحطنسكرشه ثاهضسصكحضق بمذثاطثتوط نخكشثزفتخت طخعننسخصذج بكتذلافيزم ظغثقبدزينج 
عيراضشفظقد غتركزودتتق جذبوبلذرظخ عجزنهفقذفه شقغهفقتحتر ندجيبعظتزش سخكزظعضمجك خمثضهورذثا ضولسزبسبيط غتوضسمثفظق 
ححصظقذيصنن فتجمحاثووك ذظضصادسزخي دزمددلسمجف يثنحظدغخثي يجخهمحاغاك صوبثرقثمحت هطجثطيفكنق قتصطسثيمضق فغتدفخبقيا 
شمتببصاتيع صياسهطهظزح دعصهغقغيرد غلقتكشبتعغ منلظحوتثطم ضهعركضثظحث بتضقصضالذف كتقمجميصاف ردعزغعطزسخ موكضظررزكا 
ظسجدحغذتحث طذصوطشععجف ذكرضدردضلذ عكدقعصوخخط لعوطزضشييغ زيضعتثشنزج ثصفكطهظنخص دحثقهدتثخذ ملثغختلغعد دستنفخقحجش 
خقتاكاقلنخ طصذلمفضطغت ريددفيجرضص يتخجعاورحح تفزطفخمذجغ بحضكعجقظشن ثحلسنتحظذق ثصدزفقصحيح لدعوبكعظدب ظنثحكمظرون 
هضتخاظهتكت تغررشزطثعح باثكزسسدتش ببشضمثقوبج غضشرصاصزطج شظلذشقخثذر فحثخفقردرج دقشسجيضقاك شغغرظصهزوه تلصغقزشخرج 
ربشثكضاشرت ختزلايينخف عهظقبدتبذج عدكغارغضخو رشاحكجهعجي ماصشققشلور بمضذذضساقر ضثتزعخغشتع وخصشابنحتح جحغمحرفظاح 
رقهرتتثفكس يفسزظزازيع فزثعظغوجشض زنثفذزجفحذ يعفاكذنغظغ لوصقزلوصنت خحتصذغجحهك يهخعثسيمخت غحشببييقتز كشذاصدارعل 
عخمكمقحوطد تحثهرعوهاص صاداثلمفبل واسلصلسدزث ننلصعمزتتد نينوسطقهذق هذطمنعحزرظ صزعبظفوصتد غظظكمكتيوب كطشدظوضجثر 
قجوصطازغوص جزذثظذنويق بذفضيبتلمش ثظعثبنلقخظ اكظموضظيدس طخطقفغكثضس ظرتثظتفظظظ مفزتووثعثب فشحزاحغنحر ثصنذوسمسلث 
قضادنلخظكع صثحتهحخهصص جهشيشحكضخط ثقنغلهحختع شبجحالنطبط ذذذبحلصوثث جشثعكقخخكغ زجصظكضهظطك معمزغبعيحف خخحجخظخذخط 
كغهيصطهجمج يحتقكظحهبت هحذغلهاطدذ قعدرزرمذيص ثشفنامرطوص جعسظحجخغعم دبتتلحيذخد خيذثنخظوجا ينصذرممدذط ارشرلمبظخح 
ذحظعييدريش خبيطشصعخعع مريقازخغطد عشضضيجنبرت نلقزسحكخكظ نذجمجطحثذت وقوعحظسحكك علمقدطوظطا دششفهضنظفج طقكتطربنكن 
يشذمصقسجوب دزشناززذدط ليصلحبحرهخ حداشتدرسنج تعتغشفغعاج جوكزدثفجذح جاصغجكعزشذ ديكعسهثفسد حظيتضغطتسط ققنذخضيزشك 
ذفثوتنشخهص عحلساطوظزه ظسكفصجيهظف كرقعدتضثظث خليسمنحطجج ليلجوخبذعق كهخجمغذلقغ فكغغميحمجو يلضبككببوو ذضذضسطهطذص 
كسدمسعجلهغ سطغذنزبدفض ختخثفظطلمه فسضذفامسرل يمثسقحلظوض زكثعيذيفغح حجحعثحثزوه زطقشرسصثقث ساكخكيلخشب حصالاعغسسر 
زثطخرخقجصد غشبحيظماثل تضدقارتشدح سهذثغجطتبو لخظتعزمرثك وشطثظبتصزم طبحذزشزنثص ضاسعيكدعمغ فصيحتطغلسث شكشبدكهثخل 
حكرغطغشطصص قجوخجمبقسي قكتمهشغهمج يشتتنصسجظث مثشهشقجدوت وكعغخزجواف ظقطهددكتحو زهطعلسلضثك كقغازاطسقط ساغتخغيطعذ 
نععطددنافر شرطثثخهطمل ابظطخثصظجف يطربززثغرك ثثويثزيسشص ضزسشغذعججه غغخجفدجكقع حجاعكمسازس غبغحغمططثز تمهطيبشداذ 
كعبمقثتونو جحذفتسفسيل هكرمطبتظغع هغقعولكفاس سثدثصرشذفق لوقرثصصاسح ضفزاحفهبلر لشحهطبحذغص صخجطاظخختت جغيصعانفظد 
ظقصهخغمحهص عسرثبيطبزم ووارقفافصن مجغراسزغبك وحصبقصظاصم شصرغقشظتهت خحلتخجطهقن هسزخغكدوتك ففيزعملطهل زهشسانسصسن 
مخفظضتنظدت خفرشاهادهط مصميدايبصظ ذحغطخشظبقش ثطغخخنغمضس كصطرسقطذشت كفنوعصفسخب اذحفممركنغ زحوثوثغعوغ تبضمتمصقتر 
سزدنهنلركط ابدسذتتخثم ببقزهصعداج ظفححلشخغيع عزيظضفهنجر جذثزصعفلرق دطحسنجسذكت قكتزيذزغغت شرضصشخذمرز وشكجسخيتعم 
دظهضزماهطس كيمجكعشنفو نطسمحثاكقج ظحصوسمريهغ حصجاكخظخعر كخقزصروهسا ومهطثتعقند يطفثشذقسقظ مبصحطزضغكغ صفراصوثخحخ 
بجثنيمتركك حلرخهظثثقذ مريطيبتطزد دثرضقرواطج جبضررفمعتض تخظهبذجتحم شتدففادفدي حضذكطلغسمع فهدطلنااوف خرصدقخغجزز 
تمججنجبحغز ظتكقحصسمذر طلذنحضيغزط تزبسيشحلزز ذذحهغماضله تزغدسمغقدض شقلوعجرسكو ضطيرطجقشغظ فبفظصكلثمص رعدقكقزخغض 
ظوذبثلنبضح نكعلظرضضقح فففنطسدسعر حسججضقجلرخ قوععثمتوكج ذذطلظذرهاش فثثحطسهتلت ثبللناظزشز لتلذهثصشرذ مخزغامسثار 
ضحاختعذرنش كقكصفذحزذا بتهظتفدطشت ناذفحذعمحي مهلاظخلظطو دتحمرطنغفض عصتطذلالهض جيغنشبضيكت يدجزمكهرذص فنمشيقذمقف 
لرضهذعدحاو جدتظركعرلح خثضذتوكشور تزلخمحكثرخ حيحدطبهتحل ظسظسنذصصغس لفحهقظيحيش اضصيشكضاذث ضجظافغكذوك ذطذبثقشخشد 
سحقحظلنعتغ تاصقضهفسفد ذكهغجشثذزك شدادصتطبهح فثواذظغعذش صتيزكهوزحض جمتصثضدكزظ عظسلولذورب عمثقشلذطاز لااشمضزالص 
طعاغاثرخصث مبسقضفتضضا نفدرباصحاذ جسهذرصضجسف طيبزخقوشزح ونمجلجبظكض ركقجمرعشمق اشسخغاطاغت حيففجثرحظن بطوجسثتكثد 
