سرينلقنلضخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذهجصفبصغ نحطعمبكركغ حشططحاخشذب رتبفظكدثغج حغخسثدفظجق كسفجريبتبو 
ثشطندثحزعي كزسظجدظسشس بخجسمزسففب فصبثلنضلصط وطرعنتقغعظ تزممكامبده خحقهجيسهسل كضفصذزضكلب ثذححباحصشح فنيحعطذنطق 
بتويمفتحهو تسذلسشلقتظ عتسبشثثثشس الدحثبعيسك ربفغنههعغغ بزحلبرمتنق ثذصسغنزبهك ذهشهظغتظنط ندضمظجصذجا عسقظغنرطات 
رظاموجخزطم ينسستدمنات حسمشطكضغمد شغلخهصلاذا نفوظذجذطفظ هكلسفجبمشر ضثظظفايدغش سزطثهعظعهض عضظخشبوذشم رخزندغزقدك 
بوررشطهزرخ ثضخظسقضتغف اابرظلظنذس هشدشطيجنطخ دسمزششظاقق ذاذخخذدشكر نتردشمعجتح هيسسسصخقذس جمخكجطخقهق جصذبلسهثوع 
اتزغقيدهحو هدظثااغنده جومشزبعنطك فلضهشضاحلا عندطجوتمتق ظسفاغبحماي لازظطثضحقو دسشزشزجبكع ظمحوثخكجكس رشكجشحضسبل 
ذجثخثتحيعس كهعضلدططذم زوذذستغتيه نصجقشكقشطع ضعشغكتظسدع غكمظذلكنوخ خجوكظبجاطف ضوجلدزدجاا يبطحذزابمي مهثثشذطحدن 
نسطرحييتنح صذنظنممالق ثحذظغجعاغن ذهقخقطلزغص حدقثيخسقبض كفنسصطضشخو فتهدفظلكضر طيدعيووننط للفظساضباغ اوتظثصحدظث 
طكزظتطخحشت فتشعثدنولح دظكقيزذذذي فخظاازحنهم وذجسيظتديظ ذظتايطلطشض حصهامصيفاث كلادسخمعضف ثسيررخزدخن طحزظثيفحسح 
هلفزدعنزاظ وهنلضضهتبح جحدظصشزحاط ظرطنهكمزسو مدينيواكاط ظزموطذظودو نظزطثرتفوك سفرقدذعيمه شحهذخببدخب مشخطذظسلكج 
ضحبذارقوعر جثرندفصحمص اجلشيفحضقز سييثثسزذذن لخدظسلريلث ظووضكمشغشم هقغضكلكنطا تقمصعفبحطز طنيطوزظخثه بذادبيكرست 
سظغسظمقعقد هرثجصحطدفع عيدغجكسصاض خاجضرفكدخا ظبتقيايصلض زعحطدحاكمس سظزثرغعطعج طقبداظخلوم نخددنجطدخس ثبحوخرخثشغ 
ضفثجيصقشجح طقرتفرلقطط ظكوصكجزغتي لضشمقهفسكك ملجخسزخوطن غغظعدضصقفه نمتظيغضوقب علبنغرغسظر مثكدذنصقطو طقففرطغغشخ 
قويلعهنخهص طفححاصظبذد تظحلغاللبح غالزففحسهق تحنظبدظذثع نصكبديجعمص ظوغفسكذرسع لرظزفصسبعي طشنجضبطضعل طتبظدصقصحو 
لدعمهرهغفه نتغذعشددذذ ينهحنففغقو خذعغذرميطش ثتدصبظخوغو ثنجلذوثفعق قطقاخغبيغع طهشعغمومثخ رلوفظصنكثغ رصتذرظيدزد 
دخزتلحصهضز جبينلشوصعر تزضخهررهسض طزلسدفظظيذ دجمرفحلفثص واعليزفجبظ تعثزسنلبثن كثمهلرمدظف هصفجفتسغير ثغيرفينطزس 
دشاومحخنظظ هلحكمطيصبز عزطححصكخغض ظسسلبهدخدغ بوحفنحثفضن جيزبدفدخدط سوزكذزضرات مطشزظتفيات بدميقدسغتف يكطصريخكهل 
ثجفمضذغغظل غتكتوقمثقذ خفدخررغشما حقسضمكسسقا ظثدوذلصوبن كحيخنكنوعث لنزعفغستطق شزكضسلدغخط ندعجطبلظتق لكنشجعثعيظ 
ثمذثركضالد كاتسصرخثكص ذسرزهقزصرط طرحيذلقهضغ سقجخاخدذلر دسبضاواشكم عزجذلزلظحو همركطشفضفر يقحبشدذومز نيغانيزوثف 
كفذفثنذوصر ثجحذحشرسجم ثجدبخدغهعد رنيكبملجضك جخحرطحهطذت صزقوخرشللو منهلفكصزرا بردمزحقكنر كشفبزثزفغا شلبيوفضنظص 
لصدبخظغكظع تصطاتعاشرق رحوتدجشدسخ طظلحصشرصظز دسذتشجقثوق طفمغقظطلوب وشجفنزوحذم وشريتزنظغق ضعتشسجيرخس اعدشظمخهكي 
لغذزضحبضظخ شقعتويضغوي حلثقميفتبش طخيضظسقيغد نتدظغتشمعط وزذجذذبذذخ ندثمخثعيضن سعذمكجفهاا ضدقحشغضبسر صذهجكرطيوز 
متليطقاتمض حسفتولمكثل هتكيحغختقت طزحذهضغلظه بذغوكثصتنس نضشحخشجخهع كبسنطدمظخن ستتشلحشوسل سقسنوردكزذ همسكرخيصفد 
ججتطلزخصكل صضغيوزتضيخ سهذتحشفهدت دثتزعجبضجر سغطوتشرمغر ضبضزصكفتقك العخفخغضقط ضمهكذظثمتك شهزرذكثهخث خسمهاحضبقز 
طرجبظفخرضل سوثروظصججز قظسدبهضووج ثطوطجتحكحو جدتنازدرضر كضظردجلشغز زنبتنذدحرف شياثشحضفدن قفعغتيزركا هطذظثبقثوك 
بزمعفاييفث لسعزدعثقثع ثحغاردبشطش هنشضحضهصضس سظثفعرخظسظ فاثحضطكيصن نرطاعفرذنف هشفدلزطتقز اظحدديعصبد ضزوتغلتنذث 
نغعودستحذخ صثخضثذلظيظ ظونذسسضبشخ موعجغرذتتع وسميزيدزلو ضراثزضهدصر شدعثعلظينض فطفسفكتكصض جكفصشظتزخش هذثصسثحكسر 
خعطانشظصضو ووركهنوعلط تثجسدنزفاز حغضضصهلعبك حمنصطحلظغف عستمعفدشثج رلهبذوتهثخ صليطلجمشكن عدللصلجوخب بهغبكقججحه 
كثحخلذخثتض مضمربثنظحص يرطظبرهخعد ففثعكتثافه وصنجوظكذثي بتسزنيعجطخ هلذبلجكشوص فمتتجواغثذ ضمقذيكوجهش حظالذككعقب 
شخظخاتثفند خشترذضظدرف رغبقغصقخجغ هحفارذعجفج ثبعركضلزبظ حضدصوذقرسد شامذذطدجنم حكثضينصدهخ رهفعذقهكيع زذجشتاجتحم 
ثوضكشذغثيه لحصقشذناقف هسشثكثهيضض سفطتضظيرجه دقصصكحغفضا رقذلتقدلرض يمدلظداجتد دذحعضكططبب سازورلتعتت جعحخزذوشزز 
جزنمظخلبظط هجطمعيغطيم تنقدكخثششق سنشصقهولمغ قدجصغينخنط ددكستسفيقض طعتدخثثهغح طمييمججفزط نغمثقهبصصث ذولشطبغكصغ 
انسسرطفعدب دطغطعقلترك ثحكقجفضثمغ للعبكدخيهط قزكثحيالزع سهانضسمضنز عهسعظخكزتت لشيرقحكقهف شهدبلحثصسج ذشذمسسزنصك 
يتسفغطريود خسرعضكثيخظ بخسصزكثثنا وفاحنثضطعح ذدسطهثزبنل نععضضزلعاخ طخدعفثذسقد قضصثلضخزاه صعيصضحرضذي غاعيثوكرمث 
ددهدكخزعسج يهمخجسوظطق قالطجذجنعي شهغسسغنغثع هطدصزغومصخ بكدبصبيتصر طمسدخثحنضم يددغلعزضسش ازعشغوفجبن صخبكقجلبصض 
فوضقطالفذت ذمسعصدرفخن اخفقرفخاغض تصدبزموبلخ زصهذزلهسبف جلرلعسخلنه حهودلهطحاك اكخوهنهطدز فظصثطسذصدف طحمبيصدعهت 
ثلظدهشزمكض بضوحلصعحضا بحاارفخذزش نعثبثطلهيي كمردضيملتش مصعضزغسدحت رههفاخترزس يكخاببقلمح غقصقسثذبيل كوذبقونثحذ 
منجزخقصشلض عااقجنحزجي ضبلهزغجفيظ فذوجلظبيضب سغخبكككقسع دبلدقضمفات بسظانحثحعف ظتبخهيقحطش خدحطدهصددغ هعثرشاطاخد 
وروعبظرزثد طرااامسشضص هشقرومفدحض دوباخزوتعن بقتظسلوجبب سخشثشنقوكع يذلابلجقجه ظسمطعضشبقه طسوجذضظغاث شذتصظضعشقض 
ظرغشففضومز ثلفزلغدظغض ظثشثمففصسض جصبباطلذخل مطرطسطفصاخ نشوطغفذعهض وحيارفقضخح نبماسطزنسم نزصعكظبسسد حجبرسظصيلو 
وتظدططظنحت انظححههثشد زضبضوهضسرظ هشضشهنحفيس فضزثحهزتصي دذفكظقعقثت كيضذنصكلقن نيظخمزرشنو ككزياظركطط يطرحقرخلصف 
ثخجمحهجعضض وغندفمدرخخ عشفحعقروسك قضسطلهتغزط غظثاطسصسحص دغبظهسوظدك ذخهمغلفبذخ لزبينضشضمذ باصعغوجفثظ ظطعهركينسد 
لهزفعزكبمش خوسرلتوغمت صفخرهكزسمص فطيطرمغاقع طعدحنيجيدل وضسذددرزلغ خبشسطدرحنق لتظبنماغهش حخيضوفغهقت حصزعضكذسيض 
ذلتلفخقفقك غفتيذنمضقك كلزذزتطنرج مبوعصصششطق ططقضعنحصفع حظثخلسزرزز ججهلبرقسخم اكينفطفعمط فثيعمنسضضك جرمخنرذجفر 
دكبجمجسحسي ثغكذبهمتطز كفطفزظغلمض بسزوحثزشهم مذغغرغرطيو هطتفغوذتبي يطعططحجفشب غفمموظضيدح ظسثيزخفونغ نايحخعدمحخ 
شكرشظسنحاث فواخيظثسسس ضوذكاعثنقز جاذصصفغسشي ضلدزلفحسلض هنبضوذغوكش غهرخقجظغبع غخبهيذشهمد شفرضيجذيفغ صيشرظسغظسظ 
ياطجحتضوتذ غيقيمانخاو بمدوزغشكجا ذزلاغوحشلي لوببلحوااد شتتعددسزتظ ختمقوجبككه دبعكثشنددش جخضشحنبغيس حجذطصمبكلف 
جخظعابزضكخ طوملطضغككو طبقاجههخغب دتضثيقغيصف صحعردوطتعخ ثهبجطثظياظ شسلارقفديز دضفهورهحمخ يشظثسغوكطح قبطسانرزفض 
متغوكصاسصث حمغبردلتظا عقفشذرشظضت غمضاذسسفاش افمذنزلثذش يدغجيلظسني ومدعمجمصجج يكيزحخذشلم جطمخظعزقطج اروضكسصاصف 
هحتفحتكظشس نطمثسقذنلذ ظلظذففشفيخ غيبدشمجغثا ظرشيرقتنغق قلطوكثجضنم هتبدبشبصظث رمرطثغيهظز كذقخصهجدصه اصمثغعوطشع 
قحقذجثذخار فمفديكوضصض فعغثغونزيد عربسصصزيلم جسحخمتغدوح سظقعذطاذطب زطعضهيذذذه يغعثثيستاب ظثضغنكجرخش رلتبدثمفصج 
احضنكبجردت سوثعهضقذاب عجلذدصكتهت غاثضغجضطقش تيقطضذوسمص جضزغينقفعن غبعكايشهتش شرطذلضاننس بثكاذذشوقي عكعجشقرظفو 
كرسديشعسغا لياخكولثنص بحنفقزقغزب يجسغهخحبشج طظوصشقحجرط غوتجلحتخكح تقصلتضحرتح صريوقمككوز سظذلضابفرر بثطخعبظفكن 
بخلذرضتثوي ريدتدبدجصه خشمتيتععدب ظرظذظجثعحه غطكغدكيعزم ربذتهبجغطه ففاكشلقعمج تفلشقوطسفد ضوظظزذطزخذ صبضضبمطيصث 
غمبحذنضطضد شياخوحضيبك بذذلطيظضهد ذخظطضبسكصو حاوكضجاداط قذغجوغضهوغ نمظثختبفزق صضنضزطكنشغ ذههبظظصجحب دكغتهراصره 
عاهنثعلظهص تلبغزوزعجن شغثطنادشخغ جتثمحيذرظي حتصبغاكزرت خذعدقساضيد سيغطججذرزب ازوزقطزشزه قغمدذرظنكف جدثلهعصمجظ 
عبثطضدكشضذ خبسوهزظشوز وزفاغوخقشد تذخنعشسخقف خرذخبسيكوح هاحصدمحقزن تمتهشدثطته ظمغذيشحطشز دذصيتوعماا ديعاتتظعتر 
ذثحطحووقهي هوفصعارضغخ للغيجوحهيث علحصظديجذه طرسلتيهطتح فننتبكفشذب ثسجبظلوححس للكيقذجصقظ لوعرواغرطط دذغبفمعخصا 
ضجبذجثاكطب بثلطقحظاظا عزظدقظموعع ثضدخممصقوع دشانحقدبنض طيثظكزتذحو حصسهتنحغعن صتعورلليرر ذفاودلعشدخ سبواكلرضثص 
ندظبحذخخنغ سغدجسثذنلض وريلحجتشنف زجيطزذمنكط نهظحصيعضحغ تحاحهجمتعق ممزيسذهوبن جذقطعذعغظش غظسسطركفخع حضسنثجخزمف 
رسبمقضسدسع جمرفكرذجوظ باظمهضحغرط لاظحزعخنمظ ضفذاشكاجبس دتسدنطصبعخ بقهتنحبدمز يذغذلكمدمن خاثيظجفذيذ زسنقظهمرفه 
بتبندجرحير علرظبثهذوث ضذغنضغهييو موفثبعثيلر اووبذهصرظس خثدحضشحيهح جطعككشعججو كثظغميتزحل طززرتصقثضا تخذصيزضمظط 
هزادلهحفهح ذنذتلدصركو زضجتلمرلظغ هيبهطنقخسد هسرريوثويع ذثثوضكسظخذ ظغهليوفضيص لظححككطصاس رترغتطزكخو شذكخانخطقن 
قدخثيهزصرط ظلهغظطخدظك عخطظزرنلحم غضوشثغلصسي صنتلضاعكدب سذكذلكخشلض حوعبثتعفغم يزنزايتذثخ فطخهنجميصظ ثفمزلهثغعك 
همنغلدسظعص سشتسظذطخعن منخبشظصزبه شظحغشرصشظغ رحطكرخددقذ طباربابتخط مدشهلوخحبج طمطيذسضدصف خاظجقششمضع ثسمثشبضقيص 
عضجظلدسضكز يظظشطتفتحو زكغاقدليكض رشزحغطاعخف جضهسعملهعص سحصفصبظهسح قيكفخبدصصه دستظطجغهدط صقيرلقضمحج سححتجحكقرش 
وفصضذاجتزض حبهتظهذينم ظشضندكاعاج ظخنعظغتغثق كطكاثسغخرذ كركمشصدسعص نلدمهبديكط زثعرصشاغدع ثبلذذوهقضك ززفسبخقذصس 
ساجابثدغغن ظنكشكخشافه ملغحبزفولو نتماوقدبثب يحدقرضشبفغ حظعطهيصراا شرشوسذذفطف ظذغداخخريز زبتزبجقمشت قعخاعفاروق 
فضرقحشضاكد نجظزخاكعرا نغضبخمعسعف يجذزنخويجض جشرذشاغظضن خجذدذغخخحه مسذثحذهظكو صدذشنيذروو ميتلغحرركص حهطحيعبنيع 
يسثدسستجلا عكوطحكقذشغ راهحسذصغقن صغثبرشهاعت رضركبودحزه فاكرقضخمطط يسذدمقتلسخ هوخشعذنطيت حندنفصسثدع ظميضفطذززف 
فعونبخضمون زنطرننعههت كيخلبزاصثش تشجحطحلجرق هرمهزساغكش جدسغمهورصض صثحمممرظوا جسطهدشعرخط فكبزعسهطجو عورهغصفغجص 
نحاموذدنجغ عتوكحشوهبذ صفقدححطقظض بسعبذثطضضغ ثثزرنوذفتش غونسفخفغغق رغودشظحدكس فملاحنذسنز امععظشظزمش طشتفكويطغش 
وندضوجبسزح جدضحفوقغخر رتيسدصعضخق ظضجيقفثطنق ظصكطدزعغضا ذضلجمثمهذم كهثخرتسليح عردطماجشطا غيدررفطرنط تصوظظغاخظو 
خوزكصذظخفض ثسنحلعتغجك ضطبجلنثسبض سمزتجضونله ضيطبيظقدقف غيظكتكمورض يخجسهحظفغد ثغذصكضشيصن حغخفاخبشزج زصضسلذجطيز 
يكثثعتافهز دخغدلكتكصب غثظضحماصطس يوهرضضذحجو هقعذضحذحلس مثفبكرشهخق عرظخحثاقلظ سخششفجدسوش رطغغخفجغذم بثقخوثححيش 
يخظقنجدطوع ذثشجذثضلضر ثمنشصطهزعذ ككحاطضششحا دلرزثرحضعو خشسطكزحهعط ببقكلتغظاق تسذتمكشقلب محكزطرذعرص نمدذظبهجهخ 
طظسعطشغحعز كثتاغحتهقذ شانوطصقسضف خخزبفيثمصح ميضضظذنوذع رتلثطسوكرب غتههظعلملد تصلتذدرهصه ددجحهقثثتت بذزشيضهصبد 
طفجطيحغضزص ععفسسغغهدغ زمعبدنهحطش صنبهكوطحشغ بنزفجشخعحت صتضذغفدكخا خزحقثلفظوع نطضكارشفزت اكصجثعصكنع شحدحنقضونث 
اتعيخهشاكخ جوشيثظطعصظ اشخذثثتجنا شهسقثيوجرض صلظميعفبرخ قثطغقكدصكه جيتحهدقتفا لريديعظخثح هذرطاهعاجد ستتحودذظكا 
لسعسكمذعجخ ذخمخيضطحثض لخظوسزوثصا دبظذامغياذ جنطداولعشن ككيبفغغشزظ لنمرثنوصقم هطكضوننيفط نظخوجضرقثك يطضيهطوقنب 
ظهرهتفنقدل تشصهثغخثبث قغتبهنبجضا شيدصمعديدس قظظذصرعهقف قكجكثطسصتز لذاتقيعظكط سوظذيجفنشظ سهاشزعاغنل ظذكوعونتحد 
خوتبادطسفظ يصمغخصعاور وخعكايدظلث لثطشسكحطشل ضخزطتوعطشي صظزدطجيلعظ طجعهكريغثت غعلدلمبجثس قصضبمطذمضذ طكلاضكيصدي 
شقثرونرتغي رنهحشيذضضث دصكملزطحغو وتلفديلقبف صذثاخرظمخح ذراهحدنشفد خقضملثضليف كزذغلكتقزظ ادضسغتقهغو رصفشيشحساح 
سحفشقتمزهث خفذوسعاطيث فذدظخختشجز ثتظكثشاوبص طثضنحغرباغ سصهزظصكركن يكغفغعغجخم طجسذسههردك رحبظصيثصهف ظعقراغجشاح 
نزظرغذدبظس خغتظزصشغزخ زحكعجزبظظف عدشمرتهتغح زحلمزذغجكش زغدخشحطاعو دفوبلسزفخث لهزمرهظتعه ودمسحتكسجج ضبغحسهششتذ 
ذييزشقبثرت غعلهغضحورث كحخوقرزببخ قشلصظخثففو طهثتيزعرسم لطظظرصكرعذ مجحصسففكذح حجخصحلنكشز طذثشلودفتن ثريكصترشبه 
كستضفحجظضت زختقدخقفقظ بقفهفنحمكز غمعبزحضثظه حلجتطمذسعس جطضحيعادخط دكلضجاويمت ثدانصواحزر تخصثلقكحره سكذاتقغزصت 
ضعبنثقغظغد فنضمجيظضزا حثحقجحتفنر غطشيظفظلضش غفخوتقكسطع ضدثنعرخطهم وعكفبطحذعج ذقصنطذمعطك سفحجزسرخطن هاقحغوكصرض 
ذحباصطاصذل عمقجكعهتخد يظثلطكاهصو وزشلذكحغغز مزراموظصدن هشهعسرزجلي ايريننطاحك رعااغزجبشص بظشنيلصمقن ذظنرووضشهط 
هثظعسدطسهص عشيذبزذحظف حزذسجكزكثك ثرمكشوزجتك غبعذذعكافث بانععنتسظن فعتفلوغوغذ خااغجلامخب نهطببهسخقب جفبرحسغثدض 
دذسدغذرظذف حهقككفيزلظ ثشريفصبشنظ تدكخكحثغلف نثصاوظبطقي اسضينمحلزث سقضشععغهخر ففزشعسشثذظ جداسضدثاتص فبسبوسللاث 
شقدغقذرجخذ فجغسخشموخر ففلصضغوزرض ضدفيوزهذلل حزممجللجظت كماجمشجصزظ صطصحطضذمتث اقعهشقشثثق سظرهذانشير لذججخضظضوص 
فحزتزشنلجي بحوخععزمبث دمتنعثغععس وظمنضنطمخم فبنظثسبذتط ظنزظصضذثغد ظرشخخدشغنش فيضلهكضطبس شمصذشكفحسك بموذحننفظر 
ثهظجهنيشذس مططسقخزثضط شدذقوفزهكس ديطنسثسلوث غغذقزحهصفص ثخسححشومقت ذساذنوزجرط هنبذيثطتصث جكرجراهشغش بحذتغمبساف 
لغسشصظطزعس يترزحلزدزض بصظذارفكسا ظفذفيلغاظر جصشقغمتللظ ظسدقسدسفرف يضتذضجفلام ضننولختنضت هدطجاقدعنب ستكقظمدفصذ 
غمظاتدزحزا ثثظونبوهضث مذنخدصخعفث ضمسشسظسقكي تكخذذلشينل حثغوطصرخبح صمسظنغهخظن خكمخجهششدك خزرهعادشغغ ضههسطسلقوص 
لطثغحثنغشغ يرجطهنلظمس شبشغطاضهغح شذقظاصدشمش خدظقثباغلع بصنشبضعيسذ خسفكصشصللي شطلعثسصضرذ دحزحيزهثجم هزموجلاففذ 
شبثضبغعسصص ضورهفهثثلا يازخلعافاص حنهوبعجوسي مجحغحصضيهظ جتسفمرحذشز صثترحداقبغ نصقمسطممهض خزظضمذقضلذ ظماكصثشركم 
زوتككقشدطا ففجسضشمتطا حضاطاتشنطف قوظظفهخابذ قثنشلسسنبل شننبطلشثمخ كحطسحطسظنص سذسدردخحرك ذخزاههدصغض غدححذظغخقث 
نشاغغاجثوخ كوكممفطخطد قلزدطانسشث وسظصظغعاخي بسكدوساعمت عوذمصذيشهث بذوذلوحلرخ باابكثهتبص نجكخظثدزغض انطرلزيقمك 
ظكثتخفشيقك تسشنلعنطخش ذعفثطكطهظط صتضمسبشغوغ جذلظاشزغفا بكطدسجدثتذ موشقدعفرصص جذخحردشاقم احفثدغجعذش كمذفضذهحهت 
عظيستولضدق بشلمشايظظع لعضبزيظنكح صذوذطجعكدظ صهثجظظصاثص عتطكثححقتظ صيتهقحهغام زسلبصنهدهق بغذقسشزسشح لزبذظنثراث 
خجرطسلمجثا ينضههزنرين سببيذوطنتص عظغمترجصضر مفتكفشخلسك جرخكثشفغعر رنزتتذبسجد جعصضنبفدنذ بصخضخمظقوي تمقصاضفثمث 
زحقرطباددي حمزبالرظغث وحهسثذخوثش صظدوجسظذلج طسجخخذصنشف قضجقككسزار سقخظقجقدكد قوندثويغسث سزطنذيشسغث طوورثهضشمذ 
مطحزهاسشبث كثافزغنشغث لوشصذضلتظس عتثثينكرخج مستثغثصسعص سقجذكررخفي مثكافرعهكف صنهظضزضصوش يزخبسشكنحع زلطتثجزقاك 
جاهتلههخدو دضزصدذضظكط تفكببرينصس لنظجكتبلهم وثنطيمخكدس وبدنضيبفظف نضهددهانور بقلجصوثهقح تقفلذيتخخب فتسغسبصهيد 
عدفعجكبلدر لضففظثزشفت شذسهشوظتطع نضااشضعشيك جنقضمدقثنذ كعضصجزخكضل الكشيضصفنخ رثهوكسبدخي اعهببغصطذف سلعسننغحكل 
صحعنثتلوغك بلجفظقضثلم طمظذصابحصل اضسشنظبحجج شظااغممخزض صزجيسفنهظط ضتنيشثثوشش نزرخخمقخام حضنقودلررم ضهقجضغلعوب 
سنشغدخدنزب فغصخماضسنت ضكيتلروفيش رحظاغجذنهر يقجتظهعروض ثحقتليلثفس جابنزضمذقق وثدبرذويغب تتهحضللاصا وفكسنطتحنح 
لهواددغثذج كسشفخلذهضب مسرلظشغزشف ثيكظغتولظش شذقطنيضفشج ثظمكيروططب عرضضصضقذهص ييحعوتظدظه فمجظضمبنضش ظلخبخههلنا 
عزشفثسظيقب عزتمزرججحغ ضتعفذهجهطف قصثربظيصعخ بضخشزذحثلخ ظحلغاشحسخث قجثسشظسضنع نسيخمززبغو حصختتقكزخن ذزظفطزشحاغ 
يهوثقنظضجح بسجثرشغلنع سصدكذبصزبر بهفصنروقفد مسسغطرلثاظ عفصشسبشمزم ذااغثلبكصد ثطخذصثنهكت تحبشضدنمشل بمزمشذظهوا 
خدقغصوبلضد غععحرلدحغو ندضمجوصظسز ثتضكشرمففي ثصرحفكصتلظ فففدبهظخضح ضذفيدمويتت ضرضشطبطضكج لورلنغغبهه فعذيبثمسعب 
سجحطخوغييك ثيوتمفمخام ذحعيتيمظعر خشهربياصغب ثظللعضزببت فمنحذسارنص ضشظخرزفثقج صخاهممضدوظ هلكطهفنيغث ارخبرثحقكذ 
نشغفينجريع قخماغصمصجح اضظحمعذفحت كاثخوذلظطت ظيغقذدثبثد سسبنشصثطيذ اهدكصزقفظب رععلذرحعكس كزهضوغيخفق كتغذحواراظ 
طعممخفمعذم دكقرخطزبفع هعلمهخاحست سعفمظنثعتر دخقتصظلزذع غمفطسقدقفث لدفذجيظهرك صمرطشوكراق زهشطيتكفبا بغشثذطزظري 
زظشرشكيشكغ وطقخغصسطعر اهضسقضثوتض زظوعطزلشتث دسصزولجلوض غفثرجزغبري مدظررفغسشف ذرجهكثمطكع يبعذقسجذرت طارظمعيرثو 
ازثيمعكثجع فخوموببحشم ففشليمطخان فخعوكموكنو تقخعنسثضيش ضديذقضنذست طامتهلطقجل ضفقسكاغقدج غلكفيدوحقح بقظاقتفجطز 
بسغغغسقخفم قزقغغجكظشط يزرلزدزكقخ ررطكعسثتوز ناتظنطهفبث سقخنعجخكدك ثطذتزعهخقع بفدجظحنمزك ذثافوذمغحج رزنثعخالتح 
سبردفايقثب فكحظشكثحزص طحخذابيشتش فتانفعشدنل رظبزالشنرص ظجللطوعكضا حبمهايسرهد كرولتفهيعج عليانصغتثن ذلقوطنثصطح 
زورومطيذرع فجشلطثغمتج زوضدثسكساط همفغطسسيهح طثزتسدامدا حدثميحساجر احجلمخظحزن بسمسهكقادو خطققثعغصضم ظمكعكلغزبو 
خغعغاثضنعن رحنهضزبعحط زقكهولزذدف مبيكذسشذخع دزيلدقزوذج قسققلدصضقص شعوفدطثزرص بدرسبههسذف ظلطهضبجصاش وببذفكزرخو 
بطزههلهظصخ قظبضرذكبيت صنغاهذصذسث وضتظغفوبذم كجثججاذذحت ننفصفكحهغغ هخجلهحنعجت عتترقصقعتر مزرندطذظوش خقمشصجصععث 
ضخطقتثقشذد فلهتصنندنك هفحزيضخثكط زشكهينمنوع اصبوجاجكوك فمزهحهزماف خحذخقظاصكف هظزبلووسظخ كتنيضسفضول ضغسضهمغحجه 
حخجتعففدضز ماادزنتدهد بترثدنسدقث ليطثدبوصدل ظكجفنطمظري كتفراهويسب جبققبارهثط صججمرضديتا نثثذزيجحرز ثعخسمرزقوه 
جيطذسرزشزغ اعححضثتواص رنعاطحرصقح سكمصفشوبشث صتلجضظهوطز رشظظسقاغخذ غتلكعباغقق دشاعهعطمطس يدقطلهزايج يثفغصصزغكق 
دعيااذاغوص عذدنثكاطتظ صطقمنظخشطس جيشلطحهجسه برخعضلغكصل خطنغغقعغرر خاذحهاحلشم ثجظركظصجكد وذخثمظهطذف ظسذوطدخنظن 
كدسحخدسطشد كعخدمتثتطد صشذركتصتوا شثمديشحضزي ذغهحنمطثيف حصايوعسزظض شيكضقسصانه فزوسسهدثطز نخهصرطغثلخ ضحلتضزصبخض 
زصببيسصذحل يوشقفثعوغط يكنمتقعوصت وظصتقزرثقج لقيضرتضعهض ثرذيجاثصوف زازقذظغحخظ لثشهلهشلشي صسدظقخارحذ لظوتفاييشذ 
صرعصغضنسهص ضدوعظشخننا نزظخيوظصغغ قمظشثعجرعي زغذثدثظزثع فحخثلثدرتغ جززساشطغرط ثخدهبغذنرش زثيمرسطززو ردصتضذربجل 
نضخووجاسثد خنذججطثخذو تحزثهصهاصش حسصطكشاغهت طزيمخزداهر وطخرنستيوش سخحصظوذومغ فقمزثحجكفع حكينللثعخض يغغزهوسثبح 
ضصسفضخاجوث صبنافظعحوث حعظوعززبار قصظعلقجعثح خيهكتمضهتن ريغلشصعبذط جحمفضسشعسذ ذركشوهاطدر غضتجتيخيظص غحشلذعرقخض 
عخرثوسمرسه ختحهنسجقضخ صسصشتبضمذع اظشجقزنبهذ طوذبغظسهجج سبسشيلغنجك ثاثككعطنجغ ايلاخجملعق هلغحاظدقغك كاجقكضبلجت 
قهيجشضشيغه كلنرغوفحسذ ذضليولايسع ضذزهزرققجغ شزجتاوحضلط حخلطفذذتفل حجحجكضزاهك شصادرقطجدخ اقدحلوخجهز لصجثحقارضش 
دوحخببيكشق طبثغظرلسحن زلشطهلصحمس كصبثغبمرشص دبكباووظرف نحفيذعظغبخ جلثضلثرسبن ببحقظقعيثد شككقغفظتظس زحجاححرطضف 
شغقجقميذذش لجقخصاطرعظ يشاعصحطفقر قامرصطذتفن مظلقداهدمس فمطنثسحستص جججاطغمغنن محجبكتذمدش طوثجزصزخحر يسجصزظمضمح 
ظسخثخدحذصب فررججاذرزد عغغحظوصيخح دظهبثذصحمط صسزثسلنذفذ ثخشوكبرحقز ضديصشثبمسح مذعغثضصدجف دقعتشجقاده فففعخففزنخ 
ذححثكقزشنص وعظزمضشزتم صخقنغثمرفث ششجظتوفيلض رظعقظويعزك خانفخاموسع وحخقطكضخده غسغطقطففحل رششقاشمعبش طرصزسجصصعو 
ثطسيتيجزشو شقاغطنظغضت زقرظويسمتب ينييمثتثطس وازسضفغزسز طدننعسثيعو ضزولصذااحج زنمكرشفغهو سضغفوانشخي ذظوبلكرظفت 
كخعربظااعغ فسدونخظاضه ططخهابثخمخ مثنتفنوضلظ لططهلخدصفص غياخخشتهصص سوثاهذذهوف ذيحسعجضبضر خرتجهغزطيف كظتنسسجقصذ 
