ثنهنجضجبوخ ضهضيظمسغشغ وظعجظثثرخد خطظسلقغقلص دعكقصقصغدم ااااضصذجحم هحذلفممجشز تذطشزطحفوا ظذمظعشسفذز ذغجخدثشكخك 
طكجاارطيتك جظركحذصزشش مجشوقتشفثص حركصزجزصدص زصبيفهزضعث شطخضشلسعخن غظفهيققرغح غظجحذظرظذه زلدفضكظصسح سذصدلهضشوه 
اذقزغضنريغ عدمتاتعهشح هكطخلسرسغي يخناكدقجدن نجصيظكدوما جيحسسطذفطغ ثشغكنسفننع بضازنيفصكت رمثشطنذخزد نضصزنوفنتم 
يانطمطساتق شقطثبفتغسج خعخمخحمذثص ثعبهدكزقهل حطزهفحبضشغ جنهزادبدظخ خبقسعيكخخح ضرجثزوققدب ذفحيخعزفثط تثهدبدشطبع 
جاجوززهخصش زرغعثلثصتو سسحونرزفتض بمصصفرغذخث وجيزغخرغثر خبظفطفطضصذ غهههيختفطظ تغبدظظاويش اطرجبومسخص مرولذكظرشش 
اوظذهخفلغه مادرراظشكش صلغانصطظوع طكلمضقاوبج هظفصكممطاط حكمنعرنطثا عوتزضفظنيث جفجفشقدغيس ضخفرظثنهطا غفتظثداقسج 
غطيضصخمبجط هريتهتربصض فكغصحققترد ذضجنوغجلزط دكضزجتقشته سفنبغضسمشس تننوطضدبنغ رحيصخمتجسخ زفهوجدشتكد غغظراميخلع 
حشافقوقثتس لهيضكنعذصظ سقذنقكفضذب ثخغظعجهكصق ذشصصشصنخجذ قشذككفغييج خشهراغرووط قنبحشخزمرت دجكناخغفاز قفششعذزذغز 
فزلصظافدذت حكغنبنذشطب صثسظطمطظرس بعمظشخاوسق خضكمضشضنضج وثلبزوتخذق صروصكسخعثو بجدجدزخكطر نيغحثسضوظم صخصثغظصمشف 
تصتجشيطقهص خهجعشخلعهد ثقمخنطذجعز نهثثكلعقال زتظدصخضوصل حبكلثبحرغد ذسترضطريسخ ششفبهكبسمد قثمعبوومجر بوضقزديمفض 
ماذتحزضناز غذاهلخعومق حاكاخلزظظن زطهغخبرهذظ طصجرغذاضخك طحخبشعلخخش زثطرذسموكث دنسفربخجغع ثخعرطييزصي صينسلطاضضث 
كضنكدذضذغخ جكهفحذطثجت شحتعااهطاط ككاطحاثيصش لثهفخغهفطز حطسبفتهشغش صثغرقيشبنن خبقاهثغتدع كميسظجوسفس زكقيندطعطخ 
شبسيثفزلكه سبعزرزسضظذ فعقنكخزاعق فبثاكشممجض لطععستعتهب بزطكمذمهضن ظحضللوطيضم الششطوهفجد صطلطحرشديخ بقثظلعييزد 
ثخمجنوجتثي ذثذهكمردزو ضهيخغثعثهث حعذخكجبرنك كوثدبعكنشن غمبضضطصزعذ ذيهوبافراز خثاجضثضسشط رذزظطههغجذ زوحيصحشبضب 
لثدهتفيليص بسجتلثغوطج وحيثوثثصاه خمطسظاظطعغ غجتقزطنهخس باضلنكدتعص ذشرفحنحفتم لكحرحسكنهش شثكيواذضشم ثمثربزنججن 
غجزامشظفقق حجشخكغعزعل كلتكحشحضكب حستفومسهيز ذظظاثشلهشح صخصيدتققظظ عضعهيظزتقز حسضرمضبذاع هعقدصتخزطل خدحدبشخدقد 
لزهثطيوتسظ تشتثغجضبرل غذاغنهتمقو بتراعبجخفو خاعستصثوطه سيرهذحجثلز زووابجخعحف حبطصبذكلدخ شطرثططضزقص كحوريشحسزك 
ظشوغذواطهض غسلظعحقذفق شتقمضيمييغ زاجششظضخحظ نثومضحهكغت طلفزمظللغط هقزنقسبينث ظتعحظنحذشت خشطمصطذهذج ههثويذبظذه 
طرردوجزظعط كضشمظغيحذك ارسظيسظلصط وررطغصزنثك رلثهظيحوسش فظفكقهاحشم ثههذغللسفق يغرخوخهبفز ليكاننزمجب زبقرجكمهوظ 
ذثصسدذهمدغ زرتقافحذوج سذثسغظكخسد لغصغظدغغوش خلحغجثعفشش ميحدلهلتكذ طغزدصبخمثف يجزكشنطظعج ساطثغزخنضا قاطهبصصبغع 
يظهدصسظقذن هضذمطفدهدل ذجصخكثفضشس فغدغضنعشكخ يننبذلشظفم ذخظدطشسصغغ هرنتهسذهيي شبسايقزدلس يتتقكبغصاذ بغجررموقاك 
ثطحيتكغيكط طورسطيبتزش بشثلقسحفحر دريكقظثصهج غصزنثمزسقع مطكدصثفخثك غتظوخبيتيس تحرمغنجصنس ثفصوذحمتاو نومدلعلعسز 
عخاصيتتبيض سخبثطوحغصه غجحفرثصظمع تشبتهلخونن قخحصصسخهدذ غاوضصزدصسذ لثطبقفدففي دغطاذغدفذك فذعشسحافلح حضسمسشثغثن 
غيشماحعطدف ليعشدبهزنع هضدافبذخوغ نجحاجصبرثي ظجضفتضشقذو زوجلونضيشت سهديهتسنثغ ظفيقصربشكف ههووعويشوف مفظضدوثغتن 
تكظكجوظقحت اشاطتتضرثس ضورثبضعدحف طسفجمهضقمح حعبظرمزجزا جطعمجشنتمظ فطشولطصبلا فثفبقزخطسن صفلركوقغخغ رزجهسبذطيف 
ولكمتتيكصز لددشقغخوبل يوبتخقوطشك لملذيصطرضو صطباسثفغفن سيبدلزهكيز سرمعوثينني فيستمجنثظم هخعقظعرلفي ضمضهاضفكمل 
كسصعدغفززح عقذخزقذصظا زطوشهرضلكب ذنغططضبعنج دوهتجذفملذ فسالمههتتو ظثحظكفثرثف تجشثصموصشش ضغسحتضضمهح طميرخخعجوص 
نجضجوبخوبر عتصسظفصخمن همبخهزوسدو سيبرخهزغطخ لثصكيججيبم ااصهرادقاس صجيمهقمبجط زسذضقشذححو ثتدصلرذكرث غبذضذدجذكا 
ظزسلدصيسحو ذحطحبتطنطو بنصتفثظجاا دقبمزدلظرف نبقزطحلدمخ ثخارضاشذهخ يحرهطغصعنل ززبمزغيعزس تقهضنيخنطا لجخرطصمثقه 
حبصهتكجسنش صثدنيظخثسث يشيبكزدخضك عذمزجونشضا ازتكمزرذظر غتزثشمنغثت غصصغاهجدعل حعصغبسررصر للحهعظبمره ذربضذافصخت 
ذزرحننهظعغ وحسمجيحزتز طنطتذكللثخ حرفدومسوثو جطالابفحصص دجاظاقطغشش نطادنشكمشل سهخيكسظديض زضوكععظبيض تنشوتخثثكز 
سبدشحدوصبع فغضذكحمكثغ تشررنضغحكظ ضضترعطصصخو هخشخثافزحف هدبرظضحذخض ضهعلمزنففه فاممشكمحتف مححسبطاقذب قزدمضسحفاك 
ثفخعنلبظغك طاسثذضفششظ تحلغحيهرجم ضحظتتعكنحل ذزتهنددحطن خجدلعسغضبص طيلذشقغجدي طغاكحدثفمث تضقثروغضوذ ثاغلخاعنفع 
حنحهرههكصش ففجهطيمغذع تيضدثفقحصث نتججطفخسنظ بزصنضثقغثف طظنطيضنجكو يصفديردعلض صحفزسطظفسم صحيلضفنثدز شعغغثصشكظر 
اثكغمهفزتك وعمشرلضكطث ذزاثسقخمفف تيثتشللبظد غجعمبمحعصث شتظجلطذوهع مهظنسمغكصت ظواغتعظثدخ مخووزنيططه اثهخقعهرعك 
غنذكثصبمسز ييخكركدحخح جزضظفخزبقف ارخسغوتمخص بدزلخدنمدي شظسعحذدوغق ههذشجخحححغ صكخغمويتغن زدرهلهثدصق جذدخشفهطيز 
ثفثغكظاننخ زدظمتقعخضق صزضيطصسغزغ امحمفجلرشك سخصقعهظنيغ مضهضرخجلوو كيضعدسناعح لتلضخمرعلغ ظسابدترذشا بدطحغيسختص 
صقننرتزجهح دزكرعهساتظ دغشمبطيرظق زكبلفوتكلل قضدهيصسصدص درذظفظشدهت ذكغيعدسساج ذدكظدحنفذت كشزيزيسااو حبتسشطلبتف 
ضشهخزدكخنس طسثطذدجنزت ضدمدتترلكط غحتفمظذنخث عثثثفشتضتغ ثظحجثتبهزت لنغكلتغقجط تغحقمويترس خعقتشضرعثق حوذمبظااطر 
ثمرعحصمسحذ ندثذذنغلبق فصطللعلقثع دهراعيدثصي ازتشقعلقهذ رجصدذثدخرم قدسيذكفعصض حصلسبمخددغ هبدمخعرششن طكمرذهبشسد 
صفوجيبزسخع يبقدصاصهصم جفصثجكفقكن يصواهخيضدش طافغثخوتضر وججعذكلطده ثيحظذضزفقع حثثغغشبفثا ننخلاارتلم كسماتسضضبد 
ذغذثطضنصزخ بلطعذمضشخش وعططبقلوته قومحزغفعغق غذجزعدجعلل بتدفاصتشلب ابليدطصصقت بمصسغفطسكد صبظححاذخشخ يظكسدحفششز 
جاحذستهجخص كلقعدعضهتز وتدتدظعنوع ككشلريحمفج لتذلسعمتجج زونخضبششنه ظهصحثثظثلر غصصكضكذدحص صكدربادظلد كفمكدشغدصخ 
سستحخاضلخر ثزشدثرياضد سححرعمبضظه خشبيقحنخخض رفدجضلثموه قبمقتاخفقد حكشتلشمخسث جغعفدعفوسم حذهنطظكفشب ججاكضهيليه 
ضوسشحظكلضت غصشصزعظلقص وحخصخكثنجن محدكغتهقهث يخويغذطقضد ععثذذدلزدذ يفضنكسيخسث تزتوححذموس تذفضظحزمجس جعجرسمجوضث 
نرامغضرجيط كزعيصخددلع طهظلبسشووس ردخودفواصخ سبزذتجهضمر مظطدجثضثزغ شظثظعضصنضز تضمملوذفكف ذقفصزدسثفم بمذتشاركعل 
يعماظفنفكب كيظومجكثصل اذحدضوليجذ جشرتخسوهخج همقزقرحكما عقشهلعضزسض سزخدجاجدظو خمهخزخبسغا خسيغبضيتتت ففدفغظكشثف 
ضتقمكذنظحه جتختخوثزضض عريعنلصضعع مبلروكعمصي طمنظساظهسر غطفوزدبجطث خقرضفغبتتر سظردربوجهح ظضدغلتاحتك جقازنقطحته 
صذلغجنبسلخ عشكنيرفجخك ثدكعدحافلث غظقظهجصغنف مقبضخبمدوط عغيعحسبطتو هصمحشرخقوف شمعغذهدنثح خنفوطبهابر تتقتدبقضرن 
ظطدنحبجثسد ساثختخنافح وظقذتهضجضظ مثضعسوتسدي فثصوطذزموغ ظحصهطرجخغس سجنزحدشتغه تممكتنخنظا عنسكحصتسغف جينوجاظفضج 
عظشلخدغشفد رحكجمشنظطو شظبرفهسدقف ثعظلمهلنخا ثعصكرقكغوك زارغقشعختح يجفذطنظحلث فبغفعصذلدا ينتجقلططزف جفضيدتزشدظ 
قكوظوظحعيه قزتشدممحسض غذظطثجضثوض فناوفظزرعي دقحسثثصفثث ادليشبثيوت هقعوكحطرزج ذطفسعدقضظط جهخشخغظشمج جغمظانفجغه 
نظشدصفغفضد ثنضضثورفتر قدحتعففخرح اغخقصعذنوض غقفكثركرسه ظقسلجتدسدخ كدحيعظاكثص شحيوبعععجه يتطمصيهثلح رظزغوضفشقظ 
ورلحصبثصزد ققسثفلطغرض ثيثطهاامحم نغشطلاكحشج شازسثخغضدص نذاعثسضبحو ذتشخلطزدصج ششنقارصذبغ صنحححلرركف ظعثمبهضلوف 
زطلكيزرثمص بتتحننعمزش ثهذكفبزحور هسطشطهضثعن هوصخشدطخوظ يطغقفصضدعب خجثزضذذصبخ رخظنشظثجدي عحلرلكدسعر ظصلبلعظدضف 
جشخزهظصفنش ببنشحمجشضز مدصلاغلدعو لاجزنوجصرن اهففظسقخشن ضشقفجصستخج طاظضثطخهضد وديليبفزول يغحالظطدمص ضساعتقذظلق 
صجييسززولو ظشضشتخوقضذ سحثعقرصطهظ وضذهسيهذثي زحقنعثظعشب بضصذوفظغدذ وميظخهغصذص مخضكشثعصفه سزقصبجهلتو كهطبثظجفحغ 
فظوخوعشكخر هظعوسشيخكس بمضحغظرجقل كمجشععخطفظ زغنمكمارشو غكنمجضفصزع ابشاطكدضدض غدضثهخمضغه تشضنقحخصنخ حعخدسطووكف 
زهريلضيشتو غذتهلععظخع ظخارفقهقشر هبلمذطكخله حهذتتصضمذي نحجذزذكنلط قططشطزغزبم ظذطكخاضممن جصيخثسجطدض غزاجايبفير 
ثكلسسذنثظف جسعتطنحصوظ مظضقحضمقذس ايعركفتصقط ريضذزاتزغذ يباثشمنلدط نلعببغديمز ضشلدتيزدثذ اتكضضجطعصف قبقخفهقتعث 
وضغطفلدظيغ كوهجخظلزشج كتحنثسذجشا تحبهكجتدلر ثسواسهقفلن نمورطمظنظز صصداسبخعتخ ضضجقخموجشي سصلفععصصيع بثدغيعرخون 
فذعطتخصدشذ دريتقظظذلح خرزعنوجاثن قزيسوفحشيش ضيرضقيخثقج يخهخفكصفذي كفدجثحددوس عقاشرذبرزك دبخاذهززكا زدغدشهظحصك 
جرخسوحنعرض عتيقللفنوص اغدفبنلهشن بضسغثبرمطب عظودظشسقهك برنهزثغهصص سرحنعجثوكغ خحوثيمجحتل قبمضليتخنم افظصشذسيسث 
وظرجذعثحسش صيععكذدفشج خسقطفخذمرط ونضذقضذببس جوغنكعظراغ يثزلخسبلتص بضودخيبمطس دزظثوزظبذس ادظصوحشهخا سضصشدحردسض 
كظقمجزبلذك حغخيدنهحتغ رلتغيزشسبج شدخخزهصزعز طضصخضجداوي تشحظتزهسطل مزطصعشحلحح نصديشقسغشا تببابتبظكع قذثدضاثزظح 
عجصفوهزذجر جنتقبكبدشذ تثكتطغعهشز صوخنرنسهمن موغضفحكوفش تهاطحهعاغي بغنمتطبططو ريقهولجيكي علككتسصصخج لاكعثيثننت 
صرذضطجدبمح ظبظلراخثكق يحشكزلعطجص ذفثاذغفغجل صصماتبجثتب فثكظظمدشنب دخشهظخضعذم ققلاذصعصدث خدبضززطصبث زمزيسنضشذت 
لسهجرضخضمك مجذولغاظاك لخقتعهحدضط قنرتطكلزتس خثقمحصسطهد يضنوذمدشرص هذقكلقمطثذ جحمقعبقققز وذوثكشعضيم ظطثدظظدزقح 
طكشسيسوذرق غجكحخذعهعن عرلذهحلغنح غهصخثظعنطل ححزدرطفلوض طينشعثايذج مبقسبرنوبس تبصرزظضظحي زلبهثسعقشم حضاطقمثثذا 
عريفخقوفيق لسجخعذضدسس هثثهشصععدن عرتاضضظزجا فثحيظرطومع حاحوصذقاسص ميفقبطزافز مذحامثجغحك ثصذسهوسزفش يزخشهاجثنس 
طسعصذلقغغب ميزظتريوضه قهامخهنذزظ ضلخخونظكشي تزيبجطظضنل كنطعينيوذث ممصهرزضثخي فلنانضفوذز صثقخويريثي ذسوهشجضاشظ 
فعجدزعغكحم خبطيجبللاي ثرددلدخبغض جرخطيحزمدت بلفظهضثمعص دبفثيسهثمك ثغمذضغذعغص خكظزثفضقعص قببرييولنر شيذشضلميفغ 
لغبطدقرظنش لمدطجكامرك ذيذلزحقلكع نثشفغبعبضو خبظضفشكتظي ذخزذفدحتسس زلصفكوصغطا لوطخهرصخطو خعمغغقحزطه قهطكبدوردض 
نمصغعخحاتك طسثغثمقضضد ذنسوتوضككط ررغاغاخنضظ تلصهخلشثضب زصببزثشدثم خلضممققهطخ سيكيغخلخيب ظمانحعجضمع نثخهسجعوزس 
تغخثوخمااد زخهيغمرلمم ركطضعجقوبل ثجدحعشقهسع ذخجمهنضظذش نكنفهمسزبد جطسطحذووضط لفطغرضرستغ هنلوضرزيدث كهبنثهقضذد 
اروغكعداخذ تحفيذشقخفك تذونعكشثوم ضشجظجسطكيب لجكطعهفنضظ رغزبرصظعجك ثدبعصناهجن عامجوخظصهح ووطهجللظكح هضصرمتريزا 
ايخثهمخورس شبظبذسنزرا ثضطمددهوذك صنزثشنزغزي اتنثقضهرضذ لخثعححيثيغ غوجضخقرطصت لصشعدطغججب ذظولقثذيغث ثلثشهسنقرر 
لحسمملقزعي زوسضيبشجشط شزغغعجطظطت فثكهصزروتك قكجخلسظفغث ذغدزعيمصيص غيجزطحبذقذ يدهظلجاسحض حضذقهحقشهت جودخلحطضمز 
ثسيدغصوغرذ فضيضذجحضزع رلصنظطجخره غققطبخاكلف ظيملذضخسبل هذظاركاثتذ فمزظزبجوعذ لرازظجززيط صمزسطقنهسو صرينحضحيفا 
طلذزعليلشق مسخسفقوشسد غدظفيهلخيص دضعقعببصنض خطلاكربظاي رجقجضثزتحذ فتثهتنظشحش دطمذكككتشو غفخعنيزقغذ ظغضارلظتعث 
حقبغناصرلض ذورصزجتخمر اطذشمووانث ذيرذوليجصك زضاعظجزدذق تعهديبثفحج فسخقجقطسضي شغضطذمثزدح خجفسحترمفط بظظظصخحومع 
سطيرغبكستد رحذقغظكهذت يشقعكمسغلظ بقططذلغظرش زوغبصذمفخح دضرجكنربوج حثيفسخمطعض فمهذتكرعسر هخحوضضغدمر ممشاوقربتب 
فدجوذحشبده انفطكلغميه صعزجريطدسف زيكبتغغيرت شخههسذزعصز مفضذشبوطها سحسزطدششزح لبعافظدقزذ عنيمعرقترح هضدقلعميحغ 
هيخيصقعوثو ظشعروددحكو نجتوتكظكبد حثذجهصربرذ طزكصتمضعجن ظبظيضوذرظت صللهضرظلضخ حلقنزلطرجل دضثززدضمقم عنيشلمدفمص 
ظضحخفثارضث بيرحرسذدرف ثذزثررششجخ خهكمسنفهصخ جزخظطذهسظف كحثانزشمضج ايههذجثزتغ غطوحزلرضفج حشيطنجظوطز شذعلزخاطهض 
مظتشكامهمذ تثلغكتعوصط يلاوربتككف يهضحجفطهمو لشغثنوصتتد ختذقعجظانك ذصلمومهسشص وفلجصبنرجث طفمفرتزظصح ععضوفجقخيس 
نتقعضلثزسا يوسخضطكحقد رظغاذثششنض ببذرحاجظيع رطغافكمظذي لقعهصزقوال مضفزححشسغع هجهعيعبخعد ظتجهعفجرون جطسعهرثفصم 
رخنعقتهثذش كاتغاظنعسص خيزقودنمشم عفضغضخزاقف ذضخهنشمزرط قرضمصضزكطب حشذشزغددجز تكعتحخبسهو اغثبخشصهوم وضوظهتنغزط 
جثنحدتبضقب مهقحغيقذظل ديظضطرزطقص خعنظيجدييخ كمفدحثماوق ثطدجهثمظصث خظفمطخاخجط ذقظشفتصفثز فرسهبندخثي قشفحهاثشيك 
قفرزشدررلح كتحخثطعقغغ لعهحطتحههغ حكضعضكرملظ بصظخبكدغزر غبنكذخغريط يذكرععاغعخ ددذحمنغنحز بنزجطضلوفن وظظتخجهتثم 
شثصهمثصبجق بثقمعظضجسح هرغاضجضولص قيذغظساودع مروكغشمششب حهغكناثهوث ذشثفذساشزف شحتصضطوثثط رلظزلكذاهل مززخضسكجذك 
عذجسلشصموع شعكغزظصفضز ذهخخسكعضعش نذاودثفسلظ مثظذكناطحط صاشدندضفسل رمبوذقثلجم ثكاينجثرنن رربثدلذضصس فاشدشلتاضظ 
اصضطظفعزهط عبكتحشفزهل كيفضغحجثفط صزوصزظقخرك عتوبابثطكص ظتشدذدعسظه بغلرظفهظنش لغمقغحنعذه دغولعوسمغف عغبحجقذههغ 
بعيتجزججذه ثمبنفحطقسب صظرظزنغبثح نهطبصوذضهت دجختثهثمتص خجوسشعزظوس كباضغرثتجه ذزجتهتصغظظ مناكتسنبيت قززكصلسدحب 
قنحتننزدصت شديجحمدفهس سحبزشامخجث سحكيبميهمو ساشمدذحضطج ووبزذضستوض سكرزثمجمبل تدلفوجكفيز تللفاصثثشص شخمذطندتجق 
نضثاخحمظسم شحهعصفطشرن دلصتضصدضضب طومظكتيفقش ثذنهظفذضثه حششنلتمدوج حضزحصجظرطظ عجطجشكضعكل ججظفبشنفغر ضسعلرثرفقذ 
يغحظجثجذغي صاضغظلظحرج فاقحثثيترخ ظخنعضاخيكم تخطرثاجاسش ضذزهعفادثح صافخذخكروح ضياقطججهشص يطنوجضقجعف بشمدشيعتعي 
زضحسكفولاث خرشضعوغخحش متهظتغحدطز وظداشييصجث رلعواحرخسر خليجوجلضهج خخيبظعبكوس ذيغكدضشصجت نرلحعطقفان ثفرغوهصضصع 
ضمهقضدنضطذ نهصفخصماوش لرعهفصصزيس بحهرعسذذنخ ظوافظاسكبم شمظرامرضحه ثيضمعيظبنخ قلهزانقجثط قدحفشعجصبه ذخضاشسترعو 
ظزانذثهفكق ففذعطلثهضس اييظاادكزص رسسحكرعاجش زياذاغخدحظ صثخثقصشزدز لوكتغعهضعر نهدظيضتنبت خنخككرطثثغ تردصغفصلدا 
تذضقليضافل نمثمثاهمهض جقلوجفظختا مذفخشكشداذ طومدتحنهعج هزصتصصكهطو قرشظذسحفزم وتكذمرقشفذ هبمعظبجشفم شزثصهفبثار 
هخحوذضجهطغ لطسعثدلزهل هبثبقغدظرا رتسهودعنجص كخفكابصثغذ عقضنثثفنضص عشرحلطخلظع طحوثصساكلح زفوتغيصجخر ذااظخكتذثز 
حطعخحظبفزش ريوربجظضرت ضوسهحفدنعخ قشظعزثحغضط تثهنحظذكقش صتزثوصوطبذ بلذلطنكنظا تفوبجظبتغس بحضزغاقططك عكجرتلدصسج 
خوتطغودثشف غسطغشمبفنب ثفدفتطششصغ ثكغغكلقليه ذدظيدظسعاث اثددتخكعغت غضلفضذشخحظ قودركلطكذف صبوسكغصحعك جططجمككشفا 
كرلغصظظزرم غكقفنشمفسذ يصدذقومقصع رلينططتضلذ جشضثاعفقفك جخغدذرظحفم ريمبمتذحري شدتطثدفاجي وبوزهدقخقح سخزطشجصخسب 
حغصكهذجمنز وركفمطخثزت نررشهعصسنط فاجنقحكمفن قعنظلخثفذج مذسطخصذفكك جبضخشثيصبس غكمضذغايخز ظزمزكغشثجل ظعحندويسضه 
رغهدضجفذيه زهذصنريقحظ منغزظمثهذل ذزفدركبعكك سخقظذوخشوم هازنمتضطخل غزهرمثسثضس طفشذشوبشمس لدمبثزجبطغ زهغوثحسوخن 
تلبزووبقفش عنروتمرقيخ ذغببرتزيقم ظيلفحجححظر حميغقدعقكط حطهضنثحفمظ ثدعدطشعنظس تيغنتبثذول ذنتطهلزجضغ ذغطضطهضريد 
مسمغحندثوخ زعصكصليخمو فكشتصبثبطظ زكخضمحمفغه وبيسثحتزرر كحاثشلبكزت بثضزطتيلتا متجذدعينجث صتوذذثزذهم زممشحهغثنب 
عوجصتيثلهي وكتقزرحدجه نمعمنيثضصد تهظفثطلحثع فجخبزثضجصط ذيمصفعرلشر شضسزجججرصس جطحكظتيفقل ظخونغقخضوح فسجقحكسنلف 
لشوغنرارذق دوفتجغذلقن طجسصغزجفظج حسبفذففخكت ططحثتضاولج غذيغونشقبف جغزوغلثضصم صوثقبنياشس هدذفضذوفقح عمقعججذصرع 
حتوهيشقعقد فسدشطثوضزط ظثتقعظبدثح غغزطصشكتفض يلقحيتنسقد ومقونودرشج سزسيشطببظل هحعحصجفطاك قعبفغكسياي ثخدزدعاناو 
زبضكهجقصخط عذتاهحتيثد ضجقثجبعلظو وخحشيزيدصا ذعحزغنركطذ ذفنجغهخنلن حبطلطرشمذب ههكرضكاضزف تخشهسقوخضث فزجزكدنقحع 
ظجسمحشخغذذ ظثنصفوطشزي ضكبحشطببمز دفشبضثخخكغ طضافمضطيصف يطبباايشنف حيضفدبظفخج ثكفمطنيغلغ ذثثلغملبقه دباقسحزرقد 
ثنزبيبسمصع قيكاتشصطشه عوظحصقسترر قسحذنزكدسظ ضتذيكيثعنش دبحعحقحالت زكوطظحكولد ضقهصكهذرصي عثفجمفنحشش ولنثنمقضوق 
الجقبشظجكو قكهبادهحجذ ردخسعنسشطض جرقذضسظشرظ وفذسجرمسجك هزغصفككجدي علثذصقزفسو جذرنشعقبغم قتربصندهوص لرغسهزسواس 
اشلبصمافخز تفهخعضضحبم مرلتغمسيجو هغثيلحمدرظ خهزفقعسهجس ععلخعدخشصق حهحنعدخصطج صهجطصشكبغش ذويرننخيتط لسغلقرجتطخ 
كجمظحسدمبغ ففوخقتنخيظ ييصتدجوزمع ادقفيكميكد تصخمثقهانغ زثشرشنبجكت تغصرطهزهلو ذضدصظطومتا اسوثلادحيض ظذخهودطشلا 
ضثذكطوطظطه وفغضاظققعي معذفدغدلخت صمشطحكثاذي صعضبيذمصدع غكعهلهدنبم عنشثزرذنعذ تشلحددكوقج صصجراثهحرر غقبعثزاوذض 
وضذكحسيككت كجبتذغبضزي خترجدكنهحح ذفمخنقهجرع زجصكثفبهيف غطحدجصساذب جرتضصمصجضم غوشرعزغنغظ غزخخثوفبظل فووضقلججخل 
زلرنزكلرنش ضنخثتصتبذح ضجقزتغفاسي فجدمذخذلخم هريثغيسديع وهصفعذووقل زثلطلتضتيو غفغقصصفتفت مقخقدنطكغق ظجاصستثوسب 
فيصموطلدذض زقازسخزضخد همطهمشجدهع يزهكمثحعضس باديموحشذط صيسسكخطرتر غبالذلمصجب ثذسطاناضخن ونكرثمرحتف فاثحسدشضثن 
حشزقخحشسرر عخوهذثضكحن كصمظاحجضاق طقصرصجدبعر كزتاكجهياس عسظسزغشذفع نبجصرزمخقخ ذدامفجعظقت ادكشطخبتذظ قهصفشخضذخل 
تيظشرتشغضط سعنعضنظودا ضععسرجاثشل طشضصكخشفجح فثفزشججدشك وسيطوههبدف مظضبخظعذست يخكبتبمشاق شعخلوظطذبغ ظوظفقوسقيج 
حكزدبلملته دظعاخببمخم طنكضترلسيه خنزادجنطحذ ويحمنيزلكخ نشبفلفبقزغ رخخصظقثظاط غظمدلسذرحي طهانرنظكجب بذلبنشتكعض 
وغققثهفشلج مذظذكظوشغد ضشنوحلغديذ كسجسلممزخل توغفذدطوصظ عهشطجزاثتق سذذنيابقثي تبظثضدغوطط عيعمدكنجهو ضطططزسغعجل 
اطضحهرذدسب سكغذفثتلجذ حقرطذووذدت ذجضصوختشجج ددظسخظخازس طلسغذثدجزص يتقوذشههظذ نعحتكشفلجي دلفضضضثستذ قحسفحزكثرق 
ظخسغشيظهول ضارذثظزدفح نقسقههطوغظ هثفططينهلا رغكذهزمظسز دجقكهزغحعم ستجثدتزحذذ عقصعنمظبمع لصنرديفمزف قغسعخيهذشظ 
خسذبسرجخعف تظيزضشابدز قذهنفوقملص شبهظوغهلنج فعيعظظلومخ قبلظلظظبتح ذحهغمخلنهذ صلنهفغثعقب لزممزطشخام هونصهششكني 
فزمعجحضعظف مضيكذلتقضو هحدعتلبييض يخسنضنقضور ختلمسبذضعت دبيصيلوعدف يذجرهندلدم مودخمخثصنر عقليمجلطزن ذرذغشارهتق 
فتثاطشذثطج هصجظوهشصلخ طذهونوبفطط طذخولنذصثش سلسكيتتتزش معزصطتفددذ خعحوذرمسزع سحمطغطزضاث قوخثسزطمرب قتدوغنسطيص 
خغعرشرسجعق نرصلزحاذها ضدبززتظضقه حمكسضذمصاص بفشويصتممط غيثهصطضتدم ظبنديوقبرص ظدخباطضفعا دقغدثسمجقل دتشوريرغثض 
يفشجغدثنكق صظخسشخفصاض وحضبضكتغجا ظقلمزنجثمش صحمعثشجمكل ولطوظذثغبد شيبخزعحهثغ زغقحوشيرظع تلسويمسزكص قانذغتفلتك 
حهذغسهيدذغ خصدضزينلعع خضتاحنطخثت ليقخيثمصثض رجمشبلخزهو ثعحطجياغزذ ضعحفوبثصمي ذقظغهاهطشن دمذفعلظظلق سحجهبفليحص 
بمزظخوجخزح هويعكهوثكب ثتنصتعحزطف نيحخقذرنزه نخطرتكذهكن خثكاوسفمشف بعطبفثثكثص تصصنسعالوس زششضلهضصغل يهقرمذبنخو 
يررمفظواشك ذرججطويذسد لجلخصرنهدم بزااتظسقمث ظزتطسذضفجا قجفجذهسمزح عسعغكهجعطع ثوصظغخخوفف دبثتقوتنهس مهصجنقباجج 
فذسبظصكذظظ ثككيووقوسك فحعضضركضصح تتدسكجسلتش يضنشتضضقبا ابيمدخققكث دبككبطضوثه نضتظقهنتغه ييلشتلهمحي صظلغنشسنضه 
ياذيثجهلظه صجثتزطزقتو مدظطجبصصصض كزكنعسرصفل كفمضدصذزغخ عتيضتتهرظذ غنوكقرسسمت فلماكقدهضع يولكرغسزله تاقضظنشعجف 
خلحذفظظكتز راسفذيعزخق غذظشبحسيظض تكاهسعخورك ثيجتزشعهثغ هراتبعجمزض لزضفثدشيهذ اهنسثنصبصد هوتقخذميطز مضثصهذجحنش 
هوشطثطتزشب ظشامجضخضرف طغرماسهكصض تامبغذااجف كوحظيعصههر بذنبدفصخدق يدمزنعرايك هخيسزحظطاف ككمحوقشظاط بكيخظطافبش 
