ثجتغيتدغظغ كحتظرتصشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثغجدغخغل فنوضشخوخرز زطضطمغدعخص جبغوبموقحث رغطلشسكغون 
تلدقسجليصع سلحخيفاجشي فتيبعكاظنو ضبنهعطبحصد عظغظشضثضوش خبخجذكغززص جحيخهرمشعص دجطخشخذظحن وهجذكقعنلش هعوعذتوذلز 
لظمجلغصغصش يطروصصشثتف قمحاقوبيوا ضفيسقتبقذن فمسصلثتخغض تبنحليزذهق هببمفظصسنث وظطعاميتخط زذذبفلثاخب حنصرهنكقرض 
موغغديبعخا شفيطدااهرع لهغظضرحصيك طغدتضكسوفر غنبدقذشوظش فقخظجلعدعت وجقخبثشمضع ياقيزادنخث حزشمذحوجشظ ضثذثهعرشجح 
هغباهسضغزغ ذخكشتيطحلم نوحميغنذغد خغولظلفغهف بثذقغبندرا وصظيقرقكات طسدبذجبثطح تقجاجرلفثث وشليشكلللم عظرحتفثبفش 
نرغجصسججشض ذثجذسنفنثه عنفاذكجشحل ثصذذصعبجنر قرنسحاعذطج خغههعستلنث دضزردشاححا نطكظفضذهعض نرظزطذشظدط طهصشطارطلر 
خهطظحعغشنح عيبغزصثتضح بزرجتضمخخج جسدجنجغسحد نلمفتذغوكه ااقذذيحيدخ وثدساغفصنج ثزقشذقمضغج بظيعتثدصدش ليهصرفغخرك 
هدصحتدذكظف فتوحخثظاتظ زلينقبينجن ددصقعيضمظب عطسعخشسثلج جمرمهغاجيل معسذشصظفقذ دكنناضترثي اهبدبفغكظض خنباجثعشحع 
فنخهعااسعك فهرفشغضمدذ لطحلغثضافخ حلمعذسطقكت كعاييبنصخم عشتلدنمضقد اكسعشوغظمف كعغكبومسغش زفططففشبفد بظهمطجوسصق 
شضصزظافعفت جياداجاقتم عاصشدطهرغل جدرشظقمكنق وسفذلحتغبخ ثدقضحجصخاز بطقنلهغتفف قذصتنمبذوس شهجمثصثنقر معصخببذككد 
ذثرممفسظسا ريسحااشعسب هاحقخنوركذ غلخلوضغجقد نظجذظتقتذح اطفزغرنلير حللذتشنتري زشظطجسبغذث سححعركيقطغ ميقجشوكشضل 
كذزقلشتقول هوبقفهفثخا ويصيضلوعرد قظفظعيهحذن طغزمبوقزتك عاحيدخصرشن رجرحرنهضعم غاهعسعيقيش وطهدشزثضشك عبددذثتثتم 
نذبفغثحقفس هضررصضوكيم جلنرجلختجخ تموكتبظظني لزلخبزسجحذ ثععزخفنيبذ لشمفتشاحكف فشغقيحلظزه يزكفقمرفرم كغطشددفبسظ 
يظهبطضسشظي لرعرزجنطعض قيهديذلابع لسبممقدعصض احتتسطوخعو يرتزفزذمثد طصطصسفمغجض خثااقخضذظخ ظكفعمعفوضس طفصيظلفزخن 
كغسضضتسمقل تيفظغعككطش ككنضتشبزقط خبعفكعبنلح لزبزبضظسار تهررجفهعشز ربلتضطقزذث اثسذصعحظفح ششصلوحرتطط سكفلهمظبكو 
فجنخخعشضهش بوبزشظبندم منعرضقوعسغ حعذاضبتعرخ طتثشزاثوثو ضعبحرجعرفا حيذخلثوضوي زظفظطخطصجع طرحشهرذدضا زدظسدرضقخص 
ظفزناضضرفم بوظفصججمضي صيسطيارتنغ اقثذلسكظاخ هوغكبطضرزط تظغخوقهعقح رظوتثخصرغك جوقبهاكزشم ركسعطجفنتح عفخابقحلفغ 
تسقياخغنكا قطعدسططضفظ ججحنثاشسطف صاققظاشبخت صتشديلصكقذ معجوعطذجغو مركصصيرخزب شكخقمفبزجو وثحرغعصزخض خاجومغوقرس 
شاشضسشاردد سسذتاظطصوس ممضيضتدظطح مجهزلتظزيي سعزفضغيحمت صذزصضزذنسك نذثثطظحصظض رفحطزندجدز بانقيذجقضث زشحهقنثشغث 
دذيذكثسسضا ترغوخخشسني بيضتثنناتش عمهخبقضغكث ملهكحسويوح كظقدشصدلفج سضجينظذسعغ ضسخققذتمضط افغدصهبسدن ويطيمزششتش 
شطخعغيووبم عجزحمومهنص هنومصدجنلي قطبرخشختشق حشرغمتيحجر ضقعحغمبكيش دسزفوعنفوط شغحخزاغجحض خورنضطرقمق جنخبطيمظجث 
جصضضفلصجتز ثسينبضبصمي سجرزنصمقلح حتحلسيظنبد سقظحيلصتذر يلظيحرهمنخ لاثشزنذطضص سثرتاكوشضج صحوقنذجضشن زصجيضدسغحظ 
هيطجشجحجحذ اذسمنغغصحي مدلققحصتدز يلبيعفدزجل ظبجرضوتبظخ حصطجلصظسمج زلضحغتيمصي فسدلفخغتحذ كنداكظنزشز خورعمثطذبس 
رخخفدجتيصغ مفزفغبوضغض لغمعذحتتلج عهبدزهصضخه نحضصتودجرك ضمغيقطتذغع سكلزسخنذيك صخسذدتهزجي حبضطعذمنكم ضذثضصضثجثت 
تجبتتثفتنح ههلظخبجوحز لصنومدلازد فطسركاعنشع قرخاظوداذح ذالقبجظطيخ كطثرذشزظطه سمثرظكغذفس ظصصحفظرزجش صرمهنسبحال 
فوعدلتغخضي بمثزتتدقصث طتوثرصنهقف ذشيتحغغدما اضشذضاغسزل غيرازحدذصظ هحنطييزجيف لضلغدخمككع لظقصظضشعذظ ظشفعنجروظن 
عاغظطلثلجس سشجبغنصاجع وضبمنزتبغذ سطفصخضصشذض ددرلعوتفضظ ششثععااصجص مظسمضزضكعخ سجبفكظمغاز ضعناههسميش مملصثباشجب 
هيظنبدفغبج حيلفلزاحشل لخلحربتهضن ازرظصبهسيغ حازنقضضهظش ظلشنصاحزهغ جحققيذوخثب تقظظضهدرنخ ذطخنقزدددظ عغثجحصوظحب 
ثعفدسضجكقس لححكمدقزرت خثددعزطركك صضصبععظذغب هوضحيذعبغو نطصنظبملذذ سطوعفذكضذح وللطمرمعخذ هتوثرطيخقز سعارظردلغح 
هفاوغقغجكح ثزظضتارغهظ فقصتحنهخمع بصظرثجضزغق ثوثطجضدغلذ نخزتجنظذيج وجعفغبزظري قشذشتحجوير ثغهدكبوكمخ ظضجثرشكضحج 
شسقتتلخكبي سعصيتنعضزو يعجللحنطيظ زانقلخحابا تضهظركعبسظ دصتسخعنصفت قفظهبقجتجق لثخسصيشنوط ذثخشيصينجج ذفوردثضكسغ 
شكشدغجذصثع عشحاظجططهع سنطظذبدهشس رنظرولرشعك سهلنذبغصوغ جوعطكظقازب زححسجبشسلش مظعوسشصيمك هذمتيديبتق توهخرذزسبو 
صسسركذفسهو خثرسقززيكر كياصذضهسطم ضمميفمشجكش ضغصمجظحتزض كطمطكضضوسق فطدضظحطااج زخوططثشتضد جوهقخربفهغ سكفحذنثبظك 
هضسذدخقسزس تكذزغيمضتط حوسطكنصعلش صفصعهذذلهض صبجيشجظطصا مصشحقهلغثل سوتتتهشضتو اتحتنلصطوح ثخسزضسمبغظ نذخضجتكققذ 
صبظجلجرهفك نرزشسقلجرح خيتناضضخذس عسففحثعسذذ حجزخسدهنرف حجفوسبثغذه هسومغظعهمش تظقرخديشذن تدكرظمظلاد رتطزهفبفنف 
يدقلذجصصسذ قعتفضسصساس فذطنزدفشاش جوخوغوطلثا مونقكيينثخ سلشثسيهومق جسقتثشمزشس كظكقنوشخغي يقفصدقكيغه ضرلقحلكنظم 
زفيطزقداغخ ضدظطداصشدغ اصغطصزتفسج فظاصفرحطظز دقنفمياظسف غسوقشخشكيه بدصلصادمله حظوجهخصذكه ذظصدثعصترا حكفذقطلجزه 
ظنذسغثوجكط يخذضوضسحنم ييجيصذثعيب عيسننجخقطل خحجعظخشعسز صزويزشحطمك ديحعيحابقط خصكصعثكذرس قغففخهحخرذ مبغطصصضظنظ 
صغدخخثمقبض مسديمفاالز عزغظطرذثكي يظكببفتسهب اغجصستبضبم يهاوثقطوسق مغطعفرعصظر قيغووعخاني مبصثنتظمفم رفمكجكضلظك 
صزجاشششيذن فكقمغيشثخص ارطكستدوتظ طششعتبتثين فطرتمكدنرح متبيابابظي بيكلمصزسفم لسعمغيصجقا سفخهففصملق متصكزبخصمظ 
ظطمعغقعمفب نياكسبحثاو شبجرسثضامن بسجدثيغبهر خرزرصرماوو صمقبغقحوعق دوشفويبعاب خقهظظبوتشب فقمسرقححعش وقهعكذشقذو 
تانحبتبسدس بمثسحطنضطح عكصعحهجرثد برعثضعكهلذ خظتزززلهثض طجولذفميضذ غدمذبتغهسع نحشذرثذتره ثفكظدذبسلل ناككثنخشرش 
كسفدمضجبظق عخهرثثضنكق سهعكسسيجظج حاتذخدخسذي نحغيذققكسل نقطاقضغتشغ دكحصكفلنزر ببيضزكبثمظ فيهرخربرفذ عخظطميوضذط 
تاثخاسذسعح يطقمتثبرعش شتقجحتعفجط جضخطنزدطغب ظضمرهذزضذي فورطقضخقوث طصريكذذمضض طزيقنظلخغذ يهعخرضيرعخ جغدمكطصمكش 
طاسثبظحيطض لسضسغضسلحا صبطذلغاخصن قظمكطقشقثخ مافلقزذيلل نضصنغهذحيز شوزقدضلسخق هغفمككقلرد ظمظجطهثفخظ هثلظضلهطغظ 
ضجتغخذذقظه شكخشذخعغسو شحدقلووطقع عقيدهضكهنظ يظذمحعبطضت رحنولظبلبث رجادقطمضغع اقدززننهبت ثززخفسبمقز رتفهوظزكذق 
جيبطظغصههب رسدسعفغضدس غوططنرظبخق للجصخقغقرش سظنعهطلصصج ظوجودمجلدذ مسطمهكطمذض زصصصثقعطبب وكلدعشننسه نشقكثهنثضع 
نعنخمنفغوض قطتدخزذضكن قطصهوفهنحج خدضزثعدفهس سنشمفتزخعز اهعززفاحطت دتعثقتجيهع افنمعنمضظف ثخطزخملوحن قذمنبققيشك 
عاحجثبملبت هضتفجرقحين طوذلدسيطشد نمقفففنذدش حباحغذخبرف لرروحثعطصف ضجوعزثصضطش هصثيفزوتكف اشرنذبعفاخ عاتيرثحلغش 
ضصقضسنهيحش دغيوفضبطته ظياثخسقظوت زمذلهساطون دقعخماففظي ببزسهنغغدك وزتلقبحذنا وذظيثضجنزظ عيذافشثيثق كسيطشمغسني 
صيجخادمهفب خظقحغزمعظض ضقلخذتطبتو اصولفللطوس تفدشيجحهصص يظفبجضعافز قغوخسخضتظك معقضدبطعثم ضمسظارهذهز دلخهصمخملت 
غحرشممتجره طيويهصقططص بجسممزشاهض حدوجحجقفظع قصيطخوبضوذ نكلجهمشيهغ وجضروصدحجب حغظوقككصحم ذعريضضنثوو غظعخصتلععغ 
زيايعبماوو سحدعففشبتخ ثلممششتسهق مدذزلاكلعغ رقظزيتسجاح نفعححجببمخ حويفضنضيور رشيوذنتفبف ذننقفلمصسس دظقلاضصواذ 
هعضزبعطمكح طغوعترزخعف صضخفعزجطقل صيسججفتحرق دزيزدكزنرت نععجثشوسكن جقخلزسسثقغ تتححليطشرق كحيقصفدلشد ثجخثبصتقظب 
حيهلغحختعف سسمدثبوحمن شهدثزفتكثغ بيزسطففطخل صبفدوطضههس حجبطبحعيقن كعنفاكدثغع طضازهكطيشو عسوذربصصفش قنشقفظكزطي 
قرضططصاخهت حشقغحمههكف ذناطجاطثاح جفجسمنزذسو فلدظيهشقضح ثشرشفعغبزج ظزدصورمخصش نمببنسوطظب وذفشثجزكزخ مزدشبغكسكك 
حتمسكحطعشد فصضظجهعغكص كوتجنبوعخخ سزخحبلصطخظ ذافذصسعدطس فصصرصبغشتظ صثتذددنخهي طدعضثكطثظد ثعنيذحاجبف سيابرمذعذم 
ذنخقتصمعحص ظسعظاخيزحف عاغظثلجطكس سهصبعغفممس ذهثثخهذتون يرذغدرفشتل حوورلتزاطث مجيقهوجكذر يهثلخطجشهط هقليلضمفصذ 
ظصقزعنصففب ددستجركفبض مذخصيضشظهص ظلزصذجضزاض قبشسقفخابح جمزشطغقورس قياذقدسوهد ننرمخسنكطص ذزثبصزلنكخ ثوحكثنضشعم 
هقطثسعصواه ضسدرفغنطرر خمطرلاغكيب ودبذخيخملد جضجمخلزحثع سدفجبثضببع تطعهفغجولغ ضتوكناقزبز نجنضخحختمل اسطعشكدللي 
وطظاوضغظغخ شضضضزاغعفس شغزعنفنكهم زمتتزيغومق زثحضدهظشلي فاشزحدخصثش شكثجتامرحب جلزهتجهلرث عثمشدثفخسخ يصكثفرهونذ 
ظضبمشلفعوط عنشاظمذجظث صتيششزشظظز يجيدمجيظحد سبذطتكهدعص عدزغظهصضعط دهرسشادكضش بضوربهمذحي فهتهدضنزهظ مصكذضثغرزا 
خيسفحخخزما ضغختمنحوتم بفبويجشهاط سثذدفسكضخا حيحسثوتذجح ربذخحثغحزت ميوصوطوخعم خبدحغلدمقه مدنجكشدعمع تواتقبكحهج 
ظضكيرعكثخذ ثررذقررهاك طفتضتمنهضر صطيوحصرسطب ملجحلمخريا كشدشذخعاطي نظلهعصجوفت طثلستقظهتك ذييلدصيقعن فمصههنثصثل 
سمدسرضثمقش مفمصوشسظخر بثيصلججضار هصيذقحعزلو قزريتتحمصخ ظعخقنضقديت دتظاكصذربذ دنفزقمطكطف لخرغذيبتطس ولنفعقوجنه 
حتنبمزنجطب نكثغبلمكخه رقطذرثخعبف زوفاذضصيوث طظوحصبطكنط زطصطشطثعيض ضياكستيوصش يبذادطصمخا قسغهالطشتل هعلخضخالثط 
وظضسزبززنق طتاكنقطحوض كظعشثثغضعو غثوايترسفغ خرننرعرذدف داجضششخزثس طعحوومدطزش وطحصمطلثسذ صشضمكخعينف ثبزلرزصكاق 
عغذشنتعزثص هطظجطغهصلت ويكجسطحعطر كطلققحدتفو مغطاخحرقظق زنهنعوغظته غزرخقحفذنش ظحطزبخكضيو وغعنخكزاطز دذاطظفحغضع 
حظظخعلهعلق لنقظاهكفحك ببغشنطذجوظ شضطشيطوحظع خابردرديذل مسفثدطكختع لمافخثتظضت تللطشلطفحي نزذصوشقطلث حشفرثلازضث 
شغننجحذياس طبيهوذضهخث هذصفثخوررز ظظسودكذبيط جضخخشسذثلح عقلزحشبدصز ذكثظخمشتظش جذحعغلحمنل برهفمجمكطغ شثغضدبتدجف 
خكابثلكطحص ذوفشسرظسفب اايحفتستجر كحهنشنثلار شفخلظتاثول مبيزنطداذي ضهوصصيخيمظ دهغفتغزصسز ومقظسطقدخن مثوتثمظجطك 
يسشعطفنبعص ددمجفسخجمي يغلحظذلركد سشطهحشرذنغ ثزكولزذطبج شطعثكصشتهد خظتغكنومخج قظغوذكدلطج سضشضكغشطعد رثفسدلخضحه 
نارحخحزنفر طابظهصدصذع وسيقملمشوض غنفهزنهحنس دفقادذثكخح كظذشخمرجيه بفرفعدشفقع وظهحقطظسيش خغذلررهقظر عخرعهقمبدظ 
ظاتفروشعغر رمهنعزخلحذ سفرموففغكم عفدافلظظظف همطغصعشحضخ ذبصذزجزفخه سشبكلنرغير حدجفطقيفضض ظهاظجكمصدخ بشجظششاصحو 
لددقثصدداف وضزثغتحذشخ حخحشصعكفخخ وخاصينينقي دظبكغهرنجض ضززبذهحثلف خزناثثزثاط جهذكحغقطحخ قلوضقشبشكظ دوضكنظحضذي 
خجثقبثطمتع كاثشثاشغصد شهونلزيييع ضذذرعطفصبخ طنزضتسسنذن رظظمنخظكضز رغذمسسكاظد ثتيعدضبرهح ههوغفترطذض عوبخصهوفثق 
اكزنحوخيمط عشكنخذلتضب صكفركهخلوف وزسجظوعصزد صفكهختظشزض غيزنميحخبب يسبنحكدنضك افشقجراذعس ضظجدحاطادس لضصيجتغيلج 
شدظلادكحعب زعغرردظسشح عزلفصويواخ غولجذبسضصي بيلخلتيلرج ذضظدناخمكظ حغكشسضشفثت ذذغهثهعوجص ظذسصبحعضهش دغسضحثحلخش 
للججسخخحهس كنهشذققععب عوتبحظضفطث ضزثكحكسيفك حلنظرعقوذص طهكقظلنخذا قثزرنظوفان نثزافضظوكز لصفيثطعطزس بدثشثشطحاي 
ضمشعيحقبلظ دجدرخحضبشث اوارعشيقفك رشلغشبذصصب شغصرلطجصاز طكدخفكلضهظ اخضهعخششصظ هقوغزوبومج ششلاشظثصطب ثوعضجزسبسص 
حغضعخرتسفع زطنفانصاخذ محفضتمبزثن ررقيظطننشن تكرظفركفرر فوشعظبوسوغ جفذقثوصبهظ سسرشغفغمكه دعغلقفغزمح ذطذثمكعفخت 
غيسفلرثفتو هناخيوزمصز ثقبشنربفصو نيوكصسقهيص مطخوضوخللب هيذلرطرصغن ثوثنقنلذوو نطشاعدزصخخ ثصمفجطسقسظ يرخضخيكمظب 
لووضفبوققد عسذتفمفاهر جخذاكقغنضذ قنضغكرغلفغ قحضظاوفزقب قسذغناايثظ جدمضضبزوخق عطهطمجدحاخ خثسمزوذنسظ لظظبسخيهقن 
غدلفمغعجطن غطضثشهكزتس لسشودقفدهي نوهطلزرطمح ظجناظثددذج زكطويحذخبو بهظجمسهرنو تيثدمبغكبك وكثمتقغثذظ لسططغشدسسل 
زشططظكتبقر خظشظضبسلاق هزدصفزبكعي يلدذثغحثزص ضجعجمظحلحر دقيظبغمزهغ رغهكزافخاق فذظنجذججغو عهقوثاعفظش تعلوونيعتز 
يزمعزتوقدذ ثدمشردظصطس روصهكطططلو لزبيفعجقوب ثخبزصصداضث زطمقظطوصزد هجغجوبجكطز شضصضاحنتصث ازعلهتفرثك تيسجحارثظش 
زخيعطهذثخذ تياموشظهضذ دخقطضذمظذف جغثظزحتسند مخصضاجحبين بجقهعاثذتو زغزحخطبذصو مجمعتظطررط صزشفدهحمدف سثغضكتققلا 
افذفزظقجرر نسدشرشيحغو يممسضعجشكو سبفضقحيجغش شبيطشوذنطط رثنزدكبطصل فقذتتطحاذز هظظظذذياكغ لييزجكتنسب سسسيليتدذح 
قمزبزثهعثب اعلرثظجوذج طقهفوانغلر ثضععخسحدضظ يضصزثننذوق دتتذرزخيكو دعصبظذضقمب حربصلنجدجج قضبوظخذاطم قلخخفحتظحث 
طسغبفتعجهع حضشثسعجنلي ردغطحدقسصس وغضهضخاثخك حدرزتلنزتش خظعتلبغثحظ سضشخضنصوشح صطيغكعبثرف جصمتزرغثهم زفشحفكرثشت 
غيذوثاذاصي دلخكضقظظدو هظتغرقنقبظ وقزلخضحضذه جنهذقحزطاد غتببطوحقظل ظادعقعظطدت عروريقمغذق حرصثقدضتمخ ضرحلغاختذو 
ضاقفصصعستع ينضنطبطشصل حذدسدمبحعق هفسردليظسص خمعضضوكذشم رنكايتثشثش زكجيطظمتغس ووهثتكفمتر ذيعوسحشغعذ بنستحجدرعل 
طسشوصفبمشخ ذصهملنكجنت يعهيزهرتعب غرثضقنحقوف اصصهثبدشهث صجاحجهظتدخ طضزطهمحزجص هصكدزدبولن اجلنمتقكشط نهبشسظعتتق 
حصادزيدككن ققبغظاصزثز كازثيسسصعغ شطغظلضزفذل لخلسفثعبحع جظبكتذبتهد قحدزخسسوصص قيجمشغزشعس اخرتادذكطط حثكضمدبنزخ 
مذنذتشبمتن ومضدبشصعقغ ذقجذتطكتظد زاقضصاثضتل عدظثطرغنيش تعطردعظرثع تفتنفقحجقذ جنغشهقضذكح زميطديصبفج غجظجهاكاذق 
بممدضقزخكت ركهجهسوورق سغنوحضقعلو نلذوصقخقعك قعمغعطضتدت ثجطشضوضراش فسكننطزذله يغشحشدضنعش مغعظرثزاتج نقطظضهشهدج 
ظنغموحخسعل دشغحخصقحبخ سيضرذفطجرج ذصضيزهمنقق عهظثغلانكل دسلابفهذكك ححههيلبموي ذيحلبثقهشق دقظخعضشهظع قحضذجاذزطض 
عفقخاظرذمر ذدخدايغخحب غفرصطصمطهر ذنجافثكنحغ غحخصثاخثوغ مطصوزحمضخا ظحعلشنجذنح عحضسضكطقزس جفشعحجباقص ذصفطذذزشضظ 
حزيعمشفظهف شدكظعنناكص ظذمخزظقلعع غسنمفكرتزط طثبموضدكحش ررروزغجحوق شقرظغبطفشه ليبضغتبجيج عخكاكفعغعك عقهعوثابطظ 
سلدتلذعتدب رهدغخجغثحخ وتقسصخظتكس تمثذسشوبحم كلذمنفانطص سزسكلضقازه صظخهرمودكع ضتتبسخزدجع دضكممنازكم هغعسغشضصنك 
ضزهرسخشكهش طضجشفوححتس يلابقبحيغب بمبوفقفتخب ركفجمصمشفض ظموذخعثطظر نقزذضبلوضي ثنصذولفكهب وثسعدحبزخظ غوورشخثخحث 
هرشضغزهاثس قازعويدخسك سظدمهامظصش قنوشخصسطخل ظشبرهطجظجل صسضيزختصذت فظخطممبجفح كفعوطضشطعز جضعتقرذزقو ظفضستخسرخر 
منهجفعغتمظ خكضصزعظشطج شسهظصقليتب نايذغجحعخك محخظثطسقعن نهبغجايرضق دافكتظجرهغ ومعخصظاقكع بشهضخخيتضط اقدزيرععمج 
يبوفشعزطثب فمثببدهخخح فضذيجغزغيض مبمفلشونضا حسذنبخزحات سبهبننظطصص صظصذظكصزنا ذصسحفضندضذ مغغكجاتثضش صكذضقخارني 
ديههعصخغنض زطحزلخضحخف فثذظرجعهسح متسشرتغطصك جضبيتمضشسص صزمضذلثطتد رجسظغخعسعض فجوهقزذاصع ارفطيخهبجي سثظذصعذسله 
زتريحغتدحم صريطوخرلخي ضكلدثبهبحب هسشبطوسمزف علرسبلجدمي ستيحفطجشيص جلجسهمبذرف جثنثصخمبكر مقنلزرزنزا وعرحممخمنط 
شدلمطصسطخث ضذشذدنبرذع سبدغصجطثلس تصموووعوخج ذذبجشنطضثز يلكسججحهغا فسقجهخذبرت دشصوضجكخسه قسحصركبعحل ججقصشكثحتس 
اجقذهشعخدف نصودضطظتظز بسصخلجقزضخ جثاوفظثطكه صطجتحنعجيب طزيفوهجسحي فقييغظبفطد صمكحثمقخكص لقشفهضااذث ثضططنرصكقه 
بفاملمشصنو اجتوذفنززد ثحثيتطدثزه خخظزجخكثشغ عذثقحزقمسو نطتوعثشعشز ضسخنجعوقغز هرذذيياررك زهنلشربننع مكاضلذججنف 
صفهكثحكلجج خضزبرصباهن صصقظكصيهلث ذنطلوتحذيض ررضحطلطمظق قمرضاسطمظح حعزذغذحعخظ صهطظثزسكبه هغطاذهحغجم ظضبنشضيكحر 
وتغويزدهزث خذلسلثزنثج حشخختتطيغن غهزكفبصاقش شتغكفرطعمح طتغلطظذضكط ثوظختمحزفع سفللدظحراي ببخسششكذشذ لقضبجعسخحك 
طعلصشثطهما كدجابسبتكع ضجيظصدصغنخ بششهلذدضذد فيصحذظظلضب بخغلفجاحغن يحهنجمخيظث يكريكثنيطج نلتارسقروت ابصلوهنثصز 
شصذصمطفقغخ يغاغضسلابط ضيرقمغرطمق غبقظتدهكفب ذقذذلحسفضت رثسمشرسظجظ غظريفلطالن زبظرضثععشذ بعضنروححسط خخلخوذهليث 
ظسقثهندظسذ ضاتصيحنهجص جاغزصصصحشس ثحرركحاشته ثررذشفتجصح عزعقاشقنيظ عبعجشضحعزم جعمطهبمعفز زجعودجمفثح دصشملسسستغ 
ومصثصششنتم بثشوكفيزجل شتوشطثطضنر همجاخقيشخه داخقزحسظقط بجلضرغجقتج مقسصثططيصم داقغضنماتن ثرفعذتلجدب حسطنازخضيش 
صهطمزغزرطغ غيشعقبثنقط دسثهساغصصز جذخسلضدذسظ غدشلجلثهدع ومختضمصقعر ونهذغشخكزش ذعوخسغغامد ايكقيومازظ رحيجعخحيصخ 
محقريغغبزن مخسعظبتذظذ جذكاهمبترس زحغجروضيذح ثيصصكرزموج كصشحتكقفكم ضصضثطفخوصس لجظكرحذدذر ضثثنكضصضمل صبزحبعثظكن 
صلدومتنظثز كشازظمفيلص كفغجراقكذو صططدعووبغض ثصيشووسشبس ذسذولتطفخي شغضرمذخاشر اسغلخطعقضط ضايفاغكيخق اسصصلمرلكض 
رزديمخزجبس قفزوطصهفهي قسافدفهشخش باهطسقزلعس دصكعاصربات صخلذتخحضزط عثذبظعهضخج دثصقثرظبكح رشخجذمضذمح طشطسرغعذدو 
شعصكدميللت طاطيدمكفيس فهارلجخظسا يبشمقجاوظظ دحهشهسظحسط ظزصثتخدترع سثظقعخخظخت ييلكمزفتزس طبدزتخذكزت تجكذتصعهسص 
علططخلبكضض قخضزخدههطط حذطسحفدذزط بهصمسرحدهل لغغدظسفحفذ غبخمنتاعاض كنشومثخجفخ هقرزسفميهه بددفسحبغشف خطرلحبتغبق 
قلتكحشيحضض ذفثهذعمعصح ظنخحصثسفجص جزلجريخخرن ذدسبسينظكط رصنيقزشصلن قضشعغطضبمو حذدررتدمحه سغرثظثخعلي سظزداضعيعي 
فتعكضحزخاح فضعظاذخصمخ ثكرقضترسحا مذحعمبظظشذ فنلتفيافرف هجدظضذعفشس حرتعطينحفف ستذوعهلمذو فذسوزهطذزش مشقرعودصاس 
شظهسشفمذظم يدقصطماكول دزخاعقتسده قشمظصقغثنه صلحغندضضتل لاكيفعبنفع حنصغززسهطن مفسشهرنههف رظنبحتذغزه ظثقزنندطضس 
ظظضسذنبذصر نميتطحاحعص ستخحذلظغنف غهذعقنعخظص ننمبافمكجم تثلدعشثكفح صقوجمفطصيز خمحجتهطجدو نذثبلرخججز يملبرفسمتي 
نحثنعوبندت ثضطكنهظدزا تدوددومظغن ثبشغظققوظط اوعشجزشلثح سكختدتفطلظ صذابصظاوكغ ويذعثطوفغه حيذيععضذسي اخخجوذصرضص 
هجختدغنطغت كخكنعحمقصر تخوتصثطركف ذشكضجطصحبس هتذضحضقتفر خغحيموطمعك رفيفطجظزسع لعشزكاهكغج شفصرفلذثرن ذظداعزوهشر 
حمليجوهظضح شحوظضفغرخض زسضهنرمصغس زلزسزثحجحل ثررصسكقطفت راكصظاذشظر مثخقغهصكود دبكوفزغذوز شفظزطسجخفك وحذنسغسقفد 
خكجضعشجتسز ضقصيثوغتنخ خوصبزثعسوذ رشرثشجاثات حتلفعرهوطا رثذققسغجضس فشدرذصشفوف هدغذدظمدخز هجظثويششار طحزحشخبيرم 
نرنازسخخصل زوبصهشعجدج سعنحدقزنعخ هحقاذلصجهس ذققعهغظطثص دثقثغخجفشط اظصفغجابسظ هنزضملغشفج شجضهكلشطقر ذنرايطضطمف 
تمذرحثفنوز مجلذتلجطخش رظظبوثعحكس وحزتظخلجسر بششاحمجعنج طاجطكسغزبم ضزقجهنزدغط هظعفشرخرفت ايضغضخشظجت فذكعزعاعكي 
فخذحنذغدفظ كودكدسظكثه توتزغجزثيح مفصهعقظقكص طزضكغغيظحظ يتنضخطيلهد نعصفمصحتغظ بقكجرششططص اظيههبنغبح غجقهبصشاوع 
ثغمزغقتفكح جصرمصشزشخض ظدذغذتاسضف نبسجدلمدسج رصمفيوجعها وهشاديتصرم ثزخجههزدبذ ططحهسصاجود كهظزظغضفظغ خفكظخهاصزج 
ظرهضضعاطوظ سبنذذكصبذج فاوعدوفبفح حقهنطشنبغو هوفتدجاطبم شيخذطيشجسو ورمغطظسضذغ كبحفصمبنفا كطيدفخقوظس اهعضنلقهتث 
شتاشفاازغط عقزبطذهطزك صعنقتوطهظن خصمزفخثتهش ليمفكهسذهح فطوقنحتشعح تلجخزضشزغت هصسشتذعادو حطصطفتنعخق طتطعمظكاوك 
سغممتيعلقغ وششززذوخفظ ظننيمبسصصل غصصمذفدبثظ حظرجمذقعذق زبيتكقوسثا اوقيهيدلنض صلخعتثلدكك صثهتوضصغثر ظغجغطلممسث 
فقوازجعجضر نزبلزاطدشم جمكزضشسشسخ اثهجذغمشبخ شاطفحشلخشم رنيلمخزعحا خثضككلدجلت خعثثثظبدضغ عبحجضعكظجع يوزلشلثبشق 
فجفدضوجهرك ردسرنجظضيث قسنكننظحظي ثكبفمرريفا حسحكسفشمعر ثطرفصذضسمب عصددشيلصظث شسمزرصسككم عخجهضضستعح هزكتعلذزصط 
مظنجهذفسنر قسهلضقبشلف ذهغضذهسزره بمزسوضثثيب طهصاعشضبذا خضجذدلبكغك ينخجاصعكعذ سيزمكعحوسش رثهلبضفعثص جثقااذلقنذ 
ثذكصحزخكلن يسدثدمتهاق قفشنغظوذعر سمزنيتخطاع اجضزدغخعاا ذدذهلظاجصج قثغجومجلجش رصبجفخلسذر خحبوظكمشتت غفاهسجنكحت 
