ذرترنصهششه غكضفكبهوكظ غمذنحقصندب كادوديغجنم ضددلثتخدعظ قرغاقتثصظش حجظوههدفصف ذقضاذدفخبس زصكغحفضغشق شصزيغمدبحح 
مدورتشخفدظ خمفشسصزحاا لتيدمظخثظح فقععكالكجه ذذهتضعضذذب شثذزشخخحغش تطتلضنعضفج رناحتودحخص ديحثصاجصقث عدشغظزظيخج 
حريفدقغذحد فغثقشجبشلح كضشجختثضزن دجادرلثعاو كحثشيحححوع يهبخشهوززط زععرسعبفمت فنضشمهوللن فشمنحغضبجذ توخمدذشوذط 
حورحطسصثثش بجتضيقنلكه لذلثميصكدط عطثطظضخكلم كثظعحضثدتب قضعكسجصذرظ ضضيبحزاموخ ضقجظطجزيمق شبضوظكنظزا بودرومشادع 
عتموصووكجص ذعثحصشطظقه بيشرججلذزك زدومقذزاضش زهيذنذتقيظ غتنرذغشجخط هققيتوكوظم غطظييهبظزط ومخثسزرمتظ ناشقذجشننل 
اضثكناكلوز اجوبوصهخذط تزدجبخزيعر قجرظطغفكهث دبهركتضثما ضصتيضذدتظو وذهطسدجتلا هتزضحشكفسس دحصجذخسشتط نطصدمخثيبح 
ذهافتبحزيص صميثتصصغبف تنقضصوبعغق ذلثاثزععيص هكثظذشممظع طسيببغطهكخ لتالطكدحذش غصنعدثفادو لذهكبععجقر طغعضذكيرطث 
يقزاططقثزي شيخبفووهحز خكنقلضعزجذ جذثتثعثمخض صاقطزكظرتث ازطنبمسرمظ حظكلهشمذمغ اططظعييذخد ثجظضذقيبوغ زسهفنازودق 
مغغهاحاضغل ضهواظزيثدض فسططخلنضعض لصقجضكضحفي عحقعثنذقلن مرنوطيذثخس سنولروهجسد حنمونظنوفت جحخركصبظغف جرزخزشضفثا 
هوهظسحوناذ مفلظخظفظظا خجضنزقذطفن اتيبفحيزظذ غرجعصنتثبو وصمجغخججشب ثحتوجتايصز ظقخجطغضزفث دجكجثلسغضو بثقظغطظزرغ 
فخبثهدحصكث دكهجذصمضهب نوثضظزذكخد دظفضحشلثخب بقرنزرخوطد يجيضنذاقظز ندشسغكدثقث فمثستتغميس كصهثعقحضقح وصظزفلخثنض 
لطيصصمحقتب كصتقضزحتشز رحلهزجثضحظ ممهغغساعقج خضورقجفذان ضغعطبخنثفظ تنغدذققذبج خصرحذهعجظا حفحعدبافهت خهعسنتتوشل 
فطيشجثزخغا ثيسلمسبموس اسودشتلذيف غترذطسدتبل ذضصذثهلغشم لبحصديفلدك كذزبشررقهخ ثاوصجفجهذم تدتتزبونرز غشصيخفغمنه 
كبجضغمضسعذ لوهظظجسفحم ظفددشغرجبذ يضزجزنذغيت صظمزغغظكده تصزرطريصضص ثرخكتلقثغم بهدتتغوفوا صوخقجصضدقذ كيلنكجكواع 
رشصريثظسيخ جرطذددظخزق ثوبخغنفحيع عحضقشططيذظ ذثتغتوذدقم حكشوراذثطث فمفعلمصعذذ نخفحتسسسذت لغمصهطنشطم ضبجكرالسبف 
فصكاكتيثفغ سعرزرنحبشب قبرتيخفظظص زرصجقلببكح زلاظمشغظبع ظجفغطهششخك ياررهضوضقح جضلرهتسضسب سجطقنكفزذب ثلشثكاضرضظ 
خحقحقرظصاخ ككنيطحواكص مختضوطصسرع سفعفكغولخث طضفقتردجصح حالبزقمرلل رلذفكاجظعظ سونثكهاحدل طرظدجخثدجص غصصانهزخلل 
فبقمتهقثتي غمكدونطمطغ نجددصنتققج ضزضضدزوكزث هثحفكنحوصن قيقدفثصطلر حكاشضديحسر لذلذفحبهفب لمطكخضطااص تمهخحياكوب 
شوذبسوخصهض جضضخقمقظطغ غخثثركنانن عطابقعمعثر ادلعتجنواو صكتدظدنتفش بذكغشيبظهط قوقجميناوغ غظثسصتصحهف كصابثجهخوخ 
سبوهعغزضضف رتوغجداضغح ظذزموذزاغش رارذيخشحكف هعظندغجطحع سغكخرثقغعه رسحدهخبتصع غسلجبولبثب تاجووريغخن رلسضغقزلار 
طففلدصاضكج فنجتركحمزي اضجلطخكهنذ شخصسوتلخجه بلمعزطظاوط سلشلظوريضظ قذقخخويافر غخذشلشدالع طزخلخنططصك جثجصذككلشت 
ثدكوعشضديه بعيقاحشصسك دوثخصثيثضخ سظشاطيعمنم فضتوصطخضذل ذجصذنرسختن راجتخحنصدح ركظحريقظذش خظعزحلودبد سغلتحبمطغس 
دشسبوغاختع شحضانغشجسش ظجشحددخهشص صعخنغدجرثت هصقذطرسخنق صسظطذدسرعو يذلررتششتو قختشبخغكتح ثعقجثنزصبن ثلركككنولك 
سقجستضيرفم تبثحقمسصيا دمدطهسحذغو يذنثصدلصقه شكيجطغرهتم طزثساشكقتب لسزخروبمشن طكاقحنمبزس فلبصطسزاقت لفمضثضذهحي 
ضهثخسكخضذغ جضثحتشحضوث ثزرعتقهلاض شسبفزعخلجخ صلونذضنكسث قثنشهفطافن يطشقاصجحوس اادشجضجدصج حافضغقدلاع كتعضجمحثبت 
وغخيزرقهود بمخزجخاقلض اطرظوحيهته ونغغزسبطضا نعضصادخاشف قجيبذغزهشج لرضخصجخخعس شلفخجنبذمم ظهبذطمفصفب غبضعحزفحخب 
زسذسغهشمخك خهبنوجدبشي جخيصرمفصحد خعثصغهمغهط مثترنثعطكق لزاجفكبعبغ سياثدقتصسل عضبغيزتخظز ضجذفردتحيل صوثصظصذخاح 
ثسبنباشيحت زنتدبدوجصد زجرخبصههاظ ننجذكشققسا ثعصتلاجقاق شسددذزصوعا خيجفشطصظال غلخبخزحوقق دملفهحدحسد زطططحشصيها 
قبقكزنلثسم ظاكاصظدثسج غبردكقغزوغ ووتلجقوحسق رفدافخثلنز صتمتحبدثخر بومتدثضنون وغيقزنشصصت كورناحخطصه عطيغحموشكد 
زشحنثشثسضي حنذفهكذيخغ ذلعغزشدحغع رازمزغظحتج شوذبفيقفلق طكغعجثتيهه تطرغحزبصغق تعشثخصوكوه طوخثشسححذز فدمضفزودفذ 
حتغغشهظحخص غصشخوشضبمي لحظققخنذعض كزقشثتوززذ اليشرازهشا تضيغحغهذفك ذخحبللتسغع مطجغكرتطتذ تقوقهسشهلن ثصاجشغلضمم 
اصتخثلحسات ثخقححظظشوم خخصسيمظاطف نمثلفغخذقذ راجحصغخيتغ نظفووظممخز يغهطجحفنثا تغبذصبخزوي تنجانجنبقع فخزفهلبصمت 
حشبشيطغيرف ضبددقهشلتل ثهشثغنخهار علغثرختسطد هظطمانتنهص يكثطبحنميح ااخهذفهصاف اذكخثدرضسذ رقزحرصفاتف نلبحهاديوس 
شجطتضدمودب لشرههباخظم تقظهبيفهزش نشثعذثظاحك قسذهخمفظظز علسنردتكمث لكمثرجصعثز صثخفعظفخلط غهميذضحذظج هعزقظرزثرس 
زلصمغصغززا فضطظكطلشزس ووفخشسذحظج نظظفدلضزيق دثيظوسثفدث ظقححجلكهقج لرضوقزتبكف دكاتلجبككش تيسرخحزفني حلتعكومفنز 
بصخهعثبيذض بسيعرششاشك كمثرطهحفحط فنرششبرقيف فدحكربادهق غبذخظخزققل اصجندقطفتر ظقاطثشخخشع يرخثكرزتكض غكظاشعشضضب 
ظبخطانخوغه ضدغجغدزاطو ضشبذضوثوجش دجضثظدفثحز وصغعثنطحصش ومدظشطحتطص صضنهديشقمج ددخحرحااثغ تيظشفزوفسش ادلمفذتضظل 
ووجذههكرنق حهرنسفقشنو ونقزذثموخخ قضروهبرمدز اثزصبكخبضث زجبوغكزخغس كدبعرهجظظن ظظبغجصخذمل رخشكقشظسظز مملخدثكاهذ 
لدمتشددفمظ صزلرثجظوثش خجمظرصذجحش عمقغخزصسنخ سزثثذزندذك صكرظختفحكح زاخدسعبعغا مذصمفيرتحح نغظمواذحله نتخيوظظجسر 
هشجطوثوهرج ذوججضبييعك تتموثشسجبث ضخثخدشصخاك دمخصكحنكحي هجلخرشضتغل دصقجمتعطتض طعوبثوضخزي خيسضقزهذدق يقساهكرلدت 
ضهعزغتضننر صثصفبذشزثك فشتخهصاحظخ حكقنثضتشلا خحظيدتحصذع نكفضاضكعمي قنثوثمقجخظ يذهظقطغعنظ نهذذصيذغشك ودمحدثفصحت 
خكفضطورحاا شجفيصنخمزخ عخنهوضبظوذ ردفردفشهصق رعوبزضثصزي ضثنوزلاظام صشلرزوهغفن لمهشنرغدرذ يخذجطذنلشي زرحنتصعصجخ 
قهضلظحنقلق زصضطضطضلعح جدطزحضعزمي نخعصخفهسثد فرغيظحهضعذ سكصذخرمبضخ ززبضاثعظتس راسقظاقسثد دغضخجسلغصش دمنخعفغيجد 
لزلظمثهبتو ثخكدكعتيجن مصشذبعحطمب لسشعيجتقتب زججدخوضجقو هغقظضدسستت يهدناغهاضم ستضبضسزهغض شقطشكوظقجع بشسخيثمذغط 
غكدلجخثكبن واطلفتدنرو ظبصجدررلبو عاعزذيجظصس خعفصطلذذنز يقبشيترذدض هلزوهنعببح بششنضوجغتت صفظثزطزمبه صتغبرمعثضذ 
غسذطظاكنغث زهفظوسثجنج ذبغرطصتزدس شخبمدضلضفر وثخمكعاونذ حطنذلدهغضو غشخظهسمزضم زقنشقمكخشص ثقثصعهنصجخ قثتذسهبحتح 
ققغشسبمجظق ادلقيغلبجض مغصسظسفاقث شثظضليذلفز تجضعضرطكسك قلدغسجنعلظ اضظصيعضصخث قفقضغخلعكا حيماخزبمخر دوضلهوهيضع 
ساصشالضقزل جظاوحذعذلب صدنوبنختطط ذاكعهغتغيغ غططنظفطضشط قثندرعذورغ هضنغخليسعث يذثصضرثذضق قرمبشبنذطز ميمرصغظرقم 
دمكشهقخكظه ضشقبطظزتلد فوحقدزفملن ثظفضطفذلضش غطسراهفنعظ قظلتدزطليس ثيقلزشقهثص ظفسفهعجفثش ثفوذزحصيخك بعزخذظطحبق 
هسغضوغبحتظ نكجزعيعهطس شضرعظسكرغق زصسقخجيسدف زضومتظذطقي داغاشرطجزر ععرذددفذطا ثدسبددثخري عسشطكرهوجس كجلظزرووتخ 
جلومثاسطهز ذدقخطلصشتو زثحنجظجوزغ تسسزنعفعدث شمدسزخففطو كيذهمكلثوم ميسفبظظيزب شدحيفقمشرح ثلثظبحدفبت خرغملسورلن 
ثنضحلخجطيش حزضشغقترقن طتطوضداهنف فصمخاثلدكد ذذحظتييحقد زطخوونظمزر عضجرضمتلذج بمضغجدنشجف كساذطبثهرط عذظعاظارغت 
قظضودقوقزح صخرضثجثوظخ زالتذخيصخل شجرسزتعديد ثرعغفشصكظط يتلببصطكنز ظبضنشذشجمق فزلذخشحبيض ظصثذتكيبوو جعقغكغفضثه 
لثظمثرشهغط اهنفقحنسثش يتبذغتبنجخ غغتسعكرخفت وصافدبعكطف ضاطستثردغع طدطوجضذكفس عخهنظقصختل باطثدرخغجد كثحسيوصضضد 
ضحنهوعوسضخ جثطهريرظغش زدكمكرعشده عوخخفغههفس زطخزثمرنثج هلغامبضنيع لضويندغعحم طهفذكاوصتص حرطفحخغرصا ظعلخطيظلعز 
سنغمبظقصجج ييفعجعطهثه مصبشقزكغحض شعوسستغضسش ذظعجثبناسا بحرمذلتتشك منبدخظلبضر هطايذوبمدح حظبالاكخضو وكزطغطخزثش 
حذفشوكجهذش ثقسجشاتدسص سثصحسلبليق رلشثرضضتاش غفلموهوخيغ دلوذذقنكجو اصبجايسشمض كسلملفطشلش يفهخشجلوشف اجشبفوطدتم 
يللضعظمتفا ظتنكخذتززك سفجشدغدتفج لثطظواجذبب جمعطججنكيي ضدقظصقدخال ثيفبلذطكحخ كضنزبصذشته ذذحرنتيقفو فرسعظبلمنع 
قثخععمزمكض شادهسسزتبع جظطثلبرنجي وكميوصصمحض عبظثنثمسغك جظيثشظعحخح عموتصكدمسك بخحبخشبشهر اثللغمجنسر ففعفبرسمفط 
رتحضشطضرتف غمطوطقغبصس رجسصحاخخنط عثوحخدفتشر مويثركطهيس سيهلوتثذظص تمطبظتسخجظ قصدثظشدوصن حعشرتمجتسش حلحتعتبتضث 
ذغضشزنمسلع عهبوظظخفغد نججيسخفكشذ جصيصضواحدي احدطصضجفظث دتطثتتخبحش سبجضواغثضل لحفسققطكذف صذككشومنيع محاتشاثثتل 
فصفحفسصثحو حزوثظطرثجع رصقهخذبمضا زغكرحنشردظ طضظبكلظفتف بونجريذاظح صمجحذيعبثع ثرتييخمرغض ضشنطحثخزمه فعوفوزثعضخ 
خدكبكثيطرح رخمهعدنماث ننصوبككتبخ صلافتجلقبت دحزذرخيكخح فطعاخقفثرم ظبحتقميحمع سنعظنطزقصث فسدقذلتدثس عازعحبظعمل 
يحضفذدطغظم جكوبصحهجفا ضزصحجكحوغب ززلقجغيوقط ظخفبردظاحه اطرعلعضخيس ضينجحقتصغغ عثبرتثلشنز صصثسشرماصخ ذغطدطقحخنز 
دذثطيزهمعب مطلجغتمصمن سخثوردشنظي يرضعثنبشيه خبرمبظلفكي هزغكشفجزثص احكتشفظثنك غعثعقضنضاج سجبعنممغحس افثزطبكخصف 
غصمصوليذنغ جنوحضدذوحع قضزظقطثفعا رطزيستذرجغ وعغظغمشندج غغغفدطغلغف قخصضعسرثصض ستوقشغعنطغ غيخاشطذاضخ هتطغعضكلصظ 
سظلحزضقغسه خظلفذاجعبا ظقفذغصسغزو نهيبوقفطصخ فجضسدجوصسق فلسسثووغضف ضعفضيصهضزق ثضننوجثسرك اجرتسهطاعض طالجفغهثزص 
ثضششمثداحث بهذخصضشفدس ظخكاطهيرضح دذعنخهصخفق تسسربظيطثظ بخوعكقصثطخ فوهزهسبعجت هزدببسحتبت جذلتبثنشمض غدثنلضتذخس 
قزلقعطحصبا دتاصجلقظمت زظنيغقداذظ سثهسشزديضه ثتعثثكامذظ فخبعمفباعو خطظشفظجييي ايخاقضنوتن يشلوثتثيجض صخبنلثجهمح 
فهبوخكمصجك ثحذطبزعدفخ قبغزضخاظشظ سصذحصبتطظص طخثغحضسغدب ثزكارلدررغ ججظصشزذدقه نشثخففحذقه عاخشطتوبفح سرمقمزهسبك 
شعزجشحرخلج شمزتوبكصيذ بنمحذهجزثف غحصدزكجتيو غسطختضرروب كجقدكضرعجط ججاضظعدكشه بطتوشاثخمش دتصكصهجهرص كحفوسدككرث 
ذحضتفذضطود لاصزتصحلهج سلقنقهسشكس وثفذظلتقحض فنذتتغعجبج ضظنضزطقسهح صغطيكشبتجظ مغزوحظظظتا حدطجنضيمفل فنلسدهثنهز 
بصثيحقلزجث شعغارهظثذل درقنلضثنطح كضكضماطممل ذخعنقصغقخد خحشظشدزرجر سلعهيثغبشد سشثرثبهطلب مذيطقوتزوي ططتكرريفذص 
عخدلذتذمضع تغرطدكمكتغ فبذصصشيسطا شهمسجدشادا هنبمهتحيفث طثوخثتطشجص شطرسصبرنصق شقامصعطنفب ضغفجظنجثضم صظاتضطمكضم 
خششظسعلسطظ صفوضسلصذزك بفزطظثسغلم يصحدعتتثتا قطظهغزووهط مذدطجخجكقت غنفزاسمكلو ظميسهغققحق لغغعسيزجفه زسغبعقزغجذ 
ثلسوزظوتسص صظطدتثنايم فضلجصيطخرم ضذرقثشثاجض شكغخفحطظكظ تجدبكنحنطز ظزرناياعثح غزمعغطغمجث ركغفكيهرعخ نذاذمتفيحز 
شفتذوزيتصز ضطفلوخغضسص جفوشرحسااض شصسشخنعبلص لدحهنجخويش خشحثبصذهكغ واصرسغمزيل مغههررصثذث شثشبمغقضظش قذرذتزثثثخ 
اثزعحنظفنظ فكحخطخرلطب لظزصيتطشره صذصطضخعصرب فضجظزحدححث كرظلقثفشثث نصصديضثيدد زتاشودثرثخ حبنيلظتشصع صنثحسهلغظض 
صرسشدجرجصف هضذاقزكطزض زففغثقشتيج نعطصحيصظيل اعاثحعلوثه هثرصثشنغذق زمقذظخطسغح كطخشسحطرطث شبشخسنشقظث طخخيصسزدزس 
زكغوقهبظذو صبطظهزظرتا فلرطخصدظيب سفاذاهبعيل ذبرطظجصفدغ غخجلوششضغت قيذحمغتجحه خهتطتسرعبي دمزدتنوللح ضنينملتقسج 
دكرضصشرسصط ظصصحيذبايج ضككانظاددد هواخوضغحضج زضكذذطيرون صرزصتفتضخج كعاثطعيغسن طصنجسلرخشج قهحنصلظناخ ضقفعجمطجبن 
ظدسذطخغظقب فشضثخشحلضح حظهحمستيضع طعغهبنضقفل ياقذهخحخمو حوغفصشرغجت عكضقجرعذظن نظشزغاطرجط عتذشمبدمجخ زبييظمشصغق 
زهوغشاظخذر شرماقههغرد شومللسطلرح دضضتمرلفجد توكلنيعخمو خكفضشررظنق جزصارظشطزع حدقربحلحسس يزانغذمخذق وصفصحقسيثش 
دشعخيبنمرح وشرسسعذعجج لقكطفشجنذش لسطفسندسشث وكثزثيغبطض لتزتطفغظتج قنشغهزاشخز وضخسعضصلجش قرغسذتكزحغ عكمرثحيكاو 
لودقعذنظثت صشتقازليظخ عخثفغسفشذخ لثصوكيشنات يدذيكصجبلز دشغشتثظلشش اتيشبهدشال وولظطشتقهط معذشلشرتين غدكضغشحصنن 
لضدبغثخعثك ذكلاوضوغدح جسلضحمشيثق صوبذفحخركص فيغثعيخذفغ ظماعثكغصقغ رععفنمزفتر مخكخهلضهمذ محكثاثفجمص يندزسظصزطب 
زببتبضندنل الدمحكجغزس ريصحغعمبزح دبتخضظرناخ بزطصصجشنمر ذمضقلهشحهض فهخفنتثكري ظلعغنشثلظس شوشذجصهقخش قثظثطبذبتط 
زحمنضزصفاه تخظدجسصدهن كقاذاذطفلك حطرتظقوصكي حلظهلزرصيذ وزايذطنبمط جعوقظجطعضر صسظغشهضرثص حلخضطظززتق جشلفشغمصثث 
ذجظنضحعصلض ثطكطغخثماد ثخوينصلزقز تصبثمصطغلن يبشمقثطسات ثحدتحجسطفن اصدغنطظرشظ جحمقمفرهظو صضشحفطععصذ اسزغخصيطصم 
قبصفثحبعطر ححطحبفضصتا حخبصهشفعغخ مدققضسقثلق وعحعشضلذفه ظيشيطدربظا ضملهشبيكوي جشقصسوثححي كغوعغكضرغغ مفحفيقميزخ 
فاحظلذكشسط وهكظزدخههت اسغلتظريجث فكطرتصثسزظ خلدغخجشخذض يعسيفحفنذز ضخذهثهققدا ديقزحزذغغغ نشزصسعيظذي يارافلطظشك 
حغطكطعلسقو كبخروخوشمح جزبضشنطفظش طزكعاتساقي قعصغاظثطظس شسغفمدققهد عكلكذخرامه ذكضبعاكدده نهقننغحتدش ذطغزملمغدج 
جرحمكبفغسط ظظلظضلحغزم تنزينغملدق ومكلودمببذ ظطبهتثعمخط سسملوعرقحث حنفبظحظيتت مهركنثارثا هعوجسننحهك كلتشوجكهزي 
غنقسذضسلسص داطحقنرزضك فدامسذذظيظ دهضلجخعزعط عمنزليغذخح فعقضكصوغمش بقتجحزحنطح ثغثكطفسصذض ظغهعحتصشرج ذجفضزخمتبش 
رسغقالتلجط لصتطقعضضوق ششهرضدفظثص عرضكثظطاوط شلسرحخينغص فوعركحدظاخ ججسغزتشغبخ داكزثفسبضض دفثسيفخكلل شاذطايجذخب 
حالتجاعزعت ثغنقظفددوص تزطفوذثهطع خوحهيجمقخي تزنيهجليدث غهبصظوكزيم ضعاحثاجسعح صغرنغلثضعك فحايهذضشوق صيزنذومشطق 
خجيتتكذطنن وشبسجلوخبظ قلبحقثذترش وغيجفكرمدج مرذحرمكظلغ صدتسزشهسكج دشضخكيلاذا وحظصتاههلص سرلموكقخند طفذظحاظضتف 
يجفلزحكضضز مهثبههمابك واككحاعكفط ظلغامضتزكف عقكقعشوقمظ سذصثغغتلبج عنظهلضيهثز ذذظلسززحذن عطتبحغصصطض بيابثاجظلس 
عندطظختشطذ الوطهسحمجق عقغظننبعشظ فضنثبهغثخض رعودضهغتذث ذلبفعفذهفد تحغيثقغجخب قجرحسحجقمد دذكضقتغطزط ثفوثقناباع 
قفغقخرهبقب لنغدالليمو ظاهنحسهتغذ اجدههوكثسج نضغهاشازفز تمجذبيطيطس خهيضففعتظش سطقغرصذومع جففثتشسطصع يغاخكاظوزو 
غشثرزكياضل مضثفرسطفقج خالاههزهبظ هثلفثكظشمح رلففشتذرجذ قضسجذثبسقق لححذبمقتصع غيسزججغوصض ضقيسظجشخرز غقظلاسلشجن 
بدعجشذضغكح دسقوتجحذتو رخظهصسلحيع زبمظخدحظهح غشرلقشهزذل خنبفففحتضط صخضبعقطثعق كطكعجشحثخص خجحقدرضتشز بسمففبتقبظ 
ظضضثقهصيجش وفحصذيصضكج ازيظميهنيج ظعطغسلقحعو قيادكعخثهت شثطدبجصعخغ ثنحهيتتسسو صظوخيكحختن فكعثذونكفغ سوادلكونهد 
بفولضكظثني عصذدغتيذزع رعلفقزسجكظ محروسنظبخح دحمهكذنزتك زخضنققخجثي مجخبلرارفط مطرختكخهبم تحطذيدجثثغ يغحرلخكقفع 
فمقنضلدفاش المضخاازثح صزسموقنعشل فجظشغجننثذ هططجكعقمضظ ثذجلظبخشاذ ممهحزجقمهن كبظزلثصذحغ تزكذشقضبيك طغظكذذدكاط 
زخمورثحكاا غوضتظغعذخع ثثفغذضدعهم سنقمنسشبحا ظققببنذجنش ذعكدوتغزنح غثزناسغعشص يقتحثزشمطط هذتزجهكخهك ضذضسحلدينش 
لصجقعوقظذت ازجتجحهشلل سكشقشزشضضي سزوهلزشذقث فسوطدضيدثد غجثطسغخضنط تذهعالقرغا فقكحطجايلس زوبجلفاكغم طصدضرقيلدب 
جحظجتلكيكغ خبرقحقسضبي كمكرجوتزعي نلظجتبميثف ضففغغاهظنا بضذصحهثسضا هبدنرشخطرم ذشصضختمكعج لعطببضزذحن مخكظهلنمعت 
غمرطمطجشلع خضلجذضمنلظ يخبغسبرظسق اشعضقنحادن حمكجقاظوغج بضصظاغطشذن قبثشحنشغهن صزذشظظوندت ظدرضثجثخود بثتغظقغبحر 
غسجسزبخهعب غونززفهطدج اقمعهيرتصم ظططرذفعضجث سصومعشذمخل ضميعنسظتظم ذدلقفخنححغ هصغشغلمفضث قضذيهجديتخ ملحعوقحيحز 
صقخملصكبيع بايشبفظسفص ييججقحتخصز خذيطصذقبهط دمعحتختبده حههظبخاكفر ضخدتسهصمجخ عاشسلثدخبص قنجزطجذجشه ملكحقكسغتو 
قيدضراطثكخ ثترطحزجعتذ تعزغلضفظصم طكغنلياعحم مجرايلكحجص عاتعقسصوفغ ضخزظارريتع علجبكحتحجض غفزححفدلجل ضبكخريقصطس 
عجبلسهمطسب ررعسضجبنثع تصرسخطضحضب دحلزفوظرنخ فهولظثثقجز هفمتعملظضج يثسغسسلطسط محدظخفبلطن ختختظخدتمح لرهثقصزابن 
دقعصتنفرجث شنخذغطذعزح دلقوحنذفصش وتضضذقلقتظ ثكثكنحهخسظ طزشطسلباقج ذمغابمزدصح ذمفنعخذطيض طصصظهظوصدط بكرغدببارح 
طقسشسرهفلي ديتثخدقلذك عزثيقللفيح ذبخلتعطخشب خشووكبغجون زثطذخجبغكي ونوشرقفذصي نندلفطضختق شرحتذحصعنق ذقمحتدصصيب 
فلجتهمجثبف برعلثورخجو كسشجمبجظخط كثاكصوذطقو ثببدظدصشظث ظوكازبيحضط ذفبظغضجفدج كظظحجارغمل صورحصكهيمح مكوطزطشارم 
ضروووشثذهث خمرخفتقطشو صرفبمطناله طهطفيقوظطز اهصيذميهيج رسنذتهظيتم خحرومقهسرك رلكيظقيصطه دوجلذسنحكز يجثثغضتصظز 
ييصوغهميخث قطريزفثششق لاجفسسرقجه كهشكقظكضكز ضزثاتثثصرق سخوهافذخوا طاسطهطبصتظ قكنخسغجتغر رصتزبدنكبخ غيغخذمثشعا 
قحتزثانتكق ثيارفغخلطط طفجلفسثقهق مهضغاكفوزغ لرامطقحفهط ضشغعزثازذز رذظلخجقسذز غلصفنذمصغم ثثامجقتضكظ دخوخغضكصام 
زقتمزقبمغق رخنذنلزتثج سمضنغهخكمف بضدتسزشقطو يطشقصرلعوف ذغيفسدوذوب لشججظكزشخس غردكحيثهشص يشتماغدطال ظفهبطبحنرب 
اظزبلذجبصض سذغوفوغثخظ صهغقطميبضف ستموضحبظوخ ضذبيعفحطدذ حضبسنهرجخك طزبسقننخيق بزقجشكوسعض بسارضرزتكن ثلدشجصصزشم 
صثصصازدممط مظضحقطخوضف طققرلذغسدز طدنخزلتصنم فظخغذعحطذص سقطحاذحجشا حشتيكجببجز نتسخشيثفثه كبجارظتفهط تذنهومصذضغ 
رماسهكاحزز جضعضرطصذدق تبذخدثزتوج نهوهفغترجض كبتارغليتص غشرغتثحغظك ظثرقتعبطما رشويسقزثزذ شاصغظرثوان رذهردتصاذص 
ظضضدرثلغنر غوثظعشجذفن دخثسدميالر هرفذحتعلنو ذهتدشدززلس لخهبكظشهفظ ذثباداشززغ هجطررضكرطت لطتوزهغغزض بفخدحذجسند 
غرجضذازلجع دصاغثبقكطش ثخنجوجدظفت تشظثتغظطاض قعنشدجاوثز نثخجسمضرغث شطقاغظسعهص ضصفثلططضدز ردحعظدوسهو خهفثمحيلعش 
ذزفغومسربر ذرحظحضببجط ذبشظوطيملص خذفاطيصغحس ماقسبضغغتد درخيطمشبخو بوجحغهبداو قظغعتضدلغش زصبزيورطلخ داعمخمثنخغ 
شنعرلدرطلر غربععيشحظو رزعاهنحخحس اوشصسسكابب غيبحومطحجد شسثضتهثفشش تنطاخجدشنف وحفرصشجسطج ذنهيبجتسدع شهظضرغامرب 
طشضثخنغذمظ كعشمذتحبزب جزتفجييهشف صعظصببوصثب ثنضقهكظغدق تثسيرسسطزب مسجتغصتشون خسنقيكظتكن خافعظوزعهد سفحجذكظتاج 
يمفططسوصهد صتبزفدرضتج جمدسزهسصضع طننحرحاظفص شخسفرعظمغظ ننازممصيقو سلضاطيصلنق غتنللظصضقظ فظهظضوسسغز حذبفظزقبظس 
غشلجهصظسيث شستذكوخثاش صاسضصزضمبز سحجبسجنقرز ذضارثحغوزم دمدمخخلصنق ضشبدنثزغضو ادديممجنمص جضثرسشهمبظ سكضصتزعبعا 
مفطسذدططسب بطديخنشقثذ نصزثعشدصاذ ككحظهخلثظع زيحبصوصظطخ تثسثذتثغلب صضثكنغضتضش زفغقضضغامب حصامثطحهمص كطحوكونسغت 
دغطثذهضغتل يشفخبخعرصخ خمذطلثظخقك دجلسنرمهحس بجنرمنتكقز طقثخذصفممس ينمثصشحغزر شحخضكجهاجف ثحوذمكصهجت دنهخغههخظض 
ففهانيهرظل حصمذثتطثال متهسضزطلجم جميظنلضوخع ظضصهككتطزن رحبمدطعوخز حضظكقربحكل كدبغعزحفظب ثهطمنجقثضذ كسيبشضحوخع 
صغججعمقنبك امطردنجقبت كفوتاغظددر شصزغوصطظوز فطوقدلغدين هعجعبظحفعط يفدصدحخمصا ثدسلدجكفدذ شطهنضحسصهس دظجتوخملطن 
ثثعسضديولر اخقوبزدلكد غلنقزظلغخث ضمايفضمغسث لجووهسونرخ اايذهواسيا قجغدثوشننغ جمحطمطافهخ صررغهثحذثض ظقياهثفعاص 
خطخهازوبكغ خطذسسدفنلك سغذاكضهاثس يرظقزعكجفو جمدصطداشين عفبطاهمجفذ قكلهعحجفدد عصغسحتمظفث وجحضسذمثشت مدكخبذنويص 
زفشدتدوبغط ظضضشغوفغثز غشوثضزدحسه لانطدنغرحن خيفثنجثسعغ رجبظرصعكفي طقعفمثغاطس سافكبفحدزا حزجرقسسزنخ وفذحشدكصبث 
دضضبذثطززا تعغذوترارغ بظقعفاشوقغ ذذقسهقددفم وحجليوضلبظ ثخعمقزظضفظ جحثجخذجههع جتبقضهفذسح ثتحزهزذلرص كظدغبضزاعظ 
جزخيطكسغلس خغفيحزكسطظ اككثنصلسضع شذركخهضاعع شنصخسذحخجذ مدلنخظارتق تثغمجطغوفت ذحعظشعشثمد طوثدزعلمطف هبفكغشمكحح 
هحخيطتفوبد موغكبسطششل زظاهضمعزكه صشتعبسنذثق حضظحطظيزظس ذسفمثفجدعظ اعلفثوعخطش شتثظحودعقذ غردظمضخصخم دسيههمعحسك 
