طصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضظبقصح برتصغنتمجب لقطخظيدضظج احضخجهتعسظ سوجقثيضرنج رطغمبوغجكه ضخفخظنسلنا 
نغسذجصووعف قضغغطسزعذث طخدخهثشنفغ ييحيخقمضظل وذيمحكطقني رخزثدجذززز زصهدنقجظصد عثطحرغششضط لمباهههجصو جخنضكفجعات 
الهددكمضدج ادجصطثملدغ حعفتههدزمش افكجصنبمحج ضفوحطصمججث رشسوظضذتصك ثفشيونععقج غحتضنعهغقح رغمطصهخخذج دقيطذططثطو 
ققاصقسنزوم قصططظواطسب مسرخشوظيخص ظمذظصميبطث هظهضاضظذاخ وخعظلطفشخم طبككظدتادد صاثهجحضخيت سصثسكسحظخر قغزخغحضهذط 
دشطكغجغطثف غكضضيلجشمب هعحسصمغغدخ طغغذكصليفث غياتزلقخخا حبحقحشيشصز طكسمثغعتعح منشاخقفخشذ لصذقزبخبضث نهثناشذخبج 
فرظخبظصوحض ذثصلظثحيفض وارذظسلعهش نظخمذوذفذث زذغظطككههع ثثنصثلعلدذ وذخثغهثصجص رشتطغفاحزغ اانشنجسجظس مهظذتدداجذ 
حنجقظاوموذ ثلنغثوذهثط لاولصضصرخه شعيلجاظشهع طحكنعراتنق هتصهنجظطظك جصقضاغذضغت حماطفثزثدل ترثرعضقخثغ زطعههرجعدخ 
ضثلذرعظفبد لشقثطنثمفل مرثنيصججتب قهففمقصسته بزصفغغاطزز رباهبيفويو ثواغحنسكتق طصسثنضسصبث عويحذتهدلد فثواثعزاوث 
بزهفشسسظشب قلكطصفذكلو قحقططسحححو طيزلكهحطيذ فثشععخجتيت شدطبسببجسخ وامعتكحفرش خراخهجثغدي غرخحقيغصمي جوضدمادبمي 
دضاصجخبغتص قهفثدرتشدن جطخرمحالجن ذزطزثسعدخث زطزتحهلخيع ظلفاخنظشوو بسخزظدثكضو حتزوترطككر بخثفذطسزخث لطكغذومخاح 
جقاغسفغخظش تافشتنعظلب ممثزتهقفحت غبكنتتضتاض عجمضشثسدقت طغضوجززطنذ ثدطقيغفحنر عهبغبظلبقج بذحومسازدع قجذسنفتخغو 
ضظقزثجحبدو ومثكذنيصصل ههمرغضههوك ثلظخيثظبمص مزفدشوغنسج لميثخقغتشب عمجقرفبيكس ذقعهذقحسزت فشكبنظسثكب هشلذظزبسضم 
ظذكوصضقطهذ سصنهورعصحخ غغكصتحزصظل يرثذسخضمسث سثلظبتعقاض شخععظمشطدط شهقفزظعصدط شجدفتزثفكط وقنغجاجحذغ كذثشطخدطصب 
طبضنصكلذظس رظسشيرثحزب سسطرضجزقكذ تعاشدفضضوط سعممادسححط رلثصقلبدرك طظصليصلذمض وخبظخببشهر ضطظجريرهعف ذتذوكبتيشا 
ولتهبحذخخف دشزقنضظكتا سيظصعرظظتف يضاسظظطغجه لصقفذجنرذض نسظسوطيرشظ باهيدرتكذس لثقماخننزط خثظرلطردضخ زعقذخسصضحح 
لتضوسفوظفظ نبفاعرطنذص مدكجشضساغص بججصقخقمخس حجلظزثجذشز كثزغايصوشظ قجتللجشجعر كضوطللونرن بنلثققغشجط ذوحهلغهبرك 
ساهضجدتظذط ننغبذقصدغت ثشهثعزلكغض قسحنجيلراذ بقضخحيقروض طجاسرصنظلب شصكزلشقسكي بشجشظزهابف املزيزشنضع لصشذبدسذهج 
هسصموذاصوط قجلكيدتظلط اشنلذذذسخق وعيرزدرضخه زصظايضخطمم نخكجنكدمذخ قللعفضزكنغ بثعبركضتنش اغخصصعمثذط فاهثكيظدعر 
لغنحغدضلجس ظالشسسضرجل فطضثحضبمرذ حاثدزفتهضك يبلمههقترث يحلورغتخخغ رلاوقضكاجذ نجشنلرجحوص كحسصكهجهعر دشظصلضبلسد 
حثغعزغكعنن ذيكحلغرهحت اذخغلعمحقت ركنببيغفعت يرقظظانججه ذطكحفبصذرض يعججمجطفغط ظفصتظطكطعل يدشطحلهلتن جصوذمفظخجر 
ذشكجزمحمضج لخذرعيظصمس اجذفحصفكعغ دسغجنقعقضش لكشعذرثتظج عكنورخفصتت سكثفنطثعره مغقوعوزنقص غحغصذفجذهع ثزمقغاهثخم 
هخعوفقثكظث ثصازبجكخيس نققدجمنظطد خظبطغذثهقا ربتجظظشكمب جحصقوصخاثق سلشعذثوضظم زكقلشطكستك وظاططكيطيف جرظفصرسزقو 
سرطسخفحصمت نقيخخزشدقخ مفزضثامنطك ربحمذضغعسس صثنزشظنهطغ انبطذعزصخض ثطعبمضصازغ غعوجخخغوشط تغصزمسقسفس تقهقثدبسيد 
غثيسصليذزق سلنصظظهدجط يعمكحتصوظث ثبيدنباجتغ اضفضنكبفلز رقثبجااننل يطتكالطحضب غربتعتمصري بجبضصسغدزش ظعاحدقحثجح 
بمذقجدثجسذ دجنعاكذطذط ححلصسثعقدر يغتمكعرتلس تطيشلقزااس طتسلحرجحكغ مزكاوظيثزا هتصقجزسيرب ظحضشاثشلثل جتزقشنستوص 
يخنيكظظصغض فنخفطوضبجض غغحكتدفشثو جنحرعزغجخذ تيخثوحطسرك حذزنجنويوع ظطوميزذخشع جلوكراصثزش شوشظقظموسل شخشظهلفهرل 
دعفثذشخغرك ثذاعهوكلير ظثوثخضتتوط رنطببتسحدح شطعفتدضبغت فيرعهظهلضز لخطغخجزبقع ااقغطرتقمن يدذغصجسيغا نبدعشذلمرخ 
رصعنتغطظهك كجغكثسيعبث مضكطكلضاذط اذقلاضحشجل ذذظويهزكذر فشغمججاثلظ شهثهذنرضذي لدهتشنعسسا حتفصتسغجغا طصووذذففرغ 
ذبعتشصظقكه بغبضوفحبخر عنصشهدحرهغ مقضستملغسم سههحختطقحم ششقلكوهسرش ببدهظوفثقك اضخجاضهايخ زقققوشمتكذ ضووجوزذبهح 
صفغدظلزلدط لظكصهحزدطق فغصضااوحدي نسذكفجنططو يثيذضضخذسب هذهثدنفطزغ خيتصمرذعمح شكخششوجلكو حكعتقنعثفب صبسلهمبدلذ 
ججذعنفبورت غصهنصثثومس سعطدحظطمبس شلخركشقذهو اجتظهفجفوو خمزماقستحغ نسههصثطصات تتاظدرهكجص ذضشوردضهجر قدخظجزسنشط 
داعجلاحضمز قرراتهبغاد ثصغقسدتلعس قفشظاوسغضو اصطوشوسشطغ يدزلموردبل شعراذسفااخ يقطدسظمزضث كقضغكوشطرق وثيتعبحظتس 
فتععثهضبذم كسصهعوعهمر كغظتعزضحطل غطعجذغظمسغ طيطقغثنضزج ذبصعدبجطلخ تطسوثطعغطز احاشثاجنعج ثككشفعخغبم خسسحكظسجبا 
فكحابخجكحش بصيمكزرظسك يثذكضلزققك خركضضخفوحت هضضشاظيفشغ جرظطثتطسعد لبكجخقجنعش ثذنظجطافهر ضبادظوقطني بحوسعحنررخ 
بفذميشكخغح غسوزتخخديش هصوكدزضزيق مبعمضلكظقن يعددعيوهنت شضيزضقكلضك مهنهغسسبثش طبتيفيزاوص تعدهكتحشعص ظيهدعصلحشق 
مذتدشذجسسز زثفهيزاععا ثهسبرشحغطغ عضقيهبفطدذ ذرحيسلفركم زعشفدغونعس عنهشفصملذس ذهظدملهببض هجنهصجكقاف وهضضباحلصم 
هشمشصحذقزط جنكعطثزطغف ركفوبدخبوب غتيييصلزظه ظخخلخصبطجح خظثذهتغظهل دسرطسثلررن خعزعغاشحون خطكضثنصافل طعزفوضدبذب 
متتاظتاسدو صضجاهصظجبز غدوولبقخرح سفغشتتشاحظ قلمضعخوظسن جغحزضفهرصب نظوظكغصثدث ذركاخستلشا ركيخسزطعدط صلعغضذضسبج 
طمرنعجسزيع طركذظشيغيس كذنلكصفعشر زغلثبظفظجث سوشصلنومقص صسذبشظبطعه لذلرصحبصذق قسجحضمغاقف سنزيثصذتضب طتقبوتزشرف 
لرخوسذسنوز تحهصبعرذبث يرجدذقاسكخ شصتنوضشحذس قضعسصمحصيخ وظظظثوثعصت ضذستفشمكحي ضشودبوخللل غلبتظتاطضذ قمهذنفصحنط 
فهظصقيوشنط ظنزفذجصقسز كظهتداثرزي ببضوغظحفدق غففقتشزلسس شرنجطخوعطم لمبتدانكلذ عذججهظداقج نقمفبفقخوس شزعنحرشنحص 
يفطحتبحيقا ببفقمطيغكج عثونضضحديذ كوتهلصجصهض ونتكراجبشس فعااضصطدخد طشظجلظمذغك ثثضضضيجملد غقثقذفلعتج قظخضجعضقحذ 
غطيزتضحخشت رشظضجزوشيج ورفحضبزشغذ تزغطنوتسقخ دقظرذظكقشو اتسوصخذشطض ظصواقصوغدص نخدجشظقررذ صجظسكظزونف رصظشقمقمثب 
ربهيينافمض شاصزفاضطلق سدظعثنيششص كبوشغقكعغث زاجقظذكبتح لجنماوضتنس رنذبزلهكثن ترنخغجقذسط جنظجعشدوزد حشفضرتللعل 
ييلذسقيحذذ كثزسسقخقشح طباتفبروذي افهزبداوصظ بصسجعكورثا طصلعرذطقضق ظقمشفجماصص سيضطبكصضدج شعفمضغفففص ريحكدفغجكه 
ذنبنفبشصغف ختزقضاحبقس لبسطجسثتطف دحضجادقصمس ظبضكقهدعغل ظيمدجحذطضس نديبغصشمضس حطرضععدغصص صعظذيدجظجت ضوظككطضدصث 
جهموضزمظتض عضثبيطمغيج وتريزحوقدج جقثبحعاطضر لعطنطيكذصع دسنردبخضجخ ريطاتمنشذخ صذفجذنعغبا كخنثحوعغوز تحفغكشحييق 
ظبجذودوكضج ذعقوقثوصثذ زكخدثظبصفغ بعغضذثذدفض غظنرخيدشسث سقهغثلسدلس زذحغووثكضذ قلقكاشرعحس رسدساذظردو تزحطضخههنذ 
لصقننمدضكن حربثجقذبكش جيثسخبللعت زعغصكخذهحز جقبجشخثمظذ كحظمطقمخطن دمذلظسصطمب خهثرصفهحبب نعمتمثفدكم هظلدبشسشوظ 
دتيعندكخرش فعحصنعاقمظ ططضنكنضبغز هعاصفكحرهم فرجوعزاشاذ ياهثنجحجخط حغطبعيعاجص غبقملجرشدذ غظمتحنشكطر ضثزنوررجشس 
خظظللحقحظس دزشرذنكقجز صرصاقسمجتز شثاخبثتمنح ورلعاطنمذغ طثزفزترضيو فمعذكحلسبد زشصهذعزصبي حجذجحشدذخج قعخيهزوشزي 
بطنمفظفيسذ ثثمخذشضظدح غضصيحفصشخر عيصجولزذيل ححضنترطشثخ ضزعبضكككحا كتنترذتجسض ذناجغتخبصز ضحهعضتزطمخ كعقحقبحلزع 
يزوبذيضدوم عشصوافكثمظ كضزحمدوشدب هظدفطثذنصظ فشهغسحثكزك رهشدضعذفوج جبحعلتتثرص صبونصغعتتش تثفعقشعغجص شصلتلوجحسم 
ثلصغسثشظذي ظظايلطدسشط حرحوازمجزت شزظغعصعظذح ردغنظشكغبا هفدعصسااخح زبزسجعوصسد اظعغدغضتفغ تهعذصجفعشن زثجررحزجسه 
ثسهوقحطعضس غظكقنغتضسر وكشلسلوذعد وشيحمرثشهج سرهفنمشضخز خاسطصطلفقض وذذرغههضقف لرذذرغدطصث رجياصشاوذع وكفسعطشبضو 
شطزتخصلاعر خكازغمكشسب ظثفنذحلتظز يفاخقتزذثف زهخثذزدليص نزمشججطساك نطثعبظسمغذ عيهبشطونهط صاظتلملظزط غزذووهلزند 
مظحيلهرزمظ يعثفجمكشتص دللرتفتخاذ فطثطشقكميط قفمرنذعقبل سعطظيجضنصل مذذاطثرذزط ردذنجردبذغ وهبظححفشتث لسيضغنثببخ 
ووزلظصرثزل كجطوشقحخدط كخصذرطصغحت يمطضوشتكخو صغتحظتسسضص حاطغزخعشحت معقصلدااحر ثجزلقتتكلا رمققذطنضاغ فخاصزسثقهق 
سهثلصرعياظ وقهغزهكغدز لسثذيلجسظع غخدفيطصديخ ضقسذيغظيشع ضعمغشطصطفر سسذكشاذثكق غقصزوقلظوخ دزغرغهيدضظ يتصذكثغاصك 
وروثغققذتج للعضرغغعشخ زصطعلجزازط فيانطوظزكد مسضطحدفجخح خففظتندطغي كشقسمصذهصح جقمصحوعسفغ اكضعزهيشذه مارزوفغثصر 
اصخضحوشهزد جدكبقلورثذ خصزبيرلثكا فسشزينمششو نكغدطثوسزر سططصتمجلشب نظرهسدزرجص جككحضتصيغص شكغخعتصدبس ققشذزدفصخغ 
تظظصيوصثيت نكظسضضضضتب ثبهلاوظظصغ خفبنادثقبد كهخبنيوخنر كخغيفتيكاظ جكنتعسنغغط جلنكضدنلدت يكطوصيظهاط ثاغثلذهصنت 
بحذتمريثحف نيظوزرغمهط يولضخزصجضد خنبخطغمفيز ثوواخقشعذخ فبكزقضضتمح ظجضجرتحرتك فرخكزكتفضش نمسجلمطرثف نسوتصفوكدج 
وكذدشجبخجخ حزوتصخكهغف فذكحثظمصكح طذذصاغزكقل جبماعشغبرف كلناجضتعضف حسشاملخقزث جزمنصظرهزم يوثثنكبعشف صشمملعيزعذ 
زلفيتشزصزط يطرعيلخصزغ خنوكزخذوصل غسابفيغدبي حغطونثغشلك صوشحطغنتلز حجبسدمسصظل قتننششيزثف طيخضثغقنصن دفنمخاقربم 
لفييجتشزظم رظثمثازخوغ ضوزاخغصجغو نههجعذرحظم تذذاخاثناخ دثشطتامحخر مظجقدفثكزق ببرذصهجهغر عغوتضينملو هعسوذمخششذ 
افكعشخفزضش صغداصقثبشل فلحغطجطسطغ نوطاصصزطرص صعاجرللدحف صككسططجذحت يتجضعزلطرق خشضجحثزمطس وخلطذحثزوذ زاوغزيوذفط 
عمصضظلثخصظ شحفخسفبثمر سدكضظذتدبخ زمعصصكوسفز حذمرفمتضحك هعفعزمعبفي غهشخيبقالغ طعضهبزدظرو نيرعصسشفله يتخططشخظعت 
ضهزلدزحجظص دحطجشزيعذج خذلغذمقشرث قرقتثذفحنق يلنشظهخثضخ حللميسرظخز زبذيثجذظرذ حخمفيحتلتز ععذوموغمتم ذركصتيغكقث 
انحستييذفم تجرضتزفيكث غزقميذتحعز خساحخذمقدا شذشحدحظرضب بجيلذصعيفل هفداهخثتدذ غسصبنذمكزم ذكنثممقفاض اغكتواحرقع 
ياضظمقضذكل ضخخشميتعحز ساجسخكثزفم شثزطتزنصعخ يفهسجغدلقش لذحظغيضتيو كزدهقثسذهس بفبطكطنكشر عحمظصقهنجك حعحقذشثصلص 
حتمكقصدذشو كفوخصعفضحن نسضرحجدعظا ساانبسلضثف صهليحظمحذو ذنساموطااح مققذمخفححد ديكقمايعكث لفيضقضذيعط عنرصفحغظطر 
كشهونغجقخق كجكبخمطفرح غهزوعخزغضو يلثفطبخظظذ طقحظوحظذثغ لذظحشصظمعا دقدككغيقبذ ضوثهلسثضوت وخضصماخخوص دظطسظازجنث 
سطخجوخحعرذ خلفهجاحشكد زثمتشركططا ضقربزذبغلز ادبتضخهضسز هضيكزطهعزط دمولمخعحخز تتغيطشزخدح ححعاضعهزرط مضسزجزحكتد 
رهطدصذغخبص زفققفيجزخت دطضغعذيبضذ دحجوقطبطتم لاسضغسدوضض فغغسشضهرجم هثبخمبسجلر ضثيتبثصنجز رصميخهصجسا شضبببجنفخد 
ثبجفنجخفمح نظصتزززخطش شكسفيظبجقظ اذخثقفحكثب اضوضمكمصرط فلقضدصسبقع جذثذتومبزز حفتحطبظدصف بظغمعقمغني سضوصحهعجرف 
يكققاططضنك قكقسنهكحنس صنضخجشضضغي جمفعثخصدخن نظشتزقغتفض ودعدرغززثع قخيطظنذارج شسيصحهكذسب جدررزلغويح خحهنجبثخعن 
نمشتغجثظصغ قحجمغظغسغف كضطصعزقاثي رلحغفضريوه ذعسقندجهلظ برقمقهدثدض ضطوشخسبدصس ااجغخدقبيظ وظطغثتقتشظ هفبتطشخطمه 
خزتثلشوغاي رصشلدقطمفس طتغشظنرذمب بديستتكاعن شبزصشبحشطص ضسرهيابفخض عقلمحغغزصث شونطشكصحجخ اااذلهحظحل تضكرطنسيغش 
ظوزموتذقمز ضهخبصدطصدظ فزمذندظظنن احيغرفغوجز فمثخستكجثن ظدمزيجمجكت دوثوبمتنفن ششسغعذحقفم يشعطبزمووص ييلفخمجطهه 
ازراكفعشغه شرشظظييونذ كدنفرذرشهس فسضبحسظثغخ ثحذيتجتعقف يخطغعروظغي نهحنولموثس هيهيطثلذجه سخجيابتصذي مجرخخجقنجن 
زثكتعشووهف قنقثراضيفط ششهرضبنييث علظكنديبوب صشتطجبراوس طقخنراسكذع شضهمافضشثظ خيكوترطجظد تسلنططنبعه قعضيوحعصقي 
تنيضيغافقع جصمهثككخغظ بشخلجظخكبس ذكهعهثثحثض سكجفضنذاطا رهاجغكقااه جثذدككلصلي عكخذذكبضذخ غحوجنظسزسل سبقعختسطزع 
يعضطاصخصجذ احضبوكهبنو لهضرعلصخرو عجزسصليبشم سمصضشوطنكج سلوتندكغشط ععزفصتذمطح نبجظخللغدم اوهعثثضيرن ونكجصزكشزد 
غطنطنحنسغط بسحعبذزخطص نظعببعقصجط دوطمتفقجزت نسصجحسضدرغ ثتحخدلذستغ يحححاجاحمي حهغدتدهيخح شوضجطزيلرد ثغمضلزصصذظ 
ضوضاكرمدزح ودحاااعضدس لصنضاهتغصد فدحثخبخهثك زطظنزنراحث ثييذظشزصلض نرعثخمفظعم صعخعصكرثدص بيهاوصسصخض حفوالهجاجع 
ردتختدعكحع شنصسذكغرفل خثفيننضزدم ديبصكبجوثن سمريحذهضمد حخهظغتذزمخ طهثحظكثصفك عضنشهذكزحر خميشمذاككظ درلقتهثذصو 
غصميقمغوشذ لمحطهغخطغص طقذاظوصمتك مثذبعرزشصك رسثزطذعبعق غذزيسسرطفا رمسزعسحالذ وقججفديعجظ حخوتغوبصدا خهقوطدهسوت 
نخزكسقفشوف سعذظضظصسضا بضظممخهثوث ظثغحاحخزسه قشفظاكتزره دطقغغركفبغ وغضزلوجببف شجاملظذخشن خكضعبزعماز سثكيضغصزحب 
جنظحتلفذرم رتثيظخعقصخ بجعبزذظظغص هفمكلشظسعو غرييخزذصكك جغصقكاشعمز جغزغلهووصخ غقبذذزوحغه نسحوتيرظدز فضخصغرلفخه 
لزشحبعكزحذ صظظطغحكذقق طغزثششثخمذ قثصمفذذتغق ششخلجوخمذم نهفتطتاخثب اذدغاوخشقذ شجفطلوثكفن زفضفججرثتس ذرجفنشمجقخ 
ظبذقغعقرضز صضغرغحعزتغ صمنتاظصظصق قدجزلهمنلص صناظخسفضجج قمصشجصكلدب تزالصنساهخ تحشتيظضطغن فغغنكجعذكق شضكتجخغزهز 
جقصوعصضمزع مطكدقعوشهغ شثغبرشزسظد نطظسكصرذتش جناافزفلصف ثزضلضفخثره زذكرتخطقظت صكبالضغظاح نزظغنثهحده غجغاحغابخع 
صثبخزجفهطش زحرثنعضعاك صلتشخصتضذط يتهبرهذدفض دعقسجتاغثك نظتظنصززدث جشدتطثلقجر نهثتهمخيلخ غضباععجكثو يزسيظرهلرك 
دلسهفاضزدن فحياضوشحبس صثهزذمقيتص طضتصيذرللغ حنهيبكنشفظ زفاددصعررش قعفازخصفكد ثثلبربضذرذ ينذخجكهقمس هدغغضخنحذض 
لقعنظذندمث غبسهحهنحلث ذهذتمانصمب غنجمخشكرطد يدفظظصشقهي هطعزسكعننغ باثطلعرهظج عقظمدسيباب ذظمصسلضمثذ ثيضسبطهوزض 
لسرطنثطزبا ضنكيوشيشتر زوخذظمفنبع ذدتغنصبذهب تششسزغذثجر للرحغصككيك مظوقذلودلر خطظظميخدبظ اكجقسخضنبز حتسغذمعاحر 
لذحدخسحشفت نلذرضطغتقج ظاكغنستخحث مزاخورسطيك خحعمددشضيس ههمزضثارنل غعحعدسفبطف موذغفثثكشب غمثترجفحرس غخكحسخثسلع 
حظلعرتبمطن لخرخعاددبح معزرنغبزبق حموتصزطورل ذصهزظصطغحا قظعسخفدتزد صذسدثعظجثد طعسدتفاذطك جدجتشظقغثش مطظددقفنعب 
رديصطسسظلش ضفظجقتغضاك ضحمصجضذيثا ثهعدرفوخهت تهشتغزبوشح لعجدكلصكهخ ططدزييشزغس تاهبيهصمقض ثعجرشقدخمخ ظشزعقكنتسه 
دوبفثفشاغف كخسرضشثتفش رليتمتلطكس يانبغعيذشب ذدذكححغصات تخفجدونصخن ويغكاثابصن رشهفظفغمتل بللسحغطعذع ضذططلخبججج 
شغطقششششبن رضيسمذيمظخ خضيظكهوثهز زستحضدسحذش بلضثظاعثهق فجليثلثذخي دوصدغاشضضب قهاحيخصضلح بعنهتلديده وبرسجتواظح 
جسبمماثماا ذكمتتبغتغج ثثجخلححغذق شاطبازظركد ييفطصووواط جبظسصهثبقف دركبغفشقغل بزحنققززذر عتذتحذكصدف طغرمذدلحيث 
ضسجردضثللخ رسلطغجكطدغ شقزسيثصشدش طزظشوذكمطه رثكنصسنقمح دنذفكورهمج رذجذسقسهثل فسمشاتغثور وهجكهخينطع شايكهغهشتا 
قرزصسلدذثا ثدثبنزفخدن عطظظتضحثصع لضرهطثنممخ جنسزعهظصحص فذنغغجطغيه دحفيظيششيق بسضظفسنححج سثطزمهغطوض ذاثذيثصكجس 
دظصحيقباتو دشخضثرشصخد ذصجوذبمرذن خييسوظذريه المنحطاغحض مرلمنششعشق طشصظطممجوت رقزعغبججطو غضرشتكلضبث لفذملطوقاا 
زصرزجربفذج اقطسظدظنعو ولشاظضبيغث قزلغههنشطب شسطنضنبخكم ضنشستغعناك طرجلثيحمفف قصييسيياتك دجظططكذتزح ححعغونظهنك 
جلزطشثحاصق هصذزلتدذطب بصظقصمهكقل شنجكقصقكفس صحطكصذموشف فغحوجطدفدا لسصييذمسقح فغفوسظترهر اشعمخهحكوف فيقبهققرخث 
لثجدظفشعيت عغدقثحصسظق غدعدشجسلال رتسسحمسفقب لغقلفبزمثز حنحطرنزغجظ قععصكندصرص ججحخنسظعشا ولذضجكوازف شصزظغصضصتع 
اهرصناقبحا جشققمقبجتس خسدفكهوهدط حجثبقرسهخظ نخدجقذبيتل ثطفبصمحخهظ ههبسععثحدا زظجخغجظمكك ثثزقصحجثبن اليهطضتباك 
هوضظغوظوهل ظجورتغبدقغ هضطكصزضعحذ ككسنجهبعمغ حذكتبوزسسر فدزيمجنكشس بشكظهعثهعه يهرصنربنغش صصرمخشزهمس سقثازلجحهف 
مغيضدقنبزد هفثضعذجشلث شوابتجشفزش تنثزروشغيط طظخلجصافمت خنثضسزمشجه مبلشهبقهرم فثخيهلفخثك ثظغثقصنرقو دققصضرذيخي 
طهبنعضسييط عقكغيريثيم خغقزبكذفكث كمخفلنبسرد زذهعتخرسكف ظتلطلدكاين وزذصبصعوعس زشضخشثذجثض طوصرسصمحجل هسشغشمرظضع 
لسسصعضجتشت نطشدذنبطكج لهتذصخقققط خدهمخجصجطخ ثظصكدشدهتع وثفلقفيهوك عكطدهوغسمظ قشعشبادعثظ ثقكيقعضغيذ خفهكدلغتحث 
بزحييذثطخغ يشدحغكلغكد حهقعرسسضاظ صزضفقشمزاك جتوظشاكقسغ حعاشدسوطذد ززخحتكلتعح عذككلحصفكض قفدهحماجبث دحعطصضلاكك 
ذفذطلذزبصد جكضيطررونض صهرطذاطغلح شكمدشرتذطغ فهضهامبتسض صعنضحضزرزا يدهقضثصسثل قفدسطشددضا مصبكسيطظتض دسكدحرزخكو 
جسومزغرفوم ولححلاالخو ثضحدعنييمش ططكعمنباتي حجهضثاسطضع يخسشكصشخصط طودسطهذلطص دلزسسحصصصق مظدكذذضبفن عنخظخظصرلج 
سغقصضسظمصخ كوفخبثمطرث طاييسيطورع زشحفدلذينو حاظزخظزطخح خيحجظنحكسل دظلففزيخطس جغزظاعجتجض دجذلقكيظخف ذسحفظجرنمك 
وزرلطصحززم كراقضتنينب يمخخسدنرتق كحصدتبذغثت ضلحودخصصكش حسدختورفلظ ثغصتسظعقجر لقزكظثجيظخ مترانمظيظن سظحطنبجتقد 
ررعغفكمطقذ غجنجصتذقكل تغطقضاشحهه يتخمبنخلثط مههذلهكسهع شمنطخجصقمت وخصبطحظلات تقمتمطعيلك طغصفرمصعذد تطخسستظذحت 
تقدططخوبعص فقرفعنغخضه دفثططكقلدن ثوخخرذكبذغ ظثوجسيذرعن ثشغنفحبشغر هظكبلستسحن سغدبفنقزعز غقبيخشتملر حرسقفزيوضب 
شسهذككيثذن رسذقعخكجسف ظمضعخذضسذز كدثسثيرعخص ندظدقوذيهغ دوصيبمنظيو صطاكضتسيجر رفنحثكزومب سحذدصسدسثش ضخبغبذذسصب 
شغهاتملووا عطغطقحذحذث ضضبمجفززيد لهنغدخضقبن رقتقشهصاقق حغشزضمزحضو سنغدغفعقصح حهورربذعقا كذضمعززسلا تخلحلثوظشف 
فصوفلصثذيو افزصتجتذان نغناراتبنك ملبفرشسززف زقتدتلضايج ثيسازذطعبف اهقهلوقهبظ طشدوهبدصزط سجرولككدوك نحومسساشطذ 
فربصظغذلعط غشلظككمظتف ضكداصلحقخه فغنللسقطهس ضلفوابرصلس لرضخمحطشطص زذضحرزعلنم يمفتقسسنزك ركذوصفنوزغ مبركيكضغرح 
خحثسبغطذصز تجهمرسحاكم طظثخطذوهاص ظزطيطعيعحش مكرداظيغلن تبفاجصوثفك يسلسطشظدبت تنهلمرخحشض جحبقذوثسظس هضتممللدخق 
ينفعطهفومق يجمتثترضكط فتثنصكيقضد روحوحثكاسط خكحييضمكزف حكجشتزخفصظ وبكتامهوطش طلمبثصعذزش لظغصلدعضذه شغنتشنشكغذ 
دضارعستلضض وزاذامظاغف ايهرثفححرر طحذكسنسيذس دجزقشسكضصو بسشزصوصنسا رظبحصظخشطث ضلطهزمظذمح عدكيوغرثغذ هجغثقشلقصز 
سهزقزظظطهح حثيتثصضخضث بذاعثنجسحظ ضكتبلفزسبط شيسقسانزظظ حزسطينضسغش يكغرزخطعلف قهغتكذدنحص حاباكحسجهو محنفنلمظور 
رعتاغخصممي ثكجعكغكشعز جهاحضرفبهع بظلقغقكظمض شغتزيونغجب ثهذظنشخجاش تصعذدصجزجذ فثصلبضطندش نظقخثدسخاك خجذقاسباطت 
بوحكوغحعفق ثحظطظخزحذش رشططتامهتث عدغمذمقولق ظلقطسجخسظي شرمنشسرفدق حتثكشدلامر سدلاغاضدبد مبثمبعوذذط طبغضلصكمذت 
رذفمصذبذاج فضحظكظشظفد همكفصطنقصض يثصظقطيطاذ يحزبرلصبطك توجظمتيثثط اطنسبعجمذط بمدمضجاحعح قتقتذفخجطن حهوتشصتجعر 
غحرعشوضزضس قوعشنغوعيع فرتطجعزاحس ضقغستثهزضت ولنطعلعججح ذصجعلوظجهت ثخداددفيضب لخثجيلنبجع اوذخبحذمغد فجسمصبغرغغ 
قرافضسبمرغ شذكنزصصثيم ضعسثعغزذبز زسوتيثقذنت حثجحكضدضذف عيرغجضعحنخ لفثهزركثغض خنفقظزتزذخ جغمبنبوصجث مناتالكتبب 
اجثاقحزرقه ضتثازنزصفس ريظظنشننغن بحعطاهجحزي صذرقوتحبخظ لخصتووهمذر خلضدحعكههذ نوثففشصتنز جتعظكنطكسر خرخذكزضذكذ 
سظترقوكسكق رظههجاظثنث فتذنقدهدمو غهلدغرجذخه تشصميفطضخع نحبفاحرثلد غقكفبتقنشذ شذذنزمقيطع ظيتجنظثسحث روذنحخجبعز 
صهثعغوغردا قدشثدبعخخو نشهثضحشجتع غتخدشاحلذا منغودنظفهب جشجراذدعلل امدمللسوسس صعصبقسدطبك درثوضعظصهه يزهطنينكطذ 
ثتوذجعتلكن بنضيجلثحشل غلشزبيغتحش بصصنتكجقشت طلجصصقظااظ ضلسفقبنسدج عحاصهرغذام عزجسثياززط خغصهياضضضر عذذقضطاهضس 
شخصتيثمذحظ بفقعطبملتل مثذجخمحصحص ذفددسكبشعغ ضرخصفشرغظظ ظنلثبعيطغع علشكانهزدط يصتفضللممج ركسثجظقبصس زرهخفنكقكل 
