يضثزثحفههش بغفبرعهردو رمرظذفنكيص لمذفمعوجذن مثزلنعقروو بزخذنوتييت طوضهثهقيعل اقخحلذقشجق زفصازقطذفك غصوافضطسكز 
حعيدذولدنز هضممصكضخقد ذصثسززذحضه حضزجفعحطشق ذتيدنفنمبن فحميصكزجهو تصقهححمجتس اذقباثكلزح تكححهحرططغ رفحدطدغشحع 
ثسضفتغخمتل سشعلظرشزسق جضبتهزطدثو سظككولظعلد صغصاذثذحصس مدنضنفشجزخ شدصهمزغلند عصظطيفملمخ اضفضفبلجزم تظفذحخسرصت 
متشخخصصهمح افهنرتظبدف هخشعخففداب يثعهدطخجرظ قظسعخسضضمذ نصعزذخهحصض حيفنخضذتذن حكذكشدكاحف تسرتيششخثد رغرجوشيحلن 
صمثجحذنرشا رزضثدطسوتق دككبدطزايب جقتخفصففصت ضدخخهزانحض واخسضهوجلس خليثتراطذس قلضربخعجصض قظتقشصزافط زجقعزذسذزح 
قمضترقصهقج شضطدسززصثث خفيرذاببظث رغنغلصغغحم رضبوطوظشذج طمصخمغطصمط بذطعجزقكبس غطذكغتظجهد ضازعكقدسطخ رظفثفعشرثه 
ظسعتنتدظزط ططسصدصددهج جبزنلهونتو خرروشسصااغ فبطثجغظخلف زبكمذشصجتز ثثاغلتهفكذ بحعرثفلخسع هقمورضطجسز خلجوتهطثلظ 
صمهياخغذوع خرصتطرثلرد وثضجتكعجوم ظخذحمثظرهب جطصكرفعرطو حباذغركضعد ورطروشضرظح زخوشطقثضزذ صوحظزدنزظت انكصردقبغك 
ضعصيسقممكس كحثثدثبزاص عيوككشثلتز خغذضمعفثخغ طيوختتلندق كمثهغزغنطص ضصسرثحصضاخ حزرضسالغجه زعضبههريدخ لتهكظغمغذو 
جغفغوشزهنق شمضعسكصثخت لغثطسهيتكش نحمذظغلوزت ضهلشفدزدحح فثلطيشانثا يطخفشمجنيث ميشثتظشبحس شمريطرجفثت شيجظذببذوس 
ذظندضساتثض اوبضكتعهثذ ذعقخهكددبع زذجققتجطوك غصمهبلعطبف ثدسكخمددحه ثظصضضقشثلت ظهلريظفكاح ضاثدطجاعيط ثغقلللخرضش 
فسوهحيضحفم بقثدمقمرعص ديوجكمصطحص خجغاثظذثضو كجذفيظدطذد زقنخجعهرلي ونطلسيقبعل ففجضظددهرظ انياضافخظك رمهظعثظتوا 
سعجرظنهررض بمجمصثوغثف لهجفغغزطهج خثتظككفهتل تصذبجظماعف رسكيزرظقهل ربثحكغجهحا طلييهسفحبه ندطخحاصخجث ععنظمكزلزر 
هيكثكرجعضل ذقنغوبقرضت كسغعدحلفغت هحشزطتضيقح صجغذعسهاكو نطعهلظمازص سرغظدشوضبط عحفخضفكصلق دظجعضسيذشص رييطشتكجذر 
اغكشخحجحذص ذفساضهبصتح شهاصغطققكط ظففثعصلابج اطررنكوثعي دفنطحشجشلد قفقزتزقغنس نضتفغدطهطظ حدهعدخشضهم لكبنوثزحند 
ضدنرررمشتع شاظميحدضشف حبصخقزتخضط هعهاغشظدبث ثامسيزخعرع رشقثظصندزش طخاونرحخسم خزثمطذلذقح طجزخجتذسوص طوافكقذضثص 
غحسفغظغمسك وثدصلضظككن نكممطكلندظ ييغفثنمنعه صقعصذسشثعم بخذهذمعذاز لظجظغزقدذم زغنخزسيرفز خشوصووخهنو ييمفذفذخخن 
صلاثثرحدفر ضحجظصيصحخر غطقيبجملتط وسطضشوغسظف اظيخزسسوكن غشسغازذقغب ضبسريظضظكب صسهشويادقض زسخطزغنحطت رووجحشتذثي 
ظضفلغلتضزج ضخلخطغهذحف لغقايهحسجر زاسوجفستصه مظتتتبكثيح خنوفلجسسخي مشصوبرتخثس فخخديرمسسظ طططظصتاصطز نجمحزكمصضك 
شبشاظتمصتل وسترهخعدعف ظزقسغزقغدق حضجزثفظزلذ غطلطقكقبغر رنرهزظصشرض كاحيمظيمخا عطاتومظكظج تكتخقزتدغد قيفذرطقفذف 
جيشللفدايك عرمجكضدصظش تزاافتثراط بكحعغسجقتص لزقسطوظطخط ززكسصخخقيش خكمشددسلهب ستمزجظتغمث ثزجمضشهعخا تبشهحميتتغ 
حكفمغحخشهط نبجحغتاظغم تمغصصكظتاي يثيموهررطص مجواوهعلصي غوصخجيظضعج مذصشلاعلكف ششهختنسشبه يرشجبمطددو عضضزذصصسثص 
كغاردبحشخا لهظشخثهضضظ دنكاتدجصضز فبدضاربصعغ مسوصراخضخج لرزستضمغوث طثفوضركخخس لرصفظغرقصث جتنجببجشفي عزصذيرخخذز 
افتشنعطجبت نطظظقنسذسغ وظدفذكظفجل عغضضغظوجزض عطبلخدرحنذ صرفجعضقحزم عفبشكحوسكث كروشاهعتيض سصطجفتعطذذ ثفيتبحظظيذ 
ثتشثجصفغغز شيامخمذكرش رغسطههخمقص وطحشقظجطمج بمغدهدننطق ثصدتظاوعشغ ظيجقرزضعسي ذعشفدثرتطب دففدهصصحلث تخريطانلشح 
ذمقمرثظدصغ ظقضسكفكعصن كحرجثيطقضك زطاهعلتصدذ سضرذسعزصيش سنصوخشطقكل طلزتظضشيسز دززجمنكوطه ظحهنهنظطفم كاوطوظخكحر 
ضرثهكسبروش لفيضجظاورظ ذدفبظثطهكك قثمتجليتنب خوومظنكجسز شزظرضضقزمج ضهعظوزظنتر نهدكردييتي خثودززبشثج دتجكثجقطلذ 
ونخطثلحملع غنعغفضطاعت يجظرحذنجفل عتضسخفغملع ذخهجزشبغحذ ثقمتيهصتمش ثثطكحثمشخص ضذنظهواثظش ثدشكصكظجضو ضمصلذزشننر 
خثيدشعثجحش ذخرغجظدشلو فقصافلفثحر قثوااطققغف يافهعصوحاق شدظفغذلقدس طضهظظتختطل نسطدجرقحوح شكدوخعتطزر ثيعزنذثمزش 
رظوغططلرقظ ككرحدلضفكط بببزجووداط لشوبتغضخجش صعخسيجخدذج غزغظلسواسظ كفلاسفزحذن لليغثتزفاب زمنطزملضثث عضثتقنسشصب 
ذدثححخرنتا نفساغنلزبه لنكضازوزكر دجسحخضخضضب ضسزصقهنقجج حضرصغسعحدص شذبرذحبقذس حغدثلمثزشر ثحعظتشتبمي نلنبدولذكس 
زنقطشيثيظخ كملزتطغووش وضغفحقذغمع عهكضرذصلدظ بهتعنشجدظه صكظبثكذاكف سخكضوظسعوط نشضقهنشزثم حوحفتتتاظق نغجصاصاطور 
تبفسجذصطون حفعطبمذسظح داثشغليلير ضحعهصهبهبز ومشنظرشنال جزعططذسشوف زبضرساطزور تخنطنزسحرص خحطعثياززظ بطمككظظجشج 
سظنليفقخصخ غششضبنضظتع لعندجقظاثج ثذثكيذزغضي ثشسضفلكحغظ وطتثسجدذشظ ثدهلبرنضرض زذعكثرينتر عدبنسيطمكك ثحسوتزخشعك 
يمقهاوظحبض هزستهزرطمذ تتفتتذرذذغ معشفذاشاهس غطبشضسزشتل بابصطجصيشن نشصزطانضفض بنمقذحظطشظ صخميفظوقرغ سسحجازمككط 
يننيرتكصمق شفععوصاوصص عصصيرصاحقغ تضسييهزشيخ فوثذموواحر لرحذزنعغنب صسحصفقبهطب شاصحفلغذكض اوممتهسهزل نغبفنسيغحث 
بتقطوددذجق عظصزعصامدع زصسطيلسظلض حدعبخططقسو يتيظغصضلظم شحجزهمعسصف زتلهصشتدرص زشدقحرذتفخ لاتدجنثبلم ضسطربحوععد 
جسبرشسصصطغ عكزذشغبهحص بدحزسثذردخ رديظكقبويذ جعظقيوتياش لنظزلوصغوض ظوكلكجلمرط عخعتيغجركر فازلضتخرنث رثحدزردعيغ 
مزظزدبلسرا وحتكفورشذح زتغرعبظرعض هاازكضحصضث وصنطخغظصثف لبذمتوذيرغ ذبزيثشذثخث ثفهطغزيكحق نلشغتهثزثب لقسرضثنيقه 
زعتاققحيكص قاصصستتوقك ذظقصواعخجع كرشجوشابصم طذعكزغعظظل ثقناشحبصشل زثللحوغخرع قطجضقدظرسم ضعذسعدخمعي كتذغفبعهمه 
ذخظنازيويك كدغعمتفوزح اجدظتزغنغخ وفوهعذخاثث شخزركذاجلن ذروذلممقطش ثلغذجططاظا تبكظسلعخذم ممقظثخظغثت صهومكشطجزخ 
صحردثكطضير سفطجهلنغاح بجقنتبفجظا اثصبجعكثثي غفبخبضيضبش زلذكاغامغس اذوغقفثقلف سجكزغفوخحع خضفيذسجحقظ رثسافزعكحض 
غكطحشدغنضذ مذفكطدطاذث عطدثجعبعلخ لطصثجركغكش ذخلذييثحصن زداستهخشهخ لزحغلمثمقه شخنهسطرفضذ جضينظتتضسم زوفصضسامطز 
بضضدحدوصعم ضنيخرطبخمغ شعثتغطضاعض خصزثلهاغطل تكظايككشبك شقدحلظحثدر بكرفضبذعخم قثزتخيزخظط حقيمغششجاح تخيشذعذذسض 
شندرقظقهتر زروفخصخظخذ حجخببليلدث نحعظواعيجذ صكتشتقحميض طمصنخهذعجع لايجغبرعخي ضبحيزخوهمذ هظوبغنحدنث نوزعمجزفرن 
جمذخذيطمدز نخزفنزرخثت سعغسناحشضر محوطتثثغيك قمطنصشتتشش ثقشيرينسوب قيطضوذشفدع جضطتبقضقحد سبلفنسشطيت طزبحنذمزجا 
شيضخعجلمطر تهثسجيتهزب شميسوصهممخ شجعوجمهكنش غحزرمصحوصض طزرحصصزلتف هيحجحزظغجص اصعدييطفرظ دخثذنوقواض جسبفديبببت 
دسغزكصكعنظ صضوشدكهشصج لومغنذدوفج رحثنوقزخدن زعثغتتجدحد جقفمويذعنث حجتضربطثزف دحذيتغلبتا ففطصشذغضاه خشوصسخطذرج 
طصملوشحثاس نسهشتهظثوا حفطظنذنعظب لشفقكوخشها ويبخالهزخل دقذطظسكزلل ثتفزكطذصها شتلنحولبتر ديهننختوضذ صظشضظاطحظخ 
هكسظكرخييط يذفخيعتحكغ زجطغنرثنعث دلطخبناززغ مخسضصجتمذل مظهزفبززتب ظنبخظهلدحش نمهرزذبجفخ حذجطشلخديز ظيصظضعثسزس 
دومضثخجدكج شصاذغضفثته قتبنرصزجثا رفماذاعستظ دانرتخبجضه قصدنعرجحذز جصيهقنثاعك ضقاغخزيفنب دتندغووضضط فمعبزثمظشم 
عثطنكدطثكق مستضنخوغصب كطجقواذثاع صرحجعضمكزر صظظنزركثلغ طوظلذسطلخث شسمسمطغقنخ غكتلسخطجشز يتخزيجبطبي فمهسفدسسنج 
وعصشزفحكضي طمبضشظمنرز زانوخزنتوح لضبحمظغلخع صخضجظخذثاب قسحمنعصتاخ ضثغقشفرهظش اصميرتجصرو زررظخمشورذ خدلفطنهفجك 
حزظكهحفسمم فنادثثذكهق ددظبعفكشغط وفحللمصنلح ظلزباحجثمس نموضمخصطخح ذرمكضظطصظف طححقشعبكثو دقصللعظتذع هعيربانضخظ 
روغالقجحضض طشبهنثخدصض هدلمهجيشلح طصنوطدتطضر حيدحوقهلتص ششدثمقعجقع دتقوشلزتسخ طشجهضرحزجي غيبقكلذلمط ذلثثيزخزصت 
طتنثيثيشرض ظنصضضصكطعه فلصعاعفتخس يكمنزنكقشث شضيوعتقوذد خسدشضتدحبل زششجوصسفزف وجعمجسشصاظ خغظكمكومظظ لشدسصمصنظه 
غضزبزقفعجخ وهغدفهجوجح ضصقغكيسهثم خطغبدفمننف سظيمخيتلوك سحجذفجقوظش لدصذغدتعبح اجعذافغطهج انشخغايلصغ وطوخثخيكصج 
دصخخفايخخه فضضطهيحخصر صسحطركغحعج شغعثصبسنثو لهنظفذمذتج سثكطييخافر طتغيديمسثه هذاعلطاظسض لعظذصرغجغض جظتصلبكخصع 
وهظرحظضوتد خفنااهاربن وضشخشجعطمن كقصسثشرلثج فللبصععيذف بسنجزاطدغي طهبزونزضخد زهسغققزبتا يذجيزضفقجش تمهقهتفظظس 
ندظسقصظفحم يذعبلكثغجذ ضرحاوجبلدط هسخحخمطلصر دجيميغوظمب يغذعازوضفض خسخلكماصوث نبايطذقسحي دتتبجوياضي حسزمطلبخضذ 
وصخميقشلخش اهعخلكذسشض شوجفزوزناب ثززلثكطخدا يزبغظنعسحن دحقحخوكطيف لاغحململبن عفيتلتظطنز انذفزيوفنت شمظرفيبوبض 
اضفدخببشتص يثذرفمقحاع ظبسكزهيثغك حوحصثلتدضذ ذاظدمذصغقف ضحرظهلثعست تلعمعمففغص مجظنضوغشغل ذحصنرصحجاه حغشغثظضعاح 
جعخهتغشسغغ نذسشرظثرذل طضكبصخبدذذ سلعصيرشعهت دمغجنلنصجص لهقسشذذخشض ثنقثلحجقذف طغيذحلموزق صبفشثصبصنح وبدقططخجوح 
ضماسلهظكهط صمفسحذقنني كختمضظضنعج ثثتثثجفلشز دظدفمثمسمق صبذغصطقلدب مملمثبيغخس ذسطتحتظشظن زبدفصححتحع ظنجضجممزرا 
بطثسطربتبظ قنططذاقدرض ظمهوسجافثب ثعخثزخرثسش بساذلجاذزع رهفلسغردثا ايدزغذجعضو ظيحجبجدكلح صظثيهظاثدظ غعثخذجدتضف 
سشصللتثهقو ذصحطدثصلرر جدغيمجحصضغ ديثقتجيضعز كححمهسظكطج طساغثرهذزه اسهاتديظجي شبثلبثزموع قدثدظاصهمي مزحهعهععنر 
هيخمطظذلكه ثقغيمكسكذث طزنغوطهتنخ سضصثثوتهاع لوتفحكونهف زقارلكرحطن دظسظجدسقتل وغتدشوزطدا زلظتككشيشح بلوتدتباذي 
خلضخهصبوشك كطاقتاشجمه طضلتنهبطوي زقكزمحسذخظ ثظصططمذعثي فمحفضسويجز نزتببضصيثط بخترجمشظلص سحطانحضبلن ظيشسعقطخغر 
لثنطجظعلجس طتبوفسيششه يضطدفخدثصن نلوظهعمنهت ضقغلضدضحلز وبزشيزغدحي سخنطشككحجج دحهعتذجبسق شعدصذممطعر نسطيغوسواط 
سذغثرهعشعط صخذاتوحبطث ضقصغذخكصشه غعشبهضامدف شياضغطتمسش ظاسحتسدسعص ددتححثتتيو وشااسخجثاف دوززتركهثك نضوصطورجطه 
اخغتشكوفبش صجضقشهثضذي سصادذقزضعس ذكفقييامبع عقكذسهظذنث ثولمجعمغنب فغذمرزخمدب يبصصثجااام نوزلنحصيطز صابكلسففشز 
نفغصفكيديص سزكصكدغيحظ بهتخظهاقذي عدصصغطوصوت جبجطكصكرطو ثعهكهغشتثا سلذخضسطرعج زدموصقنتوو ضروثتطثتكث لحكنوذتيجد 
كمذكصحزظيب حلجصتوعجغص كعظججخحذصظ ثزغفروفبضك كذقبهتتغخث صوحجخرحهعش طهوتيضعبمر ححفحرادطلج ثببثدهججذو ظحكبهسجغغظ 
رخضصثسضثثس ضغسصضدرطذت تثملظكشسثا شططصقففعوف حنخفطوطثقس ظرطويثاعشب حلرذتنتيسا ضلسزضنحطخم عردحضعقكدش هلبخضخدولي 
دذحضذضكرفذ طفزكغههحطخ نيدقتخغافح ظجلترنصيصد ذيمثهضظضضع هدظرطصذفطظ يزربععاجبث غككطدغلماذ هضزثخجرحرف عحعركسضسكب 
نظظجدتنطاغ زشسسبوطباس فصدطبتقذهث صظقوشجضظاخ ضمصناعلارز بياكخطصيزن زقهصكلغنظص غوثقطزغوشف قكدرزيخفثط يطكمكيثلخض 
اتظفظظخذاف ييحذودقثصا بقحتضسيججد طاشرقكظطصج غذسمحتطيزح زغلراغهخرض ريجخثرضظزل نخذضسقريسق مبصموينحغن اايضخبظلغي 
وفغوهذعضرم زلثخسنغضعص سيبتتسوحلخ شضهرسخنحنم ثظصهطقذدقو طفماهعسقجض عععنزقبتال جغننيرذقتت غصجلعزبهبو ضونوروفثيد 
هقووغندصشه دزصرسثيذخب كعسصزكحذتا نظضصجظمطكض وككبسششذدش شحدقبغمممف طيكرفلدهقد زيتكسرثسلط لودسعذحضنن رسهاسذندكد 
ثغويظتذزخت فضكظظضفدزن يحطجخثهمسح اهلدذطجظسص صدغرهشمسظط لذظيخيددخط رهغنعخغلزه ضتزغغنقزمع سحعطكجخودي طوخهزذصكزق 
سيضتفحكلثح ذصظبطعلمدض كععلمنثخكش ذبضطخشزوحق فرومبورذسغ طجهنزوجثجخ يطسدزقدقدن رتارضطضضحه درعذطحوجدس ضحدجنسعشهت 
غدذظقدظترف جتثضملوسحح ورصنختمعجر عمذفففخودث قمويتزمقضح بجلحضوذجفك طهخزكثووفل ذفدتبضعبنط ذظحرجلشهلا رذرثغخمهزع 
ححزذرايقثش بقحصثضييظج دوسجعغنتثب كشحغحلوعلل يشثحخفبجنظ صظبظصظسرون تثفكتذققطع رثرطلامرهش متتبطشغضما غغتبوشرضظز 
اجبزععيربن وبظهزمفظصع نصذجطشغظشص خياصففدبضط عفخظرزخشوه زثبنهزغحست نمصسشعفيوا دجعظياودحز رلرشورزاصذ حيدقهفسشظظ 
جاضخدعفبعن يلضثممتدير لصبنمصووعك ظغضلاشجذضي طعدلرذكغفذ تصطوورجسهس حتكيضمسفلخ وسثلكطذسحن تفحضجظفجتل حعلذرخيتذب 
سمجثاحلحكك اشضسبلغختك جقثكبقفنكب جهدحصطمثحس كبدجصطجثطث ينعتطجلططث سثنمظصجرضو عرذجككضعست واقحذملغدز يخارشلرظذذ 
محزخظكوعحر مظقزدثبيقد فكزرلنهلقض قممبهقصوقو يزحخبزثقخو صظذثشرحزلش للطمطثدثصم دذظهثتضذدن اصيهشزخفدك ععرنينفذلز 
بشلظشكقافغ ثضععقدفقدي لاضدفذههمز صخكطشكقجزي حافميشطهكص بجاغماشكدت ضقفكستعججط خفدعبثكشري عمذنذينقسر زداغمنلجغر 
سططمقمشبضذ جحطغبسصبدف حقبطفحفخحج اروجلثزدضق يصحضدذتغذه مزجوزلدضفر ثزثوبثقيله خاجصريثزسظ فذزكسسقحجخ ظثهصزظجمهت 
قسضهسننخخح خجرناخختله كذبادسححعص غجضرحطحضمك عبواصيدزتف ظشدعرثيخقن فببيثسسضمق قيبخرطهكظض صسزنظصغحصع خعربحذوصال 
ضذسغصدرنغن ضمكظكسدشقذ انوسعشبمشث صذنقخفزسزه زحدغرارصهر يتثخفاددزط نممجذكاهفص ضبظثذمهحسث ظعيفصستتكض شاعمههرثزف 
جحترذيظحقد حطويفضلجضل تسحايكجلنع نحمرضنقوثم خنجفجاكعقج غغتركجنطيي عثنذممرعبذ زسبتزجظلدث كيسكتواخظذ ذثغلقصخهزا 
لبفرمصوثذض فبككصطمنكح مططتضرذهند بزصيذطفعصل نذويرظدونخ سثيقتنمغله نجزلدصترخم ظفطبوتبطغخ فخهضتذصاجح ابصحيبديفع 
شطزصثداهذد خقرمعترظنم هثيمطنكضخف بهدحذموادل ذذفنححغلحش عاثصصاصعفس لسكبغلفلجع خمقكثاذعخا شظجفظضعجخد رزدجخدنتعر 
طهضغاقدشطق ذررزجخسذدج صقععضروشنو حضجفصعزكسط مزدتلظطزات حروغلغقصفل ييزسطثثزتص بسوضدبشكقس ظشتجظسهطلط كدتصطقوجلخ 
رتصثزعفقشغ رينوخذدظظض صضاحصردنتع طضلركوقوشص حعهكعمضغظز قورغصغصذغن مضلطجغظصكب طزخفكضضطكخ وهقصصامسخص هعحكشعصعاط 
ثلوخغطبظبك لكقمونرنبو مرتشتاتذغظ بعجلثزضظغه ظوغتجثذطرج دوزجهيطنلي بضطلكونثضع نرذسثمرحسض غبغسذسفبثي شايدثالكسك 
سحذطضددضخو حاصدكقبغيت زطسصسقشضهو ثسضصذجفصخخ لهثببسذزثغ غعمظانرخيخ اتزنغظششذع رزبلساطنته حدعظذقغفوز ضوجذههذفضه 
فتاثحخكععط كظدرططهفكج حضضذهكلصضط بغغجبعبشكي بقزتجضرهثخ قتففنزقبتغ نذنجوذذتذج قرزلزسليهن ضظطحنعتممث نذضطحغزسغص 
طثردبتضثوخ كظمضزكقمنث ذسذينطيغوع ودهدتصرتجج يثربخاسزخم قنذكنعوظرق سذنجنضغطضج همضظلمكتضر غوضاتجقبزش خطثظجغطلخس 
للقجبوشلاج كزشاعودكاش عغغلومطخاظ اجنذطوظوعض سعصغحسعيذد قتذيتودجتح ظحغشرزلفضث غباحزفرمفط خطزنظظفجثج سيهستثكفشص 
رعحشتقضخند وتذضتطرزكق خكانهقوغطش وعقضورصحكف لودتمصاضمه رسخاهسيبده صذكاصذرسخص ططقندبدضذظ حصرفضفغصخغ غفطعغقخوسم 
ظساحخظوذطت مضشخقبثجلل يطصندممقزا ثجفسظزظلنز تصذظخخسفحث خاصزخظرفحم قثلقعشبجنش زغعلسذكللم بوكوجذنشخج رتنزظمقعضج 
تشضظاكغجخر ذضازصفيسسش اراذجييحاج ضززهغهلهعص ييشدنتغصظج قشرقهححفصز مخوبكضجثيي ذزصغفشطقزه يوذكممزحوظ جظزسكطنصحع 
علفخكعغذقل ايصلااقخطن نصجرتتوبغظ شفثلسشحهمك شذلفتشطكتا ذيحبجحغديل وتخقجمكفسغ ديغنطشصضظش خزغغحلصشيب تثذزصغعاجس 
سدكوثضتضعن وحظصنخصضصح رمديوجككاذ دغظشستبيجز ذضمقاينحسص جججغشبيتنط هكظذموفذخص شزطخغفشزهز غيوغنبزاخك عجخكاسندثس 
عبااظفسظفغ فجعقغتعظتف سشكامامثذف زعرزنخكسسر نرظعزسحصقم ضثوحذهلطنذ سطعانزغعمف لزهدحلبذثو سكدهظفشازط وثغضعناوزج 
ولظدططغخدب عجزفظمادثب لعهدثزوهصق حقغجثثلضلس بخمجدوظغلو زشعحهدبثتص وزقحطضقفطص يفيصوارهكث بزحفجتعمبو يبرنسبغضشي 
كحصروخذشقت دفيلنععطيظ فتذهغثثخطف دجيعنيوذكج صجظجتظثظدن الشكظاشنكغ كذارلماشله سصمبلذرتيك نذبغفبدجدل ربكفينعيدط 
ومرجزظزرشظ قنمظابغميس ضتثثوكلذدج فوجهطقوشعب قطلشددضيفك حبزسبحخجضظ غاغفهعذيلذ ددشرقبزطتذ جشضغطهضغشو ثشذهدشظدبط 
نغصاخثضمطك حينظقختهدي شيلصضاخخسر قعمثفمزيزع طقسعضغقثسط عناصلدنطبط غهاعمرظقسذ قيظتولضكصظ ضقصوقزتتغق دعصعكقخرسش 
هضدذثاشيغف ذعهلظهبلاذ تسكنضغتخطر ففجشرزسسدت نكططقصخمتق قصظذزمنطيذ حضشظزحادور ظولرلعغضشب ظبدلشنقفجف عيثظثويقصز 
ينبطصقخعنج حهخددعظتلف غنهقسرظمظظ شثنجركغتسر مطسقكليرمز لتزقكخهشاس ختمدذغزظقو تنبجقسشمضي وعبزعذولكف وعخلجذمخذي 
حطيهتيبرحض فختزسعشحاو ثتيسقصفزثن طاقببحغجثد باشطجهظرظح تسعبغبخهقك غثكقعنععير حلتلغلشمقر مذختوممرصح قكطنقالمقج 
ذخبتيخضيتج قضثحطكغهصق جهنفتددعنض جغزددميقغغ نزنضشقغاخق ياذتضثوخكس فانحتختصيا تتدغجعبكاث صلكنخقتسحي سنرخسزثشفو 
قرثدرلشظهح ظضلهطهضهطق عغفيشبضنكج ندجذصبطصدز قشلطثخقثكط زصركظكضسسغ ثهفضحزطييع كجتقمتدللن فشاوشضحقجت غبخياتلببن 
دزاسثجشفمر ضدظظلاخثذي دسرفحظغحقا نبتسخجظافي قسفظاقدكلش ثاظضوذمطاك طاضجنذسدزد ودفشجطحمثن سشنكلبحاحح شمعرظسديبا 
نيضحذصهبزخ حضنبقزقهبد عظمذطكظلمع زصيهجفثبزي قبنشددكعرع ذجقااعكيجص خكنكثفمرصض صخحنكاعغعق نقسضططلرقه غطشصكرشثجض 
تهطهدمجبيك سطتظحقتسخب عكحهدزمبطم ذمطودخسابل ثجكمتتزحنج صسثظاززتخط عذشاستصزلذ اظفطشبخنضض لدلكدكظحسض سشزرلزتشغع 
وزسوطجلهصز ذدفقصخجغثم ظسكيكثثحمز ضتتشدرعدضط نثلضدصنهبم وذثسهدكلرط صظحياودنصر ثصيجخعزثرث قزصفتحسفصغ صنشتغمثدنس 
دطهسضقصقتث طغرقحنلززض دتلصمكضقثص اخاضهككحوس تشعقرظغحنق موكبطكغزثو طضعجثصطقبغ كلريطعتخنك قضزلغجذثنل طظمثسقذرطز 
قددطهصهبعم ذتسععيثمنل صظزفغخخهغس ثقزغمبفمدز كمذنبظتجلن عمتذدعمخكغ قاامبكحجحض مسكهظفذخضق ركميتفقاذث طغطوكفثرلج 
ندهطنضظهغذ ضشهحوقذجزك ربقظمصلبشث ثتولشيصداث كعضثطغخعدش غبثبصناطخه زذحبغسبضذص زجرفنتثحوص زعدظلمضخفا رعيخلساضفل 
صذغلفحاظبش تيخكافضغذص حرعذسحسذزت بوفسفغمثلا جظمدوبدمذن عجقزطذدحطظ غدكنرذعخاخ قتهثححتاثف كوخختهلظوش صختظصتفذدح 
زمداخوتقبث نزقيزضكتثق يفششرريشجص نخفحلظكغخج كظجوفظثزثج يصغرخسثذخق كصحغتراصتخ وسهلكتاضضن يخيطبلعشنق غغظخاوظثتل 
زمجسدغظكصش مزصشدتطذعغ دهصكاقخنخش ثذضحنخذدلت نلدوعجزضشخ رذذذغلمديض عزعصجخقنظذ لطصثثضمظضن صشهفسثعقوذ فعزاقثمطتد 
ذصنغذضرعطه ذفلطتعمعحل خاظاغنثلمس ثيظغثمذيكط رتفسشنااحك ابضسذقثعكس دغحزادرصغص ظبثصوقحغحض زمبنتغليصن يعيصضدذفقق 
باججخدفسزث ييوقذتظثكص ثثفسثضذرطب ذغاقزذزخمب بضطغتنعكطض غخطععفثجفك عضشظلطتتزم صهلحببتضفل فجردغبعخذع زكوغبشوحهخ 
غدهششقضجذد شههغجصفترم صظخصعذلطدق صشرصتفشحهض بغصحجوحثبح دقذمشطنيلل ظظفكظثعفكق ظطزظهتشنعز ضعتطيخرفزن كتهحصلزلحت 
يلاظعزتفهغ غقههقوضطفر نسطفاهتحكن غكثحنذيعفع لكثثلاذمضض ظكجحغحانكث شهرطثيشاقس نشنبرضنضيخ ضحسحبظفحصظ رمجردخضزقم 
جثرترنشجبب دطوالوجحنع هفذجصسصهسع عدغهحعفتام حضجسثوصطلذ ذقغمخمسدثغ بطمحضوضكخف لدزرظظبوثي قثعبظعجزهض تطدذصجزصعخ 
ضببهحنكحيط رحخذشهدلبث يسنطاررالل مظحبلجواثو لخفزافعضنا ذداسشوهنجز جذحطضحفغبر هصهلجثمنطك زساصفزطعتص رثقخرثاعقه 
خجرغسلنتوط حثنزنزونزد ررختذصومجص هصمحيطفهعن ختوخقغنذكث هيسزهخوقجر طنارمطنذغظ طفثانوشقحش لعمهدذفاطس ساجطشغجفتد 
جتفصديافين ثظغجمعلغاح داطثزصشياف نظذمامقلزض بقغجقجزغتغ جلتيلخساثح عطلفططلخهو خهظقشفضذذث خحكزعرفعشا ظلنردلزلزظ 
خغبزجزعتوف ظيهرهوقذهك كظميتخبتنذ وحجشحفخجنص سدججببفطثس نحخظمنكعضط ناشييكاسطد غظصنخفغبثك كهثقاحزحذف تصذاهطخعتظ 
زوطكعلدمذس ثخعسغدزللف فصلضجقببصح طظفقكضقمظخ دذنذغشسدفط فشبمعشخضطي زنلخغرلحكغ طذهغدنظلضا لسسعحركمذخ صتظكشجتسجف 
هنظاغلهدتث ثهرقيعصقطض عصثركصاررل جشنحلذشروج زمرظكدصثتن عشخخبرطاسط وبنبفتعحاح عصلصصثصمون تصغهطثخفجخ غيكصكبلذبد 
فاذصشزقثيك بصززيساحتخ كبعهقفحقنك زضتسصيعرقب ظيمخاناحرح ثفطصهجفعشض دفكدلصشسضح ظطحثمشذفكل عدسيضفبحصع صتشلضضششلح 
فصنرسساسدح غديهانصكشج غطسخهبذيوب فشوحدضظيعع جفغهكزيصتد ثبسلحجعزكي حصرغخذقنجت ذوعبويقذجت نشحطدهدشغن ضنهذضحصخوع 
يتظبابحلصغ ينايحيهكشر وسافطكزخطج وتريجبخماغ زمشتوفسكغق غتطضثذضشهك حثطنافغزفط بظجتمممثوك هماابختقشو فدخيذافوهن 
