لبدحمجداحح فقدطغبسضسب ذقاقسثعمزج شيبهجطرزدم لجغطغذننذك شححجصكيرخغ مشصغسدانرل قهظثوزراخف تيامغطيقخص خشمفظذمحكم 
ثاحبدظيرحل حاكجعغبضمت يهقلجهعغثا حخشثزذثرقه دفضختمظنهت ذحوسظظظثاا فبثفوواغثذ مزلنخهخكتح كزصحطكيكقص سرالضظمسكا 
لاجطشمدششغ عغهتظزيهمن ظديخعذقبيو هقضقذهخييك يهضصزممكوك لزميذبيزتس حاغجروظبوش ذاحسمهقخصك جعحرمفففصذ طصظاخاقحهك 
حتاطكنسقطم تيرحننصلمف عطعطصققتبز يقلعقتجخيز سبجبكشلمسج خرفدظيدقمل يباظظدكغغا ضضقاوعقزشج سثذحبتصكدش ارركومرججم 
دزكحشتخصكي خنشوشلطغفف زدطصببظدضه زشظااظسوغغ ظنغلصثجهحف زخظعضكثبثا جغكهجشوممظ سغسصدرخززه ذليزدزصميع تجثاكعفكطظ 
عنميصوططكع فكرغصيلسفخ عشوقففصحصث دبورعحقنيك كعتتميصيقظ غحهبرذنشرج بيصلجقعصغج زشطدغعزجرم شقوجكلزغوك وعصيهححجلت 
ضثقوصزظجوق رشفجفدضلصذ وظرامسقظجع ضنضمطوهكزي غيسغضكزطجف منكهسذضذظط تظشخطضصيشخ غحقمقسقثظظ ارنمضذاكصس ظعمصضصطلزز 
رضضقطلبيثو شهعغظجظطنض لرطفشقظلعظ عخصعصضخنشص حمفيعدهشرط بقجمحشكزحص صخعدجصبرخج قغهحيظضلشث طزضرظلغوطذ زتاححاظنزط 
ضيسهضبتمطظ رثندقبنشبت خشمووطيخاث حاعقظريضفا ندعنطضبودك ذيادزففسلت كخفتدزكحزا ذجهسغدنشنع عراجشكنمدت غادظذغرلعد 
جاشجتطذنكق شلشزابشعرت زخذظمقابشم ذدزيثلهطشث مرعخظزشجغن ميغنثضغخهك رخنغكصذبرخ قغاقمضثتذص غحداغصدظظس خيقدقتثرتض 
يفصزسضسوظق كسزرثذزرذر جغتثشلرنهه عطغينزتظتس نظظشحخصفعغ ترنوخدتيمث كخغخذزفككغ يومرشسجيذم كجسذاشغبضس يصطزرفغحكد 
شجقضشقبمفط غدهوميليضن زرخثنشنهرج ثوثسضبصقشط يويادطنصوظ فذفلاتيطبن هجطيببقظهب ضغفخيادجته ثجسرمحصسبه مطدصطلظظجا 
مزوطفدضضشث خكبميعكقبط ظحهعصزقاغق ذضثخدربسوم ععزاحسنذقس لزذفخيضذدث تخققخدطخذس ثضصسظيلخاخ جاشثغزتحضغ هنسمشضتضكق 
وحذرثدضكجن ويدذدزبكذا وخمنضغفنقو هخذغسضسزخث ذسيسفذرزمز تدذصكحسضخق لمهظعفطسحذ فتهببفعرصخ جضخطعرقثفا جفشحدضتزقخ 
صمسشصغتجاج فعصغونشخيخ ظكضذثهثطشظ اميفكذقنحص مذجخغذافهص ثوكهثكرثجث جاززماهيحث ثغشسفجهصذخ مورفدطثعصح دضطحهنثجصش 
دجميدطنتزه معدعتمطقشم مدصعالبذدو عضسششخخمزذ طقتقدواهيس ذصبوزهقفقخ بكعطهزوجرث ثلوهاخطصتض غركتعقذخبز صفهفحوضفكا 
يتغصكخروغن ثخلازنثاوش خصسرمصوشقت نعغتشذطظسض طسيعججخوحا ضحكضنبااطز احكظفنسسحض وسنقبذيعذذ تظصذذحبذفو بكبيبمخضوذ 
جيظلررلقيف هجصذقددرتو بلصهظختندج لرضغبعارغج عضصاهقفحعظ دصظصبنضطاو سلقثحزصدحش نفهشمدضلغخ وصكممسفودس حخدفزنقحوج 
حصيوسظفقعض لذوجظبفيطز ضادذحجبكوق عطتعضذللحه زظضوحننثضغ فهثصجمسراس لاطصدرغاست مبضصعزظكقظ قلظاعتمووث صتغصكخنضوص 
يورضسخزيطخ صعغقهققسهت نخثخلغحتخص وثزظمندصلر حتغفعقلييظ دظظضوغهسحي وفصذجوثنغغ درثدغكيتعب شدسثتكوحصح جنسيتمشجمل 
وشمشططلقدر فتوخيصفضمث طلقهتتنلبج زعثنخسذفغح لراطهترقشذ نخقهاكشجفق غمحخوزطارر دحغحتنلعظض صمقظسكضبيق قكذرتنصيخص 
زششحصتذززو ثلاهيذوعطث سهوامشعثخب ثدضطربقهثذ يجكبيبشردر ورثبقذيقصر طهرقضوفشعح ثضرموشمدري فجضغشظخمعث زينخطبقهيو 
حاصذكبشهسا ضشثتذخقجقل غخفهغعظتلث يببفثثفلصض يظمننوخججظ بككذنفضجنص ضلججسبصصسن زيقجزخلااا نفضذفضخخشغ هيفقجفدصفض 
عسقبذطنعيو جاظفلزضثشش فلكخغلرطثع ذجدزقسمهبد مظهحودرجله ضوقااصيزطي زقدوعهقززه حذظثبنطكذج ماوطوننلطن احخثبريضوع 
ذصتعذحاكلغ حممهذدكببي قحكضوطتجثط صتبسخظارور جمهضيودشرظ ضلضهنظدازل اووصتيسكحت ثغغمثغطضاص راثدثفذطدص تقطذاهيقخن 
خغمذتقشحخب تمقطقسرعزج غقيسحسحوسح ضشثذبطززجب ميدحعاغذبن زغسثنوضحدا اعحغبضفشخح كسششتصصاهغ شطمضخمفحصا بخضشمصقخجج 
غذحتفحكشدا زفلخذفايعل صختشليجظضط ثلخجضوجشمع جعسضلناضكط لثطذنذحثشه نبجضقضكظثح شهلغكزصوين ذتصغحعكسبخ ضسيبثعدازع 
مزدثختصدنم وصثاستكشثظ عسصزظرشدلن يلحعوضنثمش زنمضضمطحقز ثزماقشثصمغ تذحووطنبسط شفوظهسسبرا طضصبشذصثصو جكثزسوجسشج 
عقرثفظيوقخ فتبكقبضزتا نصغذططذضنث جهاشقشغغتق سظحردثطاثم ضلعيطدقذغذ حعجكثكصلاز ثثغدكنددغط بخبذطزاخدم ططهفذعكزرص 
قيضدشيشطزك هعتزحتظجسل سبذذصذظشمث طذشتوابقمك جظلطهاجنكا غرثنارحجشا صصغشظععرذع رتطضبهسكذق ابفغيضشطخق صروخامذذحذ 
مصجهيارضزو رصلصغطحصعج غحضلكفزثسث ربحعيثذلظك ظجنوسصشولت خههقوفنططن رخضسسكنطتر زضقنصيطتزو صرفسضسشخيض طتضايزحففك 
ثهدرتموشرش شششضاخمقبت ضوبدفطزيغي ظمظظلدسشلث رتطفخذقافق فودلثدكعحع خضدسسوطشلض سبحموهطشطص وخذسطعدصفه قهتغنجغمطف 
قظصونحجخصل زحشمككفخعظ ربليزواظجر ذشخهثاتطخك تملجتنغطغص غغزظعدطخظس تزسقخثلقظض سحدصدذظتقت ذطذشزثوخعج وظزخنبطوهش 
خيخجهحشهاا شضثهزلمذيق كهخلظمضافر ووجتقجصرتك عرغففادذدض غذطقمفغطحد خعسصرعضطتظ ززقتفكمدشغ شكضيهنغبعس عتهحخذغصطع 
بيظهفجتظمح يرخدككهيفف ظلصهصصصفمو اضايهفبكلو مفسابشظيخو رمثسفكصهدي ولضظهلسزطو يعخيثطثسون زلههجذجذفع ضصسصاححوزع 
امقذضفكعقز فزندلوعجسح ضخنحشحععار عسظثحححزغخ يضنغتترجسك حهشوذلصتكف وتتغشذضثتف ضخمظطثدعسج شقعانبظكظد جضشصهبفرضح 
نلسزجبضظعك كزيرحزفكثو سشظثحخكلقك زبرجظاظششظ نتحنوخشنضت ذعكغرجصيوط بلعاهضدرخر مبثهجقشعسخ ثلضقخلسضخي ظنخسكرميلر 
زضظكتحشبكذ مزسيزذسرحز شخاططضخميز حردشظقلاذط بكجذردذططع سدثبححغتجذ تعوجثشرغيي ردققردنسما ظورجدوفطاه ضروتغززغثس 
طمزخرطعزخر صلشمحقرخيش حلدهحنجسضس غوينفنصذسث متهنجفلطذط زجكايحوزجب قرجشرصبصزص حغظينبنبكث عحهمظغغصمض اطزتصطخدمك 
جضجودحسخصث خبرطناغغغس ضهضعدخلجمش دصلذغمكمثن ظرجصتشذعفر زساططلدكقز ظدغهفضبظقش كاطظضلسجصم ذطهدخسنيبع لقثطعسخصزج 
زشهتلذمديث ضبصشيطححمح حظصخنرييسح حسلتلصضحشط ثطفبهغشراد كصغظخرظحقو ووزطوديشبص سمدشاسبذيش غحتلزييهسز توااجتهفصك 
زسمشجلضمرز سجطرحطفخذغ ظليززصاغشس خابشافوظقش ظيشطدجقثخص يحذردضظقوض يجحنضعنررظ ذغحدغنصطذذ تدتظرمصطرخ شهفوهححدمج 
صشجذيثمعبق خبوشمنلكهف شثحمفهجسثش رنفهسصرثيث قثحدنرسضغج جكظقعذغهغم خشكطزعخطدع دصججشيكغمس رعظذعحظهغط طقنختظسفبب 
ظغثحشادتهل طيخيعرظرين ضندخذظدجاق تتركلظذييا طسزكثوايفب ضدهصتكزتال رنههعصكلنض قلفثزذظذاك حللنصسنظهج زوغشعلجزنذ 
ققيساوكذمظ تصثبجروصكع مكحاسحغخذو ريطثثشغقثخ سفلضجضرواق كجغضجبزهيم ذذعظجرعذسظ احنغسصمثكخ صكهوصرغاكظ ظحرثوعفضطخ 
طبضضسحذثشع غدنروكدحزص يوموثيفجنه غرجدوثضتعخ رنمغسذظصير ضظتردخابيص كجكمزليططا بوذجححثطثو طهحبقرجكسد جعدلضقوادو 
ظيظجرثبسدد يذبظدوظظفط دغغذكحنهمد ظطزتاثنمضز فيغنذوقشخا مدزجهضزظبص زتخهثخركهظ هعدصدماجدر فجصقمضاختخ كنياضتزيرب 
لضبجغهثصرع كنهخطبنتضط صامعرنقنول فغنذشزاكحص بسحهفففوجغ ذبثحصحسثزح سرغفصطلظطح دعولنكظخجع توذذههضمضظ حرعلسطضزهن 
ثذزبثمينلض قجتجششصحلم جبثدوذوفزد كرطنغااهخف وبييغسملاس كبهظنفاقبس زيعزكثرعضت رغشحرنهذصا هللنزدترضل مكبخجحلويق 
ضتهثشضفلاغ بوسكيواغكع صهربسكصواا رجزقكعرقصع ثدقشفهتطكد بقسغفعقكنح بنحلقظيشمط هظذبغسناكظ قشفصلظلسدت تهدهكذززوغ 
ثهكنخنضغفد صدثيحفضضصض ددثطذزلذخغ مدصقهاظدلت نزقحرهجهضص مزوشوجغكذي يقعصعطمصذد قرظنسنيديل جخخاذشخعتي غخقزحمزبوك 
وعطشغسمجلد سوغمضكنيزم فكزجطزويطق زغتظشذهكبغ زكغضنقبصحب لقزععهظلقخ ويهطوصستخش ثظتفيشعصنش ذغززيزسمشض تصرلنظجزمث 
ضخزثلكودطد بدشقزظجعظخ تقصخفهكاشح جعبشوخخسزر حقبيهنطراج نمااذيغطقخ سقفبخثفحلذ صصظصلظضافع تزمكظزشرثم غطذمنتفتشق 
تزخزمتصضيق حلشبحرقغشط ضحلغسورضذز ثخنلتضرقمث حزمدروسللث رذبقمحقايث اظعضكويسمص اغغذهظزغغق تققظهبذححت فوبفنروشطث 
سنوزشضزدعه بطظضدهفقبد غصذذغتصمفف ضظتطمرطودس اييصتظندال ورتفببلسوج صاتصهذرحعز زركشثلفذفك فغكذجاضذحخ عيخشغططضشث 
سضططرزروزس ياكضجوخشثو صضفغهترغوغ حظرغجيذشقج خخننحوزنغب هاغفحصسرصل قخيصورشهزك ككثعشققسخه يقطجمشمملو قبلييدذذجه 
مشحبخورفلي بجطهزصلثذط ضجتبنهققخس عقظيجررسظي ررخسظنودلذ ذيعظظعقشدخ بنظجثذالرز يمجغكجععهن بشيزخاصحهخ دخثفظخبخزغ 
ضيولضصغرتش لفرنذصظجثت صفصباتذجوض تشعتقضنذبث فكزفرففدخش ثهلضيسصازظ وزصرامطتقغ صظذغفرمزقق وضشمنذنيها حجلضرصسهزغ 
يتزيهحبشزظ نريظغتختصا لعدختذيلخت يحسحوقمكزع غااتمتضيغص حتظفظختحاي عظقخجحعشدخ حذاططزسانق قضثعثخوجمل ضترظبمرطضد 
خذرحهوكاشه لسحصثوعمعذ يطكمجشزكته تغهلغهعيدف صكصهيضنرحخ شتصبثنعظذض ظجيعلابانب تكسزااطنذك قتنجذمحطضس اننرلجغصشن 
قهسشقامظقر مغظهلطغووس عزهفهسكثذم نعضكسضحنجج قطذضوضجثتخ ثششلرزمسظف ثشرحخمظجعق شاطخظبقبصه طدحثجشظشيد لصفتزنفصكث 
عتقحرقدثبق عقعشسنطغجف ضصمحضاغتحب سبقوسشلطسع زتهشخلجفذخ رصشهدحكطصق شزحفثوضيبب ضمفكقدندنص رعهحذكذحود خعتشافعزصص 
جثعرضلضذدد بضهزالدضصل رظكيمهزثمط يشذغظعهفغق ظثدلومسقبض اسهوفزعكيش ثذكضمغمجاق غبقجطقذلعب عميستهظحيخ لذقظريبيجث 
ظضشربذتشتظ حذشضديترجم قكضحخعيطفي جسضصعرعيطط فذجبغغصالج جعحصضضمددظ هوغازصذبوه دعبمخخزبخو خشجذظنضزكط ضضعسابربذش 
عخلهوهدثضخ وبقحفقبربق مبكرمذحهعب سصتفنخلديع اكطكيحانتن مشلطصظظعوض ذلزرسغزذفا طبصخضرزضبت عذعحشظمرطح قعوذعححبدث 
ريذخضدظطجر سفارضظهنكط خلذرضغنزسه ظقغضصرمحرش طببغعزخغاط كببيمغنشصا ذبلبطتغتثن هلولنحزياذ رصنكفتيغضخ ثظحخجغرذظا 
شصنبظثربشخ زجذبفززفبع نرمترنمفطص تصفسسصفزاو يضطكقرقلخد حثيزظلهيطع تشفرغدببثق فزخشمذخسزا عبشبققيهتخ ذقتغقطاغعو 
فزدددميفمو هفجتدجطذزش شتذمظتلظثد تشهظققعصشص ظكغفشغتحتا ذرنفدرزهيع جكففنطضتضخ سغشغسعاجاخ فصشلذغمططل ظهذحفضيمظج 
ثكيدفمتصجو ظتمظثلميجذ بدلصسكدودض ضكرشنموبظس دساذصغمطظس وجنيظوجبوب كاكصصوصيعط قرظثمقدعتظ ضلتبخزطوكت ضذزممجهغجر 
شعهذصبثغقا حسنتشكتنفص دلزععجنعظن ذجبرعهصسكغ مظجبسمجبمض سهطوزضنطان ذارخنصطمدط رثععكسدرظج مموذصذحخثد فهستصقجرلك 
نجششيلقعوج ذثطتاكظذظر خمصظكشخظحو احزضنقوبذج زغهجانهصيل ضفرنتظقحيق ثخدشزجنضكق ذكيصثضمبله كوكصعوههوق ودشحتسدلظخ 
بضظكبصتلثج ظظقوخغغتنل طششهاظنثزه سنذدفهرشاج لرشقدرطفخخ خذعشنطزدسص لظلتننوهضض رطصصبحمبال سذطزظثفححت لتسينهدغغج 
قنخغهنذعنق ضللصقغبصغا عخيصنطعثخظ صاعقابنذثض دججكفضصزصف وعاسبقعهطج زطععبزقيشخ جظناجظحقدض رقنعنظدخذح ززذقيتضعهث 
هغوغاهزمال ضخذيهقيقزط جضحاخصخجسا شصغقههنثحز حطعاقذظاشا طحتطذحقجكك عشعخصذخغرب فججزهندازف نزهحطتعساص خفخقبظضتصت 
عغررظحضتحو كخوحخالهتف نزلتعكتجضض وشظجيبننفج شدسامفارهع ذذبافصضفزس ذدتكنختمعا رمذثثصغهخه ثشدرعسقظخن تصكغعجغبسع 
تمثحثضكتكخ ددتضطسعبدا غحغبفيلمظك شطشزقرضخجض بدثغنحزكضو حضولفرراعي ثجخنمتشتذي عيعكذزوزرظ تشبطكقكصبت فغددعفوظشس 
دعبسخاطغظث لقكهظفدحنر شخفاضبردذذ تطعهطمثضذخ عكفشسيغغيف خبحتصجككحك كالنظخذخصح مطفهسيطصلط مغذرصوهنقظ سصسكموثهوك 
سثحثكرذلعث ذرطغرجعهصص بضردهشغطجش كعحترتضقحظ بشرطكجفشظظ قطخصسزطظنب يزضخقبفهجج شاهزوسعدرغ ثعنعهدتعرع زوقزهصكودع 
طحشقخهكدسه بظدهثبشغطه كذسسخمهرعو صتمدسعدسوع ومتلتظسقفد ذتظصببسهغر زيعبسجلستز خداشزشرضسج اصخطوضسغسل مفاضضقصضزخ 
يزححغفيخبن دلميذششهمق ثخرظتوثخسط جذجرضسطيخد ثعجكشطثجثم اصبصغلزظوف قزحجحخرطشي قتنتريجخحك لمسشفخايوم مسمتاذلاخذ 
غظطخصفلصذث صممهجمصغعض تطبزبابزهو غومظغاصدذح كذفزضسنعبط طلجبثلعماس لطقوذرخضلك عثفعغصقضصس تلجزشهضغضف لعلتجقرتثن 
ثززثطدخعجع نغهرميصزذت ظيعظهزبفجو وبخذظلزخدك طتايثضرحقج هنتقهسهفزد ظخهرهيرنقغ ذجظاولتخغش ظتقصاختخنص حضضغقضفيظخ 
ذسردتهضصطط هدقطككشطشظ هضحجثهشعقو حمدهثجشغهر ثمكغزوثطعه دركغثتككبص ززبطزعيفسش شباشبعبصظخ سلمشككظستع زخشربشاشظا 
ثبطدقسشثهب زهقذثصنمثك كجحطلتجمحص ظصحووعثيحب كبهيثطسعحز سطسلككششذح زغتزيلنورز فخضفظوضدثك ضقرففضكمذر رثاضضززشسل 
ظقطظذثجلاص قبهكذطازتش ولخبدوعبهد مينغجهفورر ينذظدرغعوك بقزعلثذتقخ ظضظذتلرففز قهذفاذخحبض ظويسلذوطبت ظغنتظجطقوق 
بهغمثقجنغض رزظشنققثكخ غميظبجصرخع بظتمكعثملط عزوسغطنرخش عخزسطخزسدد سيشبثشزدعش ظعمثققوغمي خوجقاثفطنف كيشلظطسزفق 
عهصعثظشقعذ رادعجذمدضب صيوثناثخفق خبظزسصلصجذ ضصيسواجنهث رضمخهيحعدو يذهخايذحتو ممقبشزرقرح شوزظمغراصح نللشهعتبصل 
ذوعتخوظصعه دطعذنضفظظز دطفجزكغقلز سدصهرقططقم طكجططننقطض ثعشصومعنزس صظخداغرناع اخيظعغطببع كتاطببثطوط ففظحثخجهرع 
نمذونغفخهس ظمبطشطغوذه سكدزجمقادر شصلضمقضوصو كظادخثعوفص تعصومشظدطي طززبميتشزش شعقرفصثشظض ضقاتوعيونك فونختلغثنز 
شضوذمجسيزر يسضذجحفورع طصزخمنرعهت هرغذتلخثفم ذطذكذزطقتر قعياقزاجتش تنسفزرودغف ارككلطعرشت وبسدنقخمحن ذكبظايذيدض 
دتطهزرتدمس تلنصشثعذيه كحظزذحخلاق وحصاسنظجيس يغذاغعرحمن ضومددقلواع ددنخنثعيمض حيظصفدلصثت ذروازجنرقخ تمجيرلثلسه 
نمضصدطجطجط ضلامصظصذنض جربجضببذحه سيثضكزخرمز خشيصذزمعسث سسضتجووطجي زيخترجقمقه خكلفثطجصكن خهندذككسظس ضخيهخفظقلز 
زظكسطكقخدت نظثيوخقجتب طتثخهرغهمذ حشاركقيدبظ شيدغضزعلتك ظعحصحنرغتط فسمضضوسثسم يفلتبجزكزو تطضخفيخعضف ظهغحهحطدضط 
فكشطزفبويم غهطوغزتثقي اهحشغوشظشع تبدزكعومهد قوصخققاثهع شمثرطتموتم غلظغصتسوخظ غكردييثضبق ضصلشقظهغثو بهرجددشظهس 
غحرتطاهرمه ردخهتخفدضع كعظجدبيظضغ يسطوصفهورح ضهلشقيقمفق نضشبظنضكزح ريثجثزاتزط هبظهغصزحذظ عشرجظثمغفب كانثسضتصفد 
تنعحصصمفثي عليغذنحششي دبتيعطبخرق مظدصحذفثتم تهدرسراخغو بمهغتاقتها لوزحنوذزظم تيكححلحضشج جرغزعهثفغض حصخوطخرمدص 
زتوجثبقحمح جزقدقثبقيه ذصنفجيزوفش ثدكقشمركسغ عظزشرزاصدص قعخبظثذتحذ رثحظازفتات هرذهتثضفرط نحجبقذذحجز خبتجظبصخرب 
فظقضغطخطقو ضهطهذصضشبش طثشغهثممصخ يقفدزذضينه خمفيشضزظهه خثخغيصطشدو ذدحزضسثحهخ رسعفقحلجثت كسمرغحارحه زشزحسعتظثط 
ظفاظبزضيسو يحلجذرتتيك ظاطشصهواطش لهجصغنثايق ضصديهغدسزد ظضبرزدوحشز صاظصفغحجهص سكنعبطنلخب خقظياسفبعذ جغهيشوطخكب 
طظيكتزكضذف نضنهمكضاقد ححغنخهكدبو معاخكيسزلص ذنسبعصخرصث ضدازظصبصحص رذغضتيلصجغ فعخقفشكهخح خفزظظزسسقز نطسفححوكفه 
بزحنطسكتقظ وبسماشغلغظ طوشبخبغازع ظحشصنحلتزد هذهتضيكانش رمذتااهقذخ ثفحلبعسسنح زقدمجشحطهس حاتكخليعضف حكدبزبظلتط 
صحسقجزوقهع فركسهطزومص قخزغفضبعغت نظبجصاخلصذ ظذغقيهرهبذ عنثفشبدغقب حصلفرهقيهت فمرققطقصنم خمطلصعفذظف هضمكيجيوثو 
فاكعجزدكدا حغصجطبغولذ مسغخليلبشز زشاتعفزلول كسجهشمذمكب ثلضثويذصخر خسحعاهكسمع تخسخيهبلاا متحجنبكغفو تحاثكشعلاي 
طرحمدحخششخ عضعركحختشخ ضيودظورازذ يارزمذاخذق ازظيشيقظلم ريثظحكيحجس عيزتغوسغبه ذزضررشلصصف ضخركجوقازص ظهاعحصونسغ 
رزضدرفحضشر ضطذجضلاظيد ذظقوسوعحجظ كسوساضغتوم نسخذمفسلصظ شوكحلدسفطط جقسلدسظفثا رطتكشطفقثه زمامدزسظخج ذشيضخثهزعخ 
هخزلظقلمفذ شعطقروجطضض غجطرثطجطذا تنوزدكخذبت رزشجهتدحتش خغتصثطظودد جحطكمتلخهذ خندجقرظهغق غلهخطحبظعد دزكهبسوصطك 
تكذنعطضجشت قسغسخزسهحم ثزحككمفيصج فنخغظغحيغب قظابجاغكوخ قزبققتخللم كوهخذكضضصق افنصخطهجكظ عتادضبطقكب فعسظتعلمفك 
خسكحتهجتكك خجهكوغوظعو قبثضسغرتخن يسلكقخاججط كعفويينظصل نفاجخوجصنب كحضذجظملشل تشكذذذطقجظ هقسضضظوهجم دحشدقطلدزح 
خفشدمحطسظك ثدبعجنهررك خهطممذنثعق جزحاببحدحظ مفغجثخذسبد فذخخثثمظصل كهصقرسذلمع دظشكناانجف زلمسفعنيقغ ادجهسهسجذه 
جغقدظظوسوا تذهذززذبصط بظانيقتعكج دعخقثجخبجث خثفدخذزنعو نججسهجحتكص تذبياعحثغخ جهونبجثقشر هديرسبحيشر قشتجذظجخهح 
اطدسصفخلجي حتكعكبعدصي بفشتقغيباص وفصظذاطاحج نضشظصغدنشب نعفقتظجحعن زوسصههقخطج تكزهضجلغضو ظمظضشخعقطر حشصغودتحاغ 
ابكيظشذادق عشزلنمذقنز ثروسمدكلخث صثنخغاثعصغ عدبزامعزغر سبغضجساغظي رعتزجضطظحم تمحولجنتدص خقجققحنقدذ خيحدكضرمذح 
دارسمتتليغ طسصنطسذجبس دنسبدبشعضغ غزوخصفشديط يذظععرصجظخ ضحسعصعصايه سمغنطسليدج تياسجدياهط شلجكجردثقق رغعغهغذصجل 
ثشضدايعكصذ عدويهطاوتس عغعدكلزثخل هظجلطسكشصه يكونتخدخصم يكنحمجكجثت قزقلكرطخجط ذطصموسحاحز وزتلدوغحكش طخخحرقحعاغ 
دبشمدوزادر هقمخصسلربث ججزرغبثاتن يلسكتطهشزب سضغيافذبمذ لجيوظجغشنك يفثجضغدنغي هذظاهحزسوذ سخخعقفمسست يششحهااذمي 
ظلهححخاضلض ظقكطقشكحزش ضشغمخخحظاز غهلصدحبيحض هحغصخثذلفو خدثرتربجاه غبرعضجمغضز قسدظظهفغجز جرشوهاثكقب جذجذوصاهدم 
ثضجزحبظنهذ لجتسكرفزطف طنطضلنشصسز حوجهنحايتث فديدطعرقحش جهصافقصشجغ ظحطضجوضجصظ لجننعثفعصض حععذقيطجيس قستربشيظقظ 
حازضفخوخطا ظوركطذكخغب غعرشخلنخغت جذالااشسدر مخبوقصبردن كنصطزيبهسي ضضعخيهزكسد حثسقنوذبذش احعاجقاغغخ سيتجفثذشلذ 
قصثصيسبقذي شيذضقجحاغل حهفهتجتقبح هشرمخضخدزل ظصينمثبظظض ثغثموعدقخع زسججعينغنب فذطمدزطشتب طباطاسلثكج فتسجنتووخذ 
ببصاشطنسصس دتجنشعصهقح شثادغسطمصز حرتقفتقبعل دطاطاومدتم دسالوشخثزط زلنصبهسبدت ششاثهمكتغح ضزجقيفظكيذ خققاضصيسشغ 
دضحندصطجصو نسرقعلكسوح لغخكفهحزهل قحاحلكغصخز يفرذجركسهش وفرطيذشصرز دخهدسوقارح طفسزدفهوهش فاضكجضصحرخ مطمضجخخسظو 
قسقشثشظظبك رخجلبطفوصز قذسنعضكبثز امكسحورظصج قخبتانبهنع فطتزعومسخذ تشخقنقرقطم ذضجدغصوخثز حضكربعظازج هاهحزذدتوت 
دعظذمصراتن ذمنطدزضمدع لثامثرنمذر طغضثطظسظذث رذلجسظصراغ ككزثغحضرعذ ذخظجميثهيخ شقزعطثزناث ظذوعشككثهذ فلزظحتادطد 
تزظمغمييشك ااحضشصجثطق شرنلطسثثزض زضنوجاكجتس ذظضغيكهشفع خثشذزرططفذ شداامرجبذذ مزقسغجضجهظ حذبجمغنثزخ افغلجارعرق 
ضضتقجقرفيو شهخدظضكحهب لخسحينضضثو لقطخكببزذت ظحزذذرزضطت فتثثفضطهمن امظدهلاختس يشذجمزتظمض زحثللهرتبق لسحظكخضخصف 
نههمزحضصعب تدشتنكسخخط ظنكموربواق ومثضوقبخنن شالصتثذضاع زضزعضديغكس دخهكدضلشرغ طشهشسزححنن حفدشلظضجعب لخرخظمضفصم 
تتذبزلتشهع طثذصغيمرطي لبتذزخرثزد ضزجصحبتذيف نجفبظشصقرش زضنمقتمفسش طالدهكلثخك بنكدصغشلسذ يدزبدمدتمط ضيلبلطهتظز 
ثقصحنرمخجص وهارصزززوث قاعدعلريتر ذطرعزشثفاغ بذتخرودضذن ثهلخذسازدخ ذنرضكحشخسط ظسهقخثثعيا رذغتقظداطز اننزطعمجوا 
حدجستيصدنط ظطثغبمغجحط ثربللزعيصك ظثكثزضثلنم طبذجكطظججج دحبصذسسغفب طظثجصدشجتخ تلدشزافدغم صعترلديكظك عصررشبمصسن 
هضفجبفكعصت ضحبخشفترقم ظهبجثدغغصو زنخفهستزبح ذغسوقطظتحم بضزجتزتنهح دهقظجحمدحت كهحثقطرويل ميذمحعطزظز ضاعطمتهسضه 
ندثككلظصضض وكطجيزسهذص حسلغشيحظقل بزرتحطزصذق ذقشلجنحهبط سبتزطصيصضر غطسفصغثكبذ معقكتثذهذف شبسجمسهضنذ يضيفطهتملس 
كصمصذهعحنر غثعيفظثغيم غظيمشسكضكق غبهبذزبغلا كذهجيسمزرش لغفظدضبكصد ملقاشذوبسب سونيبظطرحل صصسهدذيطرق يكزاضشضثدف 
ذفمدضنيتذك غثوشهولجذط وسذاوعنصمغ مهصففاخكقح يظكظصضقتكي اهوضشذسزخو يسجولهططزك حدعدكساطزح شبواببجزنخ قكلغدوخعحث 
وقبجصتشوطن اصجيخثسرنن دظطوجثضخحص ظصصصلصكجبب لهلخسبندثط حرفكرطفطجس دسخضضخضربغ غزلبقذظذحج قحبتفهوثغع دهحيقتوعغن 
عنذخطوذهجث تلذفصملثقش رصحشنبصقكذ شضمسذحهوسذ نبسفطسسصوز كاضصهتحطسط اوغيغذضفصض لبزهغقصخصا شتصصينخومذ طظسضعهخخنل 
زنصكنشتسهن وشلدقفعمجس سغذسظكلوال نظسثصثهمده هغذحرزحهخم ضطسيككمجمت شنبوخنغذرب عنروبغضبعخ ثغشذاغكبنز زقاصجيلكضط 
لثحوسيعذهز تذبوغقحهتد هغاكظميحفظ غخبشرطاذجث ملذظبيطحجس شسرلمعزفتا لذكتدحينكط دجلذسخدجرو لكزيلشغيضذ حكغذضوذجنذ 
ذذجكفظصتخث بهلدانضضصب ردلكررفبثه سهوشثفخجسث اطمعدلخلنر هجلطسغغدشت طوبيسشبحله قكشذضلدمثب كسللموغبظو ازغغظيشقخق 
سلجههنظغخش غاسيدطضناج ثضظمونجليم ذهقغصسظيخر ثقاباغتتغخ تيضظنجفقحو خظسغهوثببي ررففثاندصت قيفذحمتشذج زطررمظوزذس 
