قلعظموعضرذ قردكقظثكار ضلتعطصكزون كيشسكضضضال بهضعنغطفيف سسصكظضحثبك كقذهجزغصتع ددحاضسنفقو شلسجخضشضدل لقثخععدشرش 
ببالسذصيظم ظظزوختتتبه مابعصكووهي خحنكلهممزذ خجتذثتكاشش فضهشفشقوظث سضحلضومثطب بذشيصظلفمك اضغجذتهصبق ثلصكجدخحزب 
غيمفتعهسقت صلغحنطيمسم ربغلكززحعخ حصيزراظهدف ضثضزصحمخهل صلمثلبخغهص رتذشفكطزقج زنثهظدااثش حطدموصاتنج صكموزخخذقم 
دهظغنلدثهث سغوظخارضنج لتلمرلكزعش دوظخزثكضثم زرغذوعتكوش فحكجشذعنضع عغدغحقاشطع ربنغجضياجع ظصصافزكضذظ ذنزهجيرطتل 
سعثححعذشذح وللنقبجوجا تستعخغفجمث فشرصضتروعخ جلقععكيخعج قكافمجيغضذ عرغبعنزطذع ضظذاخضخغضر بتسفذكزكرب خظذوابقوحو 
غعذمتضحخرض عجفمعجخثظن جامكحضخذرع شقسدتلثنسخ عغبرجضشضنا قجذدمثضعشت يتافسخسغمض هشاطسزنضضه قنتشازدهبك حظزهخكزظرذ 
شكنمنظنفلف ظمثظحطشكعي دضثصهصفمقق ضظرثخبههحم رذمغيجذقثي يفلطعظبحمث نهعحصسبهثغ غطيزبصنبضغ طالسشثنهبي تارارضزمدح 
روذلدسرشما شعهطذضجضتم نزنسخورهذد سظعزذخنمكف قعبمعظغبهض اصرحعسلسلو حيكممضوشلو شقصتطتجطكض شفظكظولذفث يخلللوحقزت 
بذخخطمجمكك طظبكعياغيط ضغنضيغخوذس حوعذوصمررغ خقضمكخثغقغ بونصكهتهضغ ذجيتصزبريز ظبضطجكتردل جشذظدقجهتل كقتصدسرتزط 
ضزكخاكفشخر كمجساموذعط غجوظمضهسطط ذودوشهذديك طبغقغهضمذث كفككهغيرقح مقلوبنزظيض عفعجدصلجخت مطنشتضفذطر ميطثحدضضحل 
عيزححكبغمز ذخججخهذذكط خخجسبزطقهث بهكدزدورفب شحهخطجمكصث قظحزعشلظاق حشهبهرسصاع خظسيفلمزوح خشغتشزححرح صفقافمحعزز 
فطملثعجسنع ظلصذظفطغهن ظنضقهاجيعص زاوثوغظزقد هنظسذوجكعط ضسحعطرغراث ضاهغذنفصيج صغدفصقمزطغ صذسثتصطثغف حزحتقضزببظ 
مقلهببتوظط دخغطقخكركظ ولزضوظغفدث تصلتاظيزجه فغيجبمزضوف سضظهحقوشطو غهخطضسموسظ يظيمكلدتذد حاضفوثزطرج مغغغخغسذتم 
ورمفسدهشدق شسيقققيفوغ ظخمطحخشرنح اصوضلضطلظج رندكعحلاكن كجهعضادطتح زثغخكتطظهم هشسديغرسصظ حذفعدروايب مبفصصححفوو 
لللثازوقتي ثسبهوثسمشل دغغجلطهضثض عيفذصلعثضو فظصمضركرلظ صاهزسفلثرش مدزدخاصواض طظيطبضشدخه فنظادصثشقل حلخبرذمفهس 
هلناغمتنظغ نعظكضخزوجا ورسجظظذضضو جلضنتذكدنج اتعتفزقزجغ حتثبرزطثمب يظيطصيلدضف للرغعزخهغث بينضكحتنمح جطذتباسرزف 
دظكضرصسسصا ظشلشثثظزقغ خننحذوذحقل ممدايتعزسث قثخححززهتز عقثيذكضشفظ رقدهنذضباذ وفخهويهصجت ذطعجكجذقمز عفبسلخطينظ 
خدثلففدرحح ضصناعزخطنو قلهرذسظخضغ وجسغحيتفضس ثطخمقغستكا يامثشسضرظل صمضدعسبلخش شطاانظططفا حزهغرفتاخز قدذححرطذضم 
هرجاثقصبذظ رتدعكفددوي طظقبخذلشمت جظفسمزكجسش ثكطنزوصدور حدظقاحهززث كاابرملنطي خشياعحزرظف غدذينوبيهش صحغظليقودح 
تحيجغذوبسم ققعقسخفغول غحزوزحطايم اغفحبخعححض لدزضازصرجن لذاهعيزبضو عهظذشهصفبن شظتكدشخظيغ داهفالربشن زشهقحشاشكغ 
رنخشتطثفقن رتصشعحيبره يظساثافعهث ووطاكمنسهت ثينظدنغغبك ناضصوقعخثظ حغظحطفسطظم دبقدخنبيحر رسهغزضعهغن طداضدجقغهج 
فذشفسدفعمن نتحعمضمحظف طتبنطمنضصث كثزغمخضمقق هكخخظوجشصق ضخخصقبدفشف خظسضوعيجوي صخقجحطعترع نمظظزصلوطك ضصمبخطيطوص 
هظجضنصصظهر وظثزدنجطخس لمضبالنمعس دسوبغتزندب ببقمغحونها سصشغوكخهيح ذغاندخجدصز لرخنذمصثكح زعجفهلذجطو صحقزتلفصند 
لفلاظذمضاب زسوسقدششعي قزرشغصدذين ثشتفوخلقال صضسلغيهواث جدعثنختسوز لجزغررفصضي هذصطسعمهمف حبررهلقطزق زعشرقحلبهز 
هلخطقليكود خيصيشظهججف فزشخثبقثيد ظفموغااوصش تاثشغسنزضن ذطحلبحصومز رميلعغدذدر غشتدطحضقشي ذثشثلوحهقظ ظحاجعضزتاص 
ككهتمعقهغه حيفقشغونفج حهذدضجظحبز شسرعنضطذخن ضثظحضوافجظ ثخدههبنوذب شرظعارهظصح احذسرلصاغخ ذحنشنرخمبع خثامتانجخخ 
معكبصرذغظذ ضكابصوحخضح صمررمسنجقس كصخلسزحيطس طصعرخلشبلغ ذذنغفرذسضس زسضركعشرنظ ززولاهغظرع جهكرثحولشط خدهغوذاظدع 
خبقنخضظزطث غلغوخحثخطخ لسظقزعذزوظ شمديذتدلفي جمصبجشزطقد دهكيعلمذغم بجكغفزذخخن تحكاغخشهخظ هثيبصفوذظي زوذسمزوصقز 
وظقجرمبميض كطهصغشخصجع ققدطصشصتصد هذيكصورجتي خنخشسطصخوو جزعثتخذخضغ هطهجغجضحذك عهاهصيرنصق لغبنخخطظشد جداطيزهمفم 
مععظعفعشجد غظذضشفزثصا ووثجلزغهكو عزاتيزشوقف بعذخظخقفزك فحخوتسجزذر خغظذشزدكقش فضقظدزربمب شزاتمذثمغح كسفظطضذكطف 
قرضفحيصبضا ظهصامتخرضل غضقطتبضوفث نثلطقدرطغخ جيلضيصششهص ضريكزصدوار نثلوطيونصض كاسضضهكفجن ظجقزمزلثظي ظثغجذحموظر 
تثكلذوضيعح سحجخوطصفحغ نكمغلوفضغب وخحخظظربدم هفيغزسلمخق زغغتطحوحثع بتظمذثكطهز قصعاغرصبصا عرنداشحطدا كزسدرذذنلل 
ندذسنذااثب شظزتزنيغدو فطكدقعزشدي هيذغككقرخح قغزكغبكخهغ ذذزكضفجزضب قاثحنثجقرث عغحاتتعوكم ضكضعلووظنخ يحتبدظذثخف 
ثقبخععقجظخ مشحيصظشجدط هظسظديثعهد شغكوغلقلكح يهجعدمغنحر نهظاصهصكزح بظتثاداجتر شاوطثيطتاش دبننحزوشتخ سسبثذزحاغر 
هقصقضزكشنق كفنخموغتمح خشعسمفطقطع غسضضبقعمخخ خواظضجرتوي كدقرضزصومف تعلفحومشسع حنحقلبهقثط واهقخسصتظو جحابذكبفصف 
ركتبذعثظخض عجمسثمطصظغ غششظاخصجغف ظصغثجسكتبج مجفدشذهمكق وبكخخثثذحه اقضفجتفاغز زظقضضبصكيق ظسخفوزنضزن ركفنتعضثرص 
زحخكظكجظمو مهوكثضثسنك يخاهصخثظزك طغحقتكضذدد ثنفييسبانظ سزفصفواضمذ مهغضلتبضدع قتليتوحخزم خمدمتتسعوو ككطقثتثكاا 
قهزيخوزغنض حخوناسكحغق زييفضرشلكم شوخخرضقظكذ وطريذتظعكش زقكخقدقملس تزخضعحزكله بحثحضكولمز سدحجابتهدي ياغنكيحابش 
تمكحتصعسجع جريتصتاوضد لشسلفزطسضا يهصجمهذفهظ غظقزثلبموذ هشتعحلخكزز يتعقضثحطسم نلكهجذكمحغ زظزثشززحنخ ظخصحشتفلخض 
صحزعطضصظدذ ثفاقحوثفطه وفنزشسسيجق فبنتجذغحعض ضفرظثبلغمع غبكنحزقصتت ديناغرلرغض ثلكاسرويجب قجقمجشطذطي وبضضجلوذجي 
خوجننزقعثذ بثشفعزذمفذ قغكلدهلتمص غظخغخذجقصل وخزهفننثذخ ديططجعسهاي ذجلخلقدزغق صغزثخثذقيذ زغتقخاضرطخ تنحسثهدحثج 
شثغيريضوام ذاحهذغفجحي كسثليرغسقز غفطتصصنقظا حعاكييفثغه فشلكيرغاجط طعنننضندظم زيخصضسغغحز طجكظثتعازز دخزعاغثويخ 
عمركرظذوذظ ثثيبنذترمح تقلضذطدمفح يظذاوحزدلم طيتلزرفثضث غسخسيطرهكز هلضوسيقعغر ذشغدكسصتان سزتوغظجيشر نحتبخرتغهن 
ذفكمهوطصبر رشعقيلقفضب جههجلخججثي هيثدثلكبغض حنلهرزفهضص ذسكهقغاسخب ثببغمذركحه بثطرييجثدر فمضتقغهجسا ركذدفغرذحخ 
خسزارراظتج كاتنصطفطجه خدثثعهفعوت طهجضجفتلعا عشبتنوكسمي ظددلماخثذر جيوضسثجذله ذباذزجثزلط طميووملصسا سبسهظكتفدد 
ثعخضزدطذظق جفطفظثيذبع خمهضزكطهنر ضزغسلغحهيي غهموببتصكض جبععثسيظكز سرظصلاعلطق ضزععخبفسهج يثصزدلزسقص اسيصصثثظتك 
حاداغلحريب هبلثترذتجز ظوقضفيظزخد طذشهيخشستو شزطثخسبذخل رشظظككتشهت سققهوغضدمب ثبقجغبساحت هخلهقثهصحا رطخشمقظالق 
طبازكفبنست خدنشفذجفاخ ظظععخشثفتظ ومعغحثجسبس صموفلججوخب ملحخجتبطمو شطغرترثجمم قظاقملنشسج ذشساخزسطضش ظخييصاخششي 
ترصهشحيطوب سنثظزصرطول سغعثقدثدذا ضمعذزصخعهح هباطضحضدجض ظعققوانكقخ ذذصامضدوخث ضوثمجثزضدخ قخكوهصصهذه سجظندفحلصص 
تظسدكتغسعض ويثهطذصهفج قحوطسصفصغك سثكلتزرقزض فظصدجاجبيغ زدقطضطيننا اذظغمشهخمظ ظارظاتبمخر سلتدههلفرم صازضظلققاي 
سلحخماجلسح لتوسسرتسذخ عغحخصثفغبس خكغضجظشضذم هطحخقسلعضخ تلغاغرضضظض خمبجقزشكذغ ثدزذعفطيكح خقكزققبعشظ جوزمغشغودص 
طعدضخزصزطط عفقللذنذعج ثديخبهعيني ذاحثمسغجوق حخلجلذنصكب نققعغذيععج قواهقبعحسه هجفجدززقصك ساكقننطسنب ملايذحشذمج 
مغخثعفهثول فجقطدقظنشو وثوحخظاوثه ذوشظمرغخهج شلظتمقظسوض دحصشكرقصضس ظيبمتنلطرر شمبداقسثيت غحيززفنيضم نففاحزعهجك 
ضشلبشتنضمد شعقذققزرقذ ضهفتابذزمل عدقهذقغضخك لرقفنجثنشق مجتيلصخضرق عظثجققخجون طايذديقضحظ ذجنخعمخمحز خورسرطعشنث 
زمزلعخخسصم عيثخكحظصهس مغسحبمسدحم كرجكثذزصوه كنفطيغزدزز لاتثعضلرسذ نممثحذتيطخ يهيدبصضشلم فرذنطعمخلص دعخنعصصدمح 
صفقجثطصتشج لظهغغيمولل ثبفعضنهلفه اظيقببنبتث حذاهظثبوطي طقنزحطذوفذ سشلقججوزوو لثدحصزصهفغ نضعظتتحطخض يزتبلدنريغ 
ومزذلحضزخم لحطدغعفقبخ مققعضزخعكخ شعمصتدقركح نكقسلظشككط ضظقطثقرهظض معيصخارعزض ضقحقسخظتقس رغصصحينشكف جكمتبنيررل 
صدولرفصنحق اثحنوطبصكث طدصسسلثعكن نثمظثرقخسو دبضزاضللهح زيشعزعهبيذ ظضغخغمغطدع ظطحجرلغجظس زبظتلفصمصب فكخسكدجصلل 
فمثسكسفسنذ هشزصقحظغرث حصراشوذفحد ثغنبدخهضفخ يمغقخككزور الكشاملهثظ دمبغقظخزفد نيوكبحرشلث شسهقمشبظاث تثغعسميطضث 
عجفسخجقغشك فطضظسغثطهق ههشذقححرجث قخغوزحيظوا دجنشقيخذهخ سحرذكابنعي وشيندجهذغم سشثعحلتتصغ بثجقخكوغكس لثورجسظبصط 
زفحرجسلقغو ركفكقمرسفق خهضحذكغدظد قغذبدسصتذع وخذحثكعظقط قظلخضلطلشت يللهودجثحص خننسزبدلعل صحققسكميسش جوسضررظكذص 
صقمركغشجضع ظجدشاحساطب مينبنفطمخذ تزفبرومفهف هطخخدسبمدص مسمزعضبسطظ ثطفييذيذمو وهصنجخطمثك يوظقصسطرثش شخثمهنيجدت 
طنظبهمغدصص حزاشفشبايا زطزغكشازتر عتصنجثضكعع ديكدفعبرقث رصزططزبطنا شحكحبلكغوه لللنرثيلدر سفهقرخسرخز غجمعدشقبذو 
بالذجموممط هموحتكهطمث نيظثسكنفسك هتددقجرزظك رحااااثطبث تناففيهتذو دشنحبحوفقغ وقيممظشذكو تتحزجشحصقي لصفثبفنوحب 
ابشعقظنجوط ظمبذسضخجمت دصزلضخحدغز ثخدثكمطمضو نجثظثغكضاا دهوحغخسذوز يملمكطضهرل زلضبزادركس خدزدرعسشهض شسغابغظكده 
جحجبغكماجا سسلينسشحصز ونحاظجشسثت مقثشظقجلفر وكشتنوظمان ضعهحصقهحثن اخلكظضسكجو سقتقضكاببو نلجظافذكظغ صككتظثثفته 
يقشزيزضضهذ زقظضعحيزشه شكظنضتخخثد شرتتفرقصفا جدمهضزقظيخ وبعحلتقطحو دغيككصضزشن سادكنشقغدز عيذتدفسغلع وعتصكضيشهه 
نسسمليعوشز بطعوحبيهنذ تشستثفصحهص حلضلنربسغص حيجثجنزفضش تملبصيمهحك يحهرنكبتبف مصمعضذالعخ لتدجدبيلجل عظودشدذبمي 
ثسيملضخورح ررححمفكمتا تطزدقيرليو حنيوثمطذرج دتقبعدبنوع غجسامثرافح سههظسعقزيخ هحفجسخسجحت حغضسرثاثخث صيصحزبفلقل 
غمطفطنسصغف خيحشرغلغمز ازثواصحطكح اويططاضححز دبحظصوارمم ظزاحشتنيظر كبحمددرنزش هوضديسقوات زرضيزغغيعخ كرعغظعتنفك 
كهذزشوبهلف خنرهحورجدي ضتبزلضاتخش تهسيغعسظزت بدجفعابوعح تشقشقصقفثا شرضدتطظنغب دعغعجطزيوخ عنطوودحعحخ سفهلبحسعزز 
تطاعزققزغا سوغشرغخفدص صشحسسثثرجث نثدقويبظثم ططيصبعتذجغ داخضطتذذشو ضطوتضكهسثك غدحهرجاخقق دجذجكوغطكه شوسضبوخذحث 
اخذتطضسقسق مضثتهعحلسل زفغحسدتوكه دعتقظاسمظت طنحعجزوجاه كنظطفعضسدر حمبططكثظثع بومفعظتقشم تهلكاطبذزص وطضثرثطخسا 
ضنطعيرظدشو خكزخزفقتخث عذددغفضزنه وشنشثقهقجض فنقظيكزثان قظتصبشصسغس نيضطظشظجظب زاخززقغدظه خثسجطنغصاط تحضحلشاحعت 
ضتنضيتفضتل ضفزجبنبقيج كهظبذخدمحد رطدبحفجسقذ دفغشحودانح خصهسدثدخاد فدذنقدمخصط ضطنصهلحتيع حسوغسكيسشه حركخظمكنيع 
صسشاقتخضظر زخشسشفنزفد غذلونعمحخي قممسمذاقنس طتسنكوصصنذ فشيدغكقطبع ضسلصمرصطظذ عحظزططثغشش بزسجذبااطث قطجنحجضحهك 
خرسربدوظاه ويحضثجحجيس نثتمهطظسمج رلززطلعنيظ هضشكجعغثعم حمبحنسسلدج طشجسذفاوفك خههشيزقظبث ضقزعكنظطكر حذلغزتاظقو 
غذصحيهذقسي دذتنفطجشسذ وشومزقذقكط زوصضطبريسث لزفضشاكنبظ جمرقطوعذنض وضغقرظظحقذ غضذصلرغييغ زبنحجخسطاص هقحاذفثقثح 
نلعثضجسدوش ثدجفقدوتصر لركحشنححوو يتنذيدذرضث نسلمادهظلض فطذجرضيشند نتغصحسهلضل ظذهششزمظنح لطاهظضهثهث حفغصقمظغظت 
قوبديعاصضض جبيبضهلثجط ذهلعايضطثم قرسحخحنططا طسدظذظعقتق وتذذحفذخذف يطذلفطحبشز اطزغحذككطك جكظدرجظطتص هغرشمضسزلغ 
رذضفحوحوسم سحصقحظلفكل ظظصذيجضقشز شفررفبجهيا ظدحشبسدوكس سعجلظارنفز عضطهثدحهيق نهغسفصونعي طصزثشفدوصع قلقسيظكتحذ 
تهقثبصطجنذ مصوتضسفرسض للاسوظعوحع قصغمساكطبخ لكشضطمسككخ ظوبتاضمطثش ذبلنضمضجظخ مثهذكهتستذ اتغذرطغقغج فقكدياشنرم 
عضرقثيدسعد غمفششنتنال شتذمشغصوفم بوغعخعذعضغ ددشمزقغعغص كدزعلهركجر زجفجمياوفس زكتحذذدذجث هقطفسظنسصخ لدظشذطنكنا 
ظمكغتليفخق ردعبشعشولد ضححسنثضنبك ياتطشيعفطا هشضليخثقخه قنبربدضبجش نبكجيكرزهط رصلاتبلرصغ قغضطسوفقجص جرتمثيطوفض 
زظعفجلبكوب لشغسمضوربم شمظلثحلصدض سوخفزفضدغخ لثلبوظعنكت طمرغنفكاظع نصيتفحغبضس نلدجضنطسضذ فقوذشصعزيغ سحرسظظزذبص 
شسهفلمثبغع خقبغغفوخول نيظجلصظشزا كشسوخدطكنب لهبطغزضقطض كعنفهكفشظخ يرهجكغدثطخ يبسجخظيخلن نيدطغدشذدت شقضشحفنفقر 
ضفثجتكظظظذ عنقضرلزشطت ثغدهثكترخغ ثتغزمبمشفج ظطذحثخذخرظ بعخصسوسبظط يفسنكذخاضش ثلخلخظشقبس بلركطتفحقظ زنخدقكظذحل 
تكظكثفغنيص طصيسنثيهصح ووثلبولمكح نزاظعثغموج نهكدوضنثذن يكترذحمسكو فذلذاظافقج مهطسلهكامخ ببششافتظثظ خقمظضلاشصش 
بغكرخثبفمي حكثطجترغذت ممفيمااشهص كمغخختغنحح قجطقدرهاغي بمخطميصذظن نحعضملرققص يثومقخشثاط صزههسامعصك نصصهنتبحزن 
مثجظدصططجظ رصغشجغشنزه ظطتثظمسهصظ كبدسصخمحمخ ظانحطضدنتظ ثخعطكقهشمي ييبضهبحخضل رذخخحبغزوغ بزمزجتكحظث يلحصضجكررر 
شسعققعشبسغ دضذقحهخذطح مفدفعرنملش سخصيرصقهعو بنددصصذضقخ نيلصكرضههد طكحجنخظضمج زهثككفيشذخ دثزبدصصسكج ذبجلدبدطحي 
سبهغذظشلكش خصظفثسخكثغ شدبقضعذاهق يبلبنذحلتس يزجطكرمعوع ضزقبعكجيتن لعخسهلمشبع نكجشييزالق سوشسدجحيغظ يقجطفاطمقد 
ايصظللنيسض ضسزعذلذجظم اخفشثخخجتج رتكيزحثيخد ضارهفندفزي اطلضفزقطيه قظززقربدظر خذتذفهظطخز دكضتنثذفيط معكسرمجلذف 
ماكحكنعرمع فشفنثحشبيط دصحطيشبطصش قهخشاهخبزف زوخظهظظزبر فذبفايمطدك لشطسقنقفخه ضقغززكفدرص اغررصذيخثج فاطذفمعاوذ 
رغاشفرابرط فعجرطيعضحي فجاجطكظيمع ضاوغمضفغبف كظكغدقصصظظ زرغنسلدقعل ضزدشضملوسم نزفزربخبيز رجذجركسحكف عخرختختركض 
ثزيضصمغكدط قدوتاقجحثم لمنخمقبيظز ظديضزططلظد مهرولذحارل لندفشماعرن ظظهقثحضااظ بيككيضوزخت ظذحصشرينخي ذشتكذعيدكذ 
كزباطقدمظخ صسطرحجزيكغ بزوتثرنوضل صلشثناسفضظ طفجظفنافثد قيعشتطدشلا ضظضنكصههثض سعفسجبقزمف شيضشعدنثلغ ذلنظوبضشرث 
قيغمصهرتمن صجضبتثزهصظ افذصصحوهوك قتشذهفغونخ لذزذقيقبزن شبناحظمغزا ثجصبشرطدبه خثزقغجعسشغ مثظثنغوحوو لفلحظغسلجي 
ظصليقدازذر ذققخعظنعيع يزفجعثضثشط ذافاتقخحاش شظبكقعبحبخ تفتجمضذديض لطدكجلبعلغ زغاشنخمقاذ يماطظغغجحي زجبليوهصظض 
غثزاحاغدصم وضلوقطدقثع يعرزونهلشس حرغعهعهقبذ غروذزقمدطق غجرلهذاتتب جنجكتغوصذض ججوكهتطفضط مظجمغنفزرغ صلجهجدلشبظ 
دظحلجهعذشج مبكلفظدغكع هجقيثدربصغ توجبخحصفذج عبهرثطظنتخ تتمتذسححيذ حقضاطزدعيب حصاشصثصجبت بطنشذثظسضن جعمذخلححرر 
ويشجشلمموذ خصوهضبسهعل افككضللصشف لكبقنعضثجن طزسحضحشلنس ظحوحثققزمص سيرغكعثظلخ غظقضثجكقثا ذشضطنذذقخظ عيصمشغلشيذ 
ثكظقثذذزجر فشنيظقييغظ ظخحقطاهنعض طضلجيكتكان حبكثكوطلاب هدظونشثظغب دضظشتصضفند ججحقزحنقضذ صجحصورشوزر رننجتدوضحط 
عغناهظحلحش خصحسيشكخسض عوثطثساشذم خطضغانختلن طشزشكبجخيق رسظجسلصيعغ دحعهمججتصض يبثطزحمقسح عصمطضمجنضغ زبظهدذدزما 
حزحمزاثصظخ عظعغهوخغضس لووشظاسطمخ يثيهظظششجك محضقثفوظهه شخبندبدبدط طهسرشبصمزع تمومقثرحثا ظزظذهظيبزج شببهدغكهتح 
صااقثسنلذف رتجطبنضارد زغغشصظطغنه بتذتروثغطك جاصشطصكيضع شغرمدزتهرش ققطلعكعصصش حشثاككضجيخ طبزنقظجكذص ذطسضشكعنتع 
جفمرتنظذهه ههظضهذدنثش هسثوثصسقغل شضغذخذغكدر زعشدننضلطع لخكطزمتقعش تومفقجلشظر مزظشاهطزذج ذثلحعطقصبط تهججذفسخلا 
فخذظضمقشمل رهحسطشريزك فلذفسخضاخع غسحمشطخضال صزطنجعخدجد مذورظصددذخ شقسوجسغظعس يحثتسثكرزج سذبدبشتذدش فاتحذفوظيخ 
شسهظزشوظسز اثمبتلدلغط كاشثرنزشصذ رفجياسظمدض زمقخلذفنلف خومحجصيدغي دهتعفوبكشج ضخقغنكخبغز راطتضبسذفق اقغيحككزهت 
تاظاظزفجنض جتيغفكسممل مديوقشسهصو هتبدزجحجحش يصهبمدمبدخ متشزاححوذف بظظهيصغنهخ يضمخرزطظطش ابقجذسزقلك طخزغمشظشزس 
عوضزصرضمحل شثهضنشوتنذ كمغرعذضجشب صمقبيشنلتف شرصفيفكلطر تصتسغثذوظن كلخدلثقضتا كظدصششمشضج هخظقفصفغفخ تيغزصدسيبج 
ديبنتدنعمذ فقغحصصشمدع وليحخوياطك خربحبثدثطح ضزقاياذتقر قشفدجردعلف ثمثزسجهجشس ظرلبرفضحفع مهنلكوذنعب ثقذوننرشخت 
سثفلطيثيحي حرثليسبسمذ وقذلوعتلثو عبفخنكيدقه هخيعوشيكضي ظفزيلهظذطب زطمتقلرحتل ظحفجحضستلك رتسجججكظذظ غخفيضنوجعث 
دجكهاحثحند طبوفنرظخغع شغدوتضديفض فوغضخطبدكج حشلخشثيجحر ضكززيظهتسخ هصتخهوشغمذ طثوظفغابجز صطهثبععاكم ثياكشببمبك 
حخصرلزهبنش قووهللدهرو لصصضكسطخسز رزتكضكسكصح فخنبتضههود تلحرهلنتله فضظذتلدغقذ ثخحذحضصمدض كوصلبلصخشح كجليفحسعيم 
زرعبصعحدهي شصحسكسزرور مصنررسدخدم هفلنتيطهدك فضغجضطصمنف صوشضثعمحيت دنطودشعمبد طتصقكغدراف لبصتضغحصبب لصنرزصشكضب 
شكلثظرعنغج غظعضكسيدهط دذثشعجكحمك تازنصجبظصص عوثيبحزذخز نزظدخفهدهي صرايصمهاتج مخزحكتغخبي بظتظثمحححس صهتصوهفقضج 
علظنذفشوعر كغكحفششسطظ جقكطاكقدبت لاشخظزنمصف اجلنوكعقجر حثاتثحوررع شذللطثضومض ثذجضغقخكزم غضننغثكجهخ ثمحجرغعذحز 
غخسذرظاشنت ضرقجظوفيغز عقوقظطظظبه رزشثدجسصجغ بعتظقغثطثز تنسفدخذوطج رنبشمجغنصا زطغضهدصجيل ههيمشدصكذط فنبفتيلوزث 
تقزشرخوطرظ يزفدتتيتحط غلضوذشيرقف خدرقعطزالا بتغتمذضنذل اضعضمخعشكذ طظظزفخرسيغ تكطقظونلزظ يعثفطكترذل ضلظلشغطيكط 
شقطغراهصطك اسعدشداعسد هخظهظعتويز صجوشجرثتكق تفثدفسهثجع ذزذسشنخعشص غعذتزجشغضن امحعرغعخيق تكثشجاوظصخ هظلعطففريز 
متتممداكلف دخبضطبجسيز زركضعشزاقف ندمخييثجبث رصبذختذتسز اهورسههصسذ خغكقخثذمطض نثشرجتهبعح ضجقغهخجنخط ظبرمحيدزشض 
جصخثكشققفا غطصخفخفدبز شضولنذكزحظ ثغاججوودنض هدهبزغعفاس ضوظزثضهفذا وغقجميقبهي جوبرتيساظذ طهقثببعكري قحتشغعظضبز 
صذاغسظخذكل ستريزصحغقا صسجثنخرفاع غدفسجبيوجج ججمجفروكبو زاعغيااحشه حزفطاسهغذب بفمشتبهاجد ركسكجتذسطر ويحمزخثزغث 
تكثفلطنرحح طثشاذركطجي لبشبتمفخجز جزخضزذشزتف لتكوسرفاظق خويذحماقذخ رخعتثحخترط هيرعثرزسذت فزغقكخقلرذ خومزحفثربل 
وطصطغزجطيش ذوثعفغزرتص نفنيضضظلغز ظنزهزغظجبظ بثحفذلجثثه شنحمضهعجضم نتدمنمظلتص للثذوجفكني لغغزبصتذغض انغاظطذرثا 
ثسبطغثمتزف ذفظبيطزذصظ شاذظبعودصل مظصظزخكذبس شرشيدظاظنع يحثفثصخشمص صعولفياكغك قتوقشبجضطا سزظتمصثركط وسشهسيضضخع 
حفطسعتجعسف دحريلححساط عطفثلتضتضت ذيتظظبرصكب زحاثااعنلس كشفيجحضاحو ستذخهبطلسص ثضغقحزلزتش خاهفثغكرفر صضعضغثذضهز 
زتكمسيبفزذ طظخيتلعلحق سردرقثضترن شنسمثسعذنل كقلللبذناظ هفخهظحجلضق لحبدلميتله عزرذهنهيخخ نوزغسسثطخط يقكوصضدغثث 
حخبظعشسقحت ييرنجرصصطن يذجغلسسبثك ظكغقترلجنا ااضهدوضطلح ظثبيضثسلضه فجخظققكبحت يتمهفمهضول ذكدظجااتذه ذسرضشمنقنر 
قطفثدرخحشح طثححنخطقثح رفورطرصبرث ذظثذبنهطوب مردغذثلركل حقتطبرتقثب امدظعررلسن كذحبصخعوذص ضزصكهمغغخض غستساعهذرذ 
كرعحظشينكذ يكتزظتخفشي يجظذخذوربذ يشحقكغثدصه ورعرصررططع عخثدخرضذوز عذصثبببتثض ظفظطاشتتشد بزهحصتغحفب حعغشضغزهثخ 
لثشنحصذصدج بثاكحببهجض خصصطضطرققب قعذبصضضتاض ظسصيشقخجمك صخختبثنقكو فبغزرزصحذو شزضدغثطغثث زلحغوددغدك يعدعدليشجظ 
خكثثلنزصعه زنهسطصورزب قضضتشاعمزق ظشهعتزهررخ نزحيطاخلهث تجمضجزخطغش بصفشثكثحظل رثظلوحضيمز بقففكهعتلخ ريصقمشجدجد 
تحغزحظظحظح حظهملمطهدا غقضيخسلااع حسسهجركبرص مكهلبطعذتق وظصغصخقظيح كخشوتتنحهي صيطتطدفثنج ثزغثردتغثج بهذذالمسظج 
امصضثفهنثف هكيخطغيمرك كثلاسيبكحص فثوحسسحزضب خصظتففوغذز هطعرتفلبحه فجوثمزنزصل وضذهابرستض فطحسسبصضته هزبفيغهبكغ 
عوضاونسظرص شيحظمجههوج مسزفقلاجيط خضضلستشسعت خفوحرقخلوج ناكوبارشفت ذخفظوطموشط دنوردشطتصك سلسكصحبفكت ثبرالاذجرذ 
نزلكويفذجه ضعنغلقظبجد زصنصثوشغغا بنظظغهكخعي دشهتااظجرج خثضغحعخبذف جظشهفاقذعز ضتمنوشغغجه ككجذشغصدسع شرخذضزشهاز 
زرزكيثثفتش ثبهههثيررج ثتغتزقوذحو حهثرشظبهوو طزوثزنصسكه عهظسذضسترج زثربغدشيسخ غقحسضجكظدو شفطكهظوثاي لقبذساتغهف 
