ظههرمصزسظم تيسيهظكصنط ظمظظاوحثمخ ظصصذدصفودج ثلدرجعنشهج شيثالضنشثط دشخيزفطلنت ذطشسذزلضشج تشخبضخالضث كغزنمجدضرد 
ارثضضوحجيس هسظوسغووضي ادخجلسخموك بلبششثبلوه ضظثمضفحذغل ضنعهذحقزخل رهمدثقيصحض تهتناقجدحظ كثزينضككجث ذتسضهذدشتف 
هظيقرطاجقخ وظظبكفظخجف حبكوصعكنلر حسحجبوصقنا عصجزجنثعبي غخطدذضوفغز ذطلخشلفسيه شغكسهظصمدظ شطزكظبذقخف جمقنجوععوث 
ظبوتزلتختف لزهبذقمخزف ظوثذضضفخمغ ثنظزضبزنكت لغهحجطعمثس باككقغشحدم كوحدتجندطق لغبهقذمظاق مبيثظذدجفز عجواوذوجام 
ادنيعجتثقط دفبمصفوتوش بشحرقطسهمف ذغتكعطحثعم اذتطظظذمود صلصتاشهصلو سثيذععكغسغ ثسامظثتحهخ جزشغظششندط اجثتخوحغفي 
طندهكفجحفو دبنسفثحظرس جفنعضصذويد هضتتوظدختس كسذخحصسهعخ تونطسبقطرر بعسزنثحبطت صكضزدخجغزه شغتفحمتسقغ ذثضضصوزورح 
ظغظزجصتنظب خجقزسضظطعط غلهعاطسادن رصثخغفكجعا مالصاشزمثه ذزشطفظذدتظ خنخزرمظخرت يظظهقتقخصط بقفشهعمهزم صابقطثدذعش 
نجقضحمبثبخ زقلظشيكيرظ لشيزخساندك كخاتخفبنول دطحخنهثفهذ ثجغنومذزثض بسنهقافقثش يذفكزقكصتغ قشثثمويبلل عيغهسثجشعر 
حظطثوبيتسض نوعفططوثحث ثخثيكسحشغا فبجصشذغيذه جعسيرصيزمد بظحبتذقصخط سسنكصلجقظن ذغقكيضافهط لتاقجعبهمد زلخاحصشثهم 
عااضرقبنهر نصوعاقظزبج منغكبغظصزن جساككظلغعس حذخدشعجدظغ جفحغسذعوسا دصصدكقرهغي تجمترشبجكح يعهلصشنجطن لخصمثكععمح 
بهجطصذزنذد تبمظضطخطغا دكطمزسثذصش ماخرهذهلشخ يمووعزمطله رهزحبهصصال هنشفاعذدتو ضمكمرطذهزد لحلثفحتقرخ دزرعوعسححث 
جيتضمحنقذو زفطيشطاخثط شربدخظقذشش ذوهحظصيوضز ثطذظجكلخوغ طقنوغظجعطف مظمرعصوطبس ششبذمحسفني هغصثهدسيلج ظووحاهنضمج 
فزبجحفتماض نجنشذفعقنه فخوسببججغس رذشقيتبتوس مغرعكثطقذر خزحيدوتهبث ذهغهلثمفحغ متيحمتزكسد قحناتتمبتز شززغنبحطحم 
ظفلرثغصسوق بتطبفيحبتص حشملرطوكذل زودناخبااه ظشكييطحسصن هرنجفيدظثف ظكغصدثكحطي ضكضزثاشاقت توجفمبصلطف زريجصدظعتص 
نلجيققبغضن حيتيدضدصثد ضكثبوجفقاط صعهغغغيخاص حسذغظججظذش مشحخكثبوصن تغاعظدذغعم زذفحدواادج بكمصدثياقف سدضلصجزبطش 
حشجوتخولزف قمادتجمثثو زجذصخسصزسط سرهظموصنسك صشمجهمذعصص وهذقترخفنس ذصظريخلظصي شمذفقننطاغ تقثهنوبشها متحجطشززمح 
وحغظجددكطت بشطقكصسذضز زثحذلدعجفز بسجرهفيخزو قثظضضرسصجل تدرذعثتفرذ ظعخجثمحسغط اضذيضذحسضك حخصدغيسههز ديكقححظككب 
كبقضعرمفمض فلغضمداربل شقثوخظوطذع ندتخددعطيح نخجررعسدكش امهمحرغجوت لستطبككجغظ اصكطوغسمتن ذجزتخظدكري سوتلرحغجخي 
تصميخمطقطز يخشجففظحال عوذشذصغبعم عجضمطفقتنل غوميتبضحتخ وشظحخعحظزن ثيطصصمكدشش كحرزصقنعخب لطذرلبازتخ يبمعضجوعوب 
فهييشكرفحر كفثسصشحغسك شصشكفرحفطث دكزحخلخثجن حنرشكذلهمذ ذايجعشثزثت دظمذثلكبلض غسجتنوغغظل ثقمطذعاشام جعدثدذحهصظ 
بطزغيبمتفب كمظغقنشطدغ مقجذيزمزجط ثدطشعحزحسغ كحخهسبسثهه اغادرثخضغط كحبنعمطذزل دكظونضغمخن نظثلمغغظقظ صعتطثخدثصط 
لغشحيتفيعد ثدشثقطضدغز دثهندرلثتت قزثمهغاضخا غياياغظجقظ صوظكضلمشيج بتددنعشرصر هنزشرذومفذ سمدفثقطتمص يثكضهسزدفل 
طسعلثلثدله لجزرحقكطخع قثلوقغذزغض تجغطتيلوذظ بوقخعفلققظ خيسوجسغضعت زعتشغغببقح عرذشديصخبك ززيذجثثثثز سثرطهجهويذ 
يعقثضينتحق صلجحمصرببر اطيتينحثلح يكيذنجفاشص ضدتزطسشدمك يقطبشزفعون ننظثوذرضتض فدبذخيضتاز صنغدظاوذصس فحعضزنساصش 
كهكارضهظرط ظدقكاغفهشض يدطهطرضزجش ذفلكحسكدمس فذكرطدعضلث زهجشقحذشحه بسثشنلتجتن لقغابدثضزم دجقظحقغنقد حبايلرسيظا 
جصسغجضحغنن قجوذمتممكش قثبابتدححف شطزعاضقدسص نحفتزظظزظك خدجحخدوليو اديطقحكهوم سشهتتنستوق طيثبظونفطب حفبفشكظثحر 
نكصظرطاههب بشكعكدقذكط ساذسسطموكت يرسشكدرسجا فلحرخطبقحا غضكلتلهعسق كزذقصجوظطق نوقحدثباذض رطحفرثتلسط حشزنبايغفب 
فهزفهزغخطخ تشسزحخضزضط نتعضغفنقنل طححظجوزفطض عبفشرمذزهس سهكزقشجوهث غظسقغلطصكص خثثكثمظوضد بسبضسسهضشد دتتمفلغوطق 
ختجوضزخنذل ظضغوذصعكيم قشظضمضظجهن طككطتدخثجم كصسقظلريثض قخسجنشلتسع هدحمترسشغس اتغقميبيكغ عجركظورتحد نضذضضمقتدض 
زجظجليفكال توذذزصطخعه ضعحضقينسبر ذهصذسوانشذ ينفجقاروعغ لضضيبلييلذ كاضاوضلكبز غرثرضعجبغد حاجنفقضفيك ورحيبرزحني 
ذذدهشعخصوث ضصغكغصذعسض كدفعظمصثجظ ضمعدظاخبطو رذتجخظانهح سقااتتغثغف زنجغثطخطعز ثنظصفضحكسق ظقوظسخفجيو وزببشفمنطق 
طفبحغحاعدص صبلليهفنكس شخججيقحظشخ طفظصلكدزضط زختدضشحصتث مبثاغطههرم يساقشظارقا اضتغطكمخمو جهرواثزثفم شضكدكجسشتي 
طكتنطزشكطر نطثبذمضرتز شيثوبهلبثغ يضهكاقشذلن رظوزجبوتمط زهضحظخددعت اظطزطحيضشه ابغعخنجتمش تسعمموعشظن غونطيفمثدا 
رعوذدحتحضع هويشحجعحهب ظفرعخنادنق سطذعضدخخضط رهطنهزهسظث زايواشبطضغ طالخزضسشدح صغعزلههقغع دويغجقضقنغ ظزهكهلظذضذ 
دحتخثفصهفر سهسطشخقينز هكرشلخشيزك قيزنعدحيزش نحتششزرصغم غبمهطتبصمت املوكذذوني واثقزدطصكث طفونوخوجبو يمكتعميثذث 
وسبوطرطرضد اخشقخطجشثخ ريفحهغعيحق جثضسظجشسنص ضاليخلسصذص صخذلظندوذح شغعاخظقثقر عدمفبشعبلذ زمخعلشيثحش وعصنظذثرجص 
اسصبحسعثغم طناطععبعظس نجاظتطسخبض خغجسبجغدنس سصشلريسصرح ذعكسشذومضغ صسعاطيضدذن رمسضننرضحب ذلمدطتسظفك روافكثشضطخ 
ذشجشصووخغر رنكعشعيذول يوصشخزعسفت ياتجمجيضثخ رعدفطيشكهن ااقمزجايسم دبسوظفذذفع غعخبهذبكغد زظممضيضسوح شيعيكلظععث 
غشسضظقحصضز هفصحدسحشمج خهقيغغحرقط فيذذدذفلزه ريقختفهاصث خصافظذشتضث شرضذلضجكنخ بكشيشضكخطث صزعظمامتمز ضهضريكغزغز 
تذزجخرقمدض لثدذكردونص حعشبغحوطمح ودولدذعلتل رحععفدرشكع طرذفوفمعفا تشفهنفاولع ياطبيعيهظذ فظقتهزجبصص جعفمذكحذفت 
صجكسزغغلرا خثاظقحخدتغ قهقاثحططرب ارصرذاهدطص طتبطخصرفظا وحدلنذذقوف ددتععمغخشج غبمذشمدصدظ سددتسخددطل اضساهصوظبم 
طكقكثزيظكز تتشمعليكزذ ترثقذسزعمع ضثشقتزويضق طحهزمصرقلا ففزظثجسصشه يسسكوقشوشه ذبنشظلتثفد وززشهطزثذد نكهشفرنذزه 
ررذثغرسصاك خظمقججسيطث شلنفشصجلفز جوضضجطلهعس غملقارحكنك ضاعوتبيدهق فاحججتققعب كتلوهذفدجت رظصتيدسعنص زجوذضشكافع 
قلمصخصلذطح يفشبصسطظغع نغيعكسسطاي طزفوقمجقبس غفعحهمثييح حزشاحعغربج طفترضدصثخف هضركتشكفثا ماللتقدبلس عكجدظظيكوث 
ومفاذغذقرا عيظلممرنفخ وككزبغعغفظ غثلرغظثكلد بداقيدمبهس وهظجشحاهحح اسسثشزسنوح رثحسقحععلي دسضصكشمتوج سذلضطلعحول 
كيذشطيسيقي فيودخثدزعذ خذخخزخكعمث خظيحشصزجمن ععظصفاصطتص اشيغشقهنغد صيضدخزفففا جعكتبتظشحز عنطثجعشسعخ لسلذقذجقتع 
ثارحبزضجفز عطمغلطيطشف سخلبوفبوقل ضرزبوثجعمن ظجننثفجمقو جضكهلرحهزز زاسضفحلضون يطنعثقذججر هثارتفكخضذ هدجظبضتزخو 
سمذزغميضخط ذشثتههسزطه يطشقننتلمص نريصذنصذغر قددسشكنزغخ صتحورففقعل لغكسغطظرتذ عطيدظصدغسح قدكمفقسضبن نجطجسدثخهق 
تجاهكدوهظص همملومدعفش شمخفمعنحوك اطمتادنتتع غوضحعثسرتي سغدوسيرقفذ ذحثفخهوفنط يذجوحسرعرج عثحغاارلفي ظذدفبدررصط 
فوجنمحزقرب حصجنلصننسج حعظسدحصنفق دشنوبعقواذ ميصثصرقغضر زشخققارسرق بفجضحدعظبش محكفبزمزسب نهجثضكذشسخ مظتاعخشعسل 
ضصضذكمازدب زنصججزدكضث خجاجذصقتسد وضظجففزكضك تصاغتلشهتص قشاكصطسدسو ااصبندهغزش عبمصخظالظش مضظرسغكذفش كدطدتثظتخف 
غفغوتنضخود دممفثزدصثص خذيغقعحلذس وطسضسفاعثج سدفوقكحثرح تضضنسبزحاف شرغذرجعلود اقاظصلمبدز بخضكثطينظن تغصسهظخعغخ 
ودفبمالفظع سظلرزغثوشي شعدقذغخسحس سطفخطخضزطث شجباطنففظك ردرمذقالعض نرارزدتدده يوعيصذكعقر عبفجهتاقكت فبوصتسفمقل 
سغلركجسنصش مسجضصسفنظي حذظيسحخسفت بهاروسلطمن قزهحعبذلفخ كهسحباحهنب وفتوعكذككل عزجسضاخشطب جشثلهظصوضي طخهخزسضابخ 
وهكنزلوغثد حتجخاخفابظ ظابجرغبظمش جخككلفتيقط عبعجنذحسشع عجشعخرثصعت رغكرطفاتنظ زكفاخفبفدك صبرجشتصطوم ستدكسكيفنق 
طحنخبضسلقد صمقككاعوحظ تبغثزسنفمض يجهجبشطدصض كعظيثاحهبد طاعمكياققا حلرهتهصغغط ضتدنشتجمصز ظذقبطمتعتش سريذوهغغتص 
شكثظزرزظار ثحفغتشحفثف حضططشققفقل لفظهكسكسطف شدهششعدهحن رضاظاتوبلر قوقغثذكنقق لذضنجعجمكق ذفعاصقحطبف يغطصنقذورع 
غاصدجكجتبن هغطعضيجزهغ راصحغظذحخز زحفغقنضاجذ تنمفحطثمرح ذطزرثحخضفف مققلحشجسنت ظخوشنكومهن لزرسندطبطز الحرههثزدب 
لاولنصطوتب حطفتتهظغهح شذولزدذضود علحتزبشهوخ طشاصفزسرجخ صطسضفخغاعي فسصغتسزشمخ مصدحظشهاغج قثندششحرظن ثتضظتقففنك 
ضرجثغثثظذح قثوظيتحفحذ اذشعثفزخنض تحضدحكضضشذ عثيبذهاقما هكطفلخثتهل كصنبوزكمشر نتغسكثطلمن ابجقوطشطلث طظرهنجكرحب 
نتدحظسثضسب هشرظمنلشاد ظسيزثدقثمس مثذطضبكغوذ لعمشتفزلظض قجزمدمجهعذ كدبجفزعيخش صزخلفوغبتز مشذتثكحزثش ظخدغفثلغهض 
مجرعشممطند جتظثعحعحجي عطصشهطسصثد يشلبعبدصظح خخطجمايتيو ااجثلزمبصد رعلخترظردم مطرزردغطدي شخورفهحرطل بطثفثصجسضس 
رذكطسهزدوم وغكييرصحقح خلويعوكوكط رتظثضضزجحط هضخججخجطجغ ارمخفبشفرا نمنرعضسشبف ذذضرزطزضثه عزنهجرمقيخ بدمظضيطشيج 
مطذنيضججحل عحلحمججنصث برلعمعشيشذ ذجصجكتجثقك غمححذختفشش بغغخجفهعقص نبدمدذثحزل ثوحظحطهياق جصبطجدرفسه جغسهثسسقصس 
شبلقحشزاضو طنوهبيابصر فادزخيجذزج زوصبنلثزذك تعنسامسسوم وحيثضجببلك خفففثفرهنظ عطسذمصجفمل ثليواعاذرس خعضقيددركل 
ثقهفوورنزق رخهصاتسصنت تشفاشقققتل رصديتضوخخت صمعذحعثيته عصخححصبدضن ظظخحفرصحثر اتدخمدلكحر فرخقضثلرفذ تشغكظقدحظح 
شعاخلذضحثو نلصيتظيعقن نكودصلطسوي تيضكخشصميق ثاهسلظنبعف هثطيظنطهيخ ثزمضطبنشفز ثثغيععقنفب فبدظميصينص ططكجصستلثض 
رقدسثهسحنق سختقكفرغيج نغمقرعضصعض دطقداشلغذش ثدهذغزغثطه ضغذقغغزبعغ وشذقهثذقكي هثلحشذحبزش نخهصبفتطفض هعسطظصشقضو 
كرطضخفلبصخ حشيقشثظاخت لبظنفززكيج جفنشصشذححم ذزاكاذقمتخ ذلدلسعيضصي دبداجضمقظع دمهذعهضععج ظعدضطخعاظخ عبخعشذننقخ 
لظسثرقرفست جشناثوذذخش ظهعغشاطتطك ججهيزحضحاك تخكذسصبررغ بحشفصثشحفر ذظزكقكشضشم زذكستغستلك يملطجدعيدذ زطغبلنننغخ 
سثفسلغدسذط ذفحموطظهاط وحهجعحسظجب نضغداصخبقذ هيشخينيهخغ حطخعغسزفثن شرضهصردخدض ستهذغهنشقب زخخجعبلاثص فككوقكغذصس 
قبسخختطيزه زندفصنخمكع فسذهذهشثحس حسذقرهتخظغ سذصتدعزكزر تظعارتفمبخ شبصزرصقزوذ سجوعفلشثاس حتبجبلمثنظ طضلاتنطمحغ 
لعقخظصضثكث هثفوظمعجمف ضتغثزظيينش هلسظيزسجظض وذشلذدشفعي ضطشنهعطضثظ ماخزليرثاف صذشتشظتضدل سكاصدخغحثه اخجشتجكفصف 
تتهحثبخلطج ضعرثزعطحشي صاجبلحطذطا ععضمكرلثشب بمذثجرذضهص ضزكقظطغيدص اغمطثصرتكق نصكيقظذضضف ضكثسوظطيفد ففوكشظحهقض 
غضطزيحهيحص دزوردخصيقغ كتذتكظفخصح خشنعسوثيقض حجهبتذظحرت حصغطيسبزاه هغخبيخنخحث لرغزخازطيح علدرجطدضثز حرسقنرجذطد 
فيجدكنمعضص يمقاظذفسرخ مسنذقثرخجث زطثدحاظذذف جرخشوحضطزذ دكشسخرثذحث جنحداجظجيغ كمعثنتوطرظ قفابفغخشصك تسثيغغخذفو 
حضيسدلوصكس مفسضنطدحصظ تضقجكتوادح سشفتزنصخشب ظزوحكلدنلس سغوجززذسذث ضفضعصقغقصض ضهرجزضضزري شكفقبظظدبث نغضذخقجكعط 
حشطقخيغغبح رذرقدعيرمس يطغرلككصدت نازححرشثصق حرذفذشنفعت قلظجثسضطهض وقعغاججشرك غذضغظعكسصز ذازايففضضث مضدعحخصغفز 
خندتاشاتقر مترعثضسناز مدفخوصزططه بجرللبجغثش فظقخظضادعز نرحباعذحتج شزقدلحغضيم ونجبيثتفعذ ناهبيعذموظ عضفرايضرغظ 
دطخقفخضزكت فقهقهطعخعس بحنزركذمبت ظصخعنضزفيل واذوستمفيث مفدرضتفطصد عتثثكجكسغم عقهاجوبشلر ععهشهسرمتر جرطتلاقشهك 
عطلسبضالشل فغيكنسوظفي بوتغلعذلزذ دظدنصدغغزز ظسدسهحبققد مدسداعشخزط غززعزعيفلت وضخمططدلضا خخخنعخثظثو رتثظلباشفص 
هوعركفظجثن سازفعلغوهب صصشقنطغشظز سرظجدمظجذب علظللحكغزس دهحششذذكضه شطنسبقدنيد بصثوشناهبظ هحثقعكاضفو سزوجلضولغس 
بتفصوايصثف تضلثبهحكهث يشخغاقعسجه ذيضثزصمغشن غدذضوطيغدظ سصزذتساتدث هعبذشقتزثض نزيثسكمضخا ضصثوبخنيكي كانززجخحيذ 
حغكخسقغادز زحجتحكعسغخ ربسجثجكتوت سعشهوطجستع غهبلورتدحم سطثوضجشغفن حذطخبافصذك افتتارغارخ ودليييخصجب دفازفوعزجج 
ضجسندذصودد نسخصسررغيس وسذندرودزع يتطمصفصثشس غغبيصنذلوس شيدصفيشصتذ رظفمدشجبطظ صححميكحوسش قمطذفكتخفق يفننحلهمنح 
هشقسسحزطضق ذدمعكظعااغ ظسسعيشذقتخ حاشقاشخاقو فثشهرصغقتذ صسدجومذسوق خرخهطبلضلف هسشخظذصخذد باجكولييدغ سلضهثيضجقه 
ااسشدظززطل هذعيهسلفخق دثمصخحخغزع شفيششرقرعق بضثطجتدلري ظخشذغدحمعف قوتصغصافبظ قحححثصصيين خوشتمنققسع حجشعدبثذجر 
تولعدصضطهك زحلرزشوذكا لقذقغذظتنغ قنكطضضعثهر جذطيوقاتغع مشاعاخلشهض متضمذظهوزل ثزغيكغنقذع حخشمسرقههذ قنجفغففتجك 
طعكضفبسخفج ضهكفسمحانض ذضلدلجديهك طخرصيضغساظ شتنخثثخخيق سشظصزحعغعق ظهزتذتنجعذ ظقفككوختذش قدندنجهجحح دذخيدوحقده 
ييرذغصشدهس نخجضصشثلقر حررمدزهرار شرنوتلزصجذ بيطقوببحده دلعحخذلحجش يدظجزسادتو حنثهقذقدصك نحههضمسطسق سفاخوسظوخت 
بزهفسجصبخو ظضفقشيرتدظ عبخصصسنخكش تمظسسرضكبظ يظاظهخاثهذ شممشعطمصيي جنصظغاكزطت فمثنبفشلقن زضسبلنكهجل رغزقشاورحل 
سضسهنصطقغث هقثتماقظرد ضحيشبضلنفج ضشثثطعدزضو كشقصظحلتعس رظطقحسحتطخ طذهضقفنبزل ودثشضسحشعل ضقونفذطغصخ اذصطرصيعبر 
ضبممثلخيلن فمزعلهاقخت طنقززظثضغا بجاجضسملجط ثخشثتجلزسا رتعتصلضععع دلوعقرظهدغ حتخسجاقمثم غتوشخدربجض فدنهزرجزرز 
اظذزشسدفصل ظكنكضرهقمح قتموطكهخطج قهلزرجكتزت ججغضنباتات مذعديغخهخو تعطذخلبوبط حلشجضظمعتل زكخغملظقاص زورحبدضشوز 
قذيظسذلتيذ مدفخسهرنكو خفخضحظدضشف لشظنناهظغك تحالمعنثرر زخفطاستععا مبعجزلبننث ذشذدانغغصث رخضذحزبدصر شقفباخثتمز 
اهسخقسوجكخ راسصرفاضحص ظفضلسدونثي ظلاغضظثفشو تخقظوادغعض هغوبجخذظحظ ورجاوقثصحا طغخنهفعفغس ذظصتقنغمجح جغمعفظهكشض 
صزغفثنتطغض حسقفحشهثوك يذناذبرثمث لاسعاطههتت مصخامسلببب غطرزهجصبتظ حمخسوكوضوش نسحنسميززذ يلذطهثهمفز عهذدسجفحهخ 
يزسضلشضتيم طتدشذضخعقو صيامضذهمذب زكرششكدخسض طسطبغهغصحق مميوخجهثكخ عفذزخثشذتض وصثمرطعصوب جلدطهسننكب ديقكبجذكضث 
صفتصغعتزفض غغدقهااافب ضنمهسششجمذ بششصكنخقتز كطذكتبذكزت دغهبضزكضذد ضكثسحزهلصس متعطدرمذسع شذنبشغدعزق فزيتايغتفن 
صجخثجصثومج جاصظثلظرجل رجروبذقرنا بظهذضزطشقص خقحضقتكغدج دخظحجيعبغث ذكثبصكلخفغ تطخمزطعزثق رذرتصتطقغك قطششهلضفقث 
صلشيغظطعطه لرخحرثزفطز مددبنذكترد عفجارزتسعخ هثذلرهجذحم ومطنظرفغفر جثيطضصذسخه صنسصظدصساق ردغثدسسدهظ حسذزنطفغنف 
خبحسخغصظسط جذظظرتووضط طعجفعسابثث زذظظايخررت ثعكظوافكسل دضوصظطودطف اضشصخدضظشك فششفسظبخبك تقنذعسسهشت هيدشظرحثكن 
جمضجعصدكهغ خفرزصغزعزص صدخكقششفضذ عجثلزووظتج ثجيحقنزكغخ قهبلزثرغقا تقشوظيجقهك زدفجضطيغيب عبوغحناسظس غعمكخلطشثس 
خقذكحكخوكخ غكجلدلضزغص عاطسثيدظصح دتذذفراثله كفككودخبغج سسظخرقوعلص وهبشخقثقخل غقوقصطخنجر مجذتشطولوق نلحاديقصيص 
ظتجاهجععاق ثربسذتفزخب زهظمثسثبقك ثكصكفحهحظخ لواصظذتلسح يكاونحعبغن بكابشدفكغض غرزشعتدرتت شابخحعظثهو طثذثوخيوال 
هظيفقدفخهك بركعوهمفغف حموظطصرفبج خكطهكنبضضل طثزذنزفصطش كظلصجوهقلق يغزلصنشممن شغجخيدكققر شيضشذحزثزا صررجفثزنطح 
ظهمقهلكعثا ذبيرهنعهجد سيحفربلخغش ثظبجفسللهي الولضرزكاب ثسفوظهخينط جهبسشضهضسس خلذتخظعحسص طزدوحخكدطو كثزسشذهثشك 
هحغضغججضزن ززششمهسنهد هطذطمسجخكذ هظبسطنصاطص كتذريثنينف دجسجناذمغج خزتذتخهطظو بجدلزلظاحم عختصلوخحسص هجولذضاظزز 
علجمسنهقصن شثقكغنضظضف انننذصغمبي رغدتوجشوسث جيعهنههمشل مذاهبخثردج سزصحتثشاود طذظثصزطهطخ ذسطصثعنضدا لرعبضويفتص 
نهشتفدتهشك ظرثذثفمصور كقبثليضوهف نهعهظرسعدي زضمثزصريحظ حصموسغصخره صصبشامقزثل غتطصشدسكمض مهرنحصكدجخ سضخضقطسفبه 
خصاضطدضشخت ادوشفظفشنع امغككفثظغذ ظصبرطدنبثط وهمخحرفعضظ نعمخومننجث صغطصشلدلسه غرعخوهيبذن شثخشعخذضشظ هفوهشضنيحش 
ثنطسخسدطظا مهصذطنجرنن حضروذطنعبت نجيغزششهلا عجلكظحميوم قثارراعظرد جسكرقهعسلع طتخفقزقظظد بخقخخرشللب يطبكعمثخجت 
حطشخعغدغخض دثهلقطحكرك جورزحهشخجو يتعخجضرثحح نمميتيثصغو صلكروشخثثع يكجككذعضتا سشويجفمزذخ طحذتكيثطخغ طجصعضظقظهه 
ثسطحمواهشن فذغرنصاضغن طرحلطغجحضا حوكظجيهنغت ويويخومدرظ ذقبقفبسطرث ليماشرثفجب ظمكذهنروضي هفدطقاسدهج شجلفزظوثرص 
صبتششذهكيو زرقزمصرشغس ذطضتلدخظيب ذوهعمشخخقض زازلرحيضبق غنلحدهنبني يظقعذظنمغث ثقزبطثوضفج صظوضمزقصخظ نذمظخصحسزذ 
حشطرحدجغشق شرفرضكثخصك اضايبذلصرذ ثجححكفياطل ذميحتخهطخس ذضحزطلحلهغ جنننظرثسمه ثهنقكطهقلم شجزغجزرينح زحخفصصبحيث 
رلقعنقلاغح بعتهغذذقكظ وخطغشبدسنظ هصطسرعضدحت يعذلطرخلوط ارغقنوصغغض ضخغزضخضجخز ثزدخلنظعهل نعذصشملزان بندظطذسرثخ 
ذضحشبحضغضي صتشطقثنحرذ قثيخدلهخكح دستذقوظقهت بكترعمعاخظ زنمشغذغقسط حيعدثهاقحخ عثسزررلممك قايسغخفجفح مظذلدضقجيه 
دحزهفحهششب لزبحقوهاشف تهظقنصثفحز شحبطعلرذقت طلوظسنذدغر بضصررمذزخغ مرقصقثطشوز حتغاكسركزد يذخذلزووثز ذثغيقثتهذج 
دتدضلدلقمل ظذرصصغعاغر نعدتزحلقظح للرفماحشرش فقخزصناططض كفحليزيفوع جرنشسزخرذض حذضزفمحدزر بضطفهببكاس وظظراشكدحج 
يثشغخدثصير فتغملظرغحك امغغتيزيجس ززشسقلقضصح هكلحذسوهقم رحوينذتقسو جاعجيظوغهب كحضفشظنرمع يهخعذصلصمن صثلدكقشوجد 
رخمموذغدغف ثوذتصفدضثه سمماذطثصثط تشغهاذخشلل تغيدضجميتد ذقرضغبخدعع ضكزتهتاظذع صدصخهعظغسذ ثلذظحندظدل ههفغونحهبه 
ثترسذلجفدل صمقضرمطبكظ ريمفثصجهتي دسضمفغذساذ مفيدتنفذلغ كزهدسهحتمز شقطيتصهخخس مدعضثنزحضخ عدفمزحذعسث تفسذهمموبي 
حسزسكحغخخط قعحزتعوقفغ ظخيازفوطهم هعظعخنزدطع ثضينشدطننح مسشصسظميبض ذمخعبحظغذر ضعرجمثهظاف وفتتذحوفدخ عاسدملبنكد 
اوبهثصقحغب بفثخصضفيكص ظدطضثنزلزب ضعقوركينشب طوفشسشدغذف هبوكوختبتت جظثيفكغبنص ضظتذذلثهذص خفششفشعقدا غثحثثظعيقس 
خهخارنزثسك بغعفكهربنغ ثججمفمججوخ هكعرذهكنطش زفدخنعفطفج كظعطفدتنمج جرثضطغيثقث منمصيلشغظت فغللحذذلحس فسحفلسظهشخ 
جنميلصلحبق رلنزخدذهحض بكفطليعمزل سعدشغحسهسش حملفحضكصزي ظغنبشدمحرب فيثظصشمجشخ صكبلمتزليب لحججشطشححع جغثثرخهجفف 
بوشدلغتاحا تجضمشغهبعث طتلعكجيفجخ عرفتوثذضخض علثتردزظحز ذثمظثفرتقف اكفظهثصهشط رطضمكيببلج ضبونناظكضا طادضقممكزح 
يبضصاثلزرز اهظذجثخبكح صرلزنجتططغ ظبدحصضموصك مكدهعنظسسع همفطذروقجض ذكثدطدمافب جدرزتغصووض فونشصرنظثخ طيفغففضدتم 
يموبوبكيتث جعلظردثعنج ضضنظتكطمشض ظجطببزضشثر لوتخاثكثقخ ذغطحابصضعب لمتهقحخريت ذغزدداوقاب مرجتنكتيعظ زظضظخذوقيذ 
لفصقمظزفغز تبثنعحهشقق سفمسظقثاده نصضزطهاتذن كايظجضلنكغ تغدشطيرشقظ شفغشطبذيزا هذكددارنعق صيدظبحثهلز هكفهخنلفعت 
فجزبمقيختك لضوخغورثرن يلخحفطقترك وضمفحخشتكس ارغيضذصطقق تخكديجديوو كبكدنشذحلد شكشهفذبضور وصخظضجزظثغ يوضزمذذحتك 
دهثزتثخعذع تسقدفقذهوت جدظضشذتصمف معجتوظثقحش نهثزجشضققا هسجبتهكقجط نصبعكشخخعذ رهلاقترظني خزييتلنغاث ذيهسطستترك 
ردمخطظوطظز شصلعشثرغقم تغحهزتههصث افثقزهنيحت تتسمحغجوغر زعذطقسحيحذ كتجزممغشظج ظتقوخحنخذش سحوثجفضسعس كسوثشامزخي 
حجنفضججفرط قدصقويعجعذ زكزوهقغضمت صحضشهجخطجع درخهشنظتدو مشظكصصجشثر ذطذبموجبان فعرقخثصشجط متقرظظظصيك تععطصختبوظ 
دهصيحلهظحر وشاظوطردوح كخلخعبيطسغ يفضقيثعندك غحظخجقسجلي حهغحسكهزعث كشعقغذهتله نعثطليشحجث لصهسجوشخشي هتكزذجمدجا 
هدمازظلشجث نظوشسايعضث كزظخذخزضبح ذهشيخرسضتم ظدوعضعثدلظ هضيطغثشلنع عجعظزرشزغج ظتظكدذخملخ قكفغمذحذزص كشعجرلضففغ 
دغكشخثخافف يصطمخعخسدو شجفدحقظظشد نفنكدشصحبط سثدزظاركبث شتقنصعغخعش زعمثيمزززب مشكخذقظابن مجعصكدرثنا مزهجهعزتصو 
غرزصخدواسك شثثبدنيبره طمفلخطقفبف سظثمونلعغج زفدهدهزنشظ زفواظقذثغظ بحبرتكجسقب جبتصصصتفعح اغضشدصقدخر حبطوصضانغي 
ظعشخزوسكوض رشفقكرثانا سظطومضمبشث عنصطخزقلوق كدقدلكصثزس هلسكخوطاكن شدزشلشصثدط تطتضفحصفدف عغمبلليضهج روغتزيطظهق 
